   daśa-gītikā-pāda	daSa-gItikA--pAda
   AB_3.23a/ manda-uccāt śīghra-uccāt %ardham ṛṇam dhanam graheṣu mandeṣu/	AB_3.23a/ manda--uccAt SIGra--uccAt %arDam RNam Danam grahezu mandezu/
   AB_3.23c/ manda-uccāt sphuṭa-madhyās śīghra-uccāt ca sphuṭās jñeyās//	AB_3.23c/ manda--uccAt sPuwa--maDyAH SIGra--uccAt ca sPuwAH jQeyAs//
   AB_3.24a/ śīghra-uccāt %ardha-ūnam kartavyam ṛṇam dhanam sva-manda-ucce/	AB_3.24a/ SIGra--uccAt %arDa--Unam kartavyam RNam Danam sva-manda-ucce/
   AB_3.24c/ sphuṭa-madhyau tu bhṛgu-budhau siddhāt mandāt sphuṭau	AB_3.24c/ sPuwa--maDyO tu BRgu-buDO sidDAt mandAt sPuwO
   @bhavatas//	@Bavata-s//
   AB_3.25a/ bhū-tārā-graha-vivaram vyāsa-%ardha-hṛtas sva-karṇa-saṃvargas/	AB_3.25a/ BU--tArA--graha--vivaram vyAsa-%arDa--hRtaH sva-karNa--saMvarga-s/
   AB_3.25c/ kakṣyāyām graha-vegas yas @bhavati sas manda-nīca-ucce//	AB_3.25c/ kakzyAyAm graha-vegaH yaH @Bavati saH manda-nIca--ucce//
   gola-pāda	gola-pAda
   AB 4.1a/ meṣa-ādes kanyā-antam samam udac-apamaṇḍala-%ardham apayātam/	AB 4.1a/ meza-AdeH kanyA-antam samam udac-apa-maNxala-%arDam apayAtam/
   AB_4.1c/ taulya-ādes mīna-antam śeṣa-%ardham dakṣiṇena eva//	AB_4.1c/ tOlya-AdeH mIna-antam Seza-%arDam dakziNena eva//
   AB_4.2a/ tārā-graha-indu-pātās @bhramanti ajasram apamaṇḍale arkas ca/	AB_4.2a/ tArA-graha--indu--pAtAH @Bramanti ajasram apamaNxale arkaH ca/
   AB_4.2c/ arkāt ca maṇḍala-%ardhe @bhramati hi tasmin kṣiti-chāyā//	AB_4.2c/ arkAt ca maNxala--%arDe @Bramati hi tasmin kziti-CAyA//
   AB_4.3a/ apamaṇḍalasya candras pātāt @yāti uttareṇa dakṣiṇa-tas/	AB_4.3a/ apamaNxalasya candraH pAtAt @yAti uttareNa dakziNa-tas/
   AB_4.3c/ kuja-guru-koṇās ca evam śīghra-uccena api budha-śukrau//	AB_4.3c/ kuja-guru--koNAH ca evam SIGra--uccena api buDa--SukrO//
   AB_4.4a/ candras aṃśais %dvādaśabhis avikṣiptas arka-antara-sthitas	AB_4.4a/ candraH aMSEH %dvAdaSaBiH avikziptaH arka-antara--sTita-s
   dṛśyas/	dRSyas/
   AB_4.4c/ %navabhis bhṛgus bhṛgos tais %dvi-adhikais %dvi-adhikais yathā	AB_4.4c/ %navaBiH BRguH BRgoH tEH %dvi-aDikEH %dvi-aDikEH yaTA
   ślakṣṇās//	SlakzNAs//
   AB_4.5a/ bhū-graha-bhānām gola-%ardhāni sva-chāyayā vi-varṇāni/	AB_4.5a/ BU-graha-BAnAm gola-%arDAni sva-CAyayA vi-varNAni/
   AB_4.5c/ %ardhāni yathā-sāram sūrya-abhimukhāni @dīpyante//	AB_4.5c/ %arDAni yaTA-a-sAram sUrya--aBimuKAni @dIpI-ante//
   AB_4.6a/ vṛtta-bha-pañjara-madhye kakṣyā-pariveṣṭitas kha-madhya-gatas/	AB_4.6a/ vRtta-Ba--paQjara--maDye kakzyA--parivezwitaH Ka-maDya--gata-s/
   AB_4.6c/ mṛd-jala-śikhi-vāyu-mayas bhū-golas sarvatas vṛttas//	AB_4.6c/ mRd-jala--SiKi-vAyu-mayaH BU--golaH sarvatas vRtta-s//
   AB_4.7a/ yad-vat kadamba-puṣpa-granthis pracitas samantatas kusumais/	AB_4.7a/ yat--vat kadamba--puzpa-granTiH pracitaH samantataH kusumEs/
   AB_4.7c/ tad-vat hi sarva-sattvais jala-jais sthala-jais ca bhū-golas//	AB_4.7c/ tad--vat hi sarva-sattvEH jala-jEH sTala--jEH ca BU--golas//
   AB_4.8a/ brahma-divasena bhūmes upariṣṭāt yojanam @bhavati vṛddhis/	AB_4.8a/ brahma--divasena BUmeH uparizwAt yojanam @Bavati vRdDis/
   AB_4.8c/ dina-tulyayā %eka-rātryā mṛd-upacitāyā @bhavati hānis//	AB_4.8c/ dina--tulyayA %eka--rAtryAH mRd-upacitAyAH @Bavati hAni-s//
   AB_4.9a/ anuloma-gatis nau-sthas @paśyati acalam viloma-gam yad-vat/	AB_4.9a/ anuloma--gatiH nO-sTaH @paSyati acalam viloma--gam yat--vat/
   AB_4.9c/ acalāni bhāni tad-vat sama-paścima-gāni laṅkāyām//	AB_4.9c/ acalAni BAni tat--vat sama-paH-cima-gAni laFkAyAm//
   AB_4.10a/ udaya-astamaya-nimittam nityam pravaheṇa vāyunā kṣiptas/	AB_4.10a/ udaya-aH-tam-aya--nimittam nityam pravaheNa vAyunA kzipta-s/
   AB_4.10c/ laṅkā-sama-paścima-gas bha-pañjaras sa-grahas @bhramati//	AB_4.10c/ laFkA--sama-paScima-gaH Ba-paQjaraH sa-grahaH @Bramati//
   AB_4.11a/ merus yojana-mātras prabhā-karas hima-vatā parikṣiptas/	AB_4.11a/ meruH yojana--mAtraH praBA-karaH hima-vatA parikzipta-s/
   AB_4.11c/ nandana-vanasya madhye ratna-mayas sarva-tas vṛttas//	AB_4.11c/ nandana--vanasya maDye ratna--mayaH sarva-tas vRtta-s//
   AB_4.12a/ svar-merū sthala-madhye narakas baḍavā-mukham ca jala-madhye/	AB_4.12a/ svar-merU sTala--maDye narakaH baxavA--muKam ca jala--maDye/
   AB_4.12c/ amara-marās @manyante parasparam adhas-sthitās niyatam//	AB_4.12c/ amara-marAH @manyante parasparam aDas--sTitAH niyatam//
   AB_4.13a/ udayas yas laṅkāyām sas astamayas savitur eva siddha-pure/	AB_4.13a/ udayaH yaH laFkAyAm saH astamayaH savituH eva sidDa--pure/
   AB_4.13c/ madhya-ahnas yama-koṭyām romaka-viṣaye %ardha-rātras @syāt//	AB_4.13c/ maDya--ahnaH yama-kowyAm romaka--vizaye %arDa-rAtraH @syAt//
   AB_4.14a/ sthala-jala-madhyāt laṅkā bhū-kakṣyāyās @bhavet %catur-bhāge/	AB_4.14a/ sTala--jala--maDyAt laFkAH BU-kakzyAyAH @Bavet %catur-BAge/
   AB_4.14c/ ujjayinī laṅkāyās tad-%catur-aṃśe sama-uttaratas//	AB_4.14c/ ujjayinI laFkAyAH tat--%catur--aMSe sama-uttaratas//
   AB_4.15a/ bhū-vyāsa-%ardhena ūnam dṛśyam deśāt samāt bha-gola-%ardham/	AB_4.15a/ BU--vyAsa-%arDena Unam dRSyam deSAt samAt Ba-gola-%arDam/
   AB_4.15c/ %ardham bhūmi-channam bhū-vyāsa-%ardha-adhikam ca eva//	AB_4.15c/ %arDam BUmi--Cannam BU--vyAsa-%arDa--aDikam ca eva//
   AB_4.16a/ devās @paśyanti bha-gola-%ardham udac-meru-saṃsthitās savyam/	AB_4.16a/ devAH @paSyanti Ba-gola-%arDam udac-meru--saMsTitAH savyam/
   AB_4.16c/ %ardham tu apasavya-gatam dakṣiṇa-baḍavā-mukhe pretās//	AB_4.16c/ %arDam tu apasavya--gatam dakziNa--baxavA--muKe pretAs//
   AB_4.17a/ ravi-varṣa-%ardham devās @paśyanti uditam ravim tathā pretās/	AB_4.17a/ ravi-varza-%arDam devAH @paSyanti uditam ravim taTA pretAs/
   AB_4.17c/ śaśi-māsa-%ardham pitaras śaśi-gās ku-dina-%ardham iha	AB_4.17c/ SaSi-mAsa-%arDam pitaraH SaSi-gAH ku-dina-%arDam iha
   manu-jās//	manu-jAs//
   AB_4.18a/ pūrva-aparam adhas-ūrdhvam maṇḍalam atha dakṣiṇa-uttaram ca eva/	AB_4.18a/ pUrva--aparam aDas-UrDvam maNxalam aTa dakziNa--uttaram ca eva/
   AB_4.18c/ kṣiti-jam sama-pārśva-stham bhānām yatra udaya-astamayau//	AB_4.18c/ kziti-jam sama-pArSva--sTam BAnAm yatra udaya-aH-tamayO//
   AB_4.19a/ pūrva-apara-diś-lagnam kṣiti-jāt akṣa-agrayos ca lagnam yat/	AB_4.19a/ pUrva--apara-diS--lagnam kziti-jAt akza-agrayoH ca lagnam yat/
   AB_4.19c/ unmaṇḍalam @bhavet tat kṣaya-vṛddhī yatra divasa-niśos//	AB_4.19c/ unmaNxalam @Bavet tat kzaya-vRdDI yatra divasa--niSos//
   AB_4.20a/ pūrva-apara-diś-rekhā adhas ca ūrdhvā dakṣiṇa-uttara-sthā ca/	AB_4.20a/ pUrva--apara-diS-reKA aDas ca UrDvA dakziNa--uttara-sTA ca/
   AB_4.20c/ etāsām sampātas draṣṭā yasmin @bhavet deśe//	AB_4.20c/ etAsAm sampAtaH drazwA yasmin @Bavet deSe//
   AB_4.21a/ ūrdhvam adhastāt draṣṭur jñeyam dṛś-maṇḍalam graha-abhimukham/	AB_4.21a/ UrDvam aDastAt drazwuH jQeyam dRS--maNxalam graha--aBimuKam/
   AB_4.21c/ dṛś-kṣepa-maṇḍalam api prāc-lagnam @syāt %tri-rāśi-ūnam//	AB_4.21c/ dRS-kzepa--maNxalam api prAc-lagnam @syAt %tri-rASi--Unam//
   AB_2.22a/ kāṣṭha-mayam sama-vṛttam samantatas sama-gurum laghum golam/	AB_2.22a/ kAzWa-mayam sama-vRttam samantataH sama--gurum laGum golam/
   AB_4.22c/ pārata-taila-jalais tam @bhramayet sva-dhiyā ca kāla-samam//	AB_4.22c/ pArata--tEla--jalEH tam @Bramayet sva-DiyA ca kAla--samam//
   AB_4.23a/ dṛś-gola-%ardha-kapāle jyā-%ardhena @vikalpayet	AB_4.23a/ dRS-gola-%arDa--kapAle jyA-%arDena @vikalpayet-
   bha-gola-%ardham/	Ba-gola-%arDam/
   AB_4.23c/ viṣuvat-jīvā-akṣa-bhujā tasyās tu avalambaks koṭis//	AB_4.23c/ vizuvat-jIvA--akza-BujA tasyAH tu avalambakH kowi-s//
   AB_4.24a/ iṣṭa-apakrama-vargam vyāsa-%ardha-kṛtes @viśodhya yat mūlam/	AB_4.24a/ izwa--apakrama-vargam vyAsa-%arDa-kRteH @viSoDya yat mUlam/
   AB_4.24c/ viṣuvat-udac-dakṣiṇatas tat ahorātra-%ardha-viṣkambhas//	AB_4.24c/ vizuvat-udac--dakziNatas tat ahorAtra--%arDa--vizkamBa-s//
   AB_4.25a/ iṣṭa-jyā-guṇitam ahorātra-vyāsa-%ardham eva kāṣṭha-antyam/	AB_4.25a/ izwa-jyA--guNitam ahorAtra--vyAsa-%arDam eva kAzWa-antyam-/
   AB_4.25c/ sva-ahorātra-%ardha-hṛtam phalam ajāt laṅkā-udaya-prāc-jyās//	AB_4.25c/ sva--ahorAtra--%arDa--hRtam Palam ajAt laFkA-udaya--prAc-jya-as//
   AB_4.26a/ iṣṭa-apakrama-guṇitām akṣa-jyām lambakena @hṛtvā yā/	AB_4.26a/ izwa--apakrama--guNitAm akza-jyAm lambakena @hRtvA yA/
   AB_4.26c/ sva-ahorātre kṣiti-jā kṣaya-vṛddhi-jyā dina-niśos sā//	AB_4.26c/ sva--ahorAtre kziti-jA kzaya-vRdDi-jyA dina--niSoH sA//
   AB_4.27a/ @udayati hi cakra-pādas cara-#dala-hīnena divasa-#pādena/	AB_4.27a/ @udayati hi cakra-pAdaH cara-#dala-hInena divasa-#pAdena/
   AB_4.27c/ %prathamas antyas ca atha anyau tad-sahitena krama-utkramaśas//	AB_4.27c/ %praTamaH antyaH ca aTa anyO tad--sahitena krama--utkrama-Sas//
   AB_4.28a/ sva-ahorātra-iṣṭa-jyā kṣiti-jāt avalambaka-āhatām @kṛtvā/	AB_4.28a/ sva--ahorAtra--izwa--jyA kziti-jAt avalambaka-AhatAm @kRtvA/
   AB_4.28c/ viṣkambha-%ardha-vibhakte dinasya gata-śeṣsayos śaṅkus//	AB_4.28c/ vizkamBa-%arDa--viBakte dinasya gata-SezsayoH SaFkus//
   AB_4.29a/ viṣuvat-jīvā-guṇitas sva-iṣṭas śaṅkus sva-lambakena hṛtas/	AB_4.29a/ vizuvat--jIvA--guNitaH sva-izwaH SaFkuH sva-lambakena hRta-s/
   AB_4.29c/ astamaya-udaya-sūtrāt dakṣiṇatas sūrya-śaṅku-agram//	AB_4.29c/ astam-aya--udaya-sUtrAt dakziNatas sUrya-SaFku-agram//
   AB_4.30a/ parama-apakrama-jīvām iṣṭa-jyā-%ardha-āhatām tatas @vibhajet/	AB_4.30a/ parama--apakrama-jIvAm izwa-jyA-%arDa-a-AhatAm tatas @viBajet-/
   AB_4.30c/ jyā lambakena labdhā arka-agrā pūrva-apare kṣiti-je//	AB_4.30c/ jyA lambakena labDA arka--agrA pUrva--apare kziti-je//
   AB_4.31a/ sā viṣuvat-jyā-ūnā ced viṣuvat-udac-lambakena saṅguṇitā/	AB_4.31a/ sA vizuvat--jyA-a-UnA ced vizuvat-uda-c--lambakena saFguNitA/
   AB_4.31c/ viṣuvat-jyayā vibhaktā labdhas pūrva-apare śaṅkus//	AB_4.31c/ vizuvat--jyayA viBaktA labDaH pUrva--apare SaFkus//
   AB_4.32a/ kṣiti-jāt unnata-bhāgānām yā jyā sā paras @bhavet śaṅkus/	AB_4.32a/ kziti-jAt unnata--BAgAnAm yA jyA sA paraH @Bavet SaFkus/
   AB_4.32c/ madhyāt nata-bhāga-jyā chāyā śaṅkos tu tasya eva//	AB_4.32c/ maDyAt nata-BAga-jyA CAyA SaFkoH tu tasya eva//
   AB_4.33a/ madhya-jyā-udaya-jīvā-saṃvarge vyāsa-#dala-hṛte yat @syāt/	AB_4.33a/ maDya-jyA-udaya-jIvA--saMvarge vyAsa-#dala-hRte yat @syAt/
   AB_4.33c/ tad-madhya-jyā-kṛtyos viśeṣa-mūlam sva-dṛś-kṣepas/	AB_4.33c/ tad--maDya-jyA--kRtyoH viSeza--mUlam sva--dRS--kzepas/
   AB_4.34a/ dṛś-dṛś-kṣepa-kṛti-viśeṣitasya mūlam sva-dṛś-gatis ku-vaśāt/	AB_4.34a/ dRS-dRS--kzepa--kRti-viSezitasya mUlam sva-dRS--gatiH ku-vaSAt/
   AB_4.34c/ kṣiti-je svā dṛś-chāyā bhū-vyāsa-%ardham nabhas-madhyāt//	AB_4.34c/ kziti-je svAH dRS-CAyA BU--vyAsa-%arDam naBas-maDyAt//
   AB_4.35a/ vikṣepa-guṇa-akṣa-jyā lambaka-bhaktā @bhavet ṛṇam udac-sthe/	AB_4.35a/ vikzepa--guNa--akza--jyA lambaka-BaktAH @Bavet RNam udac-sTe/
   AB_4.35c/ udaye dhanam astamaye dakṣiṇa-ge dhanam ṛṇam candre//	AB_4.35c/ udaye Danam astamaye dakziNa-ge Danam RNam candre//
   AB_4.36a/ vikṣepa-apakrama-guṇam utkramaṇam vistara-%ardha-kṛti-bhaktam/	AB_4.36a/ vikzepa-apakrama-guNam utkramaNam vistara-%arDa-kRti-Baktam/
   AB_4.36c/ udac-ṛṇa-dhanam udac-ayane dakṣiṇa-ge dhanam ṛṇam yāmye//	AB_4.36c/ udac-RNa-Danam udac-ayane dakziNa-ge Danam RNam yAmye//
   AB_4.37a/ candras jalam arkas agnis mṛd-bhū-chāyā api yā tamas tat hi/	AB_4.37a/ candraH jalam arkaH agniH mRd-BU--CAyA api yA tamaH tat hi/
   AB_4.37c/ @chādayati śaśī sūryam śaśinam mahatī ca bhū-chāyā//	AB_4.37c/ @CAdayati SaSI sUryam SaSinam mahatI ca BU-CAyA//
   AB_4.38a/ sphuṭa-śaśi-māsa-ante arkam pāta-āsannas yadā @praviśati indus/	AB_4.38a/ sPuwa--SaSi---mAsa-ante arkam pAta-a-AsannaH yadA @praviSati indus/
   AB_4.38c/ bhū-chāyām pakṣa-ante tadā adhika-ūnam grahaṇa-madhyam//	AB_4.38c/ BU-CAyAm pakza-ante tadA aDika--Unam grahaNa-maDyam//
   AB_4.39a/ bhū-ravi-vivaram @vibhajet bhū-guṇitam tu ravi-bhū-viśeṣeṇa/	AB_4.39a/ BU-ravi--vivaram @viBajet BU--guNitam tu ravi-BU--viSezeNa/
   AB_4.39c/ bhū-chāyā-dīrghatvam labdham bhū-gola-viṣkambhāt//	AB_4.39c/ BU--CAyA--dIrGa-tvam labDam BU--gola--vizkamBAt//
   AB_4.40a/ chāyā-agra-candra-vivaram bhū-viṣkambheṇa tat samabhyastam/	AB_4.40a/ CAyA--agra--candra--vivaram BU--vizkamBeNa tat samaByastam/
   AB_4.40c/ bhū-chāyayā vibhaktam @vidyāt tamasas sva-viṣkambham//	AB_4.40c/ BU--CAyayA viBaktam @vidyAt tamasaH sva-vizkamBam//
   AB_4.41a/ tad-śaśi-samparka-%ardha-kṛtes śaśi-vikṣepa-vargitam śodhyam/	AB_4.41a/ tad--SaSi--samparka--%arDa-kRteH SaSi--vikzepa--vargitam SoDyam/
   AB_4.41c/ sthiti-%ardham asya mūlam jñeyam candra-arka-dina-bhogāt//	AB_4.41c/ sTiti--%arDam asya mUlam jQeyam candra--arka--dina-Boga-at//
   AB_4.42a/ candra-vyāsa-%ardha-ūnasya vargitam yat tamas-maya-%ardhasya/	AB_4.42a/ candra-vyAsa-%arDa--Unasya vargitam yat tamas-maya-%arDasya/
   AB_4.42c/ vikṣepa-kṛti-vihīnam tasmāt mūlam vimarda-%ardham//	AB_4.42c/ vikzepa--kRti-vihInam tasmAt mUlam vimarda-%arDam//
   AB_4.43a/ tamasas viṣkambha-%ardham śaśi-viṣkambha-%ardha-varjitam	AB_4.43a/ tamasaH vizkamBa-%arDam SaSi-vizkamBa-%arDa---varjitam
   @apohya/	@apohya/
   AB_4.43c/ vikṣepāt yat śeṣam na @gṛhyate tat śaśāṅkasya//	AB_4.43c/ vikzepAt yat Sezam na @gRhyate tat SaSAFkasya//
   AB_4.44a/ vikṣepa-varga-sahitāt sthiti-madhyāt iṣṭa-varjitāt mūlam/	AB_4.44a/ vikzepa--varga--sahitAt sTiti-maDyAt izwa--varjitAt mUlam/
   AB_4.44c/ samparka-%ardhāt śodhyam śeṣas tātkālikas grāsas//	AB_4.44c/ samparka--%arDAt SoDyam SezaH tAtkAlikaH grAsa-s//
   AB_4.45a/ madhya-ahna-utkrama-guṇitas akṣas dakṣiṇatas	AB_4.45a/ maDya--ahna--utkrama--guNitaH akzaH dakziNatas
   %ardha-vistara-hṛtas dik/	%arDa--vistara--hRtaH dik/
   AB_4.45c/ sthiti-%ardhāt ca arka-indvos %tri-rāśi-sahita-ayanāt sparśe//	AB_4.45c/ sTiti--%arDAt ca arka-indvoH %tri-rASi--sahita--ayanAt sparSe//
   AB_4.46a/ pragrahaṇa-ante dhūmras khaṇḍa-grahaṇe śaśī @bhavati kṛṣṇas/	AB_4.46a/ pragrahaNa-ante DUmraH KaNxa--grahaNe SaSI @Bavati kRzNas/
   AB_4.46c/ sarva-grāse kapilas sa-kṛṣṇa-tāmras tamas-madhye//	AB_4.46c/ sarva--grAse kapilaH sa-kRzNa--tAmraH tamas--maDye//
   AB_4.47a/ sūrya-indu-paridhi-yoge arka-%aṣṭama-bhāgas @bhavati anādeśyas/	AB_4.47a/ sUrya--indu--pariDi--yoge arka--%azwama-BAgaH @Bavati anAdeSyas/
   AB_4.47c/ bhānos bhāsvara-bhāvāt su-accha-tanutvāt ca śaśi-paridhes//	AB_4.47c/ BAnoH BAsvara-BAvAt su--acCa--tanu-tvAt ca SaSi-pariDes//
   AB_4.48a/ kṣiti-ravi-yogāt dina-kṛt ravi-indu-yogāt @prasādhayet ca indum/	AB_4.48a/ kziti-ravi--yogAt dina-kRt ravi--indu--yogAt @prasADayet ca indum/
   AB_4.48c/ śaśi-tārā-graha-yogāt tathā eva tārā-grahās sarve//	AB_4.48c/ SaSi--tArA--graha--yogAt taTA eva tArA-grahAH sarve//
   AB_4.49a/ sat-asat-jñāna-samudrāt samuddhṛtam brahmaṇas prasādena/	AB_4.49a/ sat-a-sat--jQAna--samudrAt samudDRtam brahmaNaH prasAdena/
   AB_4.49c/ sat-jñāna-uttama-ratnam mayā nimagnam sva-mati-nāvā//	AB_4.49c/ sat--jQAna--uttama-ratnam mayA nimagnam sva-mati-nAvA//
   AB_4.50a/ āryabhaṭīyam nāmnā pūrvam svāyambhuavam sadā nityam/	AB_4.50a/ AryaBawI-iyam nAmnA pUrvam svAyamBuavam sadA nityam/
   AB_4.50c/ su-kṛta-āyuṣos praṇāśam @kurute pratikañcukam yas asya//	AB_4.50c/ su-kRta--AyuzoH praNASam @kurute pratikaQcukam yaH asya//
