   mātṛkā 1	mAtRkA 1
   ādhiḥ sīmā bāladhanaṃ nikṣepopanidhī striyaḥ /	ADiH sImA bAla-Danam nikzepa-upaniDI striyaH /
   rājasvaṃ śrotriyasvaṃ ca nopabhogena jīryate // Nar_1.73 //	rAja-svam Srotriya-svam ca na-upaBogena jIryate // Nar_1.73 //
   pratyakṣaparibhogāc ca svāmino dvidaśāḥ samāḥ /	pratyakza-pariBogAt ca svAminaH dvi-daSAH samAH /
   ādhyādīny api jīryante strīnarendradhanād ṛte // Nar_1.74 //	ADi-AdIni api jIryante strI-narendra-DanAt Rte // Nar_1.74 //
   strīdhanaṃ ca narendrāṇāṃ na kadācana jīryate /	strIDanam ca narendrANAm na kadAcana jIryate /
   anāgamaṃ bhujyamānaṃ vatsarāṇāṃ śatair api // Nar_1.75 //	anAgamam BujyamAnam vatsarANAm SatEH api // Nar_1.75 //
   nirbhogo yatra dṛśyeta na dṛśyetāgamaḥ kvacit /	nirBogaH yatra dRSyeta na dRSyet-a-AgamaH kvacid /
   āgamaḥ kāraṇaṃ tatra na bhogas tatra kāraṇam // Nar_1.76 //	AgamaH kAraNam tatra na BogaH tatra kAraNam // Nar_1.76 //
   anāgamaṃ bhujyate yan na tad bhogo 'tivartate /	anAgamam Bujyate yat na tat BogaH ativartate /
   prete tu bhoktari dhanaṃ yāti tadvaṃśyabhogyatām // Nar_1.77 //	prete tu Boktari Danam yAti tad-vaMSya-Bogya-tAm // Nar_1.77 //
   āhartaivābhiyuktaḥ sann arthānām uddharet padam /	AhartA-eva-aBiyuktaH san arTAnAm udDaret padam /
   bhuktir eva viśuddhiḥ syāt prāptānāṃ pitṛtaḥ kramāt // Nar_1.78 //	BuktiH eva viSudDiH syAt prAptAnAm pitRtaH kramAt // Nar_1.78 //
   anvāhitaṃ hṛtaṃ nyastaṃ balāvaṣṭabdhaṃ yācitam /	anvAhitam hRtam nyastam bala-avazwabDam yAcitam /
   apratyakṣaṃ ca yad bhuktaṃ ṣaḍ etāny āgamaṃ vinā // Nar_1.79 //	apratyakzam ca yat Buktam zaw etAni Agamam vinA // Nar_1.79 //
   tathārūḍhavivādasya pretasya vyavahāriṇaḥ /	taTA-ArUXa-vivAdasya pretasya vyavahAriNaH /
   putreṇa so 'rthaḥ saṃśodhyo na taṃ bhogo 'tivartate // Nar_1.80 //	putreNa saH arTaH saMSoDyaH na tam BogaH ativartate // Nar_1.80 //
   yad vināgamam apy ūrdhvaṃ bhuktaṃ pūrvais tribhir bhavet /	yat vinA-Agamam api UrDvam Buktam pUrvEH triBiH Bavet /
   na tac chakyam apākartuṃ kramāt tripuruṣāgatam // Nar_1.81 //	na tat Sakyam apAkartum kramAt tri-puruza-Agatam // Nar_1.81 //
   santo 'pi na pramāṇaṃ syur mṛte dhanini sākṣiṇaḥ /	santaH api na pramANam syuH mRte Danini sAkziNaH /
   anyatra śrāvitaṃ yat syāt svayam āsannamṛtyunā // Nar_1.82 //	anyatra SrAvitam yat syAt svayam Asanna-mRtyunA // Nar_1.82 //
   na hi pratyarthini prete pramāṇaṃ sākṣiṇāṃ vacaḥ /	na hi pratyarTini prete pramANam sAkziNAm vacaH /
   sākṣimat karaṇaṃ tatra pramāṇaṃ syād viniścaye // Nar_1.83 //	sAkzimat karaNam tatra pramANam syAt viniScaye // Nar_1.83 //
   śrāvitas tv ātureṇāpi yas tv artho dharmasaṃhitaḥ /	SrAvitaH tu AtureNa-api yaH tu arTaH Darma-saMhitaH /
   mṛte 'pi tatra sākṣī syāt ṣaṭsu cānvāhitādiṣu // Nar_1.84 //	mRte api tatra sAkzI syAt zawsu ca-anvAhita-Adizu // Nar_1.84 //
   kriya rṇādiṣu sarveṣu balavaty uttarottarā /	kriya rNa-Adizu sarvezu balavatI uttarottarA /
   pratigrahādhikrīteṣu pūrvā pūrvā garīyasī // Nar_1.85 //	pratigraha-aDi-krItezu pUrvA pUrvA garIyasI // Nar_1.85 //
   sthānalābhanimittaṃ hi dānagrahaṇam iṣyate /	sTAna-lABa-nimittam hi dAna-grahaNam izyate /
   tat kusīdam iti proktaṃ tena vṛttiḥ kusīdinām // Nar_1.86 //	tat kusIdam iti proktam tena vRttiH kusIdinAm // Nar_1.86 //
   kāyikā kālikā caiva kāritā ca tathā smṛtā /	kAyikA kAlikA ca-eva kAritA ca taTA smRtA /
   cakravṛddhiś ca śāstreṣu tasya vṛddhiś caturvidhā // Nar_1.87 //	cakravRdDiH ca SAstrezu tasya vRdDiH caturviDAH // Nar_1.87 //
   kāyāvirodhinī śaśvat paṇapādyā tu kāyikā /	kAya-aviroDinI SaSvat paNapAdyA tu kAyikAH /
   pratimāsaṃ sravati yā vṛddhiḥ sā kālikā smṛtā // Nar_1.88 //	pratimAsam sravati yA vRdDiH sA kAlikA smRtAH // Nar_1.88 //
   vṛddhiḥ sā kāritā nāma ya rṇikena svayaṃkṛtā /	vRdDiH sA kAritA nAma yaH rNikena svayaMkRtA /
   vṛddher api punar vṛddhiś cakravṛddhir udāhṛtā // Nar_1.89 //	vRdDeH api punar vRdDiH cakravRdDiH udAhRtA // Nar_1.89 //
   ṛṇānāṃ sārvabhaumo 'yaṃ vidhir vṛddhikaraḥ smṛtaḥ /	RNAnAm sArvaBOmaH ayam viDiH vRdDi-karaH smRtaH /
   deśācāravidhis tv anyo yatra rṇam avatiṣṭhati // Nar_1.90 //	deSa-AcAra-viDiH tu anyaH yatra rNam avatizWati // Nar_1.90 //
   dviguṇaṃ triguṇaṃ caiva tathānyasmiṃś caturguṇam /	dviguNam triguNam ca-eva taTA-anyasmin caturguNam /
   tathāṣṭaguṇam anyasmin deśe deśe 'vatiṣṭhate // Nar_1.91 //	taTA-azwaguNam anyasmin deSe deSe avatizWate // Nar_1.91 //
   hiraṇyadhānyavastrāṇāṃ vṛddhir dvitricaturguṇā /	hiraNya-DAnya-vastrANAm vRdDiH dvi-tri-caturguNAH /
   ghṛtasyāṣṭaguṇā vṛddhiḥ strīpaśūnāṃ ca saṃtatiḥ // Nar_1.92 //	GRtasya-azwaguNA vRdDiH strI-paSUnAm ca saMtatiH // Nar_1.92 //
   sūtrakarpāsakiṇvānāṃ trapuṣaḥ sīsakasya ca /	sUtra-karpAsa-kiNvAnAm trapuzaH sIsakasya ca /
   āyudhānāṃ ca sarveṣāṃ carmaṇas tāmralohayoḥ // Nar_1.93 //	AyuDAnAm ca sarvezAm carmaNaH tAmra-lohayoH // Nar_1.93 //
   anyeṣāṃ caiva sarveṣām iṣṭakānāṃ tathaiva ca /	anyezAm ca-eva sarvezAm izwakAnAm taTA-eva ca /
   akṣayyā vṛddhir eteṣāṃ manur āha prajāpatiḥ // Nar_1.94 //	akzayyA vRdDiH etezAm manuH Aha prajApatiH // Nar_1.94 //
   tailānāṃ caiva sarveṣāṃ madyānāṃ madhusarpiṣām /	tElAnAm ca-eva sarvezAm madyAnAm maDu-sarpizAm /
   vṛddhir aṣṭaguṇā jñeyā guḍasya lavaṇasya ca // Nar_1.95 //	vRdDiH azwaguNAH jQeyAH guxasya lavaNasya ca // Nar_1.95 //
   na vṛddhiḥ prītidattānāṃ syād anākāritā kvacit /	na vRdDiH prIti-dattAnAm syAt anAkAritA kvacid /
   anākāritam apy ūrdhvaṃ vatsarārdhād vivardhate // Nar_1.96 //	anAkAritam api UrDvam vatsara-arDAt vivarDate // Nar_1.96 //
   eṣa vṛddhividhiḥ proktaḥ prativṛddhasya dharmataḥ /	eza vRdDi-viDiH proktaH prativRdDasya DarmataH /
   vṛddhis tu yoktā dhānyānāṃ vārdhuṣyaṃ tad udāhṛtam // Nar_1.97 //	vRdDiH tu yoktA DAnyAnAm vArDuzyam tat udAhRtam // Nar_1.97 //
   āpadaṃ nistared vaiśyaḥ kāmaṃ vārdhuṣakarmaṇā /	Apadam nistaret vESyaH kAmam vArDuza-karmaNA /
   āpatsv api hi kaṣṭāsu brāhmaṇasya na vārdhuṣam // Nar_1.98 //	Apatsu api hi kazwAsu brAhmaNasya na vArDuzam // Nar_1.98 //
   brāhmaṇasya tu yad deyaṃ sānvayasya na cāsti saḥ /	brAhmaNasya tu yat deyam sa-anvayasya na ca-asti saH /
   svakulyasyāsya nivapet tadabhāve 'sya bandhuṣu // Nar_1.99 //	sva-kulyasya-asya nivapet tad-aBAve asya banDuzu // Nar_1.99 //
   yadā tu na svakulyāḥ syur na ca saṃbandhibāndhavāḥ /	yadA tu na sva-kulyAH syuH na ca saMbanDi-bAnDavAH /
   tadā dadyāt svajātibhyas teṣv asatsv apsu nikṣipet // Nar_1.100 //	tadA dadyAt sva-jAtiByaH tezu asatsu apsu nikzipet // Nar_1.100 //
   gṛhītvopagataṃ dadyād ṛṇikāyodayaṃ dhanī /	gRhItvA-upagatam dadyAt RNikAya-udayam DanI /
   adadad yācyamānas tu śeṣahānim avāpnuyāt // Nar_1.101 //	adadat yAcyamAnaH tu Seza-hAnim avApnuyAt // Nar_1.101 //
   lekhyaṃ dadyād ṛṇe śuddhe tadabhāve pratiśravam /	leKyam dadyAt RNe SudDe tad-aBAve pratiSravam /
   dhanikarṇikayor evaṃ viśuddhiḥ syāt parasparam // Nar_1.102 //	Danika-RNikayoH evam viSudDiH syAt parasparam // Nar_1.102 //
   viśrambhahetū dvāv atra pratibhūr ādhir eva ca /	viSramBa-hetU dvO atra pratiBUH ADiH eva ca /
   likhitaṃ sākṣiṇaś ca dve pramāṇe vyaktikārake // Nar_1.103 //	liKitam sAkziNaH ca dve pramANe vyakti-kArake // Nar_1.103 //
   upasthānāya dānāya pratyayāya tathaiva ca /	upasTAnAya dAnAya pratyayAya taTA-eva ca /
   trividhaḥ pratibhūr dṛṣṭas triṣv evārtheṣu sūribhiḥ // Nar_1.104 //	triviDaH pratiBUH dRzwaH trizu eva-arTezu sUriBiH // Nar_1.104 //
   ṛṇiṣv apratikurvatsu pratyaye vā vivādite /	RNizu apratikurvatsu pratyaye vA vivAdite /
   pratibhūs tad ṛṇaṃ dadyād anupasthāpayaṃs tathā // Nar_1.105 //	pratiBUH tat RNam dadyAt anupasTApayan taTA // Nar_1.105 //
   bahavaś cet pratibhuvo dadyus te 'rthaṃ yathākṛtam /	bahavaH ced pratiBuvaH dadyuH te arTam yaTAkRtam /
   arthe 'viśeṣite hy eṣu dhaninaś chandataḥ kriyā // Nar_1.106 //	arTe aviSezite hi ezu DaninaH CandataH kriyA // Nar_1.106 //
   yaṃ cārthaṃ pratibhūr dadyād dhanikenopapīḍitaḥ /	yam ca-arTam pratiBUH dadyAt Danikena-upapIxitaH /
   ṛṇikas taṃ pratibhuve dviguṇaṃ pratipādayet // Nar_1.107 //	RNikaH tam pratiBuve dviguNam pratipAdayet // Nar_1.107 //
   adhikriyata ity ādhiḥ sa vijñeyo dvilakṣaṇaḥ /	aDikriyate iti ADiH sa vijQeyaH dvi-lakzaNaH /
   kṛtakālopaneyaś ca yāvaddeyodyatas tathā // Nar_1.108 //	kRta-kAla-upaneyaH ca yAvat-deyA-udyataH taTA // Nar_1.108 //
   sa punar dvividhaḥ prokto gopyo bhogyas tathaiva ca /	sa punar dviviDaH proktaH gopyaH BogyaH taTA-eva ca /
   pratidānaṃ tathaivāsya lābhahānir viparyaye // Nar_1.109 //	pratidAnam taTA-eva-asya lABa-hAniH viparyaye // Nar_1.109 //
   pramādād dhaninas tadvad ādhau vikṛtim āgate /	pramAdAt DaninaH tadvat ADO vikRtim Agate /
   vinaṣṭe mūlanāśaḥ syād daivarājakṛtād ṛte // Nar_1.110 //	vinazwe mUla-nASaH syAt dEva-rAja-kRtAt Rte // Nar_1.110 //
   rakṣyamāṇo 'pi yatrādhiḥ kāleneyād asāratām /	rakzyamANaH api yatra-ADiH kAlena-IyAt asAra-tAm /
   ādhir anyo 'dhikartavyo deyaṃ vā dhanine dhanam // Nar_1.111 //	ADiH anyaH aDikartavyaH deyam vA Danine Danam // Nar_1.111 //
   atha śaktivihīnaḥ syād ṛṇī kālaviparyayāt /	aTa Sakti-vihInaH syAt RNI kAla-viparyayAt /
   śakyaprekṣam ṛṇaṃ dāpyaḥ kāle kāle yathodayam // Nar_1.112 //	Sakya-prekzam RNam dApyaH kAle kAle yaTA-udayam // Nar_1.112 //
   śakto vā yadi daurātmyān na dadyād dhanine dhanam /	SaktaH vA yadi dOrAtmyAt na dadyAt Danine Danam /
   rājñā dāpayitavyaḥ syād gṛhītvāṃśaṃ tu viṃśakam // Nar_1.113 //	rAjQA dApayitavyaH syAt gRhItvA-aMSam tu viMSakam // Nar_1.113 //
   naśyed ṛṇaparīmāṇaṃ kāleneha rṇikasya cet /	naSyet RNa-parImANam kAlena-iha rNikasya ced /
   jātisaṃjñādhivāsānām āgamo lekhyataḥ smṛtaḥ // Nar_1.114 //	jAti-saMjQA-aDivAsAnAm AgamaH leKyataH smRtaH // Nar_1.114 //
   lekhyaṃ tu dvividhaṃ jñeyaṃ svahastānyakṛtaṃ tathā /	leKyam tu dviviDam jQeyam sva-hasta-anya-kRtam taTA /
   asākṣimat sākṣimac ca siddhir deśasthites tayoḥ // Nar_1.115 //	asAkzimat sAkzimat ca sidDiH deSa-sTiteH tayoH // Nar_1.115 //
   deśācārāviruddhaṃ yad vyaktādhikṛtalakṣaṇam /	deSa-AcAra-avirudDam yat vyakta-aDikRta-lakzaNam /
   tat pramāṇaṃ smṛtaṃ lekhyam aviluptakramākṣaram // Nar_1.116 //	tat pramANam smRtam leKyam avilupta-krama-akzaram // Nar_1.116 //
   mattābhiyuktastrībāla- balātkārakṛtaṃ ca yat /	matta-aBiyukta-strI-bAla balAtkAra-kRtam ca yat /
   tad apramāṇakaraṇaṃ bhītopadhikṛtaṃ tathā // Nar_1.117 //	tat apramANa-karaNam BIta-upaDi-kRtam taTA // Nar_1.117 //
   mṛtāḥ syuḥ sākṣiṇo yatra dhanikarṇikalekhakāḥ /	mRtAH syuH sAkziNaH yatra Danika-RNika-leKakAH /
   tad apy apārthaṃ likhitam ṛte tv ādheḥ sthirāśrayāt // Nar_1.118 //	tat api apArTam liKitam Rte tu ADeH sTira-ASrayAt // Nar_1.118 //
   ādhir yo dvividhaḥ prokto jaṅgamaḥ sthāvaras tathā /	ADiH yaH dviviDaH proktaH jaFgamaH sTAvaraH taTA /
   siddhir atrobhayasyāsya bhogo yady asti nānyathā // Nar_1.119 //	sidDiH atra-uBayasya-asya BogaH yadi asti na-anyaTA // Nar_1.119 //
   darśitaṃ pratikālaṃ yac chrāvitaṃ śrāvitaṃ ca yat /	darSitam pratikAlam yat SrAvitam SrAvitam ca yat /
   lekhyaṃ sidhyati sarvatra mṛteṣv api hi sākṣiṣu // Nar_1.120 //	leKyam siDyati sarvatra mRtezu api hi sAkzizu // Nar_1.120 //
   aśrutārtham adṛṣṭārthaṃ vyavahārārtham eva ca /	aSruta-arTam adRzwa-arTam vyavahAra-arTam eva ca /
   na lekhyaṃ siddhim āpnoti jīvatsv api hi sākṣiṣu // Nar_1.121 //	na leKyam sidDim Apnoti jIvatsu api hi sAkzizu // Nar_1.121 //
   lekhye deśāntaranyaste dagdhe durlikhite hṛte /	leKye deSa-antara-nyaste dagDe durliKite hRte /
   satas tatkālakaraṇam asato dṛṣṭadarśanam // Nar_1.122 //	sataH tad-kAla-karaNam asataH dRzwa-darSanam // Nar_1.122 //
   yasmin syāt saṃśayo lekhye bhūtābhūtakṛte kvacit /	yasmin syAt saMSayaH leKye BUta-aBUta-kRte kvacid /
   tatsvahastakriyācihna- prāptiyuktibhir uddharet // Nar_1.123 //	tad-sva-hasta-kriyA-cihna prApti-yuktiBiH udDaret // Nar_1.123 //
   lekhyaṃ yac cānyanāmāṅkaṃ hetvantarakṛtaṃ bhavet /	leKyam yat ca-anya-nAma-aFkam hetu-antara-kRtam Bavet /
   vipratyaye parīkṣyaṃ tat saṃbandhāgamahetubhiḥ // Nar_1.124 //	vipratyaye parIkzyam tat saMbanDa-Agama-hetuBiH // Nar_1.124 //
   lekhyaṃ yac cānyanāmāṅkaṃ hetvantarakṛtaṃ bhavet /	leKyam yat ca-anya-nAma-aFkam hetu-antara-kRtam Bavet /
   vipratyaye parīkṣyaṃ tat saṃbandhāgamahetubhiḥ // Nar_1.124*1 //	vipratyaye parIkzyam tat saMbanDa-Agama-hetuBiH // Nar_1.124*1 //
   likhitaṃ likhitenaiva sākṣimat sākṣibhir haret /	liKitam liKitena-eva sAkzimat sAkziBiH haret /
   sākṣibhyo likhitaṃ śreyo likhitena tu sākṣiṇaḥ // Nar_1.125 //	sAkziByaH liKitam SreyaH liKitena tu sAkziNaH // Nar_1.125 //
   chinnabhinnahṛtonmṛṣṭa- naṣṭadurlikhiteṣu ca /	Cinna-Binna-hRta-unmRzwa nazwa-durliKitezu ca /
   kartavyam anyal lekhyaṃ syād eṣa lekhyavidhiḥ smṛtaḥ // Nar_1.126 //	kartavyam anyat leKyam syAt eza leKya-viDiH smRtaH // Nar_1.126 //
   saṃdigdheṣu tu kāryeṣu dvayor vivadamānayoḥ /	saMdigDezu tu kAryezu dvayoH vivadamAnayoH /
   dṛṣṭaśrutānubhūtatvāt sākṣibhyo vyaktidarśanam // Nar_1.127 //	dRzwa-Sruta-anuBUta-tvAt sAkziByaH vyakti-darSanam // Nar_1.127 //
   samakṣadarśanāt sākṣī vijñeyaḥ śrotracakṣuṣoḥ /	samakza-darSanAt sAkzI vijQeyaH Srotra-cakzuzoH /
   śrotrasya yat paro brūte cakṣuṣaḥ kāyakarma yat // Nar_1.128 //	Srotrasya yat paraH brUte cakzuzaH kAya-karma yat // Nar_1.128 //
   ekādaśavidhaḥ sākṣī sa tu dṛṣṭo manīṣibhiḥ /	ekAdaSaviDaH sAkzI sa tu dRzwaH manIziBiH /
   kṛtaḥ pañcavidhas teṣāṃ ṣaḍvidho 'kṛta ucyate // Nar_1.129 //	kRtaH paQcaviDaH tezAm zaxviDaH akRtaH ucyate // Nar_1.129 //
   likhitaḥ smāritaś caiva yadṛcchābhijña eva ca /	liKitaH smAritaH ca-eva yadRcCA-aBijQaH eva ca /
   gūḍhaś cottarasākṣī ca sākṣī pañcavidhaḥ smṛtaḥ // Nar_1.130 //	gUXaH ca-uttara-sAkzI ca sAkzI paQcaviDaH smRtaH // Nar_1.130 //
   akṛtaḥ ṣaḍvidhaś cāpi sūribhiḥ parikīrtitaḥ /	akRtaH zaxviDaH ca-api sUriBiH parikIrtitaH /
   grāmaś ca prāḍvivākaś ca rājā ca vyavahāriṇām // Nar_1.131 //	grAmaH ca prAxvivAkaH ca rAjA ca vyavahAriNAm // Nar_1.131 //
   kāryeṣv abhyantaro yaḥ syād arthinā prahitaś ca yaḥ /	kAryezu aByantaraH yaH syAt arTinA prahitaH ca yaH /
   kulaṃ kulavivādeṣu bhaveyus te 'pi sākṣiṇaḥ // Nar_1.132 //	kulam kula-vivAdezu BaveyuH te api sAkziNaH // Nar_1.132 //
   kulīnā ṛjavaḥ śuddhā janmataḥ karmato 'rthataḥ /	kulInAH RjavaH SudDAH janmataH karmataH arTataH /
   tryavarāḥ sākṣiṇo 'nindyāḥ śucayaḥ syuḥ subuddhayaḥ // Nar_1.133 //	tri-avarAH sAkziNaH anindyAH SucayaH syuH su-budDayaH // Nar_1.133 //
   brāhmaṇāḥ kṣatriyā vaiśyāḥ śūdrā ye cāpy aninditāḥ /	brAhmaNAH kzatriyAH vESyAH SUdrAH ye ca-api aninditAH /
   prativarṇaṃ bhaveyus te sarve sarveṣu vā punaḥ // Nar_1.134 //	prativarNam BaveyuH te sarve sarvezu vA punar // Nar_1.134 //
   śreṇīṣu śreṇipuruṣāḥ sveṣu vargeṣu vargiṇaḥ /	SreNIzu SreNi-puruzAH svezu vargezu vargiNaH /
   bahirvāsiṣu bāhyāś ca striyaḥ striṣu ca sākṣiṇaḥ // Nar_1.135 //	bahis-vAsizu bAhyAH ca striyaH strizu ca sAkziNaH // Nar_1.135 //
   śreṇyādiṣu tu vargeṣu kaścic ced dveṣyatām iyāt /	SreNi-Adizu tu vargezu kaScid ced dvezya-tAm iyAt /
   tebhya eva na sākṣī syād dveṣṭāraḥ sarva eva te // Nar_1.136 //	teByaH eva na sAkzI syAt dvezwAraH sarve eva te // Nar_1.136 //
   asākṣy api hi śāstreṣu dṛṣṭaḥ pañcavidho budhaiḥ /	asAkzI api hi SAstrezu dRzwaH paQcaviDaH buDEH /
   vacanād doṣato bhedāt svayamukter mṛtāntaraḥ // Nar_1.137 //	vacanAt dozataH BedAt svayamukteH mRta-antaraH // Nar_1.137 //
   śrotriyādyā vacanataḥ stenādyā doṣadarśanāt /	Srotriya-AdyAH vacanataH stena-AdyAH doza-darSanAt /
   bhedād vipratipattiḥ syād vivāde yatra sākṣiṇaḥ // Nar_1.138 //	BedAt vipratipattiH syAt vivAde yatra sAkziNaH // Nar_1.138 //
   svayamukter anirdiṣṭaḥ svayam evaitya yo vadet /	svayamukteH anirdizwaH svayam eva-etya yaH vadet /
   mṛtāntaro 'rthini prete mumūrṣuśrāvitād ṛte // Nar_1.139 //	mRta-antaraH arTini prete mumUrzu-SrAvitAt Rte // Nar_1.139 //
   śrotriyās tāpasā vṛddhā ye ca pravrajitā narāḥ /	SrotriyAH tApasAH vRdDAH ye ca pravrajitAH narAH /
   asākṣiṇas te vacanān nātra hetur udāhṛtaḥ // Nar_1.140 //	asAkziNaH te vacanAt na-atra hetuH udAhRtaH // Nar_1.140 //
   stenāḥ sāhasikāś caṇḍāḥ kitavā vadhakās tathā /	stenAH sAhasikAH caNxAH kitavAH vaDakAH taTA /
   asākṣiṇas te duṣṭatvāt teṣu satyaṃ na vidyate // Nar_1.141 //	asAkziNaH te duzwa-tvAt tezu satyam na vidyate // Nar_1.141 //
   rājñā parigṛhīteṣu sākṣiṣv ekārthaniścaye /	rAjQA parigRhItezu sAkzizu eka-arTa-niScaye /
   vacanaṃ yatra bhidyate te syur bhedād asākṣiṇaḥ // Nar_1.142 //	vacanam yatra Bidyate te syuH BedAt asAkziNaH // Nar_1.142 //
   anirdiṣṭas tu sākṣitve svayam evaitya yo vadet /	anirdizwaH tu sAkzi-tve svayam eva-etya yaH vadet /
   sūcīty uktaḥ sa śāstreṣu na sa sākṣitvam arhati // Nar_1.143 //	sUcI-iti uktaH sa SAstrezu na sa sAkzi-tvam arhati // Nar_1.143 //
   yo 'rthaḥ śrāvayitavyaḥ syāt tasminn asati cārthini /	yaH arTaH SrAvayitavyaH syAt tasmin asati ca-arTini /
   kva tad vadatu sākṣitvam ity asākṣī mṛtāntaraḥ // Nar_1.144 //	kva tat vadatu sAkzi-tvam iti asAkzI mRta-antaraH // Nar_1.144 //
   yo 'rthaḥ śrāvayitavyaḥ syāt tasminn asati cārthini /	yaH arTaH SrAvayitavyaH syAt tasmin asati ca-arTini /
   kva tad vadatu sākṣitvam ity asākṣī mṛtāntaraḥ // Nar_1.144*1 //	kva tat vadatu sAkzi-tvam iti asAkzI mRta-antaraH // Nar_1.144*1 //
   dvayor vivadator arthe dvayoḥ satsu ca sākṣiṣu /	dvayoH vivadatoH arTe dvayoH satsu ca sAkzizu /
   pūrvapakṣo bhaved yasya bhaveyus tasya sākṣiṇaḥ // Nar_1.145 //	pUrva-pakzaH Bavet yasya BaveyuH tasya sAkziNaH // Nar_1.145 //
   ādharyaṃ pūrvapakṣasya yasminn arthe vaśād bhavet /	ADaryam pUrva-pakzasya yasmin arTe vaSAt Bavet /
   praṣṭavyāḥ sākṣiṇas tatra vivāde prativādinaḥ // Nar_1.146 //	prazwavyAH sAkziNaH tatra vivAde prativAdinaH // Nar_1.146 //
   na pareṇa samuddiṣṭam upeyāt sākṣiṇaṃ rahaḥ /	na pareNa samuddizwam upeyAt sAkziNam rahaH /
   bhedayet taṃ na cānyena hīyetaivaṃ samācaran // Nar_1.147 //	Bedayet tam na ca-anyena hIyeta-evam samAcaran // Nar_1.147 //
   sākṣy uddiṣṭo yadi preyād gacched vāpi digantaram /	sAkzI uddizwaH yadi preyAt gacCet vA-api digantaram /
   tacchrotāraḥ pramāṇaṃ syuḥ pramāṇaṃ hy uttarakriyā // Nar_1.148 //	tad-SrotAraH pramANam syuH pramANam hi uttara-kriyA // Nar_1.148 //
   sudīrgheṇāpi kālena likhitaṃ siddhim āpnuyāt /	su-dIrGeNa-api kAlena liKitam sidDim ApnuyAt /
   jānatā cātmanā lekhyaṃ ajānānas tu lekhayet // Nar_1.149 //	jAnatA ca-AtmanA leKyam ajAnAnaH tu leKayet // Nar_1.149 //
   siddhir uktāṣṭamād varṣāt smāritasyeha sākṣiṇaḥ /	sidDiH uktA-azwamAt varzAt smAritasya-iha sAkziNaH /
   ā pañcamāt tathā siddhir yadṛcchopagatasya tu // Nar_1.150 //	A paQcamAt taTA sidDiH yadRcCA-upagatasya tu // Nar_1.150 //
   ā tṛtīyāt tathā varṣāt siddhir gūḍhasya sākṣiṇaḥ /	A tRtIyAt taTA varzAt sidDiH gUXasya sAkziNaH /
   ā vai saṃvatsarāt siddhiṃ vadanty uttarasākṣiṇaḥ // Nar_1.151 //	A vE saMvatsarAt sidDim vadanti uttara-sAkziNaH // Nar_1.151 //
   athavā kālaniyamo na dṛṣṭaḥ sākṣiṇaṃ prati /	aTavA kAla-niyamaH na dRzwaH sAkziNam prati /
   smṛtyapekṣaṃ hi sākṣitvam āhuḥ śāstravido janāḥ // Nar_1.152 //	smRti-apekzam hi sAkzi-tvam AhuH SAstra-vidaH janAH // Nar_1.152 //
   yasya nopahatā puṃsaḥ smṛtiḥ śrotraṃ ca nityaśaḥ /	yasya na-upahatA puMsaH smRtiH Srotram ca nityaSas /
   sudīrgheṇāpi kālena sa sākṣī sākṣyam arhati // Nar_1.153 //	su-dIrGeNa-api kAlena sa sAkzI sAkzyam arhati // Nar_1.153 //
   asākṣipratyayās tv anye ṣaḍvivādāḥ prakīrtitāḥ /	asAkzi-pratyayAH tu anye zaz-vivAdAH prakIrtitAH /
   lakṣaṇāny eva sākṣitvaṃ eṣām āhur manīṣiṇaḥ // Nar_1.154 //	lakzaNAni eva sAkzi-tvam ezAm AhuH manIziNaH // Nar_1.154 //
   ulkāhasto 'gnido jñeyaḥ śastrapāṇis tu ghātakaḥ /	ulkA-hastaH agnidaH jQeyaH Sastra-pANiH tu GAtakaH /
   keśākeśigṛhītaś ca yugapat pāradārikaḥ // Nar_1.155 //	keSAkeSi-gRhItaH ca yugapad pAradArikaH // Nar_1.155 //
   kuddālapāṇir vijñeyaḥ setubhettā samīpagaḥ /	kuddAla-pANiH vijQeyaH setu-BettA samIpa-gaH /
   tathā kuṭhārapāṇiś ca vanachettā prakīrtitaḥ // Nar_1.156 //	taTA kuWArapANiH ca vana-CettA prakIrtitaH // Nar_1.156 //
   abhyagracihno vijñeyo daṇḍapāruṣyakṛn naraḥ /	aByagra-cihnaH vijQeyaH daNxa-pAruzya-kRt naraH /
   asākṣipratyayā hy ete pāruṣye tu parīkṣaṇam // Nar_1.157 //	asAkzi-pratyayAH hi ete pAruzye tu parIkzaNam // Nar_1.157 //
   kaścit kṛtvātmanaś cihnaṃ dveṣāt param upadravet /	kaScid kRtvA-AtmanaH cihnam dvezAt param upadravet /
   hetvarthagatisāmarthyais tatra yuktaṃ parīkṣaṇam // Nar_1.158 //	hetu-arTa-gati-sAmarTyEH tatra yuktam parIkzaNam // Nar_1.158 //
   nārthasaṃbandhino nāptā na sahāyā na vairiṇaḥ /	na-arTa-saMbanDinaH na-AptAH na sahAyAH na vEriNaH /
   na dṛṣṭadoṣāḥ praṣṭavyāś na vyādhyārtā na dūṣitāḥ // Nar_1.159 //	na dRzwa-dozAH prazwavyAH na vyADi-ArtAH na dUzitAH // Nar_1.159 //
   dāsanaikṛtikāśraddha- vṛddhastrībālacākrikāḥ /	dAsa-nEkRtika-aSradDa vRdDa-strI-bAla-cAkrikAH /
