   akasmānmṛtyurāyāto Bca_7.8c	akasmAt-mRtyuH-AyAtaH Bca_7.8c
   kurvantu kuśalaṃ sadā Bca_10.31d	kurvantu kuSalam sadA Bca_10.31d
   kurvantu me mūrdhni padaṃ janaughā Bca_6.125c	kurvantu me mUrDni padam jana-oGA Bca_6.125c
   kuśalakṛdityabhipūjyate janaiḥ Bca_1.32b	kuSala-kRt-iti-aBipUjyate janEH Bca_1.32b
   kuśalaṃ tvavahīyate Bca_6.9d	kuSalam tu-avahIyate Bca_6.9d
   kuśalaṃ na karomyahaṃ Bca_4.18b	kuSalam na karomi-aham Bca_4.18b
   kuśalaṃ bhāvayituṃ prasādavegaḥ Bca_1.3b	kuSalam BAvayitum prasAda-vegaH Bca_1.3b
   kuśalānāṃ ca sarveṣāṃ Bca_7.40a	kuSalAnAm ca sarvezAm Bca_7.40a
   kuśalābhyāsayogyatvam Bca_4.15c	kuSala-aByAsa-yogya-tvam Bca_4.15c
   kūṭaśālmalīvṛkṣāśca Bca_10.6c	kUwa-SAlmalI-vRkzAH-ca Bca_10.6c
   kūṭāgārairmanojñaiḥ stutimukharasurastrīsahastropagītair Bca_10.14c	kUwAgArEH-manojQEH stuti-muKara-sura-strI-sahastra-upagItEH Bca_10.14c
   kūrmagrīvārpaṇopamaṃ Bca_4.20d	kUrma-grIvA-arpaNa-upamam Bca_4.20d
   kṛtapāpaṃ na śocasi Bca_6.86b	kRta-pApam na Socasi Bca_6.86b
   kṛtapuṇyaiḥ saha spardhām Bca_6.86c	kRta-puNyEH saha sparDAm Bca_6.86c
   kṛtaṃ kalpasahasrairyat Bca_6.1c	kRtam kalpa-sahasrEH-yat Bca_6.1c
   kṛtaṃ kāritameva vā Bca_2.28d	kRtam kAritam-eva vA Bca_2.28d
   kṛtaṃ pāpamanekadhā Bca_2.39d	kRtam pApam-anekaDA Bca_2.39d
   kṛtaṃ pūrvaṃ yadi tvayā Bca_8.157b	kRtam pUrvam yadi tvayA Bca_8.157b
   kṛtākṛtāparīkṣo 'yaṃ Bca_2.34a	kRta-akRta-aparIkzaH ayam Bca_2.34a
   kṛtāñjaliranekadhā Bca_8.41b	kRtAQjaliH-anekaDA Bca_8.41b
   kṛtāñjalirduḥkhabhītaḥ Bca_2.65c	kRtAQjaliH-duHKa-BItaH Bca_2.65c
   kṛtena hyanubhūyate Bca_6.131d	kRtena hi-anuBUyate Bca_6.131d
   kṛtena hyanubhūyate Bca_6.132d	kRtena hi-anuBUyate Bca_6.132d
   kṛte yaḥ pratikurvīta Bca_1.31a	kRte yaH pratikurvIta Bca_1.31a
   kṛtyamasyāsti vairiṇaḥ Bca_6.8d	kRtyam-asya-asti vEriNaH Bca_6.8d
   kṛtrime satyatā katham Bca_9.145d	kRtrime satya-tA kaTam Bca_9.145d
   kṛtvā ca nārakaṃ karma Bca_7.12c	kRtvA ca nArakam karma Bca_7.12c
   kṛtvāpi pāpāni sudāruṇāni Bca_1.13a	kRtvA-api pApAni su-dAruNAni Bca_1.13a
   kṛtvā maraṇamagrataḥ Bca_9.166d	kRtvA maraNam-agratas Bca_9.166d
   kṛtsnaṃ kalyāṇamāgatam Bca_5.3d	kRtsnam kalyANam-Agatam Bca_5.3d
   kṛpayā bahu duḥkhaṃ cet Bca_8.104a	kRpayA bahu duHKam ced Bca_8.104a
   kṛpātmabhirnaiva hi saṃśayo 'sti Bca_6.126b	kRpA-AtmaBiH-na-eva hi saMSayaH asti Bca_6.126b
   kṛpāduḥkhaṃ kathaṃ bahu Bca_8.104d	kRpA-duHKam kaTam bahu Bca_8.104d
   kṛpāluḥ kena khidyate Bca_7.28d	kRpAluH kena Kidyate Bca_7.28d
   kṛpālorarthadarśinaḥ Bca_5.84d	kRpA-AloH-arTa-darSinaH Bca_5.84d
   kṛpāvantaśca tadbalam Bca_6.130b	kRpAvantaH-ca tat-balam Bca_6.130b
   kṛpāvyākulacāriṇaṃ Bca_2.51b	kRpA-vyAkula-cAriNam Bca_2.51b
   kṛṣyamāṇa itastataḥ Bca_5.59b	kRzyamANaH itas-tatas Bca_5.59b
   kecitsvaśoṇitaṃ dṛṣṭvā Bca_6.17a	kecid-sva-SoNitam dRzwvA Bca_6.17a
   keciddināntavyāpāraiḥ Bca_8.73a	kecid-dina-anta-vyApArEH Bca_8.73a
   kena kaḥ saṃbhaviṣyati Bca_9.152d	kena kaH saMBavizyati Bca_9.152d
   kenāsau yauvane sukhī Bca_8.72b	kena-asO yOvane suKI Bca_8.72b
   kevalaṃ śiśuceṣṭitam Bca_6.97d	kevalam SiSu-cezwitam Bca_6.97d
   kevalāśubhakāriṇā Bca_6.61d	kevala-aSuBa-kAriNA Bca_6.61d
   kaivartacaṇḍālakṛṣīvalādyāḥ Bca_4.40b	kEvarta-caNxAla-kRzIvala-AdyAH Bca_4.40b
   kokasya duḥkhāpahametadeva Bca_6.127c	kokasya duHKa-apaham-etat-eva Bca_6.127c
   ko 'trāntarmama tiṣṭhati Bca_4.27d	kaH atra-antar-mama tizWati Bca_4.27d
   ko dharme chandamutsṛjet Bca_7.39d	kaH Darme Candam-utsRjet Bca_7.39d
   ko nāmātra mariṣyati Bca_9.154b	kaH nAma-atra marizyati Bca_9.154b
   kopaste kiṃ na jāyate Bca_6.62d	kopaH-te kim na jAyate Bca_6.62d
   kopārthamevamevāhaṃ Bca_6.74a	kopa-arTam-evam-eva-aham Bca_6.74a
   ko bandhuḥ kasya kaḥ suhṛt Bca_9.154d	kaH banDuH kasya kaH suhRd Bca_9.154d
   ko bhaviṣyati ko bhūtaḥ Bca_9.154c	kaH Bavizyati kaH BUtaH Bca_9.154c
   ko me mahābhayādasmāt Bca_2.46c	kaH me mahA-BayAt-asmAt Bca_2.46c
   ko rajyeta vicārakaḥ Bca_9.88b	kaH rajyeta vicArakaH Bca_9.88b
   ko vānyo bhāvatāṃ gataḥ Bca_9.147d	kaH vA-anyaH BAvatAm gataH Bca_9.147d
   ko viṣīdetsacetanaḥ Bca_7.30b	kaH vizIdet-sa-cetanaH Bca_7.30b
   ko 'hamatrānyathākṛtau Bca_6.68d	kaH aham-atra-anyaTA-kRtO Bca_6.68d
   kautūhaleṣu sarveṣu Bca_5.45c	kOtUhalezu sarvezu Bca_5.45c
   krameṇaiva na paśyasi Bca_7.5b	krameNa-eva na paSyasi Bca_7.5b
   kriyate paripālanam Bca_8.174b	kriyate paripAlanam Bca_8.174b
   kriyāduḥkhairarogatām Bca_7.23b	kriyA-duHKEH-aroga-tAm Bca_7.23b
   kriyāmimāmapyucitāṃ Bca_7.24a	kriyAm-imAm-api-ucitAm Bca_7.24a
   kriyāyāstena kiṃ kṛtam Bca_6.30b	kriyAyAH-tena kim kRtam Bca_6.30b
   kriyāvattvaṃ kathaṃ bhavet Bca_9.29b	kriyAvat-tvam kaTam Bavet Bca_9.29b
   krīḍantu mama kāyena Bca_3.13a	krIxantu mama kAyena Bca_3.13a
   krīḍāphalasukhepsuvat Bca_7.62d	krIxA-Pala-suKa-Ipsu-vat Bca_7.62d
   krītvā pakṣyanti kumbhiṣu Bca_6.89d	krItvA pakzyanti kumBizu Bca_6.89d
   krodha utpadyate katham Bca_6.38d	kroDaH utpadyate kaTam Bca_6.38d
   krodha utpadyate tathā Bca_6.23d	kroDaH utpadyate taTA Bca_6.23d
   krodha utpadyate na ca Bca_6.24d	kroDaH utpadyate na ca Bca_6.24d
   krodhano yena susthitaḥ Bca_6.5d	kroDanaH yena susTitaH Bca_6.5d
   krodhaḥ kasmānna vāryate Bca_6.73d	kroDaH kasmAt-na vAryate Bca_6.73d
   kleśaghātānubandhinaḥ Bca_4.43d	kleSa-GAta-anubanDinaH Bca_4.43d
   kleśajñeyāvṛtitamaḥ Bca_9.55a	kleSa-jQeya-AvRtitamaH Bca_9.55a
   kleśataskarasaṅgho 'yam Bca_5.28a	kleSa-taskara-saFGaH ayam Bca_5.28a
   kleśadaṃṣṭrāntare sthitaḥ Bca_8.1d	kleSa-daMzwra-antare sTitaH Bca_8.1d
   kleśaprahāṇānmuktiścet Bca_9.46a	kleSa-prahANAt-muktiH-ced Bca_9.46a
   kleśaprahārān saṃrakṣet Bca_7.67a	kleSa-prahArAn saMrakzet Bca_7.67a
   kleśabāḍiśikārpitam Bca_6.89b	kleSa-bAxiSikA-arpitam Bca_6.89b
   kleśavāgurikāghrātaḥ Bca_7.4a	kleSa-vAgurika-AGrAtaH Bca_7.4a
   kleśaśaktyā na madvaśāt Bca_8.144b	kleSa-SaktyA na mad-vaSAt Bca_8.144b
   kleśasvatantro loko 'yaṃ Bca_7.50a	kleSa-svatantraH lokaH ayam Bca_7.50a
   kleśāṃśca prahareddṛḍham Bca_7.67b	kleSAn=-ca praharet-dRXam Bca_7.67b
   kleśāḥ prajñādṛṣṭisādhyā varākāḥ Bca_4.46d	kleSAH prajQA-dRzwi-sADyAH varAkAH Bca_4.46d
   kleśotpādaparāyatte Bca_6.63c	kleSa-utpAda-parAyatte Bca_6.63c
   kleśotpādādidaṃ hyetad Bca_5.56c	kleSa-utpAdAt-idam hi-etat Bca_5.56c
   kleśonmattīkṛteṣveṣu Bca_6.38a	kleSa-unmattIkRtezu-ezu Bca_6.38a
   kleśaugho durnivāraścety Bca_9.163c	kleSa-oGaH durnivAraH-ca-iti Bca_9.163c
   kva yāsyasi mayā dṛṣṭaḥ Bca_8.169a	kva yAsyasi mayA dRzwaH Bca_8.169a
   kvāsau yāyānmanaḥstho nirastaḥ Bca_4.46a	kva-asO yAyAt-manaH-sTaH nirastaH Bca_4.46a
   kṣaṇamapyutsṛjedyathā Bca_5.41d	kzaNam-api-utsRjet-yaTA Bca_5.41d
   kṣaṇamaśanakamātradānataḥ Bca_1.32c	kzaNam-aSanaka-mAtra-dAnataH Bca_1.32c
   kṣaṇasaṃpatsudurlabhā Bca_8.81d	kzaNa-saMpad-su-durlaBA Bca_8.81d
   kṣaṇasaṃpadiyaṃ sudurlabhā Bca_1.4a	kzaNa-saMpad-iyam su-durlaBA Bca_1.4a
   kṣaṇātkṣipanti māṃ tatra Bca_4.31c	kzaNAt-kzipanti mAm tatra Bca_4.31c
   kṣaṇād bhavanti suhṛdo Bca_8.10a	kzaNAt Bavanti suhRdaH Bca_8.10a
   kṣapayan pūrvapāpāni Bca_7.29a	kzapayan pUrva-pApAni Bca_7.29a
   kṣamasvaināṃ vyathāmataḥ Bca_6.66d	kzamasva-enAm vyaTAm-atas Bca_6.66d
   kṣamā nāvarṇavādini Bca_6.63d	kzamA na-avarNa-vAdini Bca_6.63d
   kṣamāsiddhyāśayo nāsya Bca_6.109a	kzamA-sidDi-ASayaH na-asya Bca_6.109a
   kṣamī prāpnoti saṃsaran Bca_6.134d	kzamI prApnoti saMsaran Bca_6.134d
   kṣayamanyatkuśalaṃ hi sarvameva Bca_1.12b	kzayam-anyat-kuSalam hi sarvam-eva Bca_1.12b
   kṣāntyā samaṃ tapo nāsti Bca_6.102c	kzAntyA samam tapaH na-asti Bca_6.102c
   kṣitigarbhaṃ ca bhāvataḥ Bca_2.52b	kziti-garBam ca BAvataH Bca_2.52b
   kṣīyate kṣamato bahu Bca_6.48b	kzIyate kzamataH bahu Bca_6.48b
   kṣutpipāsādivedanām Bca_6.15b	kzuD-pipAsA-Adi-vedanAm Bca_6.15b
   kṣutpipāsāvyathāṃ hanyām Bca_3.8a	kzuD-pipAsA-vyaTAm hanyAm Bca_3.8a
   kṣuradhārāmadhūpamaiḥ Bca_7.64b	kzura-DArA-maDu-upamEH Bca_7.64b
   kṣemeṇa kūlamāsādya Bca_10.24c	kzemeNa kUlam-AsAdya Bca_10.24c
   kṣmādayo na sa īśvaraḥ Bca_9.120d	kzmA-AdayaH na saH ISvaraH Bca_9.120d
   kṣmādisvabhāva īśaśca Bca_9.122c	kzmA-Adi-svaBAvaH ISaH-ca Bca_9.122c
   khaḍgayuddhamivāpannaḥ Bca_7.67c	Kaxga-yudDam-iva-ApannaH Bca_7.67c
   khalacetaḥ prakupyasi Bca_6.49d	Kala-cetaH prakupyasi Bca_6.49d
   khalpe 'pi tāvadapakāriṇi baddharoṣā Bca_4.36c	Kalpe api tAvat-apakAriNi badDa-rozAH Bca_4.36c
   gaganajanaparikṣayākṣayaṃ Bca_1.33c	gagana-jana-parikzayA-akzayam Bca_1.33c
   gaṇḍo 'yaṃ pratimākāro Bca_6.44a	gaNxaH ayam pratimA-AkAraH Bca_6.44a
   gataṃ na punarīkṣyate Bca_2.36d	gatam na punar-Ikzyate Bca_2.36d
   gatā naike priyāpriyāḥ Bca_2.38b	gatAH na-eke priya-apriyAH Bca_2.38b
   gatāpi pratyupasthāpyā Bca_5.29c	gatA-api pratyupasTApyAH Bca_5.29c
   gatipattanavipravāsaśīlāḥ Bca_1.11c	gati-pattana-vipravAsa-SIlAH Bca_1.11c
   gato 'smi garbhaśalyatām Bca_7.38d	gataH asmi garBa-Salya-tAm Bca_7.38d
   gatyāgamananiścayāt Bca_5.70b	gati-Agamana-niScayAt Bca_5.70b
   gantukāmasya gantuśca Bca_1.16a	gantu-kAmasya gantuH-ca Bca_1.16a
   gandhottamaistānanulepayāmi Bca_2.14b	ganDottamEH-tAn-anulepayAmi Bca_2.14b
   gandhopalipteṣu ca kuṭṭimeṣu Bca_2.17c	ganDa-upaliptezu ca kuwwimezu Bca_2.17c
   gamanāgamane vaśam Bca_7.75b	gamana-Agamane vaSam Bca_7.75b
   gambhīrodāramalpeṣu Bca_5.89a	gamBIra-udAram-alpezu Bca_5.89a
   garbhiṇyaśca prasūyantāṃ Bca_10.19c	garBiNyaH-ca prasUyantAm Bca_10.19c
   galantvantrāṇi me kāmaṃ Bca_4.44a	galantu-antrANi me kAmam Bca_4.44a
   gātreṣvalaṇkāravadudvahanti Bca_4.39b	gAtrezu-alaNkAra-vat-udvahanti Bca_4.39b
   guṇamasya tathā kuru Bca_8.164d	guNam-asya taTA kuru Bca_8.164d
   guṇaleśe 'pi nābhyāso Bca_7.36a	guNa-leSe api na-aByAsaH Bca_7.36a
   guṇavatsu ca mātsaryaṃ Bca_6.98c	guNavatsu ca mAtsaryam Bca_6.98c
   guṇasāraikarāśīnāṃ Bca_6.117a	guNa-sAra-eka-rASInAm Bca_6.117a
   guṇā aviṣamasthitāḥ Bca_9.128b	guNAH avizama-sTitAH Bca_9.128b
   guṇābhāve ca śabdāder Bca_9.130a	guNa-aBAve ca Sabda-AdeH Bca_9.130a
   guṇā mayārjanīyāśca Bca_7.35a	guNAH mayA-arjanIyAH-ca Bca_7.35a
   guṇo 'ṇurapi cetkvacit Bca_6.117b	guNaH aNuH-api ced-kvacid Bca_6.117b
   guṇopakārikṣetre ca Bca_5.81c	guNa-upakAri-kzetre ca Bca_5.81c
   guṇo 'paraśca duḥkhasya Bca_6.21a	guNaH aparaH-ca duHKasya Bca_6.21a
   gurulāghavamūḍhatvaṃ Bca_7.20c	gurulAGava-mUXa-tvam Bca_7.20c
   guruṣvanyeṣu vā kṣepāt Bca_2.30c	guruzu-anyezu vA kzepAt Bca_2.30c
   gurusālohitādīnāṃ Bca_6.65a	guru-sAlohita-AdInAm Bca_6.65a
   gurūṇāṃ laṅghitaṃ vacaḥ Bca_2.61d	gurUNAm laFGitam vacaH Bca_2.61d
   gūthaghasmara vāñchasi Bca_8.61d	gUTa-Gasmara vAQCasi Bca_8.61d
   gūthaghasmara vismara Bca_8.53d	gUTa-Gasmara vismara Bca_8.53d
   gūthamūtramahaṃ na ca Bca_9.59d	gUTa-mUtram-aham na ca Bca_9.59d
   gṛdhrādyairbhakṣitasya vā Bca_8.181b	gRDra-AdyEH-Bakzitasya vA Bca_8.181b
   gṛdhrairanyaiśca bhakṣitam Bca_8.47b	gRDrEH-anyEH-ca Bakzitam Bca_8.47b
   gṛdhrairāmiṣasaṃgṛddhaiḥ Bca_5.59a	gRDrEH-Amiza-saMgRdDEH Bca_5.59a
   gṛdhrairvyaktīkṛtaṃ paśya Bca_8.45c	gRDrEH-vyaktIkRtam paSya Bca_8.45c
   gṛhamāgatya sāyāhne Bca_8.73c	gRham-Agatya sAyAhne Bca_8.73c
   gṛhītaḥ kutra kupyate Bca_6.43d	gRhItaH kutra kupyate Bca_6.43d
   gṛhīto ghaṭṭanāsahaḥ Bca_6.44b	gRhItaH Gawwana-asahaH Bca_6.44b
   gṛhṇantu tanme varadakṣiṇīyā Bca_2.6c	gRhNantu tat-me vara-dakziNIyAH Bca_2.6c
   gṛhṇantu nāthā idamātmaśaktyā Bca_2.7d	gRhNantu nATAH idam-Atma-SaktyA Bca_2.7d
   gṛhṇīyātsabhayastvaram Bca_7.68b	gRhNIyAt-sa-BayaH-tvaram Bca_7.68b
   gṛhṇīyānnarakān smaran Bca_7.68d	gRhNIyAt-narakAn smaran Bca_7.68d
   gṛhyate sma hitāśayaḥ Bca_1.21d	gRhyate sma hita-ASayaH Bca_1.21d
   grāmaśmaśāne ramase Bca_8.70c	grAma-SmaSAne ramase Bca_8.70c
   grāhyamuktaṃ yadā cittaṃ Bca_9.30a	grAhyam-uktam yadA cittam Bca_9.30a
   grāhyo 'smābhirasau balāt Bca_8.153b	grAhyaH asmABiH-asO balAt Bca_8.153b
   glānānāmasmi bhaiṣajyaṃ Bca_3.7a	glAnAnAm-asmi BEzajyam Bca_3.7a
   ghaṭitāni prayatnataḥ Bca_5.7b	GawitAni prayatnataH Bca_5.7b
   ghaṭo naivāñjanaṃ bhavet Bca_9.25d	GawaH na-eva-aQjanam Bavet Bca_9.25d
   ghnantu nindantu vā nityam Bca_3.12c	Gnantu nindantu vA nityam Bca_3.12c
   ghnantyātmānamapi priyam Bca_6.37b	Gnanti-AtmAnam-api priyam Bca_6.37b
   cakartha tvamahaṃkāraṃ Bca_8.158c	cakarTa tvam-ahaMkAram Bca_8.158c
   cakravartisukhaṃ sphītaṃ Bca_6.134c	cakravarti-suKam sPItam Bca_6.134c
   cakṣuṣā saṃpibanniva Bca_5.80b	cakzuzA saMpiban=-iva Bca_5.80b
   caṇḍālamahiṣo yathā Bca_7.5d	caNxAla-mahizaH yaTA Bca_7.5d
   caturbhiścaturuttaraiḥ Bca_2.55d	caturBiH-catur-uttarEH Bca_2.55d
   caturbhiḥ puruṣairyāvat Bca_8.35a	caturBiH puruzEH-yAvat Bca_8.35a
   candanādeva nānyataḥ Bca_8.65b	candanAt-eva na-anyatas Bca_8.65b
   caratyapekṣāvirato yatheṣṭam Bca_8.87d	carati-apekzA-virataH yaTezwam Bca_8.87d
   carmaṇyutpāṭite yasmād Bca_8.64a	carmaNi-utpAwite yasmAt Bca_8.64a
   caryāduḥkhānmahadduḥkhaṃ Bca_8.83c	caryA-duHKAt-mahat-duHKam Bca_8.83c
   calatkaṅkālasaṃkule Bca_8.70d	calat-kaFkAla-saMkule Bca_8.70d
   calaṃ cittamarakṣatā Bca_5.1d	calam cittamarakzatA Bca_5.1d
   caṃkramyate parahitāya vicintyate ca Bca_8.86d	caMkramyate para-hitAya vicintyate ca Bca_8.86d
   cālyamānād bhayaṃ na kim Bca_8.48d	cAlyamAnAt Bayam na kim Bca_8.48d
   cikitsati mahāturān Bca_7.24d	cikitsati mahA-AturAn Bca_7.24d
   cikitsāgocaraṃ gataḥ Bca_4.13d	cikitsA-gocaram gataH Bca_4.13d
   cikitsāpāṭhamātreṇa Bca_5.109c	cikitsA-pAWa-mAtreNa Bca_5.109c
   cikitsyo 'haṃ yathāśakti Bca_8.144c	cikitsyaH aham yaTASakti Bca_8.144c
   cittamattadvipastathā Bca_5.40b	citta-matta-dvipaH-taTA Bca_5.40b
   cittamātre 'pi kalpite Bca_9.30d	cittamAtre api kalpite Bca_9.30d
   cittamāpadyate tava Bca_9.29d	cittam-Apadyate tava Bca_9.29d
   cittamāyāsamete tu Bca_9.11c	citta-mAyA-samete tu Bca_9.11c
   cittameva yadā māyā Bca_9.17a	cittam-eva yadA mAyA Bca_9.17a
   cittamevaṃ praharṣayet Bca_3.24d	cittam-evam praharzayet Bca_3.24d
   cittarakṣāvrataṃ muktvā Bca_5.18c	citta-rakzA-vratam muktvA Bca_5.18c
   cittaratnasya yatpuṇyaṃ Bca_1.26c	citta-ratnasya yat-puNyam Bca_1.26c
   cittaśodhanamācāraṃ Bca_5.97c	citta-SoDanam-AcAram Bca_5.97c
   cittasya brahmatādikam Bca_5.15d	cittasya brahma-tA-Adikam Bca_5.15d
   cittasyaikasya damanāt Bca_5.5c	cittasya-ekasya damanAt Bca_5.5c
   cittasyaikasya bandhanāt Bca_5.5b	cittasya-ekasya banDanAt Bca_5.5b
   cittasyaiva sa ākāro Bca_9.16c	cittasya-eva saH AkAraH Bca_9.16c
   cittaṃ guhyaṃ na bhāvitam Bca_5.17d	cittam guhyam na BAvitam Bca_5.17d
   cittaṃ cittaṃ na paśyati Bca_9.17d	cittam cittam na paSyati Bca_9.17d
   cittaṃ nedaṃ kariṣyasi Bca_8.168b	cittam na-idam karizyasi Bca_8.168b
   cittaṃ rakṣitukāmānāṃ Bca_5.23a	cittam rakzitu-kAmAnAm Bca_5.23a
   cittaṃ rakṣyaṃ prayatnataḥ Bca_5.1b	cittam rakzyam prayatnataH Bca_5.1b
   cittādanyā na māyā cen Bca_9.27a	cittAt-anyA na mAyA ced Bca_9.27a
   cittādanyo bhayānakaḥ Bca_5.8d	cittAt-anyaH BayAnakaH Bca_5.8d
   cittādeva bhavantīti Bca_5.6c	cittAt-eva Bavanti-iti Bca_5.6c
   cittābhāvānna pāpakaṃ Bca_9.11b	citta-aBAvAt-na pApakam Bca_9.11b
   cittena sahajātatvād Bca_9.100c	cittena saha-jAta-tvAt Bca_9.100c
   cittotpādasamudrāṃśca Bca_3.3a	citta-utpAda-samudrAn=-ca Bca_3.3a
   cintayā kiṃ mayānayā Bca_3.13d	cintayA kim mayA-anayA Bca_3.13d
   cintāmaṇirbhadraghaṭaḥ Bca_3.19a	cintAmaNiH-Badra-GawaH Bca_3.19a
   cintāmaṇiḥ kalpatarur Bca_9.36a	cintAmaNiH kalpataruH Bca_9.36a
   cirajībyalpajīvinoḥ Bca_6.58d	cirajIbi-alpa-jIvinoH Bca_6.58d
   ciraṃ tiṣṭhatu śāsanam Bca_10.57d	ciram tizWatu SAsanam Bca_10.57d
   ciraṃ dhakṣyatiniścitaṃ Bca_4.25d	ciram Dakzyati-niScitam Bca_4.25d
   ciraṃ dhakṣyati me kāyaṃ Bca_4.25a	ciram Dakzyati me kAyam Bca_4.25a
   ciraṃ bhuktvā sukhānyapi Bca_6.59b	ciram BuktvA suKAni-api Bca_6.59b
   cirātprāptaṃ kṣaṇavaraṃ Bca_5.58a	cirAt-prAptam kzaNa-varam Bca_5.58a
   cirādenaṃ khalīkṛtam Bca_8.150b	cirAt-enam KalIkRtam Bca_8.150b
   cetanācetanakṛtā Bca_6.66a	cetana-acetana-kRtA Bca_6.66a
   cetanācetane caikyaṃ Bca_9.68a	cetana-acetane ca-Ekyam Bca_9.68a
   cetastasmāddṛḍhībhava Bca_6.12d	cetaH-tasmAt-dRXIBava Bca_6.12d
   cetaḥ kasmātprakupyasi Bca_6.53d	cetaH kasmAt-prakupyasi Bca_6.53d
   caitanyenāsya kiṃ kṛtam Bca_9.70b	cEtanyena-asya kim kRtam Bca_9.70b
   caityeṣu pratimāsu ca Bca_2.21b	cEtyezu pratimAsu ca Bca_2.21b
   cauravyāghrādinirbhayāḥ Bca_10.25d	cOra-vyAGra-Adi-nirBayAH Bca_10.25d
   caurāsaṃbhogacīvaraḥ Bca_8.29b	cOra-asaMBoga-cIvaraH Bca_8.29b
   cchedabhedādyavāpnuyāṃ Bca_4.14d	cCeda-Beda-Adi-avApnuyAm Bca_4.14d
   chakyā vārayituṃ na hi Bca_5.14b	CakyAH vArayitum na hi Bca_5.14b
   chandamānaratityāga- Bca_7.32c	CandamAna-rati-tyAga Bca_7.32c
   chandasthāmaratimukti- Bca_7.31a	Canda-sTAm-arati-mukti Bca_7.31a
   chandaṃ duḥkhabhayātkuryād Bca_7.31c	Candam duHKa-BayAt-kuryAt Bca_7.31c
   chandaṃ mūlaṃ munirjagau Bca_7.40b	Candam mUlam muniH-jagO Bca_7.40b
   channā bhavati medinī Bca_5.13d	CannA Bavati medinI Bca_5.13d
   chabdayedalpasaṃbhrame Bca_5.95b	Cabdayet-alpa-saMBrame Bca_5.95b
   chamiti narakavahniṃ dṛśyate nāśayantī Bca_10.12b	Cam-iti naraka-vahnim dRSyate nASayantI Bca_10.12b
   chayītepsitayā diśā Bca_5.96b	CayIta-IpsitayA diSA Bca_5.96b
   chalamasya nirūpaya Bca_8.161d	Calam-asya nirUpaya Bca_8.161d
   chādyerannapi me doṣāḥ Bca_8.149a	CAdyeran=-api me dozAH Bca_8.149a
   chidyante kāminaḥ kecid Bca_8.78a	Cidyante kAminaH kecid Bca_8.78a
   chūlamutpadyate yathā Bca_6.23b	CUlam-utpadyate yaTA Bca_6.23b
   chettavyaścāsmi bhettavyo Bca_7.21a	CettavyaH-ca-asmi BettavyaH Bca_7.21a
   chocantaḥ kurvate vyathām Bca_8.37b	CocantaH kurvate vyaTAm Bca_8.37b
   jagato 'vayavatvena Bca_8.114c	jagataH avayava-tvena Bca_8.114c
   jagatkleśavimokṣaṇe Bca_4.41b	jagat-kleSa-vimokzaNe Bca_4.41b
   jagatkleśoṣmaśamana Bca_3.30c	jagat-kleSa-Uzma-Samana Bca_3.30c
   jagatyabhyasyatāṃ tathā Bca_8.117d	jagati-aByasyatAm taTA Bca_8.117d
   jagatsarvaṃ visaṃvādya Bca_4.6c	jagat-sarvam visaMvAdya Bca_4.6c
   jagat sukhitamastu ca Bca_10.56d	jagat suKitam-astu ca Bca_10.56d
   jagadajñānatimira- Bca_3.31a	jagat-ajQAna-timira Bca_3.31a
   jagadadya nimantritaṃ mayā Bca_3.33a	jagat-adya nimantritam mayA Bca_3.33a
   jagadarthaṃ manorathāḥ Bca_10.49b	jagat-arTam manoraTAH Bca_10.49b
   jagadānandabījasya Bca_1.26a	jagat-Ananda-bIjasya Bca_1.26a
   jagaddaridramadyāpi Bca_5.9c	jagat-daridram-adya-api Bca_5.9c
   jagaddāridryaśamanaṃ Bca_3.28c	jagat-dAridrya-Samanam Bca_3.28c
   jagadduḥkhahare duḥkhe Bca_6.75c	jagat-duHKa-hare duHKe Bca_6.75c
   jagadduḥkhaṃ nirūpyedaṃ Bca_8.104c	jagat-duHKam nirUpya-idam Bca_8.104c
   jagadduḥkhāni nighnataḥ Bca_10.55d	jagat-duHKAni niGnataH Bca_10.55d
   jagadduḥkhaikabhaiṣajyaṃ Bca_10.57a	jagat-duHKa-eka-BEzajyam Bca_10.57a
   jagadduḥkhauṣadhasya ca Bca_1.26b	jagat-duHKa-OzaDasya ca Bca_1.26b
   jagaddhitārthaṃ na kathaṃ sahe 'ham Bca_4.40d	jagat-hita-arTam na kaTam sahe aham Bca_4.40d
   jagadbuddhatvamāpnuyāt Bca_10.47d	jagat-budDa-tvam-ApnuyAt Bca_10.47d
   jagadrakṣārthamudyuktān Bca_2.48c	jagat-rakzA-arTam-udyuktAn Bca_2.48c
   jagadviśrāmapādapaḥ Bca_3.29d	jagat-viSrAma-pAdapaH Bca_3.29d
   jagadvyādhipraśamanaṃ Bca_3.29a	jagat-vyADi-praSamanam Bca_3.29a
   jagannāthānmahābalān Bca_2.48b	jagannATAt-mahA-balAn Bca_2.48b
   jaganmṛtyuvināśāya Bca_3.28a	jagat-mRtyu-vinASAya Bca_3.28a
   janayāmīti cetanā Bca_6.26b	janayAmi-iti cetanA Bca_6.26b
   janasārthasya bhavādhvacāriṇaḥ Bca_3.32b	janasA-arTasya Bava-aDva-cAriNaH Bca_3.32b
   janito 'smīti cetanā Bca_6.26d	janitaH asmi-iti cetanA Bca_6.26d
