   Paraśurāmakalpasūtra	ParaSurAma-kalpa-sUtra
   pārijātavāṭikāyai kadambavāṭikāyai puṣparāgaratnaprākārāya	pArijAta-vAwikAyE kadamba-vAwikAyE puzparAga-ratna-prAkArAya
   padmarāgaratnaprākārāya gomedharatnaprākārāya vajraratnaprākārāya	padmarAga-ratna-prAkArAya go-meDa-ratna-prAkArAya vajra-ratna-prAkArAya
   vaiḍūryaratnaprākārāya indranīlaratnaprākārāya muktāratnaprākārāya	vExUrya-ratna-prAkArAya indranIla-ratna-prAkArAya muktA-ratna-prAkArAya
   marakataratnaprākārāya vidrumaratnaprākārāya māṇikyamaṇḍapāya	marakata-ratna-prAkArAya vidruma-ratna-prAkArAya mANikya-maNxapAya
   sahasrastambhamaṇḍapāya amṛtavāpikāyai ānandavāpikāyai vimarśavāpikāyai	sahasra-stamBa-maNxapAya amRta-vApikAyE Ananda-vApikAyE vimarSa-vApi-kAyE
   bālātapodgārāya candrikodgārāya mahāśṛṅgāraparighāyai mahāpadmāṭavyai	bAla-Atapa-udgArAya candrikA-udgArAya mahASRFgAra-pariGAyE mahApadma-awavyE
   cintāmaṇigṛharājāya pūrvāmnāyamayapūrvadvārāya	cintAmaNi-gRha-rAjAya pUrva-AmnAya-maya-pUrva-dvArAya
   dakṣiṇāmnāyamayadakṣiṇadvārāya	dakziNa-AmnAya-maya-dakziNa-dvArAya
   paścimāmnāyamayapaścimadvārāyottarāmnāyamayottaradvārāya	paScima-AmnAya-maya-paScima-dvArAya-uttarAmnAya-maya-uttara-dvArAya
   ratnapradīpavalayāya maṇimayamahāsiṃhāsanāya brahmamayaikamañcapādāya	ratna-pradIpa-valayAya maNi-maya-mahA-siMhAsanAya brahma-maya-eka-m-aQca-pAdAya
   viṣṇumayaikamañcapādāya rudramayaikamañcapādāya īśvaramayaikamañcapādāya	vizNu-maya-eka-maQca-pAdAya rudra-maya-eka-maQca-pAdAya ISvara-maya-eka-maQca-pAdAya
   sadāśivamayaikamañcaphalakāya haṃsatūlatalpāya haṃsatūlamahopadhānāya	sadASiva-maya-eka-maQca-PalakAya haMsa-tUla-talpAya haMsa-tUla-mahA-upaDAnAya
   kausumbhāstaraṇāya mahāvitānakāya mahājavanikāyai namaḥ iti	kOsumBAstaraNAya mahA-vitAnakAya mahA-javanikAyE namaH iti
   catuścatvāriṃśanmantrais tattad akhilaṃ bhāvayitvā arcayitvā || Parks_3.10	catuScatvAriMSat-mantrEH tat-tat aKilam BAvayitvA arcayitvA || ParkH-_3.10
   gandhapuṣpākṣatādīṃś ca dakṣiṇabhāge dīpān abhito dattvā mūlena cakram	ganDa-puzpa-akzata-AdIn ca dakziNa-BAge dIpAn aBitas dattvA mUlena cakram
   abhyarcya mūlatrikhaṇḍaiḥ prathamatryasre || Parks_3.11 ||	aByarcya mUla-triKaNxEH praTama-tri-asre || ParkH-_3.11 ||
   vāyvagnisalilavarṇayukprāṇāyāmaiḥ śoṣaṇaṃ saṃdahanam āplāvanaṃ ca vidhāya	vAyu-agni-salila-varNa-yuj-prANAyAmEH SozaNam saMdahanam AplAvanam ca viDAya
   || Parks_3.12 ||	|| ParkH-_3.12 ||
   triḥ prāṇān āyamya || Parks_3.13 ||	tris prANAn Ayamya || ParkH-_3.13 ||
   apasarpantu te bhūtā ye bhūtā bhuvi saṃsthitāḥ |	apasarpantu te BUtAH ye BUtAH Buvi saMsTitAH |
   ye bhūtā vighnakartāras te naśyantu śivājñayā |	ye BUtAH viGna-kartAraH te naSyantu Siva-AjQayA |
   iti vāmapādapārṣṇighātakarāsphoṭasamudañcitavaktras tālatrayaṃ datvā	iti vAma-pAda-pArzNi-GAta-kara-AsPowa-samudaQcita-vaktraH tAla-trayam datvA
   devyahambhāvayuktaḥ svaśarīre vajrakavacanyāsajālaṃ vidadhīta ||	devI-ahamBAva-yuktaH sva-SarIre vajra-kavaca-nyAsa-jAlam vidaDIta ||
   Parks_3.14 ||	ParkH-_3.14 ||
   binduyukśrīkaṇṭhānantatārtīyaiḥ madhyamāditalaparyantaṃ kṛtakaraśuddhiḥ ||	bindu-yuj-SrI-kaNWa-ananta-tArtIyEH maDyama-Adi-tala-paryantam kRta-kara-SudDiH ||
   Parks_3.15 ||	ParkH-_3.15 ||
   kumārīm uccārya mahātripurasundarīpadam ātmānaṃ rakṣa rakṣeti hṛdaye	kumArIm uccArya mahA-tripura-sundarI-padam AtmAnam rakza rakzA-iti hRdaye
   añjaliṃ dattvā || Parks_3.16 ||	aQjalim dattvA || ParkH-_3.16 ||
   māyākāmaśaktīr uccārya devyātmāsanāya namaḥ iti svasyāsanaṃ dattvā ||	mAyA-kAma-SaktIH uccArya devI-Atma-AsanAya namaH iti svasya-Asanam dattvA ||
   Parks_3.17 ||	ParkH-_3.17 ||
   śivayugbālām uccārya śrīcakrāsanāya namaḥ śivabhṛguyugbālām uccārya	Siva-yuj-bAlAm uccArya SrI-cakra-AsanAya namaH Siva-BRgu-yuj-bAlAm uccArya
   sarvamantrāsanāya namo bhuvanāmadanau blem uccārya sādhyasiddhāsanāya	sarva-mantra-AsanAya namaH BuvanA-madanO blem uccArya sADya-sidDAsanAya
   namaḥ iti cakramantradevatāsanaṃ tribhir mantraiś cakre kṛtvā ||	namaH iti cakra-mantra-devatA-Asanam triBiH mantrEH cakre kRtvA ||
   Parks_3.18 ||	ParkH-_3.18 ||
   bālādvirāvṛttyā tridvyekadaśatridvisaṅkhyāṅgulivinyāsaiḥ kḷptaṣaḍaṅgaḥ ||	bAlA-dvis-AvRttyA tri-dvi-eka-daSa-tri-dvi-saFKyA-aFguli-vinyAsEH k?pta-zaz-aFgaH ||
   Parks_3.19 ||	ParkH-_3.19 ||
   sabindūn aco blūm uccārya vaśinīvāgdevatāyai namaḥ iti śirasi | sarvatra	sa-bindUn acaH blUm uccArya vaSinI-vAgdevatAyE namaH iti Sirasi | sarvatra
   vargāṇāṃ binduyogaḥ | kavargaṃ kalahrīṃ ca nigadya kāmeśvarīvāgdevatāyai	vargANAm bindu-yogaH | kavargam kalahrIm ca nigadya kAmeSvarI-vAgdevatAyE
   namaḥ iti lalāṭe | cuṃ gaditvā nvlīṃ modinīvāgdevatāyai namaḥ iti	namaH iti lalAwe | cum gaditvA nvlIm modinI-vAgdevatAyE namaH iti
   bhrūmadhye | ṭuṃ bhaṇitvā ylūṃ vimalāvāgdevatāyai namaḥ iti kaṇṭhe | tuṃ	BrU-maDye | wum BaNitvA ylUm vimalA-vAgdevatAyE namaH iti kaNWe | tum
   ca procya jmrīṃ aruṇāvāgdevatāyai namaḥ iti hṛdi | puṃ ca hslvyūṃ uccārya	ca procya jmrIm aruNA-vAgdevatAyE namaH iti hRdi | pum ca hslvyUm uccArya
   jayinīvāgdevatāyai namaḥ iti nābhau | yādicatuṣkaṃ jhmryūṃ uccārya	jayinI-vAgdevatAyE namaH iti nABO | yAdi-catuzkam JmryUm uccArya
   sarveśvarīvāgdevatāyai namaḥ iti liṅge | śādiṣaṭkaṃ kṣmrīṃ ākhyāya	sarveSvarI-vAgdevatAyE namaH iti liFge | SAdizawkam kzmrIm AKyAya
   kaulinīvāgdevatāyai namaḥ iti mūle || Parks_3.20 ||	kOlinI-vAgdevatAyE namaH iti mUle || ParkH-_3.20 ||
   mūlavidyāpañcadaśavarṇān mūrdhni mūle hṛdi cakṣustritaye	mUla-vidyA-paQcadaSa-varNAn mUrDni mUle hRdi cakzuH-tritaye
   śrutidvayamukhabhujayugalapṛṣṭhajānuyugalanābhiṣu vinyasya ṣoḍhā cakre	Sruti-dvaya-muKa-Buja-yugala-pRzWa-jAnu-yugala-nABizu vinyasya zoXA cakre
   nyasyānyasya vā || Parks_3.21 ||	nyasya-anyasya vA || ParkH-_3.21 ||
   śuddhāmbhasā vāmabhāge trikoṇaṣaṭkoṇavṛttacaturaśramaṇḍalaṃ kṛtvā puṣpair	SudDa-amBasA vAma-BAge trikoNa-zawkoNa-vRtta-caturaSra-maNxalam kRtvA puzpEH-
   abhyarcya sādhāraṃ śaṅkhaṃ pratiṣṭhāpya śuddhajalam āpūrya ādimabinduṃ	aByarcya sa-ADAram SaFKam pratizWApya SudDa-jalam ApUrya Adima-bindum
   dattvā ṣaḍaṅgenābhyarcya vidyayā abhimantrya tajjalavipruḍbhiḥ ātmānaṃ	dattvA zaxaFgena-aByarcya vidyayA aBimantrya tad-jala-vipruxBiH AtmAnam
   pūjopakaraṇāni ca saṃprokṣya || Parks_3.22 ||	pUjA-upakaraNAni ca saMprokzya || ParkH-_3.22 ||
   tajjalena trikoṇaṣaṭkoṇavṛttacaturasramaṇḍalaṃ kṛtvā madhyaṃ vidyayā	tad-jalena trikoNa-zawkoNa-vRtta-caturasra-maNxalam kRtvA maDyam vidyayA
   vidyākhaṇḍais trikoṇaṃ bījāvṛttyā ṣaḍaśraṃ saṃpūjya vācam uccārya	vidyA-KaNxEH trikoNam bIja-AvRttyA zaz-aSram saMpUjya vAcam uccArya
   agnimaṇḍa [107] lāya daśakalātmane arghyapātrādhārāya namaḥ iti	agnimaNxaH [107] lAya daSa-kala-Atmane arGya-pAtra-ADArAya namaH iti
   pratiṣṭhāpya ādhāraṃ prapūjya pāvakīḥ kalāḥ || Parks_3.23 ||	pratizWApya ADAram prapUjya pAvakIH kalAH || ParkH-_3.23 ||
   madanād upari sūryamaṇḍalāya dvādaśakalātmane arghyapātrāya namaḥ iti	madanAt upari sUrya-maNxalAya dvAdaSa-kalA-Atmane arGya-pAtrAya namaH iti
   saṃvidhāya pātraṃ saṃspṛśya kalāḥ saurīḥ sauḥ somamaṇḍalāya	saMviDAya pAtram saMspRSya kalAH sOrIH sOH soma-maNxalAya
   ṣoḍaśakalātmane arghyāmṛtāya namaḥ iti pūrayitvā ādimaṃ	zoxaSa-kalA-Atmane arGya-amRtAya namaH iti pUrayitvA Adimam
   dattvopādimamadhyamau pūjayitvā vidhoḥ kalāṣoḍaśakam || Parks_3.24 ||	dattvA-upAdim-a-maDyamO pUjayitvA viDoH kalA-zoxaSakam || ParkH-_3.24 ||
   tatra vilikhya tryasram akathādimayarekhaṃ	tatra viliKya tri-asram akaTA-Adi-maya-reKam
   halakṣayugāntasthitahaṃsabhāsvaraṃ vākkāmaśaktiyuktakoṇaṃ haṃsenārādhya	halakza-yuga-anta-sTita-haMsa-BAsvaram vAc-kAma-Sakti-yukta-koNam haMsena-ArADya
   bahir vṛttaṣaṭkoṇaṃ kṛtvā ṣaḍasraṃ ṣaḍaṅgena purobhāgādy abhyarcya mūlena	bahis vRtta-zawkoNam kRtvA zaz-asram zaxaFgena puroBAga-Adi aByarcya mUlena
   saptadhā abhimantrya dattagandhākṣatapuṣpadhūpadīpaḥ tadvipruḍbhiḥ	saptaDA aBimantrya datta-ganDa-akzata-puzpa-DUpa-dIpaH tad-vipruxBiH
   prokṣitapūjādravyaḥ sarvaṃ vidyāmayaṃ kṛtvā tat spṛṣṭvā caturnavatimantrān	prokzita-pUjA-dravyaH sarvam vidyA-mayam kRtvA tat spRzwvA caturnavati-mantrAn
   japet || Parks_3.25 ||	japet || ParkH-_3.25 ||
   tritārīnamassaṃpuṭitāḥ tejastritayakalā aṣṭatriṃśat |	tritArI-namassaMpuwitAH tejaH-tritaya-kalA azwatriMSat |
   sṛṣṭiṛddhismṛtimedhākāntilakṣmīdyutisthirāsthitisiddhayo brahmakalā daśa |	sRzwi-RdDi-smRti-meDA-kAnti-lakzmI-dyuti-sTirA-sTiti-sidDayaH brahma-kalAH daSa |
   jarā pālinī śāntir īśvarī ratikāmike varadāhlādinī prītir dīrghā viṣṇukalā	jarA pAlinI SAntiH ISvarI rati-kAmike vara-da-AhlAdinI prItiH dIrGA vizNu-kalA
   daśa | tīkṣṇā raudrī bhayā nidrā tandrī kṣudhā krodhinī kriyodgārīmṛtyavo	daSa | tIkzNA rOdrI BayA nidrA tandrI kzuDA kroDinI kriyA-udgArI-mRtyavaH-
   rudrakalā daśa | pītā śvetāruṇāsitāś catasra īśvarakalāḥ |	rudra-kalAH daSa | pItA Sveta-aruNa-asitAH catasraH ISvara-kalAH |
   nivṛttipratiṣṭhāvidyāśāntīndhikādīpikārecikāmocikāparāsūkṣmāsūkṣmāmṛtājñānājñānāmṛtāpyāyinīvyāpinīvyomarūpāḥ	nivRtti-pratizWA-vidyA-SAntInDika-AdIpikA-recikA-mocikA-aparAsUkzmA-sUkzma-amRtA-jQAna-ajQAna-amRta-ApyAyinI-vyApinI-vyoma-rUpAH
   ṣoḍaśa sadāśivakalāḥ ||	zoxaSa sadASiva-kalAH ||
   haṃsaś śuciṣad vasur antarikṣasad dhotā vvediṣad atithir duroṇasat |	haMsaH Sucizad vasuH antarikza-sat DotA vvedizat atiTiH duroNa-sat |
   nṛṣad varasad ṛtasad vayomasad abjā gojā ṛtajā adrijā ṛtaṃ bṛhat ||	nRzat vara-sat Rta-sat vayomasat abjAH gojAH Rta-jAH adrijAH Rtam bRhat ||
   pra tadviṣṇuḥ stavate vīryeṇa mṛgo na bhīmaḥ kucaro giriṣṭhāḥ |	pra tat-vizNuH stavate vIryeNa mRgaH na BImaH kucaraH girizWAH |
   yasyoruṣu triṣu vikrameṣv adhikṣiyanti bhuvanāni vviśvā ||	yasya-uruzu trizu vikramezu aDikziyanti BuvanAni vviSvA ||
   tryambakaṃ yajāmahe sugandhiṃ puṣṭivardhanam |	tryambakam yajAmahe suganDim puzwi-varDanam |
   urvārukam iva bandhanān mṛtyor mukṣīya māmṛtāt ||	urvArukam iva banDanAt mRtyoH mukzIya mA-amRtAt ||
   tadviṣṇoḥ paramaṃ padaṃ sadā paśyanti sūrayaḥ |	tat-vizNoH paramam padam sadA paSyanti sUrayaH |
   divīva cakṣur ātatam ||	divi-iva cakzuH Atatam ||
   tadviprāso vipanyavo jāgṛvāṃsaḥ samindhate |	tad-viprAsaH vipanyavaH jAgRvAMsaH saminDate |
   viṣṇor yat paramaṃ padam ||	vizNoH yat paramam padam ||
   viṣṇur yoniṃ kalpayatu tvaṣṭā rūpāṇi piṃśatu |	vizNuH yonim kalpayatu tvazwA rUpANi piMSatu |
   āsiñcatu prajāpatir dhātā garbhaṃ dadhātu te ||	AsiQcatu prajApatiH DAtA garBam daDAtu te ||
   garbhaṃ dhehi sinīvāli garbhaṃ dhehi sarasvati |	garBam Dehi sinIvAli garBam Dehi sarasvati |
   garbhaṃ te aśvinau devāv ādhattāṃ puṣkarasrajā ||	garBam te aSvinO devO ADattAm puzkara-srajA ||
   ity ete pañcamantrāḥ ||	iti ete paQcamantrAH ||
   mūlavidyā cāhatya caturnavatimantrāḥ || Parks_3.26 ||	mUla-vidyA ca-Ahatya caturnavati-mantrAH || ParkH-_3.26 ||
   atha haike pañcabhir akhaṇḍādyair abhimantraṇam āmananti || Parks_3.27 ||	aTa ha-eke paQcaBiH aKaNxa-AdyEH aBimantraNam Amananti || ParkH-_3.27 ||
   akhaṇḍaikarasānandakare parasudhātmani |	aKaNxa-eka-rasa-Ananda-kare para-suDA-Atmani |
   svacchandasphuraṇam atra nidhehy akulanāyike ||	svacCanda-sPuraNam atra niDehi akula-nAyike ||
   akulasthāmṛtākāre śuddhajñānakare pare |	akula-sTa-amRta-AkAre SudDa-jQAna-kare pare |
   amṛtatvaṃ nidhehy asmin vastuni klinnarūpiṇi ||	amRta-tvam niDehi asmin vastuni klinna-rUpiNi ||
   tadrūpiṇy aikarasyatvaṃ kṛtvā hy etat svarūpiṇi |	tad-rUpiNi Ekarasya-tvam kRtvA hi etat svarUpiNi |
   bhūtvā parāmṛtākārā mayi citsphuraṇaṃ kuru ||	BUtvA para-amRta-AkArAH mayi cit-sPuraNam kuru ||
   iti tisro 'nuṣṭubho vidyāḥ || Parks_3.28 ||	iti tisraH anuzwuBaH vidyAH || ParkH-_3.28 ||
   atho vācaṃ blūṃ jhraum iti jūṃ saḥ iti coktvā amṛte amṛtodbhave amṛteśvari	aTo vAcam blUm JrOm iti jUm saH iti ca-uktvA amRte amRta-udBave amRteSvari
   amṛtavarṣiṇi amṛtaṃ srāvaya srāvaya svāheti caturtho mantraḥ || Parks_3.29	amRta-varziNi amRtam srAvaya srAvaya svAhA-iti caturTaH mantraH || ParkH-_3.29
   vāgbhavo vada vada tato vāgvādini vāṅmadanaklinne kledini kledaya	vAc-BavaH vada vada tatas vAc-vAdini vAc-madana-klinne kledini kledaya
   mahākṣobhaṃ kuruyugalaṃ mādanaṃ śaktir mokṣaṃ kuru kuru śabdo	mahA-kzoBam kuru-yugalam mAdanam SaktiH mokzam kuru kuru SabdaH-
   hasacaturdaśapañcadaśapiṇḍaḥ sahacaturdaśaṣoḍaśapiṇḍaś ceti pañcamīyaṃ	hasa-caturdaSa-paQcadaSa-piNxaH saha-caturdaSa-zoxaSa-piNxaH ca-iti paQcamI-iyam
   vidyaitābhiḥ abhimantrya jyotirmayaṃ tad arghyaṃ vidhāya || Parks_3.30 ||	vidyA-etABiH aBimantrya jyotiH-mayam tat arGyam viDAya || ParkH-_3.30 ||
   tadbindubhis triśaḥ śirasi gurupādukām iṣṭvā ārdraṃ jvalati jyotir aham	tad-binduBiH triSas Sirasi guru-pAdukAm izwvA Ardram jvalati jyotiH aham
   asmi jyotir jvalati brahmāham asmi yo 'ham asmi brahmāham asmi aham asmi	asmi jyotiH jvalati brahmA-aham asmi yaH aham asmi brahmA-aham asmi aham asmi
   brahmāham asmi aham evāhaṃ māṃ juhomi svāheti tad bindum ātmanaḥ	brahmA-aham asmi aham eva-aham mAm juhomi svAhA-iti tat bindum AtmanaH
   kuṇḍalinyāṃ juhuyāt || Parks_3.31 ||	kuNxalinyAm juhuyAt || ParkH-_3.31 ||
   etad arghyaśodhanam iti śivam || Parks_3.32 ||	etat arGya-SoDanam iti Sivam || ParkH-_3.32 ||
   4. Khaṇḍa: Lalitākrama	4. KhaNxa: Lalita-akrama
   atha hṛccakrasthitām antassuṣumṇāpadmāṭavīnirbhedanakuśalāṃ	aTa hRd-cakra-sTitAm anta-ssuzumNA-padma-awa-vI-nirBedana-kuSalAm
   nirastamohatimirāṃ śivadīpadīptim ādyāṃ saṃvidaṃ vahannāsapuṭena	nirasta-moha-timirAm Siva-dIpa-dIptim AdyAm saMvidam vahat-nAsa-puwena
   nirgamayya līlākalitavapuṣaṃ tāṃ trikhaṇḍamudrāśikhaṇḍe kusumāñjalau haste	nirgamayya lIlA-kalita-vapuzam tAm tri-KaNxa-mudrA-SiKaNxe kusumAQjalO haste
   samānīya || Parks_4.1 ||	samAnIya || ParkH-_4.1 ||
   māyālakṣmī parā uccārya devīnāma cāmṛtacaitanyamūrtiṃ kalpayāmi namaḥ iti	mAyA-lakzmI parA uccArya devI-nAma ca-amRta-cEtanya-mUrtim kalpayAmi namaH iti
   kalpayitvā || Parks_4.2 ||	kalpayitvA || ParkH-_4.2 ||
   hasarayujaṃ vācaṃ hasayuktāṃ kalarīṃ hasaracaturdaśaṣoḍaśān apy uccārya,	hasara-yujam vAcam hasa-yuktAm kalarIm hasara-caturdaSa-zoxaSAn api uccArya,
   mahāpadmavanāntaḥsthe kāraṇānandavigrahe |	mahApadma-vana-antar-sTe kAraNa-Ananda-vigrahe |
   sarvabhūtahite mātar ehy ehi parameśvari ||	sarva-BUta-hite mAtar ehi ehi parameSvari ||
   iti baindavacakre paracitim āvāhya || Parks_4.3 ||	iti bEndavacakre para-citim AvAhya || ParkH-_4.3 ||
   catuṣṣaṣṭyupacārān kuryāt | sarve upacāramantrāḥ tritārīpūrvāḥ kalpayāmi	catuzzazwi-upacArAn kuryAt | sarve upacAra-mantrAH tritArI-pUrvAH kalpayAmi
   namaḥ ity antāḥ kartavyāḥ || Parks_4.4 ||	namaH iti antAH kartavyAH || ParkH-_4.4 ||
   tritārīm uccārya pādyaṃ kalpayāmi namaḥ iti krameṇa ābharaṇāvaropaṇaṃ	tritArIm uccArya pAdyam kalpayAmi namaH iti krameNa ABaraNa-avaropaNam
   sugandhitailābhyaṅgaṃ majjanaśālāpraveśanaṃ	suganDi-tEla-aByaFgam majjana-SAlA-praveSanam
   majjanamaṇḍapamaṇipīṭhopaveśanaṃ divyasnānīyodvartanam uṣṇodakasnānam	majjana-maNxapa-maNi-pIWa-upaveSanam divya-snAnIya-udvartanam uzNa-udaka-snAnam
   kanakakalaśacyutasakalatīrthābhi [139] ṣekaṃ dhautavastraparimārjanam	kanaka-kalaSa-cyuta-sakala-tIrTa-aBi [139] zekam DOta-vastra-parimArjanam
   aruṇadukūlaparidhānam aruṇakucottarīyam ālepamaṇḍapapraveśanam	aruNa-dukUla-pariDAnam aruNa-kuca-uttarIyam Alepa-maNxapa-praveSanam
   ālepamaṇḍapamaṇipīṭhopaveśanaṃ	Alepa-maNxapa-maNi-pIWa-upaveSanam
   candanāgarukuṅkumasaṅkumṛgamadakarpūrakastūrīgorocanādidivyagandhasarvāṅgīṇavilepanaṃ	candana-agaru-kuFkuma-saFku-mRga-mada-karpUra-kastUrI-gorocanA-Adi-divya-ganDa-sarva-aFgINa-vilepanam
   keśabharasya kālāgarudhūpaṃ	keSa-Barasya kAla-agaru-DUpam
   mallikāmālatījātīcampakāśokaśatapatrapūgakuḍmalīpunnāgakalhāramukhyasarvartukusumamālāṃ	mallikA-mAlatI-jAtI-campaka-aSoka-Satapatra-pUga-kuxmalI-punnAga-kalhAra-muKya-sarva-Rtu-kusuma-mAlAm
   bhūṣaṇamaṇḍapapraveśanaṃ bhūṣaṇamaṇḍapamaṇipīṭhopaveśanaṃ navamaṇimakuṭaṃ	BUzaNa-maNxapa-praveSanam BUzaNa-maNxapa-maNi-pIWa-upaveSanam nava-maNi-ma-kuwam
   candraśakalaṃ sīmantasindūraṃ tilakaratnaṃ kālāñjanaṃ pālīyugalaṃ	candra-Sakalam sImanta-sindUram tilaka-ratnam kAlAQjanam pAlI-yugalam
   maṇikuṇḍalayugalaṃ nāsābharaṇam adharayāvakaṃ prathamabhūṣaṇaṃ	maNi-kuNxala-yugalam nAsA-ABaraNam aDara-yAvakam praTama-BUzaNam
   kanakacintākaṃ padakaṃ mahāpadakaṃ muktāvalim ekāvaliṃ channavīraṃ	kanaka-cintAkam padakam mahApadakam muktA-Avalim eka-Avalim Canna-vIram
   keyūrayugalacatuṣṭayaṃ valayāvalim ūrmikāvaliṃ kāñcīdāmakaṭisūtraṃ	keyUra-yugala-catuzwayam valaya-Avalim UrmikA-Avalim kAQcI-dAma-kawi-sUtram
   saubhāgyābharaṇaṃ pādakaṭakaṃ ratnanūpuraṃ pādāṅgulīyakam ekakare pāśam	sOBAgya-ABaraNam pAda-kawakam ratna-nUpuram pAdAFgulIyakam eka-kare pASam
   anyakare aṅkuśam itarakare puṇḍrekṣucāpam aparakare puṣpabāṇān	anya-kare aFkuSam itara-kare puNxra-ikzu-cApam apara-kare puzpa-bANAn
   śrīmanmāṇikyapāduke svasamānaveṣābhir āvaraṇadevatābhiḥ saha	SrImat-mANikya-pAduke sva-samAna-vezABiH AvaraNa-devatABiH saha
   mahācakrādhirohaṇaṃ kāmeśvarāṅkaparyaṅkopaveśanam amṛtāsavacaṣakam	mahA-cakra-aDirohaNam kAma-ISvara-aFka-paryaFka-upaveSanam amRta-Asava-cazakam
   ācamanīyaṃ karpūravīṭikām ānandollāsavilāsahāsaṃ maṅgalārārtikaṃ chatraṃ	AcamanIyam karpUra-vIwikAm Ananda-ullAsa-vilAsa-hAsam maFgalArArtikam Catram
   cāmarayugalaṃ darpaṇaṃ tālavṛntaṃ gandhaṃ puṣpaṃ dhūpaṃ dīpaṃ naivedyaṃ	cAmara-yugalam darpaNam tAlavRntam ganDam puzpam DUpam dIpam nEvedyam
   kalpayāmi namaḥ iti catuṣṣaṣṭyupacārān vidhāya || Parks_4.5 ||	kalpayAmi namaH iti catuzzazwi-upacArAn viDAya || ParkH-_4.5 ||
   navamudrāś ca pradarśya || Parks_4.6 ||	nava-mudrAH ca pradarSya || ParkH-_4.6 ||
   mūlena tridhā santarpya || Parks_4.7 ||	mUlena triDA santarpya || ParkH-_4.7 ||
   devyā agnīśāsuravāyuṣu madhye dikṣu ca ṣaḍaṅgāni pūjayitvā || Parks_4.8 ||	devyAH agnISa-asura-vAyuzu maDye dikzu ca zaxaFgAni pUjayitvA || ParkH-_4.8 ||
   vāksakalahrīṃ nityaklinne madadrave sauḥ iti kāmeśvarī | sarvatra	vAc-sakala-hrIm nitya-klinne mada-drave sOH iti kAmeSvarI | sarvatra
   nityāśrīpāduketi yojyam | vāgbhagabhuge bhagini bhagodari bhagamāle	nitya-aSrI-pAdukA-iti yojyam | vAc-Baga-Buge Bagini Baga-udari Baga-mAle
   bhagāvahe bhagaguhye bhagayoni bhaganipātini sarvabhagavaśaṅkari bhagarūpe	Baga-Avahe Baga-guhye Baga-yoni Baga-nipAtini sarva-Bagava-SaFkari Baga-rUpe
   nityaklinne bhagasvarūpe sarvāṇi bhagāni me hy ānaya varade rete surete	nitya-klinne Baga-svarUpe sarvANi BagAni me hi Anaya vara-de rete surete
   bhagaklinne klinnadrave kledaya drāvaya amoghe bhagavicce kṣubha kṣobhaya	Baga-klinne klinna-drave kledaya drAvaya amoGe Baga-vid-ce kzuBa kzoBaya
   sarvasa [147] ttvān bhageśvari aiṃ blūṃ jeṃ blūṃ bheṃ blūṃ moṃ blūṃ heṃ	sarva-sa [147] ttvAn BageSvari Em blUm jem blUm Bem blUm mom blUm hem
   blūṃ heṃ klinne sarvāṇi bhagāni me vaśam ānaya strīṃ hara bleṃ hrīṃ	blUm hem klinne sarvANi BagAni me vaSam Anaya strIm hara blem hrIm
   bhagamālinī | tāro māyā nityaklinne madadrave svāhā iti nityaklinnā |	Baga-mAlinI | tAraH mAyA nitya-klinne mada-drave svAhA iti nitya-klinnAH |
   praṇavaḥ kroṃ bhroṃ krauṃ jhrauṃ chrauṃ jrauṃ svāhā iti bheruṇḍā | praṇavo	praNavaH krom Brom krOm JrOm CrOm jrOm svAhA iti BeruNxA | praNavaH-
   māyā vahnivāsinyai namaḥ iti vahnivāsinī | māyāklinne vāk kroṃ	mAyA vahni-vAsinyE namaH iti vahni-vAsinI | mAyA-klinne vAc krom
   nityamadadrave hrīṃ iti mahāvajreśvarī | māyā śivadūtyai namaḥ iti	nitya-mada-drave hrIm iti mahA-vajreSvarI | mAyA Siva-dUtyE namaH iti
   śivadūtī | praṇavo māyā huṃ khe ca che kṣaḥ strīṃ huṃ kṣeṃ hrīṃ phaṭ iti	SivadUtI | praNavaH mAyA hum Ke ca Ce kzaH strIm hum kzem hrIm Paw iti
   tvaritā | kumārī kulasundarī |	tvaritA | kumArI kulasundarI |
   hasakalaraḍavāgbhavahasakalaraḍabindumālinīhasakalaraḍacaturdaśaṣoḍaśā iti	hasa-kala-raxa-vAc-Bavahasa-kalaraxa-bindu-mAlinI-hasa-kala-raxa-caturdaSa-zoxaSAH iti
   nityā | māyā phreṃ srūṃ aṅkuśapāśasmaravāgbhavablūṃpadanityamadadrave	nityA | mAyA Prem srUm aFkuSa-pASa-smara-vAc-Bava-blUMpada-nitya-mada-drave
   varma phreṃ māyeti nīlapatākā | bhamarayaūm iti vijayā | svaum iti	varma Prem mAyA-iti nIla-patAkA | BamarayaUm iti vijayA | svOm iti
   sarvamaṅgalā | tāro namo bhagavati jvālāmālini devadevi	sarvamaFgalA | tAraH namaH Bagavati jvAlA-mAlini devadevi
   sarvabhūtasaṃhārakārike jātavedasi jvalanti jvala jvala prajvala prajvala	sarva-BUta-saMhAra-kArike jAtavedasi jvalanti jvala jvala prajvala prajvala
   trijātiyuktamāyārephasaptakajvālāmālini varmaphaḍagnijāyeti jvālāmālinī |	trijAti-yukta-mAyA-rePa-saptaka-jvAlA-mAlini varma-Paw-agni-jAya-iti jvAlA-mAlinI |
