   haṭha-yoga-pradīpikā	haWa-yoga--pradIpikA
   recayec ca tato'nyena śanair eva na vegataḥ // HYP_2.9 //	recayet ca tatas-anyena SanEs eva na vegataH // HYc-_2.9 //
   prāṇaṃ ced iḍayā piben niyamitaṃ bhūyo'nyathā recayet	prANam ced ixayA pibet niyamitam BUyas-anyaTA recayet-
   pītvā piṅgalayā samīraṇam atho baddhvā tyajed vāmayā /	pItvA piFgalayA samIraNam aTo badDvA tyajet vAmayAH /
   sūrya-candramasor anena vidhinābhyāsaṃ sadā tanvatāṃ	sUrya-candramasoH anena viDinA-aByAsam sadA tanvatAm
   śuddhā nāḍi-gaṇā bhavanti yamināṃ māsa-trayād ūrdhvataḥ // HYP_2.10 //	SudDAH nAxi--gaNAH Bavanti yaminAm mAsa-trayAt UrDvatas // HYc-_2.10 //
   prātar madhyandine sāyam ardha-rātre ca kumbhakān /	prAtar maDyandine sAyam arDa-rAtre ca kumBakAn /
   śanair aśīti-paryantaṃ catur vāraṃ samabhyaset // HYP_2.11 //	SanEs aSIti-paryantam catuH vAram samaByaset // HYc-_2.11 //
   kanīyasi bhaved sveda kampo bhavati madhyame /	kanIyasi Bavet sveda kampaH Bavati maDyame /
   uttame sthānam āpnoti tato vāyuṃ nibandhayet // HYP_2.12 //	uttame sTAnam Apnoti tatas vAyum nibanDayet // HYc-_2.12 //
   jalena śrama-jātena gātra-mardanam ācaret /	jalena Srama-jAtena gAtra-mardanam Acaret /
   dṛḍhatā laghutā caiva tena gātrasya jāyate // HYP_2.13 //	dRXa-tA laGu-tA ca-eva tena gAtrasya jAyate // HYc-_2.13 //
   abhyāsa-kāle prathame śastaṃ kṣīrājya-bhojanam /	aByAsa--kAle praTame Sastam kzIra-Ajya--Bojanam /
   tato'bhyāse dṛḍhībhūte na tādṛṅ-niyama-grahaḥ // HYP_2.14 //	tatas-aByAse dRXIBUte na tAdRS--niyama---grahaH // HYc-_2.14 //
   yathā siṃho gajo vyāghro bhaved vaśyaḥ śanaiḥ śanaiḥ /	yaTA siMhaH gajaH vyAGraH Bavet vaSyaH SanEs SanEs /
   tathaiva sevito vāyur anyathā hanti sādhakam // HYP_2.15 //	taTA-eva sevitaH vAyuH anyaTA hanti sADakam // HYc-_2.15 //
   prāṇāyāmena yuktena sarva-roga-kṣayo bhavet /	prANAyAmena yuktena sarva--roga--kzayaH Bavet /
   ayuktābhyāsa-yogena sarva-roga-samudgamaḥ // HYP_2.16 //	ayukta-aByAsa--yogena sarva--roga--samudgamaH // HYc-_2.16 //
   hikkā śvāsaś ca kāsaś ca śiraḥ-karṇākṣi-vedanāḥ /	hikkA SvAsaH ca kAsaH ca SiraH-karNa-akzi--vedanAH /
   bhavanti vividhāḥ rogāḥ pavanasya prakopataḥ // HYP_2.17 //	Bavanti viviDAH rogAH pavanasya prakopataH // HYc-_2.17 //
   yuktaṃ yuktaṃ tyajed vāyuṃ yuktaṃ yuktaṃ ca pūrayet /	yuktam yuktam tyajet vAyum yuktam yuktam ca pUrayet /
   yuktaṃ yuktaṃ ca badhnīyād evaṃ siddhim avāpnuyāt // HYP_2.18 //	yuktam yuktam ca baDnIyAt evam sidDim avApnuyAt // HYc-_2.18 //
   yadā tu nāḍī-śuddhiḥ syāt tathā cihnāni bāhyataḥ /	yadA tu nAxI--SudDiH syAt taTA cihnAni bAhyatas /
   kāyasya kṛśatā kāntis tadā jāyate niścitam // HYP_2.19 //	kAyasya kRSa-tA kAntiH tadA jAyate niScitam // HYc-_2.19 //
   yatheṣṭaṃ dhāraṇaṃ vāyor analasya pradīpanam /	yaTezwam DAraNam vAyoH analasya pradIpanam /
   nādābhivyaktir ārogyaṃ jāyate nāḍi-śodhanāt // HYP_2.20 //	nAda-aBivyaktiH Arogyam jAyate nAxi--SoDanAt // HYc-_2.20 //
   meda-śleṣmādhikaḥ pūrvaṃ ṣaṭ-karmāṇi samācaret /	meda--Slezma-aDikaH pUrvam zaw-karmANi samAcaret /
   anyas tu nācaret tāni doṣāṇāṃ samabhāvataḥ // HYP_2.21 //	anyaH tu na-Acaret tAni dozANAm samaBAvataH // HYc-_2.21 //
   dhautir bastis tathā netis trāṭakaṃ naulikaṃ tathā /	DOtiH bastiH taTA netiH trAwakam nOlikam taTA /
   kapāla-bhātiś caitāni ṣaṭ-karmāṇi pracakṣate // HYP_2.22 //	kapAla-BAtiH ca-etAni zaw-karmANi pracakzate // HYc-_2.22 //
   karma ṣaṭkam idaṃ gopyaṃ ghaṭa-śodhana-kārakam /	karma zawkam idam gopyam Gawa-SoDana-kArakam /
   vicitra-guṇa-sandhāya pūjyate yogi-puṅgavaiḥ // HYP_2.23 //	vicitra--guNa-sanDAya pUjyate yogi--puFgavEH // HYc-_2.23 //
   tatra dhautiḥ-	tatra DOtiH-
   catur-aṅgula-vistāraṃ hasta-pañca-daśāyatam /	catur--aFgula--vistAram hasta-paQca-daSa-Ayatam /
   gurūpadiṣṭa-mārgeṇa siktaṃ vastraṃ śanair graset /	guru-upadizwa--mArgeNa siktam vastram SanEs graset /
   punaḥ pratyāharec caitad uditaṃ dhauti-karma tat // HYP_2.24 //	punar pratyAharet ca-etat uditam DOti-karma tat // HYc-_2.24 //
   kāsa-śvāsa-plīha-kuṣṭhaṃ kapharogāś ca viṃśatiḥ /	kAsa--SvAsa--plIha--kuzWam kaPa-rogAH ca viMSatiH /
   dhauti-karma-prabhāveṇa prayānty eva na saṃśayaḥ // HYP_2.25 //	DOti-karma--praBAveNa prayAnti eva na saMSayaH // HYc-_2.25 //
   atha bastiḥ-	aTa bastiH-
   nābhi-daghna-jale pāyau nyasta-nālotkaṭāsanaḥ /	nABi-da-Gna--jale pAyO nyasta-nAla-utkawa-AsanaH /
   ādhārākuñcanaṃ kuryāt kṣālanaṃ basti-karma tat // HYP_2.26 //	ADAra-AkuQcanam kuryAt kzAlanam basti-karma tat // HYc-_2.26 //
   gulma-plīhodaraṃ cāpi vāta-pitta-kaphodbhavāḥ /	gulma--plIhodaram ca-api vAta-pitta--kaPa-udBavAH /
   basti-karma-prabhāveṇa kṣīyante sakalāmayāḥ // HYP_2.27 //	basti-karma--praBAveNa kzIyante sakala-AmayAH // HYc-_2.27 //
   dhāntvadriyāntaḥ-karaṇa-prasādaṃ	DAntu-adriya-antaH-karaNa--prasAdam
   dadhāc ca kāntiṃ dahana-pradīptam /	daDAt ca kAntim dahana--pradIptam /
   aśeṣa-doṣopacayaṃ nihanyād	aSeza--doza-upacayam nihanyAt-
   abhyasyamānaṃ jala-basti-karma // HYP_2.28 //	aByasyamAnam jala-basti-karma // HYc-_2.28 //
   atha netiḥ-	aTa netiH-
   sūtraṃ vitasti-susnigdhaṃ nāsānāle praveśayet /	sUtram vitasti--su-snigDam nAsA-anAle praveSayet /
   mukhān nirgamayec caiṣā netiḥ siddhair nigadyate // HYP_2.29 //	muKAt nirgamayet ca-ezA netiH sidDEH nigadyate // HYc-_2.29 //
   kapāla-śodhinī caiva divya-dṛṣṭi-pradāyinī /	kapAla--SoDinI ca-eva divya--dRzwi--pradAyinI /
   jatrūrdhva-jāta-rogaughaṃ netir āśu nihanti ca // HYP_2.30 //	jatru-UrDva--jAta--roga-oGam netiH ASu nihanti ca // HYc-_2.30 //
   atha trāṭakam-	aTa trAwakam-
   nirīkṣen niścala-dṛśā sūkṣma-lakṣyaṃ samāhitaḥ /	nirIkzet niScala--dRSA sUkzma--lakzyam samAhitaH /
   aśru-sampāta-paryantam ācāryais trāṭakaṃ smṛtam // HYP_2.31 //	aSru--sampAta--paryantam AcAryEH trAwakam smRtam // HYc-_2.31 //
   mocanaṃ netra-rogāṇāṃ tandādrīṇāṃ kapāṭakam /	mocanam netra--rogANAm tandAdrINAm kapAwakam /
   yatnatas trāṭakaṃ gopyaṃ yathā hāṭaka-peṭakam // HYP_2.32 //	yatnatas trAwakam gopyam yaTA hAwaka--pewakam // HYc-_2.32 //
   atha nauliḥ-	aTa nOliH-
   amandāvarta-vegena tundaṃ savyāpasavyataḥ /	amandAvarta--vegena tundam savya-apasavyataH /
   natāṃso bhrāmayed eṣā nauliḥ siddhaiḥ praśasyate // HYP_2.33 //	nata-aMsaH BrAmayet ezA nOliH sidDEH praSasyate // HYc-_2.33 //
   mandāgni-sandīpana-pācanādi-sandhāpikānanda-karī sadaiva /	manda-agni-sandIpana--pAcana-Adi-sanDApikA-Ananda-karI sadA-eva /
   aśeṣa-doṣa-maya-śoṣaṇī ca haṭha-kriyā maulir iyaṃ ca nauliḥ // HYP_2.34 //	aSeza-doza--maya--SozaNI ca haWa-kriyA mOliH iyam ca nOliH // HYc-_2.34 //
   atha kapālabhātiḥ-	aTa kapAla-BAtiH-
   bhastrāval loha-kārasya reca-pūrau sasambhramau /	BastrA-vat loha-kArasya reca--pUrO sa-samBramO /
   kapālabhātir vikhyātā kapha-doṣa-viśoṣaṇī // HYP_2.35 //	kapAlaBAtiH viKyAtA kaPa--doza--viSozaNI // HYc-_2.35 //
   ṣaṭ-karma-nirgata-sthaulya-kapha-doṣa-malādikaḥ /	zaw-karma--nirgata--sTOlya--kaPa--doza-mala-AdikaH /
   prāṇāyāmaṃ tataḥ kuryād anāyāsena siddhyati // HYP_2.36 //	prANAyAmam tatas kuryAt anAyAsena sidDyati // HYc-_2.36 //
   prāṇāyāmair eva sarve praśuṣyanti malā iti /	prANAyAmEH eva sarve praSuzyanti malAH iti /
   ācāryāṇāṃ tu keṣāṃcid anyat karma na saṃmatam // HYP_2.37 //	AcAryANAm tu kezAMcid anyat karma na saMmatam // HYc-_2.37 //
   atha gaja-karaṇī-	aTa gaja-karaNI-
   udara-gata-padārtham udvamanti	udara-gata--padArTam udvamanti
   pavanam apānam udīrya kaṇṭha-nāle /	pavanam apAnam udIrya kaNWa-nAle /
   krama-paricaya-vaśya-nāḍi-cakrā	krama--paricaya--vaSya--nAxi--cakrA
   gaja-karaṇīti nigadyate haṭhajñaiḥ // HYP_2.38 //	gaja-karaNI-iti nigadyate haWa-jQEH // HYc-_2.38 //
   brahmādayo'pi tridaśāḥ pavanābhyāsa-tatparāḥ /	brahma-AdayaH-api tridaSAH pavana-aByAsa--tatparAH /
   abhūvann antaka-bhyāt tasmāt pavanam abhyaset // HYP_2.39 //	aBUvan antaka-ByAt tasmAt pavanam aByaset // HYc-_2.39 //
   yāvad baddho marud dehe yāvac cittaṃ nirākulam /	yAvat badDaH marut dehe yAvat cittam nirAkulam /
   yāvad dṛṣṭir bhruvor madhye tāvat kāla-bhayaṃ kutaḥ // HYP_2.40 //	yAvat dRzwiH BruvoH maDye tAvat kAla-Bayam kutas // HYc-_2.40 //
   vidhivat prāṇa-saṃyāmair nāḍī-cakre viśodhite /	viDivat prANa--saMyAmEH nAxI-cakre viSoDite /
   suṣumṇā-vadanaṃ bhittvā sukhād viśati mārutaḥ // HYP_2.41 //	suzumNA--vadanam BittvA suKAt viSati mArutaH // HYc-_2.41 //
   atha manonmanī-	aTa manonmanI-
   mārute madhya-saṃcāre manaḥ-sthairyaṃ prajāyate /	mArute maDya--saMcAre manaH--sTEryam prajAyate /
   yo manaḥ-susthirī-bhāvaḥ saivāvasthā manonmanī // HYP_2.42 //	yaH manaH--susTirI-BAvaH sA-eva-avasTA manonmanI // HYc-_2.42 //
   tat-siddhaye vidhānajñāś citrān kurvanti kumbhakān /	tat-sidDaye viDAna-jQAH citrAn kurvanti kumBakAn /
   vicitra kumbhakābhyāsād vicitrāṃ siddhim āpnuyāt // HYP_2.43 //	vicitra kumBaka-aByAsAt vicitrAm sidDim ApnuyAt // HYc-_2.43 //
   atha kumbhaka-bhedāḥ--	aTa kumBaka-BedAH--
   sūrya-bhedanam ujjāyī sītkārī śītalī tathā /	sUrya-Bedanam ujjAyI sItkArI SItalI taTA /
   bhastrikā bhrāmarī mūrcchā plāvinīty aṣṭa-kumbhakāḥ // HYP_2.44 //	BastrikA BrAmarI mUrcCA plAvinI-iti azwa--kumBakAH // HYc-_2.44 //
   pūrakānte tu kartavyo bandho jālandharābhidhaḥ /	pUraka-ante tu kartavyaH banDaH jAlanDara-aBiDaH /
   kumbhakānte recakādau kartavyas tūḍḍiyānakaḥ // HYP_2.45 //	kumBaka-ante recaka-AdO kartavyaH tu-uxxiyAnakaH // HYc-_2.45 //
   adhastāt kuñcanenāśu kaṇṭha-saṅkocane kṛte /	aDastAt kuQcanena-ASu kaNWa--saFkocane kRte /
   madhye paścima-tānena syāt prāṇo brahma-nāḍigaḥ // HYP_2.46 //	maDye paScima-tAnena syAt prANaH brahma-nAxigaH // HYc-_2.46 //
   āpānam ūrdhvam utthāpya prāṇaṃ kaṇṭhād adho nayet /	ApAnam UrDvam utTApya prANam kaNWAt aDas nayet /
   yogī jarā-vimuktaḥ san ṣoḍaśābda-vayā bhavet // HYP_2.47 //	yogI jarA--vimuktaH san zoxaSa-abda--vayA Bavet // HYc-_2.47 //
   atha sūrya-bhedanam-	aTa sUrya-Bedanam-
   āsane sukhade yogī baddhvā caivāsanaṃ tataḥ /	Asane suKa-de yogI badDvA ca-eva-Asanam tatas /
   dakṣa-nāḍyā samākṛṣya bahiḥsthaṃ pavanaṃ śanaiḥ // HYP_2.48 //	dakza-nAxyA samAkRzya bahis-sTam pavanam SanEs // HYc-_2.48 //
   ākeśād ānakhāgrāc ca nirodhāvadhi kumbhayet /	AkeSAt AnaKa-agrAt ca niroDa-avaDi kumBayet /
   tataḥ śanaiḥ savya-nāḍyā recayet pavanaṃ śanaiḥ // HYP_2.49 //	tatas SanEs savya-nAxyA recayet pavanam SanEs // HYc-_2.49 //
   kapāla-śodhanaṃ vāta-doṣa-ghnaṃ kṛmi-doṣa-hṛt /	kapAla--SoDanam vAta-doza--Gnam kRmi--doza--hRt /
   punaḥ punar idaṃ kāryaṃ sūrya-bhedanam uttamam // HYP_2.50 //	punar punar idam kAryam sUrya-Bedanam uttamam // HYc-_2.50 //
   atha ujjāyī-	aTa ujjAyI-
   mukhaṃ saṃyamya nāḍībhyām ākṛṣya pavanaṃ śanaiḥ /	muKam saMyamya nAxIByAm AkRzya pavanam SanEs /
   yathā lagati kaṇṭhāt tu hṛdayāvadhi sa-svanam // HYP_2.51 //	yaTA lagati kaNWAt tu hRdaya-avaDi sa--svanam // HYc-_2.51 //
   pūrvavat kumbhayet prāṇaṃ recayed iḍayā tathā /	pUrvavat kumBayet prANam recayet ixayA taTA /
   śleṣma-doṣa-haraṃ kaṇṭhe dehānala-vivardhanam // HYP_2.52 //	Slezma--doza--haram kaNWe deha-anala--vivarDanam // HYc-_2.52 //
   nāḍī-jalodarādhātu-gata-doṣa-vināśanam /	nAxI--jala-udara-ADAtu--gata-doza--vinASanam /
   gacchatā tiṣṭhatā kāryam ujjāyy ākhyaṃ tu kumbhakam // HYP_2.53 //	gacCatA tizWatA kAryam ujjAyI AKyam tu kumBakam // HYc-_2.53 //
   atha sītkārī-	aTa sItkArI-
   sītkāṃ kuryāt tathā vaktre ghrāṇenaiva vijṛmbhikām /	sItkAm kuryAt taTA vaktre GrANena-eva vijRmBikAm /
   evam abhyāsa-yogena kāma-devo dvitīyakaḥ // HYP_2.54 //	evam aByAsa--yogena kAma-devaH dvitIyakaH // HYc-_2.54 //
   yoginī cakra-saṃmānyaḥ sṛṣṭi-saṃhāra-kārakaḥ /	yoginI cakra--saMmAnyaH sRzwi--saMhAra--kArakaH /
   na kṣudhā na tṛṣā nidrā naivālasyaṃ prajāyate // HYP_2.55 //	na kzuDA na tRzA nidrA na-eva-Alasyam prajAyate // HYc-_2.55 //
   bhavet sattvaṃ ca dehasya sarvopadrava-varjitaḥ /	Bavet sattvam ca dehasya sarva-upadrava--varjitaH /
   anena vidhinā satyaṃ yogīndro bhūmi-maṇḍale // HYP_2.56 //	anena viDinA satyam yogi-indraH BUmi--maNxale // HYc-_2.56 //
   atha śītalī-	aTa SItalI-
   jihvayā vāyum ākṛṣya pūrvavat kumbha-sādhanam /	jihvayA vAyum AkRzya pUrvavat kumBa-sADanam /
   śanakair ghrāṇa-randhrābhyāṃ recayet pavanaṃ sudhīḥ // HYP_2.57 //	SanakEs GrANa--ranDrAByAm recayet pavanam suDIH // HYc-_2.57 //
   gulma-plīhādikān rogān jvaraṃ pittaṃ kṣudhāṃ tṛṣām /	gulma--plIha-AdikAn rogAn jvaram pittam kzuDAm tRzAm /
   viṣāṇi śītalī nāma kumbhikeyaṃ nihanti hi // HYP_2.58 //	vizANi SItalI nAma kumBikA-iyam nihanti hi // HYc-_2.58 //
   atha bhastrikā-	aTa BastrikA-
   ūrvor upari saṃsthāpya śubhe pāda-tale ubhe /	UrvoH upari saMsTApya SuBe pAda-tale uBe /
   padmāsanaṃ bhaved etat sarva-pāpa-praṇāśanam // HYP_2.59 //	padmAsanam Bavet etat sarva-pApa--praNASanam // HYc-_2.59 //
   samyak padmāsanaṃ baddhvā sama-grīvodaraḥ sudhīḥ /	samyak padmAsanam badDvA sama-grIva-udaraH suDIH /
   mukhaṃ saṃyamya yatnena prāṇaṃ ghrāṇena recayet // HYP_2.60 //	muKam saMyamya yatnena prANam GrANena recayet // HYc-_2.60 //
   yathā lagati hṛt-kaṇṭhe kapālāvadhi sa-svanam /	yaTA lagati hRt--kaNWe kapAla-avaDi sa--svanam /
   vegena pūrayec cāpi hṛt-padmāvadhi mārutam // HYP_2.61 //	vegena pUrayet ca-api hRt--padma-avaDi mArutam // HYc-_2.61 //
   punar virecayet tadvat pūrayec ca punaḥ punaḥ /	punar virecayet tadvat pUrayet ca punar punar /
   yathaiva lohakāreṇa bhastrā vegena cālyate // HYP_2.62 //	yaTA-eva lohakAreNa BastrA vegena cAlyate // HYc-_2.62 //
   tathaiva sva-śarīra-sthaṃ cālayet pavanaṃ dhiyā /	taTA-eva sva--SarIra--sTam cAlayet pavanam DiyA /
   yadā śramo bhaved dehe tadā sūryeṇa pūrayet // HYP_2.63 //	yadA SramaH Bavet dehe tadA sUryeNa pUrayet // HYc-_2.63 //
   yathodaraṃ bhavet pūrṇam anilena tathā laghu /	yaTA-udaram Bavet pUrNam anilena taTA laGu /
   dhārayen nāsikāṃ madhyā-tarjanībhyāṃ vinā dṛḍham // HYP_2.64 //	DArayet nAsikAm maDyA--tarjanIByAm vinA dRXam // HYc-_2.64 //
   vidhivat kumbhakaṃ kṛtvā recayed iḍayānilam /	viDivat kumBakam kRtvA recayet ixayA-anilam /
   vāta-pitta-śleṣma-haraṃ śarīrāgni-vivardhanam // HYP_2.65 //	vAta-pitta--Slezma--haram SarIra-agni-vivarDanam // HYc-_2.65 //
   kuṇḍalī bodhakaṃ kṣipraṃ pavanaṃ sukhadaṃ hitam /	kuNxalI boDakam kzipram pavanam suKa-dam hitam /
   brahma-nāḍī-mukhe saṃstha-kaphādy-argala-nāśanam // HYP_2.66 //	brahma-nAxI--muKe saMsTa--kaPa-Adi--arga-la-nASanam // HYc-_2.66 //
   samyag gātra-samudbhūta-granthi-traya-vibhedakam /	samyak gAtra--samudBUta--granTi--traya-viBedakam /
   viśeṣeṇaiva kartavyaṃ bhastrākhyaṃ kumbhakaṃ tv idam // HYP_2.67 //	viSezeNa-eva kartavyam BastrA-AKyam kumBakam tu idam // HYc-_2.67 //
   atha bhrāmarī-	aTa BrAmarI-
   vegād ghoṣaṃ pūrakaṃ bhṛṅga-nādaṃ	vegAt Gozam pUrakam BRFga-nAdam
   bhṛṅgī-nādaṃ recakaṃ manda-mandam /	BRFgI-nAdam recakam manda-mandam /
   yogīndrāṇī̀am evam abhyāsa-yogāc	yogi-indrANÌam evam aByAsa--yogAt-
   citte jātā kācid ānanda-līlā // HYP_2.68 //	citte jAtA kAcid Ananda--lIlA // HYc-_2.68 //
   atha mūrcchā-	aTa mUrcCA-
   pūrakānte gāḍhataraṃ baddhvā jālandharaṃ śanaiḥ /	pUraka-ante gAXataram badDvA jAlanDaram SanEs /
   recayen mūrcchākhyeyaṃ mano-mūrcchā sukha-pradā // HYP_2.69 //	recayet mUrcCA-AKyeyam mano-mUrcCA suKa--pradA // HYc-_2.69 //
   atha plāvinī-	aTa plAvinI-
   antaḥ pravartitodāra-mārutāpūritodaraḥ /	antar pravartita-udAra--mAruta-ApUrita-udaraH /
   payasy agādhe'pi sukhāt plavate padma-patravat // HYP_2.70 //	payasi agADe-api suKAt plavate padma--patra-vat // HYc-_2.70 //
   prāṇāyāmas tridhā prokto reca-pūraka-kumbhakaiḥ /	prANAyAmaH triDA proktaH reca--pUra-ka-kumBakEH /
   sahitaḥ kevalaś ceti kumbhako dvividho mataḥ // HYP_2.71 //	sahitaH kevalaH ca-iti kumBakaH dviviDaH mataH // HYc-_2.71 //
   yāvat kevala-siddhiḥ syāt sahitaṃ tāvad abhyaset /	yAvat kevala--sidDiH syAt sahitam tAvat aByaset /
   recakaṃ pūrakaṃ muktvā sukhaṃ yad vāyu-dhāraṇam // HYP_2.72 //	recakam pUrakam muktvA suKam yat vAyu-DAraNam // HYc-_2.72 //
   prāṇāyāmo'yam ity uktaḥ sa vai kevala-kumbhakaḥ /	prANAyAmaH-ayam iti uktaH sa vE kevala--kumBakaH /
   kumbhake kevale siddhe reca-pūraka-varjite // HYP_2.73 //	kumBake kevale sidDe reca--pUraka-varjite // HYc-_2.73 //
   na tasya durlabhaṃ kiṃcit triṣu lokeṣu vidyate /	na tasya durlaBam kiMcid trizu lokezu vidyate /
   śaktaḥ kevala-kumbhena yatheṣṭaṃ vāyu-dhāraṇāt // HYP_2.74 //	SaktaH kevala--kumBena yaTezwam vAyu-DAraNAt // HYc-_2.74 //
   rāja-yoga-padaṃ cāpi labhate nātra saṃśayaḥ /	rAja--yoga-padam ca-api laBate na-atra saMSayaH /
   kumbhakāt kuṇḍalī-bodhaḥ kuṇḍalī-bodhato bhavet /	kumBakAt kuNxalI--boDaH kuNxalI--boDataH Bavet /
   anargalā suṣumṇā ca haṭha-siddhiś ca jāyate // HYP_2.75 //	anargalA suzumNA ca haWa-sidDiH ca jAyate // HYc-_2.75 //
   haṭhaṃ vinā rājayogo rāja-yogaṃ vinā haṭhaḥ /	haWam vinA rAjayogaH rAja--yogam vinA haWaH /
   na sidhyati tato yugmam āniṣpatteḥ samabhyaset // HYP_2.76 //	na siDyati tatas yugmam AnizpatteH samaByaset // HYc-_2.76 //
   kumbhaka-prāṇa-rodhānte kuryāc cittaṃ nirāśrayam /	kumBaka-prANa--roDa-ante kuryAt cittam nirASrayam /
   evam abhyāsa-yogena rāja-yoga-padaṃ vrajet // HYP_2.77 //	evam aByAsa--yogena rAja--yoga-padam vrajet // HYc-_2.77 //
   vapuḥ kṛśatvaṃ vadane prasannatā	vapuH kRSa-tvam vadane prasanna-tA
   nāda-sphuṭatvaṃ nayane sunirmale /	nAda--sPuwa-tvam nayane su-nirmale /
   arogatā bindu-jayo'gni-dīpanaṃ	aroga-tA bindu-jayaH-agni-dIpanam
   nāḍī-viśuddhir haṭha-siddhi-lakṣaṇam // HYP_2.78 //	nAxI--viSudDiH haWa--sidDi-lakzaNam // HYc-_2.78 //
   iti haṭha-pradīpikāyāṃ dvitīyopadeśaḥ /	iti haWa-pradIpikAyAm dvitIya-upadeSaH /
   tṛtīyopadeśaḥ	tRtIya-upadeSaH
   sa-śaila-vana-dhātrīṇāṃ yathādhāro'hi-nāyakaḥ /	sa-SEla--vana--DAtrINAm yaTA-ADAraH-ahi-nAyakaH /
   sarveṣāṃ yoga-tantrāṇāṃ tathādhāro hi kuṇḍalī // HYP_3.1 //	sarvezAm yoga-tantrANAm taTA-ADAraH hi kuNxalI // HYc-_3.1 //
   suptā guru-prasādena yadā jāgarti kuṇḍalī /	suptA guru--prasAdena yadA jAgarti kuNxalI /
   tadā sarvāṇi padmāni bhidyante granthayo'pi ca // HYP_3.2 //	tadA sarvANi padmAni Bidyante granTayaH-api ca // HYc-_3.2 //
   prāṇasya śūnya-padavī tadā rājapathāyate /	prANasya SUnya-padavI tadA rAjapaTAyate /
   tadā cittaṃ nirālambaṃ tadā kālasya vañcanam // HYP_3.3 //	tadA cittam nirAlambam tadA kAlasya vaQcanam // HYc-_3.3 //
   suṣumṇā śūnya-padavī brahma-randhraḥ mahāpathaḥ /	suzumNA SUnya-padavI brahma-ranDraH mahApaTaH /
   śmaśānaṃ śāmbhavī madhya-mārgaś cety eka-vācakāḥ // HYP_3.4 //	SmaSAnam SAmBavI maDya--mArgaH ca-iti eka-vAcakAH // HYc-_3.4 //
   tasmāt sarva-prayatnena prabodhayitum īśvarīm /	tasmAt sarva--prayatnena praboDayitum ISvarIm /
   brahma-dvāra-mukhe suptāṃ mudrābhyāsaṃ samācaret // HYP_3.5 //	brahma-dvAra--muKe suptAm mudrA-aByAsam samAcaret // HYc-_3.5 //
   mahāmudrā mahābandho mahāvedhaś ca khecarī /	mahAmudrA mahAbanDaH mahAveDaH ca KecarI /
   uḍḍīyānaṃ mūlabandhaś ca bandho jālandharābhidhaḥ // HYP_3.6 //	uxxIyAnam mUlabanDaH ca banDaH jAlanDara-aBiDaH // HYc-_3.6 //
   karaṇī viparītākhyā vajrolī śakti-cālanam /	karaNI viparItA-AKyA vajrolI Sakti--cAlanam /
   idaṃ hi mudrā-daśakaṃ jarā-maraṇa-nāśanam // HYP_3.7 //	idam hi mudrA--daSakam jarA-maraNa-nASanam // HYc-_3.7 //
   ādināthoditaṃ divyam aṣṭaiśvarya-pradāyakam /	AdinATa-uditam divyam azwa-ESvarya--pradAyakam /
   vallabhaṃ sarva-siddhānāṃ durlabhaṃ marutām api // HYP_3.8 //	vallaBam sarva-sidDAnAm durlaBam marutAm api // HYc-_3.8 //
   gopanīyaṃ prayatnena yathā ratna-karaṇḍakam /	gopanIyam prayatnena yaTA ratna-karaNxakam /
   kasyacin naiva vaktavyaṃ kula-strī-surataṃ yathā // HYP_3.9 //	kasyacid na-eva vaktavyam kula-strI--suratam yaTA // HYc-_3.9 //
   atha mahā-mudrā-	aTa mahA-mudrA-
   pāda-mūlena vāmena yoniṃ sampīḍya dakṣiṇām /	pAda--mUlena vAmena yonim sampIxya dakziNAm /
   prasāritaṃ padaṃ kṛtvā karābhyāṃ dhārayed dṛḍham // HYP_3.10 //	prasAritam padam kRtvA karAByAm DArayet dRXam // HYc-_3.10 //
   kaṇṭhe bandhaṃ samāropya dhārayed vāyum ūrdhvataḥ /	kaNWe banDam samAropya DArayet vAyum UrDvatas /
   yathā daṇḍa-hataḥ sarpo daṇḍākāraḥ prajāyate // HYP_3.11 //	yaTA daNxa--hataH sarpaH daNxa-AkAraH prajAyate // HYc-_3.11 //
   ṛjvībhūtā tathā śaktiḥ kuṇḍalī sahasā bhavet /	RjvIBUtA taTA SaktiH kuNxalI sahasA Bavet /
   tadā sā maraṇāvasthā jāyate dvipuṭāśrayā // HYP_3.12 //	tadA sA maraNa-avasTA jAyate dvi-puwa-ASrayAH // HYc-_3.12 //
   tataḥ śanaiḥ śanair eva recayen naiva vegataḥ /	tatas SanEs SanEs eva recayet na-eva vegataH /
   mahā-mudrāṃ ca tenaiva vadanti vibudhottamāḥ // HYP_3.13 //	mahA-mudrAm ca tena-eva vadanti vibuDa-uttamAH // HYc-_3.13 //
   iyaṃ khalu mahāmudrā mahā-siddhaiḥ pradarśitā /	iyam Kalu mahAmudrA mahA--sidDEH pradarSitA /
   mahā-kleśādayo doṣāḥ kṣīyante maraṇādayaḥ /	mahA--kleSa-AdayaH dozAH kzIyante maraNa-AdayaH /
   mahā-mudrāṃ ca tenaiva vadanti vibudhottamāḥ // HYP_3.14 //	mahA-mudrAm ca tena-eva vadanti vibuDa-uttamAH // HYc-_3.14 //
   candrāṅge tu samabhyasya sūryāṅge punar abhyaset /	candra-aFge tu samaByasya sUrya-aFge punar aByaset /
