   prathamas+sargas+	praTama-s+sarga-s+
   sa pīḍyamānas+praṇayāt+virasas+kim+kariṣyati // Rc_1.91 //	sa pIxyamAnas+praNayAt+virasa-s+kim-+karizyati // Rt-_1.91 //
   kim+ca vatsa daśāsāmyāt+jātās+smas+suhṛdas+purā &	kim-+ca vatsa daSa-asAmyAt+-jAtA-s+smas+-suhRdas+-purA &
   tasya+adhunā tu vistīrṇavibhavāndhasya ke vayam // Rc_1.92 //	tasya-+aDunA tu vistIrNa-viBava-anDasya ke vayam // Rt-_1.92 //
   gṛhītasādhuvartmā+api sadyas+samprāpya sampadam &	gRhIta-sADu-vartmA+-api sadyas+-samprApya sampadam &
   patati skhalitas+atīva pramattas+prahate pathi // Rc_1.93 //	patati sKalita-s+atI-iva pramatta-s+-prahate paTi // Rt-_1.93 //
   sa vatsa viralas+jantus+vipatkālapratiśrutam &	sa vatsa virala-s+jantu-s+vipad-kAla-pratiSrutam &
   sadyas+sampanmadas+yasya na vilumpati cetasi // Rc_1.94 //	sadyas+-sampad-mada-s+yasya na vilumpati cetasi // Rt-_1.94 //
   astu sādhus+asādhus+vā na vicāryas+sa me+adhunā &	astu sADu-s+a-sADu-s+vA na vicAryas+sa me+aDunA &
   vatsa na+utsahate cetas+tatra dogdhum+upakriyām // Rc_1.95 //	vatsa na+utsahate cetas+tatra dogDum-+upakriyAm // Rt-_1.95 //
   asau+anāgatas+śreyān+āgacchan+vatsa vāryatām &	asO+ana-Agata-s+SreyAn-+AgacCan+vatsa vAryatAm &
   praveśayanti suhṛdam+na dhīrās+svārthasaṃkaṭe // Rc_1.96 //	praveSayanti suhRdam+na DIrAs+sva-arTa-saMkawe // Rt-_1.96 //
   kartavyā+upakṛtis+sadbhis+yatra tatra vipadgate &	kartavyA+-upakRti-s+sadBis+yatra tatra vipad-gate &
   avimṛśya kṛtas+asmābhis+sa punas+kṛpaṇas+paṇaḥ // Rc_1.97 //	avimRSya kRta-s+asma-aBis+sa punas+kRpaNa-s+paNaH // Rt-_1.97 //
   kim+kṣiptam+acalaprāntāt+antaḥsuptaśivāśatam &	kim-+kziptam-+acala-prAntAt+antar-supta-SivA-Satam &
   nirdeśapuruṣeṇa+iva kaṅkālam+dundubhes+mayā // Rc_1.98 //	nirdeSa-puruzeNa-+iva kaFkAlam+dunduBes+mayA // Rt-_1.98 //
   kasya+arthasya kṛte viddhās+sapta sālās+tapasvinaḥ &	kasya+arTasya kRte vidDAs+sapta sAlAs+tapasvinaH &
   sa mā pratyetu vaidheyas+kim+na sādhitam+anyataḥ // Rc_1.99 //	sa mA pratyetu vEDeya-s+kim+na sADitam+anyatas // Rt-_1.99 //
   akṣātram+kṣatriyayuvā kas+nu rāmas+iva kṣipet &	akzAtram-+kzatriya-yuvA kas+nu rAmas+iva kzipet &
   viśikham+vālini vyagre sugrīvasya paśos+kṛte // Rc_1.100 //	viSiKa-m+vAlini vyagre sugrIvasya paSos+kRte // Rt-_1.100 //
   na parityajyate mārgas+tāvat+nirvācyakardamaḥ &	na parityajyate mArga-s+tA-vat+-nirvAcya-kardamaH &
   yāvat+pihitakaṣṭāya kāryāya+ātmā na dīyate // Rc_1.101 //	yAvat+-pihita-kazwAya kArya-aya+a-AtmA na dIyate // Rt-_1.101 //
   iṣvā+ekayā mayā viddhas+bāliśena valīmukhaḥ &	izvA+ekayA mayA vidDa-s+bAliSena valImuKaH &
   anuddhārās+śarās+tena ropitās+mayi vāṅmayāḥ // Rc_1.102 //	anudDArAs+-SarAs+tena ropita-as+mayi vAc-mayAH // Rt-_1.102 //
   anavāptavipatpāras+smariṣyāmi kiyanti vā &	anavApta-vipad-pAra-s+smarizyAmi kiyanti vA &
   vatsa kālocitam+śādhi na rāmas+kiṃcit+īkṣate // Rc_1.103 //	vatsa kAla-ucitam-+SADi na rAma-s+kiMcit+Ikzate // Rt-_1.103 //
   avalambasva mām+bhrātas+sītāsmaraṇanissaham &	avalambasva mAm-+BrAtas+-sIta-asmaraNa-nissaham &
   dūram+punas+prabhavatā manas+mohena lupyate // Rc_1.104 //	dUram-+punas+praBavatA manas+mohena lupyate // Rt-_1.104 //
   sanāthobhayapārśvasya tvayā vatsa tayā ca me &	sa-nATa-uBaya-pArSvasya tvayA vatsa tayA ca me &
   vaneṣu ca satas+kaṣṭam+ajaniṣṭa na kiṃcana // Rc_1.105 //	vanezu ca satas+-kazwam+ajanizwa na kiMcana // Rt-_1.105 //
   hā bhīru hā priyatame hā madvirahakātare &	hA BIru hA priyatame hA mad-viraha-kAtare &
   kva+asi+iti+ardhoktinissaṃjñas+jagāma sa mahītalam // Rc_1.106 //	kva+asi-+iti+arDa-ukti-nissaMjQa-s+jagAma sa mahI-talam // Rt-_1.106 //
   mātas+kaikeyi tuṣṭā+asi bhuṅkṣva rājyam+akaṇṭakam &	mAtas+kEkeyi tuzwA+asi BuFkzva rAjyam+akaNwakam &
   vadan+iti+apatat+tasya lakṣmaṇas+caraṇābjayoḥ // Rc_1.107 //	vadan+iti-+apatat+tasya lakzmaNa-s+caraNa-abjayoH // Rt-_1.107 //
   tatas+tau sāśrunayanau mṛgais+vidhuravīkṣitau &	tatas+tO sa-aSru-nayanO mRga-es+viDura-vIkzitO &
   nipetatus+divas+iva bhraṣṭau vidhuravī kṣitau // Rc_1.108 //	nipeta-tus+divas+iva BrazwO viDuravI kzitO // Rt-_1.108 //
   iti nipatitayos+tayos+dvayos+daśarathanandanayos+mahītale &	iti nipatita-yos+tayos+-dvayos+daSaraTa-nandana-yos+-mahI-tale &
   daśabhis+api digaṅganāmukhais+adhṛtivaśāt+iva tatyaje ruciḥ // Rc_1.109 //	daSa-Bis+api diS-aFganA-muKa-es+a-DRti-vaSa-at+iva tatyaje ruciH // Rt-_1.109 //
   ete nikāmarasikasya jayanti pādās+śrīhāravarṣayuvarājamahītalendoḥ &	ete nikAma-rasikasya jayanti pAdAs+-SrI-hAra-varza-yuvarAja-mahI-tala-indoH &
   yais+dvādaśārkakiraṇotkaradurnivāras+sṛṣṭas+abhinandakumudasya mahāvikāsaḥ	yEs+dvAdaSa-arka-kiraNa-utkara-durnivAra-s+sRzwa-s+aBinanda-kumudasya mahA-vikAsaH
   // Rc_1.110 //	// Rt-_1.110 //
   iti+abhinandakṛtau rāmacarite mahākāvye prathamas+sargas+samāptaḥ ||	iti-+aBinanda-kRtO rAma-carite mahAkAvye praTama-s+-sarga-s+-samAptaH ||
   dvitīyas+sargas+	dvitIya-s+sarga-s+
   tām+anīkṣitacarīm+adhīratām+ātmanas+atha viniyamya lakṣmaṇaḥ &	tAm+anIkzita-carIm+a-DIra-tAm+a-Atmana-s+aTa viniyamya lakzmaNaH &
   sāntvanārtham+iti vācam+abravīt+tīvramanyurayamūḍham+agrajam // Rc_2.1 //	sAntvanA-arTam-+iti vAcam-+abravIt+-tIvra-manyuH-aya-mUXam-+agrajam // Rt-_2.1 //
   kāryam+ārya pariśiṣṭam+ucyatām+mucyatām+idam+ayogajam+tamaḥ &	kAryam-+Arya pariSizwam-+ucyatAm-+mucyatAm-+idam+a-yoga-jam+tamaH &
   rājatu+udyamadivākarodayasmeram+āśu mukhapaṅkajam+tava // Rc_2.2 //	rAjatu+udyama-divAkara-udaya-smeram+a-ASu muKa-paFkaja-m+tavaH // Rt-_2.2 //
   āsitum+samayas+eṣa na+āvayos+moham+ittham+avalambitum+na ca &	Asitum-+samayas+eza na+a-avayos+moham-+itTam-+avalambitum+na ca &
   utsahasva nanu hṛṣyatām+cirādiṣu+adhīnam+adhunā+abhikāṅkṣitam // Rc_2.3 //	utsahasva nanu hRzyatAm+cira-Adizu-+aDInam+aDunA+aBikAFkzitam // Rt-_2.3 //
   kevalam+phalabhujas+na tasya nas+taskarasya nilaye+asti niścayaḥ &	kevalam-+Pala-Bujas+na tasya nas+taskarasya nilaye+asti niScayaH &
   abhyupaitu ravinandanas+kṣaṇāt+andhakāram+idam+api+apaiṣyati // Rc_2.4 //	aByupEtu ravinandana-s+kzaNa-At+anDakAram-+idam-+api+apEzyati // Rt-_2.4 //
   aurasān+api sutān+arīn+iva ghnanti kāraṇavaśāt+mahībhujaḥ &	OrasAn+api sutAn-+arIn-+iva Gnanti kAraNa-va-SAt+-mahIBujaH &
   nigrahāt+anujavidviṣas+kapes+kim+pṛthagjanas+iva+anutapyase // Rc_2.5 //	nigraha-at+anuja-vidviza-s+kapes+kim+pRTagjana-s+iva+-anutapyase // Rt-_2.5 //
   krīḍatām+mṛgavaneṣu dhanvinām+jīvakoṭikadane+api kā kṣatiḥ &	krIxatAm+mRga-vanezu DanvinAm+jIva-kowikadane+api kA kzatiH &
   khidyase kim+aniśam+prayojanāt+ekavānaravadhas+kutas+kṛtaḥ // Rc_2.6 //	Kidyase kim+a-niSam+-prayojana-at+eka-vAnara-vaDa-s+kutas+kRtaH // Rt-_2.6 //
   tasya ca pravayasas+jaṭāyuṣas+svargiṇas+kim+adhunā+anuśocyate &	tasya ca pravayasa-s+-jawA-yuzas+-svargiNa-s+kim+aDunA+anuSocyate &
   yena jarjarakalevaravyayāt+krītam+indukiraṇojjvalam+yaśaḥ // Rc_2.7 //	yena jarjara-kalevara-vyayAt+krItam-+indu-kiraNa-ujjvalam-+yaSaH // Rt-_2.7 //
   etat+ekam+ativāhyatām+ahas+śvas+na sa plavagarāṭ+pratīkṣyate &	etat+ekam-+ativAhya-tAm-+ahas+Svas+na sa plavagarAw+-pratIkzyate &
   tat+prasīda paritas+vicīyatā+ātmanā+eva sanagārṇavā+avaniḥ // Rc_2.8 //	tat+prasIda paritas+vicIyatA+-AtmanA+eva sa-naga-arNavA+avaniH // Rt-_2.8 //
   tat+kabandhaśabarīhanūmatām+āvayos+ajani saṅgatam+yathā &	tat+ka-banDa-SabarI-hanUmatAm+AvayaH-s+a-jani saFgatam-+yaTA &
   iṣṭaśaṃsi vanaśailapānthayos+kim+tathā+anyat+api na+āpatet+punaḥ // Rc_2.9	izwa-SaMsi vana-SEla-pAnTayos+kim+taTA-A+anyat+api na+a-Apatet+punar // Rt-_2.9
   yatra yatra tava siddhis+agratas+kas+kariṣyati na te samīhitam &	yatra yatra tava sidDi-s+agra-tas+kas+karizyati na te samIhitam &
   ujjvale kṛtavidām+na kevalam+tena vartmani durātmanā sthitam // Rc_2.10 //	ujjvale kRta-vidAm+na kevala-m+tena vartmani durAtmanA sTitam // Rt-_2.10 //
   sambhavati+abhimaras+pure+athavā tasya tīvram+ayaśas+kim+ucyate &	samBavati-+aBimaras+-pure+aTavA tasya tIvram+aya-Sas+kim-+ucyate &
   duḥkham+utkhanati kaṇṭakāvalīs+aṅgasandhiṣu navas+kila+īśvaraḥ // Rc_2.11	duHKam-+utKanati kaNwaka-AvalI-s+aFga-sanDizu nava-s+kila-+ISvaraH // Rt-_2.11
   samprati prathamam+ārya gṛhyatām+tatpravṛttim+upalabdhum+udyamaḥ &	samprati praTamam-+Arya gRhyatAm-+tad-pravRttim-+upalabDum-+udyamaH &
   marṣaṇīyaparilambadūṣaṇas+sas+adhunā+api+akapaṭas+ghaṭate cet // Rc_2.12	marzaNIya-parilamba-dUzaNa-s+sa-s+aDuna-a+api+aka-pawas+-Gawate ced // Rt-_2.12
   muñca moham+avatīryatām+itas+sevyatām+iyam+anāvilā nadī &	muQca moham-+avatIryatAm-+itas+sevyatAm-+iyam+anAvilA nadI &
   eṣa gacchati javāt+japāruṇas+vāruṇīm+aruṇasārathis+diśam // Rc_2.13 //	eza gacCati javAt+-ja-pa-aruNa-s+vAruNI-m+aruNa-sAraTi-s+diSam // Rt-_2.13 //
   unmimīla raghunandanas+cirāt+tat+niśamya vacanam+camatkṛtaḥ &	unmimIla raGunandana-s+cirAt+tat+-niSamya vacanam-+camatkRtaH &
   api+ayogavidhurās+na śerate saṃmukhīnavidhayas+tathāvidhāḥ // Rc_2.14 //	api-+ayoga-viDu-rAs+na Serate saMmuKIna-viDayas+-taTAviDAH // Rt-_2.14 //
   muktamoham+avalokya lakṣmaṇas+tam+mṛgāṅkam+iva meghanirgatam &	mukta-moham-+avalokya lakzmaNa-s+tam+-mRgAFkam-+iva meGa-nirgatam &
   ādade+atha śaśikāntabhūdharasyandabinduśiśirām+sarasvatīm // Rc_2.15 //	Adade+aTa SaSikAnta-BUDara-syanda-bindu-SiSirAm+sarasvatIm // Rt-_2.15 //
   eṣa paśya patitas+nabhastalāt+astaśailagahaneṣu naśyati &	eza paSya patita-s+naBaH-talAt+asta-SEla-gahanezu naSyati &
   sandhyayā caramadikpragalbhayā bhagnasāndrakarapañjaras+khagaḥ // Rc_2.16	sanDyayA carama-diS-pragalBayA Bagna-sAndra-kara-paQjara-s+Ka-gaH // Rt-_2.16
   śakyam+arcitum+anuccapāṇibhis+pāśapāṇinagarīnivāsibhiḥ &	Sakyam-+arcitum+anucca-pANiBi-s+pASa-pANi-nagarI-nivAsiBiH &
   sānurodhas+iva dūrabandhuras+bandhujīvakusumāruṇas+raviḥ // Rc_2.17 //	sa-anuroDa-s+iva dUra-banDu-ras+banDu-jIva-kusuma-aruNa-s+raviH // Rt-_2.17 //
   eṣa muktakarapāṭavas+ravis+nāṭayati+anuguṇatvam+appatau &	eza mukta-kara-pAwava-s+ra-vis+nAwa-yati+anuguNa-tvam-+appatO &
   āpadi prakṛtis+ujjhitā varam+na+āśrayasya visadṛk+viceṣṭitam // Rc_2.18 //	Apadi prakRti-s+ujJitAH varam+na+a-ASrayasya visadRk+-vicezwitam // Rt-_2.18 //
   bimbamūlarucirās+raves+amī recayanti gaganam+gabhastayaḥ &	bimba-mUla-rucirAs+ra-ves+amI recayanti gagana-m+gaBastayaH &
   pūrayanti ca mahīm+mahīruhām+āyatās+pratiśarīrayaṣṭayaḥ // Rc_2.19 //	pUrayanti ca mahI-m+mahIruha-Am+a-AyatAs+-pratiSarIra-yazwayaH // Rt-_2.19 //
   agratas+śikharaśākhisaṃhates+chāyayā+upacitayā+apasāritaḥ &	agratas+-SiKara-SAKi-saMhata-Is+-CAyayA+upacitayA+apasAritaH &
   pṛṣṭhatas+atinibhṛtam+mahībhṛtām+ātapas+kaṭakam+āśu na+ujjhati // Rc_2.20	pRzWatas+ati-niBRta-m+mahIBRta-Am+a-Atapa-s+kawakam+ASu na+ujJati // Rt-_2.20
   svīkaroti śanakais+anokahacchāyam+adriśikharasthalīs+api &	svIkaroti Sana-kEs+a-noka-ha=-CAya-m+adri-SiKara-sTalIs+api &
   hīyate nijavapuṣi+api kramāt+ātapasya mamatā tapasvinaḥ // Rc_2.21 //	hIyate nija-vapuzi+-api kramAt+a-Atapasya mamatA tapasvinaH // Rt-_2.21 //
   appates+diśi viceṣṭate ravis+vyākulās+śakunayas+svananti+amī &	appates+diSi vicezwate ravi-s+vyAkulAs+-Sa-kunayas+-su-ananti-+amI &
   dhvāntadṛṣṭiviṣadarśanāt+dine durnivāranidhane nimīlati // Rc_2.22 //	DvAnta-dRzwi-viza-darSana-at+dine durnivAra-niDane nimIlati // Rt-_2.22 //
   kīryate kṛtaravais+khagavrajais+eṣa tallataṭacaityapādapaḥ &	kIryate kRta-ra-vEs+Ka-ga-vrajEH-+eza talla-tawa-cEtya-pAdapaH &
   sāyam+adhvanikaṭe nirargalas+sajjanālayas+iva pravāsibhiḥ // Rc_2.23 //	sAyam+a-Dva-nikawe nirargala-s+-sat-jana-Alaya-s+iva pravAsiBiH // Rt-_2.23 //
   yānti khinnajanasevyatām+amī saumya sormiśucivālukācayāḥ &	yAnti Kinna-jana-sevya-tAm-+amI sOmya sa-Urmi-Suci-vAlukA-cayAH &
   prāntasuptakalahaṃsapaṅktayas+svairanīramarutas+nadītaṭāḥ // Rc_2.24 //	prAnta-supta-kalahaMsa-paFktayas+svEra-nIramaruta-s+nadI-tawAH // Rt-_2.24 //
   dhik+taṭāntavasatīn+sitacchadān+paśyatas+kamalaṣaṇḍavaiśasam &	Dik+-tawa-anta-vasatI-n+sita=-CadAn+paSyata-s+-kamala-zaNxa-vESasam &
   staumi tam+divasam+ārya kevalam+yas+astam+eti samam+abjabandhunā //	stOmi tam+divasam-+Arya kevalam-+yas+aH-tam+A-iti samam-+abja-banDunA //
   Rc_2.25 //	Rt-_2.25 //
   dantamūlanihitaikasallakīpallavas+alasavilokitānugaḥ &	danta-mUla-nihita-eka-sallakI-pallava-s+ala-sa-vilokita-anugaH &
   eṣa muktagirikandaras+śanais+vāri vāraṇapatis+pratiṣṭhate // Rc_2.26 //	eza mukta-giri-kandara-s+Sa-nEs+vAri vAraNapatis+pratizWate // Rt-_2.26 //
   śīlayanti kariṇas+svavāsitāvāri sairibhasamūharecitam &	SIlayanti kariNa-s+-svavAsitA-vAri sEriBa-samUha-recitam &
   mālatīvanavikāsavāsitās+vānti palvalataṭāntavāyavaḥ // Rc_2.27 //	mAlatI-vana-vikAsa-vAsitA-s+vAnti palvala-tawa-anta-vAyavaH // Rt-_2.27 //
   saṃtyajanti masṛṇam+saraḥsarittallamūlasalilāni sairibhāḥ &	saMtyajanti masRNa-m+saraH-sarit-talla-mUla-salilAni sEriBAH &
   sambhajanti sahasā bhayadrutais+īkṣitās+kurarasārasairibhāḥ // Rc_2.28 //	samBajanti sahasA Baya-drutEs+IkzitA-s+-kurara-sAra-sEriBAH // Rt-_2.28 //
   saṃmukhīnaghanapatrabandhanāt+paśya paṅkajavanāt+anāratam &	saMmuKIna-Gana-patra-banDanAt+paSya paFkaja-vanAt+anAratam &
   pītakośamakarandasaṃcayās+saṃcaranti madhupās+kumudvatīm // Rc_2.29 //	pIta-koSa-makaranda-saMcayAs+-saMcaranti maDu-pAs+-kumudvatIm // Rt-_2.29 //
   na+upanītamukhamudram+ambujam+muktamudram+atha na+eva kairavam &	na+upanIta-muKamudram-+ambuja-m+mukta-mudram-+aTa na+A-iva kEravam &
   etadīkṣitaparasparam+punas+patriyugmam+apanidravaiśasam // Rc_2.30 //	etat-Ikzita-parasparam+punas+-patri-yugmam+apanidra-vESasam // Rt-_2.30 //
   rodhasas+pulinam+abjinīm+tatas+tām+atītya bhajate kumudvatīm &	roDa-sa-s+pulinam-+abjinIm-+tata-s+tAm-+atItya Bajate kumudvatIm &
   tatra taptas+iva gāhate payas+sāyam+ārdravirahas+vihaṅgamaḥ // Rc_2.31 //	tatra taptas+iva gAhate payas+-sAyam+Ardra-viraha-s+-vihaFgamaH // Rt-_2.31 //
   svīkṛtam+na nalinais+nimīlitam+na sphuṭam+kumudakuḍmalasmitam &	svIkRta-m+na nalina-es+-nimIlita-m+na sPuwam-+kumuda-kuxmala-smitam &
   etadīkṣitaparasparam+param+mūḍham+ambhasi vihaṅgamadvayam // Rc_2.32 //	etat-Ikzita-parasparam-+param+-mUXam-+amBasi vihaFgama-dvayam // Rt-_2.32 //
   jarjaram+tyajati vāsaraplavam+na prasārayati mantharān+karān &	jarjaram-+tyajati vAsara-plava-m+na prasArayati manTara-an-+karAn &
   eti+adṛṣṭam+avalambya kevalam+vyomavārinidhiśeṣam+aṃśumān // Rc_2.33 //	eti+a-dRzwam-+avalambya kevalam-+vyoma-vAri-niDi-Sezam-+aMSumAn // Rt-_2.33 //
   śrāvitāgamam+iva dvijāravais+dhvāntam+oṃ+iti jagat+pratīcchati &	SrAvita-Agamam-+iva dvijAra-vEs+Dva-antam-+oM+iti jagat+-pratIcCati &
   trātum+ūṣmarahitas+kṣamas+adhunā na svamaṇḍalam+api prabhākaraḥ // Rc_2.34	trAtum+Uzma-rahita-s+kzam-as+aDunA na sva-maNxalam-+api praBAkaraH // Rt-_2.34
   dṛśyatām+udayati sma yādṛśas+tādṛśas+taraṇis+astam+īyate &	dRSyatAm-+udayati sma yAdRSa-s+tA-dRSa-s+taraNi-s+astam+Iyate &
   utsavavyasanayos+prabhus+vidhis+vikriyāsu mahatām+anīśvaraḥ // Rc_2.35 //	utsava-vyasana-yos+-praBu-s+viDi-s+vikriyAsu mahatAm+anISvaraH // Rt-_2.35 //
   sphītam+abjakulam+īkṣyatām+itas+tallam+ullasitahaṃsasārasam &	sPItam-+abja-kulam-+IkzyatAm+ita-s+tallam+ulla-sita-haMsa-sArasam &
   niścalācchaparimaṇḍalodakaprāntamantharamṛṇālakaṇṭakam // Rc_2.36 //	niScala-at-Sa-parimaNxala-udaka-prAnta-manTara-mRNAla-kaNwakam // Rt-_2.36 //
   śīlayanti+acalamekhalāsu+amī śītalāsu ruravas+nirudyamāḥ &	SIlayanti+acala-meKalA-su+amI SItalAsu ruravas+-nirudyamAH &
   pūrvaśaṣpakabalānuvartinas+stokacañcalamukhās+sukhāsikām // Rc_2.37 //	pUrva-Sazpaka-bala-anuvartinas+-stoka-caQcala-muKa-as+-suKAsikAm // Rt-_2.37 //
   dīdhitīs+paricitās+parityajati+abjinīs+api ca na+anurudhyate &	dIDitI-s+-paricitAs+-parityajati-+abjinIs+api ca na+anuruDyate &
   sandhyayā varuṇadigvadhūm+anuprāpitas+kam+api rāgam+aṃśumān // Rc_2.38 //	sanDyayA varuNa-diS-va-DUm+anuprApita-s+kam-+api rAgam-+aMSumAn // Rt-_2.38 //
   dyaus+ravīndurahitā+api nirmalā bhūs+avṛkṣasalilā+api śītalā &	dyOs+ravI-indu-rahitA+-api nirmalA BUs+a-vRkza-salilA+api SItalA &
   antarālam+avalambya śobhate vāsarakṣaṇadayos+kṣaṇam+jagat // Rc_2.39 //	antarAlam-+avalambya SoBate vAsa-rakzaNa-dayaH-s+kzaNam-+jagat // Rt-_2.39 //
   nirjharas+ayam+iyam+āpagā saras+palvalam+ca vimalam+vibhāti+adaḥ &	nirJara-s+ayam-+iyam+ApagA saras+-palvalam-+ca vimalam-+viBAti+adaH &
   yatra cittam+iha paryupāsyatām+tatra tatrabhavatī pitṛprasūḥ // Rc_2.40 //	yatra cittam-+iha paryupAsyatAm-+tatra tatraBavatI pitR-prasUH // Rt-_2.40 //
   iti+ubhau vyavahitāntaravyathau tau samāpya samayocitam+vidhim &	iti+uBO vyavahita-antara-vyaTO tO samApya samaya-ucitam-+viDim &
   satkṛtim+dadhatus+ānane mithas+prārthanām+kim+api rāmalakṣmaṇau // Rc_2.41	satkRtim+da-Datu-s+Anane miTas+-prArTanAm+kim+api rAma-lakzmaNO // Rt-_2.41
   yatra vāti na kumudvatīmarut+kaumudī bata na yatra vīkṣyate &	yatra vAti na kumudvatI-marut+-kOmudI bata na yatra vIkzyate &
   tam+nirūpitasamantam+añjasā bhejatus+parisaram+raghūdvahau // Rc_2.42 //	tam+nirUpita-samantam-+aQjasA Bejatu-s+pari-saram+raGu-udvahO // Rt-_2.42 //
   dṛṣṭipāṇitalappātaśodhitām+uddhṛtasthagitakaṇṭakāvaṭām &	dRzwi-pANi-talappAta-SoDitAm+udDRta-sTagita-kaNwaka-avawAm &
   astṛṇāt+navatṛṇena medinām+rāmabhadraśayanāya lakṣmaṇaḥ // Rc_2.43 //	astRNAt+nava-tRNena medinAm-+rAm-a-Badra-SayanAya lakzmaNaH // Rt-_2.43 //
   nirṇineja sahasā suṣupsatas+pādapadmayugam+agrajanmanaḥ &	nirNinA-ija sahasA suzupsatas+pAda-padma-yugam-+agrajanmanaH &
   svāṃśukoddhṛtajalam+karābjayos+kauśalāt+ca samavāhayat+punaḥ // Rc_2.44 //	sva-aMSuka-udDRta-jalam-+kara-abja-yos+-kOSalAt+ca samavAhayat+-punar // Rt-_2.44 //
   adhvajarjaritarājalakṣaṇam+lakṣmaṇas+caraṇam+agrajanmanaḥ &	aDva-jarjarita-rAja-lakzaNam-+lakzmaNa-s+caraNam-+agrajanmanaH &
   āmamarśa ciram+aśru vartayan+kevalopakaraṇena pāṇinā // Rc_2.45 //	AmamarSa ciram-+aSru vartayan+-kevala-upakaraNena pANinA // Rt-_2.45 //
   svairam+agrakarajais+vivṛtya ca vyākulām+samanayat+jaṭāṭavīm &	svEram-+agraka-rajEs+vivRtya ca vyAkula-Am+-samanayat+-jawA-awavIm &
   aṅgadeśam+anayat+vidhūya ca srastarātisṛtam+añcalam+tvacaḥ // Rc_2.46 //	aFga-deSam-+anayat+-viDUya ca srastarAti-sRta-m-+aQcalam+tvacaH // Rt-_2.46 //
   pārśvayos+upadadhe maheṣudhī ādade śirasi pūjitam+dhanuḥ &	pArSvayos+u-padaDe mahA-izuDI Adade Sirasi pUjitam+DanuH &
   unmamārja dhutasaṃhṛtena ca svāñcalena punaruktam+āstaram // Rc_2.47 //	unmamArja Duta-saMhRtena ca sva-aQcalena punar-uktam-+Astaram // Rt-_2.47 //
   iti+ajasram+anujātasevayā jīyamānavanavāsayātanaḥ &	iti-+aja-sram+anujAta-sevayA jIyamAna-vana-vAsa-yAtanaH &
   svaptukāmas+iva sālasendriyas+saṃviveśa raghunandanas+kṣaṇam // Rc_2.48 //	svaptu-kAma-s+iva sa-alasa-indriya-s+-saMviveSa raGunandana-s+kzaNam // Rt-_2.48 //
   mīlitonmiṣitalocanas+śanais+jāgarūkam+avalokya sas+anujam &	mIlita-unmizita-locana-s+Sa-nEs+jAgarUkam-+avalokya sa-s+anujam &
   uccavāmakarapaṅkajodaranyastamaulis+avadat+mitam+vacaḥ // Rc_2.49 //	ucca-vAma-kara-paFkaja-udara-nyasta-mOli-s+avat-at+mitam+vacaH // Rt-_2.49 //
   gaccha vatsa śayanīyam+ātmanas+kliśyase kṛśataras+kiyat+ciram &	gacCa vatsa SayanIyam-+a-Atmanas+-kliSyase kRSataras+kiyat+ciram &
   nidrayā viśadatām+vraja kṣaṇam+na kṣamas+pratiniśīthajāgaraḥ // Rc_2.50 //	nidrayA viSadatAm-+vraja kzaNam+na kzamas+pratiniSITa-jAgaraH // Rt-_2.50 //
   prātar+asti bahu kṛtyam+āvayos+bhrātar+ātmani kim+asi+atatparaḥ &	prAtar-+asti bahu kRtyam+Avayos+BrAtar+a-Atmani kim-+asi+a-tatparaH &
   cintyatām+uṣasi tasya saṃgatis+śītalasya kapicakravartinaḥ // Rc_2.51 //	cintya-tAm+uzasi tasya saMgati-s+SItalasya kapi-cakravartinaH // Rt-_2.51 //
   āspadādhigamagarvitas+astu vā+api+astu vā+anuditabhūtivikriyaḥ &	Aspada-aDigama-garvita-s+aH-tu vA+api+aH-tu vA+anudita-BUti-vikriyaH &
   āvayos+samayabaddhayos+punas+niścayārtham+adhigamyas+eva saḥ // Rc_2.52 //	Avayos+-samaya-badDa-yos+-punas+-niScaya-arTam-+aDigamya-s+A-iva saH // Rt-_2.52 //
   tat+vibhātu rajanī sukhena te yāsyatas+plavagarājamandiram &	tat+viBAtu rajanI suKena te yAsyatas+-plavaga-rAja-mandiram &
   pakṣayos+yat+anurūpamuktayos+tat+tadā+eva ca samarthayiṣyate // Rc_2.53 //	pakzayos+yat+anurUpamuktayoH-+tat+tadA+A-iva ca samarTayizyate // Rt-_2.53 //
   ūcivān+iti babhūva nirvacās+kuḍmalīkṛtavilocanotpalaḥ &	UcivAn+iti baBUva nirvacAs+-kuxmalIkRta-vilocana-utpalaH &
   adhyaśeta caraṇāmbujāntikam+tasya joṣam+anaghas+jaghanyajaḥ // Rc_2.54 //	aDyaSeta caraNa-ambuja-antika-m+tasya jozam-+anaGa-s+jaGanI-ajaH // Rt-_2.54 //
   tatra tatra ca śayānayos+cirāt+vīrayos+vigatasādhvasās+iva &	tatra tatra ca SayAnayos+cirAt+vIra-yos+-vigata-sADvasAs+iva &
   uddhatais+dadus+ulūkahuṃkṛtais+andhakārajayaghoṣaṇām+drumāḥ // Rc_2.55 //	udData-es+da-du-s+ulUka-huMkRta-es+anDakAra-jaya-GozaNAm+drumAH // Rt-_2.55 //
   vyātatoḍudaśanā+api mucyase na tvam+arkacirasaṃstutā+adhunā &	vyAta-ta-uxu-daSanA+-api mucyase na tvam-+arka-cira-saMstuta-a+aDunA &
