   śrīḥ //	SrIH //
   jñānaṃ gṛṇhātītyasyaivār'thasyānabhyupagamāt /	jQAnam gRNhAti-iti-asya-eva-Ar-aTasya-anaByupagamAt /
   api tu tadeva grahaṇamityabhyupagamaḥ /	api tu tat-eva grahaNam-iti-aByupagamaH /
   tathā ca jñānaṃ prathame yamarthamālambya jātam, dvitīye 'pi kṣaṇe	taTA ca jQAnam praTame yam-arTam-Alambya jAtam, dvitIye api kzaNe
   tadālambanameva tannaveti praśnārthaḥ /	tad-Alambanam-eva tat-navA-iti praSna-arTaH /
   tatra tadālambanameva taditi paramārthaḥ /	tatra tad-Alambanam-eva tat-iti parama-arTaH /
   nacaivaṃ bhrāntatvam, viparītānavagāhanāt /	na-ca-evam BrAnta-tvam, viparIta-anavagAhanAt /
   tathāpi jñeyanivṛttau kathaṃ jñānānuvṛttiḥ? tadanuvṛttau vā kathaṃ	taTA-api jQeya-nivRttO kaTam jQAna-anuvRttiH? tad-anuvRttO vA kaTam
   jñeyanivṛttiriti cet- kimasminnanupapannam? na hi jñānamarthaścetyekaṃ	jQeya-nivRttiH-iti cet kim-asmin=-anupapannam? na hi jQAnam-arTaH-ca-iti-ekam
   tattvamekāyuṣkaṃ veti /	tattvam-eka-Ayuzkam vA-iti /
   [ku.4.520] satyapi vā kṣaṇikatve kathamapratyakṣam? itthaṃ yathocyate-na	[ku.4.520] sati-api vA kzaNika-tve kaTam-apratyakzam? itTam yaTA-ucyate-na
   svaprakāśam, vastutvāditaravastuvat /	sva-prakASam, vastu-tva-Aditara-vastu-vat /
   na ca jñānāntaragrāhyam, jñānayaugapadyaniṣedhena samānakālasya	na ca jQAna-antara-grAhyam, jQAna-yOgapadya-nizeDena samAna-kAlasya
   tasyābhāvāt /	tasya-aBAvAt /
   grāhakakāle grāhyasyātītatvena vartamānābhatvānupapatteḥ /	grAhaka-kAle grAhyasya-atIta-tvena vartamAna-aBa-tva-anupapatteH /
   grāhyakāle ca grāhakasyānāgatatvāt- iti cet- nanvevaṃ jñātatāpi na	grAhya-kAle ca grAhakasya-anAgata-tva-at iti cet nanu-evam jQAta-tA-api na
   pratyakṣā syāt, kṣaṇikatvāt /	pratyakzA syAt, kzaNika-tvAt /
   katham? ittham- na svaprakāśā /	kaTam? itTam na sva-prakASAH /
   vastutvāt, na janakagrāhyā, anāgatatvāt /	vastu-tva-at, na janaka-grAhyA, anAgata-tvAt /
   viramyavyāpārāyogācca /	viramya-vyApAra-ayogAt-ca /
   na samasamayajñānagrāhyā, jñānajanakendriyasambandhānanubhavāt (221) /	na sama-samaya-jQAna-grAhyA, jQAna-janaka-indriya-sambanDAn-anuBavAt (221) /
   na ca taduttarajñānagrāhyā, tadānīmatītatvāt- iti /	na ca tad-uttara-jQAna-grAhyA, tadAnIm-atIta-tva-at iti /
   kṣaṇikatvameva tasyāḥ kuta iti cet- tvaduktayuktereva /	kzaNika-tvam-eva tasyAH kutas iti cet tvad-ukta-yukteH-eva /
   tathāhi- yaṃ kṣaṇamāśritya jātā tataḥ paramapi tamevāśrayante anyaṃ vā, na	taTA-hi yam kzaNam-ASritya jAtA tatas param-api tam-eva-ASrayante anyam vA, na
   vā kamapīti /	vA kam-api-iti /
   tatra na prathamaḥ, tasya tadānīmasattvāt /	tatra na praTamaH, tasya tadAnIm-asattvAt /
   na dvitīyaḥ, apratisaṅkramāt /	na dvitIyaH, apratisaFkramAt /
   ekakṣaṇāvagāhini ca jñāne tadanyakṣaṇāśrayajñātatāphalatvena	eka-kzaNa-avagAhini ca jQAne tad-anyakzaNa-ASraya-jQAta-tA-Pala-tvena
   bhrāntatvaprasaṅgāt, rajatāvagāhini purovartivṛtti(222)jñātatāphala iva /	BrAnta-tva-prasaFga-at, rajata-avagAhini puras-varti-vRtti-(222)jQAta-tA-PalaH iva /
   na cānyamapi kṣaṇaṃ jñānamavagāhate, tadānīṃ tasyāsattvāt /	na ca-anyam-api kzaNam jQAnam-avagAhate, tadAnIm tasya-asattvAt /
   na tṛtīyaḥ, niḥsvabhāvatāprasaṅgāt /	na tRtIyaH, niHsvaBAvatA-prasaFgAt /
   na hyasau tadānīṃ tadīyānyadīyā veti /	na hi-asO tadAnIm tadIyAni-adIyA vA-iti /
   [ku.4.521] atītenāpi tenaiva kṣaṇenopalakṣitānuvartate iti cet- evaṃ tarhi	[ku.4.521] atItena-api tena-eva kzaNena-upalakzita-anuvartate iti cet evam tarhi
   vartamānārthatā prakāśasya (223) na syāt /	vartamAna-arTa-tA prakASasya (223) na syAt /
   anyathā jñānasyāpi tathānuvṛtteḥ ko doṣaḥ? nahi	anyaTA jQAnasya-api taTA-anuvRtteH kaH dozaH? na-hi
   vartamānārthaprakāśasambandhamantareṇa jñānasyānyā vartamānāvabhāsatā nāma	vartamAna-arTa-prakASa-sambanDam-antareNa jQAnasya-anyA vartamAna-avaBAsa-tA nAma
   arthanirapekṣaprakāśanānuvṛttimātreṇa tathātve bhūtabhāviviṣayasyāpi	arTa-nirapekza-prakASana-anuvRtti-mAtreNa taTAtve BUta-BAvi-vizayasya-api
   jñānasya tathābhāvaprasaṅgāt /	jQAnasya taTA-aBAva-prasaFgAt /
   [ku.4.522] atha mā bhūdayaṃ doṣa iti sthūla eva vartamānaḥ	[ku.4.522] aTa mA BUt-ayam dozaH iti sTUlaH eva vartamAnaH
   prakāśenāśrīyate ityabhyupagamaḥ, tadā tajjñānasyāpi sa eva viṣaya iti	prakASena-ASrIyate iti-aByupagamaH, tadA tat-jQAnasya-api saH eva vizayaH iti
   tasyāpi na kṣaṇikatvamiti /	tasya-api na kzaNika-tvam-iti /
   [ku.4.523] nanu (4) jñānamaindriyakaṃ cet, viṣayasañcāro na	[ku.4.523] nanu (4) jQAnam-Endriyakam cet, vizaya-saQcAraH na
   syāt,sañjātasambandhatvāt /	syAt,-saQjAta-sambanDa-tvAt /
   na ca jijñāsāniyamānniyamaḥ, tasyāḥ saṃśayapūrvakatvāt, tasya ca	na ca jijQAsA-niyamAn-niyamaH, tasyAH saMSaya-pUrvaka-tvAt, tasya ca
   dharmijñānapūrvakatvāt, dharmiṇaśca sannidhimātreṇa jñāne jijñāsāpekṣaṇe	Darmi-jQAna-pUrvaka-tvAt, DarmiNaH-ca sanniDi-mAtreNa jQAne jijQAsA-apekzaNe
   vā ubhayathāpyanavasthānāditi- tanna- jñātatāpakṣe 'pi tulyatvāt /	vA uBayaTA-api-anavasTAnAt-iti tat-na jQAta-tA-pakze api tulya-tvAt /
   tasyā api hi jñeyatve tatparamparājñānāpātāt; jijñāsāniyamasya ca	tasyAH api hi jQeya-tve tad-paramparA-jQAna-apAtAt; jijQAsA-niyamasya ca
   tadvadanupapatteḥ /	tadvat-anupapatteH /
   nacendriyasambandhavicchedādvirāma iti yuktam- ātmaprākaṭyāvyāpanāt /	naca-indriya-sambanDa-vicCedAt-virAmaH iti yuktam Atma-prAkawyA-vyApanAt /
   svabhāvata eva kācidasāvajijñāsitāpi jñāyate, na tu sarveti cet- tulyam /	svaBAvataH eva kAcid-asO=-ajijQAsitA-api jQAyate, na tu sarva-iti cet tulyam /
   prāgutpannajñātatāsmaraṇajanitajijñāsaḥ samunmīlitanayanaḥ	prAk-utpanna-jQAta-tA-smaraNa-janita-jijQAsaH samunmIlita-nayanaH
   sañjātajñānasamutpāditaprākaṭyaṃ jijñāsureva pratipadyate ityato	saQjAta-jQAna-samutpAdita-prAkawyam jijQAsuH-eva pratipadyate iti-atas-
   nānavastheti cet- tulyametat /	na-anavasTA-iti cet tulyam-etat /
   [ku.4.524] nanu (5) jñānaṃ na savikalpakagrāhyam, tasya	[ku.4.524] nanu (5) jQAnam na sa-vikalpaka-grAhyam, tasya
   nirvikalpakapūrvakatvād; nirvikalpakagṛgītasya tāvatkālānavasthānāt; tasya	nirvikalpaka-pUrvaka-tvAd; nirvikalpaka-gRgItasya tAvat-kAlAnavasTAnAt; tasya
   tenaiva vināśāt /	tena-eva vinASAt /
   nāpi kevalanirvikalpakavedyam, tasya savikalpakonneyatvena tadabhāve	na-api kevala-nirvikalpaka-vedyam, tasya sa-vikalpa-ka-unneya-tvena tad-aBAve
   pramāṇābhāvāt /	pramANa-aBAvAt /
   na ca samavāyābhāvavannirvikalpakanirapekṣasavikalpakagocaratvaṃ	na ca samavAya-aBAva-vat-nirvikalpaka-nirapekza-sa-vikalpaka-gocara-tvam
   jñānasyeti sāmpratam- tayorviśeṣaṇāṃśasya	jQAnasya-iti sAmpratam tayoH-viSezaNa-aMSasya
   prāggrahaṇādanumānādivattadupapatteḥ; prakṛte tu	prAk-grahaNAt-anumAna-Adi-vat-tad-upapatteH; prakRte tu
   jñānatvāderanupalabdheragṛhītaviśeṣaṇāyāśca	jQAna-tva-AdeH-anupalabDeH-agRhIta-viSezaNAyAH-ca
   buddherviśeṣyānupasaṅkramātkathamevaṃ syāt? na; utpannamātrasyaiva	budDeH-viSezya-anupasaFkramAt-kaTam-evam syAt? na; utpanna-mAtrasya-eva
   bāhyaviṣayajñānasyālocanāt /	bAhya-vizaya-jQAnasya-AlocanAt /
   tatastatpuraḥsaraṃ prathamata eva tajjātīyasya jñānāntarasya vikalpanāt /	tatas-tat-puraHsaram praTamatas eva tad-jAtIyasya jQAna-antarasya vikalpanAt /
   indriyasannikarṣasya tadaiva viśeṣaṇagrahaṇalakṣaṇasahakārisampatteḥ /	indriya-sannikarzasya tadA-eva viSezaNa-grahaNa-lakzaNa-sahakAri-sampatteH /
   vyaktyantarasamavetamapi hi sāmānyaṃ gṛhītaṃ tadevetyupayujyate (224) /	vyakti-antara-samavetam-api hi sAmAnyam gRhItam tat-eva-iti-upayujyate (224) /
   anyathānumānādivikalpānāmanutpādaprasaṅgaḥ; tadgatasya	anyaTA-anumAna-Adi-vikalpAnAm-anutpAda-prasaFgaH; tad-gatasya
   viśeṣaṇasyāgrahaṇādanyagatasya cānupayogātkiṃ liṅgagrahaṇasahakāri syāditi	viSezaNasya-agrahaNAt-anya-gatasya ca-anupayogAt-kim liFga-grahaNa-sahakAri syAt-iti
   etena śabdādipratyakṣaṃ vyākhyātamiti /	etena Sabda-Adi-pratyakzam vyAKyAtam-iti /
   [ku.4.525] syādetat- (6) viṣayanirūpyaṃ hi jñānamiṣyate /	[ku.4.525] syAt-etat (6) vizaya-nirUpyam hi jQAnam-izyate /
   na cātīndriyasya paramāṇvādermanasā vedanamasti /	na ca-atIndriyasya paramANu-AdeH-manasA vedanam-asti /
   na cāgṛhītasya viśeṣaṇatvam /	na ca-agRhItasya viSezaNa-tvam /
   na ca nityaparokṣasyāparokṣaviśiṣṭabuddhiviṣayatvam, vyāghātāditi- na,	na ca nitya-parokzasya-aparokza-viSizwa-budDi-vizaya-tvam, vyAGAtAt-iti na,
   bāhyendriyagrāhyasyāgrāhyasya vā pūrvajñānopanītasyaiva manasā vedanāt /	bAhya-indriya-grAhyasya-agrAhyasya vA pUrva-jQAna-upanItasya-eva manasA vedanAt /
   anyathātīndriyasmaraṇasyāpyanutpattiprasaṅgāt /	anyaTA-atIndriya-smaraNasya-api-anutpatti-prasaFgAt /
   iyāṃstu viśeṣaḥ- tasmin sati tadbalādeva; asati tu tajjanitavāsanābalāt /	iyAn=-tu viSezaH tasmin sati tad-balAt-eva; asati tu tad-janita-vAsanA-balAt /
   na caivaṃ sati smaraṇametat; agṛhītajñānagocaratvāt /	na ca-evam sati smaraNam-etat; agRhIta-jQAna-gocara-tvAt /
   na ca viṣayāṃśe tattathā syāditi yuktam- avacchedakatayā	na ca vizaya-aMSe tat-taTA syAt-iti yuktam avacCedaka-tayA
   prāgavasthāvadavabhāsanāt /	prAc-avasTAvat-avaBAsanAt /
   na ca pratyabhijñānamapi grahaṇasmaraṇākāram; virodhāt /	na ca pratyaBijQAnam-api grahaNa-smaraNa-AkAram; viroDAt /
   atha grahaṇasmaraṇayoḥ kiyatī sāmagrī? adhikor'thasannikarṣo grahaṇasya,	aTa grahaNa-smaraNayoH kiyatI sAmagrI? aDikor-aTa-sannikarzaH grahaNasya,
   saṃskāramātraṃ sannikarṣaḥ smaraṇasya /	saMskAra-mAtram sannikarzaH smaraNasya /
   atha grahaṇatve 'pi kuta etadaparokṣākāram? kāraṇāntaranirapekṣeṇa	aTa grahaNa-tve api kutas etat-aparokza-AkAram? kAraNa-antara-nirapekzeNa
   saṃskārādhika(225)sannikarṣavatendriyeṇa janitatvāt /	saMskAra-aDika-(225)sannikarzavata-indriyeNa janita-tvAt /
   atha kaḥsannikarṣaḥ? jñānena saṃyuktasamavāyaḥ, tadarthena	aTa kaHsannikarzaH? jQAnena saMyukta-samavAyaH, tad-arTena
   saṃyuktasamavetaviśeṣaṇatvamiti /	saMyukta-samaveta-viSezaNa-tvam-iti /
   manaso nirapekṣasya bahirvyāpāre 'ndhabadhirādyabhāvaprasaṅga iti cet-	manasaH nirapekzasya bahis-vyApAre anDa-baDira-Adi-aBAva-prasaFgaH iti ced--
   jñānāvacchedakaṃ prati nāyaṃ doṣaḥ /	jQAna-avacCedakam prati na-ayam dozaH /
   na ca jñānāpekṣayā bahirityasti /	na ca jQAna-apekzayA bahis-iti-asti /
   nāpi tadviṣayāpekṣayā nirapekṣatvam, tasyaiva jñānasyāpekṣaṇāt /	na-api tad-vizaya-apekzayA nirapekza-tvam, tasya-eva jQAnasya-apekzaNAt /
   [ku.4.526] athāpi jñānaṃ pratyakṣamityatra kiṃ pramāṇam? pratyakṣameva /	[ku.4.526] aTa-api jQAnam pratyakzam-iti-atra kim pramANam? pratyakzam-eva /
   yadasūtrayat- "jñānavikalpānāṃ bhāvābhāvasaṃvedanādadhyātmam"	yat-asUtrayat "jQAna-vikalpAnAm BAva-aBAva-saMvedanAt-aDyAtmam"
   (nyāya.5-1-31) iti /	(nyAya-.5-1-31) iti /
   [ku.4.527] nanu neśvarajñānaṃ pramā, nityatvenāphalatvāt /	[ku.4.527] nanu na-ISvara-jQAnam pramA, nitya-tvena-aPala-tvAt /
   nāpi pramāṇam, akārakatvāt /	na-api pramANam, akAraka-tvAt /
   ata eva ca na tadaśrayaḥ pramāteti- ucyate- mitiḥ samyak	atas eva ca na tad-aSrayaH pramAtA-iti ucyate mitiH samyak-
   paricchittistadvattā ca pramātṛtā /	paricCittiH-tadvat-tA ca pramAtR-tA /
   tadayogavyavacchedaḥ pramāṇyaṃ gautame mate //5 //	tad-ayoga-vyavacCedaH pramANyam gOtame mate //5 //
   samīcīn.o hyanubhavaḥ prameti vyavastathitam /	samIcIn.aH hi-anuBavaH pramA-iti vyavastaTitam /
   tathāca anityatvena viśeṣaṇamanarthakam, nityānubhavasiddhau	taTA-ca anitya-tvena viSezaNam-anarTakam, nitya-anuBava-sidDO
   tadvyavacchedabhyāniṣṭatvāt; asiddhau ca vyavacchedyābhāvāt /	tad-vyavacCedaByA-anizwa-tva-at; asidDO ca vyavacCedya-aBAvAt /
   na cedamanumānam, āśrayāsiddhibādhayoranyatarākrāntatvāt /	na ca-idam-anumAnam, ASraya-asidDi-bADayoH-anyatara-AkrAnta-tvAt /
   na tat pramākaraṇamiti tviṣyata eva,pramayā sambandhābhāvāt /	na tat pramAkaraNam-iti tvizyate eva,-pramayA sambanDa-aBAvAt /
   tadāśrayasya tu pramātṛtvametadeva yat tatsamavāyaḥ /	tad-ASrayasya tu pramAtR-tvam-etat-eva yat tad-samavAyaH /
   kārakatve satīti tu viśeṣaṇaṃ pūrvavannirarthakamanusandheyam /	kAraka-tve sati-iti tu viSezaNam pUrvavat-nirarTakam-anusanDeyam /
   yadyevam, "āptaprāmāṇyād" (nyāya.2-2-37) iti sūtravirodhaḥ /	yadi-evam, "Apta-prAmANyAd" (nyAya.2-2-37) iti sUtra-viroDaH /
   tena hīśvarasya prāmāṇyaṃ pratipādyate, na tu pramātṛtvamiti cet- na-	tena hi-ISvarasya prAmANyam pratipAdyate, na tu pramAtR-tvam-iti cet na-
   nimittasamāveśena vyavahārasamāveśāvirodhāt /	nimitta-samAveSena vyavahAra-samAveSa-aviroDAt /
   pramāsamavāyo hi pramātṛvyavahāranimittam; pramayā tvayāyogavyavacchedena	pramAsam-avAyaH hi pramAtR-vyavahAra-nimittam; pramayA tvayA-ayoga-vyavacCedena
   sambandhaḥ pramāṇavyavahāranimittam /	sambanDaH pramANa-vyavahAra-nimittam /
   tadubhayañceśvare /	tat-uBayaQceSvare /
   atrāpi kāryayeti viśeṣaṇaṃ pūrvavadanarthakamūhanīyam /	atra-api kAryayA-iti viSezaNam pUrvavat-anarTakam-UhanIyam /
   [ku.4.528] syādetat- pramīyate 'neneti pramāṇam, pramiṇotīti pramātā iti	[ku.4.528] syAt-etat pramIyate anena-iti pramANam, pramiNoti-iti pramAtAH iti
   kārakaśabdatvamanayoḥ /	kAraka-Sabda-tvam-anayoH /
   tathāca kathamakārakamartha iti cet- na- etasya vyutpattimātranimittatvāt	taTA-ca kaTam-akArakam-arTaH iti cet na etasya vyutpatti-mAtra-nimitta-tvAt
   pravṛttinimittaṃ tu yathopadarśitameva; vyavasthāpanāt /	pravRtti-nimittam tu yaTA-upadarSitam-eva; vyavasTApanAt /
   anyathā asmadādiṣu na pramātṛvyavahāraḥ syāt; sarvatra svātantryābhāvāt /	anyaTA asmad-Adizu na pramAtR-vyavahAraH syAt; sarvatra svAtantrya-aBAvAt /
   karaṇavyavahārastvanyatra yadyapyanyanimittako 'pi,	karaNa-vyavahAraH-tu-anyatra yadi-api-anya-nimittakaH api,
   tathāpīhoktanimittavivakṣayaiveti /	taTA-api-iha-ukta-nimitta-vivakzayA-eva-iti /
   evantarhi pañcamapramāṇābhyupagame 'pasiddhāntaḥ /	evantarhi paQcama-pramANa-aByupagame apasidDAntaH /
   na hi tat pratyakṣamanumānamāgamo vā, anindriyaliṅgaśabdakaraṇatvāt- na-	na hi tat pratyakzam-anumAnam-AgamaH vA, anindriya-liFga-Sabda-karaNa-tvAt na-
   sākṣātkāripramāvattayā pratyakṣāntarbhāvāt;	sAkzAtkAri-pramAvat-tayA pratyakza-antar-BAvAt;
   indriyārthasannikarṣotpannatvasya ca laukikamātraviṣayatvāt /	indriya-arTa-sannikarza-utpanna-tvasya ca lOkika-mAtra-vizaya-tvAt /
   [ku.4.529] syādetat- tathāpīśvarajñānaṃ na pramā, viparyayatvāt /	[ku.4.529] syAt-etat taTA-api-ISvara-jQAnam na pramA, viparyaya-tvAt /
   yadā khalvetadasmadādivibhramānālambate, tadaitasya viṣayamaspṛśato na	yadA Kalu-etat-asmad-Adi-viBramAnAlambate, tadA-etasya vizayam-aspRSataH na
   jñānāvagāhanasambhava iti tadartho 'pyālambanamabhyupeyam /	jQAna-avagAhana-samBavaH iti tad-arTaH api-Alambanam-aByupeyam /
   tathāca tadapi viparyayaḥ, viparītārthālambanatvāt /	taTA-ca tat-api viparyayaH, viparIta-arTa-Alambana-tvAt /
   tadanavagāhane vā asmadādervibhramān	tad-anavagAhane vA asmad-AdeH-viBramAn
   aviduṣastadupaśamāyopadeśānāmasarvajñapūrvakatvamiti na-	aviduzaH-tad-upaSamAya-upadeSAnAm-asarvajQa-pUrvakatvam-iti na-
   vibhramasyāprāmāṇye 'pi tadviṣayasya tattvamullikhato 'bhrāntatvāt /	viBramasya-aprAmANye api tad-vizayasya tattvam-ulliKataH aBra-anta-tvAt /
   anyathā bhrāntisamucchedaprasaṅgaḥ; pramāṇābhāvāt /	anyaTA BrAnti-samucCeda-prasaFgaH; pramANa-aBAvAt /
   tathāpyāropitārthavacchinnajñānālambanatvena kathaṃ na bhrāntatvamiti cet-	taTA-api-Aropita-arTa-vacCinna-jQAna-Alambana-tvena kaTam na BrAnta-tvam-iti ced--
   na- yad yatra nāsti tatra tasyāvagatiriti bhrāntyarthatvāt /	na yat yatra na-asti tatra tasya-avagatiH-iti BrAnti-arTa-tvAt /
   etadālambanasta caivamullakhataḥ sarvatra yathārthatvāt /	etad-AlambanaH-ta ca-evam-ullaKataH sarvatra yaTArTa-tvAt /
   nahi na tadrajatam, nāpi tatrāsat, nāpi tannāvagatamiti /	na-hi na tat-rajatam, na-api tatra-asat, na-api tat-na-avagatam-iti /
   [ku.4.530] sākṣāt(226)kāriṇi nityayogini paradvārānapekṣasthitau /	[ku.4.530] sAkzAt(226)kAriNi nitya-yogini para-dvAra-anapekza-sTitO /
   bhūtārthānubhave niviṣṭanikhilaprastā(227)rivastukramaḥ //	BUta-arTa-anuBave nivizwa-niKila-prastA(227)ri-vastukramaH //
   leśādṛṣṭinimitta(228)duṣṭivigamaprabhraṣṭaśaṅkātuṣaḥ /	leSa-adRzwi-nimitta-(228)duzwi-vigama-praBrazwa-SaFkA-tuzaH /
   śaṅkonmeṣakalaṅkibhiḥ kimaparaistanme pramāṇaṃ śivaḥ //6//	SaFkA-unmeza-kalaFkiBiH kim-aparEH-tat-me pramANam SivaH //6//
   iti nyāyakusumāñjalau caturthastabakaḥ //4 //	iti nyAya-kusuma-aQjalO caturTa-stabakaH //4 //
