   REFERENCE SYSTEM:	RA eFA eRENCE SYSTEM:
   meghābhāvācca vṛṣṭyabhāvānumānamityādi darśayitavyam /	meGa aBAvAt ca vRzwyaBAva anumAnam ityAdi darSayitavyam /
   ato na tāvat pratyakṣā vyāpti' /	atas na tAvat pratyakzAH vyApti a /
   na cānumānikī /	na ca anumAnikI /
   pramāṇābhāvādeva tadadhīnātmalābhasya tasyānupapatte' /	pramANa aBAvAt eva tad aDIna Atma lABasya tasya anupapatte a /
   śabdastvanāgatotpādyabhāvaviṣayo na siddhavyāptikḷptaye prabhavati /	SabdaH tu anAgata utpAdya BAva vizayaH na sidDa vyApti k?ptaye praBavati /
   upamānamapi pramāṇāntaraprasiddhavastusādṛśyamātraviṣayaṃ na vastuna'	upamAnam api pramANa antara prasidDa vastu sAdRSya mAtra vizayam na vastuna a
   satāṃ pramiṇoti /	satAm pramiNoti /
   arthāpattirapyanyathānupapadyamānārthaviṣayā darśanaprabhavā /	arTApattiH api anyaTA anupapadyamAna arTa vizayA darSana praBavAH /
   na ca sahitāvadhāritayorasatyāṃ vyāptau kiñcidanupapannaṃ nāma||	na ca sahita avaDAritayoH asatyAm vyAptO kiQcid anupapannam nAma||
   nanu kāryatā nopapadyate /	nanu kArya tA na upapadyate /
   kathaṃ hi kāryamasati kāraṇe bhavati /	kaTam hi kAryam asati kAraNe Bavati /
   bhūyodarśanasamadhigamyaṃ ca kāryatvamiti	BUyas darSana samaDigamyam ca kAryatvam iti
   bhūyodarśanaprasūtakāryatvāvagamānyathānupapattipramāṇikā	BUyas darSana prasUta kAryatva avagamAni aTa anupapatti pramANikA
   kāraṇavyāptisiddhi' /	kAraNa vyApti sidDi a /
   kathamidānīmakāryakāraṇabhūteṣu vyāpti' setsyati /	kaTam idAnIm akArya kAraNa BUtezu vyApti a setsyati /
   bhūyāṃsi darśanānyevāsatyāṃ vyāptau nopapadyanta iti cet, kiṃ hi teṣāṃ	BUyAMsi darSanAni eva asatyAm vyAptO na upapadyante iti cet, kim hi tezAm
   vyāptimantareṇa na sambhavati svarūpaṃ, tāvacca kāraṇasāmagrīkaṃ hi va'	vyAptim antareNa na samBavati svarUpaM, tAvat ca kAraNa sAmagrIkam hi va a
   siddham /	sidDam /
   svagocaraprakāśanamapi svata eva viṣasyāpi svapramāṇaparicchannasya na	sva gocara prakASanam api svatas eva vizasya api sva pramANa paricCannasya na
   kiñcidanapapannaṃ paśyāma' /	kiQcid anapapannam paSyAma a /
   na cāsau pramāṇāntareṇa pratihanyate /	na ca asO pramANa antareNa pratihanyate /
   yannopapadyeta /	yat na upapadyeta /
   na ca bhāvasvarūpā vyāptirabhāvena pramīyata iti sāmpratam /	na ca BAva svarUpAH vyAptiH aBAvena pramIyate iti sAmpratam /
   tatrāsāvabhāvapramāṇikā na syādeva||	tatra asA= aBAva pramANikAH na syAt eva||
   syānmatam keyamanyā dhūmasyāgninā vyāptiranagninivṛtte' /	syAt matam kA iyam anyA DUmasya agninA vyAptiH anagni nivRtte a /
   sā cābhāvarūpatvādabhāvena pramīyata iti yuktameva /	sA ca aBAva rUpa tvAt aBAvena pramIyate iti yuktam eva /
   tanna /	tat na /
   vasturūpatvāt /	vastu rUpa tvAt /
   vasturūpo hi svabhāvo dhūmāde' kenacinniyata' /	vastu rUpaH hi svaBAvaH DUmAde a kenacid niyata a /
   itarayā vyāvartate khalvayaṃ śaśaviṣāṇābhāvādapīti śaśaviṣāṇenāpi	itarayA vyAvartate Kalu ayam SaSa vizANa aBAvAt api iti SaSa vizANena api
   niyamyeta /	niyamyeta /
   kathamasatā niyamyata iti cet /	kaTam asatA niyamyate iti ced /
   ko doṣa' /	kaH doza a /
   vyāvṛttirhi niyama', sācāstīti kiṃ śaśaviṣāṣasya sattvāsattvābhyām /	vyAvRttiH hi niyama a, sAca asti iti kim SaSa vizAzasya sattva asattvAByAm /
   yadi mataṃ vipakṣavyāvṛtatparipanthī vipakṣa' /	yadi matam vipakza vyAvRtat paripanTI vipakza a /
   vyāpyate ca śaśaviṣāṇena tadabhāvānnivṛtto dhūmaityanagniriva tadabhāvo	vyApyate ca SaSa vizANena tad aBAvAt nivRttaH DUma eti anagniH iva tad aBAvaH 
   'pi vipakṣa eva /	api vipakzaH eva /
   api cāśeṣavipakṣāṇāmupalabdhyayogyatvānna tebhyo nivṛttirabhāvena śakyate	api ca aSeza vipakzANAm upalabDi ayogya tvAt na teByaH nivRttiH aBAvena Sakyate
   'vagantum /	avagantum /
   yogyapramāṇābhāvo hyabhāve pramāṇamiti vakṣyate /	yogya pramANa aBAvaH hi aBAve pramANam iti vakzyate /
   ato na kiñcid vyāptau pramāṇam /	atas na kiQcid vyAptO pramANam /
   mānasamiti cet /	mAnasam iti ced /
   na /	na /
   bahirasvātantryāt /	bahis asvAtantryAt /
   tatraitat syād yadyapi bahirindriyāṇyatītānāgatādibhirbhāvabhedairvyāptiṃ	tatra etat syAt  yadi api bahis indriyANi atIta anAgata AdiBiH BAva BedEH vyAptim
   grahītumasamarthāni, manastu sakalātītādiviṣayaparicchedasādhāraṇaṃ	grahItum asamarTAni, manaH tu sakala atIta Adi vizaya paricCeda sADAraNam
   pratibaddhasāmarthyaṃ kvaciditi tadabalabhāvinā pratyakṣeṇa	pratibadDa sAmarTyam kvacid iti tad abala BAvinA pratyakzeNa
   vyāptirgrahīṣyata iti /	vyAptiH grahIzyate iti /
   tañca naivaṃ, bahirasvātantryānmanasa' /	taQca na evaM, bahis asvAtantryAt manasa a /
   no khalvapi bahirviṣayabodhe mana' svatantramiti varṇitam /	no Kalu api bahis vizaya boDe mana a svatantram iti varNitam /
   tathāhi manasa' sārthamityatra /	taTA hi manasa a sArTam iti atra /
   svatantre hi bahiriṣyamāṇe manasi sarva' sarvadarśī syāt /	svatantre hi bahis izyamANe manasi sarva a sarva darSI syAt /
   saṃskārato vyavastheti cet /	saMskArataH vyavasTA iti ced /
   na /	na /
   smṛtihetutvāt /	smRti hetu tvAt /
   tatraitat syāt yadyapi kavalamasvatantraṃ mano	tatra etat syAt  yadi api kavalam asvatantram manaH 
   bahirviṣayāvadhāraṇe,tathāpi pūrvapūrvāṃnubhavajanitasaṃskārasanāthaṃ	bahis vizaya avaDAraNe, taTA api pUrva pUrva aMnuBava janita saMskAra sanATam
   bahirapi vartiṣyate cakṣurādyanugṛhītamiva rūpādau /	bahis api vartizyate cakzuH Adi anugRhItam iva rUpa AdO /
   ato nāvyavasthā /	atas na avyavasTA /
   tañca naivam /	taQca na evam /
   smṛtihetutvāt /	smRti hetu tvAt /
   smṛtimātrahetavo hi pūrvānubhavaprabhāvitā' saṃskārānatsahante manaso	smRti mAtra hetavaH hi pUrva anuBava praBAvitA a saMskArAnat sahante manasaH 
   bahiravagrahe 'nugrahamādhātum /	bahis avagrahe anugraham ADAtum /
   smṛtiviṣayāntarāṇāmapi grahaṇaprasaṅgāt /	smRti vizaya antarANAm api grahaNa prasaFgAt /
   asti hi tatrāpi smṛtihetu' saṃskāra' /	asti hi tatra api smRti hetu a saMskAra a /
   sa ced grahaṇe kvacinmanasa' sahāyī bhavatīti kiṃ na smṛtiviṣayāntarāṇyapi	sa ced grahaNe kvacid manasa a sahAyI Bavati iti kim na smRti vizaya antarANi api
   grāhyatīti yat kiñcidetat /	grAhyati iti yat kiQcid etat /
   yastu vadati  sāhityamagnidhūmayo' sambandha' /	yaH tu vadati sAhityam agni DUmayaH a sambanDa a /
   sa ca prathamasamadhigamasamaya eva saṃvidita' /	sa ca praTama samaDigama samayaH eva saMvidita a /
   anavacchinnadeśakālaścāgnidhūmayo' sambandho bhāsate /	anavacCinna deSa kAlaH ca agni DUmayaH a sambanDaH BAsate /
   na hīdānīmatra vā tayo' sambandha iti bhavati mati' /	na hi idAnIm atra vA tayaH a sambanDaH iti Bavati mati a /
   api tarhi sannihitavartamānayorevedantayā pratibhāsamānayordeśakālau	api tarhi sannihita vartamAnayoH eva IdantayA pratiBAsamAnayoH deSa kAlO
   sambandhaśca tayorviśeṣaṇamimau sambaddhāviti /	sambanDaH ca tayoH viSezaNam imO sambadDO= iti /
   nedānīmatra vā sambandha	na idAnIm atra vA sambanDa
   iti /	iti /
   tadevamanavacchinnarūpa' svābhāvika eva saṃbandha' siddho bhavati /	tat evam anavacCinna rUpa a svABAvikaH eva saMbanDa a sidDaH Bavati /
   svābhāvikatve ca na vyabhicārāśaṅkopapattimatī /	svABAvika tve ca na vyaBicAra ASaFka upapattimatI /
   kimidānimanaṅgabhūtameva bhūyodarśanam /	kim idA nimanaFga BUtam eva BUyas darSanam /
   nānaṅgam /	na anaFgam /
   aṅgaṃ tvaupādhikāśaṅkānirākaraṇena /	aFgam tu OpADika ASaFkA nirAkaraNena /
   vahnirhi dhūmena saṃyukta' saṃvedito 'pi kadācidvidhūmo dṛśyate /	vahniH hi DUmena saMyukta a saMveditaH api kadAcid viDUmaH dRSyate /
   tatrārdrendhanādirūpādhiranupraviśati /	tatra Ardra inDana Adi rUpa ADiH anupraviSati /
   na tu svābhāviko 'gnerdhūmena saṃbandha iti niścīyate /	na tu svABAvikaH agneH DUmena saMbanDaH iti niScIyate /
   taddarśanācca dhūme 'pi	tad darSanAt ca DUme api
   bhavati śaṅkā /	Bavati SaFkA /
   kadācidaupādhika' pāvakenāsyāpi saṃbandha iti /	kadAcid OpADika a pAvakena asya api saMbanDaH iti /
   sā bhūyodarśanena nivartyate /	sA BUyas darSanena nivartyate /
   bahuśo 'pi dṛśyamānasya dhūmasya nāgnisaṃbandhe kaścidupādhirūpalabhyate /	bahuSas api dRSyamAnasya DUmasya na agni saMbanDe kaScid upADirUpalaByate /
   prayatnenāpi cānviṣṭo na dṛṣṭa upādhirnāstīti niścīyate /	prayatnena api ca anvizwaH na dRzwaH upADiH na asti iti niScIyate /
   tadevaṃ dhūmamātrānubandhagniriti siddhaṃ bhavati /	tat evam DUma mAtra anubanDagniH iti sidDam Bavati /
   tataścānaupādhikasya na vyabhicārāśaṅketi /	tatas ca anOpADikasya na vyaBicAra ASaFkA iti /
   sa vaktavya' kimidānīṃ sāhityamātramanumānāṅgaṃ tanniyamo vā /	sa vaktavya a kim idAnIm sAhitya mAtram anumAna aFgam tat niyamaH vA /
   yadi sāhityamātraṃ tattarhi prathamadarśana eva samadhigatamiti	yadi sAhitya mAtram tat tarhi praTama darSanaH eva samaDigatam iti
   punardhūmadarśino 'viditavyāpterapyanumānaṃ syāt /	punar DUma darSinaH avidita vyApteH api anumAnam syAt /
   atha tanniyama' tasyaivedaṃ pramāṇamanusriyate kuta' sidhyatīti /	aTa tat niyamaH a tasya eva idam pramANam anusriyate kuta a siDyati iti /
   na hi prathamadarśino 'yamanena niyata iti matirāvirbhavantī dṛśyate /	na hi praTama darSinaH ayam anena niyataH iti matiH AvirBavantI dRSyate /
   anavacchinnadeśakālatayāvagata' saṃbandha' svābhāviko bhavati, tato niyama	anavacCinna deSa kAla tayA avagata a saMbanDa a svABAvikaH Bavati, tatas niyama
   iti cet /	iti ced /
   sa tarhi tathāvidha' prathamamevāvagata iti bhūyodarśanaṃ nāpekṣeta /	sa tarhi taTAviDa a praTamam eva avagataH iti BUyas darSanam na apekzeta /
   tathā dṛṣṭasyāpyagnerdhūmasaṃbandho vyabhicarati /	taTA dRzwasya api agneH DUma saMbanDaH vyaBicarati /
   taddarśanāñca dhūme 'pi vyabhicārāśaṅkā jāyate /	tad darSanAQca DUme api vyaBicAra ASaFkA jAyate /
   tannirākaraṇāyāsakṛddarśanāpekṣeti cet, yadyanavacchinnasyāpi deśata'	tad nirAkaraNAya asakRt darSana apekzA iti cet, yadi anavacCinnasya api deSata a
   kālato vā kadācit kasyacit kasyacid viyogo dṛśyate /	kAlataH vA kadAcid kasyacid kasyacid viyogaH dRSyate /
   kastarhi itaratrāpi samāśvāsa' /	kaH tarhi itaratra api samASvAsa a /
   nanviyamāśaṅkā bhūyodarśanena nirākriyata ityuktam /	nanu iyam ASaFkA BUyas darSanena nirAkriyate iti uktam /
   kathaṃ nirākriyate /	kaTam nirAkriyate /
   yadā śataśo 'pi dhūmavānagriravagato vidhūmo dṛśyate /	yadA SataSas api DUmavAn agriH avagataH viDUmaH dRSyate /
   na cātra pratiniyama' iyadabhirdarśanairavyabhicāra' sidhyati iti /	na ca atra pratiniyama a iyadaBiH darSanEH avyaBicAra a siDyati iti /
   nanu dhūmasyāpyagnisabandhe na kaścidupādhirupalabhyate agneriva	nanu DUmasya api agni sabanDe na kaScid upADiH upalaByate agneH iva
   dhūmasaṃbandhe /	DUma saMbanDe /
   ata' kathamasau satyapi dhūme na bhaviṣyati /	ata a kaTam asO sati api DUme na Bavizyati /
   na /	na /
   deśāderevopādhitvena śaṅkyamānatvāt /	deSa AdeH eva upADi tvena SaFkyamAna tvAt /
   agnau dhūmasaṃbandhavyabhicāramupalabhyāśaṅkate  kadācid	agnO DUma saMbanDa vyaBicAram upalaBya ASaFkate kadAcid 
   dhūmasyāpyagnisambandhe deśakālādyupādhi' syāditi /	DUmasya api agni sambanDe deSa kAla Adi upADi a syAt iti /
   dṛṣṭaṃ hi kvacid deśe kharjūrāṇāṃ piṇḍakharjūraphalatvam /	dRzwam hi kvacid deSe KarjUrANAm piNxa KarjUra Pala tvam /
   vṛścakadaṃśanasya ca maraṇakāraṇatvam /	vRScaka daMSanasya ca maraNa kAraNa tvam /
   taddeśāntare na bhavati /	tad deSa antare na Bavati /
   tadvat dhūmo 'pi jātu jāyetāntareṇāpi hutāśanaṃ kvaciditi śaṅkamānā na	tadvat DUmaH api jAtu jAyeta antareNa api hutASanam kvacid iti SaFkamAnAH na
   tasya niyamamagninādhyavasyanti śatāṃśenāpi /	tasya niyamam agninA aDyavasyanti Sata aMSena api /
   vipakṣād vyāvṛtti'śaṅkamānā anumānodayaṃ pratibandhātīti katarañcedaṃ	vipakzAt vyAvRtti aSaFkamAnA anumAna udayam pratibanDAti iti kataraQca idam
   pramāṇam, anaupādhiko 'gnirdhūmamātrānubandhīti /	pramANam, anOpADikaH agniH DUma mAtrA anubanDI iti /
   na tāvat pratyakṣam /	na tAvat pratyakzam /
   sāhityamātropakṣīṇatvāt /	sAhitya mAtra upakzINa tvAt /
   nānumānam /	na anumAnam /
   tasyāsatyāṃ vyāptāvasambhavāt /	tasya asatyAm vyAptO= asamBavAt /
   vyāptisiddhyartaṃ cāparāparānumānakalpanāyāmanavasthāpātāt /	vyApti sidDi artam ca apara apara anumAna kalpanAyAm anavasTApAtAt /
   pramāṇāntarāṇi nirākṛtapūrvāṇyeva /	pramANa antarANi nirAkRta pUrvANi eva /
   ato vyākhyeyamunumānāṅgasambandhāvadhāraṇe pramāṇam, tad vyākhyāyate /	atas vyAKyeya munu mAnAFga sambanDa avaDAraNe pramANam, tat vyAKyAyate /
   idaṃ tāvat pramāṇābhāvavādī vaktavya' /	idam tAvat pramANa aBAva vAdI vaktavya a /
   kiṃ khalu vyāptigocaraṃ jñānaṃ na jāyata eva, sandigdhaṃ vā jāyate,	kim Kalu vyApti gocaram jQAnam na jAyate eva, sandigDam vA jAyate,
   viparyeti vā /	viparyeti vA /
   tredhā hi parīkṣakairaprāmāṇyaṃ vibhaktam /	treDA hi parIkzakEH aprAmANyam viBaktam /
   prakārāntarāsambhavāt /	prakAra antara asamBavAt /
   na tāvadādya' pakṣa' /	na tAvat Adya a pakza a /
   saṃvidavyavahāravirodhāt /	saMvid avyavahAra viroDAt /
   dṛśyate hi bahulaṃ dhūmamagnāvupalamāno 'yamanena niyata	dRSyate hi bahulam DUmam agnO= upalamAnaH ayam anena niyata
   ityavadhāraṇapura' saraṃ tato 'gnimanumāya tadanurūpaṃ vyavaharamāṇa' /	iti avaDAraNa pura a saram tatas agnim anumAya tad anurUpam vyavaharamANa a /
   tannāsatyāṃ vyāptisaṃvittāvupapadyeta /	tad nAsatyAm vyApti saMvittO= upapadyeta /
   vyavahāradarśanādeva saṃśayaviparyayau nirākāryau /	vyavahAra darSanAt eva saMSaya viparyayO nirAkAryO /
   tābhyāmevaṃvidhavyavahārāsambhavāt /	tAByAm evaMviDa vyavahAra asamBavAt /
   ato na tāvadaprāmāṇyam /	atas na tAvat aprAmANyam /
   prāmāṇyaṃ tu ṣoḍhā vibhajyate /	prAmANyam tu zoXA viBajyate /
   tad yathāyogyaṃ kasyacit kasyāñcit vyāptasaṃvittau vyavasthāpayāma' /	tat yaTAyogyam kasyacid kasyAQcid vyApta saMvittO vyavasTApayAma a /
   yathaiva tāvad dhūmasyāgninā vyāptau pratyakṣasya /	yaTA eva tAvat DUmasya agninA vyAptO pratyakzasya /
   na hīha pramāṇāntarāṇi sambhavantīti varṇitameva /	na hi iha pramANa antarANi samBavanti iti varNitam eva /
   nanu prathamadarśane 'navagamātpratyakṣāsambhavo 'pyukta eva /	nanu praTama darSane anavagamAt pratyakzA samBavaH api uktaH eva /
   ata eva bhūyodarśanāvagamyatvam /	atas eva BUyas darSanO= agamya tvam /
   nanu tānyapi vikalpya dūṣitāni pratyekasāhityayorasambhavāt /	nanu tAni api vikalpya dUzitAni pratyeka sAhityayoH asamBavAt /
   satyam /	satyam /
   na pratyekaṃ vyāptiravagamyate /	na pratyekam vyAptiH avagamyate /
   na ca darśanāni saṃhanyante /	na ca darSanAni saMhanyante /
   prācīnānekadarśanajanitasaṃskārasahāye carame darśane cetasi cakāsti	prAcIna aneka darSana janita saMskAra sahAye carame darSane cetasi cakAsti
   dhūmasya vahniniyatasvabhāvatvaṃ, ratnavattvamiva parīkṣamāṇasya,	DUmasya vahni niyata svaBAva tvaM, ratnavat tvam iva parIkzamANasya,
   śabdatattvamiva vyākaraṇasmṛtisaṃskṛtasya, brāhmaṇatvamiva	Sabda tattvam iva vyAkaraNa smRti saMskRtasya, brAhmaNa tvam iva
   mātāpitṛsambandhasmaraṇasahakṛtasya, tailād viviktamiva vilīnājyaṃ	mAtA pitR sambanDa smaraNa sahakRtasya, tElAt viviktam iva vilIna Ajyam
   rasagandhasahakṛtendriyasya /	rasa ganDa saha kRta indriyasya /
   na hyetat sarvamāpātānna pratibhātamiti parastādapi bhāsamānamanyathā	na hi etat sarvam ApAtAt na pratiBAtam iti parastAt api BAsamAnam anyaTA
   bhavati /	Bavati /
   na ca pramāṇāntaratvamāpādayati /	na ca pramANa antara tvam ApAdayati /
   nanūktaṃ na smṛteranyatra saṃskārā vyāpriyanta iti /	nanu uktam na smRteH anyatra saMskArAH vyApriyante iti /
   kena vā saṃskārāṇāṃ smṛteranyatra vyāpāra upeyate /	kena vA saMskArANAm smRteH anyatra vyApAraH upeyate /
   smārayanta eva tu te pūrvapūrvāvagatamagnisambandhaṃ dhūmasya	smArayantaH eva tu te pUrva pUrva avagatam agni sambanDam DUmasya
   vyāptisaṃvidaṃ janayitumabhipravṛttacasyendriyasya sahāyībhavanti /	vyApti saMvidam janayitum aBipravRtta casya indriyasya sahAyIBavanti /
   āntarālikasmṛtivyavahitamapi cendriyasambandhānusāri pratyakṣamiti	AntarAlika smRti vyavahitam api ca indriya sambanDa anusAri pratyakzam iti
   varṇitam /	varNitam /
   indriyasambandhaphalāparokṣāvabhāsānusārāt /	indriya sambanDa Pala aparokza avaBAsa anusArAt /
   na ca yat sahasā na pratibhāti tatpaścādapi pratibhāsamānaṃ pratyakṣatāṃ	na ca yat sahasA na pratiBAti tad paScAt api pratiBAsamAnam pratyakzatAm
   jahāti /	jahAti /
   yathodāhṛtyeṣveva brāhmaṇam /	yaTA udAhRtyezu eva brAhmaNam /
   nanu na tāvadāpātajaṃ pratyakṣaṃ vyāptau pramāṇamiti bhaṇitam /	nanu na tAvat ApAta jam pratyakzam vyAptO pramANam iti BaNitam /
   tatapūrvakaṃ ca savikalpakamiti kathaṃ tasyāpi prāmāṇyam /	tata pUrvakam ca sa vikalpakam iti kaTam tasya api prAmANyam /
   asti vā brāhmaṇādipratyakṣe nirvikalpakāvasthāyāṃ vṛddhādāviv	asti vA brAhmaNa Adi pratyakze nirvikalpaka avasTAyAm vRdDa AdO= iv
   narāntaraviviktākārapratibhāsa' /	nara antara vivikta AkAra pratiBAsa a /
   yena parastāt savikalpakaṃ	yena parastAt sa vikalpakam
   pravartate /	pravartate /
   yathā tu tatra piṇḍamātradarśina' smṛtayonisambandhasya brāhmaṇo 'yamiti	yaTA tu tatra piNxa mAtra darSina a smRta yoni sambanDasya brAhmaNaH ayam iti
   pratyakṣaṃ jāyate, evamihāpi bahuśo 'gnidhūmadarśino 'ntime darśane	pratyakzam jAyate, evam iha api bahuSas agni DUma darSinaH antime darSane
   nirvikalpavṛttadhūmasvalakṣaṇasyāgninā niyato 'yamiti dhūsvabhāvagocaraṃ	nirvikalpa vRtta DUma sva lakzaNasya agninA niyataH ayam iti DU svaBAva gocaram
   pratyakṣam, etāvadeva svavikalpasya nirvikalpakapūrvatvam,	pratyakzam, etAvat eva sva vikalpasya nirvikalpaka pUrva tvam,
   yattajjanmapūrvikā pravṛtti', saṃjñādismaraṇārthaṃ hi tat	yat tat janma pUrvikA pravRtti a, saMjQA Adi smaraNa arTam hi tat 
   prathamamarthyate /	praTamam arTyate /
   tacceha vyaktidarśana eva pūrvasaṃskārodabodhāt siddhamiti nāvaśyamanayo'	tat ca iha vyakti darSanaH eva pUrva saMskAra uda boDAt sidDam iti na avaSyam anayaH a
   samānaviṣayatā /	samAna vizaya tA /
   ata eva tailaviviktavilīnājyabodhe tailamidamiti viparyasyato	atas eva tEla vivikta vilIna Ajya boDe tElam idam iti viparyasyataH 
   gandhasahakṛtendriyasya (sa)vikalpapratyakṣatvasiddhi' /	ganDa saha kRta indriyasya (sa)vikalpa pratyakza tva sidDi a /
   na hi tatrāsaṅkīrṇā ghṛtākārā saṃvidāsīt /	na hi tatra asaFkIrNA GRta AkArA saMvid AsIt /
   tailamidamiti viparyayāt /	tElam idam iti viparyayAt /
   ata' parastādeva sahakārivaśāt nirvikalpakopadarśitavyaktiviṣayaṃ	ata a parastAt eva sahakAri vaSAt nirvikalpa kopa darSita vyakti vizayam
   ghṛtamidamiti savikalpakaṃ pratyakṣamīvirasti /	GRtam idam iti sa vikalpakam pratyakzam IviH asti /
   evamihāpīti na doṣa' /	evam iha api iti na doza a /
   kiṃ punariha savikalpakena viṣayīkriyate /	kim punar iha sa vikalpakena vizayIkriyate /
   niyato 'yamaneneti niyama' /	niyataH ayam anena iti niyamaH a /
   asya hi bahulaṃ dhūmamagnāvupalabhamānasyānagnau ca vyatirekamante bhavati	asya hi bahulam DUma magnO= upalaBamAnasya anagnO ca vyatirekam ante Bavati
   vimarśa'  api syād vyāpto 'yamaneneti /	vimarSa a api syAt vyAptaH ayam anena iti /
   kathamaparathā jāṅgalādibhedabhinnānekadeśaparityāgena	kaTam aparaTAH jAFgala Adi Beda Binna aneka deSa parityAgena
   sāyamādibhedabhinnānekakālaparihāreṇa ca	sAyama Adi Beda Binna aneka kAla parihAreNa ca
   tṛmadārugomayendhanādisamavadhānaviśeṣaṃ pratyanādṛto	tRmadAru gomaya inDana Adi samavaDAna viSezam pratyanAdRtaH 
   'gnimevānudhāvatyanagnau ca na bhavati /	agnim eva anuDAvati anagnO ca na Bavati /
   tata' paraṃ ca yathāgniradhūmabhāsvaratvādiparityāgenāpi (du?ku)	tataa param ca yaTA agniH aDUma BAsvara tva Adi parityAgena api (du?ku)
   kūlālātādau vartamānoṣṇatvamajahat tanniyato bhavati /	kUla alAta AdO vartamAna uzNa tvam ajahat tat niyataH Bavati /
   evamagninā dhūma ityaparokṣaniścayo jāyate /	evam agninA DUmaH iti aparokza niScayaH jAyate /
   yattu deśāntarādau vyabhicāra iti, tanna tāvad dṛṣṭapūrvaṃ nāpi śrutamiti	yat tu deSa antara AdO vyaBicAraH iti, tat na tAvat dRzwa pUrvam na api Srutam iti
   nāśaṅkāmadhirohati /	na ASaFkAm aDirohati /
   evamapi tu śaṅkamānasya sarvapramāṇeṣvanāśvāsa' kvacid vyabhicāradarśanāt	evam api tu SaFkamAnasya sarva pramANezu anASvAsa a kvacid vyaBicAra darSanAt 
   yattvavadhārito 'pi svabhāvaniyamo deśāntarādāvanyathā bhavati	yat tu avaDAritaH api svaBAva niyamaH deSa antara AdO= anyaTA Bavati
   vṛścikāderiti /	vRScika AdeH iti /
   tanna avāntarajātibhedāt /	tat na avAntara jAti BedAt /
   na hi yad yena niyatamavagatamabādhitaṃ ca tadanyathā bhavati /	na hi yat yena niyatam avagatam abADitam ca tat anyaTA Bavati /
   avāntarajātibhedāttu śaktisadasadbhāvakṛtā kāryavyavastheti na kvacid	avAntara jAti BedAt tu Sakti sadasadBAva kRtA kArya vyavasTA iti na kvacid 
   vyabhicāra' /	vyaBicAra a /
   nanu anumānameva kiṃ neṣyate /	nanu anumAnam eva kim na izyate /
   yadaupādhikaṃ tad vyabhicarati /	yadOpADikam tat vyaBicarati /
   agniriva dhūmam /	agniH iva DUmam /
   na ca tathā dhūmo 'gnimityanaupādhika iti /	na ca taTA DUmaH agnim iti anOpADikaH iti /
   bhavatvevam /	Bavatu evam /
   avyavasthā tūpasthitā /	avyavasTA tu upasTitA /
   arthāpattistarhi bhavatu /	arTApattiH tarhi Bavatu /
   idamev cāgnau darśanamanagnau cādarśanamanupapadyamānamagninā niyamaṃ	idam ev ca agnO darSanam anagnO ca adarSanam anupapadyamAnam agninA niyamam
   pratipādayati /	pratipAdayati /
   kimatra nopapadyate /	kim atra na upapadyate /
   darśanaṃ tāvat tatra bhavatītyetāvataivopapannam, na hi yadekatra bhavati	darSanam tAvat tatra Bavati iti etAvatA eva upapannam, na hi yat ekatra Bavati
   tenānyatra na bhavitavyam /	tena anyatra na Bavitavyam /
   anyatra bhavato 'daraśanamanupapannamiti cet /	anyatra BavataH adaraSanam anupapannam iti ced /
   na /	na /
   viprakṛṣṭānāmanyeṣāmapyasannikarṣādadaraśanopapatte' /	viprakRzwAnAm anyezAm api asannikarzAt adaraSana upapatte a /
   sannihiteṣvanagniṣvadarśanamanupapannamiti ced abhāvādupapatte' /	sannihitezu anagnizu adarSanam anupapannam iti ced aBAvAt upapatte a /
   teṣu hyasau nāstyev, kathamupala(bhyate?bhyeta) /	tezu hi asO na asti ev, kaTam upala(Byate?Byeta) /
   tatra satāpyanyatrāpi na bhavitavyameveti kimatra pramāṇam /	tatra satA api anyatra api na Bavitavyam eva iti kim atra pramANam /
   ato darśanādarśanasahakṛtendriyasyaiva vastusvabhāvāvadhāraṇamaparokṣaṃ	atas darSana adarSana saha kRta indriyasya eva vastu svaBAva avaDAraNam aparokzam
   jāyata ityevaṃ samarthanīyam /	jAyate iti evam samarTanIyam /
   nanvetadeva na vidma' /	nanu etat eva na vidma a /
   kīdṛśo 'sau vastuna' svabhāvo 'vadhāryata iti /	kIdRSaH asO vastuna a svaBAvaH avaDAryate iti /
   uktamasakṛd dhūmo 'gninā niyata iti /	uktam asakRt DUmaH agninA niyataH iti /
   etaduktaṃ bhavati  yadā yatra dhūmastadā tatrāgniriti /	etat uktam Bavati yadA yatra DUmaH tadA tatra agniH iti /
   nanu sannihitavartamānadeśakālamātrasambandho 'stu pratyakṣa' /	nanu sannihita vartamAna deSa kAla mAtra sambanDaH astu pratyakzaH a /
   anāgatādisambandhastu katham, atiprasaṅgo hi tathā (sati) syāt /	anAgata Adi sambanDaH tu kaTam, atiprasaFgaH hi taTA (sati) syAt /
   na /	na /
   sannihitarūpamātropalambhāt /	sannihita rUpa mAtra upalamBAt /
   rūpameva tu tādṛśaṃ dhūmādīnāṃ yadevamunnīyate, sthiramiva rūpaṃ	rUpam eva tu tAdRSam DUma AdInAm yat evam unnIyate, sTiram iva rUpam
   kuḍyādīnām /	kuxya AdInAm /
