   Rmañj, 1	RmaQj, 1
   śṛṅgīṃ markaṭakaṃ mustaṃ kardamaṃ puṣkaraṃ śikhī // Rmañj_4.2 //	SRFgIm markawakam mustam kardamam puzkaram SiKI // RmaQt-_4.2 //
   hāridraṃ haritaṃ cakraṃ viṣaṃ hālāhalāhvayam /	hAridram haritam cakram vizam hAlAhala-Ahvayam /
   <Aussehen der Gifte>	<Au-ssehen deH Gifte>
   ghanaṃ rūkṣaṃ ca kaṭhinaṃ bhinnāñjanasamaprabham // Rmañj_4.3 //	Ganam rUkzam ca kaWinam BinnAQjana-sama-praBam // RmaQt-_4.3 //
   kandākāraṃ samākhyātaṃ kālakūṭaṃ mahāviṣam /	kanda-AkAram samAKyAtam kAlakUwam mahA-vizam /
   mayūrābhaṃ mayūrākhyaṃ binduvad bindukaḥ smṛtaḥ // Rmañj_4.4 //	mayUra-ABam mayUra-AKyam bindu-vat bindukaH smRtaH // RmaQt-_4.4 //
   citram utpalakandābhaṃ śaktukaṃ śaktuvad bhavet /	citram utpala-kanda-ABam Saktukam Saktu-vat Bavet /
   vālukaṃ vālukākāraṃ vatsanābhaṃ tu pāṇḍuram // Rmañj_4.5 //	vAlukam vAlukA-AkAram vatsanABam tu pANxuram // RmaQt-_4.5 //
   śaṃkhanābhaṃ śaṃkhavarṇaṃ śubhravarṇaṃ sumaṅgalam /	SaMKanABam SaMKa-varNam SuBra-varNam su-maFgalam /
   ghanaṃ guruṃ ca niviḍaṃ śṛṅgākāraṃ tu śṛṅgikam // Rmañj_4.6 //	Ganam gurum ca nivixam SRFga-AkAram tu SRFgikam // RmaQt-_4.6 //
   markaṭaṃ kapivarṇābhaṃ mustākāraṃ tu mustakam /	markawam kapi-varNa-ABam musta-AkAram tu mustakam /
   kardamaṃ kardamākāraṃ sitaṃ pītaṃ ca kardamam // Rmañj_4.7 //	kardamam kardama-AkAram sitam pItam ca kardamam // RmaQt-_4.7 //
   puṣkaraṃ puṣkarākāraṃ śikhi śikhiśikhāprabham /	puzkaram puzkara-AkAram SiKi SiKi-SiKA-praBam /
   hāridrakaṃ haridrābhaṃ haritaṃ haritaṃ smṛtam // Rmañj_4.8 //	hAridrakam haridrA-ABam haritam haritam smRtam // RmaQt-_4.8 //
   cakrākāraṃ bhaveccakraṃ nīlavarṇaṃ halāhalam /	cakra-AkAram Bavet-cakram nIla-varNam halAhalam /
   brāhmaṇaḥ pāṇḍurastatra kṣatriyo raktavarṇakaḥ // Rmañj_4.9 //	brAhmaNaH pANxuraH-tatra kzatriyaH rakta-varNakaH // RmaQt-_4.9 //
   vaiśyaḥ pītaprabhaḥ śūdraḥ kṛṣṇābho ninditaḥ smṛtaḥ /	vESyaH pIta-praBaH SUdraH kRzNa-ABaH ninditaH smRtaH /
   brāhmaṇo dīyate roge kṣatriyo viṣabhakṣaṇe /	brAhmaNaH dIyate roge kzatriyaH viza-BakzaNe /
   vaiśyo vyādhiṣu sarveṣu sarpadaṣṭāya śūdrakam // Rmañj_4.10 //	vESyaH vyADizu sarvezu sarpa-dazwAya SUdrakam // RmaQt-_4.10 //
   <viṣamāraṇa>	<viza-mAraNa>
   samaṭaṅkaṇakaṃ piṣṭaṃ tadviṣaṃ mṛtamucyate /	sama-waFkaNakam pizwam tat-vizam mRtam-ucyate /
   yojayet sarvarogeṣu na vikāraṃ karoti hi // Rmañj_4.11 //	yojayet sarva-rogezu na vikAram karoti hi // RmaQt-_4.11 //
   <viṣaśodhana (?)>	<viza-SoDanaH (?)>
   viṣabhāgāṃśca kaṇavat sthūlān kṛtvā tu bhājane /	viza-BAgAn=-ca kaNa-vat sTUlAn kRtvA tu BAjane /
   tataḥ gomūtrakaṃ kṣiptvā pratyahaṃ nityanūtanam // Rmañj_4.12 //	tatas go-mUtrakam kziptvA pratyaham nitya-nUtanam // RmaQt-_4.12 //
   śoṣayet tridinādūrdhvaṃ kṛtvā tīvrātape tataḥ /	Sozayet tri-dinAt-UrDvam kRtvA tIvra-Atape tatas /
   prayogeṣu prayuñjīta bhāgamānena tadviṣam // Rmañj_4.13 //	prayogezu prayuQjIta BAga-mAnena tat-vizam // RmaQt-_4.13 //
   <viṣasevana>	<viza-sevana>
   viṣasya māraṇaṃ proktamatha sevāṃ pravacmyaham // Rmañj_4.14 //	vizasya mAraNam proktam-aTa sevAm pravacmi-aham // RmaQt-_4.14 //
   śaradgrīṣmavasanteṣu varṣāsu ca pradāpayet /	Sarad-grIzma-vasantezu varzAsu ca pradApayet /
   cāturmāsye hared rogān kuṣṭhalūtādikānapi // Rmañj_4.15 //	cAturmAsye haret rogAn kuzWa-lUtA-AdikAn-api // RmaQt-_4.15 //
   prathame sarṣapī mātrā dvitīye sarṣapadvayam /	praTame sarzapI mAtrA dvitIye sarzapa-dvayam /
   tṛtīye ca caturthe ca pañcame divase tathā // Rmañj_4.16 //	tRtIye ca caturTe ca paQcame divase taTA // RmaQt-_4.16 //
   ṣaṣṭhe ca saptame caiva kramavṛddhyā vivardhayet /	zazWe ca saptame ca-eva krama-vRdDyA vivarDayet /
   saptasarṣapamātreṇa prathamaṃ saptakaṃ bhavet // Rmañj_4.17 //	sapta-sarzapa-mAtreNa praTamam saptakam Bavet // RmaQt-_4.17 //
   kramahāniṃ tathā pakṣe dvitīyaṃ saptakaṃ viṣam /	krama-hAnim taTA pakze dvitIyam saptakam vizam /
   yavamātraṃ viṣaṃ deyaṃ tṛtīye saptake kramāt // Rmañj_4.18 //	yava-mAtram vizam deyam tRtIye saptake kramAt // RmaQt-_4.18 //
   vṛddhyāṃ hānyāṃ ca dātavyaṃ caturthasaptake tathā /	vRdDyAm hAnyAm ca dAtavyam caturTa-saptake taTA /
   yavamātraṃ graset svastho guñjāmātraṃ tu kuṣṭhavān // Rmañj_4.19 //	yava-mAtram graset svasTaH guQjA-mAtram tu kuzWavAn // RmaQt-_4.19 //
   aśītiryasya varṣāṇi vasuvarṣāṇi yasya vā /	aSItiH-yasya varzANi vasu-varzANi yasya vA /
   viṣaṃ tasmai na dātavyaṃ dattaṃ ced doṣakārakam // Rmañj_4.20 //	vizam tasmE na dAtavyam dattam ced doza-kArakam // RmaQt-_4.20 //
   dadedvai sarvarogeṣu mṛtāśini hitāśini /	dadet-vE sarva-rogezu mRta-ASini hita-ASini /
   kṣīrāśanaṃ prayoktavyaṃ rasāyanarate nare // Rmañj_4.21 //	kzIra-aSanam prayoktavyam rasAyana-rate nare // RmaQt-_4.21 //
   brahmacaryaṃ pradhānaṃ hi viṣakalpe tadācaret /	brahmacaryam praDAnam hi viza-kalpe tat-Acaret /
   pathye svasthamanā bhūtvātadā siddhirna saṃśayaḥ // Rmañj_4.22 //	paTye svasTa-manAH BUtvA-tadA sidDiH-na saMSayaH // RmaQt-_4.22 //
   mātrādhikaṃ yadā martyaḥ pramādādbhakṣayedviṣam /	mAtrA-aDikam yadA martyaH pramAdAt-Bakzayet-vizam /
   aṣṭau vegāstadā tasya jāyante nātra saṃśayaḥ // Rmañj_4.23 //	azwO vegAH-tadA tasya jAyante na-atra saMSayaH // RmaQt-_4.23 //
   prathame vega udvego dvitīye vepathurbhavet /	praTame vegaH udvegaH dvitIye vepaTuH-Bavet /
   tṛtīye ghoradāhaḥ syāccaturthe patanaṃ bhuvi // Rmañj_4.24 //	tRtIye Gora-dAhaH syAt-caturTe patanam Buvi // RmaQt-_4.24 //
   phenaṃ tu pañcame vege ṣaṣṭhe vikalatā bhavet /	Penam tu paQcame vege zazWe vikala-tA Bavet /
   jaḍatā saptame vege maraṇaṃ cāṣṭame bhavet // Rmañj_4.25 //	jaxa-tA saptame vege maraNam ca-azwame Bavet // RmaQt-_4.25 //
   viṣavegāṃśca vijñāya mantratantrair vināśayet /	viza-vegAn=-ca vijQAya mantra-tantrEH vinASayet /
   sādhakānāṃ hitārthāya sadāśivamukhodgataḥ // Rmañj_4.26 //	sADakAnAm hita-arTAya sadASiva-muKa-udgataH // RmaQt-_4.26 //
   sarvaviṣavināśārthaṃ procyate mantra uttamaḥ // Rmañj_4.27 //	sarva-viza-vinASa-arTam procyate mantraH uttamaH // RmaQt-_4.27 //
   oṃ namo bhagavate ghoṇeyan hara hara dara dara para para tara tara bara	om namaH Bagavate GoNeyan hara hara dara dara para para tara tara bara
   bara vadha vadha vaḥ vaḥ laḥ laḥ raṃ raṃ lāṃ lāṃ lāṃ haralāṃ hara hara	bara vaDa vaDa vaH vaH laH laH ram ram lAm lAm lAm haralAm hara hara
   bhava sara rāṃ rāṃ kṣīṃ kṣīṃ hīṃ hīṃ bhagavati śrīghoṇeyan saṃ saṃ saṃ	Bava sara rAm rAm kzIm kzIm hIm hIm Bagavati SrI-GoNeyan sam sam saM
   vara vara rasaḥ dha vara vara khaṇḍa ca rūpa hrīṃ vara vihaṃgama mānuṣa	vara vara rasaH Da vara vara KaNxa ca rUpa hrIm vara vihaMgama mAnuza
   yogakṣemaṃ vada śeṣāre śeṣāre ṣaṣaḥ svāhā // Rmañj_4.28 //	yogakzemam vada Seza-are Seza-are zazaH svAhA // RmaQt-_4.28 //
   vidyaiṣā smṛtimātreṇa naśyante gutthakādayaḥ /	vidyA-ezA smRti-mAtreNa naSyante gutTaka-AdayaH /
   sapta japtena toyena prokṣayet kālacoditam // Rmañj_4.29 //	sapta japtena toyena prokzayet kAla-coditam // RmaQt-_4.29 //
   uttiṣṭhati savegena śikhābandhena dhārayet /	uttizWati sa-vegena SiKA-banDena DArayet /
   trimantritena śaṃkhena dundubhir vādayed yadi // Rmañj_4.30 //	tri-mantritena SaMKena dunduBiH vAdayet yadi // RmaQt-_4.30 //
   deśāntare śarīre'pi nirviṣaṃ kurute kṣaṇāt /	deSa-antare SarIre-api nirvizam kurute kzaNAt /
   viṣaṃ dṛṣṭvā yadā mantrī mantramāvartayetsakṛt /	vizam dRzwvA yadA mantrI mantram-Avartayet-sakRt /
   dṛṣṭvā nirviṣatāṃ yāti api māraśatāni ca // Rmañj_4.31 //	dRzwvA nirviza-tAm yAti api mAra-SatAni ca // RmaQt-_4.31 //
   goghṛtapānāddharate vividhaṃ garalaṃ ca vandhyakarkoṭī /	go-GRta-pAnAt-harate viviDam garalam ca vanDyakarkowI /
   sakalaviṣadoṣaśamanī triśūlikā surabhijihvā ca // Rmañj_4.32 //	sakala-viza-doza-SamanI triSUlikA suraBijihvA ca // RmaQt-_4.32 //
   <viṣamāraṇa>	<viza-mAraNa>
   tutthena ṭaṅkaṇenaiva mriyate peṣaṇādviṣam /	tutTena waFkaNena-eva mriyate pezaNAt-vizam /
   atimātraṃ tadā bhuṅkte tadājyaṃ ṭaṅkaṇaṃ pibet // Rmañj_4.33 //	atimAtram tadA BuFkte tadA-Ajyam waFkaNam pibet // RmaQt-_4.33 //
   na dātavyaṃ na bhoktavyaṃ viṣaṃ vāde kadācana /	na dAtavyam na Boktavyam vizam vAde kadAcana /
   ācāryeṇa tu bhoktavyaṃ śiṣyapratyayakāraṇam // Rmañj_4.34 //	AcAryeNa tu Boktavyam Sizya-pratyaya-kAraNam // RmaQt-_4.34 //
   Rmañj, 5	RmaQj, 5
   hemādilohakiṭṭāntaṃ śodhanaṃ māraṇaṃ guṇam /	hema-Adi-loha-kiwwa-antam SoDanam mAraNam guNam /
   vakṣye sapratyayaṃ yogaṃ yathāgurumukhoditam // Rmañj_5.1 //	vakzye sa-pratyayam yogam yaTAguru-muKa-uditam // RmaQt-_5.1 //
   <metals:: śodhana>	<metals:: SoDana>
   taile takre gavāṃ mūtre kvāthe kaulatthakāñjike /	tEle takre gavAm mUtre kvATe kOlatTa-kAQjike /
   taptaṃ taptaṃ niṣecettu tattaddrāve tu saptadhā // Rmañj_5.2 //	taptam taptam nizecet-tu tad-tad-drAve tu saptaDA // RmaQt-_5.2 //
   svarṇādilohaparyantaṃ śuddhirbhavati niścitam /	svarNa-Adi-loha-paryantam SudDiH-Bavati niScitam /
   śodhanaṃ māraṇaṃ caiva kathyate ca mayādhunā // Rmañj_5.3 //	SoDanam mAraNam ca-eva kaTyate ca mayA-aDunA // RmaQt-_5.3 //
   <gold:: śodhana>	<gold:: SoDana>
   mṛttikāmātuluṅgāmlaiḥ pañcavāsarabhāvitā /	mRttikA-mAtuluFga-amlEH paQca-vAsara-BAvitAH /
   sabhasmalavaṇaṃ hema śodhayet puṭapākataḥ // Rmañj_5.4 //	sa-Basma-lavaNam hema SoDayet puwapAkataH // RmaQt-_5.4 //
   <svarṇabhasma>	<svarNa-Basma>
   śuddhasūtasamaṃ hema khalve kuryācca golakam /	SudDa-sUta-samam hema Kalve kuryAt-ca golakam /
   adhordhvaṃ gandhakaṃ dattvā sarvaṃ tulyaṃ nirudhya ca // Rmañj_5.5 //	aDorDvam ganDakam dattvA sarvam tulyam niruDya ca // RmaQt-_5.5 //
   triṃśadvanopalairdeyaṃ puṭānyevaṃ caturdaśa /	triMSat-vanopalEH-deyam puwAni-evam caturdaSa /
   nirutthaṃ jāyate bhasma gandho deyaḥ punaḥ punaḥ // Rmañj_5.6 //	nirutTam jAyate Basma ganDaH deyaH punar punar // RmaQt-_5.6 //
   <svarṇabhasma>	<svarNa-Basma>
   kṛtvā kaṇṭakavedhyāni svarṇapatrāṇi lepayet /	kRtvA kaNwaka-veDyAni svarNa-patrANi lepayet /
   luṅgāmbubhasmasūtena mriyate daśabhiḥ puṭaiḥ // Rmañj_5.7 //	luFga-ambu-Basma-sUtena mriyate daSaBiH puwEH // RmaQt-_5.7 //
   <svarṇabhasma>	<svarNa-Basma>
   rasasya bhasmanā vātha rasairvā lepayeddalam /	rasasya BasmanA vA-aTa rasEH-vA lepayet-dalam /
   hiṅguhiṅgulasindūraiḥ śilāsāmyena lepayet // Rmañj_5.8 //	hiFgu-hiFgula-sindUrEH SilA-sAmyena lepayet // RmaQt-_5.8 //
   saṃmardya kāñcanadrāvairdinaṃ kṛtvātha golakam /	saMmardya kAQcana-drAvEH-dinam kRtvA-aTa golakam /
   taṃ bhāṇḍasya tale dhṛtvā bhasmanā pūrayeddṛḍham // Rmañj_5.9 //	tam BANxasya tale DRtvA BasmanA pUrayet-dRXam // RmaQt-_5.9 //
   agniṃ prajvālayedgāḍhaṃ dviniśaṃ svāṅgaśītalam /	agnim prajvAlayet-gAXam dvi-niSam svAFgaSItalam /
   uddhṛtya sāvaśeṣaṃ ca punardeyaṃ puṭatrayam // Rmañj_5.10 //	udDRtya sa-avaSezam ca punar-deyam puwa-trayam // RmaQt-_5.10 //
   anena vidhinā svarṇaṃ nirutthaṃ jāyate'mitam /	anena viDinA svarNam nirutTam jAyate-amitam /
   etadrasāyanaṃ balyaṃ vṛṣyaṃ śītaṃ kṣayādihṛt // Rmañj_5.11 //	etat-rasAyanam balyam vRzyam SItam kzaya-Adi-hRt // RmaQt-_5.11 //
   <svarṇabhasma>	<svarNa-Basma>
   galitasya suvarṇasya ṣoḍaśāṃśena sīsakam /	galitasya suvarNasya zoxaSa-aMSena sIsakam /
   yojayitvā samuddhṛtya nimbunīreṇa mardayet // Rmañj_5.12 //	yojayitvA samudDRtya nimbu-nIreNa mardayet // RmaQt-_5.12 //
   tadgolakasamaṃ gandhaṃ cūrṇaṃ dadyādadhopari /	tad-golaka-samam ganDam cUrNam dadyAt-aDa-upari /
   śarāvasampuṭe dhṛtvā puṭedviṃśadvanopalaiḥ // Rmañj_5.13 //	SarAva-sampuwe DRtvA puwet-viMSat-vanopalEH // RmaQt-_5.13 //
   evaṃ munipuṭairhema notthānaṃ labhate punaḥ /	evam muni-puwEH-hema na-utTAnam laBate punar /
   <svarṇabhasma>	<svarNa-Basma>
   mākṣikaṃ nāgacūrṇaṃ ca piṣṭamarkarase punaḥ // Rmañj_5.14 //	mAkzikam nAga-cUrNam ca pizwam-arka-rase punar // RmaQt-_5.14 //
   hemapatraṃ ca tenaiva mriyate kṣaṇamātrataḥ /	hema-patram ca tena-eva mriyate kzaNa-mAtrataH /
   <gold:: med. properties>	<gold:: med. properties>
   kaṣāyatiktamadhuraṃ suvarṇaṃ guru lekhanam // Rmañj_5.15 //	kazAya-tikta-maDuram suvarNam guru leKanam // RmaQt-_5.15 //
   vṛṣyaṃ rasāyanaṃ balyaṃ cakṣuṣyaṃ kāntidaṃ śuci /	vRzyam rasAyanam balyam cakzuzyam kAnti-dam Suci /
   āyurmedovayaḥsthairyavāgviśuddhismṛtipradam // Rmañj_5.16 //	AyuH-medaH-vayaH-sTErya-vAc-viSudDi-smRti-pradam // RmaQt-_5.16 //
   kṣayonmādagadārtānāṃ śamanaṃ paramucyate /	kzaya-unmAda-gada-ArtAnAm Samanam param-ucyate /
   <rajataśodhanam>	<rajata-SoDanam>
   bhāgena kṣārarājena drāvitaṃ śuddhimicchatā // Rmañj_5.17 //	BAgena kzArarAjena drAvitam SudDim-icCatA // RmaQt-_5.17 //
   <rajatabhasma>	<rajata-Basma>
   tārapatraṃ caturbhāgaṃ bhāgaikaṃ śuddhatālakam /	tAra-patram catur-BAgam BAga-ekam SudDa-tAlakam /
   mardyaṃ jambīrajairdrāvaistārapatrāṇi lepayet // Rmañj_5.18 //	mardyam jambIra-jEH-drAvEH-tAra-patrANi lepayet // RmaQt-_5.18 //
   ruddhvā tribhiḥ puṭaiḥ pācyaṃ pañcaviṃśadvanopalaiḥ /	rudDvA triBiH puwEH pAcyam paQcaviMSat-vanopalEH /
   mriyate nātra sandeho gandho deyaḥ punaḥ punaḥ // Rmañj_5.19 //	mriyate na-atra sandehaH ganDaH deyaH punar punar // RmaQt-_5.19 //
   <rajatabhasma>	<rajata-Basma>
   svarṇamākṣikagandhasya samaṃ bhāgaṃ tu kārayet /	svarNamAkzika-ganDasya samam BAgam tu kArayet /
   arkakṣīreṇa sampiṣṭaṃ tārapatraṃ pralipya ca // Rmañj_5.20 //	arka-kzIreNa sampizwam tAra-patram pralipya ca // RmaQt-_5.20 //
   puṭena jārayettāraṃ mṛtaṃ bhavati niścitam /	puwena jArayet-tAram mRtam Bavati niScitam /
   <silver:: māraṇa (3)>	<silver:: mAraNaH (3)>
   vidhāya piṣṭiṃ sūtena rajatasyātha melayet // Rmañj_5.21 //	viDAya pizwim sUtena rajatasya-aTa melayet // RmaQt-_5.21 //
   tālaṃ gandhaṃ samaṃ paścānmardayennimbukadravaiḥ /	tAlam ganDam samam paScAt-mardayet-nimbuka-dravEH /
   dvitraiḥ puṭaiḥ bhavedbhasma yojyameva rasādiṣu // Rmañj_5.22 //	dvitrEH puwEH Bavet-Basma yojyam-eva rasa-Adizu // RmaQt-_5.22 //
   <silver:: med. properties>	<silver:: med. properties>
   śītaṃ kaṣāyaṃ madhuramamlaṃ vātaprakopajit /	SItam kazAyam maDuram-amlam vAta-prakopa-jit /
   dīpanaṃ balakṛt snigdhaṃ gāḍhājīrṇavināśanam /	dIpanam bala-kRt snigDam gAXa-ajIrNa-vinASanam /
   āyuṣyaṃ dīrgharogaghnaṃ rajataṃ lekhanaṃ param // Rmañj_5.23 //	Ayuzyam dIrGa-roga-Gnam rajatam leKanam param // RmaQt-_5.23 //
   <tāmra>	<tAmra>
   na viṣaṃ viṣamityāhustāmraṃ tu viṣamucyate /	na vizam vizam-iti-AhuH-tAmram tu vizam-ucyate /
   <copper:: 8 doṣas>	<ca-upper:: 8 doza-s>
   eko doṣo viṣe tāmre tvaṣṭau doṣāḥ prakīrtitāḥ // Rmañj_5.24 //	ekaH dozaH vize tAmre tu-azwO dozAH prakIrtitAH // RmaQt-_5.24 //
   bhramo mūrcchā vidāhaśca svedakledanavāntayaḥ /	BramaH mUrcCA vidAhaH-ca sveda-kledana-vAntayaH /
   aruciścittasantāpa ete doṣā viṣopamāḥ // Rmañj_5.25 //	aruciH-citta-santApaH ete dozAH viza-upamAH // RmaQt-_5.25 //
   tasmādviśuddhaṃ saṃgrāhyaṃ tāmraṃ rogapraśāntaye /	tasmAt-viSudDam saMgrAhyam tAmram roga-praSAntaye /
   <copper:: śodhana>	<ca-upper:: SoDana>
   lavaṇair vajradugdhena tāmrapatraṃ vilepayet // Rmañj_5.26 //	lavaNEH vajra-dugDena tAmra-patram vilepayet // RmaQt-_5.26 //
   agnau saṃtāpya nirguṇḍīrasaiḥ siktaṃ ca saptadhā /	agnO saMtApya nirguNxI-rasEH siktam ca saptaDA /
   snuhyarkasvarase'pyevaṃ śulbaśuddhirbhaviṣyati // Rmañj_5.27 //	snuhI-arka-svarase-api-evam Sulba-SudDiH-Bavizyati // RmaQt-_5.27 //
   <copper:: śodhana>	<ca-upper:: SoDana>
   gomūtreṇa pacedyāmaṃ tāmrapatraṃ dṛḍhāgninā /	go-mUtreNa pacet-yAmam tAmra-patram dRXa-agninA /
   śudhyate nātra sandeho māraṇaṃ vāpyathocyate // Rmañj_5.28 //	SuDyate na-atra sandehaH mAraNam vA-api-aTa-ucyate // RmaQt-_5.28 //
   <tāmrabhasma>	<tAmra-Basma>
   sūtamekaṃ dvidhā gandhaṃ yāmaṃ kanyāṃ vimardayet /	sUtam-ekam dviDA ganDam yAmam kanyAm vimardayet /
   dvayostulyaṃ tāmrapatraṃ sthālyā garbhaṃ nirodhayet // Rmañj_5.29 //	dvayoH-tulyam tAmra-patram sTAlyAH garBam niroDayet // RmaQt-_5.29 //
   samyaṅ mṛllavaṇaiḥ sārddhaṃ pārśve bhasma nidhāya ca /	samyak mRllavaNEH sArdDam pArSve Basma niDAya ca /
   caturyāmaṃ paceccullyāṃ pātrapṛṣṭhe sagomaye // Rmañj_5.30 //	catur-yAmam pacet-cullyAm pAtra-pRzWe sa-gomaye // RmaQt-_5.30 //
   jalaṃ punaḥ punardeyaṃ svāṅgaśītaṃ vicūrṇayet /	jalam punar punar-deyam svAFgaSItam vicUrNayet /
   mriyate nātra sandehaḥ sarvayogeṣu yojayet // Rmañj_5.31 //	mriyate na-atra sandehaH sarva-yogezu yojayet // RmaQt-_5.31 //
   <tāmrabhasma>	<tAmra-Basma>
   caturthāṃśena sūtena tāmrapatrāṇi lepayet /	caturTa-aMSena sUtena tAmra-patrANi lepayet /
   amlapiṣṭaṃ dviguṇitamadhordhvaṃ dāpayed balim // Rmañj_5.32 //	amla-pizwam dvi-guNitam-aDorDvam dApayet balim // RmaQt-_5.32 //
   cāṅgerīkalkagarbhe tadbhāṇḍe yāmaṃ paceddṛḍham /	cAFgerI-kalka-garBe tad-BANxe yAmam pacet-dRXam /
   bhasmībhūtaṃ tāmrapatraṃ sarvayogeṣu yojayet // Rmañj_5.33 //	BasmIBUtam tAmra-patram sarva-yogezu yojayet // RmaQt-_5.33 //
   <tāmrabhasma>	<tAmra-Basma>
   jambīrarasasampiṣṭaṃ rasagandhakalepitam /	jambIra-rasa-sampizwam rasa-ganDaka-lepitam /
   śulbapatraṃ śarāvasthaṃ tripuṭairyāti pañcatām // Rmañj_5.34 //	Sulba-patram SarAva-sTam tripuwEH-yAti paQcatAm // RmaQt-_5.34 //
   <tāmrabhasmaguṇāḥ>	<tAmra-Basma-guNAH>
   tāmraṃ tiktāmlamadhuraṃ kaṣāyaṃ śītalaṃ param // Rmañj_5.35 //	tAmram tikta-amla-maDuram kazAyam SItalam param // RmaQt-_5.35 //
   kaphapittakṣayaṃ dhātukuṣṭhaghnaṃ ca rasāyanam /	kaPa-pitta-kzayam DAtu-kuzWa-Gnam ca rasAyanam /
   nāśayecchūlam arśāṃsi vṛkṣamindrāśaniryathā // Rmañj_5.36 //	nASayet-SUlam arSAMsi vRkzam-indra-aSaniH-yaTA // RmaQt-_5.36 //
   <rājarīti-, ghoṣaśodhana, -māraṇa>	<rAjarIti-, Goza-SoDana, -mAraNa>
   rājarītistathā ghoṣaṃ tāmravanmārayet pṛthak /	rAjarItiH-taTA Gozam tAmra-vat-mArayet pRTak /
   tāmravacchodhanaṃ teṣāṃ tāmravad guṇakārakam // Rmañj_5.37 //	tAmra-vat-SoDanam tezAm tAmra-vat guNa-kArakam // RmaQt-_5.37 //
   <nāgavaṅgaśodhanam>	<nAga-vaFga-SoDanam>
   nāgavaṅgau ca galitau ravidugdhena secayet /	nAga-vaFgO ca galitO ravi-dugDena secayet /
   trivāraṃ śuddhimāyāti sacchidre haṇḍikāntare // Rmañj_5.38 //	tri-vAram SudDim-AyAti sa=-Cidre haNxikA-antare // RmaQt-_5.38 //
   <lead:: māraṇa (1)>	<lead:: mAraNaH (1)>
   tribhiḥ kumbhapuṭairnāgo vāsāsvarasamarditaḥ /	triBiH kumBapuwEH-nAgaH vAsA-svarasa-marditaH /
   sā śilā bhasmatāmeti tadrajaḥ sarvamehahṛt // Rmañj_5.39 //	sA SilA Basma-tAm-eti tad-rajaH sarva-meha-hRt // RmaQt-_5.39 //
   <nāgabhasma>	<nAga-Basma>
   bhūbhujaṅgam agastiṃ ca piṣṭvā pātraṃ vilepayet /	BUBujaFgam agastim ca pizwvA pAtram vilepayet /
   tadrasaṃ vidrute nāge vāsāpāmārgasambhavam // Rmañj_5.40 //	tad-rasam vidrute nAge vAsa-apAmArga-samBavam // RmaQt-_5.40 //
   kṣāraṃ vimiśrayettatra caturthāṃśaṃ gurūktitaḥ /	kzAram vimiSrayet-tatra caturTa-aMSam guru-uktitaH /
   praharaṃ pācayeccullyāṃ vāsādarvyā ca ghaṭṭitā // Rmañj_5.41 //	praharam pAcayet-cullyAm vAsA-darvyA ca GawwitAH // RmaQt-_5.41 //
   tata uddhṛtya taccūrṇaṃ vāsānīre vimardayet /	tatas udDRtya tat-cUrNam vAsA-nIre vimardayet /
   puṭet punaḥ samuddhṛtya tenaiva parimardayet // Rmañj_5.42 //	puwet punar samudDRtya tena-eva parimardayet // RmaQt-_5.42 //
   evaṃ sapta puṭaṃ nāgaṃ sindūraṃ jāyate dhruvam /	evam sapta puwam nAgam sindUram jAyate Druvam /
   <nāgabhasmaguṇāḥ>	<nAga-Basma-guNAH>
   tārastho rañjano nāgo vātapittakaphāpahaḥ // Rmañj_5.43 //	tAra-sTaH raQjanaH nAgaH vAta-pitta-kaPa-apahaH // RmaQt-_5.43 //
   grahaṇīkuṣṭhamehārśaḥprāṇaśoṣaviṣāpahaḥ /	grahaNI-kuzWa-meha-arSaH-prANa-Soza-viza-apahaH /
   <tin:: māraṇa (1)>	<tin:: mAraNaH (1)>
   ābhīraṃ śodhayedādau drāvayeddhaṇḍikāntare // Rmañj_5.44 //	ABIram SoDayet-AdO drAvayet-haNxikA-antare // RmaQt-_5.44 //
   apāmārgacaturthāṃśaṃ cūrṇitaṃ melayettataḥ /	apAmArga-caturTa-aMSam cUrNitam melayet-tatas /
   sthūlāgrayā lohadarvyā śanaistad avacālayet // Rmañj_5.45 //	sTUla-agrayA loha-darvyA SanEs-tat avacAlayet // RmaQt-_5.45 //
   yāvadbhasmatvamāyāti tāvanmardyaṃ ca pūrvavat /	yAvat-Basma-tvam-AyAti tAvat-mardyam ca pUrvavat /
   tata ekīkṛtaṃ sarvaṃ bhavedaṅgāravarṇakam // Rmañj_5.46 //	tatas ekIkRtam sarvam Bavet-aFgAra-varNakam // RmaQt-_5.46 //
   nūtanena śarāveṇa rodhayedantare bhiṣak /	nUtanena SarAveNa roDayet-antare Bizaj /
   paścāttīvrāgninā pakvaṃ vaṅgabhasma bhaveddhruvam // Rmañj_5.47 //	paScAt-tIvra-agninA pakvam vaFga-Basma Bavet-Druvam // RmaQt-_5.47 //
   <tin:: māraṇa (2)>	<tin:: mAraNaH (2)>
   vaṅgaṃ satālamarkasya piṣṭvā dugdhena taṃ puṭet /	vaFgam sa-tAlam-arkasya pizwvA dugDena tam puwet /
   śuṣkāśvatthabhavairvalkaiḥ saptadhā bhasmatāṃ vrajet // Rmañj_5.48 //	Suzka-aSvatTa-BavEH-valkEH saptaDA Basma-tAm vrajet // RmaQt-_5.48 //
   <vaṅgabhasmaguṇāḥ>	<vaFga-Basma-guNAH>
