   smṛtyupasthānaparicchedaḥ trayodaśaḥ |	smRti-upasTAna-paricCedaH trayodaSaH |
   yato na mārgo yato na niḥsaraṇaṃ |	yatas na mArgaH yatas na niHsaraNam |
   sa sarvadharmâniḥsaraṇam iti viditvânāvaraṇaṃ nāma mahākaruṇāsamādhiṃ	sa sarva-Darmâ-niHsaraNam iti viditvânAvaraNam nAma mahA-karuNA-samADim
   samāpadyate |	samApadyate |
   sa sarvadharmeṣu sarvakleśeṣu ca kṛtrimasaṃjñāṃ pratilabhate |	sa sarva-Darmezu sarva-kleSezu ca kRtrima-saMjQAm pratilaBate |
   niḥkleśâite dharmā |	niHkleSâite DarmAH |
   nâite sakleśāḥ |	nâite sa-kleSAH |
   tat kasya hetoḥ |	tat kasya hetoH |
   tathā hy ete nītârthe samavasaranti |	taTA hi ete nItârTe samavasaranti |
   nâsti kleśānāṃ saṃcayo |	nâsti kleSAnAm saMcayaH |
   na rāśībhāvaḥ |	na rASIBAvaH |
   na rāgabhāvo na dveṣabhāvo na mohabhāva |	na rAga-BAvaH na dveza-BAvaH na moha-BAva |
   eṣām eva kleśānām avabodhād bodhiḥ |	ezAm eva kleSAnAm avaboDAt boDiH |
   yat svabhāvāś ca kleśās tat svabhāvā bodhir ity evaṃ smṛtim	yat svaBAvAH ca kleSAH tat svaBAvAH boDiH iti evam smRtim
   upasthāpayatîti ||āryaratnacūḍe 'py uktam |	upasTApayatîti ||Arya-ratna-cUxe api uktam |
   iha kulaputra bodhisatvasya dharme dharmânupaśyanā smṛtyupasthānena	iha kula-putra boDisatvasya Darme DarmânupaSyanA smRti-upasTAnena
   viharatâivaṃ bhavati |	viharatâivam Bavati |
   dharmâivôtpadyamānôtpadyante |	Darmâivôt-padyamAnôt-padyante |
   dharmâiva nirudhymānā nirudhyante ||	Darmâiva niruDymAnAH niruDyante ||
   na punar atra kaścid ātmabhāve satvo vā jīvo vā jantur vā poṣo vā puruṣo	na punar atra kaScid Atma-BAve satvaH vA jIvaH vA jantuH vA pozaH vA puruzaH-
   vā pudgalo vā manujo vā yo jāyate vā jīryate vā cyavate vôtpadyate vā |	vA pudgalaH vA manujaH vA yaH jAyate vA jIryate vA cyavate vôtpadyate vA |
   eṣā dharmāṇāṃ dharmatā |	ezA DarmANAm DarmatA |
   yadi samudānīyante |	yadi samudAnIyante |
   samudāgacchanti |	samudAgacCanti |
   atha na samudānīyante na samudāgacchanti |	aTa na samudAnIyante na samudAgacCanti |
   yādṛśāḥ samudānī-	yAdRSAH samudAnI-
   [ Bendall ed p237 ---> ]	[ Bet-dalt ed p237 ---> ]
   yante tādṛśāḥ samudāgacchanti kuśalā vâkuśalā vā	yante tAdRSAH samudAgacCanti kuSalAH vâkuSalA vA
   [ Cambridge MS f106b ---> ]	[ Cambridge M f106B ---> ]
   aniñjyā vā |	aniQjyAH vA |
   nâsti dharmāṇāṃ samudānetā |	nâsti DarmANAm samudAnetAH |
   na câhetukānāṃ dharmāṇāṃ kācid utpattir ity ādi ||	na câ-hetukAnAm DarmANAm kAcid utpattiH iti Adi ||
   tatrâivâha |	tatrâivâha |
   sa kiyadgambhīrān api dharmān pratyavekṣamāṇas tāṃ	sa kiyat-gamBIrAn api DarmAn pratyavekzamANaH tAm
   sarvajñatābodhicittânusmṛtiṃ na vijahāti ||āryalalitavistarasūtre 'py	sarvajQa-tA-boDi-cittânu-smRtim na vijahAti ||Arya-lalita-vistara-sUtre api-
   uktam |	uktam |
   saṃskārânityâdhruvâmakumbhôpamabhedanâtmakāḥ |	saMskArâ-nityâ-DruvâmakumBôpama-BedanâtmakAH |
   parakelikayācitôpamāḥ pāṃśunagarôpamatā ca kālikā ||	para-kelika-yAcitô-pamAH pAMSunagarôpamatA ca kAlikA ||
   saṃskāra pralopa dharmime varṣakāli calitaṃ vilepanaṃ |	saMskAra pralopa Darmime varza-kAli calitam vilepanam |
   nadikūlêva savālukaṃ pratyayâdhīna svabhāvadurbalāḥ ||	nadi-kUlêva sa-vAlukam pratyayâDIna svaBAva-durbalAH ||
   [ Bendall ed p237 ---> ]	[ Bet-dalt ed p237 ---> ]
   saṃskāra pradīpârcivat kṣiprôtpatti nirodhadharmakāḥ |	saMskAra pradIpârci-vat kziprôt-patti niroDa-DarmakAH |
   anavasthitamārutôpamāḥ phenapiṇḍāvad asāradurbalāḥ ||saṃskāra nirīha	anavasTita-mArutô-pamAH Pena-piNxA-vat asAra-durbalAH ||saMskAra nirIha
   śūnyakāḥ kadalīskandhasamā nirīkṣataḥ |	SUnyakAH kadalI-skanDa-samAH nirIkzataH |
   māyôpama cittamohanā bālôllāpanariktamuṣṭivat ||	mAyôpama citta-mohanA bAlôllApana-rikta-muzwi-vat ||
   hetūbhi ca pratyayebhi vā sarva saṃskāragataṃ pravartate |	hetUBi ca pratyayeBi vA sarve saMskAra-gatam pravartate |
   anyonyapratītyahetutaḥ tad idaṃ bālajano na budhyate ||	anyonya-pratIti-ahetutaH tat idam bAla-janaH na buDyate ||
   yathā muñja pratītya balbajaṃ rajju vyāyāmabalena vartitā |	yaTA muQja pratItya balbajam rajju vyAyAma-balena vartitA |
   ghaṭiyantra sacakra vartate teṣv ekâikaśu nâsti vartanā ||	Gawiyantra sa-cakra vartate tezu ekâikaSu nâsti vartanAH ||
   tatha sarvabhavâṅgavartanī anyonyôpacayena niḥśritā |	taTa sarva-BavâFga-vartanI anyonyô-pacayena niHSritA |
   ekâikaśu teṣu vartanī pūrvâparântato nôpalabhyate ||bījasya sato	ekâikaSu tezu vartanI pUrvâparântataH nôpalaByate ||bIjasya sataH-
   yathâṅkuro na ca yo bīja sa câivâṅkuro |	yaTâFkuraH na ca yaH bIja sa câivâFkuraH |
   na cânya tato na câiva tat |	na cânyaH tatas na câiva tat |
   evam anucchedâśāśvata dharmatā ||	evam anucCedâ-SASvata DarmatA ||
   [ Bendall ed p239 ---> ]	[ Bet-dalt ed p239 ---> ]
   saṃskārâvidyapratyayāḥ te ca saṃskāra na santi tatvataḥ |	saMskArâ-vidya-pratyayAH te ca saMskAra na santi tatvataH |
   saṃskārâvidya câiva hi śūnyâite prakṛtī nirīhakāḥ ||	saMskArâvidya câiva hi SUnyâite prakRtI nirIhakAH ||
   mudrāt pratimudra dṛśyate mudrasaṃkrānti na côpalabhyate |	mudrAt pratimudra dRSyate mudra-saMkrAnti na côpalaByate |
   na ca tatra na câiva sānyato evaṃ saṃskāranucchedaśāśvatāḥ ||	na ca tatra na câiva sA-anyatas evam saMskAra-nucCeda-SASvatAH ||
   cakṣuś ca pratītya rūpataḥ cakṣu vijñānam ihôpajāyate |	cakzuH ca pratItya rUpataH cakzu vijQAnam ihôpajAyate |
   na ca cakṣuṣi rūpaniśritaṃ rūpasaṃkrānti na câiva cakṣuṣi ||	na ca cakzuzi rUpa-niSritam rUpa-saMkrAnti na câiva cakzuzi ||
   nairātmyaśubhāś ca dharmime te punar ātmêti śubhāś ca kalpitāḥ |	nErAtmya-SuBAH ca Darmime te punar Atmêti SuBAH ca kalpitAH |
   viparītam asadvikalpitaṃ cakṣuvijñāna tato upajāyate ||	viparItam asat-vikalpitam cakzu-vijQAna tatas upajAyate ||
   vijñāna nirodhasaṃbhavaṃ vijñôtpādavyayaṃ vipaśyati |	vijQAna niroDa-saMBavam vijQôt-pAda-vyayam vipaSyati |
   akahiñci gatam anāgataṃ śūnya māyôpama yogi paśyati ||	akahiQci gatam anAgatam SUnya mAyôpama yogi paSyati ||
   [ Bendall ed p240 ---> ]	[ Bet-dalt ed p240 ---> ]
   araṇiṃ yatha	araNim yaTa
   [ Cambridge MS f107a ---> ]	[ Cambridge M f107aH ---> ]
   côttarâraṇiṃ hastavyāyāmatrayebhi saṃgatiṃ |	côttarâraNim hasta-vyAyAma-traya-iBi saMgatim |
   iti pratyayato 'gni jāyate jātu kṛtukāryu laghū nirudhyate ||	iti pratyayataH agni jAyate jAtu kRtu-kAryu laGU niruDyate ||
   atha paṇḍitu kaści mārgate kuta yam āgatu kutra yāti vā |	aTa paNxitu kaSci mArgate kuta yam Agatu kutra yAti vA |
   vidiśo diśi sarva mārgato na gatir nâpy agatiś ca labhyate ||	vidiSaH diSi sarva mArgataH na gatiH nâpi agatiH ca laByate ||
   skandhâyatanāni dhātavaḥ tṛṣṇâvidyêti karmapratyayāḥ |	skanDâyatanAni DAtavaH tRzNâ-vidyêti karma-pratyayAH |
   sāmagri tu satvasūcanā sā ca paramârthatu nôpalabhyate ||	sAmagri tu satva-sUcanA sA ca param-ârTatu nôpalaByate ||
   kaṇṭhâuṣṭha pratītya tālukaṃ jihva parivartir avarti akṣarā |	kaNWâuzWa pratItya tAlukam jihva parivartiH avarti akzarA |
   na ca kaṇṭhagatā na tālukaiḥ akṣarâikâika tu nôpalabhyate ||	na ca kaNWa-gatA na tAlukEH akzarâikâika tu nôpalaByate ||
   sāmagripratītyaś ca sā vācam anubudhivaśena niścarī |	sAmagri-pratItyaH ca sA vAcam anubuDi-vaSena niScarI |
   manavācâdṛśyarūpiṇī bāhyato 'bhyantari nôpalabhyate ||	mana-vAcâ-dRSya-rUpiNI bAhyatas aByantari nôpalaByate ||
   utpādavyayaṃ vipaśyato vācarutaghoṣasvarasya paṇḍitāḥ |	utpAda-vyayam vipaSyataH vAcaruta-Goza-svarasya paNxitAH |
   kṣaṇikāṃ vaśikāṃ tad īdṛśīṃ sarvavācaḥ pratiśrutakôpamāḥ ||	kzaNikAm vaSikAm tat IdRSIm sarva-vAcaH pratiSrutakôpamAH ||
   [ Bendall ed p241 ---> ]	[ Bet-dalt ed p241 ---> ]
   yatha tantri pratītya dāru ca hastavyāyāmatrayebhi saṃgatim |	yaTa tantri pratItya dAru ca hasta-vyAyAma-traya-iBi saMgatim |
   tuṇavīṇasughoṣakâdibhiḥ śabdo niścarate tadudbhavaḥ ||	tuNa-vINa-su-GozakâdiBiH SabdaH niScarate tad-udBavaH ||
   atha paṇḍitu kaści mārgate kuto 'yam āgatu kutra yāti vā |	aTa paNxitu kaSci mArgate kutas ayam Agatu kutra yAti vA |
   vidiśo diśa sarvamārgataḥ śabdam anāgamanaṃ na labhyate ||	vidiSaH diSa sarva-mArgataH Sabdam anAgamanam na laByate ||
   tatha hetubhi pratyayebhi ca sarvasaṃskāragataṃ pravartate |	taTa hetuBi pratyaya-iBi ca sarva-saMskAra-gatam pravartate |
   yogī puna bhūtadarśanāt śūnya saṃskāra nirīha paśyati ||	yogI puna BUta-darSanAt SUnya saMskAra nirIha paSyati ||
   skandhâyatanāni dhātavaḥ śūnyâdhyātmika śūnyabāhyakāḥ |	skanDâyatanAni DAtavaH SUnyâDyAtmika SUnya-bAhyakAH |
   satvâtmaviviktanâlayāḥ dharmâkāśasvabhāvalakṣaṇāḥ ||	satvâtma-vivikta-nâlayAH DarmâkASa-svaBAva-lakzaNAH ||
   lokanāthavyākaraṇe 'py uktam ||	loka-nATa-vyAkaraNe api uktam ||
   śūnyânāmakā dharmāḥ nāma kiṃ paripṛcchasi |	SUnyânAmakAH DarmAH nAma kim paripRcCasi |
   śūnyatā na kvacid devā na nāgā nâpi rākṣasāḥ ||	SUnyatA na kvacid devAH na nAgAH nâpi rAkzasAH ||
   manuṣyā vâmanuṣyā vā sarve tu eṣa vidyate |	manuzyAH vâmanuzyAH vA sarve tu eza vidyate |
   nāmnā hi nāmatā śūnyā nāmni nāma na vidyate ||	nAmnA hi nAmatA SUnyA nAmni nAma na vidyate ||
   anāmakāḥ sarve dharmāḥ nāmnā tu paridīpitāḥ ||	anAmakAH sarve DarmAH nAmnA tu paridIpitAH ||
   yo hi svabhāvo nāmno vai na sa dṛṣṭo na ca śrutaḥ |	yaH hi svaBAvaH nAmnaH vE na sa dRzwaH na ca SrutaH |
   na côtpanno niruddho vā kasya nāmêha pṛcchasi ||	na côt-pannaH nirudDaH vA kasya nAmêha pRcCasi ||
   vyavahārakṛtaṃ nāma prajñaptir nāmadarśitā |	vyavahArakRtam nAma prajQaptiH nAma-darSitA |
   ratnacitro hy ayaṃ nāmnā ratnôttamaparêti ||	ratna-citraH hi ayam nAmnA ratnôttam-aparêti ||
   iti śikṣāsamuccaye smṛtyupasthānaparicchedas trayodaśaḥ ||	iti SikzA-samuccaye smRti-upasTAna-paricCedaH trayodaSaH ||
   Copyright (c) 2002 by Jens Braarvig - Oslo	CopyriGt (c) 2002 bi Jens Braarvij  Oslo
