   Revākhaṇḍa of the Vāyupurāṇa	RevAKaNxaH of Te VAyupurANa
   saubhāgyaṃ jāyate caiva iha loke paratra ca /	sOBAgyam jAyate ca eva iha loke paratra ca /
   brāhmaṇe vṛttasampanne surūpe ca guṇānvite // RKV_26.101 //	brAhmaNe vRtta sampanne surUpe ca guNa anvite // RKV_26.101 //
   tithau yasyāmidaṃ deyaṃ tatte rājñi vadāmyaham /	tiTO yasyAm idam deyam tat te rAjQi vadAmi aham /
   pratipatsu ca yā nārī pūrvāhṇe ca śucivratā // RKV_26.102 //	pratipatsu ca yA nArI pUrvAhNe ca Suci vratA // RKV_26.102 //
   indhanaṃ brāhmaṇe dadyātprīyatāṃ me hutāśanaḥ /	inDanam brAhmaNe dadyAt prIyatAm me hutASanaH /
   tasyā janmāni ṣaṭtriṃśadaṅgapratyaṅgasandhiṣu // RKV_26.103 //	tasyAH janmAni zawtriMSat aFga pratyaFga sanDizu // RKV_26.103 //
   na rajo naiva santāpo jāyate rājavallabhe /	na rajaH na eva santApaH jAyate rAja vallaBe /
   dvitīyāyāṃ tu yā nārī navanītamudānvitā // RKV_26.104 //	dvitIyAyAm tu yA nArI navanIta mudA anvitAH // RKV_26.104 //
   dadāti dvijamukhyāya sukumāratanurbhavet /	dadAti dvijamuKyAya su kumAra tanuH Bavet /
   lavaṇaṃ vipravaryāya tṛtīyāyāṃ prayacchati // RKV_26.105 //	lavaNam vipra varyAya tRtIyAyAm prayacCati // RKV_26.105 //
   gaurī me prīyatāṃ devī tasyāḥ puṇyaphalaṃ śṛṇu /	gOrI me prIyatAm devI tasyAH puNya Palam SRNu /
   kaumārikā patiṃ prāpya tena sārddhamumā yathā // RKV_26.106 //	kOmArikA patim prApya tena sArdDam umA yaTA // RKV_26.106 //
   krīḍatyavidhavā cāpi labhate sā mahadyaśaḥ /	krIxati aviDavA ca api laBate sA mahat yaSaH /
   naktaṃ kṛtvā caturthyāṃ vai dadyādviprāya modakān // RKV_26.107 //	naktam kRtvA caturTyAm vE dadyAt viprAya modakAn // RKV_26.107 //
   prīyatāṃ mama deveśo gaṇanātho vināyakaḥ /	prIyatAm mama deveSaH gaNanATaH vinAyakaH /
   tasyāstena phalenāśu sarvakarmasu bhāmini // RKV_26.108 //	tasyAH tena Palena ASu sarva karmasu BAmini // RKV_26.108 //
   vighnaṃ na jāyate kvāpi evamāha pitāmahaḥ /	viGnam na jAyate kvApi evam Aha pitAmahaH /
   pañcamīṃ tu tataḥ prāpya brāhmaṇe tiladā tu yā // RKV_26.109 //	paQcamIm tu tatas prApya brAhmaNe tila dA tu yA // RKV_26.109 //
   sā bhavedrūpasampannā yathā caiva tilottamā /	sA Bavet rUpa sampannA yaTA ca eva tilottamA /
   ṣaṣṭhyāṃ tu yā madhūkasya phaladā tu bhavetsadā // RKV_26.110 //	zazWyAm tu yA maDUkasya Pala dA tu Bavet sadA // RKV_26.110 //
   uddiśya cāgnijaṃ devaṃ brāhmaṇe vedapārage /	uddiSya ca agnijam devam brAhmaNe vedapArage /
   tasyāḥ putro yathā skando devasaṅgheṣu cottamaḥ // RKV_26.111 //	tasyAH putraH yaTA skandaH deva saFGezu ca uttamaH // RKV_26.111 //
   utpadyate mahārājaḥ sarvalokeṣu pūjitaḥ /	utpadyate mahA rAjaH sarva lokezu pUjitaH /
   saptamyāṃ yā dvijaśreṣṭhaṃ suvarṇena prapūjayet // RKV_26.112 //	saptamyAm yA dvijaSrezWam suvarNena prapUjayet // RKV_26.112 //
   uddiśya jagato nāthaṃ devadevaṃ divākaram /	uddiSya jagataH nATam devadevam divAkaram /
   tasya puṇyaphalaṃ yadvai kathitaṃ dvijasattamaiḥ // RKV_26.113 //	tasya puNya Palam yat vE kaTitam dvijasattamEH // RKV_26.113 //
   tatte rājñi pravakṣyāmi śṛṇuṣvaikamanāḥ sati /	tat te rAjQi pravakzyAmi SRNuzva ekamanAH sati /
   dadrūcitrakakuṣṭhāni maṇḍalāni vicarcikā // RKV_26.114 //	dadrU citraka kuzWAni maNxalAni vicarcikA // RKV_26.114 //
   na bhavantīha cāṅgeṣu pūrvakarmārjitānyapi /	na Bavanti iha ca aFgezu pUrva karma arjitAni api /
   kṛṣṇāṃ dhenuṃ tathāṣṭamyāṃ yā prayacchati bhāminī // RKV_26.115 //	kRzNAm Denum taTA azwamyAm yA prayacCati BAminI // RKV_26.115 //
   brāhmaṇe vṛttasampanne prīyatāṃ me maheśvaraḥ /	brAhmaNe vRtta sampanne prIyatAm me maheSvaraH /
   tasyā janmārjitaṃ pāpaṃ naśyate vibhavānvitā // RKV_26.116 //	tasyAH janma arjitam pApam naSyate viBava anvitA // RKV_26.116 //
   jāyate nātra sandeho yasmāddānamanuttamam /	jAyate na atra sandehaH yasmAt dAnam anuttamam /
   gandhadhūpaṃ tu yā nārī bhaktyā viprāya dāpayet // RKV_26.117 //	ganDaDUpam tu yA nArI BaktyA viprAya dApayet // RKV_26.117 //
   kātyāyanīṃ samuddiśya navamyāṃ śṛṇu yatphalam /	kAtyAyanIm samuddiSya navamyAm SRNu yat Palam /
   tasyā bhrātā pitā putraḥ patirvā raṇamuttamam // RKV_26.118 //	tasyAH BrAtA pitA putraH patiH vA raNam uttamam // RKV_26.118 //
   prāpyate naiva sīdanti tena dānena rakṣitāḥ /	prApyate na eva sIdanti tena dAnena rakzitAH /
   ikṣudaṇḍarasaṃ devi daśamyāṃ yā prayacchati // RKV_26.119 //	ikzu daNxa rasam devi daSamyAm yA prayacCati // RKV_26.119 //
   lokapālānsamuddiśya brāhmaṇe vyaṅgavarjite /	lokapAlAn samuddiSya brAhmaNe vyaFga varjite /
   tena dānena sā nityaṃ sarvalokasya vallabhā // RKV_26.120 //	tena dAnena sA nityam sarva lokasya vallaBAH // RKV_26.120 //
   jāyate nātra sandeha ityevaṃ śaṅkaro 'bravīt /	jAyate na atra sandehaH iti evam SaFkaraH abravIt /
   ekādaśyāmupoṣyātha dvādaśyāmudakapradā // RKV_26.121 //	ekAdaSyAm upozya aTa dvAdaSyAm udaka pradA // RKV_26.121 //
   nārāyaṇaṃ samuddiśya brāhmaṇe viṣṇutatpare /	nArAyaNam samuddiSya brAhmaNe vizNu tatpare /
   sā sadā sparśasambhāṣairdrāvayedbhāvayejjanam // RKV_26.122 //	sA sadA sparSa samBAzEH drAvayet BAvayet janam // RKV_26.122 //
   yasmāddānaṃ maharloke hyanantam udake bhavet /	yasmAt dAnam mahar loke hi anantam udake Bavet /
   pādābhyaṅgaṃ śiro'bhyaṅgaṃ kāmamuddiśya vai dvije // RKV_26.123 //	pAda aByaFgam SiraH aByaFgam kAmam uddiSya vE dvije // RKV_26.123 //
   dadāti ca trayodaśyāṃ bhaktyā paramayāṅganā /	dadAti ca trayodaSyAm BaktyA paramayA aFganA /
   yasyāṃ yasyāṃ mṛtā jāyed bhūyo yonyāṃ tu janmani // RKV_26.124 //	yasyAm yasyAm mRtAH jAyet BUyas yonyAm tu janmani // RKV_26.124 //
   tasyāṃ tasyāṃ tu sā bharturna viyujyeta karhicit /	tasyAm tasyAm tu sA BartuH na viyujyeta karhicit /
   tathāpyevaṃ caturdaśyāṃ dadyāt pātramupānahau // RKV_26.125 //	taTA api evam caturdaSyAm dadyAt pAtram upAnahO // RKV_26.125 //
   brahmaṇe dharmamuddiśya tasyā lokā hyanāmayāḥ /	brahmaNe Darmam uddiSya tasyAH lokAH hi anAmayAH /
   evaṃ ca pakṣapakṣānte śrāddhe tarped dvijottamān // RKV_26.126 //	evam ca pakza pakza ante SrAdDe tarpet dvijottamAn // RKV_26.126 //
   avyucchinnā sadā rājñi santatir jāyate bhuvi /	avyucCinnA sadA rAjQi santatiH jAyate Buvi /
   evaṃ te tithimāhātmyaṃ dānayogena bhāṣitam // RKV_26.127 //	evam te tiTi mAhAtmyam dAna yogena BAzitam // RKV_26.127 //
   tathā vanaspatīnāṃ tu ārādhanavidhiṃ śṛṇu /	taTA vanaspatInAm tu ArADana viDim SRNu /
   jambūṃ nimbataruṃ caiva tindukaṃ madhukaṃ tathā // RKV_26.128 //	jambUm nimba tarum ca eva tindukam maDukam taTA // RKV_26.128 //
   āmraṃ cāmalakaṃ caiva śālmaliṃ vaṭapippalau /	Amram ca Amalakam ca eva SAlmalim vawa pippalO /
   śamībilvāmalīvṛkṣaṃ kadalīṃ pāṭalīṃ tathā // RKV_26.129 //	SamI bilva amalI vRkzam kadalIm pAwalIm taTA // RKV_26.129 //
   anyānpuṇyatamānvṛkṣānupetya svargamāpnuyāt // RKV_26.130 //	anyAn puNyatamAn vRkzAn upetya svargam ApnuyAt // RKV_26.130 //
   nārada uvāca:	nAradaH uvAca:
   caitre māse tu yā nārī kuryādvratamanuttamam /	cEtre mAse tu yA nArI kuryAt vratam anuttamam /
   tasya vratasya cānyāni kalāṃ nārhanti ṣoḍaśīm // RKV_26.131 //	tasya vratasya ca anyAni kalAm na arhanti zoxaSIm // RKV_26.131 //
   śrutena yena subhage durbhagatvaṃ na paśyati /	Srutena yena suBage durBaga tvam na paSyati /
   yathā himaṃ raviṃ prāpya vilayaṃ yāti bhūtale // RKV_26.132 //	yaTA himam ravim prApya vilayam yAti BU tale // RKV_26.132 //
   tathā duḥkhaṃ ca daurbhāgyaṃ vratādasmādvilīyate /	taTA duHKam ca dOrBAgyam vratAt asmAt vilIyate /
   madhukākhyāṃ tu lalitāmārādhayati yena vai // RKV_26.133 //	maDuka AKyAm tu lalitAm ArADayati yena vE // RKV_26.133 //
   vidhiṃ taṃ śṛṇu subhage kathyamānaṃ sukhāvaham /	viDim tam SRNu suBage kaTyamAnam suKa Avaham /
   caitre śuklatṛtīyāyāṃ susnātā śuddhamānasā // RKV_26.134 //	cEtre Sukla tRtIyAyAm su snAtA SudDa mAnasA // RKV_26.134 //
   pratimāṃ madhuvṛkṣasya śāṅkarīm umayā saha /	pratimAm maDu vRkzasya SAFkarIm umayA saha /
   kārayitvā dvijavaraiḥ pratiṣṭhāpya yathāvidhi // RKV_26.135 //	kArayitvA dvijavarEH pratizWApya yaTAviDi // RKV_26.135 //
   sugandhikusumairdhūpaistathā karpūrakuṅkumaiḥ /	suganDi kusumEH DUpEH taTA karpUra kuFkumEH /
   pūjayed vidhinā devaṃ mantrayuktena bhāminī // RKV_26.136 //	pUjayet viDinA devam mantra yuktena BAminI // RKV_26.136 //
   pādau namaḥ śivāyeti meḍhre vai manmathāya ca /	pAdO namaH SivAya iti meXre vE manmaTAya ca /
   kālodarāyet yudaraṃ nīlakaṃṭhāya kaṇṭhakam // RKV_26.137 //	kAlodarAyet yudaram nIlakaMWAya kaNWakam // RKV_26.137 //
   śiraḥ sarvātmane pūjya umāṃ paścātprapūjayet /	SiraH sarvAtmane pUjya umAm paScAt prapUjayet /
   kṣāmodarāyaihyudaraṃ sukaṇṭhāyai ca kaṇṭhakam // RKV_26.138 //	kzAmodarAya Ehi udaram sukaNWAyE ca kaNWakam // RKV_26.138 //
   śiraḥ saubhāgyadāyinyai paścādarghyaṃ pradāpayet // RKV_26.139 //	SiraH sOBAgya dAyinyE paScAt arGyam pradApayet // RKV_26.139 //
   namaste devadeveśa umāvara jagatpate /	namaH te devadeveSaH umA vara jagatpate /
   arghyeṇānena me sarvaṃ daurbhāgyaṃ nāśaya prabho /	arGyeNa anena me sarvam dOrBAgyam nASaya praBo /
   iti arghyamantraḥ // RKV_26.140 //	iti arGya mantraH // RKV_26.140 //
   arghyaṃ dattvā tataḥ paścātkarakaṃ vāripūritam /	arGyam dattvA tatas paScAt karakam vAri pUritam /
   madhūkapātropabhṛtaṃ sahiraṇyaṃ tu śaktitaḥ // RKV_26.141 //	maDUka pAtra upaBRtam sa hiraNyam tu Saktitas // RKV_26.141 //
   karakaṃ vārisampūrṇaṃ saubhāgyena tu saṃyutam /	karakam vAri sampUrNam sOBAgyena tu saMyutam /
   dattaṃ tu lalite tubhyaṃ saubhāgyādivivardhanam /	dattam tu lalite tuByam sOBAgya Adi vivarDanam /
   iti karakadānamantraḥ // RKV_26.142 //	iti karaka dAna mantraH // RKV_26.142 //
   mantreṇānena viprāya dadyāt karakamuttamam /	mantreNa anena viprAya dadyAt karakam uttamam /
   lavaṇaṃ varjayec chuklāṃ yāvadanyāṃ tṛtīyikām // RKV_26.143 //	lavaNam varjayet SuklAm yAvat anyAm tRtIyikAm // RKV_26.143 //
   kṣamāpya devīṃ deveśāṃ naktam adyātsvayaṃ haviḥ /	kzamApya devIm deveSAm naktam adyAt svayam haviH /
   anena vidhinā sārdhaṃ māsi māsi hy apakramet // RKV_26.144 //	anena viDinA sArDam mAsi mAsi hi apakramet // RKV_26.144 //
   phālgunasya tṛtīyāyāṃ śuklāyāṃ tu samāpyate /	PAlgunasya tRtIyAyAm SuklAyAm tu samApyate /
   vaiśākhe lavaṇaṃ deyaṃ jyeṣṭhe cājyaṃ pradīyate // RKV_26.145 //	vESAKe lavaNam deyam jyezWe ca Ajyam pradIyate // RKV_26.145 //
   āṣāḍhe māsi niṣpāvāḥ payo deyaṃ tu śrāvaṇe /	AzAXe mAsi nizpAvAH payaH deyam tu SrAvaNe /
   mudgā deyā nabhasye tu śālimāśvayuje tathā // RKV_26.146 //	mudgAH deyAH naBasye tu SAlim ASvayuje taTA // RKV_26.146 //
   kārttike śarkarāpātraṃ karakaṃ rasasaṃbhṛtam /	kArttike SarkarA pAtram karakam rasa saMBRtam /
   mārgaśīrṣe tu kārpāsaṃ karakaṃ ghṛtasaṃyutam // RKV_26.147 //	mArgaSIrze tu kArpAsam karakam GRta saMyutam // RKV_26.147 //
   pauṣe tu kuṅkumaṃ deyaṃ māghe pātraṃ tilair bhṛtam /	pOze tu kuFkumam deyam mAGe pAtram tilEH BRtam /
   phālgune māsi samprāpte pātraṃ modakasaṃbhṛtam // RKV_26.148 //	PAlgune mAsi samprApte pAtram modaka saMBRtam // RKV_26.148 //
   paścāttṛtīyādeyaṃ yattatpūrvasyāṃ vivarjayet /	paScAt tRtIyA deyam yat tat pUrvasyAm vivarjayet /
   vidhānamāsāṃ sarvāsāṃ sāmānyaṃ manasaḥ priye // RKV_26.149 //	viDAnam AsAm sarvAsAm sAmAnyam manasaH priye // RKV_26.149 //
   pratimāṃ madhuvṛkṣasya tāmeva pratipūjayet /	pratimAm maDu vRkzasya tAm eva pratipUjayet /
   tasmai sarvaṃ tu viprāya ācāryāya pradīyate // RKV_26.150 //	tasmE sarvam tu viprAya AcAryAya pradIyate // RKV_26.150 //
   tataḥ saṃvatsarasyānte udyāpanavidhiṃ śṛṇu /	tatas saMvatsarasya ante udyApana viDim SRNu /
   madhuvṛkṣaṃ tato gatvā bahusambhārasaṃvṛtaḥ // RKV_26.151 //	maDu vRkzam tatas gatvA bahu samBAra saMvRtaH // RKV_26.151 //
   nikhanetpratimāṃ madhye mādhūkīṃ madhukasya ca /	niKanet pratimAm maDye mADUkIm maDukasya ca /
   tatrasthaṃ pūjayet sarvam umādehārddhadhāriṇam // RKV_26.152 //	tatrasTam pUjayet sarvam umA deha ardDa DAriNam // RKV_26.152 //
   pūjopahārairvipulaiḥ kuṅkumena punaḥpunaḥ /	pUjA upahArEH vipulEH kuFkumena punar punar /
   ślakṣṇābhiḥ puṣpamālābhiḥ kausumbhaiḥ kesareṇa ca // RKV_26.153 //	SlakzNABiH puzpa mAlABiH kOsumBEH kesareNa ca // RKV_26.153 //
   kausumbhe vāsasī śubhre atasīpuṣpasannibhe /	kOsumBe vAsasI SuBre atasI puzpa sanniBe /
   paridhāpya tāṃ pratimāṃ dampatī ravisaṃkhyayā // RKV_26.154 //	pariDApya tAm pratimAm dampatI ravi saMKyayA // RKV_26.154 //
   upānadyugalaiśchatraiḥ kaṇṭhasūtraiḥ sakaṇṭhikaiḥ /	upAnat yugalEH CatrEH kaNWa sUtrEH sa kaNWikEH /
   kaṭakairaṅgulīyaiśca śayanīyaiḥ śubhāstṛtaiḥ // RKV_26.155 //	kawakEH aFgulIyEH ca SayanIyEH SuBa AstRtEH // RKV_26.155 //
   kuṅkumena viliptāṅgau bahupuṣpaiśca pūjitau /	kuFkumena vilipta aFgO bahu puzpEH ca pUjitO /
   bhojayed vividhai ratnair madhūkāvāsake sthitau // RKV_26.156 //	Bojayet viviDEH ratnEH maDUka AvAsake sTitO // RKV_26.156 //
   bhuktotthitau tu viśrāmya śayyāsu ca kṣamāpayet /	Bukta utTitO tu viSrAmya SayyAsu ca kzamApayet /
   gurumūlaṃ yataḥ sarvaṃ gururjñeyo maheśvaraḥ // RKV_26.157 //	guru mUlam yatas sarvam guruH jQeyaH maheSvaraH // RKV_26.157 //
   prīte gurau tataḥ sarvaṃ jagatprītaṃ surāsuram /	prIte gurO tatas sarvam jagat prItam sura asuram /
   yadyadiṣṭatamaṃ loke yatkiṃciddayitaṃ gṛhe // RKV_26.158 //	yat yat izwatamam loke yat kiMcid dayitam gRhe // RKV_26.158 //
   tatsarvaṃ gurave deyamātmanaḥ śreya icchatā /	tat sarvam gurave deyam AtmanaH SreyaH icCatA /
   idaṃ tu dhanibhir deyamanyair deyaṃ yathocyate // RKV_26.159 //	idam tu DaniBiH deyam anyEH deyam yaTA ucyate // RKV_26.159 //
   dāmpatyamekaṃ vidhivatpratipūjya śubhavrataiḥ /	dAmpatyam ekam viDivat pratipUjya SuBa vratEH /
   dvitīyaṃ gurudāmpatyaṃ vittaśāṭhyaṃ vivarjayet // RKV_26.160 //	dvitIyam guru dAmpatyam vitta SAWyam vivarjayet // RKV_26.160 //
   tataḥ kṣamāpayeddevīṃ devaṃ ca brāhmaṇaṃ gurum /	tatas kzamApayet devIm devam ca brAhmaNam gurum /
   yathā tvaṃ devi lalite na viyuktāsi śambhunā // RKV_26.161 //	yaTA tvam devi lalite na viyuktA asi SamBunA // RKV_26.161 //
   tathā me patiputrāṇām aviyogaḥ pradīyatām /	taTA me pati putrANAm aviyogaH pradIyatAm /
   anena vidhinā kṛtvā tṛtīyāṃ madhusaṃjñikām // RKV_26.162 //	anena viDinA kRtvA tRtIyAm maDu saMjQikAm // RKV_26.162 //
   indrāṇī cendrapatnītvamavāpa sutamuttamam /	indrANI ca indra patnI tvam avApa sutam uttamam /
   saubhāgyaṃ sarvalokeṣu sarvarddhisukhamuttamam // RKV_26.163 //	sOBAgyam sarva lokezu sarva RdDi suKam uttamam // RKV_26.163 //
   anena vidhinā yā tu kumārī vratamācaret /	anena viDinA yA tu kumArI vratam Acaret /
   śobhanaṃ patimāpnoti yathendrāṇyā śatakratuḥ // RKV_26.164 //	SoBanam patim Apnoti yaTA indrANyA SatakratuH // RKV_26.164 //
   durbhagā subhagatvaṃ ca subhagā putriṇī bhavet /	durBagA suBaga tvam ca suBagA putriNI Bavet /
   putriṇyakṣayamāpnoti na śokaṃ paśyati kvacit // RKV_26.165 //	putriNI akzayam Apnoti na Sokam paSyati kvacid // RKV_26.165 //
   anekajanmajanitaṃ daurbhāgyaṃ naśyati dhruvam /	aneka janma janitam dOrBAgyam naSyati Druvam /
   mṛtā tu tridivaṃ prāpya umayā saha modate // RKV_26.166 //	mRtA tu tridivam prApya umayA saha modate // RKV_26.166 //
   kalpakoṭiśataṃ sāgraṃ bhuktvā bhogān yathepsitān /	kalpa kowi Satam sAgram BuktvA BogAn yaTA IpsitAn /
   punastu sambhave loke pārthivaṃ patim āpnuyāt // RKV_26.167 //	punar tu samBave loke pArTivam patim ApnuyAt // RKV_26.167 //
   subhagā rūpasampannā pārthivaṃ janayet sutam // RKV_26.168 //	suBagA rUpa sampannA pArTivam janayet sutam // RKV_26.168 //
   etatte kathitaṃ sarvaṃ vratānāmuttamaṃ vratam /	etat te kaTitam sarvam vratAnAm uttamam vratam /
   anyatpṛcchasva subhage vāñchitaṃ yaddhṛdi sthitam // RKV_26.169 //	anyat pRcCasva suBage vAQCitam yat hRdi sTitam // RKV_26.169 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe narmadāmāhātmye	Avantya KaNxe revAKaNxe narmadAmAhAtmye
   madhūkatṛtīyāvratavidhānamāhātmyavarṇanaṃ nāma ṣaḍviṃśo 'dhyāyaḥ ||	maDUkatRtIyAvrataviDAnamAhAtmyavarNanam nAma zaxviMSaH aDyAyaH ||
   RKV adhyāya 27	RKV aDyAya 27
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   nāradasya vacaḥ śrutvā rājñī vacanam abravīt /	nAradasya vacaH SrutvA rAjQI vacanam abravIt /
   prasādaṃ kuru viprendra gṛhṇa dānaṃ yathepsitam // RKV_27.1 //	prasAdam kuru vipra indra gRhNa dAnam yaTA Ipsitam // RKV_27.1 //
   suvarṇamaṇiratnāni vastrāṇi vividhāni ca /	suvarNa maNi ratnAni vastrANi viviDAni ca /
   tatte dārayāmi viprendra yaccānyad api durlabham // RKV_27.2 //	tat te dArayAmi vipra indra yat ca anyat api durlaBam // RKV_27.2 //
   rājñyāstu vacanaṃ śrutvā nārado vākyam abravīt /	rAjQyAH tu vacanam SrutvA nAradaH vAkyam abravIt /
   anyeṣāṃ dīyatāṃ bhadre ye dvijāḥ kṣīṇavṛttayaḥ // RKV_27.3 //	anyezAm dIyatAm Badre ye dvijAH kzINa vRttayaH // RKV_27.3 //
   vayaṃ tu sarvasampannā bhaktigrāhyāḥ sadaiva hi /	vayam tu sarva sampannAH Bakti grAhyAH sadA eva hi /
   ityuktā sā tadā rājñī vedavedāṅgapāragān // RKV_27.4 //	iti uktA sA tadA rAjQI veda vedAFga pAragAn // RKV_27.4 //
   āhūya brāhmaṇān niḥsvāndātuṃ samupacakrame /	AhUya brAhmaNAn niHsvAn dAtum samupacakrame /
   yat kiṃcinnāradenoktaṃ dānasaubhāgyavardhanam // RKV_27.5 //	yat kiMcid nAradena uktam dAna sOBAgya varDanam // RKV_27.5 //
   tena dānena me nityaṃ prīyetāṃ hariśaṅkarau /	tena dAnena me nityam prIyetAm hari SaFkarO /
   tato rājñī ca sā prāha nāradaṃ munipuṃgavam // RKV_27.6 //	tatas rAjQI ca sA prAha nAradam muni puMgavam // RKV_27.6 //
   rājñyuvāca:	rAjQI uvAca:
   dānaṃ dattaṃ tvayoktaṃ yadbhartṛkarmaparaṃ hi tat /	dAnam dattam tvayA uktam yat BartR karma param hi tat /
   ājanmajanma me bhartā bhavedbāṇo dvijottama // RKV_27.7 //	Ajanma janma me BartA Bavet bANaH dvijottamaH // RKV_27.7 //
   nānyo hi daivataṃ tāta muktvā bāṇaṃ dvijottama /	na anyaH hi dEvatam tAta muktvA bANam dvijottamaH /
   tena satyena me bhartā jīvecca śaradāṃ śatam // RKV_27.8 //	tena satyena me BartA jIvet ca SaradAm Satam // RKV_27.8 //
   nānyo dharmo bhavet strīṇāṃ daivataṃ hi patiryathā /	na anyaH DarmaH Bavet strINAm dEvatam hi patiH yaTA /
   tathāpi tava vākyena dānaṃ dattaṃ yathāvidhi // RKV_27.9 //	taTA api tava vAkyena dAnam dattam yaTAviDi // RKV_27.9 //
   svakaṃ karma kariṣyāmo bhartāraṃ prati mānada /	svakam karma karizyAmaH BartAram prati mAnada /
   brahmarṣe gaccha cedānīṃ tvamāśīrvādaḥ pradīyatām // RKV_27.10 //	brahmarze gacCa ca idAnIm tvam ASIrvAdaH pradIyatAm // RKV_27.10 //
   tatheti tāmanujñāpya nārado nṛpasattama /	taTA iti tAm anujQApya nAradaH nRpa sattamaH /
   sarvāsāṃ mānasaṃ hṛtvā anyataḥ kṛtamānasaḥ // RKV_27.11 //	sarvAsAm mAnasam hRtvA anyatas kRta mAnasaH // RKV_27.11 //
   jagāmādarśanaṃ vipraḥ pūjyamānastu khecaraiḥ /	jagAma adarSanam vipraH pUjyamAnaH tu KecarEH /
   tato gatamanaskāstā bhartāraṃ prati bhārata // RKV_27.12 //	tatas gata m anaskAH tAH BartAram prati BArata // RKV_27.12 //
   vivarṇā niṣprabhā jātā nāradena vimohitāḥ // RKV_27.13 //	vivarNAH nizpraBAH jAtAH nAradena vimohitAH // RKV_27.13 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe narmadāmāhātmye tripurakṣobhaṇavarṇanaṃ nāma	Avantya KaNxe revAKaNxe narmadAmAhAtmye tripurakzoBaNavarNanam nAma
   saptaviṃśo 'dhyāyaḥ ||	saptaviMSaH aDyAyaH ||
   RKV adhyāya 28	RKV aDyAya 28
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   etasminn antare rudro narmadātaṭamāsthitaḥ /	etasmin antare rudraH narmadA tawam AsTitaH /
   krīḍate hyumayā sārddhaṃ nāradas tatra cāgataḥ // RKV_28.1 //	krIxate hi umayA sArdDam nAradaH tatra ca AgataH // RKV_28.1 //
   praṇamya devadeveśamumayā saha śaṅkaram /	praNamya devadeveSam umayA saha SaFkaram /
   vyajñāpayat tadā devaṃ yad vṛttaṃ tripure tadā // RKV_28.2 //	vyajQApayat tadA devam yat vRttam tripure tadA // RKV_28.2 //
   gato 'haṃ svāminirdeśād yatra tadbāṇamandiram /	gataH aham svAmi nirdeSAt yatra tad bANa mandiram /
   dṛṣṭā bāṇaṃ yathānyāyaṃ gato hyantaḥpuraṃ mahat // RKV_28.3 //	dRzwA bANam yaTAnyAyam gataH hi antaHpuram mahat // RKV_28.3 //
   tatra bhāryāsahasrāṇi dṛṣṭvā bāṇasya dhīmataḥ /	tatra BAryA sahasrANi dRzwvA bANasya DImataH /
   yathāyogyaṃ yathākāmam āgataḥ kṣobhya tatpuram // RKV_28.4 //	yaTAyogyam yaTAkAmam AgataH kzoBya tat puram // RKV_28.4 //
   nāradasya vacaḥ śrutvā sādhu sādhviti pūjayan /	nAradasya vacaH SrutvA sADu sADu iti pUjayan /
   cintayāmāsa deveśo bhramaṇaṃ tripurasya hi // RKV_28.5 //	cintayAmAsa deveSaH BramaNam tripurasya hi // RKV_28.5 //
   karamuktaṃ yathā cakraṃ viṣṇunā prabhaviṣṇunā /	karam uktam yaTA cakram vizNunA praBavizNunA /
   mahāvegaṃ mahāyāmaṃ rakṣitaṃ tejasā mama // RKV_28.6 //	mahA vegam mahA AyAmam rakzitam tejasA mama // RKV_28.6 //
   sa ca me bhaktinirato bāṇo loke ca viśrutaḥ /	sa ca me Bakti nirataH bANaH loke ca viSrutaH /
   bhāratī ca mayā dattā brāhmaṇānāṃ viśeṣataḥ // RKV_28.7 //	BAratI ca mayA dattA brAhmaNAnAm viSezataH // RKV_28.7 //
   evaṃ sa suciraṃ kālaṃ devadevo maheśvaraḥ /	evam sa su ciram kAlam devadevaH maheSvaraH /
   cintayitvā sunirvāṇaṃ kāryaṃ prati janeśvaraḥ // RKV_28.8 //	cintayitvA su nirvANam kAryam prati janeSvaraH // RKV_28.8 //
   tato 'sau mandaraṃ dhyātvā cāpe kṛtvā guṇe mahīm /	tatas asO mandaram DyAtvA cApe kRtvA guNe mahIm /
   viṣṇuṃ sanātanaṃ devaṃ bāṇe dhyātvā trilocanaḥ // RKV_28.9 //	vizNum sanAtanam devam bANe DyAtvA trilocanaH // RKV_28.9 //
   phale hutāśanaṃ devaṃ jvalantaṃ sarvatomukham /	Pale hutASanam devam jvalantam sarvatomuKam /
   suparṇaṃ puṅkhayor madhye jave vāyuṃ prakalpya ca // RKV_28.10 //	suparNam puFKayoH maDye jave vAyum prakalpya ca // RKV_28.10 //
   rathaṃ mahīmayaṃ kṛtvā dhuri tāvaśvināvubhau /	raTam mahI mayam kRtvA Duri tO= aSvinO= uBO /
