   1. (avidyāpratyayāḥ saṃskārāḥ)	1. (avidyA-pratyayAH saMskArAH)
   mohaparyavasthitaḥ (DhskD 8r8) kāyena duścaritaṃ carati / vācā manasā	moha-paryavasTitaH (DhskD 8r8) kAyena duScaritam carati / vAcA manasA
   duścaritaṃ carati idaṃ rūpasya / manasā duścaritaṃ caratīti idaṃ nāmasya /	duScaritam carati idam rUpasya / manasA duScaritam carati-iti idam nAmasya /
   ity etad akuśalaṃ nāmarūpaṃ pratītya duḥkhodayaṃ duḥkhavipākaṃ kāyasya	iti etat akuSalam nAma-rUpam pratItya duHKa-udayam duHKa-vipAkam kAyasya
   bhedān narakeṣūpapadyate / (DhskD 8r9) tatra ca sparśam abhinirvartayati /	BedAt narakezu-upapadyate / (DhskD 8r9) tatra ca sparSam aBinirvartayati /
   tad ucyate nāmarūpapratyayaḥ sparśa iti /	tat ucyate nAma-rUpa-pratyayaH sparSaH iti /
   yathā narakeṣv evaṃ tiryakpreteṣu /	yaTA narakezu evam tiryak-pretezu /
   yathā khalv ihaikatyo manuṣyasukhakeṣv avekṣāvān bhavati pratibaddhacitto	yaTA Kalu iha-ekatyaH manuzya-suKakezu avekzAvAn Bavati pratibadDa-cittaH-
   / vistareṇa (DhskD 8r10) yāvat / kāyena vācā sucaritaṃ caratīti idaṃ	/ vistareNa (DhskD 8r10) yAvat / kAyena vAcA su-caritam carati-iti idam
   rūpasya / manasā sucaritaṃ caratīti idaṃ rūpasya / manasā sucaritaṃ	rUpasya / manasA su-caritam carati-iti idam rUpasya / manasA su-caritam
   caratīti idaṃ nāmasyety / etat kuśalaṃ nāmarūpaṃ pratītya vistareṇa (DhskD	carati-iti idam nAmasya-iti / etat kuSalam nAma-rUpam pratItya vistareNa (DhskD
   8v1) yāvat / tatra ca sparśam abhinirvartayati / tad ucyate	8v1) yAvat / tatra ca sparSam aBinirvartayati / tat ucyate
   nāmarūpapratyayaḥ sparśa iti /	nAma-rUpa-pratyayaH sparSaH iti /
   yathā manuṣyasukhakeṣv evaṃ yāvat paranirmitavaśavartiṣu /	yaTA manuzya-suKakezu evam yAvat paranirmitavaSavartizu /
   yathā khalv ihaikatyo brahmakāyikānāṃ devānām avekṣāvān bhavati	yaTA Kalu iha-ekatyaH brahmakAyikAnAm devAnAm avekzAvAn Bavati
   pratibaddhacitto / (DhskD 8v2) yāvat / tathā samāpannasya yaḥ kāyasaṃvaro	pratibadDa-cittaH / (DhskD 8v2) yAvat / taTA samApannasya yaH kAya-saMvaraH-
   vāksaṃvaraḥ ājīvapariśuddhir idaṃ rūpasya tajjā vedanā saṃjñā saṃskārās	vAc-saMvaraH AjIva-pariSudDiH idam rUpasya tad-jAH vedanA saMjQA saMskAra-aH-
   tajjaṃ vijñānam idaṃ nāmasya / ity etat kuśalaṃ nāmarūpam pratītya	tad-jam vijQAnam idam nAmasya / iti etat kuSalam nAma-rUpam pratItya
   vistareṇa yāvat / tatra ca sparśam (DhskD 8v3) abhinirvartayati / tad	vistareNa yAvat / tatra ca sparSam (DhskD 8v3) aBinirvartayati / tat-
   ucyate nāmarūpapratyayaḥ sparśaḥ /	ucyate nAma-rUpa-pratyayaH sparSaH /
   yathā brahmakāyikānāṃ evaṃ yāvad asaṃjñisatvasaṃgṛhītānāṃ bṛhatphalānāṃ /	yaTA brahmakAyikAnAm evam yAvat asaMjQi-satva-saMgRhItAnAm bRhat-PalAnAm /
   api khalv evam uktaṃ bhagavatā mahānidānaparyāyesmin vyākaraṇe āyuṣmate	api Kalu evam uktam BagavatA mahAnidAna-paryAya-Ismin vyAkaraNe Ayuzmate
   (DhskD 8v4) ānandāya /	(DhskD 8v4) AnandAya /
   asti pratyayam ānanda sparśa iti / vistareṇa yāvat* / yeṣām ānandākārāṇāṃ	asti pratyayam Ananda sparSaH iti / vistareNa yAvat* / yezAm Ananda-AkArANAm
   yeṣām uddeśānāṃ sati nāmakāyasya prajñaptir bhavati teṣām ākārāṇāṃ teṣām	yezAm uddeSAnAm sati nAma-kAyasya prajQaptiH Bavati tezAm AkArANAm tezAm
   uddeśānām asaty api (DhskD 8v5) nu adhivacanasaṃsparśaḥ prajñāyeta / no	uddeSAnAm asati api (DhskD 8v5) nu aDivacana-saMsparSaH prajQAyeta / no
   bhadanta / yeṣām ānandākārāṇāṃ yeṣām uddeśānāṃ sati rūpakāyasya prajñaptir	Badanta / yezAm Ananda-AkArANAm yezAm uddeSAnAm sati rUpa-kAyasya prajQaptiH-
   bhavati teṣām ākārāṇāṃ teṣām uddeśānāṃ asaty api nu pratighasaṃsparśaḥ	Bavati tezAm AkArANAm tezAm uddeSAnAm asati api nu pratiGa-saMsparSaH
   prajñāyeta / (DhskD 8v6) no bhadanta / sarvaśo vā punar ānanda	prajQAyeta / (DhskD 8v6) naH Badanta / sarvaSas vA punar Ananda
   nāmakāyarūpakāyānām asati api nu sparśo vā prajñāyeta sparśaprajñaptir vā	nAma-kAya-rUpa-kAyAnAm asati api nu sparSaH vA prajQAyeta sparSa-prajQaptiH vA
   / no bhadanta / tasmād dhy ānandaitan nidānaṃ vistareṇa yāvad / idaṃ mayā	/ naH Badanta / tasmAt Di Ananda-etat nidAnam vistareNa yAvat / idam mayA
   yad (DhskD 8v7) uktam idaṃ me tat pratyuktaṃ /	yat (DhskD 8v7) uktam idam me tat pratyuktam /
   7. (ṣaḍāyatanapratyayaḥ sparśaḥ)	7. (zaz-Ayatana-pratyayaH sparSaH)
   trayāṇāṃ sannipātāc cakṣur ādhyātmikaṃ tathā	trayANAm sannipAtAt cakzuH ADyAtmikam taTA
   cakṣuṣṭo rūpataś caivaṃ na cakṣuṣṭo na rūpataḥ //	cakzuzwaH rUpataH ca-evam na cakzuzwaH na rUpataH //
   ṣaḍāyatanapratyayaḥ sparśaḥ katama / āha / cakṣuḥ pratītya rūpāṇi	zaz-Ayatana-pratyayaH sparSaH katamaH / Aha / cakzuH pratItya rUpANi
   cotpadyate cakṣurvijñānaṃ / (DhskD 8v8) trayāṇāṃ saṃnipātaḥ sparśaḥ /	ca-utpadyate cakzuH-vijQAnam / (DhskD 8v8) trayANAm saMnipAtaH sparSaH /
   evaṃ śrotraghrāṇajihvākāyamanaḥ pratītya dharmāṃś cotpadyate manovijñānaṃ	evam Srotra-GrANa-jihvA-kAyamanaH pratItya DarmAn ca-utpadyate manaH-vijQAnam
   / trayāṇāṃ sannipātāt sparśas / tad ucyate ṣaḍāyatanapratyayaḥ sparśa iti	/ trayANAm sannipAtAt sparSaH / tat ucyate zaz-Ayatana-pratyayaH sparSaH iti
   api khalu (DhskD 8v9) cakṣuḥ pratītya rūpāṇi cotpadyate cakṣurvijñānaṃ /	api Kalu (DhskD 8v9) cakzuH pratItya rUpANi ca-utpadyate cakzuH-vijQAnam /
   trayāṇāṃ sannipātāt sparśaḥ / tatra cakṣur ādhyātmikam āyatanaṃ rūpaṃ ca	trayANAm sannipAtAt sparSaH / tatra cakzuH ADyAtmikam Ayatanam rUpam ca
   bāhyaṃ pratyayaṃ cakṣuḥsaṃsparśasya / tad ucyate ṣaḍāyatanapratyayaḥ	bAhyam pratyayam cakzuH-saMsparSasya / tat ucyate zaz-Ayatana-pratyayaH
   sparśa iti /	sparSaH iti /
   evaṃ (DhskD 8v10) śrotraṃ ghrāṇaṃ jihvā kāyo /	evam (DhskD 8v10) Srotram GrANam jihvA kAyaH /
   manaḥ pratītya dharmāṃś cotpadyate manovijñānaṃ / (trayāṇāṃ saṃni)pātāt	manaH pratItya DarmAn ca-utpadyate manaH-vijQAnam / (trayANAm saMni)pAtAt-
   sparśaḥ / tatra mana ādhyātmikam āyatanaṃ dharmāś ca bāhyaṃ pratyayaṃ	sparSaH / tatra manaH ADyAtmikam Ayatanam DarmAH ca bAhyam pratyayam
   manaḥsaṃsparśasya / tad ucyate ṣaḍāyata)napratyayaḥ (DhskD 9r1) sparśa iti	manaH-saMsparSasya / tat ucyate zaz-Ayata)na-pratyayaH (DhskD 9r1) sparSaH iti
   api khalu cakṣuḥ pratītya rūpāṇi cotpadyate cakṣurvijñānaṃ / trayāṇāṃ	api Kalu cakzuH pratItya rUpANi ca-utpadyate cakzuH-vijQAnam / trayANAm
   sannipātāt sparśaḥ / cakṣuṣṭo rūpataś ca cakṣurvijñānataḥ /	sannipAtAt sparSaH / cakzuzwaH rUpataH ca cakzuH-vijQAnataH /
   evaṃ śrotraghrāṇajihvākāyamano vaktavyam /	evam Srotra-GrANa-jihvA-kAya-manaH vaktavyam /
   api khalu cakṣuḥ pratītya (DhskD 9r2) rūpāṇi cotpadyate cakṣurvijñānaṃ /	api Kalu cakzuH pratItya (DhskD 9r2) rUpANi ca-utpadyate cakzuH-vijQAnam /
   trayāṇāṃ sannipātāt* sparśaḥ / tatra sacakṣu + + + + rūpāṇi na	trayANAm sannipAta-at* sparSaH / tatra sa-cakzu + + + + rUpANi na
   cakṣurvijñānaṃ / yā tv eṣā trayāṇāṃ dharmāṇāṃ saṃgatiḥ sannikarṣaḥ	cakzuH-vijQAnam / yA tu ezA trayANAm DarmANAm saMgatiH sannikarzaH
   sannipātaḥ saṃsparśaḥ /	sannipAtaH saMsparSaH /
   evaṃ śrotraghrāṇajihvākāyamano (DhskD 9r3) vaktavyaṃ /	evam Srotra-GrANa-jihvA-kAya-manaH (DhskD 9r3) vaktavyam /
   manaḥ pratītya dharmāṃś cotpadyate manovijñānaṃ / yā tv eṣā trayāṇāṃ	manaH pratItya DarmAn ca-utpadyate manaH-vijQAnam / yA tu ezA trayANAm
   dharmāṇāṃ saṃgatiḥ sannikarṣaḥ samavāyaḥ saṃsparśaḥ tad ucyate	DarmANAm saMgatiH sannikarzaH samavAyaH saMsparSaH tat ucyate
   ṣaḍāyatanapratyayaḥ sparśa / iti sparśaḥ ṣaḍāyatanam (DhskD 9r4) āgamya	zaz-Ayatana-pratyayaH sparSaH / iti sparSaH zaz-Ayatanam (DhskD 9r4) Agamya
   ṣaḍāyatanaṃ niśritya ṣaḍāyatanaṃ pratiṣṭhāya utpadyate samutpadyate jāyate	zaz-Ayatanam niSritya zaz-Ayatanam pratizWAya utpadyate samutpadyate jAyate
   saṃjāyate nirvartayaty abhinirvartayati samudāgacchati prādurbhavati /	saMjAyate nirvartayati aBinirvartayati samudAgacCati prAdurBavati /
   ayam ucyate ṣaḍāyatanapratyayaḥ (DhskD 9r5) sparśa iti /	ayam ucyate zaz-Ayatana-pratyayaH (DhskD 9r5) sparSaH iti /
   8. (sparśapratyayā vedanā)	8. (sparSa-pratyayAH vedanA)
   trayāṇāṃ sannipātāj jāyate yā hi vedanā	trayANAm sannipAtAt jAyate yA hi vedanA
   sukhavedanīyaḥ sparśaḥ ghoṣilānanda eva ca //	suKa-vedanIyaH sparSaH Gozila-AnandaH eva ca //
   uddānaṃ //	uddAnam //
   sparśapratyayā vedanā katamā / āha / cakṣuḥ pratītya rūpāṇi cotpadyate	sparSa-pratyayAH vedanA katamA / Aha / cakzuH pratItya rUpANi ca-utpadyate
   (DhskD 9r6) cakṣurvijñānaṃ / trayāṇāṃ sannipātāt* sparśaḥ / sparśapratyayā	(DhskD 9r6) cakzuH-vijQAnam / trayANAm sannipAta-at* sparSaH / sparSa-pratyayA
   vedanā /	vedanA /
   evaṃ śrotraghrāṇajihvākāyamanaḥ pratītya dharmāṃś cotpadyate manovijñānaṃ	evam Srotra-GrANa-jihvA-kAyamanaH pratItya DarmAn ca-utpadyate manaH-vijQAnam
   / trayāṇāṃ sannipātāt* sparśaḥ / sparśapratyayā vedanā / (DhskD 9r7)	/ trayANAm sannipAta-at* sparSaH / sparSa-pratyayAH vedanA / (DhskD 9r7)
   api khalu cakṣuḥ pratītya rūpāṇi cotpadyate cakṣurvijñānaṃ / trayāṇāṃ	api Kalu cakzuH pratItya rUpANi ca-utpadyate cakzuH-vijQAnam / trayANAm
   sannipātāt* sparśaḥ sukhavedanīyo duḥkhavedanīyo 'duḥkhāsukhavedanīyaḥ /	sannipAta-at* sparSaH suKa-vedanIyaH duHKa-vedanIyaH aduHKa-asuKa-vedanIyaH /
   tat khalu sukhavedanīyaṃ sparśaṃ pratītyotpadyate (DhskD 9r8) sukhā	tat Kalu suKa-vedanIyam sparSam pratItya-utpadyate (DhskD 9r8) suKA
   vedanāsukhavedanīyaṃ sparśaṃ pratītyotpadyate duḥkhā vedanā /	vedanA-suKa-vedanIyam sparSam pratItya-utpadyate duHKAH vedanA /
   aduḥkhāsukhavedanīyaṃ sparśaṃ pratītyotpadyate duḥkhā vedanā /	aduHKa-asuKa-vedanIyam sparSam pratItya-utpadyate duHKAH vedanA /
   aduḥkhāsukhavedanīyaṃ sparśaṃ pratītyotpadyate aduḥkhāsukhā (DhskD 9r9)	aduHKa-asuKa-vedanIyam sparSam pratItya-utpadyate aduHKa-asuKAH (DhskD 9r9)
   vedanā / tad ucyate sparśapratyayā vedanā /	vedanA / tat ucyate sparSa-pratyayAH vedanA /
   api khalv evam uktam āyuṣmatā ānandena ghoṣilasya gṛhapater /	api Kalu evam uktam AyuzmatA Anandena Gozilasya gRhapateH /
   anyo ca gṛhapate cakṣurdhātur anyo rūpadhātur anyaś cakṣurvijñānadhātuḥ /	anyaH ca gRhapate cakzuH-DAtuH anyaH rUpa-DAtuH anyaH cakzuH-vijQAna-DAtuH /
   sukhavedanīyaṃ gṛhapate (DhskD 9r10) dvayaṃ pratītya vijñānasyotpādo	suKa-vedanIyam gRhapate (DhskD 9r10) dvayam pratItya vijQAnasya-utpAdaH-
   bhavati / trayāṇāṃ sannipātāt* sparśaḥ / tat khalu sukhavedanīyaṃ sparśaṃ	Bavati / trayANAm sannipAta-at* sparSaH / tat Kalu suKa-vedanIyam sparSam
   pratītyotpadyate sukhā vedanā / anya eva yāvad / duḥkhavedanīyaṃ gṛhapate	pratItya-utpadyate suKAH vedanA / anyaH eva yAvat / duHKa-vedanIyam gRhapate
   dvayaṃ pratītya (DhskD 9v1) vijñānasyotpādo bhavati / trayāṇāṃ sannipātāt*	dvayam pratItya (DhskD 9v1) vijQAnasya-utpAdaH Bavati / trayANAm sannipAtAt-*
   sparśaḥ duḥkhavedanīyaḥ / tat khalu duḥkhavedanīyaṃ sparśaṃ	sparSaH duHKa-vedanIyaH / tat Kalu duHKa-vedanIyam sparSam
   pratītyotpadyate duḥkhā vedanā / anya eva yāvad / aduḥkhāsukhavedanīyaṃ	pratItya-utpadyate duHKAH vedanA / anyaH eva yAvat / aduHKa-asuKa-vedanIyam
   gṛhapate dvayaṃ pratītya vijñānasyotpādo (DhskD 9v2) bhavati / trayāṇāṃ	gRhapate dvayam pratItya vijQAnasya-utpAdaH (DhskD 9v2) Bavati / trayANAm
   sannipātaḥ sparśaḥ aduḥkhāsukhavedanīyaḥ / tat khalv aduḥkhāsukhavedanīyaṃ	sannipAtaH sparSaH aduHKa-asuKa-vedanIyaH / tat Kalu aduHKa-asuKa-vedanIyam
   sparśaṃ pratītyotpadyate aduḥkhāsukhā vedanā /	sparSam pratItya-utpadyate aduHKa-asuKA vedanA /
   anya eva gṛhapate śrotraghrāṇajihvākāyamanodhātur anyo dharmadhātur (DhskD	anyaH eva gRhapate Srotra-GrANa-jihvA-kAya-manaH-DAtuH anyaH DarmaDAtuH (DhskD
   9v3) anyo manovijñānadhātuḥ / sukhavedanīyaṃ gṛhapate dvayaṃ pratītya	9v3) anyaH manaH-vijQAna-DAtuH / suKa-vedanIyam gRhapate dvayam pratItya
   vistareṇa yathā pūrvoktaṃ / tad ucyate sparśapratyayā vedanā /	vistareNa yaTA pUrva-uktam / tat ucyate sparSa-pratyayAH vedanA /
   api khalv evam uktaṃ bhagavatā mahānidānaparyāyesmin vyākaraṇe āyuṣmate	api Kalu evam uktam BagavatA mahAnidAna-paryAya-Ismin vyAkaraNe Ayuzmate
   ānandāya / (DhskD 9v4)	AnandAya / (DhskD 9v4)
   asti pratyayam ānanda vedanā vistareṇa yāvac / cakṣuḥsaṃsparśaś ced ānanda	asti pratyayam Ananda vedanA vistareNa yAvat / cakzuH-saMsparSaH ced Ananda
   nābhaviṣyad api nu cakṣuḥsaṃsparśapratyayam adhyātmam utpadyeta sukhaṃ vā	na-aBavizyat api nu cakzuH-saMsparSa-pratyayam aDyAtmam utpadyeta suKam vA
   duḥkhaṃ vā aduḥkhāsukhaṃ vā / no bhadanta /	duHKam vA aduHKa-asuKam vA / naH Badanta /
   evaṃ śrotraghrāṇajihvākāyamahaḥsaṃsparśaḥ (DhskD 9v5) ced ānanda	evam Srotra-GrANa-jihvA-kAyam-ahaH-saMsparSaH (DhskD 9v5) ced Ananda
   nābhaviṣyad api nu manaḥsaṃsparśapratyayam adhyātmaṃ utpadyeta veditaṃ	na-aBavizyat api nu manaH-saMsparSa-pratyayam aDyAtmam utpadyeta veditam
   sukhaṃ vā duḥkhaṃ vā aduḥkhāsukhaṃ vā / no bhadanta / sarvaśo vā ānanda	suKam vA duHKam vA aduHKa-asuKam vA / naH Badanta / sarvaSas vA Ananda
   sparśe asati (DhskD 9v6) vedanā prajñāyeta / no bhadanta / tasmād dhy	sparSe asati (DhskD 9v6) vedanA prajQAyeta / naH Badanta / tasmAt Dy
   ānandaitan nidānaṃ vistareṇa yāvad / idaṃ mayā yad uktam idaṃ tat	Ananda-etat nidAnam vistareNa yAvat / idam mayA yat uktam idam tat-
   pratyuktaṃ //	pratyuktam //
   9. (vedanāpratyayā tṛṣṇā)	9. (vedanA-pratyayA tRzNA)
   uddānaṃ //	uddAnam //
   cakṣuḥ pratītyāsvādaṃ dvau skandhau āyatanau	cakzuH prati-iti-AsvAdam dvO skanDO AyatanO
   guhyenāparadvayaṃ mahānāmā (DhskD 9v7) licchaviś caiva	guhyena-apara-dvayam mahAnAmA (DhskD 9v7) licCaviH ca-eva
   nidānaṃ pūrṇamāsikaṃ //	nidAnam pUrNamAsikam //
   vedanāpratyayā tṛṣṇā katamā / āha / cakṣuḥ pratītya rūpāṇi cotpadyate	vedanA-pratyayA tRzNA katamA / Aha / cakzuH pratItya rUpANi ca-utpadyate
   cakṣurvijñānaṃ / trayāṇāṃ sannipātaḥ sparśaḥ / sparśapratyayā vedanā /	cakzuH-vijQAnam / trayANAm sannipAtaH sparSaH / sparSa-pratyayAH vedanA /
   vedanāpratyayā (DhskD 9v8) tṛṣṇā /	vedanA-pratyayAH (DhskD 9v8) tRzNA /
   evaṃ śrotraghrāṇajihvākāyamanaḥ pratītya dharmāṃś cotpadyate manovijñānaṃ	evam Srotra-GrANa-jihvA-kAyamanaH pratItya DarmAn ca-utpadyate manaH-vijQAnam
   / trayāṇāṃ sannipātāt sparśaḥ / sparśapratyayā vedanā / vedanāpratyayā	/ trayANAm sannipAtAt sparSaH / sparSa-pratyayA vedanA / vedanA-pratyayA
   tṛṣṇā / tad ucyate vedanāpratyayā tṛṣṇā /	tRzNA / tat ucyate vedanA-pratyayA tRzNA /
   api khalu cakṣurāsvādaṃ (DhskD 9v9) vedayitaṃ pratītya bhūyo bhūyaś	api Kalu cakzuH-AsvAdam (DhskD 9v9) vedayitam pratItya BUyas BUyas-
   cakṣuṣi apratikūlatā saṃtiṣṭhate / apratikūle sati bhūyo bhūyaś cakṣuṣi	cakzuzi apratikUla-tA saMtizWate / apratikUle sati BUyas BUyas cakzuzi
   utpadyate rāgaḥ saṃrāgaḥ ālayo niyantir adhyavasānaṃ tṛṣṇā /	utpadyate rAgaH saMrAgaH AlayaH niyantiH aDyavasAnam tRzNA /
   evaṃ śrotraghrāṇajihvākāyamanaḥāsvādaṃ (DhskD 9v10) vedayitavyṃ pratītya	evam Srotra-GrANa-jihvA-kAya-manaHa-AsvAdam (DhskD 9v10) vedayitavym pratItya
   bhūyo bhūyo manasi apratikūlatā saṃtiṣṭhate / apratikūle sati bhūyo bhūyo	BUyas BUyas manasi apratikUla-tA saMtizWate / apratikUle sati BUyas BUyo
   manasy utpadyate rāgaḥ saṃrāgaḥ ālayo niyantir adhyavasānaṃ vā tṛṣṇā / tad	manasi utpadyate rAgaH saMrAgaH AlayaH niyantiH aDyavasAnam vA tRzNA / tat-
   ucyate (DhskD 10r1) vedanāpratyayā tṛṣnā /	ucyate (DhskD 10r1) vedanA-pratyayA tRznAH /
   api khalv evam uktaṃ bhagavatā paṃcopādānaskandhike vyākaraṇe /	api Kalu evam uktam BagavatA paMca-upAdAna-skanDike vyAkaraNe /
   rūpasyāhaṃ bhikṣavaḥ āsvādaparyeṣaṇām acārṣaṃ / yo rūpe āsvādas tam	rUpasya-aham BikzavaH AsvAda-paryezaNAm acArzam / yaH rUpe AsvAdaH tam
   anvabhotsyaṃ yāvad rūpe āsvādaḥ prajñayā me sudṛṣṭa / ity etad rūpāsvādaṃ	anvaBotsyam yAvat rUpe AsvAdaH prajQayA me su-dRzwaH / iti etat rUpa-AsvAdam
   (DhskD 10r2) vedayitaṃ pratītya bhūyo bhūyo rūpe apratikūlatā saṃtiṣṭhate	(DhskD 10r2) vedayitam pratItya BUyas BUyas rUpe apratikUla-tA saMtizWate
   / apratikūle sati bhūyo bhūyo rūpe utpadyate rāgaḥ saṃrāgaḥ ālayo niyantir	/ apratikUle sati BUyas BUyas rUpe utpadyate rAgaH saMrAgaH AlayaH niyantiH-
   adhyavasānaṃ tṛṣṇā / tad ucyate vedanāpratyayā tṛṣṇā /	aDyavasAnam tRzNA / tat ucyate vedanA-pratyayA tRzNA /
   evaṃ vedanāyāḥ (DhskD 10r3) saṃjñāyāḥ saṃskārāṇāṃ	evam vedanAyAH (DhskD 10r3) saMjQAyAH saMskArANAm
   vijñānasyāhaṃ bhikṣavaḥ āsvādaparyeṣaṇām acārṣaṃ / yo vijñāne āsvādas tam	vijQAnasya-aham BikzavaH AsvAda-paryezaNAm acArzam / yaH vijQAne AsvAdaH tam
   anvabhotsyaṃ yāvad vijñāne āsvādaḥ prajñayā me sudṛṣṭa / ity etad	anvaBotsyam yAvat vijQAne AsvAdaH prajQayA me su-dRzwaH / iti etat-
   vijñānāsvādaṃ vedayitaṃ pratītya bhūyo bhūyo vijñāne apratikūlatā (DhskD	vijQAna-AsvAdam vedayitam pratItya BUyas BUyas vijQAne apratikUla-tA (DhskD
   10r4) saṃtiṣṭhate / apratikūle sati bhūyo bhūyo vijñāne utpadyate rāgaḥ	10r4) saMtizWate / apratikUle sati BUyas BUyas vijQAne utpadyate rAgaH
   saṃrāgaḥ ālayo niyantir adhyavasānaṃ tṛṣṇā / tad ucyate vedanāpratyayā	saMrAgaH AlayaH niyantiH aDyavasAnam tRzNA / tat ucyate vedanA-pratyayA
   tṛṣṇā /	tRzNA /
   api khalv evam uktaṃ bhagavatā paṃcopādānaskandhike vyākaraṇe / (DhskD	api Kalu evam uktam BagavatA paMca-upAdAna-skanDike vyAkaraNe / (DhskD
   10r5)	10r5)
   rūpe ced bhikṣava āsvādo na bhaven neme satvā rūpe saṃrajyeran* / yasmāt	rUpe ced BikzavaH AsvAdaH na Bavet na-ime satvAH rUpe saMrajyeran* / yasmAt-
   tu bhikṣavo 'sti rūpe āsvādaḥ teneme satvā rūpe saṃrajyante / ity etad	tu BikzavaH asti rUpe AsvAdaH tena-ime satvAH rUpe saMrajyante / iti etat-
   rūpāsvādaṃ vedayitam pratītya bhūyo vistareṇa yāvad utpadyate tṛṣṇā /	rUpa-AsvAdam vedayitam pratItya BUyas vistareNa yAvat utpadyate tRzNA /
   (DhskD 10r6) vedanāyāṃ saṃjñāyāṃ saṃskāreṣu	(DhskD 10r6) vedanAyAm saMjQAyAm saMskArezu
   vijñāne ced bhikṣavaḥ āsvādo na bhaven neme satvā vijñāne saṃrajyeran* /	vijQAne ced BikzavaH AsvAdaH na Bavet na-ime satvAH vijQAne saMrajyeran* /
   yasmāt tu bhikṣavo 'sti vijñāne āsvādas tasmād ime satvā vijñāne	yasmAt tu BikzavaH asti vijQAne AsvAdaH tasmAt ime satvAH vijQAne
   saṃrajyante / ity etad vijñānāsvādavedayitaṃ pratītya bhūyo (DhskD 10r7)	saMrajyante / iti etat vijQAna-AsvAda-vedayitam pratItya BUyas (DhskD 10r7)
   bhūyo vistareṇa yāvad utpadyate tṛṣṇā / tad ucyate vedanāpratyayā tṛṣṇā /	BUyas vistareNa yAvat utpadyate tRzNA / tat ucyate vedanA-pratyayA tRzNA /
   api khalv evam uktaṃ bhagavatā ṣaḍāyatanike vyākaraṇe /	api Kalu evam uktam BagavatA zaz-Ayatanike vyAkaraNe /
   cakṣuṣo 'haṃ bhikṣava āsvādaparyeṣaṇām acārṣaṃ / yaś cakṣuṣi āsvādas tam	cakzuzaH aham BikzavaH AsvAda-paryezaNAm acArzam / yaH cakzuzi AsvAdaH tam
   anvabhotsyan / yāvāṃś cakṣuṣy āsvādaḥ (DhskD 10r8) prajñayā me sa sudṛṣṭaḥ	anvaBotsyan / yAvAn cakzuzi AsvAdaH (DhskD 10r8) prajQayA me sa su-dRzwaH
   / ity etac cakṣuṣa āsvādaṃ vedayitaṃ pratītya bhūyo vistareṇa yāvat tṛṣṇā	/ iti etat cakzuzaH AsvAdam vedayitam pratItya BUyas vistareNa yAvat tRzNA
   / tad ucyate vedanāpratyayā tṛṣṇā /	/ tat ucyate vedanA-pratyayA tRzNA /
   evaṃ śrotraghrāṇajihvākāyamanaso 'haṃ bhikṣavaḥ āsvādaparyeṣaṇām acārṣaṃ /	evam Srotra-GrANa-jihvA-kAya-manasaH aham BikzavaH AsvAda-paryezaNAm acArzam /
   yo (DhskD 10r9) manasy āsvādas taṃ anvabhotsyaṃ yāvan manasy āsvādaḥ	yaH (DhskD 10r9) manasi AsvAdaH tam anvaBotsyam yAvat manasi AsvAdaH
   prajñayā me sa sudṛṣṭa / ity etan manasa āsvādavedayitaṃ pratītya bhūyo	prajQayA me sa su-dRzwaH / iti etat manasaH AsvAda-vedayitam pratItya BUyo
   vistareṇa yāvat tṛṣṇā / tad ucyate vedanāpratyayā tṛṣṇā /	vistareNa yAvat tRzNA / tat ucyate vedanA-pratyayA tRzNA /
   api khalv evam uktaṃ bhagavatā ṣaḍāyantike (DhskD 10r10) vyākaraṇe /	api Kalu evam uktam BagavatA zaz-Ayantike (DhskD 10r10) vyAkaraNe /
   cakṣuṣi bhikṣava āsvādaś cen na bhaven neme satvāś cakṣuṣi saṃrajyeran* /	cakzuzi BikzavaH AsvAdaH ced na Bavet na-ime satvAH cakzuzi saMrajyeran* /
   yasmād bhikṣavaḥ asti cakṣuṣv āsvādas tasmād ime satvāś cakṣuṣi	yasmAt BikzavaH asti cakzuzu AsvAdaH tasmAt ime satvAH cakzuzi
   saṃrajyante / ity etac cakṣurāsvādaṃ vedayitaṃ vistareṇa pratītya yāvat	saMrajyante / iti etat cakzuH-AsvAdam vedayitam vistareNa pratItya yAvat-
   tṛṣṇā / tad ucyate (DhskD 10v1) vedanāpratyayā tṛṣṇā /	tRzNA / tat ucyate (DhskD 10v1) vedanA-pratyayA tRzNA /
   evaṃ śrotraghrāṇajihvāyāṃ kāyemanasi ced bhikṣavaḥ āsvādo na bhaven neme	evam Srotra-GrANa-jihvAyAm kAyemanasi ced BikzavaH AsvAdaH na Bavet na-ime
   satvā manasi saṃrajyeran* / yasmāt tu bhikṣavo 'sti manasy āsvādas tasmād	satvAH manasi saMrajyeran* / yasmAt tu BikzavaH asti manasi AsvAdaH tasmAt-
   ime satvā manasi saṃrajyante / ity etan manasa āsvādavedayitaṃ (DhskD	ime satvAH manasi saMrajyante / iti etat manasaH AsvAda-vedayitam (DhskD
   10v2) pratītya bhūyo bhūyo manasy apratikūlatā saṃtiṣṭhate / vistareṇa	10v2) pratItya BUyas BUyas manasi apratikUla-tA saMtizWate / vistareNa
   yāvat tṛṣṇā / tad ucyate vedanāpratyayā tṛṣṇā /	yAvat tRzNA / tat ucyate vedanA-pratyayA tRzNA /
