   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   acāmaro 'py eṣa sateva vījyate vilāsavālavyajanena ko 'pi ayam // PNc_4.31	acAmaraH api eza satA-iva vIjyate vilAsa-vAla-vyajanena kaH api ayam // PNc_4.31
   priyā iyam ārūḍhaguṇā suvaṃśabhūr na cāntikaṃ cāpalatāsya muñcati /	priyA iyam ArUXa-guNA su-vaMSa-BUH na ca-antikam cApalatA-asya muQcati /
   ime pṛṣatkā api pārthivaśriyo vilāsakarṇotpalapallavā iva // PNc_4.32 //	ime pRzatkAH api pArTiva-SriyaH vilAsa-karNa-utpala-pallavAH iva // PNc_4.32 //
   itaḥ śilotsaṅgatale niṣeduṣā divaścyuteneva kuraṅgalakṣmaṇā /	itas SilA-utsaFga-tale nizeduzA divaH-cyutena-iva kuraFga-lakzmaNA /
   adhas taruṇām amunā vinīyate kṣaṇaṃ mṛgavyopanataḥ pariśramaḥ // PNc_4.33	aDas taruNAm amunA vinIyate kzaNam mRga-vyopanataH pariSramaH // PNc_4.33
   ayaṃ sa na syān navasāhasāṅka ity anaṅgalīlāsu kṛtī bhuvaḥpatiḥ /	ayam sa na syAt nava-sAhasa-aFkaH iti anaFga-lIlAsu kRtI BuvaHpatiH /
   sa yena mukto nijanāmalāñchitaḥ śaśiprabhākelikuraṅgake śaraḥ // PNc_4.34	sa yena muktaH nija-nAma-lAQCitaH SaSi-praBA-keli-kuraFgake SaraH // PNc_4.34
   ayaṃ sa no hāra ivāsya dṛśyate karodare pallavapāṭalatviṣi /	ayam sa naH hAraH iva-asya dRSyate kara-udare pallava-pAwala-tvizi /
   itaḥ kim etasya na saikate saḥ kiṃ sitacchado locanagocaraṃ gataḥ //	itas kim etasya na sEkate saH kim sitacCadaH locana-gocaram gataH //
   PNc_4.35 //	PNc_4.35 //
   suvarṇapuṅkhe likhitaṃ śilīmukhe tad asya nāmāsti samānam ākṛteḥ /	suvarNa-puFKe liKitam SilImuKe tat asya nAma-asti samAnam AkRteH /
   yad adbhutām ekapade pṛṣatkatām agād anaṅgasya śaśiprābhāṃ prati //	yat adButAm eka-pade pRzatka-tAm agAt anaFgasya SaSi-prABAm prati //
   PNc_4.36 //	PNc_4.36 //
   anena ced yogam upaiti daivataḥ phanīndrakanyā śaśineva rohiṇī /	anena ced yogam upEti dEvataH PanIndra-kanyA SaSinA-iva rohiNI /
   analpalāvaṇyatiraskṛtopamaṃ vapus tad asyāḥ saphalatvam eṣyati // PNc_4.37	analpa-lAvaNya-tiraskRta-upamam vapuH tat asyAH saPala-tvam ezyati // PNc_4.37
   vidhātum enām aham eva vā kṣamā mitodarīm aṅkatale 'sya ko vidhiḥ /	viDAtum enAm aham eva vA kzamA mita-udarIm aFka-tale asya kaH viDiH /
   mamedṛśe yadviṣaye vimatsarāḥ stuvanti sakhyo masṛṇoktisauṣṭhavam //	mama-IdRSe yat-vizaye vimatsarAH stuvanti saKyaH masRNA-ukti-sOzWavam //
   PNc_4.38 //	PNc_4.38 //
   sahāmunā kiṃcidupāntavartinā vadaty asaūdgatadantadīdhitiḥ /	saha-amunA kiMcid-upAnta-vartinA vadati asaUt-gata-danta-dIDitiH /
   kutūhalākṣiptanimeṣalāsyayā vilokayan mām iva dīrghayā dṛśā // PNc_4.39 //	kutUhala-Akzipta-nimeza-lAsyayA vilokayan mAm iva dIrGayA dRSA // PNc_4.39 //
   pāṭalāyāḥsamīpagamanam	pAwalAyAH-samIpa-gamanam
   athādhigantuṃ kila tasya patriṇo gatiṃ vanānte katham apy alakṣitām /	aTa-aDigantum kila tasya patriNaH gatim vanAnte kaTam api alakzitAm /
   tam abhyagāt sā nṛpatiṃ sacāmarā sarit saphenā nidhim ambhasām iva //	tam aByagAt sA nRpatim sa-cAmarA sarit sa-PenAH niDim amBasAm iva //
   PNc_4.40 //	PNc_4.40 //
   samuccaran nūpurasinncitaiḥ padair yathā yathā saṃmukham ājagāma sā /	samuccaran nUpura-sinncitEH padEH yaTA yaTA saMmuKam AjagAma sA /
   tayāyatākṣyeva tathātatheritā dṛg asya paścād apasāram ādade // PNc_4.41	tayA-Ayata-akzyeva taTA-taTA-IritAH dRS asya paScAt apasAram Adade // PNc_4.41
   śanais tatas tāṃ savidhopasarpaṇīṃ nirīkṣya hāraṃ pidadhe narādhipaḥ /	SanEs tatas tAm saviDa-upasarpaNIm nirIkzya hAram pidaDe narADipaH /
   nijottarīyeṇa sitena mārutaḥ śaraddhaneneva śaśāṅkamaṇḍalam // PNc_4.42 //	nija-uttarIyeNa sitena mArutaH Sarad-Danena-iva SaSAFka-maNxalam // PNc_4.42 //
   payodharotsaṅganivāsalālitaṃ vyadhād imaṃ pannagarājakanyakā /	payoDara-utsaFga-nivAsa-lAlitam vyaDAt imam pannaga-rAja-kanyakA /
   iti prarohadbahumānamantharo babhūva tasminn avanīpurandaraḥ // PNc_4.43	iti prarohat-bahu-mAna-manTaraH baBUva tasmin avanIpurandaraH // PNc_4.43
   analpalāvaṇyavilāsajanmabhūr vicitraratnadyutibhāsvarormikā /	analpa-lAvaNya-vilAsa-janma-BUH vicitra-ratna-dyuti-BAsvara-UrmikA /
   tamiddhamuktābharaṇaṃ bhuvaḥpatiṃ payodhiveleva suvelam āpa sā // PNc_4.44	tam-idDa-mukta-ABaraNam BuvaHpatim payoDi-velA-iva suvelam Apa sA // PNc_4.44
   avāpa devaḥ śriyam antikasthayā tayā sa vālavyajanāṅkahastayā /	avApa devaH Sriyam antika-sTayA tayA sa vAla-vyajana-aFka-hastayA /
   niṣevyamāṇaḥ sphuṭalakṣyadehayā narendralakṣmyeva yaśaḥsametayā //	nizevyamANaH sPuwa-lakzya-dehayA narendra-lakzmyA-iva yaSaH-sametayA //
   PNc_4.45 //	PNc_4.45 //
   pāṭalākṛtaḥ satkāraḥ	pAwalA-kRtaH satkAraH
   vibhinnacūrṇālakabhakti kurvatī vikīrṇacūḍāmaṇicandrikaṃ śiraḥ /	viBinna-cUrNa-alaka-Bakti kurvatI vikIrNa-cUxAmaNi-candrikam SiraH /
   athānubhavena nideśiteva sā nanāma māninyavaśā viśāṃpatim // PNc_4.46 //	aTa-anuBavena nideSitA-iva sA nanAma mAninya-vaSAH viSAMpatim // PNc_4.46 //
   dṛśā narendreṇa nideśite svayaṃ śilātale nātividūravartini /	dRSA narendreNa nideSite svayam SilA-tale na-ati-vidUra-vartini /
   upāviśat sā raśanāmaṇitviṣā niṣicyamāne 'maracāpaśobhini // PNc_4.47 //	upAviSat sA raSanAmaNi-tvizAH nizicyamAne amara-cApa-SoBini // PNc_4.47 //
   ramāṅgadavākyam	ramAFgada-vAkyam
   tayātidīrghair daśanānupātibhir vikṛṣyamāṇām iva bhūṣaṇāṃśubhiḥ /	tayA-ati-dIrGEH daSana-anupAtiBiH vikRzyamANAm iva BUzaNa-aMSuBiH /
   iti kṣitīśeṅgitavartmadīpikām udīrayām āsa giraṃ ramāṅgadaḥ // PNc_4.48 //	iti kzitISa-iFgita-vartmadIpikAm udIrayAm Asa giram ramAFgadaH // PNc_4.48 //
   anena vindhyādrivihārajanmanā śrameṇa kāmaṃ bhavatī kadarthitā /	anena vinDya-adri-vihAra-janmanA SrameNa kAmam BavatI kadarTitA /
   prasuptajūṭāhimukhāniloṣmaṇā jaṭāviṭaṅkendukaleva śūlinaḥ // PNc_4.49 //	prasupta-jUwa-ahi-muKa-anila-UzmaNA jawA-viwaFka-indu-kalA-iva SUlinaH // PNc_4.49 //
   amī sarojapratime mukhe muhus tavātapātāmrakapolabhittini /	amI saroja-pratime muKe muhur tava-Atapa-AtAmra-kapola-Bittini /
   samunmiṣanti śramavāribindavo natāṅgi lāvaṇyasudhālavās iva // PNc_4.50 //	samunmizanti Srama-vAri-bindavaH nata-aFgi lAvaNya-suDA-lavAH iva // PNc_4.50 //
   ito 'vataṃsotpalalāsyadeśike nirantaraṃ gandhavahe vahaty api /	itas avataMsa-utpala-lAsya-deSike nirantaram ganDavahe vahati api /
   na ghūrṇate khinnalalāṭasaṅginī tavālakaśreṇir iyaṃ manāg api // PNc_4.51	na GUrNate Kinna-lalAwa-saFginI tava-alaka-SreNiH iyam manAk api // PNc_4.51
   anena pīnastanakampadāyinā nirāyatenodvahatā kaduṣṇatām /	anena pIna-stana-kampa-dAyinA nirAyatena-udvahatA kaduzNa-tAm /
   atha pravālād api pāṭalacchavir na dūyate niḥśvasitena te 'dharaḥ //	aTa pravAlAt api pAwala=-CaviH na dUyate niHSvasitena te aDaraH //
   PNc_4.52 //	PNc_4.52 //
   uditya paṅktyā śramavārivipruṣāṃ nirantarādhyāsitarekhayānayā /	uditya paFktyA Srama-vAri-vipruzAm nirantara-aDyAsita-reKayA-anayA /
   tavaiṣa kaṇṭhaḥ kuṭajāvadātayā vilāsamuktālatatayeva bhūṣyate // PNc_4.53	tava-eza kaNWaH kuwaja-avadAtayA vilAsa-muktA-latatayA-iva BUzyate // PNc_4.53
   idaṃ mahac citram amānuṣaṃ tvayā vigāhyate yad vanam advitīyayā /	idam mahat citram amAnuzam tvayA vigAhyate yat vanam advitIyayA /
   imāḥ kva vindhyasya bhuvo 'tidurgamāḥ kva rājaveśmābharaṇaṃ bhavādṛśī //	imAH kva vinDyasya BuvaH ati-durgamAH kva rAja-veSma-ABaraNam BavAdRSI //
   PNc_4.54 //	PNc_4.54 //
   navodgatāśokapalāśakāntinā nikāmaniryannakhacandrikeṇa ca /	nava-udgata-aSoka-palASa-kAntinA nikAma-niryad-naKa-candrikeNa ca /
   bibharṣi kasyedam anena pāṇinā vadāvadhūtendumarīci cāmaram // PNc_4.55 //	biBarzi kasya-idam anena pANinA vada-avaDUta-indu-marIci cAmaram // PNc_4.55 //
   nṛpasya kasyāpi paricchadāṅganā yadi tvam uccair vibhavo hi ko 'pi sa /	nRpasya kasya-api paricCada-aFganA yadi tvam uccEs viBavaH hi kaH api sa /
   marutpatir menakayeva tanvi yas tvayāpi vālavyajanena vījyate // PNc_4.56	marutpatiH menakayA-iva tanvi yaH tvayA-api vAla-vyajanena vIjyate // PNc_4.56
   atha rdhimatyā paravaty asi striyā kayāpi kāsau jagadekasundarī /	aTa rDimatyA paravati asi striyA kayA-api kAsO jagat-ekasundarI /
   natabhru yasyāḥ smaracāpayaṣṭayo vidheyatāṃ yānti bhavadvidhā api //	nata-Bru yasyAH smara-cApa-yazwayaH viDeya-tAm yAnti BavadviDAH api //
   PNc_4.57 //	PNc_4.57 //
   parasparaspardhi vilāsasampadāṃ trayaṃ bhavatsvāmitayā vikalpyate /	paraspara-sparDi vilAsa-sampadAm trayam BavatsvAmitayA vikalpyate /
   marutvato vā ramaṇī ramātha vā kalatram ardhenduvibhūṣaṇasya vā ? //	marutvataH vA ramaNI ramA-aTa vA kalatram arDa-indu-viBUzaNasya vA ? //
   PNc_4.58 //	PNc_4.58 //
   iyaṃ paribhrāntir agendrakandare sakhīva te śaṃsati kāryagauravam /	iyam pariBrAntiH aga-indra-kandare saKI-iva te SaMsati kArya-gOravam /
   bhavādṛśaḥ śvāpadadūṣite 'nyathā caranty araṇye kim adhīnanītayaḥ //	BavAdRSaH SvApada-dUzite anyaTA caranti araNye kim aDInanItayaH //
   PNc_4.59 //	PNc_4.59 //
   anena khelanmadadantinā vada tvam āgatā caṇḍi kuto duradhvanā /	anena Kelan-mada-dantinA vada tvam AgatA caNxi kutas duraDvanA /
   vidhāya viśleṣaviṣādam āvayoḥ svakāryaniṣṭhe kathaya kva yāsyasi ? //	viDAya viSleza-vizAdam AvayoH sva-kArya-nizWe kaTaya kva yAsyasi ? //
   PNc_4.60 //	PNc_4.60 //
   nāyakavākyam	nAyaka-vAkyam
   iti sābhihitā mṛgāyatākṣī samupoḍhapraṇayaṃ yaśobhaṭena /	iti sa-aBihitA mRga-Ayata-akzI samupoXa-praNayam yaSaH-Bawena /
   sahasā na jagāda lajjayā nu śramataḥ kiṃ tu nṛpas tu tām avocat //	sahasA na jagAda lajjayA nu SramataH kim tu nRpaH tu tAm avocat //
   PNc_4.61 //	PNc_4.61 //
   śrāntāsi kautukahṛtena kadarthitāsi praśnair anena vihito na tavopacāraḥ /	SrAntA-asi kOtuka-hRtena kadarTitA-asi praSnEH anena vihitaH na tava-upacAraH /
   ātithyam eṣa kurute param aṅgalekhā- saṃvāhanaikacaturo niculānilas te //	AtiTyam eza kurute param aFga-leKA saMvAhana-eka-caturaH nicula-anilaH te //
   PNc_4.62 //	PNc_4.62 //
   evaṃ nisargamadhureṇa sudhārasaika- niṣyandinā phaṇivadhūr atha sā hasantī	evam nisarga-maDureNa suDA-rasa-eka nizyandinA PaNi-vaDUH aTa sA hasantI
   candrāṃśunā kumudinīva dinoṣmataptā vītaklamā narapater vacasā babhūva //	candra-aMSunA kumudinI-iva dina-Uzma-taptAH vIta-klamAH narapateH vacasA baBUva //
   PNc_4.63 //	PNc_4.63 //
   iti śrīmṛgāṅkaguptasūnoḥ parimalāparanāmnaḥ padmaguptasya kṛtau	iti SrI-mRgAFkagupta-sUnoH parimala-apara-nAmnaH padmaguptasya kRtO
   navasāhasāṅkacarite mahākāvye pāṭalādarśanaṃ nāma caturthaḥ sargaḥ	nava-sAhasa-aFka-carite mahAkAvye pAwalAdarSanam nAma caturTaH sargaH
   pañcamaḥ sargaḥ	paQcamaH sargaH
   atha sā vadane navendukānti- smitam aṅke viniveśya cāmaraṃ ca /	aTa sA vadane nava-indu-kAnti smitam aFke viniveSya cAmaram ca /
   jagatīpatim evam ā babhāṣe masṛṇaṃ mūrtimatī vidagdhateva // PNc_5.1 //	jagatIpatim evam A baBAze masRNam mUrtimatI vidagDa-tA-iva // PNc_5.1 //
   [VAR 5.1a: {#kānti#/lem /em; #kānti# /ed}]	[VAR 5.1a: {#kAnti-#/lem /em; #kAnti# /ed}]
   tvayi puṇyavaśena dṛṣtim āpte labhate śarma gataśramo mamātmā /	tvayi puNya-vaSena dRztim Apte laBate Sarma gata-SramaH mama-AtmA /
   udite hi virocane nalinyā vitamastāmarasaṃ vikāsam eti // PNc_5.2 //	udite hi virocane nalinyAH vitamaH-tAmarasam vikAsam eti // PNc_5.2 //
   atimātram upoḍhasaukumārye vacasi śrotram upeyuṣi tvadīye /	atimAtram upoXa-sOkumArye vacasi Srotram upeyuzi tvadIye /
   jhaṭiti pratibhāsate mamāyaṃ kaṭhinaś candanapallavāvataṃsaḥ // PNc_5.3 //	Jawiti pratiBAsate mama-ayam kaWinaH candana-pallava-avataMsaH // PNc_5.3 //
   kim ayaṃ mayi saṃbhramo 'yam āstāṃ kim ayaṃ na eva janaḥ paricchadas te /	kim ayam mayi saMBramaH ayam AstAm kim ayam naH eva janaH paricCadaH te /
   upacāraviśeṣasaṃvidhāne pratipaccandra iva uditas tvam eva // PNc_5.4 //	upacAra-viSeza-saMviDAne pratipad-candraH iva uditaH tvam eva // PNc_5.4 //
   bhavadiṅgitavedinaiva pṛṣṭā yad anenāham upāntavartinā te /	Bavat-iFgita-vedinA-eva pRzwA yat anena-aham upAnta-vartinA te /
   kim u tat kathayāmi sammataṃ cet kriyatāṃ me svayam ājñayā prasādaḥ //	kim u tat kaTayAmi sammatam ced kriyatAm me svayam AjQayA prasAdaH //
   PNc_5.5 //	PNc_5.5 //
   nāyakanideśaḥ	nAyaka-nideSaH
   abhidhehi lavaḥ kutūhalasya tvadudantaśravaṇe mamāpi jātaḥ /	aBiDehi lavaH kutUhalasya tvad-udanta-SravaNe mama-api jAtaH /
   iti sā vasudhāpater nideśād atha pātālavilāsinī jagāda // PNc_5.6 //	iti sA vasuDA-pateH nideSAt aTa pAtAla-vilAsinI jagAda // PNc_5.6 //
   bhujaṅgalokavarṇanam	BujaFga-loka-varNanam
   sa tava śrutim āpta eva tāvat smaralīlābhavanaṃ bhujaṅgalokaḥ /	sa tava Srutim AptaH eva tAvat smara-lIlA-Bavanam BujaFga-lokaH /
   upayāti yad ekadeśasāmyaṃ na mahī nāpi purī purandarasya // PNc_5.7 //	upayAti yat eka-deSa-sAmyam na mahI na-api purI purandarasya // PNc_5.7 //
   atidurlabhasūryabhāsi yasmiṃs tamasām ullasatāṃ tiraskriyāyai /	ati-durlaBa-sUrya-BAsi yasmin tamasAm ullasatAm tiraskriyAyE /
   phaṇino 'ruṇakāntibhiḥ śirasthair maṇibhir bālam ivātapaṃ vahanti //	PaNinaH aruNa-kAntiBiH Sira-sTEH maNiBiH bAlam iva-Atapam vahanti //
   PNc_5.8 //	PNc_5.8 //
   anulimpati rodasī yathenduḥ prabhayā māṃ na tathety asūyayeva /	anulimpati rodasI yaTA-induH praBayA mAm na taTA-iti asUyayA-iva /
   paṭu yaḥ pramādāvilāsahāsa- stabakair induparamparāḥ prasūte // PNc_5.9 //	pawu yaH pramAda-AvilAsa-hAsa stabakEH indu-paramparAH prasUte // PNc_5.9 //
   savilāsam udastahastamuktair nikarair digdviradendraśīkarāṇām /	sa-vilAsam udasta-hasta-muktEH nikarEH diS-dvirada-indra-SIkarANAm /
   parito nicitāḥ sadaiva yasmin kakubhas tārikā ivāvabhānti // PNc_5.10 //	paritas nicitAH sadA-eva yasmin kakuBaH tArikAH iva-avaBAnti // PNc_5.10 //
   pratibhāti dadhan phaṇākalāpe pṛthivīṃ yatra saḥ śeṣanāgarājaḥ /	pratiBAti daDan PaNA-kalApe pRTivIm yatra saH Seza-nAga-rAjaH /
   nabhaso nipatañ javena bhittvā jagatīṃ gāṅga iva cyutaḥ pravāhaḥ //	naBasaH nipatan javena BittvA jagatIm gAFgaH iva cyutaH pravAhaH //
   PNc_5.11 //	PNc_5.11 //
   bhogavatīvarṇanam	BogavatI-varNanam
   viditā khalu vāsukes trilokyāṃ harakaṇṭhābharaṇasya bhogibhartuḥ /	viditA Kalu vAsukeH trilokyAm hara-kaNWa-ABaraNasya Bogi-BartuH /
   lalitādbhutabhūmir asti tasmin nagarī bhogavatīti rājadhānī // PNc_5.12 //	lalita-adButa-BUmiH asti tasmin nagarI BogavatI-iti rAjaDAnI // PNc_5.12 //
   maṇiharmyatalāni ratnadīpāḥ phaṇikāntārdhavilokitāni vīṇāḥ /	maNi-harmya-talAni ratna-dIpAH PaNikA-anta-arDa-vilokitAni vINAH /
   ṛtavo 'py akhilāḥ sametya yatra smarasāmrājyamahādhuraṃ vahanti //	RtavaH api aKilAH sametya yatra smara-sAmrAjya-mahA-Duram vahanti //
   PNc_5.13 //	PNc_5.13 //
   anupādhir upāhṛto vikāsaḥ kamalair yatra vilāsadīrghikāsu /	anupADiH upAhRtaH vikAsaH kamalEH yatra vilAsa-dIrGikAsu /
   api yatra kumudvatībhir astaḥ sahajaś candramarīcipakṣapātaḥ // PNc_5.14	api yatra kumudvatIBiH astaH sahajaH candra-marIci-pakzapAtaH // PNc_5.14
   abhikān abhisartum udyataḥ san sapadi vyālavilāsinīsamūhaḥ /	aBikAn aBisartum udyataH san sapadi vyAla-vilAsinI-samUhaH /
   bhavati svaphaṇāmaṇipradīpe timirotsāriṇi yatra sābhyasūyaḥ // PNc_5.15 //	Bavati sva-PaNA-maNi-pradIpe timira-utsAriNi yatra sa-aByasUyaH // PNc_5.15 //
   adhirohati yatra vaṃśamuktā- paṭalasmerataṭā surasravantī /	aDirohati yatra vaMSa-muktA pawala-smera-tawA surasravantI /
   saritaḥ śriyam īrṣyayeva tasyāḥ suvate mauktikam eva yat payāṃsi //	saritaH Sriyam IrzyayA-iva tasyAH suvate mOktikam eva yat payAMsi //
   PNc_5.16 //	PNc_5.16 //
   atikāntaguṇābhirāmamūrtir madhureṇa dhvaninā manoharantī /	atikAnta-guNa-aBirAma-mUrtiH maDureNa DvaninA manoharantI /
   vidadhāti sadaiva yatra yūnāṃ padam aṅke vanitā ca vallakī ca // PNc_5.17	vidaDAti sadA-eva yatra yUnAm padam aFke vanitA ca vallakI ca // PNc_5.17
   śataśo vilasanty udaṃśuratna- stabakāḥ kalpalatā yad aṅgaṇeṣu /	SataSas vilasanti udaMSu-ratna stabakAH kalpa-latA yat aFgaNezu /
   pratimandriram evam eva yasyām api cintāmaṇayaḥ pade luṭhanti // PNc_5.18	pratimandriram evam eva yasyAm api cintAmaNayaH pade luWanti // PNc_5.18
   api dattakutūhalāḥ surāṇām api vāñcchāpadam ekapiṅgalasya /	api datta-kutUhalAH surANAm api vAQcCa-Apadam eka-piFgalasya /
   api nirviṣayā manorathānām uragān yatra vibhūtayaḥ śrayante // PNc_5.19 //	api nirvizayA manoraTAnAm uragAn yatra viBUtayaH Srayante // PNc_5.19 //
   vasati svayam eva yatra devaḥ sadā kalpitahāṭakeśvarākhyaḥ /	vasati svayam eva yatra devaH sadA kalpita-hAwakeSvara-AKyaH /
   smaram ūrdhvavilocanārciṣīva tripuraṃ yaḥ śarapāvake juhāva // PNc_5.20 //	smaram UrDva-vilocana-arcizI-iva tripuram yaH Sara-pAvake juhAva // PNc_5.20 //
   [VAR 5.20c: {smaram ūrdhva#/lem /k; smaramūrdha# /ed}]	[VAR 5.20c: {smaram UrDva#/lem /k; smara-mUrDa# /ed}]
   śaṅkhapālavarṇanam	SaFKapAla-varNanam
   nijavaṃśaviśeṣako 'sti tasyām uragāṇām adhipaḥ saḥ śaṅkhapālaḥ /	nija-vaMSa-viSezakaH asti tasyAm uragANAm aDipaH saH SaFKapAlaH /
   srag asāv iti yat phaṇāsu dhatte vasudhāṃ vāsukinā samānasāraḥ // PNc_5.21	sraj asO iti yat PaNAsu Datte vasuDAm vAsukinA samAna-sAraH // PNc_5.21
   śaśiprabhāvarṇanam	SaSi-praBA-varNanam
   jagadekalalāma tasya kanyā guṇavaty asti śaśiprabhā nāmnā /	jagat-ekalalAma tasya kanyA guNavatI asti SaSipraBA nAmnA /
   sahasaiva phaṇabhṛtāṃ praviṣṭā bhuvane rāhubhayād ivendulekhā // PNc_5.22	sahasA-eva PaNaBRtAm pravizwA Buvane rAhu-BayAt iva-indu-leKAH // PNc_5.22
   na kayāpy atiśayyate 'tiśīghraṃ yad iyaṃ kandukakeliṣu bhramantī /	na kayA-api atiSayyate ati-SIGram yat iyam kanduka-kelizu BramantI /
   aparaṃ kṛtam arthavat tad asyāḥ sutarāṃ nāma sakhībhir āśugeti // PNc_5.23	aparam kRtam arTavat tat asyAH sutarAm nAma saKIBiH ASuga-iti // PNc_5.23
   sphuradadbhutarūpasampadāṃ tām anukartuṃ kalayāpi dhārṣṭyam eti /	sPurat-adButa-rUpa-sampadAm tAm anukartum kalayA-api DArzwyam eti /
   na ratir na śacī na citralekhā na ghṛtācī na tilottamā na rambhā //	na ratiH na SacI na citraleKA na GRtAcI na tilottamA na ramBA //
   PNc_5.24 //	PNc_5.24 //
   surakinnarasiddhakanyakābhiḥ svakalābhyāsavatībhir āptasakhyā /	sura-kinnara-sidDa-kanyakABiH sva-kala-aByAsavatIBiH Apta-saKyA /
   nikhilāsu gatā paraṃ prakarṣaṃ śitadhīḥ śaiśavas eva yā kalāsu // PNc_5.25	niKilAsu gatA param prakarzam Sita-DIH SESavaH eva yA kalAsu // PNc_5.25
   anivāritakelikautukā sā sutanuḥ snehavaṃśavadena pitrā /	anivArita-keli-kOtukA sA su-tanuH sneha-vaMSa-vadena pitrA /
   viharaty apacīyamānabālyā haraśaile malaye himālaye ca // PNc_5.26 //	viharati apacIyamAna-bAlyAH hara-SEle malaye himAlaye ca // PNc_5.26 //
   adhunā puno 'tra vindhyapade viharantyāḥ kusumāvacūḍanāmni /	aDunA punaH atra vinDya-pade viharantyAH kusuma-avacUxa-nAmni /
   kvacid apy agamat palāyya tasyāś capalaḥ kelimṛgo mṛgāyatākṣyāḥ //	kvacid api agamat palAyya tasyAH capalaH keli-mRgaH mRga-Ayata-akzyAH //
   PNc_5.27 //	PNc_5.27 //
   ativatsalayā samaṃ sakhībhir vipine taṃ paritas tayā vicitya /	ati-vatsalayA samam saKIBiH vipine tam paritas tayA vicitya /
   puline saritaḥ śaśāṅkasūteḥ śramavatyeyam anīyata triyāmā // PNc_5.28 //	puline saritaH SaSAFka-sUteH SramavatyA-iyam anIyata triyAmA // PNc_5.28 //
   kalahaṃsakalasvanair vibuddhā parivārapramadānideśitaṃ sā /	kalahaMsa-kala-svanEH vibudDA parivAra-pramadA-nideSitam sA /
   nikaṣā niculapravālaśayyāṃ tam atha prekṣitavaty āptanidram // PNc_5.29 //	nikazAH nicula-pravAla-SayyAm tam aTa prekzitavatI Apta-nidram // PNc_5.29 //
   tapanīyaśilīmukhas tadaṅge cakitaṃ citrarucau tayā ca dṛṣṭaḥ /	tapanIya-SilImuKaH tad-aFge cakitam citra-rucO tayA ca dRzwaH /
   jalade lalitendracāpabhaktau ahimāṃśor iva bhāsuro mayūkhaḥ // PNc_5.30 //	jalade lalita-indracApa-BaktO ahimAMSoH iva BAsuraH mayUKaH // PNc_5.30 //
   aravindadalatviṣā kareṇa svayam utpāṭya sakautukaṃ gṛhīte /	aravinda-dala-tvizA kareNa svayam utpAwya sa-kOtukam gRhIte /
   avalokitam etayātha tasmin vijayāṅke navasāhasāṅkanāma // PNc_5.31 //	avalokitam etayA-aTa tasmin vijaya-aFke nava-sAhasa-aFka-nAmaH // PNc_5.31 //
   aviśan naranātha nāma pūrvaṃ hṛdaye 'syāḥ sahasātha puṣpaketuḥ /	aviSat naranATa nAma pUrvam hRdaye asyAH sahasA-aTa puzpaketuH /
   amṛtāṃśumarīciluptanidre labhate yat kumude 'ntaraṃ dvirephaḥ // PNc_5.32	amRtAMSu-marI-cilupta-nidre laBate yat kumude antaram dvirePaH // PNc_5.32
   navameghamalīmasād yugānte vasudhām uddharato rathāṅgapāṇeḥ /	nava-meGa-malImasAt yuga-ante vasuDAm udDarataH raTAFga-pANeH /
   paritaḥ śramavāribindavo ye nirapīyanta payodhaśuktiyūthaiḥ // PNc_5.33 //	paritas Srama-vAri-bindavaH ye nirapIyanta payoDa-Sukti-yUTEH // PNc_5.33 //
   prakṛtiḥ kila yasya te parītā pariṇāmena tadantare 'tra haṃsaḥ /	prakRtiH kila yasya te parItA pariNAmena tad-antare atra haMsaH /
   śayanāntagataṃ mṛṇālaśaṅki shṛtavān hāram adhīralocanāyāḥ // PNc_5.34 //	Sayana-anta-gatam mRNAla-SaFki shRtavAn hAram aDIra-locanAyAH // PNc_5.34 //
   [SYNTAX: sandānitakam]	[SYNTAX: sandAnitakam]
   udaḍīyata khe mukhena bibhrad bhujagendrapratimaṃ tam añjasā sa /	udaxIyata Ke muKena biBrat Bujaga-indra-pratimam tam aQjasA sa /
   apadārpitavaitaneyaśaṅkaḥ phaṇikanyāsu muhūrtaviklavāsu // PNc_5.35 //	apada-arpita-vEtaneya-SaFkaH PaNi-kanyAsu muhUrta-viklavAsu // PNc_5.35 //
   sa ca vindhyavanāntarājim etām aviśan mārutapītapadmagandhām /	sa ca vinDya-vana-anta-rAjim etAm aviSat mAruta-pIta-padma-ganDAm /
   atidūravikṛṣṭanāgakanyā- cakitodañcitadīrghanetramālaḥ // PNc_5.36 //	ati-dUra-vikRzwa-nAga-kanyA cakita-udaQcita-dIrGa-netra-mAlaH // PNc_5.36 //
   ahirājasutānideśato 'smin asamāpteṣuvilokanotsavo 'pi /	ahi-rAja-sutA-nideSataH asmin asamApta-izu-vilokana-utsavaH api /
   atha haṃsam itas tato vicetuṃ vijane nāgavadhūjanaḥ pravṛttaḥ // PNc_5.37	aTa haMsam itas tatas vicetum vijane nAga-vaDU-janaH pravRttaH // PNc_5.37
   śabalāsv iha kṛṣṇasārayūthaiḥ samadakroḍasanāthapalvalāsu /	SabalAsu iha kRzNasAra-yUTEH sa-mada-kroxasa-nATa-palvalAsu /
   gahanāsv api tadgaveṣaṇāyai vanalekhāsu mama tvayaṃ prayatnaḥ // PNc_5.38	gahanAsu api tad-gavezaNAyE vana-leKAsu mama tu-ayam prayatnaH // PNc_5.38
