   Adhyardhaśatikā Prajñāpāramitā	ADyarDa-SatikA PrajQApAramitA
   sarvamahāmārapramardanottamasiddhir mahābodhisattvānāṃ	sarva-mahA-mAra-pramardana-uttama-sidDiH mahA-boDisattvAnAm
   sarvatraidhātukādhipatyottamasiddhyai saṃvartate |	sarva-tra-eDAtuka-ADipatya-uttama-sidDyE saMvartate |
   sakalatraidhātukaiśvaryottamasiddhir mahābodhisattvānām	sakala-trEDAtuka-ESvarya-uttama-sidDiH mahA-boDisattvAnAm
   aśeṣānavaśeṣasattvadhātuviśodhanādhyavasāyahetvarthenety	aSezAn-avaSeza-sattva-DAtu-viSoDana-aDyavasAya-hetu-arTena-iti-
   āsaṃsārādhyavasāyināṃ mahāvīryāṇāṃ mahāsattvānām	AsaMsAra-aDyavasAyinAm mahA-vIryANAm mahAsattvAnAm
   aśeṣānavaśeṣasattvadhātuparitrāṇasarvahitasukhottamasiddhyai saṃvartate ||	aSezAn-avaSeza-sattva-DAtu-paritrANa-sarva-hita-suKa-uttama-sidDyE saMvartate ||
   AśP 37*. oṃ vajra | oṃ sarvatathāgatamāte | mahāsukhavajradhāriṇi |	ASP 37*. om vajra | om sarva-taTAgata-mAte | mahA-suKa-vajra-DAriNi |
   sarvasamatāpraveśani | sarvaduḥkhakṣayaṅkari | sarvasukhapradāyike |	sarva-sama-tA-praveSani | sarva-duHKa-kzayaFkari | sarva-suKa-pradAyike |
   sarvasukhapradāyini svāhā ||	sarva-suKa-pradAyini svAhA ||
   AśP 38. tat kasya hetoḥ |	ASP 38. tat kasya hetoH |
   yāvat saṃsāravāsasthā bhavanti varasūrayaḥ |	yAvat saMsAra-vAsa-sTAH Bavanti vara-sUrayaH |
   tāvat sattvārtham atulaṃ śaktāḥ kartum anirvṛtāḥ || 6 ||	tAvat sattva-arTam atulam SaktAH kartum anirvRtAH || 6 ||
   prajñāpāramitopāyajñānādhiṣṭhānavāsitāḥ |	prajQApAramitA-upAya-jQAna-aDizWAna-vAsitAH |
   sarvadharmaviśuddhyā tu bhāvaśuddhā bhavanti ha || 7 ||	sarva-Darma-viSudDyA tu BAva-SudDAH Bavanti ha || 7 ||
   rāgādivinayo loka ā bhavāt pāpakṛt sadā |	rAga-Adi-vinayaH lokaH A BavAt pApa-kRt sadA |
   teṣāṃ viśodhanārthaṃ tu vinayanty ā bhavāt svayam || 8 ||	tezAm viSoDana-arTam tu vinayanti A BavAt svayam || 8 ||
   yathā padmaṃ suraktaṃ tu rāgadoṣair na lipyate |	yaTA padmam su-raktam tu rAga-dozEH na lipyate |
   vāsadoṣair bhave nityaṃ na lipyante jagaddhitāḥ || 9 ||	vAsa-dozEH Bave nityam na lipyante jagat-hitAH || 9 ||
   mahārāgaviśuddhās tu mahāsaukhyā mahādhanāḥ |	mahA-rAga-viSudDAH tu mahA-sOKyAH mahADanAH |
   tridhātvīśvaratām prāptāḥ sattvārthaṃ kurvate dṛḍham || 10 ||	triDAtu-ISvara-tAm prAptAH sattva-arTam kurvate dRXam || 10 ||
   iti ||	iti ||
   AśP 39. yaḥ kaścid vajrapāṇe imaṃ paramādyam prajñāpāramitānayamukhaṃ	ASP 39. yaH kaScid vajrapANe imam parama-Adyam prajQApAramitA-naya-muKam
   dharmaparyāyaṃ dine dine kālyam utthāyoccārayiṣyati śroṣyati vā sa	Darma-paryAyam dine dine kAlyam utTAya-uccArayizyati Srozyati vA sa
   sarvasukhasaumanasyalābhī mahāsukhavajrāmoghasamayasiddhim ātyantikīm	sarva-suKa-sOmanasya-lABI mahA-suKa-vajra-amoGa-samaya-sidDim AtyantikIm
   ihaiva janmani lapsyate | sarvatathāgatavajraguhyottamasiddhir	iha-eva janmani lapsyate | sarva-taTAgata-vajra-guhya-uttama-sidDiH-
   mahāvajradharo bhaviṣyati tathagato veti ||	mahA-vajraDaraH Bavizyati taTagataH vA-iti ||
   AśP 40. atha bhagavān vajrapāṇiṃ guhyakādhipatim āmantrayate sma | imāni	ASP 40. aTa BagavAn vajrapANim guhyaka-aDipatim Amantrayate sma | imAni
   guhyakādhipate pañcaviṃśatiprajñāpāramitānayamukhāni dhārayitavyāni | oṃ	guhyaka-aDipate paQcaviMSati-prajQApAramitA-naya-muKAni DArayitavyAni | om
   bodhicittavajre || 1 || oṃ samantabhadracarye || 2 || oṃ cintāmaṇi || 3 ||	boDi-citta-vajre || 1 || om samantaBadra-carye || 2 || om cintAmaNi || 3 ||
   oṃ anirodhe || 4 || oṃ jātivivartani || 5 || oṃ sarvavijñāne || 6 || oṃ	om aniroDe || 4 || om jAti-vivartani || 5 || om sarva-vijQAne || 6 || om
   mahāvirāgadharmate || 7 || oṃ vīryakavace || 8 || oṃ sarvagāmini || 9 ||	mahA-virAga-Darmate || 7 || om vIrya-kavace || 8 || om sarva-gAmini || 9 ||
   oṃ vajrakavacadṛḍhacitte || 10 || oṃ sarvatathāgate || 11 || oṃ	om vajra-kavaca-dRXa-citte || 10 || om sarva-taTAgate || 11 || om
   svabhāvaviśuddhe || 12 || oṃ dharmatājñānaviśuddhe || 13 || oṃ	svaBAva-viSudDe || 12 || om DarmatA-jQAna-viSudDe || 13 || om
   karmaviśodhani hūṃ || 14 || oṃ nisumbhavajriṇi phaṭ* || 15 || oṃ kāmarāge	karma-viSoDani hUm || 14 || om nisumBa-vajriNi Paw* || 15 || om kAma-rAge
   || 16 || oṃ jaha vajre || 17 || oṃ hūṃ sarvadāyini || 18 || oṃ hrīḥ || 19	|| 16 || om jaha vajre || 17 || om hUm sarva-dAyini || 18 || om hrIH || 19
   || oṃ akāramukhe || 20 || oṃ prajñāpāramite || 21 || oṃ aṃ vaṃ hūṃ oṃ aḥ	|| om akAra-muKe || 20 || om prajQApAramite || 21 || om am vam hUm om aH
   || 22 || oṃ sarvatathāgatakāyāgre || 23 || oṃ sarvatathāgatavāgviśuddhe ||	|| 22 || om sarva-taTAgatakAya-agre || 23 || om sarva-taTAgata-vAc-viSudDe ||
   24 || oṃ sarvatathāgatacittavajre || 25 ||	24 || om sarva-taTAgata-citta-vajre || 25 ||
   AśP 42. nāyaṃ vajrapāṇe 'navaropitakuśalamūlānāṃ sattvānāṃ karṇapuṭe	ASP 42. na-ayam vajrapANe anavaropita-kuSala-mUlAnAm sattvAnAm karNa-puwe
   nipatiṣyati | nāpy anavaropitakuśalamūlaiḥ sattvaiḥ śakyo likhituṃ	nipatizyati | na-api anavaropita-kuSala-mUlEH sattvEH SakyaH liKitum
   paṭhituṃ dhārayituṃ vācayituṃ satkartuṃ gurukartuṃ mānayituṃ pūjayitum* |	paWitum DArayitum vAcayitum satkartum gurukartum mAnayitum pUjayitum* |
   anyatra bahubuddhāvaropitakuśalamūlās te sattvā bhaviṣyanti ya imaṃ	anyatra bahu-budDa-avaropita-kuSala-mUlAH te sattvAH Bavizyanti yaH imam
   prajñāpāramitānayamukham dharmaparyāyam antaśa ekākṣaram api śroṣyanti |	prajQApAramitA-naya-muKam Darma-paryAyam antaSas eka-akzaram api Srozyanti |
   kiṃ punaḥ sakalaṃ parisamāptam* | yena kenacid vajrapāṇe	kim punar sakalam parisamAptam* | yena kenacid vajrapANe
   'śītigaṅgānadīvālukāsamāni buddhakoṭiniyutaśatasahasrāṇi na satkṛtāni na	aSIti-gaFgA-nadI-vAlukA-samAni budDa-kowi-niyuta-Sata-sahasrANi na satkRtAni na
   gurukṛtāni na mānitāni na pūjitāni bhavanti tena na śakyo 'ayaṃ	guru-kRtAni na mAnitAni na pUjitAni Bavanti tena na SakyaH aayam
   prajñāpāramitānayamukho dharmaparyāyaḥ śrotum* | tasmāc caityabhūtaḥ	prajQApAramitA-naya-muKaH Darma-paryAyaH Srotum* | tasmAt cEtya-BUtaH
   pṛthivīpradeśo bhaviṣyati yatrāyaṃ dharmaparyāyaḥ pracariṣyati |	pRTivI-pradeSaH Bavizyati yatra-ayam Darma-paryAyaH pracarizyati |
   vandanīyaś ca sa pudgalo bahukalpakoṭī bhaviṣyati yasyāyaṃ dharmaparyāyaḥ	vandanIyaH ca sa pudgalaH bahu-kalpa-kowI Bavizyati yasya-ayam Darma-paryAyaH
   kāyagato vā pustakagato vā bhaviṣyati | jātismaraś ca bahukalpakoṭī	kAya-gataH vA pustaka-gataH vA Bavizyati | jAtismaraH ca bahu-kalpa-kowI
   bhaviṣyati | na cāsya māraḥ pāpīyān antarāyaṃ kariṣyati | catvāraś cāsya	Bavizyati | na ca-asya mAraH pApIyAn antarAyam karizyati | catvAraH ca-asya
   mahārājānaḥ pṛṣṭhataḥ pṛṣṭhataḥ samanubaddhā bhaviṣyanti	mahA-rAjAnaH pRzWatas pRzWatas samanubadDAH Bavizyanti
   rakṣāvaraṇaguptaye anyāś ca devatāḥ | na ca viṣamāparihāreṇa kālaṃ	rakzA-AvaraNa-guptaye anyAH ca devatAH | na ca vizama-aparihAreNa kAlam
   kariṣyati | sarvabuddhabodhisattvasamanvāhṛtaś ca bhaviṣyati | samāsato	karizyati | sarva-budDa-boDisattva-samanvAhRtaH ca Bavizyati | samAsatas-
   yatra buddhakṣetre ākāṅkṣiṣyate tatra tatropapatsyate | evaṃ bahvanuśaṃsaḥ	yatra budDa-kzetre AkAFkzizyate tatra tatra-upapatsyate | evam bahu-anuSaMsaH
   prajñāpāramitānayamukho dharmaparyāyaḥ / api ca pradeśamātraṃ mayā	prajQApAramitA-naya-muKaH Darma-paryAyaH / api ca pradeSa-mAtram mayA
   kīrtitam iti ||	kIrtitam iti ||
   AśP 43. idam avocad bhagavān* / āttamanaso vajrapāṇipramukhā bodhisattvā	ASP 43. idam avocat BagavAn-* / Atta-manasaH vajrapANi-pramuKAH boDisattvA
   mahāsattvāḥ sā ca sarvāvatī parṣat sadevamānuṣāsuragandharvaś ca loko	mahAsattvAH sA ca sarvAvatI parzad sa-deva-mAnuza-asura-ganDarvaH ca lokaH-
   bhagavato bhāṣitam abhyanandan* ||	BagavataH BAzitam aByanandan* ||
   ity adhyardhaśatikā bhagavatī prajñāpāramitā samāptā ||	iti aDyarDaSatikA BagavatI prajQApAramitA samAptAH ||
