   Ahorātravratakathā	AhorAtra-vrata-kaTA
   suraloke bhogam āpnuvanti / ye nānāchattraṃ vicitra ....... chattraṃ vā	sura-loke Bogam Apnuvanti / ye nAnA-Cattram vicitra ....... Cattram vA
   mahārāja pratyārohayanti te rājāno bhavanti cakravartāś	mahA-rAja pratyArohayanti te rAjAnaH Bavanti cakravartAH-
   caturaṅgavijitavantaḥ svargānucāriṇo devalokagatā bhavanti jainapadaṃ	caturaFga-vijitavantaH svarga-anucAriNaH deva-loka-gatAH Bavanti jEnapadam
   prāpnuvanti / evam asya mahārāja ahorātravratarājasya phalaṃ saṃkṣepād	prApnuvanti / evam asya mahA-rAja ahorAtra-vrata-rAjasya Palam saMkzepAt-
   uktaṃ mayā /	uktam mayA /
   Avk_P_20. rājovāca / bhikṣusattama mahābhijña nidrāṃ na kuryād iti sevyate	Avc-_P_20. rAjA-uvAca / Bikzu-sattama mahA-aBijQa nidrAm na kuryAt iti sevyate
   viśrāmaṃ na kuryād iti viśrāmaṃ kriyate tasya phalaṃ kathaṃ doṣabahulam /	viSrAmam na kuryAt iti viSrAmam kriyate tasya Palam kaTam doza-bahulam /
   śāriputra uvāca / nidrāviśrāmaṃ kriyate yena daśāṃśaṃ phalam āpyate / atha	SAriputraH uvAca / nidrA-viSrAmam kriyate yena daSa-aMSam Palam Apyate / aTa
   rājovāca / bho śāriputra vratarājasya phalahīnabhūtam ittham / asyopāyam	rAjA-uvAca / Bo SAriputra vrata-rAjasya Pala-hIna-BUtam itTam / asya-upAyam
   asti kiṃ vā na vā / śāriputra uvāca / mahārāja tasyopāyam asti / kiṃtu	asti kim vA na vA / SAriputraH uvAca / mahA-rAja tasya-upAyam asti / kiMtu
   dharmadhātuṃ praṇamyādau pañcapradakṣiṇāprayuktena aṣṭāṅgapraṇāmaṃ kuryāt	DarmaDAtum praNamya-AdO paQca-pradakziNA-prayuktena azwa-aFga-praNAmam kuryAt-
   / kṣamāpayitvā gauraveṇa pratiyācayet / tena sarvadoṣaṃ pratimucyate iti /	/ kzamApayitvA gOraveNa pratiyAcayet / tena sarva-dozam pratimucyate iti /
   evaṃ mahārāja ahorātravratasya mahānuśaṃsā mahāphalam / brahmaghātakaṃ	evam mahA-rAja ahorAtra-vratasya mahA-anuSaMsA mahA-Palam / brahma-GAtakam
   bālaghātakaṃ vadhyate ca sahodarastrīhatyāgovadhapāpaṃ mātṛghātakaṃ	bAla-GAtakam vaDyate ca sahodarastrI-hatyA-go-vaDa-pApam mAtR-GAtakam
   pitṛghātakaṃ stūpabhedakam / asya mahāsahasrāṇāṃ saṃpūrṇaphalam āpyate	pitR-GAtakam stu-upaBedakam / asya mahA-sahasrANAm saMpUrNa-Palam Apyate
   prāg ekasya / tathāgatair bhāṣitaṃ tathā śrutaṃ mayā /	prAk ekasya / taTAgatEH BAzitam taTA Srutam mayA /
   Avk_P_21. saptaparvatāni mṛttikākarṣāni vāparāṇi vāparaśatāni	Avc-_P_21. saptaparvatAni mRttikA-karzAni vA-aparANi vA-apara-SatAni
   palasahasrāṇi vā palāyutalakṣaṃ vā tathaiva saṃkhyām api kalām api śaktaṃ	pala-sahasrANi vA pala-ayuta-lakzam vA taTA-eva saMKyAm api kalAm api Saktam
   mayā / na ta ahorātravratarājasya phalaparyantaṃ śakyate / evaṃ mahārāja	mayA / na te ahorAtra-vrata-rAjasya Pala-paryantam Sakyate / evam mahA-rAja
   aprameyaphalaṃ vratarājasya anyena kim / evaṃ mahārāja dharmadakṣa	aprameya-Palam vratarAjasya anyena kim / evam mahA-rAja Darma-dakza
   saṃpūrṇaphalabhūtasya dharmāṇāṃ saptabhāgaikabhāgaṃ bhūpataye / ekabhāgaṃ	saMpUrNa-Pala-BUtasya DarmANAm sapta-BAga-eka-BAgam BUpataye / eka-BAgam
   sārathījanebhyaḥ punar ekabhāgaṃ deśavāsināṃ caturbhāgān vratinām / evam	sAraTI-janeByaH punar eka-BAgam deSa-vAsinAm catur-BAgAn vratinAm / evam
   eva bhāgapramāṇaṃ mahārāja /	eva BAga-pramANam mahA-rAja /
   Avk_P_22. rājovāca / sādhu mahābhijña vratānāṃ vratam uttamaṃ vratarājam	Avc-_P_22. rAjA-uvAca / sADu mahA-aBijQa vratAnAm vratam uttamam vrata-rAjam
   iti khyātaṃ satyam eva mahāmate / mamābhilāṣo 'bhūt samyak kariṣyāmīti	iti KyAtam satyam eva mahAmate / mama-aBilAzaH aBUt samyak karizyAmi-iti
   niścayaḥ / tatkṣaṇād eva rājñā patnīṃ vratīm āhūya ādeśitam /	niScayaH / tad-kzaNAt eva rAjQA patnIm vratIm AhUya AdeSitam /
   amātyapārṣadādi ......... daśaviṃśatijanādīn sarvān saṃnipātya mahācaityaṃ	amAtya-pArzada-Adi ......... daSaviMSati-jana-AdIn sarvAn saMnipAtya mahA-cEtyam
   kāritavān / śāriputreṇa yathādeśitaṃ sarvavidhīn sāmagrīṃ sajjīkṛtya	kAritavAn / SAriputreNa yaTAdeSitam sarva-viDIn sAmagrIm sajjIkRtya
   sthitavān / tato dinān prerayām āsa / tadādisamāgatapadakādiṃ sthāpitam /	sTitavAn / tatas dinAn prerayAm Asa / tad-Adi-samAgata-padaka-Adim sTApitam /
   caturdaśyām upavāsasthito bhūtvā madhyāhne dīpadānaṃ dīyate dharmadhātau /	caturdaSyAm upavAsa-sTitaH BUtvA maDyAhne dIpa-dAnam dIyate DarmaDAtO /
   tato mukhaprakṣālanādikaṃ kṛtvā śāriputravyākhyānaṃ saṃpūrṇaṃ śrūyate /	tatas muKa-prakzAlana-Adikam kRtvA SAriputra-vyAKyAnam saMpUrNam SrUyate /
   tato 'harniśaṃ trayārdhaprahare samutthāya pratyūṣe snānādikaṃ kṛtvā	tatas aharniSam traya-arDa-prahare samutTAya pratyUze snAna-Adikam kRtvA
   vratam ārabhyate /	vratam AraByate /
   Avk_P_23. tato vratāntare dharmadhātuṃ	Avk_P_23. tatas vrata-antare DarmaDAtum
   pañcapradakṣiṇādilājākṣataprakṣepaṇastutigītanānotsavaprapūritena yāvac	paQca-pradakziNa-Adi-lAjA-kzata-prakzepaNa-stuti-gIta-nAnA-utsava-prapUritena yA-avat-
   caitye devālaye tīrthe vā bahubuddhakṣetre gatavān / na nidrāṃ na viśrāmaṃ	cEtye devAlaye tIrTe vA bahu-budDa-kzetre gatavAn / na nidrAm na viSrAmam
   kārayan rātrau anekadīpaṃ pradīyate / praticaityadevatāyā dīpamālāṃ	kArayan rAtrO aneka-dIpam pradIyate / praticEtya-devatAyAH dIpa-mAlAm
   prajvalayan anekanṛtyagītahāsyalāsyādikaṃ kṛtvā aharniśaṃ laṅghayati / he	prajvalayan aneka-nRtya-gIta-hAsya-lAsya-Adikam kRtvA aharniSam laFGayati / he
   vajradhara yathā śāriputreṇa ādeśitaṃ trivarṣam evaṃ vidhinā pūrayitvā	vajraDara yaTA SAriputreNa AdeSitam tri-varzam evam viDinA pUrayitvA
   digmālikādiṃ vicitra .... chattrādiṃ pratyārohayanti / tato kumāripūjāṃ	digmAlikAdim vicitra .... Cattra-Adim pratyArohayanti / tatas kumAri-pUjAm
   kṛtvā vratapramocanaṃ kriyate / evaṃ vajradhara dharmadakṣamahārājena	kRtvA vrata-pramocanam kriyate / evam vajraDara Darma-dakza-mahA-rAjena
   ahorātravratarājaṃ kṛtavān /	ahorAtra-vrata-rAjam kRtavAn /
   Avk_P_24. sagauraveṇa tato mahārājena dharmadakṣeṇa śāriputrāya	Avc-_P_24. sa-gOraveNa tatas mahA-rAjena Darma-dakzeNa SAriputrAya
   sahasramūlyaṃ muktāhāraṃ nānālaṃkārādīn vihārabhūmicīvaravastraparyantaṃ	sahasramUlyam muktA-hAram nAnA-alaMkAra-AdIn vihAra-BUmi-cIvara-vastra-paryantam
   dattavān / tato rājā yācanāgāthāṃ kṛtavān /	dattavAn / tatas rAjA yAcana-AgATAm kRtavAn /
   kṣamasva bho mahāsattva vratarājamahodaye /	kzamasva Bo mahA-sattva vrata-rAja-mahA-udaye /
   mama bhāgo na saṃprāptaḥ tava pādaprasādataḥ // 14 //	mama BAgaH na saMprAptaH tava pAda-prasAdataH // 14 //
   śāriputro ..... bhūtvā punar uvāca /	SAriputraH ..... BUtvA punar uvAca /
   tava bhāgye maharaja madgiram ekakaṃ śṛṇu /	tava BAgye maharaja mad-giram ekakam SRNu /
   pūrvānukūlaṃ sūtraṃ ca pravakṣyāmi vidhiṃ tava // 15 //	pUrva-anukUlam sUtram ca pravakzyAmi viDim tava // 15 //
   Avk_P_25. kva cin mahārāja mahāmatir nāma bodhisattvanirmitaṃ tapovanaṃ	Avc-_P_25. kva cit mahA-rAja mahAmatiH nAma boDisattva-nirmitam tapaH-vanam
   gate sati caityam ekam asti / mahātavī nāma sarasī punar ekam asti / tatra	gate sati cEtyam ekam asti / mahAtavI nAma sarasI punar ekam asti / tatra
   nāganāginī prativasati / taccaityāśramaḥ atiramaṇīyo	nAga-nAginI prativasati / tat-ca-etya-ASramaH ati-ramaNIyaH-
   vividhapuṣpaparipūrṇaḥ saṃchanno babhūva / tasmiñ caitye pañca ṛsayo	viviDa-puzpa-paripUrNaH saMCannaH baBUva / tasmin cEtye paQca RsayaH-
   nānāsvādhyāyajapatapabhaktitaḥ pūjitavān pratidinam / tatra ekasmin dine	nAnA-svADyAya-japa-tapa-BaktitaH pUjitavAn pratidinam / tatra ekasmin dine
   nāganāginī nāgau tatra ṛṣim ekaṃ daṃśitavān tata ṛṣiḥ sarpadaṃśitavedanāṃ	nAga-nAginI nAgO tatra Rzim ekam daMSitavAn tatas RziH sarpa-daMSita-vedanAm
   vedayan śapitavān / he nāganāginyau kimarthaṃ daṃśitaṃ mām / saptakhaṇḍaṃ	vedayan SapitavAn / he nAga-nAginyO kim-arTam daMSitam mAm / sapta-KaNxam
   bhavantu vināśau / tato nāgīnāgau śapitamātreṇa sapta śambukā janmāntare	Bavantu vinASO / tatas nAgI-nAgO Sapita-mAtreNa sapta SambukA janmAntare
   babhūvuḥ / evaṃ paribhramyamāne śambukā nāgajanme nityaṃ caityadarśanayā	baBUvuH / evam pariBramyamAne SambukA nAga-janme nityam cEtya-darSanayA
   pūrvajanmavṛttiṃ smṛtavatyo babhūva / kasmiṃś cit	pUrva-janma-vRttim smRtavatyaH baBUva / kasmin cit-
   caityabhaktaṛṣidaṃśitenāham itthaṃ śambukājanmam anubhūtaṃ vyākulībhūtam /	cEtya-Bakta-Rzi-daMSitena-aham itTam SambukA-janmam anuBUtam vyAkulIBUtam /
   tataḥ kṣetre dhānyastambakaṃ caityam iti smṛtvā pradakṣiṇaṃ paribhramanti	tatas kzetre DAnya-stambakam cEtyam iti smRtvA pradakziNam pariBramanti
   Avk_P_26. tataś caturthakena dinena śambukā kīrakīrtir nāma mahārājasya	Avc-_P_26. tatas caturTakena dinena SambukA kIrakIrtiH nAma mahA-rAjasya
   saptakanyakā janmapratilabdhā babhūvuḥ / kanyakā nītiśāstrajñā	sapta-kanyakA janma-pratilabDA baBUvuH / kanyakA nIti-SAstra-jQA
   vratacāribhūtāḥ / tāḥ saptakanyakās tapova ....... sadā puṣpavarṣāḥ	vrata-cAri-BUtAH / tAH sapta-kanyakAH tapova ....... sadA puzpa-varzAH
   patanti / evaṃ vividhā api kṛtvā divyapuṣpavimāne dhṛtvā	patanti / evam viviDAH api kRtvA divya-puzpa-vimAne DRtvA
   sukhāvatīlokadhātau nīyante /	suKAvatI-lokaDAtO nIyante /
   Avk_P_27. śāriputraḥ svagṛhaṃ gatavān / dharmadakṣamahārājena	Avc-_P_27. SAriputraH sva-gRham gatavAn / Darma-dakza-mahA-rAjena
   ahorātravratarājaprabhāvena mokṣam anuprāptam / tuṣitabhavanavāsī	ahorAtra-vrata-rAja-praBAvena mokzam anuprAptam / tuzita-Bavana-vAsI
   satsubhāso mahātmā kalimalaṃ paripūrṇaṃ dārayitvā tatra sarvavibhavasukham	sat-suBAsaH mahAtmA kali-malam paripUrNam dArayitvA tatra sarva-viBava-suKam
   atulyaṃ prāptavān / bhāgadheyaṃ bhavati sugatasūtraṃ śrāvayed yas tu	atulyam prAptavAn / BAgaDeyam Bavati sugata-sUtram SrAvayet yaH tu
   dharmyam / tataḥ sabhājanāḥ kapilavastuni mahānagare svasvasthānam	Darmyam / tatas saBAjanAH kapila-vastuni mahA-nagare sva-sva-sTAnam
   anugacchanti / bhagavān saśiṣyaḥ samādhau sthitavān /	anugacCanti / BagavAn sa-SizyaH samADO sTitavAn /
   iti ahorātravratakathā samāptā /	iti ahorAtra-vrata-kaTA samAptAH /
