   Table of the Contents	Table of Te Contents
   BJ_06.05a/.krūreṇa.saṃyutaḥ.śaśī.smara.antya.mṛtyu.lagnagaḥ/	Bu-_06.05a-/.krUreNa.-saMyutaH.Sa-SI.smara.antya.-mRtyu-.lagna-gaH/
   BJ_06.05b/.kaṇṭakād.bahiḥ.śubhair.avīkṣitaś.ca.mṛtyudaḥ//(anuṣṭubh)	BJ_06.05b/.kaNwakAt-.bahis-.SuBEH-.avIkzita-S.ca.-mRtyu-daH-//(anuzwuB)
   BJ_06.06a/.śaśiny.ari.vināśage.nidhanam.āśu.pāpa.īkṣite.śubhair.atha.sama.aṣṭaka.dalam.ataś.ca.miśraiḥ.sthitiḥ/	Bu-_06.06a/.Sa-SinI-.ari.-vinASa-ge.ni-Danam.ASu.-pApa-.Ikzite.-SuBEH-.aTa.-sama.azwa-ka.dalam.ata-S.ca.-miSrEH.sTitiH/
   BJ_06.06b/.asadbhir.avalokite.balibhir.atra.māsaṃ.śubhe.kalatra.sahite.ca.pāpa.vijite.vilagna.adhipe//(pṛthvī)	Bu-_06.06b/.asadBiH-.avalokite.-baliBiH-.atra.mAsaM.SuBe.-kalatra.-sahite.-ca.pApa.-vijite.-vilagna-.aDipe//(-pRTvI)
   BJ_06.07a/.lagne.kṣīṇe.śaśini.nidhanaṃ.randhra.kendreṣu.pāpaiḥ.pāpa.antasthe.nidhana.hibuka.dyūna.saṃsthe.ca.candre//	BJ_06.07a/.lagne.-kzINe.-SaSi-ni.niDanaM.ranDra.ka-indra-izu.-pApEH.pApa.anta-sTe.ni-Dana.-hi-buka-.dyUna.-saMsTe.-ca.-candre//
   BJ_06.07b/.evaṃ.lagne.bhavati.madana.cchidra.saṃsthaiś.ca.pāpair.mātrā.sārddhaṃ.yadi.na.ca.śubhair.vīkṣitaḥ.śakti.bhṛdbhiḥ//(maṃ.krā)	BJ_06.07b/.evan.lagne.Bavati.-madana-.=-Cidra.-saMsTA-ES.ca.pApEH-.mAtra-a.-sa-ardDaM.ya-di.na.ca.-SuBEH-.vIkzitaH.-Sakti.BRdBiH//(maM.krA)
   BJ_06.08a/.rāśy.antage.sadbhir.avīkṣyamāṇe.candre.tri.koṇa.upagataiś.ca.pāpaiḥ/	BJ_06.08a/.rASI-.anta-ge.sadBiH-.avIkzyamANe.candre.-tri.koNa-.upagata-ES.ca.pApEH/
   BJ_06.08b/.prāṇaiḥ.prayāty.āśu.śiśur.viyogam.aste.ca.pāpais.tuhina.aṃśu.lagne//(indravajrā)	BJ_06.08b/.-prANEH.prayAti-.ASu.-SiSur.-viyoga-m.aH-te.ca.pApEH-.tuhina-.aMSu.lagne//(indra-vajrA)
   BJ_06.09a/.aśubha.sahite.graste.candre.kuje.nidhana.āśrite.janani.sutayor.mṛtyur.lagne.ravau.tu.sa.śastrajaḥ/	BJ_06.09a/.a-SuBa.-sahite.graste.candre.-kuje.-niDana.a-ASrite.-jana-ni.sutayoH-.mRtyuH-.lagne.ravO.tu.sa.Sastra-jaH/
   BJ_06.09b/.udayati.ravau.śīta.aṃśau.vā.tri.koṇa.vināśagair.nidhanam.aśubhair.vīrya.upetaiḥ.śubhair.na.yuta.īkṣite//(hariṇī)	Bu-_06.09b/.udayati-.rava-O.SIta-.aMSO.vA.-tri.koNa.-vinASa-gEr.niDanam-.aSuBEH-.vIrya-.upetEH.SuBEH-.na.yuta-.Ikzite//(-hariNI)
   BJ_06.10a/.asita.ravi.śaśa.aṅka.bhūmijair.vyaya.navama.udaya.naidhana.āśritaiḥ/	BJ_06.10a/.asita-.ravi.Sa-Sa.aFka.BUmi-jEH-.vyaya.navama.udaya.nEDana.ASritEH/
   BJ_06.10b/.bhavati.maraṇam.āśu.dehināṃ.yadi.balinā.guruṇā.na.vīkṣitāḥ//(aparavakra)	BJ_06.10b/.Bavati.maraNam-.ASu.-dehina-aM.ya-di.balinA.-guruNA-a.na.-vIkzitAH//(a-para-vakra)
   BJ_06.11a/.suta.madana.nava.antya.lagna.randhreṣv.aśubha.yuto.maraṇāya.śīta.raśmiḥ/	Bu-_06.11a/.suta.-madana.nava.antya-.lagna.-ranDrezu-.aSuBa.yuto.maraNa-aya.-SIta.raSmiH/
   BJ_06.11b/.bhṛgu.suta.śaśi.putra.deva.pūjyair.yadi.balibhir.na.yuto.avalokito.vā//(puṣpita.agrā)	BJ_06.11b/.BRgu.-suta.SaSi.-putra.-deva.-pUjyEH-.ya-di.baliBiH-.na.yutaH-.avalokitaH-.-vA//(puzpita-.agrA)
   BJ_06.12a/.yoge.sthānaṃ.gatavati.balinaś.candre.svaṃ.vā.tanu.gṛham.atha.vā/	BJ_06.12a/.yoge.-sTAnaM.gatavati.-balina-S.candre.-svaM.vA.-tanu.-gRham.aTa-.vA/
   BJ_06.12b/.pāpair.dṛṣṭe.balavati.maraṇaṃ.varṣasya.antaḥ.kila.muni.gaditam//(bhramara.vilasitā)E6	BJ_06.12b/.pApEH-.dRzwe.-balavati.maraNaM.varzasya.antaH.-kila.-muni.-gaditam-//(Bramara.-vilasita-A)E6
   BJ_07.āyur.dāya	Bu-_07.AyuH-.dAya
   BJ_07.01a/.maya.yavana.maṇittha.śakti.pūrvair.divasa.kara.ādiṣu.vatsarāḥ.pradiṣṭāḥ/	BJ_07.01a/.maya.yavana.maNitTa.-Sakti.-pUrvEH-.divasa.-kara.Adizu.-vatsarAH.pradizwAH/
   BJ_07.01b/.nava.tithi.viṣaya.aśvi.bhūta.rudra.daśa.sahitā.daśabhiḥ.sva.tuṅga.bheṣu//(puṣpita.agrā)	BJ_07.01b/.nava.-tiTi.-vizaya-.aSvi.BUta.rudra.daSa.-sahitA.-daSaBiH.-sva.tuFga-.Bezu//(puzpita-.agrA)
   BJ_07.02a/.nīce.ato.ardhaṃ.hrasati.hi.tataś.ca.antarasthe.anupāto.horā.tv.aṃśa.pratimam.apare.rāśi.tulyaṃ.vadanti/	Bu-_07.02a/.nIce.ato.arDaM.hrasati.-hi.tata-S.ca.antara-sTe.anu-pAto.-horA.-tu-.aMSa.-pratimam.apare.-rASi.-tulyaM.vadanti/
   BJ_07.02b/.hitvā.vakraṃ.ripu.graha.gatair.hīyate.sva.tri.bhāgaḥ.sūrya.ucchinna.dyutiṣu.ca.dalaṃ.projihya.śukra.arka.putrau//(meṃ.krāṃ)	Bu-_07.02b/.hi-tvA-a.vakraM.ripu-.graha.-gatEH-.hIyate.-sva.-tri.BAgaH.-sUrya-.ucCinna.-dyutizu.-ca.dalaM.projihya.-Sukra-.arka.-putrO//(meM.kr
   BJ_07.03a/.sarva.ardha.tri.caraṇa.pañca.ṣaṣṭa.bhāgāḥ.kṣīyante.vyaya.bhavanād.asatsu.vāmam/	BJ_07.03a/.-sarva-.arDa.tri.caraNa.-paQca-.zazwa.BAgAH-.kzIyante.-vyaya.-BavanAt-.asat-su.vAmam/
   BJ_07.03b/.satsv.ardhaṃ.hrasati.tathā.eka.rāśigānām.eka.aṃśaṃ.harati.balī.tathā.āha.satyaḥ//(praharṣiṇī)	Bu-_07.03b/.satsv.arDaM.hrasati.-taTA-a.eka-.rASi-gAnAm-.eka-.aMSaM.harati.balI.-taTA-A.Aha.-satyaH//(-praharziNI)
   BJ_07.04a/.sārdha.udita.udita.nava.aṃśa.hatāt.samastād.bhāgo.aṣṭa.yukta.śata.saṃkhyam.upaito.nāśam/	Bu-_07.04a/.sa-arDa-.udita-.udita-.nava-.aMSa.hatA-at.samastAt-.BAgaH-.azwa.-yukta.-Sata.-saMKyam.upEto.nASam/
   BJ_07.04b/.krūre.vilagna.sahite.vidhinā.tv.anena.saumya.īkṣite.dalam.ataḥ.pralayaṃ.prayāti//(vasantatilakā)	BJ_07.04b/.krUre.-vilagna.-sahite.-viDinA.tu-.anena.-sOmya-.Ikzite.dalam.ataH.-pralayaM.prayAti-//(vasanta-tilakA)
   BJ_07.05a/.samā.ṣaṣṭir.dvighnā.manuja.kariṇāṃ.pañca.ca.niśā.hayānāṃ.dvātriṃśat.khara.karabhayoḥ.pañcaka.kṛtiḥ	BJ_07.05a/.-samA.zazwiH-.dviGnA.-manuja.-kariNAM.paQca.-ca.-niSA.-hayAnAM.dvAtriMSat.-Kara.karaBayoH.paQcaka-.kRtiH
   BJ_07.05b/.virūpā.sā.apy.āyur.vṛṣa.mahiṣayor.dvādaśa.śunāṃ.smṛtaṃ.chāga.ādīnāṃ.daśaka.sahitāḥ.ṣaṭ.ca.parama//(śikhariṇī)	Bu-_07.05b/.virUpa-a.sA-.apy.AyuH-.vRza.-mahizayoH-.dvAdaSa.SunAM.smRtan.CAga.a-AdInAM.daSaka.-sahitAH.zaw.ca.parama-//(SiKariNI)
   BJ_07.06a/.animiṣa.parama.aṃśake.vilagne.śaśi.tanaye.gavi.pañca.varga.lipte/	Bu-_07.06a/.a-nimiza.-parama-.aMSake.-vilagne.-SaSi.-tanaye.-gavi.paQca.varga.lipte/
   BJ_07.06b/.bhavati.hi.parama.āyuṣaḥ.pramāṇaṃ.yadi.sakalaḥ.sahitāḥ.sva.tuṅga.bheṣu//(puṣpitāgrā)	Bu-_07.06b/.Bavati.hi.parama.a-AyuzaH.pramANaM.ya-di.sakalaH.-sahitAH.-sva.tuFga.Bezu/-/(-puzpita-agrA)
   BJ_07.07a/.āyur.dāyaṃ.viṣṇu.gupto.api.ca.evaṃ.deva.svāmī.siddhasenaś.ca.cakre/	BJ_07.07a/.AyuH-.dAyan.vizNu.guptaH-.api.ca-.evaM.deva.-svAmI.-sidDa-sena-S.ca.-cakre/
   BJ_07.07b/.doṣaś.ca.eṣāṃ.jāyate.aṣṭāv.ariṣṭaṃ.hitvā.na.āyur.viṃśateḥ.syād.adhastāt//(śālinī)	BJ_07.07b/.doza-S.ca-.ezAM-.jAyate.azwO=-.arizwaM.hi-tvA-a.na.AyuH-.viMSateH.syAt-.aDastAt//(-SAlinI)
   BJ_07.08a/.yasmin.yoge.pūrṇam.āyuḥ.pradiṣṭaṃ.tasmin.proktaṃ.cakra.vartitvam.anyaiḥ	Bu-_07.08a/.yasmin.-yoge.-pUrNam.AyuH.-pradizwan.tasmin.-proktan=-cakra-.varti-tvam-.anyEH
   BJ_07.08b/.pratyakṣo.ayaṃ.doṣaḥ.paro.api.jīvaty.āyuḥ.pūrṇam.arthair.vinā.api//(śālinī)	Bu-_07.08b/.-pratyakzaH-.ayaM.dozaH.paraH-.api.jIvati-.AyuH.-pUrNam-.arTEH-.vinA.api//(-SAlinI)
   BJ_07.09a/.sva.matena.kila.āha.jīva.śarmā.graha.dāyaṃ.parama.āyusaḥ.svara.aṃśam/	BJ_07.09a/.sva.matena.kila-.Aha.-jIva.-SarmA.graha.-dAyaM.parama-.AyusaH.svara-.aMSam/
   BJ_07.09b/.graha.bhukta.nava.aṃśa.rāśi.tulyaṃ.bahu.sāmyaṃ.samupaiti.satya.vākyam//(upacchandasikā)	BJ_07.09b/.graha.-Buj-ta.nava-.aMSa.rASi.-tulyaM.bahu.-sAmyaM.samupEti.-satya.-vAkyam-//(upacCandasikA)
   BJ_07.10a/.satya.ukte.graham.iṣṭaṃ.liptī.kṛtvā.śata.dvayena.āptam/	BJ_07.10a/.satya-.ukte.graham-.izwaM.liptI.-kRtvA-a.Sata.-dvayena-.Aptam/
   BJ_07.10b/.maṇḍala.bhāga.viśuddhe.abdāḥ.syuḥ.śeṣāt.tu.māsa.ādyāḥ//(āryā)	BJ_07.10b/.-maNxala.BAga.-viSudDe.abdAH.syuH.Seza-at.tu.-mAsa.a-AdyAH//(AryA)
   BJ_07.11a/.sva.tuṅga.vakra.upagatais.tri.saṃguṇaṃ.dvir.uttama.sva.aṃśaka.bha.tri.bhhāgagaiḥ//	BJ_07.11a/.sva.-tuFga.-vakra.upagata-eH-.tri.-saMguNaM.dvir.uttama.-sva-.aMSa-ka.Ba.tri.BhAga-gEH//
   BJ_07.11b/.iyān.viśeṣas.tu.bhadatta.bhāṣite.sa.mānam.anyat.prathame.apy.udīritam//(vaṃśastha)	BJ_07.11b/.iyAn.viSeza-s.tu.Badat-ta.-BAzite.-sa.mAnam-.anyat.-praTame.api-.udIritam-//(vaMSa-sTa)
   BJ_07.12a/.kiṃ.tv.atra.bha.aṃśa.pratimaṃ.dadāti.vīrya.anvitā.rāśi.samaṃ.ca.horā/	Bu-_07.12a/.kiM.tu-.atra.Ba.aMSa.-pratimaM.da-dAti-.vIrya.anvitA.rASi.-samaM.ca.-horA/
   BJ_07.12b/.krūra.udaye.ca.upacayaḥ.sa.na.atra.kāryaṃ.ca.na.abdaiḥ.prathama.upadiṣṭaiḥ//(indravajrā)	BJ_07.12b/.krUra.udaye.-ca.upacayaH.sa.na.atra.-kAryaM.ca.na.abdEH-.praTama-.upadizwEH//(indra-vajrA)
   BJ_07.13a/.satya.upadeśo.varam.atra.kintu.kurvanty.ayogyaṃ.bahu.vargaṇābhiḥ/	BJ_07.13a/.satya-.upadeSaH-.varam.atra.kintu.-kurvanti-.a-yogyaM.bahu.vargaNABiH/
   BJ_07.13b/.ācāryakatvaṃ.ca.bahu.ghnatāyām.ekaṃ.tu.yad.bhūri.tad.eva.kāryam//(indravajrā)	BJ_07.13b/.AcAryaka-tvan.ca.-bahu.GnatAyAm-.ekaM.tu.-yat-.BUri.-tad-.eva.-kAryam//(indra-vajrA)
   BJ_07.14a/.guru.śaśi.sahite.kulīra.lagne.śaśi.tanaye.bhṛguje.ca.kendra.yāte/	BJ_07.14a/.guru.SaSi.-sahite.-kulIra-.lagne.SaSi.-tanaye.-BRguje.-ca.ka-indra.yAte/
   BJ_07.14b/.bhava.ripu.sahaja.upagaiś.ca.śeṣair.amitam.iha.āyur.anukramād.vinā.syāt//(puṣpitāgrā)E7	BJ_07.14b/.Bava.ripu.-saha-ja-.upagES.ca.SezEH-.amitam-.iha.a-AyuH-.anukramAd.vinA.sya-at//(-puzpita-agrA)E7
   BJ_08.daśa.antardaśā	BJ_08.daSa.antardaSA
   BJ_08.01a/.udaya.ravi.śaśa.aṅka.prāṇi.kendra.ādi.saṃsthāḥ/prathama.vayasi.madhye.antye.ca.dadyuḥ.phalāni/	Bu-_08.01a/.udaya.-ravi.-SaSa-.aFka.-prANi.kendra-.Adi.saMsTAH/praTama-.vayasi.-maDye.antye.-ca.dadyuH.-PalAni/
   BJ_08.01b/.na.hi.na.phala.vipākaḥ.kendra.saṃstha.ādya.bhāve.bhavati.hi.phala.paktiḥ.pūrvam.āpoklime.api//(malīnī)	BJ_08.01b/.na.hi.na.-Pala.-vipAka-H.ka-indra.-saMsTa.Adya.BAve.Bavati.-hi.-Pala.-paktiH.pUrvam.Apoklime.api//(-malInI)
   BJ_08.02a/.āyuḥ.kṛtaṃ.yena.hi.yat.tad.eva.kalpyā.daśa.sā.prabalasya.pūrvām/	Bu-_08.02a/.AyuH.kRtaM.yena.-hi.yat.tad-.eva.-kalpyA.-daSa.-sA.-prabalasya.-pUrvAm/
   BJ_08.02b/.sāmye.bahūnāṃ.bahu.varṣadasya.teṣāṃ.ca.sāmye.prathama.uditasya//(indravajrā)	BJ_08.02b/.sAmye.-bahUnAM.bahu.varzadasya.tezAM.ca.-sAmye.-praTama-.uditasya//(indra-vajrA)
   BJ_08.03a/.eka.ṛkṣago.ardham.apahṛtya.dadāti.tu.svaṃ.try.aṃśaṃ.tri.koṇa.gṛhagaḥ.smaragaḥ.svara.aṃśam/	Bu-_08.03a/.eka-.Rkza-go.arDam-.apahRtya.dadAti.tu.-svaM.trI-.aMSan.tri.koNa.gRha-gaH.-smara-gaH.svara-.aMSam/
   BJ_08.03b/.pādaṃ.phalasya.caturasra.gataḥ.sa.horas.tv.evaṃ.paraspara.gatāḥ.paripācayanti//(vasantatilakā)	BJ_08.03b/.pAdaM.-Pala-sya.-caturasra.-gataH.-sa.horas.tu-.evaM.paraspara.-gatAH.paripAcayanti/-/(vasanta-tilakA)
   BJ_08.04a/.sthāna.anyathā.etāni.sa.varṇayitvā.sarvāṇy.adhaś.cheda.vivarjitāni/	Bu-_08.04a/.sTAna-.anyaTA-.etA-ni.sa.varNayitvA-a.-sarvANi-.aDaS.Ceda.-vivarjitAni/
   BJ_08.04b/.daśa.abda.piṇḍe.guṇakā.yathā.aṃśaṃ.chedas.tad.aikyena.daśa.aprabhedaḥ//(indravajrā)	Bu-_08.04b/.da-Sa.abda.-piNxe.-guNakA.-yaTA.aMSan.Ceda-s.tad-.Ekyena.daSa.a-praBedaH//(indra-vajrA)
   BJ_08.05a/.samyag.balinaḥ.sva.tuṅga.bhāge.sampūrṇā.bala.varjitasya.riktā/	BJ_08.05a/.-samyak-.balinaH.-sva.tuFga.BAge.-sampUrNA.-bala-.-varjitasya.riktA/
   BJ_08.05b/.nīca.aṃśa.gatasya.śatru.bhāge.jñeya.aniṣṭa.phalā.daśā.prasūtau//(vaitālīya)	Bu-_08.05b/.nIca-.aMSa.-gatasya.Satru.-BAge.-jQeya.anizwa.-PalA.daSA.-prasUtO//(-vEtAlIya)
   BJ_08.06a/.bhraṣṭasya.tuṅgād.avarohi.saṃjñā.madhyā.bhavet.sā.suhṛd.ucca.bhāge/	BJ_08.06a/.Brazwasya.tuFgAt-.avarohi.-saMjQA.-maDyA.Bavet.-sA.-suhRd-.ucca.BAge/
   BJ_08.06b/.arohiṇī.nimna.paricyutasya.nīca.ari.bha.aṃśeṣv.adhamā.bhave.sā//(indravajrā)	Bu-_08.06b/.arohiNI.-nimna.-paricyutasya.-nIca-.ari.-Ba.aMSezu-.aDamA.-Bave.-sA-a//(indra-vajrA)
   BJ_08.07a/.nīca.ari.bha.aṃśe.samavasthitasya.śaste.gṛhe.gṛhe.miśra.phalā.pradiṣṭā/	BJ_08.07a/.-nIca-.ari.-Ba-.aMSe.-samavasTitasya.SaH-te.gRhe.-gRhe.-miSra.-PalA.-pradizwA/
   BJ_08.07b/.saṃjñā.anurūpāṇi.phalāny.atha.eṣāṃ.daśāsu.vakṣyāmi.yathā.upayogam//(upajātikā)	BJ_08.07b/.-saMjQA-.anurUpANi.-PalAni-.aTa-.eza-aM.daSAsu.vakzyAmi-.-yaTA.upayogam//(upajAtikA)
   BJ_08.08a/.ubhaye.adhama.madhya.pūjitā.dreṣkāṇaiś.cara.bheṣu.ca.utkramāt/	Bu-_08.08a/.u-Baye.aDama.-maDya.-pUjita-A.drezkANa-ES.cara.-Bezu.-ca.utkramAt/
   BJ_08.08b/.aśubha.iṣṭa.samāḥ.sthire.kramād.dhorāyāḥ.parikalpitā.daśā//(vaitālīya)	BJ_08.08b/.a-SuBa-.izwa.-samAH.-sTire.kramAt-.DorAyAH.parikalpitA.daSa-a//(vEtAlIya)
   BJ_08.09a/.ekaṃ.dvau.nava.viṃśatir.dhṛti.kṛtī.pañcāśad.eṣāṃ.kramāc.candra.āra.induja.śukra.jīva.dinakrid.daivā.kariṇāṃ.samāḥ/	Bu-_08.09a/.ekaM.dvO.nava.viMSatiH-.DRti.kRtI.-paQcASat-.eza-aM.kramAc.-candra.Ara-.indu-ja.-Sukra-.jIva.dina-krid.da-eva-a.-kariNAM.samAH/
   BJ_08.09b/.svaiḥ.svaiḥ.puṣṭa.phalāni.sarga.janitaiḥ.paktir.daśāyāḥ.kramād.ante.lagna.daśā.śubha.iti.yavanā.na.icchanti.ke.cit.tathā//(śā.vi)	BJ_08.09b/.svEH.svEH.puzwa.-PalA-ni.sarga.-janitEH.paktiH-.daSAyAH.kramAt-.ante.lagna.daSA.SuBa-.iti.yavanA.na.i=-Canti.ke.cit.taTA-//(
   BJ_08.10a/.pāka.svāmini.lagnage.suhṛdi.vā.varge.asya.saumye.api.vā.prārabdhā.śubhadā.daśā.tridaśa.ṣaḍ.lābheṣu.vā.pākape/	Bu-_08.10a/.-pAka.svAmi-ni.lagna-ge.suhRdi.vA.varge.asya.-sOmye.api.vA.-prArabDA.-SuBa-dA.da-SA.tridaSa.-zaz-.lABa-izu.vA.pAkape/
   BJ_08.10b/.mitra.ucca.upacayas.tri.koṇa.madane.pāka.īśvarasya.sthitaś.candraḥ.sat.phala.bodhanāni.kurute.pāpāni.ca.ato.anyathā//(śā.vi)	BJ_08.10b/.mitra-.ucca.upacaya-s.tri.-koNa.-madane.-pAka.ISvarasya.-sTita-S.candraH.-sat.Pala.boDanA-ni.kurute.-pApA-ni.ca.ato.anyaTA//(SA
   BJ_08.11a/.prārabdhā.himagau.daśā.sva.gṛhage.māna.artha.saukhya.āvahā.kauje.dūṣayati.striyaṃ.budha.gṛhe.vidyā.suhṛd.vittadā/	Bu-_08.11a/.-prArabDA.-hima-gO.daSA.-sva.gRha-ge.mAna-.arTa.-sOKya-.AvahA.-kOje.-dUza-yati.striyaM.buDa.gRhe.-vidyA.-suhRd.-vitta-dA/
   BJ_08.11b/.durga.araṇya.patha.ālaye.kṛṣi.karī.siṃhe.sita.ṛkṣe.annadā.kustrīdā.mṛga.kumbhayor.guru.gṛhe.māna.artha.saukhya.āvahā//(śā.vi)	BJ_08.11b/.duH-ga.araNya.-paTa.Alaye.-kRzi.-karI.-siMhe.sita-.Rkze.anna-dA.-kustrI-idA.-mRga.-kumBayoH-.guru.-gRhet-mAna-.arTa.-sOKya-.AvahA//(SA
   BJ_08.12a/.sauryāṃ.svan.nakha.danta.carma.kanaka.kraurya.adhva.bhūpa.āhavais.takṣṇyaṃ.dairyam.ajasram.udyama.ratiḥ.khyātiḥ.pratāpa.unnatiḥ/	BJ_08.12a/.-sOryAn.svan.naKa.danta.-carma.-kanaka-.krOrya.a-Dva.-BUpa-.Aha-vEH-.-takzNyaM.dErya-m.ajasram-.udyama.ratiH.KyAtiH.pratApa-.unna
   BJ_08.12b/.bhārya.putra.dhana.ari.śastra.hutabhug.bhūpa.udbhavā.vyāpada.styāgī.pāpa.ratiḥ.sva.bhṛtya.kalaho.hṛt.kroḍa.pīḍā.āmayāḥ//(śā.vi)	BJ_08.12b/.BArya.-putra.-Dana-.ari.-Sastra.huta-Buj-.BU-pa.udBavA.-vyApada.H-tyAgI.-pApa-.ratiH.sva.-BRti-a.kalaho.hRt.-kroxa.-pIxA-.AmayAH//(S
   BJ_08.13a/.indoḥ.prāpya.daśāṃ.phalāni.labhate.mantra.dvijāty.udbhavani.īkṣu.kṣīra.vikāra.vastra.kusuma.krīḍā.tila.anna.śramaiḥ/	Bu-_08.13a/.indoH.prApya.daSAM.Pala-ani.laBate.mantra.-dvijAti-.udBava-ni.i-ikzu.-kzIra.-vikAra.-vastra.-kusuma.-krIxA.tila-.anna.-SramEH/
   BJ_08.13b/.nidrā.alasya.mṛdu.dvija.amara.ratiḥ.strī.janma.medhāvitā.kīrty.artha.upacakṣayau.ca.balibhir.vairaṃ.sva.pakṣeṇa.ca//(śā.vi)	BJ_08.13b/.nidrA-a.alasya.-mRdu.-dvija-.amara.ratiH.strI.-janma.-meDAvitA.-kIrti-.arTa.upaca-kzayO.-ca.baliBiH-.vEraM.sva.-pakzeNa.ca//(SA.v
   BJ_08.14a/.bhaumasya.ari.vimarda.bhūpa.sahaja.kṣity.āvika.ajair.dhanaṃ.pradveṣaḥ.suta.mitra.dāra.sahajair.vidvad.guru.dveṣṭṛtā/	Bu-_08.14a/.BOmasya.ari.-vimarda.-BUpa.-sahaja-.kziti-.Avika-.ajEH-.DanaM.-pradvezaH.-suta.mitra.dAra.-sahajEH-.vidvat-.-guru.-dvezwR-tA/
   BJ_08.14b/.tṛṣṇa.asṛg.jvara.pitta.bhaṅga.janitā.rogāḥ.para.strī.kṛtāḥ.prītiḥ.pāpa.ratair.adharma.niratiḥ.pāruṣya.taikṣṇyāni.ca//(śā.vi)	BJ_08.14b/.tRzNa.asRj-.jvara-.-pitta.BaFga.-janitA.-rogAH-.para.-strI.kRtAH.prItiH.pApa-.ratEH-.a-Darma.-niratiH.pAruzya.tEkzNyA-ni.ca//(SA
   BJ_08.15a/.baudhyāṃ.dautya.suhṛd.guru.dvija.dhanaṃ.vidvat.praśaṃsā.yaśo.yukti.dravya.suvarṇa.vesara.mahī.saubhāgya.saukhya.āptayaḥ/	BJ_08.15a/.bODyAM.dOti-a.-suhRd-.guru.-dvija.-DanaM.vidvat.-praSaMsA-A.-yaSo.yukti.dravya.-suvarNa.-vesara.-mahI.-sOBAgya.-sOKya-.AptayaH/
   BJ_08.15b/.hāsya.upāsana.kauśalaṃ.mati.cayo.dharma.kriyā.siddhayaḥ.pāruṣyaṃ.śrama.bandha.mānasa.śucaḥ.pīḍā.ca.dhātu.trayāt//(śā.vi)	BJ_08.15b/.hAsya-.upAsana.-kOSalaM.mati-.cayaH-.Darma.-kriyA.-sidDayaH.pAruzyaM.Srama-.banDa.-mAnasa.-SucaH-.pIxA.ca.DAtu.tra-yAt//(SA.vi)
   BJ_08.16a/.jaivyāṃ.māna.guṇa.udayo.mati.cayaḥ.kāntiḥ.pratāpa.unnatir.māhātmya.udyama.mantra.nīti.nṛ.pati.svādhyāya.mantrair.dhanam/	BJ_08.16a/.jEvyAn.mAna.-guNa-.udayo.mati-.cayaH.-kAntiH.pratApa-.unnatiH-.mAhAtmya-.udyama.-mantra.nIti.-nR.pati.-svADyAya.mantrEH-.Danam/
   BJ_08.16b/.hema.aśva.ātmaja.kuñjara.ambara.cayaḥ.prītiś.ca.sad.bhūmipaiḥ/sūkṣmya.ūha.gahana.āśramaḥ.śravaṇa.rug.vairaṃ.vidharma.āśritaiḥ//(śā.vi)	BJ_08.16b/.hema-.aSva.A-Atma-ja.-kuQjara-.ambara-.cayaH.-prIti-S.ca.-sad.BUmipEH/sUkzmya-.Uha.gahana-.ASramaH.-SravaNa.-ruj-.vEraM.viDarma.A-aSr
   BJ_08.17a/.śaukyāṃ.gīta.ratiḥ.pramoda.surabhi.dravya.anna.pāna.ambara.strī.ratna.dyuti.manmatha.upakaraṇa.jñāna.iṣṭa.mitra.āgamāḥ/	BJ_08.17a/.-SOkyAM.gIta.ratiH.pramoda.-suraBi-.-dravya.anna.-pAna-.ambara.-strI.-ratna.-dyuti.-manmaTa.-upakaraNa.-jQAna-.izwa-.mitra-.AgamAH/
   BJ_08.17b/.kauśalyaṃ.kraya.vikraye.kṛṣi.nidhi.prāptir.dhanasya.āgamo/vṛnda.ūrvī.īśa.niṣāda.dharma.rahitair.vairaṃ.śucaḥ.snehataḥ//(śā.vi)	BJ_08.17b/.-kOSalyaM.kraya.-vikraye.-kRzi.-niDi.-prAptiH-.Danasya.AgamaH-/-vRnda-.UrvI-.-ISa.-nizAda.-Darma.-rahitEH-.vEraM.SucaH.snehataH//(SA
   BJ_08.18a/.saurīṃ.prāpya.khara.uṣṭra.pakṣi.mahiṣī.vṛddha.aṅganā.avāptayaḥ/śreṇī.grāma.puradhi.kāra.janitā.pūjā.kudhānya.āgamaḥ/	Bu-_08.18a/.-sOrIn.prApya.-Kara-.uzwra.-pakzi.-mahizI.-vRdDa-.aFganA-.avAptayaH/SreNI.-grAma.-puraDi.kAra.-janitA.-pUjA-.kuDAnya-.AgamaH/
   BJ_08.18b/.śleṣma.īrṣya.anila.kopa.moha.malina.vyāpatti.tandra.āśramān/bhṛtya.apatya.kalatra.bhartsanam.api.prāpnoti.ca.vyaṅgayatām//(śā.vi)	Bu-_08.18b/.Slezma-.Irzya-.anila.-kopa.moha.-malina.-vyApatti.tandra.a-ASramAn/BRtya-.apatya.-kalatra.-Bartsanam-.api.-prApnoti.ca.vyaFgayat
   BJ_08.19a/.daśāsu.śastāsu.śubhāni.kurvanty.aniṣṭa.saṃjñā.sva.śubhāni.ca.evam/	Bu-_08.19a/.da-SAsu.Sasta-Asu.-SuBAni.kurvanti-.anizwa.-saMjQA.-sva.SuBA-ni.ca.evam/
