   akṣarā kuṭajā tathā YRps_9.7b	akzarA kuwajA taTA YRpH-_9.7b
   kramavṛddhyā śataṃ puṭet YRps_2.15b	krama-vRdDyA Satam puwet YRpH-_2.15b
   kramādagniḥ prakartavyo YRps_1.84c	kramAt-agniH prakartavyaH YRpH-_1.84c
   krameṇa gaganaṃ tāpyaṃ YRps_5.2a	krameNa gaganam tApyam YRpH-_5.2a
   krameṇa sūtaṃ hi dinaiścaturbhiḥ YRps_3.54c	krameNa sUtam hi dinEH-caturBiH YRpH-_3.54c
   krameṇānena mardayet YRps_2.39b	krameNa-anena mardayet YRpH-_2.39b
   krameṇaiva yathātatham YRps_2.35b	krameNa-eva yaTAtaTam YRpH-_2.35b
   krāmaṇaṃ raṃjanaṃ caiva YRps_1.9a	krAmaNam raMjanam ca-eva YRpH-_1.9a
   krāmitaḥ sāritaḥ śubhaḥ YRps_1.22d	krAmitaH sAritaH SuBaH YRpH-_1.22d
   kvāthe kulatthaje svinno YRps_5.61a	kvATe kulatTa-je svinnaH YRpH-_5.61a
   kvāthe tu vaṭamūlaje YRps_5.32b	kvATe tu vawa-mUla-je YRpH-_5.32b
   kṣaṇaṃ cāgnau na tiṣṭheta YRps_5.11c	kzaNam ca-agnO na tizWeta YRpH-_5.11c
   kṣaṇādāmajvaraṃ hanti YRps_6.59a	kzaNAt-Ama-jvaram hanti YRpH-_6.59a
   kṣatriyo vaiśyaśūdrau ca YRps_1.18c	kzatriyaH vESya-SUdrO ca YRpH-_1.18c
   kṣayapāṇḍuvināśanam YRps_6.50b	kzaya-pANxu-vinASanam YRpH-_6.50b
   kṣayarogasamudbhavam YRps_5.9d	kzaya-roga-samudBavam YRpH-_5.9d
   kṣayaṃ pāṇḍuṃ grahaṇikāṃ YRps_5.50c	kzayam pANxum grahaNikAm YRpH-_5.50c
   kṣayaṃ pāṇḍuṃ tathānilam YRps_5.131d	kzayam pANxum taTA-anilam YRpH-_5.131d
   kṣavajāngudajānapi YRps_4.33d	kzava-jAn-gudajAn-api YRpH-_4.33d
   kṣāradvayaṃ rāmaṭhaṃ ca YRps_1.50a	kzAra-dvayam rAmaWam ca YRpH-_1.50a
   kṣārabhasmaprapūritā YRps_11.128b	kzAra-Basma-prapUritA YRpH-_11.128b
   kṣāramamlaṃ ca varjayet YRps_12.7b	kzAram-amlam ca varjayet YRpH-_12.7b
   kṣārayugmamapi cetsupeṣitam YRps_7.58b	kzAra-yugmam-api ced-su-pezitam YRpH-_7.58b
   kṣārādyair bhāṇḍamadhyataḥ YRps_5.109b	kzAra-AdyEH BANxa-maDyataH YRpH-_5.109b
   kṣārābhāsaṃ vaikaṭaṃ yugmakaṃ ca YRps_7.9c	kzAra-ABAsam vEkawam yugmakam ca YRpH-_7.9c
   kṣārāmlaṃ guru dhūmravarṇaviṣahṛt vīryoṣṇakaṃ rāgadam YRps_6.62b	kzAra-amlam guru DUmra-varNa-viza-hRt vIrya-uzNakam rAga-dam YRpH-_6.62b
   kṣāreṇa caṇakasya hi YRps_1.74b	kzAreNa caNakasya hi YRpH-_1.74b
   kṣāreṇa sarveṇa hi vidrumaṃ ca YRps_7.55a	kzAreNa sarveNa hi vidrumam ca YRpH-_7.55a
   kṣāreṇāmlena ca vinā YRps_4.117c	kzAreNa-amlena ca vinA YRpH-_4.117c
   kṣārairamlaiśca mṛditā YRps_6.15c	kzArEH-amlEH-ca mRditAH YRpH-_6.15c
   kṣārairamlaiśca vartitam YRps_5.124d	kzArEH-amlEH-ca vartitam YRpH-_5.124d
   kṣāraiśca lavaṇai ramyaiḥ YRps_1.72a	kzArEH-ca lavaNEH ramyEH YRpH-_1.72a
   kṣāraistribhiścāpi vimardayecca YRps_3.60b	kzArEH-triBiH-ca-api vimardayet-ca YRpH-_3.60b
   kṣārau cāmlena sahitau YRps_1.31a	kzArO ca-amlena sahitO YRpH-_1.31a
   kṣālayitvā rasaṃ tataḥ YRps_1.111b	kzAlayitvA rasam tatas YRpH-_1.111b
   kṣālayet tadanantaram YRps_1.41b	kzAlayet tad-anantaram YRpH-_1.41b
   kṣālayed bahuśo bhiṣak YRps_2.87d	kzAlayet bahuSas Bizaj YRpH-_2.87d
   kṣālite kāṃjikenaiva YRps_1.72c	kzAlite kAMjikena-eva YRpH-_1.72c
   kṣiptvā caikatra mardayet YRps_6.7b	kziptvA ca-ekatra mardayet YRpH-_6.7b
   kṣiptvādhaḥ pīḍanādrasaḥ YRps_1.111d	kziptvA-aDas pIxanAt-rasaH YRpH-_1.111d
   kṣiptvā nirundhyāpi ca mūṣikāyāṃ puṭānyathāṣṭau ca vanopalairdadet	kziptvA nirunDya-api ca mUzikAyAm puwAni-aTa-azwO ca vanopalEH-dadet-
   YRps_7.30/a	YRpH-_7.30/a
   kṣiptvā lohasya kharpare YRps_4.68b	kziptvA lohasya Karpare YRpH-_4.68b
   kṣīraṃ pibati nānyathā YRps_2.84d	kzIram pibati na-anyaTA YRpH-_2.84d
   kṣīraṃ śoṣayate nityaṃ YRps_2.33c	kzIram Sozayate nityam YRpH-_2.33c
   kṣīreṇa pācyaṃ daśabhāgakena YRps_12.14d	kzIreNa pAcyam daSa-BAgakena YRpH-_12.14d
   kṣīreṇa sahitaṃ vāpi YRps_1.106a	kzIreNa sahitam vA-api YRpH-_1.106a
   kṣutkārī dugdhikā bhṛṃgī YRps_9.32c	kzutkArI dugDikA BRMgI YRpH-_9.32c
   kṣudhito jāyate rasaḥ YRps_1.90d	kzuDitaH jAyate rasaH YRpH-_1.90d
   kṣetraṃ dvādaśayojanam YRps_1.16b	kzetram dvAdaSa-yojanam YRpH-_1.16b
   kṣepavedhaḥ sa kathyate YRps_1.146b	kzepaveDaH sa kaTyate YRpH-_1.146b
   kṣeptavyaṃ jalayantrake YRps_11.107d	kzeptavyam jalayantrake YRpH-_11.107d
   kṣaudrasya ca pṛthak pṛthak YRps_12.20b	kzOdrasya ca pRTak pRTak YRpH-_12.20b
   kṣaudrairyuktaṃ bhakṣitaṃ saṃgrahaṇyām YRps_8.29b	kzOdrEH-yuktam Bakzitam saMgrahaNyAm YRpH-_8.29b
   khaṭikāpaṭucūrṇaṃ ca YRps_4.8c	KawikA-pawu-cUrNam ca YRpH-_4.8c
   khaṭikāṃ ca tathopari YRps_11.63b	KawikAm ca taTA-upari YRpH-_11.63b
   khaṭīpaṭuśivābhaktaṃ YRps_2.97a	KawI-pawu-SivA-Baktam YRpH-_2.97a
   khaṇḍaṃ karṣapramāṇaṃ hi YRps_11.74a	KaNxam karza-pramANam hi YRpH-_11.74a
   khadirasya tu cāṃgāraiḥ YRps_5.40c	Kadirasya tu ca-aMgArEH YRpH-_5.40c
   khanijaṃ sahajaṃ tathā YRps_4.21b	Kani-jam sahajam taTA YRpH-_4.21b
   khanijā tuvarī matā YRps_6.11b	KanijA tuvarI matA YRpH-_6.11b
   khanitvā vasudhāṃ kṣipet YRps_1.128d	KanitvA vasuDAm kzipet YRpH-_1.128d
   khanyamāne ca khanijam YRps_4.22b	KanyamAne ca Kanijam YRpH-_4.22b
   khanyamāneṣu kutracit YRps_4.6b	KanyamAnezu kutracid YRpH-_4.6b
   khanyāṃ saṃkhanyamānāyāṃ YRps_4.59a	KanyAm saMKanyamAnAyAm YRpH-_4.59a
   kharasparśā ca pāṇḍurā YRps_4.107b	Kara-sparSA ca pANxurA YRpH-_4.107b
   kharāṇāṃ sattvapātanī YRps_10.35b	KarANAm sattva-pAtanI YRpH-_10.35b
   kharparaṃ retitaṃ śuddhaṃ YRps_5.123a	Karparam retitam SudDam YRpH-_5.123a
   kharparaṃ sthāpayettatra YRps_10.37a	Karparam sTApayet-tatra YRpH-_10.37a
   kharparaḥ pariśudhyati YRps_5.122d	KarparaH pariSuDyati YRpH-_5.122d
   kharparopari vinyaset YRps_2.73d	Karpara-upari vinyaset YRpH-_2.73d
   khalagodhūmayoścūrṇaiḥ YRps_5.39c	Kala-goDUmayoH-cUrNEH YRpH-_5.39c
   khalvaṃ ḍamarukākhyaṃ ca YRps_10.3c	Kalvam xamaruka-AKyam ca YRpH-_10.3c
   khalve kṣiptvā ca tattālaṃ YRps_6.5c	Kalve kziptvA ca tat-tAlam YRpH-_6.5c
   khalve ca vipacettadvat YRps_4.69a	Kalve ca vipacet-tadvat YRpH-_4.69a
   khalve trinemyāḥ svarase YRps_11.5c	Kalve trinemyAH svarase YRpH-_11.5c
   khalve dinatrayaṃ tāvad YRps_1.44a	Kalve dina-trayam tAvat YRpH-_1.44a
   khalve dṛḍhataraṃ piṣṭvā YRps_4.90a	Kalve dRXataram pizwvA YRpH-_4.90a
   khalve piṣṭvā tu matimān YRps_5.30a	Kalve pizwvA tu matimAn YRpH-_5.30a
   khalve vimardayettāvad YRps_11.105c	Kalve vimardayet-tAvat YRpH-_11.105c
   khalve vimardayetsūtaṃ YRps_1.37a	Kalve vimardayet-sUtam YRpH-_1.37a
   khalve vimardya nitarāṃ YRps_4.72a	Kalve vimardya nitarAm YRpH-_4.72a
   khalve sarvaṃ marditaṃ caikayāmaṃ YRps_8.32c	Kalve sarvam marditam ca-eka-yAmam YRpH-_8.32c
   khalve sūkṣmaṃ pracūrṇayet YRps_4.43d	Kalve sUkzmam pracUrNayet YRpH-_4.43d
   khātapramāṇaṃ kathitaṃ YRps_2.68c	KAta-pramANam kaTitam YRpH-_2.68c
   khātaṃ trihastamātraṃ syāl YRps_2.97c	KAtam tri-hasta-mAtram syAt YRpH-_2.97c
   khādedārdraṃ cānupāne jvarārtaḥ YRps_8.18c	KAdet-Ardram ca-anupAne jvara-ArtaH YRpH-_8.18c
   khuraṃ tadabhidhīyate YRps_4.79d	Kuram tat-aBiDIyate YRpH-_4.79d
   khuraṃ miśraṃ tathaiva ca YRps_4.79b	Kuram miSram taTA-eva ca YRpH-_4.79b
   khuraṃ śudhyati ḍhālitam YRps_4.80b	Kuram SuDyati XAlitam YRpH-_4.80b
   khurāsānyahīphenakam YRps_13.1d	KurAsAni-ahIPenakam YRpH-_13.1d
   khoṭakā śṛṅgarīṭikā YRps_9.34b	KowakA SRFgarIwikA YRpH-_9.34b
   khoṭaṃ nakṣatrasannibham YRps_2.49b	Kowam nakzatra-sanniBam YRpH-_2.49b
   khoṭaṃ baddhvā tu vipacet YRps_2.81a	Kowam badDvA tu vipacet YRpH-_2.81a
   khyātaṃ sadbhiḥ saptadhā vidrumaṃ ca YRps_7.11c	KyAtam sadBiH saptaDA vidrumam ca YRpH-_7.11c
   gaganaṃ kunaṭī samam YRps_11.2b	gaganam kunawI samam YRpH-_11.2b
   gaganaṃ tu caturvidham YRps_5.3b	gaganam tu caturviDam YRpH-_5.3b
   gaṅgeṭī śarapuṅkhikā YRps_9.32d	gaFgewI SarapuFKikA YRpH-_9.32d
   gacchecca pramadāśatam YRps_12.7d	gacCet-ca pramadA-Satam YRpH-_12.7d
   gajapater balavad balado nṛṇāṃ YRps_3.9a	gaja-pateH balavat bala-daH nRNAm YRpH-_3.9a
   gajapippalikā bhṛṃga- YRps_9.37c	gajapippalikA BRMga YRpH-_9.37c
   gajavaṃgau mahāghorāv YRps_1.103c	gaja-vaMgO mahA-GorO YRpH-_1.103c
   gajāhvaṃ chagaṇena ca YRps_2.69b	gajAhvam CagaNena ca YRpH-_2.69b
   gaṇapatiṃ prathamaṃ praṇamāmyaham YRps_1.3d	gaNapatim praTamam praNamAmi-aham YRpH-_1.3d
   gaṇitarasaśatānāṃ saṃgrahaḥ procyate vai YRps_8.1d	gaNita-rasa-SatAnAm saMgrahaH procyate vE YRpH-_8.1d
   gatabalena nareṇa susevito YRps_3.17a	gata-balena nareNa su-sevitaH YRpH-_3.17a
   gadaharo balado'pi hi varṇado YRps_3.13c	gada-haraH bala-daH-api hi varNa-daH YRpH-_3.13c
   gadyāṇake bhavettāraṃ YRps_11.72c	gadyANake Bavet-tAram YRpH-_11.72c
   gadyāṇaṃ vai jāyate śuddhahema YRps_11.34d	gadyANam vE jAyate SudDa-hema YRpH-_11.34d
   gadyāṇe caturo vallān YRps_11.76c	gadyANe caturaH vallAn YRpH-_11.76c
   gadyāṇe vallamātrakam YRps_11.27b	gadyANe valla-mAtrakam YRpH-_11.27b
   gadyāṇe vedhakṛdbhavet YRps_1.162b	gadyANe veDa-kRt-Bavet YRpH-_1.162b
   gadyāṇaikasya mudrikā YRps_11.46b	gadyANa-ekasya mudrikA YRpH-_11.46b
   gandhatālena puṭitaṃ YRps_4.115c	ganDa-tAlena puwitam YRpH-_4.115c
   gandhanimbūrasairmardyaḥ YRps_5.61c	ganDa-nimbU-rasEH-mardyaH YRpH-_5.61c
   gandhapiṣṭakayantrakam YRps_10.6d	ganDa-pizwaka-yantrakam YRpH-_10.6d
   gandharāgeṇa kartavyaṃ YRps_1.152a	ganDa-rAgeNa kartavyam YRpH-_1.152a
   gandharāgeṇa rañjayet YRps_1.153d	ganDa-rAgeNa raQjayet YRpH-_1.153d
   gandhāccūrṇaṃ tāpyatāmrāvaśeṣaṃ YRps_11.32c	ganDAt-cUrNam tApya-tAmra-avaSezam YRpH-_11.32c
   gandhā sūtendrasiddhidāḥ YRps_9.38d	ganDA sUtendra-sidDi-dAH YRpH-_9.38d
   garadoṣavināśinī YRps_6.12d	gara-doza-vinASinI YRpH-_6.12d
   gartake navasādaram YRps_11.63d	gartake navasAdaram YRpH-_11.63d
   gartamadhyaṃ ca pūritam YRps_10.44d	garta-maDyam ca pUritam YRpH-_10.44d
   gartamadhye nidhāyātha YRps_10.45c	garta-maDye niDAya-aTa YRpH-_10.45c
   gartamāpūrya cāṃgāraiḥ YRps_10.39a	gartam-ApUrya ca-aMgArEH YRpH-_10.39a
   gartaṃ khaned dṛḍhaṃ bhūmau YRps_10.36a	gartam Kanet dRXam BUmO YRpH-_10.36a
   gartaṃ ceccaturasrakam YRps_10.46d	gartam ced-caturasrakam YRpH-_10.46d
   gartaṃ hastapramāṇakam YRps_4.85d	gartam hasta-pramANakam YRpH-_4.85d
   garte tu vālukāpūrṇe YRps_10.50a	garte tu vAlukA-pUrNe YRpH-_10.50a
   garte tu sthāpitāṃ bhūmau YRps_1.54e	garte tu sTApitAm BUmO YRpH-_1.54e
   garbhadrutirbāhyadrutiḥ YRps_1.24c	garBadrutiH-bAhyadrutiH YRpH-_1.24c
   garbhadruterjāraṇaṃ hi YRps_1.96c	garBadruteH-jAraNam hi YRpH-_1.96c
   garbhamūṣā tu sā jñeyā YRps_10.28c	garBamUzA tu sA jQeyAH YRpH-_10.28c
   garbhayantrodarāntare YRps_4.43b	garBayantra-udara-antare YRpH-_4.43b
   galaroganibarhaṇam YRps_4.116d	gala-roga-nibarhaNam YRpH-_4.116d
   galitanimbuphalodbhavakena vai YRps_3.24b	galita-nimbu-Pala-udBavakena vE YRpH-_3.24b
   gavāṃ mūtre tathaiva ca YRps_5.15d	gavAm mUtre taTA-eva ca YRpH-_5.15d
   gavāṃ mūtrairnarasya vā YRps_5.70b	gavAm mUtrEH-narasya vA YRpH-_5.70b
   gavyaṃ daśaguṇaṃ payaḥ YRps_12.18d	gavyam daSaguNam payaH YRpH-_12.18d
   gaṃgodakasamudbhūtaṃ YRps_7.5a	gaMgA-udaka-samudBUtam YRpH-_7.5a
   gaṃdhakasya guṇānvaktuṃ YRps_6.51c	gaMDakasya guNAn-vaktum YRpH-_6.51c
   gaṃdhakasya caturbhedā YRps_6.28a	gaMDakasya catur-BedAH YRpH-_6.28a
   gaṃdhakena samaṃ kṛtvā YRps_1.92c	gaMDakena samam kRtvA YRpH-_1.92c
   gaṃdhako'timanoharaḥ YRps_6.39b	gaMDakaH-ati-manoharaH YRpH-_6.39b
   gaṃdhacūrṇaṃ satailakam YRps_6.46d	gaMDa-cUrNam sa-tElakam YRpH-_6.46d
   gaṃdhāśmaṭaṃkaṇābhyāṃ ca YRps_5.71a	gaMDASma-waMkaNAByAm ca YRpH-_5.71a
   gaṃdhāśmaniṃbukadrāvair YRps_5.93c	gaMDASma-niMbuka-drAvEH YRpH-_5.93c
   gaṃdhāśmabījapūrābhyāṃ YRps_5.81c	gaMDASma-bIjapUrAByAm YRpH-_5.81c
   gaṃdhāśmā vai pippalī vatsanābham YRps_8.34b	gaMDASmA vE pippalI vatsanABam YRpH-_8.34b
   gātraiḥ śuddhaṃ bhāravadraśmiyuktam YRps_7.14b	gAtrEH SudDam BAravat-raSmi-yuktam YRpH-_7.14b
   gāndharvī vyāghrapādī ca YRps_9.5a	gAnDarvI vyAGrapAdI ca YRpH-_9.5a
   gāndhārī rajanīṅgudī YRps_9.35d	gAnDArI rajanI-iFgudI YRpH-_9.35d
   gāragoṣṭhī samuddiṣṭā YRps_10.39c	gAragozWI samuddizwAH YRpH-_10.39c
   gārabhūnāgasattvābhyāṃ YRps_10.18a	gAra-BUnAga-sattvAByAm YRpH-_10.18a
   gārabhūnāgasatvābhyāṃ YRps_10.11c	gAra-BUnAga-satvAByAm YRpH-_10.11c
   gāramūṣeti kathyate YRps_10.12d	gAramUzA-iti kaTyate YRpH-_10.12d
   gālayenmūṣikāmadhye YRps_11.113a	gAlayet-mUzikA-maDye YRpH-_11.113a
   gālitaṃ mūṣikāmukhe YRps_11.121b	gAlitam mUzikA-muKe YRpH-_11.121b
   gālitaṃ vajramūṣayā YRps_11.71d	gAlitam vajramUzayA YRpH-_11.71d
   gālitaṃ vastrakhaṇḍena YRps_5.30c	gAlitam vastra-KaNxena YRpH-_5.30c
   girijaṃ kaphavātaghnaṃ YRps_5.107c	girijam kaPa-vAta-Gnam YRpH-_5.107c
   giriṇḍāni ca nikṣipet YRps_10.45d	giriNxAni ca nikzipet YRpH-_10.45d
   giriśadhāma sadā mahadadbhutaṃ YRps_1.4a	giriSa-DAma sadA mahat-adButam YRpH-_1.4a
   girisindūra īritaḥ YRps_6.86d	girisindUraH IritaH YRpH-_6.86d
   girisindūrasaṃjñitaḥ YRps_6.85d	girisindUra-saMjQitaH YRpH-_6.85d
   girīndranāmā ruciro 'sti bhūdharaḥ YRps_1.13b	girIndra-nAmA ruciraH asti BUDaraH YRpH-_1.13b
   guggulutriphalāsārdhaṃ YRps_3.46a	guggulu-triPalA-sArDam YRpH-_3.46a
   guṭikā kolamātrā hi YRps_13.4c	guwikA kola-mAtrAH hi YRpH-_13.4c
   guṭyo hanyuḥ sannipātātisārān YRps_8.30f	guwyaH hanyuH sannipAta-atisArAn YRpH-_8.30f
   guḍagaṃdhau samāṃśakau YRps_4.71d	guxa-gaMDO sama-aMSakO YRpH-_4.71d
   guṇāguṇānyeva mayoditāni YRps_4.118b	guNa-aguNAni-eva mayA-uditAni YRpH-_4.118b
   guṇādhikaṃ tayormadhye YRps_5.102c	guNa-aDikam tayoH-maDye YRpH-_5.102c
   guṇādhikyānmahārasān YRps_5.1b	guNa-ADikyAt-mahArasAn YRpH-_5.1b
   guṇālpakaṃ bhavatyetat YRps_5.80c	guNa-alpakam Bavati-etat YRpH-_5.80c
   guṇāḥ śodhanamāraṇam YRps_1.7d	guNAH SoDana-mAraNam YRpH-_1.7d
   guṇena kāṣṭhakhaṇḍe vai YRps_1.34a	guNena kAzWa-KaNxe vE YRpH-_1.34a
   guṇairevaṃvidho bhavet YRps_6.78b	guNEH-evaMviDaH Bavet YRpH-_6.78b
   gudārtigulmavraṇaśūlahṛtparaṃ YRps_6.57c	guda-Arti-gulma-vraNa-SUla-hRt-param YRpH-_6.57c
   guruṇā kathitaṃ samyak YRps_4.13a	guruNA kaTitam samyak YRpH-_4.13a
   gurumārgeṇa ca sphuṭam YRps_2.68d	guru-mArgeNa ca sPuwam YRpH-_2.68d
   guruśca śleṣmapittahā YRps_6.74b	guruH-ca Slezma-pitta-hA YRpH-_6.74b
   guru snigdhaṃ ca bhāsuram YRps_6.2d	guru snigDam ca BAsuram YRpH-_6.2d
   guru snigdhaṃ tridoṣahā YRps_6.26b	guru snigDam tridoza-hA YRpH-_6.26b
   guru snigdhaṃ suśītalam YRps_5.104b	guru snigDam su-SItalam YRpH-_5.104b
   guruḥ snigdhā ca khaṇḍikā YRps_6.17d	guruH snigDA ca KaNxikA YRpH-_6.17d
   gurūṇāṃ hi prasādataḥ YRps_2.1d	gurUNAm hi prasAdataH YRpH-_2.1d
   gurūpadeśato dṛṣṭaṃ YRps_1.131c	guru-upadeSataH dRzwam YRpH-_1.131c
   guroḥ prasādātsatataṃ YRps_1.100a	guroH prasAdAt-satatam YRpH-_1.100a
   gulmaplīhayakṛtkṣayān YRps_4.54b	gulma-plIha-yakRt-kzayAn YRpH-_4.54b
   gulmaplīhāmayāpaham YRps_6.69b	gulma-plIha-Amaya-apaham YRpH-_6.69b
   gulmāni cāṣṭāvudarāṇi hanyāt YRps_3.58c	gulmAni ca-azwO=-udarANi hanyAt YRpH-_3.58c
   gulmānpañcavidhānapi YRps_5.51b	gulmAn-paQcaviDAn-api YRpH-_5.51b
   guṃjāmātrā nirmitā bhakṣitā hi YRps_8.30e	guMjA-mAtrAH nirmitAH BakzitA hi YRpH-_8.30e
   guṃjāmātro bhakṣitaścejjvarāriḥ YRps_8.19d	guMjA-mAtraH BakzitaH-ced-jvarAriH YRpH-_8.19d
   gṛhadhūmaiḥ sasaiṃdhavaiḥ YRps_5.124b	gRhaDUmEH sa-sEMDavEH YRpH-_5.124b
   gṛhṇīyātāṃ ca mūṣikām YRps_2.41b	gRhNIyAtAm ca mUzikAm YRpH-_2.41b
   gṛṃjanasya rasenaiva YRps_11.78c	gRMjanasya rasena-eva YRpH-_11.78c
   gairikaṃ tu gavāṃ dugdhair YRps_6.82a	gErikam tu gavAm dugDEH YRpH-_6.82a
   gairikaṃ navasādaram YRps_11.42d	gErikam navasAdaram YRpH-_11.42d
   gairikaṃ navasādaram YRps_11.46d	gErikam navasAdaram YRpH-_11.46d
   gairikaṃ satvarūpaṃ hi YRps_6.82c	gErikam satva-rUpam hi YRpH-_6.82c
   gairikaṃ sthāpayetpūrvaṃ YRps_11.63a	gErikam sTApayet-pUrvam YRpH-_11.63a
   gairikeṇa samaṃ kṛtvā YRps_11.29a	gErikeNa samam kRtvA YRpH-_11.29a
   gokṣurekṣurabījāni YRps_12.3a	gokzura-ikzura-bIjAni YRpH-_12.3a
   gojihvā kākamācī ca YRps_2.104c	gojihvA kAkamAcI ca YRpH-_2.104c
   gojihvā musalī tathā YRps_9.15b	gojihvA musalI taTA YRpH-_9.15b
   gojihvārasasaṃmiśraṃ YRps_11.77c	gojihvA-rasa-saMmiSram YRpH-_11.77c
   gojihvikārasenaiva YRps_2.46c	gojihvikA-rasena-eva YRpH-_2.46c
   godugdhatas tārkṣyamupaiti śuddhim YRps_7.55b	go-dugDataH tArkzyam-upEti SudDim YRpH-_7.55b
   godugdhaṃ cānu sampibet YRps_6.49d	go-dugDam ca-anu sampibet YRpH-_6.49d
   godugdhe śodhanīyaṃ ca YRps_13.7c	go-dugDe SoDanIyam ca YRpH-_13.7c
   gomayairveṣṭitaṃ tacca YRps_2.14c	gomayEH-vezwitam tat-ca YRpH-_2.14c
   gomārī ca triśūlinī YRps_9.5b	gomArI ca triSUlinI YRpH-_9.5b
   gomūtre kāñjike cātha YRps_11.22a	go-mUtre kAQjike ca-aTa YRpH-_11.22a
   gomūtreṇātha kṣāraiśca YRps_5.54a	go-mUtreNa-aTa kzArEH-ca YRpH-_5.54a
   gomūtreṇānupānena YRps_3.49a	go-mUtreNa-anupAnena YRpH-_3.49a
   gomūtreṇāmlavargeṇa YRps_1.110a	go-mUtreNa-amlavargeNa YRpH-_1.110a
   gomūtreṇaiva svedayet YRps_11.9b	go-mUtreNa-eva svedayet YRpH-_11.9b
   gomedakaṃ pittaharaṃ pradiṣṭaṃ YRps_7.48a	gomedakam pitta-haram pradizwam YRpH-_7.48a
   gomedakaṃ ratnavaraṃ praśastaṃ YRps_7.45a	gomedakam ratna-varam praSastam YRpH-_7.45a
   gomedakaṃ śuddhamihocyate khalu YRps_7.45d	gomedakam SudDam-iha-ucyate Kalu YRpH-_7.45d
   gomedavad rāgayutaṃ pracakṣate YRps_7.45b	gomeda-vat rAga-yutam pracakzate YRpH-_7.45b
   gomedaṃ cedīdṛśaṃ no variṣṭham YRps_7.47d	gomedam ced-IdRSam naH varizWam YRpH-_7.47d
   gomedaṃ vai rocanāyā rasena YRps_7.56b	gomedam vE rocanAyAH rasena YRpH-_7.56b
   golakopari niveṣṭya mūtrataḥ YRps_7.60d	golaka-upari nivezwya mUtrataH YRpH-_7.60d
   golamasya ca vidhāya nikṣiped YRps_7.60a	golam-asya ca viDAya nikzipet YRpH-_7.60a
   golamasya ca vidhāya saṃpuṭe YRps_8.11a	golam-asya ca viDAya saMpuwe YRpH-_8.11a
   golasya svedanaṃ kāryam YRps_2.94c	golasya svedanam kAryam YRpH-_2.94c
   golaṃ kṛtvā dhamettataḥ YRps_11.70b	golam kRtvA Damet-tatas YRpH-_11.70b
   golaṃ kṛtvā maṃdavahnau vipācya YRps_8.23d	golam kRtvA maMda-vahnO vipAcya YRpH-_8.23d
   golaṃ kṛtvā viśoṣitam YRps_11.83b	golam kRtvA viSozitam YRpH-_11.83b
   golaṃ garbhe niveśayet YRps_2.104b	golam garBe niveSayet YRpH-_2.104b
   govaraṃ puṭamucyate YRps_10.48d	govaram puwam-ucyate YRpH-_10.48d
   govare puṭake nyaset YRps_11.130b	govare puwake nyaset YRpH-_11.130b
   govarairvā tuṣairvāpi YRps_10.52a	govarEH-vA tuzEH-vA-api YRpH-_10.52a
   govaraiḥ pācayetsvalpam YRps_11.111c	govarEH pAcayet-su-alpam YRpH-_11.111c
   gostanākāramūṣā yā YRps_10.23a	gostana-AkAra-mUzA yA YRpH-_10.23a
   granthakāreṇa nirmitam YRps_10.43b	granTakAreNa nirmitam YRpH-_10.43b
   granthavistarabhītyātra YRps_9.11c	granTa-vistara-BItyA-atra YRpH-_9.11c
   granthibhedaśca jāyate YRps_1.44f	granTiBedaH-ca jAyate YRpH-_1.44f
   grantho'yaṃ grathitaḥ karotu satataṃ saukhyaṃ satāṃ mānase YRps_13.15d	granTaH-ayam graTitaH karotu satatam sOKyam satAm mAnase YRpH-_13.15d
   grastayantraṃ tathaiva ca YRps_10.4d	grastayantram taTA-eva ca YRpH-_10.4d
   grahaṇīkāmalāśūla- YRps_5.99c	grahaNI-kAmalA-SUla YRpH-_5.99c
   grahaṇīkṣayarogaghnī YRps_6.72c	grahaNI-kzaya-roga-GnI YRpH-_6.72c
   grahaṇīṃ nāśayed duṣṭāṃ YRps_6.50c	grahaNIm nASayet duzwAm YRpH-_6.50c
   graṃthe 'smin parikalpitāḥ YRps_1.12d	graMTe asmin parikalpitAH YRpH-_1.12d
   grāsa evaṃ pradīyate YRps_1.89d	grAsaH evam pradIyate YRpH-_1.89d
   grāsamāne punardeyaṃ YRps_1.113a	grAsamAne punar-deyam YRpH-_1.113a
   grāsenaiva ca sādhayet YRps_1.90b	grAsena-eva ca sADayet YRpH-_1.90b
   grāhayettāṃ bhiṣagvaraḥ YRps_11.25b	grAhayet-tAm Bizaj-varaH YRpH-_11.25b
   grāhyaṃ cetpravaraṃ sadā YRps_11.104b	grAhyam ced-pravaram sadA YRpH-_11.104b
   grāhyaṃ satvaṃ tad ūrdhvagam YRps_11.81b	grAhyam satvam tat UrDva-gam YRpH-_11.81b
   grīṣmavarṣā tu yūthikā YRps_9.28d	grIzma-varzA tu yUTikAH YRpH-_9.28d
   ghaṭastho hi rasottamaḥ YRps_1.65d	Gawa-sTaH hi rasottamaH YRpH-_1.65d
   ghaṭikāturyamātraṃ hi YRps_11.45a	GawikA-turya-mAtram hi YRpH-_11.45a
   ghaṭikādvayamānena YRps_2.40c	GawikA-dvaya-mAnena YRpH-_2.40c
   ghaṭikādvayamānena YRps_11.126a	GawikA-dvaya-mAnena YRpH-_11.126a
