   (Vaidya 1)	(VEdyaH 1)
   tatraivāntardadhe /	tatra eva antardaDe /
   tadevaṃ na vibhavakṣayāvekṣayā samṛddhyāśayā vā pradānavaidhuryamupayānti	tat evam na viBava kzaya avekzayA samRdDi A ASayAH vA pradAna vEDuryam upayAnti
   satpuruṣā iti /	sat puruzAH iti /
   ity aviṣahyaśreṣṭhijātakaṃ pañcamam /	iti avizahya SrezWi jAtakam paQcamam /
   (Vaidya 30)	(VEdyaH 30)
   6. Śaśajātakam	6. ŚaSa jAtakam
   tiryaggatānāmapi satāṃ mahātmanāṃ śaktyanurūpā dānapravṛttirdṛṣṭā / kena	tiryak gatAnAm api satAm mahAtmanAm Sakti anurUpA dAna pravRttiH dRzwA / kena
   nāma manuṣyabhūtena na dātavyaṃ syāt? tadyathānuśrūyate  	nAma manuzya BUtena na dAtavyam syAt? tat yaTA anuSrUyate  
   kasmiṃścidaraṇyāyatanapradeśe manojñavīruttṛṇatarugahananicite	kasmiMScid araNya Ayatana pradeSe manojQa vIruD tRNa taru gahana nicite
   puṣpaphalavati vaiḍūryanīlaśucivāhinyā saritā vibhūṣitaparyante	puzpa Palavati vExUrya nIla Suci vAhinyA saritAH viBUzita paryante
   mṛduśādvalāstaraṇasukhasaṃsparśadarśanīyadharaṇītale tapasvijanavicarite	mRdu SAdvala AstaraNa suKa saMsparSa darSanIya DaraNI tale tapasvi jana vicarite
   bodhisattvaḥ śaśo babhūva /	boDisattvaH SaSaH baBUva /
   sa sattvayogādvapuṣaśca saṃpadā balaprakarṣādvipulena caujasā /	sa sattva yogAt vapuzaH ca saMpadA bala prakarzAt vipulena ca ojasA /
   atarkitaḥ kṣudramṛgairaśaṅkitaścacāra tasminmṛgarājalīlayā // Jm_6.1 //	atarkitaH kzudra mRgEH aSaFkitaH cacAra tasmin mRgarAja lIlayA // Jm_6.1 //
   svacarmājinasaṃvītaḥ svatanūruhavalkalaḥ /	sva carma ajina saMvItaH sva tanUruha valkalaH /
   munivattatra śuśubhe tuṣṭacittastṛṇāṅkuraiḥ // Jm_6.2 //	muni vat tatra SuSuBe tuzwa cittaH tRNa aFkurEH // Jm_6.2 //
   tasya maitryavadātena manovākkāyakarmaṇā /	tasya mEtrI avadAtena manaH vAk kAya karmaNA /
   āsurjṛmbhitadaurātmyāḥ prāyaḥ śiṣyamukhā mṛgāḥ // Jm_6.3 //	AsuH jRmBita dOrAtmyAH prAyas Sizya muKAH mRgAH // Jm_6.3 //
   tasya guṇātiśayasaṃbhṛtena snehagauraveṇa viśeṣavattaramavabaddhahṛdayāstu	tasya guNa atiSaya saMBRtena sneha gOraveNa viSezavattaram avabadDa hRdayAH tu
   ye sahāyā babhūvurudraḥ śṛgālo vānaraśca, te	ye sahAyAH baBUvurudraH SRgAlaH vAnaraH ca, te
   parasparasaṃbandhanibaddhasnehā iva bāndhavā	paraspara saMbanDa nibadDa snehAH iva bAnDavA
   anyonyapraṇayasaṃmānanāvirūḍhasauhārdā iva ca suhṛdaḥ saṃmodamānāstatra	anyonya praNaya saMmAnanA virUXa sOhArdAH iva ca suhRdaH saMmodamAnAH tatra
   viharanti sma / tiryaksvabhāvavimukhāśca prāṇiṣu dayānuvṛttyā	viharanti sma / tiryak svaBAva vimuKAH ca prANizu dayA anuvRttyA
   laulyapraśamādvismṛtasteyapravṛttyā dharmāvirodhinyā ca yaśo 'nuvṛttyā	lOlya praSamAt vismRta steya pravRttyA Darma aviroDinyA ca yaSaH anuvRttyA
   paṭuvijñānatvādviniyamadhīrayā ca sajjaneṣṭayā ceṣṭayā devatānāmapi	pawu vijQAna tvAt viniyama DIrayA ca sat jana izwayA cezwayA devatAnAm api
   vismayanīyā babhūvuḥ /	vismayanIyAH baBUvuH /
   sukhānulome guṇabādhini krame guṇānukūle ca sukhoparodhini /	suKa anulome guNa bADini krame guNa anukUle ca suKa uparoDini /
   naro 'pi tāvadguṇapakṣasaṃśrayādvirājate kimvatha tiryagākṛtiḥ // Jm_6.4	naraH api tAvat guNa pakza saMSrayAt virAjate kimvaTa tiryak AkRtiH // Jm_6.4
   abhūtsa teṣāṃ tu śaśākṛtiḥ kṛtī parānukampāpratiṣadgururguruḥ /	aBUt sa tezAm tu SaSa AkRtiH kRtI para anukampA pratizad guruH guruH /
   svabhāvasaṃpacca guṇakramānugā yaśo yadeṣāṃ suralokamapyagāt // Jm_6.5 //	svaBAva saMpad ca guNa krama anugAH yaSaH yat ezAm sura lokam api agAt // Jm_6.5 //
   (Vaidya 31)	(VEdyaH 31)
   atha kadācit sa mahātmā sāyāhnasamaye dharmaśravaṇārthamabhigataiḥ	aTa kadAcid sa mahAtmA sAyAhna samaye Darma SravaNa arTam aBigatEH
   sabahumānamupāsyamānastaiḥ sahāyaiḥ	sa bahu mAnam upAsyamAnaH tEH sahAyEH
   paripūrṇaprāyamaṃḍalamādityaviprakarṣādvyavadāyamānaśobhaṃ	paripUrNa prAya maMxalam Aditya viprakarzAt vyavadAyamAna SoBam
   rūpyadarpaṇamiva tsaruvirahitamīṣatpārśvāpavṛttabimbaṃ	rUpya darpaNam iva tsaru virahitam Izat pArSva apavRtta bimbam
   śuklapakṣacaturdaśīcandramasamuditamabhisamīkṣya sahāyānuvāca  	Sukla pakza caturdaSI candramasamuditam aBisamIkzya sahAyAn uvAca  
   asāvāpūrṇaśobhena maṇḍalena hasanniva /	asO= ApUrNa SoBena maNxalena hasan= iva /
   nivedayati sādhūnāṃ candramāḥ poṣadhotsavam // Jm_6.6 //	nivedayati sADUnAm candramAH pozaDA utsavam // Jm_6.6 //
   tadvyaktaṃ śvaḥ pañcadaśī / yato bhavadbhiḥ	tad vyaktam Svas paQcadaSI / yatas BavadBiH
   poṣadhaniyamamabhisaṃpādayadbhirnyāyopalabdhenāhāraviśeṣeṇa	pozaDa niyamam aBisaMpAdayadBiH nyAya upalabDena AhAra viSezeNa
   kālopanatamatithijanaṃ pratipūjya prāṇasaṃdhāraṇamanuṣṭheyam / paśyantu	kAla upanatam atiTi janam pratipUjya prANa saMDAraNam anuzWeyam / paSyantu
   bhavantaḥ /	BavantaH /
   yatsaṃprayogā virahāvasānāḥ samucchrayāḥ pātavirūpaniṣṭhāḥ /	yat saMprayogAH viraha avasAnAH samucCrayAH pAta virUpa nizWAH /
   vidyullatābhaṅgaralolamāyustenaiva kāryo dṛḍhamapramādaḥ // Jm_6.7 //	vidyut latA BaFgara lolam AyuH tena eva kAryaH dRXam apramAdaH // Jm_6.7 //
   dānena śīlābharaṇena tasmāt puṇyāni saṃvardhayituṃ yatadhvam /	dAnena SIla ABaraNena tasmAt puNyAni saMvarDayitum yataDvam /
   vivartamānasya hi janmadurge lokasya puṇyāni parā pratiṣṭhā // Jm_6.8 //	vivartamAnasya hi janma durge lokasya puNyAni parA pratizWA // Jm_6.8 //
   tārāgaṇānāmabhibhūya lakṣmīṃ vibhāti yatkāntiguṇena somaḥ /	tArA gaNAnAm aBiBUya lakzmIm viBAti yat kAnti guNena somaH /
   jyotīṃṣi cākramya sahasraraśmiryaddīpyate puṇyaguṇocchrayaḥ saḥ // Jm_6.9	jyotIMzi ca Akramya sahasraraSmiH yat dIpyate puNya guNa ucCrayaH saH // Jm_6.9
   dṛptasvabhāvāḥ sacivā nṛpāśca puṇyaprabhāvāt pṛthivīśvarāṇām /	dRpta svaBAvAH sacivAH nRpAH ca puNya praBAvAt pRTivI ISvarANAm /
   sadaśvavṛttyā hatasarvagarvāḥ prītā ivājñādhuramudvahanti // Jm_6.10 //	sat aSva vRttyA hata sarva garvAH prItAH iva AjQA ADuram udvahanti // Jm_6.10 //
   puṇyairvihīnānanuyātyalakṣmīrvispandamānānapi nītimārge /	puNyEH vihInAn anuyAti alakzmIH vispandamAnAn api nIti mArge /
   puṇyādhikaiḥ sā hyavabhartsyamānā paryetyamarṣādiva tadvipakṣān // Jm_6.11	puNya aDikEH sA hi avaBartsyamAnA paryeti amarzAt iva tad vipakzAn // Jm_6.11
   duḥkhapratiṣṭhādayaśo 'nubaddhādapuṇyamārgāduparamya tasmāt /	duHKa pratizWAt ayaSaH anubadDAt apuNya mArgAt uparamya tasmAt /
   śrīmatsu saukhyodayasādhaneṣu puṇyaprasaṅgeṣu matiṃ kurudhvam // Jm_6.12	SrImatsu sOKya udaya sADanezu puNya prasaFgezu matim kuruDvam // Jm_6.12
   (Vaidya 32)	(VEdyaH 32)
   te tathetyasyānuśāsanāṃ pratigṛhyābhivādya pradakṣiṇīkṛtya cainaṃ	te taTA iti asya anuSAsanAm pratigRhya aBivAdya pradakziNIkRtya ca enam
   svānsvānālayānabhijagmuḥ / aciragateṣu ca teṣu sahāyeṣu sa mahātmā	svAn sva an AlayAn aBijagmuH / acira gatezu ca tezu sahAyezu sa mahAtmA
   cintāmāpede /	cintAm Apede /
   atitherabhyupetasya saṃmānaṃ yena tena vā /	atiTeH aByupetasya saMmAnam yena tena vA /
   vidhātuṃ śaktirastyeṣāmatra śocyo 'hameva tu // Jm_6.13 //	viDAtum SaktiH asti ezAm atra SocyaH aham eva tu // Jm_6.13 //
   asmaddantāgravicchinnāḥ paritiktāstṛṇāṅkarāḥ /	asmad danta agra vicCinnAH paritiktAH tRNa aFkarAH /
   śakyā nātithaye dātuṃ sarvathā dhigaśaktitām // Jm_6.14 //	SakyA na atiTaye dAtum sarvaTA Dik aSakti tAm // Jm_6.14 //
   ityasāmarthyadīnena ko nvartho jīvitena me /	iti asAmarTya dInena kaH nu arTaH jIvitena me /
   ānandaḥ śokatāṃ yāyādyasyaivamatithirmama // Jm_6.15 //	AnandaH Soka tAm yAyAt yasya evam atiTiH mama // Jm_6.15 //
   tatkutredānīmidamatithiparicaryāvaiguṇye niḥsāraṃ śarīrakamutsṛjyamānaṃ	tat kutra idAnIm idam atiTi paricaryA vEguNye niHsAram SarIrakam utsRjyamAnam
   kasyacidupayogāya syāditi vimṛśansa mahātmā smṛtiṃ pratilebhe / aye /	kasyacid upayogAya syAt iti vimRSan sa mahAtmA smRtim pratileBe / aye /
   svādhīnasulabhametanniravadyaṃ vidyate mamaiva khalu /	svADIna sulaBam etat niravadyam vidyate mama eva Kalu /
   atithijanapratipūjanasamartharūpaṃ śarīradhanam // Jm_6.16 //	atiTi jana pratipUjana samarTa rUpam SarIra Danam // Jm_6.16 //
   tatkimahaṃ viṣīdāmi?	tat kim aham vizIdAmi?
   samadhigatamidaṃ mayātitheyaṃ hṛdaya vimuñca yato viṣādadainyam /	samaDigatam idam mayA AtiTeyam hRdaya vimuQca yatas vizAda dEnyam /
   samupanatamanena satkariṣyāmyahamatithipraṇayaṃ śarīrakeṇa // Jm_6.17 //	samupanatam anena satkarizyAmi aham atiTi praNayam SarIrakeNa // Jm_6.17 //
   iti viniścatya sa mahāsattvaḥ paramamiva lābhamadhigamya	iti viniScatya sa mahAsattvaH paramam iva lABam aDigamya
   paramaprītamanāstatrāvatastheḥ /	parama prIta manAH tatra avatasTeH /
   vitarkātiśaye tasya hṛdaye pravijṛmbhite /	vitarka atiSaye tasya hRdaye pravijRmBite /
   āviścakre prasādaśca prabhāvaśca divaukasām // Jm_6.18 //	AviScakre prasAdaH ca praBAvaH ca divOkasAm // Jm_6.18 //
   tataḥ praharṣādiva sācalā calā mahī babhūvānibhṛtārṇavāṃśukā /	tatas praharzAt iva sA acalA calA mahI baBUva aniBRta arNava aMSukAH /
   vitastanuḥ khe suradundubhisvanā diśaḥ prasādābharaṇāścakāśire // Jm_6.19	vitaH tanuH Ke sura dunduBi svanAH diSaH prasAda ABaraNAH cakASire // Jm_6.19
   prasaktamandastanitāḥ prahāsinastaḍitpinaddhāśca ghanāḥ samantataḥ /	prasakta manda stanitAH prahAsinaH taxit pinadDAH ca GanAH samantataH /
   parasparāśleṣavikīrṇareṇubhiḥ prasaktamenaṃ kusumairavākiran // Jm_6.20 //	paraspara ASleza vikIrNa reNuBiH prasaktam enam kusumEH avAkiran // Jm_6.20 //
   (Vaidya 33)	(VEdyaH 33)
   samudvahandhīragatiḥ samīraṇaḥ sugandhi nānādrumapuṣpajaṃ rajaḥ /	samudvahan DIra gatiH samIraNaH suganDi nAnA druma puzpa jam rajaH /
   mudā praviddhairavibhaktabhaktibhistamarcayāmāsa kṛśāṃśukairiva // Jm_6.21	mudA pravidDEH aviBakta BaktiBiH tam arcayAmAsa kRSa aMSukEH iva // Jm_6.21
   tadupalabhya pramuditavismitamanobhirdevatābhiḥ samantataḥ parikīrtyamānaṃ	tat upalaBya pramudita vismita manoBiH devatABiH samantataH parikIrtyamAnam
   tasya vitarkādbhūtaṃ śakro devendraḥ samāpūryamāṇavismayakautūhalena	tasya vitarkAt BUtam SakraH deva indraH samApUryamANa vismaya kOtUhalena
   manasā tasya mahāsattvasya bhāvajijñāsayā dvitīye 'hani	manasA tasya mahAsattvasya BAva jijQAsayA dvitIye ahani
   gaganatalamadhyamabhilaṅghamāne paṭutarakiraṇaprabhāve savitari	gagana tala maDyam aBilaFGamAne pawutara kiraNa praBAve savitari
   prasphulitamarīcijālavasanāsu	prasPulita marIci jAla vasanAsu
   bhāsvarātapavisarāvaguṇṭhitāsvanālokanakṣamāsu dikṣu	BAsvara Atapa visara avaguNWita asu anAlokana kzamAsu dikzu
   saṃkṣipyamāṇacchāyeṣvabhivṛddhacīrīvirāvonnāditeṣu vanāntareṣu	saMkzipyamANa= CAyezu aBivRdDa cIrI virAva unnAditezu vana antarezu
   vicchidyamānapakṣisaṃpāteṣu dharmaklamāpītotsāheṣvadhvageṣu śakro	vicCidyamAna pakzi saMpAtezu Darma klama apIta utsAhezu aDvagezu SakraH 
   devānāmadhipatirbrāhmaṇarūpo bhūtvā mārgapranaṣṭa iva	devAnAm aDipatiH brAhmaNa rUpaH BUtvA mArga pranazwaH iva
   kṣuttarṣaśramaviṣādadīnakaṇṭhaḥ sasvaraṃ prarudannātidūre teṣāṃ vicukrośa	kzuD tarza Srama vizAda dIna kaNWaH sa svaram prarudat na ati dUre tezAm vicukroSa
   ekaṃ sārthātparibhraṣṭaṃ bhramantaṃ gahane vane /	ekam sArTAt pariBrazwam Bramantam gahane vane /
   kṣucchramaklāntadehaṃ māṃ trātumarhanti sādhavaḥ // Jm_6.22 //	kzuD Srama klAnta deham mAm trAtum arhanti sADavaH // Jm_6.22 //
   mārgāmārgajñānaniścetanaṃ māṃ diksaṃmohātkvāpi gacchantamekam /	mArga amArga jQAna niScetanam mAm diS saMmohAt kvApi gacCantam ekam /
   kāntāre 'smindharmatarṣaklamārtaṃ mā bhaiḥ śabdaiḥ ko nu māṃ hlādayeta //	kAntAre asmin Darma tarza klama Artam mA BEH SabdEH kaH nu mAm hlAdayeta //
   Jm_6.23 //	Jm_6.23 //
   atha te mahāsattvāstasya tena karuṇenākranditaśabdena samākampitahṛdayāḥ	aTa te mahAsattvAH tasya tena karuNena Akrandita Sabdena samAkampita hRdayAH
   sasaṃbhramā drutataragatayastaṃ deśamabhijagmuḥ /	sa saMBramAH drutatara gatayaH tam deSam aBijagmuH /
   mārgapranaṣṭādhvagadīnadarśanaṃ cainamabhisamīkṣya	mArga pranazwa aDva gadIna darSanam ca enam aBisamIkzya
   samabhigamyopacārapuraḥsaraṃ samāśvāsayanta ūcuḥ  	samaBigamya upacAra puraHsaram samASvAsayantaH UcuH  
   kāntāre vipranaṣṭo 'hamityalaṃ vibhrameṇa te /	kAntAre vipranazwaH aham iti alam viBrameNa te /
   svasya śiṣyagaṇasyeva samīpe vartase hi naḥ // Jm_6.24 //	svasya Sizya gaNasya iva samIpe vartase hi naH // Jm_6.24 //
   tadadya tāvadasmākaṃ paricaryāparigrahāt /	tat adya tAvat asmAkam paricaryA parigrahAt /
   vidhāyānugrahaṃ saumya śco gantāsi yathepsitam // Jm_6.25 //	viDAya anugraham sOmya ScaH gantAsi yaTA Ipsitam // Jm_6.25 //
   athodrastasya tūṣṇīṃbhāvādanumatamupanimantraṇamavetya	aTa udraH tasya tUzNIMBAvAt anumatam upanimantraNam avetya
   harṣasaṃbhramatvaritagatiḥ sapta rohitamatsyānsamupanīyāvocadenam  	harza saMBrama tvarita gatiH sapta rohita matsyAn samupanIya avocat enam  
   mīnāribhirvismaraṇojjhitā vā trāsotplutā vā sthalamabhyupetāḥ /	mInAriBiH vismaraNa ujJitAH vA trAsa utplutAH vA sTalam aByupetAH /
   khedaprasuptā iva sapta matsyā labdhā mayaitānnivaseha bhuktvā // Jm_6.26	Keda prasuptAH iva sapta matsyAH labDA mayA etAn nivasA iha BuktvA // Jm_6.26
   atha śṛgālo 'pyenaṃ yathopalabdhamannajātamupasaṃhṛtya praṇāmapuraḥsaraṃ	aTa SRgAlaH api enam yaTA upalabDam anna jAtam upasaMhRtya praNAma puraHsaram
   sādaramityuvāca  	sa Adaram iti uvAca  
   (Vaidya 34)	(VEdyaH 34)
   ekā ca godhā daghibhājanaṃ ca kenāpi saṃtyaktamihādhyagaccham /	ekA ca goDA daGi BAjanam ca kena api saMtyaktam iha aDyagacCam /
   tanme hitāvekṣitayopayujya vane 'stu te 'sminguṇavāsa vāsaḥ // Jm_6.27 //	tat me hita avekzitayA upayujya vane astu te asmin guNa vAsa vAsaH // Jm_6.27 //
   ityuktvā paramaprītamanāstadasmai samupajahāra /	iti uktvA parama prIta manAH tat asmE samupajahAra /
   atha vānaraḥ paripākaguṇādupajātamārdavāni	aTa vAnaraH paripAka guNAt upajAta mArdavAni
   manaḥśilācūrṇarañjitānīvātipiñjarāṇyatiraktabandhanamūlāni	manaHSilA cUrNa raQjitAni iva ati piQjarANi ati rakta banDana mUlAni
   piṇḍīgatānyāmraphalānyādāya sāñjalipragrahamenamuvāca  	piNxI gatAni Amra PalAni AdAya sa aQjali pragraham enam uvAca  
   āmrāṇi pakvānyudakaṃ manojñaṃ chāyā ca satsaṃgamasaukhyaśītā /	AmrANi pakvAni udakam manojQam CAyA ca sat saMgama sOKya SItAH /
   ityasti me brahmavidāṃ variṣṭha bhuktvaitadatraiva tavāstu vāsaḥ //	iti asti me brahma vidAm varizWa BuktvA etat atra eva tava astu vAsaH //
   Jm_6.28 //	Jm_6.28 //
   atha śaśaḥ samupasṛtyainamupacārakriyānantaraṃ sabahumānamudīkṣamāṇaḥ	aTa SaSaH samupasRtya enam upacAra kriyA anantaram sa bahu mAnam udIkzamANaH
   svena śarīreṇopanimantrayāmāsa  	svena SarIreNa upanimantrayAmAsa  
   na santi mudgā na tilā na taṇḍulā vane vivṛddhasya śaśasya kecana /	na santi mudgAH na tilAH na taNxulAH vane vivRdDasya SaSasya kecana /
   śarīrametattvanalābhisaṃskṛtaṃ mamopayujyādya tapovane vasa // Jm_6.29 //	SarIram etat tu anala aBisaMskRtam mama upayujya adya tapaH vane vasa // Jm_6.29 //
   yadasti yasyepsitasādhanaṃ dhanaṃ sa tanniyuṅkte 'rthisamāgamotsave /	yat asti yasya Ipsita sADanam Danam sa tat niyuFkte arTi samAgama utsave /
   na cāsti dehādadhikaṃ ca me dhanaṃ pratīccha sarvasvamidaṃ yato mama //	na ca asti dehAt aDikam ca me Danam pratIcCa sarva svam idam yatas mama //
   Jm_6.30 //	Jm_6.30 //
   śakra uvāca  	SakraH uvAca  
   anyasyāpi vadhaṃ tāvatkuryādasmadvidhaḥ katham /	anyasya api vaDam tAvat kuryAt asmadviDaH kaTam /
   iti darśitasauhārde kathā kaiva bhavadvidhe // Jm_6.31 //	iti darSita sOhArde kaTA kA eva BavadviDe // Jm_6.31 //
   śaśa uvāca   upapannarūpamidamāsannānukrośe brāhmaṇe / tadihaiva	SaSaH uvAca  upapanna rUpam idam Asanna anukroSe brAhmaNe / tat iha eva
   tāvadbhavānāstāmasmadanugrahāpekṣayā	tAvat BavAn AH tAm asmad anugraha apekzayA
   yāvatkutaścidātmānugrahopāyamāsādayāmīti /	yAvat kutaScit Atma anugraha upAyam AsAdayAmi iti /
   atha śakro devānāmindrastasya bhāvamavetya taptatapanīyavarṇaṃ	aTa SakraH devAnAm indraH tasya BAvam avetya tapta tapanIya varNam
   sphuratpratanujvālaṃ vikīryamāṇavisphuliṅgaprakaraṃ	sPurat pratanu jvAlam vikIryamANa visPuliFga prakaram
   nirdhūmamaṅgārarāśimabhinirmame / atha śaśaḥ samantato	nirDUmam aFgAra rASim aBinirmame / aTa SaSaH samantataH 
   'nuvilokayaṃstamagniskandhaṃ dadarśa / dṛṣṭvā ca prītamanāḥ śakramuvāca  	anuvilokayan= tam agni skanDam dadarSa / dRzwvA ca prIta manAH Sakram uvAca  
   samadhigato 'yaṃ mayātmānugrahopāyaḥ /	samaDigataH ayam mayA Atma anugraha upAyaH /
   tadasmaccharīropayogātsaphalāmanugrahāśāṃ me kartuṃmarhasi / paśya	tat asmad SarIra upayogAt sa PalAm anugraha ASAm me kartuMm arhasi / paSya
   mahābrāhmaṇa /	mahA brAhmaNa /
   deyaṃ ca ditsāpravaṇaṃ ca cittaṃ bhavadvidhenātithinā ca yogaḥ /	deyam ca ditsA pravaNam ca cittam BavadviDena atiTinA ca yogaH /
   (Vaidya 35)	(VEdyaH 35)
   nāvāptumetaddhi sukhena śakyaṃ tatsyādamoghaṃ bhavadāśrayānme // Jm_6.32	na avAptum etat hi suKena Sakyam tat syAt amoGam Bavat ASrayAt me // Jm_6.32
   ityanunīya sa mahātmā saṃmānanādarādatithipriyatayā cainamabhivādya,	iti anunIya sa mahAtmA saMmAnana AdarAt atiTi priya tayA ca enam aBivAdya,
   tataḥ sa taṃ vahnimabhijvalantaṃ nidhiṃ dhanārthī sahasaiva dṛṣṭvā /	tatas sa tam vahnim aBijvalantam niDim Dana arTI sahasA eva dRzwvA /
   pareṇa harṣeṇa samāruroha toyaṃ hasatpadmamivaikahaṃsaḥ // Jm_6.33 //	pareNa harzeNa samAruroha toyam hasat padmam iva eka haMsaH // Jm_6.33 //
   taddṛṣṭvā paramavismayāvarjitamatirdevānāmadhipatiḥ svameva vapurāsthāya	tat dRzwvA parama vismaya Avarjita matiH devAnAm aDipatiH svam eva vapuH AsTAya
   divyakusumavarṣapuraḥsarībhirmanaḥśrutisukhābhirvāgbhirabhipūjya taṃ	divya kusuma varza puraHsarIBiH manaH Sruti suKa aBiH vAgBiH aBipUjya tam
   mahāsattvaṃ kamalapalāśalakṣmīsamṛddhābhyāṃ	mahAsattvam kamala palASa lakzmI samRdDAByAm
   bhāsurāṅgalībhūṣaṇālaṃkṛtābhyāṃ pāṇibhyāṃ svayameva cainaṃ parigṛhya	BAsurAFgalI BUzaNa alaMkRtAByAm pANiByAm svayam eva ca enam parigRhya
   tridaśebhyaḥ saṃdarśayāmāsa / paśyantvatrabhavantastridaśālayanivāsino	tridaSeByaH saMdarSayAmAsa / paSyantu atraBavantaH tridaSAlaya nivAsinaH 
   devāḥ, samanumodantāṃ cedamativismayanīyaṃ karmāvadānamasya mahāsattvasya	devAH, samanumodantAm ca idam ati vismayanIyam karma avadAnam asya mahAsattvasya
   tyaktaṃ batānena yathā śarīraṃ niḥśaṅkamadyātithivatsalena /	tyaktam bata anena yaTA SarIram niHSaFka madya atiTi vatsalena /
   nirmālyamapyevamakampamānā nālaṃ parityaktumadhīrasattvāḥ // Jm_6.34 //	nirmAlyam api evam akampamAnAH nAlam parityaktum aDIra sattvAH // Jm_6.34 //
   jātiḥ kveyaṃ tadvirodhi kva cedaṃ tyāgaudāryaṃ cetasaḥ pāṭavaṃ ca /	jAtiH kva iyam tat viroDi kva ca idam tyAga OdAryam cetasaH pAwavam ca /
   vispaṣṭo 'yaṃ puṇyamandādarāṇāṃ pratyādeśo devatānāṃ nṛṇāṃ ca // Jm_6.35	vispazwaH ayam puNya manda AdarANAm pratyAdeSaH devatAnAm nRNAm ca // Jm_6.35
   aho bata guṇābhyāsavāsitāsya yathā matiḥ /	aho bata guNa aByAsa vAsitA asya yaTA matiH /
   aho sadvṛttavātsalyaṃ kriyaudāryeṇa darśitam // Jm_6.36 //	aho sat vRtta vAtsalyam kriyA OdAryeNa darSitam // Jm_6.36 //
   atha śakrastatkarmātiśayavikhyāpanārthaṃ lokahitāvekṣī śaśabimbalakṣaṇena	aTa SakraH tad karma atiSaya viKyApana arTam loka hita avekzI SaSabimba lakzaNena
   vaijayantasya prāsādavarasya sudharmāyāśca devasabhāyāḥ kūṭāgārakarṇike	vEjayantasya prAsAda varasya suDarmAyAH ca deva saBAyAH kUwAgAra karNike
   candramaṇḍalaṃ cābhyalaṃcakāra /	candra maNxalam ca aByalaMcakAra /
   sampūrṇe 'dyāpi tadidaṃ śaśabimbaṃ niśākare /	sampUrNe adya api tat idam SaSabimbam niSAkare /
   chāyāmayamivādarśe rājate divi rājate // Jm_6.37 //	CAyA mayam iva AdarSe rAjate divi rAjate // Jm_6.37 //
   tataḥ prabhṛti lokena kumudākarahāsanaḥ /	tatas praBRti lokena kumudAka rahAsanaH /
   kṣaṇadātilakaścandraḥ śaśāṅka iti kīrtyate // Jm_6.38 //	kzaNadA tilakaH candraH SaSAFkaH iti kIrtyate // Jm_6.38 //
   te 'pyudraśṛgālavānarāstataścyutvā devaloka upapannāḥ kalyāṇamitraṃ	te api udra SRgAla vAnarAH tatas cyutvA deva loke upapannAH kalyANa mitram
   samāsādya //	samAsAdya //
   tadevaṃ tiryaggatānāmapi mahāsattvānāṃ śaktyanurūpā dānapravṛttirdṛṣṭā /	tat evam tiryak gatAnAm api mahAsattvAnAm Sakti anurUpA dAna pravRttiH dRzwA /
   kena nāma manuṣyabhūtena na dātavyaṃ syāt? tathā tiryaggatā api	kena nAma manuzya BUtena na dAtavyam syAt? taTA tiryak gatAH api
   guṇavātsalyāt saṃpūjyante sadbhiriti guṇeṣvādaraḥ kārya ityevamapyunneyam	guNa vAtsalyAt saMpUjyante sadBiH iti guNezu AdaraH kAryaH iti evam api unneyam
   iti śaśajātakaṃ ṣaṣṭham /	iti SaSa jAtakam zazWam /
   (Vaidya 36)	(VEdyaH 36)
   7. Agastyajātakam	7. Agastya jAtakam
   tapovanasthānāmapyalaṃkārastyāgaśauryaṃ prāgeva gṛhasthānāmiti /	tapaH vana sTAnAm api alaMkAraH tyAga SOryam prAk eva gRhasTAnAm iti /
   tadyathānuśrūyate  	tat yaTA anuSrUyate  
   bodhisattvabhūtaḥ kilāyaṃ bhagavāṃllokahitārthaṃ saṃsārādhvani	boDisattva BUtaH kila ayam BagavAn= loka hita arTam saMsAra aDvani
   vartamānaścāritraguṇaviśuddhyabhilakṣitaṃ kṣititalatilakabhūtamanyatamaṃ	vartamAnaH cAritra guNa viSudDi aBilakzitam kziti tala tilaka BUtam anyatamam
   mahad brāhmaṇakulaṃ gaganatalamiva śaradamalaparipūrṇamaṇḍalaścandramāḥ	mahat brAhmaNa kulam gagana talam iva Sarad amala paripUrNa maNxalaH candramAH
   samutpatannevābhyalaṃcakāra / sa yathākramaṃ śrutismṛtivihitānavāpya	samutpatan= eva aByalaMcakAra / sa yaTAkramam Sruti smRti vihitAn avApya
   jātakarmādīn saṃskārānadhītya sāṅgānvedānkṛtsnaṃ ca kalpaṃ vyāpya	jAtakarma AdIn saMskArAn aDItya sa aFgAn vedAn kRtsnam ca kalpam vyApya
   vidyāyaśasā manuṣyalokaṃ guṇapriyairdātṛbhirabhyarthya	vidyA yaSasA manuzya lokam guNa priyEH dAtRBiH aByarTya
   pratigṛhyamāṇavibhavatvāt parāṃ dhanasamṛddhimabhijagāma /	pratigRhyamANa viBava tvAt parAm Dana samRdDim aBijagAma /
   sa bandhumitrāśritadīnavargānsaṃmānanīyānatithīngurūṃśca /	sa banDu mitra ASrita dIna vargAn saMmAnanIyAn atiTIn gurUn= ca /
   prahlādayāmāsa tathā samṛddhyā deśānmahāmedha ivābhivarṣan // Jm_7.1 //	prahlAdayAmAsa taTA samRdDyA deSAt mahA meDaH iva aBivarzan // Jm_7.1 //
