   om namo ratnatrayāya ||	om namaH ratnatrayAya ||
   || Śl_63 ||	|| Śt-_63 ||
   atyantadurlabhamupetya manuṣyabhāvaṃ yadvāñchitaṃ tadabhivāñchitameva	atyanta-durlaBam-upetya manuzya-BAvam yat-vAQCitam tat-aBivAQCitam-eva
   kuryāt |	kuryAt |
   caṇḍānilākulitadīpaśikhācalasya na hyāyuṣaḥ kṣaṇamapi sthitiniścayo'sti ||	caNxa-anila-Akulita-dIpa-SiKA-acalasya na hi-AyuzaH kzaNam-api sTiti-niScayaH-asti ||
   Śl_64 ||	Śt-_64 ||
   śvaḥ kāryametadidamadya paraṃ muhūrtādetatkṣaṇāditi janena vicintyamāne |	Svas kAryam-etat-idam-adya param muhUrtAt-etad-kzaNAt-iti janena vicintyamAne |
   tiryagnirīkṣaṇapiśaṅgitakāladaṇḍaḥ śaṅke hasatyasahanaḥ kupitaḥ kṛtāntaḥ	tiryak-niH-IkzaNa-piSaFgita-kAla-daNxaH SaFke hasati-asahanaH kupitaH kRtAntaH
   || Śl_65 ||	|| Śt-_65 ||
   āyāti phullakusumaḥ kusumāgamo 'yameṣā śaśāṅkatilakā śaradāgateti |	AyAti Pulla-kusumaH kusuma-AgamaH ayam-ezA SaSAFka-tilakA Sarad-AgatA-iti |
   sarvaḥ prahṛṣyati jano na punarmamaitadāyuḥ prahīṇamiti yāti paraṃ viṣādam	sarvaH prahRzyati janaH na punar-mama-etat-AyuH prahINam-iti yAti param vizAdam
   || Śl_66 ||	|| Śt-_66 ||
   āsannapīnaśaśimaṇḍalamaṇḍanāsu viśrāntavāriguruvāridamekhalāsu |	Asanna-pIna-SaSi-maNxala-maNxanAsu viSrAnta-vAri-guru-vArida-meKalAsu |
   niḥsaṅgamāsu giriśṛṅgavanasthalīṣu dhanyā nayantyanilacañcalaśīlamāyuḥ ||	niHsaFgamAsu giri-SRFga-vana-sTalIzu DanyAH nayanti-anila-caQcala-SIlam-AyuH ||
   Śl_67 ||	Śt-_67 ||
   kiṃ sā ratirbhavati nandanabhūmikāsu divyāṅganājaghanapṛṣṭhaśilātalāsu |	kim sA ratiH-Bavati nandana-BUmikAsu divya-aFganA-jaGana-pRzWa-SilA-talAsu |
   yā mugdhamugdhaharaṇīgaṇasevitāsu niḥsaṅgacārusubhagāsu vanasthalīṣu ||	yA mugDa-mugDa-haraNI-gaNa-sevitAsu niHsaFga-cAru-suBagAsu vana-sTalIzu ||
   Śl_68 ||	Śt-_68 ||
   divyāṅganāparimalāvilaye nibhinnasaṃtānakastavakahāsavitaṇvanīṣu |	divya-aFganA-parimalA-vilaye niBinna-saMtAnaka-stavaka-hAsa-vitaNvanIzu |
   kiṃ sā ratiḥ surasaritsu viviktaramyatīrāsu yā śucijalāsu vane nadīṣu ||	kim sA ratiH surasaritsu vivikta-ramya-tIrAsu yA Suci-jalAsu vane nadIzu ||
   Śl_69 ||	Śt-_69 ||
   viśālāḥ śailānāṃ viratajanasaṃpātasubhagā guhā gāḍhābhogā	viSAlAH SElAnAm virata-jana-saMpAta-suBagA guhA gAXa-ABogA
   haritavanalekhāparikarāḥ |	harita-vana-leKA-parikarAH |
   sarittīrāsannā surajamadhurairnirjanaravairna gamyāḥ kleśāgnerayamiti	sarit-tIra-AsannA suraja-maDurEH-nirjana-ravEH-na gamyAH kleSa-agneH-ayam-iti
   vadantīva pathikān || Śl_70 ||	vadanti-iva paTikAn || Śt-_70 ||
   māyāmarīcidakacandrataraṃgakalpāḥ kāmā jinena gaditā vibhavāḥ striyaśca |	mAyA-marIci-daka-candra-taraMga-kalpAH kAmAH jinena gaditAH viBavAH striyaH-ca |
   svapnāntadurlabhitavibhramavipralabdhā bālāḥ patanti nirayeṣvapi yeṣu	svapna-anta-durlaBita-viBrama-vipralabDAH bAlAH patanti nirayezu-api yezu
   saktāḥ || Śl_71 ||	saktAH || Śt-_71 ||
   āpātamātramadhurā viṣayā viṣaśca ghorā viṣākakaṭukā viṣayā viṣaśca |	ApAta-mAtra-maDurAH vizayAH vizaH-ca GorAH vizAka-kawukAH vizayAH vizaH-ca |
   mohāndhakāragahanā viṣayā viṣaśca durvāravegacapalā viṣayā viṣaśca ||	moha-anDakAra-gahanAH vizayAH vizaH-ca durvAra-vega-capalAH vizayAH vizaH-ca ||
   Śl_72 ||	Śt-_72 ||
   kāmā viṣaśca viṣayāśca nirūpyamānāḥ śreyo viṣaṃ na viṣayā viṣamasvabhāvāḥ	kAmAH vizaH-ca vizayAH-ca nirUpyamAnAH SreyaH vizam na vizayAH vizama-svaBAvAH
   ekatra janmani viṣaṃ viṣatāṃ prayāti janmāntare 'pi viṣayā viṣatāṃ	ekatra janmani vizam viza-tAm prayAti janma-antare api vizayAH vizatAm
   prayānti || Śl_73 ||	prayAnti || Śt-_73 ||
   viṣasya viṣayāṇāṃ ca dūramatyantagocaram | upayuktaṃ viṣaṃ hanti viṣayāḥ	vizasya vizayANAm ca dUram-atyanta-gocaram | upayuktam vizam hanti vizayAH
   smaraṇādapi || Śl_74 ||	smaraNAt-api || Śt-_74 ||
   saṃsṛṣṭaṃ vrajati viṣaṃ viṣeṇa śāntiṃ sanmantrairagadadharaiśca	saMsRzwam vrajati vizam vizeNa SAntim sat-mantrEH-agada-DarEH-ca
   sādhyamānam |	sADyamAnam |
   yuktaṃ vā bhavati viṣaṃ hitāya nṝṇāṃ na tvevaṃ viṣayamahāviṣaṃ kadācit ||	yuktam vA Bavati vizam hitAya nLNAm na tu-evam vizaya-mahA-vizam kadAcid ||
   Śl_75 ||	Śt-_75 ||
   yadvadvṛṣo viṣamakūpataṭāntatrūḍho dūrvāpravālalavalālasamānasaḥ san |	yadvat-vRzaH vizama-kUpa-tawa-antatrUXaH dUrvA-pravAla-lava-lAla-samAnasaH san |
   śvabhre patatyatha ca nāstu ta eva lābhastadvatsukhānvitamatiḥ khalu	SvaBre patati-aTa ca na-astu te eva lABaH-tadvat-suKa-anvita-matiH Kalu
   jīvalokaḥ || Śl_76 ||	jIva-lokaH || Śt-_76 ||
   mandākinījalarayākulitālakābhiḥ krīḍāvihāramanubhūya sahāpsarobhiḥ |	mandAkinI-jala-raya-Akulita-alakABiH krIxA-vihAram-anuBUya saha-apsaroBiH |
   bhūyo bhramanti kharavaitaraṇe taraṃgasaṃparkajarjaritadāruṇaduḥkhabhājaḥ	BUyas Bramanti Kara-vEtaraNe taraMga-saMparka-jarjarita-dAruNa-duHKa-BAjaH
   || Śl_77 ||	|| Śt-_77 ||
   āstīrṇakalpatarupallvasaṃstareṣu kāntāsakhāḥ suravaneṣu makhaṃ vihṛtya |	AstIrNa-kalpa-taru-pallva-saMstarezu kAntA-saKAH sura-vanezu maKam vihRtya |
   bhūyo bhramanti niśitākulaśastrapātavicchinnagātramasipattravanasthalīṣu	BUyas Bramanti niSita-Akula-Sastra-pAta-vicCinna-gAtram-asipattra-vana-sTalIzu
   || Śl_78 ||	|| Śt-_78 ||
   sparśe sukhāsu padapātanatonnatāsu merornitambapadavīṣu ciraṃ vihṛtya |	sparSe suKAsu pada-pAtanatA-unnatAsu meroH-nitamba-padavIzu ciram vihRtya |
   uttaptasaikatakukūlakṛśānurāśiṃ saṃsīryamāṇacaraṇorubhujo bhramanti ||	uttapta-sEkata-kukUla-kRSa-anurASim saMsIryamANa-caraNa-Uru-BujaH Bramanti ||
   Śl_79 ||	Śt-_79 ||
   gatvā divaṃ mukharabhāsurakiṅkanīkahārāvalīnikaradanturitairvimānaiḥ |	gatvA divam muKaraBAsura-kiFka-nIka-hAra-AvalI-nikara-danturitEH-vimAnEH |
   ghoraṃ sthirāśrayamameyamanantapāramandhaṃ tamaḥ punaradhaḥśirasā patanti	Goram sTira-ASrayam-ameyam-ananta-pAram-anDam tamaH punar-aDaHSirasA patanti
   || Śl_80 ||	|| Śt-_80 ||
   śakro 'pi yatra surakiṃnaranāgayakṣamauliprabhāprakarapiñjarapādapīṭhaḥ |	SakraH api yatra sura-kiMnara-nAga-yakza-mOli-praBA-prakara-piQjara-pAda-pIWaH |
   karmānilākulagatiḥ kugatiḥ prayāti ko nāma tatra puruṣo na bhayaṃ bhajeta	karma-anila-Akula-gatiH kugatiH prayAti kaH nAma tatra puruzaH na Bayam Bajeta
   || Śl_81 ||	|| Śt-_81 ||
   pramlāyamānakusumāḥ śru x x x digdhā mlānāmbarāḥ karuṇadīkṣitabandhuvargāḥ	pramlAyamAna-kusumAH Sru x x x digDAH mlAna-ambarAH karuNa-dIkzita-banDu-vargAH
   duḥkhaṃ paraṃ yadamarā maraṇe vrajanti tanmānavā na jalabudbudalolajīvāḥ	duHKam param yat-amarAH maraNe vrajanti tat-mAnavAH na jala-budbuda-lola-jIvAH
   || Śl_82 ||	|| Śt-_82 ||
   duḥkhāgniprakaranirodhabhairave 'sminyaloke vahati janaḥ sukhābhimānam |	duHKa-agni-prakara-niroDa-BErave asmin-ya-loke vahati janaH suKa-aBimAnam |
   tanmatyorvadanamapāvṛtaṃ viśālaṃ tadbījaṃ punarapi janmapādapasya || Śl_83	tad-matyoH-vadanam-apAvRtam viSAlam tat-bIjam punar-api janma-pAdapasya || Śt-_83
   taṃ tṛṣṇāmayadṛḍhadīrghatantubaddhaṃ paryastapraṇihitabhīmakāladaṇḍam |	tam tRzNA-maya-dRXa-dIrGa-tantu-badDam paryasta-praNihita-BIma-kAla-daNxam |
   sattvānāṃ bhavajaladhau pariplutānāṃ matsyanāṃ baḍiśamivāntakena dattam ||	sattvAnAm Bava-jalaDO pariplutAnAm matsyanAm baxiSam-iva-antakena dattam ||
   Śl_84 ||	Śt-_84 ||
   kumbhīpākakvathitakalilāduṣṇasaṃrambhavegātkṛtvodgrīvaṃ kṣaṇamapi sukhaṃ	kumBIpAka-kvaTita-kalilAt-uzNa-saMramBa-vegAt-kRtvA-udgrIvam kzaNam-api suKam
   labdhaniśvāsamokṣāḥ |	labDa-niSvAsa-mokzAH |
   krodhāpūrṇaiḥ subahubhirayomudgaraistāḍyamānā manyate taṃ paramiva sukhaṃ	kroDa-ApUrNEH su-bahuBiH-ayaH-mudgarEH-tAxyamAnA manyate tam param-iva suKam
   nārakā yadvadeva || Śl_85 ||	nArakAH yadvat-eva || Śt-_85 ||
   tadvadduḥkhairaniśamavaśo dāruṇaiḥ pīḍyamānastāvatkālaṃ	tadvat-duHKEH-aniSam-avaSaH dAruNEH pIxyamAnaH-tAvat-kAlam
   jaraṇamaṇarakṣobhamuktaḥ kathaṃcit |	jaraNa-maNara-kzoBa-muktaH kaTaMcid |
   mandībhūte kṣaṇamapi nije duḥsahe duḥkhavahnau sarvo	mandIBUte kzaNam-api nije duHsahe duHKa-vahnO sarvaH-
   lokastanusukhalavagrāmatṛṣṇāṃ karoti || Śl_86 ||	lokaH-tanu-suKa-lava-grAma-tRzNAm karoti || Śt-_86 ||
   yāvadyāvajjagati sakale jāyate saukhyasaṃjñā tāvattāvadbahutaraśikho	yAvat-yAvat-jagati sakale jAyate sOKya-saMjQA tAvat-tAvat-bahutara-SiKA-u
   jāyate rāgabahniḥ |	jAyate rAga-bahniH |
   yāvadyāvadvisarati śubhā bhāvanā bhāvyamānā tāvattāvadbahalataratāmeti	yAvat-yAvat-visarati SuBA BAvanA BAvyamAnA tAvat-tAvat-bahalatara-tAm-eti
   mohāndhakāram || Śl_87 ||	moha-anDakAram || Śt-_87 ||
   yāvadyāvanniyatamaśubhā bhāvanā yāti vṛddhim |	yAvat-yAvat-niyatam-aSuBA BAvanA yAti vRdDim |
   tāvattāvattaralataratamiti mohāndhakāram || Śl_88 ||	tAvat-tAvat-taralataratam-iti moha-anDakAram || Śt-_88 ||
   durgandhipūtivikṛtairaravindamindumindīvaraṃ ca tulayanti yadāṅganāṅgaiḥ |	durganDi-pUti-vikRtEH-aravindam-indum-indIvaram ca tulayanti yadA-aFganA-aFgEH |
   tasyānṛtasya phalamugramidaṃ kavīnāṃ tāsveva garbhanilayaṃ padamī viśanti	tasya-anRtasya Palam-ugram-idam kavInAm tAsu-eva garBa-nilayam padamI viSanti
   || Śl_89 ||	|| Śt-_89 ||
   kā saugatirjagati yā śataśo na yātā kiṃ tatsukhaṃ yadaśakṛnna purānubhūtam	kA sOgatiH-jagati yA SataSas na yAtA kim tat-suKam yat-aSakRt-na purA-anuBUtam
   kāstāḥ śriyaścapalacāmaracāruhāsāḥ prāptā na yāstadapi vardhata eva rāgaḥ	kAH-tAH SriyaH-capala-cAmara-cAru-hAsAH prAptAH na yAH-tat-api varDate eva rAgaH
   || Śl_90 ||	|| Śt-_90 ||
   nadyo na tā na vihṛtaṃ pulineṣu yāsāṃ sthānaṃ na tajjagati yatra kṛto na	nadyaH na tAH na vihRtam pulinezu yAsAm sTAnam na tat-jagati yatra kRtaH na
   vāsaḥ |	vAsaH |
   vyomnāpi tanna padamasti na yatra yātaṃ duṣpūraṇastadapi vardhata eva	vyomnA-api tat-na padam-asti na yatra yAtam duzpUraNaH-tat-api varDate eva
   rāgaḥ || Śl_91 ||	rAgaH || Śt-_91 ||
   duḥkhaṃ na tadyadasakṛnna purānubhūtaṃ kāmā na te jagati yairiha	duHKam na tat-yat-asakRt-na purA-anuBUtam kAmAH na te jagati yEH-iha
   tṛptirāsīt |	tRptiH-AsIt |
   sattvo na so 'sti jaṭhare śayitaṃ na yasya saṃsāriṇastadapi nāsti kathaṃ	sattvaH na saH asti jaWare Sayitam na yasya saMsAriNaH-tat-api na-asti kaTam
   virāgaḥ || Śl_92 ||	virAgaH || Śt-_92 ||
   atyāyate jagati janmaparigrahe 'sminduḥkhe sukhe ca bahuśaḥ parivartamānaḥ	atyAyate jagati janma-parigrahe asmin-duHKe suKe ca bahuSas parivartamAnaH
   nāsau jano jagati yo na babhūva bandhurdveṣoragastadapi tiṣṭhati	na-asO janaH jagati yaH na baBUva banDuH-dveza-uragaH-tat-api tizWati
   bhīmabhogaḥ || Śl_93 ||	BIma-BogaH || Śt-_93 ||
   yaiḥ sārdhametya hasitaṃ lalitaṃ pragītamekatra pītamaśitaṃ ca kṛtāśca	yEH sArDam-etya hasitam lalitam pragItam-ekatra pItam-aSitam ca kRtAH-ca
   goṣṭhyaḥ |	gozWyaH |
   kālakrameṇa gamitāḥ kati ke 'pi ramyā nītāḥ samāśca viṣamāśca daśāḥ	kAla-krameNa gamitAH kati ke api ramyAH nItAH samAH-ca vizamAH-ca daSAH
   kathaṃcit || Śl_94 ||	kaTaMcid || Śt-_94 ||
   tānārjavaṃ javavivartanadṛṣṭanaṣṭānāvartamadhyapatitāniva vīkṣyamāṇaḥ |	tAn-Arjavam java-vivartana-dRzwa-nazwa-anAvarta-maDya-patitAn-iva vIkzyamANaH |
   saṃsārasāgaragatānapahāya bandhūnekaḥ prayāti yadi nāsti tataḥ kṛtaghnaḥ	saMsAra-sAgara-gatAn-apahAya banDUn-ekaH prayAti yadi na-asti tatas kRtaGnaH
   || Śl_95 ||	|| Śt-_95 ||
   aṅkasthitena śiśunā vivaśena yāsāṃ pītaḥ payodhararasaṃ praṇayānuyātaḥ |	aFka-sTitena SiSunA vivaSena yAsAm pItaH payoDara-rasam praNaya-anuyAtaH |
   tanniṣphalapracuradurlalitaikabhājaḥ ko nāma dasyurapi hātumihotsaheta ||	tad-nizPala-pracura-durlalita-eka-BAjaH kaH nAma dasyuH-api hAtum-iha-utsaheta ||
   Śl_96 ||	Śt-_96 ||
   yā saṃsthito 'yamudare 'pi kṛtāvakāśo yāḥ snehaviklavadhiyaḥ	yA saMsTitaH ayam-udare api kRta-avakASaH yAH sneha-viklava-DiyaH
   ślathamenamūhuḥ |	SlaTam-enam-UhuH |
   tā duḥkhitā aśaraṇāḥ kṛpaṇā vihāya ko nāma śatrurapi gantumihotsaheta ||	tAH duHKitAH aSaraNAH kRpaNA vihAya kaH nAma SatruH-api gantum-iha-utsaheta ||
   Śl_97 ||	Śt-_97 ||
   vikīrṇe duḥkhaughairjagati vivaśe 'sminnaśaraṇe parārthe yadduḥkhaṃ tadiha	vikIrNe duHKa-oGEH-jagati vivaSe asmin=-aSaraNe para-arTe yat-duHKam tat-iha
   sukhamāhuḥ supuruṣāḥ |	suKam-AhuH su-puruzAH |
   kṣaṇaṃ kṣuttṛṣṇoṣṇaśramavigamaramyānarucaḥ paraṃ kṛtvā teṣāmapi yadiha ka	kzaNam kzut-tRzNA-uzNa-Srama-vigamaramyAn-arucaH param kRtvA tezAm-api yat-iha ka
   ivāsya pratisamaḥ || Śl_98 ||	iva-asya pratisamaH || Śt-_98 ||
   na sāramyairyā naiva ca nṛpatilakṣmīparikarairna dārairnāpatyairna	na sAramyEH-yAH na-eva ca nRpati-lakzmI-parikarEH-na dArEH-na-apatyEH-na
   surabhavane nāsuragatau |	sura-Bavane na-asura-gatO |
   kathaṃcitsaṃprāpyaṃ x viṣayasukhaṃ bhogaparamairlabhante yā prītiṃ	kaTaMcid-saMprApyam x vizaya-suKam Boga-paramEH-laBante yA prItim
   parahitasukhādhānaniratāḥ || Śl_99 ||	para-hita-suKa-ADAna-niratAH || Śt-_99 ||
   svayaṃ ghāsagrāsaṃ paśurapi karotyeva sulabhaṃ yadṛcchā labdhaṃ vā pibati	svayam GAsa-grAsam paSuH-api karoti-eva sulaBam yadRcCA labDam vA pibati
   salilaṃ gāḍhatṛṣitaḥ |	salilam gAXa-tRzitaH |
   parasyārtha kartuṃ yadiha puruṣo 'yaṃ prayatate tadasya svaṃ tejaḥ	parasya-arTa kartum yat-iha puruzaH ayam prayatate tat-asya svam tejaH
   sukhamidamaho pauruṣamidam || Śl_100 ||	suKam-idam-aho pOruzam-idam || Śt-_100 ||
   yadālokaṃ kuvan bhramati raviraśrāntaturagaḥ sadālokaṃ dhatte	yadAlokam kuvan Bramati raviH-aSrAnta-turagaH sat-Alokam Datte
   yadagaṇitabhārā vasumatī |	yat-agaNita-BArA vasumatI |
   na sa svārthaḥ kaścitprakṛtiriyameva mahatāṃ yadete lokānāṃ	na sa sva-arTaH kaScid-prakRtiH-iyam-eva mahatAm yat-ete lokAnAm
   hitasukharasaikāntarasikāḥ || Śl_101 ||	hita-suKa-rasa-ekAnta-rasikAH || Śt-_101 ||
   avidyādhūmrāndhabhramaparigatavyākulagatipradīpte duḥkhāgnau patitamavaśaṃ	avidyA-DUmra-anDa-Brama-parigata-vyAkula-gati-pradIpte duHKa-agnO patitam-avaSam
   vīkṣya bhuvanam |	vIkzya Buvanam |
   sphuradvahnijvālā pramathitaśiroveṣṭananibhā yātante ye 'trādbhuta iha	sPurat-vahni-jvAlA pramaTita-SiraH-vezwana-niBAH yAtante ye atra-adButaH iha
   puruṣāste sukṛtinaḥ || Śl_102 ||	puruzAH-te sukRtinaH || Śt-_102 ||
   avīciṃ gāhante hutavahaśikhāpūritamapi prasarpadromāñcā	avIcim gAhante hutavaha-SiKA-pUritam-api prasarpat-romAQcA
   himanikaracandrāṃśuśiśiram |	hima-nikara-candra-aMSu-SiSiram |
   parārthe x x x sphuṭanalinahāsāpi nalinī karotyeṣāṃ tāpaṃ	para-arTe x x x sPuwa-nalina-hAsA-api nalinI karoti-ezAm tApam
   hutavahaśikhāsaṃhatiriva || Śl_103 ||	hutavaha-SiKA-saMhatiH-iva || Śt-_103 ||
   parahitakaraṇāya baddhakakṣāḥ sukhamasipattravane vasanti santaḥ |	para-hita-karaNAya badDa-kakzAH suKam-asipattravane vasanti santaH |
   na punaramarasundarīsahāyāḥ kṣaṇamapi nandanakānane ramante || Śl_104 ||	na punar-amara-sundarI-sahAyAH kzaNam-api nandana-kAnane ramante || Śt-_104 ||
   aśaraṇajanatāraṇāya tīrṇāḥ punarapi vaitaraṇīṃ taranti dhīrāḥ |	aSaraNa-jana-tAraNAya tIrNAH punar-api vEtaraNIm taranti DIrAH |
   na tu gaganasarittaraṃgabhaṅgavyatikarasaṅgasukhaṃ svayaṃ bhajante ||	na tu gagana-sarit-taraMga-BaFga-vyatikara-saFga-suKam svayam Bajante ||
   Śl_105 ||	Śt-_105 ||
   iti sucaritaratnaṃ bhūṣaṇaṃ bhūṣaṇānāṃ śivamamṛtamudāraṃ bhāsuraṃ	iti su-carita-ratnam BUzaNam BUzaNAnAm Sivam-amRtam-udAram BAsuram
   bhāsurāṇām |	BAsurANAm |
   asulabhamakṛtajñairnandanaṃ nandanānāṃ bhaja samasukhahetuṃ maṅgalaṃ	asulaBam-akRtajQEH-nandanam nandanAnAm Baja sama-suKa-hetum maFgalam
   maṅgalānām || Śl_106 ||	maFgalAnAm || Śt-_106 ||
   sugatavacanapuṣpaṃ sarvadā sevanīyaṃ phalati phalamudāraṃ puṣpameva	sugata-vacana-puzpam sarvadA sevanIyam Palati Palam-udAram puzpam-eva
   drumāṇām |	drumANAm |
   sugatavacanapuṣpādartharāśirniṣevyo madhuni mudhakarāṇāṃ yasya	sugata-vacana-puzpAt-arTa-rASiH-nizevyaH maDuni muDa-karANAm yasya
   vāñchāprakarṣam || Śl_107 ||	vAQCA-prakarzam || Śt-_107 ||
   visṛja viṣayānnītyākīrṇāṃ kṣaṇavyayasaṅgino bhaja samasukhaṃ sākāṅkṣaṃ	visRja vizayAn-ni-iti-AkIrNAm kzaNa-vyaya-saFginaH Baja sama-suKam sa-AkAFkzam
   kṛtāntabhayojjhitam |	kRtAnta-Baya-ujJitam |
   vikara timiraṃ mohavyājaṃ vimokṣayathārgalaṃ na khalu suciraṃ nidrāyante	vikara timiram moha-vyAjam vimokza-yaTa-argalam na Kalu su-ciram nidrAyante
   sadaśvakiśorakāḥ || Śl_108 ||	sat-aSva-ki-SorakAH || Śt-_108 ||
   vinayavisaro vīryaskandhaḥ kṣamādamapallavaḥ śamathakusumaḥ prajñāśākhaḥ	vinaya-visaraH vIrya-skanDaH kzamA-dama-pallavaH SamaTa-kusumaH prajQA-SAKaH
   pradānaghanacchadaḥ |	pradAna-GanacCadaH |
   praṇidhiśikharaḥ śīlacchāyaḥ praśāntiphalaprado bhava bhava marau	praNiDi-SiKaraH SIla=-CAyaH praSAnti-Pala-pradaH Bava Bava marO
   tāpārtānāṃ tvamekamahādrumaḥ || Śl_109 ||	tApa-ArtAnAm tvam-eka-mahA-drumaH || Śt-_109 ||
   bahujanahito mābhairvādapradānamahāsvanaḥ pṛthutaraśodhārāsāraḥ	bahu-jana-hitaH mABEH-vAda-pradAna-mahA-svanaH pRTutaraSoDArA-sAraH
   kṛpānilacoditaḥ |	kRpA-anila-coditaH |
   praśamitarajaḥ śīlacchāyāvibhūṣitabhūtalo bhava bhava marau tāpārtānāṃ	praSamita-rajaH SIla=-CAyA-viBUzita-BUtalaH Bava Bava marO tApa-ArtAnAm
   tvamekamahāghanaḥ || Śl_110 ||	tvam-eka-mahA-GanaH || Śt-_110 ||
   prakaṭavipulaṃ paṅkāgādhaḥ prasannatarāśrayaḥ satataśiśiro	prakawa-vipulam paFka-aga-aDas prasannatara-ASrayaH satata-SiSiraH-
   jālavyālapramādavivarjitaḥ |	jAla-vyAla-pramAda-vivarjitaH |
   prakṛtisubhagastṛṣṇācchedāvimardabharakṣamo bhava bhava marau tāpārtānāṃ	prakRti-suBagaH-tRzNA-AcCeda-avimarda-Bara-kzamaH Bava Bava marO tApa-ArtAnAm
   tvamekamahāhradaḥ || Śl_111 ||	tvam-eka-mahA-hradaH || Śt-_111 ||
   iti nigadatā yadupārjitaṃ puṇyaṃ mayā kiyatsugatacarite kṛtvā	iti nigadatA yat-upArjitam puNyam mayA kiyat-su-gata-carite kRtvA
   śraddhāmanena jano 'khilaḥ |	SradDAmanena janaH aKilaH |
   satatasukhito ramyābhogaḥ samṛddhamanorathaḥ parahitarataḥ sarvajñatvaṃ	satata-suKitaH ramya-ABogaH samRdDa-manoraTaH para-hita-rataH sarvajQa-tvam
   prayātu tataḥ śanaiḥ || Śl_112 ||	prayAtu tatas SanEs || Śt-_112 ||
   karatalasamāḥ spaṣṭālokāḥ praśāntakṛśānavaḥ sthalakamalinīpattracchannā	kara-tala-samAH spazwa-AlokAH praSAnta-kRSAnavaH sTala-kamalinI-pattra=-CannA
   bisāṅkuradanturāḥ |	bisa-aFkura-danturAH |
   śucisurabhayaḥ sphullāmbhojairvibhūṣitabhūmayo dadhatu narakāḥ sphītāṃ	Suci-suraBayaH sPulla-amBojEH-viBUzita-BUmayaH daDatu narakAH sPItAm
   śobhāṃ saśīkaravāyavaḥ || Śl_113 ||	SoBAm sa-SIkara-vAyavaH || Śt-_113 ||
   vijitaṃvirutamārānīkāḥ kṛtābhayaghoṣaṇā gaganasalilakrīḍā ramyā sameta	vijitaMviruta-mArAnIkAH kRta-aBaya-GozaNA gagana-salila-krIxA ramyA sameta
   narāmarāḥ |	nara-amarAH |
   jananamaraṇakleśāyāsaprabandhavighātino diśi diśi sadā buddhotpādā	janana-maraNa-kleSa-AyAsa-prabanDa-viGAtinaH diSi diSi sadA budDa-utpAdA
   bhavantu samīhitāḥ || Śl_114 ||	Bavantu samIhitAH || Śt-_114 ||
   bhavatu jagatāṃ dharmāmodaḥ prabandhamahotsavaḥ suciraguṇitā mṛtyorbandhyā	Bavatu jagatAm Darma-AmodaH prabanDa-mahA-utsavaH su-cira-guNitA mRtyoH-banDyA
   bhavantu manorathāḥ |	Bavantu manoraTAH |
   munijanakathāgoṣṭhībandhaiḥ samāvṛtavarṣibhiḥ satataśiśiraḥ	muni-jana-kaTA-gozWI-banDEH samAvRta-varziBiH satata-SiSiraH
   subhagacandrālokaḥ prayātu kṛtārthatām || Śl_115 ||	suBaga-candrAlokaH prayAtu kRtArTa-tAm || Śt-_115 ||
   || iti śiṣyalekhanāma dharmakāvyaṃ samāptam ||	|| iti Sizya-leKa-nAma Darma-kAvyam samAptam ||
   | kṛtirācāryacandragomipādasya ||	| kRtiH-AcArya-candra-gomipAdasya ||
