   ācāryadaṇḍinaḥ kāvyādarśaḥ	AcArya-daNxinaH kAvyAdarSaH
   prasthānaṃ prākpraṇītaṃ tu sāram anyasya vartmanaḥ // DKd_1.92 //	prasTAnam prAc-praNItam tu sAram anyasya vartmanaH // DKd-_1.92 //
   anyadharmas tato 'nyatra lokasīmānurodhinā &	anya-DarmaH tatas anyatra loka-sImA-anuroDinA &
   samyag ādhīyate yatra sa samādhiḥ smṛto yathā // DKd_1.93 //	samyak ADIyate yatra sa samADiH smRtaH yaTA // DKd-_1.93 //
   kumudāni nimīlanti kamalāny unmiṣanti ca &	kumudAni nimIlanti kamalAni unmizanti ca &
   iti netrakriyādhyāsāl labdhā tadvācinī śrutiḥ // DKd_1.94 //	iti netra-kriyA-aDyAsAt labDA tad-vAcinI SrutiH // DKd-_1.94 //
   niṣṭḥyūtodgīrṇavāntādi gauṇavṛttivyapāśrayam &	nizwHyUta-udgIrNa-vAnta-Adi gONa-vRtti-vyapASrayam &
   atisundaram anyatra grāmyakakṣāṃ vigāhate // DKd_1.95 //	ati-sundaram anyatra grAmya-kakzAm vigAhate // DKd-_1.95 //
   padmāny arkāṃśuniṣṭhyūtāḥ pītvā pāvakavipruṣaḥ &	padmAni arka-aMSu-nizWyUtAH pItvA pAvaka-vipruzaH &
   bhūyo vamantīva mukhair udgīrṇāruṇareṇubhiḥ // DKd_1.96 //	BUyas vamanti-iva muKEH udgIrNa-aruNa-reNuBiH // DKd-_1.96 //
   iti hṛdamahṛdyaṃ tu niṣṭhīvati vadhūr iti &	iti hRdama-hRdyam tu nizWIvati vaDUH iti &
   yugapan naikadharmāṇām adhyāsaś ca smṛto yathā // DKd_1.97 //	yugapad na-eka-DarmANAm aDyAsaH ca smRtaH yaTA // DKd-_1.97 //
   gurugarbhabharaklāntāḥ stanantyo meghapaṅktayaḥ &	guru-garBa-Bara-klAntAH stanantyaH meGa-paFktayaH &
   acalādhityakotsaṅgam imāḥ samadhiśerate // DKd_1.98 //	acala-aDityaka-utsaFgam imAH samaDiSerate // DKd-_1.98 //
   utsaṅgaśayanaṃ sakhyāḥ stananaṃ gauravaṃ klamaḥ &	utsaFga-Sayanam saKyAH stananam gOravam klamaH &
   itīme garbhiṇīdharmā bahavo 'py atra darśitāḥ // DKd_1.99 //	iti-ime garBiNI-DarmAH bahavaH api atra darSitAH // DKd-_1.99 //
   tad etat kāvyasarvasvaṃ samādhir nāma yo guṇaḥ &	tat etat kAvya-sarvasvam samADiH nAma yaH guNaH &
   kavisārthaḥ samagro 'pi tam enam anugacchati // DKd_1.100 //	kavi-sArTaH samagraH api tam enam anugacCati // DKd-_1.100 //
   iti mārgadvayaṃ bhinnaṃ tatsvarūpanirūpaṇāt &	iti mArga-dvayam Binnam tad-svarUpa-nirUpaNAt &
   tadbhedās tu na śakyante vaktuṃ pratikavisthitāḥ // DKd_1.101 //	tad-BedAH tu na Sakyante vaktum pratikavi-sTitAH // DKd-_1.101 //
   ikṣukṣīraguḍādīnāṃ mādhuryasyāntaraṃ mahat &	ikzu-kzIra-guxa-AdInAm mADuryasya-antaram mahat &
   tathāpi na tad ākhyātuṃ sarasvatyāpi śakyate // DKd_1.102 //	taTA-api na tat AKyAtum sarasvatyA-api Sakyate // DKd-_1.102 //
   naisargikī ca pratibhā śrutaṃ ca bahunirmalam &	nEsargikI ca pratiBA Srutam ca bahu-nirmalam &
   amandaś cābhiyogo 'syāḥ kāraṇaṃ kāvyasaṃpadaḥ // DKd_1.103 //	amandaH ca-aBiyogaH asyAH kAraNam kAvya-saMpadaH // DKd-_1.103 //
   na vidyate yady api pūrvavāsanāguṇānubandhi pratibhānam adbhutam &	na vidyate yadi api pUrva-vAsanA-guNa-anubanDi pratiBAnam adButam &
   śrutena yatnena ca vāgupāsitā dhruvaṃ karoty eva kam apy anugraham //	Srutena yatnena ca vAc-upAsitAH Druvam karoti eva kam api anugraham //
   DKd_1.104 //	DKd-_1.104 //
   tadastatandrair aniśaṃ sarasvatī śramād upāsyā khalu kīrtim īpsubhiḥ &	tad-asta-tandrEH aniSam sarasvatI SramAt upAsyA Kalu kIrtim IpsuBiH &
   kṛśe kavitve 'pi janāḥ kṛtaśramā vidagdhagoṣṭhīṣu vihartum īśate //	kRSe kavi-tve api janAH kRta-SramAH vidagDa-gozWIzu vihartum ISate //
   DKd_1.105 //	DKd-_1.105 //
   ity ācāryadaṇḍinaḥ kṛtau kāvyādarśe mārgavibhāgo nāma prathamaḥ	iti AcArya-daNxinaH kRtO kAvya-AdarSe mArga-viBAgaH nAma praTamaH
   paricchedaḥ	paricCedaH
   kāvyaśobhākārān dharmān alaṃkārān pracakṣate &	kAvya-SoBA-AkArAn DarmAn alaMkArAn pracakzate &
   te cādyāpi vikalpyante kas tān kārtsnyena vakṣyati // DKd_2.1 //	te ca-adya-api vikalpyante kaH tAn kArtsnyena vakzyati // DKd-_2.1 //
   kiṃ tu bījaṃ vikalpānāṃ pūrvācāryaiḥ pradarśitam &	kim tu bIjam vikalpAnAm pUrva-AcAryEH pradarSitam &
   tad eva parisaṃskartum ayam asmatpariśramaḥ // DKd_2.2 //	tat eva parisaMskartum ayam asmad-pariSramaH // DKd-_2.2 //
   kāś cin mārgavibhāgārtham uktāḥ prāg apy alaṃkriyāḥ &	kAH cit mArga-viBAga-arTam uktAH prAk api alaMkriyAH &
   sādhāraṇam alaṃkārajātam anyat pradarśyate // DKd_2.3 //	sADAraNam alaMkAra-jAtam anyat pradarSyate // DKd-_2.3 //
   svabhāvākhyānam upamā rūpakaṃ dīpakāvṛttī &	svaBAva-AKyAnam upamA rUpakam dIpaka-AvRttI &
   ākṣepo 'rthāntanyāso vyatireko vibhāvanā // DKd_2.4 //	AkzepaH arTa-anta-nyAsaH vyatirekaH viBAvanA // DKd-_2.4 //
   samāsātiśayotprekṣā hetuḥ sūkṣmo lavaḥ kramaḥ &	samAsa-atiSaya-utprekzAH hetuH sUkzmaH lavaH kramaH &
   preyo rasavad ūrjasvi paryāyoktaṃ samāhitam // DKd_2.5 //	preyaH rasavat Urjasvi paryAya-uktam samAhitam // DKd-_2.5 //
   udāttāpahnutiśleṣaviśeṣās tulyayogitā &	udAtta-apahnuti-Sleza-viSezAH tulyayogitAH &
   virodhāprastutastotre vyājastutinidarśane // DKd_2.6 //	viroDa-aprastuta-stotre vyAja-stuti-nidarSane // DKd-_2.6 //
   sahoktiḥ parivṛttyāśīḥ saṃkīrṇam atha bhāvikam &	sahoktiH parivRtti-ASIH saMkIrNam aTa BAvikam &
   iti vācām alaṃkārā darśitāḥ pūrvasūribhiḥ // DKd_2.7 //	iti vAcAm alaMkArAH darSitAH pUrva-sUriBiH // DKd-_2.7 //
   nānāvasthaṃ padārthānāṃ rūpaṃ sākṣād vivṛṇvatī &	nAnA-avasTam padArTAnAm rUpam sAkzAt vivRNvatI &
   svabhāvoktiś ca jātiś cetyādyā sālaṃkṛtir yathā // DKd_2.8 //	svaBAva-uktiH ca jAtiH ca-ityAdyA sA-alaMkRtiH yaTA // DKd-_2.8 //
   tuṇḍair ātāmrakuṭilaiḥ pakṣair haritakomalaiḥ &	tuNxEH AtAmra-kuwilEH pakzEH harita-komalEH &
   trivarṇarājibhiḥ kaṇṭhair ete mañjugiraḥ śukāḥ // DKd_2.9 //	tri-varNa-rAjiBiH kaNWEH ete maQjugiraH SukAH // DKd-_2.9 //
   kalakvaṇitagarbheṇa kaṇṭhenāghūrṇitekṣaṇaḥ &	kala-kvaNita-garBeNa kaNWena-AGUrNita-IkzaNaH &
   pārāvataḥ paribhramya riraṃsuś cumbati priyām // DKd_2.10 //	pArAvataH pariBramya riraMsuH cumbati priyAm // DKd-_2.10 //
   badhnann aṅgeṣu romāñcaṃ kurvan manasi nirvṛtim &	baDnan aFgezu romAQcam kurvan manasi nirvRtim &
   netre cāmīlayann eṣa priyāsparśaḥ pravartate // DKd_2.11 //	netre ca-AmIlayan eza priyA-sparSaH pravartate // DKd-_2.11 //
   kaṇṭhekālaḥ karasthena kapālenenduśekharaḥ &	kaNWekAlaH kara-sTena kapAlena-indu-SeKaraH &
   jaṭābhiḥ snigdhatāmrābhir āvir āsīd vṛṣadhvajaḥ // DKd_2.12 //	jawABiH snigDa-tAmrABiH Avis AsIt vRzaDvajaH // DKd-_2.12 //
   jātikriyāguṇadravyasvabhāvākhyānam īdṛśam &	jAti-kriyA-guNa-dravya-svaBAva-AKyAnam IdRSam &
   śāstreṣv asyaiva sāmrājyaṃ kāvyeṣv apy etad īpsitam // DKd_2.13 //	SAstrezu asya-eva sAmrAjyam kAvyezu api etat Ipsitam // DKd-_2.13 //
   yathākathaṃcit sādṛśyaṃ yatrodbhūtaṃ pratīyate &	yaTA-kaTaMcid sAdRSyam yatra-udBUtam pratIyate &
   upamā nāma tasyāḥ prapañcodayaṃ pradarśyate // DKd_2.14 //	upamA nAma tasyAH prapaQca-udayam pradarSyate // DKd-_2.14 //
   ambhoruham ivātāmraṃ mugdhe karatalaṃ tava &	amBoruham iva-atAmram mugDe kara-talam tava &
   iti dharmopamā sākṣāt tulyadharmapradarśanāt // DKd_2.15 //	iti Darma-upamA sAkzAt tulya-Darma-pradarSanAt // DKd-_2.15 //
   rājīvam iva te vaktraṃ netre nīlotpale iva &	rAjIvam iva te vaktram netre nIlotpale iva &
   iyaṃ pratīyamānaikadharmā vastūpamaiva sā // DKd_2.16 //	iyam pratIyamAna-eka-DarmAH vastUpamA-eva sA // DKd-_2.16 //
   tvadānanam ivonnidram aravindam abhūd iti &	tvad-Ananam iva-unnidram aravindam aBUt iti &
   sā prasiddhiviparyāsād viparyāsopameṣyate // DKd_2.17 //	sA prasidDi-viparyAsAt viparyAsopamA-izyate // DKd-_2.17 //
   tavānanam ivāmbhojam ambhojam iva te mukham &	tava-Ananam iva-amBojam amBojam iva te muKam &
   ity anyonyopamā seyam anyonyotkarṣaśaṃsinī // DKd_2.18 //	iti anyonya-upamA sA-iyam anyonya-utkarza-SaMsinI // DKd-_2.18 //
   tvanmukhaṃ kamalenaiva tulyaṃ nānyena kena cit &	tvad-muKam kamalena-eva tulyam na-anyena kena cit &
   ity anyasāmyavyāvṛtter iyaṃ sā niyamopamā // DKd_2.19 //	iti anya-sAmya-vyAvRtteH iyam sA niyama-upamA // DKd-_2.19 //
   padmaṃ tāvat tavānveti mukham anyac ca tādṛśam &	padmam tAvat tava-anveti muKam anyat ca tAdRSam &
   asti ced astu tatkārīty asāv aniyamopamā // DKd_2.20 //	asti ced astu tad-kArI-iti asO aniyama-upamA // DKd-_2.20 //
   samuccayopamāpy asti na kāntyaiva mukhaṃ tava &	samuccaya-upamA-api asti na kAntyA-eva muKam tava &
   hlādanākhyena cānveti karmaṇendum itīdṛśī // DKd_2.21 //	hlAdana-AKyena ca-anveti karmaNA-indum iti-IdRSI // DKd-_2.21 //
   tvayy eva tvanmukhaṃ dṛṣṭaṃ dṛśyate divi candramāḥ &	tvayi eva tvad-muKam dRzwam dRSyate divi candramAH &
   iyaty eva bhidā nānyety asāv atiśayopamā // DKd_2.22 //	iyatI eva BidA na-anyA-iti asO atiSaya-upamA // DKd-_2.22 //
   mayy evāsyā mukahśrīr ity alam indor vikatthanaiḥ &	mayi eva-asyAH mukahSrIH iti alam indoH vikatTanEH &
   padme 'pi sā yad asty evety asāv utprekṣitopamā // DKd_2.23 //	padme api sA yat asti eva-iti asO utprekzita-upamA // DKd-_2.23 //
   yadi kiṃ cid bhavet padmaṃ subhru vibhrāntalocanam &	yadi kim cit Bavet padmam suBru viBrAnta-locanam &
   tat te mukhaśriyaṃ dhattām ity asāv adbhutopamā // DKd_2.24 //	tat te muKa-Sriyam DattAm iti asO adButa-upamAH // DKd-_2.24 //
   śaśīty utprekṣya tanvaṅgi tvanmukhaṃ tvanmukhāśayā &	SaSI-iti utprekzya tanvaFgi tvad-muKam tvad-muKa-ASayAH &
   indum apy anudhāvāmīty eṣā mohopamā smṛtā // DKd_2.25 //	indum api anuDAvAmi-iti ezA moha-upamA smRtAH // DKd-_2.25 //
   kiṃ padmam antarbhrāntāli kiṃ te lolekṣaṇaṃ mukham &	kim padmam antar-BrAnta-Ali kim te lola-IkzaNam muKam &
   mama dolāyate cittam itīyaṃ saṃśayopamā // DKd_2.26 //	mama dolAyate cittam iti-iyam saMSaya-upamA // DKd-_2.26 //
   na padmasyendunigrāhyasyendulajjākarī dyutiḥ &	na padmasya-indu-nigrAhyasya-indu-lajjAkarI dyutiH &
   atas tvanmukham evedam ity asau nirṇayopamā // DKd_2.27 //	atas tvad-muKam eva-idam iti asO nirNaya-upamAH // DKd-_2.27 //
   śiśirāṃśupratspardhi śrīmat surabhigandhi ca &	SiSira-aMSu-pratsparDi SrImat suraBi-ganDi ca &
   ambhojam iva te vaktram iti śleṣopamā smṛtā // DKd_2.28 //	amBojam iva te vaktram iti Sleza-upamA smRtAH // DKd-_2.28 //
   sarūpaśabdavācyatvāt sā samānopamā yathā &	sarUpa-Sabda-vAcya-tvAt sA samAna-upamA yaTA &
   bālevodyānamāleyaṃ sālakānanaśobhinī // DKd_2.29 //	bAlA-iva-udyAna-mAlA-iyam sAla-kAnana-SoBinI // DKd-_2.29 //
   padmaṃ bahurajaś candraḥ kṣayī tābhyāṃ tavānanam &	padmam bahu-rajaH candraH kzayI tAByAm tava-Ananam &
   samānam api sotsekam iti nindopamā smṛtā // DKd_2.30 //	samAnam api sa-utsekam iti nindA-upamA smRtAH // DKd-_2.30 //
   brahmaṇo 'py udbhavaḥ padmaś candraḥ śaṃbhuśirodhṛtaḥ &	brahmaNaH api udBavaH padmaH candraH SaMBu-SiraH-DRtaH &
   tau tulyau tvanmukheneti sā praśaṃsopamocyate // DKd_2.31 //	tO tulyO tvad-muKena-iti sA praSaMsA-upamA-ucyate // DKd-_2.31 //
   candreṇa tvanmukhaṃ tulyam ity ācikhyāsu me manaḥ &	candreNa tvad-muKam tulyam iti AciKyAsu me manaH &
   sa guṇo vāstu doṣo vety ācikhyāsopamāṃ viduḥ // DKd_2.32 //	sa guNaH vA-astu dozaH vA-iti AciKyAsa-upamAm viduH // DKd-_2.32 //
   śatapatraṃ śaraccandras tvadānanam iti trayam &	Satapatram Sarad-candraH tvad-Ananam iti trayam &
   parasparavirodhīti sā virodhopamā matā // DKd_2.33 //	paraspara-viroDI-iti sA viroDa-upamA matAH // DKd-_2.33 //
   na jātu śaktir indos te mukhena pratigarjitum &	na jAtu SaktiH indoH te muKena pratigarjitum &
   kalaṅkino jaḍasyeti pratiṣedhopamaiva sā // DKd_2.34 //	kalaFkinaH jaxasya-iti pratizeDa-upamA-eva sA // DKd-_2.34 //
   mṛgekṣaṇāṅkaṃ te vaktraṃ mṛgeṇaivāṅkitaḥ śaśī &	mRga-IkzaNa-aFkam te vaktram mRgeNa-eva-aFkitaH SaSI &
   tathāpi sama evāsau notkarṣīti caṭūpamā // DKd_2.35 //	taTA-api samaH eva-asO na-utkarzI-iti cawUpamA // DKd-_2.35 //
   na padmaṃ mukham evedaṃ na bhṛṅgau cakṣuṣī ime &	na padmam muKam eva-idam na BRFgO cakzuzI ime &
   iti vispaṣṭasādṛśyāt tattvākhyānopamaiva sā // DKd_2.36 //	iti vispazwa-sAdRSyAt tattva-AKyAna-upamA-eva sA // DKd-_2.36 //
   candrāravindayoḥ kāntim atikramya mukhaṃ tava &	candra-aravindayoH kAntim atikramya muKam tava &
   ātmanaivābhavat tulyam ity asādhāraṇopamā // DKd_2.37 //	AtmanA-eva-aBavat tulyam iti asADAraNa-upamA // DKd-_2.37 //
   sarvapadmaprabhāsāraḥ samāhṛta iva kvacit &	sarva-padma-praBA-sAraH samAhRtaH iva kvacid &
   tvadānanaṃ vibhātīti tām abhūtopamāṃ viduḥ // DKd_2.38 //	tvad-Ananam viBAti-iti tAm aBUta-upamAm viduH // DKd-_2.38 //
   candrabimbād iva viṣaṃ candanād iva pāvakaḥ &	candra-bimbAt iva vizam candanAt iva pAvakaH &
   paruṣā vāg ito vaktrād ity asaṃbhāvitopamā // DKd_2.39 //	paruzA vAc itas vaktrAt iti asaMBAvita-upamAH // DKd-_2.39 //
   candanodakacandrāṃśucandrakāntādiśītalaḥ &	candana-udaka-candra-aMSu-candra-kAnta-Adi-SItalaH &
   sparśas tavety atiśayaṃ bodhayanti bahūpamā // DKd_2.40 //	sparSaH tava-iti atiSayam boDayanti bahu-upamA // DKd-_2.40 //
   candrabimbād ivotkīrṇaṃ padmagarbhādivoddhṛtam &	candra-bimbAt iva-utkIrNam padma-garBAt-iva-udDRtam &
   tava tanvaṅgi vadanam ity asau vikriyopamā // DKd_2.41 //	tava tanvaFgi vadanam iti asO vikriyA-upamA // DKd-_2.41 //
   pūṣṇyātapa ivāhṇīva pūṣā vyomnīva vāsaraḥ &	pUzNi-AtapaH iva-ahNi-iva pUzA vyomni-iva vAsaraH &
   vikramas tvayy adhāl lakṣmīm iti mālopamā matā // DKd_2.42 //	vikramaH tvayi aDAt lakzmIm iti mAlA-upamA matAH // DKd-_2.42 //
   vākyarthenaiva vākyārthaḥ ko 'pi yady upamīyate &	vAki-arTena-eva vAkya-arTaH kaH api yadi upamIyate &
   ekānekevaśabdatvāt sā vākyārthopamā dvidhā // DKd_2.43 //	eka-anekA-iva-Sabda-tvAt sA vAkya-arTa-upamAH dviDA // DKd-_2.43 //
   tvadānanam adhīrākṣam āvir daśanadīdhitiḥ &	tvad-Ananam aDIra-akzam Avis daSana-dIDitiH &
   bhramadbhṛṅgam ivālakṣyakesaraṃ bhāti paṅkajam // DKd_2.44 //	Bramat-BRFgam iva-Alakzya-kesaram BAti paFkajam // DKd-_2.44 //
   nalinyā iva tanvaṅgyās tasyāḥ padmam ivānanam &	nalinyAH iva tanvaFgyAH tasyAH padmam iva-Ananam &
   mayā madhuvrateneva pāyaṃ pāyam aramyata // DKd_2.45 //	mayA maDuvratena-iva pAyam pAyam aramyate // DKd-_2.45 //
   vastu kiṃcid upanyasya nyasanāt tatsadharmaṇaḥ &	vastu kiMcid upanyasya nyasanAt tad-saDarmaNaH &
   sāmyapratītir astīti prativastūpamā yathā // DKd_2.46 //	sAmya-pratItiH asti-iti prativastU-pamA yaTA // DKd-_2.46 //
   naiko 'pi tvādṛśo 'dyāpi jāyamāneṣu rājasu &	na-ekaH api tvAdRSaH adya-api jAyamAnezu rAjasu &
   nanu dvitīyo nāsty eva pārijātasya pādapaḥ // DKd_2.47 //	nanu dvitIyaH na-asti eva pArijAtasya pAdapaH // DKd-_2.47 //
   adhikena samīkṛtya hīnam ekakriyāvidhau &	aDikena samIkRtya hInam eka-kriyA-viDO &
   yad bruvanti smṛtā seyaṃ tulyayogopamā yathā // DKd_2.48 //	yat bruvanti smRtA sA-iyam tulya-yoga-upamAH yaTA // DKd-_2.48 //
   divo jagarti rakṣāyai pulomārir bhuvo bhavān &	divaH jagarti rakzAyE pulomAriH BuvaH BavAn &
   asurās tena hanyante sāvalepās tvayā nṛpāḥ // DKd_2.49 //	asurAH tena hanyante sa-avalepAH tvayA nRpAH // DKd-_2.49 //
   kāntyā candramasaṃ dhāmnā sūryaṃ dhairyeṇa cārṇavam &	kAntyA candramasam DAmnA sUryam DEryeNa ca-arNavam &
   rājann anukaroṣīti saiṣā hetūpamā matā // DKd_2.50 //	rAjan anukarozi-iti sA-ezA hetu-upamA matAH // DKd-_2.50 //
   na liṅgavacane bhinne na hīnādhikatāpi vā &	na liFga-vacane Binne na hIna-aDika-tA-api vA &
   upamādūṣaṇāyālaṃ yatrodvego na dhīmatām // DKd_2.51 //	upamA-dUzaNAya-alam yatra-udvegaH na DImatAm // DKd-_2.51 //
   strīva gacchati ṣaṇḍho 'yaṃ vakty eṣā strī pumān iva &	strI-iva gacCati zaNXaH ayam vakti ezA strI pumAn iva &
   prāṇā iva priyo 'yaṃ me vidyā dhanam ivārjitā // DKd_2.52 //	prANAH iva priyaH ayam me vidyA Danam iva-arjitAH // DKd-_2.52 //
   bhavān iva mahīpāla devarājo virājate &	BavAn iva mahIpAla devarAjaH virAjate &
   alam aṃśumataḥ kakṣām āroḍhuṃ tejasā nṛpah // DKd_2.53 //	alam aMSumataH kakzAm AroXum tejasA nRpah // DKd-_2.53 //
   ityevamādau saubhāgyaṃ na jahāty eva jātu cit &	iti-evamAdO sOBAgyam na jahAti eva jAtu cit &
   asty eva kva cid udvegaḥ prayoge vāgvidāṃ yathā // DKd_2.54 //	asti eva kva cit udvegaH prayoge vAc-vidAm yaTA // DKd-_2.54 //
   haṃsīva dhavalaś candraḥ sarāṃsīvāmalaṃ nabhaḥ &	haMsI-iva DavalaH candraH sarAMsi-iva-amalam naBaH &
   bhartṛbhakto bhaṭaḥ śveva khadyoto bhāti bhānuvat // DKd_2.55 //	BartR-BaktaH BawaH SvA-iva KadyotaH BAti BAnu-vat // DKd-_2.55 //
   īdṛśaṃ varjyate sadbhiḥ kāraṇaṃ tatra cintyatāṃ &	IdRSam varjyate sadBiH kAraNam tatra cintyatAm &
   guṇadoṣavicārāya svayam eva manīṣibhiḥ // DKd_2.56 //	guNa-doza-vicArAya svayam eva manIziBiH // DKd-_2.56 //
   ivavadvāyathāśabdāḥ samānanibhasaṃnibhāḥ &	iva-vat-vA-yaTA-SabdAH samAna-niBa-saMniBAH &
   tulyasaṃkāśanīkāśaprakāśapratirūpakāḥ // DKd_2.57 //	tulya-saMkASa-nIkASa-prakASa-pratirUpakAH // DKd-_2.57 //
   pratipakṣapratidvandvipratyanīkavirodhinaḥ &	pratipakza-pratidvandvi-pratyanIka-viroDinaH &
   sadṛksadṛśasaṃvādisajātīyānuvādinaḥ // DKd_2.58 //	sadRS-sadRSa-saMvAdi-sajAtIya-anuvAdinaH // DKd-_2.58 //
   pratibimbapraticchandasarūpasamasaṃmitāḥ &	pratibimba-praticCanda-sarUpa-sama-saMmitAH &
   salakṣaṇasadṛkṣābhasapakṣopamitopamāḥ // DKd_2.59 //	sa-lakzaNa-sadRkza-ABa-sapakza-upamita-upamAH // DKd-_2.59 //
   kalpadeśīyadeśyādiḥ prakhyapratinidhī api &	kalpa-deSIya-deSya-AdiH praKya-pratiniDI api &
   savarṇatulitau śabdau ye cānyūnārthavādinaḥ // DKd_2.60 //	savarNa-tulitO SabdO ye ca-anyUna-arTa-vAdinaH // DKd-_2.60 //
   samāsaś ca bahuvrīhiḥ śaśāṅkavadanādiṣu &	samAsaH ca bahuvrIhiH SaSAFka-vadana-Adizu &
   spardhate jayati dveṣṭi druhyati pratigarjati // DKd_2.61 //	sparDate jayati dvezwi druhyati pratigarjati // DKd-_2.61 //
   ākrośaty avajānāti kadarthayati nindati &	AkroSati avajAnAti kadarTayati nindati &
   viḍambayati saṃdhatte hasatīrṣyaty asūyati // DKd_2.62 //	vixambayati saMDatte hasati-Irzyati asUyati // DKd-_2.62 //
   tasya muṣṇāti saubhāgyaṃ tasya kāntiṃ vilumpati &	tasya muzNAti sOBAgyam tasya kAntim vilumpati &
   tena sārdhaṃ vigṛhṇāti tulāṃ tenādhirohati // DKd_2.63 //	tena sArDam vigRhNAti tulAm tena-aDirohati // DKd-_2.63 //
   tatpadavyāṃ padaṃ dhatte tasya kakṣāṃ vigāhate &	tad-padavyAm padam Datte tasya kakzAm vigAhate &
   tam anvety anubadhnāti tacchīlaṃ tan niṣedhati // DKd_2.64 //	tam anveti anubaDnAti tat-SIlam tat nizeDati // DKd-_2.64 //
   tasya cānukarotīti śabdāḥ sādṛśyasūcakāḥ &	tasya ca-anukaroti-iti SabdAH sAdRSya-sUcakAH &
   upamāyām ime proktāḥ kavīnāṃ buddhisaukhyadāḥ //ity upamācakram// //	upamAyAm ime proktAH kavInAm budDi-sOKya-dAH //-iti upamA-cakram// //
   DKd_2.65 //	DKd-_2.65 //
   upamaiva tirobhūtabhedā rūpakam ucyate &	upamA-eva tiroBUta-BedAH rUpakam ucyate &
   yathā bāhulatā pāṇipadmaṃ caraṇapallavaḥ // DKd_2.66 //	yaTA bAhu-latA pANi-padmam caraNa-pallavaH // DKd-_2.66 //
   aṅgulyaḥ pallavāny āsan kusumāni nakhārciṣaḥ &	aFgulyaH pallavAni Asan kusumAni naKa-arcizaH &
   bāhū late vasantaśrīs tvaṃ naḥ pratyakṣacāriṇī // DKd_2.67 //	bAhU late vasanta-SrIH tvam naH pratyakza-cAriNI // DKd-_2.67 //
   ity etad asamastākhyaṃ samastaṃ pūrvarūpakam &	iti etat asamasta-AKyam samastam pUrvarUpakam &
   smitaṃ mukhendor jyotsneti samastavyastarūpakam // DKd_2.68 //	smitam muKa-indoH jyotsnA-iti samasta-vyasta-rUpakam // DKd-_2.68 //
   tāmrāṅgulidalaśreṇi nakhadīdhitikesaram &	tAmra-aFguli-dala-SreNi naKa-dIDiti-kesaram &
   dhriyate mūrdhni bhūpālair bhavaccaraṇapaṅkajam // DKd_2.69 //	Driyate mUrDni BUpAlEH Bavat-caraNa-paFkajam // DKd-_2.69 //
   aṅgulyādau dalāditvaṃ pāde cāropya padmatām &	aFguli-AdO dala-Adi-tvam pAde ca-Aropya padma-tAm &
   tadyogyasthānavinyāsād etat sakalarūpakam // DKd_2.70 //	tad-yogya-sTAna-vinyAsAt etat sakala-rUpakam // DKd-_2.70 //
   akasmād eva te caṇḍi sphuritādharapallavam &	akasmAt eva te caNxi sPurita-aDara-pallavam &
   mukhaṃ muktāruco dhatte dharmāmbhaḥkaṇamañjarīḥ // DKd_2.71 //	muKam mukta-arucaH Datte Darma-amBaH-kaNa-maQjarIH // DKd-_2.71 //
   mañjarīkṛtyadharmāmbhaḥ pallavīkṛtya cādharam &	maQjarIkRtya-Darma-amBaH pallavIkRtya ca-aDaram &
   nānyathā kṛtam atrāsyam ato 'vayavarūpakam // DKd_2.72 //	na-anyaTA kRtam atra-Asyam atas avayava-rUpakam // DKd-_2.72 //
   valgitabhru galaddharmajalam ālohitekṣaṇam &	valgita-Bru galat-Darma-jalam Alohita-IkzaNam &
   vivṛṇoti madāvasthām idaṃ vadanapaṅkajam // DKd_2.73 //	vivRNoti mada-avasTAm idam vadana-paFkajam // DKd-_2.73 //
   avikṛtya mukhāṅgāni mukham evāravindatām &	avikRtya muKa-aFgAni muKam eva-aravinda-tAm &
   āsīd gamitam atredam ato 'vayavirūpakam // DKd_2.74 //	AsIt gamitam atra-idam atas avayavirUpakam // DKd-_2.74 //
   madapāṭalagaṇḍena raktanetrotpalena te &	mada-pAwala-gaNxena rakta-netra-utpalena te &
   mukhena mugdhaḥ so 'py eṣa jano rāgamayaḥ krtaḥ // DKd_2.75 //	muKena mugDaH saH api eza janaH rAga-mayaH krtaH // DKd-_2.75 //
   ekāṅgarūpakaṃ caitad evaṃ dviprabhṛtīny api &	eka-aFga-rUpakam ca-etat evam dvi-praBRtIni api &
   aṅgāni rūpayanty atra yogāyogau bhidākarau // DKd_2.76 //	aFgAni rUpayanti atra yoga-ayogO BidAkarO // DKd-_2.76 //
   smitapuṣpojjvalaṃ lolanetrabhṛṅgam idaṃ mukham &	smita-puzpa-ujjvalam lola-netra-BRFgam idam muKam &
   iti puṣpadvirephāṇāṃ saṃgatyā yuktarūpakam // DKd_2.77 //	iti puzpa-dvirePANAm saMgatyA yukta-rUpakam // DKd-_2.77 //
   idam ārdrasmitajyotsnaṃ snigdhanetrotpalaṃ mukham &	idam Ardra-smita-jyotsnam snigDa-netra-utpalam muKam &
   iti jyotsnotpalāyogād ayuktaṃ nāma rūpakam // DKd_2.78 //	iti jyotsnA-utpala-ayogAt ayuktam nAma rUpakam // DKd-_2.78 //
   rūpaṇād aṅgino 'ṅgānāṃ rūpaṇārūpaṇāśrayāt &	rUpaNAt aFginaH aFgAnAm rUpaNa-ArUpaNa-ASrayAt &
