   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   khaḍgakheṭakahastastu mlecchādīn sa haniṣyati // BhS_16.102 //	Kaxga Kewaka hastaH tu mlecCa AdIn sa hanizyati // BhH _16.102 //
   kūṭe vā gopure vāpi parvatākṛtike 'pi vā /	kUwe vA gopure vA api parvata AkRtike api vA /
   kalkirūpaṃ pratiṣṭhāpya vimāne tu samarcayet // BhS_16.103 //	kalki rUpam pratizWApya vimAne tu samarcayet // BhH _16.103 //
   madhyamaṃ daśatālena bhinnāṃjanacayaprabham /	maDyamam daSa tAlena Binna aMjana caya praBam /
   aśvānanaṃ mukhaṃ kuryādanyaccaiva narākṛti // BhS_16.104 //	aSvAnanam muKam kuryAt anyat ca eva nara AkRti // BhH _16.104 //
   caturbhujaṃ ca hasteṣu kramāccaivāyudhānyapi /	catur Bujam ca hastezu kramAt ca eva AyuDAni api /
   cakraṃ śaṅkhaṃ ca khaḍgaṃ ca dadhānaṃ kheṭakaṃ tathā // BhS_16.105 //	cakram SaFKam ca Kaxgam ca daDAnam Kewakam taTA // BhH _16.105 //
   athavā kalpayeddevamaśvārūḍhaṃ dvibāhukam /	aTavA kalpayet devam aSva ArUXam dvi bAhukam /
   śuddhasphacikasaṃkāśaṃ khaḍgakheṭaka dhāriṇam // BhS_16.106 //	SudDa sPacika saMkASam Kaxga Kewaka DAriNam // BhH _16.106 //
   atraiva kautukaṃ kuryādviṣṇurūpaṃ caturbhujam /	atra eva kOtukam kuryAt vizNu rUpam catur Bujam /
   pūrvoktayāgaśālāyāṃ pañcāgnīn parikalpya ca // BhS_16.107 //	pUrva ukta yAga SAlAyAm paQca agnIn parikalpya ca // BhH _16.107 //
   paiṇḍarīke pradhānāgnau hautraśaṃsanamācaret /	pENxarIke praDAna agnO hOtra SaMsanam Acaret /
   "karkiṇaṃ kāmarūpaṃ ca viṣṇuṃ saṃhārakāraṇam' // BhS_16.108 //	"karkiNam kAmarUpam ca vizNum saMhAra kAraNam a // BhH _16.108 //
   evamāvāhya vidhinā nirupyājyāhutīryajet /	evam AvAhya viDinA nirupyAjya AhutIH yajet /
   "dhūrno vahantā' mityuktvā śatamaṣṭādhikaṃ yajet // BhS_16.109 //	"DUH naH vahantA a miti uktvA Satam azwa aDikam yajet // BhH _16.109 //
   utsavasnapanādīni viṣṇoriva samācaret /	utsava snapana AdIni vizNoH iva samAcaret /
   viṣṇordaśāvatārāṇāmevaṃ proktaṃ tu lakṣaṇam // BhS_16.110 //	vizNoH daSa avatArANAm evam proktam tu lakzaNam // BhH _16.110 //
   anādirbhagavān kālo nāsya cānto 'pi dṛśyate /	anAdiH BagavAn kAlaH na asya ca antaH api dRSyate /
   cakravatparivartante sṛṣṭisthityantasaṃyamāḥ // BhS_16.111 //	cakra vat parivartante sRzwi sTiti anta saMyamAH // BhH _16.111 //
   avatārāśca kīrtyante bhūyāṃsaḥ paramātmanaḥ /	avatArAH ca kIrtyante BUyAMsaH paramAtmanaH /
   dharmasaṃrakṣaṇārthāya duṣṭasaṃśikṣaṇāya ca // BhS_16.112 //	Darma saMrakzaNa arTAya duzwa saMSikzaNAya ca // BhH _16.112 //
   sadya āvirbhavedviṣṇuryatra bhaktānukaṃpayā /	sadyas AvirBavet vizNuH yatra Bakta anukaMpayA /
   āvirbhāvaṃ tu taṃ vindyātprādurbhāvamathetarat // BhS_16.113 //	AvirBAvam tu tam vindyAt prAdurBAvam aTa itarat // BhH _16.113 //
   āvirbhāvantu matsyādyāḥ pañca pañcetarāssmṛtāḥ /	AvirBAvantu matsya AdyAH paQca paQca itarAssmRtAH /
   gajendramokṣaṇādīnapyāvirbhāvān pracakṣate // BhS_16.114 //	gaja indra mokzaNa AdIn api AvirBAvAn pracakzate // BhH _16.114 //
   antarāle tathā viṣṇordakṣiṇottarapārśvayoḥ /	antarAle taTA vizNoH dakziNa uttara pArSvayoH /
   kalpayedrāmakṛṣṇau tu mukhamaṇḍapa eva vā // BhS_16.115 //	kalpayet rAma kRzNO tu muKa maNxapaH eva vA // BhH _16.115 //
   athāntarmaṇḍape vāpi tathāvaraṇa maṇḍape /	aTa antar maNxape vA api taTA AvaraNa maNxape /
   saṃsthāpya kautukaṃ beraṃ dvayameveti ke ca na // BhS_16.116 //	saMsTApya kOtukam beram dvayam eva iti ke ca na // BhH _16.116 //
   nārasiṃhaṃ varāhaṃ ca vāmanaṃ ca trivikramam /	nArasiMham varAham ca vAmanam ca trivikramam /
   dhruvaberaṃ vinā kṛtvā kautukaṃ lakṣaṇānvitam // BhS_16.117 //	Druvaberam vinA kRtvA kOtukam lakzaNa anvitam // BhH _16.117 //
   sthāpayitvā tathā viṣṇoḥ pūjayedagramaṇḍape /	sTApayitvA taTA vizNoH pUjayet agra maNxape /
   matsyakūrmavarāhāṇāṃ vāmanasya viśeṣataḥ // BhS_16.118 //	matsya kUrma varAhANAm vAmanasya viSezataH // BhH _16.118 //
   kautukaṃ viṣṇurūpaṃ tu kuryāccaiva caturbhujam /	kOtukam vizNu rUpam tu kuryAt ca eva catur Bujam /
   dhruvarūpaṃ na kurvīta yatheṣṭamitaratratu // BhS_16.119 //	Druva rUpam na kurvIta yaTezwam itaratratu // BhH _16.119 //
   iti śrīvaikhānase bhagavacchāstre bhṛguproktāyāṃ	iti SrI vEKAnase Bagavat SAstre BRgu proktAyAm
   saṃhitāyāṃ prakīrṇādhikāre ṣoḍaśo 'dhyāyaḥ	saMhitAyAm prakIrNa aDikAre zoxaSaH aDyAyaH
   atha saptadaśo 'dhyāyaḥ.	aTa saptadaSaH aDyAyaH.
   atha saptadaśo 'dhyāyaḥ.adimūrtikalpaḥ	aTa saptadaSaH aDyAyaH .adi mUrti kalpaH
   atha vakṣye viśeṣeṇa keśavādivinirṇayam /	aTa vakzye viSezeNa keSava Adi vinirNayam /
   keśavaṃ tu prakurvīta saumyarūpaṃ caturbhujam // BhS_17.1 //	keSavam tu prakurvIta sOmya rUpam catur Bujam // BhH _17.1 //
   śaṅkhacakragadāpadmadharaṃ svarṇābhave va ca /	SaFKa cakra gadA padma Daram svarNa aBave va ca /
   sarvālaṅkārasaṃyuktaṃ muktāhāravibhūṣitam // BhS_17.2 //	sarva alaFkAra saMyuktam muktA hAra viBUzitam // BhH _17.2 //
   sthitamevaṃ prakurvīta devībhyāṃ sahitaṃ prabhum /	sTitam evam prakurvIta devIByAm sahitam praBum /
   nārāyaṇaṃ prakurvīta ghanaśyāmaṃ caturbhujam // BhS_17.3 //	nArAyaNam prakurvIta Gana SyAmam catur Bujam // BhH _17.3 //
   śaṅkhapadmadhakaṃ devaṃ bibhrantaṃ ca gadāmasim /	SaFKa padma Dakam devam biBrantam ca gadAm asim /
   bhūṣitaṃ maṇibhūṣābhiḥ vītavāsasamacyutam // BhS_17.4 //	BUzitam maNi BUzABiH vIta vAsasam acyutam // BhH _17.4 //
   prakuryācca viśeṣeṇa lakṣmīnārāyaṇaṃ śubham /	prakuryAt ca viSezeNa lakzmI nArAyaNam SuBam /
   uttamaṃ daśatālena mānonmānapramāṇataḥ // BhS_17.5 //	uttamam daSa tAlena mAna unmAna pramANataH // BhH _17.5 //
   siṃhāsane samāsīnaṃ dakṣiṇāṃghriṃ prasārya ca /	siMhAsane samAsInam dakziNAMGrim prasArya ca /
   āsane nihitaṃ vāmaṃ lakṣaṇaṃ pūrvavattathā // BhS_17.6 //	Asane nihitam vAmam lakzaNam pUrvavat taTA // BhH _17.6 //
   lakṣmīṃ sannyasya vāmorau mukhe harṣasamanvitām /	lakzmIm sannyasya vAma UrO muKe harza samanvitAm /
   prasāritakarāṃ devīṃ pañcatālapramāṇataḥ // BhS_17.7 //	prasArita karAm devIm paQca tAla pramANataH // BhH _17.7 //
   prāñjalīkṛtahastāṃ tāṃ sarvābharaṇabhūṣitām /	prAQjalIkRta hastAm tAm sarva ABaraNa BUzitAm /
   vāmena tāṃ pariṣvajya dakṣiṇenābhayapradam // BhS_17.8 //	vAmena tAm parizvajya dakziNena aBaya pradam // BhH _17.8 //
   anyābhyāṃ ca karābhyāṃ ca śaṅkhacakradharaṃ param /	anyAByAm ca karAByAm ca SaFKa cakra Daram param /
   tārkṣyaṃskandhāsanasthaṃ vā anyatsarvaṃ ca pūrvavat // BhS_17.9 //	tArkzyaMskanDA Asana sTam vA anyat sarvam ca pUrvavat // BhH _17.9 //
   tārkṣyaṃ navārdhatālena ardheṣadbhṛkuṭiṃ? mukham /	tArkzyam nava arDa tAlena arDezadBRkuwiM? muKam /
   dakṣiṇorau sthitāṃ lakṣmīṃ kecidicchantisūrayaḥ // BhS_17.10 //	dakziNa UrO sTitAm lakzmIm kecid icCanti sUrayaH // BhH _17.10 //
   nāgabhoge samāsīnamevaṃ kuryāttu vā harim /	nAga Boge samAsInam evam kuryAt tu vA harim /
   saptabhiḥ pañcabhirvāpi phaṇairvistāritairyutam // BhS_17.11 //	saptaBiH paQcaBiH vA api PaNEH vistAritEH yutam // BhH _17.11 //
   śeṣaṃ samyakprakurvīta samuttuṅgaśarīriṇam /	Sezam samyak prakurvIta samuttuFga SarIriNam /
   mādhavaṃ cotpalanibhaṃ cakracāvagadāsibhiḥ // BhS_17.12 //	mADavam ca utpala niBam cakra cAvagada asiBiH // BhH _17.12 //
   caturbhujadharaṃ kuryāccitramālyāṃbaraṃ harim /	catur Buja Daram kuryAt citra mAlya aMbaram harim /
   govindaṃ pāṇḍurābhaṃ ca caturbhujadharaṃ harim // BhS_17.13 //	govindam pANxura ABam ca catur Buja Daram harim // BhH _17.13 //
   gadāśaṅkhāripadmāni bibhrantaṃ kārayedbudhaḥ /	gadA SaFKa ari padmAni biBrantam kArayet buDaH /
   viṣṇuṃ nīlotpalābhantu śaṅkhāryabjagadābhṛtam // BhS_17.14 //	vizNum nIlotpala ABantu SaFKArI abja gadA BRtam // BhH _17.14 //
   sarvābharaṇa saṃyuktaṃ pītavāsasamacyutam /	sarva ABaraNa saMyuktam pIta vAsasam acyutam /
   raktotpalābhaṃ kurvīta devaṃ tu madhusūdanam // BhS_17.15 //	rakta utpala ABam kurvIta devam tu maDusUdanam // BhH _17.15 //
   śaṅkhāryabjagadāpāṇiṃ caturbhujamanāmayam /	SaFKArI abja gadA pANim catur Bujam anAmayam /
   trivikramaṃ nīlavarṇaṃ śaṅkhāryabjagadābhṛtam // BhS_17.16 //	trivikramam nIla varNam SaFKArI abja gadA BRtam // BhH _17.16 //
   caturbhujadharaṃ devaṃ sarvābharaṇabhūṣitam /	catur Buja Daram devam sarva ABaraNa BUzitam /
   vāmanaṃ meghavarṇaṃ tu caturbāhuṃ mahābalam // BhS_17.17 //	vAmanam meGa varNam tu catur bAhum mahA balam // BhH _17.17 //
   gadāśaṅkhāripadmāni bibhrantaṃ chalarūpiṇam /	gadA SaFKa ari padmAni biBrantam Cala rUpiNam /
   atha vā kārayetkuṃbhaṃ dadhyannaṃ ca karadvaye // BhS_17.18 //	aTa vA kArayet kuMBam daDi annam ca kara dvaye // BhH _17.18 //
   dadhivāmanamāhustaṃ śvetābhaṃ dvibhujaṃ harim /	daDivAmanam AhuH tam Sveta ABam dvi Bujam harim /
   atha vā vaṭurūpaṃ tu dhṛtvā daṇḍakamaṇḍalū // BhS_17.19 //	aTa vA vawu rUpam tu DRtvA daNxa ka maNxalU // BhH _17.19 //
   svarṇacchami bālarūpaṃ dvibhujaṃ kārayeddharim /	svarNa= Cami bAla rUpam dvi Bujam kArayet harim /
   sitāsitābhaṃ kurvīta śrīdharaṃ tu caturbhujam // BhS_17.20 //	sita asita ABam kurvIta SrIDaram tu catur Bujam // BhH _17.20 //
   kaumodakīśaṅkhacakrapadmadhāriṇamīśvaram /	kOmodakI SaFKa cakra padma DAriNam ISvaram /
   hṛṣīkeśaṃ prakurvīta śyāmābhaṃ ca caturbhujam // BhS_17.21 //	hRzIkeSam prakurvIta SyAma ABam ca catur Bujam // BhH _17.21 //
   gadāśaṅkhāripadmāni bibhrantaṃ harimavyayam /	gadA SaFKa ari padmAni biBrantam harim avyayam /
   sitamecakavarṇantu padmanābhaṃ prakalpayet // BhS_17.22 //	sitam ecaka varNantu padmanABam prakalpayet // BhH _17.22 //
   kaumodakīcakrapadmaśaṅkhapāṇiṃ ramādhavam /	kOmodakI cakra padma SaFKa pANim ramADavam /
   dāmodaraṃ prakurvīta sitagaurābhamīśvaram // BhS_17.23 //	dAmodaram prakurvIta sita gOra ABam ISvaram // BhH _17.23 //
   padmaśaṅkhagadācakradharaṃ devaṃ caturbhujam /	padma SaFKa gadA cakra Daram devam catur Bujam /
   saṃkarṣaṇaṃ tu kurvīta śvetavarṇaṃ caturbhujam // BhS_17.24 //	saMkarzaNam tu kurvIta Sveta varNam catur Bujam // BhH _17.24 //
   śaṅkhāryabjagadāpāṇiṃ sarvādhāraṃ sanātanam /	SaFKArI abja gadA pANim sarva ADAram sanAtanam /
   vāsudevaṃ prakurvīta taruṇādityasannibham // BhS_17.25 //	vAsudevam prakurvIta taruNa Aditya sanniBam // BhH _17.25 //
   śaṅkhacakragadāpadmadharaṃ sarvadharaṃ vibhum /	SaFKa cakra gadA padma Daram sarva Daram viBum /
   candrābhaṃ navakundābhamatha vā kālayeddharim // BhS_17.26 //	candra ABam nava kunda ABam aTa vA kAlayet harim // BhH _17.26 //
   pradyumnaṃ tu suvarṇābhaṃ kuryāddevaṃ caturbhujam /	pradyumnam tu suvarNa ABam kuryAt devam catur Bujam /
   cakraśaṅkhagadāpadmadharaṃ devaṃ mahābalam // BhS_17.27 //	cakra SaFKa gadA padma Daram devam mahA balam // BhH _17.27 //
   aniruddhaṃ hiraṇyābhaṃ sarvālaṅkārasaṃyutam /	anirudDam hiraNya ABam sarva alaFkAra saMyutam /
   śaṅkhacakradhanuḥkhaḍgadharaṃ deveśvareśvaram // BhS_17.28 //	SaFKa cakra DanuH Kaxga Daram deveSvara ISvaram // BhH _17.28 //
   sitāsitābhaṃ kurvīta deveśaṃ puruṣottamam /	sita asita ABam kurvIta deveSam puruzottamam /
   śaṅkhacakragadāpadmadharaṃ devaṃ caturbhujam // BhS_17.29 //	SaFKa cakra gadA padma Daram devam catur Bujam // BhH _17.29 //
   athokṣajaṃ prakurvīta śaṅkhābhaṃ ca caturbhujam /	aTa ukza jam prakurvIta SaFKa ABam ca catur Bujam /
   cakraśaṅkhagadāpadmadharaṃ bhūṣaṇabhūṣitam // BhS_17.30 //	cakra SaFKa gadA padma Daram BUzaNa BUzitam // BhH _17.30 //
   nārasiṃhaṃ tu meghābhaṃ sarvālaṅkārasaṃyutam /	nArasiMham tu meGa ABam sarva alaFkAra saMyutam /
   śaṅkhapadmagadācakradharaṃ bhaktābhayapradam // BhS_17.31 //	SaFKa padma gadA cakra Daram Bakta aBaya pradam // BhH _17.31 //
   sitamecakavarṇaṃ tu kurvīta vibhumacyutam /	sita mecaka varNam tu kurvIta viBum acyutam /
   gadābjacakraśaṅkhāṅkaṃ caturbhujavirājitam // BhS_17.32 //	gadA abja cakra SaFKa aFkam catur Buja virAjitam // BhH _17.32 //
   janārdanamudārāṅgaṃ nīlavarṇaṃ samācaret /	janArdanam udAra aFgam nIla varNam samAcaret /
   cakraśaṅkhagadāpadmadharaṃ devaṃ sanātanam // BhS_17.33 //	cakra SaFKa gadA padma Daram devam sanAtanam // BhH _17.33 //
   atha vā kaṭivinyastavāmahastaṃ prakalpayet /	aTa vA kawi vinyasta va Ama hastam prakalpayet /
   upendraṃ ghanakṛṣṇābhaṃ sarvābharaṇabhūṣitam // BhS_17.34 //	upendram Gana kRzNa ABam sarva ABaraNa BUzitam // BhH _17.34 //
   śaṅkhacakragadāpadmadharaṃ devaṃ jagatprabhum /	SaFKa cakra gadA padma Daram devam jagatpraBum /
   hariṃ pāṇḍurakṛṣṇābhaṃ sarvālaṅkāraśobhitam // BhS_17.35 //	harim pANxura kRzNa ABam sarva alaFkAra SoBitam // BhH _17.35 //
   śaṅkhapadmagadācakradharaṃ kuryānmanoharam /	SaFKa padma gadA cakra Daram kuryAt manoharam /
   kṛṣṇaṃ tu nīradaśyāmaṃ puṇḍarīkanibhekṣaṇam // BhS_17.36 //	kRzNam tu nIrada SyAmam puNxarIka niBa IkzaNam // BhH _17.36 //
   śaṅkhacakragadāpadmadharaṃ kuryādvicakṣaṇaḥ /	SaFKa cakra gadA padma Daram kuryAt vicakzaNaH /
   sarveṣāṃ tu vimānāni viṣṇoruktavadācaret // BhS_17.37 //	sarvezAm tu vimAnAni vizNoH ukta vat Acaret // BhH _17.37 //
   sabhyakuṇḍe pradhānāgnau hautraṃ tatra praśaṃsya ca /	saByakuNxe praDAna agnO hOtram tatra praSaMsya ca /
   "keśavaṃ kleśasaṃhāraṃ viṣṇuṃ caiva parātparam' // BhS_17.38 //	"keSavam kleSa saMhAram vizNum ca eva parAtparam a // BhH _17.38 //
   "nārāyaṇaṃ naraṃ viṣṇuṃ narakāntaka' mityapi /	"nArAyaNam naram vizNum naraka antakaH a miti api /
   "mādhavaṃ puṇḍarīkākṣaṃ viṣṇuṃ sarvātmakaṃ' tviti, // BhS_17.39 //	"mADavam puNxarIkAkzam vizNum sarva Atmakama tu iti, // BhH _17.39 //
   "govindaṃ paramānandaṃ viṣṇuṃ caiva sanātanam' /	"govindam parama Anandam vizNum ca eva sanAtanam a /
   .viṣṇuṃ vyāpinamīśānaṃ sarvalokādhipaṃ tathā // BhS_17.40 //	.vizNum vyApinam ISAnam sarva loka aDipam taTA // BhH _17.40 //
   "madhusūdanamudyogaṃ mahāntaṃ viṣṇu'mityapi /	"maDusUdanam udyogam mahAntam vizNu amiti api /
   "trivikramaṃ trilokeśaṃ lokādhāraṃ sanātanam' // BhS_17.41 //	"tri vikramam triloka ISam loka ADAram sanAtanam a // BhH _17.41 //
   "vāmanaṃ varadaṃ caiva kāśyapiṃ cāditipriyam' /	"vAmanam vara dam ca eva kASyapim ca Aditi priyam a /
   "śrīdharaṃ puruṣaṃ ceti viṣṇuṃ śrīvatsavakṣasam' // BhS_17.42 //	"SrIDaram puruzam ca iti vizNum SrIvatsa vakzasam a // BhH _17.42 //
   "hṛṣīkeśaṃ jagannāthaṃ viṣṇuṃ viśvamayaṃ' tathā /	"hRzIkeSam jagannATam vizNum viSva mayama taTA /
   "padmanābhaṃ sureśaṃ ca viṣṇuṃ caiva jagatpatim.' // BhS_17.43 //	"padmanABam sureSam ca vizNum ca eva jagatpatim. a // BhH _17.43 //
   "dāmodaraṃ sadādhāraṃ viṣṇuṃ praṇavarūpiṇam' /	"dAmodaram sat ADAram vizNum praNava rUpiNam a /
   "saṃkarṣaṇaṃ yaduvaraṃ viṣṇuṃ haladhara'ntathā // BhS_17.44 //	"saMkarzaNam yadu varam vizNum halaDara antaTA // BhH _17.44 //
   "vāsudevaṃ puṇyamūrtiṃ bhadreśaṃ puṇyarūpiṇam' /	"vAsudevam puNya mUrtim BadreSam puNya rUpiNam a /
   "pradyumnaṃ jagadīśānaṃ viṣṇu puṇyātmakaṃ' tathā // BhS_17.45 //	"pradyumnam jagat ISAnam vizNu puNya Atmakama taTA // BhH _17.45 //
   "aniruddhaṃ mahāntaṃ ca vairāgyaṃ sarvatejasam' /	"anirudDam mahAntam ca vErAgyam sarva tejasam a /
   "puruṣottamamānandaṃ viṣṇuṃ pañcātmakaṃ' tathā // BhS_17.46 //	"puruzottamam Anandam vizNum paQca Atmakama taTA // BhH _17.46 //
   "adhokṣajamanādiṃ ca viṣṇuṃ vyāpaka' mityapi /	"aDokzajam anAdim ca vizNum vyApakaH a miti api /
   "nārasiṃhaṃ taponāthaṃ mahāviṣṇuṃ mahābalam' // BhS_17.47 //	"nArasiMham tapaH nATam mahA vizNum mahA balam a // BhH _17.47 //
   "acyutaṃ cāparimitamaiśvaryaṃ śrīpatiṃ' tathā /	"acyutam ca aparimitam ESvaryam SrIpatiM a taTA /
   .janārdanamanādyantaṃ viṣṇuṃ tejomayaṃ' tathā // BhS_17.48 //	.janArdanam anAdi antam vizNum tejaH mayama taTA // BhH _17.48 //
   "upendramindrāvarajaṃ viṣṇuṃ vaikuṇṭha'mityapi /	"upendram indrAvarajam vizNum vEkuNWa am iti api /
   "hariṃ pāpaharaṃ ceti viṣṇuṃ maṅgalavigraham // BhS_17.49 //	"harim pApa haram ca iti vizNum maFgala vigraham // BhH _17.49 //
   "kṛṣṇaṃ nārāyaṇaṃ puṇyaṃ tridaśādhipa'mityapi /	"kRzNam nArAyaNam puNyam tridaSADipa am iti api /
   āvāhya tu krameṇaiva nirupyājyāhutīryajet // BhS_17.50 //	AvAhya tu krameNa eva nirupyAjya AhutIH yajet // BhH _17.50 //
   "viṣṇornukā'dabhiṣṣaḍbhi"ratodevā'dabhistathā /	"vizNoH nukA adaBizzaxBi" ratA udevA adaBiH taTA /
   keśavādidvādaśānāṃ mantrairdvādaśabhirhunet // BhS_17.51 //	keSava Adi dvAdaSAnAm mantrEH dvAdaSaBiH hunet // BhH _17.51 //
   nārasiṃhasya kṛṣṇasya mantraḥ pūrvamudīritaḥ /	nArasiMhasya kRzNasya mantraH pUrvam udIritaH /
   itareṣāṃ daśānāṃ tu daśamantrāḥ prakīrtitāḥ // BhS_17.52 //	itarezAm daSAnAm tu daSa mantrAH prakIrtitAH // BhH _17.52 //
   "viṣṇussarveṣā'mityādi "yaṃ yajñai'rantamīritāḥ /	"vizNuH sarvezA am ityAdi "yam yajQE arantam IritAH /
   taṃ taṃ devaṃ samuddiśya tattanmantreṇa cātvaraḥ // BhS_17.53 //	tam tam devam samuddiSya tad tad mantreNa ca atvaraH // BhH _17.53 //
   śatamaṣṭādhikaṃ hutvā śeṣaṃ pūrvavadācaret /	Satam azwa aDikam hutvA Sezam pUrvavat Acaret /
   evaṃ sarvatra kurvīta devībhyāṃ sahitaṃ vibhum // BhS_17.54 //	evam sarvatra kurvIta devIByAm sahitam viBum // BhH _17.54 //
   tadrūpaṃ kautukaṃ kuryātsarvalakṣaṇalakṣitam /	tad rUpam kOtukam kuryAt sarva lakzaNa lakzitam /
   karṣaṇādikriyāssarvā viṣṇorina samācaret // BhS_17.55 //	karzaNa Adi kriyAH sarvAH vizNorina samAcaret // BhH _17.55 //
   lakṣmīkalpaḥ	lakzmI kalpaH
   atha vakṣye viśeṣeṇa lakṣmīsthāpanamuttamam /	aTa vakzye viSezeNa lakzmI sTApanam uttamam /
   aṣṭadhā procyate lakṣmīḥ prathamā tvanapāyinī // BhS_17.56 //	azwaDA procyate lakzmIH praTamA tu anapAyinI // BhH _17.56 //
   viṣṇorvakṣasthsalekāryā sarvālaṅkārasaṃyutā /	vizNoH vakza sTsalekAryA sarva alaFkAra saMyutA /
   dakṣastanasyordhvabhāge vahnyaśredivyamaṇḍale // BhS_17.57 //	dakza stanasya UrDva BAge vahni aSredivya maNxale // BhH _17.57 //
   padmamadhye samāsīnāṃ padmadvayakarāñcitām /	padma maDye samAsInAm padma dvaya kara AQcitAm /
   varadābhayahastāṃ ca mandasmita mukhāṃbujām // BhS_17.58 //	varada aBaya hastAm ca manda smita muKa aMbujAm // BhH _17.58 //
   evaṃ rūpāṃ prakurvīta yogalakṣmīstusā matā /	evam rUpAm prakurvIta yoga lakzmIH tusAH matA /
   yogalakṣmīṃ pratiṣṭhāpya śrīkāmassamyagarcayet // BhS_17.59 //	yoga lakzmIm pratizWApya SrI kAmassamyak arcayet // BhH _17.59 //
   deveśena samaṃ kuryādasyāsthcāpanamuttamam /	deveSena samam kuryAt asya AsTcApanam uttamam /
   kālāntare prakuryāccheddhemarūpyādinā punaḥ // BhS_17.60 //	kAla antare prakuryAt Cedhema rUpya AdinA punar // BhH _17.60 //
   kṛtvā śrīvatsarūpaṃ tu dhārayedviṣṇumavyayam /	kRtvA SrIvatsa rUpam tu DArayet vizNum avyayam /
   tattadbiṃbānurūpaṃ ca kuryācchrīvatsalakṣaṇam // BhS_17.61 //	tad tad biMba anurUpam ca kuryAt SrIvatsa lakzaNam // BhH _17.61 //
   bhogalakṣmyassamākhyātā śśrībhūnīlāḥ kramādimāḥ /	Boga lakzmyassamAKyAtA SSrI BUnIlAH kramAt imAH /
   dhruvādiṣu tu bereṣu śrībhūmyau devapāśanvge // BhS_17.62 //	Druva Adizu tu berezu SrI BUmyO deva pASanvge // BhH _17.62 //
   vaikuṇṭhamārgasaṃcārā nīlā nityasamāśritā /	vEkuNWa mArga saMcArAH nIlA nitya samASritA /
   śrībhūmyosthsāpanaṃ pūrvaṃ deveśena sahoditam // BhS_17.63 //	SrI BUmyosTsApanam pUrvam deveSena saha uditam // BhH _17.63 //
   devībhyāṃ rahite deve kuryātkālāntare punaḥ /	devIByAm rahite deve kuryAt kAla antare punar /
   pṛdhakpratiṣṭhāṃ śrībhūmyoḥ kuryādāṅgirasoktivat // BhS_17.64 //	pRDak pratizWAm SrI BUmyoH kuryAt AFgirasokti vat // BhH _17.64 //
   vīralakṣmīriti proktā pṛthagālayasaṃgatā /	vIra lakzmIH iti proktA pRTak Alaya saMgatAH /
   alayāddakṣiṇe pārśvekuryāttu pṛthagālayam // BhS_17.65 //	alayAt dakziNe pArSvekuryAt tu pRTak Alayam // BhH _17.65 //
   daśatālena mānena kuryāddevīna salakṣaṇām /	daSa tAlena mAnena kuryAt devIna sa lakzaNAm /
   padmadvayakarāṃ caiva vandā bhayadhāriṇīm // BhS_17.66 //	padma dvaya karAm ca eva vandA Baya DAriNIm // BhH _17.66 //
   kirīṭamukucopetāṃ sarvālaṅkāraśobhitam /	kirIwa mukuca upetAm sarva alaFkAra SoBitam /
   padmāsane samāsīnāṃ hemābhāṃ sarvamaṅgalām // BhS_17.67 //	padmAsane samAsInAm hema ABAm sarva maFgalAm // BhH _17.67 //
   godāmanyāṃ prakurvīta lakṣmīṃ tu vijayābhidhām /	godAmanyAm prakurvIta lakzmIm tu vijaya aBiDAm /
   navatāleṃ mānena kuryādanyālayāśritām // BhS_17.68 //	nava tAlem mAnena kuryAt anya Alaya ASritAm // BhH _17.68 //
   dakṣiṇena tu hastena kalhāraṃ dadhatīṃ tathā /	dakziNena tu hastena kalhAram daDatIm taTA /
   prasāritetarakarāṃ baddhadhammillaśobhinīm // BhS_17.69 //	prasArita itara karAm badDa Dammit la SoBinIm // BhH _17.69 //
   sarvālaṅkārasaṃyuktāṃ tiṣṭhantīmeva kārayet /	sarva alaFkAra saMyuktAm tizWantIm eva kArayet /
   godā bhūmyaṃśajā proktā tanmantreṇācaretkriyāḥ // BhS_17.70 //	godAH BUmi aMSa jA proktA tad mantreNa Acaret kriyAH // BhH _17.70 //
   pākalakṣmīssamākhyātā pacanālayasaṃgatā /	pAka lakzmIssamAKyAtA pacana Alaya saMgatAH /
   aṣṭatālena mānena kuryāttāṃ pacanālaye // BhS_17.71 //	azwa tAlena mAnena kuryAt tAm pacana Alaye // BhH _17.71 //
   padmadvayāñcitakarāṃ varadābhayadhāriṇīm /	padma dvaya AQcita karAm varadA Baya DAriNIm /
   āsīnāṃ vātha tiṣṭhantīṃ kuryādbhūṣaṇabhūṣitām // BhS_17.72 //	AsInAm vA aTa tizWantIm kuryAt BUzaNa BUzitAm // BhH _17.72 //
   dvitīya maṇḍapadvāre dvāralakṣmīṃ samācaret /	dvitIya maNxapa dvAre dvAra lakzmIm samAcaret /
   pataṅgapaṭṭikāmadhye sarvālaṅkāraśobhitām // BhS_17.73 //	pataFga pawwikA maDye sarva alaFkAra SoBitAm // BhH _17.73 //
   padmadvayāñcitakarāṃ varadābhayadhāriṇīm /	padma dvaya AQcita karAm varadA Baya DAriNIm /
   padmāsane samāsīnāṃ kirīṭādivibhūṣitām // BhS_17.74 //	padmAsane samAsInAm kirIwa Adi viBUzitAm // BhH _17.74 //
