   kūrmapurāṇam 1	kUrmapurANam 1
   yaḥ parānte parānandaṃ pītvā divyaikasākṣikam /	yaH para ante para Anandam pItvA divya eka sAkzikam /
   nṛtyatyanantamahimā tasmai rudrātmane namaḥ // KūrmP_1,10.65 //	nRtyati ananta mahimA tasmE rudra Atmane namaH // KUrmP_1,10.65 //
   yo 'ntarā sarvabhūtānāṃ niyantā tiṣṭhatīśvaraḥ /	yaH antarA sarva BUtAnAm niyantA tizWati ISvaraH /
   taṃ sarvasākṣiṇaṃ devaṃ namasye bhavatastanum // KūrmP_1,10.66 //	tam sarva sAkziNam devam namasye BavataH tanum // KUrmP_1,10.66 //
   yaṃ vinindrā jitaśvāsāḥ saṃtuṣṭāḥ samadarśinaḥ /	yam vinindrAH jita SvAsAH saMtuzwAH sama darSinaH /
   jyotiḥ paśyanti yuñjānāstasmai yogātmane namaḥ // KūrmP_1,10.67 //	jyotiH paSyanti yuQjAnAH tasmE yoga Atmane namaH // KUrmP_1,10.67 //
   yayā saṃtarate māyāṃ yogī saṃkṣīṇakalmaṣaḥ /	yayA saMtarate mAyAm yogI saMkzINa kalmazaH /
   apārataraparyantāṃ tasmai vidyātmane namaḥ // KūrmP_1,10.68 //	apAratara paryantAm tasmE vidyA Atmane namaH // KUrmP_1,10.68 //
   yasya bhāsā vibhātīdamadvayaṃ tamasaḥ param /	yasya BAsA viBAti idam advayam tamasaH param /
   prapadye tat paraṃ tattvaṃ tadrūpaṃ parameśvaram // KūrmP_1,10.69 //	prapadye tat param tattvam tad rUpam parameSvaram // KUrmP_1,10.69 //
   nityānandaṃ nirādhāraṃ niṣkalaṃ paramaṃ śivam /	nitya Anandam nirADAram nizkalam paramam Sivam /
   prapadye paramātmānaṃ bhavantaṃ parameśvaram // KūrmP_1,10.70 //	prapadye paramAtmAnam Bavantam parameSvaram // KUrmP_1,10.70 //
   evaṃ stutvā mahādevaṃ brahmā tadbhāvabhāvitaḥ /	evam stutvA mahAdevam brahmA tad BAva BAvitaH /
   prāñjaliḥ praṇatastasthau gṛṇan brahma sanātanam // KūrmP_1,10.71 //	prAQjaliH praNataH tasTO gRNan brahma sanAtanam // KUrmP_1,10.71 //
   tatastasmai mahādevo divyaṃ yogamanuttamam /	tatas tasmE mahAdevaH divyam yogam anuttamam /
   aiśvaryaṃ brahmasadbhāvaṃ vairāgyaṃ ca dadau haraḥ // KūrmP_1,10.72 //	ESvaryam brahma sadBAvam vErAgyam ca dadO haraH // KUrmP_1,10.72 //
   karābhyāṃ suśubhābhyāṃ ca saṃspṛśya praṇatārtihā /	karAByAm su SuBAByAm ca saMspRSya praNata Arti hA /
   vyājaharā svayaṃ devaḥ so 'nugṛhya pitāmaham // KūrmP_1,10.73 //	vyAjaharA svayam devaH saH anugRhya pitAmaham // KUrmP_1,10.73 //
   yattvayābhyarthitaṃ brahman putratve bhavato mama /	yat tvayA aByarTitam brahman putra tve BavataH mama /
   kṛtaṃ mayā tat sakalaṃ sṛjasva vividhaṃ jagat // KūrmP_1,10.74 //	kRtam mayA tat sakalam sRjasva viviDam jagat // KUrmP_1,10.74 //
   tridhā bhinno 'smyahaṃ brahman brahmaviṣṇuharākhyayā /	triDA BinnaH asmi aham brahman brahma vizNu hara AKyayA /
   sargarakṣālayaguṇairniṣkalaḥ parameśvaraḥ // KūrmP_1,10.75 //	sarga rakzA Alaya guNEH nizkalaH parameSvaraH // KUrmP_1,10.75 //
   sa tvaṃ mamāgrajaḥ putraḥ sṛṣṭihetorvinirmitaḥ /	sa tvam mama agrajaH putraH sRzwi hetoH vinirmitaH /
   mamaiva dakṣiṇādaṅgād vāmāṅgāt puruṣottamaḥ // KūrmP_1,10.76 //	mama eva dakziNAt aFgAt vAma aFgAt puruzottamaH // KUrmP_1,10.76 //
   tasya devādidevasya śaṃbhorhṛdayadeśataḥ /	tasya deva Adidevasya SaMBoH hRdaya deSataH /
   saṃbabhūvātha rudro 'sāvahaṃ tasyāparā tanuḥ // KūrmP_1,10.77 //	saMbaBUva aTa rudraH asO= aham tasya aparA tanuH // KUrmP_1,10.77 //
   brahmaviṣṇuśivā brahman sargasthityantahetavaḥ /	brahma vizNu SivAH brahman sarga sTiti anta hetavaH /
   vibhajyātmānameko 'pi svecchayā śaṅkaraḥ sthitaḥ // KūrmP_1,10.78 //	viBajya AtmAnam ekaH api sva icCayA SaFkaraH sTitaH // KUrmP_1,10.78 //
   tathānyāni ca rūpāṇi mama māyākṛtāni tu /	taTA anyAni ca rUpANi mama mAyA kRtAni tu /
   nirūpaḥ kevalaḥ svaccho mahādevaḥ svabhāvataḥ // KūrmP_1,10.79 //	nirUpaH kevalaH svacCaH mahAdevaH svaBAvataH // KUrmP_1,10.79 //
   ebhyaḥ parataro devastrimūrtiḥ paramā tanuḥ /	eByaH parataraH devaH trimUrtiH paramA tanuH /
   māheśvarī trinayanā yogināṃ śāntidā sadā // KūrmP_1,10.80 //	mAheSvarI trinayanA yoginAm SAnti dA sadA // KUrmP_1,10.80 //
   tasyā eva parāṃ mūrti māmavehi pitāmaha /	tasyAH eva parAm mUrti mAm avehi pitAmaha /
   śāśvataiśvaryavijñānatejoyogasamanvitām // KūrmP_1,10.81 //	SASvata ESvarya vijQAna tejaH yoga samanvitAm // KUrmP_1,10.81 //
   so 'haṃ grasāmi sakalamadhiṣṭhāya tamoguṇam /	saH aham grasAmi sakalam aDizWAya tamaH guNam /
   kālo bhūtvā na tamasā māmanyo 'bhibhaviṣyati // KūrmP_1,10.82 //	kAlaH BUtvA na tamasA mAm anyaH aBiBavizyati // KUrmP_1,10.82 //
   yadā yadā hi māṃ nityaṃ vicintayasi padmaja /	yadA yadA hi mAm nityam vicintayasi padmaja /
   tadā tadā me sānnidhyaṃ bhaviṣyati tavānagha // KūrmP_1,10.83 //	tadA tadA me sAnniDyam Bavizyati tava anaGaH // KUrmP_1,10.83 //
   etāvaduktvā brahmāṇaṃ so 'bhivandya guruṃ haraḥ /	etAvat uktvA brahmANam saH aBivandya gurum haraH /
   sahaiva mānasaiḥ putraiḥ kṣaṇādantaradhīyata // KūrmP_1,10.84 //	saha eva mAnasEH putrEH kzaNAt antaraDIyata // KUrmP_1,10.84 //
   so 'pi yogaṃ samāsthāya sasarja vividhaṃ jagat /	saH api yogam samAsTAya sasarja viviDam jagat /
   nārāyaṇākhyo bhagavān yathāpūrvaṃ prijāpatiḥ // KūrmP_1,10.85 //	nArAyaNa AKyaH BagavAn yaTApUrvam prijApatiH // KUrmP_1,10.85 //
   marīcibhṛgvaṅgirasaṃ pulastyaṃ pulahaṃ kratum /	marIci BRgu aFgirasam pulastyam pulaham kratum /
   dakṣamatriṃ vasiṣṭhaṃ ca so 'sṛjad yogavidyayā // KūrmP_1,10.86 //	dakzam atrim vasizWam ca saH asRjat yoga vidyayA // KUrmP_1,10.86 //
   nava brahmāṇa ityete purāṇe niścayaṃ gatāḥ /	nava brahmANaH iti ete purANe niScayam gatAH /
   sarve te brahmaṇā tulyāḥ sādhakā brahmavādinaḥ // KūrmP_1,10.87 //	sarve te brahmaNA tulyAH sADakAH brahma vAdinaH // KUrmP_1,10.87 //
   saṃkalpaṃ caiva dharmaṃ ca yugadharmāṃśca śāśvatān /	saMkalpam ca eva Darmam ca yuga DarmAn= ca SASvatAn /
   sthānābhimāninaḥ sarvān yathā te kathitaṃ purā // KūrmP_1,10.88 //	sTAna aBimAninaH sarvAn yaTA te kaTitam purA // KUrmP_1,10.88 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ pūrvavibhāge deśamo 'dhyāyaḥ	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm pUrva viBAge deSamaH aDyAyaH
   śrīkūrma uvāca	SrI kUrmaH uvAca
   evaṃ sṛṣṭvā parīcyādīn devadevaḥ pitāmahaḥ /	evam sRzwvA parIcya AdIn devadevaH pitAmahaH /
   sahaiva mānasaiḥ putraistatāpa paramaṃ tapaḥ // KūrmP_1,11.1 //	saha eva mAnasEH putrEH tatApa paramam tapaH // KUrmP_1,11.1 //
   tasyaivaṃ tapato vaktrād rudraḥ kālāgnisannibhaḥ /	tasya evam tapataH vaktrAt rudraH kAlAgni sanniBaH /
   triśūlapāṇirīśānaḥ pradurāsīt trilocanaḥ // KūrmP_1,11.2 //	triSUla pANiH ISAnaH pradurA AsIt trilocanaH // KUrmP_1,11.2 //
   ardhanārīnaravapuḥ duṣprekṣyo 'tibhayaṅkaraḥ /	arDa nArI nara vapuH duzprekzyaH ati BayaFkaraH /
   vibhajātmānamityuktvā brahmā cāntardadhe bhayāt // KūrmP_1,11.3 //	viBaja AtmAnam iti uktvA brahmA ca antardaDe BayAt // KUrmP_1,11.3 //
   tathokto 'sau dvidhā strītvaṃ puruṣatvamathākarot /	taTA uktaH asO dviDA strI tvam puruza tvam aTa akarot /
   bibheda puruṣatvaṃ ca daśadhā caikadhā punaḥ // KūrmP_1,11.4 //	biBeda puruza tvam ca daSaDA ca ekaDA punar // KUrmP_1,11.4 //
   ekādaśaite kathitā rudrāstribhuvaneśvarāḥ /	ekAdaSA ete kaTitAH rudrAH triBuvana ISvarAH /
   kapālośādayo viprā devakārye niyojitāḥ // KūrmP_1,11.5 //	kapAla uSa AdayaH viprAH deva kArye niyojitAH // KUrmP_1,11.5 //
   saumyāsaumyaistathā śāntāśāntaiḥ strītvaṃ ca sa prabhuḥ /	sOmya asOmyEH taTA SAnta aSAntEH strI tvam ca sa praBuH /
   bibheda bahudhā devaḥ svarūpairasitaiḥ sitaiḥ // KūrmP_1,11.6 //	biBeda bahuDA devaH svarUpEH asitEH sitEH // KUrmP_1,11.6 //
   tā vai vibhūtayo viprā viśrutāḥ śaktayo bhuvi /	tAH vE viBUtayaH viprAH viSrutAH SaktayaH Buvi /
   lakṣmyādayo yābhirīśā viśvaṃvyāpnoti śāṅkarī // KūrmP_1,11.7 //	lakzmI AdayaH yABiH ISA viSvaM vyApnoti SAFkarI // KUrmP_1,11.7 //
   vibhajya purarīśānī svātmānaṃ śaṅkarād vibhoḥ /	viBajya purarISAnI sva AtmAnam SaFkarAt viBoH /
   mahādevaniyogena pitāmahamupasthitā // KūrmP_1,11.8 //	mahAdeva niyogena pitAmaham upasTitAH // KUrmP_1,11.8 //
   tāmāha bhagavān brahmā dakṣasya duhitā bhava /	tAm Aha BagavAn brahmA dakzasya duhitA Bava /
   sāpi tasya niyogena prādurāsīt prajāpateḥ // KūrmP_1,11.9 //	sA api tasya niyogena prAdurAsIt prajApateH // KUrmP_1,11.9 //
   niyogād brahmaṇo devīṃ dadau rudrāya tāṃ satīm /	niyogAt brahmaNaH devIm dadO rudrAya tAm satIm /
   dakṣād rudro 'pi jagrāha svakīyāmeva śūlabhṛt // KūrmP_1,11.10 //	dakzAt rudraH api jagrAha svakIyAm eva SUlaBRt // KUrmP_1,11.10 //
   prajāpatiṃ vinindyaiṣā kālena parameśvarī /	prajApatim vinindya ezA kAlena parameSvarI /
   menāyāmabhavat putrī tadā himavataḥ satī // KūrmP_1,11.11 //	menAyAm aBavat putrI tadA himavataH satI // KUrmP_1,11.11 //
   sa cāpi parvatavaro dadau rudrāya pārvatīm /	sa ca api parvata varaH dadO rudrAya pArvatIm /
   hitāya sarvadevānāṃ trilokasyātmano 'pi ca // KūrmP_1,11.12 //	hitAya sarva devAnAm trilokasya AtmanaH api ca // KUrmP_1,11.12 //
   saiṣā māheśvarī devī śaṅkarārdhaśarīriṇī /	sA ezA mAheSvarI devI SaFkara arDa SarIriNI /
   śivā satī haimavatī surāsuranamaskṛtā // KūrmP_1,11.13 //	SivA satI hEmavatI sura asura namaskRtAH // KUrmP_1,11.13 //
   tasyāḥ prabhāvamatulaṃ sarve devāḥ savāsavāḥ /	tasyAH praBAvam atulam sarve devAH sa vAsavAH /
   vindanti munayo vetti śaṅkaro vā svayaṃ hariḥ // KūrmP_1,11.14 //	vindanti munayaH vetti SaFkaraH vA svayam hariH // KUrmP_1,11.14 //
   etad vaḥ kathitaṃ viprāḥ putratvaṃ parameṣṭhinaḥ /	etat vaH kaTitam viprAH putra tvam paramezWinaH /
   brahmaṇaḥ padmayonitvaṃ śaṅkarasyāmitaujasaḥ // KūrmP_1,11.15 //	brahmaNaH padmayoni tvam SaFkarasya amita ojasaH // KUrmP_1,11.15 //
   sūta uvāca	sUtaH uvAca
   ityākarṇyātha munayaḥ kūrmarūpeṇa bhāṣitam /	iti AkarNya aTa munayaH kUrma rUpeNa BAzitam /
   viṣṇunā punarevainaṃ praṇatā harim // KūrmP_1,11.16 //	vizNunA punar eva enam praNatAH harim // KUrmP_1,11.16 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   kaiṣā bhagavatī devī śaṅkarārdhaśarīriṇī /	kA ezA BagavatI devI SaFkara arDa SarIriNI /
   śivā satī haimavatī yathāvad brūhi pṛcchatām // KūrmP_1,11.17 //	SivA satI hEmavatI yaTAvat brUhi pRcCatAm // KUrmP_1,11.17 //
   teṣāṃ tad vacanaṃ śrutvā munīnāṃ puruṣottamaḥ /	tezAm tat vacanam SrutvA munInAm puruzottamaH /
   pratyuvāca mahāyogī dhyātvā svaṃ paramaṃ padam // KūrmP_1,11.18 //	pratyuvAca mahA yogI DyAtvA svam paramam padam // KUrmP_1,11.18 //
   śrīkūrma uvāca	SrI kUrmaH uvAca
   purā pitāmahenoktaṃ merupṛṣṭhe suśobhanam /	purA pitAmahena uktam meru pRzWe su SoBanam /
   rahasyametad vijñānaṃ gopanīyaṃ viśeṣataḥ // KūrmP_1,11.19 //	rahasyam etat vijQAnam gopanIyam viSezataH // KUrmP_1,11.19 //
   sāṃkhyānāṃ paramaṃ sāṃkhyaṃ brahmavijñānamuttamam /	sAMKyAnAm paramam sAMKyam brahma vijQAnam uttamam /
   saṃsārārṇavamagnānāṃ jantūnāmekamocanam // KūrmP_1,11.20 //	saMsAra arNava magnAnAm jantUnAm ekamocanam // KUrmP_1,11.20 //
   yā sā māheśvarī śaktirjñānarūpātilālasā /	yA sA mAheSvarI SaktiH jQAna rUpa ati lAlasA /
   vyomasaṃjñā parā kāṣṭhā seyaṃ haimavatī matā // KūrmP_1,11.21 //	vyoma saMjQA parA kAzWA sA iyam hEmavatI matA // KUrmP_1,11.21 //
   śivā sarvagatānāntā guṇātītā suniṣkalā /	SivA sarva gatAnAntA guNa atItA su nizkalA /
   ekānekavibhāgasthā jñānarūpātilālasā // KūrmP_1,11.22 //	eka aneka viBAga sTAH jQAna rUpa ati lAlasA // KUrmP_1,11.22 //
   ananyā niṣkale tattve saṃsthitā tasya tejasā /	ananyA nizkale tattve saMsTitA tasya tejasA /
   svābhāvikī ca tanmūlā prabhā bhānorivāmalā // KūrmP_1,11.23 //	svABAvikI ca tad mUlA praBA BAnoH iva amalA // KUrmP_1,11.23 //
   ekā māheśvarī śaktiranekopādhiyogataḥ /	ekA mAheSvarI SaktiH aneka upADi yogataH /
   parāvareṇa rūpeṇa krīḍate tasya sannidhau // KūrmP_1,11.24 //	parAvareNa rUpeNa krIxate tasya sanniDO // KUrmP_1,11.24 //
   seyaṃ karoti sakalaṃ tasyāḥ kāryamidaṃ jagat /	sA iyam karoti sakalam tasyAH kAryam idam jagat /
   na kāryaṃ nāpi karaṇamīśvarasyeti sūrayaḥ // KūrmP_1,11.25 //	na kAryam na api karaNam ISvarasya iti sUrayaH // KUrmP_1,11.25 //
   catastraḥ śaktayo devyāḥ svarūpatvena saṃsthitāḥ /	catastraH SaktayaH devyAH svarUpa tvena saMsTitAH /
   adhiṣṭhānavaśāt tasyāḥ śṛṇudhvaṃ munipuṅgavāḥ // KūrmP_1,11.26 //	aDizWAna vaSAt tasyAH SRNuDvam muni puFgavAH // KUrmP_1,11.26 //
   śāntirvidyā pratiṣṭhā ca nivṛttiścetitāḥ smṛtaḥ /	SAntiH vidyA pratizWA ca nivRttiH cetitAH smRtaH /
   caturvyūhastato devaḥ procyate parameśvaraḥ // KūrmP_1,11.27 //	catur vyUhaH tatas devaH procyate parameSvaraH // KUrmP_1,11.27 //
   anayā parayā devaḥ svātmānandaṃ samaśnute /	anayA parayA devaH sva Atma Anandam samaSnute /
   caturṣvapi ca vedeṣu caturmūrtirmaheśvaraḥ // KūrmP_1,11.28 //	caturzu api ca vedezu catur mUrtiH maheSvaraH // KUrmP_1,11.28 //
   asyāstvanādisaṃsiddhamaiśvaryamatulaṃ mahat /	asyAH tu anAdi saMsidDam ESvaryam atulam mahat /
   tatsambandhādanantāyā rudreṇa paramātmanā // KūrmP_1,11.29 //	tad sambanDAt anantAyAH rudreNa paramAtmanA // KUrmP_1,11.29 //
   saiṣā sarveśvarī devī sarvabhūtapravartikā /	sA ezA sarva ISvarI devI sarva BUta pravartikA /
   procyate bhagavān kālo hariḥ prāṇo maheśvaraḥ // KūrmP_1,11.30 //	procyate BagavAn kAlaH hariH prANaH maheSvaraH // KUrmP_1,11.30 //
   tatra sarvamidaṃ protamotaṃ caivākhilaṃ jagat /	tatra sarvam idam prota motam ca eva aKilam jagat /
   sa kālo 'gnirharo rudro gīyate vedavādibhiḥ // KūrmP_1,11.31 //	sa kAlaH agniH haraH rudraH gIyate veda vAdiBiH // KUrmP_1,11.31 //
   kālaḥ sṛjati bhūtāni kālaḥ saṃharate prajāḥ /	kAlaH sRjati BUtAni kAlaH saMharate prajAH /
   sarve kālasya vaśagā na kālaḥ kasyacid vaśe // KūrmP_1,11.32 //	sarve kAlasya vaSagAH na kAlaH kasyacid vaSe // KUrmP_1,11.32 //
   pradhānaṃ puruṣastattvaṃ mahānātmā tvahaṅkṛtiḥ /	praDAnam puruzaH tattvam mahAn AtmA tu ahaFkRtiH /
   kālenānyāni tattvāni samāviṣṭāni yoginā // KūrmP_1,11.33 //	kAlena anyAni tattvAni samAvizwAni yoginA // KUrmP_1,11.33 //
   tasya sarvajagatsūtiḥ śaktirmāyeti viśrutā /	tasya sarva jagat sUtiH SaktiH mAyA iti viSrutA /
   tayedaṃ bhrāmayedīśo māyāvī puruṣottamaḥ // KūrmP_1,11.34 //	tayA idam BrAmayet ISaH mAyAvI puruzottamaH // KUrmP_1,11.34 //
   saiṣā māyātmikā śaktiḥ sarvākārā sanātanī /	sA ezA mAyA AtmikA SaktiH sarva AkArA sanAtanI /
   vaiśvarūpyaṃ maheśasya sarvadā saṃprakāśayet // KūrmP_1,11.35 //	vESvarUpyam maheSasya sarvadA saMprakASayet // KUrmP_1,11.35 //
   anyāśca śaktayo mukhyāstasya devasya nirmitāḥ /	anyAH ca SaktayaH muKyAH tasya devasya nirmitAH /
   jñānaśaktiḥ kriyāśaktiḥ prāṇaśaktiriti trayam // KūrmP_1,11.36 //	jQAnaSaktiH kriyASaktiH prANa SaktiH iti trayam // KUrmP_1,11.36 //
   sarvāsāmeva śaktīnāṃ śaktimanto vinirmitāḥ /	sarvAsAm eva SaktInAm SaktimantaH vinirmitAH /
   māyayaivātha viprendrāḥ sā cānādiranantayā // KūrmP_1,11.37 //	mAyayA eva aTa vipra indrAH sA ca anAdiH anantayA // KUrmP_1,11.37 //
   sarvaśaktyātmikā māyā durnivārā duratyayā /	sarva Sakti AtmikA mAyA durnivArAH duratyayAH /
   māyāvī sarvaśaktīśaḥ kālaḥ kālakāraḥ prabhuḥ // KūrmP_1,11.38 //	mAyAvI sarva Sakti ISaH kAlaH kAla kAraH praBuH // KUrmP_1,11.38 //
   karoti kālaḥ sakalaṃ saṃharet kāla eva hi /	karoti kAlaH sakalam saMharet kAlaH eva hi /
   kālaḥ sthāpayate viśvaṃ kālādhīnamidaṃ jagat // KūrmP_1,11.39 //	kAlaH sTApayate viSvam kAla aDInam idam jagat // KUrmP_1,11.39 //
   labdhvā devādhidevasya sannidhiṃ parameṣṭhinaḥ /	labDvA deva aDidevasya sanniDim paramezWinaH /
   anantasyākhileśasya śaṃbhoḥ kālātmanaḥ prabhoḥ // KūrmP_1,11.40 //	anantasya aKila ISasya SaMBoH kAla AtmanaH praBoH // KUrmP_1,11.40 //
   pradhānaṃ puruṣo māyā māyā caivaṃ prapadyate /	praDAnam puruzaH mAyA mAyA ca evam prapadyate /
   ekā sarvagatānantā kevalā niṣkalā śivā // KūrmP_1,11.41 //	ekA sarva gatA anantA kevalA nizkalA SivAH // KUrmP_1,11.41 //
   ekā śaktiḥ śivaiko 'pi śaktimānucyate śivaḥ /	ekA SaktiH SivA ekaH api SaktimAn ucyate SivaH /
   śaktayaḥ śaktimanto 'nye sarvaśaktisamudbhavāḥ // KūrmP_1,11.42 //	SaktayaH SaktimantaH anye sarva Sakti samudBavAH // KUrmP_1,11.42 //
   śaktiśaktimatorbhedaṃ vadanti paramārthataḥ /	Sakti SaktimatoH Bedam vadanti paramArTataH /
   abhedaṃ cānupaśyanti yoginastattvacintakāḥ // KūrmP_1,11.43 //	aBedam ca anupaSyanti yoginaH tattva cintakAH // KUrmP_1,11.43 //
   śaktayo girajā devī śaktimanto 'tha śaṅkaraḥ /	SaktayaH girajA devI SaktimantaH aTa SaFkaraH /
   viśeṣaḥ kathyate cāyaṃ purāṇe brahmavādibhiḥ // KūrmP_1,11.44 //	viSezaH kaTyate ca ayam purANe brahma vAdiBiH // KUrmP_1,11.44 //
   bhogyā viśveśvarī devī maheśvarapativratā /	BogyA viSveSvarI devI maheSvara pativratA /
   procyate bhagavān bhoktā kaparde nīlalohitaḥ // KūrmP_1,11.45 //	procyate BagavAn BoktA kaparde nIlalohitaH // KUrmP_1,11.45 //
   mantā viśveśvaro devaḥ śaṅkaro manmathāntakaḥ /	mantA viSveSvaraH devaH SaFkaraH manmaTa antakaH /
   procyate matirīśānī mantavyā ca vicārataḥ // KūrmP_1,11.46 //	procyate matiH ISAnI mantavyA ca vicArataH // KUrmP_1,11.46 //
   ityetadakhilaṃ viprāḥ śaktiśaktimadudbhavam /	iti etat aKilam viprAH Sakti Saktimat udBavam /
   procyate sarvavedeṣu munibhistattvadarśibhiḥ // KūrmP_1,11.47 //	procyate sarva vedezu muniBiH tattva darSiBiH // KUrmP_1,11.47 //
   etat pradarśitaṃ divyaṃ devyā māhātmyamuttamam /	etat pradarSitam divyam devyAH mAhAtmyam uttamam /
   sarvavedāntavedeṣu niścitaṃ brahmavādibhiḥ // KūrmP_1,11.48 //	sarva vedAnta vedezu niScitam brahma vAdiBiH // KUrmP_1,11.48 //
   ekaṃ sarvagataṃ sūkṣmaṃ kūṭasthamacalaṃ dhruvam /	ekam sarva gatam sUkzmam kUwasTam acalam Druvam /
   yoginastat prapaśyanti mahādevyāḥ paraṃ padam // KūrmP_1,11.49 //	yoginaH tat prapaSyanti mahAdevyAH param padam // KUrmP_1,11.49 //
   ānandamakṣaraṃ brahma kevalaṃ niṣkalaṃ param /	Anandam akzaram brahma kevalam nizkalam param /
   yoginastat prapaśyanti mahādevyāḥ paraṃ padam // KūrmP_1,11.50 //	yoginaH tat prapaSyanti mahAdevyAH param padam // KUrmP_1,11.50 //
   parātparataraṃ tattvaṃ śāśvataṃ śivamacyutam /	parAtparataram tattvam SASvatam Sivam acyutam /
   anantaprakṛtau līnaṃ devyāstat paramaṃ padam // KūrmP_1,11.51 //	ananta prakRtO lInam devyAH tat paramam padam // KUrmP_1,11.51 //
   śubhaṃ nirañjanaṃ śuddhaṃ nirguṇaṃ dvaitavarjitam /	SuBam niraQjanam SudDam nirguNam dvEta varjitam /
   ātmopalabdhiviṣayaṃ devyāstat paramaṃ padam // KūrmP_1,11.52 //	Atma upalabDi vizayam devyAH tat paramam padam // KUrmP_1,11.52 //
   saiṣā dhātrī vidhātrī ca paramānandamicchatām /	sA ezA DAtrI viDAtrI ca parama Anandam icCatAm /
   saṃsāratāpānakhilān nihantīśvarasaṃśrayā // KūrmP_1,11.53 //	saMsAra tApAn aKilAn nihanti ISvara saMSrayAH // KUrmP_1,11.53 //
   tasmād vimuktimanvicchan pārvatīṃ parameśvarīm /	tasmAt vimuktim anvicCan pArvatIm parameSvarIm /
   āśrayet sarvabhāvānāmātmabhūtāṃ śivātmikām // KūrmP_1,11.54 //	ASrayet sarva BAvAnAm Atma BUtAm Siva AtmikAm // KUrmP_1,11.54 //
   labdhvā ca putrīṃ śarvāṇīṃ tapastaptvā suduścaram /	labDvA ca putrIm SarvANIm tapaH taptvA su duScaram /
   sabhāryaḥ śaraṃ yātaḥ pārvatīṃ parameśvarīm // KūrmP_1,11.55 //	sa BAryaH Saram yAtaH pArvatIm parameSvarIm // KUrmP_1,11.55 //
   tāṃ dṛṣṭvā jāyamānāṃ ca svecchayaiva varānanām /	tAm dRzwvA jAyamAnAm ca sva icCayA eva varAnanAm /
   menā himavataḥ patnī prāhedaṃ parvateśvaram // KūrmP_1,11.56 //	menA himavataH patnI prAha idam parvateSvaram // KUrmP_1,11.56 //
   menovāca	menA uvAca
   paśya bālāmimāṃ rājan rājīvasadṛśānanām /	paSya bAlAm imAm rAjan rAjIva sadRSa AnanAm /
   hitāya sarvabhūtānāṃ jātā ca tapasāvayoḥ // KūrmP_1,11.57 //	hitAya sarva BUtAnAm jAtA ca tapasA AvayoH // KUrmP_1,11.57 //
   so 'pi dṛṣṭvā tataḥ putrīṃ taruṇādityasannibhām /	saH api dRzwvA tatas putrIm taruNa Aditya sanniBAm /
   kapardinīṃ caturvaktrāṃ trinetrāmatilālasām // KūrmP_1,11.58 //	kapardinIm catur vaktrAm trinetrAmati lAlasAm // KUrmP_1,11.58 //
   aṣṭahastāṃ viśālākṣīṃ candrāvayavabhūṣaṇām /	azwa hastAm viSAla akzIm candra avayava BUzaNAm /
   nirguṇāṃ saguṇāṃ sākṣāt sadasadvyaktivarjitām // KūrmP_1,11.59 //	nirguNAm sa guNAm sAkzAt sat asat vyakti varjitAm // KUrmP_1,11.59 //
   praṇamya śirasā bhūmau tejasā cātivihvalaḥ /	praNamya SirasA BUmO tejasA ca ati vihvalaH /
   bhītaḥ kṛtāñjalistasyāḥ provāca parameśvarīm // KūrmP_1,11.60 //	BItaH kRtAQjaliH tasyAH provAca parameSvarIm // KUrmP_1,11.60 //
   hīmavānuvāca	hImavAn uvAca
   kā tvaṃ devi viśālākṣi śaśāṅkāvayavāṅkite /	kA tvam devi viSAla akzi SaSAFka avayava aFkite /
   na jāne tvāmahaṃ vatse yathāvad brūhi pṛcchate // KūrmP_1,11.61 //	na jAne tvAm aham vatse yaTAvat brUhi pRcCate // KUrmP_1,11.61 //
   girīndravacanaṃ śrutvā tataḥ sā parameśvarī /	girIndra vacanam SrutvA tatas sA parameSvarI /
   vyājahāra mahāśailaṃ yogināmabhayapradā // KūrmP_1,11.62 //	vyAjahAra mahA SElam yoginAm aBaya pradA // KUrmP_1,11.62 //
   devyuvāca	devI uvAca
   māṃ viddha paramāṃ śaktiṃ parameśvarasamāśrayām /	mAm vidDa paramAm Saktim parameSvara samASrayAm /
   ananyāmavyayāmekāṃ yāṃ paśyanti mumukṣavaḥ // KūrmP_1,11.63 //	ananyAm avyayAm ekAm yAm paSyanti mumukzavaH // KUrmP_1,11.63 //
   ahaṃ vai sarvabhāvānātmā sarvāntarā śivā /	aham vE sarva BAvAn AtmA sarva antarA SivA /
   śāśvataiśvaryavijñānamūrtiḥ sarvapravartikā // KūrmP_1,11.64 //	SASvata ESvarya vijQAna mUrtiH sarva pravartikA // KUrmP_1,11.64 //
   anantānantamahimā saṃsārārṇavatāriṇī /	ananta ananta mahimA saMsAra arNava tAriNI /
   divyaṃ dadāmi te cakṣuḥ paśya me rūpamaiśvaram // KūrmP_1,11.65 //	divyam dadAmi te cakzuH paSya me rUpam ESvaram // KUrmP_1,11.65 //
   etāvaduktvā vijñānaṃ dattvā himavate svayam /	etAvat uktvA vijQAnam dattvA himavate svayam /
