   atha pañcamaṃ pūraṇam	aTa paQcamam pUraNam
   hastāhasti bhujābhuji prathayator aṅghry-aṅghri cābhun mahaj-	hastAhasti Buja-aBuji praTayatoH aFGri--aFGri ca-aBut mahaj-
   jānūjānu kaṭākaṭi prathanayā krodhaḥ samudbuddhavān |	jAnUjAnu kawAkawi praTanayA kroDaH samudbudDavAn |
   muṣṭāmuṣṭi talātali prathamakaṃ yac cānyad āsīt tayor	muzwa-amuzwi tala-atali praTamakam yat ca-anyat AsIt tayoH-
   yuddhaṃ tad dhari-mallayor bahu-vidhaṃ buddhaṃ kiyat kalpatām	yudDam tat Dari-mallayoH bahu-viDam budDam kiyat kalpatAm
   ||GC_2,5.17|| (śārdūla)	||GC_2,5.17|| (SArdUla)
   kiṃ tu cāṇūrakaṃ kṛṣṇaḥ kāmapālaś ca muṣṭikam |	kim tu cANUrakam kRzNaH kAmapAlaH ca muzwikam |
   hasta-rodhaṃ dadhat kaṃse śvāsa-rodhaṃ vinirmame ||GC_2,5.18|| (anuṣṭubh)	hasta-roDam daDat kaMse SvAsa--roDam vinirmame ||GC_2,5.18|| (anuzwuB)
   ekaṃ tatra babhūva citram akhila-jñānātidūraṃ yathā	ekam tatra baBUva citram aKila--jQAna-ati-dUram yaTA
   sāṅgaṃ svāṅgam akarṣi yarhi hariṇā vinyāsi tad yarhi ca |	sAFgam sva-aFgam akarzi yarhi hariNA vinyAsi tat yarhi ca |
   vyātyāsaḥ sphurati sma tarhi balavan malle tu kiṃ cāsphurad	vyAtyAsaH sPurati sma tarhi balavat malle tu kim ca-asPurad
   dūrād apy asakṛt pari-pratinidhir ghātādikānāṃ vidhiḥ ||GC_2,5.19||	dUrAt api asakRt pari-pratiniDiH GAta-AdikAnAm viDiH ||GC_2,5.19||
   (śārdūla)	(SArdUla)
   satyaṃ prāharatāṃ mallāv api mādhava-rāmayoḥ |	satyam prAharatAm mallO api mADava-rAmayoH |
   javād bṛṃhayamānau tau na tu tal lakṣyatāṃ gatau ||GC_2,5.20|| (anuṣṭubh)	javAt bRMhayamAnO tO na tu tat lakzyatAm gatO ||GC_2,5.20|| (anuzwuB)
   [42] tad evaṃ sthite tat-prabhāvam ananubhavatām anubhavatām api kaṃsaṃ	[42] tat evam sTite tat--praBAvam ananuBavatAm anuBavatAm api kaMsam
   praty eva doṣa-śaṃsanam āsīt | tatra pūrveṣu mallānām api yathā- tatra	prati eva doza--SaMsanam AsIt | tatra pUrvezu mallAnAm api yaTA tatra
   cādau teṣāṃ bhāvaneyam,-	ca-AdO tezAm BAvanA-iyam,-
   etau syātāṃ suṣṭhu bālau baliṣṭhau	etO syAtAm suzWu bAlO balizWO
   kiṃ tu śreṣṭhāṃ malla-vidyāṃ na vittaḥ |	kim tu SrezWAm malla-vidyAm na vittaH |
   tasmāt kasmād bhūbhṛd asmān mṛdhe'smiṃs	tasmAt kasmAt BUBRt asmAt mRDe-asmin=-
   tad-vidyānāṃ pāragān vā niyuṅkte ? ||GC_2,5.21|| (śālinī)	tad--vidyAnAm pAragAn vA niyuFkte ? ||GC_2,5.21|| (SAlinI)
   [43] ante tu-	[43] ante tu-
   jñātvāpy uccais tāv imau malla-vidyā	jQAtvA-api uccEs tO imO malla-vidyA
   śāstra-jñānām ādi-vijñāna-vijñau |	SAstra-jQAnAm Adi-vijQAna-vijQO |
   hā dhiṅ mauḍhyād eva kaṃso'yam asmān	hA Dik mOXyAt eva kaMsaH-ayam asmAn
   etad yuddhe bhīruko'pi nyayuṅkta ||GC_2,5.22|| (śālinī)	etat yudDe BIrukaH-api nyayuFkte ||GC_2,5.22|| (SAlinI)
   [44] tathānyeṣām api nārī-pracurāṇām akrūrāṇāṃ kaṃsāya doṣa-śaṃsanaṃ,	[44] taTA-anyezAm api nArI--pracurANAm akrUrANAm kaMsAya doza--SaMsanaM,
   yathā-	yaTA-
   kva mallā vajrādri-pratima-vapuṣaḥ kvāti-mṛdulāv	kva mallA vajra-adri-pratima-vapuzaH kvAti-mRdulAv
   imau bālau tasmād iha yad anumantṝn dhig adhipān |	imO bAlO tasmAt iha yat anumantLn Dik aDipAn |
   kathaṃ vā te nindyā na khalu vayam asmin sadasi ye	kaTam vA te nindyAH na Kalu vayam asmin sadasi ye
   satāṃ dviṣṭe dṛṣṭiṃ sakutukam ivāmī vitanumaḥ ||GC_2,5.23|| (śikhariṇī)	satAm dvizwe dRzwim sa-kutukam iva-amI vitanumaH ||GC_2,5.23|| (SiKariNI)
   dhig asmat-puṇyaṃ yat katham api harer vīkṣaṇa-lave'	Dik asmat--puNyam yat kaTam api hareH vIkzaNa--lave-a
   py abhūd utpāto'yaṃ praṇayi-janatā-rākṣasa-nibhaḥ |	pi aBUt utpAtaH-ayam praNayi--jana-tA--rAkzasa-niBaH |
   vrajan vanyāṃ prātar vrajam api viśan sāyam amukaḥ	vrajan vanyAm prAtar vrajam api viSan sAyam amukaH
   sukhaṃ yāsāṃ strīṇāṃ vahati vara-puṇyāḥ param amūḥ ||GC_2,5.24||	suKam yAsAm strINAm vahati vara--puNyAH param amUH ||GC_2,5.24||
   (śikhariṇī)	(SiKariNI)
   dhig asmān yāḥ kaṃsād bhayam anusṛtā nāma ca hareḥ	Dik asmAn yAH kaMsAt Bayam anusRtA nAma ca hareH
   samarthā vaktuṃ na vraja-vara-dṛśas tāḥ kati numaḥ |	samarTAH vaktum na vraja-vara-dRSaH tAH kati numaH |
   sadā yā gāyanti sva-gṛha-bahu-karmaṇy api guṇāṃs	sadA yAH gAyanti sva-gRha--bahu--karmaNi api guNAn=-
   tadīyān śaśvat tad dhṛdi ca viharanti pratipadam ||GC_2,5.25|| (śikhariṇī)	tadIyAn SaSvat tat DRdi ca viharanti pratipadam ||GC_2,5.25|| (SiKariNI)
   kasyātulaṃ phalam idaṃ yad amuṣya rūpaṃ	kasya-atulam Palam idam yat amuzya rUpam
   lāvaṇya-sāram asamaṃ svata eva siddham |	lAvaNya--sAram asamam svatas eva sidDam |
   ekānta-dhāma vibhūtāyaśasoḥ samantād	ekAnta--DAma viBUta-ayaSasoH samantAt-
   dṛgbhiḥ sadā nava-navābham amūḥ pibanti ||GC_2,5.26|| (vasanta-tilaka)	dRgBiH sadA nava-nava-ABam amUH pibanti ||GC_2,5.26|| (vasanta--tilaka)
   tāsāṃ premṇaḥ parama-mahimā śakyate kena vaktuṃ	tAsAm premNaH parama--mahimA Sakyate kena vaktum
   paśyāsmākaṃ tam anugatavac cittam etad vihāya |	paSya-asmAkam tam anugata-vat cittam etat vihAya |
   yad govindaḥ śrama-maya-rucāpy eṣa sarvasya cetaḥ	yat govindaH Srama-maya--rucA-api eza sarvasya cetaH
   karṣaty arvāg api tad anugaḥ suṣṭhu saṅkarṣaṇākhyaḥ ||GC_2,5.27||	karzati arvAk api tat anugaH suzWu saFkarzaNa-AKyaH ||GC_2,5.27||
   (mandākrāntā)	(manda-AkrAntA)
   kruddhaṃ śatrum abhidravann api hariḥ smerān anābje rasol-	krudDam Satrum aBidravan api hariH smerAn anAbje rasol-
   lāsād gharma-jalaṃ dadhad vilasati svāṃ saumyatām atyajan |	lAsAt Garma--jalam daDat vilasati svAm sOmyatAm atyajan |
   yad rāmaḥ sphuṭa-śoṇa-netra-vadnas tat-kopataḥ śobhate	yat rAmaH sPuwa--SoNa--netra-vadnaH tat-kopataH SoBate
   tac cāsya prakṛtir yad eṣa sa hareḥ sākṣāt pratāpānalaḥ ||GC_2,5.28||	tat ca-asya prakRtiH yat eza sa hareH sAkzAt pratApa-analaH ||GC_2,5.28||
   (śārdūla)	(SArdUla)
   ete śrī-vasudeva-nanda-valitāḥ śrī-devakī-saṃhatāḥ	ete SrI--vasudeva--nanda-valitAH SrI--devakI--saMhatAH
   sarve sādhu-janāś ca mādṛśa-girā dīptāntara-jvālayā |	sarve sADu--janAH ca mAdRSa--girA dIpta-antara--jvAlayA |
   yasmāt tīvra-nibhālanaṃ vidadhataḥ kṣubhyanti kaṃse muhus	yasmAt tIvra-niBAlanam vidaDataH kzuByanti kaMse muhur-
   tasmād asya vināśa eva ciratā-bhānaṃ vinā setsyati ||GC_2,5.29|| (śārdūla)	tasmAt asya vinASaH eva cira-tA-BAnam vinA setsyati ||GC_2,5.29|| (SArdUla)
   [45] atha tat-prabhāvam anubhavatāṃ kaṃse doṣa-śaṃsaṇaṃ, yathā-	[45] aTa tat--praBAvam anuBavatAm kaMse doza--SaMsaNan, yaTA-
   so'yaṃ mūrkhaḥ svāntare bhīta eva	saH-ayam mUrKaH sva-antare BItaH eva
   nyāsthan mallān yaḥ purastān murāreḥ |	nyAsTan mallAn yaH purastAt murAreH |
   yadvad vyādhaḥ ko'pi saṅgopitātmā	yadvat vyADaH kaH-api saFga-upita-AtmA
   siṃhasyāgre nyasyati grāma-siṃhān ||GC_2,5.30|| (śālinī)	siMhasya-agre nyasyati grAma-siMhAn ||GC_2,5.30|| (SAlinI)
   yaḥ pūtanādi-balam asya nināya nāśaṃ	yaH pUtanA-Adi-balam asya ninAya nASam
   yaḥ śakra-garvam api kharvayati sma sarvam |	yaH Sakra-garvam api Karvayati sma sarvam |
   yaḥ sarva-sarjakam amūmuhad ūha-varjaṃ	yaH sarva-sarjakam amUmuhat Uha-varjam
   taṃ bhoja-rāḍ abhibhavan kila bāḍham īṣṭe ||GC_2,5.31|| (vasanta-tilaka)	tam Boja--rAj aBiBavan kila bAXam Izwe ||GC_2,5.31|| (vasanta--tilaka)
   kva kṛṣṇaḥ sva-prakāśātmā malla-saṅghaḥ kva tāmasaḥ |	kva kRzNaH sva--prakASa-AtmA malla--saFGaH kva tAmasaH |
   yuddhaṃ paśyānayoś citraṃ tejas timirayor iva ||GC_2,5.32|| (anuṣṭubh)	yudDam paSya-anayoH citram tejaH timirayoH iva ||GC_2,5.32|| (anuzwuB)
   saṅgharṣe'pi mithaḥ spṛṣṭir nekṣyate kṛṣṇa-mallayoḥ |	saFGarze-api miTas spRzwiH na-Ikzyate kRzNa-mallayoH |
   ādyasya śakti-vaiśiṣṭyāt tejas timirayor iva ||GC_2,5.33|| (anuṣṭubh)	Adyasya Sakti-vESizwyAt tejaH timirayoH iva ||GC_2,5.33|| (anuzwuB)
   ucchūnatvaṃ kṣatajam api na prekṣyate dveṣi-gātre	ucCUna-tvam kzatajam api na prekzyate dvezi--gAtre
   daityārāter na yad udayate kaścid auddhatya-leśaḥ |	dEtya-arAteH na yat udayate kaScid OdDati-a-leSaH |
   paśyāmuṣya dviṣad abhimukhaṃ vīrya-varyaṃ viṣābhaṃ	paSya-amuzya dvizat aBimuKam vIrya--varyam viza-ABam
   bhedaṃ bhedaṃ dviṣi nikhilakaṃ marma cūrṇaṃ cakāra ||GC_2,5.34||	Bedam Bedam dvizi niKilakam marma cUrNam cakAra ||GC_2,5.34||
   (mandākrāntā)	(manda-AkrAntA)
   sūkṣāgnis tṛṇa-maṇḍale pavir age kumbhāṅgajaḥ sāgare	sUkza-agniH tRNa--maNxale paviH age kumBa-aFga-jaH sAgare
   caṇḍāṃśus timire tathā mura-ripor nāmāpi sarvāṃhasi |	caNxAMSuH timire taTA mura-ripoH nAma-api sarva-aMhasi |
   tadvan nanda-sutaḥ sa eṣa vijayī raṅga-sthalāntar mahā-	tadvat nanda--sutaH saH eza vijayI raFga-sTala-antar mahA-
   sāra-sphāra-kadaṅga-saṅgha-balite malle puraḥ prekṣyatām ||GC_2,5.35||	sAra---sPAra--kadaFga--saFGa---balite malle puras prekzyatAm ||GS_2,5.35||
   (śārdūla)	(SArdUla)
   atra kṛṣṇasya saṃgrāme dṛśyatāṃ paramādbhutam |	atra kRzNasya saMgrAme dRSyatAm parama-adButam |
   cāṇūraḥ pīḍyate tena bukkā kaṃsasya bhidyate ||GC_2,5.36|| (anuṣṭubh)	cANUraH pIxyate tena bukkA kaMsasya Bidyate ||GC_2,5.36|| (anuzwuB)
   mūḍhas tathāpy asau vajra-muṣṭibhyāṃ harim ārdayat |	mUXaH taTA-api asO vajra--muzwiByAm harim Ardayat |
   sa tābhyāṃ hṛdi lagnābhyāṃ san-madāt pulakaṃ dadhe ||GC_2,5.37||	sa tAByAm hRdi lagnAByAm san-madAt pulakam daDe ||GC_2,5.37||
   (anuṣṭubh)	(anuzwuB)
   [46] tad evaṃ sa-paridevanaṃ sa-devanaṃ ca loke vilokamāne,-	[46] tat evam sa-paridevanam sa-devanam ca loke vilokamAne,-
   athāgrahīd dharir api taṃ sakṛd dhasann	aTa-agrahIt DariH api tam sakRt Dasan=-
   abibhraman nabhasi ca yaṃ nibhālayan |	abiBraman naBasi ca yam niBAlayan |
   uvāca dhiṅ mṛta iti vāḍha-rīḍhayāpy	uvAca Dik mRtaH iti vAXa--rIXayA-api-
   apothayad bhuvi nṛpateḥ prapaśyataḥ ||GC_2,5.38|| (rucirā)	apoTayat Buvi nRpateH prapaSyataH ||GC_2,5.38|| (rucirA)
   muṣṭikenāstayā muṣṭyā tuṣtiṃ labdhavataḥ sa ca |	muzwikena-astayA muzwyA tuztim labDavataH sa ca |
   balasya tala-ghātaṃ yan prāṇa-ghātam apadyata ||GC_2,5.39|| (anuṣṭubh)	balasya tala-GAtam yat prANa-GAtam apadyate ||GC_2,5.39|| (anuzwuB)
   agre vyagratayāṅga-saṅgham abhitaḥ samyag rayāt kampayann	agre vyagra-tayA-aFga--saFGam aBitas samyak rayAt kampayan=-
   ugrampaśyatayākṣi-yugmam asakṛt kṣiptī-kṛtaṃ kṣobhayan |	ugrampaSyatayA-akzi--yugmam asakRt kziptI-kRtam kzoBayan |
   rāma-śyāmala-nāma-kāla-dalitaḥ kaṃsasya vartmādiśan	rAma-SyAmala-nAma--kAla-dalitaH kaMsasya vartma-AdiSan
   drāṅ mallaḥ sa sa lokam anyam agamad viśvatra citraṃ diśi ||GC_2,5.40||	drAk mallaH sa sa lokam anyam agamat viSvatra citram diSi ||GC_2,5.40||
   (śārdūla)	(SArdUla)
   krīḍāṃ kṛtvātha tābhyāṃ baka-dalana-balau tatra vijñāya nāti-	krIxAm kRtvA-aTa tAByAm baka-dala-na-balO tatra vijQAya na-ati-
   pravīṇāṃ tāv avajñā-valitam akiratāṃ kṣauṇi-pṛṣṭhe yadā tu |	pravINAm tO avajQA-valitam akiratAm kzONi--pRzWe yadA tu |
   tarhy āgāt kūṭa-nāmā ya iha śala-yutas tośalo yaś ca taṃ taṃ	tarhi AgAt kUwa-nAmA yaH iha Sala--yutaH toSalaH yaH ca tam tam
   sadyo vāmāṅghri-hasta-praharaṇa-dalitī-kṛtya nṛtyaṃ vyadhattām	sadyas vAma-aFGri--hasta--praharaNa-dalitI-kRtya nRtyam vyaDattAm
   ||GC_2,5.41|| (sragdharā)	||GC_2,5.41|| (sragDarA)
   [47] athāpareṣāṃ mallānāṃ samudāyena samaṃ samam api samudāyaṃ kartuṃ	[47] aTa-aparezAm mallAnAm samudAyena samam samam api samudAyam kartum
   samudāyam eva menāte | [48] te tu,-	samudAyam eva menAte | [48] te tu,-
   hateṣu teṣu malleṣu śṛgālīm āgatāḥ pare |	hatezu tezu mallezu SRgAlIm AgatAH pare |
   paśyato hāsayāmasuḥ kṛṣṇa-rāma-pradhānakān ||GC_2,5.42|| (anuṣṭubh)	paSyataH hAsayAmasuH kRzNa-rAma--praDAnakAn ||GC_2,5.42|| (anuzwuB)
   jetuṃ prasthāpitāḥ prāk tridivam api mayā tvatka-senādhināthās	jetum prasTApitAH prAk tridivam api mayA tvad-ka-sena-aDinATAs
   tadvat prasthāpya nāgaṃ nṛpa tava racitās tat-kṛte cādya mallāḥ |	tadvat prasTApya nAgam nRpa tava racitAH tat-kRte ca-adya mallAH |
   evaṃ tad-vartma-saukhyaṃ tava viracayatā nandataḥ svīya-mitraiḥ	evam tat--vartma--sOKyam tava viracayatA nandataH svIya-mitrEH
   krīḍā kāryeti kaṃsaṃ sadasi kila diśaṃs tatra cikrīḍa kṛṣṇaḥ ||GC_2,5.43||	krIxA kAryA-iti kaMsam sadasi kila diSan tatra cikrIxa kRzNaH ||GC_2,5.43||
   (sragdharā)	(sraj-DarA)
   bhrātror vikrīḍitor mitrair madhye madhye parājayaḥ |	BrAtroH vikrIxitoH mitrEH maDye maDye parAjayaH |
   tān hatvā paśya kaṃsasya svāntaṃ saṃkrāntavān muhuḥ ||GC_2,5.44||	tAn hatvA paSya kaMsasya sva-antam saMkrAntavAn muhur ||GC_2,5.44||
   (anuṣṭubh)	(anuzwuB)
   [49] tad evaṃ maitreyikayā citrīyamāṇau dhanyena cātur-varṇyena	[49] tat evam mEtreyikayA citrIyamANO Danyena cAtur-varNyena
   nirvaṇyamānau samāna-mānau sa-vayasaḥ saṃmānayamānau rāma-rāmānuja-nāmānau	nirvaNyamAnO samAna--mAnO sa-vayasaH saMmAnayamAnO rAma-rAma-anuja--nAmAnO
   dyāv-āpṛthivy-anavadya-vādya-vidyām anuvidya-pramodād vidyotamānau	dyAv-A-pRTivI--anavat-ya--vAdya-vidyAm anuvidya--pramodAt vidyotamAnO
   divya-nṛtya-pratimallatayā labdha-malla-tālamānau tat-parvaṇaḥ sarvataḥ	divya-nRtya--pratimalla-tayA labDa--malla--tAla-mAnO tat-parvaNaH sarvatas-
   samāhṛta-vimānau sumanobhiḥ	samAhRta--vimAnO sumanoBiH
   sumanobhiḥ kṛtamānau ghaṭikām ekām akhilān ekāyanān nirmamatuḥ |	sumanoBiH kRta-mAnO GawikAm ekAm aKilAn ekAyanAt nirmamatuH |
   [50] tad asahamānaḥ sahamānaḥ kaṃsas tu draviṇa-balayor	[50] tat asahamAnaH sahamAnaH kaMsaH tu draviNa--balayoH-
   eka-paryāyatayevābhedam ālaksya	eka-paryAya-tayA-iva-aBedam Alaksya
   gopa-draviṇa-haraṇādi-lakṣaṇa-vaksyamāṇa-nija-vacaḥ-pracāraṇa-lakṣyataḥ	gopa--draviNa-haraNa-Adi--lakzaNa-vaksyamANa--nija--vacaH--pracAraNa-lakzyataH
   savya-hastasya dvi-tra-vāram astatayā sva-vāditraṃ niṣiṣedha |	savya-hastasya dvi--tra-vAram asta-tayA sva-vAditram nizizeDa |
   [51] tatra ca niṣiddhe siddheśvara-vāditre tu śuddhatayā siddhe tadīddhe	[51] tatra ca nizidDe sidDeSvara--vAditre tu SudDa-tayA sidDe tat-IdDe
   hitatayā sahitaṃ sakhi-varga-sahitatayā ca valgu yad avalgad yac ca	hita-tayA sahitam saKi-varga--sahita-tayA ca valgu yat avalgat yat ca
   vraja-devaṃ vasudevam ugrasenam apy uddiśya tasya tat tad ugraṃ vacanam	vraja-devam vasudevam ugrasenam api uddiSya tasya tat tat ugram vacanam
   aśṛṇot tad dvayam api sva-cchidra-bādhāya lakṣyaṃ vidhāya sahasā	aSRNot tat dvayam api sva--=-Cidra--bADAya lakzyam viDAya sahasA
   sahasānanatayā paryak plavamānaḥ svairī kaṃsa-vairī | tasmād akasmāt	sahasA-Anana-tayA paryak plavamAnaH svErI kaMsa--vErI | tasmAt akasmAt-
   kaṃsa-mañcopary eva paryaikṣata |	kaMsa--maQcA-upari eva paryEkzata |
   [52] yatra kaṃsena saha tena suduḥsahaṃ śrī-harer vigraha-teja eva	[52] yatra kaMsena saha tena su-duHsaham SrI--hareH vigraha-tejaH eva
   vigraha-karam āsīt | atha samupāgata-dhvaṃsaḥ kaṃsaś ca svaṃ parājayamānāt	vigraha-karam AsIt | aTa samupAgata-DvaMsaH kaMsaH ca svam parAjayamAnAt-
   tasmāt parājayamāna-manā dhairyaṃ hitvā khaḍga-carmaṇī gṛhītvā yad	tasmAt parAjayamAna--manAH DEryam hitvA Kaxga-carmaNI gRhItvA yat-
   vicacāra, tenāpi durdharṣaḥ sa-harṣa-gatiḥ sa eṣa vraja-kula-gatis	vicacAra, tena-api durDarzaH sa-harza--gatiH saH eza vraja--kula--gati-s
   tat-keśa-grāhitā-nirvāhitāṃ katham avāpa, tat khalv asāv api boddhuṃ	tat-keSa---grAhitA--nirvAhitAm kaTam avApa, tat Kalu asO api bodDum
   śaśāda-vaśatāpannaḥ śaśavan na śaśāka |	SaSAt-a-vaSata-ApannaH SaSa-vat na SaSAka |
   [53] lokas tu tad idaṃ ślokayāmāsa,-	[53] lokaH tu tat idam SlokayAmAsa,-
   śyenaḥ kapotam iva pañcamukhaḥ karīndraṃ	SyenaH kapotam iva paQcamuKaH karIndram
   vajro giriṃ vikira-rāṭ kaṭukād raveyam |	vajraH girim vikira--rAj kawukAt raveyam |
   kaṃsaṃ nigṛhya sahasā vaśayan sa eṣa	kaMsam nigRhya sahasA vaSayan saH eza
   krīḍāṃ karoti paritaḥ pṛthum añcam añcan ||GC_2,5.45|| (vasanta-tilaka)	krIxAm karoti paritas pRTum aQcam aQcan ||GC_2,5.45|| (vasanta--tilaka)
   [54] tad evaṃ loke kṛta-śloke hariṇā gṛhīta-keśaḥ sa bhojeśaḥ prāṇānām	[54] tat evam loke kRta-Sloke hariNA gRhIta-keSaH sa Boja-ISaH prANAnAm
   ardhaṃ pūrvaṃ mumoca, nijāghrātatayā mañcād avāñcaṃs tv ardham iti harir	arDam pUrvam mumoca, nija-AGra-AtatayA maQcAt avAQcan tu arDam iti hariH-
   api tac chīghratāṃ boddhuṃ yoddhu-manastā-vaśān na śaśāka |	api tat SIGra-tAm bodDum yodDu-manaH-tA--vaSAt na SaSAka |
   kaṃsasya keśā hariṇā vikṛṣṭāḥ	kaMsasya keSAH hariNAH vikRzwAH
   prāṇāś ca tan muṣṭi-gatā babhūvuḥ |	prANAH ca tat muzwi--gatAH baBUvuH |
   citraṃ na cedaṃ smara tasya bālye	citram na ca-idam smara tasya bAlye
   tat pūtanā-stanya-vikarṣaṇaṃ ca ||GC_2,5.46|| (indravajrā)	tat pUtanA--stanya--vikarzaNam ca ||GC_2,5.46|| (indra-vajrA)
   patat-khaḍga-carmā galad-ratna-varmā	patat--Kaxga--carmA galad-ratna-varmA
   bhramat-sarva-keśaḥ skhalan-mūrdha-veśaḥ |	Bramat--sarva-keSaH sKalan-mUrDa-veSaH |
   sa mañcād adhastāj janānāṃ purastād	sa maQcAt aDastAt janAnAm purastAd
   anenādhirūḍhaḥ papātātimūḍhaḥ ||GC_2,5.47|| (bhujaṅga-prayātā)	anena-aDirUXaH papAta-ati-mUXaH ||GC_2,5.47|| (BujaFga--prayAtA)
   prāg āsīt stabdha-pakṣmā bhayam anu sa yathā tadvad eva pramītaḥ	prAk AsIt stabDa--pakzmA Bayam anu sa yaTA tadvat eva pramItaH
   kaṃso'yaṃ tena mṛtyuṃ gata iti nikhilair bhīrubhir nābhyabhāṣi |	kaMsaH-ayam tena mRtyum gataH iti niKilEH BIruBiH na-aByaBAzi |
   śrī-kṛṣṇas tat-pratītaṃ sapadi viracayan hastivat siṃha-varyaḥ	SrI--kRzNaH tat--pratItam sapadi viracayan hasti-vat siMha--varyaH
   sāvajñaṃ taṃ visaṃjñaṃ sadasi tata itaḥ kṣmāṃ ca karṣaṃś cakarṣa	sa-avajQam tam visaMjQam sadasi tatas itas kzmAm ca karzan cakarza
   ||GC_2,5.48|| (sragdharā)	||GC_2,5.48|| (sragDarA)
   tato jaya-jaya-dhvani-prasita-vādya-kolāhala-	tatas jaya--jaya--Dvani--prasita--vAdya--kolAhala-
   prasūna-ghana-vṛṣṭi-yuk-stuti-divas pṛthivy-āspadaiḥ |	prasUna--Gana--vRzwi--yuk-stuti--divaH pRTivI--a-AspadEH |
   kṛta-pramada-vardhanaḥ sapadi kaṃsa-cid-vardhanaś	kRta-pramada-varDanaH sapadi kaMsa-cid--varDanaH-
   ciraṃ nija-ganārcitaḥ sthagita-buddhir āsīd asau ||GC_2,5.49|| (pṛthvī)	ciram nija--gana-arcitaH sTagita-budDiH AsIt asO ||GC_2,5.49|| (pRTvI)
   kaṃsa-dhvaṃsana-śaṃsana-prathana-bhṛd gīrvāṇa-gīr-bāndhava-	kaMsa--DvaMsana--SaMsana--praTana-BRt gIrvANa--gIr--bAnDava-
   dyovādyottama-gandha-sandha-kusumāsārārcir-abhyarcitaḥ |	dyovAdya-uttama--ganDa--sanDa--kusuma-AsAra-arciH--aByarcitaH |
   bhūmi-sthāpy atibhūmita-gatam aho bhūmā tadā bhūyasā-	BUmi--sTA-api ati-BU-mita--gatam aho BUmA tadA BUyasA-
   nanda-syanda-bhareṇa bhāvitatayā hārī harir bhāvyatām ||GC_2,5.50||	nanda--syanda--BareNa BAvita-tayA hArI hariH BAvyatAm ||GS_2,5.50||
   (śārdūla)	(SArdUla)
   tataś ca,	tatas ca,
   yadā kaṅkādayo bhrātur nirveśāyātra saṃyayuḥ |	yadA kaFka-AdayaH BrAtuH nirveSAya-atra saMyayuH |
   sāhāyyāya tadā rāmaḥ parigheṇārdati sma tān ||GC_2,5.51|| (anuṣṭubh)	sAhAyyAya tadA rAmaH pariGeNa-Ardati sma tAn ||GC_2,5.51|| (anuzwuB)
   [55] atha hari-vaṃśādi-miśrībhūta-śrī-bhāgavata-mata-prabhūtatayā kathāṃ	[55] aTa hari-vaMSa-Adi--miSrIBUta--SrI--BAgavata--mata--praBUta-tayA kaTAm
   prathayiṣyāmaḥ | [56] yathā- tad evaṃ śrīmān govindaḥ svayaṃ nanditvā	praTayizyAmaH | [56] yaTA tat evam SrImAn govindaH svayam nanditvA
   śrīman-nandarājena sākaṃ vindamānaṃ śrīmad-ānakadundubhiṃ vanditvā taṃ	SrIman-nanda-rAjena sAkam vindamAnam SrImat--AnakadunduBim vanditvA tam
   mocayitvā sarvān api rocayitvā śrī-devakīm apy anusandhāya tathā sandhāya	mocayitvA sarvAn api rocayitvA SrI--devakIm api anusanDAya taTA sanDAya
   gṛhāya bṛhan-mahilābhiḥ saha samvidhāya yathā-sandham anyān api	gRhAya bRhan-mahilABiH saha samviDAya yaTA-sanDam anyAn api
   labdha-sambandhān dhṛtānandān vidhāya kaṃsena kṛta-bandhanasya	labDa--sambanDAn DRta-AnandAn viDAya kaMsena kRta--banDanasya
   hṛta-dhanasya taj-janakasya mocanārtham api janān abhidhāya	hRta-Danasya taj-janakasya mocana-arTam api janAn aBiDAya
   mataṅgaja-vrajenāpi kraṣṭuṃ suṣṭhu-duṣkaraṃ kaṃsa-kalevaram īṣat-karatayā	mataFga-ja--vrajena-api krazwum suzWu--duzkaram kaMsa--kalevaram Izat-karatayA
   vāma-kareṇa kaca-nikare vikṛṣya tad-vartma-parikhāṃ pari parihṛṣyal	vAma-kareNa kaca--nikare vikRzya tad--vartma--pariKAm pari parihRzyal
   loka-sārthāvṛta-pitṛ-dvayānugantṛkatayā viśrānti-tīrtham anu viśrāntim	loka--sa-arTAvRta--pitR--dvaya-anugantRka-tayA viSrAnti-tIrTam anu viSrAntim
   avāpa |	avApa |
   [57] tad anu saṅkarṣaṇādayaś ca kaṅka-mukhān saṅkarṣantaḥ sarveṣāṃ harṣaṃ	[57] tat anu saFkarzaNa-AdayaH ca kaFka-muKAn saFkarzantaH sarvezAm harzam
   varṣantaḥ kṛta-karṣa-prāṇānām amitrāṇāṃ parṣadaṃ cakruḥ |	varzantaH kRta-karza--prANAnAm amitrANAm parzadam cakruH |
   [58] paraspara-pradhane nidhanaṃ gatān bhuvar-lokāt patitān kravyādān	[58] paraspara--praDane niDanam gatAn Buvar--lokAt patitAn kravyAdAn
   lokān iva yān sabhyāḥ paśyanti sma | tad evaṃ sthite sādhūnāṃ manasi ca	lokAn iva yAn saByAH paSyanti sma | tat evam sTite sADUnAm manasi ca
   susthite |	susTite |
   śrīman-nanda-mahāśayā drutataraṃ prasthāpayan yaṃ naraṃ	SrIman-nanda--mahA-ASayAH drutataram prasTApayan yam naram
   goṣṭhaṃ kaṃsa-vināśa-śaṃsana-kṛte prāgād ayaṃ tad yadā |	gozWam kaMsa--vinASa--SaMsana--kRte prAgAt ayam tat yadA |
