   Kāśyapaparivarta Sūtra	KASyapa-parivarta SUtra
   KP.14 catvāra ime kāśyapa bodhisattvasya bhūtakalyāṇamitrāṇi / katamāni	KP.14 catvAraH ime kASyapa boDisattvasya BUta-kalyANa-mitrANi / katamAni
   catvāri / yācanako bodhisattvasya bhūtakalyāṇamitraṃ bodhimārgopastambhāya	catvAri / yAcanakaH boDisattvasya BUta-kalyANa-mitram boDi-mArga-upastamBAya
   saṃvartate dharmabhāṇako bodhisattvasya bhūtakalyāṇamitraṃ	saMvartate Darma-BANakaH boDisattvasya BUta-kalyANa-mitram
   śrutaprajñopastambhāya saṃvartate / pravrajyāsamādapako bodhisattvasya	Sruta-prajQA-upastamBAya saMvartate / pravrajyA-samAdapakaH boDisattvasya
   bhūtakalyāṇamitra sarvakuśalamūlopastambhāya / saṃvartate / buddhā	BUta-kalyANa-mitra sarva-kuSala-mUla-upastamBAya / saMvartate / budDA
   bhagavanto bodhisattvasya bhūtakalyāṇamitra sarvabuddhadharmopastambhāya	BagavantaH boDisattvasya BUta-kalyANa-mitra sarva-budDa-Darma-upastamBAya
   saṃvartate / ime kāśyapa bodhisattvasya bhūtakalyāṇamitrāṇi tatredamucyate	saMvartate / ime kASyapa boDisattvasya BUta-kalyANa-mitrANi tatra-idam-ucyate
   kalyāṇamitraṃ sa ca dāyakānāṃ pratigrāhako bodhiparigrahāya /	kalyANa-mitram sa ca dAyakAnAm pratigrAhakaH boDi-parigrahAya /
   dharmārthavādī śrutaprajñakarī kalyāṇamitraṃ sugatena proktaṃ /	Darma-arTa-vAdI Sruta-prajQa-karI kalyANa-mitram sugatena proktam /
   pravrajya ye cāpi samādapenti te mitramūlaṃ sugatasya vuktāḥ	pravrajya ye ca-api samAdapenti te mitra-mUlam sugatasya vuktAH
   buddhaśca mitraṃ sugatātmajānāṃ sambuddhamārgasyupastambhanāyaḥ	budDaH-ca mitram sugata-AtmajAnAm sambudDa-mArgasi-upastamBanAyaH
   ete hi catvāri jinapraśastā kalyāṇamitrā sugatātmajānāṃ /	ete hi catvAri jina-praSastA kalyANa-mitrA sugata-AtmajAnAm /
   eta niṣeva X sadāpramantā prāpnoti bodhi sugatopadiṣṭā / 3 //	eta nizeva X sadA-pramantA prApnoti boDi sugata-upadizwA / 3 //
   KP.15 catvāra ime kāśyapa bodhisattvapratirūpa.... katame catvāra /	KP.15 catvAraH ime kASyapa boDisattva-pratirUpa-.... katame catvAraH /
   lābhasatkārārthiko bhavati na dharmārthikāḥ kīrtiśabdaślokārthiko bhavati	lABa-satkAra-arTikaH Bavati na Darma-arTikAH kIrti-Sabda-Sloka-arTikaH Bavati
   na guṇārthikaḥ ātmasukhārthiko bhavati na sattvaduḥkhā panayanārthikāḥ	na guNa-arTikaH Atma-suKa-arTikaH Bavati na sattva-duHKAH panayana-arTikAH
   parṣadguṇārthiko bhavati na vivekārthikaḥ ime kāśyapa catvāro	parzad-guNa-arTikaH Bavati na viveka-arTikaH ime kASyapa catvAraH-
   bodhisattvapratirūpakāḥ tatredamucyate // 14 //	boDisattva-pratirUpakAH tatra-idam-ucyate // 14 //
   lābhārthiko bhavati na dharmakāmo kīrtyarthiko nneva guṇaibhirarthikaḥ	lABa-arTikaH Bavati na Darma-kAmaH kIrti-arTikaH nna-iva guNa-eBiH-arTikaH
   na sattvaduḥkhāpanayena cārthiko yo cātmano nitya sukh.....rthikaḥ	na sattva-duHKa-apanayena ca-arTikaH yaH ca-AtmanaH nitya suK.....rTikaH
   parṣadguṇārthī na vivekakāmo sukhe prasakto na guṇeṣu sakto /	parzad-guNa-arTI na viveka-kAmaH suKe prasaktaH na guNezu saktaH /
   catvāra ete pratirūpakoktāḥ bodhisattvān parivarjanīyā 2 //	catvAraH ete pratirUpaka-uktAH boDisattvAn parivarjanIyAH 2 //
   KP.16 catvāra ime kāśyapa bodhisattvasya bhūtā bodhisattvaguṇā / katame	KP.16 catvAraH ime kASyapa boDisattvasya BUtAH boDisattva-guNAH / katame
   catvāra śunyatāṃ cādhimucyate / karmavipākaṃ cābhiśraddadhāti / nairātmyaṃ	catvAra SunyatAm ca-aDimucyate / karma-vipAkam ca-aBiSraddaDAti / nErAtmyam
   cāsya kṣamate sarvasattveṣu mahākaruṇ. nirvāṇagataścāsyāśayaḥ	ca-asya kzamate sarva-sattvezu mahA-karuN. nirvANa-gataH-ca-asya-ASayaH
   saṃsāragataśca prayogaḥ sattvaparipākāya ca dānaṃ vipākāpratikāṅkṣanatā ca	saMsAra-gataH-ca prayogaH sattva-paripAkAya ca dAnam vipAka-apratikAFkzana-tA ca
   / ime kāśyapa catvāro dharmā bodhisattvasya bhūtā bodhisattvaguṇā	/ ime kASyapa catvAraH DarmAH boDisattvasya BUtAH boDisattva-guNA
   tatredamucyate // 15 //	tatra-idam-ucyate // 15 //
   śunyāśca dharmān adhimucyate sadā vipāka pattīyati karmaṇaṃ ca /	SunyAH-ca DarmAn aDimucyate sadA vipAka pattIyati karmaNam ca /
   nairātmakṣāntyā samatāpratiṣṭhito karuṇāṃ ca sattveṣu janeti nityaṃ /	nErAtma-kzAntyA sama-tA-pratizWitaH karuNAm ca sattvezu jana-iti nityam /
   nirvāṇi bhāvo sata tasya bhoti prayoga saṃsāragataśca tasya /	nirvANi BAvaH sata tasya Boti prayoga saMsAra-gataH-ca tasya /
   paripācanārthaṃ ca dadāti dānaṃ vipāka nākāṅkṣati karmaṇāṃ ca 2 //	paripAcana-arTam ca dadAti dAnam vipAka na-AkAFkzati karmaNAm ca 2 //
   KP.17 catvāra ime kāśyapa bodhisattvasya mahānidānapratilambhāḥ	KP.17 catvAraH ime kASyapa boDisattvasya mahA-nidAna-pratilamBAH
   katame...........	katame...........
   buddhotpādārāgaṇatā / ṣaṭpāramitāśravaṇaḥ apratihatacittasya	budDa-utpAda-ArAgaNatA / zaz-pAramitA-SravaNaH apratihata-cittasya
   dharmabhāṇakadarśanaṃ / apramattasyāraṇyavāsābhirataḥ ime kāśyapa catvāro	Darma-BANaka-darSanam / apramattasya-araNya-vAsa-aBirataH ime kASyapa catvAraH-
   bodhisattvasya mahānidhānapratilambhā / tatredamucyate / // 16 //	boDisattvasya mahA-niDAna-pratilamBA / tatra-idam-ucyate / // 16 //
   buddhānam ārāgaṇa sarvajātiṣu śravaśca ṣaṇṇāmapi pāramīṇām /	budDAnam ArAgaNa sarva-jAtizu SravaH-ca zaNNAm-api pAramINAm /
   prasannacitto 'pi ca dharmabhāṇakāṃ sampaśyate gaurava jātu nityam /	prasanna-cittaH api ca Darma-BANakAm sampaSyate gOrava jAtu nityam /
   sadāpramattasya cāraṇyavāso tatreva so bhoti ratiḥ sadāsya /	sadA-apramattasya ca-araNyavAsaH tatra-iva saH Boti ratiH sadA-asya /
   catvāra dharmā sugatena proktā mahānidhānāni jinātmajānām / 2 //	catvAra DarmA sugatena proktAH mahA-niDAnAni jina-AtmajAnAm / 2 //
   KP.18 catvāra ime kāśyapa bodhisattvamārapathasamatikramaṇā dharmāḥ katame	KP.18 catvAraH ime kASyapa boDisattva-mAra-paTa-samatikramaNAH DarmAH katame
   catvāraḥ bodhicittasyānutsargaḥ sarvasattveṣvapratihatacittatā /	catvAraH boDi-cittasya-anutsargaH sarva-sattvezu-apratihata-citta-tA /
   sarvadṛṣṭīkṛtānām avabodhanā / anatimanyanā sarvasattveṣu ime kāśyapa	sarva-dRzwIkRtAnAm avaboDanA / anatimanyanA sarva-sattvezu ime kASyapa
   catvāro bodhisattvasya mārapathasamatikramaṇā dharmā / tatredamucyate //	catvAraH boDisattvasya mAra-paTa-samatikramaNA DarmAH / tatra-idam-ucyate //
   bodhāya cittaṃ na parityajanti sattveṣu ca pratigha jahanti nityam /	boDAya cittam na parityajanti sattvezu ca pratiGa jahanti nityam /
   sarvāśca dṛṣṭigatanutsṛjaṃ... na cādhimanyanti ha sattvakāyam	sarvAH-ca dRzwi-gata-nutsRjaM... na ca-ADimanyanti ha sattva-kAyam
   catvāra ete sugatena proktā dharmā hi mārasya atikramāya	catvAraH ete sugatena proktAH DarmAH hi mArasya atikramAya
   ....... niṣevitva jinā bhavanti aṅgīrasā apratimā vināyakā 2 //	....... nizevitva jinAH Bavanti aFgI-rasAH apratimA vinAyakAH 2 //
   KP.19 catvāra ime kāśyapa dharmā bodhisattvasya sarvakuśa	KP.19 catvAraH ime kASyapa DarmAH boDisattvasya sarva-kuSa
   ladharmasaṅgrahāya saṃvartante / katame catvāraḥ	laDarma-saFgrahAya saMvartante / katame catvAraH
   niṣkuhakasyāraṇyavāsābhiratiḥ pratikārāprātikāṅkṣiṇaśc..........	nizkuhakasya-araNya-vAsa-aBiratiH pratikAra-aprAtikAFkziNaH-c..........
   saṅgrahavastūni sarvasattveṣu kāyajīvitotsargaḥ saddharmaparyeṣṭim	saFgraha-vastUni sarva-sattvezu kAya-jIvita-utsargaH sadDarma-paryezwim
   ārabhyātṛptitā sarvakuśalamūlasamudānanāya / ime kāśyapa catvāro dharmā	AraBya-atRptitA sarva-kuSala-mUla-samudAnanAya / ime kASyapa catvAraH DarmA
   bodhisattvasya sarvakuśaladharmasaṅgrahāya saṃvartante tatredamucyate //	boDisattvasya sarva-kuSala-Darma-saFgrahAya saMvartante tatra-idam-ucyate //
   araṇyavāse kuhanāvivarjito sattveṣu ca saṅgraha yo jinoktā /	araNya-vAse kuhanA-vivarjitaH sattvezu ca saFgraha yaH jina-uktA /
   utsarga kāyasya ca jīvitasya saddharmaparyeṣṭi samārabhi.............	utsarga kAyasya ca jIvitasya sadDarma-paryezwi samAraBi.............
   samudānanāyāśca sadā atṛpto kuśalāna mūlāna analpakānāṃ /	samudAnanAyAH-ca sadA atRptaH kuSalAna mUlAnaH analpakAnAm /
   kuśalāna dharmāṇa ca saṅgrahārthe catvāro dharmā sugatena proktā 2 //	kuSalAna DarmANa ca saFgraha-arTe catvAraH DarmA sugatena proktA 2 //
   KP.20 catvāra ime kāśyapa bodhisattvasyāprameyā puṇyasambhārāḥ katame	KP.20 catvAraH ime kASyapa boDisattvasya-aprameyA puNya-samBArAH katame
   catvāraḥ nirāmiṣacittasyā dharmadānaṃ duḥśīleṣu ca sattveṣu mahākaruṇā	catvAraH nirAmiza-cittasyAH Darma-dAnam duHSIlezu ca sattvezu mahA-karuNA
   sarvasattveṣu bodhicittārocanatā durbaleṣu sattveṣu kṣāntyā sevanatā / ime	sarva-sattvezu boDi-citta-Arocana-tA durbalezu sattvezu kzAntyA sevana-tA / ime
   kāśyapa catvāro bodhisattvasyāprameyā puṇyasambhārāḥ tatredamucyate // 19	kASyapa catvAraH boDisattvasya-aprameyA puNya-samBArAH tatra-idam-ucyate // 19
   dānaṃ ca dharmasya jinapraśastaṃ	dAnam ca Darmasya jina-praSastam
   cittena śuddhenā nirāmiṣeṇa	cittena SudDenA nirAmizeNa
   apetaśīle karuṇā ca tīvrā	apeta-SIle karuNA ca tIvrA
   pareṣu bodhāya janeti cittam /	parezu boDAya jana-iti cittam /
   kṣāntyādhiseveti ca durbaleṣu	kzAntyA-aDisevA-iti ca durbalezu
   dharmeṣva...... saṅgrahatā......coktā /	Darmezu-a...... saFgrahatA......ca-uktAH /
   etā niṣevitvā jinā bhavanti	etAH nizevitvA jinAH Bavanti
   te bodhisattve sadā sevitavyāḥ	te boDisattve sadA sevitavyAH
   catuṣkakā aṣṭa jahi........ kā /	catuzkakAH azwa jahi........ kA /
   bodhāya ye āvaraṇaṃ karonti /	boDAya ye AvaraNam karonti /
   tathāparā dvādaśa sevya paṇḍitā	taTA-aparA dvAdaSa sevya paNxitA
   prāpnoti bodhim amṛtaṃ spṛśitv...............	prApnoti boDim amRtam spRSitv...............
   ye cāgrasattvā ima dhramanetrī	ye ca-agra-sattvAH ima DramanetrI
   dhārayanti vācayanti prakāśayanti /	DArayanti vAcayanti prakASayanti /
   teṣāṃ jino puṇyam anantu bhāṣate	tezAm jinaH puNyam anantu BAzate
   ye...... m apramāṇaṃ jina varṇayanti 4	ye...... m apramANam jina varNayanti 4
   ye kṣetrakoṭyo yatha gaṅgāvālukā	ye kzetra-kowyaH yaTa gaFgA-vAlukA
   ratnāna pūritvana teṣu dadyāt	ratnAna pUritvana tezu dadyAt-
   yo vā ito gātha catuṣpadī paṭhed	yaH vE itas gATa catuzpadI paWet-
   imasya puṇyasya na eti saṅkhyā / 5 //	imasya puNyasya naH eti saFKyA / 5 //
   KP.21 catvāra ime kāśyapa dharmā bodhisattvasya avidyābhāgīyākleśasamati	KP.21 catvAraH ime kASyapa DarmAH boDisattvasya avidyA-BAgIyA-kleSa-samati
   kramāya saṃvartante / katame catvāraḥ śīlasaṃvaraḥ saddharmaparigrahaḥ	kramAya saMvartante / katame catvAraH SIla-saMvaraH sat-Darma-parigrahaH
   pradīpadānam antamaśaḥ saṃstutebhyaḥ ime kāśyapa catvāro dharmā	pradIpa-dAnam antamaSaH saMstuteByaH ime kASyapa catvAraH DarmA
   bodhisattvasya avidyābhāgīyākleśasamatikramāya saṃvartante //	boDisattvasya avidyA-BAgIyA-kleSa-samatikramAya saMvartante //
   KP.22 catvāra ime kāśyapa dharmā bodhisattvasya anāvaraṇajñānatāye	KP.22 catvAraH ime kASyapa DarmAH boDisattvasya anAvaraNa-jQAna-tAye
   saṃvartante /	saMvartante /
   katame catvāraḥ yaduta indriyasaṃvaraḥ gambhīrārthavivaraṇatā	katame catvAraH yat-uta indriya-saMvaraH gamBIra-arTa-vivaraNa-tA
   svalābhenāvamanyanā / paralābhesvanadhya.......... natā / ime kāśyapa	sva-lABena-avamanyanA / para-lABesvanaDya.......... natA / ime kASyapa
   catvāro dharmā bodhisattvasyānāvaraṇajñānatāye saṃvartante / // 22 //	catvAraH DarmAH boDisattvasya-anAvaraNa-jQAna-tAye saMvartante / // 22 //
   KP.23 na khalu kāśyapa nāmamātreṇa bodhisatvo mahāsattva ityucyate	KP.23 na Kalu kASyapa nAma-mAtreNa boDisatvaH mahAsattvaH iti-ucyate
   dharmacaryayā samacaryayā kuśalacaryayā dharm...... ritābhiḥ kāśyapa	Darma-caryayA sama-caryayA kuSala-caryayA Darm...... ritABiH kASyapa
   samanvāgato bodhisattvo mahāsattva ityucyate / dvātriṃśadbhi kāśyapa	samanvAgataH boDisattvaH mahAsattvaH iti-ucyate / dvAtriMSadBi kASyapa
   dharmaiḥ samanvāgato bodhisattvo ityucyate / katame dvātriṃśadbhiḥ yaduta	DarmEH samanvAgataH boDisattvaH iti-ucyate / katame dvAtriMSadBiH yat-uta
   hitasukhādhyāśayatayā sarvasattveṣu / sarvajñajñānāvatāraṇatayā kim	hita-suKa-aDyASaya-tayA sarva-sattvezu / sarvajQa-jQAna-avatAraNa-tayA kim
   ahammargāmīti pareṣāṃ jñānākunsanatā niradhimānatayā / dṛḍhādhyāśayatayā /	aham-margAmi-iti parezAm jQAna-akunsana-tA niraDimAna-tayA / dRXa-aDyASayatayA /
   akṛtrimaprematayā / atyantamitratā / mitrāmitreṣu samacittatayā /	akRtrima-prema-tayA / atyanta-mitra-tA / mitra-amitrezu sama-citta-tayA /
   yāvannirvāṇaparyantatāye /	yAvat-nirvANa-paryanta-tAye /
   KP.24 anṛtavākyatā smitamukhapūrvābhibhāṣaṇatā nupādatteṣu bhāreṣv . v. ṣ.	KP.24 anRta-vAkya-tA smita-muKa-pUrva-aBiBAzaNa-tA nupAdattezu BArezu . v. z.
   d.	d.
   n........... sarvasattveṣvaparicinnamahākaruṇatā aparikhinnamānasatayā	n........... sarva-sattvezu-apari-cinna-mahA-karuNa-tA apariKinna-mAnasatayA
   saddharmaparyeṣṭim ārabhyātṛ....... śrutārthatayā / ātmaskhaliteṣu	sadDarma-paryezwim AraByAtR....... Sruta-arTa-tayA / Atma-sKalitezu
   doṣadarśanātayā / paraskhalitesvaruṣṭāpatticodanatayā / sarvairyapatheṣu	doza-darSana-AtayA / para-sKalitesvaruzwa-Apatti-codana-tayA / sarvEH-yapaTezu
   bodhicittaparikarmatayā / vipākāpratikāṅkṣiṇa tyāgaḥ	boDi-citta-parikarma-tayA / vipAka-apratikAFkziNa tyAgaH
   sarvabhavagatyupapa........ niḥśritaṃ śīlam / sarvasattveṣvapratihata	sarva-Bava-gati-upapa........ niHSritam SIlam / sarva-sattvezu-apratihata
   kṣāntiḥ	kzAntiH
   KP.25 sarvakuśalamūlasamādānanāya vīryaṃ / ārūpya........ parikarṣitaṃ	KP.25 sarva-kuSala-mUla-samAdAnanAya vIryam / ArUpya-........ parikarzitam
   dhyānām /	DyAnAm /
   upāyasaṅgṛhītā prajñā / catuḥsaṅgrahavastusamprayuktā upāya / śīlavaddūḥśī	upAya-saFgRhItA prajQA / catur-saFgraha-vastu-samprayuktAH upAya / SIlavat-dUHSI
   ............ yatayā maitratā / satkṛtya dharmaśravaṇaṃ /	............ yatayA mEtra-tA / satkRtya Darma-SravaNam /
   satkṛtyāraṇyavāsaḥ sarvalokavicitrikeṣvanabhiratiḥ...... dṛṣṭivigataṃ /	satkRtya-araNya-vAsaH sarva-loka-vicitrikezu-anaBiratiH...... dRzwi-vigatam /
   hīnayānaspṛhaṇatā / mahāyāne cānuśaṃsasandarśitayā /	hIna-yAna-spRhaNa-tA / mahAyAne ca-anuSaMsa-sandarSitayA /
   pāpamitravivarjanat........... kalyāṇamitrasevanatā /	pApa-mitra-vivarjanat........... kalyANa-mitra-sevana-tA /
   catubrahmavihāraniṣpādanatā / pañcābhijñavikrīḍanatā / jñānapratisaraṇatā	catu-brahma-vihAra-nizpAdana-tA / paQca-aBijQa-vikrIxana-tA / jQAna-pratisaraNa-tA
   / pratipattivipratipattisthitānā sattvānām anutsargaḥ ekāñcavacanatā /	/ pratipatti-vipratipatti-sTitAnA sattvAnAm anutsargaH ekAQcavacana-tA /
   satyagurukatā / ..................... kuśalamūlasamudānatayā atṛptatā /	satya-gurukatA / ..................... kuSala-mUla-samudAna-tayA atRpta-tA /
   bodhicittapūrvaṅgamatā	boDi-citta-pUrvaFgamatA
   KP.26 ebhiḥ kāśyapa dvāstriṃśadbhirdharmaiḥ samanvāgato bodhisattvo	KP.26 eBiH kASyapa dvAstriMSadBiH-DarmEH samanvAgataH boDisattvaH-
   mahāsattva ityucyate // tatredamucyate / //	mahAsattvaH iti-ucyate // tatra-idam-ucyate / //
   sarveṣu satveṣu hitaṃ sukham ca adhyāśayenāpyadhimucyamānāḥ	sarvezu satvezu hitam suKam ca aDyASayena-api-aDimucyamAnAH
   sarvajñajñānottaraṇāya kiṃ nu arghāmi nārghāmyahaṃ jñānamānā /	sarvajQa-jQAna-uttaraNAya kim nu arGAmi na-arGAmi-aham jQAna-mAnA /
   akutsan. yānadhimānatāyā dṛḍhāśayākṛtrimaprematāyāḥ	akutsan. yAn-aDimAna-tAyAH dRXa-ASaya-akRtrima-prema-tAyAH
   sattveṣu cātyantasumitratāyā yāvanna nirvāṇaparāyaṇatvaṃ 2	sattvezu ca-atyanta-sumitra-tAyAH yAvat-na nirvANa-parAyaNa-tvam 2
   mitre amitre samacittatāyā smitomukhatvam anṛtā ca vāṇī /	mitre amitre sama-citta-tAyA smitaH-muKa-tvam anRtA ca vANI /
   upātabhāre.............. dāryaṇatvaṃ karuṇāparicchinna tatheva sattve 3	upAta-BAre.............. dAryaNa-tvam karuNA-paricCinna taTA-iva sattve 3
   KP.27 saddharmaparyeṣṭiya nāsti khedaḥ	KP.27 sadDarma-paryezwiya na-asti KedaH
   śruteṣvatṛpte skhalitetmadoṣ........	Srutezu-atRpte sKalita-itma-doz........
   ........ raśca ruṣṭena na codanīyaḥ	........ raH-ca ruzwena na codanIyaH
   īryāpathe cittasukarmatāyā 4	IryA-paTe citta-sukarma-tAyAH 4
   tyāgo vipākāpratikāṅkṣaṇaṃ ca	tyAgaH vipAka-apratikAFkzaNam ca
   ana............ taṃ śīladbhavaṃ gatīṣu	ana............ tam SIladBavam gatIzu
   sattveṣu kṣānti pratighātavarjitā	sattvezu kzAnti pratiGAta-varjitA
   samudānanāyā kuśalasya vīrya 5	samudAnanAyA kuSalasya vIrya 5
   ārūpyadhā........ vakṛṣṭaṃ ca dhyānaṃ	ArUpya-DA........ vakRzwam ca DyAnam
   upāyato saṅgṛhītā ca prajñāḥ	upAyataH saFgRhItA ca prajQAH
   catuḥsaṅgraheḥ saṅgrahītopāyo	catur-saFgraheH saFgrahIta-upAyaH-
   duḥśīlaśīle dvayā.......... ca maitryā 6	duHSIla-SIle dvayA.......... ca mEtryAH 6
   satkṛtya dharmaśravaṇaṃ ca kāle satkṛtya vāso ca araṇyaśānte /	satkRtya Darma-SravaNam ca kAle satkRtya vAsaH ca araNyaSAnte /
   lokeṣu citreṣu ratirna kāryam hīneṣu yāneṣu ratirna kāryam 7	lokezu citrezu ratiH-na kAryam hInezu yAnezu ratiH-na kAryam 7
   udārayāneṣu spṛhā janeyā pāpāṇi mitrāṇi vivarjayeyā /	udAra-yAnezu spRhA janeyA pApANi mitrANi vivarjayeyAH /
   kalyāṇamitrāṇi sadā ca seveś catvāra brahāśca vihāra bhāvayet / 8	kalyANa-mitrANi sadA ca seveH catvAra brahAH-ca vihAra BAvayet / 8
   KP.28 krīḍetābhījñehi ca pañcabhiḥ sadā jñānānusāri ca bhāaveta........	KP.28 krIxeta-aBIjQehi ca paQcaBiH sadA jQAna-anusAri ca BAa-veta........
   na utsṛjeyā pratipattiyuktā na ca dvitīyāpi kadācid anyāḥ 9	na utsRjeyA pratipatti-yuktAH na ca dvitIyA-api kadAcid anyAH 9
   ekāntavādī ca bhaveta nityaṃ satye ca segaurava nitya bhoti /	ekAnta-vAdI ca Baveta nityam satye ca segOrava nitya Boti /
   bhāveti dharmāṃśca jinapraśastā pūrvaṅgamaṃ bodhayi śitta kṛtvā 10	BAva-iti DarmAn=-ca jina-praSastA pUrvaFgamam boDayi Sitta kRtvA 10
   dvāstriṃśad ete sugatena proktā dharmā niṣevyā sugatoraseti /	dvAstriMSat ete sugatena proktA DarmAH nizevyA sugata-urasa-iti /
   imehi dharmehi samanvitā ye te bodhisattvā sugatena proktā 11 //	imehi Darma-ihi samanvitAH ye te boDisattvA sugatena proktAH 11 //
   KP.29 upamopanyāsanirdeśāste kāśyapa nirdekṣyāmi /	KP.29 upamopanyAsa-nirdeSAH-te kASyapa nirdekzyAmi /
   yairupamopanyāsanirdeśebhiḥ bodhisattvo mahāsattvaguṇān vijñāpay..... tad	yEH-upamopanyAsa-nirdeSeBiH boDisattvaH mahAsattva-guNAn vijQApay..... tat-
   yathā kāśyapa iyaṃ mahāpṛthivī sarvasattvopajīvyā nirvikārā niṣpratikārā /	yaTA kASyapaH iyam mahA-pRTivI sarva-sattva-upajIvyA nirvikArAH nizpratikArAH /
   evam eva kāśyapa prathamacittotpādiko bodhisatvo	evam eva kASyapa praTama-citta-utpAdikaH boDisatvaH-
   yāvadbodhimaṇḍaniṣadanātāvat sarvasattvopajīvyo nirvikāro niṣpratikāro	yAvat-boDimaNxa-nizadana-atAvat sarva-sattva-upajIvyaH nirvikAraH nizpratikAraH-
   bhavati / tatredamucyate //	Bavati / tatra-idam-ucyate //
   pṛthivī yathā sarvajānopajīvyā pratikāra nākāṅkṣati nirvikārā /	pRTivI yaTA sarva-jAnA-upajIvyA pratikAra na-AkAFkzati nirvikArAH /
   citte tathādye sthitā bodhisattvo yāvanna buddho bhavitā jinottama /	citte taTA-Adye sTitAH boDisattvaH yAvat-na budDaH BavitA jina-uttamaH /
   anuttarā sarvajanopajīvyo pratikāra nākāṅkṣati nirvikāro /	anuttarA sarva-jana-upajIvyaH pratikAra na-AkAFkzati nirvikAraH /
   putre ca śatruṃ hi ca tulyamāna so paryeṣate nitya varāgrabodhim 2 //	putre ca Satrum hi ca tulyamAna saH paryezate nitya vara-agra-boDim 2 //
   KP.30 tadyathā kāśyapa abdhātu sarvatṛṇagulmoṣadhivanaspatayo rohāpayati /	KP.30 tat-yaTA kASyapa abDAtu sarva-tRNa-gulma-UzaDi-vanaspatayaH rohApayati /
   evam eva kāśyapa āśayaśuddho bodhisattvaḥ sarvasattvāni maitratayā	evam eva kASyapaH ASaya-SudDaH boDisattvaH sarva-sattvAni mEtratayA
   spharitvā viharan sarvasattvānāṃ sarvaśukladharmān virohayati /	sParitvA viharan sarva-sattvAnAm sarva-Sukla-DarmAn virohayati /
   tatredamucyate	tatra-idam-ucyate
   yathāpi ābdhātu tṛṇagulmamauṣadhī vanaspatīn auṣadhidhānyajātam /	yaTA-api Ap-DAtu tRNa-gulmam-OzaDI vanaspatIn OzaDi-DAnya-jAtam /
   evameva śuddhāśayabodhisattvo maitryāya sattvān spharate anantāt	evam-eva SudDa-ASaya-boDisattvaH mEtryAya sattvAn sParate anantAt-
   spharitva dharmān vividhā krameṇa	sParitva DarmAn viviDA krameNa
   śuklehi dharmehi vivardhamānaḥ	Suklehi Darma-ihi vivarDamAnaH
   a................ rva prāpnoti jināna bodhiṃ	a................ rva prApnoti jinAna boDim
   nihatya mārāṃ sabalāṃ sasainyam 2 //	nihatya mArAm sa-balAm sa-sEnyam 2 //
   KP.31 tadyathā kāśyapa tejodhātuḥ sarvasasyāni paripā X yati / evameva	KP.31 tat-yaTA kASyapa tejaH-DAtuH sarva-sasyAni paripA X yati / evam-eva
   kāśyapa bodhisattvasya prajñā sarvasattvānāṃ sarvaśukladharmān	kASyapa boDisattvasya prajQA sarva-sattvAnAm sarva-Sukla-DarmAn
   paripācayati / tatredamucyate 3 //	paripAcayati / tatra-idam-ucyate 3 //
   yathāpi teja paripācayanti sasyāṇi sarvāṇi tṛṇauṣadhīṃśca /	yaTA-api teja paripAcayanti sasyANi sarvANi tRNOzaDIn=-ca /
   emeva prajñā sugatātmajānān dharmān śubhā vardhayate janasya 1 //	emeva prajQA sugata-AtmajAnAn DarmAn SuBA varDayate janasya 1 //
   KP.32 tadyathā kāśyapa vāyudhātuḥ sarvabuddhakṣetrāni viṭhapayati evameva	KP.32 tat-yaTA kASyapa vAyuDAtuH sarva-budDa-kzetrAni viWapayati evam-eva
   kāśyapa bodhisattvasyopāyakauśalyaṃ sarvabuddhadharmān viṭhapayati /	kASyapa boDisattvasya-upAya-kOSalyam sarva-budDa-DarmAn viWapayati /
   tatredamucyate /	tatra-idam-ucyate /
   // vāyuryatheva viṭhapeti kṣetrād buddhāna nānāvidha āśayato /	// vAyuH-yaTA-iva viWapa-iti kzetrAt budDAna nAnAviDaH ASayataH /
   upāya evaṃ hi jinorasānān viṭhapanti dharmān sugatoktam agrān //	upAyaH evam hi jina-urasAnAn viWapanti DarmAn sugata-uktam agrAn //
   KP.33 tadyathāpi nāma kāśyapa mārasya pāpīmataścaturaṅgaṃ balasainya	KP.33 tat-yaTA-api nAma kASyapa mArasya pApImatas-caturaFgam bala-sEnya
   sarvadevairna śakyam abhibhavituṃ paryādatuṃ vā / evameva kāśyapa	sarva-devEH-na Sakyam aBiBavitum paryAdatum vA / evam-eva kASyapa
   śuddhāśayo bodhisattva sarvamārairna śakyam abhibhavitu paryādattuṃ vā /	SudDa-ASayaH boDisattva sarva-mArEH-na Sakyam aBiBavitu paryAdattum vA /
   KP.34 // tadyathāpi nāma kāśyapa śuklapakṣe candramaṇḍalaṃ paripūryate	KP.34 // tat-yaTA-api nAma kASyapa Sukla-pakze candra-maNxalam paripUryate
   vardhate ca / evameva kāśyapa āśayaśuddho bodhisattvaḥ	varDate ca / evam-eva kASyapaH ASaya-SudDaH boDisattvaH
   sarvaśukladharmairvardhate / tatredamucyate 4	sarva-Sukla-DarmEH-varDate / tatra-idam-ucyate 4
   // śuklapakṣe yathā candramaṇḍalaṃ............	// Sukla-pakze yaTA candra-maNxalaM............
   pūryate vardhati no ca hīyate /	pUryate varDati no ca hIyate /
   evameva śuddhāśayabodhisattvoḥ sic	evam-eva SudDa-ASaya-boDisattvoH sic
