   akaṇṭakaṃ bhoktumanā Ram_2,84.13c	akaNwakam Boktu manAH Ram_2,84.13c
   ekas tv acintayaṃ buddhyā Ram_2,58.1c	ekaH tu acintayam budDyA Ram_2,58.1c
   ekasya tu vimardo 'yaṃ Ram_3,61.8a	ekasya tu vimardaH ayam Ram_3,61.8a
   ekasyāḥ khalu kaikeyyāḥ Ram_2,34.7a	ekasyAH Kalu kEkeyyAH Ram_2,34.7a
   ekaṃ sahasrair bahubhis Ram_3,24.14c	ekam sahasrEH bahuBiH Ram_3,24.14c
   ekaṃ saṃvatsaraṃ kvacit Ram_3,10.23d	ekam saMvatsaram kvacid Ram_3,10.23d
   ekaḥ pālayate kulam Ram_2,101.15b	ekaH pAlayate kulam Ram_2,101.15b
   ekaḥ pālayate lokam Ram_2,101.15a	ekaH pAlayate lokam Ram_2,101.15a
   ekaḥ satpuruṣo loke Ram_2,42.7a	ekaH sat puruzaH loke Ram_2,42.7a
   ekaḥ svarge mahīyate Ram_2,101.15d	ekaH svarge mahIyate Ram_2,101.15d
   ekā kathaṃcin muktāhaṃ Ram_3,32.11a	ekA kaTaMcid muktA aham Ram_3,32.11a
   ekā carasi kalyāṇi Ram_3,44.30c	ekA carasi kalyANi Ram_3,44.30c
   ekānte paśya bhagavann Ram_2,48.23a	ekAnte paSya Bagavan Ram_2,48.23a
   ekā sarvabhayaṃkarā Ram_3,16.18d	ekA sarva BayaMkarAH Ram_3,16.18d
   ekena khalu bāṇena Ram_2,57.30a	ekena Kalu bANena Ram_2,57.30a
   ekena ca bahūñ janān Ram_2,20.31b	ekena ca bahUn janAn Ram_2,20.31b
   ekenorasi ghoreṇa Ram_3,65.17c	ekena urasi GoreNa Ram_3,65.17c
   ekaikasyopajīvinaḥ Ram_2,29.18d	ekEkasya upajIvinaH Ram_2,29.18d
   eko daśarathasyaiṣa Ram_2,45.11c	ekaH daSaraTasya ezaH Ram_2,45.11c
   eko daśarathasyaiṣa Ram_2,80.12c	ekaH daSaraTasya ezaH Ram_2,80.12c
   eko dhunvan dhanuḥ sthitaḥ Ram_3,24.3d	ekaH Dunvan DanuH sTitaH Ram_3,24.3d
   eko nāśnāsi rāghava Ram_2,94.59b	ekaH na aSnAsi rAGavaH Ram_2,94.59b
   eko 'py amātyo medhāvī Ram_2,94.19a	ekaH api amAtyaH meDAvI Ram_2,94.19a
   eko 'bhyarcitum icchasi Ram_2,79.2d	ekaH aByarcitum icCasi Ram_2,79.2d
   eko hy aham ayodhyāṃ ca Ram_2,47.25a	ekaH hi aham ayoDyAm ca Ram_2,47.25a
   etac ca niyataṃ sarvaṃ Ram_3,61.5c	etat ca niyatam sarvam Ram_3,61.5c
   etac ca vanamadhyasthaṃ Ram_3,10.49a	etat ca vana maDya sTam Ram_3,10.49a
   etac cānyac ca paruṣaṃ Ram_3,51.24a	etat ca anyat ca paruzam Ram_3,51.24a
   etac cānyac ca bahuśo Ram_3,22.29a	etat ca anyat ca bahuSas Ram_3,22.29a
   etac caivobhayaṃ śrutvā Ram_2,103.23a	etat ca eva uBayam SrutvA Ram_2,103.23a
   etac chauṇḍīryayuktaṃ te Ram_3,40.5a	etat SONxIrya yuktam te Ram_3,40.5a
   etac chrutvā tu kākutsthas Ram_3,5.19a	etat SrutvA tu kAkutsTaH Ram_3,5.19a
   etac chrutvā tu kausalyā Ram_2,4.38a	etat SrutvA tu kOsalyA Ram_2,4.38a
   etac chrutvā śubhaṃ vākyaṃ Ram_2,48.24a	etat SrutvA SuBam vAkyam Ram_2,48.24a
   etac chrutvā śubhaṃ vākyaṃ Ram_2,105.15a	etat SrutvA SuBam vAkyam Ram_2,105.15a
   etac chrutvā śubhaṃ vākyaṃ Ram_2,107.4a	etat SrutvA SuBam vAkyam Ram_2,107.4a
   etat kāryam avaśyaṃ me Ram_3,38.20a	etat kAryam avaSyam me Ram_3,38.20a
   etat tad iṅgudīmūlam Ram_2,81.21a	etat tat iFgudI mUlam Ram_2,81.21a
   etat tad ity eva nivāsabhūmau Ram_3,56.20c	etat tat iti eva nivAsa BUmO Ram_3,56.20c
   etat tu vacanaṃ śrutvā Ram_2,18.16a	etat tu vacanam SrutvA Ram_2,18.16a
   etat tu vacanaṃ śrutvā Ram_2,26.1a	etat tu vacanam SrutvA Ram_2,26.1a
   etat tu vacanaṃ śrutvā Ram_2,78.13a	etat tu vacanam SrutvA Ram_2,78.13a
   etat tu vacanaṃ śrutvā Ram_3,70.16a	etat tu vacanam SrutvA Ram_3,70.16a
   etat te balasarvasvaṃ Ram_3,29.2a	etat te bala sarva svam Ram_3,29.2a
   etat te rājaśārdūla Ram_2,95.28a	etat te rAja SArdUlaH Ram_2,95.28a
   etat prakāśate dūrān Ram_2,87.8c	etat prakASate dUrAn Ram_2,87.8c
   etat samīkṣya kaikeyi Ram_2,10.18c	etat samIkzya kEkeyi Ram_2,10.18c
   etat suruciraṃ bhāti Ram_2,66.17a	etat su ruciram BAti Ram_2,66.17a
   etadanto daśagrīva Ram_3,52.10c	etat antaH daSagrIvaH Ram_3,52.10c
   etad anyac ca karuṇaṃ Ram_2,47.27a	etat anyat ca karuNam Ram_2,47.27a
   etadartham ahaṃ prāptas Ram_3,34.16a	etad arTam aham prAptaH Ram_3,34.16a
   etadarthaṃ mahātejā Ram_3,29.30a	etad arTam mahA tejAH Ram_3,29.30a
   etadarthaṃ hi rājyāni Ram_2,46.18a	etad arTam hi rAjyAni Ram_2,46.18a
   etad asya dhanur bhagnam Ram_3,63.17a	etat asya DanuH Bagnam Ram_3,63.17a
   etad asya śarāvaram Ram_3,63.17b	etat asya SarAvaram Ram_3,63.17b
   etad ācakṣva me devi Ram_2,16.17a	etat Acakzva me devi Ram_2,16.17a
   etad ācakṣva me sarvaṃ Ram_2,84.10c	etat Acakzva me sarvam Ram_2,84.10c
   etad ācāryasadmani Ram_2,28.14b	etat AcArya sadmani Ram_2,28.14b
   etad ālakṣyate vīra Ram_3,12.21a	etat Alakzyate vIraH Ram_3,12.21a
   etad eva nṛśaṃsaṃ te Ram_3,67.4c	etat eva nRSaMsam te Ram_3,67.4c
   etad evāśramapadaṃ Ram_3,10.45a	etat eva ASrama padam Ram_3,10.45a
   etaddhi kila devānāṃ Ram_3,4. 14a	etat hi kila devAnAm Ram_3,4. 14a
   etaddhi rocate mahyaṃ Ram_2,8.22c	etat hi rocate mahyam Ram_2,8.22c
   etaddhi rocate mahyaṃ Ram_2,41.8c	etat hi rocate mahyam Ram_2,41.8c
   etad brāhmaṇa rāmasya Ram_3,45.15c	etat brAhmaNa rAmasya Ram_3,45.15c
   etad yathāvat parigṛhya buddhyā Ram_3,38.21c	etat yaTAvat parigRhya budDyA Ram_3,38.21c
   etad rājyaṃ mama bhrātrā Ram_2,107.14a	etat rAjyam mama BrAtrA Ram_2,107.14a
   etad rāmāśramapadaṃ Ram_3,40.11a	etat rAma ASrama padam Ram_3,40.11a
   etannimittaṃ ca vanaṃ Ram_3,8.8a	etad nimittam ca vanam Ram_3,8.8a
   etannimittaṃ dīno 'haṃ Ram_2,63.16e	etad nimittam dInaH aham Ram_2,63.16e
   etan me priyam ākhyātuḥ Ram_2,7.29c	etat me priyam AKyAtuH Ram_2,7.29c
   etam āviśataḥ śailam Ram_2,87.17c	etam AviSataH SElam Ram_2,87.17c
   etasminn antare kruddhās Ram_3,25.11a	etasmin antare krudDAH Ram_3,25.11a
   etasminn antare trastāḥ Ram_2,90.2a	etasmin antare trastAH Ram_2,90.2a
   etasminn antare vīro Ram_3,29.33a	etasmin antare vIraH Ram_3,29.33a
   etasminn āśrame vāsaṃ Ram_3,6.20c	etasmin ASrame vAsam Ram_3,6.20c
   etasmin nihate kṛtsnām Ram_2,90.19e	etasmin nihate kRtsnAm Ram_2,90.19e
   etasya mṛgaratnasya Ram_3,41.33a	etasya mRga ratnasya Ram_3,41.33a
   etasyās tau sutau devyāḥ Ram_2,86.23a	etasyAH tO sutO devyAH Ram_2,86.23a
   etaṃ me kuru suprājña Ram_2,84.21e	etam me kuru su prAjQaH Ram_2,84.21e
   etān vitrāsitān paśya Ram_2,87.17a	etAn vitrAsitAn paSya Ram_2,87.17a
   etān saṃpatataḥ śīghraṃ Ram_2,87.16c	etAn saMpatataH SIGram Ram_2,87.16c
   etābhyāṃ dharmaśīlābhyāṃ Ram_2,97.19a	etAByAm Darma SIlAByAm Ram_2,97.19a
   etāvatātrabhavatā Ram_2,44.21c	etAvatA atraBavatA Ram_2,44.21c
   etāvad abhinītārtham Ram_2,34.32a	etAvat aBinIta arTam Ram_2,34.32a
   etāvad uktvā vacanaṃ Ram_2,104.7a	etAvat uktvA vacanam Ram_2,104.7a
   etāvaddhi kṛtaṃ mama Ram_2,46.7b	etAvat hi kRtam mama Ram_2,46.7b
   etā vāco manuṣyāṇāṃ Ram_2,43.7a	etAH vAcaH manuzyANAm Ram_2,43.7a
   etāv upacitau vṛttau Ram_3,44.18c	etO upacitO vRttO Ram_3,44.18c
   etāś cānyāś ca suhṛdām Ram_2,15.9a	etAH ca anyAH ca suhRdAm Ram_2,15.9a
   etāṃ virūpām asatīṃ Ram_3,17.11a	etAm virUpAm asatIm Ram_3,17.11a
   etu praviśatu svayam Ram_3,11.13d	etu praviSatu svayam Ram_3,11.13d
   ete gandharvarājāno Ram_2,85.43c	ete ganDarva rAjAnaH Ram_2,85.43c
   ete ca nihatā bhūmau Ram_3,20.12a	ete ca nihatAH BUmO Ram_3,20.12a
   ete cāpy abhiṣekārdrā Ram_2,111.5a	ete ca api aBizeka ArdrAH Ram_2,111.5a
   ete dvijāḥ sahāmātyaiḥ Ram_2,61.3a	ete dvijAH saha amAtyEH Ram_2,61.3a
   etena hi nṛśaṃsena Ram_3,41.37a	etena hi nRSaMsena Ram_3,41.37a
   ete 'pare viśālākṣi Ram_2,89.7c	ete apare viSAla akzi Ram_2,89.7c
   ete prayaccha saṃhṛṣṭaḥ Ram_2,105.12a	ete prayacCa saMhRzwaH Ram_2,105.12a
   ete bahuvidhāḥ śokā Ram_2,98.36a	ete bahuviDAH SokAH Ram_2,98.36a
   ete bhrājanti saṃhṛṣṭā Ram_2,90.15c	ete BrAjanti saMhRzwAH Ram_2,90.15c
   ete mṛgagaṇā bhānti Ram_2,87.12a	ete mRga gaNAH BAnti Ram_2,87.12a
   ete vayaṃ sarvasamṛddhakāmā Ram_2,14.25c	ete vayam sarva samRdDa kAmAH Ram_2,14.25c
   eteṣām aham api kānanadrumāṇāṃ Ram_2,99.18c	etezAm aham api kAnana drumANAm Ram_2,99.18c
   ete hi dayitā rājñaḥ Ram_2,44.22a	ete hi dayitA rAjQaH Ram_2,44.22a
   ete hi sarvalokasya Ram_2,104.21c	ete hi sarva lokasya Ram_2,104.21c
   ete hīnās tvayā saumye Ram_3,59.5c	ete hInAH tvayA sOmye Ram_3,59.5c
   etaiś cānyaiś ca vividhair Ram_3,71. 11e	etEH ca anyEH ca viviDEH Ram_3,71. 11e
   etais tu bahubhir yuktaṃ Ram_2,1.29a	etEH tu bahuBiH yuktam Ram_2,1.29a
   etaiḥ suvihitair aśvair Ram_2,44.22c	etEH su vihitEH aSvEH Ram_2,44.22c
   etau tau saṃprakāśete Ram_2,91.12a	etO tO saMprakASete Ram_2,91.12a
   etau dṛṣṭvā kṛṣau dīnau Ram_2,68.22a	etO dRzwvA kRzO dInO Ram_2,68.22a
   etau pādau mayā snigdhau Ram_3,53.32c	etO pAdO mayA snigDO Ram_3,53.32c
   enaṃ bhaja viśālākṣi Ram_3,17.5a	enam Baja viSAla akzi Ram_3,17.5a
   enaṃ vadhiṣye dīptāgrair Ram_3,63.11e	enam vaDizye dIpta agrEH Ram_3,63.11e
   ebhir bāhuprayuktair naḥ Ram_3,19.15a	eBiH bAhu prayuktEH naH Ram_3,19.15a
   ebhiś ca sacivaiḥ sārdhaṃ Ram_2,97.12a	eBiH ca sacivEH sArDam Ram_2,97.12a
   ebhiś chāyāṃ kariṣyāmaḥ Ram_2,40.21c	eBiH CAyAm karizyAmaH Ram_2,40.21c
   elādhāne nadīṃ tīrtvā Ram_2,65.2a	elA ADAne nadIm tIrtvA Ram_2,65.2a
   evam astu gamiṣyāmi Ram_2,16.28a	evam astu gamizyAmi Ram_2,16.28a
   evam asmāt svakāṃ nārīṃ Ram_2,26.17a	evam asmAt svakAm nArIm Ram_2,26.17a
   evam asmābhir uktena Ram_2,80.9a	evam asmABiH uktena Ram_2,80.9a
   evam asmi tadā muktaḥ Ram_3,36.18a	evam asmi tadA muktaH Ram_3,36.18a
   evam asmi tadā muktaḥ Ram_3,37.1a	evam asmi tadA muktaH Ram_3,37.1a
   evamādibhir ākīrṇaḥ Ram_2,88.10c	evamAdiBiH AkIrNaH Ram_2,88.10c
   evam ādharṣitaḥ śūraḥ Ram_3,21.1a	evam ADarzitaH SUraH Ram_3,21.1a
   evam āpadyate kṣipraṃ Ram_2,47.13c	evam Apadyate kzipram Ram_2,47.13c
   evam ābharaṇaṃ tasyai Ram_2,7.27c	evam ABaraNam tasyE Ram_2,7.27c
   evam ārtapralāpāṃs tān Ram_2,40.15a	evam Arta pralApAn tAn Ram_2,40.15a
   evam ārtāṃ sapatnyas tā Ram_2,96.13a	evam ArtAm sapatnyaH tAH Ram_2,96.13a
   evam āśvāsayann eva Ram_2,69.29c	evam ASvAsayan eva Ram_2,69.29c
   evam uktavatas tasya Ram_3,47.5a	evam uktavataH tasya Ram_3,47.5a
   evam uktas tathety uktvā Ram_3,7.17a	evam uktaH taTA iti uktvA Ram_3,7.17a
   evam uktas tayā rājā Ram_2,10.16a	evam uktaH tayA rAjA Ram_2,10.16a
   evam uktas tu kaikeyyā Ram_2,11.4a	evam uktaH tu kEkeyyAH Ram_2,11.4a
   evam uktas tu dharmātmā Ram_3,67.18a	evam uktaH tu Darma AtmA Ram_3,67.18a
   evam uktas tu bharato Ram_2,79.1a	evam uktaH tu BarataH Ram_2,79.1a
   evam uktas tu bharato Ram_2,86.19a	evam uktaH tu BarataH Ram_2,86.19a
   evam uktas tu bharato Ram_2,105.8a	evam uktaH tu BarataH Ram_2,105.8a
   evam uktas tu muninā Ram_3,11.12a	evam uktaH tu muninA Ram_3,11.12a
   evam uktas tu muninā Ram_3,12.9a	evam uktaH tu muninA Ram_3,12.9a
   evam uktas tu me śakro Ram_3,67.13a	evam uktaH tu me SakraH Ram_3,67.13a
   evam uktas tu rākṣasyā Ram_3,16.12a	evam uktaH tu rAkzasyAH Ram_3,16.12a
   evam uktas tu rāmeṇa Ram_2,28.5a	evam uktaH tu rAmeNa Ram_2,28.5a
   evam uktas tu rāmeṇa Ram_2,90.12a	evam uktaH tu rAmeNa Ram_2,90.12a
   evam uktas tu rāmeṇa Ram_2,103.12a	evam uktaH tu rAmeNa Ram_2,103.12a
   evam uktas tu rāmeṇa Ram_3,6.15a	evam uktaH tu rAmeNa Ram_3,6.15a
   evam uktas tu rāmeṇa Ram_3,14.6a	evam uktaH tu rAmeNa Ram_3,14.6a
   evam uktas tu rāmeṇa Ram_3,14.20a	evam uktaH tu rAmeNa Ram_3,14.20a
   evam uktas tu rāmeṇa Ram_3,23.13a	evam uktaH tu rAmeNa Ram_3,23.13a
   evam uktas tu rāmeṇa Ram_3,28.15a	evam uktaH tu rAmeNa Ram_3,28.15a
   evam uktas tu rāmeṇa Ram_3,60.2a	evam uktaH tu rAmeNa Ram_3,60.2a
   evam uktas tu rāmeṇa Ram_3,67.24a	evam uktaH tu rAmeNa Ram_3,67.24a
   evam uktas tu vacanaṃ Ram_2,21.12a	evam uktaH tu vacanam Ram_2,21.12a
   evam uktas tu vacanaṃ Ram_2,48.21a	evam uktaH tu vacanam Ram_2,48.21a
   evam uktas tu vīreṇa Ram_3,59.22c	evam uktaH tu vIreNa Ram_3,59.22c
   evam uktas tu saṃhṛṣṭo Ram_2,14.12a	evam uktaH tu saMhRzwaH Ram_2,14.12a
   evam uktas tu saumitrir Ram_3,57.5a	evam uktaH tu sOmitriH Ram_3,57.5a
   evam uktas tu saumitrī Ram_3,17.8a	evam uktaH tu sOmitrI Ram_3,17.8a
   evam uktas tu sauhārdāl Ram_3,59.17a	evam uktaH tu sOhArdAt Ram_3,59.17a
   evam uktaṃ maharṣiṇā Ram_3,67.16d	evam uktam mahA RziNA Ram_3,67.16d
   evam uktaḥ kabandhas tu Ram_3,66.13a	evam uktaH kabanDaH tu Ram_3,66.13a
   evam uktaḥ kṣaṇenaiva Ram_3,33.5a	evam uktaH kzaNena eva Ram_3,33.5a
   evam uktaḥ sa dharmātmā Ram_3,70.14a	evam uktaH sa Darma AtmA Ram_3,70.14a
   evam uktaḥ sumantras tu Ram_2,76.21a	evam uktaH sumantraH tu Ram_2,76.21a
   evam uktā ca tenāśu Ram_2,72.11a	evam uktA ca tena ASu Ram_2,72.11a
   evam uktā tayā devyā Ram_2,9.4a	evam uktA tayA devyAH Ram_2,9.4a
   evam uktā tayā devyā Ram_2,9.8a	evam uktA tayA devyAH Ram_2,9.8a
   evam uktā tu kaikeyī Ram_2,7.12a	evam uktA tu kEkeyI Ram_2,7.12a
   evam uktā tu kaikeyī Ram_2,9.1a	evam uktA tu kEkeyI Ram_2,9.1a
   evam uktā tu rāmeṇa Ram_2,21.11a	evam uktA tu rAmeNa Ram_2,21.11a
   evam uktā tu rāmeṇa Ram_2,21.24a	evam uktA tu rAmeNa Ram_2,21.24a
   evam uktā tu vaidehī Ram_2,24.1a	evam uktA tu vEdehI Ram_2,24.1a
   evam uktā tu vaidehī Ram_3,46.19a	evam uktA tu vEdehI Ram_3,46.19a
   evam uktā tu vaidehī Ram_3,57.14a	evam uktA tu vEdehI Ram_3,57.14a
   evam uktā tu sā cintāṃ Ram_2,26.21a	evam uktA tu sA cintAm Ram_2,26.21a
   evam uktā tu sā sītā Ram_2,110.25a	evam uktA tu sA sItA Ram_2,110.25a
   evam uktā tu surabhiḥ Ram_2,68.20a	evam uktA tu suraBiH Ram_2,68.20a
   evam uktā priyaṃ putraṃ Ram_2,21.15a	evam uktA priyam putram Ram_2,21.15a
   evam uktās tataḥ sarve Ram_2,87.26a	evam uktAH tatas sarve Ram_2,87.26a
   evam uktās tu te dūtā Ram_2,64.10a	evam uktAH tu te dUtAH Ram_2,64.10a
   evam uktāḥ striyaḥ sarvāḥ Ram_2,31.9a	evam uktAH striyaH sarvAH Ram_2,31.9a
   evam ukto dhig ity eva Ram_2,32.13a	evam uktaH Dik iti eva Ram_2,32.13a
   evam ukto naravyāghraḥ Ram_3,4. 27a	evam uktaH nara vyAGraH Ram_3,4. 27a
   evam ukto nṛpatinā Ram_2,31.24a	evam uktaH nRpatinA Ram_2,31.24a
   evam ukto bharadvājaṃ Ram_2,84.14a	evam uktaH BaradvAjam Ram_2,84.14a
   evam ukto 'bhyabhāṣata Ram_2,64.11b	evam uktaH aByaBAzata Ram_2,64.11b
   evam ukto mahāprājño Ram_2,105.11a	evam uktaH mahA prAjQaH Ram_2,105.11a
   evam ukto vasiṣṭhena Ram_2,105.13a	evam uktaH vasizWena Ram_2,105.13a
   evam ukto hi vaidehyā Ram_3,57.18a	evam uktaH hi vEdehyAH Ram_3,57.18a
   evam uktau tu tau vīrau Ram_3,68.1a	evam uktO tu tO vIrO Ram_3,68.1a
   evam uktvā citāṃ dīptām Ram_3,64.31a	evam uktvA citAm dIptAm Ram_3,64.31a
   evam uktvā tato rājā Ram_2,11.11a	evam uktvA tatas rAjA Ram_2,11.11a
   evam uktvā tato rāmaṃ Ram_3,29.16a	evam uktvA tatas rAmam Ram_3,29.16a
   evam uktvā tu kākutsthaṃ Ram_3,3.25a	evam uktvA tu kAkutsTam Ram_3,3.25a
   evam uktvā tu tān dūtān Ram_2,64.12a	evam uktvA tu tAn dUtAn Ram_2,64.12a
   evam uktvā tu divyena Ram_2,58.42a	evam uktvA tu divyena Ram_2,58.42a
   evam uktvā tu dharmātmā Ram_2,76.19a	evam uktvA tu Darma AtmA Ram_2,76.19a
   evam uktvā tu paruṣaṃ Ram_3,40.1a	evam uktvA tu paruzam Ram_3,40.1a
   evam uktvā tu rājānaṃ Ram_2,46.23a	evam uktvA tu rAjAnam Ram_2,46.23a
   evam uktvā tu vacanaṃ Ram_2,34.8a	evam uktvA tu vacanam Ram_2,34.8a
   evam uktvā tu virate Ram_2,98.40a	evam uktvA tu virate Ram_2,98.40a
   evam uktvā tu vaidehī Ram_3,54.20a	evam uktvA tu vEdehI Ram_3,54.20a
   evam uktvā tu saṃrabdhaḥ Ram_3,26.13a	evam uktvA tu saMrabDaH Ram_3,26.13a
   evam uktvā tu saumitraṃ Ram_2,41.9a	evam uktvA tu sOmitram Ram_2,41.9a
   evam uktvā daśagrīvo Ram_3,53.34c	evam uktvA daSagrIvaH Ram_3,53.34c
   evam uktvā phalair mūlaiḥ Ram_3,1.21a	evam uktvA PalEH mUlEH Ram_3,1.21a
   evam uktvā phalair mūlaiḥ Ram_3,11.28a	evam uktvA PalEH mUlEH Ram_3,11.28a
   evam uktvā mahātejā Ram_2,92.11a	evam uktvA mahA tejAH Ram_2,92.11a
   evam uktvā mahātejāḥ Ram_3,11.34a	evam uktvA mahA tejAH Ram_3,11.34a
   evam uktvā mahābāhur Ram_3,11.21a	evam uktvA mahA bAhuH Ram_3,11.21a
   evam uktvā mahābāhur Ram_3,60.18a	evam uktvA mahA bAhuH Ram_3,60.18a
   evam uktvā mahābāhuḥ Ram_2,97.14a	evam uktvA mahA bAhuH Ram_2,97.14a
   evam uktvā śubhaṃ vākyaṃ Ram_3,49.28a	evam uktvA SuBam vAkyam Ram_3,49.28a
   evam uktvā sa bharataṃ Ram_2,95.18a	evam uktvA sa Baratam Ram_2,95.18a
   evam uktvā sumitrāṃ sā Ram_2,69.3a	evam uktvA sumitrAm sA Ram_2,69.3a
   evam ṛtvigupādhyāyaiḥ Ram_2,4.36c	evam Rtvij upADyAyEH Ram_2,4.36c
   evam etan narapate Ram_2,110.30c	evam etat narapate Ram_2,110.30c
   evam etan mayā dṛṣṭam Ram_2,63.15a	evam etat mayA dRzwam Ram_2,63.15a
   evam eva naravyāghraḥ Ram_2,55.12c	evam eva nara vyAGraH Ram_2,55.12c
   evam eva manuṣyāṇāṃ Ram_2,100.6a	evam eva manuzyANAm Ram_2,100.6a
   evaṃ kathayamānasya Ram_3,10.20a	evam kaTayamAnasya Ram_3,10.20a
   evaṃ kathayamānasya Ram_3,10.66a	evam kaTayamAnasya Ram_3,10.66a
   evaṃ kanīyasā bhrātrā Ram_2,55.11a	evam kanIyasA BrAtrA Ram_2,55.11a
   evaṃ kālaṃ pratīkṣasva Ram_2,21.22c	evam kAlam pratIkzasva Ram_2,21.22c
   evaṃ kṛtvā tv idaṃ kāryaṃ Ram_3,38.18a	evam kRtvA tu idam kAryam Ram_3,38.18a
   evaṃ kṛtvā mahārājo Ram_2,97.21a	evam kRtvA mahA rAjaH Ram_2,97.21a
   evaṃ tan na bhaved rakṣo Ram_3,41.43a	evam tat na Bavet rakzaH Ram_3,41.43a
   evaṃ taṃ janasambādhaṃ Ram_2,5.20a	evam tam jana sambADam Ram_2,5.20a
   evaṃ tu kruddhayā rājā Ram_2,56.1a	evam tu krudDayA rAjA Ram_2,56.1a
   evaṃ tu vilapan dīno Ram_2,107.19a	evam tu vilapan dInaH Ram_2,107.19a
   evaṃ te jñātipakṣasya Ram_2,8.23a	evam te jQAti pakzasya Ram_2,8.23a
   evaṃ te bhāṣamāṇasya Ram_2,73.15a	evam te BAzamANasya Ram_2,73.15a
   evaṃ tvayi durātmani Ram_3,40.3b	evam tvayi durAtmani Ram_3,40.3b
   evaṃ tvaṃ putraśokena Ram_2,58.46c	evam tvam putra Sokena Ram_2,58.46c
   evaṃ dattāsmi rāmāya Ram_2,110.52a	evam dattA asmi rAmAya Ram_2,110.52a
   evaṃ daśarathaḥ prīto Ram_2,1.14a	evam daSaraTaH prItaH Ram_2,1.14a
   evaṃ narasya jātasya Ram_2,98.17c	evam narasya jAtasya Ram_2,98.17c
   evaṃ na sukaraṃ dhruvam Ram_2,51.18b	evam na sukaram Druvam Ram_2,51.18b
   evaṃ nibodha vacanaṃ Ram_2,103.22c	evam niboDa vacanam Ram_2,103.22c
   evaṃ niṣphalam ārabdhaṃ Ram_2,57.22a	evam nizPalam ArabDam Ram_2,57.22a
   evaṃ pūrvair gato mārgaḥ Ram_2,98.29a	evam pUrvEH gataH mArgaH Ram_2,98.29a
   evaṃ pṛṣṭas tu kaikeyyā Ram_2,66.7a	evam pRzwaH tu kEkeyyAH Ram_2,66.7a
   evaṃ pracodito rājā Ram_2,12.8a	evam pracoditaH rAjA Ram_2,12.8a
   evaṃ pravrājitaś caiva Ram_2,9.24a	evam pravrAjitaH ca eva Ram_2,9.24a
   evaṃ bahuvidhaṃ jalpan Ram_2,106.24a	evam bahuviDam jalpan Ram_2,106.24a
   evaṃ bahuvidhaṃ taṃ sā Ram_2,26.20a	evam bahuviDam tam sA Ram_2,26.20a
   evaṃ bahuvidhaṃ dīnaṃ Ram_2,46.49a	evam bahuviDam dInam Ram_2,46.49a
   evaṃ bruvati kākutsthe Ram_2,32.9a	evam bruvati kAkutsTe Ram_2,32.9a
   evaṃ bruvatyāṃ sītāyāṃ Ram_3,45.21a	evam bruvatyAm sItAyAm Ram_3,45.21a
   evaṃ bruvatyāṃ sītāyāṃ Ram_3,46.1a	evam bruvatyAm sItAyAm Ram_3,46.1a
   evaṃ bruvantaṃ pitaraṃ Ram_2,33.16a	evam bruvantam pitaram Ram_2,33.16a
   evaṃ bruvāṇaṃ kākutsthaṃ Ram_3,41.8a	evam bruvANam kAkutsTam Ram_3,41.8a
   evaṃ bruvāṇaṃ tam ṛṣiṃ Ram_2,109.14a	evam bruvANam tam Rzim Ram_2,109.14a
   evaṃ bruvāṇaṃ bharataḥ Ram_2,104.20a	evam bruvANam BarataH Ram_2,104.20a
   evaṃ bruvāṇaṃ suhṛdaṃ Ram_2,63.7a	evam bruvANam suhRdam Ram_2,63.7a
   evaṃ bruvāṇaṃ saumitriṃ Ram_3,57.19a	evam bruvANam sOmitrim Ram_3,57.19a
   evaṃ bhavatu yāsyanti Ram_2,16.39a	evam Bavatu yAsyanti Ram_2,16.39a
   evaṃ bhāryāś ca putrāś ca Ram_2,98.26a	evam BAryAH ca putrAH ca Ram_2,98.26a
   evaṃ madhuram uktas tu Ram_2,103.8a	evam maDuram uktaH tu Ram_2,103.8a
   evaṃ manye guṇavatāṃ Ram_2,34.11a	evam manye guNavatAm Ram_2,34.11a
   evaṃ mamāpy avijñātaṃ Ram_2,57.9c	evam mama api avijQAtam Ram_2,57.9c
   evaṃ me niścitā buddhir Ram_3,38.7a	evam me niScitA budDiH Ram_3,38.7a
   evaṃ rājarṣayaḥ sarve Ram_2,99.14a	evam rAjarzayaH sarve Ram_2,99.14a
   evaṃ rājyāt paribhraṣṭaḥ Ram_3,31.18c	evam rAjyAt pariBrazwaH Ram_3,31.18c
   evaṃ lakṣmaṇam uktvā tu Ram_3,14.28a	evam lakzmaNam uktvA tu Ram_3,14.28a
   evaṃ vadati rāghave Ram_2,34.35d	evam vadati rAGave Ram_2,34.35d
   evaṃ vadantas te soḍhuṃ Ram_2,35.23e	evam vadantaH te soXum Ram_2,35.23e
   evaṃ vayaṃ na mṛṣyāmo Ram_3,5.17a	evam vayam na mRzyAmaH Ram_3,5.17a
   evaṃ varṣasahasrāṇāṃ Ram_2,24.15c	evam varza sahasrANAm Ram_2,24.15c
   evaṃ vikrośatāṃ teṣāṃ Ram_2,40.30a	evam vikroSatAm tezAm Ram_2,40.30a
   evaṃvidhaṃ kathayatāṃ Ram_2,6.25a	evaMviDam kaTayatAm Ram_2,6.25a
   evaṃvidhāś ca pravarāḥ Ram_2,110.12a	evaMviDAH ca pravarAH Ram_2,110.12a
