   śrī bhakti sandarbhaḥ	SrI  Bakti sandarBaH
   tad evam abhakta nindā śravaṇāt śrīmad bhagavad bhakteḥ sarveṣu	tat evam aBakta nindA  SravaNAt SrI mat  Bagavat  BakteH sarvezu
   nityatvam api siddham | uktaṃ ca śrī bhagavatā uddhavaṃ prati bhikṣor	nitya tvam api sidDam | uktam ca SrI  BagavatA udDavam prati BikzoH 
   dharmaḥ śamo'hiṃsā tapa īkṣā vanaukasaḥ [BhP 11.18.44] ity ādau sarveṣāṃ	DarmaH SamaH ahiMsA tapaH IkzA vanOkasaH [Bhj 11.18.44] iti AdO sarvezAm
   mad upāsanam [BhP 11.18.43] iti | tathā nāradena ca	mad  upAsanam [Bhj 11.18.43] iti | taTA nAradena ca
   sārvavarṇika svadharma 	sArvavarNika  svaDarma 
   kathane, śravaṇaṃ kīrtanaṃ cāsya [BhP 7.11.10] ity ādi |	kaTane, SravaNam kIrtanam ca asya [Bhj 7.11.10] iti Adi |
   tathā ca mahābhārate   	taTA ca mahABArate   
   mātṛvat parirakṣantaṃ sṛṣṭi saṃhāra kārakam |	mAtR vat parirakzantam sRzwi  saMhAra kArakam |
   yo nārcayati deveśaṃ ptaṃ vidyād brahma ghātakam || ity ādi |	yaH na arcayati deveSam ptam vidyAt brahma GAtakam || iti Adi |
   śrī gītopaniṣatsu  	SrI   gIta upanizatsu  
   na māṃ duṣkṛtino mūḍhāḥ prapadyante narādhamāḥ |	na mAm duzkRtinaH mUXAH prapadyante nara aDamAH |
   māyayāpahṛtajñānā āsuraṃ bhāvam āśritāḥ || [Gītā 7.15] (page 48)	mAyayA apahRta jQAnAH Asuram BAvam ASritAH || [GItAH 7.15] (page 48)
   ity ādi |	iti Adi |
   āgneye viṣṇu dharme ca  	Agneye vizNu  Darme ca  
   dvividho bhūta sargo'yaṃ daiva āsura eva ca |	dviviDaH BUta sargaH ayam dEvaH AsuraH eva ca |
   viṣṇu bhakti paro daiva āsuaras tad viparyayaḥ ||	vizNu  Bakti paraH dEve AsuaraH tad  viparyayaH ||
   anyad apy udāhṛtam   viprād dvi ṣaḍ guṇa yutād aravinda nābha 	anyat api udAhRtam  viprAt dvi zaw  guNa yutAt aravinda nABa 
   pādāravinda vimukhāt [BhP 7.9.10] iti śvapaco'pi mahīpālaḥ ity ādi ca |	pAda aravinda  vimuKAt [Bhj 7.9.10] iti SvapacaH api mahIpAlaH iti Adi ca |
   tathā gāruḍe  	taTA gAruxe  
   antaṃ gato'pi vedānāṃ sarva śāstrārtha vedy api |	antam gataH api vedAnAm sarva SAstra arTa  vedi api |
   yo na sarveśvare bhaktas taṃ vidyāt puruṣādhamam || [GarP 1.231.17]	yaH na sarveSvare BaktaH tam vidyAt puruza aDamam || [GA rP 1.231.17]
   bṛhan nāradīye   	bRhan  nAradIye   
   hari pūjā vihīnāś ca veda vidveṣiṇas tathā |	hari  pUjA  vihInAH ca veda vidveziNaH taTA |
   go dvija dveṣa niratā rākṣasāḥ parikīrtitā || [NārP 1.37.5] iti |	go dvija  dveza  niratAH rAkzasAH parikIrtitAH || [NA arP 1.37.5] iti |
   aparaṃ ca   	aparam ca   
   ye'nye'ravindākṣa vimukta māninas	ye anye aravinda akza vimukta mAninaH 
   tvayy asta bhāvād aviśuddha buddhayaḥ |	tvayi asta BAvAt aviSudDa  budDayaH |
   āruhya kṛcchreṇa paraṃ padaṃ tataḥ	Aruhya kRcCreNa param padam tatas 
   patanty adho'nādṛta yuṣmad aṅghrayaḥ || [BhP 10.2.32] iti |	patanti aDas anAdRta  yuzma d aFGrayaH || [Bhj 10.2.32] iti |
   prathamatas tāvat tvayy asta bhāvād aviśuddha buddhayaḥ |	praTamatas tAvat tvayi asta BAvAt aviSudDa  budDayaH |
   dharmaḥ satya dayopeto	DarmaH satya  dayA upetaH 
   vidyā vā tapasānvitā |	vidyA vA tapasA anvitA |
   mad bhaktyāpetam ātmānaṃ	mad  BaktyA apetam AtmAnam
   na samyak prapunāti hi || [BhP 11.14.22] ity ādy ukteḥ |	na samyak prapunAti hi || [Bhj 11.14.22] iti  Adi  ukteH |
   tathā jñāna mārgam āśritya vimukta mānino deha dvayātiriktatvenātmānaṃ	taTA jQAna  mArgam ASritya vimukta mAninaH deha  dvaya atirikta tvena AtmAnam
   bhāvayantaḥ, tataḥ   kleśo'dhikataras teṣām avyaktāsakta cetasām [Gītā	BAvayantaH, tatas  kleSaH aDikataraH tezAm avyakta Asakta  cetasAm [GItA
   ity ādy ukteḥ kṛcchreṇa jīvan mukti rūpām āruhya prāpyāpi tato'dhaḥ	iti  Adi  ukteH kRcCreNa jIvan mukti  rUpAm Aruhya prApya api tatas aDas 
   patanti bhraśyanti | kadety apekṣāyām āha nādṛteti | yadīti śeṣaḥ | teṣāṃ	patanti BraSyanti | kadA iti apekzAyAm Aha na AdRtA iti | yadi iti SezaH | tezAm
   bhakti prabhāvasyānanuvṛtter abuddhi pūrvakasya tvad anādarasya	Bakti praBAvasya ananuvRtteH abudDi pUrvakasya tvad  anAdarasya
   nivartakābhāvāt | tathāpi dagdhānām api pāpa karmaṇāṃ mahā śakti śrī 	nivartaka aBAvAt | taTA api dagDAnAm api pApa karmaNAm mahA  Sakti SrI 
   bhagavat pāda padmāvajñayā punar virohāt | tathā ca vāsanā 	Bagavat  pAda  padma avajQayA punar virohAt | taTA ca vAsanA 
   bhāṣyotthāpitaṃ bhagavat pariśiṣṭa vacanam  	BAzya utTApitam Bagavat  pariSizwa  vacanam  
   jīvan muktā api punar bandhanaṃ yānti karmabhiḥ |	jIvan muktAH api punar banDanam yAnti karmaBiH |
   yady acintya mahā śaktau bhagavaty aparādhinaḥ ||	yadi acintya  mahA  SaktO Bagavati aparADinaH ||
   ataeva tatraiva  	ataeva tatra eva  
   jīvan muktāḥ prapadyante kvacit saṃsāra vāsanām |	jIvan muktAH prapadyante kvacid saMsAra  vAsanAm |
   yogino vai no lipyante karmabhir bhagavat parāḥ || iti |	yoginaH vE naH lipyante karmaBiH Bagavat  parAH || iti |
   tathā rathayātrā prasaṅge viṣṇu bhakti candrodayādi dhṛtaṃ purāṇāntara 	taTA raTa yAtrA  prasaFge vizNu  Bakti candra udaya Adi  DRtam purANa antara 
   vacanam  	vacanam  
   nānuvrajati yo mahād vrajantaṃ parameśvaram |	na anuvrajati yaH mahAt vrajantam parameSvaram |
   jñānāgni dagdha karmāpi sa bhaved brahma rākṣasaḥ || iti |	jQAna agni dagDa  karmA api sa Bavet brahma rAkzasaH || iti |
   evam uktaṃ yo nādṛtī naraka bhāgbhir asat prasaṅgaiḥ [BhP 3.9.4] iti |	evam uktam yaH na AdRtI naraka BAgBiH asat  prasaFgEH [Bhu 3.9.4] iti |
   ataevopadiṣṭam  	ataeva upadizwam  
   tasmāj jñānena sahitaṃ jñātvā svātmānam uddhava |	tasmAt jQAnena sahitam jQAtvA sva AtmAnam udDavaH |
   jñāna vijñāna sampanno bhaja māṃ bhakti bhāvataḥ || [BhP 11.19.5]	jQAna vijQAna  sampannaH Baja mAm Bakti BAvataH || [Bhj 11.19.5]
   tasmāt sutarām eva sarveṣāṃ śrī hari bhaktir nityety āyātam ||	tasmAt sutarAm eva sarvezAm SrI  hari  BaktiH nitya iti AyAtam ||
   || 10.2 || devāḥ śrī bhagavantam ||111||	|| 10.2 || devAH SrI  Bagavantam ||111||
   (page 49)	(page 49)
   prema kṛta karmāśaya nidhūnanātaram api bhaktiḥ śrūyate  	prema kRta  karma ASaya  niDUna nAtaram api BaktiH SrUyate  
   yathāgninā hema malaṃ jahāti	yaTA agninA hema malam jahAti
   dhmātaṃ punaḥ svaṃ bhajate ca rūpam |	DmAtam punar svam Bajate ca rUpam |
   ātmā ca karmānuśayaṃ vidhūya	AtmA ca karma anuSayam viDUya
   mad bhakti yogena bhajaty atho mām || [BhP 11.14.25]	mad Bakti yogena Bajati aTo mAm || [Bhj 11.14.25]
   tathaivātmā jīvo mat premṇā karmāśayaṃ vidhūya tataḥ śuddha svarūpaṃ	taTA eva AtmA jIvaH mat  premNA karma ASayam viDUya tatas SudDa  svarUpam
   ca prāpya māṃ bhajatīty arthaḥ | tad uktaṃ muktā api līlayā vigrahaṃ kṛtvā	ca prApya mAm Bajati iti arTaH | tat uktam muktAH api lIlayA vigraham kRtvA
   bhagavantaṃ bhajante iti |	Bagavantam Bajante iti |
   || 11.14 || śrī bhagavān ||112||	|| 11.14 || SrI  BagavAn ||112||
   evam apy uktaṃ skānde revā khaṇḍe  	evam api uktam skAnde revA KaNxe  
   indro maheśvaro brahmā paraṃ brahma tadaiva hi |	indraH maheSvaraH brahmA param brahma tadA eva hi |
   śvapaco'pi bhavaty eva yadā tuṣṭo'si keśava ||	SvapacaH api Bavati eva yadA tuzwaH asi keSavaH ||
   śvapacād apakṛṣṭatvaṃ brahmeśānādayaḥ surāḥ |	SvapacAt apakRzwa tvam brahma ISAna AdayaH surAH |
   tadaivācyuta yānty ete yadaiva tvaṃ parāṅmukhaḥ || iti |	tadA eva acyuta yAnti ete yadA eva tvam parAFmuKaH || iti |
   tathaivāha  	taTA eva Aha  
   yac chauca niḥsṛta sarit pravarodakena	yac  SOca  niHsRta  sarit  pravara udakena
   tīrthena mūrdhny adhikṛtena śivaḥ śivo'bhūt | [BhP 3.28.22] iti | spaṣṭam	tIrTena mUrDni aDikRtena SivaH SivaH aBUt | [Bhj 3.28.22] iti | spazwam
   tasmād bhakter mahān ity atvenāpy abhidheyatvam āyātam | agre sva kṛta 	tasmAt BakteH mahAn iti atvena api aBiDeya tvam AyAtam | agre sva kRta 
   pureṣu [BhP 10.87.20] ity ādau jīvānāṃ sva bhāva siddhā seveti vyākhyeyam	purezu [Bhu 10.87.20] iti AdO jIvAnAm sva BAva  sidDA sevA iti vyAKyeyam
   || 3.28 || śrī kapila devaḥ || 113 ||	|| 3.28 || SrI  kapila devaH || 113 ||
   tad evam avāntara tātparyeṇa bhakter evābhidheyatvaṃ ṣaḍ vidhair api	tat evam avAntara tAtparyeNa BakteH eva aBiDeya tvam zaz  viDEH api
   liṅgair	liFgEH 
   avagamyate | tatropakramopasaṃhārayor ektavena yathā janmādy asya yataḥ	avagamyate | tatra upakrama upasaMhArayoH ektavena yaTA janma Adi asya yatas 
   [BhP 1.1.1] ity ādāv upakrama padye satyaṃ paraṃ dhīmahi iti | atra śrī 	[Bhj 1.1.1] iti AdO upakrama padye satyam param DImahi iti | atra SrI 
   gītāsu evaṃ satata yuktā ye bhaktās tvāṃ paryupāsate [Gītā 12.1] ity ādau	gItAsu evam satata  yuktAH ye BaktAH tvAm paryupAsate [GItA 12.1] iti AdO
   śrī bhagavaty eva dhyānasyākaṣṭārthatvena tad dhyānino yuktatamatvena	SrI  BagavatI eva DyAnasya akazwa arTa tvena tad  DyAninaH yuktatama tvena
   coktatvāt | brahmaṇo hi pratiṣṭhāham [Gītā 14.7] ity ādau paratvasya śrī 	ca ukta tvAt | brahmaNaH hi pratizWA aham [GItA 14.7] iti AdO paratvasya SrI 
   bhagavad rūpa eva paryavasānāt | tasyaiva sarvajñatva sarva śaktitvābhyāṃ	Bagavat  rUpaH eva paryavasAnAt | tasya eva sarvajQa tva  sarva  Sakti tvAByAm
   jagaj janmādi hetutvāt tatra śrī bhagavaty eva dhyānam abhidhīyate |	jagaj janma Adi  hetu tvAt tatra SrI  BagavatI eva DyAnam aBiDIyate |
   tathaiva hi tat padyaṃ paramātma sandarbhe vivṛtam asti | kasmai yena	taTA eva hi tat padyam paramAtma sandarBe vivRtam asti | kasmE yena
   vibhāṣito'yam atulo jñāna pradīpaḥ purā [BhP 12.13.14] ity ādāv	viBAzitaH ayam atulaH jQAna  pradIpaH purA [Bhj 12.13.14] iti AdO= 
   upasaṃhāra 	upasaMhAra 
   padye'pi satyaṃ paraṃ dhīmahi [BhP 1.1.2] iti | ataeva spaṣṭam evāsya śrī 	padye api satyam param DImahi [Bhu 1.1.2] iti | ataeva spazwam eva asya SrI 
   bhagavattvaṃ śrī bhāgavata vaktṛtvāt | pūrvaṃ ca tene brahma hṛdā ya ādi 	Bagavat tvam SrI  BAgavata  vaktR tvAt | pUrvam ca tene brahma hRdA yaH Adi 
   kavaye ity uktam | abhyāsenodāharaṇaṃ pūrvaṃ darśitam adarśitaṃ cāneka 	kavaye iti uktam | aByAsena udAharaNam pUrvam darSitam adarSitam ca aneka 
   vidham eva | apūrvatayā phalena ca darśitaṃ śrī vyāsa samādhau	viDam eva | apUrva tayA Palena ca darSitam SrI  vyAsa  samADO
   anarthopaśamaṃ sākṣāt [BhP 1.7.6] ity ādi | praśaṃsā lakṣaṇenārtha vādena	anarTa upaSamam sAkzAt [Bhj 1.7.6] iti Adi | praSaMsA  lakzaNena arTa vAdena
   cābhyāsavad bahu vidham eva tatrāsti | upapattyā ca   bhayaṃ	ca aByAsa vat bahu viDam eva tatra asti | upapattyA ca  Bayam
   dvitīyābhiniveśataḥ syāt [BhP 11.2.35] ity ādy anekam iti | atra	dvitIya aBiniveSataH syAt [Bhj 11.2.35] iti Adi anekam iti | atra
   gati sāmānye	gati  sAmAnye
   ca idaṃ hi puṃsas tapasaḥ śrutasya vā [BhP 1.5.22] ity ādi | tathāha   	ca idam hi puMsaH tapasaH Srutasya vA [Bhu 1.5.22] iti Adi | taTA Aha   
   munir vivakṣur bhagavad guṇānāṃ	muniH vivakzuH Bagavat  guNAnAm
   sakhāpi te bhāratam āha kṛṣṇaḥ || [BhP 3.5.12] ity ādi | spaṣṭam |	saKA api te BAratam Aha kRzNaH || [Bhj 3.5.12] iti Adi | spazwam |
   || 3.5 || śrī viduraḥ || 114 ||	|| 3.5 || SrI  viduraH || 114 ||
   (page 50)	(page 50)
   iyam eva bhaktiḥ dharmaḥ projjhita kaitavo'tra paramo nirmatsarāṇāṃ satām	iyam eva BaktiH DarmaH projJita kEtavaH atra paramaH nirmatsarANAm satAm
   [BhP 1.1.2] ity atroktā | atra sargo visargaś ca [BhP 2.10.1] ity ādau	[Bhj 1.1.2] iti atra uktA | atra sargaH visargaH ca [Bhj 2.10.1] iti AdO
   daśa 	daSa 
   lakṣaṇyām api sad dharma ity eka lakṣaṇatvenoktā | tasyā abhidheyatvaṃ	lakzaNyAm api sat  DarmaH iti eka lakzaNa tvena uktA | tasyAH aBiDeya tvam
   śrī 	SrI 
   bhāgavata bīja rūpāyāṃ catuḥ ślokyām apy udāhṛtam |	BAgavata  bIja  rUpAyAm catur  SlokyAm api udAhRtam |
   etāvad eva jijñāsyaṃ tattva jijñāsunātmanaḥ |	etAvat eva jijQAsyam tattva  jijQAsunA AtmanaH |
   anvaya vyatirekābhyāṃ yat syāt sarvatra sarvadā || [BhP 2.9.35]	anvaya  vyatirekAByAm yat syAt sarvatra sarvadA || [Bhj 2.9.35]
   pūrvaṃ hi jñāna vijñāna rahasya tad aṅgāni vaktavyatvena catvāry eva	pUrvam hi jQAna  vijQAna   rahasya  tad  aFgAni vaktavya tvena catvAri eva
   pratijñātāni | tatra catuḥ ślokyāṃ prāktanās trayo'rthā api krameṇaiva	pratijQAtAni | tatra catur  SlokyAm prAktanAH trayaH arTAH api krameNa eva
   prāktana śloka traye vyākhyātāḥ | rahasya śabdenātra prema bhaktiḥ tad 	prAktana  Sloka  traye vyAKyAtAH | rahasya  Sabdena atra prema BaktiH tat  
   aṅga śabdena sādhana bhaktir ucyate | ṭīkā ca   rahasyaṃ bhaktis tad aṅgaṃ	aFga  Sabdena sADana  BaktiH ucyate | wIkA ca  rahasyam BaktiH tad  aFgam
   sādhanam ity eṣā |	sADanam iti ezA |
   tataḥ krama prāptatvena  	tatas krama  prApta tvena  
   kālena naṣṭā pralaye vāṇīyaṃ veda saṃjñitā |	kAlena nazwA pralaye vANIyam veda  saMjQitAH |
   mayādau brahmaṇe proktā dharmo yasyāṃ mad ātmakaḥ || [BhP 11.14.3]	mayA AdO brahmaNe proktAH DarmaH yasyAm mad a AtmakaH || [Bhj 11.14.3]
   iti bhagavad vākyānusāreṇa ca caturthe'smin padye sādhana bhaktir eva	iti Bagavat  vAkya anusAreNa ca caturTe asmin padye sADana  BaktiH eva
   vyākhyātā | atra ca punar vyākhyā vivaraṇāyotthāpyate | tathā hi   ātmano	vyAKyAtAH | atra ca punar vyAKyA  vivaraNAya utTApyate | taTA hi  AtmanaH 
   mama bhagavataḥ tattva jijñāsunā prema rūpaṃ rahasyam anubhavaitum	mama BagavataH tattva  jijQAsunA prema rUpam rahasyam anuBavEtum
   icchunā etāvan mātraṃ jijñāsitavyaṃ, śrī guru caraṇebhyaḥ śikṣaṇīyam | kiṃ	icCunA etAvan  mAtram jijQAsitavyan, SrI  guru  caraNeByaH SikzaNIyam | kim
   tat ? yad ekam eva anvayena vidhi mukhena vyatirekeṇa niṣedha mukhena ca	tat ? yat ekam eva anvayena viDi muKena vyatirekeNa nizeDa  muKena ca
   syād upapadyate | tatrānvayena yathā etāvān eva loke'smin [BhP 6.3.22] ity	syAt upapadyate | tatra anvayena yaTA etAvAn eva loke asmin [Bhu 6.3.22] iti 
   ādi, man manā bhava mad bhaktaḥ [Gītā 9.24] ity ādi ca | vyatirekeṇa yathā	Adi, man manAH Bava mad BaktaH [GItA 9.24] iti Adi ca | vyatirekeNa yaTA
   mukha bāhūru pādebhyaḥ puruṣasyāśramaiḥ saha |	muKa  bAhu Uru  pAdeByaH puruzasya ASramEH saha |
   catvāro jajñire varṇā guṇair viprādayaḥ pṛthak ||	catvAraH jajQire varNAH guNEH vipra AdayaH pRTak ||
   ya eṣāṃ puruṣaṃ sākṣād ātma prabhavam īśvaram |	yaH ezAm puruzam sAkzAt Atma  praBavam ISvaram |
   na bhajanty avajānanti sthānād bhraṣṭāḥ patanty adhaḥ || [BhP 11.5.2 3]	na Bajanti avajAnanti sTAnAt BrazwAH patanti aDas || [Bhj 11.5.2 3]
   na māṃ duṣkṛtino mūḍhā [Gītā 7.15] ity ādi |	na mAm duzkRtinaH mUXA [GItA 7.15] iti Adi |
   yāvaj jano bhajati no bhuvi viṣṇu bhakti 	yAvat janaH Bajati naH Buvi vizNu  Bakti 
   vārtā sudhā rasam aśeṣa rasaika sāram |	vArtA  suDA rasam aSeza   rasa eka  sAram |
   tāvaj jarā maraṇa janma śatābhighāta 	tAvat jarA a maraNa  janma Sata aBiGAta  
   duḥkhāni tāni labhate bahu dehajāni || [PadmaP 5.85.33] iti padma purāṇāt	duHKAni tAni laBate bahu  deha jAni || [Pat maP 5.85.33] iti padma purANAt
   kutra kutropapadyate ? sarvatra	kutra kutra upapadyate ? sarvatra
   śāstra kartṛ deśa karaṇa dravya kriyā kārya 	SAstra kartR  deSa karaNa dravya  kriyA  kArya 
   phaleṣu samasteṣv eva | tatra samasta śāstreṣu yathā skānde brahma nārada 	Palezu samastezu eva | tatra samasta SAstrezu yaTA skAnde brahma  nArada 
   saṃvāde  	saMvAde  
   saṃsāre'smin mahā ghore janma mṛtyu samākule |	saMsAre asmin mahA Gore janma  mRtyu  samAkule |
   pūjanaṃ vāsudevasya tārakaṃ vādibhiḥ smṛtam ||	pUjanam vAsudevasya tArakam vAdiBiH smRtam ||
   tatrāpy anvayena yathā   bhagavan brahma kārtsnyena trir anvīkṣya	tatra api anvayena yaTA  Bagavan brahma kArtsnyena tris anvIkzya
   manīṣayā [BhP 2.2.34] ity ādi | tathā pādme skānde ca  	manIzayA [Bhu 2.2.34] iti Adi | taTA pAdme skAnde ca  
   āloḍya sarva śāstrāṇi vicārya ca punaḥ punaḥ |	Aloxya sarva SAstrANi vicArya ca punar punar |
   idam ekaṃ saniṣpannaṃ dhyeyo nārāyaṇaḥ sadā || (page 51) iti |	idam ekam sa nizpannam DyeyaH nArAyaNaH sadA || (page 51) iti |
   vyatirekeṇa yathā   pāraṅgato'pi vedānām ity ādikaṃ sarvam avagantavyam |	vyatirekeNa yaTA  pAraFgataH api vedAnAm iti Adikam sarvam avagantavyam |
   tac cānte darśayiṣyate | sarva kartṛṣu, yathā  	tat ca ante darSayizyate | sarva kartRzu, yaTA  
   te vai vidanty atitaranti ca deva māyāṃ	te vE vidanti atitaranti ca deva mAyAm
   strī śūdra hūṇa śabarā api pāpa jīvāḥ |	strI SUdra hUNa  SabarAH api pApa jIvAH |
   yady adbhuta krama parāyaṇa śīla śikṣās	yadi adButa krama  parAyaNa  SIla SikzAs
   tiryag janā api kim u śruta dhāraṇā ye || [BhP 2.7.46] iti |	tiryak  janAH api kim u Sruta  DAraNAH ye || [Bhj 2.7.46] iti |
   gāruḍe   	gAruxe   
   kīṭa pakṣi mṛgāṇāṃ ca harau sannyasta cetasām |	kIwa  pakzi mRgANAm ca harO sannyasta  cetasAm |
   ūrdhvam eva gatiṃ manye kiṃ punar jñānināṃ nṝṇām || [GarP 1.234.31]	UrDvam eva gatim manye kim punar jQAninAm nLNAm || [GA rP 1.234.31]
   atraiva sācāre durācāre, jñāniny ajñānini, virakte rāgiṇi, mumukṣau mukte,	atra eva sa AcAre durAcAre, jQAninI ajQAnini, virakte rAgiNi, mumukzO mukte,
   bhakty asiddhe bhakti siddhe, tasmin bhagavat pārṣadatāṃ prāpte tasmin	Bakty asidDe Bakti sidDe, tasmin Bagavat  pArzada tAm prApte tasmin
   nitya pārṣade ca sāmānyena darśanād api sārvatrikatā |	nitya  pArzade ca sAmAnyena darSanAt api sArvatrika tA |
   tatra sācāre durācāre yathā  	tatra sa AcAre durAcAre yaTA  
   api cet sudurācāro bhajate mām ananyabhāk |	api ced su durAcAraH Bajate mAm ananya BAj |
   sādhur eva sa mantavyaḥ samyag vyavasito hi saḥ || [Gītā 9.30] iti |	sADuH eva sa mantavyaH samyak vyavasitaH hi saH || [GItAH 9.30] iti |
   sad ācāras tu kiṃ vaktavya ity aper arthaḥ |	sad AcAraH tu kim vaktavyaH iti apeH arTaH |
   jñāniny ajñānini ca   jñātvājñātvātha ye vai mām [BhP 11.11.33] ity ādi |	jQAnini ajQAnini ca  jQAtvA ajQAtvA aTa ye vE mAm [Bhu 11.11.33] iti Adi |
   harir harati pāpāni duṣṭa cittair api smṛtaḥ ity ādi |	hariH harati pApAni duzwa  cittEH api smRtaH iti Adi |
   virakte rāgiṇi ca  	virakte rAgiNi ca  
   bādhyamāno'pi mad bhakto viṣayair ajitendriyaḥ |	bADyamAnaH api mad BaktaH vizayEH ajita indriyaH |
   prāyaḥ pragalbhayā bhaktyā viṣayair nābhibhūyate || [BhP 11.14.17] iti |	prAyas pragalBayA BaktyA vizayEH na aBiBUyate || [Bhj 11.14.17] iti |
   abādhyamānas tu sutarāṃ nābhibhūyata ity aper arthaḥ |	abADyamAnaH tu sutarAm na aBiBUyate iti apeH arTaH |
   mumukṣau mukte ca mumukṣavo ghora rūpān [BhP 1.2.26] ity ādi |	mumukzO mukte ca mumukzavaH Gora  rUpAn [Bhj 1.2.26] iti Adi |
   ātmārāmāś ca munayaḥ [BhP 1.7.10] ity ādi |	Atma ArAmAH ca munayaH [Bhj 1.7.10] iti Adi |
   bhakty asiddhe bhakti siddhe ca  	Bakty asidDe Bakti  sidDe ca  
   kecit kevalayā bhaktyā vāsudeva parāyaṇāḥ |	kecid kevalayA BaktyA vAsudeva  parAyaNAH |
   aghaṃ dhunvanti kārtsnyena nīhāram iva bhāskaraḥ || [BhP 6.10.15] iti |	aGam Dunvanti kArtsnyena nIhAram iva BAskaraH || [Bhj 6.10.15] iti |
   na calati bhagavat padāravindāl	na calati Bagavat  pada aravindAl
   lava nimiṣārdham api sa vaiṣṇavāgryaḥ || [BhP 11.2.51] iti |	lava  nimiza arDam api sa vEzNava agryaH || [Bhj 11.2.51] iti |
   bhagavat pārṣadatāṃ prāpte  	Bagavat  pArzada tAm prApte  
   mat sevayā pratītaṃ te sālokyādi catuṣṭayam |	mat  sevayA pratItam te sAlokya Adi catuzwayam |
   necchanti sevayā pūrṇāḥ kuto'nyat kāla viplutam || [BhP 9.4.67] iti |	na icCanti sevayA pUrNAH kutas anyat kAla  viplutam || [Bhj 9.4.67] iti |
   nitya pārṣade  	nitya  pArzade  
   vāpīṣu vidruma taṭāsv amalāmṛtāpsu	vApIzu vidruma  tawAsu amala amRtA apsu
   preṣyānvitā nija vane tulasībhir īśam |	prezya anvitA nija vane tulasIBiH ISam |
   abhyarcatī svalakam unnasam īkṣya vaktram	aByarcatI svalakam unnasam Ikzya vaktram
   uccheṣitaṃ bhagavatety amatāṅga yac chrīḥ || [BhP 3.15.22]	ucCezitam BagavatA iti amata aFga yac SrIH || [Bhj 3.15.22]
   sarveṣu varṣeṣu bhuvaneṣu brahmāṇḍeṣu teṣāṃ bahiś ca tais taiḥ śrī 	sarvezu varzezu Buvanezu brahmANxezu tezAm bahis ca tEH tEH SrI 
   bhagavad upāsanāyāḥ kriyamāṇāyāḥ śrī bhāgavatādiṣu prasiddhiḥ	Bagavat  upAsanAyAH kriyamANAyAH SrI  BAgavata Adizu prasidDiH
   siddhaiveti sarva deśodāharaṇaṃ jñeyam | sarveṣu karaṇeṣu yathā  	sidDA eva iti sarva  deSa udAharaNam jQeyam | sarvezu karaNezu yaTA  
   mānasenopacāreṇa paricarya hariṃ mudā |	mAnasena upacAreNa paricarya harim mudA |
   pare'vāṅ manasāgamyaṃ taṃ sākṣāt pratipedire || ity ādi |	pare avAF manasA agamyam tam sAkzAt pratipedire || iti Adi |
   evambhūta vacane hy astu tāvad bahir indriyeṇa manasā vacasāpi tat siddhir	evam BUta vacane hi astu tAvat  bahis  indriyeNa manasA vacasA api tat sidDiH 
   iti prasiddhiḥ | sarva dravyeṣu yathā  	iti prasidDiH | sarva dravyezu yaTA  
   patraṃ puṣpaṃ phalaṃ toyaṃ yo me bhaktyā prayacchati |	patram puzpam Palam toyam yaH me BaktyA prayacCati |
   tad ahaṃ bhakty upahṛtam aśnāmi prayatātmanaḥ || [Gītā 9.26, BhP 10.81.4]	tat aham Bakti  upahRtam aSnAmi prayata AtmanaH || [GItAH 9.26, BhP 10.81.4]
   iti |	iti |
   (page 52)	(page 52)
   sarva kriyāsu yathā   	sarva kriyAsu yaTA   
   śruto'nupaṭhito dhyāta ādṛto vānumoditaḥ |	SrutaH anupaWitaH DyAtaH AdRtaH vA anumoditaH |
   sadyaḥ punāti sad dharmo deva viśva druho'pi hi || [BhP 11.2.11]	sadyas punAti sad DarmaH deva viSva druhaH api hi || [Bhj 11.2.11]
   yat karoṣi yad aśnāsi yaj juhoṣi dadāsi yat |	yat karozi yat aSnAsi yat juhozi dadAsi yat |
   yat tapasyasi kaunteya tat kuruṣva madarpaṇam || [Gītā 9.27]	yat tapasyasi kOnteya tat kuruzva mad arpaNam || [GItAH 9.27]
   evaṃ bhakty ābhāseṣu bhaktyābhāsāparādheṣv api ajāmila mūṣikādayo	evam Bakti  ABAsezu BaktyA ABAsa aparADezu api ajAmila  mUzikA dayaH 
   dṛṣṭāntā gamyāḥ |	dRzwAntAH gamyAH |
   sarveṣu kāryeṣu yathā  	sarvezu kAryezu yaTA  
   yasya smṛtyā ca nāmoktyā tapo yajña kriyādiṣu |	yasya smRtyA ca nAma uktyA tapo yajQa  kriyA Adizu |
   nūnaṃ sampūrṇatāṃ yāti sadyo vande tam acyutam || iti |	nUnam sampUrNa tAm yAti sadyas vande tam acyutam || iti |
   sarva phaleṣu yathā   akāmaḥ sarva kāmo vā mokṣa kāma udāra dhīḥ [BhP	sarva  Palezu yaTA  akAmaH sarva kAmaH vA mokza kAmaH udAra DIH [BhP
   2.3.10] ity ādi | yathā taror mūla niṣecanena [BhP 4.31.12] ity	2.3.10] iti Adi | yaTA taroH mUla nizecanena [Bhj 4.31.12] iti 
   ādi vākyena hari 	Adi vAkyena hari 
