   śāstrasaṃgrahaḥ prathamo 'dhyāyaḥ 1	SAstra-saMgrahaH praTamaH aDyAyaH 1
   yāyāvarīyaḥ /	yAyAvarIyaH /
   . kiñca satṛṇābhyavahāritā sarvasādhāraṇī /	. kiQca satRNA-aByavahAritA sarva-sADAraNI /
   tathāhi-vyutpitsoḥ kautukinaḥ sarvasya sarvatra prathamaṃ sā /	taTA-hi--vyutpitsoH kOtukinaH sarvasya sarvatra praTamam sA /
   pratibhāvivekavikalatā hi na guṇāguṇayorvibhāgasūtraṃ pātayati /	pratiBA-viveka-vikalatA hi na guNa-aguNayoH-viBAga-sUtram pAtayati /
   tato bahu tyajati bahu ca gṛhṇāti /	tatas bahu tyajati bahu ca gRhNAti /
   vivekānusāreṇa hi buddhayo madhu niṣyandante /	viveka-anusAreNa hi budDayaH maDu nizyandante /
   pariṇāme tu yathārthadarśī syāt /	pariNAme tu yaTArTa-darSI syAt /
   vibhramabhraṃśaśca niḥśreyasaṃ santidhatte /	viBrama-BraMSaH-ca niHSreyasam santiDatte /
   matsariṇastu pratibhātamapi na pratibhātaṃ, paraguṇeṣu vācaṃyamatvāt /	matsariNaH-tu pratiBAtam-api na pratiBAtaM, para-guNezu vAcaMyama-tvAt /
   sa punaramatsarī jñātā ca viralaḥ /	sa punar-amatsarI jQAtA ca viralaH /
   taduktam-	tat-uktam-
   'kastvaṃ bhoḥ kavirasmi kāpyabhinavā sūktiḥ sakhe paṭhyatāṃ tyaktā	akaH-tvam BoH kaviH-asmi kA-api-aBinavA sUktiH saKe paWyatAm tyaktA
   kāvyakathaiva samprati mayā kasmādidaṃ śruyatām /	kAvya-kaTA-eva samprati mayA kasmAt-idam SruyatAm /
   yaḥ sampagvivinakti doṣaguṇayoḥ sāraṃ, svayaṃ satkaviḥ so 'sminbhāvaka eva	yaH sampagvivinakti doza-guNayoH sAraM, svayam sat-kaviH saH asmin-BAvakaH eva
   nāstyatha bhaveddaivānna nirmatsaraḥ' //	na-asti-aTa Bavet-dEvAt-na nirmatsaraH-a //
   tattvābhiniveśī tu madhyesahasraṃ yadyekastaduktam-	tattva-aBiniveSI tu maDyesahasram yadi-ekaH-tat-uktam--
   'śabdānāṃ vivinakti gumphanavidhīnāmodate sūktibhiḥ sāndaṃ leḍhi rasāmṛtaṃ	aSabdAnAm vivinakti gumPana-viDInAm-odate sUktiBiH sAndam leXi rasAmRtam
   vicinute tātparyamrudrāṃ ca yaḥ /	vicinute tAtparyamrudrAm ca yaH /
   puṇyaiḥ saṅghaṭate vivektṛvirahādantarmukhaṃ tāmyatāṃ keṣāmeva kadācideva	puNyEH saFGawate vivektR-virahAt-antarmuKam tAmyatAm kezAm-eva kadAcid-eva
   sudhiyāṃ kāvyaśramajño janaḥ //	suDiyAm kAvya-Srama-jQaH janaH //
   svānī mitraṃ ca mantrī ca śiṣyaśyācārya eva ca /	svAnI mitram ca mantrI ca Sizya-SyA-AcAryaH eva ca /
   kaverbhavati hī titraṃ kiṃ hi tadyanna bhāvakaḥ //	kaveH-Bavati hI titram kim hi tat-yat-na BAvakaH //
   kāvyena kiṃ kavestasya tanmanomātravṛttinā /	kAvyena kim kaveH-tasya tad-manaH-mAtra-vRttinA /
   nīyante bhāvakairyasya na nibandhā diśo daśa //	nIyante BAva-kEH-yasya na nibanDAH diSaH daSa //
   santi pustakavinyastāḥ kāvyabandhā gṛhe gṛhe /	santi pustaka-vinyastAH kAvya-banDAH gRhe gRhe /
   dvitrāstu bhāvakamanaḥ śilāpaṭṭanikuṭṭitāḥ //	dvitrAH-tu BAva-ka-manaH SilA-pawwa-nikuwwitAH //
   satkāvye vikriyāḥ kaścidbhāvakasyollasanti tāḥ /	sat-kAvye vikriyAH kaScid-BAvakasya-ullasanti tAH /
   sarvābhinayanirṇītau dṛṣṭā nāṭyasṛjā na, yāḥ //	sarva-aBinaya-nirNItO dRzwAH nAwya-sRjAH na, yAH //
   vāgbhavako bhavetkaścitkaściddhṛdayabhāvakaḥ /	vAc-BavakaH Bavet-kaScid-kaScid-hRdaya-BAvakaH /
   sāttvikairāṅgikaiḥ kaścidanubhāvaiśca bhāvakaḥ //	sAttvikEH-AFgikEH kaScid-anuBAvEH-ca BAvakaH //
   guṇādānaparaḥ kaściddoṣādānaparo 'paraḥ /	guNa-AdAna-paraH kaScid-doza-AdAna-paraH aparaH /
   guṇadoṣāhṛtityāgaparaḥ kaścana bhāvakaḥ //	guNa-doza-AhRti-tyAga-paraH kaScana BAvakaH //
   abhiyoge samāne 'pi vicitro yadayaṃ kramaḥ /	aBiyoge samAne api vicitraH yat-ayam kramaH /
   tena vidmaḥ, prasāde 'tra nṛṇāṃ heturamānuṣaḥ //	tena vidmaH, prasAde atra nRNAm hetuH-amAnuzaH //
   na nisargakaviḥ śāstre na kṣuṇṇaḥ kavate ca yaḥ /	na nisarga-kaviH SAstre na kzuNNaH kavate ca yaH /
   viḍambayati sātmānamāgrahagrahilaḥ kila //	vixambayati sA-AtmAnam-Agraha-grahilaH kila //
   kavitvaṃ na sthitaṃ yasya kāvye ca kṛtakaitukaḥ /	kavi-tvam na sTitam yasya kAvye ca kRta-kEtukaH /
   tasya siddhiḥ sarasvatyāstantramantraprayogataḥ //	tasya sidDiH sarasvatyAH-tantra-mantra-prayogataH //
   yadāntaraṃ vetti sudhīḥ svavākyaparavākyayoḥ /	yadA-antaram vetti suDIH sva-vAkya-para-vAkyayoH /
   tadā sa siddho mantavyaḥ, kukaviḥ kavireva vā //	tadA sa sidDaH mantavyaH, kukaviH kaviH-eva vA //
   kārayitrībhāvayighatryāvitīme pratibhābhide /	kArayitrI-BAva-yiGatryO=-itIme pratiBA-aBide /
   athātaḥ kathayiṣyāmo vyutpattiṃ kāvyamātaram' //	aTa-atas kaTayizyAmaH vyutpattim kAvya-mAtaram-a //
   iti rājaśekharakṛtau kāvyamīmāṃsāyāṃ kavirahasye prathame 'dhikaraṇe	iti rAja-SeKara-kRtO kAvya-mImAMsAyAm kavi-rahasye praTame aDikaraNe
   śiṣyapratibhāvyākhyānaḥ caturtho 'dhyāyaḥ	Sizya-pratiBAvya-AKyAnaH caturTaH aDyAyaH
   ____________________________ Adhyaya 5 _____________________________	____________________________ ADyaya 5 _____________________________
   vyutpattikavipākāḥ	vyutpattika-vipAkAH
   pañcamo 'dhyāyaḥ 5.	paQcamaH aDyAyaH 5.
   vyutpattikavipākāḥ 'bahujñātā vyutpattiḥ' ityācāryāḥ /	vyutpattika-vipAkAH abahu-jQAtA vyutpattiH-a iti-AcAryAH /
   sarvatodikkā hi kavivācaḥ /	sarvatodikkA hi kavi-vAcaH /
   taduktam -	tat-uktam -
   'prasarati kimapi kathañcana nābhyaste gocare vacaḥ kasya /	aprasarati kim-api kaTaQcana nAByaste gocare vacaH kasya /
   idameva tatkavitvaṃ yadvācaḥ sarvatodikkā //	idam-eva tat-kavi-tvam yat-vAcaH sarvatodikkA //
   "ucitānucitaviveko vyutpattiḥ' iti yāyāvarīyaḥ /	"ucita-anucita-vivekaH vyutpattiH-a iti yAyAvarIyaH /
   'pratibhāvyutpattyoḥ pratibhā śreyasī' ityānandaḥ /	apratiBAvi-utpattyoH pratiBA SreyasI-a iti-AnandaH /
   sā hi kaveravyutpattikṛtaṃ doṣamaśeṣamācchādayati /	sA hi kavera-vyutpatti-kRtam dozam-aSezam-AcCAdayati /
   tadāha-	tat-Aha-
   'avyutpattikṛto doṣaḥ śaktyā saṃvriyate kaveḥ /	aavyutpatti-kRtaH dozaH SaktyA saMvriyate kaveH /
   yastvaśaktikṛtastasya bhkagityevāvabhāsate' //	yaH-tu-aSakti-kRtaH-tasya Bkagiti-eva-avaBAsate-a //
   śaktiśabdaścāyamupacaritaḥ pratibhāne varttate /	Sakti-SabdaH-ca-ayam-upacaritaH pratiBAne varttate /
   pratibhā yathā-	pratiBA yaTA-
   'etatkiṃ śirasi sthitaṃ mama pituḥ, khaṇḍaṃ sudhājanmano lālāṭaṃ kimidaṃ	aetat-kim Sirasi sTitam mama pituH, KaNxam suDA-janmanaH lAlAwam kim-idam
   vilocanamidaṃ, haste 'sya kiṃ pannagāḥ /	vilocanam-idaM, haste asya kim pannagAH /
   itthaṃ krauñcaripoḥ kramādupagate digvāsasaḥ śūlinaḥ praśne	itTam krOQca-ripoH kramAt-upagate digvAsasaH SUlinaH praSne
   vāmakaroparodhasubhagaṃ devyāḥ smitaṃ pātu vaḥ //	vAma-kara-uparoDa-suBagam devyAH smitam pAtu vaH //
   "vyutpattiḥ śreyasī' iti maṅgalaḥ /	"vyutpattiH SreyasI-a iti maFgalaH /
   sā hi kaveraśaktikṛtaṃ doṣamaśeṣamācchādayati /	sA hi kavera-Sakti-kRtam dozam-aSezam-AcCAdayati /
   yathā hi-	yaTA hi-
   'kaveḥ saṃvriyate 'śaktirvyutpattyā kāvyavartmani /	akaveH saMvriyate aSaktiH-vyutpattyA kAvya-vartmani /
   vaidagdhīcittānāṃ heyā śabdasya gumphanā' //	vEdagDI-cittAnAm heyA Sabdasya gumPanAa //
   vyutpattiryathā-	vyutpattiH-yaTA-
   'kṛtaḥ kaṇṭhe niṣko nahi kimuta tanvī maṇilatā kṛśaṃ līlāpatraṃ śravasi	akRtaH kaNWe nizkaH na-hi kim-uta tanvI maNilatA kRSam lIlA-patram Sravasi
   nihitaṃ kuṇḍalamraci /	nihitam kuNxalamraci /
   na kauśeyaṃ citraṃ vasanamavadātaṃ tu vasitaṃ samāsannībhūte	na kOSeyam citram vasanam-avadAtam tu vasitam samAsannIBUte
   nidhuvanavilāse vanītayā //	niDuvana-vilAse vanItayA //
   "pratibhāvyutpattī mithaḥ samavete śreyasyau iti yāyāvarīyaḥ /	"pratiBAvi-utpattI miTas samavete SreyasyO iti yAyAvarIyaH /
   na khalu lāvaṇyalābhādṛte rupasampadṛte rupasampado vā	na Kalu lAvaNya-lABAt-Rte rupa-sampad-Rte rupa-sampadaH vA
   lāvaṇyalabdhirmahate saundaryāya /	lAvaNya-labDiH-mahate sOndaryAya /
   ubhayayogo yathā-	uBaya-yogaH yaTA-
   'jaṅghākāṇḍorunāle nakhakiraṇalasatkesarāsīkarālaḥ	ajaFGA-kANxa-Uru-nAle naKa-kiraNa-lasat-kesa-rAsI-karAlaH
   pratyagrālaktakābhāprasarakisalayo mañjumañjīrabhṛṅgaḥ /	pratyagra-alaktaka-ABA-prasara-kisalayaH maQju-maQjIra-BRFgaH /
   bhartturnṛtyānukāre jayati nijatanusvacchalāvaṇyavāpī-sambhūtāmbhojaśobhāṃ	BarttuH-nRtya-anukAre jayati nija-tanu-svacCa-lAvaNya-vApI--samBUta-amBoja-SoBAm
   vidadhadabhinavo daṇḍapādo bhavānyāḥ' //	vidaDat-aBinavaH daNxapAdaH BavAnyAH-a //
   pratibhāvyutpattimāṃśca kaviḥ kavirityucyate /	pratiBAvi-utpattimAn=-ca kaviH kaviH-iti-ucyate /
   sa ca tridhā /	sa ca triDA /
   śāstrakaviḥ kāvyakavirubhayakaviśca /	SAstra-kaviH kAvya-kaviruBaya-kaviH-ca /
   'teṣāmuttarottarīyo garīyān' iti śyāmadevaḥ /	atezAm-uttarottarIyaH garIyAn-a iti SyAmadevaH /
   'na'iti yāyāvarīyaḥ /	anaH-aiti yAyAvarIyaH /
   yathāsvaviṣaye sarvo garīyān /	yaTAsva-vizaye sarvaH garIyAn /
   nahi rājahaṃsaścandrikāpānāya prabhavati, nāpi cakoro 'dbhayaḥ	na-hi rAjahaMsaH-candrikA-pAnAya praBavati, na-api cakoraH adBayaH
   kṣīroddharaṇāya /	kzIra-udDaraNAya /
   yacchāstrakaviḥ kāvye rasasampadaṃ vicchinatti /	yat-SAstra-kaviH kAvye rasa-sampadam vicCinatti /
   yatkāvyakaviḥśāstre tarkakarkaśamapyarthamuktivaicitryeṇa ślathayati /	yad-kAvya-kaviH-SAstre tarka-karkaSam-api-arTa-m-ukti-vEcitryeNa SlaTayati /
   ubhayakavistūbhayorapi varīyānyadyubhayatra paraṃ pravīṇaḥ syāt /	uBayaka-vistu-uBayoH-api varIyAn-yadi-uBayatra param pravINaH syAt /
   tasmāttulyaprabhāvāveva śāstrakāvyakavī /	tasmAt-tulya-praBAvO=-eva SAstra-kAvya-kavI /
   upakāryopakārakabhāvaṃ tu mithaḥ śāstrakāvyoranumanyāmahe /	upakArya-upakAraka-BAvam tu miTas SAstra-kAvyoH-anumanyAmahe /
   yacchāstrasaṃskāraḥ kāvyamanugṛhṇāti śāstraikapravaṇatā tu nigṛhṇāti /	yat-SAstra-saMskAraH kAvyam-anugRhNAti SAstra-eka-pravaNa-tA tu nigRhNAti /
   kāvyasaṃskāro 'pi śāstraghavākyapākamanuruṇaddhi kāvyaikapravaṇatā tu	kAvya-saMskAraH api SAstra-GavAkya-pAkam-anuruNadDi kAvya-eka-pravaNa-tA tu
   viruṇaddhi /	viruNadDi /
   tatragha tridhā śāstrakaviḥ /	tatraGa triDA SAstra-kaviH /
   yaḥ śāstraṃ vidhatte, yaśca śāstre kāvyaṃ saṃvalidhatte, yo 'pi kāvye	yaH SAstram viDatte, yaH-ca SAstre kAvyam saMvaliDatte, yaH api kAvye
   śāstrārthaṃ nidhatte /	SAstra-arTam niDatte /
   kāvyakaviḥ punaraṣṭadhā /	kAvya-kaviH punar-azwaDA /
   tadyathā-racanākaviḥ, śabda-kaviḥ, arthakaviḥ, alaṅkārakaviḥ, uktikaviḥ,	tat-yaTA-a-racanA-kaviH, Sabda-kaviH, arTa-kaviH, alaFkAra-kaviH, ukti-kaviH,
   rasakaviḥ, mārgakaviḥ, śāstrārthakaviriti /	rasakaviH, mArga-kaviH, SAstra-arTa-kaviH-iti /
   tatra racanākaviḥ-	tatra racanA-kaviH-
   'lolallāṅgūlavallīvalayitabakulānokahaskandhagolair golāṅgūlairnadadbhiḥ	alolat-lAFgUla-vallI-valayita-bakula-anoka-ha-skanDa-golEH golAFgUlEH-nadadBiH
   pratirasitajaratkandarāmandireṣu /	pratirasita-jarat-kandarA-mandirezu /
   ṣaṇḍeṣūddaṇṭapiṇḍītagaralanāḥ pratire yena	zaNxezu-uddaNwa-piNxIta-garalanAH pratire yena
   velāmālaṅghayottālatallasphuṭitapuṭakinībandhavo gandhavāhāḥ' //	velAm-AlaFGayA-uttAla-talla-sPuwita-puwakinI-banDavaH ganDavAhAH-a //
   tridhā ca śabdakavirnāmākhyātobhayabhedena /	triDA ca Sabda-kaviH-nAma-AKyAta-uBaya-Bedena /
   tatra nāmakaviḥ-	tatra nAmakaviH-
   'vidyeva puṃso mahimeva rājñaḥ prajñeva vaidyasya dayeva sādhoḥ /	avidyA-iva puMsaH mahim-A-iva rAjQaH prajQA-iva vEdyasya dayA-iva sADoH /
   lajjeva śūrasya mṛjeva yūno vibhūṣaṇaṃ tasya nṛpasya saiva' //	lajjA-iva SUrasya mRjA-iva yUnaH viBUzaNam tasya nRpasya sA-eva-a //
   ākhyātakaviryathā-	AKyAta-kaviH-yaTA-
   'uccaistarāṃ jahasurājahṛṣurjagarjurājadhnira bhujataṭīnikaraiḥ	auccEstarAm jahasu-rAja-hRzuH-jagarjuH-AjaDnira Buja-tawI-nikarEH
   sphuradbhiḥ /	sPuradBiH /
   santuṣṭuvurmumudire bahu menire ca vācaṃ guroramṛtasambhavalābhagarbhām'	santuzwuvuH-mumudire bahu menire ca vAcam guroH-amRta-samBava-lABa-garBAm-a
   nāmākhyātakaviḥ-	nAma-AKyAta-kaviH-
   'hatatviṣo 'ndhāḥ śithilāṃsabāhavaḥ striyo viṣādena vicetanā iva /	ahata-tvizaH anDAH SiTila-aMsa-bAhavaH striyaH vizAdena vicetanAH iva /
   na cukruśurno rurudurna sasvanurna celurāsurlikhitā iva kṣaṇam' //	na cukruSuH-naH ruruduH-na sasvanuH-na celuH-AsuH-liKitAH iva kzaNam-a //
   arthakaviḥ-	arTa-kaviH-
   'devī putramasūta nṛtyata gaṇāḥ kiṃ tiṣṭhatetyudbhuje	adevI putram-asUta nRtyata gaNAH kim tizWata-iti-udBuje
   harṣādbhṛṅgiriṭāhṛtagirā cāmuṇḍayāliṅgite /	harzAt-BRFgiriwA-hRta-girA cAmuNxaya-AliFgite /
   pāyādvo jitadevadundubhighanadhvānapravṛttistayor	pAyAt-vaH jita-deva-dunduBi-Gana-DvAna-pravRttiH-tayoH-
   anyonyāṅkanipātarjarajaratsthūlāsthijanmā ravaḥ' //	anyonya-aFka-nipAtarjara-jarat-sTUla-asTi-janmA ravaH-a //
   dvidhālaṅkārakaviḥ śabdārthabhedena /	dviDA-alaFkAra-kaviH Sabda-arTa-Bedena /
   tayoḥ śabdālaṅkāraḥ-	tayoH Sabda-alaFkAraH-
   'na prātpaṃ viṣamaraṇaṃ prātpaṃ pāpena karmaṇā viṣamaraṇaṃ ca /	ana prAtpam viza-maraNam prAtpam pApena karmaNA viza-maraNam ca /
   na mṛto bhāgīrathyāṃ mṛto 'hamupaguhya mandabhāgī rathyām' //	na mRtaH BAgIraTyAm mRtaH aham-upaguhya mandaBAgI raTyAm-a //
   arthālaṅkāraḥ-	arTa-alaFkAraH-
   'bhrāntajihvāpatākasya phaṇacchatrasya vāsukeḥ /	aBrAnta-jihvA-patAkasya PaNa=-Catrasya vAsukeH /
   daṃṣṭrāśalākādāridyaṃ karttu yogyo 'sti me bhujaḥ' //	daMzwrA-SalAkA-dAridyam karttu yogyaH asti me BujaH-a //
   uktikaviḥ-	ukti-kaviH-
   'udaramidanindyaṃ māninīśvāsalāvyaṃ stanataṭapariṇāhe dorlatālehyasīmā /	audaram-idanindyam mAninI-SvAsa-lAvyam stana-tawa-pariNAhe dos-latAlehya-sImA /
   sphurati ca vadanendurddakpraṇālīnipeyastad iha sudṛśi kalyāḥ kelayo	sPurati ca vadana-indu-H-ddak-praNAlI-nipeyaH-tat iha su-dRSi kalyAH kelayaH-
   yauvanasya' //	yOvanasya-a //
   yathā vā-	yaTA vA-
   'pratīcchatyāśokīṃ kisalayaparāvṛttimadharaḥ kapolaḥ pāṇḍutvādavatarati	apratIcCati-ASokIm kisalaya-parAvRttim-aDaraH kapolaH pANxu-tvAt-avatarati
   tāḍīpariṇatim /	tAxI-pariNatim /
   parimlānaprāyāmanuvadati dṛṣṭiḥ kamalinīm itīyaṃ mādhuryaṃ spṛśati ca	parimlAna-prAyAm-anuvadati dRzwiH kamalinIm iti-iyam mADuryam spRSati ca
   tanutvaṃ ca bhajate' //	tanu-tvam ca Bajate-a //
   rasakaviḥ-	rasakaviH-
   'etāṃ vilākaya tanūdari tāmraparṇīm ambhonidhau vivṛtaśuktipuṭoddhṛtāni /	aetAm vilAkaya tanu-udari tAmraparNIm amBoniDO vivRta-Sukti-puwa-udDRtAni /
   yasyāḥ payāṃsi pariṇāhiṣu hāramūrttyā vāmabhruvāṃ pariṇamanti payodhareṣu'	yasyAH payAMsi pariNAhizu hAra-mUrttyAH vAma-BruvAm pariNamanti payoDarezu-a
   mārgakaviḥ-	mArga-kaviH-
   'mūlaṃ bālakavīrudhāṃ surabhayo jātītaruṇāṃ tvacaḥ sāraścandanaśāśināṃ	amUlam bAlaka-vIruDAm suraBayaH jAtI-taruNAm tvacaH sAraH-candana-SASinAm
   kisalayānyārdrāṇyaśokasya ca /	kisalayAni-ArdrANi-aSokasya ca /
   śairīṣī kusumogdatiḥ pariṇamanmocaṃ ca so 'yaṃ gaṇo grīṣmeṇoṣmaharaḥ purā	SErIzI kusuma-ugdatiH pariNaman-mocam ca saH ayam gaNaH grIzmeNa-Uzma-haraH purA
   kila dade dagdhāya pañcaṣave' //	kila dade dagDAya paQcazave-a //
   śāstrārthakaviḥ-	SAstra-arTa-kaviH-
   'ātmārāmā vihitaratayo nirvikalpe samādhau	aAtma-ArAmA vihita-ratayaH nirvikalpe samADO
   jñānodrekādvighaṭitatamogranthayaḥ sattvaniṣṭhāḥ /	jQAna-udrekAt-vi-Gawita-tamaH-granTayaH sattva-nizWAH /
   yaṃ vīkṣinte kamapi tamasāṃ jyotiṣāṃ vā parastāt taṃ mohāndhaḥ	yam vIkzinte kam-api tamasAm jyotizAm vA parastAt tam moha-anDaH
   kathamayamamuṃ vetti devaṃ purāṇam' //	kaTam-ayam-amum vetti devam purANam-a //
   eṣāṃ dvitrairguṇaiḥ kanīyān, pañcakairmadhyamaḥ, sarvaguṇayogī mahākaviḥ /	ezAm dvitrEH-guNEH kanIyAn, paQcakEH-maDyamaH, sarva-guNa-yogI mahA-kaviH /
   daśa ca kaveravasthā bhavanti /	daSa ca kaveH-avasTAH Bavanti /
   tatra ca buddhimadāhāryabuddhayoḥ satpa, tistraśca aupadeśikasya /	tatra ca budDimat-AhArya-budDayoH sat-pa, tistraH-ca OpadeSikasya /
   tadyathā-kāvyavidyāsnātako, hṛdayakaviḥ, anyāpadeśī, sevitā, ghaṭamānaḥ,	tad-yaTA-a-ka-avyavidyA-snAtako, hRdaya-kaviH, anya-apadeSI, sevitA, GawamAnaH,
   mahākaviḥ, kavirājaḥ, āvicchedī, saṅkrāmayitā ca /	mahAkaviH, kavi-rAjaH, AvicCedI, saFkrAmayitA ca /
   yaḥ kavitvakāmaḥ kāvyavidyopavidyāgrahaṇāya gurukulānyupāste sa	yaH kavi-tva-kAmaH kAvya-vidyA-upavidyA-grahaNAya guru-kulAni-upAste sa
   vidyāsnātakaḥ /	vidyA-snAtakaH /
   yo hṛdaya eva kavate nihnute ca sa hṛdayakaviḥ /	yaH hRdayaH eva kavate nihnute ca sa hRdaya-kaviH /
   yaḥ svamapi kāvyaṃ doṣabhayādanyasyetyapadiśya paṭhati so 'nyāpadeśī /	yaH svam-api kAvyam doza-BayAt-anyasya-iti-apadiSya paWati saH anya-apadeSI /
   yaḥ pravṛttavacanaḥ paurastyānāmanyatamacchāyāmabhyasyati sa sevitā /	yaH pravRtta-vacanaH pOrastyAnAm-anyatama=-CAyAm-aByasyati sa sevitA /
   yo 'navadyaṃ kavate na tu prabadhnāti sa ghaṭamānaḥ /	yaH anavadyam kavate na tu prabaDnAti sa GawamAnaH /
   yo 'nyataraprabandhe pravīṇaḥ sa mahākaviḥ /	yaH anyatara-prabanDe pravINaH sa mahA-kaviH /
   yastu tatra tatragha bhāṣāviśeṣe teṣu teṣu prabandheṣu tasmiṃstasmiṃśca	yaH-tu tatra tatraGa BAzA-viSeze tezu tezu prabanDezu tasmin=-tasmin=-ca
   rase svatantraḥ sa kavirājaḥ /	rase svatantraH sa kavi-rAjaH /
   te yadi jagatyapi katipaye /	te yadi jagati-api katipaye /
   yo mantrādyupadeśavaśāllabdhasiddhirāveśasamakālaṃ kavate sa āviśikaḥ /	yaH mantra-Adi-upadeSa-vaSAt-labDa-sidDiH-AveSa-sama-kAlam kavate saH AviSikaH /
   yo yadaivecchati tadaivāvicchinnavacanaḥ so 'vicchedī /	yaH yadA-eva-icCati tadA-eva-avicCinna-vacanaH saH avicCedI /
   yaḥ kanyākumārādiṣu siddhamantraḥ sarasvatīṃ saṅkrāmayati sa saṅkrāmayitā	yaH kanyA-kumAra-Adizu sidDa-mantraH sarasvatIm saFkrAmayati sa saFkrAmayitA
   satatamabhyāsavaśataḥ sukaveḥ vākyaṃ pākamāyāti /	satatam-aByAsa-vaSataH sukaveH vAkyam pAkam-AyAti /
   'kaḥ punarayaṃ pākaḥ?' ityācāryāḥ /	akaH punar-ayam pAkaH?-a iti-AcAryAH /
   'pariṇāmaḥ' iti maṅgalaḥ /	apariNAmaHa iti maFgalaH /
   'kaḥ punarayaṃ pariṇāmaḥ?' ityācāryāḥ /	akaH punar-ayam pariNAmaH?-a iti-AcAryAH /
   'supāṃ tiṅgāṃ ca śravaḥ saiṣā vyutpattiḥ'iti maṅgalaḥ /	asupAm tiFgAm ca SravaH sA-ezA vyutpattiH-aiti maFgalaH /
   sauśabdyametat /	sOSabdyam-etat /
   'padaniveśaniṣkampatā pākaḥ'ityācāryāḥ /	apada-niveSa-nizkampatA pAkaH-aitya-AcAryAH /
   tadāhuḥ-	tat-AhuH-
   'āvāpoddharaṇe tāvadyāvaddolāyate manaḥ /	aAvApa-udDaraNe tAvat-yAvat-dolAyate manaH /
   padānāṃ sthāpite sthairye hanta siddhā sarasvatī //	padAnAm sTApite sTErye hanta sidDA sarasvatI //
   "āgrahaparigrahādapi padasthairyaparyavasāyastasmātpadānāṃ	"Agraha-parigrahAt-api pada-sTErya-paryavasAyaH-tasmAt-padAnAm
   parivṛttivaimukhyaṃ pākaḥ'iti vāmanīyāḥ /	parivRtti-vEmuKyam pAkaH-aiti vAmanIyAH /
   tadāhuḥ-	tat-AhuH-
   'yatpadāni tyajantyeva parivṛttisahiṣṇutām /	ayat-padAni tyajanti-eva parivRtti-sahizNu-tAm /
   taṃ śabdanyāsaniṣṇātāḥ śabdapākaṃ pracakṣate //	tam Sabda-nyAsa-nizNAtAH Sabda-pAkam pracakzate //
   "iyamaśaktirna punaḥ pākaḥ'ityavantisundarī /	"iyama-SaktiH-na punar pAkaH-aityavanti-sundarI /
   yadekasminvastuni mahākavīnāmineko 'pi pāṭhaḥ paripākavānbhavati,	yat-ekasmin-vastuni mahA-kavI-nAminekaH api pAWaH paripAkavAn-Bavati,
   tasmādrasocitaśabdārthasūktinibandhanaḥ pākaḥ /	tasmAt-rasa-ucita-Sabda-arTa-sUkti-nibanDanaH pAkaH /
   yadāha-	yat-A-aha-
   'guṇālaṅkārarītyuktiśabdārthagrathanakramaḥ /	aguNa-alaFkAra-rIti-ukti-Sabda-arTa-graTana-kramaH /
   svadate sudhiyāṃ yena vākyapākaḥ sa māṃ prati' //	svadate suDiyAm yena vAkya-pAkaH sa mAm prati-a //
   taduktam-	tat-uktam-
   'sati vaktari satyarthe śabde sati rase sati /	asati vaktari sati-arTe Sabde sati rase sati /
   asti tanna vinā yena paristravati vāṅmadhu //	asti tat-na vinA yena paristravati vAc-maDu //
   "kāryānumeyatayā yattacchabdanivedyaḥ paraṃ pāko	"kArya-anumeya-tayA yat-tat-Sabda-nivedyaH param pAkaH-
   'bhidhāviṣayastatsahṛdayaprasiddhisiddha eva vyavahārāṅgamasau'iti	aBiDA-vizayaH-tad-sahRdaya-prasidDi-sidDaH eva vyavahAra-aFgam-asO-aiti
   yāyāvarīyaḥ /	yAyAvarIyaH /
   sa ca kavigrāmasyakāvyamabhyasyate navadhā bhavati /	sa ca kavi-grAmasya-kAvyam-aByasyate navaDA Bavati /
   tatrādyantayorasvādu picumandapākam, ādāvasvādu pariṇāme madhyamaṃ	tatra-Adi-antayoH-asvAdu picumanda-pAkam, AdO=-asvAdu pariNAme maDyamam
   badarapākam, ādāvasvādu pariṇāme svādu mṛdvīkāpākam, ādau madhyamamante	badara-pAkam, AdO=-asvAdu pariNAme svAdu mRdvIkA-pAkam, AdO maDyamam-ante
   cāsvādu vārttākapākam, ādyantayormadhyamaṃ tintiḍīkapākam, ādau	ca-asvAdu vArttAkapAkam, Adi-antayoH-maDyamam tintixIkapAkam, AdO
   madhyamamante svādu sahakārapākam, ādāvuttamamante cāsvādu kramukapākam,	maDyamam-ante svAdu sahakAra-pAkam, AdO=-uttamam-ante ca-asvAdu kramuka-pAkam,
   ādāvuttamamante madhyamaṃ trapusapākam, ādyantayoḥ svādu nālikerapākamiti	AdO=-uttamam-ante maDyamam trapu-sa-pAkam, Adi-antayoH svAdu nAlikera-pAkam-iti
   teṣāṃ triṣvapi trikeṣu pākāḥ prathame tyājyāḥ /	tezAm trizu-api trikezu pAkAH praTame tyAjyAH /
   varamakavirna punaḥ kukaviḥ syāt /	varam-akaviH-na punar kukaviH syAt /
   kukavitā hi socchravāsaṃ maraṇam /	ku-kavitA hi sa-ucCra-vAsam maraNam /
   madhyamāḥ saṃskāryāḥ /	maDyamAH saMskAryAH /
