   Hetutattvopadeśaḥ	Hetu-tattva-upadeSaH
   72. ubhayāvyāvṛtto yathā / nityaḥ śabdo 'mūrttatvādākāśādivaditi /	72. uBaya-avi-AvRttaH yaTA / nityaH SabdaH amUrtta-tvAt-AkASa-Adi-vat-iti /
   atrākāśādervaidharmyadṛṣṭāntāt sādhyaṃ sādhanaṃ ca na vyāvṛttam //	atra-AkASa-AdeH-vEDarmya-dRzwAntAt sADyam sADanam ca na vyAvRttam //
   73. tathā saṃdigdhasādhyavyatirekaḥ saṃdigdhasādhanavyatirekaḥ	73. taTA saMdigDa-sADya-vyatirekaH saMdigDa-sADana-vyatirekaH
   saṃdigdhobhayavyatirekaśca //	saMdigDa-uBaya-vyatirekaH-ca //
   74. saṃdigdhasādhyavyatireko dṛṣṭāntābhāso yathā / asarvajñāḥ kapilādayo	74. saMdigDa-sADya-vyatirekaH dRzwAnta-ABAsaH yaTA / asarva-jQAH kapilAdayaH-
   'vidyamānasarvajñatāliṅgabhūtakevalaśāstrakarttṛtvāditi / atra	avidyamAna-sarvajQa-tA-liFga-BUta-kevala-SAstra-karttR-tvAt-iti / atra
   vaidharmyeṇodāharaṇamucyate / yaḥ sarvajñaḥ sa jyotirjñānādikamupadiṣṭavān	vEDarmyeNa-udAharaNam-ucyate / yaH sarvajQaH sa jyotiH-jQAna-Adikam-upadizwavAn
   / tadyathā ṛṣabhavarddhamānādiriti / iha vaidharmyodāharaṇa ukta	/ tat-yaTA RzaBa-vardDamAnAdiH-iti / iha vEDarmya-udAharaNaH ukta
   ṛṣabhavardhamānāderasarvajñatvaṃ vyāvṛttamavyāvṛttaṃ veti saṃdehaḥ //	RzaBa-varDamAna-AdeH-asarvajQa-tvam vyAvRttam-avyAvRttam vA-iti saMdehaH //
   75. saṃdigdhasādhanavyatireko yathā / iha trayīvidā brāhmaṇena	75. saMdigDa-sADana-vyatirekaH yaTA / iha trayI-vidA brAhmaNena
   kapilakaṇādādiḥ puruṣo na grāhyavacano rāgādimattvāditi / atra	kapila-kaNAda-AdiH puruzaH na grAhya-vacanaH rAga-AdimattvAt-iti / atra
   vaidharmyodāharaṇamucyate yo grāhyavacano na sa rāgādimān yathā	vEDarmya-udAharaNam-ucyate yaH grAhya-vacanaH na sa rAga-AdimAn yaTA
   gotamādayaḥ dharmaśāstrāṇāṃ praṇetāra iti / gotamādibhyo rāgādimatvasya	gotama-AdayaH Darma-SAstrANAm praNetAraH iti / gotama-AdiByaH rAga-Adimatvasya
   sādhanadharmasya vyāvṛttiḥ saṃdigdhā //	sADana-Darmasya vyAvRttiH saMdigDAH //
   76. saṃdigdhobhayavyatireko yathā / avītarāgāḥ kapilādayaḥ	76. saMdigDa-uBaya-vyatirekaH yaTA / avIta-rAgAH kapila-AdayaH
   parigrahāgrahayogāditi / atra vaidharmyeṇodāharaṇamucyate / yo vītarāgaḥ	parigraha-agraha-yogAt-iti / atra vEDarmyeNa-udAharaNam-ucyate / yaH vIta-rAgaH
   sa na parigrahāgrahavān yathā ṛṣabhavarddhemānādiriti / ṛṣabhādeḥ	sa na parigraha-agrahavAn yaTA RzaBa-vart-hemAn-AdiH-iti / RzaBa-AdeH
   vaidharmyadṛṣṭāntād vītarāgatvaparigrahāgrahayoḥ	vEDarmya-dRzwAntAt vIta-rAga-tva-parigraha-AgrahayoH
   sādhyasādhanadharmayorvyatireko 'vyatireko veti saṃdehaḥ / prāgalabdhasya	sADya-sADana-DarmayoH-vyatirekaH avyatirekaH vA-iti saMdehaH / prAc-alabDasya
   vastuno lābhaḥ parigrahaḥ labdhasyāparivarjanamāgrahaḥ / ubhayorapi tayo	vastunaH lABaH parigrahaH labDasya-aparivarjanam-AgrahaH / uBayoH-api tayo
   rṛṣabhe sambhavaḥ / chatracāmaramahādundubhīnāṃ parigrahāgrahaśravaṇāt /	rRzaBe samBavaH / Catra-cAmara-mahAdunduBInAm parigraha-agraha-SravaNAt /
   77. avyatireko vaidharmyadṛṣṭāntābhāso 'pradarśitavyatireko	77. avyatirekaH vEDarmya-dRzwAnta-ABAsaH apradarSita-vyatirekaH-
   viparītavyatirekaśceti //	viparIta-vyatirekaH-ca-iti //
   78. avyatireko yathā / kapilādiravītarāgo vaktṛtvāt / yatrāvītarāgatvaṃ	78. avyatirekaH yaTA / kapilAdiH-avIta-rAgaH vaktR-tvAt / yatra-avIta-rAga-tvam
   nāsti na sa vaktā yathopalakhaṇḍa iti / yadyapīdamupalakhaṇḍādvyāvṛttaṃ	na-asti na sa vaktA yaTA-upalaKaNxaH iti / yadi-api-idam-upala-KaNxAt-vyAvRttam
   tathāpi sarvasmādvītarāgādvaktṛtvaṃ na vyāvṛttaṃ sandehāt //	taTA-api sarvasmAt-vIta-rAgAt-vaktR-tvam na vyAvRttam sandehAt //
   79. apradarśitavyatireko yathā / anityaḥ śabdaḥ kṛtakatvādākāśādivaditi /	79. apradarSita-vyatirekaH yaTA / anityaH SabdaH kRtaka-tvAt-AkASa-Adi-vat-iti /
   paramārthataḥ samyagudāhṛto 'pi vakturaparādhāddṛṣṭāntābhāsaḥ /	paramArTataH samyak-udAhRtaH api vaktuH-aparADAt-dRzwAnta-ABAsaH /
   parārthānumāne vakturguṇadoṣayordvayo rvicāraṇīyatvāt / evaṃ yannityaṃ	para-arTa-anumAne vaktuH-guNa-dozayoH-dvayaH rvicAraNIya-tvAt / evam yat-nityam
   tatsarvaṃ niyatamakṛtakaṃ dṛśyate yathākāśādiriti vāgvibhāgo vaktrā	tat-sarvam niyatam-akRtakam dRSyate yaTAkASa-AdiH-iti vAc-viBAgaH vaktrA
   karttavyaḥ / pūrvavarttino vyatirekasyāpradarśanādapradarśitavyatirekaḥ //	karttavyaH / pUrva-varttinaH vyatirekasya-apradarSanAt-apradarSita-vyatirekaH //
   80. viparītavyatireko yathā / yadakṛtakaṃ tannityaṃ dṛṣṭamiti / iha tu	80. viparIta-vyatirekaH yaTA / yat-akRtakam tat-nityam dRzwam-iti / iha tu
   sādhyaviparīte vyāptirdarśanīyā / tena yadyatsādhyaviparītaṃ tattanniyataṃ	sADya-viparIte vyAptiH-darSanIyAH / tena yat-yat-sADya-viparItam tat-tad-niyatam
   sādhanaviparītaṃ bhavet //	sADana-viparItam Bavet //
   81. aṣṭādaśa dṛṣṭāntābhāsā uktāḥ //	81. azwAdaSa dRzwAnta-ABAsAH uktAH //
   82. ebhireva pakṣahetudṛṣṭāntābhāsairvādinā sādhanasyāvyutpatteḥ prativādī	82. eBiH-eva pakza-hetu-dRzwAnta-ABAsEH-vAdinA sADanasya-avyutpatteH prativAdI
   dūṣaṇamupanyasyati / tasya dūṣaṇasya pūrvapakṣavādino 'bhīṣṭārthasiddhau	dUzaNam-upanyasyati / tasya dUzaNasya pUrva-pakza-vAdinaH aBIzwa-arTa-sidDO
   pratibandhakatvātsādhananyūnatodbhāvanameva dūṣaṇamucyate /	pratibanDaka-tvAt-sADana-nyUna-tA-udBAvanam-eva dUzaNam-ucyate /
   tasmātsādhanavaddūṣaṇalakṣaṇavibhagāḥ pṛthag noktaḥ //	tasmAt-sADana-vat-dUzaNa-lakzaNa-viBagAH pRTak na-uktaH //
   83. dūṣaṇābhāso dūṣaṇameveti sa prativādinocyate / yadā pūrvapakṣavādino	83. dUzaNa-ABAsaH dUzaNam-eva-iti sa prativAdinA-ucyate / yadA pUrva-pakza-vAdinaH-
   'bhūtaṃ doṣamudbhāvayati tadā sa dūṣaṇābhāso jātiriti /	aBUtam dozam-udBAvayati tadA sa dUzaNa-ABAsaH jAtiH-iti /
   abhūtadoṣodbhāvanaṃ viparītottaraṃ jātirityucyate / yathā pakṣadoṣābhāve	aBUta-doza-udBAvanam viparIta-uttaram jAtiH-iti-ucyate / yaTA pakza-doza-aBAve
   pakṣadoṣodbhāvanaṃ hetudoṣābhāve hetudoṣodbhāvanaṃ dṛṣṭāntadoṣābhāve ca	pakza-doza-udBAvanam hetu-doza-aBAve hetu-doza-udBAvanam dRzwAnta-doza-aBAve ca
   dṛṣṭāntadoṣodbhāvanaṃ dūṣaṇābhāsa iti //	dRzwAnta-doza-udBAvanam dUzaNa-ABAsaH iti //
   84. tatrāhuranye / pratijñā hetuḥ udāharaṇam upanayaḥ nigamanaṃ ceti	84. tatra-AhuH-anye / pratijQAH hetuH udAharaNam upanayaH nigamanam ca-iti
   pañcāvayavaṃ sādhanamiti / yathānityaḥ śabdaḥ iti pratijñā / kṛtakatvāditi	paQca-avayavam sADanam-iti / yaTA-anityaH SabdaH iti pratijQA / kRtaka-tvAt-iti
   hetuḥ / yatkṛtakaṃ sarvaṃ tadanityaṃ dṛṣṭaṃ yathā ghaṭādirityudāharaṇam /	hetuH / yat-kRtakam sarvam tat-anityam dRzwam yaTA Gawa-AdiH-iti-udAharaNam /
   tathā śabdo 'pi kṛtaka iti upanayaḥ / tasmādanitya iti nigamanam /	taTA SabdaH api kRtakaH iti upanayaH / tasmAt-anityaH iti nigamanam /
   dṛṣṭāntapratītasāmarthyasya hetordharmiṇyupasaṃhāra upanaya iti /	dRzwAnta-pratIta-sAmarTyasya hetoH-DarmiNI-upasaMhAraH upanayaH iti /
   pratijñāyā punaḥ śravaṇaṃ nigamanamityucyate / maivamanvayo vyatirekaḥ	pratijQAyA punar SravaNam nigamanam-iti-ucyate / mA-evam-anvayaH vyatirekaH
   pakṣadharmaśceti trayeṇaiva sādhyārthasiddheḥ //	pakza-DarmaH-ca-iti trayeNa-eva sADya-arTa-sidDeH //
   85. evaṃ vādakāle vyāptipūrvaka eva prayogaḥ / yatkṛtakaṃ sarvaṃ	85. evam vAda-kAle vyApti-pUrvakaH eva prayogaH / yat-kRtakam sarvam
   tadanityaṃ dṛṣṭaṃ yathā ghaṭādiriti dṛṣṭānte	tat-anityam dRzwam yaTA GawAdiH-iti dRzwAnte
   sādhyasādhanayorvyāptipratipādanamanvaya ityucyate //	sADya-sADanayoH-vyApti-pratipAdanam-anvayaH iti-ucyate //
   86. vipakṣe punaḥ sādhyavyāvṛttyā sādhanavyāvṛttirvyatireka ityucyate /	86. vipakze punar sADya-vyAvRttyA sADana-vyAvRttiH-vyatirekaH iti-ucyate /
   yathānityatvābhāve kṛtakatvābhāvaḥ syādyathākāśādiḥ //	yaTA-anitya-tva-aBAve kRtaka-tva-aBAvaH syAt-yaTA-AkASa-AdiH //
   87. śabdo 'pi kṛtaka iti pakṣadharma ucyate / pratijñā nigamanaṃ ca	87. SabdaH api kRtakaH iti pakza-DarmaH ucyate / pratijQA nigamanam ca
   sarvathā na vaktavye //	sarvaTA na vaktavye //
   88. tathā sādharmyaprayoge 'nvayavacanasāmarthyādvyatirekāvagamādayaṃ	88. taTA sADarmya-prayoge anvaya-vacana-sAmarTyAt-vyatireka-avagama-Adayam
   pṛthag nocyate / yathā yatkṛtakaṃ sarvaṃ tadanityaṃ dṛṣṭaṃ yathā ghaṭādiḥ	pRTak na-ucyate / yaTA yat-kRtakam sarvam tat-anityam dRzwam yaTA Gawa-AdiH
   śabdo 'pi kṛtaka iti sādharmyaprayogaḥ / vaidharmyaprayoge	SabdaH api kRtakaH iti sADarmya-prayogaH / vEDarmya-prayoge
   vyatirekavacanasāmarthyādanvayapratītiḥ / atra punaranvayo na vācyaḥ /	vyatireka-vacana-sAmarTyAt-anvaya-pratItiH / atra punar-anvayaH na vAcyaH /
   yannityaṃ tadakṛtakaṃ dṛṣṭaṃ yathākāśādiḥ śabdastu kṛtaka iti	yat-nityam tat-akRtakam dRzwam yaTA-AkASa-AdiH SabdaH-tu kRtakaH iti
   vaidharmyaprayogaḥ //	vEDarmya-prayogaH //
   89. sādhanābhāso dūṣaṇābhāsaścoktaḥ //	89. sADana-ABAsaH dUzaNa-ABAsaH-ca-uktaH //
   90. kiṃ nāma pratyakṣamiti / pratyakṣaṃ kalpanāpoḍhamabhrāntam / akṣaṃ	90. kim nAma pratyakzam-iti / pratyakzam kalpanA-apoXam-aBra-antam / akzam
   pratigatamāśritaṃ yadvijñānaṃ tatpratyakṣam / pañcendriyāśritaṃ	pratigatam-ASritam yat-vijQAnam tat-pratyakzam / paQca-indriya-ASritam
   jñānamityarthaḥ / atyādayaḥ krāntādyarthe dvitīyayeti	jQAnam-iti-arTaH / atyAdayaH krAnta-Adi-arTe dvitIyayA-iti
   samāsenābhidheyaliṅgaḥ pratyakṣaśabdaḥ siddhaḥ / pratyakṣo 'vabodhaḥ	samAsena-aBiDeya-liFgaH pratyakza-SabdaH sidDaH / pratyakzaH avaboDaH
   pratyakṣā buddhiḥ pratyakṣaṃ jñānaṃ ceti yuktaṃ bhavati //	pratyakzA budDiH pratyakzam jQAnam ca-iti yuktam Bavati //
   91. cakṣuḥ śrotraṃ nāsikā jihvā kāyaśceti pañcendriyāṇi / tadāśritasya	91. cakzuH Srotram nAsikA jihvA kAyaH-ca-iti paQca-indriyANi / tad-ASritasya
   jñānasya pañca grāhyaviṣayā rūpaṃ śabdo gandho rasaḥ spraṣṭavyañceti	jQAnasya paQca grAhya-vizayAH rUpam SabdaH ganDaH rasaH sprazwavyaQca-iti
   pañcaiva prameyāṇi //	paQca-eva prameyANi //
   92. tacca pratyakṣaṃ nāmajātyādikalpanāpoḍhaṃ nirvikalpaṃ vā yadi	92. tat-ca pratyakzam nAma-jAti-Adi-kalpanA-apoXam nirvikalpam vA yadi
   punarabhrāntaṃ pramāṇamucyate pradarśitārthe 'visaṃvādāt /	punar-aBra-antam pramANam-ucyate pradarSita-arTe avisaMvAdAt /
   93. tatra nāmavikalpaḥ devadatto 'yamiti jñānam / jātivikalpo 'yaṃ gauriti	93. tatra nAma-vikalpaH devadattaH ayam-iti jQAnam / jAti-vikalpaH ayam gOH-iti
   jñānam / viśeṣyaviśeṣaṇavikalpo nīlamutpalamiti / anyo 'pi savikalpaḥ	jQAnam / viSezya-viSezaNa-vikalpaH nIlam-utpalam-iti / anyaH api sa-vikalpaH
   pratyakṣābhāsaḥ / vidyamāne 'rthe vibhramastaimirikasya dvicandrajñānam /	pratyakza-ABAsaH / vidyamAne arTe viBramaH-tEmirikasya dvi-candra-jQAnam /
   śuktau rajatajñānam / ayaṃ sthāṇurvā puruṣo veti jñānaṃ ca /	SuktO rajata-jQAnam / ayam sTANuH-vA puruzaH vA-iti jQAnam ca /
   jñānāntaramapi pratyakṣābhāsaḥ pradarśitārthāprāpakatvāt //	jQAna-antaram-api pratyakza-ABAsaH pradarSita-arTa-aprApaka-tvAt //
   94. tatra pratyakṣaṃ trividham / vyāvahārikamindriyajñānaṃ	94. tatra pratyakzam triviDam / vyAvahArikam-indriya-jQAnam
   sarvacittacaittānāmātmasaṃvedanaṃ svasaṃvedanaṃ	sarva-citta-cEttAnAm-Atma-saMvedanam sva-saMvedanam
   bhūtārthabhāvanāsphuṭaprakarṣaparyantajaṃ yogijñānaṃ ceti //	BUta-arTa-BAvanA-sPuwa-prakarza-paryanta-jam yogi-jQAnam ca-iti //
   95. tasya viṣayaḥ svalakṣaṇam / arthakriyāsamarthaṃ svalakṣaṇam / na	95. tasya vizayaH sva-lakzaNam / arTa-kriyA-samarTam sva-lakzaNam / na
   sāmānyamarthakriyāsamartham /	sAmAnyam-arTa-kriyA-samarTam /
   96. tadeva ca pratyakṣaṃ pramāṇamarthapratītirūpatvāt phalamapi /	96. tat-eva ca pratyakzam pramANam-arTa-pratIti-rUpa-tvAt Palam-api /
   tathātvena ca pramāṇaphalayorna manāgapi bhedaḥ //	taTA-tvena ca pramANa-PalayoH-na manAk-api BedaH //
   97. dvividhamanumānaṃ svārthaṃ parārthaṃ ca //	97. dviviDam-anumAnam sva-arTam para-arTam ca //
   98. tatra svārthaṃ tāvat pakṣadharmagrahaṇāt sādhyasādhanasambandhasmṛteḥ	98. tatra sva-arTam tAvat pakza-Darma-grahaNAt sADya-sADana-sambanDa-smRteH
   paścāt pratipatturarthasya yathāvadyā pratītistadeva svārthānumānam //	paScAt pratipattuH-arTasya yaTAvat-yA pratItiH-tat-eva sva-arTa-anumAnam //
   99. pakṣadharmastriprakāra eva kāryaṃ svabhāvo 'nupalabdhiśca //	99. pakza-DarmaH-tri-prakAraH eva kAryam svaBAvaH anupalabDiH-ca //
   100. kāryakāraṇasiddhau kāryaṃ heturiti / yathā yatna dhūmaḥ tatra	100. kArya-kAraNa-sidDO kAryam hetuH-iti / yaTA yatna DUmaH tatra
   agniryathā mahānasādau / atrapi dhūmasadbhāvāditi / agnyabhāve dhūmābhāvo	agniH-yaTA mahAnasa-AdO / atrapi DUma-sadBAvAt-iti / agni-aBAve DUma-aBAvaH-
   yathā sajale deśa iti atra tu dhūmāditi //	yaTA sa-jale deSaH iti atra tu DUmAt-iti //
   101. svabhāvo hetuḥ / vṛkṣo 'yaṃ śiṃśapātvāt pūrvavyavahārāpannaśiṃśapāvat	101. svaBAvaH hetuH / vRkzaH ayam SiMSapA-tvAt pUrva-vyavahAra-Apanna-SiMSapAvat-
   / vṛkṣābhāve śiṃśapābhāvo yathā vṛkṣarahite pradeśe / iha punastena	/ vRkza-aBAve SiMSapA-BAvaH yaTA vRkza-rahite pradeSe / iha punar-tena
   vyāpakena rūpeṇa vyāpyo hetuḥ //	vyApakena rUpeNa vyApyaH hetuH //
   102. anupalabdhihetuḥ / atra ghaṭo	102. anupalabDi-hetuH / atra Gawo
   nāstupalabdhilakṣaṇaprāptasyānupalabdheḥ śaśaviṣāṇādivat / atrāpi	na-astupalabDi-lakzaNa-prAptasya-anupalabDeH SaSa-vizANa-Adi-vat / atra-api
   yadopalabdhiyogyānupalabdhāvupalabdhiyogyābhāvavyāptirniścīyate tadāyaṃ	yadA-upalabDi-yogyA-anupalabDO=-upalabDi-yogyA-aBAva-vyAptiH-niScIyate tadA-ayam
   hetustatpratipādako bhavati //	hetuH-tad-pratipAdakaH Bavati //
   103. kīdṛśā anumānābhāsāḥ / pūrvavaccheṣavatsāmānyatodṛṣṭañca	103. kIdRSAH anumAna-ABAsAH / pUrvavat-Sezavat-sAmAnyatodRzwaQca
   parakalpitāni sarvāṇi anumānānyanumānābhāsāḥ / teṣāṃ	para-kalpitAni sarvANi anumAnAni-anumAna-ABAsAH / tezAm
   tādātmyadutpattilakṣaṇena pratibandhābhāvāt / hetuphalasambandhe	tAdAtmyat-utpatti-lakzaNena pratibanDa-aBAvAt / hetu-Pala-sambanDe
   vyāpyavyāpakasambandhe ca siddhe sādhyasādhanasambandho bhavati nānyathā	vyApya-vyApaka-sambanDe ca sidDe sADya-sADana-sambanDaH Bavati na-anyaTA
   visaṃvādakatvāt //	visaMvAdaka-tvAt //
   104. yathā megho 'yaṃ vṛṣṭimān dṛśyate / gambhīranirghoṣavattvādityatra	104. yaTA meGaH ayam vRzwimAn dRSyate / gamBIra-nirGozavat-tva-Aditi-atra
   gambhīraghoṣavato meghādvṛṣṭyanudbhavasambhavāt /	gamBIra-GozavataH meGAt-vRzwi-anudBava-samBavAt /
   105. yathopariṣṭādvṛṣṭaṃ nadīvṛddhidarśanāditi / nadīnirodhādapi	105. yaTA-uparizwAt-vRzwam nadI-vRdDi-darSanAt-iti / nadI-niroDAt-api
   nadīvṛddhidarśanāt //	nadI-vRdDi-darSanAt //
   106. evamime taṇḍulāḥ siddhā ekapātramadhyavartitvād dṛṣṭataṇḍulavat //	106. evam-ime taNxulAH sidDAH eka-pAtra-maDya-varti-tvAt dRzwa-taNxula-vat //
   107. imāni phalāni pakvānyekaśākhāto jātatvādbhuktaphalavadityatra	107. imAni PalAni pakvAni-eka-SAKAtaH jAta-tvAt-Bukta-Pala-vat-iti-atra
   prāyeṇaivaṃ dṛṣṭe 'pi sādhyasādhanayorvisaṃvāda eva //	prAyeNa-evam dRzwe api sADya-sADanayoH-visaMvAdaH eva //
   108. yatpārthivaṃ tatsarvaṃ lohalekhyaṃ dṛśyate yathā vṛkṣādaya iti / atra	108. yat-pArTivam tat-sarvam loha-leKyam dRSyate yaTA vRkza-AdayaH iti / atra
   vajro 'pi pārthivaḥ //	vajraH api pArTivaH //
   109. ye prāṇinaste sarve sakandharā yathoṣṭrādaya iti / atra kulīro 'pi	109. ye prANinaH-te sarve sa-kanDarAH yaTA-uzwra-AdayaH iti / atra kulIraH api
   prāṇī //	prANI //
   110. yaddravadravyaṃ tadārdraṃ dṛśyate yathā jalamiti / atra raso 'pi	110. yat-drava-dravyam tadArdram dRSyate yaTA jalam-iti / atra rasaH api
   dravadravyam //	drava-dravyam //
   111. evamanye 'pyanumānābhāsā dṛśyante //	111. evam-anye api-anumAna-ABAsAH dRSyante //
   iti paṇḍitapravarajitāripādakṛto hetutattvopadeśaḥ sampūrṇaḥ /	iti paNxita-pravara-jitA-ari-pAda-kRtaH hetu-tattva-upadeSaH sampUrNaH /
   bhāratīyopādhyāyena paṇḍitena kumārakalasena bhāṣāntarakārakeṇa bhikṣuṇā	BAratIya-upADyAyena paNxitena kumAra-kalasena BAzA-antara-kArakeNa BikzuNA
   śākyaprabheṇa ca bhoṭabhāṣāyāṃ vipariṇamayya saṃśodhya ca vinyastaḥ //	SAkya-praBeNa ca BowaBAzAyAm vipariNamayya saMSoDya ca vinyastaH //
