   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   dvitīyamāhnikakam /	dvitIyam-Ahnikakam /
   lokaśūnyaḥ, kālatvāt, adyatanakālavat, ityādayaḥ svayamūhyāḥ //	loka-SUnyaH, kAla-tva-at, adyatana-kAlavat, ityAdayaH svayam-UhyAH //
   nyā. pa. śa. 25 vipakṣe bādhakaṃ na samyagdṛśyate /	nyA. pa. Sa. 25 vipakze bADakam na samyak-dRSyate /
   yaccāgamānugraha eṣāṃ balamityabhimatam, tadāgamapramāṇatvopajīvanam,	yat-ca-Agama-anugrahaH ezAm balam-iti-aBimatam, tad-Agama-pramANa-tva-upajIvanam,
   tathā cāgamata eva pralayādisiddhiḥ /	taTA ca-AgamataH eva pralaya-Adi-sidDiH /
   tataścāgamādevāgamanityatvaṃ siddham /	tatas-ca-AgamAt-eva-Agama-nitya-tvam sidDam /
   uktaṃ ca prajñāparitrāṇe--- "vedataḥ pauruṣeyatvaśaṅkā vede na śāmyati /	uktam ca prajQA-paritrANe-- "vedataH pOruzeya-tva-SaFkA vede na SAmyati /
   hetvantarasamudbhūtā hetvantaranivāritā" //	hetu-antara-samudBUtAH hetu-antara-nivAritA" //
   iti /	iti /
   sargādau vedaparigrahaprakāraścaivamupapāditaḥ---	sarga-AdO veda-parigraha-prakAraH-ca-evam-upapAditaH---
   "vyavahārijanābhāvādgirāṃ vyutpattyasaṃbhavāt /	"vyavahAri-jana-aBAvAt-girAm vyutpatti-asaMBavAt /
   vedārtho naiva śakyeta boddhuṃ tasyeti cenna tat //	veda-arTaH na-eva Sakyeta bodDum tasya-iti ced-na tat //
   bahavaḥ saṃbhavantyeva śabdārthavyavahāriṇaḥ /	bahavaH saMBavanti-eva Sabda-arTa-vyavahAriNaH /
   muktādyā riśituryadvā bahurūpaparigrahāt //	mukta-AdyAH riSituH-yat-vA bahu-rUpa-parigrahAt //
   prācyavijñānasaṃskārānuvṛttyā vāsya vedhasaḥ /	prAcya-vijQAna-saMskAra-anuvRttyA vA-asya veDasaH /
   sarvaśabdārthavijñānaṃ suptotthitavadudbhavet //	sarva-Sabda-arTa-vijQAnam supta-utTita-vat-udBavet //
   na garbhavāsasteṣāṃ na vayovasthādayopi ca /	na garBa-vAsaH-tezAm na vayaH-vasTAdayopi ca /
   sarvavijñānasaṃpannāḥ sṛṣṭāsta iti vedadhīḥ //	sarva-vijQAna-saMpannAH sRzwAH-te iti veda-DIH //
   'yo brahmaṇa'miti śratyā sṛṣṭvā brahmāṇamīśvaraḥ /	ayaH brahmaNaH-am-iti SratyA sRzwvA brahmANam-ISvaraH /
   asmai vedānadatteti pratītirna udeti hi //	asmE vedAn-adattA-iti pratItiH-naH udeti hi //
   śabdārthavedine vedapradānaṃ sārthakaṃ bhavet /	Sabda-arTa-vedine veda-pradAnam sArTakam Bavet /
   anyathā vyarthamityarthāpattyā śabdārthaveditā" //	anyaTA vyarTam-iti-arTa-ApattyA Sabda-arTa-veditA" //
   iti //	iti //
   nyā. pa. śa. 26 sūtrakāṇḍamantrakṛttvajanmādivākyānāmapi	nyA. pa. Sa. 26 sUtra-kANxa-mantra-kRt-tva-janma-Adi-vAkyAnAm-api
   prathamadraṣṭṛtvasmartṛtvasaṃpradāyapravartanādibhireva nirvāhaḥ /	praTama-drazwR-tva-smartR-tva-saMpradAya-pravartana-AdiBiH-eva nirvAhaH /
   idamapyāgamānurodhādeva siddham /	idam-api-Agama-anuroDAt-eva sidDam /
   "svayaṃbhvabhyānarṣat" ityādi hi śrūyate /	"svayaMBu-aByAn-arzat" ityAdi hi SrUyate /
   prajāpatiniyogācca tadāhitamahimāno maharṣayonadhītāneva vedabhāgān	prajApati-niyogAt-ca tat-Ahita-mahimAnaH mahA-Rza-yonaDItAn-eva veda-BAgAn
   paśyanti /	paSyanti /
   tannniyogaśca tattadṛṣikatvenānusandhānādeḥ karmaupayikatvāt /	tant-niyogaH-ca tad-tad-Rzika-tvena-anusanDAna-AdeH karma-Opayika-tvAt /
   teṣāmapi pravāhānāditvānnānityasaṃyogādidoṣaḥ /	tezAm-api pravAha-an-Adi-tva-anna-anitya-saMyoga-Adi-dozaH /
   "yadvai kiñca manuravadat" ityādau pravāhānāditvaṃ parairuktam;	"yat-vE kiQca manuH-avadat" ityAdO pravAha-anAdi-tvam parEH-uktam-;
   tadupākhyānāntarādiṣvapi tulyam /	tad-upAKyAna-antara-Adizu-api tulyam /
   uktaṃ ca bhagavatā vyāsena--- "yugāntentarhitān vedān setihāsān maharṣayaḥ	uktam ca BagavatA vyAsena-- "yuga-antentarhitAn vedAn sa-itihAsAn mahA-RzayaH
   lebhire tapasā pūrvamanujñātāḥ svayaṃbhuvā" //	leBire tapasA pUrvam-anujQAtAH svayaMBuvA" //
   iti //	iti //
   itihāsotra tattadvṛttāntaḥ /	itihAsotra tad-tad-vRttAntaH /
   uktaṃ ca tenaiva dharmaśāstrepi--- "dharmamūlaṃ	uktam ca tena-eva Darma-SAstrepi-- "Darma-mUlam
   vedamāhurgrantharāśimakṛtrimam /	vedam-AhuH-granTa-rASim-a-kRtrimam /
   tadvidāṃ smṛtiśīle ca sādhvācāraṃ manaḥpriyam" //	tad-vidAm smRti-SIle ca sADu-AcAram manaH-priyam" //
   iti /	iti /
   śākhāpraṇayanaṃ ca dvāparānte	SAKA-praNayanam ca dvApara-ante
   bhāvipuruṣaśaktiparikṣayādvedavṛkṣaikadeśoddharaṇam /	BAvi-puruza-Sakti-parikzayAt-veda-vRkza-eka-deSa-udDaraNam /
   etena samākhyā nirvyūḍhā, pravacanaviṣayatvāt //	etena samAKyA nirvyUXA, pravacana-vizaya-tvAt //
   idaṃ ca sarvaṃ prasādhitaṃ prajñāparitrāṇe--- "yādṛkprabhāvāḥ śrūyante	idam ca sarvam prasADitam prajQA-paritrANe-- "yAdRS-praBAvAH SrUyante
   ṛṣyādyā vedarāśiṣu /	Rzi-AdyAH veda-rASizu /
   tādṛśā eva sṛjyante vedān dṛṣṭvā svayaṃbhuvā //	tAdRSAH eva sRjyante vedAn dRzwvA svayaMBuvA //
   atastebhyaḥ purā vedasattvād vedasya nityatā /	atas-teByaH purA veda-sattvAt vedasya nitya-tA /
   anadhītyaiva vedānāmāvirbhāvayitṛtvataḥ //	anaDItya-eva vedAnAm-AvirBAvayitR-tvataH //
   tapasā prāppaya saṃskārāt tatsūktatvādisaṃbhavaḥ /	tapasA prAppaya saMskArAt tad-sUkta-tva-Adi-saMBavaH /
   tapaḥprabhāvānmatrāṇāmṛṣidarśanasaṃskṛteḥ //	tapaH-praBAvAt-matrANAm-Rzi-darSana-saMskRteH //
   śaktirādhīyate kācidyathāsmākamadhītitaḥ /	SaktiH-ADIyate kAcid-yaTA-asmAkam-aDItitaH /
   arthāvabodhakatvaṃ tu śabdaśaktyānyaśabdavat //	arTa-avaboDaka-tvam tu Sabda-SaktyA-anya-Sabda-vat //
   ṛṣidarśanatodhīteparapi śaktyantarodbhavaḥ /	Rzi-darSana-toDIta-Iparapi Sakti-antara-udBavaH /
   apūrvakāryaniṣpattāvupakuryādidaṃ tataḥ //	apUrva-kArya-nizpattO=-upakuryAt-idam tatas //
   kāṭhakādisamākhyāyā nimittaṃ cedameva vā /	kAWaka-Adi-samAKyAyAH nimittam ca-idam-eva vA /
   prakṛṣṭaṃ vā pravacanaṃ tatsiddhā vedanityatā" //	prakRzwam vA pravacanam tad-sidDAH veda-nityatA" //
   iti //	iti //
   nyā. pa. śa. 27 varṇānityatvaṃ kramānityatā vā	nyA. pa. Sa. 27 varNa-anitya-tvam krama-anitya-tA vA
   nābhimatavedanityatvavirodhi /	na-aBimata-veda-nitya-tva-viroDi /
   na ca varṇanityatvaṃ vedanityatvahetuḥ, kāvyādiṣvapi tulyatvāt /	na ca varNa-nitya-tvam veda-nitya-tva-hetuH, kAvya-Adizu-api tulya-tvAt /
   śabdādhikaraṇaṃ cānupayuktavarṇānityatvaparaṃ nānumanyāmahe /	Sabda-aDikaraNam ca-anupayukta-varNa-anitya-tva-param na-anumanyAmahe /
   śārīrakadevatānadhikaraṇe ca--- "śabda iti cenna, ataḥ prabhavāt	SArIraka-devatA-naDikaraNe ca-- "SabdaH iti ced-na, atas praBavAt-
   pratyakṣānumānābhyām /	pratyakza-anumAnAByAm /
   ata eva ca nityatvam /	atas eva ca nitya-tvam /
   samānanāmarūpatvācca, āvṛttāvapyavirodho darśanāt, smṛteśca" iti	samAna-nAma-rUpa-tvAt-ca, AvRttO=-api-aviroDaH darSanAt, smRteH-ca" iti
   sūtrairidaṃ sarvaṃ samarthitam //	sUtrEH-idam sarvam samarTitam //
   nyā. pa. śa. 28 vedārthasaṅgahe tu---vedāḥ pramāṇaṃ cet,	nyA. pa. Sa. 28 veda-arTa-saFgahe tu---vedAH pramANam ced-,
   vidhyarthavādamantrāgataṃ sarvamapūrvamarthajātaṃ yathāvasthitameva	viDi-arTa-vAda-mantra-Agatam sarvam-apUrvam-arTa-jAtam yaTA-avasTitam-eva
   bodhayanti /	boDayanti /
   prāmāṇyaṃ ca vedānām 'autpattikastu śabdasyārtthena saṃbandhaḥ' ityuktam"	prAmANyam ca vedAnAm aOtpattikaH-tu Sabdasya-ArtTena saMbanDaHa iti-uktam"
   iti mantrārthavādayorapi yāthārthyaṃ prakramya, śabdaśakterasāṅketikatvam,	iti mantra-arTa-vAdayoH-api yATArTyam prakramya, Sabda-SakteH-asa-aFketika-tvam,
   tata eva śabdānumānavivekaḥ pauruṣeyāpauruṣeyādivibhāgādikaṃ ca vyaktaṃ	tatas eva Sabda-anumAna-vivekaH pOruzeya-apOruzeya-Adi-viBAga-Adikam ca vyaktam
   pradarśitam /	pradarSitam /
   tathāhi---yathā agnijalādīnāmauṣṇyādiśaktiyogaḥ svābhāvikaḥ; yathā	taTA-hi---yaTA agni-jala-AdInAm-OzNya-Adi-Sakti-yogaH svABAvikaH; yaTA
   cakṣurādīnāmindriyāṇāṃ buddhijanakatvaśaktiḥ svābhāvikī, tathā śabdasyāpi	cakzuH-AdInAm-indriyANAm budDi-janaka-tva-SaktiH svABAvikI, taTA Sabdasya-api
   bodhakatvaśaktiḥ svābhāvikī /	boDaka-tva-SaktiH svABAvikI /
   na ca hastaceṣṭādivat saṅketamūlaṃ śabdasya bodhakatvamiti vaktuṃ yuktam,	na ca hasta-cezwA-Adi-vat saFketa-mUlam Sabdasya boDaka-tvam-iti vaktum yuktam,
   avanādyanusandhānāvicchedepi saṅketayitṛpuruṣājñānāt /	avana-Adi-anusanDAna-avicCedepi saFketayitR-puruza-ajQAnAt /
   yāni saṅketamūlāni, tāni sarvāṇi sākṣādvā paramparayā vā vijñāyante /	yAni saFketa-mUlAni, tAni sarvANi sAkzAt-vA paramparayA vA vijQAyante /
   na ca devadattādiśabdavat kalpayituṃ yuktam; teṣu sākṣādvā paramparayāṃ vā	na ca devadatta-Adi-Sabda-vat kalpayitum yuktam; tezu sAkzAt-vA paramparayAm vA
   saṃketo jñāyate /	saMketaH jQAyate /
   gavādiśabdānāṃ tu anādyamusandhānāvicchedepi saṃketājñānādeva	gavA-Adi-SabdAnAm tu anAdyam-usanDAna-avicCedepi saMketa-ajQAnAt-eva
   bodhakatvaśaktiḥ svābhāvikī /	boDaka-tva-SaktiH svABAvikI /
   agnyādīnāmauṣṇyādiśaktivadindriyāṇāṃ bodhakatvaśaktivaccaśabdasyāpi	agni-AdInAm-OzNya-Adi-Sakti-vat-indriyANAm boDaka-tva-Sakti-vat-ca-Sabdasya-api
   bodhakatvaśaktiravaśyāśrayaṇīyā //	boDaka-tva-SaktiH-avaSya-ASrayaNIyAH //
   nyā. pa. śa. 29 nanu ca indriyavacchabdasyāpi bodhakatvaṃ svābhāvikaṃ cet,	nyA. pa. Sa. 29 nanu ca indriya-vat-Sabdasya-api boDaka-tvam svABAvikam ced-,
   saṃbandhagrahaṃ bodhakatvāya kimityapekṣate ?; liṅgavadityucyate; yathā	saMbanDa-graham boDaka-tvAya kim-iti-apekzate ?; liFga-vat-iti-ucyate; yaTA
   jñātasaṃbandhaniyamaṃ dhūmādi agnyādibuddhijanakam, tathā	jQAta-saMbanDa-niyamam DUma-Adi agni-Adi-budDi-janakam, taTA
   jñātasaṃbandhaniyamaḥ śabdopyarthaviśeṣabuddhijanakaḥ /	jQAta-saMbanDa-niyamaH Sabda-upyarTa-viSeza-budDi-janakaH /
   evaṃ tarhi śabdopyarthaviśeṣasya liṅgamityanumānameva syāt; maivam;	evam tarhi Sabda-upyarTa-viSezasya liFgam-iti-anumAnam-eva syAt; mA-evam;
   śabdārthayoḥ saṃbandho bodhyabodhakabhāva eva /	Sabda-arTayoH saMbanDaH boDya-boDaka-BAvaH eva /
   dhūmādīnāṃ tu saṃbandhāntaramiti, tasya saṃbandhasya jñāpanadvāreṇa	DUma-AdInAm tu saMbanDa-antaram-iti, tasya saMbanDasya jQApana-dvAreNa
   buddhijanakatvamiti viśeṣaḥ /	budDi-janaka-tvam-iti viSezaH /
   evaṃ gṛhītasaṃbandhasya bodhakatvadarśanādanādyanusaṃdhānāvicchedepi	evam gRhIta-saMbanDasya boDaka-tva-darSanAt-anAdi-anusaMDAna-avicCedepi
   saṃṅketājñānāt bodhakatvavaṃ śaktireveti niścīyate //	saMFketa-ajQAnAt boDaka-tvavam SaktiH-eva-iti niScIyate //
   evaṃ bodhakānāṃ padasaṃghātānāṃ saṃsargaviśeṣabodhakatvena	evam boDakAnAm pada-saMGAtAnAm saMsarga-viSeza-boDaka-tvena
   vākyaśabdābhidheyānāmuccāraṇakramo yatra puruṣabuddhipūrvakaḥ, te	vAkya-Sabda-aBiDeyAnAm-uccAraNa-kramaH yatra puruza-budDi-pUrvakaH, te
   pauruṣeyāḥ śabdāḥ ityucyante /	pOruzeyAH SabdAH iti-ucyante /
   yatra tūccāraṇakramaḥ pūrvapūrvoccāraṇakramajanitasaṃskārapūrvakaḥ	yatra tu-uccAraNa-kramaH pUrva-pUrva-uccAraNa-krama-janita-saMskAra-pUrvakaH
   sarvadā, apauruṣeyāste vedāḥ ityucyante /	sarvadA, apOruzeyAH-te vedAH iti-ucyante /
   etadeva vedānāmapauruṣeyatvaṃ nityatvaṃ ca, yat	etat-eva vedAnAm-apOruzeya-tvam nitya-tvam ca, yat-
   pūrvoccāraṇakramajanitasaṃskāreṇa kramaviśeṣaṃ smṛtvā tenaiva	pUrva-uccAraNa-krama-janita-saMskAreNa krama-viSezam smRtvA tena-eva
   krameṇoccāryatvam /	krameNa-uccArya-tvam /
   tenānupūrvīviśeṣeṇa tameva saṃsthitā akṣararāśayo vedā	tena-AnupUrvI-viSezeNa tam-eva saMsTitAH akzara-rASayaH vedAH-
   ṛgyajuḥsāmātharvabhedena bhinnāḥ anantaśākhā vartanta iti //	Rc-yajuH-sAma-aTarva-Bedena BinnAH ananta-SAKAH vartante iti //
   nyā. pa. śa. 30 atrāṅgirasānuktiratharvānupraveśavivakṣayā /	nyA. pa. Sa. 30 atra-AFgirasa-anukti-raTarvA-anupraveSa-vivakzayA /
   evaṃ trivedīvyapadeśepi vivakṣābhedo grāhyaḥ /	evam tri-vedI-vyapadeSa-Ipi vivakzA-BedaH grAhyaH /
   sarvopyasau punarmantrārthavādādirūpeṇa trividhaḥ /	sarva-upyasO punar-mantra-arTa-vAda-Adi-rUpeNa triviDaH /
   tatra prāmāṇikamantravyavahāraviṣayo mantraḥ /	tatra prAmANika-mantra-vyavahAra-vizayaH mantraH /
   sa cānuṣṭheyārthaprakāśanādinopakāroti /	sa ca-anuzWeya-arTa-prakASana-AdinA-upakAroti /
   na cedameva tallakṣaṇam, "vasantāya" ityevamādyavyāpteḥ /	na ca-idam-eva tad-lakzaNam, "vasantA-aya" iti-evamAdi-avyApteH /
   "vasantāya kapiñjalānālabhante" ityādayastu mantrā api vidhiparā eva	"vasantAya kapiQjala-anAla-Bante" iti-AdayaH-tu mantrAH api viDi-parAH eva
   mīmāṃsitāḥ /	mImAMsitAH /
   sakila mantraḥ kriyamāṇānuvādistotraśastrajapyādibhedabhinnaḥ /	sakila mantraH kriyamANa-anuvAdi-stotra-Sastra-japya-Adi-Beda-BinnaH /
   paiśācamāgadhāditattadbhāṣāmantrāṇāṃ phalapradatve tattadbījajātyādikaṃ	pESAca-mAgaDa-Adi-tad-tad-BAzA-mantrANAm Pala-pradatve tad-tad-bIja-jAti-Adikam
   nidānam /	nidAnam /
   śraddheyadevatānāmāṅkamātraṃ tu na tadakṣaraśaktipratibandhakam;	SradDeya-devatA-nAma-aFka-mAtram tu na tad-akzara-Sakti-pratibanDakam;
   kṣiprakṣudraphalaprakāśanena vipralambhārthaṃ tathaiveśvarādibhiḥ sṛṣṭam /	kzipra-kzudra-Pala-prakASanena vipralamBa-arTam taTA-eva-ISvara-AdiBiH sRzwam /
   garuḍādināmāṅkabhāṣāmantreṣu tu tattaddevatāsmṛtyupakārakatvamapyasti /	garuxa-Adi-nAma-aFka-BAzA-mantrezu tu tat-tad-devatA-smRti-upakAraka-tvam-api-asti /
   etena mantravyākaraṇaṃ nirvyūḍham /	etena mantra-vyAkaraNam nirvyUXam /
   ye tu saptakoṭayo mahāmantrāḥ ityāptaśāstrapratiṣṭhitāḥ, te tu	ye tu sapta-kowayaH mahA-mantrAH iti-Apta-SAstra-pratizWitAH, te tu
   praṇavayogāyogādibhirvaidikāḥ tāntrikāḥ iti vibhajyante /	praNava-yoga-ayoga-AdiBiH-vEdikAH tAntrikAH iti viBajyante /
   tatra śūdrādhikāratvasidhyarthaṃ tāntrikaparibhāṣā; na punaravaidikatayā,	tatra SUdra-aDikAra-tva-siDi-arTam tAntrika-pariBAzA; na punar-avEdikatayA,
   śrautasmārtādibhedavyapadeśavat pramāṇasiddhatvāviśeṣāt /	SrOta-smArta-Adi-Beda-vyapadeSa-vat pramANa-sidDa-tva-aviSezAt /
   sarveṣāṃ ca mantrāṇāṃ sadvārakamadvārakaṃ ca paramātmaiva pratipādyaḥ	sarvezAm ca mantrANAm sa-dvArakam-advArakam ca paramAtmA-eva pratipAdyaH
   phalapradaśca /	Pala-pradaH-ca /
   sadvārakeṣu tāvat viniyogabhedād bahudhābrahmaṇi paryavasānam /	sa-dvArakezu tAvat viniyoga-BedAt bahuDA-brahmaNi paryavasAnam /
   tattaddevaśarīratvāt tattadaṃśatayā sthiteḥ /	tat-tad-deva-SarIra-tvAt tad-tad-aMSa-tayA sTiteH /
   aindṣādinyāyataścaiṣāṃ sarveṣāmīśvare sthitiḥ //	Endza-Adinya-AyataH-ca-ezAm sarvezAm-ISvare sTitiH //
   nyā. pa. śa. 31 vidhyadhīnapravṛttyuttambhakavākyaviśeṣo hyarthavādaḥ /	nyA. pa. Sa. 31 viDi-aDIna-pravRtti-uttamBaka-vAkya-viSezaH hi-arTa-vAdaH /
   so 'pi pratyakṣādyaviruddhe svārthe pramāṇam, svataḥ prāmāṇyasyānapāyāt /	saH api pratyakza-Adi-avirudDe sva-arTe pramANam, svatas prAmANyasya-anapAyAt /
   yatra virodhadhīḥ, tatrāpyaviruddhārthopacāreṇa tatprāmāṇyam /	yatra viroDa-DIH, tatra-api-avirudDa-arTa-upacAreNa tad-prAmANyam /
   sa ca kvācid vidhyekavākyatayā pramāṇībhavatītyarthavādādhikaraṇādiṣu	sa ca kvAcid viDi-eka-vAkya-tayA pramANIBavati-iti-arTa-vAda-aDikaraNa-Adizu
   sthāpitam /	sTApitam /
   svataḥ prayojanabhūtārthaviśeṣaviṣayastu svatantratayāpi prāmāṇyaṃ	svatas prayojana-BUta-arTa-viSeza-vizayaH-tu svatantra-tayA-api prAmANyam
   prāpnotīti samanvayasūtrasiddham /	prApnoti-iti samanvaya-sUtra-sidDam /
   tatprāptyabhilāṣe tu tadupāyavākyapravṛttiḥ /	tad-prApti-aBilAze tu tad-upAya-vAkya-pravRttiH /
   sa caturdhā---nindāpraśaṃsāparakṛtipurākalpabhedāt /	sa catur-DA----nindA-praSaMsA-para-kRti-purA-kalpa-BedAt /
   niṣedhādiśeṣabhūto niṣedhyādidoṣavādotra nindā /	nizeDa-Adi-Seza-BUtaH nizeDya-Adi-doza-vAda-utra nindA /
   vidhyādiśeṣabhūto vidheyādiguṇavādaḥ praśaṃsā /	viDi-Adi-Seza-BUtaH viDeya-Adi-guNa-vAdaH praSaMsA /
   ekānubandhī kathāviśeṣaḥ parakṛtiḥ /	eka-anubanDI kaTA-viSezaH para-kRtiH /
   anekānubandhī tu purākalpaḥ //	aneka-anubanDI tu purAkalpaH //
   nyā. pa. śa. 32 hitānuśāsanarūpaṃ vākyamiha vidhiḥ /	nyA. pa. Sa. 32 hita-anuSAsana-rUpam vAkyam-iha viDiH /
   sa ca bahuvidhaḥ--- nityanaimittikakāmyasaṃvalitavidhiniṣedhādibhedāt /	sa ca bahuviDaH-- nitya-nEmittika-kAmya-saMvalita-viDi-nizeDa-Adi-BedAt /
   niyamaparisaṃkhye api vidhibhedāveva /	niyama-parisaMKye api viDi-BedO=-eva /
   tatraivaṃ vivekaḥ--- aprāptasya vidhau prāptirniyame prāptapūraṇam /	tatra-evam vivekaH-- aprAptasya viDO prAptiH-niyame prApta-pUraNam /
   bādhastu parisaṃkhyāyāṃ prāptasyaivaikadeśataḥ //	bADaH-tu parisaMKyAyAm prAptasya-eva-eka-deSataH //
   nyā. pa. śa. 33 athātra ko nāma liṅādipratyayārthaḥ ? na tāvadapūrvam,	nyA. pa. Sa. 33 aTa-atra kaH nAma liFA-Adi-pratyaya-arTaH ? na tAvat-apUrvam,
   tasmin pramāṇāntarāgocare vyutpattyayogāt, tadgocaratve tu	tasmin pramANa-antara-agocare vyutpatti-ayogAt, tad-gocara-tve tu
   apūrvatvavyāghātāt, liṅādibodhite vyutpattāvitaretarāśrayaprasaṅgāt /	apUrva-tva-vyAGAta-at, liFa-Adi-boDite vyutpattO=-itaretara-ASraya-prasaFgAt /
   vimarśataḥ siddhiḥ syāditi cenna, vimarśasya	vimarSataH sidDiH syAt-iti ced-na, vimarSasya
   smṛtyanubhavātiriktasyānamyupagamāt, kriyākāryevyutpannasya	smRti-anuBava-atiriktasya-anami-upagamAt, kriyA-kAryevI-utpannasya
   cānvayāyogyatāyāmapi lakṣaṇādibhireva nirbāhyatvāt,	ca-anvayA-yogya-tAyAm-api lakzaNa-AdiBiH-eva nirbAhya-tvAt,
   abhidhānānyathākaraṇāyogāt, prathamavyutpatterapi sarvatra kārya eveti	aBiDAnAni-aTa-akaraNa-ayoga-at, praTama-vyutpatteH-api sarvatra kAryaH eva-iti
   niyamābhāvāt /	niyama-aBAvAt /
   tathā---gāmānayetyādiprayojakavṛddhavākyaśravaṇasamanantaraṃ gavānayane	taTA-a---gAmAnaya-iti-Adi-prayojaka-vRdDa-vAkya-SravaNa-samanantaram gavAnayane
   pravṛttaṃ puruṣamālokya pārśvastho vyutpitsuścetanapravṛtteḥ	pravRttam puruzam-Alokya pArSva-sTaH vyutpitsuH-cetana-pravRtteH
   kāryatābuddhipūrvakatvāt prayojyavṛddhakāryatābuddheśca	kArya-tA-budDi-pUrvaka-tvAt prayojya-vRdDa-kArya-tA-budDeH-ca
   kāraṇāntarādarśanāt yadanantaraṃ yat dṛśyate tattasya kāraṇamiti	kAraNa-antara-adarSanAt yat-anantaram yat dRSyate tat-tasya kAraNam-iti
   prayojakavṛddhavākyameva prayojyavṛddhakāryatābuddheḥ	prayojaka-vRdDa-vAkyam-eva prayojya-vRdDa-kArya-tA-budDeH
   kāraṇamityadhyavasyati /	kAraNam-iti-aDyavasyati /
   tathā kasyacit 'putraste jātaḥ' iti kenacidukte	taTA kasyacid aputraH-te jAtaHa iti kenacid-ukte
   pratipannaputrotpattestasya priyatvaṃ ca jñāyate /	pratipanna-putra-utpatteH-tasya priya-tvam ca jQAyate /
   vyutpitsuḥ putrajanmavākyaśrāviṇaḥ puruṣasya mukhavikāsamālokya tasya	vyutpitsuH putra-janma-vAkya-SrAviNaH puruzasya muKa-vikAsam-Alokya tasya
   priyārthapratiprattinimittatvānumānāt tatpratīteśca kāraṇāntarādarśanāt	priya-arTa-pratipratti-nimitta-tva-anumAnAt tad-pratIteH-ca kAraNa-antara-adarSanAt-
   putrajanamavākyameva kāraṇaṃ kalpayati /	putra-janam-avAkyam-eva kAraNam kalpayati /
   na ca putrajanmanaḥ priyatvaṃ bālenājñātamiti vācyam,	na ca putra-janmanaH priya-tvam bAlena-ajQAtam-iti vAcyam,
   prajñātaputrajanmanastasya prauḍhasya bhāṣāntaravat prathamavyutpattāvevaṃ	prajQAta-putra-janmanaH-tasya prOXasya BAzA-antara-vat praTama-vyutpattO=-evam
   saṃbhavāt, nodāharaṇamādaraṇīyamiti ca nyāyavidaḥ //	saMBavAt, na-udAharaNam-AdaraNIyam-iti ca nyAya-vidaH //
   nyā. pa. śa. 34 tataśca ye bālānāṃ priyatvena saṃpratipannā	nyA. pa. Sa. 34 tatas-ca ye bAlAnAm priya-tvena saMpratipannA
   bhakṣyabhojyādayaḥ, taddarśī vyutpitsustatsaṃpattiśrāviṇaḥ puruṣasya	Bakzya-Bojya-AdayaH, tad-darSI vyutpitsuH-tad-saMpatti-SrAviNaH puruzasya
   mukhavikāsadarśanādiprakriyayā vyutpadyata iti kiṃ nopapadyate ?	muKa-vikAsa-darSana-Adi-prakriyayA vyutpadyate iti kim na-upapadyate ?
   priyāntarasmṛtyādibhirapi mukhe vikāsaḥ saṃbhavatīti cet, tathaiva svayaṃ	priya-antara-smRti-AdiBiH-api muKe vikAsaH saMBavati-iti cet, taTA-eva svayam
   tadadhīnaprayojanāntarasmaraṇādināpi gavānayanakartavyatābodhaḥ saṃbhavet	tad-aDIna-prayojana-antara-smaraNa-AdinA-api gavAnayana-kartavyatA-boDaH saMBavet-
   āsatti viśeṣavaśādanekaprayogānugateśca vyavastheti cet, tulyam /	Asatti viSeza-vaSAt-aneka-prayoga-anugateH-ca vyavasTA-iti cet, tulyam /
   tathāpi	taTA-api
   tattatpriyānubandhisulagnajanmasukhaprasavasvāduvāktvādiharṣahetvarthāntarasaṃbhāvanayā	tad-tad-priya-anubanDi-sulagna-janma-suKa-prasava-svAdu-vAc-tvA-Adi-harza-hetu-arTa-antara-saMBAvanayA
   viśeṣo durniścayaḥ iti cenna, gavānayanepi	viSezaH durniScayaH iti ced-na, gavAn-ayanepi
   vatsasaṃyojanakṣīrasaṃpādanādikartavyatābodhakepi vākye	vatsa-saMyojana-kzIra-saMpAdana-Adi-kartavyatA-boDakepi vAkye
   tadarthagavānayanasaṃbhavād gāmānametyādivākyaṃ	tad-arTa-gavAnayana-saMBavAt gAmAnam-etyAdi-vAkyam
   gavānayanakartavyataikabodhakamiti kathaṃ niścinuyāt ?	gavAnayana-kartavyatA-eka-boDakam-iti kaTam niScinuyAt ?
   anvayavyatirekamahimavaśād dṛṣṭānugrahācceti cet, tulyam /	anvaya-vyatireka-mahima-vaSAt dRzwa-anugrahAt-ca-iti cet, tulyam /
   tadevaṃ putrajanmavākyodāharaṇasamīkārasya mandamatīnāṃ durārohatvāt	tat-evam putra-janma-vAkya-udAharaNa-samIkArasya manda-matInAm durAroha-tvAt-
   tadupekṣaṇena spaṣṭataravyutpattiprakāro yādṛcchiko buddhipūrvaśca	tad-upekzaNena spazwatara-vyutpatti-prakAraH yAdRcCikaH budDi-pUrvaH-ca
   bhāṣyakārairdarśitaḥ; tadatra likhyate--- "evaṃ kila bālāḥ	BAzya-kArEH-darSitaH; tat-atra liKyate-- "evam kila bAlAH
   śabdārthasaṃbandhamavadhārayanti; mātāpitṛprabhṛtibhirambātātamātulādīn	Sabda-arTa-saMbanDam-avaDArayanti; mAtA-pitR-praBRtiBiH-ambA-tAta-mAtula-AdIn
