   agnau vahnir ivārpitaḥ GorS(1)_100b	agnO vahniH iva-arpitaH GorS(1)_100b
   chrama-jātena vāriṇā GorS(2)_53 (=1|50)b	Crama--jAtena vAriNA GorS(2)_53 (=1|50)b
   japed oṅkāram avyayam GorS(2)_83d	japet oFkAram avyayam GorS(2)_83d
   jāyate nāḍi-śodhanāt GorS(2)_101d	jAyate nAxi--SoDanAt GorS(2)_101d
   jāyate paramaṃ padam GorS(2)_4d	jAyate paramam padam GorS(2)_4d
   jālandhare kṛte bandhe GorS(1)_36a	jAlanDare kRte banDe GorS(1)_36a
   jālandhare kṛte bandhe GorS(2)_80 (=1|36, HYP 3.72)a	jAlanDare kRte banDe GorS(2)_80 (=1|36, HYc 3.72)a
   jihvā carati khe gatā GorS(2)_67 (=HYP 3.41)b	jihvA carati Ke gatA GorS(2)_67 (=HYc 3.41)b
   jīvo japati sarvadā GorS(2)_42d	jIvaH japati sarvadA GorS(2)_42d
   jīvo japati sarvadā GorS(2)_43d	jIvaH japati sarvadA GorS(2)_43d
   jñātavyaṃ karaṇaṃ tatra GorS(1)_58c	jQAtavyam karaNam tatra GorS(1)_58c
   jñātavyaṃ yogibhiḥ sadā GorS(1)_19d	jQAtavyam yogiBiH sadA GorS(1)_19d
   jñātavyaṃ yogibhiḥ sadā GorS(2)_28 (=1|19)d	jQAtavyam yogiBiH sadA GorS(2)_28 (=1|19)d
   jñānāmoda-mahodadhiḥ samabhavad yatrādināthaḥ svayaṃ GorS(2)_2c	jQAna-Amoda--mahA-udaDiH samaBavat yatra-Adi-nATaH svayam GorS(2)_2c
   taḍil-lekheva visphurat GorS(1)_13b	taxil--leKA-iva visPurat GorS(1)_13b
   taḍil-lekheva visphurat GorS(2)_20 (=1|13)b	taxil--leKA-iva visPurat GorS(2)_20 (=1|13)b
   tataḥ prāṇaṃ nibandhayet GorS(1)_38d	tatas prANam nibanDayet GorS(1)_38d
   tataḥ prāṇo'bhidhīyate GorS(1)_40d	tatas prANaH-aBiDIyate GorS(1)_40d
   tataḥ prāṇo'bhidhīyate GorS(2)_94 (=1|40)d	tatas prANaH-aBiDIyate GorS(2)_94 (=1|40)d
   tataḥ śivena pīṭhānāṃ GorS(1)_6c	tatas Sivena pIWAnAm GorS(1)_6c
   tataḥ śivena pīṭhānāṃ GorS(2)_9 (=1|6)c	tatas Sivena pIWAnAm GorS(2)_9 (=1|6)c
   tato jālandharo bandhaḥ GorS(2)_79 (=HYP 3.71)c	tatas jAlanDaraH banDaH GorS(2)_79 (=HYc 3.71)c
   tato mudrāṃ visarjayet GorS(2)_60 (=HYP 3.15)d	tatas mudrAm visarjayet GorS(2)_60 (=HYc 3.15)d
   tato vāyuṃ nibandhayet GorS(1)_39d	tatas vAyum nibanDayet GorS(1)_39d
   tato vāyuṃ nirodhayet GorS(2)_90 (=1|39, HYP 2.2)d	tatas vAyum niroDayet GorS(2)_90 (=1|39, HYc 2.2)d
   tato vāyuṃ nirodhayet GorS(2)_91 (=HYP 2.3)d	tatas vAyum niroDayet GorS(2)_91 (=HYc 2.3)d
   tato vāyuṃ nirodhayet GorS(2)_93d	tatas vAyum niroDayet GorS(2)_93d
   tat tu dhyānaṃ pracakṣate GorS(1)_76d	tat tu DyAnam pracakzate GorS(1)_76d
   tattvam ātmābhidhīyate GorS(1)_89d	tattvam AtmA-aBiDIyate GorS(1)_89d
   tattvaṃ tattvavido viduḥ GorS(1)_92d	tattvam tattva-vidaH viduH GorS(1)_92d
   tattvaṃ saṃsthitam anyathā GorS(1)_90b	tattvam saMsTitam anyaTA GorS(1)_90b
   tat paraṃ jyotir om iti GorS(2)_84d	tat param jyotiH om iti GorS(2)_84d
   tat paraṃ jyotir om iti GorS(2)_85d	tat param jyotiH om iti GorS(2)_85d
   tat paraṃ jyotir om iti GorS(2)_86d	tat param jyotiH om iti GorS(2)_86d
   tat paraṃ jyotir om iti GorS(2)_87d	tat param jyotiH om iti GorS(2)_87d
   tat paraṃ jyotir om iti GorS(2)_88d	tat param jyotiH om iti GorS(2)_88d
   tat-pratyāharaṇaṃ tasya GorS(1)_55c	tat--pratyAharaNam tasya GorS(1)_55c
   tatra nāḍyaḥ samutpannāḥ GorS(1)_16c	tatra nAxyaH samutpannAH GorS(1)_16c
   tatra nāḍyaḥ samutpannāḥ GorS(2)_25 (=1|16)c	tatra nAxyaH samutpannAH GorS(2)_25 (=1|16)c
   tatra bandho vidhīyate GorS(2)_78d	tatra banDaH viDIyate GorS(2)_78d
   tatrādyena sadā-śivena sahitaṃ śāntaṃ ha-kārākṣaram GorS(1)_73b	tatra-Adyena sadA-Sivena sahitam SAntam ha-kAra-akzaram GorS(1)_73b
   tat-samādhir ataḥ param GorS(1)_93d	tat-samADiH atas param GorS(1)_93d
   tathā jīvo na tiṣṭhati GorS(2)_38 (=1|27)d	taTA jIvaH na tizWati GorS(2)_38 (=1|27)d
   tathā jīvo'nukṛṣyate GorS(1)_27d	taTA jIvaH-anukRzyate GorS(1)_27d
   tathā somakalā-pūrṇaṃ GorS(1)_66c	taTA soma-kalA--pUrNam GorS(1)_66c
   tadā sama-rasaikatvaṃ GorS(1)_94c	tadA sama-rasa-eka-tvam GorS(1)_94c
   tadaiva jāyate yogī GorS(2)_95c	tadA-eva jAyate yogI GorS(2)_95c
   tad yogī gaganāyate GorS(1)_42d	tat yogI gaganAyate GorS(1)_42d
   tantunā maṇivat proto GorS(1)_15a	tantunA maNi-vat protaH GorS(1)_15a
   tantunā maṇivat proto GorS(2)_23 (=1|15)a	tantunA maNi-vat protaH GorS(2)_23 (=1|15)a
   tan-nābhi-maṇḍalaṃ cakraṃ GorS(1)_15c	tan--nABi--maNxalam cakram GorS(1)_15c
   tan-nābhi-maṇḍalaṃ cakraṃ GorS(2)_23 (=1|15)c	tan--nABi--maNxalam cakram GorS(2)_23 (=1|15)c
   tan-madhye procyate yoniḥ GorS(1)_11c	tan--maDye procyate yoniH GorS(1)_11c
   tan-madhye procyate yoniḥ GorS(2)_18 (=1|11)c	tan--maDye procyate yoniH GorS(2)_18 (=1|11)c
   tapta-kāñcana-sannibham GorS(1)_78b	tapta--kAQcana--sanniBam GorS(1)_78b
   tapta-cāmīkarābhāsaṃ GorS(1)_13a	tapta--cAmIkara-ABAsam GorS(1)_13a
   tapta-cāmīkarābhāsaṃ GorS(2)_20 (=1|13)a	tapta--cAmIkara-ABAsam GorS(2)_20 (=1|13)a
   tayor aikyaṃ sudurlabham GorS(2)_73d	tayoH Ekyam su-durlaBam GorS(2)_73d
   tayoḥ samarasaikatvaṃ GorS(2)_76c	tayoH samarasa-eka-tvam GorS(2)_76c
   taruṇāditya-saṃkāśaṃ GorS(1)_80a	taruNa-Aditya--saMkASam GorS(1)_80a
   tava bandho'bhidhīyate GorS(2)_77 (=HYP 3.56)d	tava banDaH-aBiDIyate GorS(2)_77 (=HYc 3.56)d
   tasmin dṛṣṭe mahā-yoge GorS(2)_21c	tasmin dRzwe mahA-yoge GorS(2)_21c
   tasya doṣāḥ kṣayaṃ yānti GorS(2)_62 (=HYP 3.17)c	tasya dozAH kzayam yAnti GorS(2)_62 (=HYc 3.17)c
   tālumūle ca candramāḥ GorS(1)_57d	tAlu-mUle ca candramAH GorS(1)_57d
   tāvaj jīvanam ucyate GorS(2)_91 (=HYP 2.3)b	tAvat jIvanam ucyate GorS(2)_91 (=HYc 2.3)b
   tāvaj jīvo bhramaty eva GorS(2)_24c	tAvat jIvaH Bramati eva GorS(2)_24c
   tāvat kāla-bhayaṃ kutaḥ GorS(2)_70b	tAvat kAla-Bayam kutas GorS(2)_70b
   tāvat kāla-bhayaṃ kutaḥ GorS(2)_92 (=HYP 2.40)d	tAvat kAla-Bayam kutas GorS(2)_92 (=HYc 2.40)d
   tāvad eva smṛtaṃ dhyānaṃ GorS(1)_93c	tAvat eva smRtam DyAnam GorS(1)_93c
   tāvad bindur na gacchati GorS(2)_70d	tAvat binduH na gacCati GorS(2)_70d
   tiṣṭhanti daśa nāḍikāḥ GorS(1)_22d	tizWanti daSa nAxikAH GorS(1)_22d
   tiṣṭhanti daśa-nāḍikāḥ GorS(2)_31 (=1|22)d	tizWanti daSa--nAxikAH GorS(2)_31 (=1|22)d
   tisro nāḍya udāhṛtāḥ GorS(1)_23d	tisraH nAxyaH udAhRtAH GorS(1)_23d
   tisro nāḍya udāhṛtāḥ GorS(2)_32 (=1|23)b	tisraH nAxyaH udAhRtAH GorS(2)_32 (=1|23)b
   tisro mātrāḥ sthitā yatra GorS(2)_87c	tisraH mAtrAH sTitAH yatra GorS(2)_87c
   tṛtīyo yo bhavet tābhyāṃ GorS(1)_56c	tRtIyaH yaH Bavet tAByAm GorS(1)_56c
   tejo-repha-mayaṃ pravāla-ruciraṃ rudreṇa yat saṅgatam GorS(1)_71b	tejaH--rePa--mayam pravAla--ruciram rudreNa yat saFgatam GorS(1)_71b
   tenaiṣā khecarī nāma GorS(2)_67 (=HYP 3.41)c	tena-ezA KecarI nAma GorS(2)_67 (=HYc 3.41)c
   teṣu nāḍi-sahasreṣu GorS(1)_17a	tezu nAxi--sahasrezu GorS(1)_17a
   teṣu nāḍi-sahasreṣu GorS(2)_26 (=1|17)a	tezu nAxi--sahasrezu GorS(2)_26 (=1|17)a
   taila-varti ca dīpakaḥ GorS(1)_66b	tEla-varti ca dIpakaH GorS(1)_66b
   tyāgī yoga-parāyaṇaḥ GorS(2)_54 (=HYP 1.59)b	tyAgI yoga-parAyaNaH GorS(2)_54 (=HYc 1.59)b
   trayaḥ kālās trayo vedās GorS(2)_85a	trayaH kAlAH trayaH vedAH GorS(2)_85a
   trayo devāḥ sthitā yatra GorS(2)_85c	trayaH devAH sTitAH yatra GorS(2)_85c
   trayo lokās trayaḥ sverāḥ GorS(2)_85b	trayaH lokAH trayaH sverAH GorS(2)_85b
   trikoṇaṃ tat-puraṃ vahner GorS(2)_20 (=1|13)c	tri-koNam tat--puram vahneH GorS(2)_20 (=1|13)c
   tridhā baddho vṛṣo yatra GorS(1)_60a	triDA badDaH vRzaH yatra GorS(1)_60a
   tridhā śaktiḥ sthitā yatra GorS(2)_86c	triDA SaktiH sTitAH yatra GorS(2)_86c
   trilakṣaṃ vyoma-pañcakam GorS(2)_13b	tri-lakzam vyoma-paQcakam GorS(2)_13b
   dakṣiṇe hasti-jihvā ca GorS(1)_21a	dakziNe hasti-jihvA ca GorS(1)_21a
   dakṣiṇe hasti-jihvā ca GorS(2)_30 (=1|21)a	dakziNe hasti-jihvA ca GorS(2)_30 (=1|21)a
   dakṣiṇo śvāsam ākṛṣya GorS(2)_98 (=1|45)a	dakziNaH SvAsam AkRzya GorS(2)_98 (=1|45)a
   dakṣorūpari paścimena vidhinā dhṛtvā karābhyāṃ dṛḍham GorS(1)_9b	dakza-Uru-upari paScimena viDinA DRtvA karAByAm dRXam GorS(1)_9b
   dakṣorūpari paścimena vidhinā dhṛtvā karābhyāṃ dṛḍham GorS(2)_12 (=1|9)b	dakza-Uru-upari paScimena viDinA DRtvA karAByAm dRXam GorS(2)_12 (=1|9)b
   dahanī bhrāmaṇī tathā GorS(1)_74b	dahanI BrAmaNI taTA GorS(1)_74b
   dina-dvādaśakenaiva GorS(1)_96c	dina--dvAdaSakena-eva GorS(1)_96c
   dugdhe kṣīraṃ dhṛte sarpir GorS(1)_100a	dugDe kzIram DRte sarpiH GorS(1)_100a
   dṛśyate sphāṭiko maṇiḥ GorS(1)_91b	dRSyate sPAwikaH maNiH GorS(1)_91b
   devadatto dhanañjayaḥ GorS(1)_24d	devadattaH DanaQjayaH GorS(1)_24d
   devadatto dhanañjayaḥ GorS(2)_33 (=1|24)d	devadattaH DanaQjayaH GorS(2)_33 (=1|24)d
   devadatto vijṛmbhaṇe GorS(2)_35d	devadattaH vijRmBaNe GorS(2)_35d
   dehī dehaṃ na muñcati GorS(1)_66d	dehI deham na muQcati GorS(1)_66d
   dvayam evam udāhṛtam GorS(1)_89b	dvayam evam udAhRtam GorS(1)_89b
   dvayam eva viśiṣyate GorS(1)_7b	dvayam eva viSizyate GorS(1)_7b
   dvayam eva viśiṣyate GorS(2)_10 (=1|7)b	dvayam eva viSizyate GorS(2)_10 (=1|7)b
   dvādaśādhamake mātrā GorS(1)_48a	dvAdaSa-aDamake mAtrA GorS(1)_48a
   dvādaśāre mahā-cakre GorS(2)_24a	dvAdaSa-are mahA--cakre GorS(2)_24a
   dvija-sevita-śākhasya GorS(1)_3a	dvija--sevita--SAKasya GorS(1)_3a
   dvija-sevita-śākhasya GorS(2)_6 (=1|3)a	dvija--sevita--SAKasya GorS(2)_6 (=1|3)a
   dvitīyaṃ kamalāsanam GorS(1)_7d	dvitIyam kamalAsanam GorS(1)_7d
   dvitīyaṃ kamalāsanam GorS(2)_10 (=1|7)d	dvitIyam kamalAsanam GorS(2)_10 (=1|7)d
   dvidhā bhavati tad dhyānaṃ GorS(1)_77a	dviDA Bavati tat DyAnam GorS(1)_77a
   dvisaptatir udāhṛtāḥ GorS(1)_17b	dvisaptatiH udAhRtAH GorS(1)_17b
   dvisaptatir udāhṛtāḥ GorS(2)_26 (=1|17)b	dvisaptatiH udAhRtAH GorS(2)_26 (=1|17)b
   dhāraṇā ca vidhīyate GorS(1)_68d	DAraNA ca viDIyate GorS(1)_68d
   dhāraṇāṃ ca pṛthak pṛthak GorS(1)_68b	DAraNAm ca pRTak pRTak GorS(1)_68b
   dhāraṇāṃ ca samabhyaset GorS(1)_67d	DAraNAm ca samaByaset GorS(1)_67d
   dhāraṇāḥ pañca durlabhāḥ GorS(1)_75b	DAraNAH paQca durlaBAH GorS(1)_75b
   dhāraṇāḥ pañca-nāḍyas tu GorS(1)_96a	DAraNAH paQca-nAxyaH tu GorS(1)_96a
   dhārayitvā yathā-śakti GorS(1)_43c	DArayitvA yaTA-Sakti GorS(1)_43c
   dhārayitvā yathā-śakti GorS(2)_96 (=1|43)c	DArayitvA yaTA-Sakti GorS(2)_96 (=1|43)c
   dhṛtvā soma-kalā-jalam GorS(1)_63b	DRtvA soma-kalA--jalam GorS(1)_63b
   dhyātvā candramayaṃ bimbaṃ GorS(1)_44c	DyAtvA candra-mayam bimbam GorS(1)_44c
   dhyātvā candramaso bimbaṃ GorS(2)_97 (=1|44)c	DyAtvA candramasaH bimbam GorS(2)_97 (=1|44)c
   dhyātvā duḥkhād vimucyate GorS(1)_85d	DyAtvA duHKAt vimucyate GorS(1)_85d
   dhyātvā'nandamayo bhavet GorS(1)_84d	DyAtvA-ananda-mayaH Bavet GorS(1)_84d
   dhyātvā nābhi-sthitaṃ yogī GorS(1)_46c	DyAtvA nABi-sTitam yogI GorS(1)_46c
   dhyātvā nābhi-sthitaṃ yogī GorS(2)_99 (=1|46)c	DyAtvA nABi-sTitam yogI GorS(2)_99 (=1|46)c
   dhyātvā brahma-mayo bhavet GorS(1)_82d	DyAtvA brahma-mayaH Bavet GorS(1)_82d
   dhyātvā brahma-mayo bhavet GorS(1)_83d	DyAtvA brahma-mayaH Bavet GorS(1)_83d
   dhyātvā muñcati kilbiṣam GorS(1)_78d	DyAtvA muQcati kilbizam GorS(1)_78d
   dhyātvā muñcati pātakam GorS(1)_79d	DyAtvA muQcati pAtakam GorS(1)_79d
   dhyātvāmṛtamayīṃ devīṃ GorS(1)_64c	DyAtvA-amRta-mayIm devIm GorS(1)_64c
   dhyātvā saṃkṣobhayej jagat GorS(1)_80d	DyAtvA saMkzoBayet jagat GorS(1)_80d
   dhyāna-sthānāni yoginām GorS(1)_88b	DyAna--sTAnAni yoginAm GorS(1)_88b
   dhyānaṃ ca ṣaṣṭhi-nāḍikāḥ GorS(1)_96b	DyAnam ca zazWi-nAxikAH GorS(1)_96b
   dhyānaṃ samādhir etāni GorS(1)_4c	DyAnam samADiH etAni GorS(1)_4c
   dhyānaṃ samādhir etāni GorS(2)_7 (=1|4)c	DyAnam samADiH etAni GorS(2)_7 (=1|4)c
   dhruvaṃ yasyāvabodhena GorS(2)_4c	Druvam yasya-avaboDena GorS(2)_4c
   na gandhaṃ na rasaṃ rūpaṃ GorS(1)_97a	na ganDam na rasam rUpam GorS(1)_97a
   na ca mūrcchā bhavet tasya GorS(2)_65 (=HYP 3.39)c	na ca mUrcCA Bavet tasya GorS(2)_65 (=HYc 3.39)c
   na ca vāyuḥ prakupyati GorS(1)_36d	na ca vAyuH prakupyati GorS(1)_36d
   na ca vāyuḥ prakupyati GorS(2)_80 (=1|36, HYP 3.72)d	na ca vAyuH prakupyati GorS(2)_80 (=1|36, HYc 3.72)d
   na ca śīghraṃ vimocayet GorS(1)_51d	na ca SIGram vimocayet GorS(1)_51d
   na jahāti mṛtaṃ cāpi GorS(2)_36 (=1|25)a	na jahAti mRtam ca-api GorS(2)_36 (=1|25)a
   na tasya kṣarate binduḥ GorS(2)_69c	na tasya kzarate binduH GorS(2)_69c
   na deyā yasya kasyacit GorS(2)_63 (=HYP 3.18)d	na deyA yasya kasyacid GorS(2)_63 (=HYc 3.18)d
   na nidrā na kṣudhā tṛṣā GorS(2)_65 (=HYP 3.39)b	na nidrA na kzuDA tRzA GorS(2)_65 (=HYc 3.39)b
   na pīyūṣaṃ pataty agnau GorS(1)_36c	na pIyUzam patati agnO GorS(1)_36c
   na bhūtaṃ na bhaviṣyati GorS(2)_45d	na BUtam na Bavizyati GorS(2)_45d
   namaskṛtya guruṃ bhaktyā GorS(2)_3a	namaskRtya gurum BaktyA GorS(2)_3a
   namaskṛtya guruṃ śivam GorS(1)_41b	namaskRtya gurum Sivam GorS(1)_41b
   na rogo maraṇaṃ tandrā GorS(2)_65 (=HYP 3.39)a	na rogaH maraNam tandrA GorS(2)_65 (=HYc 3.39)a
   na sparśaṃ na ca niḥsvanam GorS(1)_97b	na sparSam na ca niHsvanam GorS(1)_97b
   na hi pathyam apathyaṃ vā GorS(2)_61 (=HYP 3.16)a	na hi paTyam apaTyam vA GorS(2)_61 (=HYc 3.16)a
   nāgaḥ kūrmaś ca kṛkaro GorS(1)_24c	nAgaH kUrmaH ca kRkaraH GorS(1)_24c
   nāgaḥ kūrmo'tha kṛkaro GorS(2)_33 (=1|24)c	nAgaH kUrmaH-aTa kRkaraH GorS(2)_33 (=1|24)c
   nāgādyāḥ pañca vikhyātāḥ GorS(1)_25a	nAga-AdyAH paQca viKyAtAH GorS(1)_25a
   nāḍī-cakraṃ malākulam GorS(2)_95b	nAxI-cakram mala-Akulam GorS(2)_95b
   nātra kāryā vicāraṇā GorS(2)_54 (=HYP 1.59)d	na-atra kAryA vicAraNA GorS(2)_54 (=HYc 1.59)d
   nādābhivyaktir ārogyaṃ GorS(2)_101c	nAda-aBivyaktiH Arogyam GorS(2)_101c
   nādhikaṃ stambhayed vāyuṃ GorS(1)_51c	na-aDikam stamBayet vAyum GorS(1)_51c
   nābhideśe bhavaty eko GorS(1)_57a	nABi-deSe Bavati ekaH GorS(1)_57a
   nābhau daśa-dalaṃ padmaṃ GorS(2)_15c	nABO daSa-dalam padmam GorS(2)_15c
   nāsāgra-dṛṣṭir ekākī GorS(1)_41c	nAsA-agra-dRzwiH ekAkI GorS(1)_41c
   nāsāgra-dṛṣṭir ekānte GorS(2)_83c	nAsA-agra-dRzwiH ekAnte GorS(2)_83c
   nāsāgre dṛṣṭim ādāya GorS(1)_78c	nAsA-agre dRzwim AdAya GorS(1)_78c
   nāsāgre dṛṣṭim ādāya GorS(1)_79c	nAsA-agre dRzwim AdAya GorS(1)_79c
   nāsāgre dṛṣṭim ādāya GorS(1)_80c	nAsA-agre dRzwim AdAya GorS(1)_80c
   nāsāgre dṛṣṭim ādāya GorS(1)_82c	nAsA-agre dRzwim AdAya GorS(1)_82c
   nāsāgre dṛṣṭim ādāya GorS(1)_83c	nAsA-agre dRzwim AdAya GorS(1)_83c
   nāsāgre dṛṣṭim ādāya GorS(1)_84c	nAsA-agre dRzwim AdAya GorS(1)_84c
   nāsāgre dṛṣṭim ādāya GorS(1)_85c	nAsA-agre dRzwim AdAya GorS(1)_85c
   nirātaṅkaṃ nirālambaṃ GorS(1)_92a	nirAtaFkam nirAlambam GorS(1)_92a
   nirāmayaṃ nirākāraṃ GorS(1)_92c	nirAmayam nirAkAram GorS(1)_92c
   niruddho yoni-mudrayā GorS(2)_71 (=HYP 3.43)d	nirudDaH yoni-mudrayA GorS(2)_71 (=HYc 3.43)d
   nirguṇaṃ kevalaṃ viduḥ GorS(1)_77d	nirguNam kevalam viduH GorS(1)_77d
   nirguṇaṃ ca śivaṃ śāntaṃ GorS(1)_85a	nirguNam ca Sivam SAntam GorS(1)_85a
   nirmalaṃ gaganākāraṃ GorS(1)_87a	nirmalam gagana-AkAram GorS(1)_87a
   nirmalaṃ niścalaṃ nityaṃ GorS(1)_99a	nirmalam niScalam nityam GorS(1)_99a
   nirmalaḥ śuddha ucyate GorS(1)_62b	nirmalaH SudDaH ucyate GorS(1)_62b
   niścale niścalaṃ bhavet GorS(1)_39b	niScale niScalam Bavet GorS(1)_39b
   niścale niścalo bhavet GorS(2)_90 (=1|39, HYP 2.2)b	niScale niScalaH Bavet GorS(2)_90 (=1|39, HYc 2.2)b
   niṣkriyaṃ nirguṇaṃ mahat GorS(1)_99b	nizkriyam nirguNam mahat GorS(1)_99b
   niṣprapañcaṃ nirāśrayam GorS(1)_92b	nizprapaQcam nirASrayam GorS(1)_92b
   paṅkajaṃ ca catur-dalam GorS(2)_18 (=1|11)b	paFkajam ca catur-dalam GorS(2)_18 (=1|11)b
   paṅkajaṃ yac caturdalam GorS(1)_11b	paFkajam yat catur-dalam GorS(1)_11b
   paṇḍuro lohitas tathā GorS(2)_72b	paNxuraH lohitaH taTA GorS(2)_72b
   padma-tantu-nibhā śubhā GorS(2)_50b	padma-tantu--niBA SuBA GorS(2)_50b
   padma-patram ivāmbhasā GorS(2)_89d	padma--patram iva-amBasA GorS(2)_89d
   padmāsanaṃ samāruhya GorS(2)_83a	padmAsanam samAruhya GorS(2)_83a
   paramānanda-kārakam GorS(2)_3d	parama-Ananda-kArakam GorS(2)_3d
   paścimābhimukhaṃ sthitam GorS(1)_12b	paScima-aBimuKam sTitam GorS(1)_12b
   paścimābhimukhaṃ sthitam GorS(2)_19 (=1|12)b	paScima-aBimuKam sTitam GorS(2)_19 (=1|12)b
   pāṇḍuraṃ śukram ity āhur GorS(2)_72c	pANxuram Sukram iti AhuH GorS(2)_72c
   pātakendhana-pātakaḥ GorS(1)_53b	pAtaka-inDana-pAtakaH GorS(1)_53b
   pārṣṇi-bhāgena sampīḍya GorS(1)_37a	pArzNi-BAgena sampIxya GorS(1)_37a
   pārṣṇi-bhāgena sampīḍya GorS(2)_81 (=1|37, HYP 3.61)a	pArzNi-BAgena sampIxya GorS(2)_81 (=1|37, HYc 3.61)a
   piṅgalā dakṣiṇe tathā GorS(1)_20b	piFgalAH dakziNe taTA GorS(1)_20b
   piṅgalā dakṣiṇe tathā GorS(2)_29 (=1|20)b	piFgalAH dakziNe taTA GorS(2)_29 (=1|20)b
   pīḍyate na sa rogeṇa GorS(2)_66 (=HYP 3.40)a	pIxyate na sa rogeNa GorS(2)_66 (=HYc 3.40)a
   pītvā piṅgalayā samīraṇam atho baddhvā tyajed vāmayā GorS(2)_100 (=HYP	pItvA piFgalayA samIraNam aTo badDvA tyajet vAmayAH GorS(2)_100 (=HYP
   2.10)b	2.10)b
   pīyūṣam api jīryate GorS(2)_61 (=HYP 3.16)d	pIyUzam api jIryate GorS(2)_61 (=HYc 3.16)d
   pīyūṣaṃ na pataty agnau GorS(2)_80 (=1|36, HYP 3.72)c	pIyUzam na patati agnO GorS(2)_80 (=1|36, HYc 3.72)c
   puñjam āditya-maṇḍalam GorS(1)_46b	puQjam Aditya--maNxalam GorS(1)_46b
   puñjam āditya-maṇḍalam GorS(2)_99 (=1|46)b	puQjam Aditya--maNxalam GorS(2)_99 (=1|46)b
   puṇya-pāpa-vivarjite GorS(2)_24b	puNya--pApa--vivarjite GorS(2)_24b
   puraś candreṇa recayet GorS(2)_98 (=1|45)d	puras candreNa recayet GorS(2)_98 (=1|45)d
   pūrayed udaraṃ śanaiḥ GorS(1)_45b	pUrayet udaram SanEs GorS(1)_45b
   pūrayed udaraṃ śanaiḥ GorS(2)_98 (=1|45)b	pUrayet udaram SanEs GorS(2)_98 (=1|45)b
   pūṣā karṇe ca dakṣiṇe GorS(1)_21b	pUzA karNe ca dakziNe GorS(1)_21b
   pūṣā karṇe ca dakṣiṇe GorS(2)_30 (=1|21)b	pUzA karNe ca dakziNe GorS(2)_30 (=1|21)b
   pūṣā caiva yaśasvinī GorS(1)_18d	pUzA ca-eva yaSasvinI GorS(1)_18d
   pūṣā caiva yaśasvinī GorS(2)_27 (=1|18)d	pUzA ca-eva yaSasvinI GorS(2)_27 (=1|18)d
   prajīva-guṇam ādāya GorS(1)_31c	prajIva-guNam AdAya GorS(1)_31c
   prajvalaj-jvalana-jvālā- GorS(1)_46a	prajvala-j--jvalana--jvAlA GorS(1)_46a
   prajvalaj-jvalana-jvālā- GorS(2)_99 (=1|46)a	prajvala-j--jvalana--jvAlA GorS(2)_99 (=1|46)a
   pratyāhārati bhāskaraḥ GorS(1)_55b	pratyAhArati BAskaraH GorS(1)_55b
   pratyāhāraḥ sa ucyate GorS(1)_55d	pratyAhAraH saH ucyate GorS(1)_55d
   pratyāhāreṇa sarvadā GorS(1)_54d	pratyAhAreNa sarvadA GorS(1)_54d
   pratyāhāreṇa saṃyukto GorS(1)_67c	pratyAhAreNa saMyuktaH GorS(1)_67c
   pratyāhāro'tha dhāraṇā GorS(1)_4b	pratyAhAraH-aTa DAraNA GorS(1)_4b
   pratyāhāro'tha dhāraṇā GorS(2)_7 (=1|4)b	pratyAhAraH-aTa DAraNA GorS(2)_7 (=1|4)b
   pradhānaṃ prāṇa-vāhinyo GorS(2)_26 (=1|17)c	praDAnam prANa--vAhinyaH GorS(2)_26 (=1|17)c
   prabuddhā vahni-yogena GorS(1)_31a	prabudDAH vahni--yogena GorS(1)_31a
   prabuddhā vahni-yogena GorS(2)_49 (=1|31)a	prabudDAH vahni--yogena GorS(2)_49 (=1|31)a
   prabuddhā vahni-yogena GorS(2)_50c	prabudDAH vahni--yogena GorS(2)_50c
   prayāṇaṃ kurute bahiḥ GorS(1)_40b	prayANam kurute bahis GorS(1)_40b
   prayāṇaṃ kurute bahiḥ GorS(2)_94 (=1|40)b	prayANam kurute bahis GorS(2)_94 (=1|40)b
   praviṣṭā viparītagā GorS(1)_34b	pravizwA viparIta-gA GorS(1)_34b
   praviṣṭā viparītagā GorS(2)_64 (=1|34)b	pravizwA viparIta-gAH GorS(2)_64 (=1|34)b
   prasuptā parameśvarī GorS(2)_48d	prasuptA parameSvarI GorS(2)_48d
   prasphurad-bhujagākārā GorS(2)_50a	prasPurat--Bujaga-AkArAH GorS(2)_50a
   prāṇa-vidyā mahā-vidyā GorS(2)_46c	prANa-vidyA mahA-vidyA GorS(2)_46c
   prāṇa-saṃgrahaṇe kṣamaḥ GorS(2)_95d	prANa--saMgrahaNe kzamaH GorS(2)_95d
   prāṇaṃ candreṇa pūrayet GorS(1)_43b	prANam candreNa pUrayet GorS(1)_43b
   prāṇaṃ candreṇa pūrayet GorS(2)_96 (=1|43)b	prANam candreNa pUrayet GorS(2)_96 (=1|43)b
   prāṇaṃ codiḍayā piben parimitaṃ bhūyo'nyayā recayet GorS(2)_100 (=HYP	prANam ca-udixayA pibet parimitam BUyas-anyayA recayet GorS(2)_100 (=HYP
   2.10)a	2.10)a
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed GorS(1)_69c	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet GorS(1)_69c
