   namo buddhāya	namaH budDAya
   vahati hṛdayacauraṃ kuṅkumanyāsagauraṃ valayitam iva nālaṃ	vahati hRdaya cOram kuFkuma nyAsa gOram valayitam iva na alam
   locanendīvarasya // VidSrk_17.60 *(524) //	locana indIvarasya // Vit Srj _17.60 *(524) //
   colāñcalena calahāralatāprakāṇḍair veṇīguṇena ca balād valayīkṛtena /	cola aQcalena cala hAra latA prakANxEH veNI guNena ca balAt valayIkRtena /
   helāhitabhramarakabhramamaṇḍalībhiś chatratrayaṃ racayatīva ciraṃ	helA hita Bramaraka Brama maNxalIBiH Catra trayam racayati iva ciram
   natabhrūḥ // VidSrk_17.61 *(525) //	nata BrUH // Vit Srj _17.61 *(525) //
   amandamaṇinūpurakvaṇanacārucārīkramaṃ	amanda maNi nUpura kvaNana cAru cArI kramam
   jhaṇajjhaṇitamekhalāskhalitatārahāracchaṭam /	JaNat JaNita meKalA sKalita tAra hAra= Cawam /
   idaṃ taralakaṅkaṇāvaliviśeṣavācālitaṃ mano harati subhruvaḥ kim api	idam tarala kaFkaNa Avali viSeza vAcAlitam manaH harati suBruvaH kim api
   kandukakrīḍitam // VidSrk_17.62 *(526) //.	kanduka krIxitam // Vit Srj _17.62 *(526) //.
   sā dugdhamugdhamadhuracchaviraṅgayaṣṭis te locane taruṇaketakapatradīrghe	sA dugDa mugDa maDura= CaviH aFga yazwiH te locane taruNa ketaka patra dIrGe
   kambor viḍambanakaraś ca sa eva kaṇṭhaḥ saiveyam induvadanā madanāyudhāya	kamboH vixambana karaH ca saH eva kaNWaH sA eva iyam indu vadanAH madana AyuDAya
   // VidSrk_17.63 *(527) //	// Vit Srj _17.63 *(527) //
   kva pātavyā jyotsnāmṛtabhavanagarbhāpi tṛṣitair mṛṇālītantubhyaḥ	kva pAtavyAH jyotsnA amRta Bavana garBA api tRzitEH mRNAlI tantuByaH
   sicayaracanā kutra ghaṭate /	sicaya racanA kutra Gawate /
   kva vā pārīmeyo bata bakuladāmnāṃ parimalaḥ kathaṃ svapnaḥ sākṣāt	kva vA pArImeyaH bata bakula dAmnAm parimalaH kaTam svapnaH sAkzAt 
   kuvalayadṛśaṃ kalpayatu tām // VidSrk_17.64 *(528) //.	kuvalayadRSam kalpayatu tAm // Vit Srj _17.64 *(528) //.
   rājaśekharasyāmī	rAjaSeKarasya amI
   rasavad amṛtaṃ kaḥ saṃdeho madhūny api nānyathā madhuram api kiṃ cūtasyāpi	rasavat amRtam kaH saMdehaH maDUni api na anyaTA maDuram api kim cUtasya api
   prasannarasaṃ phalam /	prasanna rasam Palam /
   sakṛd api punar madhyasthaḥ san rasāntaravij jano vadatu yad ihānyat svādu	sakRt api punar maDyasTaH san rasa antara vij janaH vadatu yat iha anyat svAdu
   syāt priyādaśanacchadāt // VidSrk_17.65 *(529) //.	syAt priyAt aSana= CadAt // Vit Srj _17.65 *(529) //.
   kuvalayavanaṃ pratyākhyātaṃ navaṃ madhu ninditaṃ hasitam amṛtaṃ hanta	kuvalaya vanam pratyAKyAtam navam maDu ninditam hasitam amRtam hanta
   svādoḥ paraṃ rasasampadaḥ /	svAdoH param rasa sampadaH /
   viṣam upahitaṃ cintāvyājān manasy api kāminām alasamadhurair līlātantrais	vizam upahitam cintA vyAjAt manasi api kAminAm alasa maDurEH lIlA tantrEH 
   tayārdhavilokitaiḥ // VidSrk_17.66 *(530) //.	tayA arDa vilokitEH // Vit Srj _17.66 *(530) //.
   cañcaccolāñcalāni pratisaraṇarayavyastaveṇīni bāhor vikṣepād dakṣiṇasya	caQcat colAQcalAni pratisaraNa raya vyasta veNIni bAhoH vikzepAt dakziNasya
   pracalitavalayāsphālakolāhalāni /	pracalita valaya AsPAla kolAhalAni /
   śvāsatruṭyadvacāṃsi drutam itarakarotkṣiptalolālakāni srastasrañji	SvAsa truwyat vacAMsi drutam itara karot kzipta lola alakAni srasta sraQji
   pramodaṃ dadhati mṛgadṛśāṃ kandukakrīḍitāni // VidSrk_17.67 *(531) //.	pramodam daDati mRga dRSAm kanduka krIxitAni // Vit Srj _17.67 *(531) //.
   praharaviratau madhye vāhnas tato 'pi pareṇa vā kim uta sakale yāte 'py	prahara viratO maDye vAhnaH tatas api pareNa vA kim uta sakale yAte api 
   ahni tvam adya sameṣv asi /	ahni tvam adya samezu asi /
   iti dinaśataprāpyaṃ deśaṃ priyasya yiyāsato harati gamanaṃ bālālāpaiḥ	iti dina Sata prApyam deSam priyasya yiyAsataH harati gamanam bAla AlApEH
   sabāṣpajhalajjhalaiḥ // VidSrk_17.68 *(532) //	sa bAzpa JalajJalEH // Vit Srj _17.68 *(532) //
   jhalajjhalasya	JalajJalasya
   kalyāṇaṃ parikalpyatāṃ pikakule rohantu vāñcāptayo haṃsānām udayo 'stu	kalyANam parikalpyatAm pika kule rohantu vAQca AptayaH haMsAnAm udayaH astu
   pūrṇaśaśinaḥ stād bhadram indīvare /	pUrNa SaSinaH stAd Badram indIvare /
   ity udbāṣpavadhūgiraḥ pratipadaṃ sampūrayantyāntike kāntaḥ	iti udbAzpa vaDU giraH pratipadam sampUrayantyA antike kAntaH
   prasthitikalpitopakaraṇaḥ sakhyā bhṛśaṃ vāritaḥ // VidSrk_17.69 *(533) //.	prasTiti kalpita upakaraNaH saKyAH BRSam vAritaH // Vit Srj _17.69 *(533) //.
   śṛṅgārasya	SRFgArasya
   sāmānyavāci padam apy abhidhīyamānaṃ māṃ prāpya jātam	sAmAnya vAci padam api aBiDIyamAnam mAm prApya jAtam
   abhidheyaviśeṣaniṣṭham /	aBiDeya viSeza nizWam /
   strī kācid ity abhihite hi mano madīyaṃ tām eva vāmanayanāṃ viṣayīkaroti	strI kAcid iti aBihite hi manaH madIyam tAm eva vAma nayanAm vizayIkaroti
   // VidSrk_17.70 *(534) //	// Vit Srj _17.70 *(534) //
   % tato dūtīvacanavrajyā	% tatas dUtI vacana vrajyA
   lāvaṇyena pidhīyate 'ṅgatanimā saṃdhāryate jīvitaṃ tvaddhyānaiḥ satataṃ	lAvaNyena piDIyate aFgatanimA saMDAryate jIvitam tvad DyAnEH satatam
   kuraṅgakadṛśaḥ kiṃ tv etad āste navam /	kuraFga kadRSaH kim tu etat Aste navam /
   niḥśvāsaiḥ kucakumbhapīṭhaluṭhanapratyudgamān māṃsalaiḥ śyāmībhūtakapolam	niHSvAsEH kuca kumBa pIWa luWana pratyudgamAt mAMsalEH SyAmIBUta kapolam
   indur adhunā yat tanmukhaṃ spardhate // VidSrk_18.1 *(535) //.	induH aDunA yat tad muKam sparDate // Vit Srj _18.1 *(535) //.
   śṛṅgārasya	SRFgArasya
   sodvegā mṛgalāñchane mukham api svaṃ nekṣate darpaṇe trastā kokilakūjitād	sa udvegAH mRga lAQCane muKam api svam na Ikzate darpaNe trastA kokila kUjitAt 
   api giraṃ nonmudrayaty ātmanaḥ /	api giram na unmudrayati AtmanaH /
   citraṃ duḥsahadāhadāyini dhṛtadveṣāpi puṣpāyudhe bālā sā subhaga tvayi	citram duHsaha dAha dAyini DRta dvezA api puzpa AyuDe bAlA sA suBaga tvayi
   pratipadaṃ premādhikaṃ puṣyati // VidSrk_18.2 *(536) //.	pratipadam prema aDikam puzyati // Vit Srj _18.2 *(536) //.
   śṛṅgārasyaitau	SRFgArasya etO
   vilimpaty etasmin malayajarasādreṇa mahasā diśāṃ cakraṃ candre sukṛtamaya	vilimpati etasmin malayaja rasa adreNa mahasA diSAm cakram candre sukRta maya
   tasyā mṛgadṛśaḥ /	tasyAH mRga dRSaH /
   dṛśor bāṣpaḥ pāṇau vadanam asavaḥ kaṇṭhakuhare hṛdi tvaṃ hrīḥ pṛṣṭhe	dRSoH bAzpaH pANO vadanam asavaH kaNWa kuhare hRdi tvam hrIH pRzWe
   vacasi ca guṇā eva bhavataḥ // VidSrk_18.3 *(537) //.	vacasi ca guNAH eva BavataH // Vit Srj _18.3 *(537) //.
   ambhoruhaṃ vadanam ambakam indukāntaḥ pāthonidhiḥ kusumacāpabhṛto vikāraḥ	amBoruham vadanam ambakam indu kAntaH pAToniDiH kusuma cApa BRtaH vikAraH
   prādurbabhūva subhaga tvayi dūrasaṃsthe caṇḍālacandradhavalāsu niśāsu	prAdurbaBUva suBaga tvayi dUra saMsTe caNxAla candra DavalAsu niSAsu
   tasyāḥ // VidSrk_18.4 *(538) //	tasyAH // Vit Srj _18.4 *(538) //
   vaktrendor na haranti bāṣpapayasāṃ dhārā manojñāṃ śriyaṃ niśvāsā na	vaktra indoH na haranti bAzpa payasAm DArAH manojQAm Sriyam niSvAsAH na
   kadarthayanti madhurāṃ bimbādharasya dyutim /	kadarTayanti maDurAm bimba aDarasya dyutim /
   tasyās tvadvirahe vipakvalavalīlāvaṇyasaṃvādinī chāyā kāpi kapolayor	tasyAH tvad virahe vipakva lavalI lAvaNya saMvAdinI CAyA kA api kapolayoH 
   anudinaṃ tanvyāḥ paraṃ śuṣyati // VidSrk_18.5 *(539) //.	anudinam tanvyAH param Suzyati // Vit Srj _18.5 *(539) //.
   dharmakīrteḥ	Darma kIrteH
   tāpombhaḥprasṛtaṃpacaḥ pracayavān bāṣpaḥ praṇālocitaḥ śvāsā	tApa umBaH prasRtaMpacaH pracayavAn bAzpaH praNAla ucitaH SvAsAH 
   nartitadīpavartilatikāḥ pāṇḍimni magnaṃ vapuḥ /	nartita dIpa varti latikAH pANximni magnam vapuH /
   kiṃ cānyat kathayāmi rātrim akhilāṃ tvadvartmavātāyane	kim ca anyat kaTayAmi rAtrim aKilAm tvad vartma vAtAyane
   hastacchatraniruddhacandraniruddhacandramahasas tasyāḥ sthitir vartate //	hasta= Catra nirudDa candra nirudDa candra mahasaH tasyAH sTitiH vartate //
   VidSrk_18.6 *(540) //.	Vit Srj _18.6 *(540) //.
   candraṃ candanakardamena likhitaṃ sā mārṣṭi daṣṭādharā vandyaṃ nindati yac	candram candana kardamena liKitam sA mArzwi dazwa aDarAH vandyam nindati yat 
   ca manmatham asau bhaṅktvāgrahastāṅurīḥ /	ca manmaTam asO BaFktvA agrahaH tAFurIH /
   kāmaḥ puṣpaśaraḥ kileti sumanovargaṃ lunīte ca yat tat kāmyā subhaga tvayā	kAmaH puzpa SaraH kila iti sumanaH vargam lunIte ca yat tat kAmyA suBaga tvayA
   varatanur vātūlatāṃ lambhitā // VidSrk_18.7 *(541) //.	vara tanuH vAtUlatAm lamBitA // Vit Srj _18.7 *(541) //.
   rājaśekharasya	rAjaSeKarasya
   vapuḥ śāraṅgākṣyās tad aviralaromāñcanicayaṃ tvayi svapnāvāpte snapayati	vapuH SAraFga akzyAH tat avirala romAQca nicayam tvayi svapna avApte snapayati
   paraḥ khedavisaraḥ /	paraH Keda visaraH /
   balākarṣatryuṭyadvalayajakaḍatkāraninadair vinidrāyāḥ paścād	bala Akarza tri uwyat valaya ja kaxatkAra ninadEH vinidrAyAH paScAt 
   anavaratabāṣpāmbunivahāḥ // VidSrk_18.8 *(542) //.	anavarata bAzpa ambu nivahAH // Vit Srj _18.8 *(542) //.
   vasukalpasya	vasu kalpasya
   no śakyā gadituṃ smarānaladaśā yāsyās tvayi prasthite patraiḥ	no SakyAH gaditum smara anala daSA yAsyAH tvayi prasTite patrEH
   sāsrasakhījanoparacite talpe luṭhantyā muhuḥ /	sa asra saKI jana uparacite talpe luWantyAH muhur /
   yal liptaṃ kucacandanena sutanor adyāpi candracchalāc	yat liptam kuca candanena su tanoH adya api candra= CalAt 
   chvāsoḍḍīnaviśuṣkapāṇḍubisinīpatraṃ divi bhrāmyati // VidSrk_18.9 *(543)	CvAsa uxxIna viSuzka pANxu bisinI patram divi BrAmyati // Vit Srj _18.9 *(543)
   rudrasya	rudrasya
   prakaṭayati kṣaṇabhaṅgaṃ paśyati sarvaṃ jagad gataṃ śūnyam /*	prakawayati kzaNa BaFgam paSyati sarvam jagat gatam SUnyam /*
   ācarati smṛtibāhyaṃ jātā sā bauddhabuddhir iva // VidSrk_18.10 *(544) //*	Acarati smRti bAhyam jAtA sA bOdDa budDiH iva // Vit Srj _18.10 *(544) //*
   tvadarthinī candanabhasmadigdha  lalāṭalekhāśrujalābhiṣiktā /	tvad arTinI candana Basma digDa lalAwa leKA aSru jala aBiziktA /
   mṛṇālacīraṃ dadhatī stanābhyāṃ smaropadiṣṭaṃ carati vrataṃ sā //	mRNAla cIram daDatI stanAByAm smara upadizwam carati vratam sA //
   VidSrk_18.11 *(545) //	Vit Srj _18.11 *(545) //
   ye nirdahanti daśanaśvasitāvalokaiḥ krūraṃ dvijihvakuṭilāḥ kva vilāsinas	ye nirdahanti daSana Svasita avalokEH krUram dvi jihva kuwilAH kva vilAsinas
   te /	te /
   bhīṣmoṣmabhiḥ smaraṇamātraviṣais taveyam avyāla mārayati kāpi	BIzma UzmaBiH smaraNa mAtra vizEH tava iyam avyAla mArayati kA api
   bhujaṅgabhaṅgiḥ // VidSrk_18.12 *(546) //	BujaFga BaFgiH // Vit Srj _18.12 *(546) //
   svedāpūraviluptakuṅkumarasāśleṣāvilapracchadāt talpād	sveda ApUra vilupta kuFkuma rasa ASleza Avila pracCadAt talpAd
   vyaktamanobhavānalaśikhālīḍhād ivāśaṅkitā /	vyakta manoBava anala SiKA lIXAt iva ASaFkitAH /
   sā bālā balavan mṛgāṅkakiraṇair utpāditāntarjvarā tvatsaṃkalpajaḍe	sA bAlAH balavat mRgAFka kiraNEH utpAdita antar jvarA tvad saMkalpa jaxe
   tvadaṅkaśayane nidrāsukhaṃ vāñchati // VidSrk_18.13 *(547) //.	tvad aFka Sayane nidrA suKam vAQCati // Vit Srj _18.13 *(547) //.
   dhūmeneva hate dṛśau visṛjato bāṣpaṃ pravāhakṣamaṃ kvāthotpheṇam	DUmena iva hate dRSO visRjataH bAzpam pravAha kzamam kvATa utPeNam
   ivāttacandanarasaṃ svedaṃ vapur muñcati /	iva Atta candana rasam svedam vapuH muQcati /
   antaḥprajvalitasya kāmaśikhino dāhārjitair bhasmabhiḥ śvāsāvegavinirgatair	antar prajvalitasya kAmaSiKinaH dAha arjitEH BasmaBiH SvAsa Avega vinirgatEH 
   iva tanoḥ pāṇḍutvam unmīlati // VidSrk_18.14 *(548) //.	iva tanoH pANxu tvam unmIlati // Vit Srj _18.14 *(548) //.
   manovinodasyaitau	manaH vinodasya etO
   atraiṣa svayam eva citraphalake kampaskhalallekhayā saṃtāpārtivinodanāya	atra eza svayam eva citraPalake kampa sKalat leKayA saMtApa Arti vinodanAya
   katham apy ālikhya sakhyā bhavān /	kaTam api AliKya saKyAH BavAn /
   bāṣpavyākulam īkṣitaḥ sarabhasaṃ cūtāṅkurair arcito mūrdhnā ca praṇataḥ	bAzpa vyAkulam IkzitaH sa raBasam cUta aFkurEH arcitaH mUrDnA ca praNataH
   sakhīṣu madanavyājena cāpahnutaḥ // VidSrk_18.15 *(549) //.	saKIzu madana vyAjena ca apahnutaH // Vit Srj _18.15 *(549) //.
   ḍimbokasya	ximbokasya
   sā sundarī tava viyogahutāśane 'sminn abhyukṣya bāṣpasalilair	sA sundarI tava viyoga hutASane asmin aByukzya bAzpa salilEH 
   nijadehahavyam /	nija deha havyam /
   janmāntare virahaduḥkhavināśakāmā puṃskokilābhihitimantrapadair juhoti //	janma antare viraha duHKa vinASa kAmA puMskokila aBihiti mantra padEH juhoti //
   VidSrk_18.16 *(550) //	Vit Srj _18.16 *(550) //
   prabhākarasya	praBAkarasya
   subhaga sukṛtaprāpyo yady apy asi tvam asāv api priyasahacarī nādhanyānām	suBaga sukRta prApyaH yadi api asi tvam asO api priya sahacarI na aDanyAnAm
   upaiti vidheyatām /	upEti viDeya tAm /
   tad alam adhunā nirbandhena prasīda parasparaṃ praṇayamadhuraḥ sadbhāvo	tat alam aDunA nirbanDena prasIda parasparam praNaya maDuraH sadBAvaH 
   vāṃ cirāya vivardhatām // VidSrk_18.17 *(551) //.	vAm cirAya vivarDatAm // Vit Srj _18.17 *(551) //.
   vākkūṭasya	vAc kUwasya
   dolālolāḥ śvasanamarutaś cakṣuṣī nirjharābhe tasyāḥ	dolA lolAH Svasana marutaH cakzuzI nirJara ABe tasyAH
   śuṣyattagarasumanaḥpāṇḍurā gaṇḍabhittiḥ /	Suzyat tagara sumanaH pANxurA gaNxa BittiH /
   tadgātrāṇāṃ kim iva hi vayaṃ brūmahe durbalatvaṃ yeṣām agre pratipad uditā	tad gAtrANAm kim iva hi vayam brUmahe durbala tvam yezAm agre pratipad uditA
   candralekhāpy atanvī // VidSrk_18.18 *(552) //.	candraleKA api atanvI // Vit Srj _18.18 *(552) //.
   tasyās tāpabhuvaṃ nṛśaṃsa kathayāmy eṇīdṛśas te kathaṃ padminyāḥ sarasaṃ	tasyAH tApa Buvam nRSaMsa kaTayAmi eNi IdRSaH te kaTam padminyAH sarasam
   dalaṃ vinihitaṃ yasyāḥ śamāyorasi /	dalam vinihitam yasyAH SamAya urasi /
   ādau śuṣyati saṃkucaty anu tataś cūrṇatvam ādadyate paścān murmuratāṃ	AdO Suzyati saMkucati anu tatas cUrNa tvam Adadyate paScAt murmuratAm
   dadhad dahati ca śvāsāvadhūtaṃ sakhīm // VidSrk_18.19 *(553) //.	daDat dahati ca SvAsa avaDUtam saKIm // Vit Srj _18.19 *(553) //.
   utpalarajāsya	utpalaraja asya
   viṣaṃ candrālokaḥ kumudavanavāto hutavahaḥ kṣatakṣāro hāraḥ sa khalu	vizam candrAlokaH kumuda vana vAtaH hutavahaH kzatakzAraH hAraH sa Kalu
   puṭapāko malayajaḥ /	puwapAkaH malayajaH /
   aye kiṃcidvakre tvayi subhaga sarve katham amī samaṃ jātās tasyām ahaha	aye kiMcid vakre tvayi suBaga sarve kaTam amI samam jAtAH tasyAm ahaha
   viparītaprakṛtayaḥ // VidSrk_18.20 *(554) //.	viparIta prakRtayaH // Vit Srj _18.20 *(554) //.
   acalasiṃhasya	acala siMhasya
   tvāṃ cintāparikalpitaṃ subhaga sā sambhāvya romāñcitā	tvAm cintA parikalpitam suBaga sA samBAvya roma AQcitA
   śūnyāliṅganasaṃvaladbhujayugenātmānam āliṅgati /	SUnya AliFgana saMvalat Buja yugena AtmAnam AliFgati /
   kiṃ cānyad virahavyathāpraṇayinī samprāpya mūrchāṃ cirāt pratyujjīvati	kim ca anyat viraha vyaTA praNayinI samprApya mUrCAm cirAt pratyujjIvati
   karṇamūlapaṭhitais tvannāmamantrākṣaraiḥ // VidSrk_18.21 *(555) //.	karNa mUla paWitEH tvad nAma mantra akzarEH // Vit Srj _18.21 *(555) //.
   gāḍhāvadhaḥkṛtavalitritayau susaṅgau tuṅgau stanāv iti tayos talam ārtam	gAXO= aDaH kRta vali tritayO susaFgO tuFgO stanO iti tayoH talam Artam
   āgāt /*	AgAt /*
   tasyāḥ sphuṭaṃ hṛdayam ity api na smareṣūṃs tau rakṣataḥ praviśato vimukho	tasyAH sPuwam hRdayam iti api na smara izUn tO rakzataH praviSataH vimuKo
   'tha vā kva // VidSrk_18.22 *(556) //*	aTa vA kva // Vit Srj _18.22 *(556) //*
   vallaṇasya	vallaNasya
   mṛgaśiśudṛśas tasyās tāpaṃ kathaṃ kathayāmi te dahanapatitā dṛṣṭā mūrtir	mRga SiSudRSaH tasyAH tApam kaTam kaTayAmi te dahana patitA dRzwA mUrtiH 
   mayā na hi vaidhavī /	mayA na hi vEDavI /
   iti tu niyataṃ nārīrūpaḥ sa lokadṛśāṃ priyas tava śaṭhatayā śilpotkarṣo	iti tu niyatam nArI rUpaH sa loka dRSAm priyaH tava SaWa tayA Silpa utkarzaH 
   vidher vighaṭiṣyate // VidSrk_18.23 *(557) //.	viDeH viGawizyate // Vit Srj _18.23 *(557) //.
   punar uktāvadhi vāsaram etasyāḥ kitava paśya gaṇayantyāḥ /*	punar ukta avaDi vAsaram etasyAH kitava paSya gaNayantyAH /*
   iyam iva karajaḥ kṣīṇas tvam iva kaṭhorāṇi parvāṇi // VidSrk_18.24 *(558)	iyam iva karajaH kzINaH tvam iva kaWorANi parvANi // Vit Srj _18.24 *(558)
   dharaṇīdharasya	DaraNIDarasya
   /Colo iti dūtīvacanavrajyā	/ColaH iti dUtI vacana vrajyA
   % tataḥ sambhogavrajyā	% tatas samBoga vrajyA
   prauḍhapremarasān nitambaphalakād viśraṃsite 'py aṃśuke	prOXa prema rasAn nitamba PalakAt viSraMsite api aMSuke
   kāñcīdāmamaṇiprabhābhir anu cārabdhe dukūlāntare /	kAQcI dAma maNi praBABiH anu ca ArabDe dukUla antare /
   kāntenāśu mudhā vilokitam atho tanvyā mudhā lajjitaṃ bhūyo 'nena	kAntena ASu muDA vilokitam aTo tanvyA muDA lajjitam BUyas anena
   mudhāvakṛṣṭam atha tat tanvyā mudhā saṃvṛtam // VidSrk_19.1 *(559) //.	muDA avakRzwam aTa tat tanvyA muDA saMvRtam // Vit Srj _19.1 *(559) //.
   rūḍhe rativyatikare karaṇīyaśeṣa  māyāsabhāji dayite muhur āturāyāḥ /	rUXe rati vyatikare karaNIya Seza mAyAsaBAji dayite muhur AturAyAH /
   pratyakṣaraṃ madanamantharam arthayantyāḥ kiṃ kiṃ na hanta hṛdayaṃgamam	pratyakzaram madana manTaram arTayantyAH kim kim na hanta hRdayaMgamam
   aṅganāyāḥ // VidSrk_19.2 *(560) //	aFganAyAH // Vit Srj _19.2 *(560) //
   ratāntaśrāntāyāḥ stanajaghanasaṃdānitadṛśi smarāveśavyagre davayati	rata anta SrAntAyAH stana jaGana saMdAnita dRSi smara AveSa vyagre davayati
   dukūlaṃ praṇayini /	dukUlam praNayini /
   kṣaṇaṃ śroṇau pāṇī kṣaṇam api kucāgre priyadṛśoḥ kṣaṇaṃ vinyasyantyā jagad	kzaNam SroNO pANI kzaNam api kuca agre priya dRSoH kzaNam vinyasyantyAH jagad
   api na mūlyaṃ mṛgadṛśaḥ // VidSrk_19.3 *(561) //.	api na mUlyam mRga dRSaH // Vit Srj _19.3 *(561) //.
   tais tair vijṛmbhitaśatair madanopadeśair mugdhā vidhāya laḍitāni ca tāni	tEH tEH vijRmBita SatEH madana upadeSEH mugDAH viDAya laxitAni ca tAni
   tāni /	tAni /
   aṅke nilīya kamituḥ śithilāṅgamudrā nidrāti nālpatapasaḥ phalasampad eṣā	aFke nilIya kamituH SiTila aFga mudrA nidrAti na alpa tapasaH Pala sampad ezA
   // VidSrk_19.4 *(562) //	// Vit Srj _19.4 *(562) //
   yad vrīḍābharabhugnam āsyakamalaṃ yac cakṣur atyullasat pakṣmaśreṇi yad	yat vrIxA Bara Bugnam Asya kamalam yat cakzuH ati ullasat pakzma SreNi yat 
   aṅgam aṅgajamanorājyaśriyām āśrayaḥ /	aFgam aFga ja manaH rAjya SriyAm ASrayaH /
   yad vardhiṣṇu manobhavapranayitā yan mandamanyugrahas tenaiveha mano	yat varDizNu manoBava pranayitA yat manda manyu grahaH tena eva iha manaH 
   haraty adharitaprauḍhā navoḍhā na kim // VidSrk_19.5 *(563) //.	harati aDarita prOXA na va UXA na kim // Vit Srj _19.5 *(563) //.
   sa svargād aparo vidhiḥ sa ca sudhāsekaḥ kṣaṇaṃ netrayos tat sāmrājyam	sa svargAt aparaH viDiH sa ca suDA sekaH kzaNam netrayoH tat sAmrAjyam
   agañjitaṃ tad aparaṃ premṇaḥ pratiṣṭhāspadam /	agaQjitam tat aparam premNaH pratizWA Aspadam /
   yad bālā balavanmanobhavabhayabhraśyattapaṃ satrapā tatkālocitanarmakarma	yat bAlA balavat manoBava Baya Bra Syat tapam satrapA tad kAla ucita narma karma
   dayitād abhyāsyam abhyasyati // VidSrk_19.6 *(564) //.	dayitAt aByAsyam aByasyati // Vit Srj _19.6 *(564) //.
   samāliṅgaty aṅgair apasarati yat preyasi vapuḥ pidhātuṃ yad dṛśyaṃ	samAliFgati aFgEH apasarati yat preyasi vapuH piDAtum yat dRSyam
   ghaṭayati ghanāliṅganam api /	Gawayati Gana AliFganam api /
   tapobhir bhūyobhiḥ kim u na kamanīyaṃ sukṛtinām idaṃ ramyaṃ vāmyaṃ	tapoBiH BUyoBiH kim u na kamanIyam sukRtinAm idam ramyam vAmyam
   madanavivaśāyā mṛgadṛśaḥ // VidSrk_19.7 *(565) //.	madana vivaSAyAH mRga dRSaH // Vit Srj _19.7 *(565) //.
   idam amṛtam ameyaṃ seyam ānandasindhur madhumadhuram apīdaṃ kiṃcid antar	idam amRtam ameyam sA iyam Ananda sinDuH maDu maDuram api idam kiMcid antar
   dhunoti /	Dunoti /
   yad ayam udayalīlālālasānāṃ vadhūnāṃ rativinimayabhājāṃ kelibhir yāti	yat ayam udaya lIlA lAlasAnAm vaDUnAm rati vinimaya BAjAm keliBiH yAti
   kālaḥ // VidSrk_19.8 *(566) //	kAlaH // Vit Srj _19.8 *(566) //
   ko 'sau sundari puṣpasāyakasakhaḥ saubhāgyavārāṃnidhaḥ ko 'sāv indumukhi	kaH asO sundari puzpa sAyaka saKaH sOBAgya vArAMniDaH kaH asO indu muKi
   prasannahṛdayaḥ kaḥ kumbhikumbhastani /	prasanna hRdayaH kaH kumBi kumBaH tani /
   yasmin vismayanīyataptatapase svairaṃ samucchṛṅkhalā viśrāmyanti tava	yasmin vismayanIya tapta tapase svEram samucCRFKalAH viSrAmyanti tava
   smarajvaraharāḥ kandarpakeliśriyaḥ // VidSrk_19.9 *(567) //.	smara jvara harAH kandarpa keli SriyaH // Vit Srj _19.9 *(567) //.
   pradyumnasya	pradyumnasya
   ātte vāsasi roddhum akṣamatayā doḥkandalībhyāṃ stanau tasyoraḥsthalam	Atte vAsasi rodDum akzamatayA doHkandalIByAm stanO tasya uraH sTalam
   uttarīyaviṣaye sadyo mayā sañjitam /	uttarIya vizaye sadyas mayA saQjitam /
   śroṇīṃ tasya kare 'dhirohati punar vrīḍāmbudhau mām atho mañjantīm	SroNIm tasya kare aDirohati punar vrIxA ambuDO mAm aTo maQjantIm
   udatārayan manasijo devaḥ sa mūrchāguruḥ // VidSrk_19.10 *(568) //.	udatArayan manasijaH devaH sa mUrCA aguruH // Vit Srj _19.10 *(568) //.
   vallaṇasya	vallaNasya
   yad etad dhanyānām urasi yuvatīsaṅgasamaye samārūḍhaṃ kiṃcit pulakam idam	yat etat DanyAnAm urasi yuvatI saFga samaye samArUXam kiMcid pulakam idam
   āhuḥ kila janāḥ /	AhuH kila janAH /
   matis tv eṣāsmākaṃ kucayugataṭīcumbakaśilā  niveśād ākṛṣṭaḥ	matiH tu ezA asmAkam kuca yuga tawI cumbaka SilA niveSAt AkRzwaH
   smaraśaraśalākotkara iva // VidSrk_19.11 *(569) //	smara Sara SalAka utkaraH iva // Vit Srj _19.11 *(569) //
   saṃkarṣaṇasya	saMkarzaNasya
   aṅgākṛṣṭadukūlayā sarabhasaṃ gūḍhau bhujābhyāṃ stanāv ākṛṣṭe jaghanāṃśuke	aFga AkRzwa dukUlayA sa raBasam gUXO BujAByAm stanO AkRzwe jaGana aMSuke
   kṛtam adhaḥsaṃsaktam ūrudvayam /	kRtam aDas saMsaktam Uru dvayam /
   nābhīmūlanibaddhacakṣuṣi mayi vrīḍānatāṅgyā tayā dīpaḥ	nABI mUla nibadDa cakzuzi mayi vrIxA nata aFgyA tayA dIpaH
   sphūtkṛtavātavepitaśikhaḥ karṇotpalenāhataḥ // VidSrk_19.12 *(570) //.	sPUtkRta vAta vepita SiKaH karNa utpalena AhataH // Vit Srj _19.12 *(570) //.
   jihremi jāgarti gṛhopakaṇṭhe sakhījano vallabhakautukena /	jihremi jAgarti gRha upakaNWe saKI janaH vallaBa kOtukena /
   tadaṃśukākṣepam adhīrapāṇe vimuñca kāñcīmaṇayo raṇanti // VidSrk_19.13	tad aMSuka Akzepam aDIrapANe vimuQca kAQcImaNayoH raNanti // Vit Srj _19.13
   mahodadheḥ	mahodaDeH
