   Aśokāvadānaṃ	ASoka-avadAnam
   ca yabhdūyasā mathurāvāstavyo janakāyaḥ sthaviropaguptasakāśaṃ nirgataḥ /	ca yaB-dUyasA maTurA-vAstavyaH jana-kAyaH sTavira-upagupta-sakASam nirgataH /
   tataḥ sthaviropagupto 'nekeṣu brāhmaṇaśatasahasreṣu saṃnipatiteṣu siṃha	tatas sTavira-upaguptaH anekezu brAhmaNa-Sata-sahasrezu saMnipatitezu siMha
   iva nirbhīḥ siṃhāsanamabhirūḍho vakṣyati ca /	iva nirBIH siMhAsanam-aBirUXaH vakzyati ca /
   māṃ prati na tena śakyaṃ siṃhāsanamaviduṣā samabhiroḍhuṃ /	mAm prati na tena Sakyam siMhAsanam-aviduzA samaBiroXum /
   yas [tu] siṃhāsanastho mṛga iva sa hi yāti saṅkocaṃ //	yaH [tu] siMhAsana-sTaH mRgaH iva sa hi yAti saFkocam //
   (A-av 28)	(a-a-au 28)
   siṃha iva yastu nirbhīrninadati paravādidarpanāśārthaṃ /	siMhaH iva yaH-tu nirBIH-ninadati para-vAdi-darpa-nASa-arTam /
   siṃhāsanamabhiroḍhuṃ sa kathikasiṃho bhavati yogyaḥ //	siMhAsanam-aBiroXum sa kaTika-siMhaH Bavati yogyaH //
   yāvat sthaviropaguptena pūrvakālakaraṇīyāṃ kathāṃ kṛtvā satyāni	yAvat sTavira-upaguptena pUrva-kAla-karaNIyAm kaTAm kRtvA satyAni
   saṃprakāśitāni / śrutvā cānekaiḥ prāṇiśatasahasrair mokṣabhāgīyāni	saMprakASitAni / SrutvA ca-anekEH prANi-Sata-sahasrEH mokza-BAgIyAni
   kuśalamūlānyākṣiptāni / kaiścidanāgāmiphalaṃ prāptaṃ / kaiścit	kuSala-mUlAni-AkziptAni / kEScid-anAgAmi-Palam prAptam / kEScid-
   sakṛdāgāmiphalaṃ / kaiścic chrotāpattiphalaṃ / yāvadaṣṭādaśasahasrāṇi	sakRdAgAmi-Palam / kEScid SrotApatti-Palam / yAvat-azwAdaSa-sahasrANi
   pravrajitāni / sarvaiśca yujyamānairyāvadarhattvaṃ prāptaṃ /	pravrajitAni / sarvEH-ca yujyamAnEH-yAvat-arhat-tvam prAptam /
   tatra corumuṇḍaparvate guhāṣṭādaśahastā dīrgheṇa dvādaśahastā vistareṇa /	tatra ca-Uru-muNxa-parvate guhA-azwAdaSa-hastAH dIrGeNa dvAdaSa-hastAH vistareNa /
   yadā tu kṛtakaraṇīyāḥ / saṃvṛttāstadā sthaviropaguptenābhihitaṃ / yo	yadA tu kRta-karaNIyAH / saMvRttAH-tadA sTavira-upaguptena-aBihitam / yaH-
   madīyenavavādena sarvakleśaprahāṇād arhattvaṃ sākṣātkariṣyati tena	madIyenavavAdena sarva-kleSa-prahANAt arhat-tvam sAkzAtkarizyati tena
   caturaṅgulamātrā śalākā guhāyāṃ prakṣeptavyā /	catur-aFgula-mAtrA SalAkAH guhAyAm prakzeptavyA /
   yāvadekasmin divaseṣṭādaśabhirarhatsahasraiḥ śalākāḥ prakṣiptāḥ / tasya	yAvat-ekasmin divasezwA-daSaBiH-arhat-sahasrEH SalAkAH prakziptAH / tasya
   yāvadāsamudrāyāṃ śabdo visṛtaḥ / mathurāyamupaguptanāmā avavādakānāmagro	yAvat-AsamudrAyAm SabdaH visRtaH / maTurA-ayam-upagupta-nAmA avavAdakAnAm-agro
   nirdiṣṭo bhagavatā / tadyathā hi /	nirdizwaH BagavatA / tat-yaTA hi /
   vinītakāmadhātvīśvare dvitīyaśāstṛkalpe mahātmani sthaviropagupte	vinIta-kAma-DAtu-ISvare dvitIya-SAstR-kalpe mahAtmani sTavira-upagupte
   suramanujamahoragāsuragaruḍayakṣagandharvavidyādharārcitapādayugme [sati]	sura-manuja-mahoraga-asura-garuxa-yakza-ganDarva-vidyADara-arcita-pAda-yugme [sati]
   pūrvabuddhākṣetrāvaropitakuśalabījasantatīnām anekeṣāṃ	pUrva-budDa-akzetra-avaropita-kuSala-bIja-santatInAm anekezAm
   sattvaśatasahasrāṇāṃ saddharmasalilavarṣadhārānipātāmokṣāṅkurān	sattva-Sata-sahasrANAm sat-Darma-salila-varza-DArA-nipAta-amokza-aFkurAn
   abhyavardhayannurumuṇḍe śaile /	aByavarDayat-=-urumuNxe SEle /
   kāryānurodhāt	kArya-anuroDAt
   praṇatasakalasāmantacūḍāmaṇimayūkhobhdāsitapādapīṭhasyāśokasya rājñaḥ	praNata-sakala-sAmanta-cUxAmaNi-mayUKa-uBdAsita-pAda-pIWasya-aSokasya rAjQaH
   pūrvaṃ pāṃśupradānaṃ samanusmariṣyāmaḥ / ityevamanuśrūyate /	pUrvam pAMSu-pradAnam samanusmarizyAmaH / iti-evam-anuSrUyate /
   (A-av 29)	(a-a-au 29)
   pāṃśupradānaṃ nāma prakaraṇaṃ	pAMSu-pradAnam nAma prakaraNam
   bhagavān rājagṛhe viharati veṇuvane kalandakanivāpe / atha bhagavān	BagavAn rAjagRhe viharati veNu-vane kalandaka-nivApe / aTa BagavAn
   pūrvāhṇe nivāsya pātracīvaramādāya bhikṣugaṇaparivṛto	pUrvAhNe nivAsya pAtra-cIvaram-AdAya Bikzu-gaNa-parivRtaH-
   bhikṣusaṅghapuraskṛto rājagṛhaṃ piṇḍāya prāvikṣat / vakṣyati ca /	Bikzu-saFGa-puraskRtaH rAjagRham piNxAya prAvikzat / vakzyati ca /
   kanakācalasannibhāgradeho dviradendapratimaḥ salīlagāmī /	kanaka-acala-sanniBa-agra-dehaH dvirada-inda-pratimaH sa-lIla-gAmI /
   paripūrṇaśaśāṅkasaumyavaktrau bhagavān bhikṣugaṇairvṛto jagāma //	paripUrNa-SaSAFka-sOmya-vaktrO BagavAn Bikzu-gaNEH-vRtaH jagAma //
   yāvad bhagavatā sābhisaṃskāraṃ nagaradvāre pādaṃ pratiṣṭhāpitaṃ / dharmatā	yAvat BagavatA sa-aBisaMskAram nagara-dvAre pAdam pratizWApitam / DarmatA
   khalu yasmin samaye buddhā bhagavantaḥ sābhisaṃskāraṃ	Kalu yasmin samaye budDAH BagavantaH sa-aBisaMskAram
   nagaradvāramindrakīle pādau vyavasthāpayanti / tadā citrāṇi adbhūtāni	nagara-dvAram-indrakIle pAdO vyavasTApayanti / tadA citrANi adBUtAni
   prādurbhavanti / andhāścakṣūṃṣi pratilabhante / badhirāḥ	prAdurBavanti / anDAH-cakzUMzi pratilaBante / baDirAH
   śrotragrahaṇasamarthā bhavanti / paṅgavo gamanasamarthā bhavanti /	Srotra-grahaNa-samarTAH Bavanti / paFgavaH gamana-samarTAH Bavanti /
   haḍinigaḍacārakāvabaddhānāṃ sattvānāṃ bandhanāni śithilībhavanti /	haxinigaxa-cAraka-avabadDAnAm sattvAnAm banDanAni SiTilIBavanti /
   janmajanmavairānubaddhāḥ sattvāstadanantaraṃ maitracittatāṃ labhante /	janma-janma-vEra-anubadDAH sattvAH-tad-anantaram mEtra-citta-tAm laBante /
   vatsā dāmāni chittvā mātṛbhiḥ sārdhaṃ samāgacchanti / hastinaḥ krośanti /	vatsAH dAmAni CittvA mAtRBiH sArDam samAgacCanti / hastinaH kroSanti /
   aśvā hreṣante / ṛṣabhā garjanti / śukaśārikakokilajīvajīvabarhiṇo madhurān	aSvAH hrezante / RzaBAH garjanti / Suka-SArika-kokila-jIva-jIva-barhiNaH maDurAn
   nikūjanti / peḍāgatālaṅkārā madhuraśabdaṃ niścārayanti / aparāhatāni ca	nikUjanti / pexA-gata-alaFkArAH maDura-Sabdam niScArayanti / aparAhatAni ca
   vāditrabhāṇḍāni madhuraṃ śabdaṃ niścārayanti / unnatonnatā pṛthivīpradeśā	vAditra-BANxAni maDuram Sabdam niScArayanti / unnata-unnatA pRTivI-pradeSA
   avanamanti / avanatāśconnamanti / apagatapāṣāṇaśarkarakapālāścāvatiṣṭhante	avanamanti / avanatAH-ca-unnamanti / apagata-pAzANa-SarkarakapAlAH-ca-avatizWante
   iyaṃ ca tasmin samaye pṛthivī ṣaḍvikāraṃ prakampyate / tadyathā pūrvo	iyam ca tasmin samaye pRTivI zaz-vikAram prakampyate / tat-yaTA pUrvo
   digbhāga unnamati / paścimo 'vanamati / anto 'vanamati / madhya (A-av 30)	diS-BAgaH unnamati / paScimaH avanamati / antaH avanamati / maDye (A-au 30)
   unnamati / calitaḥ pracalito vedhitaḥ pravedhita itīme cānye	unnamati / calitaH pracalitaH veDitaH praveDitaH iti-ime ca-anye
   cādbhutadharmāḥ prādurbhavanti / bhagavato nagarapraveśe vakṣyati /	ca-adButa-DarmAH prAdurBavanti / BagavataH nagara-praveSe vakzyati /
   lavaṇajalanivāsinī tato vā nagaranigamamaṇḍitā saśailā /	lavaNa-jala-nivAsinI tatas vA nagara-nigama-maNxitA sa-SElAH /
   municaraṇanipīḍitā ca bhūmī pavanabalahataṃ hi yānapātraṃ //	muni-caraNa-nipIxitA ca BUmI pavana-bala-hatam hi yAna-pAtram //
   atha buddhapraveśakālaniyataiḥ prātihāryairāvarjitāḥ strīmanuṣyās,	aTa budDa-praveSa-kAla-niyatEH prAtihAryEH-AvarjitAH strI-manuzyAs,
   tannagaram anibalacalitabhinnavicitaraṅgakṣubhitamiva mahāsamudraṃ	tat-nagaram anibala-calita-Binna-vicita-raFga-kzuBitam-iva mahA-samudram
   vimuktoccanādaṃ babhūva / na hi buddhapraveśatulyaṃ nāma	vimukta-ucca-nAdam baBUva / na hi budDa-praveSa-tulyam nAma
   jagatyadbhutamupalabhyate / purapraveśasamaye hi bhagavataś	jagati-adButam-upalaByate / pura-praveSa-samaye hi BagavataS
   citrāṇyadbhūtāni dṛśyante / vakṣyati hi /	citrANyadBUtAni dRSyante / vakzyati hi /
   nimnā connamate natāvanamate buddhānubhāvān mahī	nimnA ca-unnamate natAvana-mate budDa-anuBAvAt mahI
   sthūṇā śarkarakaṇṭakavyapagatā nirdoṣatāṃ yāti ca /	sTUNA Sarkara-kaNwaka-vyapagatA nirdoza-tAm yAti ca /
   andhā mūkajaḍendriyāśca puruṣā vyaktendriyāstatkṣaṇaṃ	anDAH mUka-jaxa-indriyAH-ca puruzAH vyakta-indriyAH-tad-kzaNam
   saṃvādyantyanighaṭṭitāśca nagare nandanti tūryasvanāḥ //	saMvAdyanti-aniGawwitAH-ca nagare nandanti tUrya-svanAH //
   sarvaṃ ca tannagaraṃ sūryasahasrātirekayā kanakamarīcivarṇayā	sarvam ca tat-nagaram sUrya-sahasra-atirekayA kanaka-marIci-varNayA
   buddhaprabhayā sphuṭaṃ babhūva / āha ca /	budDa-praBayA sPuwam baBUva / Aha ca /
   sūryaprabhāṃ samavabhartsya hi tasya bhābhir vyāptaṃ jagat sakalameva	sUrya-praBAm samavaBartsya hi tasya BABiH vyAptam jagat sakalam-eva
   sakānanasthaṃ /	sa-kAnana-sTam /
   (A-av 31)	(a-a-au 31)
   saṃprāpa ca pravaradharmakathābhirāmo lokaṃ surāsuranaraṃ hi samuktabhāvaṃ	saMprApa ca pravara-Darma-kaTA-aBirAmaH lokam sura-asura-naram hi samukta-BAvam
   yāvad bhagavān rājamārgaṃ pratipannaḥ / tatra dvau bāladārakau / eko	yAvat BagavAn rAjamArgam pratipannaH / tatra dvO bAla-dArakO / ekaH-
   'grakulikaputro dvitīyaḥ kulikaputraśca / pāṃśvāgāraiḥ krīḍataḥ / ekasya	agra-kulika-putraH dvitIyaH kulika-putraH-ca / pAMSu-AgArEH krIxataH / ekasya
   jayo nāma dvitīyasya vijayaḥ / tābhyāṃ bhagavān dṛṣṭo	jayaH nAma dvitIyasya vijayaH / tAByAm BagavAn dRzwaH-
   dvātriṃśamahāpuruṣalakṣaṇālaṅkṛtaśarīro 'secanakadarśanaśca /	dvAtriMSa-mahApuruza-lakzaNa-alaFkRta-SarIraH asecanaka-darSanaH-ca /
   yāvaj jayena dārakeṇa śaktuṃ dāsyāmīti pāṃśvañjalirbhagavataḥ pātre	yAvat jayena dArakeNa Saktum dAsyAmi-iti pAMSu-aQjaliH-BagavataH pAtre
   prakṣiptaḥ / vijayena ca kṛtāñjalinābhyanumoditaṃ / vakṣyati ca /	prakziptaH / vijayena ca kRta-aQjalinA-aByanumoditam / vakzyati ca /
   dṛṣṭvā mahākāruṇikaṃ svayambhuvaṃ vyāmaprabhoddyotitasarvagātraṃ /	dRzwvA mahA-kAruNikam svayamBuvam vyAma-praBA-uddyotita-sarva-gAtram /
   dhīreṇa vaktreṇa kṛtaprasādaḥ pāṃśuṃ dadau jātijarāntakāya //	DIreNa vaktreNa kRta-prasAdaH pAMSum dadO jAti-jarA-antakAya //
   sa bhagavate pratipādayitvā praṇidhānaṃ kartumārabdhaḥ / anenāhaṃ	sa Bagavate pratipAdayitvA praNiDAnam kartum-ArabDaH / anena-aham
   kuśalamūlena ekacchatrāyāṃ pṛthivyāṃ rājā syām / atraiva ca buddhe	kuSala-mUlena eka=-CatrAyAm pRTivyAm rAjA syAm / atra-eva ca budDe
   bhagavati kārāṃ kuryāmiti /	Bagavati kArAm kuryAm-iti /
   tato munistasya niśāmya bhāvaṃ bālasya samyak praṇidhiṃ ca buddhvā /	tatas muniH-tasya niSAmya BAvam bAlasya samyak praNiDim ca budDvA /
   iṣṭaṃ phalaṃ kṣetravaśena dṛṣṭvā jagrāha pāṃśuṃ karuṇāyamānaḥ //	izwam Palam kzetra-vaSena dRzwvA jagrAha pAMSum karuNAyamAnaH //
   (A-av 32)	(a-a-au 32)
   tena yāvad rājyavaipākyaṃ kuśalamākṣiptaṃ / tato bhagavatā smitaṃ	tena yAvat rAjya-vEpAkyam kuSalam-Akziptam / tatas BagavatA smitam
   vidarśitaṃ /	vidarSitam /
   dharmatā khalu yasmin samaye buddhā bhagavantaḥ smitaṃ vidarśayanti /	DarmatA Kalu yasmin samaye budDAH BagavantaH smitam vidarSayanti /
   tasmin samaye nīlapītalohitāvadātamañjiṣṭhasphaṭikarajatavarṇā arciṣo	tasmin samaye nIla-pIta-lohita-avadAta-maQjizWa-sPawika-rajata-varNAH arcizaH-
   mukhān niścaranti / kecidūrdhvato gacchanti kecidadhastād gacchanti / ye	muKAt niScaranti / kecid-UrDvatas gacCanti kecid-aDastAt gacCanti / ye
   'dho gacchanti te sañjīvaṃ kālasūtraṃ saṃghātaṃ rauravaṃ mahārauravaṃ	aDas gacCanti te saQjIvam kAlasUtram saMGAtam rOravam mahArOravam
   tapanaṃ pratāpanamavīciparyanteṣu gatvā ye śītanarakāsteṣūṣṇībhūtvā	tapanam pratApanam-avIci-paryantezu gatvA ye SIta-narakAH-tezu-uzNIBUtvA
   nipatanti / ye uṣṇanarakāsteṣu śītībhūtvā nipatanti /	nipatanti / ye uzNa-narakAH-tezu SItIBUtvA nipatanti /
   tena teṣāṃ sattvānāṃ kāraṇaviśeṣāḥ pratiprasrabhyante / teṣāmevaṃ bhavati	tena tezAm sattvAnAm kAraNa-viSezAH pratiprasraByante / tezAm-evam Bavati
   / kiṃ nu bhavanto vayamitaścyutā āhosvidanyatropapannā iti / yenāsmākaṃ	/ kim nu BavantaH vayam-itas-cyutAH Ahosvit-anyatra-upapannAH iti / yena-asmAkam
   kāraṇaviśeṣāḥ pratiprasrabdhāḥ / teṣāṃ bhagavān prasādasaṃjananārthaṃ	kAraNa-viSezAH pratiprasrabDAH / tezAm BagavAn prasAda-saMjanana-arTam
   nirmitaṃ visarjayati / teṣāmevaṃ bhavati / na vayaṃ cyutā	nirmitam visarjayati / tezAm-evam Bavati / na vayam cyutA
   nāpyanyatropapannāḥ / api tu ayamapūrvadarśano 'syānubhāvenāsmākaṃ	na-api-anyatra-upapannAH / api tu ayam-apUrva-darSanaH asya-anuBAvena-asmAkam
   kāraṇaviśeṣāḥ pratiprasrabdhā iti / te nirmite cittāni prasādayitvā	kAraNa-viSezAH pratiprasrabDAH iti / te nirmite cittAni prasAdayitvA
   narakavedanīyāni karmāṇi kṣapayitvā devamanuṣyeṣu pratisandhiṃ gṛhṇanti /	naraka-vedanIyAni karmANi kzapayitvA deva-manuzyezu pratisanDim gRhNanti /
   yatra satyānāṃ bhājanabhūtā bhavanti / ye ūrdhvato gacchanti te	yatra satyAnAm BAjana-BUtAH Bavanti / ye UrDvatas gacCanti te
   caturmahārājikān devāṃstrayastriṃśān yāmāṃstuṣitān nirmāṇaratīn	catur-mahArAjikAn devAn=-trayastriMSAn yAmAn=-tuzitAn nirmANa-ratIn
   paranirmitavaśavartino brahmakāyikān brahmapurohitān mahābrahmān	paranirmitavaSavartinaH brahmakAyikAn brahma-purohitAn mahA-brahmAn
   parīttābhān apramāṇābhān ābhāsvarān parīttaśubhān apramāṇaśubhān	parItta-ABAn apramANa-ABAn ABAsvarAn parItta-SuBAn apramANa-SuBAn
   śubhakṛtsnān anabhrakān puṇyaprasavān bṛhatphalān abṛhān atapān sudṛśān	SuBa-kRtsnAn anaBrakAn puNya-prasavAn bRhat-PalAn abRhAn atapAn su-dRSAn
   sudarśanān akaniṣṭhaparyanteṣu deveṣu gatvā anityaṃ duḥkhaṃ śūnyam	sudarSanAn akanizWa-paryantezu devezu gatvA anityam duHKam SUnyam
   anātmeti udghoṣayanti / gāthādvayaṃ ca bhāṣante /	anAtmA-iti udGozayanti / gATA-dvayam ca BAzante /
   ārabhadhvaṃ niṣkrāmata yujyadhvaṃ buddhaśāsane /	AraBaDvam nizkrAmata yujyaDvam budDa-SAsane /
   dhunīta mṛtyunaḥ sainyaṃ naḍāgāramiva kuñjaraḥ //	DunIta mRtyunaH sEnyam naxa-AgAram-iva kuQjaraH //
   (A-av 33)	(a-a-au 33)
   yo hyasmin dharmavinaye apramattaścariṣyati /	yaH hi-asmin Darma-vinaye apramattaH-carizyati /
   prahāya jātisaṃsāraṃ duḥkhasyāntaṃ kariṣyati //	prahAya jAti-saMsAram duHKasya-antam karizyati //
   atha tā arciṣastrisāhasramahāsāhasraṃ lokadhātumanvāhiṇḍya	aTa tAH arcizaH-tri-sAhasra-mahA-sAhasram lokaDAtum-anvAhiNxya
   bhagavantamevānugacchanti / yadi bhagavānatītaṃ karma vyākartukāmo bhavati	Bagavantam-eva-anugacCanti / yadi BagavAn-atItam karma vyAkartu-kAmaH Bavati
   pṛṣṭhato 'ntardhīyante 'nāgataṃ vyākartukāmo bhavati purato 'ntardhīyante	pRzWatas antarDIyante anAgatam vyAkartu-kAmaH Bavati puratas antarDIyante
   / narakopapattiṃ vyākartukāmo bhavati pādatale 'ntardhīyante /	/ naraka-upapattim vyAkartu-kAmaH Bavati pAda-tale antarDIyante /
   tiryagupapattiṃ vyākartukāmo bhavati pārṣṇyāmantardhīyante / pretopapattiṃ	tiryak-upapattim vyAkartu-kAmaH Bavati pArzNyAm-antarDIyante / preta-upapattim
   vyākartukāmo bhavati pādāṃguṣṭhe 'ntardhīyante / manuṣyopapattiṃ	vyAkartu-kAmaH Bavati pAda-aMguzWe antarDIyante / manuzya-upapattim
   vyākartukāmo bhavati jānuno[ra]ntardhīyante / balacakravartirājyaṃ	vyAkartu-kAmaH Bavati jAnuno[ra]ntarDIyante / bala-cakravarti-rAjyam
   vyākartukāmo bhavati vāme karatale 'ntardhīyante / cakravartirājyaṃ	vyAkartu-kAmaH Bavati vAme kara-tale antarDIyante / cakravarti-rAjyam
   vyākartukāmo bhavati dakṣiṇe karatale 'ntardhīyante / devopapattiṃ	vyAkartu-kAmaH Bavati dakziNe kara-tale antarDIyante / deva-upapattim
   vyākartukāmo bhavati nābhyāmantardhīyante / śrāvakabodhiṃ vyākartukāmo	vyAkartu-kAmaH Bavati nAByAm-antarDIyante / SrAvaka-boDim vyAkartu-kAmaH-
   bhavati āsye 'ntardhīyante / pratyekāṃ bodhiṃ vyākartukāmo bhavati	Bavati Asye antarDIyante / pratyekAm boDim vyAkartu-kAmaH Bavati
   ūrṇāyāmantardhīyante / anuttarāṃ smayaksaṃbodhiṃ vyākartukāmo bhavati	UrNAyAm-antarDIyante / anuttarAm smayaksaMboDim vyAkartu-kAmaH Bavati
   uṣṇīṣe 'ntardhīyante /	uzNIze antarDIyante /
   atha tā arciṣo bhagavantaṃ triḥpradakṣiṇīkṛtya bhagavato vāme karatale	aTa tAH arcizaH Bagavantam tris-pradakziNIkRtya BagavataH vAme kara-tale
   'ntarhitāḥ /	antarhitAH /
   athāyuṣmān ānandaḥ kṛtāñjalipuṭo gāthāṃ bhāṣate / nāhetvapratyayaḥ /	aTa-AyuzmAn AnandaH kRta-aQjali-puwaH gATAm BAzate / na-ahetu-apratyayaH /
   gatoddhavā dainyamadaprahīṇā buddhā jagatyuttamahetubhūtāḥ /	gata-udDavAH dEnya-mada-prahINAH budDAH jagati-uttama-hetu-BUtAH /
   nākāraṇaṃ śaṅkhamṛṇālagauraṃ smitaṃ vidarśenti jinā jitārayaḥ //	na-akAraNam SaFKa-mRNAla-gOram smitam vidarSenti jinAH jita-arayaH //
   tatkālaṃ svayamadhigamya vīra buddhyā śrotṛṇāṃ śramaṇa jinendra	tad-kAlam svayam-aDigamya vIra budDyA SrotRNAm SramaNa jinendra
   kāṃkṣitānāṃ /	kAMkzitAnAm /
   dhīrābhirmunivṛṣa vāgbhiruttamābhirutpannaṃ vyapanaya saṃśayaṃ śubhābhiḥ	DIrABiH-muni-vRza vAgBiH-uttamABiH-utpannam vyapanaya saMSayam SuBABiH
   meghastanitanirghoṣa govṛṣendranibhekṣaṇa /	meGa-stanita-nirGoza govRza-indra-niBa-IkzaNa /
   phalaṃ pāṃśupradānasya vyākuruṣva narottama //	Palam pAMSu-pradAnasya vyAkuruzva nara-uttamaH //
   (A-av 34)	(a-a-au 34)
   bhagavānāha / etadānanda evametad ānanda nāhetvapratyayaṃ tathāgatā	BagavAn-Aha / etat-Ananda evam-etat Ananda na-ahetu-apratyayam taTAgatA
   arhantaḥ samyaksaṃbuddhāḥ smitamupadarśayanti / api tu sahetu sapratyayaṃ	arhantaH samyaksaMbudDAH smitam-upadarSayanti / api tu sa-hetu sa-pratyayam
   tathāgatā arhantaḥ samyaksaṃbuddhāḥ smitamupadarśayanti /	taTAgatAH arhantaH samyaksaMbudDAH smitam-upadarSayanti /
   paśyasi tvamānanda dārakaṃ yena tathāgatasya pātre pāṃśvañjaliḥ prakṣiptaḥ	paSyasi tvam-Ananda dArakam yena taTAgatasya pAtre pAMSu-aQjaliH prakziptaH
   / evaṃ bhadanta / ayamānanda dārakaḥ anena kuśalamūlena	/ evam Badanta / ayam-Ananda dArakaH anena kuSala-mUlena
   varṣaśataparinirvṛtasya tathāgatasya pāṭaliputre nagare 'śoko nāmnā rājā	varza-Sata-parinirvRtasya taTAgatasya pAwaliputre nagare aSokaH nAmnA rAjA
   bhaviṣyati / caturbhāgacakravartī dhārmiko dharmarājā / yo me śarīradhātūn	Bavizyati / catur-BAga-cakravartI DArmikaH DarmarAjAH / yaH me SarIra-DAtUn
   vaistārikān kariṣyati / caturaśītidharmarājikāsahasraṃ pratiṣṭhāpayiṣyati	vEstArikAn karizyati / caturaSIti-DarmarAjikA-sahasram pratizWApayizyati
   / bahujanahitāya pratipatsyate / iti / āha ca /	/ bahu-jana-hitAya pratipatsyate / iti / Aha ca /
   astaṃgate mayi bhaviṣyati saikarājā yo 'sau hyaśoka iti nāma viśālakīrtiḥ	astaMgate mayi Bavizyati sa-eka-rAjAH yaH asO hi-aSokaH iti nAma viSAla-kIrtiH
   maddhātugarbhaparimaṇḍitajambuṣaṇḍam etat kariṣyati narāmarapūjitaṃ nu //	mad-DAtu-garBa-parimaNxita-jambu-zaNxam etat karizyati nara-amara-pUjitam nu //
   ayamasya deyadharmo yat tathāgatasya pāṃśvañjaliḥ pātre prakṣiptaḥ /	ayam-asya deya-DarmaH yat taTAgatasya pAMSu-aQjaliH pAtre prakziptaH /
   yāvad bhagavatā teṣāṃ sarva āyuṣmata ānandāya dattāḥ / gomayena miśrayitvā	yAvat BagavatA tezAm sarve AyuzmataH AnandAya dattAH / gomayena miSrayitvA
   yatra caṃkrame tathāgataścaṃkramyate tatra gomayakārṣī prayaccheti /	yatra caMkrame taTAgataH-caMkramyate tatra gomaya-ka-ArzI prayacCa-iti /
   yāvadāyuṣmatānandena teṣāṃ sagomayena miśrayitvā yatra caṃkramati bhagavān	yAvat-AyuzmatA-Anandena tezAm sa-gomayena miSrayitvA yatra caMkramati BagavAn
   tatra gomayakārṣī dattā /	tatra gomaya-ka-ArzI dattA /
   tena khalu punaḥ samayena rājagṛhe nagare bimbisāro rājā rājyaṃ kārayati /	tena Kalu punar samayena rAja-gRhe nagare bimbisAraH rAjA rAjyam kArayati /
   rājño bimbisārasya ajātaśatruḥ putraḥ / ajātaśatrorudāyī / (A-av 35)	rAjQaH bimbisArasya ajAtaSatruH putraH / ajAta-Satra-Uru-dAyI / (A-au 35)
   udāyibhadrasya muṇḍaḥ / muṇḍasya kākavarṇī / kākavarṇinaḥ sahalī /	udAyiBadrasya muNxaH / muNxasya kAkavarNI / kAkavarNinaH sahalI /
   sahalinastulakuciḥ / tulakucermahāmaṇḍalaḥ / mahāmaṇḍalasya prasenajit /	sa-halinaH-tulakuciH / tulakuceH-mahA-maNxalaH / mahA-maNxalasya prasenajit /
   prasenajito nandaḥ / nandasya bindusāraḥ / pāṭaliputre nagare bindusāro	prasenajitaH nandaH / nandasya bindusAraH / pAwaliputre nagare bindu-sAraH-
   nāma rājā rājyaṃ kārayati / bindusārasya rājñaḥ putro jātaḥ / tasya susīma	nAma rAjA rAjyam kArayati / bindusArasya rAjQaH putraH jAtaH / tasya su-sIma
   iti nāmadheyaṃ kṛtaṃ /	iti nAmaDeyam kRtam /
   tena ca samayena campāyāṃ nagaryāmanyatamo brāhmaṇaḥ / tasya duhitā jātā /	tena ca samayena campAyAm nagaryAm-anyatamaH brAhmaNaH / tasya duhitA jAtAH /
   abhirūpā darśanīyā prāsādikā janapadakalyāṇī / sā naimittikairvyākṛtā /	aBirUpA darSanIyA prAsAdikA janapada-kalyANI / sA nEmittikEH-vyAkRtAH /
   asyā dārikāyā rājā bhartā bhaviṣyati / dve putraratne janayiṣyati /	asyAH dArikAyAH rAjA BartA Bavizyati / dve putra-ratne janayizyati /
   ekaścaturbhāgacakravartī bhaviṣyati / dvitīyaḥ pravrajitvā siddhavrato	ekaH-catur-BAga-cakravartI Bavizyati / dvitIyaH pravrajitvA sidDa-vrataH-
   bhaviṣyati / śrutvā ca brāhmaṇasya romaharṣo jātaḥ / sampattikāmo lokaḥ /	Bavizyati / SrutvA ca brAhmaNasya romaharzaH jAtaH / sampatti-kAmaH lokaH /
   sa tāṃ duhitaraṃ grahāya pāṭaliputraṃ gataḥ / tena sā	sa tAm duhitaram grahAya pAwaliputram gataH / tena sA
   sarvālaṅkārairvibhūṣayitvā rājño bindusārasya bhāryārthamanupradattā /	sarva-alaFkArEH-viBUzayitvA rAjQaH bindusArasya BAryA-arTam-anupradattA /
   iyaṃ hi devakanyādhanyā praśastā ceti /	iyam hi deva-kanyADanyA praSastA ca-iti /
   yāvadrājñā bindusāreṇāntaḥpuraṃ praveśitā / antaḥpurikāṇāṃ buddhirutpannā	yAvat-rAjQA bindusAreNa-antaHpuram praveSitA / antaHpurikANAm budDiH-utpannA
   / iyamabhirūpā prāsādikā janapadakalyāṇī / yadi rājānayā sārdhaṃ	/ iyam-aBirUpA prAsAdikA janapada-kalyANI / yadi rAjA-anayA sArDam
   paricārayiṣyati asmākaṃ bhūyaścakṣuḥsaṃpreṣaṇamapi na kariṣyati / (A-av	paricArayizyati asmAkam BUyas-cakzuH-saMprezaNam-api na karizyati / (a-a-av
   36) tābhiḥ sā nāpitakarma śikṣāpitā / sā rājñaḥ keśaśmaśru prasādhayati /	36) tABiH sA nApita-karma SikzA-pitA / sA rAjQaH keSa-SmaSru prasADayati /
