   uttarabhāgaḥ	uttara BAgaH
   na ca daivaṃ na cādaivaṃ gītaṃ tādṛgbabhūva ha // NarP_2,8.22 //	na ca dEvam na ca AdEvam gItam tAdRS baBUva ha // NA rP_2,8.22 //
   mohinīmukhanirgītaṃ gītaṃ satvavimohanam // NarP_2,8.23 //	mohinI muKa nirgItam gItam satva vimohanam // NA rP_2,8.23 //
   śrutvaiva gītaṃ hi digambarastu tenaiva rūpeṇa varāṅganāyāḥ /	SrutvA eva gItam hi digambaraH tu tena eva rUpeNa vara aFganAyAH /
   kāmāturo bhoktumanāścacāla tāṃ mohinīṃ pārvatidṛṣṭilajjaḥ // NarP_2,8.24	kAma AturaH BoktumanAH cacAla tAm mohinIm pArvati dRzwi lajjaH // NA rP_2,8.24
   iti śrībṛhannāradīyapurāṇottarabhāge mohinīcarite mandakharṇanaṃ nāmāṣṭamo	iti SrI bRhat nAradIyapurANa uttara BAge mohinI carite mandaKarNanam nAma azwamaH 
   'dhyāyaḥ	aDyAyaH
   sautiruvāca	sOtiH uvAca
   rukmāṅgadastu rājendro bhuktvā bhogāṃstumānuṣān /	rukma aFgadaH tu rAja indraH BuktvA BogAn= tu mAnuzAn /
   saṃpūjya bahuśo devaṃ pītāṃbaradharaṃ haram // NarP_2,9.1 //	saMpUjya bahuSas devam pIta aMbara Daram haram // NA rP_2,9.1 //
   datvā mūrdhni padaṃ viprāḥ śatrīṇāṃ raṇaśālinām /	datvA mUrDni padam viprAH SatrINAm raNa SAlinAm /
   kṛtvā śūnyaṃ yamapathaṃ jitvā vaivasvataṃ yamam // NarP_2,9.2 //	kRtvA SUnyam yama paTam jitvA vEvasvatam yamam // NA rP_2,9.2 //
   vaikuṇṭhasya tu panthānaṃ saṃpūrṇaṃ mānavaiḥ kṛtam /	vEkuNWasya tu panTAnam saMpUrNam mAnavEH kRtam /
   āhūya tanayaṃ kāle dharmāṅgadamabhāṣata // NarP_2,9.3 //	AhUya tanayam kAle Darma aFgadam aBAzata // NA rP_2,9.3 //
   etāṃ vasumatīṃ putra vasupūrṇāṃ samantataḥ /	etAm vasumatIm putra vasu pUrNAm samantataH /
   paripālaya vīryeṇa svadharme kṛtaniścayaḥ // NarP_2,9.4 //	paripAlaya vIryeNa svaDarme kRta niScayaH // NA rP_2,9.4 //
   putra samarthe jāte yo rājyaṃ na pratipādayet /	putra samarTe jAte yaH rAjyam na pratipAdayet /
   tasya dharmastathā kīrtirvinasyati na saṃśayaḥ // NarP_2,9.5 //	tasya DarmaH taTA kIrtiH vinasyati na saMSayaH // NA rP_2,9.5 //
   samarthena ca putreṇa yo na yāti pitā sukham /	samarTena ca putreNa yaH na yAti pitA suKam /
   avaśya pātakī so 'pi vijñeyo bhuvanatraye // NarP_2,9.6 //	avaSya pAtakI saH api vijQeyaH Buvanatraye // NA rP_2,9.6 //
   piturbhārakṣamaḥ putro bhāraṃ nodvahate tu yaḥ /	pituH BAra kzamaH putraH BAram na udvahate tu yaH /
   māturuccāravajjāto dvijihvo viṣavarjitaḥ // NarP_2,9.7 //	mAtuH uccAra vat jAtaH dvijihvaH viza varjitaH // NA rP_2,9.7 //
   sa putro yo 'dhikakhyātaḥ piturbhavati bhūtale /	sa putraH yaH aDika KyAtaH pituH Bavati BU tale /
   prakāśayati sarvatra svakarairiva bhāskaraḥ // NarP_2,9.8 //	prakASayati sarvatra sva karEH iva BAskaraH // NA rP_2,9.8 //
   putrāpanayajairduḥkhai rātrau jāgartiṃ yatpitā /	putra apanayajEH duHKEH rAtrO jAgartim yat pitA /
   sa putro narakaṃ yāti yāvadābhūtasaṃplavam // NarP_2,9.9 //	sa putraH narakam yAti yAvat ABUtasaMplavam // NA rP_2,9.9 //
   piturvacanamādṛtya sarvaṃ yaḥ kurute gṛhe /	pituH vacanam AdRtya sarvam yaH kurute gRhe /
   sa yāti deva sāyujyaṃ stūyamāno divi sthitaiḥ // NarP_2,9.10 //	sa yAti deva sAyujyam stUyamAnaH divi sTitEH // NA rP_2,9.10 //
   so 'haṃ prajākṛte putra āsaktaḥ karmabhiḥ kṣitau /	saH aham prajA kRte putraH AsaktaH karmaBiH kzitO /
   na bhuktaṃ naiva suptaṃ tu svecchayā pālane sthitaḥ // NarP_2,9.11 //	na Buktam na eva suptam tu sva icCayA pAlane sTitaH // NA rP_2,9.11 //
   asamarthe tvayi suta na prāptaṃ hi mayā sukham /	asamarTe tvayi suta na prAptam hi mayA suKam /
   viṣṇuvāsarabhoktṝṇāṃ nigrahe kṛtabuddhinā // NarP_2,9.12 //	vizNu vAsara BoktLNAm nigrahe kRtabudDinA // NA rP_2,9.12 //
   kecicchaive sthitā mārge saure kecidvyavasthitāḥ /	kecid SEve sTitAH mArge sOre kecid vyavasTitAH /
   viriñcimārgagāścānye pārvatyāśca sthitāḥ pare // NarP_2,9.13 //	viriQci mArga gAH ca anye pArvatyAH ca sTitAH pare // NA rP_2,9.13 //
   sāyaṃ ca prātarāsīnā agnihotre vyavasthitāḥ /	sAyam ca prAtarAsInAH agnihotre vyavasTitAH /
   bālo yuvā vā vṛddho vā gurviṇī vā kumārikā // NarP_2,9.14 //	bAlaH yuvA vA vRdDaH vA gurviNI vA kumArikAH // NA rP_2,9.14 //
   sarogo vikalo vāpi na śaknoti hyupoṣitum /	sa rogaH vikalaH vA api na Saknoti hi upozitum /
   ityevaṃ jalpitaṃ yaistu tānnirasya samantataḥ // NarP_2,9.15 //	iti evam jalpitam yEH tu tAn nirasya samantataH // NA rP_2,9.15 //
   vacobhistu purāṇoktairvāsarairbahubhistvaham /	vacoBiH tu purANa uktEH vAsarEH bahuBiH tu aham /
   saṃbodhayitvā bahuśaḥ prajānāṃ sukhahetave // NarP_2,9.16 //	saMboDayitvA bahuSas prajAnAm suKa hetave // NA rP_2,9.16 //
   nigṛhya tānharidine nirāhārānkaromi ca /	nigRhya tAn hari dine nirAhArAn karomi ca /
   śāstradṛṣṭyā tu viduṣo mūrkhāndaṇḍanapūrvakam // NarP_2,9.17 //	SAstra dRzwyA tu viduzaH mUrKAn daNxana pUrvakam // NA rP_2,9.17 //
   śāsayitvā kṛtāḥ sarve nirāhārā harerdine /	SAsayitvA kRtAH sarve nirAhArAH hareH dine /
   tena me na sukhaṃ kiñcidavalīḍhaṃ dharātale // NarP_2,9.18 //	tena me na suKam kiQcid avalIXam DarA tale // NA rP_2,9.18 //
   kaccinna duḥkhena janānyojayetkila putraka /	kaccit na duHKena janAn yojayet kila putrakaH /
   svebhyo vāpi parebhyo vā yā rakṣecca prajā nṛpaḥ // NarP_2,9.19 //	sveByaH vA api pareByaH vA yA rakzet ca prajAH nRpaH // NA rP_2,9.19 //
   tasyāmī hyakṣayā lokāḥ purāṇeṣu prakīrtitāḥ /	tasya amI hi akzayAH lokAH purANezu prakIrtitAH /
   so 'haṃ prajākṛte saumya saṃsthito nātmanaḥ kvacit // NarP_2,9.20 //	saH aham prajA kRte sOmya saMsTitaH na AtmanaH kvacid // NA rP_2,9.20 //
   saukhyamicchāmyahaṃ bhoktuṃ mṛgayādisamudbhavam /	sOKyam icCAmi aham Boktum mRgayA Adi samudBavam /
   na pānadyūtajaṃ putra kāmaye 'haṃ kadācana // NarP_2,9.21 //	na pAna dyUta jam putra kAmaye aham kadAcana // NA rP_2,9.21 //
   eṣu sakto 'cirātputra vināśaṃ yāti pārthivaḥ /	ezu saktaH acirAt putra vinASam yAti pArTivaH /
   tvatprasādādahaṃ putra mṛgayāvyājato 'dhunā // NarP_2,9.22 //	tvad prasAdAt aham putra mRgayA vyAjataH aDunA // NA rP_2,9.22 //
   girīnvanāni saritaḥ sarāṃsi vividhāni ca /	girIn vanAni saritaH sarAMsi viviDAni ca /
   bhoktukāmaḥ priyānkāmāṃstvayi bhāraṃ niveśya ca // NarP_2,9.23 //	Boktu kAmaH priyAn kAmAn= tvayi BAram niveSya ca // NA rP_2,9.23 //
   etatsarvaṃ samākhyātaṃ yatsthitaṃ hṛdaye mama /	etat sarvam samAKyAtam yat sTitam hRdaye mama /
   kṛte tava mahākīrtirakṛte narakasthitiḥ // NarP_2,9.24 //	kRte tava mahA kIrtiH akRte naraka sTitiH // NA rP_2,9.24 //
   dharmāṅgada uvāca	DarmAFgadaH uvAca
   sarvametatkariṣyāmi bhuṅkṣva bhogānmano 'nugān /	sarvam etat karizyAmi BuFkzva BogAn manaH anugAn /
   gurvīṃ rājyadhuraṃ tāta tvadīyāmuddharāmyaham // NarP_2,9.25 //	gurvIm rAjya Duram tAta tvadIyAm udDarAmi aham // NA rP_2,9.25 //
   nahi me 'nyaḥ smṛto dharmastvadvākyakaraṇaṃ vinā /	na hi me anyaH smRtaH DarmaH tvad vAkya karaNam vinA /
   piturvākyamakurvāṇaḥ kurvandharmānadho vrajet // NarP_2,9.26 //	pituH vAkyam akurvANaH kurvan DarmAn aDas vrajet // NA rP_2,9.26 //
   tasmātkariṣye vacanaṃ tvadīyaṃ prāñjaliḥ sthitaḥ /	tasmAt karizye vacanam tvadIyam prAQjaliH sTitaH /
   evamukte tu vacane rājā hṛṣṭo babhūva ha // NarP_2,9.27 //	evam ukte tu vacane rAjA hRzwaH baBUva ha // NA rP_2,9.27 //
   gantukāmo mṛgānbhūyolabdhvā jñātvā vanaṃ tataḥ /	gantu kAmaH mRgAn BUyas labDvA jQAtvA vanam tatas /
   dharmāṅgado 'pi dṛṣṭātmā prajā āhūya cābravīt // NarP_2,9.28 //	Darma aFgadaH api dRzwa AtmA prajAH AhUya ca abravIt // NA rP_2,9.28 //
   pitrā niyukto bhavatāṃ pālanāya hitāya ca /	pitrA niyuktaH BavatAm pAlanAya hitAya ca /
   piturvākyaṃ mayā kāryaṃ sarvathā dharmamicchatā // NarP_2,9.29 //	pituH vAkyam mayA kAryam sarvaTA Darmam icCatA // NA rP_2,9.29 //
   nānyo hi dharmaḥ putrasya piturvākyaṃ vinā prajāḥ /	na anyaH hi DarmaH putrasya pituH vAkyam vinA prajAH /
   mayi daṇḍadhare śāstā na yamo bhavati kvacit // NarP_2,9.30 //	mayi daNxaDare SAstA na yamaH Bavati kvacid // NA rP_2,9.30 //
   evaṃ jñātvā tu yuṣmābhiḥ smartavyo garuḍadhvajaḥ /	evam jQAtvA tu yuzmABiH smartavyaH garuxaDvajaH /
   brahmārpaṇaprayogeṇa yajanīyo janārdanaḥ // NarP_2,9.31 //	brahma arpaNa prayogeNa yajanIyaH janArdanaH // NA rP_2,9.31 //
   mamatvaṃ hi parityajya svajātivihitena ca /	mamatvam hi parityajya sva jAti vihitena ca /
   yena vo hyakṣayā lokā bhaveyurnātra saṃśayaḥ // NarP_2,9.32 //	yena vaH hi akzayAH lokAH BaveyuH na atra saMSayaH // NA rP_2,9.32 //
   pitṛmārgādhiko hyeṣa bhavatāṃ darśitaḥ prajāḥ /	pitR mArga aDikaH hi eza BavatAm darSitaH prajAH /
   brahmārpaṇakriyāyuktā bhavantu jñānakovidāḥ // NarP_2,9.33 //	brahma arpaNa kriyA yuktAH Bavantu jQAna kovidAH // NA rP_2,9.33 //
   na bhoktavyaṃ haridine paitro mārgastu śāśvataḥ /	na Boktavyam hari dine pEtraH mArgaH tu SASvataH /
   viśeṣo hi mayākhyāto bhavatāṃ brahmasaṃsthitiḥ // NarP_2,9.34 //	viSezaH hi mayA AKyAtaH BavatAm brahma saMsTitiH // NA rP_2,9.34 //
   prayoktavyā ca tattvajñaiḥ punarāvṛtti durlabhā /	prayoktavyA ca tattva jQEH punarAvRtti durlaBA /
   yadupoṣyaṃ haridinaṃ tadavaśyamiti sthitiḥ // NarP_2,9.35 //	yat upozyam hari dinam tat avaSyam iti sTitiH // NA rP_2,9.35 //
   anunīya prajāḥ sarvāḥ samāśvātyata punaḥ punaḥ /	anunIya prajAH sarvAH samASvAtyata punar punar /
   na divā na ca śarvaryāṃ śete dharmāṃ gadaḥ sadā // NarP_2,9.36 //	na divA na ca SarvaryAm Sete DarmAm gadaH sadA // NA rP_2,9.36 //
   sarvatra bhramate śauryātkurvanniṣkaṇṭakāṃ kṣitim /	sarvatra Bramate SOryAt kurvat nizkaNwakAm kzitim /
   paṭaho raṭate nityaṃ mṛgāriripumastake // NarP_2,9.37 //	pawahaH rawate nityam mRgAri ripu mastake // NA rP_2,9.37 //
   abhuktvā dvādaśīṃ lokā mamatvena vivarjitāḥ /	aBuktvA dvAdaSIm lokAH mamatvena vivarjitAH /
   trividheṣu ca kāryeṣu deveśaścintyatāṃ hariḥ // NarP_2,9.38 //	triviDezu ca kAryezu deveSaH cintyatAm hariH // NA rP_2,9.38 //
   havyakavyavaho devaḥ sa eva puruṣottamaḥ /	havya kavya vahaH devaH saH eva puruzottamaH /
   sūrye yo hi kṛśākāśe visarge jagatāṃ patiḥ // NarP_2,9.39 //	sUrye yaH hi kRSa AkASe visarge jagatAm patiH // NA rP_2,9.39 //
   smarttavyo manujaiḥ sarvairdharmakāmārthakāmukaiḥ /	smarttavyaH manujEH sarvEH Darma kAma arTa kAmukEH /
   svajātivihito 'pyevaṃ sanmārge caiva mādhavaḥ // NarP_2,9.40 //	sva jAti vihitaH api evam sat mArge ca eva mADavaH // NA rP_2,9.40 //
   sa eva bhoktā bhoktavyaḥ sa eva puruṣottamaḥ /	saH eva BoktA BoktavyaH saH eva puruzottamaH /
   viniyogastu tasyaiva sarvakarmasu yujyate // NarP_2,9.41 //	viniyogaH tu tasya eva sarva karmasu yujyate // NA rP_2,9.41 //
   evaṃ raṭanti viprendrāḥ paṭahe meghaniḥsvane /	evam rawanti vipra indrAH pawahe meGa niHsvane /
   evaṃ dharmamavāpyātha pitāṃ dharmāṅgadasya hi // NarP_2,9.42 //	evam Darmam avApya aTa pitAm Darma aFgadasya hi // NA rP_2,9.42 //
   jñātvā putraṃ kriyopetamātmano hyadhikaṃ dvijāḥ /	jQAtvA putram kriyA upetam AtmanaH hi aDikam dvijAH /
   uvāca bhāryāṃ saṃhṛṣṭaḥ sthitāṃ lakṣmīmivāparām // NarP_2,9.43 //	uvAca BAryAm saMhRzwaH sTitAm lakzmIm iva aparAm // NA rP_2,9.43 //
   saṃdhyāvali hyahaṃ dhanyastvaṃ cāpi varavarṇinī /	saMDyA vali hi aham DanyaH tvam ca api varavarNinI /
   ubhayorjanitaḥ putraḥ śaśāṅkadhavalaḥ kṣitau // NarP_2,9.44 //	uBayoH janitaH putraH SaSAFka DavalaH kzitO // NA rP_2,9.44 //
   karṇābhyāṃ śrūyate mokṣo na dṛṣṭaḥ kenacitkvacit /	karNAByAm SrUyate mokzaH na dRzwaH kenacid kvacid /
   so 'smābhiradhikaṃ prāpto mokṣaḥ satputrasaṃbhavaḥ // NarP_2,9.45 //	saH asmABiH aDikam prAptaH mokzaH sat putra saMBavaH // NA rP_2,9.45 //
   putre vinayasaṃpanne vṛttāśauryasamanvite /	putre vinaya saMpanne vRtta aSOrya samanvite /
   pratāpini varārohe piturmokṣo gṛhe dhruvam // NarP_2,9.46 //	pratApini varArohe pituH mokzaH gRhe Druvam // NA rP_2,9.46 //
   ānandaṃ brahmaṇo rūpaṃ śatānandaḥ sutena yaḥ /	Anandam brahmaNaH rUpam SatAnandaH sutena yaH /
   pitā bhavati cārvaṅgi satkarmakaraṇaiḥ śubhaiḥ // NarP_2,9.47 //	pitA Bavati cAru aFgi sat karma karaNEH SuBEH // NA rP_2,9.47 //
   naitatsāmyaṃ bhaveddevi loke sthāvarajaṅgame /	na etat sAmyam Bavet devi loke sTAvara jaFgame /
   satputraḥ piturādāya bhāramudvahate tu yaḥ // NarP_2,9.48 //	sat putraH pituH AdAya BAram udvahate tu yaH // NA rP_2,9.48 //
   so 'haṃ gamiṣyāmi vanāya hṛṣṭo vihāraśīlo mṛgahiṃsanāya /	saH aham gamizyAmi vanAya hRzwaH vihAra SIlaH mRga hiMsanAya /
   svecchācaraścātha viśālanetre vimuktapāpo janarakṣaṇāya // NarP_2,9.49 //	svecCA caraH ca aTa viSAla netre vimukta pApaH jana rakzaNAya // NA rP_2,9.49 //
   iti śrībṛhannāradīyapurāṇottarebhāge rukmāṅgadadharmāṅgadasaṃvādo nāma	iti SrI bRhat nAradIya purANa uttareBAge rukma aFgada Darma aFgada saMvAdaH nAma
   navamo 'dhyāyaḥ	navamaH aDyAyaH
   vasiṣṭha uvāca	vasizWaH uvAca
   tataḥ prāha viśālākṣī bharturvākyaṃ niśamya sā /	tatas prAha viSAla akzI BartuH vAkyam niSamya sA /
   satyamuktaṃ tvayā rājanputrasaukhyātparaṃ sukham // NarP_2,10.1 //	satyam uktam tvayA rAjan putra sOKyAt param suKam // NA rP_2,10.1 //
   na bhavediha rājendra munīnāṃ bhāṣitaṃ yathā /	na Bavet iha rAja indra munInAm BAzitam yaTA /
   tulyaṃ bhavati loke 'smin viṣṇvākhyasya parasya hi // NarP_2,10.2 //	tulyam Bavati loke asmin vizNu AKyasya parasya hi // NA rP_2,10.2 //
   putre bhārastvayā nyastaḥ saptadvīpasamudbhavaḥ /	putre BAraH tvayA nyastaH sapta dvIpa samudBavaH /
   mārgī hiṃsāṃ parityajya yajñairiṣṭvā janārdanam // NarP_2,10.3 //	mArgI hiMsAm parityajya yajQEH izwvA janArdanam // NA rP_2,10.3 //
   bhogaspṛhāṃ parityajya sevasya suranimnagām /	Boga spRhAm parityajya sevasya sura nimnagAm /
   etannyāyyaṃ bhavati bho na nyāyyo mṛganigrahaḥ // NarP_2,10.4 //	etat nyAyyam Bavati Bo na nyAyyaH mRga nigrahaH // NA rP_2,10.4 //
   hṛdaye nakhapāto hi vṛddhāyā bhūpate yathā /	hRdaye naKa pAtaH hi vRdDAyAH BUpate yaTA /
   tathā viṣayasevā hi pitṝṇāṃ putriṇāṃ viduḥ // NarP_2,10.5 //	taTA vizaya sevA hi pitLNAm putriNAm viduH // NA rP_2,10.5 //
   gṛhe vāpi hṛṣīkeśaṃ pūjayasva mahīpate /	gRhe vA api hRzIkeSam pUjayasva mahIpate /
   nirdeṣamṛgayūthānāṃ na yuktaṃ sūdanaṃ tava // NarP_2,10.6 //	nirdeza mRga yUTAnAm na yuktam sUdanam tava // NA rP_2,10.6 //
   ahiṃsā paramo dharmaḥ purāṇe parikīrtitaḥ /	ahiMsA paramaH DarmaH purANe parikIrtitaH /
   hiṃsayā vartamānasya vyartho dharmmobhavediti /	hiMsayA vartamAnasya vyarTaH DarmmoBavet iti /
   kurvannapi vṛthā dharmānyo hiṃsāmanuvartate // NarP_2,10.7 //	kurvan= api vRTA DarmAn yaH hiMsAm anuvartate // NA rP_2,10.7 //
   parairupahatāṃ bhūpa nopabhuñjanti sādhavaḥ /	parEH upahatAm BUpa na upaBuQjanti sADavaH /
   ṣaḍvidhaṃ nṛpa te proktaṃ vidvadbhirjīvaghātanam // NarP_2,10.8 //	zaxviDam nRpa te proktam vidvadBiH jIva GAtanam // NA rP_2,10.8 //
   anumodayitā pūrvaṃ dvitīyo ghātakaḥ smṛtaḥ /	anumodayitA pUrvam dvitIyaH GAtakaH smRtaH /
   viśvāsakastṛtīyo 'pi caturtho bhakṣakastathā /	viSvAsakaH tRtIyaH api caturTaH BakzakaH taTA /
   pañcamaḥ pācakaḥ proktaḥ ṣaṣṭho bhūpātra vigrahī /	paQcamaH pAcakaH proktaH zazWaH BUpa atra vigrahI /
   hiṃ sayā saṃyutaṃ dharmamadharmaṃ ca vidurbudhāḥ // NarP_2,10.9 //	him sayA saMyutam Darmam aDarmam ca viduH buDAH // NA rP_2,10.9 //
   na pāpaṃ kurute bhūpa putre bhāraṃ niveśya vai /	na pApam kurute BUpa putre BAram niveSya vE /
   dharmaṃ samāśrayamansamyaksaṃjātapalitaḥ pitā // NarP_2,10.10 //	Darmam samASraya man samyaksaMjAta palitaH pitA // NA rP_2,10.10 //
   parityajya imaṃ bhāvaṃ mṛgahiṃsāsamudbhavam /	parityajya imam BAvam mRga hiMsA samudBavam /
   mṛgaśīlā hi rājāno vinaṣṭāḥ śataśo na pa // NarP_2,10.11 //	mRga SIlAH hi rAjAnaH vinazwAH SataSas na paH // NA rP_2,10.11 //
   tasmādduṣṭaṃ hi tanmanye yatra mṛgapātanam /	tasmAt duzwam hi tat manye yatra mRga pAtanam /
   dayā varā mṛge rījñāṃ dharmiṇāmapi dṛśyate // NarP_2,10.12 //	dayA varA mRge rIjQAm DarmiNAm api dRSyate // NA rP_2,10.12 //
   nivārito mayā hi tvaṃ hitabuddhyā punaḥ punaḥ /	nivAritaH mayA hi tvam hita budDyA punar punar /
   evaṃ bruvāṇāṃ tāṃ bhāryāṃ nṛpo vacanamabravīt // NarP_2,10.13 //	evam bruvANAm tAm BAryAm nRpaH vacanam abravIt // NA rP_2,10.13 //
   nahirhise mṛgāndevi mṛgavyājena kānane /	na hiH hise mRgAn devi mRga vyAjena kAnane /
   paryyaṭiṣye dhanuṣpāṇiḥ kurvankaṇṭakaśodhanam // NarP_2,10.14 //	paryyawizye DanuzpANiH kurvan kaNwaka SoDanam // NA rP_2,10.14 //
   janamadhye suto me 'stu kānane 'haṃ varānane /	jana maDye sutaH me astu kAnane aham varAnane /
   śvāpadebhyaśca dasyubhyaḥ prajā rakṣyā mahībhṛtā // NarP_2,10.15 //	SvApadeByaH ca dasyuByaH prajAH rakzyAH mahIBRtA // NA rP_2,10.15 //
   ātmanāvātha putreṇa gopanīyāḥ prajā śubhe /	AtmanA AvA aTa putreNa gopanIyAH prajA SuBe /
   prajā arakṣannṛpatiḥ sadharmmo 'pi vrajatyadhaḥ // NarP_2,10.16 //	prajAH arakzat nRpatiH saDarmmaH api vrajati aDas // NA rP_2,10.16 //
   so 'haṃ rakṣaṇamuddiśyagamiṣyāmi vanaṃ priye /	saH aham rakzaNam uddiSya gamizyAmi vanam priye /
   vimuktabhāvo 'hamiti meruśṛṅge raviryathā // NarP_2,10.17 //	vimukta BAvaH aham iti meru SRFge raviH yaTA // NA rP_2,10.17 //
   evamuddiśya tāṃ rājā āruroha hayottamam /	evam uddiSya tAm rAjA Aruroha haya uttamam /
   doṣāpatisamaprakhyaṃ nirdeṣaṃ kṣitibhūṣaṇam // NarP_2,10.18 //	doza apati sama praKyam nirdezam kziti BUzaNam // NA rP_2,10.18 //
   devavāhasamaṃ rūpe prabhañjanasamaṃ jave /	devavAha samam rUpe praBaQjana samam jave /
   dharāmādṛtya bhūpālo datvā taṃ dakṣiṇaṃ karam // NarP_2,10.19 //	DarAm AdRtya BUpAlaH datvA tam dakziNam karam // NA rP_2,10.19 //
   sahasrakoṭidātāraṃ kāminīkucapīḍanam /	sahasra kowi dAtAram kAminI kuca pIxanam /
   aśokapallavākāraṃ vajrāṅkuśavirohaṇam // NarP_2,10.20 //	aSoka pallava AkAram vajra aFkuSa virohaNam // NA rP_2,10.20 //
   saṃpratasthe mahīpālaścālayāno mahītalam /	saMpratasTe mahIpAlaH ca AlayAnaH mahI talam /
   sādhayāno yayau deśānkānanaṃ sa nṛpottamaḥ // NarP_2,10.21 //	sADayAnaH yayO deSAn kAnanam sa nRpa uttamaH // NA rP_2,10.21 //
   vājivegena nirddhūtā vāraṇāḥ syandanā hayāḥ /	vAji vegena nirdDUtAH vAraNAH syandanAH hayAH /
   padātayo nipetuste mūrcchitāḥ kṣitimaṇḍale // NarP_2,10.22 //	padAtayaH nipetuH te mUrcCitAH kziti maNxale // NA rP_2,10.22 //
   sa rājā sahasā prāpto munīnāmāśramaṃ param /	sa rAjA sahasA prAptaH munInAm ASramam param /
   yojanānāṃ samuttīrya śatamaṣṭottaraṃ nṛpa // NarP_2,10.23 //	yojanAnAm samuttIrya Satam azwa uttaram nRpa // NA rP_2,10.23 //
   praviveśāśramaṃ ramyaṃ kadalīkhaṇḍamaṇḍitam /	praviveSa ASramam ramyam kadalI KaNxa maNxitam /
   aśokabakulopetaṃ punnāgasaralāvṛtam // NarP_2,10.24 //	aSoka bakula upetam punnAga sarala AvRtam // NA rP_2,10.24 //
   mātuliṅgaiḥ kapitthaiśca kharjūraiḥ panasādibhiḥ /	mAtuliFgEH kapitTEH ca KarjUrEH panasa AdiBiH /
   nārikelaistathā tālaiḥ ketakaiḥ siṃduvārakaiḥ // NarP_2,10.25 //	nArikelEH taTA tAlEH ketakEH siMduvArakEH // NA rP_2,10.25 //
   candanaiḥ satamālaiśca sālaiḥ pippalacaṃpakaiḥ /	candanEH sa tamAlEH ca sAlEH pippala caMpakEH /
   kramukairdāḍimaiścaiva dhātrīvṛkṣaiḥ sahasraśaḥ // NarP_2,10.26 //	kramukEH dAximEH ca eva DAtrI vRkzEH sahasraSas // NA rP_2,10.26 //
   nimbavṛkṣaiśca bahuśastathāmrairlodhrapādapaiḥ /	nimba vRkzEH ca bahuSas taTA AmrEH loDra pAdapEH /
   paripakvaphalairnamraiḥ khagārūḍhaiḥ samāvṛtam // NarP_2,10.27 //	paripakva PalEH namrEH Kaga ArUXEH samAvRtam // NA rP_2,10.27 //
   hyadyena vāyunā yuktaṃ puṣpagandhāvṛtena hi /	hi adyena vAyunA yuktam puzpa ganDa AvRtena hi /
   paśyamāno muniṃ rājā dadarśa hutabhukprabham // NarP_2,10.28 //	paSyamAnaH munim rAjA dadarSa hutaBuj praBam // NA rP_2,10.28 //
   vāmadevaṃ dvijavaraṃ bahuśiṣyasamāvṛtam /	vAmadevam dvija varam bahu Sizya samAvRtam /
   avaruhya hayāddṛṣṭvā praṇanāma ca sādaram // NarP_2,10.29 //	avaruhya hayAt dRzwvA praNanAma ca sa Adaram // NA rP_2,10.29 //
   tenāpi muninā rājā hyarghādyairabhipūjitaḥ /	tena api muninA rAjA hi arGa AdyEH aBipUjitaH /
   upaviśyāsane kauśe prāha saṃhṛṣṭayā girā // NarP_2,10.30 //	upaviSya Asane kOSe prAha saMhRzwayA girA // NA rP_2,10.30 //
   adya me pātakaṃ kṣīṇaṃ saṃprāptaṃ karmaṇaḥ phalam /	adya me pAtakam kzINam saMprAptam karmaNaH Palam /
   dṛṣṭvā tava padāṃbhojaṃ samyagdhyānaparasya ca // NarP_2,10.31 //	dRzwvA tava padAMBojam samyak DyAna parasya ca // NA rP_2,10.31 //
   tacchrutvā vacanaṃ tasya rukmāṅgadamahīpateḥ /	tat SrutvA vacanam tasya rukma aFgada mahIpateH /
   saṃpṛṣṭvā kuśalaṃ prāha vāmadevo mudānvitaḥ // NarP_2,10.32 //	saMpRzwvA kuSalam prAha vAmadevaH mudA anvitaH // NA rP_2,10.32 //
   rājaṃstvayātipuṇyena viṣṇubhaktena vīkṣitaḥ /	rAjan= tvayA ati puNyena vizNu Baktena vIkzitaH /
   mamāśramo mahābhāga puṇyo jāto dharātale // NarP_2,10.33 //	mama ASramaH mahABAga puNyaH jAtaH DarA tale // NA rP_2,10.33 //
   kaste 'nyastulyatāmeti pārthivo dharaṇītale /	kaH te anyaH tulya tAm eti pArTivaH DaraNI tale /
   yena vaivasvato māgro bhagno nirjitya vai yamam // NarP_2,10.34 //	yena vEvasvataH mAgraH BagnaH nirjitya vE yamam // NA rP_2,10.34 //
   prāpitaḥ sakalo loko vaikuṇṭhaṃ padamavyayam /	prApitaH sakalaH lokaH vEkuNWam padam avyayam /
   upoṣayitvā nṛpatedvādaśīṃ pāpanāśinīm // NarP_2,10.35 //	upozayitvA nRpatedvAdaSIm pApa nASinIm // NA rP_2,10.35 //
   caturbhiḥ śobhanopāyaiḥ prajāḥ sayamya bhūtale /	caturBiH SoBana upAyEH prajAH sayamya BU tale /
   svakarmasthā vikarmasthā nītā madhubhidaḥ padam // NarP_2,10.36 //	sva karma sTAH vikarma sTAH nItAH maDuBidaH padam // NA rP_2,10.36 //
   so 'smākaṃ draṣṭukāmānāṃ saṃprāpto darśanaṃ nṛpa /	saH asmAkam drazwu kAmAnAm saMprAptaH darSanam nRpa /
