   Stage director	Stage directoH-
   svayam|| 27|| duryodhanaḥ	svayam|| 27|| duryoDanaH
   sarvathā vañcitastvayā kaṃsaḥ| alamātmastavena| na śauryametat| paśya|	sarvaTA vaQcitaH-tvayA kaMsaH| alam-Atma-stavena| na SOryam-etat| paSya|
   jāmātṛnāśavyasanābhitapte roṣābhibhūte magadheśvare.atha| palāyamānasya	jAmAtR-nASa-vyasana-aBitapte roza-aBiBUte magaDa-ISvare.aTa| palAyamAnasya
   bhayāturasya	Baya-Aturasya
   śauryaṃ tadetatkva gataṃ tavāsīt|| 28|| vāsudevaḥ	SOryam tat-etat-kva gatam tava-AsIt|| 28|| vAsudevaH
   bhoḥ suyodhana deśakālāvasthāpekṣitaṃ khalu śauryaṃ nayānugāminām| iha	BoH suyoDana deSa-kAla-avasTApekzitam Kalu SOryam naya-anugAmi-nAm| iha
   tiṣṭhatu	tizWatu
   tāvadasmadgataḥ parihāsaḥ| svakāryamanuṣṭhīyatām|	tAvat-asmad-gataH parihAsaH| sva-kAryam-anuzWIyatAm|
   kartavyo bhrātṛṣu sneho vismartavyā guṇetarāḥ| saṃbandho bandhubhiḥ	kartavyaH BrAtRzu snehaH vismartavyAH guNa-itarAH| saMbanDaH banDuBiH
   śreyānlokayorubhayorapi||	SreyAn-lokayoH-uBayoH-api||
   29|| duryodhanaḥ devātmajairmanuṣyāṇāṃ kathaṃ vā bandhutā bhavet|	29|| duryoDanaH deva-AtmajEH-manuzyANAm kaTam vA banDu-tA Bavet-|
   piṣṭapeṣaṇametāvatparyāptaṃ chidyatāṃ kathā|| 30|| vāsudevaḥ	pizwa-pezaNam-etAvat-paryAptam CidyatAm kaTA|| 30|| vAsudevaH
   ātmagatam|	Atma-gatam|
   prasādyamānaḥ sāmnāyaṃ na svabhāvaṃ vimuñcati| hanta saṃkṣobhayāmyenaṃ	prasAdyamAnaH sAmnA-ayam na svaBAvam vimuQcati| hanta saMkzoBayAmi-enam
   vacobhiḥ	vacoBiH
   paruṣākṣaraiḥ|| 31||	paruza-akzarEH|| 31||
   prakāśam|bhoḥ suyodhana kiṃ na jānīṣe.arjunasya balaparākramam|	prakASam|BoH suyoDana kim na jAnIze.-arjunasya bala-parAkramam|
   duryodhanaḥ	duryoDanaH
   na jāne|	na jAne|
   vāsudevaḥ	vAsudevaH
   bhoḥ śrūyatām|	BoH SrUyatAm|
   kairātaṃ vapurāsthitaḥ paśupatiryuddhena saṃtoṣito vahneḥ khāṇḍavamaśnataḥ	kErAtam vapuH-AsTitaH paSupatiH-yudDena saMtozitaH vahneH KANxavam-aSnataH
   sumahatī vṛṣṭiḥ	su-mahatI vRzwiH
   śaraiśchāditā| devendrārtikarā nivātakavacā nītāḥ kṣayaṃ līlayā nanvekena	SarEH-CAditA| deva-indra-Arti-karAH nivAta-kavacAH nItAH kzayam lIlayA nanu-ekena
   tadā	tadA
   virāṭanagare	virAwa-nagare
   bhīṣmādayo nirjitāḥ|| 32||	BIzma-AdayaH nirjitAH|| 32||
   api ca tavāpi pratyakṣamaparaṃ kathayāmi|	api ca tava-api pratyakzam-aparam kaTayAmi|
   nanu tvaṃ citrasenena nīyamāno nabhastalam| vikrośanghoṣayātrāyāṃ	nanu tvam citrasenena nIyamAnaH naBaH-talam| vikroSan-Goza-yAtrAyAm
   phalgunenaiva	Palgunena-eva
   mokṣitaḥ|| 33||	mokzitaH|| 33||
   kiṃ bahunā|	kim bahunA|
   dātumarhasi madvākyādrājyārdhaṃ dhṛtarāṣṭraja| anyathā sāgarāntāṃ gāṃ	dAtum-arhasi mad-vAkyAt-rAjya-arDam DRtarAzwra-ja| anyaTA sAgara-antAm gAm
   hariṣyanti	harizyanti
   hi	hi
   pāṇḍavāḥ|| 34|| duryodhanaḥ	pANxavAH|| 34|| duryoDanaH
   kathaṃ kathaṃ| hariṣyanti hi pāṇḍavāḥ|	kaTam kaTaM| harizyanti hi pANxavAH|
   praharati yadi yuddhe māruto bhīmarūpī praharati yadi sākṣātpārtharūpeṇa	praharati yadi yudDe mArutaH BIma-rUpI praharati yadi sAkzAt-pArTa-rUpeNa
   śakraḥ|	SakraH|
   paruṣavacanadakṣa tvadvacobhirna dāsye tṛṇamapi pitṛbhukte vīryagupte	paruza-vacana-dakza tvad-vacoBiH-na dAsye tRNam-api pitR-Bukte vIrya-gupte
   svarājye||	sva-rAjye||
   35|| vāsudevaḥ	35|| vAsudevaH
   bhoḥ kurukulakalaṅkabhūta ayaśolubdha vayaṃ kila tṛṇāntarābhibhāṣakāḥ|	BoH kuru-kula-kalaFka-BUta ayaSaH-lubDa vayam kila tRNa-antara-aBiBAzakAH|
   duryodhanaḥ	duryoDanaH
   bho gopālaka tṛṇānyabhibhāṣyo bhavān|	Bo gopAlaka tRNAni-aBiBAzyaH BavAn|
   avadhyāṃ pramadāṃ hatvā hayaṃ govṛṣameva ca| mallānapi sunirlajjo	avaDyAm pramadAm hatvA hayam go-vRzam-eva ca| mallAn-api su-nirlajjaH-
   vaktumicchasi	vaktum-icCasi
   sādhubhiḥ||	sADuBiH||
   36|| vāsudevaḥ	36|| vAsudevaH
   bhoḥ suyodhana nanu kṣipasi mām|	BoH suyoDana nanu kzipasi mAm|
   duryodhanaḥ	duryoDanaH
   nanu satyamevaitat|	nanu satyam-eva-etat|
   vāsudevaḥ	vAsudevaH
   gacchāmi tāvat|	gacCAmi tAvat-|
   duryodhanaḥ	duryoDanaH
   gaccha gaccha paśukhuroddhatareṇurūpitāṅgo vrajameva| viphalīkṛtaḥ kālaḥ|	gacCa gacCa paSu-Kura-udData-reNu-rUpita-aFgaH vrajam-eva| viPalIkRtaH kAlaH|
   vāsudevaḥ	vAsudevaH
   evamastu| na vayamanuktasaṃdeśā gantumicchāmaḥ| tadākarṇyatāṃ	evam-astu| na vayam-anukta-saMdeSAH gantum-icCAmaH| tad-AkarNya-tAm
   yudhiṣṭhirasya	yuDizWirasya
   saṃdeśaḥ|	saMdeSaH|
   duryodhanaḥ	duryoDanaH
   āḥ abhāṣyastvam|	AH aBAzyaH-tvam|
   ahamavadhṛtapāṇḍarātapatro dvijavarahastadhṛtāmbusiktamūrdhā|	aham-avaDRta-pANxa-ra-Ata-patraH dvijavara-hasta-DRta-ambu-sikta-mUrDA|
   avanatanṛpamaṇḍalānuyātraiḥ	avanata-nRpa-maNxala-anuyAtrEH
   saha kathayāmi bhavadvidhairna bhāṣe|| 37|| vāsudevaḥ	saha kaTayAmi BavadviDEH-na BAze|| 37|| vAsudevaH
   na vyāharati kila māṃ suyodhanaḥ| bhoḥ	na vyAharati kila mAm suyoDanaH| BoH
   śaṭha bāndhavaniḥsneha kāka kekara piṅgala|	SaWa bAnDava-niHsneha kAka kekara piFgala|
   tvadarthātkuruvaṃśo.ayamacirānnāśameṣyati|| 38||	tvad-arTAt-kuru-vaMSaH-.ayam-acirAt-nASam-ezyati|| 38||
   bho bho rājānaḥ gacchāmastāvat|	Bo Bo rAjAnaH gacCAmaH-tAvat-|
   duryodhanaḥ	duryoDanaH
   kathaṃ yāsyati kila keśavaḥ| duḥśāsana durmarṣaṇa durmukha durbuddhe	kaTam yAsyati kila keSavaH| duHSAsana durmarzaNa durmuKa durbudDe
   duṣṭeśvara	duzwa-ISvara
   dūtasamudācāramatikrāntaḥ keśavo badhyatām| kathamaśaktāḥ| duḥśāsana na	dUta-samudAcAram-atikrAntaH keSavaH baDyatAm| kaTam-aSaktAH| duHSAsana na
   samarthaḥ	samarTaH
   khalvasi|	Kalu-asi|
   karituraganihantā kaṃsahantā sa kṛṣṇaḥ paśupakulanivāsādānujīvyānabhijñaḥ|	kari-turaga-nihantA kaMsa-hantA sa kRzNaH paSu-pakula-nivAsA-da-anujIvya-anaBijQaH|
   hṛtabhujabalavīryaḥ pārthivānāṃ samakṣaṃ svavacanakṛtadoṣo badhyatāmeṣa	hRta-Buja-bala-vIryaH pArTivAnAm samakzam sva-vacana-kRta-dozaH baDyatAm-eza
   śīghram|| 39||	SIGram|| 39||
   ayamaśaktaḥ| mātula badhyatāmayaṃ keśavaḥ| kathaṃ parāṅmukhaḥ patati|	ayam-aSaktaH| mAtula baDyatAm-ayam keSavaH| kaTam parAFmuKaH patati|
   bhavatu|	Bavatu|
   ahameva	aham-eva
   pāśairbadhnāmi|pāśamudyamyopasarpati|	pASEH-baDnAmi|-pASam-udyamya-upasarpati|
   vāsudevaḥ	vAsudevaH
   kathaṃ baddhukāmo māṃ kila suyodhanaḥ| bhavatu| suyodhanasya sāmarthyaṃ	kaTam badDu-kAmaH mAm kila suyoDanaH| Bavatu| suyoDanasya sAmarTyam
   paśyāmi|viśvarūpamāsthitaḥ|	paSyAmi|viSva-rUpam-AsTitaH|
   duryodhanaḥ	duryoDanaH
   bho dūta	Bo dUta
   sṛjasi yadi samantāddevamāyāḥ svamāyāḥ praharasi yadi vā tvaṃ durnivāraiḥ	sRjasi yadi samantAt-devamAyAH sva-mAyAH praharasi yadi vA tvam durnivArEH
   surāstraiḥ|	sura-astrEH|
   hayagajavṛṣabhāṇāṃ pātanājjātadarpo narapatigaṇamadhye badhyase tvaṃ	haya-gaja-vRzaBANAm pAtanAt-jAta-darpaH narapati-gaNa-maDye baDyase tvam
   mayādya||	mayA-Adya||
   āḥ tiṣṭhedānīm| kathaṃ na dṛṣṭaḥ keśavaḥ| ayaṃ keśavaḥ| aho hrasvatvaṃ	AH tizWA-idAnIm| kaTam na dRzwaH keSavaH| ayam keSavaH| aho hrasva-tvam
   keśavasya|	keSavasya|
   āḥ	AH
   tiṣṭhedānīm| kathaṃ na dṛṣṭaḥ keśavaḥ| ayaṃ keśavaḥ| aho dīrghatvaṃ	tizWA-idAnIm| kaTam na dRzwaH keSavaH| ayam keSavaH| aho dIrGa-tvam
   keśavasya|	keSavasya|
   kathaṃ na	kaTam na
   dṛṣṭaḥ keśavaḥ| ayaṃ keśavaḥ| sarvatra mantraśālāyāṃ keśavā bhavanti|	dRzwaH keSavaH| ayam keSavaH| sarvatra mantra-SAlAyAm keSavAH Bavanti|
   kimidānīṃ	kim-idAnIm
   kariṣye|	karizye|
   bhavatu dṛṣṭam| bho bho rājānaḥ ekenaikaḥ keśavo badhyatām| kathaṃ	Bavatu dRzwam| Bo Bo rAjAnaH ekena-ekaH keSavaH baDyatAm| kaTam
   svayameva	svayam-eva
   pāśairbaddhāḥ	pASEH-badDAH
   patanti rājānaḥ| sādhu bho jambhaka sādhu|	patanti rAjAnaH| sADu Bo jamBaka sADu|
   matkārmukodaraviniḥsṛtabāṇajālai- rviddhaṃ	mad-kArmuka-udara-viniHsRta-bANa-jAlE rvidDam
   kṣaratkṣatajarañjitasarvagātram|	kzarat-kzataja-raQjita-sarva-gAtram|
   paśyantu	paSyantu
   pāṇḍutanayāḥ śibiropanītaṃ tvāṃ bāṣparuddhanayanāḥ pariniśvasantaḥ|| 41||	pANxu-tanayAH Sibira-upanItam tvAm bAzpa-rudDa-nayanAH pariniSvasantaH|| 41||
   niṣkrāntaḥ|	nizkrAntaH|
   vāsudevaḥ	vAsudevaH
   bhavatu pāṇḍavānāṃ kāryamahameva sādhayāmi| bhoḥ sudarśana itastāvat|	Bavatu pANxavAnAm kAryam-aham-eva sADayAmi| BoH sudarSanaH itas-tAvat|
   tataḥ praviśati sudarśanaḥ| sudarśanaḥ	tatas praviSati sudarSanaH| sudarSanaH
   eṣa bhoḥ|	eza BoH|
   śrutvā giraṃ bhagavato vipulaprasādā- nnirdhāvito.asmi	SrutvA giram BagavataH vipula-prasAdA nnirDAvitaH-.-asmi
   parivāritatoyadaughaḥ|	parivArita-toyada-oGaH|
   kasminkhalu	kasmin-Kalu
   prakupitaḥ kamalāyatākṣaḥ kasyādya mūrdhani mayā pravijṛmbhitavyam|| 42||	prakupitaH kamala-Ayata-akzaH kasya-adya mUrDani mayA pravijRmBitavyam|| 42||
   kva nu khalu bhagavānnārāyaṇaḥ|	kva nu Kalu BagavAn-nArAyaNaH|
   avyaktādiracintyātmā lokasaṃrakṣaṇodyataḥ| eko.anekavapuḥ	avyakta-AdiH-acintya-AtmA loka-saMrakzaNa-udyataH| ekaH-.aneka-vapuH
   śrīmāndviṣadbalaniṣūdanaḥ|| 43||	SrImAn-dvizat-bala-nizUdanaH|| 43||
   vilokya|aye ayaṃ bhagavānhastinapuradvāre dūtasamudācāreṇopasthitaḥ| kutaḥ	vilokya-|aye ayam BagavAn-hastinapura-dvAre dUta-samudAcAreNa-upasTitaH| kutas-
   khalvāpaḥ kutaḥ	Kalu-ApaH kutas-
   khalvāpaḥ| bhagavati ākāśagaṅge āpastāvat| hanta	Kalu-ApaH| Bagavati AkASagaFge ApaH-tAvat| hanta
   sravati|ācamyopasṛtya|jayatu	sravati-|Acamya-upasRtya|jayatu
   bhagavānnārāyaṇaḥ|praṇamati|	BagavAn-nArAyaNaH|-praNamati|
   vāsudevaḥ	vAsudevaH
   sudarśana apratihataparākramo bhava|	sudarSana apratihata-parAkramaH Bava|
   sudarśanaḥ	sudarSanaH
   anugṛhīto.asmi|	anugRhItaH-.asmi|
   vāsudevaḥ	vAsudevaH
   diṣṭyā bhavānkarmakāle prāptaḥ|	dizwyA BavAn-karma-kAle prAptaH|
   sudarśanaḥ	sudarSanaH
   kathaṃ kathaṃ karmakāla iti| ājñāpayatu bhagavānājñāpayatu|	kaTam kaTam karma-kAlaH iti| AjQApayatu BagavAn-AjQApayatu|
   kiṃ merumandarakulaṃ parivartayāmi saṃkṣobhayāmi sakalaṃ makarālayaṃ vā|	kim meru-mandara-kulam parivartayAmi saMkzoBayAmi sakalam makara-Alayam vA|
   nakṣatravaṃśamakhilaṃ bhuvi pātayāmi nāśakyamasti mama deva tava	nakzatra-vaMSam-aKilam Buvi pAtayAmi na-aSakyam-asti mama deva tava
   prasādāt|| 44||	prasAdAt|| 44||
   vāsudevaḥ	vAsudevaH
   bhoḥ sudarśana itastāvat| bhoḥ suyodhana	BoH sudarSanaH itas-tAvat| BoH suyoDana
   yadi lavaṇajalaṃ vā kandaraṃ vā girīṇāṃ grahagaṇacaritaṃ vā vāyumārgaṃ	yadi lavaNa-jalam vA kandaram vA girINAm graha-gaNa-caritam vA vAyu-mArgam
   prayāsi|	prayAsi|
   mama	mama
   bhujabalayogaprāptasaṃjātavegaṃ bhavatu capala cakraṃ kālacakraṃ tavādya||	Buja-bala-yoga-prApta-saMjAta-vegam Bavatu capala cakram kAlacakram tava-Adya||
   sudarśanaḥ	sudarSanaH
   bhoḥ suyodhanahataka tiṣṭha tiṣṭha|punarvicārya|prasīdatu	BoH suyoDana-hataka tizWa tizWa|-punar-vicArya|-prasIdatu
   bhagavānnārāyṇaḥ|	BagavAn-nArAyNaH|
   mahībhārāpanayanaṃ kartuṃ jātasya bhūtale| asminnevaṃ gate deva nanu	mahIBAra-apanayanam kartum jAtasya BU-tale| asmin=-evam gate deva nanu
   syādviphalaśramaḥ|| 46||	syAt-viPala-SramaH|| 46||
   vāsudevaḥ	vAsudevaH
   sudarśana roṣātsamudācāro nāvekṣitaḥ| gamyatāṃ svanilayameva|	sudarSana rozAt-samudAcAraH na-avekzitaH| gamyatAm sva-nilayam-eva|
   sudarśanaḥ	sudarSanaH
   yadājñāpayati bhagavānnārāyaṇaḥ| kathaṃ kathaṃ gopālaka iti|	yat-AjQApayati BagavAn-nArAyaNaH| kaTam kaTam gopAlakaH iti|
   tricaraṇātikrāntatriloko	tri-caraNa-atikrAnta-trilokaH-
   nārāyaṇaḥ khalvatra bhagavān| śaraṇaṃ vrajantu bhavantaḥ| yāvadgacchāmi|	nArAyaNaH Kalu-atra BagavAn| SaraNam vrajantu BavantaH| yAvat-gacCAmi|
   aye	aye
   etadbhagavadāyudhavaraṃ śārṅgaṃ prāptam|	etat-Bagavat-AyuDa-varam SArFgam prAptam|
   tanumṛdulalitāṅgaṃ strīsvabhāvopapannaṃ harikaradhṛtamadhyaṃ	tanu-mRdu-lalita-aFgam strI-svaBAva-upapannam hari-kara-DRta-maDyam
   śatrusaṃghaikakālaḥ|	Satru-saMGa-eka-kAlaH|
   kanakakhacitapṛṣṭhaṃ bhāti kṛṣṇasya pārśve navasaliladapārśve	kanaka-Kacita-pRzWam BAti kRzNasya pArSve nava-salilada-pArSve
   cāruvidyullekheva||	cAru-vidyut-leKA-iva||
   bho bhoḥ śārṅga praśāntaroṣo bhagavānnārāyaṇaḥ| gamyatāṃ svanilayameva|	Bo BoH SArFga praSAnta-rozaH BagavAn-nArAyaNaH| gamyatAm sva-nilayam-eva|
   hanta	hanta
   nivṛttaḥ|	nivRttaH|
   yāvadgacchāmi| aye iyaṃ kaumodakī prāptā|	yAvat-gacCAmi| aye iyam kOmodakI prAptA|
   maṇikanakavicitrā citramālottarīyā suraripugaṇagātradhvaṃsane jātatṛṣṇā|	maNi-kanaka-vicitrA citramAlA-uttarIyA sura-ripu-gaNa-gAtra-DvaMsane jAta-tRzNA|
   girivarataṭarūpā	giri-vara-tawa-rUpA
   durnivārātivīryā vrajati nabhasi śīghraṃ meghavṛndānuyātrā|| 48||	durnivAra-ati-vIryAH vrajati naBasi SIGram meGa-vRnda-anuyAtrA|| 48||
   he kaumodaki praśāntaroṣo bhagavānnārāyaṇaḥ| hanta nivṛttā| yāvadgacchāmi|	he kOmodaki praSAnta-rozaH BagavAn-nArAyaNaH| hanta nivRttA| yAvat-gacCAmi|
   aye	aye
   ayaṃ	ayam
   pāñcajanyaḥ prāptaḥ|	pAQcajanyaH prAptaH|
   pūrṇendukundakumudodarahāragauro nārāyaṇānanasarojakṛtaprasādaḥ| yasya	pUrNa-indu-kunda-kumuda-udara-hAra-gOraH nArAyaNa-Anana-saroja-kRta-prasAdaH| yasya
   svanaṃ	svanam
   pralayasāgaraghoṣatulyaṃ garbhā niśamya nipatantyasurāṅganānām|| 49||	pralaya-sAgara-Goza-tulyam garBAH niSamya nipatanti-asura-aFganA-nAm-|| 49||
   he pāñcajanya praśāntaroṣo bhagavān| gamyatāṃ svanilayameva| hanta	he pAQcajanya praSAnta-rozaH BagavAn| gamyatAm sva-nilayam-eva| hanta
   nivṛttaḥ| aye	nivRttaH| aye
   nandakāsiḥ	nandaka-asiH
   prāptaḥ|	prAptaH|
   vanitāvigraho yuddhe mahāsurabhayaṃkaraḥ| prayāti gagane śīghraṃ maholkeva	vanitA-vigrahaH yudDe mahA-asura-BayaMkaraH| prayAti gagane SIGram mahA-ulkA-iva
   vibhātyayam|| 50||	viBAti-ayam|| 50||
   he nandaka praśāntaroṣo bhagavān| gamyatāṃ svanilayameva| hanta nivṛttaḥ|	he nandaka praSAnta-rozaH BagavAn| gamyatAm sva-nilayam-eva| hanta nivRttaH|
   yāvadgacchāmi| aye	yAvat-gacCAmi| aye
   etāni bhagavadāyudhavarāṇi|	etAni Bagavat-AyuDa-varANi|
   so.ayaṃ khaḍgaḥ kharāṃśorapahasitatanuḥ svaiḥ karairnandakākhyaḥ seyaṃ	so.ayam KaxgaH Kara-aMSoH-apahasita-tanuH svEH karEH-nandaka-AKyaH sA-iyam
   kaumodakī yā	kOmodakI yA
   suraripukaṭhinoraḥsthalakṣodadakṣā| saiṣā śārṅgābhidhānā	sura-ripu-kaWina-uraH-sTa-lakzoda-dakzA| sA-ezA SArFga-aBiDAnA
   pralayaghanaravajyāravā	pralaya-Gana-rava-jyA-ravA
   cāpayaṣṭiḥ so.ayaṃ gambhīraghoṣaḥ śaśikaraviśadaḥ śaṅkharāṭpāñcajanyaḥ||	cApayazwiH so.ayam gamBIra-GozaH SaSi-kara-viSadaH SaFKa-rAj-pa-aQcajanyaH||
   51|| he	51|| he
   śārṅga kaumodaki pāñcajanya daityāntakṛnnandaka śatruvahne| praśāntaroṣo	SArFga kOmodaki pAQcajanya dEtya-anta-kRt-nandaka Satru-vahne| praSAnta-rozaH-
   bhagavānmurāriḥ	BagavAn-murAriH
   svasthānamevātra hi gaccha tāvat|| 52||	sva-sTAnam-eva-atra hi gacCa tAvat-|| 52||
   hanta nivṛttāḥ| yāvadgacchāmi| aye atyuddhūto vāyuḥ| atitapatyādityaḥ|	hanta nivRttAH| yAvat-gacCAmi| aye ati-udDUtaH vAyuH| atitapati-AdityaH|
   calitāḥ	calitAH
   parvatāḥ|	parvatAH|
   kṣubdhāḥ sāgarāḥ| patitā vṛkṣāḥ| bhrāntā meghāḥ| pralīnā vāsukiprabhṛtayo	kzubDAH sAgarAH| patitAH vRkzAH| BrAntAH meGAH| pralInA vAsuki-praBRtayo
   bhujaṃgeśvarāḥ| kiṃ nu khalvidam| aye ayaṃ bhagavato vāhanaḥ garuḍaḥ	BujaMga-ISvarAH| kim nu Kalu-idam| aye ayam BagavataH vAhanaH garuxaH
   prāptaḥ|	prAptaH|
   surāsurāṇāṃ parikhedalabdhaṃ yenāmṛtaṃ mātṛvimokṣaṇārthaṃ|	sura-asurANAm pariKeda-labDam yena-amRtam mAtR-vimokzaNa-arTaM|
   ācchinnamāsīddviṣato	AcCinnam-AsIt-dvizataH-
   murārestvāmudvahāmīti varo.api dattaḥ|| 53||	murAreH-tvAm-udvahAmi-iti varaH-.api dattaH|| 53||
   he kāśyapapriyasuta garuḍa praśāntaroṣo bhagavāndevadeveśaḥ| gamyatāṃ	he kASyapa-priya-suta garuxa praSAnta-rozaH BagavAn-devadeveSaH| gamyatAm
   svanilayameva| hanta	sva-nilayam-eva| hanta
   nivṛttaḥ| yāvadgacchāmi|	nivRttaH| yAvat-gacCAmi|
   ete sthitā viyati kiṃnarayakṣasiddhāḥ devāśca	ete sTitAH viyati kiMnara-yakza-sidDAH devAH-ca
   saṃbhramacalanmukuṭottamāṅgāḥ|	saMBrama-calat-mukuwa-uttamAFgAH|
   ruṣṭe.acyute	ruzwe.acyute
   vigatakāntiguṇāḥ praśāntaṃ śrutvā śrayanti sadanāni nivṛttatāpāḥ|| 54||	vigata-kAnti-guNAH praSAntam SrutvA Srayanti sadanAni nivRtta-tApAH|| 54||
   yāvadahamapi kāntāṃ meruguhāmeva yāsyāmi|	yAvat-aham-api kAntAm meru-guhAm-eva yAsyAmi|
   niṣkrāntaḥ| vāsudevaḥ	nizkrAntaH| vAsudevaH
   yāvadahamapi pāṇḍavaśibirameva yāsyāmi|	yAvat-aham-api pANxava-Sibiram-eva yAsyAmi|
   nepathye|	nepaTye|
   na khalu na khalu gantavyam|	na Kalu na Kalu gantavyam|
   vāsudevaḥ	vAsudevaH
   aye vṛddharājasvara iva| bho rājan eṣa sthito.asmi|	aye vRdDarAja-svaraH iva| Bo rAjan eza sTitaH-.asmi|
   tataḥ praviśati dhṛtarāṣṭraḥ| dhṛtarāṣṭraḥ	tatas praviSati DRtarAzwraH| DRtarAzwraH
   kva nu khalu bhagavānnārāyaṇaḥ| kva nu khalu bhagavānpāṇḍavaśreyaskaraḥ|	kva nu Kalu BagavAn-nArAyaNaH| kva nu Kalu BagavAn-pANxava-SreyaskaraH|
   kva nu	kva nu
   khalu	Kalu
   bhagavānviprapriyaḥ| kva nu khalu bhagavāndevakīnandanaḥ|	BagavAn-viprapriyaH| kva nu Kalu BagavAn-devakI-nandanaH|
   mama putrāparādhāttu śārṅgapāṇe tavādhunā| etanme tridaśādhyākṣa pādayoḥ	mama putra-aparADAt-tu SArFgapANe tava-aDunA| etat-me tridaSa-aDyAkza pAdayoH
   patitaṃ	patitam
   śiraḥ|| 55|| patati| vāsudevaḥ	SiraH|| 55|| patati| vAsudevaH
   hā dhik| patito.atrabhavān| uttiṣṭhottiṣṭha|	hA Dik| patitaH-.atra-BavAn| uttizWa-uttizWa|
   dhṛtarāṣṭraḥ	DRtarAzwraH
   anugṛhīto.asmi| bhagavan idamarghyaṃ pādyaṃ ca pratigṛhyatām|	anugRhItaH-.asmi| Bagavan idam-arGyam pAdyam ca pratigRhyatAm|
   vāsudevaḥ	vAsudevaH
   sarvaṃ gṛhṇāmi| kiṃ te bhūyaḥ priyamupaharāmi|	sarvam gRhNAmi| kim te BUyas priyam-upaharAmi|
   dhṛtarāṣṭraḥ	DRtarAzwraH
   yadi me bhagavānprasannaḥ kimataḥ paramicchāmi|	yadi me BagavAn-prasannaH kim-atas param-icCAmi|
   vāsudevaḥ	vAsudevaH
   gacchatu bhavānpunardarśanāya|	gacCatu BavAn-punar-darSanAya|
   dhṛtarāṣṭraḥ	DRtarAzwraH
   yadājñāpayati bhagavannārāyaṇaḥ|	yat-AjQApayati Bagavat-nArAyaNaH|
   niṣkrāntaḥ| bharatavākyam| imāṃ sāgaraparyantāṃ himavadvindhyakuṇḍalām|	nizkrAntaH| Barata-vAkyam| imAm sAgara-paryantAm himavat-vinDya-kuNxalAm|
   mahīmekātapatrāṅkāṃ rājasiṃhaḥ praśāstu naḥ|| 56|| niṣkrāntāḥ sarve|	mahIm-eka-Atapatra-aFkAm rAja-siMhaH praSAstu naH|| 56|| nizkrAntAH sarve|
   dūtavākyaṃ	dUta-vAkyam
   samāptam|	samAptam|
   ka iti| tricaraṇātikrāntatriloko	kaH iti| tri-caraNa-atikrAnta-trilokaH-
   nārāyaṇaḥ khalvatra bhagavān| śaraṇaṃ vrajantu bhavantaḥ| yāvadga	nArAyaNaH Kalu-atra BagavAn| SaraNam vrajantu BavantaH| yAvat-ga
