   (Dhs, Vaidya 329)	(Dhs, VEdyaH 329)
   pariṣkāravaśitā, dharmavaśitā, ṛddhivaśitā, janmavaśitā, adhimuktivaśitā,	parizkAra vaSitA, Darma vaSitA, RdDi vaSitA, janma vaSitA, aDimukti vaSitA,
   praṇidhānavaśitā, karmavaśitā, jñānavaśitā ceti //	praNiDAna vaSitA, karma vaSitA, jQAna vaSitA ca iti //
   75. bodhisattvānāṃ daśa balāni / tadyathā   adhimuktibalam,	75. boDisattvAnAm daSa balAni / tat yaTA  aDimukti balam,
   pratisaṃkhyānabalam, bhāvabalam, kṣāntibalam, jñānabalam, prahāṇabalam,	pratisaMKyAna balam, BAva balam, kzAnti balam, jQAna balam, prahANa balam,
   samādhibalam, pratibhānabalam, puṇyabalam, pratipattibalaṃ ceti //	samADi balam, pratiBAna balam, puNya balam, pratipatti balam ca iti //
   76. tathāgatasya daśa balāni / tadyathā   sthānāsthānajñānabalam,	76. taTAgatasya daSa balAni / tat yaTA  sTAna AsTAna jQAna balam,
   karmavipākajñānabalam, nānādhātujñānabalam, nānadhimuktijñānabalam,	karma vipAka jQAna balam, nAnA DAtu jQAna balam, na anaDi mukti jQAna balam,
   sattvendriyaparāparajñānabalam, sarvatragāminīpratipattijñānabalam,	sattva indriya para apara jQAna balam, sarvatra gAminI pratipatti jQAna balam,
   dhyānavimokṣasamādhisamāpattisaṃkleśavyavadānavyutthānajñānabalam,	DyAna vimokza samADi samApatti saMkleSa vyavadAna vyutTAna jQAna balam,
   pūrvanivāsānusmṛtijñānabalam, cyutyutpattijñānabalam,	pUrva nivAsa anusmRti jQAna balam, cyuti utpatti jQAna balam,
   āsravakṣayajñānabalaṃ ceti //	Asrava kzaya jQAna balam ca iti //
   (Dhs, Vaidya 334)	(Dhs, VEdyaH 334)
   77. catvāri vaiśāradyāni / tadyathā   abhisaṃbodhivaiśāradyam,	77. catvAri vESAradyAni / tat yaTA  aBisaMboDi vESAradyam,
   āsravakṣayajñānavaiśāradyam,	Asrava kzaya jQAna vESAradyam,
   nairvāṇikamārgāvataraṇavaiśāradyam[antarāyikadharmānanyathātvaniścitavyākaraṇavaiśāradyaṃ]	nErvANika mArga avataraNa vESAradyam [antarAyika DarmAn anyaTAtva niScita vyAkaraNa vESAradyaM]
   ceti //	ca iti //
   78. pañca mātsaryāṇi / dharmamātsaryam, lābhamātsaryam, āvāsamātsaryam,	78. paQca mAtsaryANi / DarmamAtsaryam, lABamAtsaryam, AvAsa mAtsaryam,
   kuśalamātsaryam, varṇamātsaryaṃ ceti //	kuSala mAtsaryam, varNa mAtsaryam ca iti //
   79. aṣṭādaśāveṇikā buddhadharmāḥ / tadyathā   nāsti tathāgatasya skhalitam	79. azwAdaSa AveNikAH budDa DarmAH / tat yaTA  na asti taTAgatasya sKalitam
   / nāsti ravitam / nāsti muṣitasmṛtitā / nāstyasamāhitacittam / nāsti	/ na asti ravitam / na asti muzita smRti tA / na asti asamAhita cittam / na asti
   nānātvasaṃjñā / nāstyapratisaṃkhyāyopekṣā / nāsti chandaparihāṇiḥ / nāsti	nAnAtva saMjQA / na asti apratisaMKyAya upekzAH / na asti Canda parihANiH / na asti
   vīryaparihāṇiḥ / nāsti smṛtiparihāṇiḥ / nāsti samādhiparihāṇiḥ / nāsti	vIrya parihANiH / na asti smRti parihANiH / na asti samADi parihANiH / na asti
   prajñāparihāṇiḥ / nāsti vimuktiparihāṇiḥ / nāsti	prajQA parihANiH / na asti vimukti parihANiH / na asti
   vimuktijñānadarśanaparihāṇiḥ /	vimukti jQAna darSana parihANiH /
   sarvakāyakarmajñānapūrvagamajñānānuparivṛttiḥ /	sarva kAya karma jQAna pUrva gama jQAna anuparivRttiH /
   sarvavākkarmajñānapūrvaṃgamajñānānuparivṛttiḥ /	sarva vAkkarma jQAna pUrvaMgama jQAna anuparivRttiH /
   sarvamanaskarmajñānapūrvaṃgamajñānānuparivṛttiḥ / atīte	sarva manaskarma jQAna pUrvaMgama jQAna anuparivRttiH / atIte
   'dhvanyasaṅgamapratihatajñānam / pratyutpanne	aDvanya saFgam apratihata jQAnam / pratyutpanne
   'dhvanyasaṅgamapratihatajñānadarśanaṃ ceti //	aDvanya saFgam apratihata jQAna darSanam ca iti //
   80. catvāro mārāḥ / tadyathā   skandhamāraḥ, kleśamāraḥ, devaputramāraḥ,	80. catvAraH mArAH / tat yaTA  skanDamAraH, kleSa mAraH, deva putra m AraH,
   mṛtyumāraśceti //	mRtyumAraH ca iti //
   81. catvāri śraddhāṅgāni / tadyathā   āryasatyam, triratnam, karma,	81. catvAri SradDA aFgAni / tat yaTA  Arya satyam, tri ratnam, karma,
   karmaphalaṃ ceti //	karma Palam ca iti //
   82. navānupūrvasamādhisamāpattayaḥ / tadyathā   catvāri dhyānāni, catasra	82. nava anupUrva samADi samApattayaH / tat yaTA  catvAri DyAnAni, catasra
   ārūpyasamāpattayaḥ, nirodhasamāpattiśceti //	ArUpya samApattayaH, niroDa samApattiH ca iti //
   83. dvātriṃśallakṣaṇāni / tadyathā   cakrāṅkitapāṇipādatalatā /	83. dvAtriMSat lakzaNAni / tat yaTA  cakra aFkita pANi pAda tala tA /
   supratiṣṭhitapāṇipādatalatā / jālābalabaddhā(vanaddhā?)ṅgulipāṇipādatalatā	su pratizWita pANi pAda tala tA / jAla abala badDa a(vanadDA? )Fguli pANi pAda tala tA
   / mṛdutaruṇahastapādatalatā / saptotsadatā / dīrghāṅgulitā / āyatapārṣṇitā	/ mRdu taruNa hasta pAda tala tA / sapta utsadatA / dIrGa aFgulitA / Ayata pArzNitA
   / ṛjugātratā / utsaṅgapādatā / urdhvāgraromatā / aiṇejayaṅghatā /	/ Rju gAtra tA / utsaFga pAda tA / urDva agra romatA / ENejayaFGa tA /
   pralambabāhutā / koṣagatabastiguhyatā / suvarṇavarṇatā / śuklacchavitā /	pralamba bAhutA / koza gata basti guhyatA / suvarNa varNa tA / Sukla= CavitA /
   pradakṣiṇāvartaikaromatā / ūrṇālaṃkṛtamukhatā / siṃhapūrvāntakāyatā /	pradakziNa Avarta eka romatA / UrNA alaMkRta muKa tA / siMha pUrva anta kAyatA /
   susaṃvṛttaskandhatā / citāntarāṃsatā / rasarasāgratā /	su saMvRtta skanDa tA / citA antara aMsatA / rasa rasa agra tA /
   nyagrodhaparimaṇḍalatā / uṣṇīṣaśiraskatā / prabhūtajivhatā / siṃhahanutā /	nyagroDa parimaNxala tA / uzNIza SiraskatA / praBUta jivhatA / siMha hanu tA /
   śuklahanutā / samadantatā / haṃsavikrāntagāmitā / aviraladantatā /	Sukla hanu tA / samadanta tA / haMsa vikrAnta gAmitA / avirala danta tA /
   samacatvāriṃśaddantatā / abhinīlanetratā / gopakṣanetratā ceti //	samacatvAriMSat dantatA / aBinIla netra tA / gopakza netra tA ca iti //
   84. aśītyanuvyañjanāni / tadyathā   tāmranakhatā / srigdhanakhatā /	84. aSIti anuvyaQjanAni / tat yaTA  tAmra naKa tA / srigDa naKa tA /
   tuṅganakhatā / chatrāṅgulitā / citrāṅgulitā / anupūrvāṅgulitā /	tuFga naKa tA / Catra aFgulitA / citra aFgulitA / anupUrva aFgulitA /
   gūḍhaśiratā / nigranthiśiratā / gūḍhagulphatā / aviṣamapādatā /	gUXa SiratA / nigranTi Sira tA / gUXa gulPa tA / avizama pAda tA /
   siṃhavikrāntagāmitā / nāgavikrāntagāmitā / haṃsavikrāntagāmitā /	siMha vikrAnta gAmitA / nAga vikrAnta gAmitA / haMsa vikrAnta gAmitAH /
   vṛṣabhavikrāntagāmitā / pradakṣiṇagāmitā / cārugāmitā / avakragāmitā /	vRzaBa vikrAnta gAmitA / pradakziNa gAmitA / cAru gAmitA / avakra gAmitAH /
   vṛttagātratā / mṛṣṭagātratā / anupūrvagātratā / śucigātratā / mṛdugātratā	vRtta gAtra tA / mRzwa gAtra tA / anupUrva gAtra tA / Suci gAtra tA / mRdu gAtra tA
   / viśuddhagātratā / paripūrṇavyañjanatā / pṛthucārumaṇḍalagātratā /	/ viSudDa gAtra tA / paripUrNa vyaQjana tA / pRTu cAru maNxala gAtra tA /
   samakramatā / viśuddhanetratā / sukumāragātratā / adīnagātratā /	samakramatA / viSudDa netra tA / sukumAra gAtra tA / adIna gAtra tA /
   utsāhagātratā / gambhīrakukṣitā / prasannagātratā /	utsAha gAtra tA / gamBIra kukzitA / prasanna gAtra tA /
   suvibhaktāṅgapratyaṅgatā / vitimiraśuddhālokatā / vṛttakukṣitā /	suviBakta aFga pratyaFga tA / vitimira SudDa AlokatA / vRtta kukzitAH /
   mṛṣṭakukṣitā / abhugnakukṣitā / kṣāmakukṣitā / (Dhs, Vaidya 335)	mRzwa kukzitA / aBugna kukzitA / kzAma kukzitAH / (Dhs, VEdyaH 335)
   pradakṣiṇāvartanābhitā / samantaprāsādikatā / śucisamudāratā /	pradakziNa Avartana aBitA / samantaprAsa Adika tA / Suci samudAra tA /
   vyapagatatilakagātratā / tūlasadṛśasukumārapāṇitā / snigdhapāṇilekhatā /	vyapagata tilaka gAtra tA / tUla sadRSa sukumAra pANitA / snigDa pANi leKatA /
   gambhīrapāṇilekhatā / āyatapāṇilekhatā / nātyāyatavacanatā /	gamBIra pANi leKatA / Ayata pANi leKatA / na ati Ayata vacana tA /
   bimbapratibimboṣṭhatā / mṛdujivhatā / tanujivhatā / raktajihvatā /	bimba pratibimba uzWa tA / mRdu jivhatA / tanu jivhatA / rakta jihvatA /
   meghagarjitaghoṣatā / madhuracārumañjusvaratā / vṛttadaṃṣṭratā /	meGa garjita Goza tA / maDura cAru maQju svara tA / vRtta daMzwra tA /
   tīkṣṇaṃdaṃṣṭratā / śūkladaṃṣṭratā / samadaṃṣṭratā / anupūrvadaṃṣṭratā /	tIkzNaMdaMzwra tA / SUkla daMzwra tA / samadaMzwra tA / anupUrva daMzwra tA /
   tuṅganāsatā / śucināsatā / viśālanayanatā / citrapakṣmatā /	tuFga nAsatA / SucinA asatA / viSAla nayana tA / citra pakzma tA /
   sitāsitakamaladalanayanatā / āyatabhrūkatā / śuklabhrūkatā /	sita asita kamala dala nayana tA / Ayata BrUka tA / Sukla BrUka tA /
   susnigdhabhrūkatā / pīnāyatabhujalatā / samakarṇatā /	su snigDa BrUka tA / pIna Ayata Buja latA / sama karNa tA /
   anupahatakarṇendriyatā / avimlānalalāṭatā / pṛthulalāṭatā /	anupahata karNa indriya tA / avimlAna lalAwa tA / pRTu lalAwa tA /
   suparipūrṇottamāṅgatā / bhramarasadṛśakeśatā / citrakeśatā / guḍākeśatā /	su paripUrNa uttamA aFga tA / Bramara sadRSa keSa tA / citra keSatA / guxAkeSa tA /
   asaṃmuṇitakeśatā / aparuṣakeśatā / surabhikeśatā /	asaMmuNita keSa tA / aparuza keSatA / suraBi keSa tA /
   śrīvatsamuktikanandyāvartalakṣitapāṇipādatalatā ceti //	SrIvatsa muktika nandi Avarta lakzita pANi pAda tala tA ca iti //
   85. cakravartināṃ sapta ratnāni / tadyathā   cakraratnam, aśvaratnam,	85. cakravartinAm sapta ratnAni / tat yaTA  cakra ratnam, aSva ratnam,
   hastiratnam, maṇiratnam, strīratnam, khaṅgaratnam, pariṇāyakaratnaṃ ceti	hasti ratnam, maNi ratnam, strI ratnam, KaFga ratnam, pariNAyaka ratnam ca iti
   86. tatra trayo 'dhvānaḥ / tadyathā   atīto 'dhvā, anāgato 'dhvā,	86. tatra trayaH aDvAnaH / tat yaTA  atItaH aDvA, anAgataH aDvA,
   pratyutpanno 'dhvā ceti //	pratyutpannaH aDvA ca iti //
   87. catvāraḥ kalpāḥ / tadyathā   antarakalpāḥ, mahākalpāḥ, śūnyakalpāḥ,	87. catvAraH kalpAH / tat yaTA  antara kalpAH, mahA kalpAH, SUnya kalpAH,
   sārakalpāśceti //	sAra kalpAH ca iti //
   88. catvāri yugāni / tadyathā   kṛtayugam, tretāyugam, dvāparam, kaliyugaṃ	88. catvAri yugAni / tat yaTA  kRta yugam, tretA yugam, dvAparam, kali yugam
   ceti //	ca iti //
   89. lokadvayam / tadyathā   sattvalokaḥ, bhājanalokaśceti //	89. loka dvayam / tat yaTA  sattva lokaH, BAjana lokaH ca iti //
   90. catvāro yonayaḥ / tadyathā   aṇḍajaḥ, saṃsvedajaḥ, jarāyujaḥ,	90. catvAraH yonayaH / tat yaTA  aNxa jaH, saMsveda jaH, jarAyu jaH,
   upapādukaśceti //	upapAdukaH ca iti //
   91. pañca kaṣāyāḥ / tadyathā   kleśakaṣāyaḥ, dṛṣṭikaṣāyaḥ, sattvakaṣāyaḥ,	91. paQca kazAyAH / tat yaTA  kleSa kazAyaH, dRzwi kazAyaH, sattva kazAyaH,
   āyuḥkaṣāyaḥ, kalpakaṣāyaśceti //	AyuH kazAyaH, kalpa kazAyaH ca iti //
   92. trayaḥ sattvādhyāḥ / tadyathā   pūrvāntakoṭiparijñāyāḥ,	92. trayaH sattva aDyAH / tat yaTA  pUrva anta kowi parijQAyAH,
   aparāntakoṭiparijñāyāḥ, caturmārakoṭiparijñāyāśceti //	apara anta kowi parijQAyAH, catur mAra kowi parijQAyAH ca iti //
   93. daśa jñānāni / tadyathā   duḥkhajñānam, samudayajñānam, nirodhajñānam,	93. daSa jQAnAni / tat yaTA  duHKa jQAnam, samudaya jQAnam, niroDa jQAnam,
   mārgajñānam, dharmajñānam, anvayajñānam, saṃvṛtijñānam, paracittajñānam,	mArga jQAnam, Darma jQAnam, anvaya jQAnam, saMvRti jQAnam, para citta jQAnam,
   kṣayajñānam, anutpādajñānaṃ ceti //	kzaya jQAnam, anutpAda jQAnam ca iti //
   94. pañca jñānāni / tadyathā   ādarśanajñānam, samatājñānam,	94. paQca jQAnAni / tat yaTA  AdarSana jQAnam, samatA jQAnam,
   pratyavekṣaṇājñānam, kṛtyānuṣṭhānajñānam, suviśuddhadharmadhātujñānaṃ ceti	pratyavekzaNa ajQAnam, kRtya anuzWAna jQAnam, su viSudDa Darma DAtu jQAnam ca iti
   95. dve satye / tadyathā   saṃvṛtisatyam, paramārthasatyaṃ ceti //	95. dve satye / tat yaTA  saMvRti satyam, parama arTa satyam ca iti //
   96. caturāryasatyeṣu ṣoḍaśa kṣāntijñānalakṣaṇāḥ / tadyathā   duḥkhe	96. catur Arya satyezu zoxaSa kzAnti jQAna lakzaNAH / tat yaTA  duHKe
   dharmajñānakṣāntiḥ, duḥkhe dharmajñānam, duḥkhe 'nvayajñānakṣāntiḥ, duḥkhe	Darma jQAna kzAntiH, duHKe Darma jQAnam, duHKe anvaya jQAna kzAntiH, duHKe
   'nvayajñānam / samudaye dharmajñānakṣāntiḥ, (Dhs, Vaidya 336) samudaye	anvaya jQAnam / samudaye Darma jQAna kzAntiH, (Dhs, VEdyaH 336) samudaye
   dharmajñānam, samudaye 'nvayajñānakṣāntiḥ, samudaye 'nvayajñānam / nirodhe	Darma jQAnam, samudaye anvayajQAna kzAntiH, samudaye anvaya jQAnam / niroDe
   dharmajñānakṣāntiḥ, nirodhe dharmajñānam, nirodhe 'nvayajñānakṣāntiḥ,	Darma jQAna kzAntiH, niroDe Darma jQAnam, niroDe anvaya jQAna kzAntiH,
   nirodhe 'nvayajñānam / mārge dharmajñānakṣāntiḥ, mārge dharmajñānam, mārge	niroDe anvaya jQAnam / mArge Darma jQAna kzAntiH, mArge Darma jQAnam, mArge
   'nvayajñānakṣāntiḥ, mārge 'nvayajñānaṃ ceti //	anvaya jQAna kzAntiH, mArge anvaya jQAnam ca iti //
   97. tatra duḥkhasatye catvāra ākārāḥ / tadyathā   anityataḥ, duḥkhataḥ,	97. tatra duHKa satye catvAraH AkArAH / tat yaTA  anityataH, duHKataH,
   śūnyataḥ, anātmataśceti //	SUnyataH, anAtmataH ca iti //
   98. samudayasatye catvāra ākārāḥ / tadyathā   hetutaḥ, samudayataḥ,	98. samudaya satye catvAraH AkArAH / tat yaTA  hetutaH, samudayataH,
   prabhavataḥ, pratyayataśceti //	praBavataH, pratyayataH ca iti //
   99. nirodhasatye catvāra ākārāḥ / tadyathā   nirodhataḥ, śāntataḥ,	99. niroDa satye catvAraH AkArAH / tat yaTA  niroDataH, SAntataH,
   praṇītataḥ, niḥsaraṇataśceti //	praNItataH, niHsaraNataH ca iti //
   100. mārgasatye catvāra ākārāḥ / tadyathā   mārgataḥ, nyāyataḥ,	100. mArga satye catvAraH AkArAH / tat yaTA  mArgataH, nyAyataH,
   pratipattitaḥ, nairyāṇika(ta)śceti //	pratipattitaH, nEryANika(ta)H ca iti //
   101. catvāraḥ samādhayaḥ / tadyathā   ālokasamādhiḥ, vṛtāsamādhiḥ,	101. catvAraH samADayaH / tat yaTA  Aloka samADiH, vRtA samADiH,
   ekādaśapratiṣṭhasamādhiḥ, ānantaryasamādhiśceti //	ekAdaSa pratizWa samADiH, Anantarya samADiH ca iti //
   102. tatrāṣṭau[puruṣa]   pugdalāḥ / tadyathā  	102. tatra azwO[puruza]  pugdalAH / tat yaTA  
   srotaāpannaphalapratipannakaḥ, srotaāpannaḥ, sakṛdāgāmiphalapratipannakaḥ,	srotaApanna Pala pratipannakaH, srotaApannaH, sakRdAgAmi Pala pratipannakaH,
   sakṛdāgāmī, anāgāmiphalapratipannakaḥ, anāgāmī, arhatphalapratipannakaḥ,	sakRdAgAmI, anAgAmi Pala pratipannakaH, anAgAmI, arhat Pala pratipannakaH,
   arhaṃśceti //	arhan= ca iti //
   103. tathāṣṭau pratipugdalāḥ / tadyathā   śraddhānusārī, dharmānusārī,	103. taTA azwO prati pugdalAH / tat yaTA  SradDA anusArI, Darma anusArI,
   srotaāpannaḥ, devakulaṃkulaḥ, manuṣyakulaṃkulaḥ, sakṛdāgāmiphalaḥ,	srotaApannaH, devakulaMkulaH, manuzya kulaMkulaH, sakRdAgAmi PalaH,
   śraddhavimuktirdṛṣṭiprāpta ekavīcīko 'nāgāmyantarāparinirvāyī	SradDa vimuktiH dRzwi prAptaH ekavIcIkaH anAgAmi antara aparinirvAyI
   upahatyaparinirvāyī abhisaṃskāraparinirvāyī pluto 'rddhaplutaḥ	upahatyaparinirvAyI aBisaMskAra parinirvAyI plutaH ardDa plutaH
   sarvāstānapluto dṛṣṭadharmasamaḥ kāyasākṣī khaṅgaśceti //	sarva astAn aplutaH dRzwa Darma samaH kAya sAkzI KaFgaH ca iti //
   104. [tadanu dvādaśākaradharmacakrapravartakaṃ(naṃ) katamat? tadyathā  	104. [tadanu dvAdaSa akara Darma cakra pravartakaM(nan) katamat? tat yaTA  
   idaṃ duḥkhamāryasatyamiti bhikṣavaḥ pūrvamanuśrutya teṣu dharmeṣu yoniśo	idam duHKam Arya satyam iti BikzavaH pUrvam anuSrutya tezu Darmezu yoni So
   manasiṃgavataḥ(?) cakṣurudapādi / jñānamutpādi cintotpādi / cutrirudapādi	mana siMgavataH(?) cakzuH udapAdi / jQAnam utpAdi cintA utpAdi / cutriH udapAdi
   / ityekaparicatakaḥ 1 idaṃ duḥkhamārya sa tatra khalvabhijñātaṃ iti	/ iti eka paricatakaH 1 idam duHKam Arya sa tatra Kalu aBijQAtam iti
   bhikṣavaḥ / ityādi pūrvavaditiyaḥ // idaṃ duḥkhasamudayamāryasatvaṃ tava	BikzavaH / ityAdi pUrvavat itiyaH // idam duHKa samudayam Arya satvam tava
   khalvabhijñāya prahīṇamiti hityādi tṛtīyaḥ / tathā idaṃ duḥkhanirodha	Kalu aBijQAya prahINam iti hityAdi tRtIyaH / taTA idam duHKa niroDa
   āryasatyamiti hipratyekaḥ // idaṃ duḥkhanirodhaāryyasatyaṃ tatra	Arya satyam iti hiprati ekaH // idam duHKa niroDa Aryya satyam tatra
   khalvabhijñāya śākṣāt kartavyamiti hitya dvitīyaḥ / idaṃ	Kalu aBijQAya SAkzAt kartavyam iti hitya dvitIyaH / idam
   duḥkhanirodhaāryasatya tatra khalu bhijñāya śākṣāt dvitīya / tadyathā idaṃ	duHKa niroDa Arya satya tatra Kalu BijQAya SAkzAt dvitIya / tat yaTA idam
   duḥkhamārgagāminī pratipadāryasatyemiti tyeka // idaṃ duḥkhamokṣagāmini	duHKa mArga gAminI pratipadArya satyem iti ti ekaH // idam duHKa mokza gAmini
   pratipa ityāryyasatyaṃ tatra khalu bhijñāya bhāvayitavyamiti hi bhikṣava	pratipaH iti Aryya satyam tatra Kalu BijQAya BAvayitavyam iti hi Bikzava
   ityādi tṛtīyaḥ / parivarta ityeva dvādaśākāradharmacakrapravarttanamiti //	ityAdi tRtIyaH / parivarte iti eva dvAdaSa AkAra Darma cakra pravarttanam iti //
   (Dhs, Vaidya 337)	(Dhs, VEdyaH 337)
   Ms. C.	Ms. C.
   tadanu dvādaśākāradharmacakrapravartakaḥ / katamat / idaṃ	tadanu dvAdaSa AkAra Darma cakra pravartakaH / katamat / idam
   duḥkhamāryasatyamiti bhikṣavaḥ / pūrvamanuśrutya teṣu dharmeṣu yoniśo	duHKam Arya satyam iti BikzavaH / pUrvam anuSrutya tezu Darmezu yoni So
   manasigavataḥ cakṣurudapādi / jñānamutpādi cittotpādi / cutrirutpādi //	manasi gavataH cakzuH udapAdi / jQAnam utpAdi citta utpAdi / cutriH utpAdi //
   ityekaparivartaka idaṃ duḥkhamāryasatyaṃ tatra khalvabhijñāya	iti eka parivartakaH idam duHKam Arya satyam tatra Kalu aBijQAya
   parijñātamiti hi bhikṣavaḥ / pūrvamanuśruya teṣu yoniso manasiṅgarvutaḥ //	parijQAtam iti hi BikzavaH / pUrvam anuSruya tezu yonisaH manasiFgarvutaH //
   iti dvitīyaḥ // idamāryasatyaṃ tatra khalvabhijñātaṃ iti bhikṣavaḥ /	iti dvitIyaH // idam Arya satyam tatra Kalu aBijQAtam iti BikzavaH /
   ityādi pūrvavaditi yaḥ //	ityAdi pUrvavat iti yaH //
   idaṃ duḥkhasamudayamāryasatyaṃ tava khalvabhijñāya prahīṇamiti hītyādi	idam duHKa samudayam Arya satyam tava Kalu aBijQAya prahINam iti hi ityAdi
   tṛtīyam //	tRtIyam //
   tathā idaṃ duḥkhanirodha āryasatyamiti hi pratyekaḥ // idaṃ duḥkhanirodha	taTA idam duHKa niroDaH Arya satyam iti hi pratyekaH // idam duHKa niroDa
   āryasatyaṃ tatra khalvabhijñāya sākṣāt kartavyamiti hityādi / dvitīyaḥ /	Arya satyam tatra Kalu aBijQAya sAkzAt kartavyam iti hityAdi / dvitIyaH /
   idaṃ duḥkhanirodha āryasatyaṃ tatra khalvabhijñāya sākṣāt kṛtamiti	idam duHKa niroDaH Arya satyam tatra Kalu aBijQAya sAkzAt kRtam iti
   dvitīyaḥ /	dvitIyaH /
   tathā idaṃ duḥkhamārgagāmini pratipadāryasatyamiti pratyeka / idaṃ	taTA idam duHKa mArga gAmini pratipad Arya satyam iti pratyeka / idam
   duḥkhamokṣagāminī pratipat // ityāryasatyaṃ tatra khalvabhijñāya	duHKa mokza gAminI pratipad // iti Arya satyam tatra Kalu aBijQAya
   bhātavyamiti hi bhikṣavaḥ ityādi tṛtīyaḥ / parivartta ityevaṃ	BAtavyam iti hi BikzavaH ityAdi tRtIyaH / parivarttaH iti evam
   dvādaśākāradharmacakrapravartanamiti // //	dvAdaSa AkAra Darma cakra pravartanam iti // //
   Restored Text.	ReH toret Text.
   tadatra dvādaśākāradharmacakrapravartakaṃ(naṃ?) katamat? idaṃ	tat atra dvAdaSa AkAra Darma cakra pravartakaM(naM?) katamat? idam
   duḥkhamāryasatyamiti(me) bhikṣavaḥ pūrvamananuśruteṣu dharmeṣu yoniśo	duHKam Arya satyam iti(me) BikzavaH pUrvam ananuSrutezu Darmezu yoni So
   manasikurvataḥ cakṣurudapādi jñānamudapādi vidyodapādi bhūrirudapādītyekaṃ	manasikurvataH cakzuH udapAdi jQAnam udapAdi vidyA udapAdi BUriH udapAdi iti ekam
   parivartakam / idaṃ duḥkhamāryasatyaṃ tatra khalvabhijñāya parijñātamiti	parivartakam / idam duHKam Arya satyam tatra Kalu aBijQAya parijQAtam iti
   hi (me) bhikṣavaḥ pūrvamananuśruteṣu dharmeṣu yoniśo manasikurvata iti	hi (me) BikzavaH pUrvam ananuSrutezu Darmezu yoniSas manasikurvataH iti
   dvitīyam / idaṃ duḥkhamāryasatyaṃ tatra khalvabhijñāya parijñātamiti	dvitIyam / idam duHKam Arya satyam tatra Kalu aBijQAya parijQAtam iti
   bhikṣavaḥ ityādi pūrvavaditi tṛtīyam //	BikzavaH ityAdi pUrvavat iti tRtIyam //
   [tathedaṃ duḥkhasamudayamāryasatyamiti pratyekam / idaṃ	[taTA idam duHKa samudayam Arya satyam iti pratyekam / idam
   duḥkhasamudayamāryasatyaṃ tatra khalvabhijñāya prahātavyamiti dvitīyam /]	duHKa samudayam Arya satyam tatra Kalu aBijQAya prahAtavyam iti dvitIyam /]
   idaṃ duḥkhasamudayamāryasatyaṃ tatra khalvabhijñāya prahīṇamiti hītyādi	idam duHKa samudayam Arya satyam tatra Kalu aBijQAya prahINam iti hi ityAdi
   tṛtīyam /	tRtIyam /
   tathedaṃ duḥkhanirodhamāryasatyamiti hi pratyekam / idaṃ	taTA idam duHKa niroDam Arya satyam iti hi pratyekam / idam
   duḥkhanirodhamāryasatyaṃ tatra khalvabhijñāya sākṣātkartavyamiti hītyādi	duHKa niroDam Arya satyam tatra Kalu aBijQAya sAkzAtkartavyam iti hi ityAdi
   dvitīyam / idaṃ duḥkhanirodhamāryasatyaṃ tatra khalvabhijñāya	dvitIyam / idam duHKa niroDam Arya satyam tatra Kalu aBijQAya
   sākṣātkṛtamiti tṛtīyam //	sAkzAtkRtam iti tRtIyam //
   tatheyaṃ duḥkhamārgagāminī pratipadityāryasatyamiti pratyekam / iyaṃ	taTA iyam duHKa mArga gAminI pratipad iti Ari asatyam iti pratyekam / iyam
   duḥkhamokṣagāminī pratipadityāryasatyaṃ tatra khalvabhivijñāya	duHKa mokza gAminI pratipad iti Ari a satyam tatra Kalu aBivijQAya
   bhāvayitavyamiti hi bhikṣava ityādi dvitīyam /	BAvayitavyam iti hi BikzavaH ityAdi dvitIyam /
   [idaṃ duḥkhamokṣagāminī pratipadityāryasatyaṃ tatra khalvabhijñāya	[idam duHKa mokza gAminI pratipad iti Ari a satyam tatra Kalu aBijQAya
   bhāvitamiti tṛtīyam // ]	BAvitam iti tRtIyam // ]
   105. tatra dānaṃ trividham / tadyathā   dharmadānam, āmiṣadānam,	105. tatra dAnam triviDam / tat yaTA  Darma dAnam, Amiza dAnam,
   maitrīdānaṃ ceti //	mEtrI dAnam ca iti //
   106. śīlaṃ trividham / tadyathā   saṃbhāraśīlam, kuśalasaṃgrāhaśīlam,	106. SIlam triviDam / tat yaTA  saMBAra SIlam, kuSala saMgrAha SIlam,
   sattvārthakriyāśīlaṃ ceti //	sattva arTa kriyA SIlam ca iti //
   107. kṣāntistrividhā / tadyathā   dharmanidhyānakṣāntiḥ,	107. kzAntiH triviDA / tat yaTA  Darma niDyAna kzAntiH,
   duḥkhādhivāsanākṣāntiḥ, paropakāradharmakṣāntiśceti //	duHKa aDivAsana AkzAntiH, para upakAra Darma kzAntiH ca iti //
   (Dhs, Vaidya 338)	(Dhs, VEdyaH 338)
   108. vīryaṃ trividham / tadyathā   saṃnāhavīryam, prayogavīryam,	108. vIryam triviDam / tat yaTA  saMnAha vIryam, prayoga vIryam,
   para(ri)niṣṭhāvīryaṃ ceti //	para(ri)nizWA vIryam ca iti //
   109. dhyānaṃ trividham / tadyathā   sadoṣāpakarṣadhyānam,	109. DyAnam triviDam / tat yaTA  sa doza apakarza DyAnam,
   sukhavaihārikadhyānam, aśeṣavaibhūṣitadhyānaṃ ceti //	suKa vEhArika DyAnam, aSeza vEBUzita DyAnam ca iti //
