   mālinīvijayottaratantram	mAlinIvijaya-uttaratantram
   5.12ab: tadbahiḥ śatarudrāṇāṃ bhuvanāni pṛthak pṛthak	5.12ab: tad-bahis Sata-rudrANAm BuvanAni pRTak pRTak-
   5.12cd: daśa saṃśodhayet paścād ekaṃ tannāyakāvṛtam	5.12cd: daSa saMSoDayet paScAt ekam tat-nAyaka-AvRtam
   5.13ab: anantaḥ prathamas teṣāṃ kapālīśas tathāparaḥ	5.13ab: anantaH praTamaH tezAm kapAlISaH taTA-aparaH
   5.13cd: agnirudro yamaś caiva nairṛto bala eva ca	5.13cd: agni-rudraH yamaH ca-eva nErRtaH balaH eva ca
   5.14ab: śīghro nidhīśvaraś caiva sarvavidyādhipo 'paraḥ	5.14ab: SIGraH niDi-ISvaraH ca-eva sarva-vidyA-aDipaH aparaH
   5.14cd: śaṃbhuś ca vīrabhadraś ca vidhūmajvalanaprabhaḥ	5.14cd: SaMBuH ca vIraBadraH ca viDUma-jvalana-praBaH
   5.15ab: ebhir daśaikasaṃkhyātaiḥ śuddhaiḥ śuddhaṃ śataṃ matam	5.15ab: eBiH daSa-eka-saMKyAtEH SudDEH SudDam Satam matam
   5.15cd: upariṣṭāt puras teṣām aṣṭakāḥ pañca saṃsthitāḥ	5.15cd: uparizwAt puras tezAm azwakAH paQca saMsTitAH
   5.16ab: lakulī bhārabhūtiś ca diṇḍhyāṣāḍhī sapuṣkarau	5.16ab: lakulI BAraBUtiH ca diNXya-AzAXI sa-puzkarO
   5.16cd: naimiṣaṃ ca prabhāsaṃ ca amareśam athāṣṭakam	5.16cd: nEmizam ca praBAsam ca amareSam aTa-azwakam
   5.17ab: etat pratyātmakaṃ proktam ato guhyātiguhyakam	5.17ab: etat pratyAtmakam proktam atas guhya-ati-guhyakam
   5.17cd: tatra bhairavakedāramahākālāḥ samadhyamāḥ	5.17cd: tatra BErava-kedAra-mahAkAlAH sa-maDyamAH
   5.18ab: āmrātikeśajalpeśaśrīśailāḥ saharīndavaḥ	5.18ab: Amra-ati-keSa-jalpa-ISa-SrISElAH sa-hari-indavaH
   5.18cd: bhīmeśvaramahendrāṭṭahāsāḥ savimaleśvarāḥ	5.18cd: BImeSvara-mahA-indra-awwahAsAH sa-vimala-ISvarAH
   5.19ab: kanakhalaṃ nākhalaṃ ca kurukṣetraṃ gayā tathā	5.19ab: kanaKalam na-aKalam ca kurukzetram gayA taTA
   5.19cd: guhyam etat tṛtīyaṃ tu pavitram adhunocyate	5.19cd: guhyam etat tRtIyam tu pavitram aDunA-ucyate
   5.20ab: sthānusvarṇākṣakāv ādyau bhadragokarṇakau parau	5.20ab: sTAnu-svarNa-akzakO AdyO BadragokarNakO parO
   5.20cd: mahākālāvimukteśarudrakoṭyambarāpadāḥ	5.20cd: mahAkAla-avimukta-ISa-rudra-kowi-ambara-ApadAH
   5.21ab: sthūlaḥ sthūleśvaraḥ śaṅkukarṇakālañjarāv api	5.21ab: sTUlaH sTUleSvaraH SaFku-karNa-kAlaQjarO api
   5.21cd: maṇḍaleśvaramākoṭadviraṇḍachagalāṇḍakau	5.21cd: maNxaleSvaram-Akowa-t-vi-raNxa-Cagala-aNxakO
   5.22ab: sthāṇvāṣṭakam iti proktam ahaṅkārāvadhi sthitam	5.22ab: sTANvA-azwakam iti proktam ahaFkAra-avaDi sTitam
   5.22cd: devayonyaṣṭakaṃ buddhau kathyamānaṃ mayā śṛṇu	5.22cd: devayoni-azwakam budDO kaTyamAnam mayA SRNu
   5.23ab: paiśācaṃ rākṣasaṃ yākṣaṃ gāndharvaṃ caindram eva ca	5.23ab: pESAcam rAkzasam yAkzam gAnDarvam ca-Endram eva ca
   5.23cd: tathā saumyaṃ saprājeśaṃ brāhmam aṣṭamam iṣyate	5.23cd: taTA sOmyam sa-prAja-ISam brAhmam azwamam izyate
   5.24ab: yogāṣṭakaṃ pradhāne tu tatrādāv akṛtaṃ bhavet	5.24ab: yoga-azwakam praDAne tu tatra-AdO akRtam Bavet-
   5.24cd: kṛtaṃ ca raibhavaṃ brāhmaṃ vaiṣṇavaṃ tadanantaram	5.24cd: kRtam ca rEBavam brAhmam vEzNavam tad-anantaram
   5.25ab: kaumāram aumaṃ śraikaṇṭham iti yogāṣṭakaṃ tathā	5.25ab: kOmAram Omam SrEkaNWam iti yoga-azwakam taTA
   5.25cd: puruṣe vāmabhīmograbhaveśānaikavīrakāḥ	5.25cd: puruze vAma-BIma-ugra-Bava-ISAna-eka-vIrakAH
   5.26ab: pracaṇḍomādhavājāś ca anantaikaśivāv atha	5.26ab: pracaNxaH-ma-aDava-AjAH ca ananta-eka-SivO aTa
   5.26cd: krodheśacaṇḍau vidyāyāṃ saṃvarto jyotir eva ca	5.26cd: kroDa-ISa-caNxO vidyAyAm saMvartaH jyotiH eva ca
   5.27ab: kalātattve parijñeyau surapañcāntakau pare	5.27ab: kalA-tattve parijQeyO sura-paQca-antakO pare
   5.27cd: ekavīraśikhaṇḍīśaśrīkaṇṭḥāḥ kālam āśritāḥ	5.27cd: eka-vIra-SiKaNxISa-SrI-kaNwHAH kAlam ASritAH
   5.28ab: mahātejaḥ prabhṛtayoḥ maṇḍaleśānasaṃjñakāḥ	5.28ab: mahA-tejaH praBRtayoH maNxala-ISAna-saMjQakAH
   5.28cd: māyātattve sthitās tatra vāmadevabhavodbhavau	5.28cd: mAyA-tattve sTitAH tatra vAmadeva-Bava-udBavO
   5.29ab: ekapiṅgekṣaṇeśānabhuvaneśapuraḥsarāḥ	5.29ab: eka-piFga-IkzaNa-ISAna-BuvaneSa-puraHsarAH
   5.29cd: aṅguṣṭhamātrasahitāḥ kālānalasamatviṣaḥ	5.29cd: aFguzWa-mAtra-sahitAH kAla-anala-sama-tvizaH
   5.30ab: vidyātattve 'pi pañcāhur bhuvanāni manīṣiṇaḥ	5.30ab: vidyA-tattve api paQca-AhuH BuvanAni manIziNaH
   5.30cd: tatra hālāhalaḥ pūrvo rudraḥ krodhas tathāparaḥ	5.30cd: tatra hAlAhalaH pUrvaH rudraH kroDaH taTA-aparaH
   5.31ab: ambikā ca aghorā ca vāmadevī ca kīrtyate	5.31ab: ambikA ca aGorA ca vAmadevI ca kIrtyate
   5.31cd: īśvare pivanādyāḥ syur aghorāntā maheśvarāḥ	5.31cd: ISvare pivana-AdyAH syuH aGora-antAH maheSvarAH
   5.32ab: raudrī jyeṣṭhā ca vāmā ca tathā śaktisadāśivau	5.32ab: rOdrI jyezWA ca vAmA ca taTA Sakti-sadASivO
   5.32cd: etāni sakale pañca bhuvanāni vidur budhāḥ	5.32cd: etAni sakale paQca BuvanAni viduH buDAH
   5.33ab: evaṃ tu sarvatattveṣu śatam aṣṭādaśottaram	5.33ab: evam tu sarva-tattvezu Satam azwAdaSa-uttaram
   5.33cd: bhuvanānāṃ parijñeyaṃ saṅkṣepān na tu vistarāt	5.33cd: BuvanAnAm parijQeyam saFkzepAt na tu vistarAt-
   5.34ab: śuddhenānena śuddhyanti sarvāṇy api na saṃśayaḥ	5.34ab: SudDena-anena SudDyanti sarvANi api na saMSayaH
   5.34cd: sarvamārgaviśuddhau tu kartavyāyāṃ mahāmatiḥ	5.34cd: sarva-mArga-viSudDO tu kartavyAyAm mahAmatiH
   5.35ab: sakalāvadhi saṃśodhya śive yogaṃ prakalpayet	5.35ab: sakala-avaDi saMSoDya Sive yogam prakalpayet-
   5.35cd: bubhukṣoḥ sakalaṃ dhyātvā yogaṃ kurvīta yogavit	5.35cd: buBukzoH sakalam DyAtvA yogam kurvIta yoga-vid-
   5.36ab: ity eṣa kīrtito mārgo bhuvanākhyasya me mataḥ	5.36ab: iti eza kIrtitaH mArgaH Buvana-AKyasya me mataH
   iti śrīmālinīvijayottare tantre pañcamo 'dhikāraḥ samāptaḥ	iti SrI-mAlinI-vijaya-uttare tantre paQcamaH aDikAraH samAptaH
   atha dehamārgādhikāraḥ ṣaṣṭhaḥ	aTa deha-mArga-aDikAraH zazWaH
   6.1ab: athāsya vastujātasya yathā dehe vyavasthitiḥ	6.1ab: aTa-asya vastu-jAtasya yaTA dehe vyavasTitiH
   6.1cd: kriyate jñānadīkṣāsu tathedānīṃ nigadyate	6.1cd: kriyate jQAna-dIkzAsu taTA-idAnIm nigadyate
   6.2ab: pādādhaḥ pañcabhūtāni vyāptyā dvyaṅgulayā nyaset	6.2ab: pAda-aDas paQcaBUtAni vyAptyA dvi-aFgulayA nyaset-
   6.2cd: dharātattvaṃ ca gulphāntam abādīni tataḥ kramāt	6.2cd: DarA-tattvam ca gulPa-antam ap-AdIni tatas kramAt-
   6.3ab: tadvat tundopariṣṭāt tu parvaṣaṭkāvasānakam	6.3ab: tadvat tunda-uparizwAt tu parva-zawka-avasAnakam
   6.3cd: puṃstattvāt kalātattvāntaṃ tattvaṣaṭkaṃ vicintayet	6.3cd: puMstattvAt kalA-tattva-antam tattva-zawkam vicintayet-
   6.4ab: tato māyāditattvāni catvāri susamāhitaḥ	6.4ab: tatas mAyA-Adi-tattvAni catvAri su-samAhitaH
   6.4cd: caturaṅgulayā vyāptyā sakalāntāni bhāvayet	6.4cd: catur-aFgulayA vyAptyA sakala-antAni BAvayet-
   6.5ab: śivatattvaṃ tataḥ paścāt tejorūpam anākulam	6.5ab: Siva-tattvam tatas paScAt tejaH-rUpam anAkulam
   6.5cd: sarveṣāṃ vyāpakatvena sabāhyābhyantaraṃ smaret	6.5cd: sarvezAm vyApaka-tvena sa-bAhya-aByantaram smaret-
   6.6ab: ṣaṭtriṃśattattvabhedena nyāso 'yaṃ samudāhṛtaḥ	6.6ab: zawtriMSat-tattva-Bedena nyAsaH ayam samudAhRtaH
   6.6cd: adhunā pañca tattvāni yathā dehe tathocyate	6.6cd: aDunA paQca tattvAni yaTA dehe taTA-ucyate
   6.7ab: nābher ūrdhvaṃ tu yāvat syāt parvaṣaṭkam anukramāt	6.7ab: nABeH UrDvam tu yAvat syAt parva-zawkam anukramAt-
   6.7cd: dharātattvena gulphāntaṃ vyāptaṃ śeṣam ihāmbunā	6.7cd: DarA-tattvena gulPa-antam vyAptam Sezam iha-ambunA
   6.8ab: dvāviṃśatiś ca parvāṇi tadūrdhvaṃ tejasāvṛtam	6.8ab: dvAviMSatiH ca parvANi tad-UrDvam tejasA-AvRtam
   6.8cd: tasmād dvādaśa parvāṇi vāyuvyāptir udāhṛtā	6.8cd: tasmAt dvAdaSa parvANi vAyu-vyAptiH udAhRtA
   6.9ab: ākāśāntaṃ paraṃ śāntaṃ sarveṣāṃ vyāpakaṃ smaret	6.9ab: AkASa-antam param SAntam sarvezAm vyApakam smaret-
   6.9cd: śaktyādipañcakhaṇḍādhvavidhiṣv apy evam iṣyate	6.9cd: Sakti-Adi-paQca-KaNxa-aDva-viDizu api evam izyate
   6.10ab: trikhaṇḍe kaṇṭhaparyantam ātmatattvam udāhṛtam	6.10ab: tri-KaNxe kaNWa-paryantam Atma-tattvam udAhRtam
   6.10cd: vidyātattvam atordhvaṃ ca śivatattvaṃ tu pūrvavat	6.10cd: vidyA-tattvam atorDvam ca Siva-tattvam tu pUrvavat-
   6.11ab: evaṃ tattvavidhiḥ prokto bhuvanādhvā tathocyate	6.11ab: evam tattva-viDiH proktaH Buvana-aDvA taTA-ucyate
   6.11cd: kālāgner vīrabhadrāntaṃ puraṣoḍaśakaṃ tataḥ	6.11cd: kAlAgneH vIraBadra-antam pura-zoxaSakam tatas-
   6.12ab: gulphāntaṃ vinyased dhyātvā yathāvad anupūrvaśaḥ	6.12ab: gulPa-antam vinyaset DyAtvA yaTAvat anupUrvaSas-
   6.12cd: tasmād ekāṅgulavyāptyā lakulīśāditaḥ kramāt	6.12cd: tasmAt eka-aFgula-vyAptyA lakulI-Sa-AditaH kramAt-
   6.13ab: vinyaset tu dviraṇḍāntaṃ tryaṅgulaṃ chagalāṇḍakam	6.13ab: vinyaset tu dvi-s-aNxa-antam tri-aFgulam Cagala-aNxakam
   6.13cd: tataḥ pādāṅgulavyāptyā devayogāṣṭakaṃ pṛthak	6.13cd: tatas pAda-aFgula-vyAptyA deva-yoga-azwakam pRTak-
   6.14ab: tato 'py ardhāṅgulavyāptyā puraṣaṭkam anukramāt	6.14ab: tatas api arDa-aFgula-vyAptyA pura-zawkam anukramAt-
   6.14cd: catuṣkaṃ tu dvaye 'nyasminn ekam ekatra cintayet	6.14cd: catuzkam tu dvaye anyasmin ekam ekatra cintayet-
   6.15ab: uttarādikramād dvyekabhedo vidyādike traye	6.15ab: uttara-Adi-kramAt dvi-eka-BedaH vidyA-Adike traye
   6.15cd: kāle pratyekam uddiṣṭam ekaikaṃ tu yathākramaṃ	6.15cd: kAle pratyekam uddizwam ekEkam tu yaTAkramam
   6.16ab: maṇḍalādhipatīnāṃ tu vyāptir ardhāṅgulā matā	6.16ab: maNxala-aDipatInAm tu vyAptiH arDa-aFgulA matA
   6.16cd: tribhāganyūnaparvākhyā tritayasya tathopari	6.16cd: tri-BAga-nyUna-parva-AKyA tritayasya taTA-upari
   6.17ab: dvitayasya ca saṃpūrṇā pañcakaṃ samudāhṛtam	6.17ab: dvitayasya ca saMpUrNA paQcakam samudAhRtam
   6.17cd: aṣṭakaṃ pañcakaṃ cānyad evam eva vilakṣayet	6.17cd: azwakam paQcakam ca-anyat evam eva vilakzayet-
   6.18ab: bhuvanādhvavidhāv atra pūrvavac cintayec chivam	6.18ab: Buvana-aDva-viDO atra pUrvavat cintayet Sivam
   6.18cd: padāni dvividhāny atra vargavidyāvibhedataḥ	6.18cd: padAni dviviDAni atra varga-vidyA-viBedataH
   6.19ab: teṣāṃ tanmantravad vyāptir yathedānīṃ tathā śṛṇu	6.19ab: tezAm tad-mantra-vat vyAptiH yaTA-idAnIm taTA SRNu
   6.19cd: caturaṅgulam ādyaṃ tu dve cānye 'ṣṭāṅgule pṛthak	6.19cd: catur-aFgulam Adyam tu dve ca-anye azwa-aFgule pRTak-
   6.20ab: daśāṅgulāni trīṇy asmād ekaṃ pañcadaśāṅgulam	6.20ab: daSa-aFgulAni trINi asmAt ekam paQcadaSa-aFgulam
   6.20cd: caturbhir adhikaiś cānyad vyāpakaṃ navamaṃ mahat	6.20cd: caturBiH aDikEH ca-anyat vyApakam navamam mahat-
   6.21ab: ūnaviṃśatike bhede padānāṃ vyāptir ucyate	6.21ab: UnaviMSatike Bede padAnAm vyAptiH ucyate
   6.21cd: ekaikaṃ dvyaṅgulaṃ jñeyaṃ tatra pūrvaṃ padatrayam	6.21cd: ekEkam dvi-aFgulam jQeyam tatra pUrvam pada-trayam
   6.22ab: aṣṭāṅgulāni catvāri daśāṅgulam ataḥ param	6.22ab: azwa-aFgulAni catvAri daSa-aFgulam atas param
   6.22cd: dvyaṅgule dve pade cānye ṣaḍaṅgulam ataḥ param	6.22cd: dvi-aFgule dve pade ca-anye zaz-aFgulam atas param
   6.23ab: dvādaśāṅgulam anyac ca dve 'nye pañcāṅgule pṛthak	6.23ab: dvAdaSa-aFgulam anyat ca dve anye paQcAFgule pRTak-
   6.23cd: padadvayaṃ catuṣparva tathānye dve dviparvaṇī	6.23cd: pada-dvayam catuzparva taTA-anye dve dvi-parvaNI
   6.24ab: vyāpakaṃ padam anyac ca pūrvavat parikīrtitaṃ	6.24ab: vyApakam padam anyat ca pUrvavat parikIrtitam
   6.24cd: aparo 'yaṃ vidhiḥ proktaḥ parāparam ataḥ śṛṇu	6.24cd: aparaH ayam viDiH proktaH parAparam atas SRNu
   6.25ab: pūrvavat pṛthivītattvaṃ vijñeyaṃ caturaṅgulam	6.25ab: pUrvavat pRTivI-tattvam vijQeyam catur-aFgulam
   6.25cd: sārdhadvyaṅgulamānāni dhiṣaṇāntāni lakṣayet	6.25cd: sArDa-dvi-aFgula-mAnAni DizaNA-antAni lakzayet-
   6.26ab: pradhānaṃ tryaṅgulaṃ jñeyaṃ śeṣaṃ pūrvavad ādiśet	6.26ab: praDAnam tri-aFgulam jQeyam Sezam pUrvavat AdiSet-
   6.26cd: pare 'pi pūrvavat pṛthvī tryaṅgulāny aparāṇi ca	6.26cd: pare api pUrvavat pRTvI tri-aFgulAni aparANi ca
   6.27ab: catuṣparva pradhānaṃ ca śeṣaṃ pūrvavad āśrayet	6.27ab: catuzparva praDAnam ca Sezam pUrvavat ASrayet-
   6.27cd: dvividho 'pi hi varṇānāṃ ṣaḍvidho bheda ucyate	6.27cd: dviviDaH api hi varNAnAm zaxviDaH BedaH ucyate
   6.28ab: tattvamārgavidhānena jñātavyaḥ paramārthataḥ	6.28ab: tattva-mArga-viDAnena jQAtavyaH paramArTataH
   6.28cd: padamantrakalādīnāṃ pūrvasūtrānusārataḥ	6.28cd: pada-mantra-kalA-AdInAm pUrva-sUtra-anusArataH
   6.29ab: tritayatvaṃ prakurvīta tattvavarṇoktavartmanā	6.29ab: tritaya-tvam prakurvIta tattva-varNa-ukta-vartmanA
   6.29cd: itthaṃ bhūtaśarīrasya guruṇā śivamūrtinā	6.29cd: itTam BUta-SarIrasya guruNA Siva-mUrtinA
   6.30ab: prakartavyā vidhānena dīkṣā sarvaphalapradā	6.30ab: prakartavyA viDAnena dIkzA sarva-Pala-pradA
   iti śrīmālinīvijayottare tantre dehamārgādhikāraḥ ṣaṣṭhaḥ samāptaḥ	iti SrI-mAlinI-vijaya-uttare tantre deha-mArga-aDikAraH zazWaH samAptaH
   mudrādhikāraḥ saptamaḥ	mudrA-aDikAraH saptamaH
   7.1ab: athātaḥ saṃpravakṣyāmi mudrākhyāḥ śivaśaktayaḥ	7.1ab: aTa-atas saMpravakzyAmi mudrA-AKyAH Siva-SaktayaH
   7.1cd: yābhiḥ saṃrakṣito mantrī mantrasiddhim avāpnuyāt	7.1cd: yABiH saMrakzitaH mantrI mantra-sidDim avApnuyAt-
   7.2ab: triśūlaṃ ca tathā padmaṃ śaktiś cakraṃ savajrakam	7.2ab: triSUlam ca taTA padmam SaktiH cakram sa-vajrakam
   7.2cd: daṇḍadaṃṣṭre mahāpretā mahāmudrā khageśvarī	7.2cd: daNxa-daMzwre mahA-pretA mahAmudrA KageSvarI
   7.3ab: mahodayā karālā ca khaṭvāṅgaṃ sakapālakam	7.3ab: mahA-udayA karAlA ca KawvAFgam sa-kapAlakam
   7.3cd: halaṃ pāśāṅkuśā ghaṇṭā mudgaras triśikho 'paraḥ	7.3cd: halam pASAFkuSA GaNwA mudgaraH triSiKaH aparaH
   7.4ab: āvāhasthāpanīrodhā dravyadā natir eva ca	7.4ab: AvAha-sTApanI-roDA dravya-dA natiH eva ca
   7.4cd: amṛtā yogamudreti vijñeyā vīravandite	7.4cd: amRtA yoga-mudrA-iti vijQeyAH vIra-vandite
   7.5ab: tarjanīmadhyamānāmā dakṣiṇasya prasāritāḥ	7.5ab: tarjanI-maDyamA-nAmA dakziNasya prasAritAH
   7.5cd: kaṇiṣṭhāṅguṣṭhakākrāntās triśūlaṃ parikīrtitam	7.5cd: kaNizWA-aFguzWaka-AkrAntAH triSUlam parikIrtitam
   7.6ab: padmākārau karau kṛtvā padmamudrāṃ pradarśayet	7.6ab: padma-AkArO karO kRtvA padma-mudrAm pradarSayet-
   7.6cd: saṃmukhau prasṛtau kṛtvā karāv antaritāṅgulī	7.6cd: saMmuKO prasRtO kRtvA karO antarita-aFgulI
   7.7ab: prasṛte madhyame lagne kaumāryāḥ śaktir iṣyate	7.7ab: prasRte maDyame lagne kOmAryAH SaktiH izyate
   7.7cd: uttānavāmamuṣṭes tu dakṣa[6]	7.7cd: uttAna-vAma-muzweH tu dakza[6]
   7.8ab: [4] kṣipen muṣṭiṃ cakraṃ nārāyaṇīpriyam	7.8ab: [4] kzipet muzwim cakram nArAyaNI-priyam
   7.8cd: uttānavāmakasyordhvaṃ nyased dakṣam adhomukham	7.8cd: uttAna-vAmakasya-UrDvam nyaset dakzam aDomuKam
   7.9ab: kaniṣṭhāṅguṣṭhakau śliṣṭau śeṣāḥ syur maṇibandhagā	7.9ab: kanizWA-aFguzWakO SlizwO SezAH syuH maNibanDa-gA
   7.9cd: vajramudreti vikhyātā aindrīsaṃtoṣakārikā	7.9cd: vajramudrA-iti viKyAtA EndrI-saMtoza-kArikA
   7.10ab: ūrdhvaprasārito muṣṭir dakṣiṇo 'ṅguṣṭhagarbhagaḥ	7.10ab: UrDva-prasAritaH muzwiH dakziNaH aFguzWa-garBa-gaH
   7.10cd: daṇḍamudreti vikhyātā vaivasvatakulapriyā	7.10cd: daNxamudrA-iti viKyAtA vEvasvata-kula-priyA
   7.11ab: vāmato vaktragāṃ kuryād vāmamuṣṭeḥ kaniṣṭhikām	7.11ab: vAmatas vaktra-gAm kuryAt vAma-muzweH kanizWikAm
   7.11cd: daṃṣṭreyaṃ kīrtitā devi cāmuṇḍākulanandinī	7.11cd: daMzwrA-iyam kIrtitA devi cAmuNxa-Akula-nandinI
   7.12ab: vāmajānugataṃ pādaṃ but hastau pṛṣṭhapralambinau	7.12ab: vAma-ja-anugatam pAdam buD hastO pRzWa-pralambinO
   7.12cd: vikṛte locane grīvā bhagnā jihvā prasāritā	7.12cd: vikRte locane grIvA BagnA jihvA prasAritA
   7.13ab: sarvayogigaṇasyeṣṭā pretā yogīśvarī matā	7.13ab: sarva-yogi-gaNasya-izwA pretA yogISvarI matA
   7.13cd: hastāv adhomukhau padbhyāṃ hṛdayāntaṃ nayed budhaḥ	7.13cd: hastO aDomuKO padByAm hRdaya-antam nayet buDaH
   7.14ab: tiryag mukhāntam upari saṃmukhāv ūrdhvagau nayet	7.14ab: tiryak muKa-antam upari saMmuKO UrDva-gO nayet-
   7.14cd: mahāmudreti vikhyātā dehaśodhanakarmaṇi	7.14cd: mahAmudrA-iti viKyAtA deha-SoDana-karmaNi
   7.15ab: sarvakarmakarī caiṣā yogināṃ yogasiddhaye	7.15ab: sarva-karma-karI ca-ezA yoginAm yoga-sidDaye
   7.15cd: baddhvā padmāsanaṃ yogī nābhāv akṣeśvaraṃ nyaset	7.15cd: badDvA padmAsanam yogI nABO akzeSvaram nyaset-
   7.16ab: daṇḍākāraṃ tu taṃ tāvan nayed yāvat kakhatrayam	7.16ab: daNxa-AkAram tu tam tAvat nayet yAvat kaKatrayam
   7.16cd: nigṛhya tatra tat tūrṇaṃ prerayet khatrayeṇa tu	7.16cd: nigRhya tatra tat tUrNam prerayet Ka-trayeNa tu
   7.17ab: etāṃ baddhvā mahāvīraḥ khe gatiṃ pratipadyate	7.17ab: etAm badDvA mahAvIraH Ke gatim pratipadyate
   7.17cd: adhomukhasya dakṣasya vāmam uttānam ūrdhvataḥ	7.17cd: aDomuKasya dakzasya vAmam uttAnam UrDvatas-
   7.18ab: anāmāmadhyame tasya vāmāṅguṣṭhena pīḍayet	7.18ab: anAma-amaDyame tasya vAma-aFguzWena pIxayet-
   7.18cd: tarjanyā tatkaniṣṭhāṃ ca tarjanīṃ ca kaniṣṭhayā	7.18cd: tarjanyA tad-kanizWAm ca tarjanIm ca kanizWayA
   7.19ab: madhyamānāmikābhyāṃ ca tadaṅguṣṭhaṃ nipīḍayet	7.19ab: maDyamA-anAmikAByAm ca tad-aFguzWam nipIxayet-
   7.19cd: mudrā mahodayākhyeyaṃ mahodayakarī nṛṇām	7.19cd: mudrA mahA-udaya-AKyeyam mahA-udaya-karI nRNAm
   7.20ab: anāmikākaniṣṭhābhyāṃ sṛkviṇyau pravidārayet	7.20ab: anAmi-kA-kanizWAByAm sRkviNyO pravidArayet-
   7.20cd: jihvāṃ ca lālayen mantrī hāhākāraṃ ca kārayet	7.20cd: jihvAm ca lAlayet mantrI hAhAkAram ca kArayet-
   7.21ab: kruddhadṛṣṭiḥ karāleyaṃ mudrā duṣṭabhayaṅkarī	7.21ab: krudDa-dRzwiH karAleyam mudrA duzwa-BayaFkarI
   7.21cd: vāmaskandhagato vāma muṣṭir ucchritatarjanī	7.21cd: vAma-skanDa-gataH vAma muzwiH ucCrita-tarjanI
   7.22ab: khaṭvāṅgākhyā smṛtā mudrā kapālam adhunā śṛṇu	7.22ab: KawvAFga-AKyA smRtA mudrA kapAlam aDunA SRNu
   7.22cd: nimnaṃ pāṇitalaṃ dakṣam īṣat saṃkucitāṅguli	7.22cd: nimnam pANitalam dakzam Izat saMkucita-aFguli
   7.23ab: kapālam iti vijñeyam adhunā halam ucyate	7.23ab: kapAlam iti vijQeyam aDunA halam ucyate
   7.23cd: muṣṭibaddhasya dakṣasya tarjanī vāmamuṣṭinā	7.23cd: muzwi-badDasya dakzasya tarjanI vAma-muzwinA
   7.24ab: vakratarjaninā grastā halamudreti kīrtitā	7.24ab: vakra-tarjaninA grastA halamudrA-iti kIrtitA
   7.24cd: muṣṭyā pṛṣṭhagayor dakṣa vāmayos tarjanīdvayam	7.24cd: muzwyA pRzWa-gayoH dakza vAmayoH tarjanI-dvayam
   7.25ab: vāmāṅguṣṭhāgrasaṃlagnaṃ pāśaḥ prasṛtakuñcitaḥ	7.25ab: vAma-aFguzWa-agra-saMlagnam pASaH prasRta-kuQcitaH
   7.25cd: hale muṣṭir yathā vāmo dakṣahīnas tathāṅkuśaḥ	7.25cd: hale muzwiH yaTA vAmaH dakza-hInaH taTA-aFkuSaH
   7.26ab: adhomukhasthite vāme dakṣiṇāṃ tarjanīṃ budhaḥ	7.26ab: aDomuKa-sTite vAme dakziNAm tarjanIm buDaH
   7.26cd: cālayen madhyadeśasthāṃ ghaṇṭāmudrā priyā matā	7.26cd: cAlayet maDyadeSa-sTAm GaNwAmudrA priyA matA
   7.27ab: karāv ūrdhvamukhau kāryāv anyonyāntaritāṅgulī	7.27ab: karO UrDva-muKO kAryO anyonya-antarita-aFgulI
   7.27cd: anāme madhyapṛṣṭhasthe tarjanyau mūlaparvage	7.27cd: anAme maDya-pRzWa-sTe tarjanyO mUlaparva-ge
   7.28ab: madhyame dve yute kārye kaniṣṭhe puruṣāvadhi	7.28ab: maDyame dve yute kArye kanizWe puruza-avaDi
   7.28cd: tarjanyau madhyapārśvasthe virale parikalpite	7.28cd: tarjanyO maDya-pArSva-sTe virale parikalpite
   7.29ab: mudgaras triśikho hy eṣa kṣaṇād āveśakārakaḥ	7.29ab: mudgaraH triSiKaH hi eza kzaNAt AveSa-kArakaH
   7.29cd: karābhyām añjaliṃ kṛtvā anāmāmūlaparvagau	7.29cd: karAByAm aQjalim kRtvA anAmA-mUla-parvagO
   7.30ab: aṅguṣṭhau kalpayed vidvān mantrāvāhanakarmaṇi	7.30ab: aFguzWO kalpayet vidvAn mantra-AvAhana-karmaNi
   7.30cd: muṣṭī dvāv unnatāṅguṣṭhau sthāpanī parikīrtitā	7.30cd: muzwI dvO unnata-aFguzWO sTApanI parikIrtitA
   7.31ab: dvāv eva garbhagāṅguṣṭhau vijñeyā saṃnirodhinī	7.31ab: dvO eva garBa-gAFguzWO vijQeyA saMniroDinI
   7.31cd: dravyadā tu samākhyātā [4]tra saṃmukhī	7.31cd: dravya-dA tu samAKyAtA [4]tra saMmuKI
   7.32ab: hṛdaye saṃmukhau hastau saṃlagnau prasṛtāṅgulī	7.32ab: hRdaye saMmuKO hastO saMlagnO prasRta-aFgulI
   7.32cd: namaskṛtir iyaṃ mudrā mantravandanakarmaṇi	7.32cd: namaskRtiH iyam mudrA mantra-vandana-karmaNi
   7.33ab: anyonyāntaritāḥ sarvāḥ karayor aṅgulīḥ sthitāḥ	7.33ab: anyonya-antaritAH sarvAH karayoH aFgulIH sTitAH
   7.33cd: kaniṣṭhāṃ dakṣiṇāṃ vāme 'nāmikāgre niyojayet	7.33cd: kanizWAm dakziNAm vAme anAmikA-agre niyojayet-
   7.34ab: dakṣiṇe ca tathā vāmaṃ tarjanīmadhyame tathā	7.34ab: dakziNe ca taTA vAmam tarjanI-maDyame taTA
