   Apohasiddhiḥ /	Apoha sidDiH /
   dravyāntarasya vā dṛṣṭavyabhicārasya grahaṇaprasaṅgaḥ saṅgataḥ / tasmāt	dravya antarasya vA dRzwa vyaBicArasya grahaNa prasaFgaH saFgataH / tasmAt 
   ekadharmmadvāreṇāpi vastusvarūpapratipattau sarvvātmapratīteḥ; kva	eka Darmma dvAreNa api vastu svarUpa pratipattO sarvvAtma pratIteH; kva
   śabdāntareṇa vidhiniṣedhāvakāśaḥ / asti ca, tasmānna svalakṣaṇasya	Sabda antareNa viDi nizeDa avakASaH / asti ca, tasmAt na sva lakzaNasya
   śabdavikalpaliṅgapratibhāsitvamiti sthitam //	Sabda vikalpa liFga pratiBAsi tvam iti sTitam //
   nāpi sāmānyam śābdapratyayapratibhāsi / saritaḥ pāre gāvaścarantīti	na api sAmAnyam SAbda pratyaya pratiBAsi / saritaH pAre gAvaH caranti iti
   gavādiśabdāt sāsrāśṛṅgalāṅgūlādayo 'kṣarākāraparikaritāḥ	gavA Adi SabdAt sa asra aSRFga lAFgUla AdayaH akzara AkAra parikaritAH
   sajātīyabhedāparāmarśanāt sampiṇḍitaprāyāḥ pratibhāsante / na ca tadeva	sajAtIya Beda aparAmarSanAt sampiNxita prAyAH pratiBAsante / na ca tat eva
   sāmānyam /	sAmAnyam /
   varṇākṛtyakṣarākāraśrūnyaṅgotvaṃ hi kathyate /	varNa AkRti akzara AkAra SrUni aFga utvam hi kaTyate /
   tadeva ca sāsrāśṛṅgādimātramakhilavyaktāvatyantavilakṣaṇamapi	tat eva ca sa asra aSRFga Adi mAtram aKila vyaktO= atyanta vilakzaNam api
   svalakṣaṇenaikīkriyamāṇam sāmānyamityucyate / tādṛśasya vāhyasyāprāpte	sva lakzaNena ekIkriyamANam sAmAnyam iti ucyate / tAdRSasya vAhyasya aprApte
   rbhrāntirevāsau keśapratibhāsavat / tasmādvāsanāvaśādduḍvereva tadātmanā	rBrAntiH eva asO keSa pratiBAsa vat / tasmAt vAsanA vaSAt duxveH eva tad AtmanA
   vivarttoyamastu, asadeva vā tadrūpaṃ khyātu; vyaktaya eva vā	vivarttA uyamaH tu, asat eva vA tad rUpam KyAtu; vyaktayaH eva vA
   sajātīyabhedatiraskāreṇānyathā bhāsantā manubhavavyavadhānāt; smṛtipramoṣo	sajAtIya Beda tiraskAreNa anyaTA BAsantA manu Bava vyavaDAnAt; smRti pramozaH 
   vabhidhīyatām; sarvvathā nirvviṣayaḥ khalvayaṃ sāmānyapratyayaḥ; kva	vaBiDIyatAm; sarvu aTAH nirvvizayaH Kalu ayam sAmAnya pratyayaH; kva
   sāmānyavārttā? yat punaḥ sāmānyābhāve sāmānyapratyayasyākasmikatvamuktaṃ	sAmAnya vArttA? yat punar sAmAnya aBAve sAmAnya pratyayasya akasmika tvam uktam
   tadayuktam / yataḥ	tat ayuktam / yatas 
   pūrvvapiṇḍadaṇḍadarśanasmaraṇasahakāriṇātiricyamānāviśeṣapratyayajanikā	pUrvva piNxa daNxa darSana smaraNa sahakAriNA tiricyamAnA viSeza pratyaya janikA
   sāmagrī nirvviṣayaṃ sāmānyavikalpamutpādayati / tadevanna śābdapratyaye	sAmagrI nirvvizayam sAmAnya vikalpam utpAdayati / tat evat na SAbda pratyaye
   jātiḥ pratibhāti; nāpi pratyakṣe na cānumānato 'pi siddhiḥ; adṛśyatve	jAtiH pratiBAti; na api pratyakze na ca anumAnataH api sidDiH; adRSya tve
   pratibaddhaliṅgādarśanāt / nāpīndriyavadasyāḥ siddhiḥ / jñānakāryyataḥ	pratibadDa liFga adarSanAt / na api indriya vat asyAH sidDiH / jQAna kAryyataH
   kādācitkasyaiva nimittāntarasya siddheḥ / yadāpi piṇḍāntare antarāle vā	kAdAcid kasya eva nimitta antarasya sidDeH / yadA api piNxa antare antarAle vA
   gobuddherabhāvaṃ darśayet; tadā śāvaleyādisakalagopiṇḍānāmevābhāvādabhāvo	go budDeH aBAvam darSayet; tadA SAvaleya Adi sakala go piNxAnAm eva aBAvAt aBAvaH 
   go buddherūpapadyamānaḥ kathamarthāntaramākṣipet? gotvādeva gopiṇḍaḥ,	gaH budDerUpa padyamAnaH kaTam arTa antaram Akzipet? go tvAt eva gopiNxaH,
   anyathā turagopi gopiṇḍaḥ syāt / yadyevaṃ gopiṇḍādeva gotvamanyathā	anyaTA turagopi gopiNxaH syAt / yadi evam gopiNxAt eva go tvam anyaTA
   turagatvamapi gotvam syāt / tasmāt kāraṇaparamparāta eva gopiṇḍo gotvaṃ tu	turaga tvam api go tvam syAt / tasmAt kAraNa paramparAtaH eva gopiNxaH go tvam tu
   bhavatu mā vā / nanu sāmānyapratyayajananasāmarthyaṃ yadyekasmāt	Bavatu mA vA / nanu sAmAnya pratyaya janana sAmarTyam yadi ekasmAt 
   piṇḍādabhinnam; tadā vijātīyavyāvṛttaṃ piṇḍāntaramasamarthaṃ / atha	piNxAt aBinnam; tadA vijAtIya vyAvRttam piNxa antaram asamarTam / aTa
   bhinnaṃ tadā tadeva sāmānyam nāmni paraṃ vivāda iti cet? abhinnaiva sā	Binnam tadA tat eva sAmAnyam nAmni param vivAdaH iti cet? aBinnA eva sA
   śaktiḥ prati vastu; yathātvekaḥ śaktasvabhāvo bhāvaḥ tatha anyopi bhavan	SaktiH prati vastu; yaTAtu ekaH Sakta svaBAvaH BAvaH taTa anyopi Bavan
   kīdṛśandoṣamāvahati? yathā bhavatāṃ jātirekāpi	kIdRSan doza m Avahati? yaTA BavatAm jAtiH ekA api
   samānadhvaniprasavaheturanyāpi svarūpeṇaiva jātyantaranirapekṣā /	samAna Dvani prasava hetuH anyA api sva rUpeNa eva jAti antara nirapekzA /
   tathāsmākaṃ vyaktirapi jātinirapekṣā svarūpeṇaiva bhinnā hetuḥ /	taTA asmAkam vyaktiH api jAti nirapekzA sva rUpeNa eva BinnAH hetuH /
   yattu trilocanaḥ / aśvatvagotvā dīnāṃ sāmānya viśeṣāṇāṃ svāśraye samavāyaḥ	yat tu trilocanaH / aSva tvagotvA dInAm sAmAnya viSezANAm sva ASraye samavAyaH
   sāmānyam; sāmānya mityabhidhānapratyayayornimittamiti / yadyevaṃ	sAmAnyam; sAmAnya miti aBiDAna pratyayayoH nimittam iti / yadi evam
   vyaktiṣvapyayameva tathābhidhānapratyayaheturastu / kiṃ sāmānyasvīkāra	vyaktizu api ayam eva taTA aBiDAna pratyaya hetuH astu / kim sAmAnya svIkAra
   pramādena /	pramAdena /
   na ca samavāyaḥ sambhavī //	na ca samavAyaH samBavI //
   iheti buddheḥ samavāyasiddhiriheti dhīśca dvayadarśane syāt /	iha iti budDeH samavAya sidDiH iha iti DIH ca dvaya darSane syAt /
   na ca kvacittadviṣaye tvapekṣā svakalpanāmātramatobhyupāyaḥ //	na ca kvacid tad vizaye tu apekzA sva kalpanA mAtram atoBi upAyaH //
   etena yeyaṃ pratyayānuvṛttiranuvṛttavastvanuyāyinī kathamatyantabhedinīsu	etena yA iyam pratyaya anuvRttiH anuvRtta vastu anuyAyinI kaTam atyanta BedinIsu
   vyaktiṣu vyāvṛttaviṣayapratyayabhāvānupātinīṣu	vyaktizu vyAvRtta vizaya pratyaya BAva anupAtinIzu
   bhavitumarhatītyuhāpravarttanamasya pratyākhyātam / jāṭiṣveva	Bavitum arhati iti uha apravarttanam asya pratyAKyAtam / jAwizu eva
   parasparavyāvṛttatayā vyaktīyamānāsvanuvṛttapratyayena vyabhicārāt / yat	paraspara vyAvRtta tayA vyaktIyamAnAsu anuvRtta pratyayena vyaBicArAt / yat 
   punaranena viparyyaye vādhakamuktam, abhidhānapratyayānuvṛttiḥ	punar anena viparyyaye vA aDakam uktam, aBiDAna pratyaya anuvRttiH
   kutaścinnivṛttya kvacideva bhavantī nimittavatī / na cānyannimittamityādi	kutaScid nivRttya kvacid eva BavantI nimittavatI / na ca anyat nimittam ityAdi
   // tanna samyak / anuvṛttamantareṇāpi	// tat na samyak / anuvRttam antareNa api
   abhidhānapratyayānuvṛtteratadrūpaparāvṛttasvarūpaviśeṣāt avaśyaṃ	aBiDAna pratyaya anuvRtteH a tad rUpa parAvRtta svarUpa viSezAt avaSyam
   svīkārasya sādhitatvāt / tasmāt, tulya bhede yayā jā tiḥ pratyāsattyā	svIkArasya sADita tvAt / tasmAt, tulya Bede yayA jA tiH pratyAsattyA
   prasarpati / kvacinnānyatra saivāstu śabdajñānanibandhanam /	prasarpati / kvacid na anyatra sA eva astu Sabda jQAna nibanDanam /
   yat punaratra nyāyabhūṣaṇenoktaṃ nahyevaṃ bhavati / yayā pratyāsattyā	yat punar atra nyAya BUzaNena uktam na hi evam Bavati / yayA pratyAsattyA
   daṇḍasūtrādikaṃ prasarpati kvacinnānyatra saiva pratyāsattiḥ	daNxa sUtra Adikam prasarpati kvacid na anyatra sA eva pratyAsattiH
   puruṣasphaṭikādiṣu daṇḍisūtritvādivyavahāranibandhanamastu kiṃ	puruza sPawika Adizu daNxi sUtri tva Adi vyavahAra nibanDa nam aH tu kim
   daṇḍasūtrādineti / tadasaṅgatam / daṇḍasūtrayohi	daNxa sUtra AdinA iti / tad asaFgatam / daNxa sUtrayohi
   puruṣasphaṭikapratyāsannayoḥ dṛṣṭayoḥ daṇḍisūtripratyayahetutvaṃ	puruza sPawika pratyAsannayoH dRzwayoH daNxi sUtri pratyaya hetu tvam
   nāpalapyate / sāmānyantu svapne 'pi na dṛṣṭam / tadyadīdaṃ parikalpanīyam	na apalapyate / sAmAnyantu svapne api na dRzwam / tat yadi idam parikalpanIyam
   tadā varam pratyāsattireva sāmānyapratyayahetuḥ parikalpyatām, kiṃ	tadA varam pratyAsattiH eva sAmAnya pratyaya hetuH parikalpyatAm, kim
   gurvyāparikalpanayetyabhiprāyā parijñānāt /	gurvI AparikalpanayA iti aBiprAyA parijQAnAt /
   athedaṃ jātiprasādhakamanumānamabhidhīyate /	aTa idam jAti prasADakam anumAnam aBiDIyate /
   yadviśiṣṭajñānaṃ tadviśeṣaṇagrahaṇanāntarīyakam / yathā daṇḍijñānam /	yad viSizwa jQAnam tad viSezaNa grahaNana antarIyakam / yaTA daNxi jQAnam /
   viśiṣṭajñānañcedaṃ gaurayamityarthataḥ kāryyahetuḥ /	viSizwa jQAnaQca idam gOH ayam iti arTataH kAryya hetuH /
   viśeṣaṇānubhavakāryyaṃ hi dṛṣṭānte viśiṣṭabuddhiḥ siḍveti / atrānuyogaḥ,	viSezaNa anuBava kAryyam hi dRzwAnte viSizwa budDiH sixva iti / atra anuyogaH,
   viśiṣṭabuddherbhinnaviśeṣaṇagrahaṇanāntarīyakatvaṃ vā sādhyam; viśeṣaṇa	viSizwa budDeH Binna viSezaNa grahaNana antarIyaka tvam vA sADyam; viSezaNa
   mātrānubhavanāntarīyakatvaṃ vā / prathamapakṣe pakṣasya	mAtrA anuBavana antarIyaka tvam vA / praTama pakze pakzasya
   pratyakṣavādhāsādhanāvadhānamanavakāśayati / vastugrāhiṇaḥ pratyakṣasyo	pratyakza vADa asADana avaDAnam anavakASayati / vastu grAhiNaH pratyakzasya u
   bhayapratibhāsābhāvāt / viśiṣṭabuddhitvañca sāmānyam / hetura naikāntikaḥ	Baya pratiBAsA BAvAt / viSizwa budDi tvaQca sAmAnyam / hetura na EkAntikaH
   / bhinnaviśeṣaṇagrahaṇamantareṇāpi darśanāt / yathā svarūpavān ghaṭaḥ /	/ Binna viSezaNa grahaNam antareNa api darSanAt / yaTA sva rUpavAn GawaH /
   gotvaṃ sāmānyamiti vā / dvitīyapakṣe tu siddhasādhanam / svarūpavān ghaṭa	go tvam sAmAnyam iti vA / dvitIya pakze tu sidDa sADanam / sva rUpavAn Gawa
   ityādivat gotvajātimā n piṇḍa iti parikalpitam bhedamupādāya	ityAdi vat go tva jAtimA n piNxe iti parikalpitam Bedam upAdAya
   viśeṣaṇaviśeṣyabhāvasyeṣṭatvādgovyāvṛttānubhavabhāvitvād gaurayamiti	viSezaNa viSezya BAvasya izwa tvAt go vyA vRtta anuBava BAvi tvAt gOH ayam iti
   vyavahārasya / tadeva na sāmānyabuddhiḥ / vādhakaṃ ca	vyavahArasya / tat eva na sAmAnya budDiH / vA aDakam ca
   sāmānyaguṇakarmmādyupā dhicakrasya, kevalavyaktigrāhakaṃ paṭupratyakṣam /	sAmAnya guNa karmmA Adi upA Di cakrasya, kevala vyakti grAhakam pawu pratyakzam /
   dṛśyānupalambho vā prasiddhaḥ /	dRSya anupalamBaH vA prasidDaH /
   tadevaṃ vidhireva śabdārthaḥ / sa ca vāhyortho budhyākāraśca vivakṣitaḥ,	tat evam viDiH eva Sabda arTaH / sa ca vAhya UrTaH buDya AkAraH ca vivakzitaH,
   tatra na budhyākārasya tattvataḥ sambṛttyā vā vidhiniṣedhau /	tatra na buDya AkArasya tattvataH sambRttyAH vA viDi nizeDO /
   svasambedanapratyakṣagamyatvāt / anadhyavasāyācca / nāpi tattvato	sva sambedana pratyakza gamya tvAt / anaDyavasAyAt ca / na api tattvataH 
   vāhyasyāpi vidhiniṣedhau tasya śābde pratyaye 'pratibhāsanāt / ataeva	vAhyasya api viDi nizeDO tasya SAbde pratyaye apratiBAsanAt / ataeva
   sarvvadharmmāṇāntattvato 'nabhilāpyatvaṃ pratibhāsādhyavasāyābhāvāt tasmāt	sarvu aDarmmANAn tattvataH anaBilApya tvam pratiBA asADya vasAya aBAvAt tasmAt 
   vāhyasyaiva sāmbṛtau vidhiniṣedhau / anyathā samvyavahārahāniprasaṅgāt /	vAhyasya eva sAmbRtO viDi nizeDO / anyaTA samvyavahAra hAni prasaFgAt /
   tadevaṃ /	tat evam /
   nākārasya na vāhyasya tattvatovidhisādhanam /	na AkArasya na vAhyasya tattvataH viDi sADanam /
   vahireva hi saṃvṛttyā saṃvṛtyāpi tu nākṛteḥ //	vahiH eva hi saMvRttyA saMvRtya api tu na AkRteH //
   etena yaḍvarmmottaraḥ // āropitasya vāhyatvasya	etena yaxvarmma uttaraH // Aropitasya vAhya tvasya
   vidhiniṣedhāvityalaukikamanāgamamatārkikīyaṃ kathayati / tadapahastitam /	viDi nizeDOviti alOkikam anAgamam atArkikI iyam kaTayati / tad apahastitam /
   nanvadhyavasāye yadyadhyavaseyaṃ vastu na sphurati tadā tadadhyavasitamiti	nanu aDyavasAye yadi aDyavaseyam vastu na sPurati tadA tad aDyavasitam iti
   ko 'rthaḥ? apratibhāse 'pi pravṛttiviṣayīkṛtamiti yo 'rthaḥ /	kaH arTaH? apratiBAse api pravRtti vizayIkRtam iti yaH arTaH /
   apratibhāsāviśeṣe viṣayāntaraparihāreṇa kathanniyataviṣayā pravṛttiriti	apratiBAsA viSeze vizaya antara parihAreNa kaTat niyata vizayA pravRttiH iti
   cet? ucyate; yadyapi viśvamagṛhītaṃ tathāpi vikalpasya	cet? ucyate; yadi api viSvam agRhItam taTA api vikalpasya
   niyatasāmagrīprasūtatvena niyatākāratayā niyataśaktitvāt niyatā eva	niyata sAmagrI prasUta tvena niyata AkAra tayA niyata Sakti tvAt niyatAH eva
   jalādau pravṛttiḥ / dhūmasya parokṣāgnijñānajananavat /	jala AdO pravRttiH / DUmasya parokza agni jQAna janana vat /
   niyataviṣayā hibhāvāḥ pramāṇapariniṣṭhitasvabhāvā na	niyata vizayAH hiBAvAH pramANa parinizWita svaBAvAH na
   śaktisāṅkaryyaparyyanuyogabhājaḥ / tasmāt	Sakti sAFkaryya paryyanuyoga BAjaH / tasmAt 
   tadadhyavasāyitvamākāraviśeṣayogāt tatpravṛttijanakatvam / na ca	tad aDyavasAyi tvam AkAra viSeza yogAt tad pravRtti janaka tvam / na ca
   sādṛśyādāropeṇa pravṛttiṃ brūmaḥ / yenākāre vāhyasya vāhye vā	sAdRSyAt AropeNa pravRttim brUmaH / yena AkAre vAhyasya vAhye vA
   ākārasyāropadvāreṇa dūṣaṇāvakāśaḥ / kintarhi	AkArasya Aropa dvAreNa dUzaNa avakASaH / kintarhi
   svavāsanāvipākavaśādupajāyamānaiva buḍvirapaśyantyapi vāhyaṃ vāhye	sva vAsanA vipAka vaSAt upajAyamAnA eva buxviH apaSyanti api vAhyam vAhye
   vṛttimātano tīti viplutaiva / tadevamanyābhāvaviśiṣṭo vijātivyāvṛttortho	vRttimAtanaH ti iti viplutA eva / tat evam anya aBAva viSizwaH vijAti vyAvRtta UrTaH 
   vidhiḥ / sa eva cāpohaśabdavācyaḥ śabdānāmarthaḥ	viDiH / saH eva ca apoha Sabda vAcyaH SabdAnAm arTaH
   pravṛttinivṛttiviṣayaśceti sthitam //	pravRtti nivRtti vizayaH ca iti sTitam //
   atra prayogaḥ / yadvācakaṃ	atra prayogaH / yat vAcakam
   tatsarvvamadhyavasitātadrūpaparāvṛttavastumātragocaram / yatheha kūpe	tat sarvva maDya vasitA tad rUpa parAvRtta vastu mAtra gocaram / yaTA iha kUpe
   jalamiti vacanam / vācakañcedaṃ gavādiśabdarūpamiti svabhāvahetuḥ /	jalam iti vacanam / vAca kaQca idam gavA Adi Sabda rUpam iti svaBAva hetuH /
   nāyamasiḍvaḥ, pūrvoktena nyāyena pāramārthikavācyavācakabhāvasyābhāve 'pi;	na ayam asixvaH, pUrva uktena nyAyena pAramArTika vAcya vAcaka BAvasya aBAve api;
   adhyavasāyakṛtasya sarvvavyavahāribhiravaśyasvīkarttavyatvāt / anyathā	aDyavasAya kRtasya sarvu avyavahAriBiH avaSyasvIkarttavya tvAt / anyaTA
   sarvvavyavahārocchedaprasaṅgāt / nāpi viruddhaḥ sapakṣe bhāvāt / na	sarvvavyavahAra ucCeda prasaFgAt / na api virudDaH sa pakze BAvAt / na
   cānaikāntikaḥ; tathāhi śabdānāmadhyavasitavijātivyāvṛttava	ca anEkAntikaH; taTA hi SabdAnAmaDya vasita vijAti vyAvRttava
   stumātraviṣayatvamanicchadbhiḥ paraiḥ paramārthato	stu mAtra vizaya tvam anicCadBiH parEH paramArTa taH 
   vācyaṃ svalakṣaṇamupādhirupādhiyogaḥ	vAcyam sva lakzaNam upADiH upADi yogaH
   sopādhirastu yadi vā kṛtirastu buddheḥ, gatyantarābhāvāt / aviṣayatve ca	sa upADiH astu yadi vA kRtiH aH tu budDeH, gati antara aBAvAt / avizaya tve ca
   vācakatvāyogāt / tatra /	vAcaka tva ayogAt / tatra /
   ādyantayornna samayaḥ phalaśaktihānermadhyepyupādhivirahāttitayena yuktaḥ	Adi antayoH nna samayaH Pala Sakti hAneH maDyepi upADi virahAt titayena yuktaH
   tadevaṃ vācyāntarasyābhāvāt / viṣayavattvalakṣaṇasya vyāpakasya nivṛttau	tat evam vAcya antarasya aBAvAt / vizayavat tva lakzaNasya vyApakasya nivRttO
   vipakṣato nivarttamānam vācakatvamadhyavasitavāhyaviṣayatvena vyāpyata iti	vipakzataH nivarttamAnam vAcaka tva maDya vasita vAhya vizaya tvena vyApyate iti
   vyāptisiddhiḥ /	vyApti sidDiH /
   śabdaistāvanmukhyamākhyāyate 'rtha statrāpohastadguṇatvena gamyaḥ /	SabdEH tAvat muKyam AKyAyate arTa statra apohaH tad guNa tvena gamyaH /
   arthaścaiko 'dhyāsato bhāsato 'nyaḥ sthāpyo vācyastattvato naiva kaścit //	arTaH ca ekaH aDyAsataH BAsataH anyaH sTApyaH vAcyaH tattvataH na eva kaScid //
   apohasiddhiḥ samāptā //	apoha sidDiH samAptAH //
   kṛtiriyammahāpaṇḍitaratnakīrttipādānām //	kRtiH iyam mahA paNxita ratna kIrtti pAdAnAm //
   bhavatvapohe kṛtināmprapañco [va]stusvarūpāsphuraṇantu marmma /	Bavatu apohe kRtinAmprapaQcaH [va]stu svarUpa AsPuraNantu marmma /
   tatrādṛḍhe sarvvamayatnaśīrṇaṃ dṛḍhe tu sausthyannanu tāvataiva //	tatra adRXe sarvvam ayatna SIrNam dRXe tu sOsTyan= anu tAvatA eva //
   sampūrṇarātripraharadvayena kīrtterapoho likhitaḥ sukhena /	sampUrNa rAtri prahara dvayena kIrtteH apohaH liKitaH suKena /
   trailokyadattena parātmahetoḥ [ya]tnādato 'yaṃ parirakṣaṇīyaḥ //	trElokya dattena para Atma hetoH [ya]tnAdataH ayam parirakzaNIyaH //
