   || śrīḥ ||	|| SrIH ||
   mahadādi tac ca kāryaṃ prakṛtivirūpaṃ sarūpaṃ ca // ISk_8 //	mahat-Adi tat ca kAryam prakRti-virUpam sarUpam ca // ISc-_8 //
   tasya pradhānasyānupalabdhir anavagamaḥ saukṣmyāt hetor nābhāvāt | sūkṣmaṃ	tasya praDAnasya-anupalabDiH anavagamaH sOkzmyAt hetoH na-aBAvAt | sUkzmam
   pradhānaṃ śabdādyalakṣaṇatvāt paramāṇvādivat | na punar evaṃ, yan nāsti	praDAnam Sabda-Adi-alakzaNa-tvAt paramANu-Adi-vat | na punar evaM, yat na-asti
   pradhānam ato nopalabhyate | kiṃ tu asti pradhānaṃ nopalabhyate saukṣmyāt	praDAnam atas na-upalaByate | kim tu asti praDAnam na-upalaByate sOkzmyAt-
   paramāṇvādivat | tarhi katham upalabhyata iti | atrāha --- kāryatas	paramANu-Adi-vat | tarhi kaTam upalaByate iti | atra-Aha -- kAryatas
   tadupalabdhiḥ |(p.11) kāryaṃ dṛṣṭvā kāraṇam anumeyaṃ vaṭadhānyavat | yathā	tad-upalabDiH |(p.11) kAryam dRzwvA kAraNam anumeyam vawa-DAnya-vat | yaTA
   vaṭadhānyaṃ kāraṇaṃ vaṭaṃ kāryam ālokyānumīyate | evaṃ sad eva pradhānaṃ	vawaDAnyam kAraNam vawam kAryam Alokya-anumIyate | evam sat eva praDAnam
   kāraṇaṃ mahadādeḥ sataḥ kāryād anumīyate | na hy asataḥ sadutpattir	kAraNam mahat-AdeH sataH kAryAt anumIyate | na hi asataH sat-utpattiH-
   bhavatīti | mahadādi mahāna haṅkāraḥ pañcatanmātrāṇi ekādaśendriyāṇi pañca	Bavati-iti | mahat-Adi mahAnaH haFkAraH paQca-tanmAtrANi ekAdaSa-indriyANi paQca
   mahābhūtāni ceti trayoviṃśatikam | etan mahadādi kāryaṃ triguṇaṃ	mahABUtAni ca-iti trayoviMSatikam | etat mahat-Adi kAryam triguNam
   dṛṣṭvānumīyate --- asti pradhānam api triguṇaṃ kāraṇaṃ yasyedaṃ triguṇaṃ	dRzwvA-anumIyate -- asti praDAnam api triguNam kAraNam yasya-idam triguNam
   kāryam iti | kiṃ cānyat | tac ca kāryaṃ prakṛtivirūpaṃ sarūpaṃ ca |	kAryam iti | kim ca-anyat | tat ca kAryam prakRti-virUpam sarUpam ca |
   pradhānād visadṛśaṃ sadṛśaṃ cety arthaḥ | santi te hetavo yair etat	praDAnAt visadRSam sadRSam ca-iti arTaH | santi te hetavaH yEH etat-
   pradhānaṃ visadṛśaṃ sadṛśaṃ ca | yathā loke putraḥ pituḥ sadṛśo visadṛśaḥ	praDAnam visadRSam sadRSam ca | yaTA loke putraH pituH sadRSaH visadRSaH
   syāt yadi rūpeṇa tadā na guṇaiḥ, yadā guṇais tadā na rūpeṇeti yāvat | tāṃś	syAt yadi rUpeNa tadA na guNEH, yadA guNEH tadA na rUpeNa-iti yAvat | tAnS
   ca hetūn upariṣṭād vakṣyāmaḥ // SkMv_8 //	ca hetUn uparizwAt vakzyAmaH // SkMu-_8 //
   tiṣṭhatu tāvad etat | anyat pṛcchāmaḥ --- kim etan mahadādi prāg utpatteḥ	tizWatu tAvat etat | anyat pRcCAmaH -- kim etat mahat-Adi prAk utpatteH
   pradhāne sat jāyate, utāsat sambhavati | atrācāryāṇāṃ vipratipattir ataḥ	praDAne sat jAyate, uta-asat samBavati | atra-AcAryANAm vipratipattiH atas-
   saṃśayaḥ | atra vaiśeṣikā vipratipannā asataḥ sad bhavatīti manyante |	saMSayaH | atra vESezikAH vipratipannAH asataH sat Bavati-iti manyante |
   mṛtpiṇḍe hi prāg utpatter ghaṭo nāstīti vyavasitāste | asti nāstīti varākā	mRd-piNxe hi prAk utpatteH GawaH na-asti-iti vyavasitAH-te | asti na-asti-iti varAkA
   jīvakāḥ | naivāsti na ca nāsti | eṣa bauddhānāṃ pakṣaḥ | evam	jIvakAH | na-eva-asti na ca na-asti | eza bOdDAnAm pakzaH | evam
   anyonyavirodhavādiṣu darśiṣu ko nāma niścayaḥ | tad ucyate | tatra tāvat	anyonya-viroDa-vAdizu darSizu kaH nAma niScayaH | tat ucyate | tatra tAvat-
   sadasadvādino jīvakāḥ svavacanavirodhenaiva nirastāḥ | yadi sat tadāsan na	sat-asat-vAdinaH jIvakAH sva-vacana-viroDena-eva nirastAH | yadi sat tat-A-Asat na
   bhavati | utāsat tadā sadbhāvo na | yataḥ sadasator ekatra virodhāt | atra	Bavati | uta-asat tadA sadBAvaH na | yatas sat-asatoH ekatra viroDAt | atra
   dṛṣṭānto yathā devadatto mṛto jīvati cetivat | bauddhānāṃ tu nāsti na ca	dRzwAntaH yaTA devadattaH mRtaH jIvati ca-iti-vat | bOdDAnAm tu na-asti na ca
   nāstīti pakṣaparigrahābhāvāt taiḥ saha sañjalpa eva na yujyate |	na-asti-iti pakza-parigraha-aBAvAt tEH saha saQjalpaH eva na yujyate |
   vaiśeṣikāṇāṃ tu asataḥ sad bhavatīti matapratiṣedhāya ucyate ---	vESezikANAm tu asataH sat Bavati-iti mata-pratizeDAya ucyate ---
   asadakaraṇād upādānagrahaṇāt sarvasambhavābhāvāt /	asat-akaraNAt upAdAna-grahaNAt sarva-samBava-aBAvAt /
   śaktasya śakyakaraṇāt kāraṇabhāvāc ca sat kāryam // ISk_9 //	Saktasya Sakya-karaNAt kAraNa-BAvAt ca sat kAryam // ISc-_9 //
   iha loke sad eva sad bhavati | asataḥ karaṇaṃ nāsti | yadi syāt tadā	iha loke sat eva sat Bavati | asataH karaNam na-asti | yadi syAt tadA
   sikatābhyas tailaṃ, kūrmaromabhyaḥ paṭaprāvaraṇam,	sikatAByaH tElaM, kUrma-romaByaH pawa-prAvaraNam,
   vandhyāduhitṛbhrūvilāsaḥ, śaśaviṣāṇaṃ, khapuṣpaṃ ca syāt | na cāsti tasmād	vanDyA-duhitR-BrU-vilAsaH, SaSa-vizANaM, Kapuzpam ca syAt | na ca-asti tasmAt-
   anumīyate pradhāne prāg utpatter mahadādikam asty eva | upādānagrahaṇāt |	anumIyate praDAne prAk utpatteH mahat-Adikam asti eva | upAdAna-grahaNAt |
   iha loke yo yenārthī sa tadupādānagrahaṇaṃ karoti | tannimittam upādatte |	iha loke yaH yena-arTI sa tad-upAdAna-grahaNam karoti | tad-nimittam upAdatte |
   tad yathā dadhyarthī kṣīrasyopādānaṃ kurute | yadi cāsatkāryaṃ syāt tadā	tat yaTA daDi-arTI kzIrasya-upAdAnam kurute | yadi ca-asat-kAryam syAt tadA
   dadhyarthī udakasyāpy upādānaṃ kuryāt, na ca kurute, tasmāt pradhāne	daDi-arTI udakasya-api upAdAnam kuryAt, na ca kurute, tasmAt praDAne
   mahadādi kāryam astīti | kiṃ ca sarvasambhavābhāvāt | iha loke yad yasmin	mahat-Adi kAryam asti-iti | kim ca sarva-samBava-aBAvAt | iha loke yat yasmin
   vidyate tasmād eva tad utpadyate | yathā tilebhyas tailaṃ, dadhno ghṛtam |	vidyate tasmAt eva tat utpadyate | yaTA tileByaH tElaM, daDnaH GRtam |
   yadi sāsatkāryaṃ syāt tadā sarvaṃ(p.12) sarvataḥ sambhavet tataś ca	yadi sA-asat-kAryam syAt tadA sarvaM(p.12) sarvatas samBavet tatas ca
   tṛṇapāṃsuvālukādibhyo rajatasuvarṇamaṇimuktāpravālādayo jāyeran | na ca	tRNa-pAMsu-vAlukA-AdiByaH rajata-suvarNa-maNi-muktA-pravAla-AdayaH jAyeran | na ca
   jāyante | tasmāt paśyāmaḥ sarvasambhavābhāvād api mahadādi kāryaṃ pradhāne	jAyante | tasmAt paSyAmaH sarva-samBava-aBAvAt api mahat-Adi kAryam praDAne
   sad eva sad bhavatīti | ataś cāsti --- śaktasya śakyakaraṇāt | iha loke	sat eva sat Bavati-iti | atas ca-asti -- Saktasya Sakya-karaNAt | iha loke
   śaktaḥ śilpī karaṇādikāraṇopādānakālopāyasampannaḥ śakyād eva śakyaṃ karma	SaktaH SilpI karaNa-Adi-kAraNa-upAdAna-kAla-upAya-sampannaH SakyAt eva Sakyam karma
   ārabhate nāśakyam aśakyāt | tad yathā --- śaktaḥ kumbhakāraḥ śakyād eva	AraBate na-aSakyam aSakyAt | tat yaTA -- SaktaH kumBakAraH SakyAt eva
   mṛtpiṇḍāt śakyadaṇḍacakrasūtrodakavidalatalādibhiḥ sampanno	mRd-piNxAt Sakya-daNxa-cakra-sUtra-udaka-vidala-tala-AdiBiH sampannaH-
   ghaṭaśarāvodañcanādīny ārabhamāṇo dṛṣṭaḥ | na ca maṇikādi, aśakyatvāt	Gawa-SarAva-udaQcana-AdIni AraBamANaH dRzwaH | na ca maNikA-Adi, aSakya-tvAt-
   tāvatā piṇḍena tasya | yadi punaḥ karaṇaniyamo na syād aśakyād apy aśakyam	tAvatA piNxena tasya | yadi punar karaNa-niyamaH na syAt aSakyAt api aSakyam
   ārabhyeta | tasmāt sat kāryaṃ syān nāsat | kiṃ ca --- kāraṇabhāvāc ca |	AraByeta | tasmAt sat kAryam syAt na-asat | kim ca -- kAraNa-BAvAt ca |
   kāryaṃ sad eva syāt | iha loke yallakṣaṇaṃ kāraṇaṃ tallakṣaṇaṃ kāryaṃ syāt	kAryam sat eva syAt | iha loke yat-lakzaNam kAraNam tad-lakzaNam kAryam syAt-
   | yathā kodravebhyaḥ kodravāḥ, vrīhibhyo vrīhayaḥ syuḥ | yadi cāsatkāryaṃ	| yaTA kodraveByaH kodravAH, vrIhiByaH vrIhayaH syuH | yadi ca-asat-kAryam
   syāt tadā kodravebhyaḥ śālīnām api niṣpattiḥ syāt | na ca bhavati | tasmāt	syAt tadA kodraveByaH SAlInAm api nizpattiH syAt | na ca Bavati | tasmAt-
   kāraṇabhāvād api paśyāmaḥ pradhāne mahadādi kāryam astīti | sādhitam evam	kAraNa-BAvAt api paSyAmaH praDAne mahat-Adi kAryam asti-iti | sADitam evam
   etaiḥ pañcabhir hetubhiḥ sat kāryam | "sad eva somyedam agra āsīd ekam	etEH paQcaBiH hetuBiH sat kAryam | "sat eva somya-idam agre AsIt ekam
   evādvitīyaṃ taddhaika āhur asad evedam agra āsīt" ity ārabhya "sattveva	eva-advitIyam tat-ha-ekaH AhuH asat eva-idam agre AsIt" iti AraBya "sattvA-iva
   somyedam agra āsīt" [chāndogyopaniṣad 6 |2 |1-2] iti śruteḥ // SkMv_9 //	somya-idam agre AsIt" [CAnda-ugya-upanizad 6 |2 |1-2] iti SruteH // SkMu-_9 //
   tatra yad uktaṃ pūrvasyām āryāyāṃ "prakṛtivirūpaṃ sarūpaṃ ca" iti |	tatra yat uktam pUrvasyAm AryAyAm "prakRti-virUpam sarUpam ca" iti |
   tatsādharmyavaidharmyapratipādanāya idam ārabhyate ---	tad-sADarmya-vEDarmya-pratipAdanAya idam AraByate ---
   hetumad anityam avyāpi sakriyam anekam āśritaṃ liṅgam /	hetumat anityam avyApi sa-kriyam anekam ASritam liFgam /
   sāvayavaṃ paratantraṃ vyaktaṃ viparītam avyaktam // ISk_10 //	sa-avayavam paratantram vyaktam viparItam avyaktam // ISc-_10 //
   hetumad iti | yasyotpattikāraṇam asti tad dhetumat | hetur apadeśo	hetumat iti | yasya-utpatti-kAraNam asti tat Detumat | hetuH apadeSaH-
   nimittaṃ prakṛtiḥ kāraṇam ity anarthāntaram | pradhānasyaite paryāyaśabdāḥ	nimittam prakRtiH kAraNam iti anarTa-antaram | praDAnasya-ete paryAya-SabdAH
   | tasmāt pradhānena hetunā sakāraṇam idaṃ mahadādibhūtaparyantaṃ	| tasmAt praDAnena hetunA sa-kAraNam idam mahat-Adi-BUta-paryantam
   trayoviṃśatikaṃ liṅgam | tathā hi --- mahad buddhitattvaṃ tatpradhānena	trayoviMSatikam liFgam | taTA hi -- mahat budDi-tattvam tad-praDAnena
   hetumat | tenāhaṅkāro 'munaikādaśendriyāṇi tanmātrāṇi ca | taiś ca	hetumat | tena-ahaFkAraH amunA-ekAdaSa-indriyANi tanmAtrANi ca | tEH ca
   bhūtānīti sarvam evedaṃ parasparahetumat | atha ca dvividho hetuḥ kārako	BUtAni-iti sarvam eva-idam paraspara-hetumat | aTa ca dviviDaH hetuH kArakaH-
   jñāpakaś ca | tatra pradhānabuddhyahaṅkāratanmātralakṣaṇaś caturvidhaḥ	jQApakaH ca | tatra praDAna-budDi-ahaFkAra-tanmAtra-lakzaNaH caturviDaH
   kārakaḥ | viparyayāśaktituṣṭisiddhyanugrahabhedāt pañcadhā jñāpakaḥ | tad	kArakaH | viparyaya-aSakti-tuzwi-sidDi-anugraha-BedAt paQcaDA jQApakaH | tat-
   dvividhenāpi hetunā yuktaṃ hetumad idaṃ siddham | kiṃ ca --- anityaṃ	dviviDena-api hetunA yuktam hetumat idam sidDam | kim ca -- anityam
   pralayaṃ gacchati | yasmād utpattimat tasmād anityam | akāraṇavan nityam	pralayam gacCati | yasmAt utpattimat tasmAt anityam | akAraNa-vat nityam
   iti nityasya lakṣaṇam | tadviparītam idam ato 'nityam | tad yathā ---	iti nityasya lakzaNam | tad-viparItam idam atas anityam | tat yaTA ---
   mṛtpiṇḍād utpanno ghaṭaḥ sa cānityo dṛṣṭaḥ | evaṃ mahadādi pradhānād	mRd-piNxAt utpannaH GawaH sa ca-anityaH dRzwaH | evam mahat-Adi praDAnAt-
   utpannaṃ(p.13) tasmād anityaṃ tasminn eva ca līyate | tathā hi ---	utpannaM(p.13) tasmAt anityam tasmin eva ca lIyate | taTA hi ---
   pradhāne buddhis tasyām ahaṅkāras tasminn indriyāṇi tanmātrāṇi ca teṣu	praDAne budDiH tasyAm ahaFkAraH tasmin indriyANi tanmAtrANi ca tezu
   bhūtāni pralayakāle līyante | tasmād anityam | kiñ ca --- avyāpi	BUtAni pralaya-kAle lIyante | tasmAt anityam | kiQ ca -- avyApi
   asarvagatam | yathā pradhānapuruṣau sarvagatau na tathedam ity arthaḥ |	asarva-gatam | yaTA praDAna-puruzO sarva-gatO na taTA-idam iti arTaH |
   idaṃ hi yasminn eva pradeśe 'vasthitaṃ tasminn eva vartate | kiṃ ca ---	idam hi yasmin eva pradeSe avasTitam tasmin eva vartate | kim ca ---
   sakriyam | yasmāt saṃsaraṇakāle mahadādi kāryaṃ sūkṣmaśarīram āśritya	sa-kriyam | yasmAt saMsaraNa-kAle mahat-Adi kAryam sUkzmaSarIram ASritya
   saṃsarati tasmāt sakriyam | kiṃ ca --- anekam bahuvidhaṃ	saMsarati tasmAt sa-kriyam | kim ca -- anekam bahuviDam
   trayoviṃśatiprakārakam | itarac ca --- āśritam | yad yasmād utpadyate tat	trayoviMSati-prakArakam | itarat ca -- ASritam | yat yasmAt utpadyate tat-
   tadāśritam | buddhiḥ pradhānam āśritā, tāṃ cāhaṅkāraḥ, taṃ cendriyāṇi	tad-ASritam | budDiH praDAnam ASritA, tAm ca-ahaFkAraH, tam ca-indriyANi
   tanmātrāṇi ca, tāni mahābhūtāny āśritāni | evam āśritam | layaṃ gacchatīti	tanmAtrANi ca, tAni mahABUtAni ASritAni | evam ASritam | layam gacCati-iti
   liṅgam | sāvayavam iti | avayantīty avayavā yathā piṇḍasya hastapādādyāḥ |	liFgam | sa-avayavam iti | avayanti-iti avayavAH yaTA piNxasya hasta-pAda-AdyAH |
   śabdasparśarasarūpagandhādyavayavasampannaṃ vyaktam | kiṃ ca ---	Sabda-sparSa-rasa-rUpa-ganDa-Adi-avayava-sampannam vyaktam | kim ca ---
   paratantram parādhīnam | yathā pitari jīvati putro na svatantra evaṃ	paratantram para-aDInam | yaTA pitari jIvati putraH na svatantraH evam
   vyaktam | pradhānatantrā buddhiḥ, buddhitantro 'haṅkāraḥ, ahaṅkāratantrāṇi	vyaktam | praDAna-tantrA budDiH, budDi-tantraH ahaFkAraH, ahaFkAra-tantrANi
   indriyāṇi tanmātrāṇi ca, tanmātratantrāṇi mahābhūtānīti | evaṃ paratantram	indriyANi tanmAtrANi ca, tanmAtra-tantrANi mahABUtAni-iti | evam paratantram
   | vyaktam uktam | etadviparītalakṣaṇam avyaktam | ahetumat anutpannatvāt |	| vyaktam uktam | etad-viparIta-lakzaNam avyaktam | ahetumat anutpanna-tvAt |
   nityam akāraṇavattvāt | vyāpi sarvagatatvāt | ābrahmastambaparyantaṃ	nityam akAraNavat-tvAt | vyApi sarva-gata-tvAt | Abrahma-stamba-paryantam
   puruṣavad vyāpya pradhānam avasthitam | niṣkriyaṃ sarvavāpakatvāt | ekaṃ	puruza-vat vyApya praDAnam avasTitam | nizkriyam sarva-vApaka-tvAt | ekam
   sarvakāraṇatvāt | anāśritaṃ prabhaviṣṇutvāt | aliṅgam anutpattikatvāt |	sarva-kAraNa-tvAt | anASritam praBavizNu-tvAt | aliFgam anutpattika-tvAt |
   niravayavam amūrtatvāt | svatantraṃ sarvotpattikāraṇatvāt // SkMv_10 //	niravayavam amUrta-tvAt | svatantram sarva-utpatti-kAraNa-tvAt // SkMu-_10 //
   evam anayāryayā vyaktāvyaktayor vaidharmyam abhihitam | sādharmyam ucyate	evam anayA-aryayA vyakta-avyaktayoH vEDarmyam aBihitam | sADarmyam ucyate
   triguṇam aviveki viṣayaḥ sāmānyam acetana prasavadharmi /	triguNam aviveki vizayaH sAmAnyam acetana prasava-Darmi /
   vyaktaṃ tathā pradhānaṃ tadviparītas tathā ca pumān // ISk_11 //	vyaktam taTA praDAnam tad-viparItaH taTA ca pumAn // ISc-_11 //
   triguṇaṃ vyaktaṃ mahadādi | pradhānam api triguṇam | kāraṇānugatatvāt	triguNam vyaktam mahat-Adi | praDAnam api triguNam | kAraNa-anugata-tvAt
   kāryasya | yathā kṛṣṇatantuḥ kāraṇaṃ paṭaḥ kāryam api kṛṣṇam eva bhavati |	kAryasya | yaTA kRzNa-tantuH kAraNam pawaH kAryam api kRzNam eva Bavati |
   triguṇena kāryeṇāsya kāraṇam api triguṇaṃ bhavatīti pradhānaṃ sādhyate |	triguNena kAryeNa-asya kAraNam api triguNam Bavati-iti praDAnam sADyate |
   kiṃ cānyat --- aviveki vyaktam | amī guṇā idaṃ vyaktam iti vivektuṃ na	kim ca-anyat -- aviveki vyaktam | amI guNAH idam vyaktam iti vivektum na
   pāryate, tathā pradhānam api idaṃ pradhānaṃ amī guṇā iti na śakyate pṛthak	pAryate, taTA praDAnam api idam praDAnam amI guNAH iti na Sakyate pRTak-
   kartum | kiṃ ca --- viṣayo vyaktaṃ mahadādi | sukhaduḥkhamohatayā bhogyaṃ	kartum | kim ca -- vizayaH vyaktam mahat-Adi | suKa-duHKa-moha-tayA Bogyam
   tat puruṣasya | sa hi tasya bhoktā | tathā pradhānam api sarvapuruṣāṇāṃ	tat puruzasya | sa hi tasya BoktA | taTA praDAnam api sarva-puruzANAm
   kṣetrajñānāṃ bhogyam | sāmānyaṃ vyaktam | gaṇikāvat sarvapuruṣāṇām | tathā	kzetrajQAnAm Bogyam | sAmAnyam vyaktam | gaNikA-vat sarva-puruzANAm | taTA
   pradhānam(p.14) api | acetanaṃ vyaktam | sukhaduḥkhamohān na cetayati |	praDAnam-(p.14) api | acetanam vyaktam | suKa-duHKa-mohAt na cetayati |
   tathā pradhānam api | prasavadharmi vyaktam | buddher ahaṅkāras tata	taTA praDAnam api | prasava-Darmi vyaktam | budDeH ahaFkAraH tata
   indriyāṇi tanmātrāṇi ca tebhyo bhūtāni jāyante | evaṃ pradhānam api	indriyANi tanmAtrANi ca teByaH BUtAni jAyante | evam praDAnam api
   buddhiṃ prasūyate | uktam idaṃ vyaktāvyaktayoḥ sādharmyam | idānīṃ	budDim prasUyate | uktam idam vyakta-avyaktayoH sADarmyam | idAnIm
   "tadviparītas tathā ca pumān" ity uktaṃ, tat pratipādayati | tābhyāṃ	"tad-viparItaH taTA ca pumAn" iti uktan, tat pratipAdayati | tAByAm
   vyaktāvyaktābhyāṃ viparītaḥ | tayor yat sādharmyaṃ "triguṇam aviveki	vyakta-avyaktAByAm viparItaH | tayoH yat sADarmyam "triguNam aviveki
   viṣayaḥ sāmānyam acetanaṃ prasavadharmi" ity uktam | tato 'sau viparīto	vizayaH sAmAnyam acetanam prasava-Darmi" iti uktam | tatas asO viparItaH-
   vidharmī | aguṇo vivekī, aviṣayo 'sāmānyaḥ, cetano 'prasavadharmī ceti |	viDarmI | aguNaH vivekI, avizayaH asAmAnyaH, cetanaH aprasava-DarmI ca-iti |
   vaidharmyam abhidhāya sādharmyam āha --- tathā ca pumān iti |	vEDarmyam aBiDAya sADarmyam Aha -- taTA ca pumAn iti |
   "hetumad anityam avyāpi sakriyam anekam āśritaṃ liṅgam /	"hetumat anityam avyApi sa-kriyam anekam ASritam liFgam /
   sāvayavaṃ paratantraṃ vyaktaṃ viparītam avyaktam" //	sa-avayavam paratantram vyaktam viparItam avyaktam" //
   (sāṅkhyakārikā 10) ity uktam |	(sA-aFKya-kArikAH 10) iti uktam |
   tad yathā vyaktād visadṛśaṃ pradhānaṃ tathā pradhānasadharmā puruṣaḥ |	tat yaTA vyaktAt visadRSam praDAnam taTA praDAna-saDarmA puruzaH |
   tathā hi ahetumān nityo vyāpī niṣkriya eko 'nāśrito 'liṅgo niravayavaḥ	taTA hi ahetumAn nityaH vyApI nizkriyaH ekaH anASritaH aliFgaH niravayavaH
   svatantra iti // SkMv_11 //	svatantraH iti // SkMu-_11 //
   tatra triguṇa vyaktam avyaktaṃ ca nirguṇaḥ puruṣa ity uktam | kimātmakā	tatra triguNa vyaktam avyaktam ca nirguNaH puruzaH iti uktam | kimAtmakA
   guṇā ity atrocyate ---	guNAH iti atra-ucyate ---
   prītyaprītiviṣādātmakāḥ prakāśapravṛttiniyamārthāḥ /	prIti-aprIti-vizAda-AtmakAH prakASa-pravRtti-niyama-arTAH /
   anyo 'nyābhibhavāśrayajananamithunavṛttayaś ca guṇāḥ // ISk_12 //	anyaH anya-aBiBava-ASraya-janana-miTuna-vRttayaH ca guNAH // ISc-_12 //
   tatrāyaṃ samāsaḥ | prītiś cāprītiś ca viṣādaś ca te ātmā svarūpaṃ yeṣāṃ	tatra-ayam samAsaH | prItiH ca-aprItiH ca vizAdaH ca te AtmA svarUpam yezAm
   guṇānāṃ te bhavanti prītyaprītiviṣādātmakāḥ | teṣāṃ lakṣaṇam ucyate |	guNAnAm te Bavanti prIti-aprIti-vizAda-AtmakAH | tezAm lakzaNam ucyate |
   tatra prītyātmakaṃ sattvam | ātmaśabdaḥ svabhāve vartate | kasmāt?	tatra prIti-Atmakam sattvam | Atma-SabdaH svaBAve vartate | kasmAt-?
   sukhalakṣaṇatvāt | yo hi kaścit kvacit prītiṃ labhate tatra	suKa-lakzaNa-tvAt | yaH hi kaScid kvacid prItim laBate tatra
   ārjavamārdavasatyaśaucahrībuddhikṣamānukampājñānādi ca tat sattvaṃ	Arjava-mArdava-satya-SOca-hrI-budDi-kzama-anukampA-jQAna-Adi ca tat sattvam
   pratyetavyam | aprītyātmakaṃ rajaḥ | kasmāt? duḥkhalakṣaṇatvāt | yo hi	pratyetavyam | aprIti-Atmakam rajaH | kasmAt? duHKa-lakzaNa-tvAt | yaH hi
   kaścit kadācit kvacid aprītim upalabhate tatra	kaScid kadAcid kvacid aprItim upalaBate tatra
   dveṣadrohamatsaranindāstambhotkaṇṭhānikṛtivañcanābandhavadhacchedanāni ca	dveza-droha-matsara-nindA-stamBa-utkaNWA-nikRti-vaQcanA-banDa-vaDa=-CedanAni ca
   tad rajaḥ pratyetavyam | viṣādātmakaṃ tamaḥ | kasmāt? mohalakṣaṇatvāt | yo	tat rajaH pratyetavyam | vizAda-Atmakam tamaH | kasmAt? moha-lakzaNa-tvAt | yaH-
   hi kaścit kadācit kvacin moham upalabhate,	hi kaScid kadAcid kvacid moham upalaBate,
   tatrājñānamadālasyabhayadainyākarmaṇyatānāstikyaviṣādasvapnādi ca tat	tatra-ajQAna-mada-Alasya-Baya-dEnyAkarmaNyatA-nAstikya-vizAda-svapna-Adi ca tat-
   tamaḥ pratyetavyam |(p.15) kiṃ cānyat --- prakāśapravṛttiniyamārthāḥ |	tamaH pratyetavyam |(p.15) kim ca-anyat -- prakASa-pravRtti-niyama-arTAH |
   prakāśaś ca pravṛttiś ca niyamaś ca te arthā yeṣāṃ tathoktāḥ | tatra	prakASaH ca pravRttiH ca niyamaH ca te arTAH yezAm taTA-uktAH | tatra
   prakāśayitavyam iti sattvasya, pravartitavyam iti rajasaḥ, niyantavyaṃ	prakASayitavyam iti sattvasya, pravartitavyam iti rajasaH, niyantavyam
   saṃhartavyam iti tamasaḥ | kiṃ cānyat ---	saMhartavyam iti tamasaH | kim ca-anyat ---
   anyonyābhibhavāśrayajananamithunavṛttayaś ca guṇāḥ | tatrāpi samāsaḥ |	anyonya-aBiBava-ASraya-janana-miTuna-vRttayaH ca guNAH | tatra-api samAsaH |
   anyonyābhibhavāś ca anyonyāśrayāś ca anyonyajananāś ca anyonyamithunāś ca	anyonya-aBiBavAH ca anyonya-ASrayAH ca anyonya-jananAH ca anyonya-miTunAH ca
   yeṣāṃ guṇānām anyonyavṛttayaś ca vidyante tathoktāḥ | caśabdaḥ samuccaye	yezAm guNAnAm anyonya-vRttayaH ca vidyante taTA-uktAH | caSabdaH samuccaye
   draṣṭavyaḥ | prītyādayaś ca tāvat prāgabhihitāḥ | anyonyābhibhavāś ceti	drazwavyaH | prIti-AdayaH ca tAvat prAc-aBihitAH | anyonya-aBiBavAH ca-iti
   rajastamasor abhibhavāt śāntā vṛttir utpadyate sattvasya dharmādyā |	rajaH-tamasoH aBiBavAt SAntA vRttiH utpadyate sattvasya Darma-AdyAH |
   sattvatamasor abhibhavād rajaso ghorā vṛttir utpadyate adharmādyā |	sattva-tamasoH aBiBavAt rajasaH GorA vRttiH utpadyate aDarma-AdyAH |
   sattvarajasor abhibhavāt tamaso mūḍhā vṛttir utpadyate ajñānādyā | kiṃ	sattva-rajasoH aBiBavAt tamasaH mUXA vRttiH utpadyate ajQAna-AdyAH | kim
   cānyat --- anyonyāśrayāś ca guṇāḥ | sattvaṃ hi pravṛttiniyamāv āśritya	ca-anyat -- anyonya-ASrayAH ca guNAH | sattvam hi pravRtti-niyamO ASritya
   prakāśayati | rajaḥ prakāśaniyamāv āśritya pravartayati | tamaḥ	prakASayati | rajaH prakASa-niyamO ASritya pravartayati | tamaH
   prakāśapravṛttī āśritya niyamayati | tridaṇḍaviṣṭambhavad amī veditavyā	prakASa-pravRttI ASritya niyamayati | tridaNxa-vizwamBa-vat amI veditavyA
   iti | kiṃ cānyat --- anyonyajananāś ca guṇāḥ | anyonyaṃ janayanti |	iti | kim ca-anyat -- anyonya-jananAH ca guNAH | anyonyam janayanti |
   kadācit sattvaṃ rajastamasī janayati | kadācit tamaḥ sattvarajasī janayati	kadAcid sattvam rajaH-tamasI janayati | kadAcid tamaH sattva-rajasI janayati
   | yathā saparikarakumbhakārādhiṣṭhito mṛtpiṇḍo ghaṭaṃ janayati tadvaj	| yaTA sa-parikara-kumBa-kAra-aDizWitaH mRd-piNxaH Gawam janayati tat-vaj
   janayanti | anyonyaṃ bodhayantīty etat pratigṛhyate | yathā	janayanti | anyonyam boDayanti-iti etat pratigRhyate | yaTA
   devadattayajñadattau parasparaṃ bodhayata | evaṃ buddhisthā guṇāḥ	devadatta-yajQadattO parasparam boDayata | evam budDi-sTAH guNAH
   sattvarajastamāṃsi parasparaṃ bodhayanti | evam anyonyajanakā guṇāḥ | kiṃ	sattva-rajaH-tamAMsi parasparam boDayanti | evam anyonya-janakAH guNAH | kim
   cānyat --- anyonyamithunāś ca guṇāḥ | aviyogakadharmatvāt | evaṃ hy āhuḥ	ca-anyat -- anyonya-miTunAH ca guNAH | aviyogaka-Darma-tvAt | evam hi AhuH
