   daśamaḥ paricchedaḥ	daSamaH paricCedaH
        śaśimathaḥ rāhoḥ śirohara iti stutyaṃ nāma yasyāmarā āhuḥ /	SaSim aTaH rAhoH SiraH haraH iti stutyam nAma yasya amarAH AhuH /
        sa kīdṛśaḥ ? svayamandhakavaṃśakṣayakaraḥ nivāsakaraḥ /	sa kIdRSaH ? svayam anDaka vaMSa kzaya karaH nivAsa karaH /
        kṣi nivāsagatyoḥ iti dhātoḥ /	kzi nivAsa gatyoH iti DAtoH /
        umādhavapakṣe   dhvastamanobhavena dhvasto dalito manobhavo kāmo	umADava pakze   Dvasta manoBavena DvastaH dalitaH manoBavaH kAmaH 
   yasmāt /	yasmAt /
        yena balijito viṣṇoḥ kāyaḥ purasya tripurāsurasya nāśakāstrīkṛtaḥ,	yena bali jitaH vizNoH kAyaH purasya tripura asurasya na aSaka astrI kRtaH,
   tripuravadhe viṣṇoḥ kāyasya śarīkṛtatvāt /	tripura vaDe vizNoH kAyasya SarIkRta tvAt /
        yaścodvṛttabhujaṅgarūpo hāraḥ valayaśca kaṅkaṇaḥ yasya tādṛśaḥ,	yaH ca udvRtta BujaFga rUpaH hAraH valayaH ca kaFkaNaH yasya tAdRSaH,
   gaṅgāṃ ca yo maulau adhārayat /	gaFgAm ca yaH mOlO aDArayat /
        yasya khiraḥ śaśimat candrayuktam /	yasya KiraH SaSimat candra yuktam /
        hara iti stutyaṃ nāma cāmarā āhuḥ /	haraH iti stutyam nAma ca amarAH AhuH /
        sa kīdṛśaḥ   svayanamdhakāsurasya nāśakaraḥ /	sa kIdRSaH     svayanamDaka asurasya nASa karaH /
        atra tritayasattvaṃ darśayati   atreti /	atra tritaya sattvam darSayati    atra iti /
        ekaikaśloke ekaikāpradarśanasya bījamāha   grantheti /	ekEka Sloke ekEka apradarSanasya bIjam Aha   granTa iti /
        Locanā:	LocanA:
        (lo, a) harapakṣe   manobhavaḥ kāmaḥ /	(lo, a) hara pakze    manoBavaH kAmaH /
        balijit viṣṇuḥ, tasya kāyaḥ purā daityārthamastrīkṛtaḥ /	bali jit vizNuH, tasya kAyaH purA dEtya arTam astrIkRtaH /
        udvṛttā ativarttulākārā bhujaṅgā eva hārā valayāśca yasya /	udvRttAH ati varttula AkArAH BujaFgAH eva hArAH valayAH ca yasya /
        gaṅgāṃ tripathagām /	gaFgAm tripaTagAm /
        śaśī vidyate yatra tat śaśimat /	SaSI vidyate yatra tat SaSimat /
        andhakadaityasya kṣayo nāśaḥ, tatkaraḥ sarvadā umādhavaḥ gaurīpatiḥ /	anDaka dEtyasya kzayaH nASaH, tad karaH sarvadA umADavaH gOrIpatiH /
        haripakṣe  yena anaḥ śakaṭaṃ dhvastam /	hari pakze  yena anaH Sakawam Dvastam /
        abhavena cidrūpeṇa /	aBavena cit rUpeNa /
        ātmana eva kāyaḥ purā pūrvam amṛtāharaṇakāle 'suramohanārthaṃ	AtmanaH eva kAyaH purA pUrvam amRta AharaNa kAle asura mohana arTam
   strīrūpaḥ kṛtaḥ /	strI rUpaH kRtaH /
        udvṛttaḥ uddhato bhujaṅgaḥ kāliyaḥ taṃ hantīti /	udvRttaH udDataH BujaFgaH kAliyaH tam hanti iti /
        rave nādarūpe brahmaṇi layo yasya /	rave nAda rUpe brahmaNi layaH yasya /
        agaṃ parvataṃ govarddhanākhyaṃ gāṃ pṛthvīṃ ca /	agam parvatam go vardDana AKyam gAm pRTvIm ca /
        śasinaṃ mathnāti iti śaśimadrāhuḥ tasya śiroharaḥ /	Sasinam maTnAti iti SaSimadrA AhuH tasya SiraH haraH /
        andhakānām andhakavaṃśīyānāṃ kṣayo nivāso dvārakāpurasambhandhī	anDakAnAm anDaka vaMSIyAnAm kzayaH nivAsaH dvArakA pura samBanDI
   tatkaraḥ /	tad karaH /
        sarvaṃ dadāti iti sarvadaḥ /	sarvam dadAti iti sarva daH /
        mādhavaḥ śrīpatiḥ /	mADavaH SrIpatiH /
        sabhaṅgaḥ padabhaṅge arthapratyayāt /	sa BaFgaH pada BaFge arTa pratyayAt /
        anayoḥ sabhaṅgābhaṅgarūpayoḥ śleṣayorekaśloke /	anayoH sa BaFga aBaFga rUpayoH SlezayoH eka Sloke /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   iha kecidāhuḥ  "sabhaṅgaśleṣa eva śabdaśleṣaviṣayaḥ /	iha kecid AhuH   "sa BaFga SlezaH eva Sabda Sleza vizayaH /
   yatrodāttādisvarabhedādbhinnaprayatnoccāryatvena bhinnayoḥ	yatra udAtta Adi svara BedAt Binna prayatna uccArya tvena BinnayoH
   śabdayorjatukāṣṭhanyāyena śleṣaḥ /	SabdayoH jatu kAzWa nyAyena SlezaH /
   Locanā:	LocanA:
   (lo, ā) samprati sabhaṅga eva śabdaśleṣaviṣayaḥ; abhaṅgastvarthaśleṣa iti	(lo, A) samprati sa BaFgaH eva Sabda Sleza vizayaH; aBaFgaH tu arTa SlezaH iti
   svīkurvatāṃ pakṣamanūdya dūṣayati   ihetyādi /	svIkurvatAm pakzam anUdya dUza yati   iha ityAdi /
   āhurityasya dūrasthenopapatteritīti śabdenānvayaḥ /	AhuH iti asya dUra sTena upapatteH iti iti Sabdena anvayaH /
   sabhaṅgaḥ varṇavyūheṣu bhaṅgena yutaḥ, tadbhāvātmakena bhinnapadena vā	sa BaFgaH varNa vyUhezu BaFgena yutaH, tad BAva Atmakena Binna padena vA
   sahitaḥ /	sahitaH /
   śabdaśleṣaviṣayaḥ śabdadvaidhabhinnanirvyūḍhārthadvaividhyādityarthaḥ /	Sabda Sleza vizayaH Sabda dvEDa Binna nirvyUXa arTa dvEviDyAt iti arTaH /
   udāttādīti  uccairudāttaḥ /	udAtta Adi iti   uccEs udAttaH /
   nauccairanudāttaḥ /	na OccEs anudAttaH /
   ādiśabdāttadantargatānāmanunāsikādīnāṃ kākubhedānāṃ copasaṅgrahaḥ /	Adi SabdAt tad antargatAnAm anunAsikA AdInAm kAku BedAnAm ca upasaFgrahaH /
   bhinnaprayatnoccāryyatvena prayatnabhedena uccāraṇaṃ vinā	Binna prayatna uccAryya tvena prayatna Bedena uccAraNam vinA
   udāttadibhedābhāvāt /	udAtta diBeda aBAvAt /
   etena tatkāryyeṇātibhedaścābhipretaḥ /	etena tad kAryyeNa atiBedaH ca aBipretaH /
   yathā   "sārasavattā vihatā na bakā vilasanti carati no kaṅkaḥ /	yaTA  "sArasavattAH vihatAH na bakAH vilasanti carati no kaFkaH /
   sarasīva kīrttiśeṣaṃ gatavati bhuvi vikamāditye" //	sarasi iva kIrtti Sezam gatavati Buvi vikama Aditye" //
   iti atra hi rājapakṣe sā, iti, kam iti /	iti atra hi rAja pakze sA, iti, kam iti /
   saraḥ pakṣe netītyatra tu sā nāsti /	saraH pakze na iti iti atra tu sA na asti /
   jatukāṣṭhanyāyeneti /	jatu kAzWa nyAyena iti /
   yathā kāṣṭhayorbhinnayorapyupāyavaśena jaḍīkṛtayorekatā tathābhinnayoḥ	yaTA kAzWayoH BinnayoH api upAya vaSena jaxIkRtayoH eka tA taTA aBinnayoH
   padayoḥ śabdayorekatra varṇavyūhe sanniveśaḥ /	padayoH SabdayoH ekatra varNa vyUhe sanniveSaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   abhaṅgastvarthaśleṣa eva /	aBaFgaH tu arTa SlezaH eva /
   yatra svarābhedādabhinnaprayatnoccāryatayā	yatra svara aBedAt aBinna prayatna uccArya tayA
   śabdābhedādarthayorekavṛntagataphaladvayanyāyena śleṣaḥ /	Sabda aBedAt arTayoH eka vRnta gata Pala dvaya nyAyena SlezaH /
   Locanā:	LocanA:
   (lo, i) arthaśleṣa eva śabdasvarūpaviparyāsābhāve 'pyarthasya	(lo, i) arTa SlezaH eva Sabda svarUpa viparyAsa aBAve api arTasya
   dvidhātmakatvādityarthaḥ /	dviDA Atmaka tvAt iti arTaH /
   yatreti /	yatra iti /
   yathā ekasminneva vṛnte phaladvayaṃ tathā ekasminneva	yaTA ekasmin= eva vRnte Pala dvayam taTA ekasmin= eva
   śabder'thadvayasaṃsargaḥ /	Sabder aTa dvaya saMsargaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yo hi yadāśritaḥ sa tadalaṅkāra eva /	yaH hi yat ASritaH sa tad alaFkAraH eva /
   alaṅkāryālaṅkāraṇabhāvasya lokavadāśrayāśrayibhāvenopapattiḥ" iti /	alaFkArya alaFkAraNa BAvasya loka vat ASraya ASrayi BAvena upapattiH" iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) sabhaṅgatve śabdaśleṣatvabījamāha yatreti /	(vi, na) sa BaFga tve Sabda Sleza tva bIjam Aha yatra iti /
        sabhaṅgaśleṣasthale kāvye 'pi svarabhedagaṇanamiti tanmatam /	sa BaFga Sleza sTale kAvye api svaraBeda gaNanam iti tat matam /
        tataśca bhinnaprayatnoccāryyatvenaiva pṛthak pṛthak śabdabhedaḥ /	tatas ca Binna prayatna uccAryya tvena eva pRTak pRTak Sabda BedaH /
        kevalaṃ vibhinnatvena pratīyamānayorapi atyantasannidhānarūpa eva	kevalam viBinna tvena pratIyamAnayoH api atyanta sanniDAna rUpaH eva
   jatukāṣṭhayoriva śleṣa ityarthaḥ /	jatu kAzWayoH iva SlezaH iti arTaH /
        abhaṅgaśleṣastvarthaśleṣa ityāha   abhaṅgastviti /	aBaFga SlezaH tu arTa SlezaH iti Aha   aBaFgaH tu iti /
        tadarthaśleṣatve bījamāha   yatreti /	tad arTa Sleza tve bIjam Aha   yatra iti /
        abhinnaprayatnoccāryyatvena śabdabhedābhāvād	aBinna prayatna uccAryya tvena Sabda Beda aBAvAt 
   ekavṛntalagnaphaladvayavadekaśabdalagnārthayoreva śliṣṭatvamityarthaḥ /	eka vRnta lagna Pala dvaya vat eka Sabda lagna arTayoH eva Slizwa tvam iti arTaH /
        tāvataiva kathamarthālaṅkāratvam ityatrāha   yo hi yadāśraya iti /	tAvatA eva kaTam arTa alaFkAra tvam iti atra aha   yaH hi yad ASrayaH iti /
        sabhaṅgatve śabdayoreva śliṣṭatvāttatra śleṣaḥ śabdāśritaḥ /	sa BaFga tve SabdayoH eva Slizwa tvAt tatra SlezaH Sabda ASritaH /
        ekadeśāśrityorarthayoreva ca śliṣṭatvādarthāśritastatra śleṣa	eka deSa ASrityoH arTayoH eva ca Slizwa tvAt arTa ASritaH tatra Sleza
   ityarthaḥ /	iti arTaH /
        Locanā:	LocanA:
        (lo, ī) yo hīti /	(lo, I) yaH hi iti /
        yathā loke bhujāśrito bhujasthālaṅkāraḥ kaṇṭhaśritaḥ kaṇṭhasya	yaTA loke Buja ASritaH Buja sTa alaFkAraH kaNWa SritaH kaNWasya
   tathāsau śabdāśrita iti bhāvaḥ /	taTA asO Sabda ASritaH iti BAvaH /
        lokavaditi /	loka vat iti /
        loke āśrayāśrayibhāvena eva vyapadeśaḥ, yathā rājapuruṣaḥ /	loke ASraya ASrayi BAvena eva vyapadeSaH, yaTA rAja puruzaH /
        yadvā upapatterupādānād vyavaharaṇāditi yāvat /	yat vA upapatteH upAdAnAt vyavaharaNAt iti yAvat /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tadanye na kṣamante /	tad anye na kzamante /
   tathāhi  atra dhvaniguṇībhūtavyaṅgyadoṣaguṇālaṅkārāṇāṃ śabdārthagatatvena	taTA hi  atra Dvani guNIBUta vyaFgya doza guNa alaFkArANAm Sabda arTa gata tvena
   vyavasthiteranvayavyatirekānuvidhāyitvena niyam iti /	vyavasTiteH anvaya vyatireka anuviDAyi tvena niyam iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) tadanye iti /	(vi, pa) tad anye iti /
        kāvyaprakāśakārādayastadanuyāyino vayañca ityarthaḥ /	kAvya prakASa kAra AdayaH tad anuyAyinaH vayaQcaH iti arTaH /
        tathā hyatreti /	taTA hi atra iti /
        atrālaṅkāraśāstre śabdaśaktimūlavyaṅgyatve dhvaniguṇībhūtavyaṅgyayoḥ	atra alaFkAra SAstre Sabda Sakti mUla vyaFgya tve Dvani guNIBUta vyaFgyayoH
   śabdagatatvavyavahāraḥ /	Sabda gata tva vyavahAraH /
        arthaśaktimūlatve tu arthagatatvena doṣādīnāṃ tu	arTa Sakti mUla tve tu arTa gata tvena doza AdInAm tu
   śabdārthanvayādyavidhānaṃ sphuṭameva /	Sabda arTa nvaya Adi aviDAnam sPuwam eva /
        tathā ca nānārthābhaṅgaśabdasyāpi śleṣeṇānvayavyatirekānuvidhānāta	taTA ca nAnA arTa ABaFga Sabdasya api SlezeNa anvaya vyatireka anuviDAnAta
   tatrāpi śabdaśleṣatvameva iti bhāvaḥ /	tatra api Sabda Sleza tvam eva iti BAvaH /
        Locanā:	LocanA:
        (lo, u) siddhāntamāha   tad uktaprakāraṃ pūrveṣāṃ matam, anye	(lo, u) sidDAntam Aha    tat ukta prakAram pUrvezAm matam, anye
   'bhiyuktā na manyante na svīkurvanti /	aBiyuktAH na manyante na svIkurvanti /
        kuto na manyante tatra hetumāha   tathāhīti /	kutas na manyante tatra hetum Aha   taTA ahi iti /
        atra alaṅkāraprastāve yeṣāṃ dvandvārthānāṃ śabdānāṃ paryyāntareṇa	atra alaFkAra prastAve yezAm dvandva arTAnAm SabdAnAm paryya antareNa
   pratipādane 'pi na kṣatista evārthagatāḥ /	pratipAdane api na kzatiH te eva arTa gatAH /
        yeṣāṃna tu tathā te śabdagatā eveti niyamanāt	yezAM na tu taTA te Sabda gatAH eva iti niyamanAt 
   prācīnairalaṅkārakārairiti śeṣaḥ /	prAcInEH alaFkAra kArEH iti SezaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   na ca "andhakakṣaya" ityādau śabdābhedaḥ, "arthabhedena śabdabhedaḥ" iti	na ca "anDaka kzaya" ityAdO Sabda aBedaH, "arTa Bedena Sabda BedaH" iti
   darśanāt /	darSanAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) mataviśeṣe tu yatra nānārthasthale 'pi śabdabhedastathā ca	(vi, Pa) mata viSeze tu yatra nAnA arTa sTale api Sabda BedaH taTA ca
   tatrāpi śliṣṭānekaśabdakṛtaḥ śabdālaṅkārastanmate nirbādha eveti tanmataṃ	tatra api Slizwa aneka Sabda kRtaH Sabda alaFkAraH tad mate nirbADaH eva iti tat matam
   darśayati   na cāndhaka iti /	darSayati   na ca anDakaH iti /
        na ca śabdābheda ityanvayaḥ /	na ca Sabda aBedaH iti anvayaH /
        tatra hetumāha   arthabhedeneti /	tatra hetum Aha   arTa Bedena iti /
        ghaṭapaṭarūpārthabhedena ghaṭapaṭaśabdabhedanādityarthaḥ /	Gawa pawa rUpa arTa Bedena Gawa pawa Sabda BedanAt iti arTaH /
        tathā caitad dṛṣṭāntenaivārthabhedasya śabdabhedavyāpyatvasiddhiriti	taTA ca etat dRzwAntena eva arTa Bedasya Sabda Beda vyApya tva sidDiH iti
   bhāvaḥ /	BAvaH /
        na ca tatkathaṃ nānārthakaśabdāḥ śrūyante iti	na ca tat kaTam nAnA arTaka SabdAH SrUyante iti
   vācyam  ekaprayatnoccāryyatvadoṣeṇa bhedāgrahāt /	vAcyam   eka prayatna uccAryya tva dozeNa Beda agrahAt /
        Locanā:	LocanA:
        (lo, ū) naca tanniyamanamātreṇābhaṅgasya śabdaśleṣatvaṃ,	(lo, U) na ca tad niyamana mAtreNa aBaFgasya Sabda Sleza tvaM,
   śabdabhedādapi ityāha  naceti /	Sabda BedAt api iti Aha  naca iti /
        hetumāha  arthabhedeneti /	hetum Aha  arTa Bedena iti /
        darśanād yuṣmābhireva siddhāntāt pramāṇīkṛtāditi śeṣaḥ /	darSanAt yuzmABiH eva sidDAntAt pramANIkRtAt iti SezaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kiṃ cātra śabdasyaiva mukhyatayā vaicitryabodhopāyatvena	kim ca atra Sabdasya eva muKya tayA vEcitrya boDa upAya tvena
   kavipratibhayoṭṭaṅkanācchabdālaṅkāratvameva /	kavi pratiBaya uwwaFkanAt Sabda alaFkAra tvam eva /
   visadṛśaśabdadvayasya bandhe cevaṃvidhasya vaicitryābhāvād vaicitryasyaiva	visadRSa Sabda dvayasya banDe ca ivaMviDasya vEcitrya aBAvAt vEcitryasya eva
   cālaṅkāratvāt /	ca alaFkAra tvAt /
   arthamukhaprekṣitayā cārthālaṅkāratve 'nuprāsādīnāmapi	arTa muKa prekzitayA ca arTa alaFkAra tve anuprAsa AdInAm api
   rasādiparatvenārthamukhaprekṣitayārthālaṅkāratvaprasaṅgaḥ /	rasa Adi paratvena arTa muKa prekzitayA arTa alaFkAra tva prasaFgaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) nanu sabhaṅgaśleṣasthaler'thabhedāt	(vi, ba) nanu sa BaFga Sleza sTaler aTa BedAt
   tvadabhimatasvarabhedadṛṣṭāntena abhaṅgānekaśabdānāmarthabhedāt svarabheda	tvad aBimata svara Beda dRzwAntena aBaFga aneka SabdAnAm arTa BedAt svaraBeda
   eva syāt /	eva syAt /
        tathā ca svarabhedavailakṣaṇyagrahe kathaṃ bhedagrahaḥ	taTA ca svaraBeda vElakzaNya grahe kaTam Beda grahaH
   syādator'thabhedasya śabdabhedavyāptiraprayojikaiva ityata ekaprayatnena	syAt ator aTa Bedasya Sabda Beda vyAptiH aprayojikA eva iti atas eka prayatnena
   nānāśabdoccāraṇamityata āha   kiñceti /	nAnA Sabda uccAraNam iti atas Aha   kiQcA iti /
        śabdasyaiva mukhyatayā vaicitryopāyatvena kavipratibhayoṭṭaṅkanād	Sabdasya eva muKya tayA vEcitrya upAya tvena kavi pratiBaya uwwaFkanAd
   viṣayīkāraṇādityarthaḥ /	vizayIkAraNAt iti arTaH /
        nanu andhakādyakhaṇḍaśabdasya mukhyatve kiṃ pramāṇamityata	nanu anDaka Adi aKaNxa Sabdasya muKya tve kim pramANam iti ata
   āhavisadṛśaśabdadvayasyeti /	Ahavi sadRSa Sabda dvayasya iti /
        nahi hariṇaśabdasthale tadarthakendrādiśabdaprayoge hari	na hi hariNa Sabda sTale tad arTaka indra Adi Sabda prayoge hari
   naumītyatreva viṣṇivandrau naumītyatrāpi śleṣarūpavaicitryānanubhava	nOmI iti atra iva vizNi vandrO nOmIti atra api Sleza rUpa vEcitryAn anuBava
   ityarthaḥ /	iti arTaH /
        nanvarthamukhaprokṣitvād abhaṅgaśleṣasyār'thālaṅkāratvamucyate ityata	nanu arTa muKa prokzi tvAt aBaFga Slezasya AraTa alaFkAra tvam ucyate iti ata
   āha   arthamukheti /	Aha   arTa muKa iti /
        anupārasādīnāmityādipadāt sabhaṅgaśleṣavakrottyādiparigrahaḥ /	anupArasA AdInAm ityAdi padAt sa BaFga Sleza vakra utti Adi parigrahaH /
        rasādiparatveneti /	rasa Adi paratvena iti /
        rasaniṣṭaguṇārthakatvenaiva rasaparatvaṃ bodhyam /	rasa nizwa guNa arTaka tvena eva rasa paratvam boDyam /
        ādipadāt lāṭānuprāse vācyārthamukhaprekṣitvameva baudhyam /	AdipadAt lAwa anuprAse vAcya arTa muKa prekzi tvam eva bODyam /
        Locanā:	LocanA:
        (lo, ṛ) ye 'pyāhuryo yadāśretaḥ sa tadalaṅkāra iti tanmate 'pyatra	(lo, R) ye api AhuH yaH yadA aSretaH sa tad alaFkAraH iti tad mate api atra
   vaucitryasya śabdaniṣṭhatvācchabdālaṅkāratvamityāha   kiñceti /	vOcitryasya Sabda nizWa tvAt Sabda alaFkAra tvam iti Aha   kiQca iti /
        vaicitryaṃ lokottaravicchittiralaṅkārarūpā /	vEcitryam loka uttara vid CittiH alaFkAra rUpAH /
        pratibhā navanavonmeṣaśālinī prajñā /	pratiBA nava nava unmeza SAlinI prajQA /
        uṭṭaṅkanāt ullekhanāt, atra hetumāha    visadṛśeti /	uwwaFkanAt ulleKanAt, atra hetum Aha   visadRSA iti /
        visadṛśamasamānaśrutikam /	visadRSam asamAna Srutikam /
        yathā andhakakṣayakara ityatra kṣayaśabdasthāne	yaTA anDaka kzaya karaH iti atra kzaya Sabda sTAne
   vināśanivāsarūpakaśabdadvayam /	vinASa nivAsa rUpaka Sabda dvayam /
        asya ca	asya ca
   vaicitryasyārthānusandhānamantareṇanupalabdherarthālaṅkāratvamastītyāśaṅkyāha   artheti	vEcitryasya arTa anusanDAnam antareNanupalabDeH arTa alaFkAra tvam asti iti ASaFkya Aha   arTa iti
        arthamukhaprekṣitvamarthānusāndhāne vaicitryayogaḥ /	arTa muKa prekzi tvam arTa anusAnDAne vEcitrya yogaH /
        tathā sati alaṅkārāntare 'tiprasaṅga ityata āha   anuprāsādīnāmiti /	taTA sati alaFkAra antare atiprasaFgaH iti atas Aha   anuprAsa AdInAm iti /
        ayamarthaḥ   anuprāsādīnāmapi hi rasādiparatvābhāve vṛttivirodhāt /	ayam arTaH   anuprAsa AdInAm api hi rasa Adi paratva aBAve vRtti viroDAt /
        rasādirūpasyārthasya tadabhivayañjakasya vibhāvādirūpasyārthasya	rasa Adi rUpasya arTasya tad aBivayaQjakasya viBAva Adi rUpasya arTasya
   vānusandhānamastyeveti tepi kathaṃ śabdālaṅkāramadhye yuṣmābhirapi	vA anusanDAnam asti eva iti tepi kaTam Sabda alaFkAra maDye yuzmABiH api
   gaṇyanta iti /	gaNyante iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   śabdasyābhinnaprayatnoccāryatvenārthālaṅkāratve "pratikūlatāmupagate hi	Sabdasya aBinna prayatna uccArya tvena arTa alaFkAra tve "pratikUla tAm upagate hi
   vidhau" ityādau śabdabhede 'pyarthālaṅkāratvaṃ tathāpi prasajyata	viDO" ityAdO Sabda Bede api arTa alaFkAra tvam taTA api prasajyata
   ityubhayatrāpi śabdālaṅkāratvameva /	iti uBayatra api Sabda alaFkAra tvam eva /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) abhinnaprayatnoccāryyatvenārthālaṅkāratvasya taduktasya	(vi, Ba) aBinna prayatna uccAryya tvena arTa alaFkAra tvasya tat uktasya
   śabdālaṅkāratayā nirvivāde varṇaśleṣavarṇānuprāse 'pi	Sabda alaFkAra tayA nirvivAde varNa Sleza varNa anuprAse api
   atiprasāktimāha   pratikūlaṃtamiti /	atiprasAktim Aha    pratikUlaMtam iti /
        ubhayatrāpi iti /	uBayatra api iti /
        sabhaṅgabhaṅgayorityarthaḥ /	sa BaFga BaFgayoH iti arTaH /
        Locanā:	LocanA:
        (lo, ṝ) yat punaruktaṃ	(lo, L) yat punaruktam
   śabdasyaikaprayatnoccāryyatver'thālaṅkāratvamiti tathāpyavyāptidoṣa	Sabdasya eka prayatna uccAryya tver aTa alaFkAra tvam iti taTA api avyApti doza
   ityāha   śabdasyeti /	iti Aha    Sabdasya iti /
        pratikūlatāmityādau vidhāvityatra	pratikUla tAm ityAdO viDO= iti atra
   ikārokārayoraukārarūpatvenābhinnaprayatnoccāryyatvaṃ tat śabdabhedena	ikAra ukArayoH OkAra rUpa tvena aBinna prayatna uccAryya tvam tat Sabda Bedena
   śabdaśleṣamaṅgīkurvataḥ /	Sabda Slezam aFgIkurvataH /
        ubhayatra "yena dhvasta"ityādau "andhakakṣaya" ityādau ca /	uBayatra "yena Dvasta"iti AdO "anDaka kzaya" ityAdO ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yatra tu śabdaparivarttane 'pi na śleṣatvakhaṇḍanā, tatra  	yatra tu Sabda parivarttane api na Sleza tva KaNxanA, tatra  
   "stokenonnatimāyāti stokenāyātyadhogatim /	"stokena unnatim AyAti stokena AyAti aDogatim /
   aho susadṛśī vṛttistulākoṭeḥ khalasya ca" //	aho su sadRSI vRttiH tulA koweH Kalasya ca" //
   ityādāvarthaśleṣaḥ /	iti AdO= arTa SlezaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) nanvevamarthasleṣālaṅkārocchedaprasaṅga ityata āha   yatra	(vi, ma) nanu evam arTa sleza alaFkAra ucCeda prasaFgaH iti atas Aha   yatra
   tviti /	tu iti /
        tameva viṣayamāha   tatra stokeneti /	tam eva vizayam Aha   tatra stokena iti /
        aho tulāyā mānatulāyāḥ koṭeragrabhāgasya khalasya ca susadṛśī	aho tulAyAH mAna tulAyAH koweH agra BAgasya Kalasya ca su sadRSI
   vṛttiryataḥ stokenetyādi /	vRttiH yatas stokena ityAdi /
        stokena guñjādyalpavastunā, pakṣe stokenālpapraśaṃsanenālpanindanena	stokena guQjA Adi alpa vastunA, pakze stokena alpa praSaMsanena alpa nindanena
   ca /	ca /
        atronnatyadhogatyarthakapadāntaradāne 'pi nārthaśleṣatvakhaṇḍanā /	atra unnati aDas gati arTaka pada antara dAne api na arTa Sleza tva KaNxanA /
        Locanā:	LocanA:
        (lo, ḷ) tat kva nu punararthaśleṣa ityāha   yatra hīti /	(lo, ?) tat kva nu punar arTa SlezaH iti Aha   yatra hi iti /
        śabdasya parivarttane paryyāyāntareṇa pratipādane /	Sabdasya parivarttane paryyAya antareNa pratipAdane /
        suvarṇadigauravaprakarṣāpakarṣasūcikā tulākoṭiḥ /	suvarNa digOrava prakarza apakarza sUcikA tulAkowiH /
        atra stokādisyāne svalpādipadaniveśe 'pi na hyarthatāhāniḥ /	atra stoka Adi syAne su alpa Adi pada niveSe api na hi arTa tA hAniH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   asya cālaṅkārāntaraviviktaviṣayatāyā	asya ca alaFkAra antara vivikta vizaya tAyAH 
   asambhavādvidyamāneṣvalaṅkārāntareṣvapavādatvena tadvādhakatayā	asamBavAt vidyamAnezu alaFkAra antarezu apavAda tvena tad vA aDaka tayA
   tatpratibhotpattihetutvamiti kecit /	tad pratiBA utpatti hetutvam iti kecid /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) idānīṃ śleṣasya alaṅkārāntarāsaṅkīrṇaviṣayābhāvād	(vi, ya) idAnIm Slezasya alaFkAra antarA saFkIrNa vizaya aBAvAt 
   alaṅkārāntarasya ca śleṣāsaṅkīrṇaviṣayasattvāt	alaFkAra antarasya ca SlezA saFkIrNa vizaya sattvAt
   sāmānyamalaṅkārāntaramapavādatvena bādhitvā śleṣa evālaṅkāraḥ	sAmAnyam alaFkAra antaram apavAda tvena bADitvA SlezaH eva alaFkAraH
   alaṅkārāntaraṃ tu tat saṅkīrṇaṃ tadgrāhakameveti kecidāhuḥ /	alaFkAra antaram tu tat saFkIrNam tat grAhakam eva iti kecid AhuH /
        tanmataṃ darśayati   asyeti /	tat matam darSayati   asya iti /
        tatpratibhotpattihetutvamiti   tatpratibhā, alaṅkārāntaraviṣayiṇī	tad pratiBA utpatti hetu tvam iti    tad pratiBA, alaFkAra antara vizayiNI
   pratibhā tasyā evotpattihetutvamasya śleṣasya	pratiBA tasyAH eva utpatti hetutvam asya Slezasya
   tadviṣayabodhakatvamityarthaḥ /	tad vizaya boDaka tvam iti arTaH /
        śabdaśleṣeṇa śleṣālaṅkāraviṣayapratibhaiva janyata ityarthaḥ /	Sabda SlezeNa Sleza alaFkAra vizaya pratiBA eva janyate iti arTaH /
        natu alaṅkārāntaraviṣayapratibhā ityarthaḥ /	na tu alaFkAra antara vizaya pratiBA iti arTaH /
