   śrīHarṣadeva-viracitā |	SrIHarza-deva--viracitAH |
   svasti-vācana-nimittaṃ śabdāyateti | tad yāvad dhārā-gṛhodyāna-dīrghikāyāṃ	svasti-vAcana--nimittam SabdAyata-iti | tat yAvat DArA--gRha-udyAna--dIrGikAyAm
   snātvā devī-pārśvaṃ gatvā kukkuṭa-vādaṃ kariṣyāmi | anyathā katham	snAtvA devI--pArSvam gatvA kukkuwa-vAdam karizyAmi | anyaTA kaTam
   asmābhiḥ sadṛśā brāhmaṇā rāja-kule pratigrahaṃ kurvanti (nepathyābhimukham	asmABiH sadRSAH brAhmaNAH rAja--kule pratigraham kurvanti (nepaTya-aBimuKam
   avalokya) katham eṣa priya-vayasyo 'dya devyā	avalokya) kaTam eza priya--vayasyaH adya devyA
   virahotkaṇṭhā-vinodanā-nimittaṃ dhārā-gṛhodyānam eva prasthitaḥ | tad	viraha-utkaNWA--vinodanA--nimittam DArA--gRha-udyAnam eva prasTitaH | tat-
   yāvad vayasyena sahaiva gatvā yathoditam anuṣṭhāsyāmi |]	yAvat vayasyena saha-eva gatvA yaTA-uditam anuzWAsyAmi |]
   [p. 12]	[p. 12]
   (tataḥ praviśati sotkanṇṭho rājā)	(tatas praviSati sa-utkanNWaH rAjA)
   rājā -	rAjA -
   kṣāmāṃ maṅgala-mātra-maṇḍana-bhṛtaṃ mandodyamālāpinīm	kzAmAm maFgala--mAtra--maNxana-BRtam manda-udya-mAlApinIm
   āpāṇdu-cchavinā mukhena vijita-prātas-tanendu-dyutim /	ApANdu-cCavinA muKena vijita--prAta-s-tana-indu-dyutim /
   sotkaṇthāṃ niyamopavāsa-vidhinā ceto mamotkaṇṭhate	sa-utkaNTAm niyama-upavAsa--viDinA cetaH mama-utkaNWate
   tāṃ draṣṭuṃ prathamānurāga-janitāvasthām ivādya priyām // HPri_2.1 //	tAm drazwum praTama-anurAga--janita-avasTAm iva-adya priyAm // HPri_2.1 //
   vidūṣakaḥ- (upasṛtya) sotthi hode | vaḍḍhadu bhavaṃ | [svasti bhavate |	vidUzakaH (upasRtya) sotTi ha-ude | vaxXa-du Bavam | [svasti Bavate |
   vardhatāṃ bhagavān |]	varDatAm BagavAn |]
   rājā -(vilokya) Vasantaka | kasmāt prahṛṣṭa iva lakṣyase |	rAjA -(vilokya) VasantakaH | kasmAt prahRzwaH iva lakzyase |
   vidūṣakaḥ - accadi kkhu devī bamhaṇaṃ | [arcati khalu devī brāhmaṇam |]	vidUzakaH  accadi kKu devI bamhaNam | [arcati Kalu devI brAhmaNam |]
   rājā - yady evaṃ tataḥ kim |	rAjA  yadi evam tatas kim |
   vidūṣakaḥ - (sa-garvam) bho | īriso kkhu bamhaṇo jo	vidUzakaH  (sa--garvam) Bo | IrisaH kKu bamhaNaH jaH-
   cau-vveda-pañca-veda-chaṭṭha-veda-bamhaṇa-sahassa-pajjāule rāaule paḍhamaṃ	cO-vveda--paQca-veda--CawWa-veda--bamhaNa--sahassa-pad-ja-aule rAOle paXamam
   (Kale : pu-) ahaṃ evva devī-saāsado sotthiā-vāāṇaṃ lahemi | [bhoḥ | īdṛśaḥ	(Kale : pu-) aham evva devI--saA-sadaH sa-utTiA-a-vAANam lahemi | [BoH | IdRSaH
   khalu brāhmaṇaḥ | yaś	Kalu brAhmaNaH | yaH-
   caturveda-pañca-veda-ṣaḍ-veda-brāhmaṇa-sahasra-paryākule rja-kule	catur-veda--paQca-veda--zaz--veda--brAhmaNa--sahasra-paryAkule rja-kule
   prathamam aham eva devī-sakāśāt svasti-vācanaṃ labhe |]	praTamam aham eva devI--sakASAt svasti-vAcanam laBe |]
   rājā - (vihasya) veda-saṃkhyayaivāveditaṃ brāhmaṇyam | tad āgaccha	rAjA  (vihasya) veda--saMKyayA-eva-Aveditam brAhmaNyam | tat AgacCa
   mahā-brāhmaṇa | dhārā-gṛhodyānam eva gacchāvaḥ |	mahA--brAhmaNa | DArA--gRha-udyAnam eva gacCAvaH |
   vidūṣakaḥ - jaṃ devo āṇavedi | [yad deva ājñāpayati |]	vidUzakaH  jam devaH ANavedi | [yat devaH AjQApayati |]
   rājā - gacchāgrataḥ |	rAjA  gacCa-agratas |
   [p. 13]	[p. 13]
   vidūṣakaḥ - bho ehi gacchamha | (parikramyāvalokya ca) bho vaassa pekkha	vidUzakaH  Bo ehi gacCam-ha | (parikramya-avalokya ca) Bo vaassa pekKa
   pekkha | avirada-paḍanta-viviha-kusuma-suumāla-silā-al'-ucchangassa	pekKaH | avirada--paxanta--viviha--kusuma--suumAla--silA--al-a-u=-Cangassa
   parimala-ṇilīṇa-mahuara-bhara-bhagga-baula-māladī-ladā-jālaassa	parimala-Ni-lINa--mahuara--Bara--Bagga--bOla--mAla-dI-ladA--jAlaa-ssa
   kamala-gandha-gahaṇ'-uddāma-māruda-pajjava (Kale :	kamala--ganDa--gahaN-a-uddAma--mAru-da--pajjava (Kale :
   parjava-)buddha-bandhūa-bandhaṇassa	parjava--)budDa--banDUa--banDaNassa
   avirala-tamāla-taru-pihidā-tapa-paāsassa assa dhārā-ghar'-ujjāṇassa	avirala--tamAla--taru-pihi-dA-tapa-paAsaH-sa assa DArA--Gar-a-ujjANassa
   sa-ssarīaaṃ | [bho ehi gacchāvaḥ | (parikramyāvalokya ca) bho vayasya	sa--ssarIaam | [BaH ehi gacCAvaH | (parikramya-avalokya ca) Bo vayasya
   paśya paśya | avirata-patad-vividha-kusuma-	paSya paSya | avirata-patad--viviDa-kusuma-
   sukumāra-śilā-talotsaṅgasya	sukumAra--SilA-A-tala-utsaFgasya
   parimala-nilīna-madhukara-bhara-bhagna-bakula-mālatī-latā-jālakasya	parimala--nilIna--maDukara--Bara--Bagna---bakula--mAla-tI-latA---jAlakasya
   kamala-gandha-grahaṇoddāma-māruta-paryavabuddha-bandhūka-bandhanasyāvirala-tamāla-taru-pihitātapa-prakāśasyāsya	kamala--ganDa--grahaNa-uddAma--mAruta--paryavabudDa--banDUka-banDanasya-avirala--tamAla--taru--pihita-Atapa--prakASasya-asya
   dhārā-gṛhodyānasya sa-śrīkatām |]	DArA--gRha-udyAnasya sa-SrIka-tAm |]
   rājā - vayasya sādhv abhihitam | atra hi |	rAjA  vayasya sADu aBihitam | atra hi |
   vṛntaiḥ kṣudra-pravāla-sthagitam iva talaṃ bhāti śephālikānāṃ	vRntEH kzudra--pravAla--sTagitam iva talam BAti SePAlikAnAm
   gandhaḥ sapta-cchadānāṃ sapadi gaja-madāmoda-mohaṃ karoti /	ganDaH sapta--cCadAnAm sapadi gaja-mada-Amoda--moham karoti /
   ete connidra-padma-cyuta-bahala-rajaḥ-puñja-piṅgāṅgarāgā	ete ca-unnidra--padma--cyuta--bahala--rajaH--puQja--piFga-aFgarAgA
   gāyanty avyakta-vācaḥ kim api madhu-liho vāruṇī-pāna-mattāḥ // HPri_2.2 //	gAyanti avyakta-vAcaH kim api maDu-lihaH vAruNI--pAna--mattAH // HPri_2.2 //
   vidūṣakaḥ - bho vaassa | edaṃ pi dāva pekkha pekkha | jo eso	vidUzakaH  Bo vaassaH | edam pi dAva pekKa pekKaH | jaH esaH-
   avirala-paḍanta-kusuma-ṇiaro ajja vi	avirala--paxanta--kusuma--NiaraH ajja vi
   patt'-antara-gaḷanta-varisāvasāṇa-salila-bindū via lakkhīadi [p. 14]	patta-antara--ga?anta--vari-sAvasANa--salila--bindU via lakKIadi [p. 14]
   sattavaṇṇa-pāāvo | [bho vayasya etad api tāvat paśya paśya | ya eṣo	sat-tavaNNa--pAAvaH | [BaH vayasyaH etat api tAvat paSya paSya | yaH ezaH-
   'virala-patad-kusuma-nikaro 'dyāpi	avirala-patad--kusuma--nikaraH adya-api
   patrāntara-galad-varṣāvasāna-salila-bindur iva lakṣyate saptaparṇa-pādapaḥ	patra-antara-galat--varza-avasAna--salila--binduH iva lakzyate saptaparNa-pAdapaH
   rājā - vayasya samyag utprekṣitam | bahv eva sadṛśaṃ jalada-samayasya |	rAjA  vayasya samyak utprekzitam | bahu eva sadRSam jalada--samayasya |
   tathā hi |	taTA hi |
   bibhrāṇā mṛdutāṃ śirīṣa-kusuma-śrī-hāribhiḥ śādvalaiḥ	biBrANAH mRdu-tAm SirIza--kusuma--SrI--hAriBiH SAdvalEH
   sadyaḥ kalpita-kuṭṭimā marakata-kṣodair iva kṣālitaiḥ /	sadyas kalpita--kuwwimAH marakata-kzodEH iva kzAlitEH /
   eṣā saṃprati bandhanād vigalitair bandhūka-puṣpotkaraiḥ	ezA saMprati banDanAt vigalitEH banDUka--puzpa-utkarEH
   adyāpi kṣitir indra-gopaka-śataiś cchanneva saṃlakṣyate // HPri_2.3 //	adya-api kzitiH indra-gopa-ka-SatEH cCan=-eva saMlakzyate // HPri_2.3 //
   (tataḥ praviśati ceṭī)	(tatas praviSati cewI)
   ceṭī - āṇatta mhi devīe Vāsavadattāe | hanje Indīvarie ajja mae	cewI  ANatta mhi devIe VAsavadattAe | hanje IndIvarie ajja mae
   Agatthi-mahesiṇo aggho dādavvo | tā gaccha tumaṃ | sehāliā-kusuma-mālaṃ	AgatTi--mahesiNaH aghaH dAdavvaH | tAH gacCa tumam | seha-AliA-kusuma-mAlam
   lahu geṇhia āacchetti | esā vi Āraṇṇiā dhārā-ghar'-ujjāṇa-dīhiāe jāva evva	lahu geNhia AacCetti | esA vi ĀraNNiA DArA-Gar-a-ujjANa-dIhiAe jAvaH evva
   viāsiāiṃ kamalāiṃ ṇa atthāhilāsiṇā [p. 15] sujjeṇa maulāvijjanti tāva evva	viAsiAim kamalAim Na atTa-ahilAsiNAH [p. 15] sujjeNa mOlA-vijjanti tAva evva
   lahuaṃ avaciṇua āacchadu tti | esā tavassiṇī taṃ dīhiaṃ ṇa jāṇādi | tā	lahuam avaciNue AacCadu tti | esA tavassiNI tam dIhiam Na jANa-Adi | tA
   geṇhia taṃ gamissaṃ | (nepathyābhimukham avalokya) ido ido Āraṇṇie ehi |	geNhia tam gamissam | (nepaTya-aBimuKam avalokya) idaH idaH ĀraNNie ehi |
   [ājñāptāsmi devyā Vāsavadattayā | hañje Indīvarike adya	[a-AjQAptA-asmi devyAH VAsavadattayA | haQje IndIvarike adya
   mayāgastya-maharṣaye 'rgho dātavyaḥ | tad gaccha tvam |	mayA-agastya--mahA-Rzaye arGaH dAtavyaH | tat gacCa tvam |
   śephalikā-kusuma-mālāṃ laghu gṛhītvāgaccheti | eṣāpy Āraṇyikā	SePalikA--kusuma-mAlAm laGu gRhItvA-AgacCa-iti | ezA-api ĀraNyikA
   dhārā-gṛhodyāna-dīrghikāyā yāvad eva vikasitāni kamalāni nāstābhilāṣiṇā	DArA--gRha-udyAna--dIrGikAyAH yAvat eva vikasitAni kamalAni na-asta-aBilAziNA
   sūryeṇa mukulāyyante tāvad eva laghv avacintyāgacchatv iti | eṣā tapasvinī	sUryeNa mukulAyyante tAvat eva laGu avacintya-AgacCatu iti | ezA tapasvinI
   tāṃ dīrghikāṃ na jānāti | tad gṛhītvā tāṃ gamiṣyāmi (nepathyābhimukham	tAm dIrGikAm na jAnAti | tat gRhItvA tAm gamizyAmi (nepaTya-aBimuKam
   avalokya)]	avalokya)]
   (tataḥ praviśaty Āraṇyikā)	(tatas praviSati ĀraNyikA)
   Āraṇyikā - (sa-bāṣpodvegam ātma-gatam) taha ṇāma tārise vaṃse uppaṇṇāe	ĀraNyikA  (sa-bAzpa-udvegam Atma-gatam) taha NAma tAri-se vaMse uppaNNAe
   aṇṇa-jaṇaṃ āṇṇāvia ṭṭhiyāe saṃpadaṃ parassa mae āṇattī kādavvetti ṇatthi	aNNa--jaNam ANNA=-ia wWiyAe saMpadam parassa mae ANattI kAdavvetti NatTi
   kkhu dukkharaṃ devvassa | ahavā maha evva eso doso jeṇa jāṇantīe vi ṇa	kKu dukKaram devvassaH | ahavAH mahe evva esaH dosaH jeNa jANantIe vi Na
   vāvādio appā | tā kiṃ saṃpadaṃ karissaṃ | ahavā dukkharaṃ dāṇiṃ mae	vAvAdiaH appA | tA kim saMpadam karissam | ahavAH dukKaram dANim mae
   cintidaṃ | varaṃ evva edaṃ vi ṇa uṇa appaṇo mah'-agghaṃ vaṃsaṃ paāsaantīe	cintidam | varam evva edam vi NaH uNa appaNaH maha-agGam vaMsam paAsaantIe
   lahū-kido appā | tā kā gaī | jaha-bhaṇidaṃ aṇuciṭṭhissaṃ |	lahU-kidaH appA | tA kA gaI | jaha-BaNidam aNu-ciwWissam |
   [(sa-bāṣpodvegam ātma-gatam) tathā nāma tādṛśe vaṃśa utpannayānya-janam	[(sa-bAzpa-udvegam Atma--gatam) taTA nAma tAdRSe vaMSaH utpannayAni-a-janam
   ājñāpya sthitayā sāṃprataṃ parasya mayājñaptiḥ kartavyeti nāsti khalu	AjQApya sTitayA sAMpratam parasya mayA-ajQaptiH kartavyA-iti na-asti Kalu
   duṣkaraṃ daivasya | athavā mamaivaiṣa doṣo yena jānatyāpi na vyāpādita	duzkaram dEvasya | aTavA mama-eva-eza dozaH yena jAnatyA-api na vyApAdita
   ātmā | tat kiṃ sāṃprataṃ kariṣyāmi | athavā duṣkaram idānīṃ mayā cintitam	AtmA | tat kim sAMpratam karizyAmi | aTavA duzkaram idAnIm mayA cintitam
   | varam evaitad api | na punar ātmano mahārghaṃ vaṃśaṃ prakāśayantyā mayā	| varam eva-etat api | na punar AtmanaH mahArGam vaMSam prakASayantyA mayA
   laghū-kṛta ātmā | tat kā gatiḥ | yathābhaṇitam anuṣṭhāsyāmi |]	laGU-kRtaH AtmA | tat kA gatiH | yaTA-BaNitam anuzWAsyAmi |]
   ceṭī - ido ehi Āraṇṇie | ita ehi Āraṇyike |	cewI  idaH ehi ĀraNNie | itas ehi ĀraNyike |
   Āraṇyikā - iaṃ āacchāmi | (śramaṃ nāṭayantī) hanje dūre kiṃ ajja vi	ĀraNyikA  iam AacCAmi | (Sramam nAwayantI) hanje dUre kim ajja vi
   digghiā | [iyam āgacchāmi | (śramaṃ nāṭayantī) hañje dūre kim adyāpi	diS-GiA | [iyam AgacCAmi | (Sramam nAwayantI) haQje dUre kim adya-api
   dīrghikā |]	dIrGikA |]
   ceṭī - esā sehāliā-gumm'-antariā | tā ehi odaramha | (avataraṇaṃ	cewI  esA seha-aliA-gumm-a-antariA | tAH ehi odaram-ha | (avataraNam
   nāṭayataḥ) [eṣā śephalikā-gulmāntaritā | tad ehi avatarāvaḥ | (avataraṇaṃ	nAwayataH) [ezA SePalikA--gulma-antaritA | tat ehi avatarAvaH | (avataraNam
   nāṭayataḥ)]	nAwayataH)]
   rājā - vayasya kim anyad iva cintayasi | nanu bravīmi bahv eva sadṛśaṃ	rAjA  vayasya kim anyat iva cintayasi | nanu bravImi bahu eva sadRSam
   jalada-samayasyeti |	jalada--samayasya-iti |
   (bibhrāṇā mṛdutām ityādi punaḥ paṭhati)	(biBrANAH mRdu-tAm ityAdi punar paWati)
   vidūṣakaḥ - (sa-krodham) bho tumaṃ dāva edaṃ aṇṇaṃ a pekkhanto	vidUzakaH  (sa-kroDam) Bo tumam dAvaH edam aNNam a pekKantaH-
   ukkaṇṭha-ṇibbharaṃ viṇodesi appāṇaṃ | mama uṇa bamhaṇassa	ukkaNWa--NibBaram viNodesi appANam | mama uNa bamhaNassa
   sotthi-vāaṇa-velā adikkamadi | tā jāva ahaṃ tuvariaṃ dīhiāe ṇhāia devīe	sa-utTi-vAaNa-velAH adikka-madi | tAH jAva aham tuvariam dIhiAe NhAia devIe
   saāsaṃ gamissaṃ | [(sa-krodham) bhoḥ tvaṃ tāvad etad anyac ca paśyann	saAsam gamissam | [(sa-kroDam) BoH tvam tAvat etat anyat ca paSyan=-
   utkaṇṭhā-nirbharaṃ vinodayasyātmānam | mama punar brāhmaṇasya	utkaNWA--nirBaram vinodayasyAtmAnam | mama punar brAhmaNasya
   svasti-vācana-velātikramati | tad yāvad ahaṃ tvaritaṃ dīrghikāyāṃ snātvā	svasti-vAcana--velA-atikramati | tat yAvat aham tvaritam dIrGikAyAm snAtvA
   devyāḥ sakāśaṃ gamiṣyāmi |]	devyAH sakASam gamizyAmi |]
   [p. 16]	[p. 16]
   rājā -nanu mūrkha pāraṃgatā eva vayaṃ dīrghikāyāḥ | evam	rAjA -nanu mUrKa pAraMgatAH eva vayam dIrGikAyAH | evam
   anekendriya-sukhātiśayam anubhavann api nopalakṣayasi | paśya |	aneka-indriya--suKa-atiSayam anuBavan api na-upalakzayasi | paSya |
   śrotraṃ haṃsa-svano 'yaṃ sukhayati dayitā-nūpura-hrāda-kārī	Srotram haMsa--svanaH ayam suKayati dayitA--nUpura--hrAda--kArI
   dṛṣṭi-prītiṃ vidhatte taṭa-taru-vivarālakṣitā saudha-pālī /	dRzwi-prItim viDatte tawa-taru--vivara-AlakzitA sODa-pAlI /
   gandhenāmbhoruhāṇāṃ parimala-paṭunā jāyate ghrāṇa-saukhyaṃ	ganDena-amBoruhANAm parimala--pawunA jAyate GrANa--sOKyam
   gātrāṇāṃ hlādam ete vidadhati maruto vāri-saṃparka-śītāḥ // HPri_2.4 //	gAtrANAm hlAdam ete vidaDati marutaH vAri--saMparka--SItAH // HPri_2.4 //
   tadehi dīrghikā-taṭam upasarpāvaḥ | (parikramyāvalokya ca) vayasya paśya	tat-ehi dIrGikA--tawam upasarpAvaH | (parikramya-avalokya ca) vayasya paSya
   paśya |	paSya |
   udyāna-devatāyāḥ sphuṭa-paṅkaja-kānti-hāriṇī svacchā /	udyAna--devatAyAH sPuwa--paFkaja--kAnti--hAriNI su-acCAH /
   dṛṣṭir iva dīrghikeyaṃ ramayati māṃ darśanenaiva // HPri_2.5 //	dRzwiH iva dIrGikA-iyam ramayati mAm darSanena-eva // HPri_2.5 //
   vidūṣakaḥ - (sa-kautukam) bho vaassa pekkha pekkha | kā esā	vidUzakaH  (sa-kOtukam) Bo vaassa pekKa pekKaH | kA esA
   kusuma-parimala-suandha-veṇī-mahuarāvalī vidduma-laāruṇa-hattha-pallavā	kusuma--parimala--suanDa-veNI--mahuara-AvalI vidduma-laa-aruNa--hatTa--pallavA
   ujjalanta-taṇu-komala-bāhu-ladā saccaṃ paccakkha-carī via ujjāṇa-devadā	ujjalanta--taNu--komala-bAhu--ladA sat-cam pad-cakKa--carI viaH ujjANa-devadA
   itthiā dīsai | [(sa-kautukam) bho vayasya paśya paśya | kaiṣā	itTiA dIsEH | [(sa-kOtukam) Bo vayasya paSya paSya | kA-ezA
   kusuma-parimala-sugandha-veṇi-madhukarāvalir	kusuma--parimala--suganDa-veNi--maDukara-AvaliH-
   vidruma-latāruṇa-hasta-pallavā ujjvalat-tanu-komala-bāhu-latā satyaṃ	vidruma-latA-aruNa--hasta--pallavAH ujjvalat--tanu--koma-la-bAhu-latA satyam
   pratyakṣa-carīvodyāna-devatā strī dṛśyate |]	pratyakza--carI-iva-udyAna--devatA strI dRSyate |]
   rājā - (sa-kautukaṃ vilokya) vayasya	rAjA  (sa-kOtukam vilokya) vayasya
   niratiśaya-svarūpa-śobhā-janita-bahu-vikalpeyam | yat satyam aham api	niratiSaya--svarUpa--SoBA--janita--bahu-vikalpA-iyam | yat satyam aham api
   nāvagacchāmi | paśya |	na-avagacCAmi | paSya |
   [p. 17]	[p. 17]
   pātālād bhuvanālokana-parā kiṃ nāga-kanyotthitā	pAtAlAt Buvana-Alokana--parA kim nAga-kanyA-utTitA
   mithyā tat khalu dṛṣṭam eva hi mayā tasmin kuto 'stīdṛśī /	miTyA tat Kalu dRzwam eva hi mayA tasmin kutas asti-IdRSI /
   mūrtā syād iha kaumudī na ghaṭate tasyā divā darśanaṃ	mUrtA syAt iha kOmudI na Gawate tasyAH divA darSanam
   keyaṃ hasta-tala-sthitena kamalenālokyate śrīr iva // HPri_2.6 //	kA-iyam hasta--tala--sTitena kamalena-Alokyate SrIH iva // HPri_2.6 //
   vidūṣakaḥ - (nirūpya) esā kkhu devīe pariāriā Indīvariā | tā gumm'-antariā	vidUzakaH  (nirUpya) esA kKu devIe pariAriA IndIvariA | tA gumm-a-antariA
   bhavia pekkha mha | [(nirūpya) eṣā khalu devyāḥ paricārikendīvarikā | tad	Bavia pekKa mha | [(-nirUpya) ezA Kalu devyAH paricArikA-indIvarikA | tat-
   gulmāntaritau bhūtvā paśyāvaḥ |]	gulma-antaritO BUtvA paSyAvaH |]
   (ubhau tathā kurutaḥ)	(uBO taTA kurutaH)
   ceṭī - (kamalinī-patra-grahaṇaṃ nāṭayantī) Āraṇṇie avaiṇu (Kale : avaiṇuṃ)	cewI  (kamalinI--patra--grahaNam nAwayantI) ĀraNNie avENu (Kale : avENuM)
   tumaṃ padumāiṃ | ahaṃ vi edassiṃ ṇaliṇī-pattammi sehāliā-kusumāīṃ avaiṇua	tumam padumAim | aham vi edassim NaliNI-pattammi seha-aliA-kusumAIm avENua
   devī-saāsaṃ gamissaṃ | [(kamalinī-patra-grahaṇaṃ nāṭayantī) Āraṇyike	devI--saAsam gamissam | [(kamalinI--patra--grahaNam nAwayantI) ĀraNyike
   avacinu tvaṃ padmāni | aham apy etasmin nalinī-patre śephālikā-kusumāny	avacinu tvam padmAni | aham api etasmin nalinI--patre SePAlikA--kusumAni-
   avacitya devī-sakāśaṃ gamiṣyāmi |]	avacitya devI--sakASam gamizyAmi |]
   rājā - vayasya saṃlāpa iva vartate | tad avahitāḥ śṛṇumaḥ | kadācid ita	rAjA  vayasya saMlApaH iva vartate | tat avahitAH SRNumaH | kadAcid ita
   eva vyaktī-bhaviṣyati |	eva vyaktI-Bavizyati |
   (ceṭī gamanaṃ nāṭayati)	(cewI gamanam nAwayati)
   Āraṇyikā - halā Indīvarie ṇa sakkuṇomi tue viṇā muhuttaṃ vi ettha āsiduṃ |	ĀraNyikA  halAH IndIvarie Na sakkuNomi tue viNA muhuttam vi etTaH Asidum |
   [halā Indīvarike | na śaknomi tvayā vinā muhūrtam apy atrāsitum |]	[halA IndIvarike | na Saknomi tvayA vinA muhUrtam api atra-asitum |]
   ceṭī - (vihasya) jādisaṃ ajja mae devīe mantidaṃ sudaṃ tāriseṇa ciraṃ evva	cewI  (vihasya) jAdisam ajja mae devIe manti-dam su-dam tAriseNa ciram evva
   mae viṇā tue āsidavvaṃ | [(vihasya) yādṛśam adya mayā devyā mantritaṃ	mae viNA tue Asidavvam | [(vihasya) yAdRSam adya mayA devyAH mantritam
   śrutaṃ tādṛśena ciram eva mayā vinā tvayāsitavyam |]	Srutam tAdRSena ciram eva mayA vinA tvayA-asitavyam |]
   [p. 18]	[p. 18]
   Āraṇyikā - (sa-viṣādam) kiṃ devīe mantidaṃ | [kiṃ devyā mantritam |]	ĀraNyikA  (sa-vizAdam) kim devIe manti-dam | [kim devyAH mantritam |]
   ceṭī - evaṃ | tadā esā ahaṃ mahā-rāeṇa bhaṇidā jaha jadā esā	cewI  evam | tadA esA aham mahA--rAeNa BaNidA jaha jadAH esA
   Viñjhakedu-duhidā vara-joggā bhavissadi tadā ahaṃ sumarāidavvetti | tā	ViQJakedu-duhidA vara-joggAH Bavissadi tadA aham sumarAidavvetti | tA
   saṃpadaṃ sumarāvemi jeṇa se vara-cintā-pajjāulo bhavissadi | [etat |	saMpadam sumarAvemi jeNa se vara--cintA-pad-jAulaH Bavissadi | [etat |
   tadaiṣāhaṃ mahā-rājena bhaṇitā yathā yadaiṣā Vindhyaketu-duhitā vara-yogyā	tadA-ezA-aham mahA--rAjena BaNitA yaTA yadA-ezA VinDyaketu--duhitA vara-yogyA
   bhaviṣyati tadāhaṃ smārayitavya iti | tat sāṃprataṃ mahā-rājaṃ smārayāmi	Bavizyati tadA-aham smArayitavyaH iti | tat sAMpratam mahA--rAjam smArayAmi
   yenāsyā vara-cintā-paryākulo bhaviṣyati |]	yena-asyAH vara-cintA-paryAkulaH Bavizyati |]
   rājā - (sa-harṣam) iyaṃ sā Vindhyaketor duhitā | (sānutāpam) ciraṃ muṣitāḥ	rAjA  (sa-harzam) iyam sA VinDyaketoH duhitA | (sA-anuta-apam) ciram muzitAH
   smo vayam | vayasya nirdoṣa-darśanā kanyakā khalv iyam | viśrabdham idānīṃ	smaH vayam | vayasya nirdoza--darSanA kanyakA Kalu iyam | viSrabDam idAnIm
   paśyāmaḥ |	paSyAmaH |
   Āraṇyikā - (sa-roṣaṃ karṇau pidhāya) tā gaccha tumaṃ | ṇa maha tue	ĀraNyikA  (sa-rozam karNO piDAya) tAH gacCa tumam | Na maha tue
   asaṃbaddha-ppalāviṇīe paoaṇaṃ | [tad gaccha tvam | na mama	asaMbadDa--ppalAviNIe paoaNam | [tat gacCa tvam | na mama
   tvayāsaṃbaddha-pralāpinyā prayojanam |]	tvayA-asaMbadDa--pralApinyA prayojanam |]
   (ceṭy apasṛtya puṣpāvacayaṃ nāṭayati)	(cewI apasRtya puzpa-avacayam nAwayati)
   rājā - aho sutarāṃ prakaṭī-kṛtam ābhijātyaṃ dhīratayā | vayasya dhanyaḥ	rAjA  aho sutarAm prakawI-kRtam ABijAtyam DIra-tayA | vayasya DanyaH
   khalv asau ya etad aṅga-sparśa-sukha-bhājanaṃ bhaviṣyati |	Kalu asO yaH etat aFga--sparSa--suKa--BAjanam Bavizyati |
   (Āraṇyikā kamalāvacayaṃ nāṭayati)	(ĀraNyikA kamala-avacayam nAwayati)
   vidūṣakaḥ - bho vaassa pekkha pekkha | accariaṃ accariaṃ | esā	vidUzakaH  Bo vaassa pekKa pekKaH | accariam accariam | esA
   salila-calanta-kara-pallava-ppahā-vitthideṇa ohasia-sohaṃ karedi	salila--calanta-kara--pallava--ppahA--vitTi-deNaH oha-sia--soham karet-i
   kamala-vaṇaṃ avaciṇantī | [bho vayasya paśya paśya | āścaryam āścaryam |	kam-ala-vaNam avaciNantI | [BaH vayasya paSya paSya | AScaryam AScaryam |
   eṣā salila-calat-kara-pallava-prabhā-vistṛtenāpahasita-śobhaṃ karoti	ezA salila-calat--kara--pallava--praBA--vistRtena-apahasita-SoBam karoti
   kamala-vanam avacinvatī |]	kamala-vanam avacinvatI |]
   rājā - vayasya satyam evaitat | paśya |	rAjA  vayasya satyam eva-etat | paSya |
   [p. 19]	[p. 19]
   acchinnāmṛta-bindu-vṛṣṭi-sadṛśīṃ prītiṃ dadatyā dṛśāṃ	acCinna-amRta--bindu--vRzwi--sadRSIm prItim dadatyA dRSAm
   yātāyā vigalat-payodhara-paṭā-draṣṭavyatāṃ kām api /	yAtAyAH vigalat--payoDara--pawA-drazwavyatAm kAm api /
   asyāś candramasas tanor iva kara-sparśāspadatvaṃ gatā	asyAH candramasaH tanoH iva kara-sparSa-Aspada-tvam gatA
   naite yan mukulī-bhavanti sahasā padmās tad evādbhutam // HPri_2.7 //	na-ete yat mukulI-Bavanti sahasA padmAH tat eva-adButam // HPri_2.7 //
   Āraṇyikā - (bhramara-bādhaṃ nāṭayantī) ha ddhi ha ddhi | ede kkhu avare	ĀraNyikA  (Brama-ra--bADam nAwayantI) ha dDi ha dDi | ede kKu avare
   pariccaia kamaliṇiṃ ṇīluppala-vaṇāiṃ samāpaḍantā ṇiuṇaaraṃ bādhantā	pariccEa kamaliNim NIluppala-vaNAim samApaxantA NiuNaaram bADantA
   āāsaanti maṃ duṭṭha-mahuarā | (uttarīyeṇa mukhaṃ pidhāya sa-bhayam) halā	AAsaanti mam duwWa--mahuarA | (uttarIyeNa muKam piDAya sa-Bayam) halA
   Indīvarie parittāehi maṃ parittāehi maṃ | ede kkhu duṭṭha-mahuarā	IndIvarie parittAehi mam parittAehi mam | ede kKu duwWa--mahuarA
   paribhavissanti | [(bhramara-bādhaṃ nāṭayantī) hā dhik hā dhik | ete khalv	pariBaviH-santi | [(Bramara--bADam nAwayantI) hA Dik hA Dik | ete Kalu-
