   Ārya Maitreyavyākaraṇaṃ	Ārya MEtreya-vyAkaraNam
   vicitrañca śubhaṃ mālyaṃ vikiriṣyanti te tadā // Mvyā_89 //	vicitraQca SuBam mAlyam vikirizyanti te tadA // MvyAH-_89 //
   chatradhvajapatākabhirarcayiṣyanti mānuṣāḥ /	Catra-Dvaja-patAkaBiH-arcayizyanti mAnuzAH /
   śubhaiśca tūryanirghoṣaiḥ prasannamanaso narāḥ // Mvyā_90 //	SuBEH-ca tUrya-nirGozEH prasanna-manasaH narAH // MvyAH-_90 //
   taṃ ca śakraḥ sahasrākṣo devarājaḥ śacīpatiḥ /	tam ca SakraH sahasrAkzaH devarAjaH SacIpatiH /
   prahṛṣṭaḥ prāñjalirbhūtvā maitreyaṃ stoṣyate jinam // Mvyā_91 //	prahRzwaH prAQjaliH-BUtvA mEtreyam stozyate jinam // MvyAH-_91 //
   namaste puruṣājanya namaste puruṣottama /	namaH-te puruza-ajanya namaH-te puruzottamaH /
   anukampasva janatāṃ bhagavannagrapugdala // Mvyā_92 //	anukampasva janatAm Bagavan=-agra-pugdala // MvyAH-_92 //
   maharddhiko devaputrastasya māro bhaviṣyati /	mahardDikaH deva-putraH-tasya mAraH Bavizyati /
   sa cāpi prāñjalirbhūtvā stoṣyate lokanāyakam // Mvyā_93 //	sa ca-api prAQjaliH-BUtvA stozyate loka-nAyakam // MvyAH-_93 //
   śuddhāvāsa sahasraiśca bahubhiḥ parivāritaḥ /	SudDAvAsa sahasrEH-ca bahuBiH parivAritaH /
   pravekṣyate ca maitreyo lokanātho vināyakaḥ // Mvyā_94 //	pravekzyate ca mEtreyaH lokanATaH vinAyakaH // MvyAH-_94 //
   brāhmaṇaparivāreṇa brahmā cāpi girāsphuṭam /	brAhmaNa-parivAreNa brahmA ca-api girA-sPuwam /
   kathayiṣyati saddharmaṃ brāhmaṃ ghoṣamudīrayan // Mvyā_95 //	kaTayizyati sadDarmam brAhmam Gozam-udIrayan // MvyAH-_95 //
   ākīrṇā pṛthivī sarvā arhadbhiśca bhaviṣyati /	AkIrNA pRTivI sarvAH arhadBiH-ca Bavizyati /
   kṣīṇāśravairvāntadoṣaiḥ prahīṇabhavabandhanaiḥ // Mvyā_96 //	kzINa-ASravEH-vAnta-dozEH prahINa-Bava-banDanEH // MvyAH-_96 //
   hṛṣṭā devamanuṣyāśca gandharvā yakṣarākṣasāḥ /	hRzwAH deva-manuzyAH-ca ganDarvAH yakza-rAkzasAH /
   śāstuḥ pūjāṃ kariṣyanti nāgāścāpi maharddhikāḥ // Mvyā_97 //	SAstuH pUjAm karizyanti nAgAH-ca-api mahardDikAH // MvyAH-_97 //
   te vai nūnaṃ bhaviṣyanti cyānaghācchinnasaṃśayāḥ /	te vE nUnam Bavizyanti cya-anaGAcCinna-saMSayAH /
   utkṣiptaparikhāḥ dhīrā anādānā nirutsakāḥ //	utkzipta-pariKAH DIrAH anAdAnAH nirutsakAH //
   brahmacaryañcariṣyanti maitreyasyānuśāsane // Mvyā_98 //	brahmacaryaQcarizyanti mEtreyasya-anuSAsane // MvyAH-_98 //
   te 'pi nūnaṃ bhaviṣyanti amamā aparigrahāḥ /	te api nUnam Bavizyanti amamAH aparigrahAH /
   ajātarūparajatā aniketā asaṃstavāḥ /	ajAtarUpa-rajatAH aniketAH asaMstavAH /
   brahmacaryañcariṣyanti ye maitreyānuśāsane // Mvyā_99 //	brahmacaryaQcarizyanti ye mEtreya-anuSAsane // MvyAH-_99 //
   te vai pāraṃ gamiṣyanti chitvā jālameva bhujāt /	te vE pAram gamizyanti CitvA jAlam-eva BujAt /
   dhyānāni copasaṃpadya prītisaukhyasamanvitāḥ /	DyAnAni ca-upasaMpadya prIti-sOKya-samanvitAH /
   brahmacaryañcariṣyanti maitreyasyānuśāsane // Mvyā_100 //	brahmacaryaQcarizyanti mEtreyasya-anuSAsane // MvyAH-_100 //
   ṣaṣṭhiṃ varṣa sahasrāṇi maitreyo dvipadottamaḥ /	zazWim varza sahasrANi mEtreyaH dvipada-uttamaH /
   deśayiṣyati saddharmaṃ śāstā lokānukampayā // Mvyā_101 //	deSayizyati sadDarmam SAstA loka-anukampayA // MvyAH-_101 //
   śatāni ca sahasrāṇi prāṇiṇāṃ sa vināyakaḥ /	SatAni ca sahasrANi prANiNAm sa vinAyakaH /
   vinīya dharmakāyena tato nirvāṇameṣyati // Mvyā_102 //	vinIya Darma-kAyena tatas nirvANam-ezyati // MvyAH-_102 //
   tasmiṃśca nirvṛte dhīre maitreye dvipadottame /	tasmin=-ca nirvRte DIre mEtreye dvipada-uttame /
   daśavarṣasahasrāṇi saddharmaṃ sthāsyati kṣitau // Mvyā_103 //	daSa-varza-sahasrANi sadDarmam sTAsyati kzitO // MvyAH-_103 //
   prasādayati cittāni tasmācchākyamunau jine /	prasAdayati cittAni tasmAt-SAkyamunO jine /
   tatodṛkṣatha maitreyaṃ saṃbuddhaṃ dvipadottamam // Mvyā_104 //	tata-udRkzaTa mEtreyam saMbudDam dvipada-uttamam // MvyAH-_104 //
   tasmāddharme ca buddhe ca saṃghe cāpi gaṇottame /	tasmAt-Darme ca budDe ca saMGe ca-api gaNa-uttame /
   prasādayati cittāni bhaviṣyati maharddhikaṃ // Mvyā_105 //	prasAdayati cittAni Bavizyati mahardDikam // MvyAH-_105 //
   taṃ tādṛśaṃ kāruṇikaṃ maitreyaṃ dvipadottamaṃ /	tam tAdRSam kAruNikam mEtreyam dvipada-uttamam /
   ārādhayitvā kālena tato nirvāṇameṣyatha // Mvyā_106 //	ArADayitvA kAlena tatas nirvANam-ezi-aTa // MvyAH-_106 //
   idamāścaryakaṃ śrutvā dṛṣṭvā ca vibhavānalpikāṃ /	idam-AScaryakam SrutvA dRzwvA ca viBava-analpikAm /
   ko vidvānna prasīdeta api kṛṣṇāsu jātiṣu // Mvyā_107 //	kaH vidvAn-na prasIdeta api kRzNAsu jAtizu // MvyAH-_107 //
   tasmādihātmakāmena māhātmayamabhikāṃkṣatāḥ /	tasmAt-iha-Atma-kAmena mAhAtmayam-aBikAMkzatAH /
   saddharmo gurukarttavyaḥ smaratā buddhaśāsanam // Mvyā_108 //	sadDarmaH guru-karttavyaH smaratA budDa-SAsanam // MvyAH-_108 //
   // maitreyavyākaraṇaṃ samāptaṃ //	// mEtreya-vyAkaraNam samAptam //
