   Upāyahṛdayam /	UpAya hRdayam /
   nityo 'nityo vā / yadyanityastadā saṃskāravadvināśadharmā / nitya iti	nityaH anityaH vA / yadi anityaH tadA saMskAra vat vinASa DarmAH / nityaH iti
   cettarhi kathaṃ nirvāṇaspṛhā / etat sampannalakṣaṇam /	ced tarhi kaTam nirvANa spRhA / etat sampanna lakzaNam /
   atha kiṃ nāmādhikam / atrocyate / adhikaṃ trividham, hetvadhikaṃ,	aTa kim nAma aDikam / atra ucyate / aDikam triviDam, hetu aDikaM,
   dṛṣṭāntādhikaṃ, vākyādhikañca / yadi kaścidvadecchabdo 'nityaḥ samyogajaḥ	dRzwAnta aDikaM, vAkya aDikaQca / yadi kaScid vadet SabdaH anityaH samyoga jaH
   / yathā ghaṭaḥ kṛtako 'nityaśca / punarapi vadecchabda ākāśasya guṇaḥ /	/ yaTA GawaH kRtakaH anityaH ca / punar api vadet SabdaH AkASasya guNaH /
   ākāśo 'mūrtaḥ śabdastu rūpadharmā kathamanyonyasamāśrayaḥ /	AkASaH amUrtaH SabdaH tu rUpa DarmA kaTam anyonya samASrayaH /
   etaddhetvadhikam yadyucyate pañcendriyāṇyanityāni pratidhvanivatkṛtakatvāt	etat hetu aDikam yadi ucyate paQca indriyANi anityAni pratiDvani vat kRtaka tvAt 
   / śabdo 'pi tathā / kathaṃ tajjñāyate / oṣṭhamukhādisamudbhavatvāt /	/ SabdaH api taTA / kaTam tat jQAyate / ozWa muKa Adi samudBava tvAt /
   tadṛṣṭāntādhikam / yadyucyate 'ṇuḥ sūkṣma ākāśastu vyāpī / ubhāvapi nityau	tadRzwAnta aDikam / yadi ucyate aNuH sUkzmaH AkASaH tu vyApI / uBO= api nityO
   / śabdastu na tathā tasmādanitya etadṛṣṭāntādhikam / api ca śabdo 'nityaḥ	/ SabdaH tu na taTA tasmAt anityaH etat RzwAnta aDikam / api ca SabdaH anityaH
   sakāraṇatvāt / nitya iti cet, tadayuktam / kasmāt? dvābhyāṃ hetubhyām /	sa kAraNa tvAt / nityaH iti cet, tat ayuktam / kasmAt? dvAByAm hetuByAm /
   murtodbhavatvādaindriyakatvācca / kathaṃ nitya iti yacca samānadharmakaṃ	murta udBava tvAt Endriyaka tvAt ca / kaTam nityaH iti yat ca samAna Darmakam
   tatsarvamanityam / etadvākyādhikamucyate /	tat sarvam anityam / etat vAkya aDikam ucyate /
   atrāha / kīdṛśaṃ vākyaṃ laukikānāṃ pratipādanāya smartham / ucyate / yadi	atra Aha / kIdRSam vAkyam lOkikAnAm pratipAdanAya smarTam / ucyate / yadi
   mūrkhāya gambhīrārtha vadedyathā sarve dharmā śūnyāḥ śāntā nirātmāno	mUrKAya gamBIra arTa vadet yaTA sarve DarmAH SUnyAH SAntA nirAtmAnaH 
   niṣpugdalā māyāvat nirmāṇavattattvarahitā ityādi tadā taṃ gambhīrārthaṃ	nizpugdalA mAyA vat nirmANavat tattva rahitAH ityAdi tadA tam gamBIra arTam
   vidvāneva jñātuṃ śankoti pṛthagjanastu śrutvā bhrāntyāpanno bhavet / (# Uh	vidvAn eva jQAtum Sankoti pRTagjanaH tu SrutvA BrAnti ApannaH Bavet / (# Uh
   12.#) etadaprāptakālam / athocyate / asti dharmāṇāṃ karma, asti viṣākro	12.#) etat aprApta kAlam / aTa ucyate / asti DarmANAm karma, asti vizAkro
   'sti ca bandhamokṣaḍiḥ / yaḥ karoti so 'nubhuṅkta ityalpabuddhayo 'pi	asti ca banDa mokzaxiH / yaH karoti saH anuBuFktaH iti alpabudDayaH api
   śrutvāvagacchanti yathā vedhakāraṇisaṃyogenāgnerūtpattiḥ / yadabhidhīyate	SrutvA avagacCanti yaTA veDakAraNi saMyogena agneru utpattiH / yat aBiDIyate
   tadyadi sattvopayogi bhavet, tadā sarveṣāṃ [tatra] pratītiranumodanañca /	tat yadi sattva upayogi Bavet, tadA sarvezAm [tatra] pratItiH anumodanaQca /
   etat prāptakālam /	etat prApta kAlam /
   atha kiṃ pratipattiḥ / ucyate / abhihitasya bāhulye 'pi smaraṇasāmarthyam,	aTa kim pratipattiH / ucyate / aBihitasya bAhulye api smaraNa sAmarTyam,
   arthānāṃ gāmbhīrye 'pi tallakṣaṇopalabdhiḥ, janaprītikaraśca sādhyasāraḥ /	arTAnAm gAmBIrye api tad lakzaNa upalabDiH, jana prIti karaH ca sADya sAraH /
   yathā kaścidvadet sarve dharmāḥ śūnyā anīśvarāḥ sarvavastūnāṃ	yaTA kaScid vadet sarve DarmAH SUnyAH anISvarAH sarva vastUnAm
   pratītyasamutpannatvāditi pratipattiḥ /	pratItyasamutpanna tvAt iti pratipattiH /
   atha ke vākyadoṣāḥ / atrocyate / pūrvoktaviparītā vākyadoṣāḥ / vākyadoṣāḥ	aTa ke vAkya dozAH / atra ucyate / pUrva ukta viparItAH vAkya dozAH / vAkya dozAH
   punardvividhāḥ / kiñca taddvaividhyam / arthasyābhede punaruktiḥ /	punar dviviDAH / kiQca tat dvEviDyam / arTasya aBede punaruktiH /
   vākyasya cābhede punaruktiriti / kā nāmaikārthapunaruktiḥ / yathā kauśika	vAkyasya ca aBede punaruktiH iti / kA nAma eka arTa punaruktiH / yaTA kOSika
   ityuktvā punarvadeddevendraḥ śakraḥ purandaro veti / iyamucyata	iti uktvA punar vadet deva indraH SakraH purandaraH vA iti / iyam ucyata
   etasyaivārthasya nāmāntarapunaruktiḥ /	etasya eva arTasya nAma antara punaruktiH /
   nāmārthatulyatā yathā / indra ityuktvā punarapīndra iti vadet / iyaṃ	nAma arTa tulya tA yaTA / indraH iti uktvA punar api indraH iti vadet / iyam
   nāmārthābhede punaruktiḥ /	nAma arTa aBede punaruktiH /
   yadalaṅkṛtamasaṅgaṃ voktaṃ sa sarvo vākyadoṣa ityucyate / aparañca	yat alaFkRtam asaFgam vA uktam sa sarvaH vAkya dozaH iti ucyate / aparaQca
   yadyuktisamupetamapyakramam eṣo 'pi vākyadoṣa iti /	yat yukti samupetam api akramam ezaH api vAkya dozaH iti /
   yathā gāthayoktam /	yaTA gATayA uktam /
   yathā kaściddevānāmindrasya śakrasya bhāryāṃ praśaṃmayan suvarṇarūpiṇīm //	yaTA kaScid devAnAm indrasya Sakrasya BAryAm praSaMmayan suvarNa rUpiNIm //
   (# Uh 13.#)	(# Uh 13.#)
   komalapādahastāṃ paścācca śakro devānāmindro 'suratripuravināśīti tu	komala pAda hastAm paScAt ca SakraH devAnAm indraH asura tripura vinASI iti tu
   vadannityakramaṃ vacanamuktam /	vadat nitya kramam vacanam uktam /
   atha katividhaṃ pramāṇam / caturvidhaṃ pramāṇam /	aTa kativiDam pramANam / caturviDam pramANam /
   pratyakṣamanumānamupamānamāgamaśceti / caturṣu pramāṇeṣu pratyakṣa	pratyakzam anumAnam upamAnam AgamaH ca iti / caturzu pramANezu pratyakza
   śreṣṭham / kutaḥ punaḥ pratyakṣaṃ śreṣṭhamiti cedapareṣāṃ trayāṇāṃ	SrezWam / kutas punar pratyakzam SrezWam iti ced aparezAm trayANAm
   pramāṇānāṃ pratyakṣopajīvakatvācchreṣṭham / yathā dṛṣṭe dhūmavatyagnau	pramANAnAm pratyakza upajIvaka tvAt SrezWam / yaTA dRzwe DUmavati agnO
   paścāddhumadarśanādagneranumānam / tasmātpratyakṣaṃ viśiṣyate / yatha ca	paScAt huma darSanAt agneH anumAnam / tasmAt pratyakzam viSizyate / yaTa ca
   marīcidarśanenodakopamānam / tasmātpratyakṣe pūrvaṃ jñāte	marIci darSanena udaka upamAnam / tasmAt pratyakze pUrvam jQAte
   paścādupamānalābhaḥ / .....paścātpratyakṣakāle pūrvajñānaṃ satyam /	paScAt upamAna lABaH / .....paScAt pratyakza kAle pUrva jQAnam satyam /
   tataśca pratyakṣādeva [pramāṇa]trayaṃ jñānamiti jñātam / idānīntu	tatas ca pratyakzAt eva [pramANa] trayam jQAnam iti jQAtam / idAnIntu
   tatpratyakṣaṃ kathaṃ saditi / atrocyate / pañcendriyajñānaṃ kadācinmithyā	tad pratyakzam kaTam sat iti / atra ucyate / paQca indriya jQAnam kadAcid miTyA
   / yattu sādhyavasāyaṃ samyagdharmāvabodhakaṃ tatparamam / grīṣme	/ yat tu sADya vasAyam samyak Darma avaboDakam tat paramam / grIzme
   marīcīnāmalātacakragandharvanagarāṇāṃ ca pratyakṣe 'pi tadasat /	marIcInAm alAta cakra ganDarvanagarANAm ca pratyakze api tat asat /
   aparañca / lakṣaṇāspaṣṭatvāddarśanabhramaḥ / yathā rātrau sthāṇuṃ dṛṣṭvā	aparaQca / lakzaNa aspazwa tvAt darSana BramaH / yaTA rAtrO sTANum dRzwvA
   manuṣya eṣa ityucyate / aṅgulyā cakṣuḥpīḍanācca dvicandradarśanam /	manuzyaH ezaH iti ucyate / aFgulyA cakzuH pIxanAt ca dvi candra darSanam /
   śūnyatājñāne prāpte samyagdṛṣṭirucyate / jñāta pratyakṣaṃ tāvat / atha	SUnyatA jQAne prApte samyak dRzwiH ucyate / jQAta pratyakzam tAvat / aTa
   kimanumānalakṣaṇam / ucyate tatpūrvamuddiṣṭam / adhunā vyākhyāyate /	kim anumAna lakzaNam / ucyate tat pUrvam uddizwam / aDunA vyAKyAyate /
   anumānaṃ trividhaṃ pūrvavat, śeṣavat, sāmānyato [dṛṣṭaṃ] ca / yathā	anumAnam triviDam pUrvavat, Sezavat, sAmAnyatas [dRzwan] ca / yaTA
   ṣaḍaṅguliṃ sapiḍakamūrdhānaṃ bālaṃ dṛṣṭvā paṣcāddhṛddhaṃ bahuśrutaṃ	zaz aFgulim sa pixaka mUrDAnam bAlam dRzwvA pazcAt hRdDam bahu Srutam
   devadattaṃ dṛṣṭvā ṣaḍaṅgulismaraṇāt so 'yamiti pūrvavat /	devadattam dRzwvA zaz aFguli smaraNAt saH ayam iti pUrvavat /
   śeṣavat yathā, sāgarasalilaṃ pītvā tallavaṇarasamanubhūya (# Uh 14.#)	Sezavat yaTA, sAgara salilam pItvA tad lavaNa rasam anuBUya (# Uh 14.#)
   śeṣamapi salilaṃ tulyameva lavaṇamiti / etaccheṣavadanumānam /	Sezam api salilam tulyam eva lavaNam iti / etat Sezavat anumAnam /
   sāmānyato dṛṣṭaṃ yathā / kaścigdacchaṃstaṃ deśaṃ prāpnoti / gagane 'pi	sAmAnyatas dRzwam yaTA / kaScigdacCan= tam deSam prApnoti / gagane api
   sūryācandramasau pūrvasyāṃ diśyuditau paścimāyāñcāstaṃ gatau /	sUryAcandramasO pUrvasyAm diSi uditO paScima AyAQcAH tam gatO /
   tacceṣṭāyāmadṛṣṭāyāmapi tadgamanamanumīyate / etatsāmānyato dṛṣṭam / nanu	tad cezwA AyAm adRzwAyAm api tat gamanam anumIyate / etat sAmAnyatas dRzwam / nanu
   kā śrutiḥ / atrocyate,	kA SrutiH / atra ucyate,
   satyaprācīnavṛddhabuddhabodhisattvadarśanādāryasūtradharmaśravaṇagrahaṇayorjñānadarśanotpādasāmarthyameṣā	satya prAcIna vRdDa budDa boDisattva darSanA t Arya sUtra Darma SravaNa grahaNayoH jQAna darSana utpAda sAmarTyam ezA
   śrutirityucyate / yathā suvaidyako bheṣajakuśalo maitracittena śikṣakaḥ	SrutiH iti ucyate / yaTA su vEdyakaH Bezaja kuSalaH mEtra cittena SikzakaH
   suśruta ityucyate /	suSrutaH iti ucyate /
   evamapi yat kṛtasarvadharmasākṣātkārairmahājñānairāryaiḥ śrutaṃ tat	evam api yat kRta sarva Darma sAkzAtkArEH mahA jQAnEH AryEH Srutam tat 
   suśrutamucyate /	suSrutam ucyate /
   atha kimupamānalakṣaṇam / atrocyate / yathā sarve dharmā śūnyāḥ śāntā	aTa kim upamAna lakzaNam / atra ucyate / yaTA sarve DarmAH SUnyAH SAntA
   māyāvat nirmāṇavat / saṃjñādāntāśvavat, saṃskārāḥ kadalīvat, kāmalakṣaṇaṃ	mAyA vat nirmANa vat / saMjQA dAnta aSvavat, saMskArAH kadalIvat, kAma lakzaNam
   piḍakavat viṣavat / etadupamānamucyate / evaṃ catvāro hetavaḥ /	pixaka vat viza vat / etat upamAnam ucyate / evam catvAraH hetavaH /
   tadavagamanaṃ hetujñānamityuktam /	tad avagamanam hetu jQAnam iti uktam /
   atha ke hetvābhāsāḥ / atrācyate / hetvābhāsā eteṣu vādadharmesu mahādoṣā	aTa ke hetvABAsAH / atra acyate / hetvABAsAH etezu vAda Darmesu mahA dozA
   eva jñeyāḥ / śīghrañcāpahartavyāḥ / athedānīṃ hetvābhāsā vyākhyāsyante /	eva jQeyAH / SIGraQca apahartavyAH / aTa idAnIm hetvABAsAH vyAKyAsyante /
   hetvābhāsānāṃ lakṣaṇānyaparimitāni saṃkṣepatastvaṣṭāveva / vākchalaṃ,	hetvABAsAnAm lakzaNAni aparimitAni saMkzepataH tu azwO= eva / vAc CalaM,
   sāmānyachalaṃ, saṃśayasamaḥ, kālātītaḥ, prakaraṇasamaḥ, varṇyasamaḥ,	sAmAnya CalaM, saMSaya samaH, kAla atItaH, prakaraNa samaH, varNya samaH,
   savyabhicāraḥ, viruddhaḥ /	savyaBicAraH, virudDaH /
   nanvete 'ṣṭau dharmā vistareṇa vivektavyāḥ / ucyate / nava iti caturvidham	nanu ete azwO DarmAH vistareNa vivektavyAH / ucyate / navaH iti caturviDam
   / navaḥ, nava, na vaḥ, nava iti /	/ navaH, nava, na vaH, navaH iti /
   (# Uh 15.#)	(# Uh 15.#)
   yathā kaścidāha / yo maya parihitaḥ sa navakambalaḥ / atra dūṣaṇaṃ (vadet)	yaTA kaScid Aha / yaH maya parihitaH sa nava kambalaH / atra dUzaNam (vadet)
   yadbhavatā parihitaṃ tadekameva vastraṃ kathaṃ naveti / atra	yat BavatA parihitam tat ekam eva vastram kaTam navA iti / atra
   prativedenmayā nava ityuktaṃ tathāca navaḥ kambalaḥ natu naveti / atra	prativedet mayA navaH iti uktam taTA ca navaH kambalaH na tu nava iti / atra
   dūṣayetkathaṃ nava? navalomairnirmitatvānnava ityukte prativādī vadet	dUzayet kaTam nava? nava lomEH nirmita tvAt navaH iti ukte prativAdI vadet 
   tattvato 'parimitāni lomāni kathaṃ navalomānītyucyate /	tattvataH aparimitAni lomAni kaTam nava lomAni iti ucyate /
   atrāha / nava iti mayā pūrvamuktaṃ na tu navasaṃkhyā / atra dūṣaṇam /	atra Aha / navaH iti mayA pUrvam uktam na tu nava saMKyA / atra dUzaNam /
   tadvastraṃ yuṣmākameveti jñātaṃ kasmādetanna vaḥ kathyate / atrottaram /	tat vastram yuzmAkam eva iti jQAtam kasmAt etat na vaH kaTyate / atra uttaram /
   mayā nava ityuktaṃ kintu na va iti noktam / atra dūṣaṇam / bhavataḥ kāyaṃ	mayA navaH iti uktam kintu na vaH iti na uktam / atra dUzaNam / BavataH kAyam
   kambalo vasta iti pratyakṣametat / kathamucyate na vaḥkambalaḥ / ayaṃ	kambalaH vastaH iti pratyakzam etat / kaTam ucyate na vaHkambalaH / ayam
   hetvābhāsa ityucyate vākchalaṃ ca /	hetvABAsaH iti ucyate vAkCalam ca /
   aparañca vākchalam / yathā girirdahyata ityukte, dūṣaṇam /	aparaQca vAkCalam / yaTA giriH dahyate iti ukte, dUzaNam /
   tattvatastṛṇataravo dahyante kathaṃ girirdahyata ityuktam /	tattvataH tRNataravaH dahyante kaTam giriH dahyate iti uktam /
   etadvākchalamityucyate /	etat vAkCalam iti ucyate /
   api ca chalaṃ dvividhaṃ / pūrvavat sāmānyañceti / yathā / saṃskṛtā dharmāḥ	api ca Calam dviviDam / pUrvavat sAmAnyaQca iti / yaTA / saMskRtAH DarmAH
   śrūnyāḥ śāntā ākāśavadityukte, dūṣaṇam / yadyevaṃ, ubhayorapi	SrUnyAH SAntAH AkASa vat iti ukte, dUzaNam / yadi evaM, uBayoH api
   śūnyatvamabhāvaśca, tadā niḥsvabhāvā dharmā ākāśatulyā iti sāmānyachalam /	SUnya tvam aBAvaH ca, tadA niHsvaBAvAH DarmAH AkASa tulyAH iti sAmAnya Calam /
   kā tāvadutpattiriti / atrocyate / sata utpattiriti / yathā mṛdo	kA tAvat utpattiH iti / atra ucyate / sataH utpattiH iti / yaTA mRdaH 
   ghaṭatvattvāddhaṭotpādakatvam / yadi mṛdo ghaṭatvavattvaṃ tadā mṛdeva	Gawa tvat tvAt hawa utpAdaka tvam / yadi mRdaH Gawa tvavat tvam tadA mRdA iva
   ghaṭaḥ syāt / tadā tadutpattaye kṛtaṃ kumbhakārarajjucakrasaṃyogena / yadi	GawaH syAt / tadA tad utpattaye kRtam kumBakAra rajju cakra saMyogena / yadi
   mṛdaḥ sadbhāvena ghaṭotpādakatvaṃ, tadodakasyāpi sadbhāvena	mRdaH sadBAvena Gawa utpAdaka tvaM, tadA udakasya api sadBAvena
   ghaṭotpādakatvaṃ (# Uh 16.#) syāt / yadyudakasya sadbhāvena	Gawa utpAdaka tvam (# Uh 16.#) syAt / yadi udakasya sadBAvena
   ghaṭānutpādakatvaṃ kathaṃ tarhi mṛdo ghaṭotpādakatvam / iti sāmānyachalam	Gawa anutpAdaka tvam kaTam tarhi mRdaH Gawa utpAdaka tvam / iti sAmAnya Calam
   kiṃ nāma saṃśayahetvābhāsalakṣaṇam / ucyate / sthāṇormanuṣyasādṛśyāt,	kim nAma saMSaya hetu ABAsa lakzaNam / ucyate / sTANoH manuzya sAdRSyAt,
   rātrau taṃ dṛṣṭvā, eṣa sthāṇuḥ puruṣo veti vimarśaḥ / ayaṃ	rAtrO tam dRzwvA, eza sTANuH puruzaH vA iti vimarSaH / ayam
   saṃśayahetvābhāsa iti /	saMSaya hetvABAsaH iti /
   kaḥ punaḥ kālātītahetvābhāsaḥ / ucyate / yathā kaścidvadennityaḥ śabdaḥ /	kaH punar kAla atIta hetvABAsaH / ucyate / yaTA kaScid vadet nityaH SabdaH /
   śabdamayatvādvedo 'pi nitya iti / atra dūṣaṇam / idānīṃ bhavatā śabdasya	Sabda maya tvAt vedaH api nityaH iti / atra dUzaNam / idAnIm BavatA Sabdasya
   nityatākāraṇamapratiṣṭhāpya kathaṃ vedo nitya ityucyate /	nitya tA kAraNam apratizWApya kaTam vedaH nityaH iti ucyate /
   atra vadedyathākāśamarūpatvānnityaṃ tathā śabdo 'pyarūpatvānnityaḥ /	atra vadet yaTA AkASam arUpa tvAt nityam taTA SabdaH api arUpa tvAt nityaH /
   tadvacane paścādapyukte so 'rthaḥ sidhyati / atra dūṣaṇaṃ	tad vacane paScAt api ukte saH arTaH siDyati / atra dUzaNam
   kālatītametadvacanam / yathā gṛhe dagdha udākānveṣaṇaṃ bhavatopyevamiti	kAlatItam etat vacanam / yaTA gRhe dagDaH udAka anvezaNam BavatA upi evam iti
   kālātītaḥ /	kAla atItaH /
   atha ko nāma prakaraṇasamaḥ? (ātmanaḥ) śarīra bhinnatvādātmā nityaḥ /	aTa kaH nAma prakaraNa samaH? (a AtmanaH) SarIra Binna tvAt AtmA nityaH /
   yathā (ghaṭasya) ākaśabhinnatvādvaṭo 'nityaḥ / ayaṃ prakaraṇasama	yaTA (Gawasya) AkaSa Binna tvAt vawaH anityaH / ayam prakaraNa sama
   ityucyate /	iti ucyate /
   atra dūṣaṇam / yadyātmā śarīrabhinnatrvānnitya iti, tadā (ghaṭasya)	atra dUzaNam / yadi AtmA SarIraBid natrvAt nityaH iti, tadA (Gawasya)
   ākāśabhinnatvādvaṭo 'nityaḥ / ayam prakaraṇasama ityucyate / atra dūṣaṇam	AkASa Binna tvAt vawaH anityaH / ayam prakaraNa samaH iti ucyate / atra dUzaNam
   / yadyātmā śarīrabhinnatvānnitya iti, tadā (ghaṭasya) śarīrabhinnatvādvaṭo	/ yadi AtmA SarIra Binna tvAt nityaH iti, tadA (Gawasya) SarIra Binna tvAt vawaH 
   'pi nityaḥ syāt śarīrabhinnatve 'pi ghaṭo 'nitya iti cet, tarhyātmāpi	api nityaH syAt SarIra Binna tve api GawaH anityaH iti cet, tarhi AtmA api
   śarīrabhinnatvāt kathaṃ nityaḥ / iti prakaraṇasamaḥ /	SarIra Binna tvAt kaTam nityaH / iti prakaraNa samaH /
   ko nāma varṇyasamaḥ / ucyate / yathā nityamākāśamasparśatvāt /	kaH nAma varNya samaH / ucyate / yaTA nityam AkASam asparSa tvAt /
   manovijñānamapi tathā / ayaṃ varṇyasama ityucyate /	manaH vijQAnam api taTA / ayam varNya samaH iti ucyate /
   kaḥ savyabhicāraḥ / ucyate / yathā pañcaviṣayā anityā (# Uh 17.#)	kaH savyaBicAraH / ucyate / yaTA paQca vizayAH anityAH (# Uh 17.#)
   indriyagrāhyatvāt / catvāri mahābhūtānyapi tathā tasmādanityāni /	indriya grAhya tvAt / catvAri mahABUtAni api taTA tasmAt anityAni /
   atra dūṣaṇam / kūrmaroma lavaṇagandhaśca nirābhāsamātraṃ	atra dUzaNam / kUrma roma lavaNaganDaH ca nirABAsa mAtram
   manovijñānopalabhyatvātkimanityamiti savyabhicāraḥ /	manaH vijQAna upalaBya tvAt kim anityam iti savyaBicAraH /
   atha ko nāma viruddhaḥ / ucyate / viruddho dvividhaḥ / dṛṣṭāntaviruddho	aTa kaH nAma virudDaH / ucyate / virudDaH dviviDaH / dRzwAnta virudDaH 
   yuktiviruddhaśca / yathātmā nityo 'mūrtatvāt, vṛṣabhavat / ayaṃ	yukti virudDaH ca / yaTA AtmA nityaH amUrta tva at, vRzaBa vat / ayam
   dṛṣṭāntaviruddhaḥ /	dRzwAnta virudDaH /
   yuktiviruddho yathā, brāhmaṇasya kṣatrakarmānupālanaṃ mṛgayādiśikṣā ca,	yukti virudDaH yaTA, brAhmaNasya kzatra karma anupAlanam mRgayA Adi SikzA ca,
   kṣatriyasya dhyānasamāpattiriti yuktiviruddhaḥ / evambhūtau dharmāvajñā	kzatriyasya DyAna samApattiH iti yukti virudDaH / evamBUtO Darma avajQA
   abuddhaiva satyaṃ manyante /	abudDA eva satyam manyante /
   nanu kimaviruddham / atrocyate / etadbhinnamaviruddhamityabhidhīyate /	nanu kim avirudDam / atra ucyate / etat Binnam avirudDam iti aBiDIyate /
   iti hetvābhāsāḥ /	iti hetvABAsAH /
   // iti prathamaṃ prakaraṇam //	// iti praTamam prakaraNam //
   (# Uh 18.#)	(# Uh 18.#)
   atha dvitīyaṃ prakaraṇam /	aTa dvitIyam prakaraNam /
   pūrvamaṣṭavidhā vādadharmā uktāḥ / atha nigraha[sthāna]dharmān vakṣyāmaḥ /	pUrvam azwaviDAH vAdaDarmAH uktAH / aTa nigraha[ sTAna] DarmAn vakzyAmaH /
   nanu katame vādadharmāḥ / (atrocyate) yathā catvāri mahābhūtāni	nanu katame vAda DarmAH / (atra ucyate) yaTA catvAri mahABUtAni
   prajñaptireva / kasmāt / rūpādidharmatvādeva / aparaḥ punarāha / catvāri	prajQaptiH eva / kasmAt / rUpa Adi Darma tvAt eva / aparaH punar Aha / catvAri
   mahābhūtāni tattvataḥ santi / kathametajjñātam / kāṭhinyaṃ pṛthivīdharmo	mahABUtAni tattvataH santi / kaTam etat jQAtam / kAWinyam pRTivI DarmaH 
   yāvaccalatvaṃ vāyudharmaḥ / tatsaditi jñeyam / etacca prativiruddham /	yAvat cala tvam vAyu DarmaH / tad sat iti jQeyam / etat ca prativirudDam /
   tasmādvivādaḥ / yathā vā / pṛthivī śarīrakāraṇameva / aparāṇi	tasmAt vivAdaH / yaTA vA / pRTivI SarIra kAraNam eva / aparANi
   mahābhūtānyapi tathā / atra dūṣaṇam / pṛthivyādi	mahABUtAni api taTA / atra dUzaNam / pRTivI Adi
   sarvavastusādhanasamarthaṃ sat, kathaṃ śarīramātraṃ sādhayediti nātra	sarva vastu sADana samarTam sat, kaTam SarIra mAtram sADayet iti na atra
   vivādaḥ / yadyevaṃ na syāttadā vāda ityucyate /	vivAdaH / yadi evam na syAt tadA vAdaH iti ucyate /
   nanu kāni nigrahasthānāni / (atrocyate) yathā śabdo nityo	nanu kAni nigraha sTAnAni / (atra ucyate) yaTA SabdaH nityaH 
   'mūrtatvādākāśavat /	amUrta tvAt AkASa vat /
   atra dūṣaṇam / yadyapi śabdo 'mūrtaḥ / tathāpyaindriyakaḥ, saṃpratighaḥ,	atra dUzaNam / yadi api SabdaH amUrtaH / taTA api EndriyakaH, saMpratiGaH,
   ghaṭavatkṛtakaḥ / api tvākāśe 'kṛtake kathaṃ tadṛṣṭāntalābhaḥ /	Gawa vat kRtakaH / api tu A AkASe akRtake kaTam tadRzwa anta lABaH /
   etannigrahasthānamityucyate /	etat nigraha sTAnam iti ucyate /
   atha ghaṭo mūrta ityanityaḥ śabdasya tvamūrtatvāt kathaṃ tadṛṣṭāntalābhaḥ	aTa GawaH mUrtaH iti anityaH Sabdasya tu amUrta tvAt kaTam tadRzwa anta lABaH
   atra dūṣaṇam / śabdo ghaṭabhinno 'pyaindriyakaḥ śrāvaṇatvāt /	atra dUzaNam / SabdaH Gawa BinnaH api EndriyakaH SrAvaNa tvAt /
   tasmādanityaḥ /	tasmAt anityaH /
   nanu kasyārthasyānigrahasthānatvāpattiḥ / saṃskārā vijñānañca (# Uh 19.#)	nanu kasya arTasya anigraha sTAna tva ApattiH / saMskArAH vijQAnaQca (# Uh 19.#)
   kṛtakatvādanityam / nirvāṇamakṛtakatvānnityam / etadvākyaṃ samyakpadarasam	kRtaka tvAt anityam / nirvANam akRtaka tvAt nityam / etat vAkyam samyak pada rasam
   / etaducyate 'nigrahasthānam /	/ etat ucyate anigraha sTAnam /
   nanu kiṃ vacanaṃ dūṣayitavyam / cuayte / vākyavaiparītyaṃ,	nanu kim vacanam dUzayitavyam / cuayte / vAkya vEparIti aM,
   asaddhetusthāpanaṃ, udāharaṇavaiṣamyañcaitaddūṣayitavyam /	asat hetu sTApanan, udAharaNa vEzamyaQca etat dUzayitavyam /
   yatha saṃjñā saṃyojanocchedikā, ityukte kaścit pṛcchet / kathaṃ saṃjñā	yaTa saMjQA saMyojana ucCedikA, iti ukte kaScid pRcCet / kaTam saMjQA
   samyojanocchedikā / jñānasya saṃjñāta utpādaṃ pūrvamanutkā	samyojana ucCedikA / jQAnasya saMjQAtaH utpAdam pUrvam anutkA
   saṃjñāmātrakathanādvākyavaiparītyamitīdaṃ dūṣaṇīyam /	saMjQA mAtra kaTanAt vAkya vEparIti am iti idam dUzaNIyam /
   nanu kathaṃ punaretadvākyamucyate /	nanu kaTam punar etat vAkyam ucyate /
   asidvasthāpanānnigrahasthānāpattijñāpanārthamuktam /	asidvasTApanAt nigraha sTAna Apatti jQApana arTam uktam /
   aparañca / anuyojyānanuyogaḥ / prativaktavye 'prativaktavyata /	aparaQca / anuyojyAn anuyogaH / prativaktavye aprativaktavyata /
   trirabhihitasya parairavijñātam / trirabhihitasya svayamavijñānam / etāni	tris aBihitasya parEH avijQAtam / tris aBihitasya svayam avijQAnam / etAni
   nigrahasthānāni /	nigraha sTAnAni /
   anyacca / pareṇa vivadamānastadvikalatāṃ nāvagacchati / anyastu vadati /	anyat ca / pareNa vivadamAnaH tad vikala tAm na avagacCati / anyaH tu vadati /
   eṣo 'rthaḥ mithyaiva, kiṃ bhavānnopalabhate tadā nigrahasthānam /	ezaH arTaH miTyA eva, kim BavAn na upalaBate tadA nigraha sTAnam /
   anyacca / parasya samyagarthe doṣasamārope 'pi nigrahasthānam /	anyat ca / parasya samyak arTe doza samArope api nigraha sTAnam /
   anyacca / vādinoktaṃ sarvairvijñātamapyasāveva (prativādī) nāvagacchati	anyat ca / vAdinA uktam sarvEH vijQAtam api asO= eva (prativAdI) na avagacCati
   cettadapi nigrahasthānam / praśno 'pi tadvat / etāni nigrahasthānāni	ced tat api nigraha sTAnam / praSnaH api tadvat / etAni nigraha sTAnAni
