   Govind Kaul: Pradeśasaṃgraha	Govind KOl: PradeSa-saMgraha
   cakraṃ bibharti dhārayati yaḥ sa cakrabhṛt viṣṇuḥ |	cakram biBarti DArayati yaH sa cakraBRt vizNuH |
   atra bhṛdhātor bhṛṃdhātoś ca dhāranārthe samānatvāc cakrabhṛd eva	atra BRDAtoH BRMDAtoH ca DAranA-arTe samAna-tvAt cakraBRt eva
   cakradharaḥ |	cakraDaraH |
   purā kila devodvejakair nānāvidhair daityais tapobalād āptavaronmattair	purA kila deva-udvejakEH nAnAviDEH dEtyEH tapaH-balAt Apta-vara-unmattEH-
   nānopadravakārakaiś cāta eva yā bhūmer bhārayamāṇair yadā sarvaiva pṛthvī	nAnA-upadrava-kArakEH ca-atas eva yA BUmeH BArayamANEH yadA sarvA-eva pRTvI
   durvyavasthabādhitā tadaiva sā devān samāgatya rudantīty uvāca |	durvyavasTa-bADitA tadA-eva sA devAn samAgatya rudanti-iti uvAca |
   he devā ete varadṛptā daityā māṃ sarvathaiva vādhan kiṃ vidhāsyāmi |	he devAH ete vara-dRptAH dEtyAH mAm sarvaTA-eva vA-aDan kim viDAsyAmi |
   kathaṃ vā sthāsyāmi |	kaTam vA sTAsyAmi |
   atha te devās tasyā bhūdevyāḥ karuṇaṃ paridevanaṃ śrutvā tāṃ devīṃ	aTa te devAH tasyAH BUdevyAH karuNam paridevanam SrutvA tAm devIm
   viśvāsādhāyibhir vacanaiḥ parisāntvayitvāsveno 'py udvegaṃ prāptāḥ santo	viSvAsa-ADAyiBiH vacanEH parisAntvayitvA-su-enaH api udvegam prAptAH santaH-
   'titūrṇaṃ sarvajagaccharaṇyaṃ tayā bhūdevyā saha viṣṇuṃ bhagavantaṃ	ati-tUrNam sarva-jagat-SaraNyam tayA BUdevyA saha vizNum Bagavantam
   śaranaṃ samājagmuḥ |	Saranam samAjagmuH |
   tatra prāptvā te devās taṃ prabhum arthyābhir bahvībhiḥ stutibhir īḍayitvā	tatra prAptvA te devAH tam praBum arTyABiH bahvIBiH stutiBiH IxayitvA
   ca svāgamanābhilāṣam iti procuḥ |	ca sva-Agamana-aBilAzam iti procuH |
   he prabho vayaṃ sarve tathaiṣā pṛthvy api duṣṭadaityair bādhitāḥ santo	he praBo vayam sarve taTA-ezA pRTvI api duzwa-dEtyEH bADitAH santaH-
   'tividvalatayādhunā bhavantaṃ bhagavaṃ taṃ śaraṇaṃ prāptāḥ |	ati-vidvala-tayA-aDunA Bavantam Bagavam tam SaraNam prAptAH |
   ato yathā vayam anayā devyā saha nirvṛtiṃ labhema tathā daityahananaṃ	atas yaTA vayam anayA devyA saha nirvRtim laBema taTA dEtya-hananam
   bhavān vidhātum arhati |	BavAn viDAtum arhati |
   atha devābhimataṃ bhagavān samākarṇya tān devāṃs tāṃ bhūdevīṃ cāgrataḥ	aTa deva-aBimatam BagavAn samAkarNya tAn devAn tAm BUdevIm ca-agratas-
   kṛtvā śivasya prasādanārthaṃ śivalokaṃ samājagāma |	kRtvA Sivasya prasAdana-arTam Siva-lokam samAjagAma |
   tatra sa bhagavāṃs taṃ svamūrtim eva śivaṃ tair devais saha stutyādi	tatra sa BagavAn tam sva-mUrtim eva Sivam tEH devEH saha stutyAdi
   yathārhapūjābhiḥ samprasādya svakīyāgamanaprayojanaṃ ca śivāya vinivedya	yaTArha-pUjABiH samprasAdya svakIya-Agamana-prayojanam ca SivAya vinivedya
   tasmād yathāvat santoṣitāt sudarśanākhyaṃ cakraṃ daityasamūhanāśakaṃ	tasmAt yaTAvat santozitAt sudarSana-AKyam cakram dEtya-samUha-nASakam
   tadaiva prāptavān |	tadA-eva prAptavAn |
   tenaiva cakradhareṇa viṣṇunā tadāprabhṛti	tena-eva cakraDareNa vizNunA tadA-praBRti
   sarvatrasthāyidaityahananakarmavidhir ārabdhaḥ |	sarvatra-sTAyi-dEtya-hanana-karma-viDiH ArabDaH |
   ata eva kaśmīrasthadaityahananārthaṃ viṣṇunātra vijayeśvaranikaṭavartini	atas eva kaSmIra-sTa-dEtya-hanana-arTam vizNunA-atra vijaya-ISvara-nikawa-vartini
   pradeśe sthitir āsāditā |	pradeSe sTitiH AsAditA |
   tasyaiva sthānasya pūrvoktacakradharasamāśrayaṇena cakradhara iti nāma	tasya-eva sTAnasya pUrva-ukta-cakra-Dara-samASrayaNena cakraDaraH iti nAma
   sajjātam |	sat-jAtam |
   grāmīṇās tu etarhi tasya cakradharasya cakadhar iti nāma kaśṃīrabhāṣāyāṃ	grAmINAH tu etarhi tasya cakraDarasya cakaDar iti nAma kaSMIra-BAzAyAm
   kathayanti |	kaTayanti |
   tasya ca vijayeśvarasya yannikaṭe ayaṃ cakadhar bhavati tasya vijyabhror	tasya ca vijayeSvarasya yat-nikawe ayam cakaDar Bavati tasya vijya-BroH-
   iti ādhunikaṃ nāmāsti |	iti ADunikam nAma-asti |
   ayaṃ vijyabhror tathāyaṃ cakadhar api dakṣiṇapārśvapuragaṇe yasyādhunā	ayam vijyaBroH taTA-ayam cakaDar api dakziNa-pArSva-pura-gaNe yasya-aDunA
   grāmīṇamatena dacchunporpargaṇa iti nāma bhavati tanmadhya eva vartate |	grAmINa-matena dacCunporpargaNaH iti nAma Bavati tad-maDyaH eva vartate |
   atra lambodarī nāma nadī yasyā adhunā grāmīṇabhāṣāyāṃ lidar iti nāmāsti	atra lambodarI nAma nadI yasyAH aDunA grAmINa-BAzAyAm lidar iti nAma-asti
   tasyā eva nadyā vāmapārśvo dakṣiṇaś ca pārśvo yo 'sti |	tasyAH eva nadyAH vAma-pArSvaH dakziNaH ca pArSvaH yaH asti |
   tāv eva dakṣiṇapārśvavāmapārśvābhidheyau staḥ |	tO eva dakziNa-pArSva-vAma-pArSva-aBiDeyO staH |
   tatra kaśmīrabhāṣayā vāmapārśvasya khourporpargaṇa dakṣiṇapārśvasya ca	tatra kaSmIra-BAzayA vAma-pArSvasya KourporpargaNa dakziNa-pArSvasya ca
   dacchunporpargaṇa iti nāmadvayaṃ bhavati |	dacCunporpargaNaH iti nAma-dvayam Bavati |
   asya cakadharasya samīpe 'nyo grāmo yasya simathan ityabhidhāsti |	asya cakaDarasya samIpe anyaH grAmaH yasya simaTan iti-aBiDA-asti |
   so 'pi vartate atra cakadhar adhunālpaḥ parvata iva dṛśyate |	saH api vartate atra cakaDar aDunA-alpaH parvataH iva dRSyate |
   ayaṃ cakadharākhyaḥ pradeśo vitastānadyā dakṣiṇapārśvasthe taṭe vartate |	ayam cakaDara-AKyaH pradeSaH vitastA-nadyA dakziNa-pArSva-sTe tawe vartate |
   kecid vadanti |	kecid vadanti |
   atra cakadharasyādhastād eko mahāvidhir asti |	atra cakaDarasya-aDastAt ekaH mahA-viDiH asti |
   pūrvasmin kāle ye kecana tena pathā gatāgataṃ kurvāṇā abhūvaṃs te 'vaśyam	pUrvasmin kAle ye kecana tena paTA gatAgatam kurvANAH aBUvan te avaSyam
   eva sarvadaivānusāreṇa prācīnarūpakaniṣkāparaparyāyadīnnārādilābhabhājo	eva sarva-dA-eva-anusAreNa prAcIna-rUpaka-nizkA-para-paryAya-dIt-nAra-Adi-lABa-BAjaH-
   bhavanti sma |	Bavanti sma |
   ādhunike kāle 'pi yaḥ ko 'py atidurgatatamaḥ pumān daityam	ADunike kAle api yaH kaH api ati-durgatatamaH pumAn dEtyam
   āśrityātibhaktyā cakadharam amuṃ pradeśaṃ tam eva cakradharam manyamāno	ASritya-ati-BaktyA cakaDaram amum pradeSam tam eva cakraDaram manyamAnaH-
   dhanāśayā gacchati |	Dana-ASayAH gacCati |
   so 'py avaśyaṃ kim api dhanādikaṃ labhata eva |	saH api avaSyam kim api Dana-Adikam laBate eva |
   ayaṃ pradeśaḥ kaśmīranagarāt pūrvasmin bhāge caturdaśabhiḥ krośair dūre	ayam pradeSaH kaSmIra-nagarAt pUrvasmin BAge caturdaSaBiH kroSEH dUre
   bhavati |	Bavati |
   anantanāgād ye kaśmīranagaraṃ samāgacchanti teṣāṃ tu pūrvam evāyaṃ	ananta-nAgAt ye kaSmIra-nagaram samAgacCanti tezAm tu pUrvam eva-ayam
   pradeśas trīn eva krośān samullaṅghya dṛggocaram āgacchati |	pradeSaH trIn eva kroSAn samullaFGya dRS-gocaram AgacCati |
   vijayeśvarād ayam ekenaiva krośena dūro bhavati |	vijayeSvarAt ayam ekena-eva kroSena dUraH Bavati |
   asya cakradharasya pādabhūmau cirā vṛkṣāḥ kāśmīrikā api santīti śam ||	asya cakraDarasya pAda-BUmO cirAH vRkzAH kASmIrikAH api santi-iti Sam ||
   11. Vijayeśvaraḥ	11. VijayeSvaraH
   ślokasaṃ 38 nambara 11 vijayeśaḥ |	Slokasam 38 nambara 11 vijaya-ISaH |
   viśeṣeṇa sarveṣu devagaṇeṣu jayati sarvotkarṣeṇa vartate yaḥ sa vijayaḥ |	viSezeNa sarvezu deva-gaNezu jayati sarva-utkarzeNa vartate yaH sa vijayaH |
   atha vā vividhān daityādigaṇāñ jayati parābhavati vā yaḥ sa vijayaḥ |	aTa vA viviDAn dEtya-Adi-gaNAn jayati parABavati vA yaH sa vijayaH |
   sa cāsāv īśaḥ īṣṭe aiśvaryaṃ vidadhāti yaḥ sa īśaḥ |	sa ca-asO ISaH Izwe ESvaryam vidaDAti yaH saH ISaH |
   vijaya eva īśaḥ vijayeśaḥ |	vijayaH eva ISaH vijaya-ISaH |
   asmin pradeśe sthitā śivasya mūrtir vijayeśapadavācyā yata īśapadābhidheyā	asmin pradeSe sTitA Sivasya mUrtiH vijaya-ISa-pada-vAcyA yatas ISa-pada-aBiDeyA
   sarvatra śivasyaiva mūrtiḥ paripaṭhyate |	sarvatra Sivasya-eva mUrtiH paripaWyate |
   ayaṃ vijayeśvarākhyaḥ pradeśo 'ticirakālād anenaiva nāmnā	ayam vijayeSvara-AKyaH pradeSaH ati-cira-kAlAt anena-eva nAmnA
   sarvadākhyātatamo 'py anumīyate |	sarvadA-AKyAtatamaH api anumIyate |
   yato 'tra jīrṇoddhārādikarmakartāra eva labhyante |	yatas atra jIrNa-udDAra-Adi-karma-kartAraH eva laByante |
   na tu sākṣāt kartur nāma prāyaśo niścīyate |	na tu sAkzAt kartuH nAma prAyaSas niScIyate |
   yasmāt kalhaṇapaṇḍito 'pi svakīyarājataraṅgiṇīyāḥ	yasmAt kalhaNa-paNxitaH api svakIya-rAja-taraFgiNIyAH
   prathamataraṅgasyaikaśatādhike pañcamaśloke likhatīti |	praTama-taraFgasya-eka-Sata-aDike paQcama-Sloke liKati-iti |
   tathā hi	taTA hi
        jīrṇaṃ śrīvijayeśasya vinivārya sudhāmayam |	jIrNam SrI-vijayeSasya vinivArya suDA-mayam |
        niṣkalmaṣeṇāśmamayaḥ prākāro yena kāritaḥ ||	nizkalmazeNa-aSma-mayaH prAkAraH yena kAritaH ||
   yena rājñā aśokenety arthaḥ |	yena rAjQA aSokena-iti arTaH |
   atra sudhāmayasya prākārasya vinivāraṇakathanena tathāśmamayasya	atra suDA-mayasya prAkArasya vinivAraNa-kaTanena taTA-aSma-mayasya
   prākārasya sampādanakathanenāpi aśokarājaḥ pūrvam apy asya pradeśasya	prAkArasya sampAdana-kaTanena-api aSoka-rAjaH pUrvam api asya pradeSasya
   sadbhāvenātiprācīnatvam evāvagamyate |	sadBAvena-ati-prAcIna-tvam eva-avagamyate |
   pārisekapustakeṣu kecid ayaṃ vijayeśvarākhyaḥ pradeśo rājñā surendreṇa yo	pAriseka-pustakezu kecid ayam vijayeSvara-AKyaH pradeSaH rAjQA sura-indreNa yaH-
   'śokād rājño 'py atipūrvakālīno 'bhūt tenaiva sampādito 'sty iti likhanti	aSokAt rAjQaH api ati-pUrva-kAlInaH aBUt tena-eva sampAditaH asti iti liKanti
   anye tu īśānadevīti khyātayā surendrāśokayo rājñor uttarakālabhāvino bhuvo	anye tu ISAna-devI-iti KyAtayA sura-indra-aSokayoH rAjQoH uttara-kAla-BAvinaH BuvaH-
   bhartur jalaukasya rājñyā nirmito 'stīti kathayanti |	BartuH jalOkasya rAjQyAH nirmitaH asti-iti kaTayanti |
   kecana aśokenaiva rājñā ca pradeśe prathamato nirmāṇaṃ kṛtam iti	kecana aSokena-eva rAjQA ca pradeSe praTamatas nirmANam kRtam iti
   svapustake likhamānā dṛśyante |	sva-pustake liKamAnAH dRSyante |
   paraṃ tu uktamatatrayāt kim api saṃgatatamaṃ samīcīnaṃ vā na bhāti |	param tu ukta-mata-trayAt kim api saMgatatamam samIcInam vA na BAti |
   tatra rājataraṅgiṇyāṃ prathamataraṅgasyaikādhikanavatitamaślokād	tatra rAja-taraFgiNyAm praTama-taraFgasya-eka-aDikanavatitama-SlokAt-
   varṇyamāne surendrasya rājño varṇane sarvasminn api vijayeśvarasya nāmāpi	varNyamAne sura-indrasya rAjQaH varNane sarvasmin api vijayeSvarasya nAma-api
   nāsti |	na-asti |
   ataḥ surendrasampādito 'yam ity apy asaṃyuktam |	atas sura-indra-sampAditaH ayam iti api asaMyuktam |
   ye tu vadanti jalaukarājña īśānadevīti khyātayā rājñyāyaṃ pradeśo nirmita	ye tu vadanti jalOka-rAjQaH ISAna-devI-iti KyAtayA rAjQyAyam pradeSaH nirmita
   iti tatra rājataraṅgiṇyāṃ prathamataraṅgasyaikaśatādhikasaptamaślokād	iti tatra rAja-taraFgiNyAm praTama-taraFgasya-eka-Sata-aDika-saptama-SlokAt-
   varṇyamāne jalaukasya rājñaś caritre tadantargata eva tadrājñyāḥ	varNyamAne jalOkasya rAjQaH caritre tad-antargataH eva tad-rAjQyAH
   pūrvoktāyāś cāritre 'pi kvāpi vijayeśvarakhyātāṃ na labhyate |	pUrva-uktAyAH cAritre api kvApi vijayeSvara-KyAtAm na laByate |
   atas tad apy asaṃgatam eva bhāti |	atas tat api asaMgatam eva BAti |
   ye tu aśokarājānam eva vijayeśvarasampādakam manyamānāḥ svapustakeṣu aśoka	ye tu aSoka-rAjAnam eva vijaya-ISvara-sampAdakam manyamAnAH sva-pustakezu aSoka
   eva vijayeśvarasampādaka ityādi likhanti te sudhāmayajīrṇaprākāraṃ nivārya	eva vijayeSvara-sampAdakaH ityAdi liKanti te suDA-Amaya-jIrNa-prAkAram nivArya
   navīnam aśmamayaprākārasampādanaṃ rājataraṅgiṇīta eva labdhvā tasyaiva	navInam aSma-maya-prAkAra-sampAdanam rAja-taraFgiNItaH eva labDvA tasya-eva
   jīrṇoddhārādikarmaṇaḥ sākṣāt sampādanaṃ jānantas tathā likhanti |	jIrNa-udDAra-Adi-karmaNaH sAkzAt sampAdanam jAnantaH taTA liKanti |
   atas teṣāṃ tad apy avicāritam eva bhāti |	atas tezAm tat api avicAritam eva BAti |
   yataḥ sampādakajīrṇoddhārakartroḥ parasparaṃ mahān bhedo bhavati |	yatas sampAdaka-jIrNa-udDAra-kartroH parasparam mahAn BedaH Bavati |
   vastutas tu rājataraṅgiṇyāḥ prārambhe 'pi vijayeśvarasya nāma sarvathādas	vastutas tu rAja-taraFgiNyAH prAramBe api vijayeSvarasya nAma sarvaTA-Adas
   adṛśyamānaṃ yad bhavaty ato jñāyate kalhaṇapaṇḍitenāpi sākṣād asya	adRSyamAnam yat Bavati atas jQAyate kalhaNa-paNxitena-api sAkzAt asya
   pradeśasya kartā na saṃjñātaḥ yatas tenāpi aśokarājñaḥ pūrvam api	pradeSasya kartA na saMjQAtaH yatas tena-api aSoka-rAjQaH pUrvam api
   varṇyamāne rājavṛnde kāpy eṣā vārtā noktāta evāsyātiprācīnatvaṃ samyaktayā	varNyamAne rAja-vRnde kA-api ezA vArtA na-uktAtaH eva-asya-ati-prAcIna-tvam samyaktayA
   pratibhāti |	pratiBAti |
   atrānantanāgād āgamanamārgopalakṣyamāṇavitastāyā vāmapārśve	atra-ananta-nAgAt Agamana-mArga-upalakzyamANa-vitastAyAH vAma-pArSve
   vijayeśvarābhidham etad evāgāraṃ vartate |	vijayeSvara-aBiDam etat eva-AgAram vartate |
   kathayanti ca vṛddhāḥ |	kaTayanti ca vRdDAH |
   asmin pradeśe mandirādhidhaṃ devatāgāraṃ pāṣāṇanirmitaṃ sadaivābhūd iti |	asmin pradeSe mandira-aDiDam devatA-AgAram pAzANa-nirmitam sadA-eva-aBUt iti |
   paraṃ tv etasmin kāle dṛśyamāṇaṃ pāṣāṇanirmitaṃ yat sthānaṃ pratibhāti tan	param tu etasmin kAle dRSyamANam pAzANa-nirmitam yat sTAnam pratiBAti tat-
   nākaloke sadgatim āptena śrīraṇavīrasiṃharājñā	nAka-loke sat-gatim Aptena SrIraNa-vIra-siMha-rAjQA
   kaśmīrajamvādyanekadeśādhipatinā bahubhir varṣair mahatāyāsenātiprabhūtena	kaSmIra-jamvAdi-aneka-deSa-aDipatinA bahuBiH varzEH mahatA-AyAsena-ati-praBUtena
   yatnenāpi sahasrasaṃkhyākān rūpakān vyayīkṛtya sampāditaṃ bhavati |	yatnena-api sahasra-saMKyAkAn rUpakAn vyayIkRtya sampAditam Bavati |
   asmin mandire 'dhunā śivasya pratimāsti |	asmin mandire aDunA Sivasya pratimA-asti |
   tatpūjādinirvāhāya rājñā eko grāmo 'py agrahāravyapadeśe nātithipūjāyai ca	tad-pUjA-Adi-nirvAhAya rAjQA ekaH grAmaH api agrahAra-vyapadeSe na-atiTi-pUjAyE ca
   sthāpito 'sti |	sTApitaH asti |
   grāmīṇās tu asya mandirasya haricandrakṛtatvam avagacchantaḥ	grAmINAH tu asya mandirasya haricandra-kRta-tvam avagacCantaH
   svakīyakaśmīrabhāṣāyāṃ haricandrājan mandir tathāsya nadītaṭāj jalam	svakIyaka-SmIra-BAzAyAm haricandrAjan mandiH taTA-asya nadI-tawAt jalam
   anvavatīryamāṇasya sopānamārgasya ca haricandrājun yārabal iti nāmanī	anvavatIryamANasya sopAna-mArgasya ca haricandrAjun yAra-bal iti nAmanI
   kathayanti |	kaTayanti |
   tatra prathamanāmno haricandrakṛtaṃ mandiram ity arthaḥ |	tatra praTama-nAmnaH haricandra-kRtam mandiram iti arTaH |
   dvitīyanāmnas tu haricandrasampādito 'yaṃ sopānamārga ity arthaḥ |	dvitIya-nAmnaH tu hari-candra-sampAditaH ayam sopAna-mArgaH iti arTaH |
   yataḥ kaśmīrabhāṣāyāṃ sarveṣāṃ sopānamārgānāṃ yārabalśabdenaiva vyapadeśaḥ	yatas kaSmIra-BAzAyAm sarvezAm sopAna-mArgAnAm yAra-balSabdena-eva vyapadeSaH
   tatra kaśmīrabhāṣāyāṃ yār iti sakhyur nāmāsti |	tatra kaSmIra-BAzAyAm yAH iti saKyuH nAma-asti |
   teṣām eva sakhīnāṃ bal sthānam iti yataḥ kaśmīradeśe prātaḥkāla eva sarve	tezAm eva saKInAm bal sTAnam iti yatas kaSmIra-deSe prAtaHkAlaH eva sarve
   snānāya nadītaṭam āśrayante |	snAnAya nadI-tawam ASrayante |
   ato ye parasparaṃ sakhāyas te tatra saṃgacchante |	atas ye parasparam saKAyaH te tatra saMgacCante |
   etasmād eva kāraṇād asya nadītaṭasya yārabal iti nāma sampannam atra	etasmAt eva kAraNAt asya nadI-tawasya yAra-bat iti nAma sampannam atra
   vijayeśvarād ūrdhvaṃ katicid eva padāni gatvā cinār iti bhāṣāyāṃ prasiddhā	vijaya-ISvarAt UrDvam katicid eva padAni gatvA cinAH iti BAzAyAm prasidDA
   ye śāstrīyabhāṣāyāṃ chāyāvṛkṣapadābhidheyās te bahavo vṛkṣāḥ santi |	ye SAstrIya-BAzAyAm CAyA-vRkza-pada-aBiDeyAH te bahavaH vRkzAH santi |
   tathā vitastāyā vijayeśvarasammukhavartini pāre taṭe 'pi bahava uktavṛkṣā	taTA vitastAyAH vijayeSvara-sammuKa-vartini pAre tawe api bahavaH ukta-vRkzA
   bhavanti |	Bavanti |
   vadanti ca janā etat vṛkṣaṣaṇḍavalitaṃ sthānadvayaṃ prācīnarājña	vadanti ca janAH etat vRkza-zaNxa-valitam sTAna-dvayam prAcIna-rAjQa
   upavanadvayam asti |	upavana-dvayam asti |
   anayor upavanayoḥ pādaśāhy bāg iti grāmīṇoktaṃ nāmāsti |	anayoH upavanayoH pAda-SAhI bAk iti grAmINa-uktam nAma-asti |
   tathāsya pradeśasya tanmatena vijyabhror iti nāma |	taTA-asya pradeSasya tad-matena vijyaBroH iti nAma |
   atra vijayeśvaranikaṭa eva nadyāḥ pārāvāragamanāya ekaḥ prataro 'pi	atra vijaya-ISvara-nikawaH eva nadyAH pArAvAra-gamanAya ekaH prataraH api
   bhavati |	Bavati |
   yasya vijyabhrori kadal iti vadanti |	yasya vijyaBrori kadat iti vadanti |
   atroktopavanabhūmau purācīne rājakṛtanirmāṇasya aikvaṣṭakādikam adyāpi	atra-ukta-upavana-BUmO purAcIne rAja-kRta-nirmANasya Ekvazwaka-Adikam adya-api
   darīdṛśyata iti śam ||	dari-IdRSyate iti Sam ||
   12. Ādikeśavaḥ	12. ĀdikeSavaH
   ślokasaṃ 38 nambara 12 ādikeśavaḥ asya keśavasya niruktiḥ |	Slokasam 38 nambara 12 Adi-keSavaH asya keSavasya niruktiH |
   kaṃ brahmāṇaṃ aṃ viṣṇuṃ īśaṃ śivam api yo vyāpnoti svasminn	kam brahmANam am vizNum ISam Sivam api yaH vyApnoti svasmin=-
   avabhāsakatvena tān avabhāsyamānāc chādayati sa keśavaḥ |	avaBAsaka-tvena tAn avaBAsyamAnAt CAdayati sa keSavaH |
   tathā ca asya sarvasya jagataḥ sṛṣṭyāder ādāv api vartamāno yas sa	taTA ca asya sarvasya jagataH sRzwi-AdeH AdO api vartamAnaH yaH sa
   ādikeśavaḥ |	Adi-keSavaH |
   arthāj jagatsarjanapālanāntakaraṇādikarmakārī |	arTAt jagat-sarjana-pAlana-anta-karaNa-Adi-karma-kArI |
   ādyaḥ sanātanaḥ paramātmā viṣṇur yo 'yaṃ sa evādikeśavapadābhidheyaḥ |	AdyaH sanAtanaH paramAtmA vizNuH yaH ayam saH eva-Adi-keSavapada-aBiDeyaH |
   sarvāsām asmin kaśmīramaṇḍale sthitānāṃ nānāvidhadevamūrtīnāṃ madhyā	sarvAsAm asmin kaSmIra-maNxale sTitAnAm nAnAviDa-deva-mUrtInAm maDyA
   yasmād eṣaiva viṣṇor bhagavato mūrtir atrasthādyā bhavati |	yasmAt ezA-eva vizNoH BagavataH mUrtiH atrasTa-AdyAH Bavati |
   ata evādikeśavapadavācyā sampannā |	atas eva-Adi-keSavapada-vAcyA sampannAH |
   asyaivādikeśavasya sadbhāvenāmuṣya puragaṇasyāpy ādyāvanir iti nāma	asya-eva-Adi-keSavasya sadBAvena-amuzya pura-gaNasya-api Adya-avaniH iti nAma
   saṃlagnam |	saMlagnam |
   tatrādyādau bhavā avanir bhūmir ity arthaḥ |	tatra-Adya-AdO BavAH avaniH BUmiH iti arTaH |
   ādikeśavasya sthityā yata eṣaiva bhūmis sarvābhyo bhūmibhyo	Adi-keSavasya sTityA yatas ezA-eva BUmiH sarvAByaH BUmiByaH-
   'gragaṇyatāthāspadībhūtāta evādyāvanir iti sampannā |	agra-gaNya-tATa-AspadIBUtAtaH eva-adya-avaniH iti sampannAH |
   keṣāṃcin mate tu purāsyā bhuvaḥ satīsarorūpāvasthāyāṃ yadāmbhobhir eva	kezAMcid mate tu purA-asyAH BuvaH satI-saraH-rUpa-avasTAyAm yadA-amBoBiH eva
   sarvataḥ procchaladbhir āvartapuṭabhedādijalavikṛtiśālibhis sadaiva	sarvatas procCaladBiH Avarta-puwa-Beda-Adi-jala-vikRti-SAliBiH sadA-eva
   nadīmātṛkatvadeśaguṇasampattyā saraḥ-paripūrayadbhir evāyaṃ bhāgaḥ	nadI-mAtRka-tva-deSa-guNa-sampattyA saraH-paripUrayadBiH eva-ayam BAgaH
   samākrāṃta āsīt tadā kaśyaparṣitapovibhūtisantuṣṭadevagaṇaprasādena	samAkrAMtaH AsIt tadA kaSyapa-Rzi-tapaH-viBUti-santuzwa-deva-gaNa-prasAdena
   jalasya deśanivasana-maṇḍalasthāpanādyarthaṃ sthalarūpatāsampādanakāle	jalasya deSa-nivasana--maNxala-sTApana-Adi-arTam sTala-rUpatA-sampAdana-kAle
   bhūmitvaprakaṭībhāve 'traivādyāvanau bhūmitvaṃ yadṛggocarībhūtam |	BUmi-tva-prakawIBAve atra-eva-adya-avanO BUmi-tvam yadRggocarIBUtam |
   ata evāsya puragaṇasyādyāvanitvena vyapadeśa ityādy apy asti |	atas eva-asya pura-gaNasya-adya-avani-tvena vyapadeSaH ityAdi api asti |
   tatrādyāvanipadasya ādau bhavād yā sā cāsau bhūmir ādyabhūmir ity arthaḥ |	tatra-Adya-avanipadasya AdO BavAt yA sA ca-asO BUmiH Adya-BUmiH iti arTaH |
   vartate cātrādyāvanipuragaṇe 'nena nāmnākhyāta eko jalāśayaḥ yasya	vartate ca-atra-adya-avanipura-gaNe anena nAmnA-AKyAtaH ekaH jalASayaH yasya
   keśavapadavācyasyākṛtir adhunetthaṃ dṛśyate |	keSava-pada-vAcyasya-AkRtiH aDunA-itTam dRSyate |
   uparitane bhāge vistṛtākṛtis tathādhastane bhāge saṃkocamuktaṃ bhavati |	uparitane BAge vistRta-AkRtiH taTA-aDastane BAge saMkocam-uktam Bavati |
   ayaṃ jalāśayaḥ pūrvavarṇitasandhyādevījalāśaya iva vartulākāro bhavati |	ayam jalASayaH pUrva-varNita-sanDyA-devI-jala-ASayaH iva vartula-AkAraH Bavati |
   grāmīṇās tv etarhy asya grāmasya ghaṭāyam ādikeśavamūrtir jalāśayo vartate	grAmINAH tu etarhi asya grAmasya GawAyam Adi-keSavamUrtiH jalASayaH vartate
   tasya grāmasya phrasal iti nāma bruvāṇā bhavanti |	tasya grAmasya Prasat iti nAma bruvANAH Bavanti |
   punaś cāsya puragaṇasya yatrāyaṃ grāmas tasya puragaṇasya āḍvin iti nāma	punar ca-asya pura-gaNasya yatra-ayam grAmaH tasya pura-gaNasya Axvin iti nAma
   vadanti |	vadanti |
   asya jalāśayasyāpi keśavanāg iti tadbhāṣayā khyātaṃ nāmāsti |	asya jalASayasya-api keSavanAk iti tad-BAzayA KyAtam nAma-asti |
   tatra keśavasyāsyaivādikeśavasya nāg jalāśaya ity arthaḥ |	tatra keSavasya-asya-eva-Adi-keSavasya nAg jalASayaH iti arTaH |
   yataḥ kaśmīradeśe ye ye sarve jalāśayās te te nāgpadābhidheyā eva bhavanti	yatas kaSmIra-deSe ye ye sarve jalASayAH te te nAgpada-aBiDeyAH eva Bavanti
   asya phrasal iti khyātasya grāmasya nikaṭe 'nyo 'pi grāmo bhavati |	asya Prasat iti KyAtasya grAmasya nikawe anyaH api grAmaH Bavati |
   tasya ārvañ iti nāmāsti |	tasya Arvan iti nAma-asti |
   ataḥ kecana grāmīṇāḥ phrasal ārvañ iti samastam api kathayanti nāma |	atas kecana grAmINAH Prasat Arvan iti samastam api kaTayanti nAma |
   asya jalāśayasyāspadībhūta āḍvinpuragaṇo devasarpuragaṇād adhastane	asya jalASayasya-AspadIBUta Axvin-pura-gaNaH deva-sarpura-gaNAt aDastane
   bhūbhāge vartamāno bhavatīti ||	BU-BAge vartamAnaH Bavati-iti ||
   13. Īśānaḥ	13. ĪSAnaH
   ślokasaṃ 38 nambara 13 īśānaḥ |	Slokasam 38 nambaraH 13 ISAnaH |
   sarvasmiñ jagati īṣṭe aiśvaryaṃ yaḥ karoti sa īśānaḥ |	sarvasmin jagati Izwe ESvaryam yaH karoti saH ISAnaH |
   sarvadevagaṇādhipati lokavarti sampacchāli aiśvaryam īhamāno yaḥ śivaḥ	sarva-deva-gaNa-aDipati loka-varti sampacCAli ESvaryam IhamAnaH yaH SivaH
