   Rāṣṭrapālaparipṛcchā	RAzwrapAla-paripRcCA
   akṛtajña śaṭhāśca bhavanti nityamasaṃyatacāriṇa mūḍhāḥ // 82 //	akRtajQa SaWAH-ca Bavanti nityam-asaMyata-cAriNa mUXAH // 82 //
   adhyavasānaparāḥ sada lābhe te kuhaśāṭhyāprayogaratāśca /	aDyavasAna-parAH sada lABe te kuha-SAWyA-prayoga-ratAH-ca /
   kaścidapīha samo mama nāsti vakṣyati śīlaguṇeṣu kathaṃcit // 83 //	kaScid-api-iha samaH mama na-asti vakzyati SIla-guNezu kaTaMcid // 83 //
   te ca parasparameva ca dviṣṭā chidragaveṣaṇanityaprayuktāḥ /	te ca parasparam-eva ca dvizwA Cidra-gavezaNa-nitya-prayuktAH /
   kṛṣikarmavaṇijyaratāśca śravaṇā (śramaṇā) hi sudūrata teṣām // 84 //	kRzi-karma-vaNijya-ratAH-ca SravaNA (SramaNA) hi su-dUrata tezAm // 84 //
   evamasaṃyata paścimakāle bhikṣava śīlaguṇeṣu sudūre /	evam-asaMyata paScima-kAle Bikzava SIla-guNezu sudUre /
   te 'ntara hāpayiṣyanti madharmaṃ (maddharmaṃ ?) bhaṇḍanavigraha	te antara hApayizyanti maDarmam (mad-Darmam ?) BaNxana-vigraha
   īrṣyavaśena // 85 //	Irzya-vaSena // 85 //
   bodhipathādapi nitya sudūre āryadhanādapi te ca sudūre /	boDi-paTAt-api nitya sudUre Arya-DanAt-api te ca sudUre /
   mokṣapathaṃ ca vihāya praṇītaṃ pañcasu te gatiṣu bhamiṣyanti // 86 //	mokza-paTam ca vihAya praNItam paQcasu te gatizu Bamizyanti // 86 //
   catvāra ime rāṣṭrapāla bodhisattvānāṃ bodhiparipanthakārakā dharmāḥ /	catvAraH ime rAzwrapAla boDisattvAnAm boDi-paripanTa-kArakAH DarmAH /
   katame catvāraḥ ? aśraddadhānatā rāṣṭrapāla bodhisattvānāṃ	katame catvAraH ? aSraddaDAna-tA rAzwrapAla boDisattvAnAm
   bodhiparipanthakārako dharmaḥ / kausīdyaṃ rāṣṭrapāla bodhisattvānāṃ	boDi-paripanTa-kArakaH DarmaH / kOsIdyam rAzwrapAla boDisattvAnAm
   bodhiparipanthakārako dharmaḥ / māno rāṣṭrapāla bodhisattvānāṃ	boDi-paripanTa-kArakaH DarmaH / mAnaH rAzwrapAla boDisattvAnAm
   bodhiparipanthakārako dharmaḥ / parapūjerṣyāmātsaryacittaṃ rāṣṭrapāla	boDi-paripanTa-kArakaH DarmaH / para-pUjA-IrzyA-mAtsarya-cittam rAzwrapAla
   bodhisattvānāṃ bodhiparipanthakārako dharmaḥ / ime rāṣṭrapāla	boDisattvAnAm boDi-paripanTa-kArakaH DarmaH / ime rAzwrapAla
   bodhisattvānāṃ catvāro bodhiparipanthakārakā dharmāḥ //	boDisattvAnAm catvAraH boDi-paripanTa-kArakAH DarmAH //
   atha khalu bhagavāṃstasyāṃ velāyāmimā gāthā abhāṣata -	aTa Kalu BagavAn=-tasyAm velAyAm-imAH gATAH aBAzata -
   aśraddhāḥ kusīdāḥ sada mūḍhacittā abhimāninaste 'pi sadā ca krodhanā /	aSradDAH kusIdAH sada mUXa-cittAH aBimAninaH-te api sadA ca kroDanA /
   kṣamiṇaśca dṛṣṭvā sada bhikṣu yuktaṃ dāsyanti daṇḍaṃ vrajato vihārāt // 87	kzamiNaH-ca dRzwvA sada Bikzu yuktam dAsyanti daNxam vrajataH vihArAt // 87
   parasya pūjārthamiherṣya jātā avasthānu cittasya ca teṣu nāsti /	parasya pUjA-arTam-iha-Irzya jAtAH avasTA-anu cittasya ca tezu na-asti /
   (Vaidya, RP 131)	(VEdya, RS 131)
   avatāraprekṣī skhalitāṃ gaveṣī ko 'syāparādho 'stiha codayiṣye // 88 //	avatAra-prekzI sKalitAm gavezI kaH asya-aparADaH astiha codayizye // 88 //
   dūre itaste mama śāsanasya guṇadveṣiṇaste hi apāyanimnāḥ /	dUre itas-te mama SAsanasya guNa-dveziNaH-te hi apAya-nimnAH /
   tyaktvā jinasyāpi ca śāsanaṃ te yāsyantyapāyaṃ jvalitaṃ pracaṇḍam // 89 //	tyaktvA jinasya-api ca SAsanam te yAsyanti-apAyam jvalitam pracaNxam // 89 //
   śrutvā ca teṣāmiha pāpacaryām adharmayuktāṃ ca gatiṃ sudāruṇām /	SrutvA ca tezAm-iha pApa-caryAm aDarma-yuktAm ca gatim su-dAruNAm /
   yujyadhva nityaṃ sada bodhimārge mā tapsyathā durgatiṣūpapannāḥ // 90 //	yujyaDva nityam sada boDi-mArge mA tapsyaTAH durgatizu-upapannAH // 90 //
   bahukalpakoṭībhi kadāci buddho utpadyate lokahito maharṣiḥ /	bahu-kalpa-kowIBi kadAci budDaH utpadyate loka-hitaH mahA-RziH /
   labdho 'dhunā sa pravaraḥ kṣaṇo 'dya tyaja pramādaṃ yadi mokṣakāmaḥ // 91	labDaH aDunA sa pravaraH kzaNaH adya tyaja pramAdam yadi mokza-kAmaH // 91
   catvāra ime rāṣṭrapāla pudgalā bodhisattvena na sevitavyāḥ / katame	catvAraH ime rAzwrapAla pudgalAH boDisattvena na sevitavyAH / katame
   catvāraḥ ? pāpamitraṃ rāṣṭrapāla pudgalo bodhisattvena na sevitavyaḥ /	catvAraH ? pApa-mitram rAzwrapAla pudgalaH boDisattvena na sevitavyaH /
   upalambhadṛṣṭiko rāṣṭrapāla pudgalo bodhisattvena na sevitavyaḥ /	upalamBa-dRzwikaH rAzwrapAla pudgalaH boDisattvena na sevitavyaH /
   saddharmapratikṣepakaḥ pudgalo rāṣṭrapāla bodhisattvena na sevitavyaḥ /	sadDarma-pratikzepakaH pudgalaH rAzwrapAla boDisattvena na sevitavyaH /
   āmiṣalolupaḥ pudgalo rāṣṭrapāla bodhisattvena na sevitavyaḥ / ime	Amiza-lolupaH pudgalaH rAzwrapAla boDisattvena na sevitavyaH / ime
   rāṣṭrapāla catvāraḥ pudgalā bodhisattvena na sevitavyāḥ //	rAzwrapAla catvAraH pudgalAH boDisattvena na sevitavyAH //
   atha khalu bhagavāṃstasyāṃ velāyāmimā gāthā abhāṣata -	aTa Kalu BagavAn=-tasyAm velAyAm-imAH gATAH aBAzata -
   ye pāpamitrāṇi vivarjayanti kalpāṇamitrāṇi sadā bhajanti /	ye pApa-mitrANi vivarjayanti kalpANa-mitrANi sadA Bajanti /
   vardhanti te bodhipatheṣu nityaṃ yatha śuklapakṣe divi candramaṇḍalam //	varDanti te boDi-paTezu nityam yaTa Sukla-pakze divi candra-maNxalam //
   upalambhadṛṣṭyāṃ ca sadā niviṣṭā ātme niviṣṭāstatha jīvapoṣe /	upalamBa-dRzwyAm ca sadA nivizwAH Atme nivizwAH-taTa jIva-poze /
   viṣakumbhavatte sada varjayanti ye buddhajñānena bhavanti arthikāḥ // 93	viza-kumBa-vat-te sadaH varjayanti ye budDa-jQAnena Bavanti arTikAH // 93
   kṣipanti ye dharma narottamānāṃ śāntaṃ virāgamamṛtānukūlam /	kzipanti ye Darma nara-uttamAnAm SAntam virAgam-amRta-anukUlam /
   tān varjayenmīḍhaghaṭāṃ yathaiva ya icchate budhyitumagrabodhim // 94 //	tAn varjayet-mIXa-GawAm yaTA-eva yaH icCate buDyitum-agra-boDim // 94 //
   adhyoṣitā āmiṣa pātracīvare kulasaṃstave caiva sadābhiyuktāḥ /	aDyozitAH Amiza pAtra-cIvare kula-saMstave ca-eva sadA-aBiyuktAH /
   kurvīta sārdhaṃ na hi teṣu saṃstavaṃ tān varjayedagnikhadhāṃ (khadāṃ)	kurvIta sArDam na hi tezu saMstavam tAn varjayet-agni-KaDAm (KadAM)
   yathaiva // 95 //	yaTA-eva // 95 //
   yasyepsitaṃ dharṣayituṃ hi māraṃ pravartituṃ cakravaraṃ hyanuttaram /	yasya-Ipsitam Darzayitum hi mAram pravartitum cakravaram hi-anuttaram /
   sattvārthamevaṃ vipulaṃ ca kartuṃ varjyāśca tenāpi ca pāpamitrāḥ // 96 //	sattva-arTam-evam vipulam ca kartum varjyAH-ca tena-api ca pApa-mitrAH // 96 //
   vivarjayitvā ca priyāpriyāṇi lābhaṃ yaśo bhaṇḍanamānamīrṣyām /	vivarjayitvA ca priya-apriyANi lABam yaSaH BaNxana-mAnam-IrzyAm /
   eṣeta nityaṃ sada buddhajñānaṃ ya icchate budhyitumagrabodhim // 97 //	ezeta nityam sada budDa-jQAnam yaH icCate buDyitum-agra-boDim // 97 //
   (Vaidya, RP 132)	(VEdya, RS 132)
   catvāra ime rāṣṭrapāla bodhisattvānāṃ duḥkhavipākā dharmāḥ / katame	catvAraH ime rAzwrapAla boDisattvAnAm duHKa-vipAkAH DarmAH / katame
   catvāraḥ ? jñānenābhimanyanatā rāṣṭrapāla bodhisattvānāṃ duḥkhavipāko	catvAraH ? jQAnena-aBimanyanatA rAzwrapAla boDisattvAnAm duHKa-vipAkaH-
   dharmaḥ / īrṣyāmātsaryacittaṃ rāṣṭrapāla bodhisattvānāṃ duḥkhavipāko	DarmaH / IrzyA-mAtsarya-cittam rAzwrapAla boDisattvAnAm duHKa-vipAkaH-
   dharmāḥ / anadhimuktī rāṣṭrapāla bodhisattvānāṃ duḥkhavipāko dharmaḥ /	DarmAH / anaDimuktiH rAzwrapAla boDisattvAnAm duHKa-vipAkaH DarmaH /
   apariśuddhajñānakṣāntisaṃbhogaparyeṣṭī rāṣṭrapāla bodhisattvānāṃ	apariSudDa-jQAna-kzAnti-saMBoga-paryezwI rAzwrapAla boDisattvAnAm
   duḥkhavipāko dharmaḥ / ime rāṣṭrapāla bodhisattvānāṃ duḥkhavipākā dharmāḥ	duHKa-vipAkaH DarmaH / ime rAzwrapAla boDisattvAnAm duHKa-vipAkAH DarmAH
   atha khalu bhagavāṃstasyāṃ velāyāmimā gāthā abhāṣata -	aTa Kalu BagavAn=-tasyAm velAyAm-imAH gATAH aBAzata -
   dharmadharā bhuvi ye tu bhavanti pūjita sarvajageṣu bhavanti /	Darma-DarAH Buvi ye tu Bavanti pUjita sarva-jagezu Bavanti /
   avamanyati tāni ājñaḥ (?) tena sa vindati duḥkhamanantam // 98 //	avamanyati tAni AjQaH (?) tena sa vindati duHKam-anantam // 98 //
   viṣameṇa sa deśati bhogen chandaruciḥ sada jñāni aśuddhe /	vizameNa sa deSati Boget CandaruciH sada jQAni aSudDe /
   mānonnata yaśca hi nityaṃ namate guruāryajaneṣu // 99 //	mAna-unnata yaH-ca hi nityam namate guru-Arya-janezu // 99 //
   adhimukti na vidyati buddhe dharmagaṇe ca na tasyadhimuktiḥ /	aDimukti na vidyati budDe Darma-gaNe ca na tasyaDimuktiH /
   śikṣa dhuteṣu na tasyadhimuktiḥ pāpamatestrirapāyamukhasya // 100 //	Sikza Dutezu na tasyaDimuktiH pApa-mateH-tris-apAya-muKasya // 100 //
   sa itaścyuto hi manujeṣu karmavaśādabudho hi vimūḍhaḥ /	saH itas-cyutaH hi manujezu karma-vaSAt-abuDaH hi vimUXaH /
   narakeṣvatha tiryaggatiṣu pretagatiṣu ca vandati duḥkham / 101 //	narakezu-aTa tiryak-gatizu preta-gatizu ca vandati duHKam / 101 //
   yasya matirbhuvi lokapradīpo duḥkhakṣayāntakaro naravīraḥ /	yasya matiH-Buvi loka-pradIpaH duHKa-kzaya-anta-karaH nara-vIraH /
   tena apāyapathaṃ pravihāya bodhipathaḥ satataṃ hi niṣevyaḥ // 102 //	tena apAya-paTam pravihAya boDi-paTaH satatam hi nizevyaH // 102 //
   catvārīmāni rāṣṭrapāla bodhisattvānāṃ bandhanāni / katamāni catvāri ?	catvAri-imAni rAzwrapAla boDisattvAnAm banDanAni / katamAni catvAri ?
   parāvamanyanatā bodhisattvānāṃ bandhanam / laukikenopāyena	para-avamanyanatA boDisattvAnAm banDanam / lOkikena-upAyena
   bhāvanatāprayoganimittasaṃjñā bodhisattvānāṃ bandhanam / anigṛhītacittasya	BAvanatA-prayoga-nimitta-saMjQA boDisattvAnAm banDanam / anigRhIta-cittasya
   jñānavirahitasya pramādasevanatā rāṣṭrapāla bodhisattvasya bandhanam /	jQAna-virahitasya pramAda-sevana-tA rAzwrapAla boDisattvasya banDanam /
   pratibaddhacittasya kulasaṃstavo rāṣṭrapāla bodhisattvasya bandhanam /	pratibadDa-cittasya kula-saMstavaH rAzwrapAla boDisattvasya banDanam /
   imāni rāṣṭrapāla bodhisattvānāṃ catvāri bandhanāni //	imAni rAzwrapAla boDisattvAnAm catvAri banDanAni //
   atha khalu bhagavaṃstasyāṃ velāyāmimā gāthā abhāṣata -	aTa Kalu Bagavan=-tasyAm velAyAm-imAH gATAH aBAzata -
   avamanyati nitya parasya bhāvayate sada laukikadhyānam /	avamanyati nitya parasya BAvayate sada lOkika-DyAnam /
   badhyati tebhi sa dṛṣṭiśatebhiḥ paṅki gajo yatha durbalakāyaḥ // 103 //	baDyati teBi sa dRzwi-SateBiH paFki gajaH yaTa durbala-kAyaH // 103 //
   kulasaṃstavabandhanayukto yastu pramatta sadā grahacittaḥ /	kula-saMstava-banDana-yuktaH yaH-tu pramatta sadA graha-cittaH /
   jñānavivarjita mūḍhamatiśca badhyati ebhi ayuktacarībhiḥ // 104 //	jQAna-vivarjita mUXa-matiH-ca baDyati eBi ayukta-carIBiH // 104 //
   yo hyata icchati duḥkhabhayebhyo jātijarāmaraṇādivimokṣam /	yaH hi-atas icCati duHKa-BayeByaH jAti-jarA-maraNa-Adi-vimokzam /
   so avamanyana manyana tyaktvā yujyati bodhipathe satataṃ ca // 105 //	saH avamanyana manyana tyaktvA yujyati boDi-paTe satatam ca // 105 //
   duḥkhamananta sahitvamaśeṣaṃ sarvasukhādanapekṣi bhavitvā /	duHKam-ananta sahi-tvam-aSezam sarva-suKAt-ana-pekzi BavitvA /
   tyaktva priyāpriyajñātramaśeṣaṃ buddha bhavanti vikalmaṣa dhīrāḥ // 106 //	tyaktva priya-apriya-jQAtram-aSezam budDa Bavanti vikalmaza DIrAH // 106 //
   ṣaṭsu prayujyata bhūmiguṇeṣu balendriyajñāne /	zawsu prayujyata BUmi-guNezu bala-indriya-jQAne /
   sarvaguṇaiśca sadā samupetā buddha bhavejjarapañjaramuktaḥ // 107 //	sarva-guNEH-ca sadA samupetAH budDa Bavet-jara-paQjara-muktaH // 107 //
   (Vaidya, RP 133)	(VEdya, RS 133)
   kalpa acintiya pūrva carantaḥ sattvahitāya caran varabodhau /	kalpaH acintiya pUrva carantaH sattva-hitAya caran vara-boDO /
   dānadame niyame 'pi ca nityaṃ susthita āsi tyajitva ca jñātīn // 108 //	dAna-dame niyame api ca nityam susTitaH Asi tyajitva ca jQAtIn // 108 //
   prāntavane sada nitya rato 'haṃ śoṣita āśrayu bodhinidānam /	prAnta-vane sada nitya rataH aham SozitaH ASrayu boDinidAnam /
   na ca saṃsṛtu vīryaṃ kadācideṣata jñāna mahāpuruṣāṇām // 109 //	na ca saMsRtu vIryam kadAcid-ezata jQAna mahApuruzANAm // 109 //
   bhavacārake jagati dṛṣṭvā pañcagatibhramabhrāmita sattvān /	Bava-cArake jagati dRzwvA paQcagatiBrama-BrAmita sattvAn /
   kṛtva kṛpāṃ vipulāmiha pūrve ārjita bodhi balājjagadarthe // 110 //	kRtva kRpAm vipulAm-iha pUrve Arjita boDi balAt-jagat-arTe // 110 //
   duhitṛsvasutāḥ priyabhāryāḥ tyakta purā dhanadhānya prabhūtāḥ /	duhitR-sva-sutAH priya-BAryAH tyakta purA Dana-DAnya praBUtAH /
   jīvita iṣṭa mahī susamṛddhā eṣata bodhivarāṃ bahukalpān // 111 //	jIvitaH izwa mahI su-samRdDAH ezata boDi-varAm bahu-kalpAn // 111 //
   phalapuṣpajalāḍhya suramya āsi vane muni kṣāntirato 'ham /	Pala-puzpa-jala-AXya su-ramya Asi vane muni kzAntiH-atas aham /
   chinna karau caraṇau kalirājñā naiva mano 'pi tadā mama duṣṭam // 112 //	Cinna karO caraNO kali-rAjQA na-eva manaH api tadA mama duzwam // 112 //
   vanakandari śyāmaku nāma āsi munirbharato gurujīrṇo /	vanakandari SyAmaku nAma Asi muniH-BarataH guru-jIrNaH /
   dṛḍhabāṇahatena nṛpeṇa naiva manaṃ paridūṣitamāsīt // 113 //	dRXa-bANa-hatena nRpeNa na-eva manam paridUzitam-AsIt // 113 //
   śailataṭādanapekṣya śarīraṃ protsṛjataśca subhāṣitahetoḥ /	SEla-tawAt-anapekzya SarIram protsRjataH-ca su-BAzita-hetoH /
   kāye na ca me na ca jīve bodhinimittamavekṣya babhūva // 114 //	kAye na ca me na ca jIve boDi-nimittam-avekzya baBUva // 114 //
   vyāghrisutānapi jīvitahetostyajya tanuṃ paritarpita vyāghrī /	vyAGri-sutAn-api jIvita-hetoH-tyajya tanum paritarpita vyAGrI /
   gagane 'bhyanadan surasaṃghāḥ sādhu mahāpuruṣa sthiravīrya // 115 //	gagane aByanadan sura-saMGAH sADu mahApuruza sTira-vIryaH // 115 //
   atidānarataśca yadāsīt māṇava pūrvabhaveṣu caraṃśca /	atidAna-rataH-ca yadA-AsIt mANava pUrva-Bavezu caran=-ca /
   śoṣitu ratnanidāna samudraḥ prāpya maṇiṃ sukhitāḥ kṛta sattvāḥ // 116 //	Sozitu ratna-nidAna samudraH prApya maNim suKitAH kRta sattvAH // 116 //
   sutasoma mahīpatirāsīt viśrutakīrti caraṃśca yadāham /	sutasoma mahIpatiH-AsIt viSruta-kIrti caran=-ca yadA-aham /
   vadhyagataṃ kṛtakṛtyanayairme rājaśataṃ parimocitamāśu // 117 //	vaDya-gatam kRtakRtya-nayEH-me rAja-Satam parimocitam-ASu // 117 //
   duḥkhita vīkṣya naraṃ ca daridraṃ tyakta mayā priyameva śarīram /	duHKita vIkzya naram ca daridram tyakta mayA priyam-eva SarIram /
   prāpya dhanaṃ sa kṛtaśca mayāḍhyaḥ sarvadadena nṛpeṇa satā me // 118 //	prApya Danam sa kRtaH-ca mayA-AXyaH sarva-dadena nRpeNa satA me // 118 //
   śaraṇāgata vīkṣya kapotaṃ svaṃ piśitaṃ vinikṛtya śarīrāt /	SaraNa-Agata vIkzya kapotam svam piSitam vinikRtya SarIrAt /
   dattamapi svatanurna bhayārtastyakta ihāpi nṛpeṇa satā me // 119 //	dattam-api sva-tanuH-na Baya-ArtaH-tyaktaH iha-api nRpeNa satA me // 119 //
   kṛtsnamupārjitamāpya bhiṣagbhirbhaiṣajamapratimaṃ mama pūrvam /	kRtsnam-upArjitam-Apya BizagBiH-BEzajam-apratimam mama pUrvam /
   jīvita tyajya parasya dadau taṃ kesarirāja babhūva yadāham // 120 //	jIvita tyajya parasya dadO tam kesari-rAja baBUva yadA-aham // 120 //
   (Vaidya, RP 134)	(VEdya, RS 134)
   caratā ca purā jagadarthe madri pativrata tyakta saputrā /	caratA ca purA jagat-arTe madri pativrata tyakta sa-putrA /
   duhitāpyanapekṣyadasaṃgha āsi nṛpātmajo yada sudaṃṣṭraḥ // 121 //	duhitA-api-anapekzya-t-a-saMGe Asi nRpa-AtmajaH yada su-daMzwraH // 121 //
   varṣasahasra mayā paripūrṇā marṣita duṣkarāścaturaśīti /	varza-sahasra mayA paripUrNAH marzita duzkarAH-caturaSIti /
   uttaptavīryu yada āsīt arthadhanaśriyo 'pi ca purā me // 122 //	uttapta-vIryu yadaH AsIt arTa-Dana-SriyaH api ca purA me // 122 //
   jinadhātustūpapurato me jvalita āśrayaḥ paramabhaktyā /	jinaDAtuH-tu-upapuratas me jvalitaH ASrayaH parama-BaktyA /
   pūjā kṛtā daśabalānām āsi nṛpātmaji vimalatejāḥ // 123 //	pUjA kRtA daSa-balAnAm Asi nRpa-Atmaji vimala-tejAH // 123 //
   raudrākṣa eva ca ruṣitvā yācitavān sa cāpi mama śīrṣam /	rOdrAkzaH eva ca ruzitvA yAcitavAn sa ca-api mama SIrzam /
   dattaṃ nikṛtya ca mayā tad rāja yadā ca candraprabha āsīt // 124 //	dattam nikRtya ca mayA tat rAja yadA ca candrapraBaH AsIt // 124 //
   sarvatra grāmanagareṣu vīthimukheṣu bhaiṣajamudāram /	sarvatra grAma-nagarezu vITi-muKezu BEzajam-udAram /
   sattvārtha sthāpit mayā te puṇyasamo babhūva ca yadāham // 125 //	sattva-arTa sTApit mayA te puNya-samaH baBUva ca yadA-aham // 125 //
   srīṇām sahasramabhirūpāḥ kāñcanamuktibhūṣitaśarīrāḥ /	srINAm sahasram-aBirUpAH kAQcana-mukti-BUzita-SarIrAH /
   tyaktāṃ pūrvabhaveṣu caratā me āsi yadā śubho nṛpati pūrve // 126 //	tyaktAm pUrva-Bavezu caratA me Asi yadA SuBaH nRpati pUrve // 126 //
   puṣpairvarairapi ca gandhaiḥ kāñcanamuktikāpravara śrīmān /	puzpEH-varEH-api ca ganDEH kAQcana-muktikA-pravara SrImAn /
   tyaktaśca me makuṭa pūrva āsi nṛpo yadā ratanacūḍaḥ // 127 //	tyaktaH-ca me makuwa pUrvaH Asi nRpaH yadA ratana-cUxaH // 127 //
   mṛdutūlapicūpamasūkṣmau komalapadmapatrasukumārau /	mRdu-tUla-picUpam-asUkzmO komala-padma-patra-su-kumArO /
   tyaktau karau sacaraṇau me pūrva nṛpeṇa dhṛtimatā ca // 128 //	tyaktO karO sa-caraNO me pUrva nRpeNa DRtimatA ca // 128 //
   vinigṛhya rākṣasiśatāni nirghṛṇadāruṇaprabalacaṇḍā /	vinigRhya rAkzasi-SatAni nirGRNa-dAruNa-prabala-caNxAH /
   kṛta mānuṣā badaradvīpe siṃhala sārthavāha yada āsīt // 129 //	kRta mAnuzAH badaradvIpe siMhala sArTavAha yadaH AsIt // 129 //
   kāmeṣu mṛrcchitamanā me bāli sa rākṣasī pramadasaṃjñā /	kAmezu mRrcSita-manAH me bAli sa rAkzasI pramada-saMjQA /
   pañcaśatāni vaṇijānāṃ mokṣita te yadā bhave sunetraḥ // 130 //	paQca-SatAni vaNijAnAm mokzita te yadA Bave sunetraH // 130 //
   catvāri koṭi pramadānām apsaratulyarūpiṇāṃ vihāya /	catvAri kowi pramadAnAm apsara-tulya-rUpiNAm vihAya /
   pravrajya nirgatu jinasya śāsane puṇyaraśmi yada āsīt // 131 //	pravrajya nirgatu jinasya SAsane puNya-raSmi yadaH AsIt // 131 //
   mayi tyaktamaṅguli udārā sattvahitārthameva caratā me /	mayi tyaktam-aFguli udArA sattva-hita-arTam-eva caratA me /
   jālārcitā vimalaśuddhā kāñcanavarṇa pārthiva yada āsīt // 132 //	jAla-arcitA vimala-SudDA kAQcana-varNa pArTiva yadaH AsIt // 132 //
   śubha nīlapadmasamavarṇā netra manoramā hṛdayakāntā /	SuBa nIla-padma-sama-varNA netra manoramA hRdaya-kAntAH /
   tyaktā mayā ca jagadarthe utpalanetre pārthiva yadāsīt // 133 //	tyaktA mayA ca jagat-arTe utpala-netre pArTiva yadA-AsIt // 133 //
   priyaviprayogahata dṛṣṭvā strī ca pranaṣṭarūpamativeṣā /	priya-viprayoga-hata dRzwvA strI ca pranazwa-rUpam-ativezAH /
   parimocitā karuṇayā me keśava vaidyarāja yada āsīt // 134 //	parimocitA karuNayA me keSava vEdya-rAja yadaH AsIt // 134 //
   vyādhyāturaṃ ca naramīkṣya svaṃ rudhiraṃ pradattamapi me 'bhūt /	vyADi-Aturam ca naram-Ikzya svam ruDiram pradattam-api me aBUt /
   nirvyādhitaḥ sa ca kṛto me prāgbhava sarvadarśi yadabhūvam // 135 //	nirvyADitaH sa ca kRtaH me prAk-Bava sarva-darSi yat-aBUvam // 135 //
   (Vaidya, RP 135)	(VEdya, RS 135)
   hitvā svamasthi ca śarīrād vyādhikṛśasya majja mayā dattam /	hitvA svam-asTi ca SarIrAt vyADi-kRSasya majja mayA dattam /
   na ca sattva tyakta maya jātu āsi nṛpo yadā kusuma nāma // 136 //	na ca sattva tyakta maya jAtu Asi nRpaH yadA kusuma nAma // 136 //
   sarvasvakośamapi tyaktva jīvita tyakta me priya manāpam /	sarva-sva-koSam-api tyaktva jIvita tyakta me priya manApam /
   naru mokṣito vyasanaprāpta āsi nṛpo 'rthasiddhi yada pūrvam // 137 //	naru mokzitaH vyasana-prAptaH Asi nRpaH arTa-sidDi yada pUrvam // 137 //
   cakrāṅkitaṃ kamalatulyaṃ paṇiyugaṃ pradamattamanapekṣam /	cakra-aFkitam kamala-tulyam paNi-yugam pradamattam-anapekzam /
   nṛpa āśuketu yada āsīd bodhimabhīpsamāna jagadarthe // 138 //	nRpaH ASuketu yadaH AsIt boDim-aBIpsamAna jagat-arTe // 138 //
   nṛpa sarvadarśi yada āsīt kāruṇiko janārthahitakāmaḥ /	nRpa sarva-darSi yadaH AsIt kAruNikaH jana-arTa-hita-kAmaH /
   tyaktā mayā caturo 'pi ca dvīpāḥ sphītanarairvranarīśataiśca // 139 //	tyaktA mayA caturaH api ca dvIpAH sPIta-narEH-vranarI-SatEH-ca // 139 //
   mṛdu komalaṃ vikalagauraṃ ūru tacchittva hṝṣṭamuditāyā /	mRdu komalam vikala-gOram Uru tat-Cittva hLzwa-muditAyAH /
   dattaṃ svamāṃsa rudhiraṃ me jñānavatī yadāsi nṛpaputrī // 140 //	dattam sva-mAMsa ruDiram me jQAnavatI yadA-asi nRpa-putrI // 140 //
   kanakābhapīnasukumāraṃ tyakta stanadvayaṃ hṝdayakāntam /	kanaka-ABa-pIna-sukumAram tyakta stana-dvayam hLdaya-kAntam /
   strī prekṣya me kṣudhatṛṣārtaṃ sā rūpya (pa ?) vatīti vanitā yadābhūt //	strI prekzya me kzuDa-tRza-Artam sA rUpyaH (paH ?) vati-iti vanitAH yadA-aBUt //
   varabhūṣaṇānapi suramyān ratnamanekavastrarathayānān /	vara-BUzaNAn-api su-ramyAn ratnam-aneka-vastra-raTa-yAnAn /
   saṃtyakta dustyajamanekaṃ viśrutaśrīnṛpeṇa ca mayābhūt // 142 //	saMtyakta dustyajam-anekam viSruta-SrI-nRpeNa ca mayA-aBUt // 142 //
   rājñaḥ suto tu vikṛtajñaḥ tārita sāgarādyada kṛtajñaḥ /	rAjQaH sutaH tu vikRta-jQaH tArita sAgarAt-yada kRtajQaH /
   ratnārtha netra mama tena uddhṛta naiva me ruṣita cittam // 143 //	ratna-arTa netra mama tena udDRta na-eva me ruzita cittam // 143 //
   mā bhūtpipīlikavadho me tyakta varāśrayo 'pi canapekṣya /	mA BUt-pipIlika-vaDaH me tyakta vara-ASrayaH api canapekzya /
   na ca citta kampita tadā me tyakta pūrvabhaveṣu godha yada āsīt // 144 //	na ca citta kampita tadA me tyakta pUrva-Bavezu goDaH yadaH AsIt // 144 //
   upasthānagauravarato 'haṃ vṛddhacarīṣu nitya rata āsīt /	upasTAna-gOrava-rataH aham vRdDa-carIzu nitya rataH AsIt /
   na ca mānavānapi ca stabdha āsi kapiṃjalo vicaramāṇaḥ // 145 //	na ca mAnavAn-api ca stabDaH Asi kapiMjalaH vicaramANaH // 145 //
   śaraṇāgatasya ca mayārthe tyakta samucchrayaḥ kṛpa janitvā /	SaraNa-Agatasya ca mayA-arTe tyakta samucCrayaH kRpa janitvA /
   na ca tyakta vānaragatena vyādhanaraḥ śarābhinihatena // 146 //	na ca tyakta vAnara-gatena vyADa-naraH Sara-aBinihatena // 146 //
   gajavaśagatena śoṣito me tanurapi vṛddhaguruṃ jagatsmaritvā /	gaja-vaSa-gatena SozitaH me tanuH-api vRdDa-gurum jagat-smaritvA /
   suruciramaśanaṃ mayā na bhuktaṃ mokṣita ātma gajā yadā tadāsīt // 147 //	su-ruciram-aSanam mayA na Buktam mokzitaH Atma gajA yadA tadA-AsIt // 147 //
   ṛkṣapatirabhūva śailadurge himahata sapta dināni rakṣito me /	Rkza-patiH-aBUva SEla-durge himahata sapta dinAni rakzitaH me /
