   jaiminīyagṛhyasūtram	jEminIya-gRhya-sUtram
   naśyatāditaḥ svāhā /	naSyata-Aditas svAhA /
   ālikhanvilikhannanimiṣan kiṃvadanta upaśrutiraryamṇaḥ kumbhī śatruḥ	Ali-Kan-viliKanna-nimizan kiMvadantaH upaSrutiH-aryamNaH kumBI SatruH
   pātrapāṇirnipuṇahāntrīmukhaḥ sarṣapārūṇo naśyatāditaḥ svāheti daśarātraṃ	pAtra-pANiH-nipuNa-hAntrI-muKaH sarzapArUNaH naSyata-Aditas svAhA-iti daSa-rAtram
   dampati sūtakau bhavatastasyānte snātvotthānam // JaimGS_1.8 //	dampati sUtakO BavataH-tasya-ante snAtvA-utTAnam // JEmGS_1.8 //
   JaimGS 1.9:	JEmGS 1.9:
   athāto nāmakarma pūrvapakṣe puṇye nakṣatre dvādaśayāṃ vā pitā nāma	aTa-atas nAmakarma pUrva-pakze puNye nakzatre dvAdaSayAm vA pitA nAma
   kuryādācāryo vā pitā nāma kuryādācāryo vā tamahatena vāsasā	kuryAt-AcAryaH vA pitA nAma kuryAt-AcAryaH vA tam-ahatena vAsasA
   samanuparigṛhya pitāṅgenāsīta tasya nāmadheyaṃ dadyād dvyakṣaraṃ	samanuparigRhya pitA-aFgena-AsIta tasya nAmaDeyam dadyAt dvi-akzaram
   caturakkṣaraṃ vā	catur-akkzaram vA
   ghoṣavadādyantarantasthamanunakṣatramanudaivatanunāmātaddhitamākārāntaṃ	Gozavat-Adi-antar-antasTam-anunakzatram-anudEva-tanunAm-A-tat-hitam-AkAra-antam
   striyai yathārthaṃ vā kumārayajñeṣu ca nakṣatraṃ nakṣatradaivataṃ	striyE yaTArTam vA kumAra-yajQezu ca nakzatram nakzatra-dEvatam
   tithimiti yajate 'ṣṭāvanyā juṣṭā devatā yajate 'gni dhanvantari	tiTim-iti yajate azwO=-anyA juzwAH devatAH yajate agni Danvantari
   prajāpatimindraṃ vasūntrudrānādityānviśvāndevānityetāsu sviṣṭāsu sarvā	prajApatim-indram vasUntru-drAn-a-AdityAn-viSvAn-devAn-iti-etAsu su-izwAsu sarvA
   devatā abhīṣṭā bhavanti // JaimGS_1.9 //	devatAH aBIzwAH Bavanti // JEmGS_1.9 //
   JaimGS 1.10:	JEmGS 1.10:
   athātaḥ prāśanakarma pūrvapakkṣe puṇye nakṣatre brāhmaṇānbhojayitvā	aTa-atas prASana-karma pUrva-pakkze puNye nakzatre brAhmaNAn-BojayitvA
   haviṣyamannaṃ prāśayedannapate 'nnasya no dehyanamīvasya śuṣmiṇaḥ /	havizyam-annam prASayet-annapate annasya naH dehi-anamIvasya SuzmiNaH /
   pra pradātāraṃ tāriṣa ūrjaṃ no dhehi dvipade śaṃ catuṣpada iti //	pra pradAtAram tArizaH Urjam naH Dehi dvipade Sam catuzpadaH iti //
   JaimGS_1.10 //	JEmGS_1.10 //
   JaimGS 1.11:	JEmGS 1.11:
   tṛtīye saṃvatsare jaṭāḥ kurvīta garbhatṛtīya ityeka udagayane pūrvapakṣe	tRtIye saMvatsare jawAH kurvIta garBatRtIyaH iti-ekaH udagayane pUrva-pakze
   puṇye nakṣatre brāhmaṇānsvastivācyāparāhne 'gnaṃ praṇayitvā dakṣiṇato	puNye nakzatre brAhmaNAn-svasti-vAcya-aparAhne agnam praNayitvA dakziNatas-
   'gneścatvāri pūrṇapātrāṇi nidadhyāhrīhiyavānāmabhito madhye	agneH-catvAri pUrNa-pAtrANi nidaDyAhrI-hi-yavAnAm-aBitas maDye
   tilamāṣāṇāmācāntodake 'nvārabdhe juhuyānmahāvyāhṛtibhirhutvā	tila-mAzANAm-AcA-anta-udake anvArabDe juhuyAt-mahAvyAhRtiBiH-hutvA
   virūpākṣeṇātra pañcamīṃ juhoti sarvauṣadhibhi sphāṇṭamudakamānayanti	virUpAkzeNa-atra paQcamIm juhoti sarva-ozaDiBi sPANwam-udakam-Anayanti
   vrīhiyavāstalamāṣā ityetatsarvauṣadhamāyamagātsavitā kṣureṇeti	vrIhi-yavAH-tala-mAzAH iti-etat-sarva-OzaDa-m-Ayam-agAt-savitA kzureNa-iti
   kṣuramādatta āyamagātsavitā kṣureṇa viśvairdevairanumato marudbhiḥ /	kzuram-Adatte Ayam-agAt-savitA kzureNa viSvEH-devEH-anumataH marudBiH /
   sa naḥ śivo bhavatu viśvakarmā yūyaṃ pāta svastibhiḥ sadā na ityuṣṇena	sa naH SivaH Bavatu viSvakarmA yUyam pAta svastiBiH sadA naH iti-uzNena
   vāya udakenehītyudakamādatta uṣṇena vāya udakenehyaditiḥ keśānvapatvityāpa	vAyo udakena-ihi-iti-udakam-Adatte uzNena vAyo udakena-ihi-aditiH keSAn-vapatu-iti-Apa
   undantu jīvasa iti dakṣiṇaṃ keśāntamabhyundyādāpa undantu jīvase	undantu jIvasaH iti dakziNam keSAntam-aByundyAt-ApaH undantu jIvase
   dīrghāyuṣṭvāya varcasa iti tasmiṃstisro darbhapīñjūlīrupadadhātyekāṃ vā	dIrGa-AyuzwvAya varcasaH iti tasmin=-tisraH darBapIQjUlIH-upada-DAti-ekAm vA
   dhārayatu prajāpatiriti dhārayeddhārayatu prajāpatiḥ punaḥ punaḥ suvaptavā	DArayatu prajApatiH-iti DArayet-DArayatu prajApatiH punar punar su-vaptavA
   ityūrdhvaṃ trirādarśena spṛṣṭvā yena dhāteti kṣureṇa chindyādyena dhātā	iti-UrDvam tris-AdarSena spRzwvA yena DAtA-iti kzureNa CindyAt-yena DAtA
   bṛhaspateragneridrasya cāyuṣe 'vapat /	bRhaspateH-agneH-idrasya ca-Ayuze avapat /
   tena ta āyuṣe vapāmi suślokyāya svastaya iti yena tatprajāpatirmarudbhyo	tena te Ayuze vapAmi suSlokyAya svastayaH iti yena tad-prajApatiH-marudByaH-
   gṛhamedhibhyo 'vapat /	gRhameDiByaH avapat /
   tena ta āyuṣe vapāmi suślokyāya svastaya iti yena bhūyaścarātyayaṃ jyok ca	tena te Ayuze vapAmi suSlokyAya svastayaH iti yena BUyas-cara-atyayam jyok ca
   paśyati sūryam /	paSyati sUryam /
   tena ta āyuṣe vapāmi suślokyāya svastya ityevaṃ paścāttathottarataḥ	tena te Ayuze vapAmi suSlokyAya svastyaH iti-evam paScAt-taTA-uttaratas-
   pratimantraṃ keśāṃśca darbhapiñjūlīśeṣāṃścānaḍuhe gomaye 'bhūmispṛṣṭe	pratimantram keSAn=-ca darBa-piQjUlI-SezAn=-ca-anaxuhe gomaye aBUmi-spRzwe
   nidadhyāhbrahmaṇasya purastātpaścāditarayorvarṇayoryatkkṣureṇeti nāpitāya	nidaDyAh-brahmaNasya purastAt-paScAt-itarayoH-varNayoH-yat-kkzureNa-iti na-apitAya
   kṣuraṃ prayacchedyatkkṣureṇa mamlā vaptrā vapasi nāpitāṅgāni śuddhāni	kzuram prayacCet-yat-kkzureNa mamlA vaptrA vapasi nApita-aFgAni SudDAni
   kurvāyurvarco mā hiṃsīrnāpiteti yathaiṣāṃ gotrakalpaḥ kulakalpo vāplute	kurvAyuH-varcaH mA hiMsIH-nApitA-iti yaTA-ezAm gotra-kalpaH kula-kalpaH vA-Aplute
   prāyaścittīrjuhuyādāvṛtaiva striyāḥ kuryādamantraṃ samantraṃ	prAyaScittIH-juhuyAt-AvRtA-eva striyAH kuryAt-amantram sa-mantram
   cetpaścajjuhuyādathāsya mūrdhānamārabhya japati triyāyuṣaṃ kaśyapasya	ced-paH-cat-juhuyAt-aTa-asya mUrDAnam-AraBya japati triyAyuzam kaSyapasya
   jamadagnestriyāyuṣaṃ yaddevānāṃ triyāyuṣaṃ tatte astu triyāyuṣamiti	jamadagneH-triyAyuzam yat-devAnAm triyAyuzam tat-te astu triyAyuzam-iti
   dhānyapalvale goṣṭhe vā keśānnikhanetkuśalīkartā pūrṇapātrāṇi	DAnya-palvale gozWe vA keSAn-niKanet-kuSalIkartA pUrNa-pAtrANi
   haredgaurdakkṣiṇā // JaimGS_1.11 //	haret-gOH-dakkziNA // JEmGS_1.11 //
   JaimGS 1.12:	JEmGS 1.12:
   saptame brāhmaṇāmupanayīta pañcame brahmavarcasakāmaṃ navame	saptame brAhmaNAm-upanayIta paQcame brahmavarcasa-kAmam navame
   tvāyuṣkāmamekādaśe kkṣatriyaṃ dvādaśe vaiśyaṃ nāti ṣoḍaśamupanayīta	tu-AyuzkAmam-ekAdaSe kkzatriyam dvAdaSe vESyam na-ati zoxaSam-upanayIta
   prasṛṣṭavṛṣaṇo hyeṣa vṛṣalībhūto bhavatīti tata enaṃ	prasRzwa-vRzaNaH hi-eza vRzalIBUtaH Bavati-iti tatas enam
   snātamalaṃkṛtamāktākṣaṃ kṛtanāpitakṛtyamānayanti tamahatena vāsasā	snAtam-alaMkRtam-Akta-akzam kRta-nApita-kRtyam-Anayanti tam-ahatena vAsasA
   paridadhīta parīmaṃ someti yathāvarṇaṃ parīmaṃ somabrahmaṇā mahe śrotrāya	paridaDIta pari-imam soma-iti yaTAvarNam pari-imam soma-brahmaNA mahe SrotrAya
   dadhmasi /	daDmasi /
   yathemaṃ jarimāṇa yājjyok śrotre adhi jāgarājjīvāhi śarada śataṃ paśyāhi	yaTA-imam jarimANa yAjjyoS Srotre aDi jAgarAt-jIvAhi Sarada Satam paSya-ahi
   śaradaḥ śatamiti parīmamindra brahmaṇā mahe rāṣṭrāya dadhmasi /	SaradaH Satam-iti parImam-indra brahmaNA mahe rAzwrAya daDmasi /
   yathemaṃ jarimāṇa yājjyogrāṣṭre adhi jāgarājjīvāhi śaradaḥ śataṃ paśyāhi	yaTA-imam jarimANa yAjjyaH-grAzwre aDi jAgarAt-jIvAhi SaradaH Satam paSya-ahi
   śaradaḥ śatamiti parīmaṃ poṣa brāhmaṇā mahe poṣāya dadhmasi /	SaradaH Satam-iti pari-imam poza brAhmaNAH mahe pozAya daDmasi /
   yathemaṃ jarimāṇa yājjyok poṣe adhi jāgarājjīvāhi śaradaḥ śataṃ paśyāhi	yaTA-imam jarimANa yAt-jyok poze aDi jAgarAt-jIvAhi SaradaH Satam paSya-ahi
   śaradaḥ śatamityathainaṃ paścādagneḥ prāṅbhukhamupaveśya	SaradaH Satam-iti-aTa-enam paScAt-agneH prAFBuKam-upaveSya
   yajñopavītinamācārya ācāmayatyācāntamutthāpyottarato 'gneḥ prāco	yajQa-upavItinam-AcAryaH AcAmayati-AcAntam-utTApya-uttaratas agneH prAcaH-
   darbhānāstīrya teṣvakṣatamaśmānamatyādhāya tatrainaṃ dakṣiṇena	darBAn-AstIrya tezu-akzatam-aSmAnam-atyADAya tatra-enam dakziNena
   pādenāśmānam adhiṣṭhāpayedimamaśmānamārohāraśmeva tvaṃ sthiro bhava	pAdena-aSmAnam aDizWApayet-imam-aSmAnam-ArohAra-SmA-iva tvam sTiraH Bava
   dviṣantamapabādhasva mā ca tvā dviṣato vadhīdityathainaṃ paścādagneḥ	dvizantam-apabADasva mA ca tvA dvizataH vaDIt-iti-aTa-enam paScAt-agneH
   prāṅmukhamupaveśyottarata ācāryo 'nvārabdhe juhuyānmahāvyāhṛtibhirhutvā	prAFmuKam-upaveSya-uttaratas AcAryaH anvArabDe juhuyAt-mahAvyAhRtiBiH-hutvA
   vedāhutibhiśca saṃpātamāsye bhūrṛcaḥ svāheti pratimantraṃ bhūrṛcaḥ svāhā	veda-AhutiBiH-ca saMpAtam-Asye BUrRcaH svAhA-iti pratimantram BUrRcaH svAhA
   bhuvo yajūṃṣi svāhā svaḥ sāmāni svāhaṃti prāśitamācāntamutthāpya namo	BuvaH yajUMzi svAhA svaH sAmAni sva-ahaMti prASitam-AcAntam-utTApya namaH-
   vātāyetyenaṃ pradakṣiṇamagniṃ pariṇayennamo vātāya namo astvagnaye namaḥ	vAtAya-iti-enam pradakziNam-agnim pariNayet-namaH vAtAya namaH astu-agnaye namaH
   pṛthivyai nama oṣadhībhyo namo vo 'dṛṣṭāya bṛhate	pRTivyE namaH ozaDIByaH namaH vaH adRzwAya bRhate
   karomītyadhigantaradhigaccha pradātaḥ prayacchāsāvamuṣmai vedamityathainaṃ	karomi-iti-aDigantar-aDigacCa pradAtaH prayacCa-asO=-amuzmE vedam-iti-aTa-enam
   paścādagneḥ prāṅmukhamavasthāpya purastādācāryaḥ pratyaṅmukhastāvajjalī	paScAt-agneH prAFmuKam-avasTApya purastAt-AcAryaH pratyaFmuKaH-tAvat-jalI
   kuruta uttarata ācāryastamanyo 'dbhiḥ pūrayennisrāveṇetarasya	kurute uttaratas AcArya-H-tam-anyaH adBiH pUrayet-nisrAveNa-itarasya
   pūraṇamathainaṃ saṃśāsti brahmacaryamagāmupa mā nayasveti ko	pUraNam-aTa-enam saMSAsti brahmacaryam-agAm-upa mA nayasva-iti kaH-
   nāmāsītyasāviti nāmadheyaṃ dadyāttatrācāryo japati hiṃ bhūrbhuvaḥ	nAma-asi-iti-asO=-iti nAmaDeyam dadyAt-tatra-AcAryaH japati him BUH-BuvaH
   svārāgantrā samaganmahi pra su martyaṃ yuyotana /	svArAgantrA samaganmahi pra su martyam yuyotana /
   ariṣṭāḥ saṃcaremahi svasti caratādayamityathāsya dakṣiṇena hastena	arizwAH saMcaremahi svasti caratAt-ayam-iti-aTa-asya dakziNena hastena
   dakṣiṇaṃ hastaṃ gṛhṇātīndraste hastamagrabhīddhātā hastamagrabhītpūṣā	dakziNam hastam gRhNAti-indraH-te hastam-agraBIdDAtA hastam-agraBIt-pUzA
   hastamagrabhītsavitā hastamagrabhīryamā hastamagrabhīnmitrastvamasi	hastam-agraBIt-savitA hastam-agra-BIryamA hastam-agraBIt-mitraH-tvam-asi
   dharmaṇāgnirācāryasteveti prāṇānāṃ granthirasīti nābhideśamārabhya japati	DarmaNA-agniH-AcAryaH-teva-iti prANAnAm granTiH-asi-iti na-aBideSam-AraBya japati
   prāṇānāṃ granthirasi mā visrasāmṛta mṛtyorantaraṃ kurviti	prANAnAm granTiH-asi mA visrasA-amRta mRtyoH-antaram kuru-iti
   dakṣiṇamaṃsamanvavamṛśya mayi vrate iti hṛdayaṃ te astu mama	dakziNam-aMsam-anvavamRSya mayi vrate iti hRdayam te astu mama
   cittamanucittaṃ te astu /	cittam-anucittam te astu /
   mama vācamekavrato jupasva bṛhaspatistvā niyunaktu mayītyathainaṃ	mama vAcam-eka-vrataH jupasva bRhaspatiH-tvA niyunaktu mayi-iti-aTa-enam
   paridadātyagraye tvā paridadāmi vāyave tvā paridadāmi davāya tvā savitre	paridadAti-agraye tvA paridadAmi vAyave tvA paridadAmi davAya tvA savitre
   paridadāmyadbhyastvauṣadhībhyaḥ paridadāmi sarvebhyastvā devebhyaḥ	paridadAmi-adByaH-tu-OzaDIByaH paridadAmi sarveByaH-tvA deveByaH
   paridadāmi sarvebhyastvā bhūtebhyaḥ paridadāmyariṣṭyā ityathainaṃ saṃśāsti	paridadAmi sarveByaH-tvA BUteByaH paridadAmi-arizwyE iti-aTa-enam saMSAsti
   brahmacāryasi samidha ādhehyāpo 'śāna karma kuru mā divā svāpsīrityagnaye	brahmacArI-asi samiDaH ADehya-apaH aSAna karma kuru mA divA svApsIH-iti-agnaye
   samidhamāhārṣamiti ghṛtenāktāḥ samidha ādadhātyagnaye samidhamāhārṣa	samiDam-AhArzam-iti GRtena-aktAH samiDaH AdaDAti-agnaye samiDam-AhArza
   bṛhate jātavedase /	bRhate jAtavedase /
   yathā tvamagne samidhā samidhyasa evamahamāyuṣā varcasā tejasā sanyā	yaTA tvam-agne samiDA samiDyasaH evam-aham-AyuzA varcasA tejasA sanyA
   medhayā prajñayā prajayā paśubhirbrahmavarcasenānnādyena dhanena	meDayA prajQayA prajayA paSuBiH-brahmavarcasena-annAdyena Danena
   samedhichīya svāhā //	sameDi-CIya svAhA //
   apsarāsu yā medhā gandharveṣu ca yanmanaḥ /	apsarAsu yA meDA ganDarvezu ca yat-manaH /
   daivī medhā manuṣyajā sā māṃ medhā surabhirjuṣatāṃ svāhā //	dEvI meDA manuzya-jA sA mAm meDA suraBiH-juzatAm svAhA //
   bhūḥ svāhā bhuvaḥ svāhā svaḥ svāhā bhūrbhuvaḥ svaḥ svāhetīyaṃ duruktāditi	BUH svAhA BuvaH svAhA svar svAhA BUH-BuvaH svar svAhA-iti-iyam duruktAt-iti
   mekhalāmābadhnīta iyaṃ duriktātparibādhamānā varṇaṃ pavitraṃ punatī ma	meKalAm-AbaDnIta iyam duriktAt-paribADamAnA varNam pavitram punatI ma
   āgāt /	AgAt /
   prāṇāpānābhyāṃ balamābharantī svasā devī subhagā mekhaleyam /	prANa-apAnAByAm balam-ABarantI svasA devI suBagA meKalA-iyam /
   ṛtasya goptrī tapasaḥ paraspīghnatī rakṣaḥ sahamānā arātīḥ /	Rtasya goptrI tapasaH paraspIGnatI rakzaH sahamAnAH arAtIH /
   sā mā samantādabhiryehi bhadre bhartāraste mekhale mā riṣāmeti mauñjīṃ	sA mA samantAt-aBiH-yehi Badre BartAraH-te meKale mA rizAma-iti mOQjIm
   brāhmaṇasya maurvīṃ rājanyasya muñjamiśrāṃ tāmalīṃ vaiśyasya mauñjīṃ vā	brAhmaNasya mOrvIm rAjanyasya muQja-miSrAm tAmalIm vESyasya mOQjIm vA
   sarveṣāmatha paridhanāni kṣaumaṃ vā śāṇaṃ vāntaraṃ	sarvezAm-aTa pariDanAni kzOmam vA SANam vA-antaram
   brāhmaṇasyaiṇeyamuttaraṃ rauravaṃ rājanyasyājaṃ vaiśyasyaiṇeyaṃ vā	brAhmaNasya-ENa-iyam-uttaram rOravam rAjanyasya-Ajam vESyasya-eNa-iyam vA
   sarveṣāṃ svastyayano 'sīti daṇḍaṃ prayacchetprāṇasaṃmitaṃ pālāśaṃ	sarvezAm svastyayanaH asi-iti daNxam prayacCet-prANa-saMmitam pAlASam
   brāhmaṇasya bailvaṃ brahmavarcasakāmasya naiyagrodhaṃ rājanyasyaudumbaraṃ	brAhmaNasya bElvam brahmavarcasa-kAmasya nEyagroDam rAjanyasya-Odumbaram
   vaiśyasya pālāśaṃ vā sarveṣāṃ mātaraṃ prathamaṃ bhikṣetāthānyāḥ suhṛdo	vESyasya pAlASam vA sarvezAm mAtaram praTamam Bikzeta-aTa-anyAH suhRdaH-
   bhavatpūrvayā brāhmaṇo bhikṣeta bhavati bhikṣāṃ dehīti bhavanmadhyamayā	Bavat-pUrvayA brAhmaNaH Bikzeta Bavati BikzAm dehi-iti Bavat-maDyamayA
   rājanyo bhikṣāṃ bhavati dehīti bhavadantyavaiśyo dehi bhikṣāṃ bhavatīti	rAjanyaH BikzAm Bavati dehi-iti Bavat-antya-vESyaH dehi BikzAm Bavati-iti
   kṣāṃ ca hiṃ ca na vardhayedbhavatpūrvayā vā sarve prāyaścittaṃ	kzAm ca him ca na varDayet-Bavat-pUrvayA vA sarve prAyaScittam
   cedutpadyeta jīvā stha jīvayata metyenamapa ācāmayejjīvā stha jīvayata	ced-utpadyeta jIvA sTa jIvayata mA-iti-enam-apaH AcAmayet-jIvA sTa jIvayata
   māpo nāma sthāmṛtā nāma stha svadhā nāma stha tāsāṃ vo bhukṣiṣīya sumatau	mApaH nAma sTA-amRtA nAma sTa svaDA nAma sTa tAsAm vaH BukzizIya sumatO
   mā dhatta śivā me bhavata namo vo 'stu mā mā hiṃsiṣṭeti	mA Datta SivA me Bavata namaH vaH astu mA mA hiMsizwa-iti
   bhaikṣamupanyāhṛtamūrdhvaṃ trirātrātsāvitrīṃ prabrūyāttadaharvā	BEkzam-upanyAhRtam-UrDvam tri-rAtrAt-sAvitrIm prabrUyAt-tat-ahar-vA
   paścādagneḥ pacchor'dharcaśaḥ sarvāmityanūcya vedamārabhyāgne vratapata	paScAt-agneH pacCoH-aDarcaSaH sarvAm-iti-anUcya vedam-AraBya-agne vratapata
   iti ghṛtenāktāḥ samidha ādadhātyagre vratapata vrataṃ cariṣyāmi	iti GRtena-aktAH samiDaH AdaDAti-agre vratapata vratam carizyAmi
   tacchakeyaṃ tanme rādhyatāṃ svāhā /	tat-Sakeyam tat-me rADyatAm svAhA /
   vāyo vratapate vrataṃ cariṣyāmi tacchakeyaṃ tanme sādhyatāṃ svāhā /	vAyo vratapate vratam carizyAmi tat-Sakeyam tat-me sADya-tAm svAhA /
   āditya vratapate vrataṃ cariṣyāmi tacchakeyaṃ tanme rādhyatāṃ svāhā /	Aditya vratapate vratam carizyAmi tat-Sakeyam tat-me rADyatAm svAhA /
   vratānāṃ vratapate vrataṃ cariṣyāmi tacchakeyaṃ tanme rādhyatāṃ svāheti	vratAnAm vratapate vratam carizyAmi tat-Sakeyam tat-me rADyatAm svAhA-iti
   tadetaddṛtādeśanaṃ sarvatra vratasamāptāvagre vratapate vratamacāriṣaṃ	tat-etat-dRta-AdeSanam sarvatra vrata-samAptO=-agre vratapate vratam-acArizam
   tadaśakaṃ tanme 'rādhi svāheti mantrānsaṃnamayedathainaṃ saṃśāsti	tat-aSakam tat-me arADi svAhA-iti mantrAn-saMnamayet-aTa-enam saMSAsti
   brahmacāryācāryādhīnaḥ praśānto 'dhaḥśāyī daṇḍamekhalājinajaṭādhārī	brahmacArI-AcArya-aDInaH praSAntaH aDas-SAyI daNxa-meKalA-ajina-jawA-DArI
   svyanṛtamadhumāṃsagandhamālyavarjī bhaveti trirātramakṣārālavaṇāśyūrdhvaṃ	svyanRta-maDu-mAMsa-ganDa-mAlya-varjI Bava-iti tri-rAtram-akzAra-alavaNa-aSi-UrDvam
   trirātrātprācīṃ vodīcīṃ vā diśamupaniṣkramya palāśaṃ gatvā	tri-rAtrAt-prAcIm vA-udIcIm vA diSam-upanizkramya palASam gatvA
   vyāhṛtibhirabhyajya sthālīpākeneṣṭvā yajñopavītaṃ daṇḍamityudasya	vyAhRtiBiH-aByajya sTAlIpAkena-izwvA yajQopavItam daNxam-iti-udasya
   pratyeyādgaurdakṣiṇā // JaimGS_1.12 //	pratyeyAt-gOH-dakziNAH // JEmGS_1.12 //
   JaimGS 1.13:	JEmGS 1.13:
   sāyaṃprātarudakānte pūto bhūtvā sapavitro	sAyaMprAtar-udaka-ante pUtaH BUtvA sa-pavitraH-
   'jadbhirmārjayetāpohiṣṭhīyābhistisṛbhistaratsa mandī dhāvatīti	ajadBiH-mArjayeta-apohizWIyABiH-tisRBiH-tarat-sa mandI DAvati-iti
   catasṛbhirvāmadevyamante śucau deśe darbheṣvāsīno darbhāndhārayamāṇaḥ	catasRBiH-vAmadevyam-ante SucO deSe darBezu-AsInaH darBa-anDArayamANaH
   pratyaṅmukho vāgyataḥ sandhyāṃ manasā dhyāyedā nakṣatrāṇāmudayāduditeṣu	pratyaFmuKaH vAgyataH sanDyAm manasA DyAyedAH nakzatrANAm-udayAt-uditezu
   nakṣatreṣu trīnprāṇāyāmāndhārayitvā sāvitrīṃ sahasrakṛtva	nakzatrezu trIn-prANAyAmAn-DArayitvA sAvitrIm sahasra-kRtvas-
   āvartayecchatakṛtvo vā daśāvaramathāgnimupatiṣṭhate 'gne tvaṃ no antama	Avartayet-Sata-kRtvas vA daSa-avaram-aTa-agnim-upatizWate agne tvam naH antama
   ityatha varuṇamupatiṣṭhate tvaṃ varuṇa uta mitra ityetayaivāvṛtā prātaḥ	iti-aTa varuNam-upatizWate tvam varuNaH uta mitraH iti-etayA-eva-AvRtA prAtar-
   prāṅmukhastiṣṭhannathādityamupatiṣṭhata udvayaṃ tamasasparītyatha	prAFmuKaH-tizWan=-aTa-Adityam-upatizWate udvayam tamasasparI-iti-aTa
   mitramupatiṣṭhate pra mitrāya prāryamṇa iti sa yadi sūryābhyuditaḥ	mitram-upatizWate pra mitrAya prAryamNaH iti sa yadi sUrya-aByuditaH
   sūryābhinimukto vā taccheṣaṃ sāvitrīṃ manasā dhyāyetsaiva tatra	sUrya-aBinimuktaH vA tad-Sezam sAvitrIm manasA DyAyet-sA-eva tatra
   prāyaścittiḥ // JaimGS_1.13 //	prAyaScittiH // JEmGS_1.13 //
   JaimGS 1.14:	JEmGS 1.14:
   śravaṇyāmupākaraṇaṃ prauṣṭhapadyāṃ vā hastena trīnprāṇāyāmānāyamyacamya	SravaNyAm-upAkaraNam prOzWapadyAm vA hastena trIn-prANAyAmAnAyamya-camya
   sarve purastājjapaṃ japanti saha no 'stu saha no bhunaktu saha no	sarve purastAt-japam japanti saha naH astu saha naH Bunaktu saha no
   vīryavadastu mā vidviṣāmahe sarveṣāṃ no vīryavadastviti tebhyaḥ sāvitrīṃ	vIrya-vat-astu mA vidvizAmahe sarvezAm naH vIrya-vat-astu-iti teByaH sAvitrIm
   prabrayādyathopanayane manasā sāmasāvitrīṃ ca somaṃ	prabrayAt-yaTA-upanayane manasA sAmasAvitrIm ca somam
   rājānamityāditaśchandāṃsyadhītya yathārthamakṣatadhānānaṃ dadhraśca	rAjAnam-iti-Aditas-CandAMsi-aDItya yaTArTam-akzata-DAnAnam daDraH-ca
   navāhutir juhotyaṣīnvāṃśchandāṃsyṛco yajūṃṣi sāmanyṛjaṃ sāma yajāmahe	nava-AhutiH juhoti-azInvAn=-CandAMsi-RcaH yajUMzi sAmanyRjam sAma yajAmahe
   sadasaspatimadbhutaṃ medhākāramityetāsāmeva pūrvābhi ṣaḍbhiḥ pūrvaṃ	sadasaspatim-adButam meDA-AkAram-iti-etAsAm-eva pUrva-aBi zaxBiH pUrvam
   tarpayedācāryamācāryāṃśtaca jaiminiṃ talavakāraṃ sātyamugraṃ rāṇāyaniṃ	tarpayet-AcAryam-AcAryAMSta-ca jEminim talavakAram sAtyam-ugram rANAyanim
   durvāsasaṃ ca bhāguriṃ gauruṇiḍaṃ gaurgulaviṃ bhagavantamaupamanyavaṃ	durvAsasam ca BAgurim gOruNixam gOH-gulavim Bagavantam-Opamanyavam
   kāraḍiṃ sāvarṇiṃ gārgya vārṣagaṇyaṃ daivantyamityetāṃstrayodaśa	kAraxim sAvarNim gArgya vArzagaNyam dEvantyam-iti-etAn=-trayodaSa
   dhānāvantaṃ dadhikrāvṇa ityetābhyāmabhimantrya haviḥśeṣaṃ prāśya prāhne	DAnAvantam daDi-krAvNaH iti-etAByAm-aBimantrya haviH-Sezam prASya prAhne
   pradhīyata āgneye samāpte 'ja aindre meṣo gauḥ pāvamāne parvadakṣiṇā	praDIyate Agneye samApte aje Endre mezaH gOH pAvamAne parva-dakziNA
   sabrahmacāriṇaścopasametānbhojayetsāvitramahaḥ kāṅkṣanta utsarge ca	sabrahmacAriNaH-ca-upasametAn-Bojayet-sAvitram-ahar kAFkzante utsarge ca
   pakṣiṇīṃ rātriṃ na māṃsamaśnīyānna śrāddhaṃ na lomāni saṃhārayenna	pakziNIm rAtrim na mAMsam-aSnIyAt-na SrAdDam na lomAni saMhArayet-na
   striyamupeyādṛtau jāyāmupeyādvarṣāśaradikametahratamardhamāsamityeke //	striyam-upeyAt-RtO jAyAm-upeyAt-varzA-Saradikam-eta-hratam-arDa-mAsam-iti-eke //
   JaimGS_1.14 //	JEmGS_1.14 //
   JaimGS 1.15:	JEmGS 1.15:
   taiṣīmutsargo vedeṣu yathāsvaṃ viśramantāṃ chandāṃsi caturattarāṇi śivena	tEzIm-utsargaH vedezu yaTAsvam viSramantAm CandAMsi caturattarANi Sivena
   no dhyāyantvityutsṛjyādhyāyanadhyāsau vratāni cānupālayanto yathāsvaṃ	naH DyAyantu-iti-utsRjya-aDyAyana-DyAsO vratAni ca-anupAlayantaH yaTAsvam
   vedamadhīyīrannata ūrdhvamabhreṣu nādhīyate // JaimGS_1.15 //	vedam-aDIyIH-annataH UrDvam-aBrezu na-aDIyate // JEmGS_1.15 //
   JaimGS 1.16:	JEmGS 1.16:
   gaudānikavrātikaupaniṣadāḥ saṃvatsarāsteṣu sāyaṃprātarudakopasparśanaṃ	gOdAnika-vrAtika-OpanizadAH saMvatsarAH-tezu sAyaMprAtar-udaka-upasparSanam
