   sphuṭārthā	sPuwa arTA
   jñāsyāmīty evaṃ prathamataḥ prayogāt paracittajñānam ity ucyate. na	jQAsyAmi iti evam praTamatas prayogAt para citta jQAnam iti ucyate. na
   paracittacaittajñānam iti. tadvad ihāpy anayoḥ samāpattyos tathā vacanaṃ.	para citta cEtta jQAnam iti. tadvat iha api anayoH samApattyoH taTA vacanaM.
   tatrācittakāny eva nirodhasaṃjñisamāpattyāsaṃjñikānīti vaibhāṣikādayaḥ.	tatra acittakAni eva niroDa saMjQi samApatti A saMjQikAni iti vEBAzika AdayaH.
   aparisphuṭamanovijñānasacittakānīti sthaviravasumitrādayaḥ.	aparisPuwa manaH vijQAna sacittakAni iti sTavirava su mitra AdayaH.
   ālayavijñānasacittakānīti yogācārā iti siddhāṃtabhedaḥ. tasmād idam	Alaya vijQAna sa cittakAni iti yoga AcArAH iti sidDAMta BedaH. tasmAt idam
   upanyasyate. katham idānīṃ bahukālaniruddhād iti vistaraḥ.	upanyasyate. kaTam idAnIm bahu kAla nirudDAt iti vistaraH.
   bahukālaniruddhagrahaṇaṃ samanaṃtaraniruddhanirāsārthaṃ.	bahu kAla nirudDa grahaNam samanaMtara nirudDa nirAsa arTaM.
   samanaṃtaraniruddhādīdānīṃ kathaṃ bhavati. yadi samanaṃtaraniruddham	samanaMtara nirudDa Adi idAnIm kaTam Bavati. yadi samanaMtara nirudDam
   astīty abhyupagataṃ bahukālaniruddham apy astīti kiṃ nābhyupagamyate iti	asti iti aByupagatam bahu kAla nirudDam api asti iti kim na aByupagamyate iti
   vaibhāṣikāḥ. na samanaṃtaraniruddhasyāstitvaṃ brūmaḥ api tu vartamānaṃ	vEBAzikAH. na samanaMtara nirudDasya astitvam brUmaH api tu vartamAnam
   cittam ātmano 'nyacittahetubhāvaṃ vyavasthāpya nirudhyate 'nyac cotpadyate	cittam AtmanaH anya citta hetu BAvam vyavasTApya niruDyate anyat ca utpadyate
   tulādaṇḍanāmonnāmavat. tac ca niruddham aparaṃ ca cittam [Tib. 154a]	tulA daNxa nAmA unnAmavat. tat ca nirudDam aparam ca cittam [Ti b. 154a]
   utpannaṃ bhavatīty anaṃtaraniruddhāc cittāc cittāntaram utpadyate ity	utpannam Bavati iti anaMtara nirudDAt cittAt citta antaram utpadyate iti 
   ucyate. vartamānasāmīpye vartamānavad iti kṛtvā. apare punar āhur iti	ucyate. vartamAna sAmIpye vartamAna vat iti kRtvA. apare punar AhuH iti
   sautrāṃtikāḥ. kathaṃ tāvad ārūpyopapannānām iti vistaraḥ. tāvacchabdaḥ	sOtra aMtikAH. kaTam tAvat ArUpya upapannAnAm iti vistaraH. tAvat SabdaH
   kramārthaḥ. idam eva tāvad dṛṣṭāṃtārthaṃ vaktavyam ity arthaḥ. rūpasya hi	krama arTaH. idam eva tAvat dRzwa aMta arTam vaktavyam iti arTaH. rUpasya hi
   samanaṃtarapratyayo neṣyate. tat katham utpadyate. tasmāc cittād eva taj	samanaMtara pratyayaH na izyate. tat kaTam utpadyate. tasmAt cittAt eva tad 
   jāyate na rūpād iti brūmaḥ. anyonyabījakaṃ hy etad ubhayam iti. citte 'pi	jAyate na rUpAt iti brUmaH. anyonya bIjakam hi etat uBayam iti. citte api
   sendriyasya kāyasya bījam asti kāye ca sendriye cittasyeti. paripṛcchāyām	sa indriyasya kAyasya bIjam asti kAye ca sa indriye cittasya iti. paripRcCAyAm
   iti. paripṛcchānāmaśāstraṃ kṛtiḥ sthaviravasumitrasya. sa tasyām āha.	iti. paripRcCAnAm aSAstram kRtiH sTaviravasumitrasya. sa tasyAm Aha.
   paṃcavastukādīny api hi tasaya saṃti śāstrāṇi. tasmād viśinaṣṭi. tasyaiva	paMcavastuka AdIni api hi tasaya saMti SAstrANi. tasmAt viSinazwi. tasya eva
   doṣa iti. katamaḥ sa doṣaḥ. katham idānīṃ bahukālaniruddhāc cittād iti ya	dozaH iti. katamaH sa dozaH. kaTam idAnIm bahu kAla nirudDAt cittAt iti ya
   uktaḥ. trayāṇāṃ saṃnipāta iti. iṃdriyaviṣayavijñānānāṃ. saṃjñāvedanayor	uktaH. trayANAm saMnipAtaH iti. iMdriya vizaya vijQAnAnAM. saMjQA vedanayoH 
   apy atra nirodho na syād iti. bhadaṃtavasumitrasyaitan mataṃ. sacittakatve	api atra niroDaH na syAt iti. BadaMtava sumitrasya etat mataM. sa cittaka tve
   'pi tasyā nirodhasamāpatteḥ saṃjñāvedanayos tatra nirodha iti. tasmād	api tasyAH niroDa samApatteH saMjQA vedanayoH tatra niroDaH iti. tasmAt 
   bhadaṃtaghoṣaka evaṃ prasaṃgaṃ karoti. avidyāsaṃsparśajam iti.	BadaMtaGozakaH evam prasaMgam karoti. avidyA saMsparSa jam iti.
   avidyāsaṃhitaḥ sparśo 'vidyāsaṃsparśaḥ. tasmāj jātam avidyāsaṃsparśajaṃ.	avidyA saMhitaH sparSaH avidyA saMsparSaH. tasmAt jAtam avidyA saMsparSa jaM.
   na tu vedanotpattāv iti. na tu vedanotpattau sparśo viśeṣita īdṛśaḥ sparśo	na tu vedanA utpattO iti. na tu vedanA utpattO sparSaH viSezitaH IdRSaH sparSaH 
   vedanāpratyaya iti. sa eva bhadaṃtaghoṣaka upasaṃharati. tasmād	vedanA pratyayaH iti. saH eva BadaMtaGozakaH upasaMharati. tasmAt 
   acittiketi. [Tib. 155a] katham acittikāyāḥ samāpattitvam iti.	acittika iti. [Ti b. 155a] kaTam acittikAyAH samApatti tvam iti.
   dhyānādisamāpattitvam arhati. samādhinā hi cittacaittāḥ samā āpādyaṃte	DyAna Adi samApatti tvam arhati. samADinA hi citta cEttAH samAH ApAdyaMte
   ekagrīkriyaṃta ity evaṃ matvā pṛcchati (Abhidh k vy 168).	ekagrIkriyaMte iti evam matvA pRcCati (a aBiD k vi 168).
   mahābhūtasamatāpādanād iti. mahābhūtāni samāny āpadyaṃte 'nayeti	mahABUta samatA ApAdanAt iti. mahABUtAni samAni Apadi aMte anayA iti
   samāpattiḥ. evam asyāṃ niodhasamāpattau dhyānādiṣu ca samāpattitvaṃ. kā	samApattiH. evam asyAm nioDa samApattO DyAna Adizu ca samApatti tvaM. kA
   punar iha mahābhūtānāṃ samatā. cittotpattiprātikūlyasamavasthānaṃ.	punar iha mahABUtAnAm samatA. citta utpatti prAtikUlya samavasTAnaM.
   samāgacchaṃtīti samāpadyaṃte. samāgacchaṃti tām iti samāpattiḥ	samAgacCaMti iti samApadyaMte. samAgacCaMti tAm iti samApattiH
   karmasādhanaṃ. dhyānādīny api samāgacchaṃti yoginaḥ. tasmād dhyānādīnām	karma sADanaM. DyAna AdIni api samAgacCaMti yoginaH. tasmAt DyAna AdInAm
   api samāpattitvaṃ bhavati.	api samApatti tvam Bavati.
   dravyata iti svalakṣaṇataḥ. cittotpattipratibaṃdhanāt. yasmāc cittotpattiṃ	dravyate iti sva lakzaNataH. citta utpatti pratibaMDanAt. yasmAt citta utpattim
   pratibadhnītaḥ. na. samāpatticittenaiveti. naitad evaṃ. kasmāt.	pratibaDnItaH. na. samApatti cittena eva iti. na etat evaM. kasmAt .
   samāpatticittenaiva tatpratibaṃdhanāt. cittotpattipratibaṃdhanād ity	samApatti cittena eva tad pratibaMDanAt. citta utpatti pratibaMDanAt iti 
   arthaḥ. katham iti tat pratipādayati. samāpatticittam eva hīti vistaraḥ.	arTaH. kaTam iti tat pratipAdayati. samApatti cittam eva hi iti vistaraH.
   tat samāpatticittam eva nānyad dravyaṃ. cittāṃtaraviruddhaṃ	tat samApatti cittam eva na anyat dravyan. citta aMtara virudDam
   anāgatacittaviruddham utpadyate. yena cittena kālāṃtaraṃ nātyaṃtaṃ	anAgata citta virudDam utpadyate. yena cittena kAla aMtaram na ati aMtam
   apravṛttimātraṃ bhavati. mātraśabdo [Tib. 155b]	apravRtti mAtram Bavati. mAtra SabdaH [Tib. 155b]
   dravyāṃtaravyāvartanārthaḥ. tadviruddhāśrayāpādanāt.	dravya aMtara vyAvartana arTaH. tad virudDa ASraya ApAdanAt.
   cittaviruddhasyāśrayasya saṃtānasyāpādanāt kāraṇāt. yad etad	citta virudDasya ASrayasya saMtAnasya ApAdanAt kAraNAt. yat etat 
   apravṛttimātraṃ. sāsau samāpattir iti prajñapyate. prajñaptidharmo 'yaṃ na	apravRtti mAtraM. sA asO samApattiH iti prajQapyate. prajQapti DarmaH ayam na
   dravyadharma ity arthaḥ. yadi na dravyadharmaḥ katham asau saṃskṛtam iti	dravya DarmaH iti arTaH. yadi na dravya DarmaH kaTam asO saMskRtam iti
   prajñapyate ity ata āha. tac cāpravṛttimātraṃ. na pūrvam abhūt	prajQapyate iti atas Aha. tat ca apravRtti mAtraM. na pUrvam aBUt 
   nottarakālaṃ vyutthitasya yogino bhavatīti. saṃskṛtāsau samāpattir	na uttara kAlam vyutTitasya yoginaH Bavati iti. saMskRtA asO samApattiH 
   asaṃjñisamāpattir nirodhasamāpattir vā prajñapyate saṃvyavahārato na tu	asaMjQi samApattiH niroDa samApattiH vA prajQapyate saMvyavahArataH na tu
   dravyataḥ. atha veti vistaraḥ. āśrayasyaiva tathāsamāpādanaṃ	dravyataH. aTa vA iti vistaraH. ASrayasya eva taTA asamApAdanam
   tathāvyavasthānam. avasthāviśeṣaḥ. samāpattijanitāyā asyāḥ samāpattir ity	taTA avyavasTAnam. avasTA viSezaH. samApatti janitAyAH asyAH samApattiH iti 
   arthaḥ. sa cāvasthāviśeṣaḥ pūrvaṃ nāsīt pāścāc ca na bhavati	arTaH. sa ca avasTA viSezaH pUrvam na AsIt pAScAt ca na Bavati
   vyutthitasyeti saṃskṛtatvaṃ na virudhyate. atha vā samāpadanam iti pāṭhaḥ.	vyutTitasya iti saMskRta tvam na viruDyate. aTa vA samApadanam iti pAWaH.
   saṃskṛtāvasthāviśeṣatvād asyāḥ samāpatteḥ saṃskṛtatvaṃ sidhyatīty arthaḥ.	saMskRta avasTA viSeza tvAt asyAH samApatteH saMskRta tvam siDyati iti arTaH.
   evam āsaṃjñikam iti vistaraḥ. cittam evāsau yogī tatrāsaṃjñiṣu	evam AsaMjQikam iti vistaraH. cittam eva asO yogI tatra asaMjQizu
   cittapravṛttiviruddhaṃ labhate. tac cāpravṛttimātraṃ cittacaittānām iti	citta pravRtti virudDam laBate. tat ca apravRtti mAtram citta cEttAnAm iti
   vākyaśeṣaḥ. āsaṃjnikam iti prajñapyate na tu dravyato 'stīty abhiprāyaḥ.	vAkya SezaH. AsaMjnikam iti prajQapyate na tu dravyataH asti iti aBiprAyaH.
   (II.46ab) ya ūṣmaṇa iti vistaraḥ. ūṣmaṇo vijñānasya ca jīvitapratibaddhā	(II.46ab) yaH UzmaNaH iti vistaraH. UzmaNaH vijQAnasya ca jIvita pratibadDA
   pravṛttiḥ. tasmāj jīvitam ūṣmaṇo vijñānasya cādhāra ucyate sthitihetus	pravRttiH. tasmAt jIvitam UzmaNaH vijQAnasya ca ADAraH ucyate sTiti hetuH 
   tayor eva. nityānivṛttiprasaṃga [Tib. 156a] iti. nityam eṣāṃ srotaḥ	tayoH eva. nitya anivRtti prasaMga [Tib. 156a] iti. nityam ezAm srotaH
   prasajyeta. nikāyasabhāgasya sthitikālāvedha iti. nikāyasabhāgo	prasajyeta. nikAya sa BAgasya sTiti kAla AveDaH iti. nikAya saBAgaH 
   vyākhyātaḥ. ta eva tathābhūtās saṃskārā rūpādiskaṃdhasvabhāvā iti. teṣāṃ	vyAKyAtaH. te eva taTABUtAH saMskArAH rUpa Adi skaMDa svaBAvAH iti. tezAm
   sthitiḥ prabaṃdhaḥ. tasyāḥ kālo yāvat tena sthātavyaṃ. ta eva tāvaṃtaḥ	sTitiH prabaMDaH. tasyAH kAlaH yAvat tena sTAtavyan. te eva tAvaMtaH
   saṃskārakṣaṇāḥ. tasyāvedhaḥ (Abhidh k vy 169) pratisaṃdhikṣaṇe	saMskAra kzaNAH. tasya AveDaH (a aBiD k vI 169) pratisaMDi kzaNe
   pūrvajanmakarmaṇo hetubhāvavyavasthānaṃ. kaḥ punar asau hetuḥ.	pUrva janma karmaNaH hetu BAva vyavasTAnan. kaH punar asO hetuH.
   sāmarthyaviśeṣaḥ. sa hi skandhaprabandhalakṣaṇāyāḥ sthiteḥ	sAmarTya viSezaH. sa hi skanDa prabanDa lakzaNAyAH sTiteH
   kṣaṇaparaṃparayā kāraṇaṃ bhavati. ata eva sthitikālāvedha ucyate.	kzaNa paraMparayA kAraNam Bavati. atas eva sTiti kAla AveDaH ucyate.
   tāvatkālaṃ pravāhākṣepalakṣaṇatvāt. tāvat so 'vatiṣṭhata iti. sa	tAvat kAlam pravAha Akzepa lakzaNa tva at. tAvat saH avatizWate iti. sa
   nikāyasabhāgaḥ. sasyānāṃ pākakālāvedhavat. yathā sasyānāṃ pākakālāvedhaḥ	nikAya sa BAgaH. sasyAnAm pAka kAla AveDavat. yaTA sasyAnAm pAka kAla AveDaH
   sāmarthyaviśeṣasvabhāvo bījenāṃkura evādhīyate yaḥ kṣaṇaparaṃparayā ā	sAmarTya viSeza svaBAvaH bIjena aMkuraH eva ADIyate yaH kzaNa paraMparayA A
   pākakālāt sasyasaṃtānahetur bhavati. tadvad etat.	pAka kAlAt sasya saMtAna hetuH Bavati. tadvat etat .
   kṣipteṣusthitikālāvedhavac ca. yathā kṣiptasyeṣoḥ śarasya sthitir	kzipta izu sTiti kAla AveDa vat ca. yaTA kziptasya izoH Sarasya sTitiH 
   ākāśadeśāṃtarotpattiḥ saṃtānānuvṛttiḥ. tasyāḥ kālo maryādā yataḥ pareṇa sā	AkASa deSAMtara utpattiH saMtAna anuvRttiH. tasyAH kAlaH maryAdA yatas pareNa sA
   na bhavati. tasyāvedho hetuvyavasthānaṃ. kaḥ punar asau hetuḥ.	na Bavati. tasya AveDaH hetu vyavasTAnaM. kaH punar asO hetuH.
   prayatnabhūtātiśayanirvṛttavāyudhātujanitasāmarthyaviśeṣaḥ. tadyathā	prayatna BUta atiSaya nirvRtta vAyu DAtu janita sAmarTya viSezaH. tat yaTA
   kṣipteṣusthitikālāvedho na dravyāṃtaraṃ tadvad ayam āyurlakṣaṇam āvedho	kzipta izu sTiti kAla AveDaH na dravya aMtaram tadvat ayam AyuH lakzaNam AveDaH 
   draṣṭavyaḥ.	drazwavyaH.
   yas tu manyata iti vaiśeṣikaḥ. saṃskāro nāma guṇaviśeṣa iti. pṛthivyādīnāṃ	yaH tu manyate iti vESezikaH. saMskAraH nAma guNa viSezaH iti. pRTivI AdInAm
   vaiśeṣiko guṇaḥ saṃskāro nāma karmajaḥ [Tib. 156b] karmahetuś ca	vESezikaH guNaH saMskAraH nAma karma jaH [Tib. 156b] karma hetuH ca
   vegadvitīyanāmā iṣau jāyate. yadvaśād yasya guṇasya vaśād gamanam iṣor ā	vega dvitIya nAmA izO jAyate. yad vaSAt yasya guNasya vaSAt gamanam izoH A
   patanād bhavatīti. taṃ praty adṛṣṭānta eṣaḥ. yathā hi saṃskāro nāma	patanAt Bavati iti. tam prati adRzwAntaH ezaH. yaTA hi saMskAraH nAma
   bhāvāṃtaram asti. evam āyur syād iti. tena tan mataṃ dūṣayaty ācāryaḥ.	BAvAMtaram asti. evam AyuH syAt iti. tena tat matam dUzayati AcAryaH.
   tasyeti vistaraḥ. tasya vaiśeṣikasya tadekatvāt saṃskāraikatvāt.	tasya iti vistaraH. tasya vESezikasya tad eka tvAt saMskAra eka tvAt.
   pratibaṃdhābhāvāc ca pratibaṃdhasya kāṣṭhapratyāghātādilakṣaṇasyābhāvāc	pratibaMDa aBAvAt ca pratibaMDasya kAzWa pratyAGAta Adi lakzaNasya aBAvAt 
   ca. kiṃ. deśāṃtaraiḥ śīghrataratamaprāptikālabhedānupapattiḥ. śīghrā	ca. kiM. deSAMtarEH SIGrataratama prApti kAla Beda anupapattiH. SIGrA
   śīghratarā śīghratamā prāptiḥ śīghrataratamaprāptiḥ. kaiḥ. saha	SIGratarA SIGratamA prAptiH SIGrataratama prAptiH. kEH. saha
   deśāṃtarair ākāśadeśādibhiḥ. tasyāḥ kālaḥ. tasya bhedaḥ. tasyānupapatti.	deSAMtarEH AkASa deSa AdiBiH. tasyAH kAlaH. tasya BedaH. tasya anupapatti.
   śīghrā śīghratarā śīghratamā deśāṃtaraiḥ saha prāptir nopapadyate.	SIGrA SIGratarA SIGratamAH deSAMtarEH saha prAptiH na upapadyate.
   pūrvoktād asmāt kāraṇadvayāt saṃskārasyāviśiṣṭatvāt patanānupapattiś ca.	pUrva uktAt asmAt kAraNa dvayAt saMskArasya aviSizwa tvAt patana anupapattiH ca.
   patanaṃ ca iṣor nopapadyate sati saṃskāre. na hy etad iṣṭam sati kāraṇe	patanam ca izoH na upapadyate sati saMskAre. na hi etat izwam sati kAraNe
   kāryaṃ na bhavatīti. vāyunā tatpratibaṃdha iti cet syān mataṃ vāyur atra	kAryam na Bavati iti. vAyunA tad pratibaMDaH iti ced syAt matam vAyuH atra
   pratibaṃdhaḥ. pratibaṃdhaviśeṣāc chīghrataratamaprāptikālabhedaḥ patanaṃ	pratibaMDaH. pratibaMDa viSezAt SIGrataratama prApti kAla BedaH patanam
   copapadyata iti sparśavaddravyasaṃyogād abhāvaḥ karmaṇa iti vacanāt.	ca upapadyate iti sparSavat dravya saMyogAt aBAvaH karmaNaH iti vacanAt .
   atrocyate arvākpatanaprasaṃgo jyāvibhāgānaṃtaram evārvāg avarata eva	atra ucyate arvAk patana prasaMgaH jyA viBAgAnaMtaram eva arvAk avarataH eva
   vāyusaṃyogāt sa iṣu patet. atha pratibadhyamāno 'pi vāyunā nārvāk patet na	vAyu saMyogAt saH izu patet. aTa pratibaDyamAnaH api vAyunA na arvAk patet na
   vā kadācit [Tib. 157a] patet na paścād api pated ity arthaḥ. kiṃkāraṇaṃ.	vA kadAcid [Ti b. 157a] patet na paScAt api patet iti arTaH. kiMkAraNaM.
   vāyor aviśeṣāt. yathā hi samīpe vāyur evaṃ dūre 'pīti.	vAyoH aviSeza at. yaTA hi samIpe vAyuH evam dUre api iti.
   caturthī viṣamāparihāreṇeti. atyaśanāder viṣamasyāparihāreṇa. kṣīṇa āyuṣi	caturTI vizama aparihAreNa iti. atyaSana AdeH vizamasya aparihAreNa. kzINaH Ayuzi
   puṇyakṣayasya maraṇe nāsti sāmarthyaṃ. tena tṛtīyā koṭir na prāpnoti.	puNya kzayasya maraNe na asti sAmarTyan. tena tRtIyA kowiH na prApnoti.
   tasmād ubhayakṣaye sati maraṇam ubhayakṣayād iti. ubhayakṣaye satīti yo	tasmAt uBaya kzaye sati maraNam uBaya kzayAt iti. uBaya kzaye sati iti yaH 
   'rthaḥ. (Abhidh k vy 170) so 'rtha ubhayakṣayād ity ayam artha ukto	arTaH. (a aBiD k vI 170) saH arTaH uBaya kzayAt iti ayam arTaH uktaH 
   veditavyaḥ. āyurakṣayād api maraṇaṃ bhavatīti kathaṃ gamyate.	veditavyaH. AyuH akzayAt api maraNam Bavati iti kaTam gamyate.
   sasyādisādharmyāt. sasyādīnāṃ hi bījāvedhaparikṣaye sati satsu	sasya Adi sADarmyAt. sasya AdInAm hi bIja AveDa parikzaye sati satsu
   pratyayāṃtareṣu kṣetrodakādiṣu dṛṣṭā saṃtānanivṛttir aprāpyaiva phalakālaṃ	pratyaya aMtarezu kzetra udaka Adizu dRzwA saMtAna nivRttiH aprApya eva Pala kAlam
   phalapākakālaṃ vā. bījasya nātisāratvāt. saty api ca sārabījākṣepe	Pala pAka kAlam vA. bIjasya na atisAra tva at. sati api ca sAra bIja Akzepe
   salilādisthitivṛddhipratyābhāvād dṛṣṭā saṃtānanivṛttiḥ.	salila Adi sTiti vRdDi pratyABAvAt dRzwA saMtAna nivRttiH.
   sārabījākṣepasthitivṛddhipratyayābhāve 'pi dṛṣṭā. yadā bījākṣepaś ca	sAra bIja Akzepa sTiti vRdDi pratyaya aBAve api dRzwA. yadA bIja AkzepaH ca
   parisamāpto bhavati salilasya cābhāvaḥ. saty api ca sārabījākṣepe	parisamAptaH Bavati salilasya ca aBAvaH. sati api ca sAra bIja Akzepe
   salilādisthitivṛddhipratyaye ca jaṃgamādyupakramakṛtā dṛṣṭā sasyādīnāṃ	salila Adi sTiti vRdDi pratyaye ca jaMgama Adi upakrama kRtA dRzwA sasya AdInAm
   saṃtānanivṛttir iti. yasyāśrayopaghātād upaghātas tatsaṃtatyadhīnatvād	saMtAna nivRttiH iti. yasya ASraya upaGAtAt upaGAtaH tad saMtati aDIna tvAt 
   iti. bahirdeśikamatam etat. āśrayasaṃtatipratibaddhaṃ tad āyur iti	iti. bahis deSika matam etat. ASraya saMtati pratibadDam tat AyuH iti
   saṃtatyupanibaddham ity ucyate. kāśmīramate 'pi sa evārthaḥ. śabdamātraṃ	saMtati upanibadDam iti ucyate. kASmIramate api saH eva arTaH. Sabda mAtram
   tu bhidyate. sāṃtarāyaṃ niraṃtarāyam iti. atha vā saṃtatyupanibaddham iti	tu Bidyate. sAMtarAyam niraMtarAyam iti. aTa vA saMtati upanibadDam iti
   svasaṃtatyupanibaddhaṃ saṃtānavarty eva tat kevalaṃ na tu sakṛd utpannaṃ	sva saMtati upanibadDam saMtAna vartI eva tat kevalam na tu sakRt utpannam
   tiṣṭhatīti [Tib. 157b] sāṃtarāyam ity ucyate. anenāgamena asty akālamṛtyur	tizWati iti [Ti b. 157b] sAMtarAyam iti ucyate. anena Agamena asti akAla mRtyuH 
   iti darśayann āha. sūtre 'py uktaṃ catvāra ātmabhāvapratilaṃbhā iti	iti darSayan Aha. sUtre api uktam catvAraH Atma BAva pratilaMBAH iti
   vistaraḥ. ātmasaṃcetanā ātmanā māraṇaṃ. parasaṃcetanā pareṇa māraṇaṃ.	vistaraH. Atma saMcetanAH AtmanA mAraNaM. para saMcetanA pareNa mAraNaM.
   buddhānāṃ ceti vaktavyaṃ. kim. ātmasaṃcetanaiva kramate. svayaṃmṛtyutvāt.	budDAnAm ca iti vaktavyan. kim. Atma saMcetanA eva kramate. svayaMmRtyu tvA at.
   anupakramaṇadharmāṇo hi buddhā bhagavaṃto āyurutsargavaśitvalābhinaś ca.	anupakramaNa DarmANaH hi budDAH BagavaMtaH AyuH utsarga vaSitva lABinaH ca.
   prāyeṇeti grahaṇaṃ	prAyeNa iti grahaNam
   caturthakoṭyabhihitanārakāṃtarābhavikādiparivarjanārthaṃ. rājarṣayaś	caturTa kowI aBihita nAraka aMtara aBavikA Adi parivarjana arTaM. rAjarzayaH 
   cakravartipūrvā pravrajitāḥ. jinadūto yo buddhena bhagavatā dūtaḥ kaścit	cakravarti pUrvA pravrajitAH. jinadUtaH yaH budDena BagavatA dUtaH kaScid 
   saṃpreṣitaḥ tadyathā śukaḥ kaścid bhagavatā āmrapālyāḥ preṣito	saMprezitaH tat yaTA SukaH kaScid BagavatA Amra pAlyAH prezitaH 
   licchavibhiś ca yogyāṃ kurvāṇair dṛṣṭaḥ śarajālenāpūryamāṇo 'pi mārayituṃ	licCaviBiH ca yogyAm kurvANEH dRzwaH Sara jAlena ApUryamANaH api mArayitum
   na śakyate. yāvad dhi sa dūtakṛtyaṃ na karoti tāvan nātmasaṃcetanā kramate	na Sakyate. yAvat Di sa dUta kRtyam na karoti tAvat na Atma saMcetanA kramate
   na parasaṃcetanā. jinādiṣṭa iyaṃtaṃ kālam anena jīvitavyam iti ya ādiṣṭo	na para saMcetanA. jina AdizwaH iyaMtam kAlam anena jIvitavyam iti yaH AdizwaH 
   bhagavatā. dharmilādayaḥ pūrvayogavidbhya āgamitavyāḥ. ādiśabdena cānye	BagavatA. Darmila AdayaH pUrva yoga vidByaH AgamitavyAH. Adi Sabdena ca anye
   'pi tata eva cāgamayitavyāḥ. teṣāṃ nātmasaṃcetanā kramate na	api tatas eva ca agamayitavyAH. tezAm na Atma saMcetanA kramate na
   parasaṃcetanā. caramabhavikānāṃ ca ye tasminn eva jannani arhattvaṃ	para saMcetanA. carama BavikAnAm ca ye tasmin eva jannani arhat tvam
   prāpnuvaṃti. bodhisattvamātus tatgarbhāyā bodhisattvagarbhāyāḥ.	prApnuvaMti. boDisattva mAtuH tad garBAyAH boDisattva garBAyAH.
   cakravartimātuḥ cakravartigarbhāyā nātmasaṃcetanā [Tib. 158a] na	cakravarti mAtuH cakravarti garBAyAH na Atma saMcetanAH [Tib. 158a] na
   parasaṃcetanā. yadi tarhi sarveṣāṃ rūpārūpyāvacarāṇāṃ nātmasaṃcetanā na	para saMcetanA. yadi tarhi sarvezAm rUpa ArUpya avacarANAm na Atma saMcetanAH na
   parasaṃcetanā atha kasmāt sūtre uktam iti vistaraḥ. tatra cobhayaṃ	para saMcetanAH aTa kasmAt sUtre uktam iti vistaraH. tatra ca uBayam
   nāstīti. tatra naivasaṃjñānāsaṃjñāyatane svabhūmika āryamārgo nāsti yāvad	na asti iti. tatra na eva saMjQAna asaMjQA yatane sva BUmikaH Arya mArgaH na asti yAvat 
   eva saṃjñāsamāpattis tāvad ājñāprativedha iti vacanāt. nāpy	eva saMjQA samApattiH tAvat AjQA prativeDaH iti vacanAt. na api 
   uparibhūmisāmaṃtaka ūrdhvabhūmyabhāvāt. parabhūmika āryamārga ity	upari BUmi sAmaMtakaH UrDva BUmi aBAvAt. para BUmikaH Arya mArgaH iti 
   ākiṃcanyāyatanabhūmikaḥ.	AkiMcanya Ayatana BUmikaH.
   (Abhidh k vy 171)	(a aBiD k vi 171)
   āryākiṃcanyasāmmukhyād bhavāgre tv āsravakṣaya	AryA kiMcanya sAmmuKyAt Bava agre tu Asrava kzaya
   iti vacanāt. paryaṃtagrahaṇāt tarhīti. tarhīty arthāṃtaravivakṣāyāṃ	iti vacanAt. paryaMta grahaNAt tarhi iti. tarhi iti arTAMtara vivakzAyAm
   nipātaḥ. tadādisaṃpratyaya iti. tasya paryaṃtasya	nipAtaH. tad Adi saMpratyayaH iti. tasya paryaMtasya
   naivasaṃjñānāsaṃjñāyatanasyādiś catvāri dhyānāni trayaś ca śeṣā ārūpyāḥ.	na eva saMjQAna asaMjQAyatanasya AdiH catvAri DyAnAni trayaH ca SezAH ArUpyAH.
   na tu kāmadhātus tadādir asamāhitatvena visādṛśyāt. samāpattito vā	na tu kAmaDAtuH tad AdiH asamAhita tvena visAdRSya at. samApattitaH vA
   dhyānārūpyā eva tadādiḥ. navānupūrvasamāpattaya iti vacanāt. tatra	DyAnArUpyAH eva tad AdiH. nava anupUrva samApattayaH iti vacanAt. tatra
   saṃpratyayas tadādisaṃpratyayaḥ. asti kvacid anyatrāpy evaṃ dṛṣṭam iti	saMpratyayaH tad Adi saMpratyayaH. asti kvacid anyatra api evam dRzwam iti
   astīty āha. kvacid ādinā paryaṃta ityādi.tadyathā devā brahmakāyikā iti.	asti iti Aha. kvacid AdinA paryaMte ityAdi.tat yaTA devAH brahmakAyikAH iti.
   devā brahmakāyikāḥ tatparyaṃtagrahaṇāc ca brahmapurohitā mahābrahmāṇaś ca	devAH brahmakAyikAH tad paryaMta grahaNAt ca brahma purohitAH mahAbrahmANaH ca
   prathamā sukhopapattiḥ. tadyathā devā ābhāsvarā iti. ābhāsvarās	praTamA suKa upapattiH. tat yaTA devAH ABAsvarA iti. ABAsvarAH 
   tadādigrahānāc ca parīttābhā apramāṇābhāś ca dvitīyā sukhopapattir iti.	tad Adi grahAnAt ca parItta ABAH apramANa ABAH ca dvitIyA suKa upapattiH iti.
   tisra eva hi sukhopapattaya [Tib. 158b] iṣyaṃte	tisraH eva hi suKa upapattayaH [Tib. 158b] izyaMte
   sukhopapattayas tisro nava tridhyānabhūmaya	suKa upapattayaH tisraH nava tri DyAna BUmaya
