   āpastambaśulbasūtraṃ	Apastamba-Sulba-sUtram
   yathāsaṅkhyam itarā vyavalikhya yathāyogam upadadhyāt || ĀpŚus_7.15 ||	yaTAsaFKyam itarAH vyavaliKya yaTAyogam upadaDyAt || ĀpŚuH-_7.15 ||
   bhavatīva khalu vā eṣa yo 'gniṃ cinute iti vijñāyate | vayasāṃ vā eṣa	Bavati-iva Kalu vE eza yaH agnim cinute iti vijQAyate | vayasAm vE eza
   pratimayā cīyata ityākṛticodanāt | pratyakṣavidhānādvā || ĀpŚus_8.1 ||	pratimayA cIyate iti-AkRti-codanAt | pratyakza-viDAnAt-vA || ĀpŚuH-_8.1 ||
   yāvadāmnānena veṇunā caturaśre ātmani puruṣān avamimote || ĀpŚus_8.2a ||	yAvat-AmnA-anena veNunA caturaSre Atmani puruzAn avamimote || ĀpŚuH-_8.2aH ||
   puruṣaṃ dakṣiṇe pakṣe puruṣaṃ pucche puruṣam uttare || ĀpŚus_8.2b ||	puruzam dakziNe pakze puruzam pucCe puruzam uttare || ĀpŚuH-_8.2B ||
   aratninā dakṣiṇato dakṣiṇaṃ pakṣaṃ vardhayati | evam uttarata uttaram ||	aratninA dakziNatas dakziNam pakzam varDayati | evam uttaratas uttaram ||
   ĀpŚus_8.2c ||	ĀpŚuH-_8.2t ||
   prādeśena vitastyā vā paścātpuccham || ĀpŚus_8.2d ||	prAdeSena vitastyA vA paScAt-pucCam || ĀpŚuH-_8.2d ||
   ekavidhaḥ prathamo 'gnir dvividho dvitīyas trividhas tṛtīyaḥ ta evam	ekaviDaH praTamaH agniH dviviDaH dvitIyaH triviDaH tRtIyaH te evam
   evodyantyaikaśatavidhāt || ĀpŚus_8.3 ||	eva-udyantya-eka-SataviDAt || ĀpŚuH-_8.3 ||
   tad u ha vai saptavidham eva cinvīta | saptavidho vāva prākṛto 'gniḥ |	tat u ha vE saptaviDam eva cinvIta | saptaviDaH vAva prAkRtaH agniH |
   tata ūrdhvam ekottarān iti vijñāyate || ĀpŚus_8.4 ||	tatas UrDvam eka-uttarAn iti vijQAyate || ĀpŚuH-_8.4 ||
   ekavidhaprabhṛtīnāṃ na pakṣapucchāni bhavanti | saptavidhavākyaśeṣatvāc	ekaviDa-praBRtInAm na pakza-pucCAni Bavanti | saptaviDa-vAkya-Seza-tvAt-
   chrutivipratiṣedhāc ca || ĀpŚus_8.5 ||	Cruti-vipratizeDAt ca || ĀpŚuH-_8.5 ||
   aṣṭavidhaprabhṛtīnāṃ yad anyat saptabhyas tat saptadhā vibhajya	azwaviDa-praBRtInAm yat anyat saptaByaH tat saptaDA viBajya
   pratipuruṣam āveśayet || ĀpŚus_8.6a ||	prati-puruzam AveSayet || ĀpŚuH-_8.6aH ||
   ākṛtivikārasyāśrutatvāt || ĀpŚus_8.6b ||	AkRti-vikArasya-aSruta-tvAt || ĀpŚuH-_8.6B ||
   puruṣamātreṇa vimimīte' veṇunā vimimīte, iti vijñāyate || ĀpŚus_8.7 ||	puruza-mAtreNa vimimIte-a veNunA vimimIte, iti vijQAyate || ĀpŚuH-_8.7 ||
   yāvān yajamāna ūrdhvabāhus tāvad antarāle veṇoś chidre karoti madhye	yAvAn yajamAnaH UrDvabAhuH tAvat antarAle veNoH Cidre karoti maDye
   tṛtīyam || ĀpŚus_8.8 ||	tRtIyam || ĀpŚuH-_8.8 ||
   apareṇa yūpāvaṭadeśam anupṛṣṭhyaṃ veṇuṃ nidhāya chidreṣu śaṅkūn	apareNa yUpAvawa-deSam anupRzWyam veNum niDAya Cidrezu SaFkUn
   nihatyonmucyāparābhyāṃ dakṣiṇāprāk parilikhed āntāt || ĀpŚus_8.9 ||	nihatya-unmucya-aparAByAm dakziNA-prAk pariliKet AntAt || ĀpŚuH-_8.9 ||
   unmucya pūrvasmād aparasmin pratimucya dakṣiṇā pratyakparilikhed āntāt ||	unmucya pUrvasmAt aparasmin pratimucya dakziNA pratyak-pariliKet AntAt ||
   ĀpŚus_8.10 ||	ĀpŚuH-_8.10 ||
   unmucya veṇuṃ madhyame śaṅkāv antyaṃ veṇoś chidraṃ pratimucyoparyupari	unmucya veNum maDyame SaFkO antyam veNoH Cidram pratimucya-upari-upari
   lekhāsamaraṃ dakṣiṇā veṇuṃ nidhāyāntye chidre śaṅkuṃ nihatya tasmin	leKA-samaram dakziNAH veNum niDAya-antye Cidre SaFkum nihatya tasmin
   madhyamaṃ veṇoś chidraṃ pratimucya lekhāntayor itare pratiṣṭhāpya	maDyamam veNoH Cidram pratimucya leKa-antayoH itare pratizWApya
   chidrayoḥ śaṅkū nihanti || ĀpŚus_9.1a ||	CidrayoH SaFkU nihanti || ĀpŚuH-_9.1aH ||
   sa puruṣaś caturaśraḥ || ĀpŚus_9.1b ||	sa puruzaH caturaSraH || ĀpŚuH-_9.1B ||
   evaṃ puradakṣiṇaṃ catura ātmani puruṣānavamimīte || ĀpŚus_9.2a ||	evam pura-dakziNam caturaH Atmani puruzAn-avamimIte || ĀpŚuH-_9.2aH ||
   puruṣaṃ dakṣiṇe pakṣe | puruṣaṃ pucche puruṣam uttare || ĀpŚus_9.2b ||	puruzam dakziNe pakze | puruzam pucCe puruzam uttare || ĀpŚuH-_9.2B ||
   aratninā dakṣiṇato dakṣiṇam ity uktam || ĀpŚus_9.2c ||	aratninA dakziNatas dakziNam iti uktam || ĀpŚuH-_9.2t ||
   pṛṣṭhyāto vā puruṣamātrasyākṣṇayā veṇuṃ nidhāya pūrvasminn itaram |	pRzWyAtaH vA puruza-mAtrasya-akzNayA veNum niDAya pUrvasmin itaram |
   tābhyāṃ dakṣiṇaṃ aṃsaṃ nirharet | viparyasya śroṇī || ĀpŚus_9.3a ||	tAByAm dakziNam aMsam nirharet | viparyasya SroNI || ĀpŚuH-_9.3aH ||
   pūrvavad uttaram aṃsam || ĀpŚus_9.3b ||	pUrvavat uttaram aMsam || ĀpŚuH-_9.3B ||
   rajjvā vā vimāyottaravedinyāyena veṇunā vimimīte || ĀpŚus_9.4 ||	rajjvA vA vimAya-uttara-vedi-nyAyena veNunA vimimIte || ĀpŚuH-_9.4 ||
   sapakṣapuccheṣu vidhābhyāse 'pacaye ca vidhāsaptamakaraṇīṃ puruṣasthānīyāṃ	sa-pakza-pucCezu viDa-aByAse apacaye ca viDAsaptam-akaraNIm puruza-sTAnIyAm
   kṛtvā viharet || ĀpŚus_9.5 ||	kRtvA viharet || ĀpŚuH-_9.5 ||
   karaṇānāṣṭakānāṃ puruṣasya pañcamena kārayet || ĀpŚus_9.6a ||	karaNAna-azwakAnAm puruzasya paQcamena kArayet || ĀpŚuH-_9.6aH ||
   tāsām evaikato 'dhyardhās tad dvitīyam | puruṣasya pañcamo bhāga ekataḥ	tAsAm eva-ekatas aDyarDAH tat dvitIyam | puruzasya paQcamaH BAgaH ekatas-
   prādeśa ekataḥ tat tṛtīyam || ĀpŚus_9.6b ||	prAdeSaH ekatas tat tRtIyam || ĀpŚuH-_9.6B ||
   sarvataḥ prādeśas tac caturtham | samacaturaśrāḥ pañcadaśabhāgīyās tat	sarvatas prAdeSaH tat caturTam | sama-caturaSrAH paQcadaSa-BAgIyAH tat-
   pañcamam || ĀpŚus_9.6c ||	paQcamam || ĀpŚuH-_9.6t ||
   ūrvdhvapramāṇamiṣṭakānāṃ jānoḥ jānoḥ pañcamena kārayet || ĀpŚus_9.7a ||	UrvDva-pramANam-izwakAnAm jAnoH jAnoH paQcamena kArayet || ĀpŚuH-_9.7aH ||
   ardhena nākasadāṃ pañcacūḍānāṃ ca || ĀpŚus_9.7b ||	arDena nAkasadAm paQca-cUxAnAm ca || ĀpŚuH-_9.7B ||
   yat pacyamānānāṃ pratihrasīta purīṣeṇa tat sampūrayed aniyataparimāṇatvāt	yat pacyamAnAnAm pratihrasIta purIzeNa tat sampUrayet aniyata-parimANa-tvAt
   purīṣasya || ĀpŚus_9.8 ||	purIzasya || ĀpŚuH-_9.8 ||
   upadhāne 'dhyardhā daśa purastāt pratīcīr ātmany upadadhāti | daśa paścāt	upaDAne aDyarDAH daSa purastAt pratIcIH Atmani upadaDAti | daSa paScAt-
   prācīḥ || ĀpŚus_10.1a ||	prAcIH || ĀpŚuH-_10.1aH ||
   pañcapañca pakṣāgrayoḥ | pakṣāpyayayoś ca viśayās tāsām ardheṣṭakāmātrāṇi	paQca-paQca pakza-agrayoH | pakza-apyayayoH ca viSayAH tAsAm arDa-izwakA-mAtrANi
   pakṣayor bhavanti || ĀpŚus_10.1b ||	pakzayoH Bavanti || ĀpŚuH-_10.1B ||
   pañcapañca pucchapārśvayor dakṣiṇā udīcīś ca || ĀpŚus_10.1c ||	paQca-paQca pucCa-pArSvayoH dakziNAH udIcIH ca || ĀpŚuH-_10.1t ||
   pucche prādeśam upadhāya sarvam agniṃ pañcamabhāgīyābhiḥ pracchādayet ||	pucCe prAdeSam upaDAya sarvam agnim paQcama-BAgIyABiH pracCAdayet ||
   ĀpŚus_10.2 ||	ĀpŚuH-_10.2 ||
   pañcadaśabhāgīyābhiḥ saṅkhyāṃ pūrayet || ĀpŚus_10.3 ||	paQcadaSa-BAgIyABiH saFKyAm pUrayet || ĀpŚuH-_10.3 ||
   aparasmin prastāre 'dhyardhā daśa dakṣiṇata udīcīr ātmany upadadhāti |	aparasmin prastAre aDyarDAH daSa dakziNatas udIcIH Atmani upadaDAti |
   daśottarato dakṣiṇāḥ || ĀpŚus_10.4a ||	daSa-uttaratas dakziNAH || ĀpŚuH-_10.4aH ||
   yathā prathame prastāre pakṣau tathā puccham | yathā pucchaṃ tathā pakṣau	yaTA praTame prastAre pakzO taTA pucCam | yaTA pucCam taTA pakzO
   viparītā apyaye || ĀpŚus_10.4b ||	viparItAH api-aye || ĀpŚuH-_10.4B ||
   sarvam agniṃ pañcamabhāgīyābhiḥ pracchādayet || ĀpŚus_10.5 ||	sarvam agnim paQcama-BAgIyABiH pracCAdayet || ĀpŚuH-_10.5 ||
   pañcadaśabhāgīyābiḥ saṅkhyāṃ pūrayet || ĀpŚus_10.6a ||	paQcadaSa-BAgIyAbiH saFKyAm pUrayet || ĀpŚuH-_10.6aH ||
   vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet || ĀpŚus_10.6b ||	vyatyAsam cinuyAt yAvataH prastArAn cikIrzet || ĀpŚuH-_10.6B ||
   pañca citayo bhavanti | pañcabhiḥ purīṣair abhyūhatīti purīṣāntā citir	paQca citayaH Bavanti | paQcaBiH purIzEH aByUhati-iti purIza-antA citiH-
   arthāntaratvāt purīṣasya || ĀpŚus_10.7 ||	arTa-antara-tvAt purIzasya || ĀpŚuH-_10.7 ||
   jānudaghnīṃ sāhasraṃ cinvīta prathamaṃ cinvānaḥ || ĀpŚus_10.8a ||	jAnu-daGnIm sAhasram cinvIta praTamam cinvAnaH || ĀpŚuH-_10.8aH ||
   nābhidaghnīṃ dviṣāhasraṃ dvitīyam āsyadaghnīṃ triṣāhasraṃ tṛtīyam uttaram	nABi-daGnIm dvizAhasram dvitIyam Asya-daGnIm trizAhasram tRtIyam uttaram
   uttaraṃ jyāyāmsam || ĀpŚus_10.8b ||	uttaram jyAyAmsam || ĀpŚuH-_10.8B ||
   mahāntaṃ bṛhantam aparimitaṃ svargakāmaś cinvīteti vijñāyate ||	mahAntam bRhantam aparimitam svarga-kAmaH cinvIta-iti vijQAyate ||
   ĀpŚus_10.8c ||	ĀpŚuH-_10.8t ||
   dviṣāhasre dviprastārāś citayo bhavanti | triṣāhasra triprastārāś	dvizAhasre dvi-prastArAH citayaH Bavanti | trizAhasra tri-prastArAH-
   caturthaprabhṛtiṣv āhāreṣu nityam iṣṭakāparimāṇam || ĀpŚus_10.9 ||	caturTa-praBRtizu AhArezu nityam izwakA-parimANam || ĀpŚuH-_10.9 ||
   vijñāyate ca ḥna jyāyāṃsaṃ citvā kanīyāṃsaṃ cinvīteti' || ĀpŚus_10.10 ||	vijQAyate ca Hna jyAyAMsam citvA kanIyAMsam cinvIta-iti-a || ĀpŚuH-_10.10 ||
   caturaśrābhir agniṃ cinuta iti vijñāyata | samacaturaśrā anupapadatvāc	caturaSrABiH agnim cinutaH iti vijQAyata | sama-caturaSrAH anupapadatvAt-
   chabdasya || ĀpŚus_11.1 ||	Cabdasya || ĀpŚuH-_11.1 ||
   pādamātrayo bhavanti aratnimātrayo bhavanty ūrvasthimātrayo bhavanty	pAda-mAtrayaH Bavanti aratni-mAtrayaH Bavanti Uru-asTi-mAtrayaH Bavanti-
   aṇūkamātrayo bhavantīti vijñāyate || ĀpŚus_11.2 ||	aNUka-mAtrayaH Bavanti-iti vijQAyate || ĀpŚuH-_11.2 ||
   caturbhāgīyamaṇūkam | pañcamabhāgīyāratniḥ | tathorvasthi || ĀpŚus_11.3a	catur-BAgIyam-aNUkam | paQcama-BAgIya-aratniH | taTA-urvasTi || ĀpŚuH-_11.3a
   pādeṣṭakā pādamātrī || ĀpŚus_11.3b ||	pAda-izwakA pAda-mAtrI || ĀpŚuH-_11.3B ||
   tatra yathākāmī śabdārthasya viśayitvāt || ĀpŚus_11.4 ||	tatra yaTAkAmI Sabda-arTasya viSayitvAt || ĀpŚuH-_11.4 ||
   upadhāne 'ṣṭāvaṣṭau pādeṣṭakāś caturbhāgīyānāṃ pakṣāgrayor nidadhyāt |	upaDAne azwO=-azwO pAda-izwakAH catur-BAgIyAnAm pakza-agrayoH nidaDyAt |
   sandhyoś ca tadvad ātmānaṃ ṣaḍaṅgulāpetāḥ || ĀpŚus_11.5a ||	sanDyoH ca tadvat AtmAnam zaz-aFgula-apetAH || ĀpŚuH-_11.5aH ||
   śroṇyaṃseṣu cāṣṭau prācīḥ pratīciś ca || ĀpŚus_11.5b ||	SroNi-aMsezu ca-azwO prAcIH pratIciH ca || ĀpŚuH-_11.5B ||
   sandhyantarāle pañcabhāgīyāḥ sapādāḥ || ĀpŚus_11.6 ||	sanDi-antarAle paQca-BAgIyAH sa-pAdAH || ĀpŚuH-_11.6 ||
   pucche prādeśamupadhāya sarvam agniṃ caturbhāgīyābhiḥ pracchādayet ||	pucCe prAdeSam-upaDAya sarvam agnim catur-BAgIyABiH pracCAdayet ||
   ĀpŚus_11.7 ||	ĀpŚuH-_11.7 ||
   pādeṣṭakābhiḥ saṃkhyāṃ pūrayet || ĀpŚus_11.8 ||	pAda-izwakABiH saMKyAm pUrayet || ĀpŚuH-_11.8 ||
   aparasmin prastāre pucchāpyaye pañcamabhāgīyā viśayāḥ || ĀpŚus_11.9a ||	aparasmin prastAre pucCa-apyaye paQcama-BAgIyAH viSayAH || ĀpŚuH-_11.9aH ||
   tā ātmani caturdaśabhiḥ pādair yathāyogaṃ paryupadadhyāt || ĀpŚus_11.9b ||	tAH Atmani caturdaSaBiH pAdEH yaTAyogam paryupadaDyAt || ĀpŚuH-_11.9B ||
   sarvam agniṃ pañcamabhāgīyābhiḥ pracchādayet || ĀpŚus_11.10 ||	sarvam agnim paQcama-BAgIyABiH pracCAdayet || ĀpŚuH-_11.10 ||
   pādeṣṭakākṣiḥ saṅkhyāṃ pūrayet || ĀpŚus_11.11a ||	pAda-izwakAkziH saFKyAm pUrayet || ĀpŚuH-_11.11aH ||
   vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet || ĀpŚus_11.11b ||	vyatyAsam cinuyAt yAvataH prastArAn cikIrzet || ĀpŚuH-_11.11B ||
   ekavidhaprabhṛtīnāṃ karaṇīnāṃ dvādaśena trayodaśenetīṣṭakāḥ kārayet ||	ekaviDa-praBRtInAm karaNInAm dvAdaSena trayodaSena-iti-izwakAH kArayet ||
   ĀpŚus_12.1a ||	ĀpŚuH-_12.1aH ||
   pādeṣṭakāś ca vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet || ĀpŚus_12.1b	pAda-izwakAH ca vyatyAsam cinuyAt yAvataH prastArAn cikIrzet || ĀpŚuH-_12.1b
   ekavidhaprabhṛtīnāṃ prathamāhāreṇa dvitīyena tṛtīyeneti yo yujyeta |	ekaviDa-praBRtInAm praTama-AhAreNa dvitIyena tRtIyena-iti yaH yujyeta |
   sarveṣāṃ yathā śrutisaṅkhyā tathordhvapramāṇam || ĀpŚus_12.2 ||	sarvezAm yaTA Sruti-saFKyA taTA-UrDva-pramANam || ĀpŚuH-_12.2 ||
   kāmyā guṇavikārāḥ guṇaśāstratvāt || ĀpŚus_12.3 ||	kAmyAH guNa-vikArAH guNa-SAstra-tvAt || ĀpŚuH-_12.3 ||
   praugacitaṃ cinvīta bhrātṛvyavān iti vijñāyate || ĀpŚus_12.4 ||	prOga-citam cinvIta BrAtRvyavAn iti vijQAyate || ĀpŚuH-_12.4 ||
   yāvānagniḥ sāratniprādeśo dvistāvatīṃ bhūmiṃ caturaśrāṃ kṛtvā pūrvasyāḥ	yAvAn-agniH sArat-niprAdeSaH dvis-tAvatIm BUmim caturaSrAm kRtvA pUrvasyAH
   karaṇyā ardhāc chroṇīṃ pratyālikhet | sā nityā praugam || ĀpŚus_12.5 ||	karaNyAH arDAt SroNIm pratyAliKet | sA nityA prOgam || ĀpŚuH-_12.5 ||
   karāṇāni cayanam ity ekavidhoktam || ĀpŚus_12.6a ||	karANAni cayanam iti ekaviDa-uktam || ĀpŚuH-_12.6aH ||
   praugā iṣṭakāḥ kārayet || ĀpŚus_12.6b ||	prOgAH izwakAH kArayet || ĀpŚuH-_12.6B ||
   ubhayayaḥ praugaṃ cinvīta yaḥ kāmayeta prajātān bhrātṛvyān nudeya	uBayayaH prOgam cinvIta yaH kAmayeta prajAtAn BrAtRvyAn nudeya
   pratijaniṣyamāṇān iti vijñāyate || ĀpŚus_12.7 ||	pratijanizyamANAn iti vijQAyate || ĀpŚuH-_12.7 ||
   yathā vimukhe śakaṭe || ĀpŚus_12.8 ||	yaTA vimuKe Sakawe || ĀpŚuH-_12.8 ||
   tāvad eva tīrghaṃ caturaśraṃ vihṛtya pūrvāparayoḥ karaṇyor ardhāt tāvati	tAvat eva tIrGam caturaSram vihRtya pUrva-aparayoH karaNyoH arDAt tAvati
   dakṣiṇottarayor nipātayet | sā nityobhabhayataḥ praugam || ĀpŚus_12.9 ||	dakziNa-uttarayoH nipAtayet | sA nitya-uBaBayatas prOgam || ĀpŚuH-_12.9 ||
   praugacitoktīḥ (-ktaṃ) | ubhayataḥ praugā iṣṭakāḥ kārayet || ĀpŚus_12.10	prOga-cita-uktIH (-ktaM) | uBayatas prOgAH izwakAH kArayet || ĀpŚuH-_12.10
   rathacakracitaṃ cinvīta bhrātṛvyavān iti vijñāyate || ĀpŚus_12.11 ||	raTa-cakra-citam cinvIta BrAtRvyavAn iti vijQAyate || ĀpŚuH-_12.11 ||
   yāvān agniḥ sāratniprādeśas tāvatīṃ bhūmiṃ parimaṇḍalāṃ kṛtvā tasmiṃś	yAvAn agniH sa-arat-ni-prAdeSaH tAvatIm BUmim parimaNxalAm kRtvA tasmin=-
   caturaśram avadadhyād yāvatsambhavet || ĀpŚus_12.12 ||	caturaSram avadaDyAt yAvat-samBavet || ĀpŚuH-_12.12 ||
   tasya karaṇyā dvādaśeneṣṭakāḥ kārayet || ĀpŚus_13.1 ||	tasya karaNyAH dvAdaSena-izwakAH kArayet || ĀpŚuH-_13.1 ||
   tāsāṃ ṣaṭ pradhāv upadhāya śeṣam aṣṭadhā vibhajet || ĀpŚus_13.2 ||	tAsAm zaw praDO upaDAya Sezam azwaDA viBajet || ĀpŚuH-_13.2 ||
   upadhāne caturaśrasyāvāntaradeśān prati sraktīḥ sampādayet |	upaDAne caturaSrasya-avAntara-deSAn prati sraktIH sampAdayet |
   madhyānītarasmin prastāre | vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet	maDyAni-itarasmin prastAre | vyatyAsam cinuyAt yAvataH prastArAn cikIrzet-
   || ĀpŚus_13.3 ||	|| ĀpŚuH-_13.3 ||
   droṇacitaṃ cinvītānnakāma iti vijñāyate || ĀpŚus_13.4 ||	droNa-citam cinvIta-anna-kAmaH iti vijQAyate || ĀpŚuH-_13.4 ||
   dvayāni tu khalu droṇāni, caturaśrāṇi parimaṇḍalāni ca || ĀpŚus_13.5 ||	dvayAni tu Kalu droNAni, caturaSrANi parimaNxalAni ca || ĀpŚuH-_13.5 ||
   tatra yathākāmī śabdārthasya viśayitvāt || ĀpŚus_13.6 ||	tatra yaTAkAmI Sabda-arTasya viSayitvAt || ĀpŚuH-_13.6 ||
   caturaśraṃ vā yasya guṇaśāstram || ĀpŚus_13.7 ||	caturaSram vA yasya guNa-SAstram || ĀpŚuH-_13.7 ||
   sa caturaśraḥ || ĀpŚus_13.8 ||	sa caturaSraH || ĀpŚuH-_13.8 ||
   paścāt tsarur bhavaty anurūpatvāyeti vijñāyate || ĀpŚus_13.9 ||	paScAt tsaruH Bavati anurUpa-tvAya-iti vijQAyate || ĀpŚuH-_13.9 ||
   sarvasyā bhūmer daśamaṃ tsarus tasya pucchena nirhāra uktaḥ || ĀpŚus_13.10	sarvasyAH BUmeH daSamam tsaruH tasya pucCena nirhAraH uktaH || ĀpŚuH-_13.10
   tasya karaṇyā dvādaśeneṣṭakāḥ kārayet | adhyardhāḥ pādeṣṭakāś ca ||	tasya karaNyAH dvAdaSena-izwakAH kArayet | aDyarDAH pAda-izwakAH ca ||
   ĀpŚus_13.11 ||	ĀpŚuH-_13.11 ||
   upadhāne 'dhyardhāḥ purastāt pratīcīr ātmany upadadhāti | tsarvarge	upaDAne aDyarDAH purastAt pratIcIH Atmani upadaDAti | tsarvarge
   śroṇyoś ca prācīḥ || ĀpŚus_13.12 ||	SroNyoH ca prAcIH || ĀpŚuH-_13.12 ||
   sarvam agniṃ caturaśrābhiḥ pracchādayet || ĀpŚus_13.13 ||	sarvam agnim caturaSrABiH pracCAdayet || ĀpŚuH-_13.13 ||
   pādeṣṭakābhiḥ saṅkhyāṃ pūrayet || ĀpŚus_13.14 ||	pAda-izwakABiH saFKyAm pUrayet || ĀpŚuH-_13.14 ||
   aparasmin prastāre 'dhyardhā dakṣiṇata udīcīr ātmany upadadhāty uttarataś	aparasmin prastAre aDyarDAH dakziNatas udIcIH Atmani upadaDAti uttaratas-
   ca dakṣiṇās tsarupārśvayor dakṣiṇā utīcīś ca || ĀpŚus_13.15 ||	ca dakziNAH tsaru-pArSvayoH dakziNAH utIcIH ca || ĀpŚuH-_13.15 ||
   sarvamagniṃ caturaśrābhiḥ pracchādayet || ĀpŚus_13.16 ||	sarvam-agnim caturaSrABiH pracCAdayet || ĀpŚuH-_13.16 ||
   pādeṣṭakākṣiḥ saṅkyāṃ pūrayet || ĀpŚus_13.17 ||	pAda-izwakAkziH saFkyAm pUrayet || ĀpŚuH-_13.17 ||
   vyatyāsaṃ cinuyād yāvataḥ prastārāṃścikīrṣet || ĀpŚus_13.18 ||	vyatyAsam cinuyAt yAvataH prastArAn=-cikIrzet || ĀpŚuH-_13.18 ||
   samūhyaṃ cinvīta paśukāma iti vijñāyate || ĀpŚus_14.1 ||	samUhyam cinvIta paSu-kAmaH iti vijQAyate || ĀpŚuH-_14.1 ||
   samūhanneveṣṭakā upadadhāti || ĀpŚus_14.2 ||	samUhan=-eva-izwakAH upadaDAti || ĀpŚuH-_14.2 ||
   dikṣu cātvālā bhavanti | tebhyaḥ puraṣimabhyudūhatīti vijñāyate ||	dikzu cAtvAlAH Bavanti | teByaH purazim-aByudUhati-iti vijQAyate ||
   ĀpŚus_14.3 ||	ĀpŚuH-_14.3 ||
   paricāyyaṃ cinvīta grāmakāma iti vijñāyate || ĀpŚus_14.4 ||	paricAyyam cinvIta grAma-kAmaH iti vijQAyate || ĀpŚuH-_14.4 ||
   madhyamāṃ svayamātṛṇṇāṃ pradakṣiṇamiṣṭakāgaṇaiḥ paricinoti | sa pariyāyyaḥ	maDyamAm svayamAtRNNAm pradakziNam-izwakA-gaNEH paricinoti | sa pariyAyyaH
   || ĀpŚus_14.5 ||	|| ĀpŚuH-_14.5 ||
   upacāyyaṃ cinvīta grāmakāma iti vijñāyate || ĀpŚus_14.6 ||	upacAyyam cinvIta grAma-kAmaH iti vijQAyate || ĀpŚuH-_14.6 ||
   paricāyyenoktaḥ || ĀpŚus_14.7 ||	paricAyyena-uktaH || ĀpŚuH-_14.7 ||
   śmaśānacitaṃ cinvīta yaḥ kāmayet pitṛloka ṛdhnuyāmiti vijñāyate ||	SmaSAna-citam cinvIta yaH kAmayet pitR-lokaH RDnuyAm-iti vijQAyate ||
   ĀpŚus_14.8 ||	ĀpŚuH-_14.8 ||
   dvayāni khalu śmamaśānāni caturaśrāṇi parimaṇḍalāni ca || ĀpŚus_14.9 ||	dvayAni Kalu SmamaSAnAni caturaSrANi parimaNxalAni ca || ĀpŚuH-_14.9 ||
   tatra yathākāmī śabdārthasya viśayitvāt || ĀpŚus_14.10 ||	tatra yaTAkAmI Sabda-arTasya viSayitvAt || ĀpŚuH-_14.10 ||
   caturaśraṃ vā | yasya guṇaśāstram || ĀpŚus_14.11 ||	caturaSram vA | yasya guNa-SAstram || ĀpŚuH-_14.11 ||
   sa caturaśraḥ | tsaruvarjaṃ droṇacitoktaḥ || ĀpŚus_14.12 ||	sa caturaSraH | tsaru-varjam droNa-cita-uktaH || ĀpŚuH-_14.12 ||
   chandaścitaṃ cinvīta paśukāma iti vijñāyate || ĀpŚus_14.13 ||	CandaH-citam cinvIta paSu-kAmaH iti vijQAyate || ĀpŚuH-_14.13 ||
   sarvaiś chandobiś cinuyād ity ekam | prākṛtair ity aparam || ĀpŚus_14.14	sarvEH CandobiH cinuyAt iti ekam | prAkRtEH iti aparam || ĀpŚuH-_14.14
   śyenacitaṃ cinvīta suvargakāma iti vijñāyate || ĀpŚus_15.1 ||	Syena-citam cinvIta suvarga-kAmaH iti vijQAyate || ĀpŚuH-_15.1 ||
   vakrapakṣo vyastapuccho bhavati || ĀpŚus_15.2a ||	vakra-pakzaH vyasta-pucCaH Bavati || ĀpŚuH-_15.2aH ||
   paścāt prāṅ udūhati | purastātpratyaṅṅ udūhati | evam iva hi vayasāṃ	paScAt prAF udUhati | purastAt-pratyaF udUhati | evam iva hi vayasAm
   madhye pakṣanirṇāmo bhavatīti vijñāyate || ĀpŚus_15.2b ||	maDye pakza-nirNAmaH Bavati-iti vijQAyate || ĀpŚuH-_15.2B ||
   yāvān agniḥ sāratniprādeśaḥ saptavidhaḥ saṃpadyate | prādeśaṃ caturtham	yAvAn agniH sAratni-prAdeSaH saptaviDaH saMpadyate | prAdeSam caturTam
   ātmanaś caturbhāgīyāś cāṣṭau | tāsāṃ tisraḥ śira itarat pakṣayor vibhajet	AtmanaH catur-BAgIyAH ca-azwO | tAsAm tisraH SiraH itarat pakzayoH viBajet-
   || ĀpŚus_15.3 ||	|| ĀpŚuH-_15.3 ||
   pañcāratniḥ puruṣaḥ | caturaratniḥ vyāyāmaḥ | caturviṃśatyaṅgulayo 'ratniḥ	paQcAratniH puruzaH | catur-aratniH vyAyAmaH | caturviMSati-aFgulayaH aratniH
   | tadardhaṃ prādeśa iti kḷptiḥ || ĀpŚus_15.4 ||	| tad-arDam prAdeSaH iti k?ptiH || ĀpŚuH-_15.4 ||
   ardhadaśamā aratnayo 'ṅgulayaś ca caturbhāgonāḥ pakṣāyāmaḥ || ĀpŚus_15.5	arDa-daSamAH aratnayaH aFgulayaH ca catur-BAga-UnAH pakzAyAmaH || ĀpŚuH-_15.5
   dvipuruṣāṃ rajjum ubhayataḥpāśāṃ karoti | madhye lakṣaṇam |	dvi-puruzAm rajjum uBayatas-pASAm karoti | maDye lakzaNam |
   pakṣasyāparayoḥ koṭyor antau niyamya lakṣaṇena prācīnam āyacched evaṃ	pakzasya-aparayoH kowyoH antO niyamya lakzaNena prAcInam AyacCet evam
