   agatitvam atiśraddhā NKv_9a	agati-tvam atiSradDA NKu-_9a
   rogiṇaḥ sadane striyas NKv_26d	rogiNaH sadane striyaH NKu-_26d
   rocate lobhaśālinām NKv_75d	rocate loBa-SAlinAm NKu-_75d
   lakṣmīmadas tu mūrkhāṇām NKv_64c	lakzmImadaH tu mUrKANAm NKu-_64c
   lakṣmīmadas tu sarvāṅge NKv_66c	lakzmImadaH tu sarva-aFge NKu-_66c
   labdhvāpi kāmadhenuṃ te NKv_38c	labDvA-api kAmaDenum te NKu-_38c
   lākṣmīḥ kiṃ cid upasthitā NKv_58d	lAkzmIH kim cit upasTitA NKu-_58d
   lāṅgale viniyuñjate NKv_38d	lAFgale viniyuQjate NKu-_38d
   lālyamānās tatas tarām NKv_94b	lAlyamAnAH tatas tarAm NKu-_94b
   lipsamāneṣu vaidyeṣu NKv_29a	lipsamAnezu vEdyezu NKu-_29a
   lokair jyautiṣikā janās NKv_18d	lokEH jyOtizikAH janAH NKu-_18d
   lobho hetur dhanaṃ sādhyaṃ NKv_4a	loBaH hetuH Danam sADyam NKu-_4a
   vaktavyaṃ kiṃ cid ity uktaṃ NKv_84c	vaktavyam kim cit iti uktam NKu-_84c
   vaktavyaṃ daivacintakais NKv_17d	vaktavyam dEva-cintakEH NKu-_17d
   vaktavyaṃ bhūbhujāṃ phalam NKv_14b	vaktavyam BUBujAm Palam NKu-_14b
   varāṭāḥ pañcaṣā kare NKv_68d	varAwAH paQcazA kare NKu-_68d
   varṇayanti narābhāsān NKv_38a	varNayanti nara-ABAsAn NKu-_38a
   vastutas tulasī parā NKv_84d	vastutas tulasI parA NKu-_84d
   vācyatāṃ samayo 'tītaḥ NKv_8a	vAcyatAm samayaH atItaH NKu-_8a
   vācyaṃ mauhūrtikair janais NKv_16b	vAcyam mOhUrtikEH janEH NKu-_16b
   vāṇīṃ labdhvāpi ye janās NKv_38b	vANIm labDvA-api ye janAH NKu-_38b
   vārān ke cid grahān ke cit NKv_21a	vArAn ke cit grahAn ke cit NKu-_21a
   vāsaḥ puṇyeṣu tīrtheṣu NKv_87a	vAsaH puNyezu tIrTezu NKu-_87a
   vikāras tu tadārabdho NKv_65c	vikAraH tu tadA-ArabDaH NKu-_65c
   vikrīyate katipayair NKv_37c	vikrIyate katipayEH NKu-_37c
   vikhyāpyāvāpyate dhanam NKv_11d	viKyApya-avApyate Danam NKu-_11d
   vicitrān ullikhed vighnāṃs NKv_81c	vicitrAn ulliKet viGnAn NKu-_81c
   vicetavyā vasuṃdharā NKv_20b	vicetavyA vasuMDarA NKu-_20b
   viḍambanāni dhanikāḥ NKv_61c	vixambanAni DanikAH NKu-_61c
   viḍambayanti ye nityaṃ NKv_59a	vixambayanti ye nityam NKu-_59a
   vidagdhān dhanino janās NKv_59b	vidagDAn DaninaH janAH NKu-_59b
   virāmo vairakāraṇam NKv_95d	virAmaH vEra-kAraNam NKu-_95d
   vilambe karmabāhulyaṃ NKv_11c	vilambe karma-bAhulyam NKu-_11c
   viśvasaṃmohinī vitta- NKv_85c	viSva-saMmohinI vitta NKu-_85c
   viṣeṇa pucchalagnena NKv_99a	vizeNa pucCa-lagnena NKu-_99a
   vismārayanti jātiṃ svāṃ NKv_68c	vismArayanti jAtim svAm NKu-_68c
   vismṛtaṃ vāhaṭenedaṃ NKv_85a	vismRtam vA-Ahawena-idam NKu-_85a
   vṛthānyair viniyujyate NKv_37d	vRTA-anyEH viniyujyate NKu-_37d
   vṛścikaḥ prāṇinām iva NKv_99b	vRScikaH prANinAm iva NKu-_99b
   vairāgyaṃ paramaṃ vahet NKv_83b	vErAgyam paramam vahet NKu-_83b
   vyutpadyante cikitsakās NKv_27d	vyutpadyante cikitsakAH NKu-_27d
   śaktiṃ karoti saṃcāre NKv_54a	Saktim karoti saMcAre NKu-_54a
   śaṭhāḥ santaś ca tulyavat NKv_73d	SaWAH santaH ca tulya-vat NKu-_73d
   śatasya lābhe tāmbūlaṃ NKv_19a	Satasya lABe tAmbUlam NKu-_19a
   śatrau sāntvaṃ pratīkāraḥ NKv_53a	SatrO sAntvam pratIkAraH NKu-_53a
   śanair anādaras śāntau NKv_30c	SanEs anAdaraH SAntO NKu-_30c
   śabdākhyam aparaṃ brahma NKv_37a	Sabda-AKyam aparam brahma NKu-_37a
   śaṃkaro yadi varṇyate NKv_40d	SaMkaraH yadi varNyate NKu-_40d
   śālīnāṃ muṣṭikiṃkarās NKv_33d	SAlInAm muzwi-kiMkarAH NKu-_33d
   śītoṣṇe marṣayaty api NKv_54b	SIta-uzNe marzayati api NKu-_54b
   śuṣkāhāraṃ mitāśanam NKv_47b	Suzka-AhAram mita-aSanam NKu-_47b
   śuṣkopavāso dharmeṣu NKv_75a	Suzka-upavAsaH Darmezu NKu-_75a
   śṛṇvanta eva pṛcchanti NKv_61a	SRNvante eva pRcCanti NKu-_61a
   śramānurūpaṃ piśune NKv_71a	Srama-anurUpam piSune NKu-_71a
   śriyā kimcidupekṣitās NKv_59d	SriyA kimcid-upekzitAH NKu-_59d
   śrīr māsam ardhamāsaṃ vā NKv_65a	SrIH mAsam arDa-mAsam vA NKu-_65a
   śrotriye tu na kimcana NKv_82d	Srotriye tu na kimcana NKu-_82d
   śvaśuras tu pravāsīti NKv_45c	SvaSuraH tu pravAsI-iti NKu-_45c
   śvaśurasya balaṃ bhāryā NKv_43c	SvaSurasya balam BAryA NKu-_43c
   śvaśurau śyāla ity api NKv_41b	SvaSurO SyAlaH iti api NKu-_41b
   śvaśrūḥ svātantryavartinī NKv_45b	SvaSrUH svAtantrya-vartinI NKu-_45b
   sakṛd āgatya gacchantī NKv_46c	sakRt Agatya gacCantI NKu-_46c
   satataṃ śuciveṣaś cety NKv_91c	satatam Suci-vezaH ca-iti NKu-_91c
   satyaṃ vaiduṣyam ity eṣa NKv_32c	satyam vEduzyam iti ezaH NKu-_32c
   sadā japapaṭo haste NKv_90a	sadA japa-pawaH haste NKu-_90a
   sadyaspratyayahetavas NKv_90d	sadyaspratyaya-hetavaH NKu-_90d
   sadyo 'narthāya dehinām NKv_74d	sadyas anarTAya dehinAm NKu-_74d
   sabhāsu vijigīṣubhiḥ NKv_1d	saBAsu vijigIzuBiH NKu-_1d
   samāje devatārcanam NKv_91b	samAje devatA-arcanam NKu-_91b
   samādher api taj jyāyāḥ NKv_40c	samADeH api tat jyAyAH NKu-_40c
   sarvakarmavināśanas NKv_72d	sarva-karma-vinASanaH NKu-_72d
   sarvathā kramate matis NKv_10b	sarvaTA kramate matiH NKu-_10b
   sarvam apy upadekṣyanti NKv_26c	sarvam api upadekzyanti NKu-_26c
   sarvam ātithyaśāstrārthaṃ NKv_77a	sarvam AtiTya-SAstra-arTam NKu-_77a
   sarvarogeṣu bheṣajam NKv_53b	sarva-rogezu Bezajam NKu-_53b
   sarvaṃ kāladvayāvadhi NKv_17b	sarvam kAla-dvaya-avaDi NKu-_17b
   sarvaṃ koṭidvayopetaṃ NKv_17a	sarvam kowi-dvaya-upetam NKu-_17a
   sarvaṃ brahmeti vādaś ca NKv_90c	sarvam brahma-iti vAdaH ca NKu-_90c
   sarvaṃ mārjanti kavayaḥ NKv_33c	sarvam mArjanti kavayaH NKu-_33c
   sarvaṃ vyāmiśram iva ca NKv_17c	sarvam vyAmiSram iva ca NKu-_17c
   sarvaḥ kālo 'pi dāruṇas NKv_99d	sarvaH kAlaH api dAruNaH NKu-_99d
   sahasrasya tu bhojanam NKv_19b	sahasrasya tu Bojanam NKu-_19b
   sahasraṃ dāmbhike loke NKv_82c	sahasram dAmBike loke NKu-_82c
   saṃdarbheṇa pariṣkṛtam NKv_37b	saMdarBeNa parizkRtam NKu-_37b
   saṃpūrṇadānaṃ prakṛtir NKv_95c	saMpUrNa-dAnam prakRtiH NKu-_95c
   sākṣāt kurvanti lobhinas NKv_77b	sAkzAt kurvanti loBinaH NKu-_77b
   sātmyāsātmye cikitsitam NKv_26b	sAtmya-asAtmye cikitsitam NKu-_26b
   sukhaṃ sukhiṣu duḥkhe 'pi NKv_12a	suKam suKizu duHKe api NKu-_12a
   sevanīyaiś ca sevyate NKv_63b	sevanIyEH ca sevyate NKu-_63b
   stutaṃ stuvanti kavayo NKv_35a	stutam stuvanti kavayaH NKu-_35a
   stotavyaiḥ stūyante nityaṃ NKv_63a	stotavyEH stUyante nityam NKu-_63a
   stotāraḥ ke bhaviṣyanti NKv_7a	stotAraH ke Bavizyanti NKu-_7a
   stotrāṇīty eva manvate NKv_61d	stotrANi-iti eva manvate NKu-_61d
   snāto vaidyaṃ na paśyati NKv_30d	snAtaH vEdyam na paSyati NKu-_30d
   spaṣṭam agre bhaviṣyati NKv_8b	spazwam agre Bavizyati NKu-_8b
   smṛte sīdanti gātrāṇi NKv_50a	smRte sIdanti gAtrANi NKu-_50a
   svayam evātither balam NKv_43d	svayam eva-atiTeH balam NKu-_43d
   svasthair asādhyarogaiś ca NKv_23a	svasTEH asADya-rogEH ca NKu-_23a
   svasminn asati nārthasya NKv_80a	svasmin asati na-arTasya NKu-_80a
   svānarthāyaiva kevalam NKv_96d	sva-an-arTAya-eva kevalam NKu-_96d
   svairaṃ hasanti+pārśvasthā NKv_62c	svEram hasanti+pArSva-sTA NKu-_62c
   hāso rājñaḥ stavaś ceti NKv_2c	hAsaH rAjQaH stavaH ca-iti NKu-_2c
   hṛdi tāmbūlajo madas NKv_66b	hRdi tAmbUla-jaH madaH NKu-_66b
