   śikṣāsamuccaye caturthaḥ paricchedaḥ ||	SikzA-samuccaye caturTaH paricCedaH ||
   tiṣṭhati brāhmaṇarūpeṇa yāvad dārikārūpeṇa purataḥ	tizWati brAhmaNa-rUpeNa yAvat dArikA-rUpeNa puratas-
   sthāsyati |	sTAsyati |
   tasyâdikarmikasya bodhisatvasya yathā samutthitās tâpattīḥ	tasyâdi-karmikasya boDisatvasya yaTA samutTitAH tâpattIH
   pratideśayati |	pratideSayati |
   gambhīraṃ ca-	gamBIram ca-
   [ Bendall ed p65 ---> ]	[ Bet-dalt ed p65 ---> ]
   asyôpāyakauśalyaṃ mahāyāne caryām	asi-ôpAya-kOSalyam mahAyAne caryAm
   upadarśayati |	upadarSayati |
   yāvad avaivarttikabhūmau ca pratiṣṭhāpayati ||	yAvat avEvarttika-BUmO ca pratizWApayati ||
   pe ||	pe ||
   yadi teṣāṃ saṃmukhaṃ darśanaṃ na dadāti |	yadi tezAm saMmuKam darSanam na dadAti |
   yas tam abhiyācati |	yaH tam aBiyAcati |
   tenâdikarmikeṇa bodhisatvena sâparādhena paścime yāme utthāyâsanāt	tenâdikarmikeNa boDisatvena sâparADena paScime yAme utTAyâsanAt-
   prāṅmukhena sthitvā dhūpaṃ dhūpayitavyaṃ |	prAFmuKena sTitvA DUpam DUpayitavyam |
   aruṇo devaputrâyācitavyaḥ |	aruNaH deva-putrâ-yAcitavyaH |
   evaṃ ca vaktavyaṃ |	evam ca vaktavyam |
   aruṇâruṇa mahākṛpa mahābhāga mahôditas tvaṃ jambudvīpe	aruNâruNa mahA-kRpa mahABAga mahôditaH tvam jambudvIpe
   māṃ karuṇayâchādayasva |	mAm karuNayâCAdayasva |
   śīghram ākāśagarbhaṃ mahākāruṇikaṃ mama vacanena bodhaya |	SIGram AkASa-garBam mahA-kAruNikam mama vacanena boDaya |
   [ Cambridge MS f38b ---> ]	[ Cambridge M f38B ---> ]
   mama svapnântare tam upāyam upadarśaya yenâham upāyenâpattiṃ pratideśayāmi	mama svapnântare tam upAyam upadarSaya yenâham upAyenâpattim pratideSayAmi
   ārye mahāyāne upāyaprajñāṃ pratilapsyāmîti ||	Arye mahAyAne upAya-prajQAm pratilapsyAmîti ||
   tena tatkālaṃ śayyāyāṃ nidrāpayitavyaṃ sahôdgate 'ruṇe iha	tena tad-kAlam SayyAyAm nidrApayitavyam sahôt-gate aruNe iha
   jambudvīpe ākāśagarbhasya bodhisatvasyêha samāgamo bhavati	jambudvIpe AkASa-garBasya boDisatvasyêha samAgamaH Bavati
   svarūpeṇa ca |	svarUpeNa ca |
   tasyâdikarmikasya bodhisatvasya svapnântare purataḥ sthitvā tāṃ mūlâpattiṃ	tasyâdi-karmikasya boDisatvasya svapnântare puratas sTitvA tAm mUlâpattim
   deśayati mahāyānôpāyena |	deSayati mahAyAn-ôpAyena |
   tathārūpaṃ ca tasyôpāyajñānaṃ saṃdarśayati |	taTArUpam ca tasyôpAya-jQAnam saMdarSayati |
   yenôpāyakauśalyena sâdikarmiko bodhisatvas tatrâiva	yenôpAya-kOSalyena sâdi-karmikaH boDisatvaH tatrâiva
   bodhicittâsaṃpramoṣaṃ nāma samādhiṃ pratilabhate	boDi-cittâ-saMpramozam nAma samADim pratilaBate
   sudṛḍhavyavasthitaś ca bhavati mahāyānae ity ādi ||	su-dRXa-vyavasTitaH ca Bavati mahAyAnae iti Adi ||
   atha vā yo 'tra sūtre 'dhyeṣaṇamantraḥ pūrvam uktaḥ |	aTa vA yaH atra sUtre aDyezaNa-mantraH pUrvam uktaH |
   tenâyaṃ vidhiḥ kāryaḥ |	tenâyam viDiH kAryaH |
   evaṃ syāt |	evam syAt |
   araṇye upavane 'bhyavakāśe vāgaraṃ vā tagaraṃ vā kālânusāri	araNye upavane aByavakASe vAgaram vA tagaram vA kAlânusAri
   vā dhūpayitavyaṃ |	vA DUpayitavyam |
   prāñjalinā ca bhūtvā samantato digvidikṣu ca pañcamaṇḍalakena	prAQjalinA ca BUtvA samantataH diS-vidikzu ca paQcamaNxalakena
   vanditvême mantrapadāḥ pravartayitavyāḥ |	vanditvême mantra-padAH pravartayitavyAH |
   tad yathā |	tat yaTA |
   sumṛśa [[DOUBT]] |	sumRSa [[DOUBT]] |
   kāruṇika |	kAruNika |
   caratu [[DOUBT]] |	caratu [[DOUBT]] |
   vicara |	vicara |
   sañcara |	saQcara |
   kāruṇika |	kAruNika |
   murara |	murara |
   murara vegadhāri namucame bhujayata kāruṇika cintāmaṇi pūraya kāruṇika	murara vega-DAri namucame Bujayata kAruNika cintAmaNi pUraya kAruNika
   sarvâśāṃ me sthāpaya |	sarvâSAm me sTApaya |
   ājñādhārī	AjQA-DArI
   [ Bendall ed p66 ---> ]	[ Bet-dalt ed p66 ---> ]
   sphugu |	sPugu |
   rativiveka gu |	rati-viveka gu |
   dṛṣṭiviveka gu |	dRzwi-viveka gu |
   pūraya kāruṇika pūrayantu mamâśāṃ |	pUraya kAruNika pUrayantu mamâSAm |
   sarvathā câśokagati svāhā ||	sarvaTA câSoka-gati svAhA ||
   vidhiḥ pūrvavat |	viDiH pUrvavat |
   sarvavyādhiduḥkhasarvabhayasarvôpakaraṇavighātapratighāte	sarva-vyADi-duHKa-sarva-Baya-sarvôpakaraNa-viGAta-pratiGAte
   sarvâbhīṣṭasiddhaye ca kāryaḥ ||	sarvâBIzwa-sidDaye ca kAryaH ||
   yadi kṣatriyâdayo 'pi bodhisatvāḥ katham eṣām āpattiniyamo 'nyeṣāṃ	yadi kzatriyâ-dayaH api boDisatvAH kaTam ezAm Apatti-niyamaH anyezAm
   câdhikyaṃ |	câDikyam |
   atha tena sāmvarikāḥ |	aTa tena sAmvarikAH |
   katham eṣām āpattivyavasthā |	kaTam ezAm Apatti-vyavasTA |
   kathaṃ vā taddoṣāt sāmvarikâpi gṛhyante |	kaTam vA tad-dozAt sAmvarikâpi gRhyante |
   nâiṣa doṣaḥ |	nâiza dozaH |
   ye-	ye-
   [ Cambridge MS f39a ---> ]	[ Cambridge M f39aH ---> ]
   ṣāṃ yatra bahulaṃ saṃbhavaḥ te tatrâkoṭitāḥ	zAm yatra bahulam saMBavaH te tatrâ-kowitAH
   svanāmagrahaṇadarśanād bhayôtpādanârthaṃ |	sva-nAma-grahaNa-darSanAt Bayôt-pAdanârTam |
   parasparatas tu sarvaiḥ sarvâpattayaḥ parihartavyāḥ ||	parasparataH tu sarvEH sarvâpattayaH parihartavyAH ||
   yena vā prakṛtimahāsâvadyatayâsamādāno 'py abhavyo bhavaty	yena vA prakRti-mahA-sâvat-yatayâ-samAdAnaH api aBavyaH Bavati-
   ucchinnakuśalamūlaś ca sutarāṃ tena sāmvarikêty alam	ucCinna-kuSala-mUlaH ca sutarAm tena sAmvarikêti alam
   anayā cintayā ||	anayA cintayA ||
   upāyakauśalyasūtre 'pi mūlâpattir uktā |	upAya-kOSalya-sUtre api mUlâpattiH uktAH |
   kiṃ vâpi kulaputra bodhisatvaḥ prātimokṣaśikṣāyāṃ śikṣamāṇāḥ	kim vâpi kula-putra boDisatvaH prAtimokza-SikzAyAm SikzamANAH
   kalpaśatasahasram api mūlaphalabhakṣaḥ syāt |	kalpa-Sata-sahasram api mUlaPala-BakzaH syAt |
   sarvasatvānāṃ ca sûktaduruktāni kṣamet |	sarva-satvAnAm ca sûkta-duruktAni kzamet |
   śrāvakapratyekabuddhabhūmipratisaṃyuktaiś ca manasikārair vihared iyaṃ	SrAvaka-pratyekabudDa-BUmi-pratisaMyuktEH ca manasikArEH viharet iyam
   bodhisatvasya gurukā mūlâpattiḥ |	boDisatvasya gurukA mUlâpattiH |
   tad yathā kulaputra śrāvakayānīyo mūlâpattim āpannaḥ so 'bhavyas tair eva	tat yaTA kula-putra SrAvaka-yAnIyaH mUlâpattim ApannaH saH aBavyaH tEH eva
   skandhaiḥ parinirvātum |	skanDEH parinirvAtum |
   evam eva kulaputro 'pratideśyâitām āpattim aniḥsṛjya tān	evam eva kula-putraH apratideSyâitAm Apattim aniHsRjya tAn
   śrāvakapratyekabuddhamanasikārān abhavyo buddhabhūmau	SrAvaka-pratyekabudDa-manasikArAn aBavyaH budDa-BUmO
   parinirvātum iti ||	parinirvAtum iti ||
   āsāṃ ca mūlâpattīnāṃ sukhagrahaṇadhāraṇârtham	AsAm ca mUlâpattInAm suKa-grahaNa-DAraNârTam
   ekīyamatānāṃ ca saṃgrahakārikôcyante ||	ekIya-matAnAm ca saMgraha-kArikôcyante ||
   ratnatrayasvaharaṇād āpatpārājikā matā |	ratnatraya-sva-haraNAt Apad-pArAjikA matA |
   saddharmasya pratikṣepād dūtīyā muninôditā ||	sadDarmasya pratikzepAt dUtIyAH muninôditA ||
   duḥśīlasyâpi vā bhikṣoḥ kāṣāyastainyatāḍanāt |	duHSIlasi-âpi vA BikzoH kAzAya-stEnya-tAxanAt |
   cārake vā vinikṣepād apapravrājanena ca ||	cArake vA vinikzepAt apapravrAjanena ca ||
   [ Bendall ed p67 ---> ]	[ Bet-dalt ed p67 ---> ]
   pañcânantaryakaraṇān mithyādṛṣṭigraheṇa vā |	paQcânantarya-karaNAt miTyA-dRzwi-graheNa vA |
   grāmâdibhedanād vâpi mūlâpattir jinôditā ||	grAmâdi-BedanAt vâpi mUlâpattiH jit-ôditA ||
   śūnyatāyāś ca kathanāt satveṣu kṛtabuddhiṣu |	SUnyatAyAH ca kaTanAt satvezu kRtabudDizu |
   buddhatvaprasthitānāṃ vā saṃbodher vinivarttanāt ||	budDa-tva-prasTitAnAm vA saMboDeH vinivarttanAt ||
   prātimokṣaṃ parityājya mahāyāne niyojanāt |	prAtimokzam parityAjya mahAyAne niyojanAt |
   śiṣyayānaṃ na rāgâdiprahāṇāyêti vā grahāt ||	Sizya-yAnam na rAgâdi-prahANa-Ayêti vA grahAt ||
   pareṣāṃ grahaṇād vâpi punaḥ svaguṇakāśanāt |	parezAm grahaNAt vâpi punar sva-guNakASanAt |
   parapaṃsanato lā-	para-paMsanataH lA-
   [ Cambridge MS f39b ---> ]	[ Cambridge M f39B ---> ]
   bhasatkāraślokahetunā ||	BasatkAra-Sloka-hetunA ||
   gambhīrakṣāntiko 'smîti mithyâiva kathanāt punaḥ |	gamBI-rakzAntikaH asmîti miTyâiva kaTanAt punar |
   daṇḍāpayed vā śramaṇān dadyād vā śaraṇatrayāt ||	daNxApayet vA SramaNAn dadyAt vA SaraNa-trayAt ||
   gṛhṇīyād dīyamānaṃ vā śamathe tyājanāt punaḥ |	gRhNIyAt dIyamAnam vA SamaTe tyAjanAt punar |
   pratisaṃlīnabhogaṃ ca svâdhyāyiṣu nivedanāt ||	pratisaMlIna-Bogam ca svâDyAyizu nivedanAt ||
   mūlâpattayo hy etā mahānarakahetavaḥ |	mUlâpattayaH hi etAH mahAnaraka-hetavaH |
   āryasyâkāśagarbhasya svapne deśyāḥ puraḥsthitaiḥ ||	AryasyâkASa-garBasya svapne deSyAH puras-sTitEH ||
   bodhicittaparityāgād yācakāyâpradānataḥ |	boDi-citta-parityAgAt yAcakAyâ-pradAnataH |
   tīvramātsaryalobhābhyāṃ krodhād vā satvatāḍanāt ||	tIvra-mAtsarya-loBAByAm kroDAt vA satva-tAxanAt ||
   prasādyamāno yatnena satveṣu na titikṣate |	prasAdyamAnaH yatnena satvezu na titikzate |
   ślokāt parânuvṛttyā vā saddharmâbhāsavarṇanād |	SlokAt parânuvRttyA vA sat-Darmâ-BAsa-varNanAt |
   iti ||	iti ||
   āryakṣitigarbhasūtre 'py uktaṃ |	Arya-kziti-garBa-sUtre api uktam |
   yo mahābrahman mamôddiśya pravrajito duḥśīlapāpasamācāro bhikṣu-	yaH mahA-brahman mamôt-diSya pravrajitaH duHSIla-pApa-samAcAraH Bikzu-
   [ Bendall ed p68 ---> ]	[ Bet-dalt ed p68 ---> ]
   r anubhūtaḥ kaśambakajāto 'śramaṇaḥ śramaṇapratijñaḥ	r anuBUtaH kaSambaka-jAtaH aSramaNaH SramaNa-pratijQaH
   abrahmacārī brahmacāripratijñaḥ |	abrahmacArI brahmacAri-pratijQaH |
   dhvastaḥ patitaḥ parājito vividhaiḥ kleśaiḥ |	DvastaH patitaH parAjitaH viviDEH kleSEH |
   atha ca punaḥ sa duḥśīlapāpasamācāro bhikṣur adyâpi	aTa ca punar sa duHSIla-pApa-samAcAraH BikzuH adyâpi
   sarvadevānāṃ yāvat sarvamanuṣyāṇāṃ yāvat puṇyanidhīnāṃ darśayitā bhavati	sarva-devAnAm yAvat sarva-manuzyANAm yAvat puNya-niDInAm darSayitA Bavati
   kalyāṇamitraṃ |	kalyANa-mitram |
   kiṃ câpi sâpātrībhūtaḥ tena ca punaḥ śirastuṇḍamuṇḍena	kim câpi sâpAtrIBUtaH tena ca punar SiraH-tuNxa-muNxena
   kāṣāyavastraprāvaraṇêryāpathena darśanahetunâpi	kAzAya-vastra-prAvaraNêryApaTena darSana-hetun-âpi
   bahūnāṃ satvānāṃ vividhakuśalamūlôpastambhanakaraḥ	bahUnAm satvAnAm viviDa-kuSala-mUlôpa-stamBa-na-karaH
   sugatimārgadarśako bhavati |	sugati-mArga-darSakaH Bavati |
   tasmād yo mamôddiśya pravrajitaḥ śīlavān duḥśīlo vā tasya	tasmAt yaH mamôt-diSya pravrajitaH SIlavAn duHSIlaH vA tasya
   nânujānāmi cakravarttir ājñām api yan mamôddiśya	nânujAnAmi cakravarttiH AjQAm api yat mamôt-diSya
   pravrajitasya sahadharmeṇâpi kāye daṇḍaprahāraṃ vā dātuṃ cārake vā	pravrajitasya sahaDarmeNa-Ipi kAye daNxa-prahAram vA dAtum cArake vA
   prakṣeptuṃ |	prakzeptum |
   aṅgam aṅgaṃ vikarttanaṃ vā kartuṃ jīvitād vā vyaparopaṇaṃ kartuṃ-	aFgam aFgam vikarttanam vA kartum jIvitAt vA vyaparopaNam kartuM-
   [ Cambridge MS f40a ---> ]	[ Cambridge M f40aH ---> ]
   kiṃ punar adharmeṇa ||	kim punar aDarmeNa ||
   kiṃ câpi mṛtaḥ kathyate 'smin dharmavinaye |	kim câpi mRtaH kaTyate asmin Darma-vinaye |
   atha ca punaḥ sa pudgalo gorocanakastūrikāsadṛśêti |	aTa ca punar sa pudgalaH gorocanakaH-tUrikA-sadRSêti |
   atrâivâha |	atrâivâha |
   ye mamôddiśya pravrajitān yānabhūtān pātrabhūtān vā	ye mamôt-diSya pravrajitAn yAna-BUtAn pAtra-BUtAn vA
   viheṭhayiṣyanti te sarveṣāṃ tryadhvagatānāṃ buddhānām atīva	viheWayizyanti te sarvezAm tri-aDva-gatAnAm budDAnAm atIva
   sâparādhā bhavanti |	sâ-parADAH Bavanti |
   samucchinnakuśalamūlā dagdhasantānâvīciparāyaṇā bhavantîti |	samucCinna-kuSala-mUlAH dagDa-santAnâ-vIci-parAyaNAH Bavantîti |
   atrâivâha |	atrâivâha |
   sarvabuddhair adhiṣṭhito 'yaṃ mokṣadhvajo yad uta	sarva-budDEH aDizWitaH ayam mokza-DvajaH yat uta
   raktakāṣāyavastram iti |	rakta-kAzAya-vastram iti |
   asminn eva côktaṃ |	asmin eva côktam |
   tena khalu punaḥ samayena bahūni śrāvakaniyutaśatasahasrāṇi bahūni	tena Kalu punar samayena bahUni SrAvaka-niyuta-Sata-sahasrANi bahUni
   ca bodhisatvaniyutaśatasahasrāṇi bhagavato 'ntike evaṃrūpaṃ pūrvakṛtaṃ	ca boDisatva-niyuta-Sata-sahasrANi BagavataH antike evaMrUpam pUrva-kRtam
   karmâvaraṇaṃ pratideśayanti |	karmâ-varaNam pratideSayanti |
   vayam api bhadanta bhagavan bahūnāṃ pūrvakāṇāṃ tathāgatānāṃ pravacane	vayam api Badanta Bagavan bahUnAm pUrvakANAm taTAgatAnAm pravacane
   pātrabhūtān pātrabhūtāṃś ca buddhānāṃ bhagavatāṃ śrāvakayānīyān pudgalāñ	pAtra-BUtAn pAtra-BUtAn ca budDAnAm BagavatAm SrAvaka-yAnIyAn pudgalAn-
   jugupsitavantaḥ paṃsitavanto roṣitavanto 'varṇâyaśaḥkathāś ca	jugupsitavantaH paMsitavantaH rozitavantaH avarNâ-yaSaH-kaTAH ca
   niścāritavantaḥ |	niScAritavantaH |
   tena vayaṃ karmâvaraṇena triṣv apāyeṣu vividhāṃ tīvrāṃ pracaṇḍāṃ duḥkhāṃ	tena vayam karmâ-varaNena trizu apAyezu viviDAm tIvrAm pracaNxAm duHKAm
   vedanāṃ pratyanubhūtavantaḥ ||	vedanAm pratyanuBUtavantaH ||
   peyālaṃ ||	peyAlam ||
   vayaṃ tatkarmâvaraṇaśeṣam etarhi bhagavato 'ntike	vayam tad-karmâ-varaNa-Sezam etarhi BagavataH antike
   pratideśayiṣyāmaḥ |	pratideSayizyAmaH |
   kecid vadanti |	kecid vadanti |
   vayaṃ bhagavataḥ śrāvakān vacanais tarjitavantaḥ paribhāṣitavantaḥ |	vayam BagavataH SrAvakAn vacanEH tarjitavantaH pariBAzitavantaH |
   kecid vadanti |	kecid vadanti |
   vayaṃ bhagavataḥ śrāvakān apātrabhūtān patrâbhūtāṃś ca	vayam BagavataH SrAvakAn apAtra-BUtAn patrâ-BUtAn ca
   praharitavantaḥ |	praharitavantaH |
   kecid vadanti |	kecid vadanti |
   vayaṃ cīvarān hṛtavantaḥ |	vayam cIvarAn hRtavantaH |
   kecid vadanti |	kecid vadanti |
   vayaṃ bhagavataḥ śrāvakāṇām upabhogaparibhogān ācchinnavantaḥ |	vayam BagavataH SrAvakANAm upaBoga-pariBogAn AcCinnavantaH |
   kecid vadanti |	kecid vadanti |
   vayaṃ bhagavantam uddiśya pravrajitān gṛhasthān kāritavantaḥ	vayam Bagavantam uddiSya pravrajitAn gRhasTAn kAritavantaH
   [ Cambridge MS f40b ---> ]	[ Cambridge M f40B ---> ]
   tatâsthānaṃ sāditāḥ |	tatâ-sTAnam sAditAH |
   kecid vadanti |	kecid vadanti |
   asmābhir bhagavan buddhānāṃ bhagavatāṃ śrāvakâpatrabhūtāḥ	asmABiH Bagavan budDAnAm BagavatAm SrAvakâ-patra-BUtAH
   pātrabhūtāś ca sâparādhikāś cārake prakṣiptās tena vayaṃ karmâvaraṇena	pAtra-BUtAH ca sâpara-aDikAH cArake prakziptAH tena vayam karmâ-varaNena
   bahūn kalpāṃs tṛṣv apāyeṣu vividhāṃ tī-	bahUn kalpAn tRzu apAyezu viviDAm tI-
   [ Bendall ed p69 ---> ]	[ Bet-dalt ed p69 ---> ]
   vrāṃ pracaṇḍāṃ duṣkhāṃ vedanāṃ pratyanubhūtavantaḥ ||	vrAm pracaNxAm duzKAm vedanAm pratyanuBUtavantaH ||
   pe ||	pe ||
   tad vayam etarhi karmâvaraṇaśeṣāṃ bhagavato 'ntike	tat vayam etarhi karmâ-varaNa-SezAm BagavataH antike
   pratideśayāmaḥ |	pratideSayAmaH |
   āyatyāṃ saṃvaram āpadyema |	AyatyAm saMvaram Apadyema |
   pratigahṇātu bhagavān asmākam anukampām upādāya |	pratigahNAtu BagavAn asmAkam anukampAm upAdAya |
   uddharatu bhagavān asmān anantapāpebhyêti vistaraḥ ||	udDaratu BagavAn asmAn ananta-pApeByêti vistaraH ||
   pravrajyântarāyasūtre 'py anarthôktaḥ |	pravrajyântarAya-sUtre api anarTôktaH |
   caturbhir mahānāman dharmaiḥ samanvāgato gṛhī akṣaṇaprāpto bhavati |	caturBiH mahAnAman DarmEH samanvAgataH gRhI akzaNa-prAptaH Bavati |
   jātyandhaś ca jaḍaś câjihvakaś ca caṇḍālaś ca jātu	jAti-anDaH ca jaxaH câjihvakaH ca caNxAlaH ca jAtu
   sukhito bhavaty abhyākhyānabahulaś ca ṣaṇḍakaś ca paṇḍakaś ca	suKitaH Bavati aByAKyAna-bahulaH ca zaNxakaH ca paNxakaH ca
   nityadāsaś ca |	nityadAsaH ca |
   strī ca bhavati śvā ca śūkaraś ca gardabhaś côṣṭraś ca	strI ca Bavati SvA ca SUkaraH ca gardaBaH côzwraH ca
   āśīviṣaś ca bhavati tatra tatra jātau ||	ASIvizaH ca Bavati tatra tatra jAtO ||
   katamaiś caturbhiḥ |	katamEH caturBiH |
   iha mahānāman gṛhī pūrvajinakrṭâdhikārāṇāṃ satvānāṃ naiṣkramyacittasya	iha mahAnAman gRhI pUrva-jina-krwâDi-kArANAm satvAnAm nEzkramya-cittasya
   pravrajyācittasyâryamārgacittasyântarāyaṃ karoti |	pravrajyA-cittasyârya-mArga-cittasyântarAyam karoti |
   anena prathamena ||	anena praTamena ||
   punar aparaṃ gṛhī dhanalaulyena putralaulyena karmavipākam	punar aparam gRhI Dana-lOlyena putra-lOlyena karma-vipAkam
   aśraddadhat putrasya vā duhitur vā bhāryāyā vā jñātisaṃghasyâiśvaryasthāne	aSraddaDat putrasya vA duhituH vA BAryAyAH vA jQAti-saMGasI-âiSvarya-sTAne
   vartamāne pravrajyântarāyaṃ karoti |	vartamAne pravrajyântarAyam karoti |
   anena dvitīyenêti ||	anena dvitIyenêti ||
   anyadvayaṃ |	anya-dvayam |
   saddharmapratikṣepaḥ śramaṇabrāhmaṇeṣu ca pratighaḥ ||	sat-Darma-pratikzepaH SramaNa-brAhmaNezu ca pratiGaH ||
   daśa câkuśalāḥ karmapathāḥ anarthāḥ |	daSa câ-kuSalAH karma-paTAH anarTAH |
   saddharmasmṛtyupasthānād vipākakaṭukā draṣṭavyāḥ |	sadDarma-smRti-upasTAnAt vipAka-kawukAH drazwavyAH |
   tataḥ kiñcinmātraṃ sūtraṃ sūcyate |	tatas kiQcit-mAtram sUtram sUcyate |
   prāṇâtipātavipākalavas tāvad |	prANâtipAta-vipAka-lavaH tAvat |
   yathâha |	yaTâha |
   tad yathâgniśikhācarā nāma pakṣiṇo ye 'gniśikṣāmadhyagatā-	tat yaTâgniSiKA-carAH nAma pakziNaH ye agni-SikzA-maDya-gatA-
   [ Cambridge MS f41a ---> ]	[ Cambridge M f41aH ---> ]
   na dahyante saṃhṛṣṭatarāś ca	na dahyante saMhRzwatarAH ca
   nārakeyāṇāṃ kapālaṃ bhittvā rudhiraṃ pibanti |	nArakeyANAm kapAlam BittvA ruDiram pibanti |
   kapālântaracarā nāma pakṣiṇo ye mastakaṃ bhittvā	kapAlântara-carAH nAma pakziNaH ye mastakam BittvA
   jvalitamastakaluṅgān pibanti |	jvalita-mastaka-luFgAn pibanti |
   jihvâmiṣabhujo nāma pakṣiṇo ye jihvāṃ vidāryâbhito 'bhitaḥ prabhakṣayanti	jihvâmiza-BujaH nAma pakziNaH ye jihvAm vidAryâBitaH aBitas praBakzayanti
   sâpi jihvā bhuktā punar api saṃjāyate padmadalakomalatarā |	sâpi jihvA BuktA punar api saMjAyate padma-dala-komalatarA |
   evam arthânurūpasaṃjñā dantôtpāṭakā-	evam arTânurUpa-saMjQA dantôt-pAwakA-
   [ Bendall ed p70 ---> ]	[ Bet-dalt ed p70 ---> ]
   nāma	nAma
   kaṇṭhanāḍyapakarṣakā nāma |	kaNWanAxI-apakarzakAH nAma |
   klomakāśinaḥ |	klomakASinaH |
   āmāśayâdāḥ |	AmASayâ-dAH |
   plīhasaṃvartakā |	plIha-saMvartakAH |
   antravivarakhādinaḥ |	antra-vivara-KAdinaH |
   pṛṣṭhavaṃśacarā nāma |	pRzWavaMSacarAH nAma |
   marmaguhyakā nāma pakṣiṇo ye sarvāṇi marmavivarāṇi bhittvā	marma-guhyakAH nAma pakziNaH ye sarvANi marma-vivarANi BittvA
   marmāṇi kṛntayitvā vivarāṇi praviśya majjāmaṇḍaṃ pibanti	marmANi kRntayitvA vivarANi praviSya majjA-maNxam pibanti
   krandamānānāṃ |	krandamAnAnAm |
   sūcīchidrā nāma pakṣiṇo ye sūcīsadṛśatuṇḍā raktaṃ pibanti |	sUcI-CidrAH nAma pakziNaH ye sUcI-sadRSa-tuNxAH raktam pibanti |
   evam asthivivarâśinaḥ ṣaṭtvagbhakṣiṇaḥ |	evam asTi-vivarâSinaH zaz-tvac-BakziNaH |
   nakhanikṛntakā medodāḥ snāyuviśeṣakāḥ |	naKa-nikRntakAH medA-udAH snAyu-viSezakAH |
   keśôṇḍukā nāma pakṣiṇo ye keśamūlāny utpāṭayanti ||	keSôNxukAH nAma pakziNaH ye keSa-mUlAni utpAwayanti ||
   sâivam avīcipradeśas trīṇi yojanaśatasahasrāṇi	sâivam avIci-pradeSaH trINi yojana-Sata-sahasrANi
   pakṣibhairavapakṣo nāma |	pakziBEH-avapakzaH nAma |
   tatra tair anyair nārakeyaiḥ sahânekāni varṣaśatasahasrāṇi	tatra tEH anyEH nArakeyEH sahânekAni varza-Sata-sahasrANi
   bhakṣyate saṃbhavati ca |	Bakzyate saMBavati ca |
   sa kathañcid api tasmān muktaḥ sarvasmād duṣkhajālaparivṛtaḥ |	sa kaTaQcid api tasmAt muktaH sarvasmAt duzKa-jAla-parivRtaH |
   śvabhraprapāto nāma dvitīyaḥ pradeśas tatra gacchati |	SvaBraprapAtaH nAma dvitIyaH pradeSaH tatra gacCati |
   trāṇânveṣī śaraṇânveṣī paritrāṇânveṣī samantatâikādaśabhir arciskandhair	trANânu-ezI SaraNânvezI paritrANânvezI samantatâikA-daSaBiH arci-skanDEH-
   āvṛto niḥsahāyaḥ	AvRtaH niHsahAyaH
   karmapāśabandhanabaddhaḥ samantataḥ śatrubhir āvṛtaḥ kāntāram	karma-pASa-banDana-badDaH samantataH SatruBiH AvRtaH kAntAram
   anuprapannaḥ sarvasmān narakapuñjād adhikataraṃ vyasanam	anuprapannaH sarvasmAt naraka-puQjAt aDikataram vyasanam
   abhiprapannas taṃ śvabhraprapātaṃ nāma pradeśam anudhāvati |	aBiprapannaH tam SvaBraprapAtam nAma pradeSam anuDAvati |
   patite 'tīva pādaḥ pravilīyate |	patite atIva pAdaH pravilIyate |
   utkṣiptaḥ pu-	utkziptaH pu-
   [ Cambridge MS f41b ---> ]	[ Cambridge M f41B ---> ]
   nar api saṃbhavati |	nar api saMBavati |
   sukumārataraḥ ślakṣṇataraḥ kharābhis tīvrābhir vedanābhir abhibhūtaḥ |	sukumArataraH SlakzNataraH KarABiH tIvrABiH vedanABiH aBiBUtaH |
   tasyâivaṃ bhayaviklavavadanasya	tasyâivam Baya-viklava-vadanasya
   karacaraṇasarvâṅgapratyaṅgapravilīyamānasya sa pradeśaḥ śvabhraprapāto	kara-caraNa-sarvâFga-pratyaFga-pravilIyamAnasya sa pradeSaH SvaBra-prapAtaH-
   nāma prādurbhavati |	nAma prAdurBavati |
   sa tasmin deśe nipatati patitaḥ śvabhre prapatati trīṇi	sa tasmin deSe nipatati patitaH SvaBre prapatati trINi
   yojanasahasrāṇi |	yojana-sahasrANi |
   punar api karmakṛtena vāyunôtkṣipyate |	punar api karma-kRtena vAyunôt-kzipyate |
   sa prapatamānaḥ kaṃkavāyasagrdhrôlūkair bhakṣyate |	sa prapatamAnaH kaMka-vAyasa-grDrôlUkEH Bakzyate |
   yāvat tasyâivam utkṣipyamānasya ca prapatataś cânekāni	yAvat tasyâivam utkzipyamAnasya ca prapatataH cânekAni
   varṣaśatasahasrāṇi gacchanti |	varza-Sata-sahasrANi gacCanti |
   kathañcid api tasmān muktaḥ paribhrāmitaś cakrâṅkaṃ vivaraṃ nāma pradeśam	kaTaQcid api tasmAt muktaH pariBrAmitaH cakrâFkam vivaram nAma pradeSam
   anudhāvati |	anuDAvati |
   tasmiṃś ca pradeśe sahasrârāṇi cakrāṇi prādurbhavanti	tasmin ca pradeSe sahasrârANi cakrANi prAdurBavanti
   vajranābhīni tīkṣṇajvālāni śīghrabhramāṇi tasya sahagamanād eva tā-	vajra-nABIni tIkzNa-jvAlAni SIGra-BramANi tasya saha-gamanAt eva tA-
   [ Bendall ed p71 ---> ]	[ Bet-dalt ed p71 ---> ]
