   Pāṇḍulohitakavastu	PANxu-lohitakavaH-tu
   codayitvā smārayitvā kurvanti savastukaṃ pratijñayā saṃmukhībhūtasya /	codayitvA smArayitvA kurvanti sa-vastukam pratijQayA saMmuKIBUtasya /
   Pāṇḍ-v § 2.3 evaṃ ca punaḥ kartavyam* / śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm	PANx-u § 2.3 evam ca punar kartavyam* / Sayana-Asana-prajQaptim kRtvA gaNxIm
   ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyaṃ /	saMnipatite ekena BikzuNA jQaptim kRtvA karma kartavyam /
   Pāṇḍ-v § 2.4 śṛṇotu bhadantāḥ saṃghaḥ / ayaṃ śreyako bhikṣur	PANx-u § 2.4 SRNotu BadantAH saMGaH / ayam SreyakaH BikzuH-
   abhīkṣṇāpattikaḥ abhīkṣṇaṃ saṃghāvaśeṣām āpattim āpadyate / tad asya	aBIkzNApattikaH aBIkzNam saMGO=-aSezAm Apattim Apadyate / tat asya
   bhikṣavaḥ parivāsaṃ dadanto mūlaparivāsaṃ mānāpyam āvarhantaś ca bahukṛtyā	BikzavaH parivAsam dadantaH mUla-parivAsam mAnApyam AvarhantaH ca bahu-kRtyA
   bhavanti bahukaraṇīyā riṃcanty uddeśaṃ pāṭhaṃ svādhyāyaṃ yogaṃ manasikāram	Bavanti bahu-karaNIyAH riMcanti uddeSam pAWam svADyAyam yogam manasikAram
   adhyātmaṃ cetaḥśamathaṃ / sacet saṃghasya prāptakālaṃ kṣametānujānīyāt	aDyAtmam cetaH-SamaTam / saced saMGasya prApta-kAlam kzameta-anujAnIyAt-
   saṃgho yat saṃghaḥ śreyakasya bhikṣor abhīkṣṇāpattikasya nigarhaṇīyaṃ	saMGaH yat saMGaH Sreyakasya BikzoH aBIkzNApattikasya nigarhaNIyam
   karma kuryād ity eṣā jñaptiḥ /	karma kuryAt iti ezA jQaptiH /
   Pāṇḍ-v § 2.5 evaṃ ca karma kartavyam* / śṛṇotu bhadantāḥ saṃghaḥ / ayaṃ	PANx-u § 2.5 evam ca karma kartavyam* / SRNotu BadantAH saMGaH / ayam
   śreyako bhikṣur abhīkṣṇāpattikaḥ abhīkṣṇaṃ saṃghāvaśeṣām āpattim āpadyate	SreyakaH BikzuH aBIkzNApattikaH aBIkzNam saMGO=-aSezAm Apattim Apadyate
   / tad asya bhikṣavaḥ parivāsaṃ dadanto mūlaparivāsaṃ mānāpyam āvarhantaś	/ tat asya BikzavaH parivAsam dadantaH mUla-parivAsam mAnApyam AvarhantaH-
   ca bahukṛtyā bhavanti bahukaraṇīyā riṃcanty uddeśaṃ pāṭhaṃ svādhyāyaṃ	ca bahu-kRtyAH Bavanti bahu-karaNIyAH riMcanti uddeSam pAWam svADyAyam
   yogaṃ manasikāram adhyātmaṃ cetaḥśamathaṃ / tat saṃghaḥ śreyakasya bhikṣor	yogam manasikAram aDyAtmam cetaH-SamaTam / tat saMGaH Sreyakasya BikzoH-
   abhīkṣṇāpattikasya nigarhaṇīyaṃ karma karoti / yeṣām āyuṣmatāṃ kṣamate	aBIkzNApattikasya nigarhaNIyam karma karoti / yezAm AyuzmatAm kzamate
   śreyakasya (290v1 = GBM 893) bhikṣor abhīkṣṇāpattikasya nigarhaṇīyaṃ karma	Sreyakasya (290v1  GBm 893) BikzoH aBIkzNApattikasya nigarhaNIyam karma
   kartuṃ te tūṣṇīṃ na kṣamate bhāṣantām* / iyaṃ prathamā karmavācanā / evaṃ	kartum te tUzNIm na kzamate BAzantAm* / iyam praTamA karma-vAcanA / evam
   dvitīyā tṛtīyā karmavācanā kartavyā / kṛtaṃ saṃghena śreyakasya bhikṣor	dvitIyA tRtIyA karma-vAcanA kartavyA / kRtam saMGena Sreyakasya BikzoH-
   abhīkṣṇāpattikasya nigarhaṇīyaṃ karma / kṣāntam anujñātaṃ saṃghena yasmāt	aBIkzNApattikasya nigarhaNIyam karma / kzAntam anujQAtam saMGena yasmAt-
   tūṣṇīm evam etad dhārayāmi //	tUzNIm evam etat DArayAmi //
   Pāṇḍ-v § 2.6 nigarhaṇīyakarmakṛtasyāhaṃ bhikṣor āsamudācārikān dharmān	PANx-u § 2.6 nigarhaNIya-karma-kRtasya-aham BikzoH AsamudAcArikAn DarmAn
   prajñapayāmi / nigarhaṇīyakarmakṛtena bhikṣuṇā na pravrājayitavyaṃ /	prajQapayAmi / nigarhaNIya-karma-kRtena BikzuNA na pravrAjayitavyam /
   nopasaṃpādayitavyaṃ / na niśrayo deyo / na śramaṇoddeśa upasthāpayitavyaḥ	na-upasaMpAdayitavyam / na niSrayaH deyaH / na SramaNa-uddeSaH upasTApayitavyaH
   pūrvavad yāvat tarjanīyakarmakṛtasya vaktavyaṃ / nigarhaṇīyakarmakṛto	pUrvavat yAvat tarjanIya-karma-kRtasya vaktavyam / nigarhaNIya-karma-kRtaH-
   bhikṣur yathā prajñaptān āsamudācārikān dharmān na samādāya vartate	BikzuH yaTA prajQaptAn AsamudAcArikAn DarmAt na samAdAya vartate
   sātisāro bhavati //	sa-atisAraH Bavati //
   Pāṇḍ-v § 2.7 sa evaṃ nigarhaṇīyakarmakṛta utkacaprakacaḥ saṃghe roma	PANx-u § 2.7 saH evam nigarhaNIya-karma-kRtaH utkaca-prakacaH saMGe roma
   pātayati pūrvavad yāvat* antaḥsīmāyāṃ sthitvā osāraṇāṃ yācate /	pAtayati pUrvavat yAvat* antar-sImAyAm sTitvA osAraNAm yAcate /
   abhīkṣṇāpattikatvāc ca prativiramāmīti vadati / etat prakaraṇaṃ bhikṣavo	aBIkzNApattika-tvAt ca prativiramAmi-iti vadati / etat prakaraNam BikzavaH-
   bhagavata ārocayanti / bhagavān āha / osārayata yūyaṃ bhikṣavaḥ śreyakasya	BagavataH Arocayanti / BagavAn Aha / osArayata yUyam BikzavaH Sreyakasya
   bhikṣor nigarhaṇīyakarmakṛtasya iti yo vā punar anyo 'py evaṃjātīyaḥ /	BikzoH nigarhaNIya-karma-kRtasya iti yaH vA punar anyaH api evaMjAtIyaH /
   Pāṇḍ-v § 2.8 paṃcabhir dharmaiḥ samanvāgato nigarhaṇīyakarma kṛtaḥ	PANx-u § 2.8 paMcaBiH DarmEH samanvAgataH nigarhaNIya-karma kRtaH
   osārayitavyaḥ / katamaiḥ paṃcabhiḥ / utkacaprakacaḥ saṃghe roma pātayati Ś	osArayitavyaH / katamEH paMcaBiH / utkaca-prakacaH saMGe roma pAtayati Ś
   niḥsaraṇaṃ pravartayati sāmīcīm upadarśayati antaḥsīmāyāṃ sthitvā osāraṇāṃ	niHsaraNam pravartayati sAmIcIm upadarSayati antar-sImAyAm sTitvA osAraNAm
   yācate Ś abhīkṣṇāpattikatvāc ca prativiramāmīti Ś vadati Ś	yAcate Ś aBIkzNa-Apattika-tvAt ca prativiramAmi-iti Ś vadati Ś
   Pāṇḍ-v § 2.9 evaṃ ca punar osārayitavyaḥ / śayanāsanaprajñaptiṃ kṛtvā	PANx-u § 2.9 evam ca punar osArayitavyaH / Sayana-Asana-prajQaptim kRtvA
   gaṇḍīm ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	gaNxIm Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite śreyakena bhikṣuṇā vṛddhānte utkuṭukena sthitvā aṃjaliṃ	saMnipatite Sreyakena BikzuNA vRdDAnte utkuwukena sTitvA aMjalim
   pragṛhya idaṃ syād vacanīyaṃ /	pragRhya idam syAt vacanIyam /
   Pāṇḍ-v § 2.10 śṛṇotu bhadantāḥ saṃghaḥ / ahaṃ śreyako bhikṣur	PANx-u § 2.10 SRNotu BadantAH saMGaH / aham SreyakaH BikzuH-
   abhīkṣṇāpattikaḥ abhīkṣṇaṃ saṃghāvaśeṣām āpattim āpadye / tan me bhikṣavaḥ	aBIkzNApattikaH aBIkzNam saMGa-a=-aSezAm Apattim Apadye / tat me BikzavaH
   parivāsaṃ dadanto mūlaparivāsaṃ mānāpyāvarhaṇaś ceti / bahukṛtyā bhavanti	parivAsam dadantaH mUla-parivAsam mAnApi-AvarhaNaH ca-iti / bahu-kRtyAH Bavanti
   bahukaraṇīyā riṃcanty uddeśaṃ pāṭhaṃ svādhyāyaṃ yogaṃ manasikāram	bahu-karaNIyAH riMcanti uddeSam pAWam svADyAyam yogam manasikAram
   adhyātmaṃ cetaḥśamathaṃ / mama saṃghena nigarhaṇīyaṃ karma kṛtaṃ / so 'haṃ	aDyAtmam cetaH-SamaTam / mama saMGena nigarhaNIyam karma kRtam / saH aham
   nigarhaṇīyakarmakṛta utkacaprakacaḥ saṃghe roma pātayāmi / niḥsaraṇaṃ	nigarhaNIya-karma-kRtaH utkaca-prakacaH saMGe roma pAtayAmi / niHsaraNam
   pravartayāmi / sāmīcīm upadarśayāmi Ś antaḥsīmāyāṃ sthitvā osāraṇāṃ yāce /	pravartayAmi / sAmIcIm upadarSayAmi Ś antar-sImAyAm sTitvA osAraNAm yAce /
   abhīkṣnāpattikatvāc ca prativiramāmi / osārayatu māṃ bhadantāḥ saṃghaḥ	aBIkzna-Apattika-tvAt ca prativiramAmi / osArayatu mAm BadantAH saMGaH
   śreyakaṃ bhikṣum abhikṣṇāpattikaṃ nigarhaṇīyakarmakṛtam anukaṃpako	Sreyakam Bikzum aBikzNApattikam nigarhaNIya-karma-kRtam anukaMpakaH-
   'nukaṃpām upādāya / evaṃ dvir api trir api /	anukaMpAm upAdAya / evam dvis api tris api /
   Pāṇḍ-v § 2.11 tataḥ paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyam* /	PANx-u § 2.11 tatas paScAt ekena BikzuNA jQaptim kRtvA karma kartavyam* /
   śṛṇotu bhadantāḥ saṃghaḥ / ayaṃ śreyako bhikṣur abhīkṣṇāpattikaḥ pūrvavad	SRNotu BadantAH saMGaH / ayam SreyakaH BikzuH aBIkzNApattikaH pUrvavat-
   yāvad adhyātmaṃ cetaḥśamathaṃ / tasya saṃghenābhīkṣṇāpattika iti	yAvat aDyAtmam cetaH-SamaTam / tasya saMGena-aBIkzNApattikaH iti
   nigarhaṇīyaṃ karma kṛtam osārayed ity eṣā jñaptiḥ / evaṃ ca karma	nigarhaNIyam karma kRtam osArayet iti ezA jQaptiH / evam ca karma
   kartavyam* / nigarhaṇīyakarmakṛta utkacaprakacaḥ saṃghe roma pātayati	kartavyam* / nigarhaNIya-karma-kRtaH utkaca-prakacaH saMGe roma pAtayati
   pūrvavad yāvad abhīkṣṇāpattikatvāc ca prativiramāmīti vadati Ś sacet	pUrvavat yAvat aBIkzNApattika-tvAt ca prativiramAmi-iti vadati Ś saced-
   saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃghaḥ śreyakaṃ bhikṣum	saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH Sreyakam Bikzum
   abhīkṣṇāpattikaṃ nigarhaṇīyakarmakṛtam osārayed ity eṣā jñaptiḥ /	aBIkzNApattikam nigarhaNIya-karma-kRtam osArayet iti ezA jQaptiH /
   Pāṇḍ-v § 2.12 evaṃ ca karma kartavyaṃ / śṛṇotu bhadantāḥ saṃghaḥ / ayaṃ	PANx-u § 2.12 evam ca karma kartavyam / SRNotu BadantAH saMGaH / ayam
   (291r1 = GBM 889) bhadanta śreyako bhikṣur abhīkṣṇāpattikaḥ abhīkṣṇaṃ	(291r1  GBm 889) Badanta SreyakaH BikzuH aBIkzNApattikaH aBIkzNam
   saṃghāvaśeṣām āpattim āpadyate / dadatāsya bhikṣavaḥ parivāsaṃ bhadanta	saMGO=-aSezAm Apattim Apadyate / dadatA-asya BikzavaH parivAsam Badanta
   pūrvavad yāvad adhyātmaṃ cetaḥśamathaṃ / tad asya saṃghenābhīkṣṇāpattika	pUrvavat yAvat aDyAtmam cetaH-SamaTam / tat asya saMGena-aBIkzNApattika
   iti nigarhaṇīyaṃ karma kṛtaṃ so 'yaṃ śreyako bhikṣur abhīkṣṇāpattiko	iti nigarhaNIyam karma kRtam saH ayam SreyakaH BikzuH aBIkzNApatti-ko
   nigarhaṇīyakarmakṛta utkacaprakacaḥ saṃghe roma pātayati niḥsaraṇaṃ	nigarhaNIya-karma-kRtaH utkaca-prakacaH saMGe roma pAtayati niHsaraNam
   pravartayati Ś sāmīcīm upadarśayati antaḥsīmāyāṃ sthitvā osāraṇāṃ yācate	pravartayati Ś sAmIcIm upadarSayati antar-sImAyAm sTitvA osAraNAm yAcate
   abhīkṣṇāpattikatvāc ca prativiramāmīti vadati / tat saṃghaḥ śreyakaṃ	aBIkzNApattika-tvAt ca prativiramAmi-iti vadati / tat saMGaH Sreyakam
   bhikṣum abhīkṣṇāpattikaṃ nigarhaṇīyakarmakṛtam osārayati Ś yeṣām āyuṣmatāṃ	Bikzum aBIkzNApattikam nigarhaNIya-karma-kRtam osArayati Ś yezAm AyuzmatAm
   kṣamate śreyakaṃ bhikṣum abhīkṣṇāpattikaṃ nigarhaṇīyakarmakṛtam osārayituṃ	kzamate Sreyakam Bikzum aBIkzNApattikam nigarhaNIya-karma-kRtam osArayitum
   te tūṣṇīṃ na kṣamate bhāṣantāṃ / iyaṃ prathamā karmavācanā evaṃ dvitīyā	te tUzNIm na kzamate BAzantAm / iyam praTamA karma-vAcanA evam dvitIyA
   tṛtīyā karmavācanā kartavyā // osāritaḥ saṃghena śreyako bhikṣur	tRtIyA karma-vAcanA kartavyA // osAritaH saMGena SreyakaH BikzuH-
   abhīkṣṇāpattiko nigarhaṇīyakarmakṛtaḥ / kṣāntam anujñātaṃ saṃghena yasmāt	aBIkzNApattikaH nigarhaNIya-karma-kRtaH / kzAntam anujQAtam saMGena yasmAt-
   tūṣṇīm evam etad dhārayāmi // //	tUzNIm evam etat DArayAmi // //
   Pāṇḍ-v § 3.1 buddho bhagavāṃ śrāvastyāṃ viharati jetavane	PANx-u § 3.1 budDaH BagavAm SrAvastyAm viharati jetavane
   'nāthapiṇḍadasyārāme Ś tena khalu samayena kiṭāgirīyakāv	anATapiNxadasya-ArAme Ś tena Kalu samayena kiwAgirIyakOv
   aśvakapunarvasukau bhikṣū prativasataḥ kuladūṣakau pāpadharmasamudācārau /	aSvaka-punarvasukO BikzU prativasataH kula-dUzakO pApa-Darma-samudAcArO /
   tāv imāny evaṃrūpāṇy aśrāmaṇakāni karmāṇi kurutaḥ kārayataḥ / tadyathā	tO imAni evaMrUpANi aSrAmaNakAni karmANi kurutaH kArayataH / tat-yaTA
   mātṛgrāmeṇa sārdhaṃ saṃcagghataḥ saṃkrīḍataḥ saṃkilikilāyete Ś auddhatyaṃ	mAtR-grAmeNa sArDam saMcagGataH saMkrIxataH saMkilikilAyete Ś OdDatyam
   dravaṃ kāyatāntyaṃ kurutaḥ apīdānīm ekāsane niṣīdataḥ / ekapaṃktyāṃ	dravam kAya-tA-antyam kurutaH api-idAnIm eka-Asane nizIdataH / ekapaMktyAm
   bhuṃjāte / ekaśirāvake vividhāni madyapānāni pibataḥ / puṣpāṇy uccinutaḥ	BuMjAte / eka-SirAvake viviDAni madya-pAnAni pibataH / puzpANi uccinutaH
   uccāyataḥ / mālā grathnītaḥ grathnāpayataḥ / avataṃsakān badhnītaḥ	uccAyataH / mAlA graTnItaH graTnApayataH / avataMsakAn baDnItaH
   badhnayataḥ / nṛtyataḥ nartayataḥ / gāyataḥ gāyāpayataḥ / vādataḥ	baDnayataH / nRtyataH nartayataH / gAyataH gAyA-apayataH / vAdataH
   vādāpayataḥ / sunṛtyeṣu sugīteṣu suvāditeṣu lālāṭikām anuprayacchataḥ /	vAdApayataH / su-nRtyezu su-gItezu su-vAditezu lAlAwikAm anuprayacCataH /
   cīvarakāni saṃhṛtya dhāvataḥ dravataḥ pradravataḥ / ūruparivartam api	cIvarakAni saMhRtya DAvataH dravataH pradravataH / Uru-parivartam api
   kurutaḥ bāhuparivartam api / rohitāvartam api / jalaśikyakayāpi vidhyataḥ	kurutaH bAhu-parivartam api / rohita-Avartam api / jalaSikyakayA-api viDyataH
   / jalayantrakaṃ jalabherikām api vādayataḥ / hastikrauñcam api krūñcataḥ	/ jalayantrakam jala-BerikAm api vAdayataH / hasti-krOQcam api krUQcataH
   aśvaheṣitam api heṣataḥ / ṛṣabhagarjitam api garjataḥ / mukhadundubhikām	aSva-hezitam api hezataH / RzaBa-garjitam api garjataH / muKa-dunduBikAm
   api vādayataḥ / mukhaśaṅkhaṃ mukhabherīṃ mayūravirutam api kekāyete /	api vAdayataH / muKa-SaFKam muKa-BerIm mayUra-virutam api kekAyete /
   kokilavirutam api bikūjataḥ / hastiyuddham api kurutaḥ / aśvayuddham	kokila-virutam api bikUjataH / hasti-yudDam api kurutaH / aSva-yudDam
   ṛṣabhayuddhaṃ mahiṣayuddham ajayuddhaṃ piṇḍakayuddhaṃ strīyuddhaṃ	RzaBa-yudDam mahiza-yudDam aja-yudDam piNxaka-yudDam strI-yudDam
   puruṣayuddhaṃ kumārakayuddhaṃ kumārikāyuddhaṃ kukkuṭayuddhaṃ	puruza-yudDam kumAraka-yudDam kumArikA-yudDam kukkuwa-yudDam
   vartakayuddhaṃ lāvakayuddhaṃ kurutaḥ kārayataḥ / imāni cānyāni	vartaka-yudDam lAvaka-yudDam kurutaH kArayataH / imAni ca-anyAni
   cāśrāmaṇakāni karmāṇi kurutaḥ kārayataḥ / tayos tayā īryayā caryayā	ca-aSrAmaNakAni karmANi kurutaH kArayataH / tayoH tayA IryayA caryayA
   pratipattyā kiṭāgirim anāgatāś ca bhikṣavo nāgaccganty / āgatāś ca	pratipattyA kiwAgirim anAgatAH ca BikzavaH na-agaccganti / AgatAH ca
   nābhiramante tyajanti kiṭāgirau vāsaṃ / kiṭāgirinivāsinaś ca	nABiH-amante tyajanti kiwAgirO vAsam / kiwAgiri-nivAsinaH ca
   brāhmaṇagṛhapatayo nāttamanaso nābhirāddhāḥ / naivāsikānām api	brAhmaNa-gRhapatayaH na-Atta-manasaH nABirAdDAH / nEvAsikAnAm api
   cirānugatānāṃ kṛcchreṇa piṇḍakaṃ dātavyaṃ kartavyaṃ manyante / kaḥ punar	cira-anugatAnAm kRcCreNa piNxakam dAtavyam kartavyam manyante / kaH punar-
   vāda āgantukānāṃ /	vAdaH AgantukAnAm /
   Pāṇḍ-v § 3.2 yāvad apareṇa samayenāyuṣmān ānandaḥ kāśīṣu janapadeṣu	PANx-u § 3.2 yAvat apareNa samayena-AyuzmAn AnandaH kASIzu janapadezu
   cārikāṃ caraṃ kiṭāgirim anuprāptaḥ / kiṭāgirau viharati (291v1 = GBM 895)	cArikAm caram kiwAgirim anuprAptaH / kiwa-agirO viharati (291v1  GBm 895)
   kiṭāgirīyake dāve / athāyuṣmān ānandaḥ pūrvāhṇe nivāsya pātracīvaram ādāya	kiwAgirIyake dAve / aTa-AyuzmAn AnandaH pUrvAhNe nivAsya pAtra-cIvaram AdAya
   kiṭāgiriṃ piṇḍāya praviṣṭaḥ Ś sa yathā dhautena pātreṇa kiṭāgiriṃ piṇḍāya	kiwAgirim piNxAya pravizwaH Ś sa yaTA DOtena pAtreNa kiwAgirim piNxAya
   praviṣṭas tathā dhautenaiva pātreṇa pratiniṣkrānto 'labdhvā dānam	pravizwaH taTA DOtena-eva pAtreNa pratinizkrAntaH alabDvA dAnam
   alabdhvāpratyākhyānam* antata ekabhikṣām api / athāyuṣmata ānandasyaitad	alabDvA-apratyAKyAnam* antatas eka-BikzAm api / aTa-AyuzmataH Anandasya-etat-
   abhavat* / pūrve cāyaṃ kiṭāgiri ṛddhaś cābhūt* sphītaś ca kṣemaś ca	aBavat* / pUrve ca-ayam kiwAgiri RdDaH ca-aBUt* sPItaH ca kzemaH ca
   subhikṣaś cākīrṇabahujanamanuṣyaś ca sulabhaś cārupiṇḍako yācanakena /	suBikzaH ca-AkIrNa-bahu-jana-manuzyaH ca sulaBaH cAru-piNxakaH yAcanakena /
   etarhy apy ayaṃ kiṭāgiri ṛddhaś ca sphītaś ca kṣemaś ca subhikṣaś	etarhi api ayam kiwAgiri RdDaH ca sPItaH ca kzemaH ca suBikzaH-
   cākīrṇabahujanamanuṣyaś ca / atha ca punar ahaṃ yathā dhautenaiva pātreṇa	ca-AkIrNa-bahu-jana-manuzyaH ca / aTa ca punar aham yaTA DOtena-eva pAtreNa
   praviṣṭas tathā dhautena pātreṇa pratiniṣkrānto 'labdhvā dānam alabdhvā	pravizwaH taTA DOtena pAtreNa pratinizkrAntaH alabDvA dAnam alabDvA
   pratyākhyānaṃ antata ekabhikṣām api / mā haivātra kenacid bhagavataḥ	pratyAKyAnam antatas eka-BikzAm api / mA ha-eva-atra kenacid BagavataH
   śrāvakena mūḍhenāvyaktenākuśalena kleśavaśāt kulastrī vā kulakumārī vā	SrAvakena mUXena-avyaktena-akuSalena kleSa-vaSAt kula-strI vA kulakumArI vA
   ābhāṣitā vā bhaviṣyaty āmṛṣṭā vā paribhāṣitā /	ABAzitA vA Bavizyati AmRzwA vA pariBAzitAH /
   Pāṇḍ-v § 3.3 tena khalu samayena kiṭāgirīyakānāṃ brāhmaṇagṛhapatīnāṃ	PANx-u § 3.3 tena Kalu samayena kiwa-agirIyakAnAm brAhmaNa-gRhapatInAm
   saṃsthāgāre paṃcamātrāṇi brāhmaṇagṛhapatiśatāni saṃniṣaṇṇāni saṃnipatitāni	saMsTA-AgAre paMca-mAtrANi brAhmaNa-gRhapati-SatAni saMnizaNNAni saMnipatitAni
   kenacid eva karaṇīyena / athāyuṣmān ānando yena kiṭāgirīyakānāṃ	kenacid eva karaNIyena / aTa-AyuzmAn AnandaH yena kiwAgirIyakAnAm
   brāhmaṇagṛhapatīnāṃ saṃsthāgāras tenopasaṃkrāntaḥ / upasaṃkramya	brAhmaNa-gRhapatInAm saMsTA-AgAraH tena-upasaMkrAntaH / upasaMkramya
   kiṭāgirīyakān brāhmaṇagṛhapatīn idam avocat* / pūrve cāyaṃ bhavanta	kiwAgirIyakAn brAhmaNa-gRhapatIn idam avocat* / pUrve ca-ayam Bavanta
   kiṭāgiriḥ pūrvavad yāvad alabdhvā ekabhikṣām api / evam uktāḥ kiṭāgirīyakā	kiwAgiriH pUrvavat yAvat alabDvA eka-BikzAm api / evam uktAH kiwAgirIyakA
   brāhmaṇagṛhapataya indriyāṇy utkṣipyāvasthitāḥ Ś	brAhmaNa-gRhapatayaH indriyANi utkzipya-avasTitAH Ś
   Pāṇḍ-v § 3.4 tena khalu samayenodakaplotika upāsakas tasyām eva pariṣadi	PANx-u § 3.4 tena Kalu samayena-udaka-plotikaH upAsakaH tasyAm eva parizadi
   saṃniṣaṇṇo 'bhūt saṃnipatitaḥ / athodakaplotika upāsika āyuṣmantam ānandaṃ	saMnizaNNaH aBUt saMnipatitaH / aTa-udaka-plotikaH upAsikaH Ayuzmantam Anandam
   bāhuṃ gṛhītvā ekānte prakramyāyuṣmantam ānandam idam avocat* / yat khalu	bAhum gRhItvA ekAnte prakramya-Ayuzmantam Anandam idam avocat* / yat Kalu
   bhadantānanda jānīyā asmin kiṭāgirāv aśvakapunarvasukau bhikṣū	Badanta-Ananda jAnIyAH asmin kiwAgirO aSvaka-punarvasukO BikzU
   prativasataḥ kuladūṣakau pāpadharmasamudācārau tau mātṛgrāmeṇa sārdhaṃ	prativasataH kula-dUzakO pApa-Darma-samudAcArO tO mAtR-grAmeNa sArDam
   saṃcagghataḥ pūrvavad yāvad /	saMcagGataH pUrvavat yAvat /
   Pāṇḍ-v § 3.5 āyuṣmann ānanda pūrvavad yāvad yathā saṃghāvaśeṣe	PANx-u § 3.5 Ayuzman Ananda pUrvavat yAvat yaTA saMGa-avaSeze
   kuladūṣakaśikṣāpade aśvakapunarvasukayor bhikṣvoḥ pravāsanīyaṃ karma kuru	kula-dUzaka-SikzA-pade aSvakapunarvasukayoH BikzvoH pravAsanIyam karma kuru
   Pāṇḍ-v § 3.6 evaṃ ca punaḥ kartavyaṃ / antarmārge sthitvā codako bhikṣuḥ	PANx-u § 3.6 evam ca punar kartavyam / antar-mArge sTitvA ca-udakaH BikzuH
   saṃmantavyaḥ / paṃcabhir dharmaiḥ samanvāgataś codako bhikṣuḥ pūrvavad	saMmantavyaH / paMcaBiH DarmEH samanvAgataH ca-udakaH BikzuH pUrvavat-
   yāvat karma kurvanti /	yAvat karma kurvanti /
   Pāṇḍ-v § 3.7 śṛṇotu bhadantāḥ saṃghaḥ / imāv aśvakapunarvasukau bhikṣū	PANx-u § 3.7 SRNotu BadantAH saMGaH / imO aSvaka-punarvasukO BikzU
   kuladūṣakau pāpadharmasamudācārau / ābhyāṃ kulāni dūṣitāni dṛśyante 'pi	kula-dUzakO pApa-Darma-samudAcArO / AByAm kulAni dUzitAni dRSyante api
   śrūyante 'pi prajñāyante 'pi / pāpakāś cānayoḥ samudācārā dṛśyante 'pi	SrUyante api prajQAyante api / pApakAH ca-anayoH samudAcArAH dRSyante api
   śrūyante 'pi prajñāyante 'pi / sacet saṃghasya prāptakālaṃ	SrUyante api prajQAyante api / saced saMGasya prApta-kAlam
   kṣametānujānīyāt saṃgho yat saṃghaḥ aśvakapunarvasukayor bhikṣvoḥ	kzameta-anujAnIyAt saMGaH yat saMGaH aSvakapunarvasukayoH BikzvoH
   kuladūṣakayoḥ pāpadharmasamudācāriṇoḥ pravāsanīyaṃ karma kuryād ity eṣā	kula-dUzakayoH pApa-Darma-samudAca-ariNoH pravAsanIyam karma kuryAt iti ezA
   jñaptiḥ // evaṃ ca karma kartavyaṃ pūrvavad yāvad evaṃ dvitīyā tṛtīyā	jQaptiH // evam ca karma kartavyam pUrvavat yAvat evam dvitIyA tRtIyA
   karmavācanā kartavyā Ś // //	karma-vAcanA kartavyA Ś // //
   Pāṇḍ-v § 4.1 buddho bhagavāṃ śrāvastyāṃ viharati jetavane	PANx-u § 4.1 budDaH BagavAm SrAvastyAm viharati jetavane
   'nāthapiṇḍadasyārame Ś tena khalu samayena śrāvastyām anyatama śreṣṭhī	anATapiNxadasya-Arame Ś tena Kalu samayena SrAvastyAm anyatama SrezWI
   prativasati āḍhyo mahādhano mahābhogaḥ / (292r1 = GBM 896) tena sadṛśāt	prativasati AXyaH mahADanaH mahA-BogaH / (292r1  GBm 896) tena sadRSAt-
   kulāt kalatram ānītaṃ / sa tayā sārdhaṃ krīḍati ramate paricārayati /	kulAt kalatram AnItam / sa tayA sArDam krIxati ramate paricArayati /
   tasya krīḍato ramamāṇasya paricārayataḥ patnī āpannasatvā saṃvṛttā / sā	tasya krIxataH ramamANasya paricArayataH patnI ApannasatvA saMvRttA / sA
   aṣṭānāṃ vā navānāṃ vā māsānām atyayād uttare nakṣatre prasūtā / dārako	azwAnAm vA navAnAm vA mAsAnAm atyayAt uttare nakzatre prasUtA / dArakaH-
   jātaḥ / tasya jñātayaḥ saṃgamya samāgamya trīṇi saptakāny	jAtaH / tasya jQAtayaH saMgamya samAgamya trINi saptakAni-
   ekaviṃśatidivasāṃ jātasya jātimahaṃ kṛtvā nāmadheyaṃ vyavasthāpayanti /	ekaviMSati-divasAm jAtasya jAti-maham kRtvA nAmaDeyam vyavasTApayanti /
   kiṃ bhavatu dārakasya nāmeti / teṣām etad abhavat* / yasmād ayaṃ daraka	kim Bavatu dArakasya nAma-iti / tezAm etat aBavat* / yasmAt ayam daraka
   uttare nakṣatre jātas tasmād bhavatu dārakasya uttara iti nāmeti Ś tasya	uttare nakzatre jAtaH tasmAt Bavatu dArakasya uttaraH iti nAma-iti Ś tasya
