   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   rājakīyaṃ smṛtaṃ lekhyaṃ sarveṣv artheṣu sākṣimat // K_258 //	rAjakI-iyam smRtam leKyam sarvezu arTezu sAkzimat // K_258 //
   arthipratyarthivākyāni pratijñā sākṣivāk tathā /	arTi-pratyarTi-vAkyAni pratijQA sAkzi-vAc taTA /
   nirṇayaś ca yathā tasya yathā cāvadhṛtaṃ svayam // K_259 //	nirNayaH ca yaTA tasya yaTA ca-avaDRtam svayam // K_259 //
   etad yathākṣaraṃ lekhye yathāpūrvaṃ niveśayet /	etat yaTAkzaram leKye yaTApUrvam niveSayet /
   abhiyoktṛabhiyuktānāṃ vacanaṃ prāṅ niveśayet // K_260 //	aBiyoktR-aBiyuktAnAm vacanam prAk niveSayet // K_260 //
   sabhyānāṃ prāḍvivākasya kulānāṃ vā tataḥ param /	saByAnAm prAxvivAkasya kulAnAm vA tatas param /
   niścayaṃ smṛtiśāstrasya mataṃ tatraiva lekhayet // K_261 //	niScayam smRti-SAstrasya matam tatra-eva leKayet // K_261 //
   siddhenārthena saṃyojyo vādī satkārapūrvakam /	sidDena-arTena saMyojyaH vAdI satkAra-pUrvakam /
   lekhyaṃ svahastasaṃyuktaṃ tasmai dadyāt tu pārthivaḥ // K_262 //	leKyam sva-hasta-saMyuktam tasmE dadyAt tu pArTivaH // K_262 //
   sabhāsadaś ca ye tatra smṛtiśāstravidaḥ sthitāḥ /	saBAsadaH ca ye tatra smRti-SAstra-vidaH sTitAH /
   yathālekhyavidhhau tadvat svahastaṃ tatra dāpayet // K_263 //	yaTA-leKya-viDhO tadvat sva-hastam tatra dApayet // K_263 //
   anena vidhinā lekhyaṃ paścātkāraṃ vidur budhāḥ /	anena viDinA leKyam paScAtkAram viduH buDAH /
   nirastā tu kriyā yatra pramāṇenaiva vādinā /	nirastA tu kriyA yatra pramANena-eva vAdinA /
   paścātkāro bhavet tatra na sarvāsu vidhīyate // K_264 //	paScAtkAraH Bavet tatra na sarvAsu viDIyate // K_264 //
   anyavādīādihīnebhya itareṣāṃ pradīyate /	anya-vAdIAdi-hIneByaH itarezAm pradIyate /
   vṛttānuvādasaṃsiddhaṃ tac ca syāj jayapatrakam // K_265 //	vRtta-anuvAda-saMsidDam tat ca syAt jaya-patrakam // K_265 //
   [lekhyaparīkṣā]	[leKya-parIkzA]
   rājājñayā samāhūya yathānyāyaṃ vicārayet /	rAja-AjQayA samAhUya yaTAnyAyam vicArayet /
   lekhyācāreṇa likhitaṃ sākṣyācāreṇa sākṣiṇaḥ // K_266 //	leKya-AcAreNa liKitam sAkzi-AcAreNa sAkziNaH // K_266 //
   varṇavākyakriyāyuktam asaṃdigdhaṃ sphuṭākṣaram /	varNa-vAkya-kriyA-yuktam asaMdigDam sPuwa-akzaram /
   ahīnakramacihnaṃ ca lekhyaṃ tatsiddhim āpnuyāt // K_267 //	ahIna-krama-cihnam ca leKyam tad-sidDim ApnuyAt // K_267 //
   deśācārayutaṃ varṣam āsapakṣādivṛddhimat /	deSa-AcAra-yutam varzam Asapakza-Adi-vRdDimat /
   ṛṇisākṣilekhakānām hastāṅgam lekhyam ucyate // K_268 //	RNi-sAkzi-leKakAnAm hasta-aFgam leKyam ucyate // K_268 //
   sthānabhraṣṭās tv apaṅktisthāḥ saṃdigdhā lakṣaṇacyutāḥ /	sTAna-BrazwAH tu apaFkti-sTAH saMdigDAH lakzaNa-cyutAH /
   yadā tu saṃsthitā varṇāḥ kūṭalekhyaṃ tadā bhavet // K_269 //	yadA tu saMsTitAH varNAH kUwa-leKyam tadA Bavet // K_269 //
   deśācāraviruddhaṃ yat saṃdigdhaṃ kramavarjitam /	deSa-AcAra-virudDam yat saMdigDam krama-varjitam /
   kṛtam asvāminā yac ca sādhyahīnaṃ ca duṣyati // K_270 //	kRtam asvAminA yat ca sADya-hInam ca duzyati // K_270 //
   mattenopādhibhītena tathonmattena pīḍitaiḥ /	mattena-upADi-BItena taTA-unmattena pIxitEH /
   strībhir bālāsvatantraiś ca kṛtaṃ lekhyaṃ na sidhyati // K_271 //	strIBiH bAla-asvatantrEH ca kRtam leKyam na siDyati // K_271 //
   khyāpitaṃ ced dvitīye 'hni na kaścid vinivartayet /	KyApitam ced dvitIye ahni na kaScid vinivartayet /
   tathā tat syāt pramāṇaṃ tu mattonmattakṛtād ṛte // K_272 //	taTA tat syAt pramANam tu matta-unmatta-kRtAt Rte // K_272 //
   sākṣidoṣād bhaved duṣṭaṃ patraṃ vai lekhakasya vā /	sAkzi-dozAt Bavet duzwam patram vE leKakasya vA /
   dhanikasyopadhādoṣāt tathā dhāraṇikasya vā // K_273 //	Danikasya-upaDA-dozAt taTA DAraNikasya vA // K_273 //
   duṣṭair duṣṭaṃ bhavel lekhyaṃ śuddhaṃ śuddhair vinirdiśet /	duzwEH duzwam Bavet leKyam SudDam SudDEH vinirdiSet /
   tat patram upadhāduṣṭaiḥ sākṣilekhakakārakaiḥ // K_274 //	tat patram upaDA-duzwEH sAkzi-leKaka-kArakEH // K_274 //
   pramāṇasya hi ye doṣā vaktavyās te vivādinā /	pramANasya hi ye dozAH vaktavyAH te vivAdinA /
   gūḍhās tu prakaṭāḥ sabhyaiḥ kāle śāstrapradarśanāt // K_275 //	gUXAH tu prakawAH saByEH kAle SAstra-pradarSanAt // K_275 //
   sākṣilekhakakartāraḥ kūṭatāṃ yānti te yathā /	sAkzi-leKaka-kartAraH kUwa-tAm yAnti te yaTA /
   tathā doṣāḥ prayoktavyā duṣṭair lekhyaṃ praduṣyāta // K_276 //	taTA dozAH prayoktavyA duzwEH leKyam praduzyAtas // K_276 //
   na lekhakena likhitaṃ na dṛṣṭaṃ sākṣibhis tathā /	na leKakena liKitam na dRzwam sAkziBiH taTA /
   evaṃ pratyarthinokte tu kūṭalekhyaṃ prakīrtitam // K_277 //	evam pratyarTinA-ukte tu kUwa-leKyam prakIrtitam // K_277 //
   nātathyena pramāṇaṃ tu doṣeṇaiva tu dūṣayet /	na-ataTyena pramANam tu dozeNa-eva tu dUzayet /
   mithyābhiyoge daṇḍyaḥ syāt sādhyārthāc cāpi hīyate // K_278 //	miTyA-aBiyoge daNxyaH syAt sADya-arTAt ca-api hIyate // K_278 //
   evaṃ duṣṭaṃ nṛpasthāne yasmiṃs tad dhi vicāryate /	evam duzwam nRpa-sTAne yasmin tat Di vicAryate /
   vimṛśya brāhmaṇaiḥ sārdhaṃ patradoṣān nirūpayet // K_279 //	vimRSya brAhmaNEH sArDam patra-dozAn nirUpayet // K_279 //
   yena te kūṭatāṃ yānti sākṣilekhakakārakāḥ /	yena te kUwa-tAm yAnti sAkzi-leKaka-kArakAH /
   tena duṣṭaṃ bhavel lekhyaṃ śuddhaiḥ śuddhiṃ vinirdiśet // K_280 //	tena duzwam Bavet leKyam SudDEH SudDim vinirdiSet // K_280 //
   dhanikena svahastena likhitaṃ sākṣivarjitam /	Danikena sva-hastena liKitam sAkzi-varjitam /
   bhavet kūṭaṃ na cet kartā kṛtaṃ hīti vibhāvayet // K_281 //	Bavet kUwam na ced kartA kRtam hi-iti viBAvayet // K_281 //
   dattaṃ lekhye svahastaṃ tu ṛṇiko yadi nihnate /	dattam leKye sva-hastam tu RNikaH yadi nihnate /
   patrasthaiḥ sākṣibhir vācyo lekhakasya matena vā // K_282 //	patra-sTEH sAkziBiH vAcyaH leKakasya matena vA // K_282 //
   kṛtākṛtavivādeṣu sākṣibhiḥ patranirṇayaḥ /	kRta-akRta-vivAdezu sAkziBiH patra-nirNayaH /
   dūṣite patrake vādī tadārūḍhāṃs tu nirdiśet // K_283 //	dUzite patrake vAdI tad-ArUXAn tu nirdiSet // K_283 //
   trividhasyāpi lekhyasya bhrāntiḥ sañjāyate nṛṇām /	triviDasya-api leKyasya BrAntiH san-jAyate nRNAm /
   ṛṇisākṣilekhakānāṃ hastoktyā sādhayet tataḥ // K_284 //	RNi-sAkzi-leKakAnAm hasta-uktyA sADayet tatas // K_284 //
   atha pañcatvam āpanno lekhakaḥ saha sākṣibhiḥ /	aTa paQcatvam ApannaH leKakaH saha sAkziBiH /
   tatsvahastādibhis teṣāṃ viśudhyet tu na saṃśayaḥ // K_285 //	tad-sva-hasta-AdiBiH tezAm viSuDyet tu na saMSayaH // K_285 //
   ṛṇisvahastasaṃdehe jīvato vā mṛtasya vā /	RNi-sva-hasta-saMdehe jIvataH vA mRtasya vA /
   tatsvahastakṛtair anyaiḥ patrais tallekhyanirṇayaḥ // K_286 //	tad-sva-hasta-kRtEH anyEH patrEH tat-leKya-nirNayaH // K_286 //
   samudre 'pi lekhye mṛtāḥ sarve 'pi te sthitāḥ (?) /	samudre api leKye mRtAH sarve api te sTitAH (?) /
   likhitaṃ tatpramāṇaṃ tu mṛteṣv api hi teṣu ca // K_287 //	liKitam tad-pramANam tu mRtezu api hi tezu ca // K_287 //
   pratyakṣam anumānena na kadācit prabādhyate /	pratyakzam anumAnena na kadAcid prabADyate /
   tasmāl lekhyasya duṣṭasya vacobhiḥ sākṣiṇāṃ bhavet // K_288 //	tasmAt leKyasya duzwasya vacoBiH sAkziNAm Bavet // K_288 //
   nirṇayaḥ svadhanārthaṃ hi patraṃ dūṣayati svayam /	nirNayaH sva-Dana-arTam hi patram dUzayati svayam /
   likhitaṃ likhitenaiva sākṣimatsākṣibhir haret // K_289 //	liKitam liKitena-eva sAkzimat-sAkziBiH haret // K_289 //
   kūṭoktau sākṣiṇāṃ vākyāl lekhakasya ca patrakam /	kUwa-uktO sAkziNAm vAkyAt leKakasya ca patrakam /
   nayec chuddhiṃ na yaḥ kūṭaṃ sa dāpyo damam uttamam // K_290 //	nayet SudDim na yaH kUwam sa dApyaH damam uttamam // K_290 //
   āḍhyasya nikaṭasthasya yac chaktena na yācitam /	AXyasya nikawa-sTasya yat Saktena na yAcitam /
   śuddharṇaśaṅkayā tat tu lekhyaṃ durbalatām iyāt // K_291 //	SudDa-RNa-SaFkayA tat tu leKyam durbala-tAm iyAt // K_291 //
   lekhyaṃ triṃśatsamātītam adṛṣṭāśrāvitaṃ ca yat /	leKyam triMSat-samA-atItam adRzwa-aSrAvitam ca yat /
   na tat siddhim avāpnoti tiṣṭhatsv api hi sākṣiṣu // K_292 //	na tat sidDim avApnoti tizWatsu api hi sAkzizu // K_292 //
   prayukte śāntalābhe tu likhitaṃ yo na darśayet /	prayukte SAnta-lABe tu liKitam yaH na darSayet /
   naiva yāceta ṛṇikaṃ na tat siddhim avāpnuyāt // K_293 //	na-eva yAceta RNikam na tat sidDim avApnuyAt // K_293 //
   paścāt kāranibaddhaṃ yat tad yatnena vicārayet /	paScAt kAra-nibadDam yat tat yatnena vicArayet /
   yadi syād yuktiyuktaṃ tu pramāṇaṃ likhitaṃ tadā // K_294 //	yadi syAt yukti-yuktam tu pramANam liKitam tadA // K_294 //
   anyathā dūrataḥ kāryaṃ punar eva vinirṇayet /	anyaTA dUratas kAryam punar eva vinirNayet /
   atathyaṃ tathyabhāvena sthāpitaṃ jñānavibhramāt /	ataTyam taTya-BAvena sTApitam jQAna-viBramAt /
   nivartyaṃ tatpramāṇaṃ syād yatnenāpi kṛtaṃ nṛpaiḥ // K_295 //	nivartyam tad-pramANam syAt yatnena-api kRtam nRpEH // K_295 //
   mudrāśuddhaṃ kriyāśuddhaṃ bhuktiśuddhaṃ sacihnakam /	mudrA-SudDam kriyA-SudDam Bukti-SudDam sa-cihnakam /
   rājñaḥ svahastasaṃśuddhaṃ śuddhim āyāti śāsanam // K_296 //	rAjQaH sva-hasta-saMSudDam SudDim AyAti SAsanam // K_296 //
   nirdoṣaṃ prathitaṃ yat tu lekhyaṃ tat siddhim āpnuyāt // K_297 //	nirdozam praTitam yat tu leKyam tat sidDim ApnuyAt // K_297 //
   dṛṣṭe patre sphuṭān doṣān noktav ānṛṇiko yadi /	dRzwe patre sPuwAn dozAn na-uktau AnRNikaH yadi /
   tato viṃśativarṣāṇi sthitaṃ patraṃ sthiraṃ bhavet // K_298 //	tatas viMSati-varzANi sTitam patram sTiram Bavet // K_298 //
   śaktasya saṃnidhāv arthe yena lekhyena bhujyate /	Saktasya saMniDO arTe yena leKyena Bujyate /
   varṣāṇi viṃśatiṃ yāvat tat patraṃ doṣavarjitam // K_299 //	varzANi viMSatim yAvat tat patram doza-varjitam // K_299 //
   atha viṃśativarṣāṇi ādhir bhuktaḥ suniścitam /	aTa viMSati-varzANi ADiH BuktaH su-niScitam /
   tena lekhyena tat siddhir lekhyadoṣavivarjitā // K_300 //	tena leKyena tat sidDiH leKya-doza-vivarjitAH // K_300 //
   sīmāvivāde nirṇīte sīmāpatraṃ vidhīyate /	sImA-vivAde nirNIte sImA-patram viDIyate /
   tasya doṣāḥ pravaktavyā yāvad varṣāṇi viṃśatiḥ // K_301 //	tasya dozAH pravaktavyA yAvat varzANi viMSatiH // K_301 //
   ādhānasahitaṃ yatra ṛṇaṃ lekhye niveśitam /	ADAna-sahitam yatra RNam leKye niveSitam /
   mṛtasākṣi pramāṇaṃ tu svalpabhogeṣu tadviduḥ // K_302 //	mRta-sAkzi pramANam tu su-alpa-Bogezu tat-viduH // K_302 //
   prāptaṃ vānena cet kiñcid dānaṃ cāpy anirūpitam /	prAptam vA-anena ced kiQcid dAnam ca-api anirUpitam /
   vināpi mudrayā lekhyaṃ pramāṇaṃ mṛtasākṣikam // K_303 //	vinA-api mudrayA leKyam pramANam mRta-sAkzikam // K_303 //
   yadi labdhaṃ bhavet kiñcit prajñaptir vā kṛtā bhavet /	yadi labDam Bavet kiQcid prajQaptiH vA kRtA Bavet /
   pramāṇam eva likhitaṃ mṛtā yady api sākṣiṇaḥ // K_304 //	pramANam eva liKitam mRtAH yadi api sAkziNaH // K_304 //
   darśitaṃ pratikālaṃ yad grāhitaṃ smāritaṃ tathā /	darSitam pratikAlam yat grAhitam smAritam taTA /
   lekhyaṃ sidhyati sarvatra mṛteṣv api ca sākṣiṣu // K_305 //	leKyam siDyati sarvatra mRtezu api ca sAkzizu // K_305 //
   na divyaiḥ sākṣibhir vāpi hīyate likhitaṃ kvacit /	na divyEH sAkziBiH vA-api hIyate liKitam kvacid /
   lekhyadharmaḥ sadā śreṣṭho hy ato nānyena hīyate // K_306 //	leKya-DarmaH sadA SrezWaH hi atas na-anyena hIyate // K_306 //
   tadyuktapratilekhyena tadviśiṣṭena vā sadā /	tad-yukta-pratileKyena tad-viSizwena vA sadA /
   lekhyakriyā nirasyeta nirasyānyena na kvacit // K_307 //	leKya-kriyA nirasyeta nirasya-anyena na kvacid // K_307 //
   darpaṇasthaṃ yathā bimbam asatsad iva dṛśyate /	darpaNa-sTam yaTA bimbam asat-sat iva dRSyate /
   tathā lekhyasya bimbāni kurvanti kuśalā janāḥ // K_308 //	taTA leKyasya bimbAni kurvanti kuSalAH janAH // K_308 //
   dravyaṃ gṛhītvā yal lekhyaṃ parasmai saṃpradīyate /	dravyam gRhItvA yat leKyam parasmE saMpradIyate /
   channam anyena cārūḍhaṃ saṃyataṃ cānyaveśmani // K_309 //	Cannam anyena ca-ArUXam saMyatam ca-anya-veSmani // K_309 //
   datte vṛtte 'tha vā dravye kvacillikhitapūrvake /	datte vRtte aTa vA dravye kvacid-liKita-pUrvake /
   eṣa eva vidhir jñeyo lekhyaśuddhivinirṇaye // K_310 //	ezaH eva viDiH jQeyaH leKya-SudDi-vinirNaye // K_310 //
   sthāvare vikrayādhāne lekhyaṃ kūṭaṃ karoti yaḥ /	sTAvare vikraya-ADAne leKyam kUwam karoti yaH /
   sa samyagbhāvitaḥ kāryo jihvāpāṇyaṅghrivarjitaḥ // K_311 //	sa samyak-BAvitaH kAryaH jihvA-pANi-aFGri-varjitaH // K_311 //
   malair yad bheditaṃ dagdhaṃ chidritaṃ vītam eva vā /	malEH yat Beditam dagDam Cidritam vItam eva vA /
   tad anyat kārayel lekhyaṃ svedenollikhitaṃ tathā // K_312 //	tat anyat kArayet leKyam svedena-ulliKitam taTA // K_312 //
   [bhuktiḥ]	[BuktiH]
   likhitaṃ sākṣiṇo bhuktiḥ pramāṇatrayam iṣyate /	liKitam sAkziNaH BuktiH pramANa-trayam izyate /
   pramāṇeṣu smṛtā bhukteḥ sal lekhasamatā nṛṇām // K_313 //	pramANezu smRtA BukteH sat leKa-sama-tA nRNAm // K_313 //
   rathyānirgamanadvāra- jalavāhādisaṃśaye /	raTyA-nirgamana-dvAra jala-vAha-Adi-saMSaye /
   bhuktir eva tu gurvī syāt pramāṇeṣv iti niścayaḥ // K_314 //	BuktiH eva tu gurvI syAt pramANezu iti niScayaH // K_314 //
   anumānād guruḥ sakṣī sākṣibhyo likhitaṃ guru /	anumAnAt guruH sakzI sAkziByaH liKitam guru /
   avyāhatā tripuruṣī bhuktir ebhyo garīyasī // K_315 //	avyAhatA tripuruzI BuktiH eByaH garIyasI // K_315 //
   nopabhoge balaṃ kāryam āhartrā tatsutena vā /	na-upaBoge balam kAryam AhartrA tad-sutena vA /
   paśustrīpuruṣādīnām iti dharmo vyavasthitaḥ // K_316 //	paSu-strI-puruza-AdInAm iti DarmaH vyavasTitaH // K_316 //
   bhuktis tu dvividhā proktā sāgamānāgamā tathā /	BuktiH tu dviviDA proktA sa-Agama-anAgamA taTA /
   tripuruṣī yā svatantrā sā ced alpā tu sāgamā // K_317 //	tripuruzI yA svatantrA sA ced alpA tu sa-AgamA // K_317 //
   mukhyā paitāmahī bhuktiḥ paitṛkī cāpi saṃmatā /	muKyA pEtAmahI BuktiH pEtRkI ca-api saMmatAH /
   tribhir etair avicchinnā sthirā ṣaṣṭyābdikī matā // K_318 //	triBiH etEH avicCinnA sTirA zazwyAbdikI matAH // K_318 //
   sāgamena tu bhuktena samyagbhuktaṃ yadā tu yat /	sa-Agamena tu Buktena samyak-Buktam yadA tu yat /
   āhartā labhate tat tu nāpahāryaṃ tu tat kvacit // K_319 //	AhartA laBate tat tu na-apahAryam tu tat kvacid // K_319 //
   pranaṣṭāgamalekhyena bhogārūḍhena vādinā /	pranazwa-Agama-leKyena Boga-ArUXena vAdinA /
   kālaḥ pramāṇaṃ dānaṃ ca kīrtanīyāni saṃsadi // K_320 //	kAlaH pramANam dAnam ca kIrtanIyAni saMsadi // K_320 //
   smārtakāle kriyā bhūmeḥ sāgamā bhuktir iṣyate /	smArta-kAle kriyA BUmeH sa-AgamA BuktiH izyate /
   asmārte 'nugamābhāvāt kramāt tripuruṣāgatā // K_321 //	asmArte anugama-aBAvAt kramAt tri-puruza-AgatAH // K_321 //
   ādau tu kāraṇaṃ madhye bhuktis tu sāgamā (?) /	AdO tu kAraNam maDye BuktiH tu sa-AgamA (?) /
   kāraṇaṃ bhuktir evaikā saṃtatā yā tripauruṣī // K_322 //	kAraNam BuktiH eva-ekA saMtatA yA tri-pOruzI // K_322 //
   āhartā bhuktiyukto 'pi lekhyadoṣān viśodhayet /	AhartA Bukti-yuktaH api leKya-dozAn viSoDayet /
   tatsuto bhuktidoṣāṃs tu lekhyadoṣāṃs tu nāpnuyāt // K_323 //	tad-sutaH Bukti-dozAn tu leKya-dozAn tu na-ApnuyAt // K_323 //
   yenopāttaṃ hi yad dravyaṃ so 'bhiyuktas tad uddharet /	yena-upAttam hi yat dravyam saH aBiyuktaH tat udDaret /
   cirakālopabhoge 'pi bhuktis tasyaiva neṣyate // K_324 //	cira-kAla-upaBoge api BuktiH tasya-eva na-izyate // K_324 //
   cirantanam avijñātaṃ bhogaṃ lobhān na cālayet // K_325 //	cirantanam avijQAtam Bogam loBAt na cAlayet // K_325 //
   pitrā bhuktaṃ tu yad dravyaṃ bhuktyācāreṇa dharmataḥ /	pitrA Buktam tu yat dravyam Bukti-AcAreNa DarmataH /
   tasmin prete na vācyo 'sau bhuktyā prāptaṃ hi tasya tat // K_326 //	tasmin prete na vAcyaH asO BuktyA prAptam hi tasya tat // K_326 //
   tribhir eva tu yā bhuktā puruṣair bhū yathāvidhi /	triBiH eva tu yA BuktA puruzEH BU yaTAviDi /
   lekhyābhāve 'pi tāṃ tatra caturthaḥ samavāpnuyāt // K_327 //	leKya-aBAve api tAm tatra caturTaH samavApnuyAt // K_327 //
   yathā kṣīraṃ janayati dadhi kālād rasānvitam /	yaTA kzIram janayati daDi kAlAt rasa-anvitam /
   dānahetus tathā kālād bhogas tripuruṣāgataḥ // K_328 //	dAna-hetuH taTA kAlAt BogaH tri-puruza-AgataH // K_328 //
   bhuktir balavatī śāstre saṃtatā yā cirantanī /	BuktiH balavatI SAstre saMtatA yA cirantanI /
   vicchinnāpi sā jñeyā yā tu pūrvaprasādhitā // K_329 //	vicCinnA-api sA jQeyA yA tu pUrva-prasADitAH // K_329 //
   na bhogaṃ kalpayet strīṣu devarājadhaneṣu ca /	na Bogam kalpayet strIzu devarAja-Danezu ca /
   bālaśrotriyavit te ca mātṛtaḥ pitṛtaḥ kramāt // K_330 //	bAla-Srotriya-vid te ca mAtRtaH pitRtaH kramAt // K_330 //
   brahmacarī caret kaścid avrataṃ ṣaṭtriṃśadābdikam /	brahmacarI caret kaScid avratam zawtriMSat-Abdikam /
   arthārthī cānyaviṣaye dīrghakālaṃ vasen naraḥ // K_331 //	arTa-arTI ca-anya-vizaye dIrGa-kAlam vaset naraH // K_331 //
   samāvṛtto 'vratī kuryāt svadhanānveṣaṇaṃ tataḥ /	samAvRttaH avratI kuryAt sva-Dana-anvezaNam tatas /
   pañcāśadābdiko bhogas tad dhanasyāpahārakaḥ // K_332 //	paQcASat-AbdikaH BogaH tat Danasya-apahArakaH // K_332 //
   pravivedaṃ dvādaśābdaḥ kālo vidyārthināṃ smṛtaḥ /	pravivedam dvAdaSa-abdaH kAlaH vidyA-arTinAm smRtaH /
   śilpavidyārthināṃ caiva grahaṇāntaḥ prakīrtitaḥ // K_333 //	Silpa-vidyA-arTinAm ca-eva grahaNa-antar prakIrtitaH // K_333 //
   suhṛdbhir bandhubhiś caiṣāṃ yat svaṃ bhuktam apaśyatām /	suhRdBiH banDuBiH ca-ezAm yat svam Buktam apaSyatAm /
   nṛpāparādhināṃ caiva na tat kālena hīyate // K_334 //	nRpa-aparADinAm ca-eva na tat kAlena hIyate // K_334 //
   sanābhibhir bāndhavaiś ca yad bhuktaṃ svajanais tathā /	sanABiBiH bAnDavEH ca yat Buktam sva-janEH taTA /
   bhogāt tatra na siddhiḥ syād bhogam anyatra kalpayet // K_335 //	BogAt tatra na sidDiH syAt Bogam anyatra kalpayet // K_335 //
   [yuktiḥ]	[yuktiH]
   arthinābhyarthito yas tu vighātaṃ na prayojayet /	arTinA-aByarTitaH yaH tu viGAtam na prayojayet /
   tricatuḥpañcakṛtvo vā paras tad ṛṇī bhavet (?) // K_336 //	tri-catur-paQca-kRtvas vA paraH tat RNI Bavet (?) // K_336 //
   dānaṃ prajñāpanā bhedaḥ saṃpralobhakriyā ca yā /	dAnam prajQApanA BedaH saMpraloBa-kriyA ca yA /
   cittāpanayanaṃ caiva hetavo hi vibhāvakāḥ // K_337 //	citta-apanayanam ca-eva hetavaH hi viBAvakAH // K_337 //
   eṣām anyatamo yatra vādinā bhāvito bhavet /	ezAm anyatamaH yatra vAdinA BAvitaH Bavet /
   mūlakriyā tu tatra syād bhāvite vādinihnave // K_338 //	mUla-kriyA tu tatra syAt BAvite vAdi-nihnave // K_338 //
   [sākṣiṇaḥ]	[sAkziNaH]
   na kālaharaṇaṃ kāryaṃ rājñā sākṣiprabhāṣaṇe /	na kAla-haraNam kAryam rAjQA sAkzi-praBAzaNe /
   mahān doṣo bhavet kālād dharmavyāvṛttilakṣaṇaḥ // K_339 //	mahAn dozaH Bavet kAlAt Darma-vyAvRtti-lakzaNaH // K_339 //
   upasthitān parīkṣeta sākṣiṇo nṛpatiḥ svayam /	upasTitAn parIkzeta sAkziNaH nRpatiH svayam /
   sākṣibhir bhāṣitaṃ vākyaṃ sabhyaiḥ saha parīkṣayet // K_340 //	sAkziBiH BAzitam vAkyam saByEH saha parIkzayet // K_340 //
   samyakkriyāparijñāne deyaḥ kālas tu sākṣiṇām /	samyak-kriyA-parijQAne deyaH kAlaH tu sAkziNAm /
   saṃdigdhaṃ yatra sākṣyaṃ syāt sadyaḥ spaṣṭaṃ vivādayet // K_341 //	saMdigDam yatra sAkzyam syAt sadyas spazwam vivAdayet // K_341 //
   sabhāntaḥ sākṣiṇaḥ sarvān arthipratyarthisaṃnidhau /	saBA-antar sAkziNaH sarvAn arTi-pratyarTi-saMniDO /
   prāṅvivāko niyuñjīta vidhinānena sāntvayan // K_342 //	prAFvivAkaH niyuQjIta viDinA-anena sAntvayan // K_342 //
   yad dvayor anayor vettha kārye 'smiṃś ceṣṭitaṃ mithaḥ /	yat dvayoH anayoH vetTa kArye asmin cezwitam miTas /
   tad brūta sarvaṃ satyena yuṣmākaṃ hy atra sākṣitā // K_343 //	tat brUta sarvam satyena yuzmAkam hi atra sAkzitAH // K_343 //
   devabrāhmanasānnidhye sākṣyaṃ pṛcched ṛtaṃ dvijān /	deva-brAhmanasAn-niDye sAkzyam pRcCet Rtam dvijAn /
   udaṅmukhān prāṅmukhān vā pūrvāhṇe vai śuciḥ śucīn // K_344 //	udaFmuKAn prAFmuKAn vA pUrvAhNe vE SuciH SucIn // K_344 //
   āhūya sākṣiṇaḥ pṛcchen niyamya śapathair bhṛśam /	AhUya sAkziNaH pRcCet niyamya SapaTEH BRSam /
   samastān viditācārān vijñātārthān pṛthakpṛthak // K_345 //	samastAn vidita-AcArAn vijQAta-arTAn pRTak-pRTak // K_345 //
   arthipratyarthisāṃnidhyād anubhūtaṃ tu yad bhavet /	arTi-pratyarTi-sAMniDyAt anuBUtam tu yat Bavet /
   tad grāhyaṃ sākṣiṇo vākyam anyathā na bṛhaspatiḥ // K_346 //	tat grAhyam sAkziNaH vAkyam anyaTA na bRhaspatiH // K_346 //
   prakhyātakulaśīlāś ca lobhamohavivarjitāḥ /	praKyAta-kula-SIlAH ca loBa-moha-vivarjitAH /
   āptāḥ śuddhā viśiṣṭā ye teṣāṃ sākṣyam asaṃśayam // K_347 //	AptAH SudDAH viSizwAH ye tezAm sAkzyam asaMSayam // K_347 //
   vibhāvyo vādinā yādṛk sadṛśair eva bhāvayet /	viBAvyaH vAdinA yAdRS sadRSEH eva BAvayet /
   notkṛṣṭaś cāvakṛṣṭas tu sākṣibhir bhāvayet sadā // K_348 //	na-utkRzwaH ca-avakRzwaH tu sAkziBiH BAvayet sadA // K_348 //
   liṅginaḥ śreṇipūgāś ca vaṇigvrātās tathāpare /	liFginaH SreNi-pUgAH ca vaNij-vrAtAH taTA-apare /
   samūhasthāś ca ye cānye vargās tān abravīd bhṛguḥ // K_349 //	samUha-sTAH ca ye ca-anye vargAH tAn abravIt BRguH // K_349 //
   dāsacāraṇamallānāṃ hastyaśvāyudhajīvinām /	dAsa-cAraNa-mallAnAm hasti-aSva-AyuDa-jIvinAm /
   pratyekaikaṃ samūhānāṃ nāyakā vargiṇas tathā /	pratyeka-ekam samUhAnAm nAyakAH vargiNaH taTA /
   teṣāṃ vādaḥ svavargeṣu vargiṇas teṣu sākṣiṇaḥ // K_350 //	tezAm vAdaH sva-vargezu vargiNaH tezu sAkziNaH // K_350 //
   strīṇāṃ sākṣyaṃ striyaḥ kuryur dvijānāṃ sadṛśā dvijāḥ /	strINAm sAkzyam striyaH kuryuH dvijAnAm sadRSAH dvijAH /
   śūdrāś ca santaḥ śūdrāṇām antyānām antyayonayaḥ // K_351 //	SUdrAH ca santaH SUdrANAm antyAnAm antya-yonayaH // K_351 //
   aśakya āgamo yatra videśaprativāsinām /	aSakyaH AgamaH yatra videSa-prativAsinAm /
   traividyaprahitaṃ tatra lekhyasākṣyaṃ pravādayet // K_352 //	trEvidya-prahitam tatra leKya-sAkzyam pravAdayet // K_352 //
