   Kṣemendra: Kalāvilāsa	Kzema-indra: Kala-AvilAsa
   vacane bāhlīkānāṃ vrataniyame prācyadākṣaiṇātyānāṃ &	vacane bAhlIkAnAm vrata-niyame prAcya-dAkza-eNa-atyAnAm &
   adhikāre vīrāṇāṃ dambhaḥ sarvatra gauḍānām // 1.87 //	aDikAre vIrANAm damBaH sarvatra gOxAnAm // 1.87 //
   ete dambhasahāyāḥ pratigrahaśrāddhasiddhacūrṇena &	ete damBa-sahAyAH pratigraha-SrAdDa-sidDa-cUrNena &
   kurvanti ye prabhāte yatastato bhasmanā tilakam // 1.88 //	kurvanti ye praBAte yatas-tatas BasmanA tilakam // 1.88 //
   tūrṇaṃ sahasrabhāgairbhuvanatalae saṃvibhajya bhūtāni &	tUrNam sahasra-BAgEH-Buvana-talae saMviBajya BUtAni &
   mūrtaḥ satataṃ nivasati dambho vadane'dhikaraṇabhaṭṭānām // 1.89 //	mUrtaH satatam nivasati damBaH vadane-aDikaraNa-BawwAnAm // 1.89 //
   guruhṛdayamaviśādagre bālakahṛdayaṃ tapasvihṛdayaṃ ca &	guru-hRdayam-aviSAt-agre bAlaka-hRdayam tapasvi-hRdayam ca &
   kuṭilaṃ niyogihṛdayaṃ dīkṣaitahṛdayaṃ svayaṃ dambhaḥ // 1.90 //	kuwilam niyogi-hRdayam dIkzA-eta-hRdayam svayam damBaH // 1.90 //
   tadanu ca gaṇakacikitsakasevakavaṇijāṃ sahemakārāṇām &	tadanu ca gaNaka-cikitsaka-sevaka-vaNijAm sa-hemakArANAm &
   naṭabhaṭagāyanavācakacakracarāṇāṃ ca hṛdayāni // 1.91 //	nawa-Bawa-gAyana-vAcaka-cakra-carANAm ca hRdayAni // 1.91 //
   aṃśaiḥ praviśya hṛdayaṃ vividhavikāraiḥ samastajantūnām &	aMSEH praviSya hRdayam viviDa-vikArEH samasta-jantUnAm &
   dambho viveśa paścādantaramiha pakṣaivṛkṣāṇām // 1.92 //	damBaH viveSa paScAt-antaram-iha pakza-evRkzANAm // 1.92 //
   matsyārthī carati tapaḥ suciraṃ niḥspanda ekapādena &	matsya-arTI carati tapaH su-ciram niHspandaH eka-pAdena &
   tīrtheṣu bakatapasvī tena vihaṅgāngato dambhaḥ // 1.93 //	tIrTezu baka-tapasvI tena vihaFgAn-gataH damBaH // 1.93 //
   vipulajaṭāvalkalinaḥ śītātapavātakarśitāḥ satatam &	vipula-jawA-valkalinaH SIta-Atapa-vAta-karSitAH satatam &
   vṛkṣā jalārthino yaddambhasya vijṛmbhitaṃ tadapi // 1.94 //	vRkzAH jala-arTinaH yaddamBasya vijRmBitam tat-api // 1.94 //
   evaṃ vicāraṇīyaḥ sarvagataḥ sarvahṛtsadā dambhaḥ &	evam vicAraNIyaH sarva-gataH sarva-hRd-sadA damBaH &
   jñāte tasminvividhe viphalā māyāvināṃ māyā // 1.95 //	jQAte tasmin-viviDe viPalA mAyAvinAm mAyA // 1.95 //
   dambhavikāraḥ purato vañcakacakrasya kalpavṛkṣo'yam &	damBa-vikAraH puratas vaQcaka-cakrasya kalpavRkzaH-ayam &
   vāmanadambhena purā hariṇā trailokyamākrāntam // 1.96 //	vAmanadamBena purA hariNA trElokyam-AkrAntam // 1.96 //
   sargaḥ 2	sargaH 2
   lobhaḥ sadā vicintyo lubdhebhyaḥ sarvato bhayaṃ dṛṣṭam &	loBaH sadA vicintyaH lubDeByaH sarvatas Bayam dRzwam &
   kāryākāryavicāro lobhākṛṣṭasya nāstyeva // 2.1 //	kArya-akArya-vicAraH loBa-AkRzwasya na-asti-eva // 2.1 //
   māyāvinimayavibhramanihnavavaicityakūṭakapaṭānām &	mAyA-vinimaya-viBrama-nihnava-vEcitya-kUwakapawAnAm &
   sañcayadurgapiśācaḥ sarvaharo mūlakāraṇāṃ lobhaḥ // 2.2 //	saQcaya-durga-piSAcaH sarva-haraH mUla-kAraNAm loBaH // 2.2 //
   sattvapraśamatapobhiḥ sattvadhanaiḥ śāstravedibhirvijitaḥ &	sattva-praSama-tapoBiH sattva-DanEH SAstra-vediBiH-vijitaH &
   lobho'vaṭaṃ praviṣṭaḥ kuṭilaṃ hṛdayaṃ kirāṭānām // 2.3 //	loBaH-avawam pravizwaH kuwilam hRdayam kirAwAnAm // 2.3 //
   krayavikrayakūṭatulālāghavaniḥkṣeparakṣaṇavyājaiḥ &	kraya-vikraya-kUwa-tulA-lAGava-niHkzepa-rakzaNa-vyAjEH &
   ete hi divasacaurā muṣṇanti mudā janaṃ vaṇijaḥ // 2.4 //	ete hi divasa-cOrAH muzNanti mudA janam vaNijaH // 2.4 //
   hṛtvā dhanaṃ janānāṃ dinamakhilaṃ vividhakūṭamāyābhiḥ &	hRtvA Danam janAnAm dinam-aKilam viviDa-kUwa-mAyABiH &
   vitarati gṛhe kirāṭaḥ kaṣṭena varāṭakatritayam // 2.5 //	vitarati gRhe kirAwaH kazwena varAwaka-tritayam // 2.5 //
   ākhyāyikānurāgī vrajati sadā puṇyapustakaṃ śrotum &	AKyAyikA-anurAgI vrajati sadA puNya-pustakam Srotum &
   daṣṭa iva kṛṣṇasarpaiḥ phalāyate dānadharmebhyaḥ // 2.6 //	dazwaH iva kRzNa-sarpEH PalAyate dAna-DarmeByaH // 2.6 //
   dvādaśyāṃ pitṛdivase saṃkramaṇe somasūryayorgrahaṇe &	dvAdaSyAm pitR-divase saMkramaNe soma-sUryayoH-grahaNe &
   suciraṃ snānaṃ kurute na dadāti kapardikāmekām // 2.7 //	su-ciram snAnam kurute na dadAti kapardikAm-ekAm // 2.7 //
   dattvā diśi diśi dṛṣṭiṃ yācakacakito'vaguṇṭhanaṃ kṛtvā &	dattvA diSi diSi dRzwim yAcaka-cakitaH-avaguNWanam kRtvA &
   caura iva kuṭilacārī palāyate vikaṭarathyābhiḥ // 2.8 //	cOraH iva kuwila-cArI palAyate vikawa-raTyABiH // 2.8 //
   na dadāti prativacanaṃ vikrayakāle śaṭho vaṇiṅmaunī &	na dadAti prativacanam vikraya-kAle SaWaH vaNij-mOnI &
   niḥkṣepapāṇipuruṣaṃ dṛṣṭvā saṃbhāṣaṇāṃ kurute // 2.9 //	niHkzepa-pANi-puruzam dRzwvA saMBAzaNAm kurute // 2.9 //
   uttiṣṭhati namati vaṇik pṛcchati kuśalaṃ dadāti ca sthānaṃ &	uttizWati namati vaNij pRcCati kuSalam dadAti ca sTAnam &
   niḥkṣepapāṇipuruṣaṃ dṛṣṭvā dharmyāṃ kathāṃ kuruteka // 2.10 //	niHkzepa-pANi-puruzam dRzwvA DarmyAm kaTAm kurutekaH // 2.10 //
   kaścidvadati tametya draviṇaṃ niḥkṣipya hanta gantāsmi &	kaScid-vadati tam-etya draviNam niHkzipya hanta gantAsmi &
   bhrātaḥ paraṃ prabhāte viṣṭidinaṃ kiṃ karomyadya // 2.11 //	BrAtar param praBAte vizwi-dinam kim karomi-adya // 2.11 //
   tacchrutvā vikasitadṛgvadati sa mithyaiva nāṭayankhedam &	tat-SrutvA vikasita-dRS-vadati sa miTyA-eva nAwayan-Kedam &
   kārye prasāritākṣaḥ punaḥ punaḥ pārśvamavalokya // 2.12 //	kArye prasArita-akzaH punar punar pArSvam-avalokya // 2.12 //
   tvadadhīnaṃ sthānamidaṃ kiṃ tu ciraṃ nyāsapālanaṃ kaṭhinam &	tvad-aDInam sTAnam-idam kim tu ciram nyAsa-pAlanam kaWinam &
   viṣamau ca deśakālau sādhostava tadapi dāso'ham // 2.13 //	vizamO ca deSa-kAlO sADoH-tava tat-api dAsaH-aham // 2.13 //
   bhadrāḷ na dūṣitaiṣā niḥkṣepakṣemakāriṇī śastā &	BadrA? na dUzitA-ezA niHkzepa-kzema-kAriNI SastAH &
   ityanubhūtaṃ bahuśaḥ kāryajñaistvaṃ tu jānāsi // 2.14 //	iti-anuBUtam bahuSas kArya-jQEH-tvam tu jAnAsi // 2.14 //
   viṣṭidine kimapi purāḷnyastaṃ kenāpi mitreṇa &	vizwi-dine kim-api purA?nyastam kena-api mitreNa &
   tūrṇaṃ punaśca śanakairnītaṃ kṣemeṇa kuśalena // 2.15 //	tUrNam punar-ca SanakEs-nItam kzemeNa kuSalena // 2.15 //
   ityādi mugdhabuddherasamannjasavarṇanaṃ rahaḥ kṛtvā &	ityAdi mugDa-budDeH-asamannja-savarNanam rahaH kRtvA &
   gṛhṇāti kanakanikaraṃ nṛtyaṃstattanmanorathaiḥ pāpaḥ // 2.16 //	gRhNAti kanaka-nikaram nRtyan=-tad-tad-manoraTEH pApaH // 2.16 //
   tatsaṃcūrṇanajātaiḥ krayavikrayalābharāśibhiranantaiḥ &	tad-saMcUrNana-jAtEH kraya-vikraya-lABa-rASiBiH-anantEH &
   bhāṇḍapratibhāṇḍacayairupahasati dhanādhināthaṃ saḥ // 2.17 //	BANxa-pratiBANxa-cayEH-upahasati DanADinATam saH // 2.17 //
   pūrṇāḥ kadaryavaṇijāṃ niḥsaṃbhogā nidhānadhanakumbhāḥ &	pUrNAH kadarya-vaNijAm niHsaMBogAH niDAna-Dana-kumBAH &
   sīdanti kucataṭā iva duḥkhaphalā bālavidhavānām // 2.18 //	sIdanti kuca-tawAH iva duHKa-PalAH bAla-viDavAnAm // 2.18 //
   dānopabhogavirahitahiraṇyarakṣākṛtakṣaṇāḥ satatam &	dAna-upaBoga-virahita-hiraNya-rakzA-kRtakzaNAH satatam &
   saṃsārajīrṇamandiraviṣayaviṣamamahāmūṣakā vaṇijaḥ // 2.19 //	saMsAra-jIrNa-mandira-vizaya-vizama-mahA-mUzakAH vaNijaH // 2.19 //
   aṭati samutkaṭaveṣṭitavikaṭapaṭasphuṭaphaṭāṭopaḥ &	awati samutkawa-vezwita-vikawa-pawa-sPuwa-Pawa-AwopaH &
   kuṭilaḥ kaṇṭakanicitaḥ purapatināmā vidhivyālaḥ // 2.20 //	kuwilaH kaNwaka-nicitaH purapati-nAmA viDi-vyAlaH // 2.20 //
   atha puruṣaḥ sa digantaṃ bhrāntvā kenāpi daivayogena &	aTa puruzaH sa diS-antam BrAntvA kena-api dEva-yogena &
   naṣṭadhano janarahitaḥ prāptaḥ sucirānnijaṃ deśam // 2.21 //	nazwa-DanaH jana-rahitaH prAptaH su-cirAt-nijam deSam // 2.21 //
   pṛcchati kamapi saśaṅkaḥ sa kirāṭaḥ kva nu gato mahāsattvaḥ &	pRcCati kam-api sa-SaFkaH sa kirAwaH kva nu gataH mahAsattvaH &
   tamupetya vadati kaścittasyādya sakhe vibhūtiranyaiva // 2.22 //	tam-upetya vadati kaScid-tasya-adya saKe viBUtiH-anyA-eva // 2.22 //
   vividhanavāṃśukamṛgamadacandanakarpūramaricapūgaphalaiḥ &	viviDa-nava-aMSuka-mRga-mada-candana-karpUra-marica-pUga-PalEH &
   khaṭikāhastaḥ sa sadā gaṇayati koṭīrmuhūrtena // 2.23 //	KawikA-hastaH sa sadA gaNayati kowIH-muhUrtena // 2.23 //
   asminmeruviśāle varabhavane rucirabhittikṛtacitre &	asmin-meru-viSAle vara-Bavane rucira-Bitti-kRta-citre &
   purapatināpyanuyāto vasati sukhaṃ sa hi mahājano yatra // 2.24 //	pura-patinA-api-anuyAtaH vasati suKam sa hi mahAjanaH yatra // 2.24 //
   śrutvaitadatulavismayalolitamauliḥ sa tadgṛhaṃ gatvā &	SrutvA-etat-atula-vismaya-lolita-mOliH sa tad-gRham gatvA &
   dvāre sthagitastiṣṭhati niṣpratibho jīrṇakarpaṭaḥ suciram // 2.25 //	dvAre sTagitaH-tizWati nizpratiBaH jIrNa-karpawaH su-ciram // 2.25 //
   taṃ tuṅgabhavanavalabhījālāntarato vaṇikparijñāya &	tam tuFga-Bavana-valaBI-jAla-antarataH vaNij-parijQAya &
   nocchvasiti naṣṭacetastāḍita iva mūrdhni vajreṇa // 2.26 //	na-ucCvasiti nazwa-cetaH-tAxitaH iva mUrDni vajreNa // 2.26 //
   upasṛtya mandamandaṃ kathamapi saṃprāptanirjanāvasaraḥ &	upasRtya manda-mandam kaTam-api saMprApta-nirjana-avasaraH &
   taṃ yācate sa puruṣo draviṇaṃ svaṃ prakaṭitābhikyaḥ // 2.27 //	tam yAcate sa puruzaH draviNam svam prakawita-aBikyaH // 2.27 //
   taṃ vadati so'nyadṛṣṭiḥ sabhrūbhaṅgaṃ vidhūtahastāgraḥ &	tam vadati saH-anya-dRzwiH sa-BrU-BaFgam viDUta-hasta-agraH &
   vañcakavacanaḥ pāpo vṛttikṣīṇaḥ kuto'yamāyātaḥ // 2.28 //	vaQcaka-vacanaH pApaH vRtti-kzINaH kutas-ayam-AyAtaH // 2.28 //
   kastvaṃ kasya kuto vā darśanamapi na smarāmi kiṃ kathanaiḥ &	kaH-tvam kasya kutas vA darSanam-api na smarAmi kim kaTanEH &
   ahaha kadā kutra tvaṃ vada kasya kimarpitaṃ kena // 2.29 //	ahaha kadA kutra tvam vada kasya kim-arpitam kena // 2.29 //
   paśyata kaṣṭhamaniṣṭaḥ kalikālaḥ kīdṛśo'yamāyātaḥ &	paSyata kazWam-anizwaH kali-kAlaH kIdRSaH-ayam-AyAtaH &
   matto'rthameṣa vāñchati loko jānāti vā sarvam // 2.30 //	mattaH-arTam-eza vAQCati lokaH jAnAti vA sarvam // 2.30 //
   haraguptakule'smākaṃ niḥkṣepagrahaṇamapyasaṃbhāvyam &	haragupta-kule-asmAkam niHkzepa-grahaNam-api-asaMBAvyam &
   kiṃ punarapahnavodgataghoramahāpātakasparśaḥ // 2.31 //	kim punar-apahnava-udgata-Gora-mahApAtaka-sparSaH // 2.31 //
   tadapi satatābhiśaṃsī pratyākhyeyo janaḥ kathaṃ mahatām &	tat-api satata-aBiSaMsI pratyAKyeyaH janaH kaTam mahatAm &
   kathaya dinaṃ taddivase likhitaṃ sarvaṃ svayaṃ paśya // 2.32 //	kaTaya dinam tat-divase liKitam sarvam svayam paSya // 2.32 //
   vṛddho'haṃ nyastabharaḥ putre sarvaṃ mamāsti likhitaṃ hi &	vRdDaH-aham nyasta-BaraH putre sarvam mama-asti liKitam hi &
   iti tena vinaṣṭadhṛtiḥ sa visṛṣṭastatsutāntikaṃ prāptaḥ // 2.33 //	iti tena vinazwa-DRtiH sa visRzwaH-tad-suta-antikam prAptaH // 2.33 //
   tāto jānāti suto jānāti pitaiva likhati sakalaṃ yat &	tAtaH jAnAti sutaH jAnAti pitA-eva liKati sakalam yat &
   iti tasya bhavati suciraṃ gatāgataṃ kandukasyeva // 2.34 //	iti tasya Bavati su-ciram gatAgatam kandukasya-iva // 2.34 //
   rājakuladvāragate tasminprāptapravāsadattārthe &	rAja-kula-dvAra-gate tasmin-prApta-pravAsa-datta-arTe &
   sahate naraptikopaṃ tyajati kirāṭo na rūpakasyāṃśam // 2.35 //	sahate narapti-kopam tyajati kirAwaH na rUpakasya-aMSam // 2.35 //
   paripīḍitaḥ sa rājñā vividhairapi yātanauśastraḥ &	paripIxitaH sa rAjQA viviDEH-api yAtanOSastraH &
   mama haste niḥkṣiptaṃ kiṃcinnāstīti vaktyeva // 2.36 //	mama haste niHkziptam kiMcid-na-asti-iti vakti-eva // 2.36 //
   evaṃ svabhāvalubdhāsva bhavanti dhanalavaṇavāribahutṛṣṇāḥ &	evam svaBAva-lubDAsva Bavanti Dana-lavaNa-vAri-bahu-tRzNAH &
   tṛṇalavamiva nijadehaṃ tyajanti leśaṃ na vittasya // 2.37 //	tRNa-lavam-iva nija-deham tyajanti leSam na vittasya // 2.37 //
   devaṃ dhanādhināthaṃ vaiśravaṇaṃ sakalasaṃpadāṃ nilayam &	devam DanADinATam vESravaNam sakala-saMpadAm nilayam &
   śukraḥ provāca purā vittārthī bālamittramabhyetya // 2.38 //	SukraH provAca purA vitta-arTI bAla-mittram-aByetya // 2.38 //
   pūrṇaḥ sakhe tavāyaṃ vibhavo vijitāmarāsuraiśvaryaḥ &	pUrNaH saKe tava-ayam viBavaH vijita-amarAsuH-a-ESvaryaH &
   harṣaṃ vidadhāti paraṃ suhṛdāṃ śokaṃ ca śatrūṇām // 2.39 //	harzam vidaDAti param suhRdAm Sokam ca SatrUNAm // 2.39 //
   tvayi suhṛdi vittanāthe niḥsvo'haṃ bahukuṭumbasaṃbhāraḥ &	tvayi suhRdi vitta-nATe niHsvaH-aham bahu-kuwumba-saMBAraH &
   samaduḥkhasukhaṃ mittraṃ svādhīnatayoditaṃ praśaṃsanti // 2.40 //	sama-duHKa-suKam mittram svADIna-tayA-uditam praSaMsanti // 2.40 //
   yaśasi vihitādarāṇāmarthibhirupajīvyamānavibhavānām &	yaSasi vihita-AdarANAm-arTiBiH-upajIvyamAna-viBavAnAm &
   abhijātavaṃśajānāṃ suhṛdupabhogyāḥ śriyo mahatām // 2.41 //	aBijAta-vaMSa-jAnAm suhRd-upaBogyAH SriyaH mahatAm // 2.41 //
   upanatamatipuṇyacayaiḥ saṃpūrṇaṃ rakṣitaṃ ca yatnena &	upanatam-ati-puNya-cayEH saMpUrNam rakzitam ca yatnena &
   saṃpadi vipadi trāṇaṃ bhavati nidhānaṃ ca mittraṃ ca // 2.42 //	saMpadi vipadi trANam Bavati niDAnam ca mittram ca // 2.42 //
   ityuktaḥ sapra~ayaṃ daityācāryeṇa nirjane dhanadaḥ &	iti-uktaH sa-pra~ayam dEtya-AcAryeNa nirjane DanadaH &
   tamuvāca vicintya ciraṃ saṃruddhaḥ snehalobhābhyām // 2.43 //	tam-uvAca vicintya ciram saMrudDaH sneha-loBAByAm // 2.43 //
   jānānami bālamittraṃ tvāmahamatyantasaṃbhṛtasneham &	jAnAnami bAla-mittram tvAm-aham-atyanta-saMBRta-sneham &
   kiṃ tu na jīvitajīvaṃ draviṇalavaṃ tyaktumīśo'smi // 2.44 //	kim tu na jIvita-jIvam draviNa-lavam tyaktum-ISaH-asmi // 2.44 //
   snehārthī bandhujanaḥ kāryairbahubhirbhavanti mittrāṇi &	sneha-arTI banDu-janaH kAryEH-bahuBiH-Bavanti mittrANi &
   dārāḥ sutāśca sulabhā dhanamekaṃ durlabhaṃ loke // 2.45 //	dArAH sutAH-ca sulaBA Danam-ekam durlaBam loke // 2.45 //
   atisāhasamatiduṣkaram atyāścaryaṃ ca dānamarthānām &	atisAhasam-ati-duzkaram ati-AScaryam ca dAnam-arTAnAm &
   yo'pi dadāti śarīraṃ na dadāti sa vittaleśamapi // 2.46 //	yaH-api dadAti SarIram na dadAti sa vitta-leSam-api // 2.46 //
   ityāśāparihāraiḥ pratyākhyāto dhanādhināthena &	iti-ASA-parihArEH pratyAKyAtaH DanADinATena &
   bhagnamukho lulitamatirlajjāvaktro yayau śukraḥ // 2.47 //	Bagna-muKaH lulita-matiH-lajjA-vaktraH yayO SukraH // 2.47 //
   sa vicintya gṛhe suciraṃ sacivaiḥ saha māyayā mahāyogī &	sa vicintya gRhe su-ciram sacivEH saha mAyayA mahA-yogI &
   hartuṃ draviṇamaśeṣaṃ viveśa hṛdayaṃ dhaneśasya // 2.48 //	hartum draviNam-aSezam viveSa hRdayam DaneSasya // 2.48 //
   śukrāviṣṭaśarīro vaiśravaṇaḥ sakalamadbutatyāgaḥ &	Sukra-Avizwa-SarIraH vESravaNaH sakalam-adbuta-tyAgaH &
   tatkṛtasaṃketebhyaḥ pradadau vittaṃ dvijātibhyaḥ // 2.49 //	tad-kRta-saMketeByaH pradadO vittam dvijAtiByaH // 2.49 //
   kauberaṃ dhanamakhilaṃ hṛtvā yāte'tha dānavācārye &	kOberam Danam-aKilam hRtvA yAte-aTa dAnava-AcArye &
   suciraṃ dhanādhināthaḥ śuśoca vijñāya tāṃ māyām // 2.50 //	su-ciram DanADinATaH SuSoca vijQAya tAm mAyAm // 2.50 //
   hastanyastalalāṭaḥ saha śaṅkhamukundapadmādyaiḥ &	hasta-nyasta-lalAwaH saha SaFKa-mukunda-padma-AdyEH &
   saṃcintya śukravikṛtiṃ sa jagādoṣṇaṃ viniḥśvasya // 2.51 //	saMcintya Sukra-vikRtim sa jagAda-uzNam viniHSvasya // 2.51 //
   suhṛdā marmajñena vyājānmāyāvinātilubdhena &	suhRdA marma-jQena vyAjAt-mAyA-vinA-ati-lubDena &
   dhūrtena vañcito'haṃ daityāśrayadurjayena śukreṇa // 2.52 //	DUrtena vaQcitaH-aham dEtya-ASraya-durjayena SukreNa // 2.52 //
   adhunā dravyavihīnaḥ kṣaṇena tṛṇalāghavaṃ prāptaḥ &	aDunA dravya-vihInaH kzaNena tRNa-lAGavam prAptaH &
   kathayāmi kasya duḥkhaṃ karomi kiṃ vā kva gacchāmi // 2.53 //	kaTayAmi kasya duHKam karomi kim vA kva gacCAmi // 2.53 //
   dhanarahitaṃ tyajati jano janarahitaṃ paribhavāḥ samāyānti &	Dana-rahitam tyajati janaH jana-rahitam pariBavAH samAyAnti &
   paribhūtasya śarīre vyasanavikāro mahābhārah // 2.54 //	pariBUtasya SarIre vyasana-vikAraH mahABArah // 2.54 //
   dayiteṣu śarīravatāṃ bata dharmalatālavāleṣu &	dayitezu SarIravatAm bata Darma-latA-la-vAlezu &
   draviṇeṣu jīviteṣu ca sarvaṃ yāti prayāteṣu // 2.55 //	draviNezu jIvitezu ca sarvam yAti prayAtezu // 2.55 //
   vidvānsubhago mānī viśrutakarmā kulonnataḥ śūraḥ &	vidvAn-suBagaH mAnI viSruta-karmA kula-unnataH SUraH &
   vittena bhavati sarvo vittahīnastu sadguṇo'pyaguṇaḥ // 2.56 //	vittena Bavati sarvaH vitta-hInaH-tu sat-guNaH-api-aguNaH // 2.56 //
   iti duḥsahadhanavirahakleśānalaśoṣitāśayo dhanapaḥ &	iti duHsaha-Dana-viraha-kleSa-anala-Sozita-ASayaH DanapaH &
   suciraṃ vimṛṣya sacivairdevaṃ śarvaṃ yayau śaraṇam // 2.57 //	su-ciram vimRzya sacivEH-devam Sarvam yayO SaraNam // 2.57 //
   prākpratipannasakho'sau viśvaśaraṇyo maheśvarastena &	prAc-pratipanna-saKaH-asO viSva-SaraNyaH maheSvaraH-tena &
   vijñapto nijavrttaṃ dūtaṃ visasarja śukrāya // 2.58 //	vijQaptaH nija-vrttam dUtam visasarja SukrAya // 2.58 //
   dūtāhūtaṃ sahasā prāptaṃ śukraṃ dhanaprabhāśukram &	dUta-AhUtam sahasA prAptam Sukram Dana-praBA-Sukram &
   añjaliviracitamukuṭaṃ provāca puraḥsthitaṃ purajit // 2.59 //	aQjali-viracita-mukuwam provAca puras-sTitam purajit // 2.59 //
   mittramayaṃ draviṇapatirbhavatā bata vañcitaḥ kṛtajñena &	mittra-mayam draviNa-patiH-BavatA bata vaQcitaH kRtajQena &
   mittradrohe prasarati na hi nāma janaḥ kṛtaghno'pi // 2.60 //	mittra-drohe prasarati na hi nAma janaH kRtaGnaH-api // 2.60 //
   agaṇitayaśasā tyaktasthitinā kriyate'tha yākṛtajñena &	agaNita-yaSasA tyakta-sTitinA kriyate-aTa yAkRtajQena &
   snigdhe suhṛdi sarāge mitre tava vañcanā na yuktā sā // 2.61 //	snigDe suhRdi sa-rAge mitre tava vaQcanA na yuktA sA // 2.61 //
   etatkiṃ śrutasadṛśaṃ tvadvratayogyaṃ kulānurūpaṃ vā &	etat-kim Sruta-sadRSam tvad-vrata-yogyam kula-anurUpam vA &
   kṛtavānasi yatsumate paribhūtaguṇodayaṃ karma // 2.62 //	kRtavAn-asi yat-sumate pariBUta-guNa-udayam karma // 2.62 //
   kimayaṃ sunayābhyāsaḥ praśamo vā gurujanopadeśo vāḷ &	kim-ayam sunaya-aByAsaH praSamaH vA guru-jana-upadeSaH vA? &
   mativibhavaḥ sahajo vā vañcakatāṃ yena yāto'si // 2.63 //	mati-viBavaH sahajaH vA vaQcaka-tAm yena yAtaH-asi // 2.63 //
   kasya na dayitaṃ vittaṃ cittaṃ hriyate na kasya vittena &	kasya na dayitam vittam cittam hriyate na kasya vittena &
   kiṃ tu yaśodhanalubdhā vāñchanti na duṣkṛtairarthān // 2.64 //	kim tu yaSaH-Dana-lubDAH vAQCanti na duzkRtEH-arTAn // 2.64 //
   mā mā malinaya vimalaṃ bhṛgukulamamalaṃ malena lobhena &	mA mA malinaya vimalam BRgu-kulam-amalam malena loBena &
   lobhajalado hi śatrurviśadayaśorājahaṃsānām // 2.65 //	loBa-jaladaH hi SatruH-viSada-yaSaH-rAjahaMsAnAm // 2.65 //
   tyaktvā kīrtimanantāmanilākulatṛṇalavopamānarthān &	tyaktvA kIrtim-anantAm-anila-Akula-tRNa-lava-upamAn-arTAn &
   gṛhṇāti yaḥ sa madhye dhūrtānāṃ kīdṛśo dhūrtaḥ // 2.66 //	gRhNAti yaH sa maDye DUrtAnAm kIdRSaH DUrtaH // 2.66 //
   utsṛjya sādhuvṛttaṃ kutilādhiyā vañcitaḥ paro yena &	utsRjya sADu-vRttam kutila-aDiyAH vaQcitaH paraH yena &
   ātmaiva mūḍhamatinā kṛtasukṛto vañcitastena // 2.67 //	AtmA-eva mUXa-matinA kRta-sukRtaH vaQcitaH-tena // 2.67 //
   niyatā dūṣitayaśasāṃ bata kisalayakomalā prakṛtyaiva &	niyatA dUzita-yaSasAm bata kisalaya-komalA prakRtyA-eva &
   apavādaviṣatarūtthairāmodairmūrchitā lakṣmīḥ // 2.68 //	apavAda-vizata-ru-utTEH-AmodEH-mUrCitA lakzmIH // 2.68 //
   na hi nāma sajjanānāṃ śuddhayaśaḥsphaṭikakadarpaṇo vimalaḥ &	na hi nAma sat-janAnAm SudDa-yaSaH-sPawika-ka-darpaNaH vimalaH &
   paribhavaduḥkhitajanatāniḥśvāsairmalinatāmeti // 2.69 //	pariBava-duHKita-janatA-niHSvAsEH-malina-tAm-eti // 2.69 //
   asamañjasamatimalinaṃ mohadvyaktiṃ samāgataṃ karma &	asamaQjasam-ati-malinam mohat-vyaktim samAgatam karma &
   tasya viśuddhiḥ kriyatāṃ paravittasamarpaṇenaiva // 2.70 //	tasya viSudDiH kriyatAm para-vitta-samarpaNena-eva // 2.70 //
   apavādadhūlidhūsaramamalayaśo mṛjyatāṃ svahastena &	apavAda-DUli-DUsaram-amala-yaSaH mRjyatAm sva-hastena &
   asmadvacanaṃ kriyatāṃ paradhanamutsṛjyatāmetat // 2.71 //	asmat-vacanam kriyatAm para-Danam-utsRjyatAm-etat // 2.71 //
   ityuktaḥ sānunayaṃ tribhuvanagurūṇāpi devadevena &	iti-uktaH sa-anunayam triBuvana-gurUNA-api devadevena &
   paradhananibaddhatṛṣṇaḥ provāca kṛtāñjaliḥ śukraḥ // 2.72 //	para-Dana-nibadDa-tRzNaH provAca kRtAQjaliH SukraH // 2.72 //
   bhagavanbhavataḥ śāsanamamarendrakirīṭakoṭiviśrāntam &	Bagavan-BavataH SAsanam-amara-indra-kirIwa-kowi-viSrAntam &
   laṅghayati ko nu mohāddaurgatyaṃ sattvahāri yadi na syāt // 2.73 //	laFGayati kaH nu mohAt-dOrgatyam sattva-hAri yadi na syAt // 2.73 //
   yasya kṣīṇasya gṛhe bhṛtyā dārāḥ sutāśca sīdanti &	yasya kzINasya gRhe BRtyAH dArAH sutAH-ca sIdanti &
   kāryākāryavicāṛo draviṇādāneṣu kastasya // 2.74 //	kArya-akArya-vicARaH draviNa-AdAnezu kaH-tasya // 2.74 //
   mitramayaṃ dhananātho vipadi trāṇaṃ vicintitaḥ satatam &	mitra-mayam Dana-nATaH vipadi trANam vicintitaH satatam &
   vṛddhiṃ yātaḥ sumahānāśābandhaśca me hṛdaye // 2.75 //	vRdDim yAtaH su-mahA-n-ASA-banDaH-ca me hRdaye // 2.75 //
   abhyetya yācito'pi tyaktvā lajjāṃ mayāḷvihatalajjaḥ &	aByetya yAcitaH-api tyaktvA lajjAm mayA?vihata-lajjaH &
