   akārayat kārayitavyadakṣā Ks_7.27c	akArayat kArayitavya-dakzA KH-_7.27c
   guptāv api manoharam Ks_6.38d	guptO api manoharam KH-_6.38d
   guruśokām anuroditīva mām Ks_4.15d	guru-SokAm anuroditi-iva mAm KH-_4.15d
   guruṃ netrasahasreṇa Ks_2.29c	gurum netra-sahasreNa Ks_2.29c
   guruḥ pragalbhe 'pi vayasy ato 'syās Ks_1.51a	guruH pragalBe api vayasi atas asyAH KH-_1.51a
   gurūpadeśād vadanaṃ nināya Ks_7.81b	guru-upadeSAt vadanam ninAya KH-_7.81b
   guror niyogāc ca nagendrakanyā Ks_3.17a	guroH niyogAt ca naga-indra-kanyA KH-_3.17a
   guho 'pi yeṣāṃ prathamāptajanmanāṃ Ks_5.14c	guhaH api yezAm praTama-Apta-janmanAm Ks_5.14c
   gṛhamedhiphalaṃ mayā Ks_6.88d	gRhameDi-Palam mayA KH-_6.88d
   gṛhayantrapatākāśrīr Ks_6.41c	gRha-yantra-patAkA-SrIH KH-_6.41c
   gṛhītapatyudgamanīyavastrā Ks_7.11b	gRhIta-pati-udgamanIya-vastrA KH-_7.11b
   gṛhe gṛhe vyagrapuraṃdhrivargam Ks_7.2b	gRhe gRhe vyagra-puraMDri-vargam KH-_7.2b
   goptāraṃ surasainyānāṃ Ks_2.52a	goptAram sura-sEnyAnAm KH-_2.52a
   gorocanākṣepanitāntagaure Ks_7.17b	gorocanA-kzepa-nitAnta-gOre KH-_7.17b
   gorocanāpatravibhaṅgam aṅgam Ks_7.15b	gorocanA-patra-viBaFgam aFgam KH-_7.15b
   ghaṭastanaprasravaṇair vyavardhayat Ks_5.14b	Gawa-stana-prasravaNEH vyavarDayat Ks_5.14b
   ghūrṇamānanayanaṃ skhalatkathaṃ Ks_8.80a	GUrNamAna-nayanam sKalat-kaTam KH-_8.80a
   cakāra karṇacyutapallavena Ks_3.62c	cakAra karNa-cyuta-pallavena KH-_3.62c
   cakravākamithunaṃ viḍambyate Ks_8.61d	cakravAka-miTunam vixambyate KH-_8.61d
   cakravākasamavṛttim ātmanaḥ Ks_8.51d	cakravAka-sama-vRttim AtmanaH KH-_8.51d
   cakre padaṃ patraviśeṣakeṣu Ks_3.33d	cakre padam patra-viSezakezu KH-_3.33d
   cakṣur unmiṣati sasmitaṃ priye Ks_8.3c	cakzuH unmizati sa-smitam priye KH-_8.3c
   cakṣuṣā ciram umāmukhaṃ papau Ks_8.80d	cakzuzA ciram umA-muKam papO KH-_8.80d
   cacāla bālā stanabhinnavalkalā Ks_5.84b	cacAla bAlA stana-Binna-valkalA KH-_5.84b
   caturaiḥ surakāminījanaiḥ Ks_4.20c	caturEH sura-kAminI-janEH KH-_4.20c
   caturdigīśān avamatya māninī Ks_5.53b	catur-digISAn avamatya mAninI KH-_5.53b
   caturmukhasamīritā Ks_2.17b	caturmuKa-samIritA KH-_2.17b
   catuṣkapuṣpaprakarāvikīrṇayoḥ Ks_5.68a	catuzka-puzpa-prakara-avikIrNayoH KH-_5.68a
   candrakāntajalabindubhir giriḥ Ks_8.67b	candrakAnta-jala-binduBiH giriH KH-_8.67b
   candrapādajanitapravṛttibhiś Ks_8.67a	candra-pAda-janita-pravRttiBiH KH-_8.67a
   candrabimbanihitākṣṇi candrikā Ks_8.74d	candra-bimba-nihita-akzNi candrikA KH-_8.74d
   candraṃ gatā padmaguṇān na bhuṅkte Ks_1.43a	candram gatA padma-guNAn na BuFkte KH-_1.43a
   candrikā satimirā girer iyam Ks_8.69b	candrikA sa-timirAH gireH iyam KH-_8.69b
   candreṇa nityaṃ pratibhinnamauleś Ks_7.35c	candreNa nityam pratiBinna-mOleH KH-_7.35c
   candrodayārambha ivāmburāśiḥ Ks_3.67b	candra-udaya-AramBaH iva-amburASiH KH-_3.67b
   caraṇaṃ nirmitarāgam ehi me Ks_4.19d	caraNam nirmita-rAgam ehi me KH-_4.19d
   caraṇau rañjayanty asyāś Ks_6.81c	caraNO raQjayanti asyAH KH-_6.81c
   carācarāṇāṃ bhūtānāṃ Ks_6.67c	cara-acarANAm BUtAnAm KH-_6.67c
   caritārthā catuṣṭayī Ks_2.17d	caritArTA catuzwayI KH-_2.17d
   cāṭukāra iva dakṣiṇānilaḥ Ks_8.25d	cAwu-kAraH iva dakziNa-anilaH KH-_8.25d
   cāṭumat kṣaṇaviyogakātaram Ks_8.15b	cAwumat kzaNa-viyoga-kAtaram KH-_8.15b
   cāpena te karma na cātihiṃsram Ks_3.20c	cApena te karma na ca-ati-hiMsram KH-_3.20c
   cāmaraiḥ surabandīnāṃ Ks_2.42c	cAmarEH sura-bandInAm KH-_2.42c
   ciccheda sādṛśyakathāprasaṅgam Ks_7.16d	cicCeda sAdRSya-kaTA-prasaFgam KH-_7.16d
   citranyastā iva gatāḥ Ks_2.24c	citra-nyastAH iva gatAH KH-_2.24c
   citrārpitārambham ivāvatasthe Ks_3.42d	citra-arpita-AramBam iva-avatasTe KH-_3.42d
   cintitopasthitāṃs tāvac Ks_6.24c	cintita-upasTitAn tAvat Ks_6.24c
   cirakālārjitaṃ yaśaḥ Ks_2.47d	cira-kAla-arjitam yaSaH KH-_2.47d
   ciravyavasthāpitavāg abhāṣata Ks_5.63d	cira-vyavasTApita-vAc aBAzata KH-_5.63d
   cirasya dṛṣṭeva mṛtotthiteva Ks_7.4b	cirasya dRzwA-iva mRta-utTitA-iva KH-_7.4b
   cirāya karṇotpalaśūnyatāṃ gate Ks_5.47b	cirAya karNa-utpala-SUnya-tAm gate KH-_5.47b
   cireṇa nābhiṃ prathamodabindavaḥ Ks_5.24d	cireNa nABim praTama-uda-bindavaH KH-_5.24d
   cirojjhitālaktakapāṭalena te Ks_5.34c	cira-ujJita-alaktaka-pAwalena te Ks_5.34c
   cīnāṃśukaiḥ kalpitaketumālam Ks_7.3b	cIna-aMSukEH kalpita-ketumAlam KH-_7.3b
   cumbatīva rajanīmukhaṃ śaśī Ks_8.63d	cumbati-iva rajanI-muKam SaSI KH-_8.63d
   cumbanādalakacūrṇadūṣitaṃ Ks_8.19a	cumbanAt-alaka-cUrNa-dUzitam KH-_8.19a
   cumbaneṣv adharadānavarjitaṃ Ks_8.8a	cumbanezu aDara-dAna-varjitam Ks_8.8a
   cūḍāmaṇimarīcibhiḥ Ks_6.81d	cUxAmaNi-marIciBiH KH-_6.81d
   cūḍāmaṇeḥ kiṃ grahaṇaṃ harasya Ks_7.35d	cUxAmaNeH kim grahaNam harasya KH-_7.35d
   cūtapravāloṣṭham alaṃcakāra Ks_3.30d	cUta-pravAla-uzWam alaMcakAra KH-_3.30d
   cūtayaṣṭir ivābhyāṣye Ks_6.2c	cUta-yazwiH iva-aByAzye KH-_6.2c
   cūtāṅkurāsvādakaṣāyakaṇṭhaḥ Ks_3.32a	cUta-aFkura-AsvAda-kazAya-kaNWaH KH-_3.32a
   celuś cīraparigrahāḥ Ks_6.93d	celuH cIra-parigrahAH KH-_6.93d
   codayām āsa vāsavaḥ Ks_2.29d	codayAm Asa vAsavaH KH-_2.29d
   cchāyām adhaḥsānugatāṃ niṣevya Ks_1.5b	cCAyAm aDas-sa-anugatAm nizevya KH-_1.5b
   cyutakeśaradūṣitekṣaṇāny Ks_4.8c	cyuta-keSara-dUzita-IkzaNAni KH-_4.8c
   chādhi naḥ karavāma kim Ks_6.24d	CADi naH karavAma kim KH-_6.24d
   chettum agranakhasaṃpuṭaiḥ karāḥ Ks_8.62d	Cettum agra-naKa-saMpuwEH karAH KH-_8.62d
   jagaccharaṇyasya nirāśiṣaḥ sataḥ Ks_5.76c	jagat-SaraNyasya nirASizaH sataH KH-_5.76c
   jagadanto nirantakaḥ Ks_2.9b	jagat-antaH nirantakaH KH-_2.9b
   jagad ājñāṃ sasurāsuraṃ tava Ks_4.29b	jagat AjQAm sa-sura-asuram tava KH-_4.29b
   jagadādir anādis tvaṃ Ks_2.9c	jagat-AdiH anAdiH tvam Ks_2.9c
   jagadīśo nirīśvaraḥ Ks_2.9d	jagadISaH nirISvaraH KH-_2.9d
   jagadyonir ayonis tvaṃ Ks_2.9a	jagadyoniH ayoniH tvam Ks_2.9a
   jagāma gaurī śikharaṃ śikhaṇḍimat Ks_5.7d	jagAma gOrI SiKaram SiKaNximat KH-_5.7d
   jagrāha tāmrāṅgulim aṣṭamūrttiḥ Ks_7.76b	jagrAha tAmra-aFgulim azwamUrttiH KH-_7.76b
   jaṅgamaṃ praiṣyabhāve vaḥ Ks_6.58a	jaFgamam prEzya-BAve vaH KH-_6.58a
   jaṅghe śubhe sṛṣṭavatas tadīye Ks_1.35b	jaFGe SuBe sRzwavataH tadIye KH-_1.35b
   jaṭābhir apy evam abhūt tadānanam Ks_5.9b	jawABiH api evam aBUt tad-Ananam KH-_5.9b
   jano 'yam uccaiḥpadalaṅghanotsukaḥ Ks_5.64b	janaH ayam uccEs-pada-laFGana-utsukaH KH-_5.64b
   jayāya senānyam uśanti devāḥ Ks_3.15b	jayAya senA-anyam uSanti devAH KH-_3.15b
   jayāśā yatra cāsmākaṃ Ks_2.49a	jaya-ASA yatra ca-asmAkam KH-_2.49a
   jayeti vācā mahimānam asya Ks_7.43c	jaya-iti vAcA mahimAnam asya Ks_7.43c
   jalasaṃghāta ivāsi vidrutaḥ Ks_4.6d	jala-saMGAtaH iva-asi vidrutaH KH-_4.6d
   jalāny api snānavidhikṣamāṇi te Ks_5.33b	jalAni api snAna-viDi-kzamANi te KH-_5.33b
   jahuḥ parigrahavrīḍāṃ Ks_6.34c	jahuH parigraha-vrIxAm KH-_6.34c
   jāta eṣa pariśuddhamaṇḍalaḥ Ks_8.65b	jAtaH eza pariSudDa-maNxalaH KH-_8.65b
   jātarūparasagauramaṇḍalaḥ Ks_8.36b	jAtarUpa-rasa-gOra-maNxalaH KH-_8.36b
   jātavedomukhān māyī Ks_2.46c	jAtavedaH-muKAt mAyI KH-_2.46c
   jātās tadūrvor upamānabāhyāḥ Ks_1.36d	jAtAH tad-UrvoH upamAna-bAhyAH KH-_1.36d
   jāte pariṇayonmukhe Ks_6.34b	jAte pariNaya-unmuKe KH-_6.34b
   jāmātur agresaratām upetya Ks_7.55b	jAmAtuH agresara-tAm upetya KH-_7.55b
   jāmbūnadavataṃsakām Ks_6.91b	jAmbUnada-vataMsakAm KH-_6.91b
   jāyāpatī laukikam eṣitavyam Ks_7.88c	jAyA-patI lOkikam ezitavyam Ks_7.88c
   jālāntarapreṣitadṛṣtir anyā Ks_7.60a	jAla-antara-prezita-dRztiH anyA KH-_7.60a
   jāhnavīpulinacārudarśanam Ks_8.82b	jAhnavI-pulina-cAru-darSanam KH-_8.82b
   jitasiṃhabhayā nāgā Ks_6.39a	jita-siMha-BayA nAgA KH-_6.39a
   jitendriye śūlini puṣpacāpaḥ Ks_3.57c	jita-indriye SUlini puzpacApaH Ks_3.57c
   jñātamanmatharasā śanaiḥ śanaiḥ Ks_8.13c	jQAta-manmaTa-rasA SanEs SanEs KH-_8.13c
   jyotirbhir udyadbhir iva triyāmā Ks_7.21b	jyotirBiH udyadBiH iva triyAmA KH-_7.21b
   jyotiṣām avanatāsu paṅktiṣu Ks_8.84b	jyotizAm avanatAsu paFktizu KH-_8.84b
   jyotiṣāṃ pratibimbāni Ks_6.42c	jyotizAm pratibimbAni KH-_6.42c
   jyotiḥprarohair uditaiḥ śirastaḥ Ks_3.49b	jyotiH-prarohEH uditEH SirastaH KH-_3.49b
   jyotīṃṣīva mukhāni vaḥ Ks_2.19d	jyotIMzi-iva muKAni vaH KH-_2.19d
   jyotsnayā janitarūpasaṃśayam Ks_8.71b	jyotsnayA janita-rUpa-saMSayam KH-_8.71b
   jyotsnāntarāṇīva kalāntarāṇi Ks_1.25d	jyotsnA-antarANi-iva kalA-antarANi KH-_1.25d
   jyotsnābhiṣekadviguṇadyutīni Ks_7.63d	jyotsnA-aBizeka-dviguNa-dyutIni KH-_7.63d
   jvalana iva samudrāntargatas tajjaleṣu Ks_8.91d	jvalanaH iva samudra-antargataH tad-jalezu KH-_8.91d
   jvalann iva brahmamayena tejasā Ks_5.30b	jvalan iva brahma-mayena tejasA KH-_5.30b
   jvalanmaṇiśikhāś cainaṃ Ks_2.38a	jvalat-maNi-SiKAH ca-enam Ks_2.38a
   tacchaṅkinaḥ pūrvam iva praroham Ks_7.76d	tad-SaFkinaH pUrvam iva praroham KH-_7.76d
   tacchāsanāt kānanam eva sarvaṃ Ks_3.42c	tad-SAsanAt kAnanam eva sarvam KH-_3.42c
   taṭābhighātād iva lagnapaṅke Ks_7.49c	tawa-aBiGAtAt iva lagna-paFke Ks_7.49c
   tataḥ paramam ity uktvā Ks_6.35a	tatas paramam iti uktvA KH-_6.35a
   tatāra tārādhipakhaṇḍadhārī Ks_7.48d	tatAra tArADipa-KaNxa-DArI KH-_7.48d
   tato gaṇaiḥ śūlabhṛtaḥ purogair Ks_7.40a	tatas gaNEH SUlaBRtaH purogEH KH-_7.40a
   tato gṛhītaṃ nu mṛgāṅganābhiḥ Ks_1.46d	tatas gRhItam nu mRga-aFganABiH KH-_1.46d
   tato 'nukuryād viśadasya tasyās Ks_1.44c	tatas anukuryAt viSadasya tasyAH KH-_1.44c
   tato bhujaṃgādhipateḥ phaṇāgrair Ks_3.59a	tatas BujaMga-aDipateH PaNa-agrEH KH-_3.59a
   tato mandāniloddhūta- Ks_2.29a	tatas manda-anila-udDUta KH-_2.29a
   tatkarāmbuvinimīlitekṣaṇā Ks_8.26b	tad-kara-ambu-vinimIlita-IkzaNA KH-_8.26b
   tatkṛtānugrahāpekṣī Ks_2.39a	tad-kRta-anugraha-apekzI KH-_2.39a
   tatkṣaṇaṃ viparivartitahriyor Ks_8.79a	tad-kzaNam viparivartita-hriyoH KH-_8.79a
   tatkṣaṇaṃ harabandhunā Ks_6.93b	tad-kzaNam harabanDunA KH-_6.93b
   tatkṣaṇaṃ hṛtavilocano haraḥ Ks_8.87b	tad-kzaNam hRta-vilocanaH haraH KH-_8.87b
   tatpūrvapāṇigrahaṇānurūpam Ks_7.30b	tad-pUrva-pANigrahaNa-anurUpam KH-_7.30b
   tat prakāśayati yāvad udgataṃ Ks_8.43c	tat prakASayati yAvat udgatam Ks_8.43c
   tatpratyayāc ca kusumāyudhabandhur enām Ks_4.45c	tad-pratyayAt ca kusumAyuDa-banDuH enAm Ks_4.45c
   tat prayātauṣadhiprasthaṃ Ks_6.33a	tat prayAta-ozaDi-prasTam KH-_6.33a
   tatra kāñcanaśilātalāśrayo Ks_8.29a	tatra kAQcana-SilA-tala-ASrayaH KH-_8.29a
   tatra tatra vijahāra saṃpatann Ks_8.21c	tatra tatra vijahAra saMpatan Ks_8.21c
   tatra niścitya kandarpam Ks_2.63a	tatra niScitya kandarpam KH-_2.63a
   tatra vetrāsanāsīnān Ks_6.53a	tatra vetrAsana-AsInAn KH-_6.53a
   tatra haṃsadhavalottaracchadaṃ Ks_8.82a	tatra haMsa-Davala-uttaracCadam KH-_8.82a
   tatrāgnim ādhāya samitsamiddhaṃ Ks_1.57a	tatra-agnim ADAya samiD-samidDam Ks_1.57a
   tatrāvatīryācyutadattahastaḥ Ks_7.70a	tatra-avatIrya-acyuta-datta-hastaH KH-_7.70a
   tatreśvaro viṣṭarabhāg yathāvat Ks_7.72a	tatra-ISvaraH vizwara-BAj yaTAvat KH-_7.72a
   tathā ca tasyāṃ hariṇā viśaśvasuḥ Ks_5.15b	taTA ca tasyAm hariNA viSaSvasuH KH-_5.15b
   tathā na gāṅgaiḥ salilair divaś cyutaiḥ Ks_5.37b	taTA na gAFgEH salilEH divaH cyutEH KH-_5.37b
   tathāpi tāvat kasmiṃś cid Ks_6.62a	taTA-api tAvat kasmin cit Ks_6.62a
   tathābhitaptaṃ savitur gabhastibhir Ks_5.21a	taTA-aBitaptam savituH gaBastiBiH KH-_5.21a
   tathāvidhas tāvad aśeṣam astu saḥ Ks_5.82b	taTAviDaH tAvat aSezam astu saH KH-_5.82b
   tathāvidhaṃ prema patiś ca tādṛśaḥ Ks_5.2d	taTAviDam prema patiH ca tAdRSaH KH-_5.2d
   tathā samakṣaṃ dahatā manobhavaṃ Ks_5.1a	taTA samakzam dahatA manoBavam KH-_5.1a
   tathā hi te śīlam udāradarśane Ks_5.36c	taTA hi te SIlam udAra-darSane KH-_5.36c
   tathā hi nṛtyābhinayakriyācyutaṃ Ks_5.79c	taTA hi nRtya-aBinaya-kriyA-cyutam Ks_5.79c
   tathā hi śeṣendriyavṛttir āsāṃ Ks_7.64c	taTA hi Seza-indriya-vRttiH AsAm Ks_7.64c
   tatheti śeṣām iva bhartur ājñām Ks_3.22a	taTA-iti SezAm iva BartuH AjQAm KH-_3.22a
   tathaiva tasthuḥ phaṇaratnaśobhāḥ Ks_7.34d	taTA-eva tasTuH PaNa-ratna-SoBAH KH-_7.34d
   tathaiva vātāyanasaṃnikarṣaṃ Ks_7.59c	taTA-eva vAtAyana-saMnikarzam KH-_7.59c
   tathaivocchirasā tvayā Ks_6.70d	taTA-eva-ucCirasA tvayA KH-_6.70d
   tadaṅgasaṃsargam avāpya kalpate Ks_5.79a	tad-aFga-saMsargam avApya kalpate KH-_5.79a
   tad anu jvalanaṃ madarpitaṃ Ks_4.36a	tat anu jvalanam mad-arpitam KH-_4.36a
   tad apy apākīrṇam ataḥ priyaṃvadāṃ Ks_5.28c	tat api apAkIrNam atas priyaMvadAm Ks_5.28c
   tadarthinī tvaṃ punar eva vartase Ks_5.65b	tad-arTinI tvam punar eva vartase KH-_5.65b
   tadardhabhāgena labhasva kāṅkṣitaṃ Ks_5.50c	tad-arDa-BAgena laBasva kAFkzitam Ks_5.50c
   tad asti kiṃ vyastam api trilocane Ks_5.72d	tat asti kim vyastam api trilocane KH-_5.72d
   tad āgamanakāryaṃ naḥ Ks_6.74a	tat Agamana-kAryam naH KH-_6.74a
   tadānanaśrīr alakaiḥ prasiddhaiś Ks_7.16c	tad-Anana-SrIH alakEH prasidDEH Ks_7.16c
   tadānapekṣya svaśarīramārdavaṃ Ks_5.18c	tadA-anapekzya sva-SarIra-mArdavam KH-_5.18c
   tadāpātabhayāt pathi Ks_2.45d	tad-ApAta-BayAt paTi KH-_2.45d
   tadāprabhṛty unmadanā pitur gṛhe Ks_5.55a	tadA-praBRti unmadanA pituH gRhe KH-_5.55a
   tadāprabhṛty eva vimuktasaṅgaḥ Ks_1.53c	tadA-praBRti eva vimukta-saFgaH KH-_1.53c
   tadā sahāsmābhir anujñayā guror Ks_5.59c	tadA saha-asmABiH anujQayA guroH Ks_5.59c
   tad icchāmo vibho sṛṣṭaṃ Ks_2.51a	tat icCAmaH viBo sRzwam KH-_2.51a
   tad idaṃ kriyatām anantaraṃ Ks_4.32a	tat idam kriyatAm anantaram KH-_4.32a
   tad idaṃ gatam īdṛśīṃ daśāṃ Ks_4.5c	tat idam gatam IdRSIm daSAm KH-_4.5c
   tad idaṃ parirakṣa śobhane Ks_4.44a	tat idam parirakza SoBane KH-_4.44a
   tadīyās toyadeṣv adya Ks_2.50a	tadIyAH toyadezu adya Ks_2.50a
   tad īṣadārdrāruṇagaṇḍalekham Ks_7.82a	tat Izat-Ardra-aruNa-gaNxa-leKam KH-_7.82a
   tad eva jātaṃ tilakakriyāyāḥ Ks_7.33d	tat eva jAtam tilaka-kriyAyAH KH-_7.33d
   tad eva jātaṃ vacanaṃ smarasya Ks_3.32d	tat eva jAtam vacanam smarasya KH-_3.32d
   tad gaccha siddhyai kuru devakāryam Ks_3.18a	tat gacCa sidDyE kuru deva-kAryam KH-_3.18a
   tadgauravān maṅgalamaṇḍanaśrīḥ Ks_7.31a	tad-gOravAn maFgala-maNxana-SrIH KH-_7.31a
   taddarśanād abhūc chambhor Ks_6.13a	tad-darSanAt aBUt SamBoH KH-_6.13a
   taddarśitāḥ prāñjalayaḥ praṇemuḥ Ks_7.45d	tad-darSitAH prAQjalayaH praNemuH KH-_7.45d
   taddarśinam udāsīnaṃ Ks_2.13c	tad-darSinam udAsInam Ks_2.13c
   taddukūlam atha cābhavat svayaṃ Ks_8.4c	tad-dukUlam aTa ca-aBavat svayam Ks_8.4c
   tad dhi tīrthaṃ pracakṣate Ks_6.56d	tat Di tIrTam pracakzate KH-_6.56d
   tad brūta vatsāḥ kim itaḥ Ks_2.28a	tat brUta vatsAH kim itas KH-_2.28a
   tadbhaktisaṃkṣiptabṛhatpramāṇam Ks_7.37c	tad-Bakti-saMkzipta-bRhat-pramANam Ks_7.37c
   tadvāpyo dhāma sāṃpratam Ks_2.44d	tat-vApyaH DAma sAMpratam KH-_2.44d
   tadvisṛṣṭāḥ kham udyayuḥ Ks_6.94d	tad-visRzwAH Kam udyayuH KH-_6.94d
   tanutāṃ duḥkham anaṅga mokṣyati Ks_4.13d	tanu-tAm duHKam anaFga mokzyati KH-_4.13d
   tanoti ravir ātapam Ks_2.33b	tanoti raviH Atapam KH-_2.33b
   tanmātaraṃ cāśrumukhīṃ Ks_6.92a	tad-mAtaram ca-aSru-muKIm KH-_6.92a
   tan muhūrttam anumantum arhasi Ks_8.48a	tat muhUrttam anumantum arhasi KH-_8.48a
   tanmekhalāmadhyamaṇer ivārciḥ Ks_1.38d	tad-meKalA-maDya-maNeH iva-arciH KH-_1.38d
   tapasā tatpravaṇīkṛto haraḥ Ks_4.42b	tapasA tad-pravaNIkRtaH haraH KH-_4.42b
   tapasām upabhuñjānāḥ Ks_6.10c	tapasAm upaBuQjAnAH KH-_6.10c
   tapasvinaḥ sthāṇuvanaukasas tām Ks_3.34a	tapasvinaH sTANu-vana-okasaH tAm KH-_3.34a
   tapasvinām apy upadeśatāṃ gatam Ks_5.36d	tapasvinAm api upadeSa-tAm gatam KH-_5.36d
   tapasvināṃ dūram adhaś cakāra sā Ks_5.29d	tapasvinAm dUram aDas cakAra sA KH-_5.29d
   tapasvine tāmrarucā kareṇa Ks_3.65b	tapasvine tAmra-rucA kareNa KH-_3.65b
   tapaḥ kiledaṃ tadavāptisādhanaṃ Ks_5.64c	tapaH kila-idam tad-avApti-sADanam Ks_5.64c
   tapaḥkṛśām abhyupapatsyate sakhīṃ Ks_5.61c	tapaH-kRSAm aByupapatsyate saKIm KH-_5.61c
   tapaḥ kva vatse kva ca tāvakaṃ vapuḥ Ks_5.4b	tapaH kva vatse kva ca tAvakam vapuH KH-_5.4b
   tapaḥparāmarśavivṛddhamanyor Ks_3.71a	tapaH-parAmarSa-vivRdDa-manyoH KH-_3.71a
   tapaḥphalaṃ syāt kim ataḥ paraṃ vada Ks_5.41d	tapaH-Palam syAt kim atas param vada KH-_5.41d
   tapaḥ śarīraiḥ kaṭhinair upārjitaṃ Ks_5.29c	tapaH SarIrEH kaWinEH upArjitam Ks_5.29c
   tapaḥsamādheḥ pratikūlavartī Ks_3.24b	tapaH-samADeH pratikUla-vartI KH-_3.24b
   tapātyaye vāribhir ukṣitā navair Ks_5.23c	tapAtyaye vAriBiH ukzitAH navEH KH-_5.23c
   tapo mahat sā carituṃ pracakrame Ks_5.18d	tapaH mahat sA caritum pracakrame KH-_5.18d
   tapovanaṃ tac ca babhūva pāvanam Ks_5.17d	tapaH-vanam tat ca baBUva pAvanam KH-_5.17d
   tam anvagacchat prathamo vidhātā Ks_7.43a	tam anvagacCat praTamaH viDAtA KH-_7.43a
   tam anvag indrapramukhāś ca devāḥ Ks_7.71a	tam anvak indra-pramuKAH ca devAH KH-_7.71a
   tam artham iva bhāratyā Ks_6.79a	tam arTam iva BAratyA KH-_6.79a
   tam avekṣya ruroda sā bhṛśaṃ Ks_4.26a	tam avekzya ruroda sA BRSam KH-_4.26a
   tamaḥpāre vyavasthitam Ks_2.58b	tamaH-pAre vyavasTitam Ks_2.58b
   tam ātitheyī bahumānapūrvayā Ks_5.31a	tam AtiTeyI bahu-mAna-pUrvayA KH-_5.31a
   tam āśu vighnaṃ tapasas tapasvī Ks_3.74a	tam ASu viGnam tapasaH tapasvI KH-_3.74a
   tam imaṃ kuru dakṣiṇetaraṃ Ks_4.19c	tam imam kuru dakziNetaram Ks_4.19c
   tam ṛddhimadbandhujanādhirūḍhair Ks_7.52a	tam RdDimat-banDu-jana-aDirUXEH KH-_7.52a
   tam ekadṛśyaṃ nayanaiḥ pibantyo Ks_7.64a	tam eka-dRSyam nayanEH pibantyaH KH-_7.64a
   tam eva menā duhituḥ kathaṃcid Ks_7.24c	tam eva menA duhituH kaTaMcid KH-_7.24c
   tayā gṛhītaṃ nu mṛgāṅganābhyas Ks_1.46c	tayA gRhItam nu mRga-aFganAByaH Ks_1.46c
   tayā tu tasyārdhaśarīrabhājā Ks_7.28c	tayA tu tasya-arDa-SarIra-BAjA KH-_7.28c
   tayā duhitrā sutarāṃ savitrī Ks_1.24a	tayA duhitrA sutarAm savitrI KH-_1.24a
   tayā pravṛddhānanacandrakāntyā Ks_7.74a	tayA pravRdDa-Anana-candra-kAntyA KH-_7.74a
   tayā munīnāṃ caritaṃ vyagāhyata Ks_5.19b	tayA munInAm caritam vyagAhyata Ks_5.19b
   tayā vyāhṛtasaṃdeśā Ks_6.2a	tayA vyAhRta-saMdeSA KH-_6.2a
   tayā sa pūtaś ca vibhūṣitaś ca Ks_1.28d	tayA sa pUtaH ca viBUzitaH ca KH-_1.28d
   tayor upary āyatanāladaṇḍam Ks_7.89c	tayoH upari Ayata-nAla-daNxam KH-_7.89c
   tayoḥ samāpattiṣu kātarāṇi Ks_7.75a	tayoH samApattizu kAtarANi KH-_7.75a
   tava cetasi vartate Ks_6.18d	tava cetasi vartate KH-_6.18d
   tava tac cāru vapur na dṛśyate Ks_4.18d	tava tat cAru vapuH na dRSyate KH-_4.18d
   tava prasādāt kusumāyudho 'pi Ks_3.10a	tava prasAdAt kusumAyuDaH api KH-_3.10a
   tava priyaṃ yaś caturāvalokinaḥ Ks_5.49b	tava priyam yaH catura-avalokinaH KH-_5.49b
   tava bhartā na cirād bhaviṣyati Ks_4.40b	tava BartA na cirAt Bavizyati KH-_4.40b
   tavākṣisādṛśyam iva prayuñjate Ks_5.35d	tava-akzi-sAdRSyam iva prayuQjate KH-_5.35d
   tavānuvṛttiṃ na ca kartum utsahe Ks_5.65d	tava-anuvRttim na ca kartum utsahe KH-_5.65d
   tavaiva nāmāstragatiḥ kṛtī tvam Ks_3.19b	tava-eva nAma-astra-gatiH kRtI tvam KH-_3.19b
   tasthau nivṛttānyavarābhilāṣaḥ Ks_1.51b	tasTO nivRtta-anya-vara-aBilAzaH KH-_1.51b
   tasthau vṛṣāṅkāgamanapratīkṣaḥ Ks_7.29d	tasTO vRzAFka-Agamana-pratIkzaH KH-_7.29d
   tasmāt pradeśāc ca vitānavantaṃ Ks_7.12a	tasmAt pradeSAt ca vitAnavantam KH-_7.12a
   tasminn apatye na jagāma tṛptim Ks_1.27b	tasmin apatye na jagAma tRptim KH-_1.27b
   tasminn upāyāḥ sarve naḥ Ks_2.48a	tasmin upAyAH sarve naH KH-_2.48a
   tasmin maghonas tridaśān vihāya Ks_3.1a	tasmin maGonaH tridaSAn vihAya Ks_3.1a
   tasmin muhūrte purasundarīṇām Ks_7.56a	tasmin muhUrte pura-sundarINAm KH-_7.56a
   tasmin vane saṃyamināṃ munīnāṃ Ks_3.24a	tasmin vane saMyaminAm munInAm KH-_3.24a
   tasmin viprakṛtāḥ kāle Ks_2.1a	tasmin viprakRtAH kAle KH-_2.1a
   tasmin samiddhārciṣi lājamokṣam Ks_7.80d	tasmin samidDa-arcizi lAja-mokzam KH-_7.80d
   tasmin saṃyaminām ādye Ks_6.34a	tasmin saMyaminAm Adye KH-_6.34a
   tasmin surāṇāṃ vijayābhyupāye Ks_3.19a	tasmin surANAm vijaya-aByupAye KH-_3.19a
   tasmai jayāśīḥ sasṛje purastāt Ks_7.47a	tasmE jaya-ASIH sasRje purastAt Ks_7.47a
