   EINLEITUNG (nidānam)	EINLEITUNu (nidAnam)
   pā(pasamā)cāras tasya te kulāni duṣṭāni dṛśyante 'pi śrūyante 'pi	pA(pa-samA)cAraH tasya te kulAni duzwAni dRSyante api SrUyante api
   prajñāyante 'pi pāpak(ā)ś ca te sam(ācārā d)ṛ(ś)y(a)nte 'pi śrūyante 'pi	prajQAyante api pApa-k(A)H ca te sam(AcArAH d)R(S)y(a)nte api SrUyante api
   prajñāyante 'pi kuladūṣakaś cāyuṣmāṃ pāpasamācāraḥ prakramatv ā(yu)ṣmā(ṃ)	prajQAyante api kula-dUzakaH ca-AyuzmAm pApa-samAcAraH prakramatu A(yu)zmA(M)
   asmād āvāsād alaṃ tavehoṣitena	asmAt AvAsAt alam tava-iha-uzitena
   evaṃ cet sa bhikṣur bhikṣubhir ucyamānas tān bhikṣūn evaṃ vadec	evam ced sa BikzuH BikzuBiH ucyamAnaH tAn BikzUn evam vadet-
   chandagāmina āyuṣmanto bhikṣavo dveṣagāmino bhayagāmino mo(ha)gāmino yatra	Canda-gAminaH AyuzmantaH BikzavaH dveza-gAminaH Baya-gAminaH mo(ha)-gAminaH yatra
   hi nāma tādṛśīm evāpattim āpannān ekatyāṃ bhikṣūṃ pravāsayanty ekatyāṃ	hi nAma tAdRSIm eva-Apattim ApannAn ekatyAm BikzUm pravAsayanti ekatyAm
   bhikṣūn na pravāsayanti	BikzUn na pravAsayanti
   sa bhikṣur bhikṣubhir evaṃ syād vacanīyaḥ neme bhikṣavaś chandagāmin(o na)	sa BikzuH BikzuBiH evam syAt vacanIyaH na-ime BikzavaH Canda-gAmin(aH na)
   d(v)eṣagāmino na bhayagāmino na mohagāmina api tv āyuṣmān eva kuladūṣakaḥ	d(v)eza-gAminaH na Baya-gAminaH na moha-gAminaH api tu AyuzmAn eva kula-dUzakaH
   pāpasamācāraḥ tasya te kulāni duṣṭāni dṛśyante 'pi śrūyante 'pi	pApa-samAcAraH tasya te kulAni duzwAni dRSyante api SrUyante api
   prajñāya(n)t(e) 'p(i) p(ā)pakāś ca te samācārā dṛśyante 'pi śrūyante 'pi	prajQAya(n)t(e) ap(i) p(A)pakAH ca te samAcArAH dRSyante api SrUyante api
   prajñāyante 'pi kuladūṣakaś cāyuṣmān pāpasamācāraḥ niḥsṛjatv āyuṣmāṃś	prajQAyante api kula-dUzakaH ca-AyuzmAn pApa-samAcAraH niHsRjatu AyuzmAn=-
   chandagāmi vacanaṃ dveṣagāmi bhayagāmi mohagāmi vacanaṃ	Canda-gAmi vacanam dveza-gAmi Baya-gAmi moha-gAmi vacanam
   evaṃ cet sa bhikṣur bhikṣubhir ucyamānas tad eva vastu samādāya vigṛhya	evam ced sa BikzuH BikzuBiH ucyamAnaH tat eva vastu samAdAya vigRhya
   tiṣṭhen na pratiniḥsṛjet sa bhikṣur bhikṣubhir yāvat trir api	tizWet na pratiniHsRjet sa BikzuH BikzuBiH yAvat tris api
   samanuśāsitavyas tasya vastunaḥ pratiniḥsargāya sa yāvat trir api	samanuSAsitavyaH tasya vastunaH pratiniHsargAya sa yAvat tris api
   samanuśiṣyamāṇas tad vastu pratiniḥsṛjed ity evaṃ kuśalaṃ no cet	samanuSizyamANaH tat vastu pratiniHsRjet iti evam kuSalam no ced-
   pratiniḥsṛjet saṃghāvaśeṣaḥ 12	pratiniHsRjet saMGa-avaSezaH 12
   PrMoSū_SA.13:	PrMA-uSU_SA.13:
   bhikṣuḥ punar ihaikatyo durvacajātīyaḥ syāt sa uddeśaparyāpannaiḥ	BikzuH punar iha-ekatyaH durvaca-jAtIyaH syAt saH uddeSa-paryApannEH
   śikṣāpadair bhikṣubhiḥ saha dharmeṇa saha vinayenocyamāna ātmānam	SikzA-padEH BikzuBiH saha DarmeNa saha vinayena-ucyamAnaH AtmAnam
   avacanīyaṃ kuryān mā mām āyuṣmantaḥ ki(ṃ)cid vadantu kalyāṇaṃ vā pāpakaṃ	avacanIyam kuryAt mA mAm AyuzmantaH ki(M)cid vadantu kalyANam vA pApakam
   vā aham apy āyuṣmato na kiṃcid vakṣyāmi kalyāṇaṃ vā pāpakaṃ vā virama(n)tv	vE aham api AyuzmataH na kiMcid vakzyAmi kalyANam vA pApakam vA virama(n)tu-
   āyuṣmanto madvacanād alaṃ vo m. + + ktena	AyuzmantaH mad-vacanAt alam vaH m. + + ktena
   sa bhikṣur bhikṣubhir evaṃ syād vacanīyo mā tvam āyuṣmann	sa BikzuH BikzuBiH evam syAt vacanIyaH mA tvam Ayuzmat-=-
   uddeśaparyāpannaiḥ śikṣāpadair bhikṣubhiḥ saha dharmeṇa saha	uddeSa-paryApannEH SikzA-padEH BikzuBiH saha DarmeNa saha
   vinayenocyamāna ātmānam avacanīyaṃ kārṣīr vacanīyam evāyuṣmān ātmānaṃ	vinayena-ucyamAnaH AtmAnam avacanIyam kArzIH vacanIyam eva-AyuzmAn AtmAnam
   karotu āyuṣma(n)tam api bhikṣavo vakṣyanti saha dharmeṇa saha vinayena	karotu Ayuzma(-n)tam api BikzavaH vakzyanti saha DarmeNa saha vinayena
   āyuṣmān api bhikṣūṃ vadatu saha dharmeṇa saha vinayena evaṃ saṃvṛddhā	AyuzmAn api BikzUm vadatu saha DarmeNa saha vinayena evam saMvRdDA
   tasya bhagavataḥ pariṣad yadutānyonyavacanīyād anyonyāvavādād	tasya BagavataH parizad yat-uta-anyonya-vacanIyAt anyonya-avavAdAt-
   anyonyānuśāsanād anyonyāpattivyutthāpanān niḥsṛjatv āyuṣm(ā)n ātma(na)	anyonya-anuSAsanAt anyonya-apatti-vyutTApanAt niHsRjatu Ayuzm(A)n Atma(na)
   avacanīyakarmāntatāṃ	avacanIya-karmAnta-tAm
   evaṃ cet sa bhikṣur bhikṣubhir ucyamānas (ta)d eva vastu samādāya vigṛhya	evam ced sa BikzuH BikzuBiH ucyamAnaH (ta)t eva vastu samAdAya vigRhya
   tiṣṭhen na pratiniḥsṛjet sa bhikṣur bhikṣubhir yāvat trir (api)	tizWet na pratiniHsRjet sa BikzuH BikzuBiH yAvat tris (api)
   samanuśāsitavyas tasya vastunaḥ pratiniḥsargāya sa yāvat trir api	samanuSAsitavyaH tasya vastunaH pratiniHsargAya sa yAvat tris api
   samanuśiṣyamāṇas tad vastu pratiniḥsṛjed ity evaṃ kuśalaṃ no cet	samanuSizyamANaH tat vastu pratiniHsRjet iti evam kuSalam no ced-
   pratiniḥsṛjet saṃghāvaśeṣaḥ 13 //	pratiniHsRjet saMGa-avaSezaH 13 //
   uddiṣṭā mayāyuṣmantas trayodaśa saṃghāvaśeṣā dharmā nava prathamāpattayaś	uddizwAH mayA-AyuzmantaH trayodaSa saMGa-avaSezAH DarmAH nava praTama-ApattayaH-
   catvāro yāvattṛtīyakā yeṣāṃ bhikṣur anyatamānyatamaṃ dharmam āpanno	catvAraH yAvat-tRtIyakAH yezAm BikzuH anyatama-anyatamam Darmam ApannaH-
   yāvatkālaṃ jānaṃ praticchādayati tāvatkālam akāmaṃ parivastavyaṃ bhavati /	yAvatkAlam jAnam praticCAdayati tAvat-kAlam akAmam parivastavyam Bavati /
   paryuṣitaparivāsitena bhikṣuṇā uttaraṃ saṃghe ṣaḍrātraṃ mānāpyaṃ cartavyaṃ	paryuzita-parivAsitena BikzuNA uttaram saMGe zaz-rAtram mAnApyam ca-rtavyam
   bhavati cīrṇamānāpyo bhikṣur (ā)bṛhaṇāt pratibaddhaḥ kṛtānudharmo yatra	Bavati cIrNam-AnApyaH BikzuH (A)bRhaNAt pratibadDaH kRta-anuDarmaH yatra
   syād viṃśatigaṇo bhikṣusaṃghas tatra sa bhikṣur ābṛhitavya ekenāpy ūno	syAt viMSati-gaNaH Bikzu-saMGaH tatra sa BikzuH AbRhitavyaH ekena-api Uno
   viṃśatigaṇo bhikṣusaṃghas taṃ bhikṣum ābṛhyāt sa ca bhikṣur anābṛhitas te	viMSati-gaNaH Bikzu-saMGaH tam Bikzum AbRhyAt sa ca BikzuH anAbRhitaH te
   ca bhikṣavo garhyā iyaṃ tatra sāmīciḥ tatrāham āyuṣmataḥ pṛcchāmi kaccit	ca BikzavaH garhyAH iyam tatra sAmIciH tatra-aham AyuzmataH pRcCAmi kaccit-
   sthātra pariśuddhā dvir api trir api pṛcchāmi kaccit sthātra pariśuddhāḥ	sTA-atra pariSudDAH dvis api tris api pRcCAmi kaccit sTA-atra pariSudDAH
   pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etad dhārayāmi // //	pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etat DArayAmi // //
   III. aniyatau dharmau	III. aniyatO DarmO
   PrMoSū_Aniy.0:	PrMA-uSU_Aniy.0:
   imau punar āyuṣmanto dvāv aniyatau dharmāv anvardhamāsaṃ	imO punar AyuzmantaH dvO aniyatO DarmO anvarDamAsam
   prātimokṣasūtroddeśam āgacchataḥ //	prAtimokza-sUtra-uddeSam AgacCataH //
   PrMoSū_Aniy.1:	PrMA-uSU_Aniy.1:
   yaḥ punar bhikṣur mātṛgrāmeṇa sārdham ekaikena rahasi praticchanne āsane	yaH punar BikzuH mAtR-grAmeNa sArDam ekEkena rahasi praticCanne Asane
   niṣadyāṃ kalpayed alaṃ gama(n)īyena taṃ ca śrāddheyavacanopāsikā trayāṇāṃ	nizadyAm kalpayet alam gama(n)Iyena tam ca SrAdDeya-vacana-upAsikA trayANAm
   dharmāṇām anyatamānyatamena dharmeṇa vadet pārājikena vā saṃghāvaśeṣeṇa vā	DarmANAm anyatama-anyatamena DarmeNa vadet pArAjikena vA saMGa-avaSezeNa vA
   pātayantikena vā niṣadyāṃ bhikṣuḥ pratijānamānas trayāṇāṃ dharmāṇām	pAtayantikena vA nizadyAm BikzuH pratijAnamAnaH trayANAm DarmANAm
   anyatamānyatamena dharmeṇa kārayitavyaḥ pārājikena vā saṃghāvaśeṣeṇa vā	anyatama-anyatamena DarmeNa kArayitavyaH pArAjikena vA saMGa-avaSezeNa vA
   pātayantikena vā yena yena dharmeṇa vā śrāddheyavacanopāsikā taṃ bhikṣuṃ	pAtayantikena vA yena yena DarmeNa vA SrAdDeya-vacana-upAsikA tam Bikzum
   vadet tena tena sa bhikṣuḥ k(ā)rayitavyaḥ ayaṃ dharmo 'niyataḥ 1	vadet tena tena sa BikzuH k(A)rayitavyaH ayam DarmaH aniyataH 1
   PrMoSū_Aniy.2:	PrMA-uSU_Aniy.2:
   na ca rahasi praticchanne āsane niṣadyāṃ kalpayen nāla(ṃ) gamanīyena api	na ca rahasi praticCanne Asane nizadyAm kalpayet nAla(M) gamanIyena api
   tu taṃ m(ā)tṛgrāmaṃ duṣṭhulayā vācā ābhāṣeta pāpikayā asabhyayā	tu tam m(A)tR-grAmam duzWulayA vAcA ABAzeta pApikayA asaByayA
   maithunopasaṃhitayā taṃ ca śrāddheyavacanopāsikā dvayor dharmayor	mETuna-upasaMhitayA tam ca SrAdDeya-vacana-upAsikAH dvayoH DarmayoH-
   anyatamānyatamena dharmeṇa vadet saṃghāvaśeṣeṇa vā pātayantikena vā	anyatama-anyatamena DarmeNa vadet saMGa-avaSezeNa vA pAtayantikena vA
   niṣadyāṃ bhikṣuḥ pratijānamāno dvayor dharmayor anyatamānyatamena dharmeṇa	nizadyAm BikzuH pratijAnamAnaH dvayoH DarmayoH anyatama-anyatamena DarmeNa
   kārayitavyaḥ saṃghāvaśeṣeṇa vā pā(t)ayantikena vā yena yena dharmeṇa vā	kArayitavyaH saMGa-avaSezeNa vA pA(t)ayantikena vA yena yena DarmeNa vA
   śrāddheyavacanopāsikā taṃ bhikṣuṃ vadet tena tena sa bhikṣuḥ kārayitavyaḥ	SrAdDeya-vacana-upAsikA tam Bikzum vadet tena tena sa BikzuH kArayitavyaH
   ayam api dharmo 'niyataḥ 2 /	ayam api DarmaH aniyataH 2 /
   uddiṣṭau mayāyuṣma(n)to dvāv aniyatau dharmau tatrāham āyuṣmataḥ pṛcchāmi	uddizwO mayA-Ayuzma(n)taH dvO aniyatO DarmO tatra-aham AyuzmataH pRcCAmi
   kaccit sthātra pariśuddhā dvir api trir api pṛcchāmi kaccit sthātra	kaccit sTA-atra pariSudDAH dvis api tris api pRcCAmi kaccit sTAtra
   pariśuddhāḥ pariśuddhā atrāyuṣmanto (yasmā)t tūṣṇīm evam etad dhārayāmi	pariSudDAH pariSudDAH atra-AyuzmantaH (yasmA)t tUzNIm evam etat DArayAmi
   IV. niḥsargikāḥ pātayantikā dharmāḥ	IV. niHsargikAH pAtayantikAH DarmAH
   PrMoSū_NP.0:	PrMoSU_NP.0:
   ime puna(r ā)yuṣmantas triṃśan niḥsargikāḥ pātayantikā dharmā	ime puna(H A)yuzmantaH triMSat niHsargikAH pAtayantikA DarmA
   anvardhamāsaṃ prātimokṣasūtroddeśam āgacchanti //	anvarDa-mAsam prAtimokza-sUtra-uddeSam AgacCanti //
   PrMoSū_NP.1:	PrMoSU_NP.1:
   niṣṭhitacīvareṇa bhikṣuṇā uddhṛte kaṭhine daśāhaparamam atiriktaṃ cīvaraṃ	nizWita-cIvareNa BikzuNA udDRte kaWine daSa-aha-paramam atiriktam cIvaram
   dhārayitavyaṃ tata uttaraṃ dhārayen niḥsargikā pātayantikā 1	DArayitavyam tatas uttaram DArayet niHsargikA pAtayantikA 1
   PrMoSū_NP.2:	PrMoSU_NP.2:
   niṣṭhitacīvaro bhikṣur uddhṛte kaṭhine ekarātram api trayāṇāṃ cīvarāṇām	nizWita-cIvaraH BikzuH udDRte kaWine eka-rAtram api trayANAm cIvarANAm
   anyatamānyatamasmāc cīvarād vipravased anyatra saṃghasaṃmatyā niḥsargikā	anyatama-anyatamasmAt cIvarAt vipravaset anyatra saMGa-saMmatyA niHsargikA
   pātayantikā 2	pAtayantikA 2
   PrMoSū_NP.3:	PrMoSU_NP.3:
   niṣṭhitacīvarasya bhikṣor uddhṛte kaṭhine utpadyetākālacīvaram	nizWita-cIvarasya BikzoH udDRte kaWine utpadyeta-akAla-cIvaram
   āk(ā)ṃkṣamāṇena tena bhikṣuṇā pratigṛhītavyaṃ pratigṛhya sacet paripūryeta	Ak(A-a)MkzamANena tena BikzuNA pratigRhItavyam pratigRhya saced paripUryeta
   kṣipram eva kṛ(tvā) dhārayitavyaṃ no cet paripūryeta māsaparamaṃ tena	kzipram eva kR(tvA) DArayitavyam no ced paripUryeta mAsa-paramam tena
   bhikṣuṇā tac cīvaram upanikṣi(ptavyaṃ) satyā(ṃ) cīvarapratyāśāyām ūnasya	BikzuNA tat cIvaram upanikzi(ptavyan) satyA(M) cIvara-pratyASAyAm Unasya
   vā paripūryārthaṃ tata uttaram upanikṣipen niḥsargikā pātaya(n)tikā 3	vA paripUrya-arTam tatas uttaram upanikzipet niHsargikA pAtaya(n)tikA 3
   PrMoSū_NP.4:	PrMoSU_NP.4:
   yaḥ punar bhikṣur ajñātyā bhikṣuṇyā purāṇacīvaraṃ dhāvayed vā rañjayed vā	yaH punar BikzuH ajQAtyA BikzuNyA purANa-cIvaram DAvayet vA raQjayet vA
   ākoṭayed vā niḥsargikā pātayantik(ā) 4	Akowayet vA niHsargikA pAtayanti-k(A) 4
   PrMoSū_NP.5:	PrMoSU_NP.5:
   yaḥ punar bhikṣur ajñātyā bhikṣuṇyāḥ santikāc cīvaraṃ pratigṛhṇīyād	yaH punar BikzuH ajQAtyAH BikzuNyAH santikAt cIvaram pratigRhNIyAt-
   anyatra parivartakena niḥsargikā pātayantikā 5	anyatra parivartakena niHsargikA pAtayantikA 5
   PrMoSū_NP.6:	PrMoSU_NP.6:
   yaḥ punar bhikṣur ajñātiṃ gṛhapatiṃ gṛhapatipatnīṃ vā cīvaraṃ vijñāpayed	yaH punar BikzuH ajQAtim gRhapatim gRhapati-patnIm vA cIvaram vijQApayet-
   anyatra samayād abhiniṣpanne cīvare niḥsargikā pātayantikā 6 tatrā(ya)ṃ	anyatra samayAt aBinizpanne cIvare niHsargikA pAtayantikA 6 tatra-A(ya)m
   samaya ācchinnacīvaro bhikṣuḥ syān naṣṭacīvaro (v)ā dagdhacīvaro (v)ā	samayaH AcCinna-cIvaraH BikzuH syAt nazwa-cIvaraH (v)A dagDa-cIvaraH (v)A
   ūḍhacīvar(o vā ayaṃ) tatra samayaḥ	UXa-cIvar(aH vE ayaM) tatra samayaH
   PrMoSū_NP.7:	PrMoSU_NP.7:
   ācchinnacīvareṇa bhikṣuṇā naṣṭacīvareṇa vā dagdhacīvareṇa vā ūḍhacīvareṇa	AcCinna-cIvareNa BikzuNA nazwa-cIvareNa vA dagDa-cIvareNa vE UXa-cIvareNa
   vā ajñāti(ṃ g)ṛ(hapa)tiṃ gṛhapatipatnīṃ vā cīvaraṃ vijñā... (taṃ ced	vA ajQAti(m g)R(ha-pa)tim gRhapati-patnIm vA cIvaram vijQA... (tam ced-
   bhi)kṣu(ṃ) śrā(d)dh(o) gṛhapatir gṛhapatipatnī vā saṃbahulaiś cīvarai(ḥ)	Bi)kzu(M) SrA(d)D(o) gRhapatiH gRhapati-patnI vA saMbahulEH cIvarE(H)
   pravārayed ākāṃkṣamāṇena tena bhikṣuṇā sāntarottarapa(ra)ma(ṃ) tataś	pravArayet Aka-aMkzamANena tena BikzuNA sa-antara-uttara-pa(ra)ma(M) tatas-
   cīvaraṃ pratigṛhītavyaṃ tata uttaraṃ prati(gṛhṇīyān n)iḥsargikā	cIvaram pratigRhItavyam tatas uttaram prati(gRhNIyAt n)iHsargikA
   pātayantikā 7	pAtayantikA 7
   PrMoSū_NP.8:	PrMoSU_NP.8:
   bhikṣuṃ punar uddiśya ajñātinā gṛhapatinā gṛhapatipatnyā vā	Bikzum punar uddiSya ajQAtinA gRhapatinA gRhapati-patnyA vA
   cīvaracetanakāny upaskṛtāni syur ebhir ahaṃ cīvaracetanakair evaṃrūpa(m)	cIvara-cetanakAni upaskRtAni syuH eBiH aham cIvara-cetanakEH evaMrUpa(m)
   e(vaṃ)rūpaṃ cīvaraṃ cetayitvā evaṃnāmānaṃ bhikṣum ācchādayiṣyāmīti	e(vaM)rUpam cIvaram cetayitvA evaMnAmAnam Bikzum AcCAdayizyAmi-iti
   tatra cet sa bhikṣuḥ pūrva(m a)pravāritaḥ samānaḥ upasaṃkramya ajñātiṃ	tatra ced sa BikzuH pUrva(m a)pravAritaH samAnaH upasaMkramya ajQAtim
   gṛhapatiṃ gṛhapatipatnīṃ vā kaṃcid eva v(i)k(a)lp(am ā)padyann evaṃ vaded	gRhapatim gRhapati-patnIm vA kaMcid eva v(i)k(a)lp(am A)padyan evam vadet-
   yāni tāny āyuṣmatā mām uddiśya cīvaracetanakāny upaskṛtāny ebhi(ś	yAni tAni AyuzmatA mAm uddiSya cIvara-cetanakAni upaskRtAni eBi(H-
   c)īvaracetanakair evaṃrūpam eva(ṃr)ū(paṃ cīvaraṃ) cetayitvā	c)I-vara-cetanakEH evaMrUpam eva(Mr)U(pam cIvaran) cetayitvA
   (e)va(ṃ)nāmānaṃ bhikṣum ācchādayiṣyāmīti sādhv āyuṣmaṃs taiś	(e)va(n)nAmAnam Bikzum AcCAdayizyAmi-iti sADu Ayuzman tES
   cīvara(ceta)nakair evaṃrūpam evaṃrūpaṃ cīvaraṃ cetayitvā cīvareṇa mā(m	cIvara(-ceta)nakEH evaMrUpam evaMrUpam cIvaram cetayitvA cIvareNa mA(m
   ā)cchādayeti kalyāṇakāmatām upādāya abhiniṣpanne cīvare niḥsargikā	A)cCAdaya-iti kalyANa-kAma-tAm upAdAya aBinizpanne cIvare niHsargikA
   pātayantikā 8	pAtayantikA 8
   PrMoSū_NP.9:	PrMoSU_NP.9:
   bhikṣuṃ punar uddiśya dvābhyām ajñātibhyāṃ gṛhapatibhyāṃ gṛhapati	Bikzum punar uddiSya dvAByAm ajQAtiByAm gRhapatiByAm gRhapati
   patnībhyāṃ vā pratyekacīvaracetanakāny upaskṛtāni syur ebhir āvāṃ	patnIByAm vA pratyeka-cIvara-cetanakAni upaskRtAni syuH eBiH AvAm
   cīvaracetanakair evaṃrūpaṃ evaṃrūpaṃ pratyekacīvaraṃ cetayitvā evaṃnāmānaṃ	cIvara-cetanakEH evaMrUpam evaMrUpam pratyeka-cIvaram cetayitvA evaMnAmAnam
   bhikṣum ācchādayiṣyāvaḥ pratyekacīvarābhyām iti /	Bikzum AcCAdayizyAvaH pratyeka-cIvarAByAm iti /
   tatra cet sa bhikṣuḥ pūrvam apravāritaḥ samāna upasaṃkramya tau dvāv	tatra ced sa BikzuH pUrvam apravAritaH samAnaH upasaMkramya tO dvO=-
   ajñātī gṛhapatī gṛhapatipatnyau vā kaṃcid eva vikalpam āpadyann evaṃ vaded	ajQAtI gRhapatI gRhapati-patnyO vA kaMcid eva vikalpam Apadyan evam vadet-
   yāni tāny āyuṣmadbhyāṃ mām uddiśya cīvaracetanakāny upaskṛtāny ebhir āvāṃ	yAni tAni AyuzmadByAm mAm uddiSya cIvara-cetanakAni upaskRtAni eBiH AvAm
   cīvaracetanakair evaṃ(rūpam e)vaṃrūpaṃ pratyekacīvaraṃ cetayitvā	cIvara-cetanakEH evaM(rUpam e)vaMrUpam pratyeka-cIvaram cetayitvA
   evaṃnāmānaṃ bhikṣum ācchādayiṣyāvaḥ sādhv āyuṣmantau taiś cīvaracetanakair	evaMnAmAnam Bikzum AcCAdayizyAvaH sADu AyuzmantO tEH cIvara-cetanakEH-
   evaṃrūpam evaṃrūpa(ṃ) pratyekacīvaraṃ cetayitv(ā)cchādayata(ṃ) māṃ	evaMrUpam evaMrUpa(M) pratyeka-cIvaram cetayitv(A)cCAdayata(M) mAm
   cīvareṇa ubhau bhūtvaikeneti kalyāṇakāmatām upādāyābhiniṣpanne cīvare	cIvareNa uBO BUtvA-ekena-iti kalyANa-kAma-tAm upAdAya-aBinizpanne cIvare
   niḥsargik(ā pātayantikā) 9	niHsargik(A pAtayantikA) 9
   PrMoSū_NP.10:	PrMoSU_NP.10:
   bhikṣuṃ punar uddiśya rājñā vā rājamahāmātreṇa vā brāhmaṇena vā gṛhapatinā	Bikzum punar uddiSya rAjQA vA rAja-mahAmAtreNa vA brAhmaNena vA gRhapatinA
   vā dūtasya haste cīvaracetanakāni preṣitāni syuḥ sa dūtas taṃ bhikṣum	vA dUtasya haste cIvara-cetanakAni prezitAni syuH sa dUtaH tam Bikzum
   upasaṃkramyaivaṃ vaded imāni te āyuṣm(a)ṃ rājñā vā rāja(mah)ā(m)ā(tr)eṇa	upasaMkramya-evam vadet imAni te Ayuzm(a)m rAjQA vA rAja(-mah)A(m)a-A(tr)eNa
   vā brāhm(a)ṇ(e)na (vā) gṛhapati(nā vā cī)varacetanakāni preṣitāni	vA brAhm(a)N(e)naH (vA) gRhapati(nA vA cI)vara-cetanakAni prezitAni
   pratigṛhṇātv āyuṣmāṃ cīvaracetanakāny anukampām upādāya /	pratigRhNAtu AyuzmAm cIvara-cetanakAni anukampAm upAdAya /
   sa bhikṣus taṃ dūtam evaṃ vaden nāyuṣman dūta kalpante bhikṣūṇāṃ	sa BikzuH tam dUtam evam vadet na-Ayuzman dUta kalpante BikzUNAm
   cīvaracetanakāni pratigṛhītuṃ cīvaraṃ tu vayaṃ labdhvā kālena kalpikaṃ	cIvara-cetanakAni pratigRhItum cIvaram tu vayam labDvA kAlena kalpikam
   svahastaṃ pratigṛhya kṣipram eva kṛtvā dhārayāmaḥ	sva-hastam pratigRhya kzipram eva kRtvA DArayAmaH
   sa dūtas taṃ bhikṣum evaṃ vaded asty āyuṣmatāṃ kaścid vaiyyāpatyakaro yo	sa dUtaH tam Bikzum evam vadet asti AyuzmatAm kaScid vEyyApatya-karaH yaH-
   bhikṣūṇāṃ vaiyyāpatyaṃ karoti / cīvarārthikena bhikṣuṇā vaiyyāpatyakaro	BikzUNAm vEyyApatyam karoti / cIvara-arTikena BikzuNA vEyyApatya-karo
   vyapadeṣṭavya ārāmiko vā upāsako vā eṣa bhikṣūṇāṃ vaiyyāpatyaṃ karoti /	vyapadezwavyaH ArAmikaH vA upAsakaH vE eza BikzUNAm vEyyApatyam karoti /
   sa dūtas taṃ vaiyyāpatyakaram upasaṃkramyaivaṃ vaded imāny āyuṣmaṃ	sa dUtaH tam vEyyApatya-karam upasaMkramya-evam vadet imAni Ayuzmam
   vaiyyāpatyakara cīvaracetanakāni rājñā vā rājamahāmātreṇa vā brāhmaṇena vā	vEyyApatya-kara cIvara-cetanakAni rAjQA vA rAja-mahAmAtreNa vA brAhmaNena vA
   gṛhapatinā vā evaṃnāmānaṃ bhikṣum uddiśya preṣitāni sādhv āyuṣmaṃ	gRhapatinA vE evaMnAmAnam Bikzum uddiSya prezitAni sADu Ayuzmam
   vaiyyāpatyakara tvam ebhiś cīvaracetanakair evaṃrūpam evaṃrūpaṃ cīvaraṃ	vEyyApatya-kara tvam eBiH cIvara-cetanakEH evaMrUpam evaMrUpam cIvaram
   cetayitvā / sa bhikṣus tvām upasaṃkramiṣyati kālena taṃ tvam ācchādaya	cetayitvA / sa BikzuH tvAm upasaMkramizyati kAlena tam tvam AcCAdaya
   cīvareṇa kalpikeneti /	cIvareNa kalpikena-iti /
   evaṃ sa dūtas taṃ vaiyyāpatyakaraṃ sādhu ca suṣṭhu ca samanuśiṣya taṃ	evam sa dUtaH tam vEyyApatya-karam sADu ca suzWu ca samanuSizya tam
   bhikṣum upasaṃkramyaivaṃ vaded yo sāv āyuṣmatā vaiyyāpatyakaro vyapadiṣṭaḥ	Bikzum upasaMkramya-evam vadet yaH sO AyuzmatA vEyyApatya-karaH vyapadizwaH
   samanuśiṣṭaḥ sa mayā / taṃ tvam upasaṃkrama kālena ācchādayiṣyati tvāṃ	samanuSizwaH sa mayA / tam tvam upasaMkrama kAlena AcCAdayizyati tvAm
   cīvareṇa kalpikeneti /	cIvareNa kalpikena-iti /
   cīvarārthikena bhikṣuṇā vaiyyāpatyakaram upasaṃkramya dvis triś	cIvara-arTikena BikzuNA vEyyApatya-karam upasaMkramya dvis tris-
   codayitavyaḥ smārayitavyaḥ artho me vaiyyāpatyakara cīvareṇa dvis triś	codayitavyaH smArayitavyaH arTaH me vEyyApatya-kara cIvareNa dvis tris-
   codayataḥ smārayataḥ saced abhiniṣpadyeta cīvaram ity evaṃ kuśalaṃ no ced	codayataH smArayataH saced aBinizpadyeta cIvaram iti evam kuSalam no ced-
   abhiniṣpadyeta catuṣpañcaṣaṭkṛtvāparamaṃ tūṣṇīm uddeśe sthātavyaṃ tūṣṇīm	aBinizpadyeta catuzpaQca-zawkRtvA-aparamam tUzNIm uddeSe sTAtavyam tUzNIm
   uddeśe sthitasya saced abhiniṣpadyeta cīvaram ity evaṃ kuśalaṃ no ced	uddeSe sTitasya saced aBinizpadyeta cIvaram iti evam kuSalam no ced-
   abhiniṣpadyeta tata uttaraṃ vyāyameta cīvarasyābhiniṣpattaye abhiniṣpanne	aBinizpadyeta tatas uttaram vyAyameta cIvarasya-aBinizpattaye aBinizpanne
   cīvare niḥsargikā pātayantikā /	cIvare niHsargikA pAtayantikA /
   no ced abhiniṣpadyeta tena bhikṣuṇā yatas tāni cīvaracetanakāny ānītāni	no ced aBinizpadyeta tena BikzuNA yatas tAni cIvara-cetanakAni AnItAni
   tatra svayaṃ vā gantavyaṃ dūto vā preṣitavyo yāni tāny āyuṣmatā mām	tatra svayam vA gantavyam dUtaH vA prezitavyaH yAni tAni AyuzmatA mAm
   uddiśya cīvaracetanakāni preṣitāni na tāny asmākaṃ kaṃcid arthaṃ	uddiSya cIvara-cetanakAni prezitAni na tAni asmAkam kaMcid arTam
   prakurvanti prajānātv āyuṣmā(ṃ) svam arthaṃ mā te praṇaśyed iyaṃ tatra	prakurvanti prajAnAtu AyuzmA(M) svam arTam mA te praNaSyet iyam tatra
   sāmīciḥ 10 //	sAmIciH 10 //
