   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   śaktirgaṇaśa raiḥ pūrṇā sāmānyavyāpa[kābhavetu] // Paus_28.24 //	SaktiH gaNaSa rEH pUrNA sAmAnya vyApa[ka ABa vetu] // POH _28.24 //
   śaktibhāvena vai tasmādahartavyaṃ ca pāvakam /	Sakti BAvena vE tasmAt ahartavyam ca pAvakam /
   yathā gṛhī tathā[nṛbhyāṃ]virodhe nopapadyate // Paus_28.25 //	yaTA gRhI taTA a[nRByAn]viroDe na upapadyate // POH _28.25 //
   tasmātsarvapadārthānāmādeśā (?śāt )śaktirabjaja /	tasmAt sarva padArTAnAm AdeSA (?SAt )SaktiH abja ja /
   śa (?viśe )ṣaṇaṃ tu vai vahnervahnikārye hyupasthite // Paus_28.26 //	Sa (?viSe )zaNam tu vE vahneH vahni kArye hi upasTite // POH _28.26 //
   catuṣprakārāgṣaiva gīyate saptadhā punaḥ /	catuzprakAra agzA eva gIyate saptaDA punar /
   kathā kamalasaṃbhūta tavedānīṃ nigadyate // Paus_28.27 //	kaTA kamala saMBUta tava idAnIm nigadyate // POH _28.27 //
   yākṣī ca pārthivī saurī śaikhī bhrāṣṭrī tathaiva ca /	yAkzI ca pArTivI sOrI SEKI BrAzwrI taTA eva ca /
   kāpālī kamalodbhūta svatantrāgni (gne )śca taṃ (?tāṃ )vinā // Paus_28.28	kApAlI kamala udBUta svatantra agni (gne )H ca tam (?tAm )vinA // POH _28.28
   sthitirāsāṃ dvidhā vipra punareva nigadyate /	sTiti rAsAm dviDA vipra punar eva nigadyate /
   nirbījākhyā sabījā ca nirbījā tāvaducyate // Paus_28.29 //	nirbIja AKyA sa bIjA ca nirbIjA tAvat ucyate // POH _28.29 //
   bhavanī dviprakārā ca tatsthānākhyaca vai (kai )cakī /	BavanI dvi prakArA ca tad sTAna AKya ca vE (kEH )cakI /
   salo[hā]caiva pātrāṇi (?)kevalāśmamayī tathā // Paus_28.30 //	sa lo[hA] ca eva pAtrANi (?)kevala aSma mayI taTA // POH _28.30 //
   nirbījeyaṃ samākhyātā sabījā ca nigadyate /	nirbIja iyam samAKyAtA sa bIjA ca nigadyate /
   śaikhī bhrāṣṭrī ca kāpālī svatantrānalalakṣaṇā // Paus_28.31 //	SEKI BrAzwrI ca kApAlI svatantra anala lakzaNAH // POH _28.31 //
   hotrā saṃyojanī caiva yaduktaṃ te mayābjaja /	hotrA saMyojanI ca eva yat uktam te mayA abjaja /
   aviśeṣā susāmānyā sarveṣāṃ caiva sarvadā // Paus_28.32 //	aviSezA su sAmAnyA sarvezAm ca eva sarvadA // POH _28.32 //
   yadyapyabjasamudbheta tathāvaga[mitaṃ]śruṇu /	yadi api abja samudBeta taTA avaga[mitaM]SruNu /
   [viśeṣayo]nīnāmāśramāṇāṃ sthitaṃ kramāt // Paus_28.33 //	[viSeza yo]nInAm ASramANAm sTitam kramAt // POH _28.33 //
   vihitā brahmacārīṇāṃ lohapāṣāṇalakṣaṇā /	vihitAH brahmacArINAm loha pAzANa lakzaNAH /
   ādhānākhyā gṛhasthānāṃ kaicakī vanavāsinām // Paus_28.34 //	ADAna AKyA gRhasTAnAm kEcakI vana vAsinAm // POH _28.34 //
   sāvitrī ca yatīnāṃ vai tvārādhana[ratātmanām] /	sAvitrI ca yatInAm vE tu ArADana [rata Atma nAm] /
   [yukta]ṣaṭkarmasaktānāṃ bākīmanyānalakṣaṇā (?nyānalalakṣaṇā ) //	[yukta ] zawkarma saktAnAm bAkImanyAna lakzaNAH (?nya anala lakzaNAH ) //
   Paus_28.35 //	POH _28.35 //
   vihitā nayane vahneraraṇīnāṃ parasya ca /	vihitAH nayane vahneH araNInAm parasya ca /
   nṛpasya tadanujñātā sāmānyānnābhasī dvidhā // Paus_28.36 //	nRpasya tad anujQAtA sAmAnyAt na ABasI dviDA // POH _28.36 //
   tad dvayaṃ tadanujñānaṃ (?taṃ )tritaya         /	tat dvayam tad anujQAnam (?tam )tritayaH        /
   sīmanta vaiśyajāter vai trayametacca rā // Paus_28.37 //	sImanta vESya jAteH vE trayam etat ca rAH // POH _28.37 //
   śūdrasya kramasiddhyarthaṃ viśeṣāttadanujñayā /	SUdrasya krama sidDi arTam viSezAt tad anujQayA /
   dvijendrasya dvije                        // Paus_28.38 //	dvijendrasya dvije                      // POH _28.38 //
                          daśāstu vai /	                      daSAstu vE /
   dvitīyā caiva śūdrasya sa        danyasya pauṣkara // Paus_28.39 //	dvitIyA ca eva SUdrasya saH        danyasya pOzkara // POH _28.39 //
   āpatkāle tu nānyasya yacchecchūdrasya vānya         /	Apad kAle tu na anyasya yacCet SUdrasya vA anyaH        /
                                                // Paus_28.40 //	                                            // POH _28.40 //
       (atra kośacatuṣṭaye 'pi granthapātaḥ)   	   (atra koSa catuzwaye api granTa pAtaH)   
                          co virodhakṛt /	                     caH viroDa kRt /
          tathāna        metanmukhyamataḥ param // Paus_28.41 //	       taTAnaH        m etat muKyam atas param // POH _28.41 //
   tammukhya           vyutkramaṃ cālpasiddhidam /	tam muKyaH            vyutkramam ca alpa sidDi dam /
   phalabhedena sarveṣāṃ vihitā yonayo ' khilāḥ // Paus_28.42 //	Pala Bedena sarvezAm vihitAH yonayaH a KilAH // POH _28.42 //
   ekādaśābjasaṃbhūta yathā tadavadhāraya /	ekAdaSa abja saMBUta yaTA tat avaDAraya /
   ratnajā bhūmikāmānāṃ kāṃsī tejo 'rtbhināṃ tu vai // Paus_28.43 //	ratna jA BUmi kAmAnAm kAMsI tejaH artBinAm tu vE // POH _28.43 //
   gopa                     yacchatyaraṇilakṣaṇā /	gopaH                     yat Cati araNi lakzaNAH /
   vijeyā kaicakī yoniḥ sukhasaubhāgyapuṣṭidā // Paus_28.44 //	vijeyA kEcakI yoniH suKa sOBAgya puzwi dA // POH _28.44 //
   buddhivīryapradā bhūmiḥ        khyā śatrunāśinī /	budDi vIrya pradA BUmiH        KyA Satru nASinI /
   kirtitā lohapāṣāṇaśobhinī yonirabjaja // Paus_28.45 //	kirtitA loha pAzANa SoBinI yoniH abja jaH // POH _28.45 //
   dharmā        śaikhī bhrāṣṭrī bhūmipradā tu vai /	DarmA        SEKI BrAzwrI BUmi pradA tu vE /
   saṃvedayoniḥ kāpālī sthānavṛddhikarābjaja // Paus_28.46 //	saMveda yoniH kApAlI sTAna vRdDi kara abja jaH // POH _28.46 //
   rogopaśāntikāmānāṃ yonirbhūtakarī śubhā /	roga upaSAnti kAmAnAm yoniH BUta karI SuBA /
   caturṇāmāśramāṇāṃ ca manukalpe[pu roditā] // Paus_28.47 //	caturNAm ASramANAm ca manu kalpe[ pu roditA] // POH _28.47 //
   aṇḍabhā ?nnavirodho 'sti tvanyonyaharaṇe sati /	aNxaBAH ?nna viroDaH asti tu anyonya haraNe sati /
   sarveṣāṃ yonayaḥ sarvā icchākāle hyupasthitau (te ) // Paus_28.48 //	sarvezAm yonayaH sarvAH icCA kAle hi upasTitO (te ) // POH _28.48 //
   mantrārādhanasaktānāmaviruddhāḥ sadaiva hi /	mantra ArADana saktAnAm avirudDAH sadA eva hi /
   yāva        vādhikaṃ kāle mābhūtaṃ yatpurā dvija // Paus_28.49 //	yAvaH        va aDikam kAle mA aBUtam yat purA dvija // POH _28.49 //
   pramādānupaśāntaśce dyoniranyāharet punaḥ /	pramAda anupaSAntaH ce dyoniH anyA Aharet punar /
   na balāduparodhācca saṃgrahasthasya nārcanāt // Paus_28.50 //	na balAt uparoDAt ca saMgraha sTasya na arcanAt // POH _28.50 //
   saṃgṛhītasya vai bhuyaḥ prāyaścittaṃ samācaret /	saMgRhItasya vE BuyaH prAyaScittam samAcaret /
   saviśeṣaṃ prakāśe tu hyaprakāśau tu cānyathā // Paus_28.51 //	sa viSezam prakASe tu hi aprakASO tu ca anyaTA // POH _28.51 //
   iti śrīpañcarātre pauṣkarasaṃhitāyāṃ hutāśanayonivibhāgo nāma aṣṭāviṃśo	iti SrIpaQcarAtre pOzkara saMhitAyAm hutASana yoni viBAgaH nAma azwAviMSaH 
   'dhyāyāḥ ||	aDyAyAH ||
   atha ekonatriṃśo 'dhyāyaḥ	aTa ekonatriMSaH aDyAyaH
   śrībhagavānuvāca    	SrI BagavAn uvAca    
   prājāpatye daiśikīye śaiṣotthakarasaṃmite /	prAjApatye dESikIye SEza utTa kara saMmite /
   kṣetraṃ kramān nayed vṛddhiṃ tāvad ekaikam aṅgulam // Paus_29.1 //	kzetram kramAt nayet vRdDim tAvat ekEkam aFgulam // POH _29.1 //
   yāvad aṣṭakaraṃ kṣetraṃ dhiṣṇyārtham upajāyate /	yAvat azwa karam kzetram DizNya arTam upajAyate /
   evaṃ syānmānabhāvena tvekāśītyadhikaṃ śatam // Paus_29.2 //	evam syAt mAna BAvena tu ekASIti aDikam Satam // POH _29.2 //
   kuṇḍānāṃ sarva                         /	kuNxAnAm sarve                        /
   jāyate 'ṣṭaguṇaṃ saṃkhyā tvaṣṭadiksaṃsthitā śubhā // Paus_29.3 //	jAyate azwaguNam saMKyA tu azwa diS saMsTitA SuBA // POH _29.3 //
   caturaśrādibhedotthā kāmyānāṃ karmaṇāṃ dvija /	caturaSra Adi Beda utTA kAmyAnAm karmaNAm dvija /
          prakāreṇa kṣetrasāmyena vai sati // Paus_29.4 //	        prakAreNa kzetra sAmyena vE sati // POH _29.4 //
   sadratnamālāśrīvatsamukuṭāṅgadalakṣaṇāḥ /	sat ratna mAlA SrIvatsa mukuwa aFgada lakzaNAH /
   śaṅkhacakragadāpadmaśārṅganānāśaropamāḥ // Paus_29.5 //	SaFKa cakra gadA padma SArFga nAnA Sara upamAH // POH _29.5 //
   sarve sapīṭhā vihitāścatustridvayekamekhalāḥ /	sarve sa pIWAH vihitAH catur tri dvayeka meKalAH /
   cakrapadmagadāśaṅkhasamastavyastalāñchitāḥ // Paus_29.6 //	cakra padma gadA SaFKa samasta vyasta lAQCitAH // POH _29.6 //
   tathāṣṭayoninirvāhaiḥ svairaṅgairucirotthitāḥ /	taTA azwa yoni nirvAhEH svEH aFgEH ucira utTitAH /
   pratyekasvasvakavyāsadvidvidvādaśasaṃkhyayā // Paus_29.7 //	pratyeka sva svaka vyAsa dvi dvi dvAdaSa saMKyayA // POH _29.7 //
   bhāgaṃ tam aṅgulaṃ viddhi sarvāvayavasiddhaye /	BAgam tam aFgulam vidDi sarva avayava sidDaye /
   nānāsvātavaśāt caiva sarveṣāṃ punareva hi // Paus_29.8 //	nAnA svAta vaSAt ca eva sarvezAm punar eva hi // POH _29.8 //
   aprakāśaprakāśākhyaṃ bhedaṃ tu vividhaṃ smṛtam /	aprakASa prakASa AKyam Bedam tu viviDam smRtam /
   sadbhogalakṣaṇaṃ bandham anantaphalam arthinām // Paus_29.9 //	sat Boga lakzaNam banDam ananta Palam arTinAm // POH _29.9 //
             vyāsasvātāḥ samā hi yā /	          vyAsa svAtAH samAH hi yA /
   saṃprayacchati kāmānāṃ saṃpadaṃ parameśvara // Paus_29.10 //	saMprayacCati kAmAnAm saMpadam parameSvara // POH _29.10 //
   prakāśilakṣaṇanyāye teṣāṃ svāto mahāmate /	prakASi lakzaNa nyAye tezAm svAtaH mahAmate /
                                 kṣayā // Paus_29.11 //	                              kzayA // POH _29.11 //
   ādvādaśāṅgulāḥ kuṇḍāḥ karānte ye trayodaśa /	AdvAdaSa aFgulAH kuNxAH kara ante ye trayodaSa /
   sarvākṛtidharāścaiva jaṅgamā mekhalojjhitāḥ // Paus_29.12 //	sarva AkRti DarAH ca eva jaFgamAH meKalA ujJitAH // POH _29.12 //
   anukalpe tu vihitā jaṅgamā mantratarpaṇe /	anukalpe tu vihitAH jaFgamAH mantra tarpaNe /
   evaṃ dvihastaparyantāḥ mahālakṣaṇalakṣitāḥ // Paus_29.13 //	evam dvi hasta paryantAH mahA lakzaNa lakzitAH // POH _29.13 //
   bhūmāvullikhya saṃpūrya dhānyairbījairmṛdā tu vā /	BUmO= ulliKya saMpUrya DAnyEH bIjEH mRdA tu vA /
   sāmagrīvirahād vāpi śaśvatkarmasamāptaye // Paus_29.14 //	sAmagrI virahAt vA api SaSvat karma samAptaye // POH _29.14 //
   anukalpānukalpe tu nityam evāvirodhakṛt /	anukalpa anukalpe tu nityam eva aviroDa kRt /
   tvaganvitaiḥ samaiḥ pūrṇaiḥ sarasaiḥ saralaiḥ sthiraiḥ // Paus_29.15 //	tvac anvitEH samEH pUrNEH sarasEH saralEH sTirEH // POH _29.15 //
   dalīkṛtaistu                       /	dalIkRtEH tu                      /
          kāṣṭaiḥ        kāryātra vai purī // Paus_29.16 //	       ka azwEH        kArya atra vE purI // POH _29.16 //
   dvādaśāṅgulapūrvāṇāṃ dhātūtthānām api dvija /	dvAdaSa aFgula pUrvANAm DAtu utTAnAm api dvija /
   vidheyā havyapūritve calānām evameva hi // Paus_29.17 //	viDeyAH havya pUri tve calAnAm evam eva hi // POH _29.17 //
   nākuṇḍaṃ havanaṃ yasmātsiddhikṛnmantrājinām /	na akuNxam havanam yasmAt sidDi kRt mantra ajinAm /
   tasmātkuṇḍaṃ sadā kāryaṃ sautraṃ vā jaṅgamaṃ sthiram // Paus_29.18 //	tasmAt kuNxam sadA kAryam sOtram vA jaFgamam sTiram // POH _29.18 //
   havyabhūmerviśeṣācca pīte tu dviguṇocchrite /	havya BUmeH viSezAt ca pIte tu dviguNa ucCrite /
   tat tad dvicaturaśraṃ tu vyaṣṭāśraṃ parimaṇḍalam // Paus_29.19 //	tat tat dvi caturaSram tu vyazwa ASram parimaNxalam // POH _29.19 //
          ṣaṣṭhāṃśadviṣaṭkāṃśena connatam /	       zazWa aMSa dvizawka aMSena ca unnatam /
   āpādya svātamānaṃ prāgyathābhimatam ucchritam // Paus_29.20 //	ApAdya svAtamAnam prAk yaTA aBimatam ucCritam // POH _29.20 //
   iṣṭakābhiv apakvābhiḥ pakvābhirvā yathāruci /	izwakA aBiv apakvABiH pakvABiH vA yaTAruci /
                                 hitam anyadā // Paus_29.21 //	                              hitam anyadA // POH _29.21 //
   kuryādvātha samāstulyā teṣvaṃśaṃ        syataḥ kṣitaḥ /	kuryAt vA aTa samAH tulyA tezu aMSam        syataH kzitaH /
   dvayaṅgulenādhikaṃ jātaṃ vāsād vāsāṃ yathā bhavet // Paus_29.22 //	dvayaFgulena aDikam jAtam vAsAt vAsAm yaTA Bavet // POH _29.22 //
   prāṅmekhalānanāt deśāt tattadvā pattadu         /	prAk meKalA AnanAt deSAt tat tat vA pattadu        /
                 dupremā        vaneḥ purā // Paus_29.23 //	              du premA        vaneH purA // POH _29.23 //
   tribhāgonam athārdhaṃ ca nemimānasitātmanā /	tri BAga Unam aTa arDam ca nemi mAnasita AtmanA /
   kuṇḍānāṃ tattvato mānād avasthānaṃ dvādaśānāṃ mahāmate // Paus_29.24 //	kuNxAnAm tattvataH mAnAt avasTAnam dvAdaSAnAm mahAmate // POH _29.24 //
   dvādaśāṅgulaniṣṭhānāṃ dvādaśānāṃ kadācana /	dvAdaSa aFgula nizWAnAm dvAdaSAnAm kadAcana /
   saṃvibhajya caturdhātra tridhā vāmalalocana // Paus_29.25 //	saMviBajya caturDA atra triDA vA amala locanaH // POH _29.25 //
   tanmānam atha nemīnām ucchritā vistṛterapi /	tat mAnam aTa nemInAm ucCritAH vistRteH api /
   tatsamā sarvadā yone[ḥkār]yeṇa pṛṣṭataḥkṛteḥ // Paus_29.26 //	tad samA sarvadA yone[H kAr]yeNa pRzwataHkRteH // POH _29.26 //
   kintu vdyaṅgulamānena pronnatā pṛṣṭhato 'vadheḥ /	kintu vdI aFgula mAnena pronnatA pRzWatas avaDeH /
   hlāsayed anupātena tvaṃtu nemya        kramāt // Paus_29.27 //	hlAsayet anupAtena tvaMtu nemya        kramAt // POH _29.27 //
   svāṅgulāṃśca tṛtīyāṃśādulbaṇatvena sarvadā /	sva aFgulAn= ca tRtIya aMSAt ulbaNa tvena sarvadA /
   vistṛtā mekhalāmānāt pādonāt kamalodbhava // Paus_29.28 //	vistRtA meKalA mAnAt pAda UnAt kamalodBavaH // POH _29.28 //
   vidheyātha tribhāgena tadagraṃ saṃprasārya ca /	viDeya aTa tri BAgena tad agram saMprasArya ca /
                                dya mekhalā // Paus_29.29 //	                             dya meKalA // POH _29.29 //
                           bimbaprāṇapraṇālavat /	                        bimba prANa praNAla vat /
   taṃ yoniṃ vṛddhinirvāhaṃ koṣṭhāniṣṭhāvidhiṃ kramāt // Paus_29.30 //	tam yonim vRdDi nirvAham kozWa anizWA viDim kramAt // POH _29.30 //
   samāpādyānupātena samaṃ ślakṣṇaṃ gajoṣṭhavat /	samApAdya anupAtena samam SlakzNam gaja uzWa vat /
   samāśritya svakaṃ ?mūrtiṃ vicitrāṃ guṇalakṣaṇām // Paus_29.31 //	samASritya svakam ?mUrtim vicitrAm guNa lakzaNAm // POH _29.31 //
   nirvahanti niśaṃ bodhapravāhenā           nādinā /	nirvahanti niSam boDa pravAhenA           nAdinA /
   puṃsamudre tvagādhe tu sa           kṣālanāśraye // Paus_29.32 //	puMsamudre tu agADe tu saH           kzAlana ASraye // POH _29.32 //
   niśamya yoniṃ           vyomni raja         /	niSamya yonim           vyomni rajaH        /
   dvābhyāṃ guṇābhyāṃ tamaso dvinemivinittatāt // Paus_29.33 //	dvAByAm guNAByAm tamasaH dvi nemi vinitta tAt // POH _29.33 //
   guṇasyābhibhavādeva           kaṃ vatsatvamekhalam /	guNasya aBiBavAt eva           kam vatsa tva meKalam /
   yadamūrtaṃ paraṃ brahma tad viddhi nabhaso gatam // Paus_29.34 //	yat amUrtam param brahma tat vidDi naBasaH gatam // POH _29.34 //
   sacaturmekhale dhiṣṇye mekhalāsaṃ catasṛṣu /	sa catur meKale DizNye meKalAsam catasRzu /
   caturātmānam avyaktaṃ tatra prāk paridheḥ svayam // Paus_29.35 //	catur AtmAnam avyaktam tatra prAk pariDeH svayam // POH _29.35 //
   samaḥ saṃpūrṇamūrtīnāṃ mamā       mokṣajam /	samaH saMpUrNa mUrtInAm mama a       mokza jam /
   guṇadvayadvayātmānam acyutādyaṃ kramāt trayam // Paus_29.36 //	guNa dvaya dvaya AtmAnam acyuta Adyam kramAt trayam // POH _29.36 //
                        sā yoniḥ sarvakarmaṇām /	                     sA yoniH sarva karmaNAm /
   yatpravāhāśritaṃ karma brahmaṇyekātmatāṃ vrajet // Paus_29.37 //	yat pravAha ASritam karma brahmaNi eka Atma tAm vrajet // POH _29.37 //
   vistīrṇānantayonīnāṃ dūrato vana?mūrtinām /	vistIrNa ananta yonInAm dUratas vana?mUrtinAm /
   kuṇḍanāmitimārī ?          pūvravat // Paus_29.38 //	kuNxanAmi timArI ?          pUvra vat // POH _29.38 //
   vidheyā vitatāścāṅgī       susthiravartirā /	viDeyAH vitatAH ca aFgI       susTira vartirAH /
   palvastanagarbheṇa tamūrdhakṣaṇam āsapātayet ? // Paus_29.39 //	palva stana garBeNa tam UrDakzaNam AsapAtayet ? // POH _29.39 //
   yoniścalasto 'nyeṣām udyatānāṃ         /	yoniH calastaH anyezAm udyatAnAm        /
                 vitatā kāryā susthitā darpaṇodarā // Paus_29.40 //	              vitatA kAryA susTitA darpaNa udarAH // POH _29.40 //
   MS. ka reads after 38ab:	MS. kaH readH afteH 38ab:
     kuṇḍalānāmami                pūrvavat /	  kuNxalAnAm ami                pUrvavat /
   vidheyā vitatāṅgī susthiravarti         /	viDeyA vitata aFgI susTira varti        /
          darbheṇa                        /	       darBeNa                       /
   yoniścalarato 'nyeṣāmudyatānā         /	yoniH cala rataH anyezAm udyatAnAH        /
                 vitatā kāryā susthitā darpaṇodarā /	              vitatA kAryA susTitA darpaNa udarA /
   saṃkocaḥ kuṇḍanemīnāmanukāle tvataḥ śṛṇu /	saMkocaH kuNxanemInAm anukAle tu atas SRNu /
   caturbhāgā tuṣā ?viprahyuttamādivyapekṣayā /	catur BAgA tuzAH ?viprahyuttama Adi vyapekzayA /
   karā                      hyaṅgulaiḥ pañcabhirvinā /	karAH                      hi aFgulEH paQcaBiH vinA /
   satatapyāsamānānāṃ nānākāravadātmanām /	satata pyAsamAnAnAm nAnA AkAra vat AtmanAm /
   vistārāyāmatulyāṃ ca                /	vistAra AyAma tulyAm ca               /
                 mekaikamaṅgulānana ? /	              m ekEkam aFgula AnanaH ? /
   bandhayedvikalānyeti sākṣi                 /	banDayet vikalAnyeti sAkzi                /
   tuṅgadva                            /	tuFgadvaH                           /
   dvihastamūrghato 'nyeṣāṃ tatsamaṃ tu bhavecchatam /	dvi hasta mUrGataH anyezAm tad samam tu Bavet Satam /
   evaṃ vicārya ca purā deśakālavaśādikam /	evam vicArya ca purA deSa kAla vaSa Adikam /
   svasāmarthyaṃ tato vyūhasūtrapātaṃ sa         /	sva sAmarTyam tatas vyUha sUtra pAtam saH        /
          samakṣaṃ ca ci        yādiṣṭakādikaiḥ /	       samakzam ca ci        yAdizwaka AdikEH /
                  pīḍhānāmūrdhvato 'bjaja /	               pIXAnAm UrDvatas abja ja /
   khāto 'ṣṭamekhalānāṃ ca coniḥ pīḍhasya pauṣkara /	KAtaH azwa meKalAnAm ca ca UniH pIXasya pOzkara /
   saṃkocaḥ kuṇḍanebhīnām anukāle tvataḥ śṛṇu /	saMkocaH kuNxaneBInAm anukAle tu atas SRNu /
   caturbhāgā tu ṣā (?sā )vipra hyuttamādivyapekṣayā // Paus_29.41 //	catur BAgA tu zA (?sA )vipra hi uttama Adi vyapekzayA // POH _29.41 //
   karāyassa (?ntaḥ sa )mitaṃ mānam ekaikānāṅgulena vā /	karAyassa (?ntaH sa )mitam mAnam ekEkAna aFgulena vA /
   vardhayet dvikarā               nyeti sākṣitaḥ // Paus_29.42 //	varDayet dvi karA               nyA iti sAkzitaH // POH _29.42 //
   sarvadik karamānāścāpyaṅgulaiḥ pañcabhirvinā /	sarva diS karamAnAH ca api aFgulEH paQcaBiH vinA /
   satatavyāsamānānāṃ nānākāravad ātmanām // Paus_29.43 //	satata vyAsamAnAnAm nAnA AkAra vat AtmanAm // POH _29.43 //
   vistārāyām atulyānāṃ dhiṣṇyānāṃ mekhalāsu ca /	vistArAyAm atulyAnAm DizNyAnAm meKalAsu ca /
          satuṅgadva          sarvamūrdhe navonnati // Paus_29.44 //	       sa tuFgat va           sarva mUrDe nava unnati // POH _29.44 //
   dvihastā mūrdhato 'nyeṣāṃ tatsamaṃ tu bhavecchatam /	dvi hastAH mUrDataH anyezAm tad samam tu Bavet Satam /
   evaṃ vicārya ca purā deśakālavaśādikam // Paus_29.45 //	evam vicArya ca purA deSa kAla vaSa Adikam // POH _29.45 //
   svasāmarthyaṃ tato vyūhastatra pātaṃ sasiri ?    /	sva sAmarTyam tatas vyUhaH tatra pAtam sa siri ?   /
          śilpisamakṣaṃ ca cinva (?nu )yād iṣṭakādikaiḥ // Paus_29.46 //	       Silpi samakzam ca cinva (?nu )yAt izwakA AdikEH // POH _29.46 //
   savṛttāṣṭāśraturyāntrī (?śri )pīṭhānām ūrdhvato 'bjaja /	sa vRtta azwa aSratuH yAntrI (?Sri )pIWAnAm UrDvatas abja ja /
   khāto 'ṣṭamekhalānāṃ ca coniḥ pīṭhasya pauṣkara // Paus_29.47 //	KAtaH azwa meKalAnAm ca ca UniH pIWasya pOzkara // POH _29.47 //
   kṣayavṛddha        pratyāyya drumanasvayam /	kzaya vRdDaH        pratyAyya drumana svayam /
   vilāpyanta        jñānasaṃśuddhayā dhiyā // Paus_29.48 //	vilApyante        jQAna saMSudDayA DiyA // POH _29.48 //
   dviśobhātmanā sve        tuṣṭyarthaṃ sāṃprataṃ nayet /	dvi SoBA AtmanA sve        tuzwi arTam sAMpratam nayet /
   bhagavad vahniśaktervai jvālādyā prakṛtiḥ parā // Paus_29.49 //	Bagavat vahni SakteH vE jvAlA AdyA prakRtiH parA // POH _29.49 //
   aparā prakṛtadhiṣṇyānāṃ nānākāraṃ yathānalāt /	aparA prakRta DizNyAnAm nAnA AkAram yaTA analAt /
   etad evāgnirūpā(?paṃ )vai kuṇḍabhāvānni (?gāgni )karmaṇi // Paus_29.50 //	etat eva agni rUpA(?pam )vE kuNxa BAvAt ni (?gAgni )karmaNi // POH _29.50 //
   kā               vihitā vibhorviprānanasya ca /	kA                vihitAH viBoH vipra Ananasya ca /
   havyaṃ yat patite kuṇḍe dīyamānaṃ hi deśikāt // Paus_29.51 //	havyam yat patite kuNxe dIyamAnam hi deSikAt // POH _29.51 //
   sarvaṃ siddhidam agnervai hutaṃ yad dahate 'khilam /	sarvam sidDi dam agneH vE hutam yat dahate aKilam /
   purastāt        samyak kramāllabdhaṃ balaṃ svayam // Paus_29.52 //	purastAt         samyak kramAt labDam balam svayam // POH _29.52 //
   koṭilakṣāyutaguṇaṃ dravyaṃ yad vihitaṃ hutam /	kowi lakza ayuta guNam dravyam yat vihitam hutam /
   vidhūme lelihāne 'gnau sve        svaśayāśrite // Paus_29.53 //	viDUme lelihAne agnO sve        svaSaya ASrite // POH _29.53 //
   sahastraśatasaṃkhyaṃ ca juhuyād dravyasaṃgraham /	sa hastra Sata saMKyam ca juhuyAt dravya saMgraham /
   daṇḍakṛd dvikapakṣaṃ ca[yan]nirvāhakam akṣayam // Paus_29.54 //	daNxa kRt dvika pakzam ca[yan] nirvAhakam akzayam // POH _29.54 //
   dhārāvāhi tato 'nyeṣā                /	DArAvAhi tatas anyezAH               /
   putra yuktyāmbarasthaṃ ca mantrabrahmāmbujopari // Paus_29.55 //	putra yuktyA ambara sTam ca mantra brahma ambuja upari // POH _29.55 //
   mukhyakalpo vilupte tu        yuktam athābjaja /	muKya kalpaH vilupte tu         yuktam aTa abja ja /
   kuṇḍānāṃ vitatānāṃ ca vaṃśavīryādikaṃ ca yat // Paus_29.56 //	kuNxAnAm vitatAnAm ca vaMSa vIrya Adikam ca yat // POH _29.56 //
                              tatonnatiḥ /	                           tatA unnatiH /
   kamalālayagarbhaṃ tu tāmram āyasajaṃ tu vā // Paus_29.57 //	kamalAlaya garBam tu tAmram Ayasa jam tu vA // POH _29.57 //
   dharmānyo(?nto )dvahanaṃ yena na sveva (?sve na )yati bhūtalam /	DarmAn yo(?ntaH )dvahanam yena na su a iva (?sve na )yati BU talam /
   saṃskārasaṃskṛtaṃ kuryāt kuṇḍaṃ tadanu tannyaset // Paus_29.58 //	saMskAra saMskRtam kuryAt kuNxam tadanu tat nyaset // POH _29.58 //
                       tatrāgniṃ janayitvāvatārya ca /	                    tatra agnim janayitvA avatArya ca /
   ājyadohaistu bahubhiḥ mantrasantarpaṇāya ca // Paus_29.59 //	Ajya dohEH tu bahuBiH mantra santarpaNAya ca // POH _29.59 //
   vahnevo (?ro )ṅkāravegena rasatā sūpari dvija /	vahnevaH (?raH )FkAra vegena rasa tA su upari dvija /
   pātayed ājyadohaṃ drāk madhye mantrātmano vibhoḥ // Paus_29.60 //	pAtayet Ajya doham drAk maDye mantra AtmanaH viBoH // POH _29.60 //
   mokṣabhogāptaye caivaṃ brahmarandhramukhe kramāt /	mokza Boga Aptaye ca evam brahmaranDra muKe kramAt /
   yathāgandhavanopetaṃ saṃpūrṇaṃ ca samaprabham // Paus_29.61 //	yaTAganDa vana upetam saMpUrNam ca sama praBam // POH _29.61 //
   kṛtvā tu mantranāthasya brahman arcanasaṃyutam /	kRtvA tu mantra nATasya brahman arcana saMyutam /
   savyūhavyāṅgasaṃyuktaṃ lāñchanasyāvṛtasya ca // Paus_29.62 //	sa vyUhavyAFga saMyuktam lAQCanasya AvRtasya ca // POH _29.62 //
   kuryāllabdhādhikāro 'tha sevārtham ayutādikam /	kuryAt labDa aDikAraH aTa sevA arTam ayuta Adikam /
   japam ārabdhamantrasya brahmapūrvam atandritaḥ // Paus_29.63 //	japam ArabDa mantrasya brahma pUrvam atandritaH // POH _29.63 //
