   | śrīḥ |	| SrIH |
   vyañjanaśaktinirvartyasya prayojanasya lakṣaṇāphalatvam | nīlaviṣayasya	vyaQjana-Sakti-nirvartyasya prayojanasya lakzaNa-aPala-tvam | nIla-vizayasya
   pramāṇasya yathā nīlaniṣṭhaiva prakaṭatā saṃvid vā phalam tadval	pramANasya yaTA nIla-nizWA-eva prakawa-tA saMvid vA Palam tad-val
   lakṣaṇāyās tadviṣayaniṣṭham eva prayojanam | tena	lakzaNAyAH tad-vizaya-nizWam eva prayojanam | tena
   dharmadharmibhāvaparikalpakaṃ nopayujyate vyāpārāntaram | tena siddham	Darma-Darmi-BAva-parikalpakam na-upayujyate vyApAra-antaram | tena sidDam
   etal lakṣaṇāyā atirikto vyāpāraḥ samāśraṇīyaḥ ||	etat lakzaNAyAH atiriktaH vyApAraH samASraNIyaH ||
        nirūḍhā kācanānyā tu kāryā sā kācid anyathā |	nirUXA kAcanA-anyA tu kAryA sA kAcid anyaTA |
   anulomapratikūlādiśabdeṣu kācana sā vācyam arthaṃ parihṛtya lakṣya evārthe	anuloma-pratikUla-Adi-Sabdezu kAcana sA vAcyam arTam parihRtya lakzyaH eva-arTe
   vācakavan nirūḍhā | aparā tu mukhyārthabādhanimittaprayojaneṣu satsu	vAcaka-vat nirUXA | aparA tu muKya-arTa-bADa-nimitta-prayojanezu satsu
   kartavyā |	kartavyA |
             raviṇā hṛtasaubhāgyas tuṣārāvṛttamaṇḍalaḥ |	raviNA hRta-sOBAgyaH tuzArA-vRtta-maNxalaH |
             niśvāsāndha ivādarśaś candramā na prakāśate ||	niSvAsa-anDaH iva-AdarSaH candramAH na prakASate ||
   ityādāv andhādiśabdeṣu anupapadyamānatvād vācyam atyantatiraskṛtam iti	iti-AdO anDa-Adi-Sabdezu anupapadyamAna-tvAt vAcyam atyanta-tiraskRtam iti
   vicchāyatvasya lakṣitasyāsāmānyatvaṃ vyaṅgyam | tathā --	vicCAya-tvasya lakzitasya-asAmAnya-tvam vyaFgyam | taTA --
             sa puruṣaḥ sa ca jīvati satkṛtaṃ	sa puruzaH sa ca jIvati satkRtam
        jagati yasya parākramasambhṛtam |	jagati yasya parAkrama-samBRtam |
             bhramati sūryakaraiḥ saha gām imām	Bramati sUrya-karEH saha gAm imAm
        abhinavoditapallavitaṃ yaśaḥ ||	aBinava-udita-pallavitam yaSaH ||
   ityādau puruṣaśabdo 'nupayujyamānatvāl	ityAdO puruza-SabdaH anupayujyamAna-tvAl
   lakṣitasvagataparākramavattvādidharmavyaṅgyatadānantyasaṅkramitavācyaḥ |	lakzita-svagata-parAkramavat-tva-Adi-Darma-vyaFgya-tat-Anantya-saFkramita-vAcyaH |
   rephadvayānugatabhramarādiśabdābhidheyatve dvirephaśabdaḥ ṣaṭpade yathā	rePa-dvaya-anugata-Bramara-Adi-Sabda-aBiDeya-tve dvirePa-SabdaH zawpade yaTA
   prayujyate tathā kokilādau dvika ityādikā anyathā na prayojyāḥ |	prayujyate taTA kokila-AdO dvikaH iti-AdikAH anyaTA na prayojyAH |
        uktānvaye ca sā paścāt	ukta-anvaye ca sA paScAt-
   ihānantyād vyabhicārāc ca vākyasya vākyārtha iva viśeṣarūpe padārthe	iha-AnantyAt vyaBicArAt ca vAkyasya vAkya-arTaH iva viSeza-rUpe padArTe
   padasya saṅketaḥ kartuṃ na pāryate iti sāmānya eva saṅketaḥ |	padasya saFketaH kartum na pAryate iti sAmAnyaH eva saFketaH |
   ākāṅkṣāsannidhiyogyatāvaśāt sāmānyānām abhihitānāṃ satām anvaya iti	AkAFkzA-sanniDi-yogya-tA-vaSAt sAmAnyAnAm aBihitAnAm satAm anvayaH iti
   padārthānāṃ vaiśiṣṭyam | evaṃ cāpadārtho 'pi vākyārthas tātparyaśaktyā	padArTAnAm vESizwyam | evam ca-apadArTaH api vAkya-arTaH tAtparya-SaktyA
   pratipādyate | atra pakṣe pūrvam abhidhā tato 'nvayabādhe lakṣaṇā |	pratipAdyate | atra pakze pUrvam aBiDA tatas anvaya-bADe lakzaNA |
                   anvitoktau punaḥ puraḥ || 5 ||	anvita-uktO punar puras || 5 ||
   devadatta gām ānayetyady uttamavṛddhavākyaśravaṇān madhyamavṛddhau	devadatta gAm Anaya-ityadi uttama-vRdDa-vAkya-SravaNAt maDyama-vRdDO
   viśiṣṭaṃ vyāpāraṃ karotīti dṛṣṭvā vyutpādyamāno nirvibhāge 'rthe	viSizwam vyApAram karoti-iti dRzwvA vyutpAdyamAnaH nirviBAge arTe
   nirvibhāgaṃ vākyaṃ vācakaṃ jānāti | tato yajñadatta gām	nirviBAgam vAkyam vAcakam jAnAti | tatas yajQadatta gAm
   ānayetyādivākyāntaraprayoge sati anvayavyatirekābhyāṃ niyatasya	Anaya-ityAdi-vAkya-antara-prayoge sati anvaya-vyatirekAByAm niyatasya
   niyatārtham avasyatīti sāmānyāvacchādite viśiṣṭa eva padārthe padānāṃ	niyata-arTam avasyati-iti sAmAnya-avacCAdite viSizwaH eva padArTe padAnAm
   saṅketa ity anvitānām eva satām abhidhānam iti viśiṣṭānāṃ padārthatā |	saFketa iti anvitAnAm eva satAm aBiDAnam iti viSizwAnAm padArTa-tA |
   atra pakṣe abhidhāyāḥ pura ādau lakṣaṇā, viśiṣṭasyaiva padārthatvāt |	atra pakze aBiDAyAH puras AdO lakzaNA, viSizwasya-eva padArTa-tvAt |
        dvaye dvayam	dvaye dvayam
             padāpekṣayābhihitānvayaḥ vākyāpekṣayā tv anvitābhidhānam iti	pada-apekzayA-aBihita-anvayaH vAkya-apekzayA tu anvita-aBiDAnam iti
   dvayapakṣe dvayam | abhidhāyāḥ paścāt purastāc ca sā |	dvaya-pakze dvayam | aBiDAyAH paScAt purastAt ca sA |
             akhaṇḍe tu vākyārthe nāsti satyataḥ |	aKaNxe tu vAkya-arTe na-asti satyataH |
             vākyam eva vākyārthasya vācakam | padeṣu varṇavad vākyeṣu hi	vAkyam eva vAkya-arTasya vAcakam | padezu varNa-vat vAkyezu hi
   padānām anarthakatvam | tataś ca lakṣaṇā nāsty eva | kaśābhidhānāt	padAnAm anarTaka-tvam | tatas ca lakzaNA na-asti eva | kaSA-aBiDAnAt-
   turagasya yathā preṣito 'ham anena dhāvana iti pratibhodeti tadvat	turagasya yaTA prezitaH aham anena DAvanaH iti pratiBodA-iti tadvat-
   pratibhāvaśād viśiṣtavākyāt pratipattir iti saiva vākyārthaḥ |	pratiBA-vaSAt viSizta-vAkyAt pratipattiH iti sA-eva vAkya-arTaH |
   asatyabhūtaprakṛtipratyayādikalpanavad avidyāpade padārthakalpanāyāṃ	asatya-BUta-prakRti-pratyaya-Adi-kalpana-vat avidyA-pade padArTa-kalpanAyAm
   tūkteṣu pakṣeṣu trayaḥ pakṣāḥ |	tu-uktezu pakzezu trayaH pakzAH |
             yaś ca sambandho lakṣaṇāyā nimittaṃ taṃ pañcavidham āhuḥ |	yaH ca sambanDaH lakzaNAyAH nimittam tam paQcaviDam AhuH |
   yathoktaṃ	yaTA-uktam
             abhidheyena sambandhāt sādṛśyāt samavāyataḥ |	aBiDeyena sambanDAt sAdRSyAt samavAyataH |
             vaiparītyāt kriyāyogāl lakṣaṇā pañcadhā matā || iti |	vEparItyAt kriyA-yogAt lakzaNA paQcaDA matAH || iti |
   tatra dvirephādiśabdasya bhramarādiḥ śabdo 'bhidheyaḥ | tatsambandhāt tena	tatra dvirePa-Adi-Sabdasya Bramara-AdiH SabdaH aBiDeyaH | tad-sambanDAt tena
   ṣaṭpado lakṣyate iti abhidheyasambandhanimittatā |	zawpadaH lakzyate iti aBiDeya-sambanDa-nimitta-tA |
             sādṛśyād yathā siṃho māṇavaka iti | yathā vā --	sAdRSyAt yaTA siMhaH mANavakaH iti | yaTA vA --
             varṣe samasta evaikaḥ ślāghyaḥ ko 'py eṣa vāsaraḥ |	varze samastaH eva-ekaH SlAGyaH kaH api eza vAsaraH |
             dinair mahattayānveyo yo na pūrvair na cāparaiḥ ||	dinEH mahat-tayA-anveyaH yaH na pUrvEH na ca-aparEH ||
             atra prakaraṇavaśād mahāpuruṣaḥ kaścil lakṣyate yasya kule pūrve	atra prakaraNa-vaSAt mahApuruzaH kaScid lakzyate yasya kule pUrve
   bhāvino vā puruṣā na samānatvam upayānti | samavāyaḥ uktasambandhebhyo	BAvinaH vA puruzAH na samAna-tvam upayAnti | samavAyaH ukta-sambanDeByaH-
   'nyaḥ sambandhaḥ | tato yathā [khaṇḍitaṃ pustakam atra] | sāmīpyād	anyaH sambanDaH | tatas yaTA [KaNxitam pustakam atra] | sAmIpyAt-
   gaṅgāyāṃ ghoṣa iti | sāhacaryāt chatriṇo yāntīti | atra hi	gaFgAyAm GozaH iti | sAhacaryAt CatriNaH yAnti-iti | atra hi
   chatrisāhacaryād achatrā apy evaṃ vyapadiśyante | vaiparītyād yathā kātare	Catri-sAhacaryAt aCatrAH api evam vyapadiSyante | vEparItyAt yaTA kAtare
   bhārgava iti | kriyāyogād yathā	BArgavaH iti | kriyA-yogAt yaTA
             pṛthur asi guṇaiḥ kīrtyā rāmo nalo bharato bhavān	pRTuH asi guNEH kIrtyA rAmaH nalaH BarataH BavAn
             mahati samara śatrughnas tvaṃ tathā janakaḥ sthiteḥ |	mahati samara SatruGnaH tvam taTA janakaH sTiteH |
             iti sucaritair mūrtiṃ bibhrat purātanabhūbhṛtāṃ	iti su-caritEH mUrtim biBrat purAtana-BUBRtAm
             katham asi na māṃdhātā deva trilokavijayy api ||	kaTam asi na mAMDAtA deva triloka-vijayI api ||
   atrāśatrughne 'pi śatruhananakriyāyogāc chatrughnatvena vyapadeśaḥ |	atra-aSatruGne api Satru-hanana-kriyA-yogAt SatruGna-tvena vyapadeSaH |
        prajñānairmalyavaidagdhyaprastāvādividhāyujaḥ |	prajQAnEH-malya-vEdagDya-prastAva-Adi-viDAyu-jaH |
        abhidhālakṣaṇayogī vyaṅgyo 'rthaḥ prathito dhvaneḥ || 6 ||	aBiDA-lakzaNa-yogI vyaFgyaH arTaH praTitaH DvaneH || 6 ||
   yathā saṃketena mukhyārthabādhāditritayena ca sahāyenābhidhāyako lakṣakaś	yaTA saMketena muKya-arTa-bADa-Adi-tritayena ca sahAyena-aBiDAyakaH lakzakaH-
   ca yathā vā pakṣadharmānvayavyatirekasahagato vivakṣāyā anumāpakaḥ tathā	ca yaTA vA pakza-Darma-anvaya-vyatireka-sahagataH vivakzAyAH anumApakaH taTA
   pratibhānair malyavidagdhaparicayaprakaraṇādijñānasāpekṣo vācako lakṣyakaś	pratiBAnEH malya-vidagDa-paricaya-prakaraNa-Adi-jQAna-sApekzaH vAcakaH lakzyakaH-
   ca vyaṅgyam arthaṃ dhvaniśabdo vyanakti | tatra vyaṅgyaḥ	ca vyaFgyam arTam Dvani-SabdaH vyanakti | tatra vyaFgyaH
   padaprakāśyo yathā	pada-prakASyaH yaTA
             vāṇiaa hatthidantā kutto ahmāṇaṃ vagghakattīa |	vANiaa hatTi-dantA kuttas ahmANam vaghakattIa |
             jāva luliālaamuhī gharammi parisakkae suṇhā ||	jAva luliAlaa-muhI Garammi parisakkae suNhA ||
   [vāṇijaka hastidantā kuto 'smākaṃ vyāghrakṛtayaś ca |	[vANijaka hastidantA kutas asmAkam vyAGra-kRtayaH ca |
   yāval lulitālakamukhī gṛhe parisaṃkrāmati snuṣā ||]	yAvat lulita-alaka-muKI gRhe parisaMkrAmati snuzA ||]
   vākyaprakāśyo yathā --	vAkya-prakASyaH yaTA --
             attā ettha ṇimajjai ettha ahaṃ diasaaḥ paloehi |	attA etTa NimajjEH etTa aham diasaaH palaH-ehi |
             mā pahia rattiandhaa sejjāe maha ṇimajjahisi ||  	mA pahia rattianDaa sejjAe maha Nimajja-hisi ||
             [śvaśrur atra nimajjati atrāhaṃ divasake pralokya |	[SvaSruH atra nimajjati atra-aham divasake pralokya |
             mā pathika rātryandha śayyāyām āvayor nimaṅkṣyasi || ]	mA paTika rAtrI-anDa SayyAyAm AvayoH nimaFkzyasi || ]
   atrābhidhānamūlaṃ vyañjanam | lakṣaṇāmūlaṃ yathā -- niśvāsāndha ivādarśa	atra-aBiDAna-mUlam vyaQjanam | lakzaNA-mUlam yaTA - niSvAsa-anDaH iva-AdarSa
   ity udāhṛtam |	iti udAhRtam |
   sa eva guṇabhūtaḥ padaprakāśyo yathā --	saH eva guNa-BUtaH pada-prakASyaH yaTA --
             kartā dyūtacchalānāṃ jatumayaśaraṇoddīpanaḥ so 'bhimānī	kartA dyUta=-CalAnAm jatu-maya-SaraNa-uddIpanaH saH aBimAnI
             kṛṣnākeśottarīyavyapanayanapaṭuḥ pāṇḍavā yasya dāsāḥ |	kRznAkeSa-uttarIya-vyapanayana-pawuH pANxavAH yasya dAsAH |
             rājā duḥśāsanāder gurur anujaśatasyāṅgarājasya mitraṃ	rAjA duHSAsana-AdeH guruH anuja-Satasya-aFgarAjasya mitram
             kvāste duryodhano 'sau kathayata na ruṣā draṣṭum abhyāgatau svaḥ	kva-Aste duryoDanaH asO kaTayata na ruzA drazwum aByAgatO svar-
   atraite varākā dāsabhāvaṃ gatāḥ kiṃ kariṣyanti asmadekaśaraṇāḥ	atra-ete varAkAH dAsa-BAvam gatAH kim karizyanti asmad-eka-SaraNAH
   paribhaviṣyanti ityādi dyūtakāle bhavadbhiś cintitam āsīn nāsmakaṃ	pariBavizyanti ityAdi dyUta-kAle BavadBiH cintitam AsIt na-asmakam
   vismṛtam | tatra kācit pratikriyā nirvyūḍhā na kiṃ nirvyūḍhā ityādikaṃ tam	vismRtam | tatra kAcid pratikriyA nirvyUXAH na kim nirvyUXAH iti-Adikam tam
   artham abhivyajya sarvair eva kartā dyūtachalānām ityādibhir vācya evārthe	arTam aBivyajya sarvEH eva kartA dyUta-CalAnAm ityAdiBiH vAcyaH eva-arTe
   viśramyate |	viSramyate |
   vākyaprakāśyo yathā --	vAkya-prakASyaH yaTA --
             vāṇirakuḍaṅguḍḍīṇasauṇikolāhalaṃ suṇantīe |	vANira-kuxaFguxxINa-sONi-kolAhalam suNantIe |
             gharakammavāvaḍāe vahue sīanti aṅgāi ||	Garakam-mavAvaxAe vahue sIanti aFgAi ||
             [vānīrakuñjoḍḍīnaśakunikolāhalaṃ śṛṇvatyāḥ |	[vAnIra-kuQja-uxxIna-Sakuni-kolAhalam SRNvatyAH |
             gṛhakarmavyāpṛtāyā vadhvāḥ sīdanty aṅgāni ||]	gRha-karma-vyApRtAyAH vaDvAH sIdanti aFgAni ||]
   atra dattasaṃketaḥ puruṣo vānīralatāgṛhaṃ praviṣṭa iti vyaṅgyam artham	atra datta-saMketaH puruzaH vAnIra-latA-gRham pravizwaH iti vyaFgyam arTam
   avagamayya vācyo 'rthaḥ svaprādhānyenāsti | na caivam abhidhāyā lakṣaṇāyā	avagamayya vAcyaH arTaH sva-prADAnyena-asti | na ca-evam aBiDAyA lakzaNAyAH-
   vā kaścid avasara iti bhinnam eva dhvananam |	vA kaScid avasaraH iti Binnam eva Dvananam |
             nanu ‘yat paraḥ śabdaḥ sa śabdārtha'; iti vyaṅgyābhimato 'pi	nanu ‘yat paraH SabdaH sa Sabda-arTa-a; iti vyaFgya-aBimataH api
   tātparyāt katham na vācyaḥ | iha sarvāṇy eva kārakāṇi kārakatvāt	tAtparyAt kaTam na vAcyaH | iha sarvANi eva kArakANi kAraka-tvAt-
   savyāpārāṇīti sādhyāyamānāny ato bhūtabhavyasamuccāraṇe "bhūtaṃ	savyA-pArANi-iti sADyAyamAnAni atas BUta-Bavya-samuccAraNe "BUtam
   bhavyāyopadiśyata" ity adagdhadahananyāyena yāvad avahitaṃ tāvad vidhīyate	BavyAya-upadiSyata" iti adagDa-dahana-nyAyena yAvat avahitam tAvat viDIyate
   iti kvacit kārakapadārtho 'pi viṣayo bhavati | yathā dadhnā juhoti payasā	iti kvacid kAraka-padArTaH api vizayaH Bavati | yaTA daDnA juhoti payasA
   juhotīti | evaṃ hi pūrvo dhāvatīty aparārthe 'pi tātparyaṃ syāt | anvitaḥ	juhoti-iti | evam hi pUrvaH DAvati-iti apara-arTe api tAtparyam syAt | anvitaH
   padārtho 'bhihitānvaye anvitamātraṃ tv anvitābhidhāne | tatraiva	padArTaH aBihita-anvaye anvita-mAtram tu anvita-aBiDAne | tatra-eva
   saṃketopapatteḥ | anvitaviśeṣas tūbhayamate 'py avācya eva | evaṃ ca	saMketa-upapatteH | anvita-viSezaH tu-uBaya-mate api avAcyaH eva | evam ca
   vācyatve kā vārttā vācyaviparītātmano vyaṅgyasya | na tu vyaṅgyam anumeyam	vAcya-tve kA vArttA vAcya-viparIta-AtmanaH vyaFgyasya | na tu vyaFgyam anumeyam
   iti śakyaṃ vaktum | na hi vācyavyaṅgyayoḥ pratibandhagrahe kiñcit pramāṇaṃ	iti Sakyam vaktum | na hi vAci-avyaFgyayoH pratibanDa-grahe kiQcid pramANam
   kramate | prakaraṇādisāmagrīm antareṇa hi na vyaṅgyam | na ca sā	kramate | prakaraNa-Adi-sAmagrIm antareNa hi na vyaFgyam | na ca sA
   pramāṇagocarā | vyaṅgyavācināṃ tv adoṣaḥ | evaṃbhūtāyāṃ pramāṇair	pramANa-gocarA | vyaFgya-vAcinAm tu adozaH | evaMBUtAyAm pramANEH-
   apratipannāyāṃ hi sāmagryām upapattim anapekṣyāpi samudayamānā pratītiḥ	apratipannAyAm hi sAmagryAm upapattim anapekzya-api samudayamAnA pratItiH
   kena nihnotuṃ śakyata iti | siddham abhidhātātparyalakṣaṇāvyāpārātiriktaṃ	kena nihnotum Sakyate iti | sidDam aBiDAtAt-parya-lakzaNa-avyApAra-atiriktam
   dhvananam | etac cānyatra vistareṇa vicāritam iti saṃkṣepeṇehoktam iti	Dvananam | etat ca-anyatra vistareNa vicAritam iti saMkzepeNa-iha-uktam iti
   śivam ||	Sivam ||
   iti nikhilavipaściccakravartiśrīrājānakamammaṭācāryaviracitaḥ	iti niKila-vipaScit-cakravarti-SrI-rAjAnaka-mammawA-cArya-viracitaH
   śabdavyāpāravicāraḥ samāptaḥ ||	Sabda-vyApAra-vicAraH samAptaH ||
