   oṃ namaścidātmaparamārthavapuṣe //	om namaH-cidAtma-parama-arTa-vapuze //
   viśvagatasṛṣṭisaṃhāropacārātkṛśapūrṇobhayarūpāpyekaiva sarvarahasyanayeṣu	viSva-gata-sRzwi-saMhAra-upacArAt-kRSa-pUrNa-uBaya-rUpA-api-ekA-eva sarva-rahasi-anayezu
   gīyate / punarapyatraiva viśvasamutpattibījabhūmau mahāśūnyātiśūnyākhyāyāṃ	gIyate / punar-api-atra-eva viSva-samutpatti-bIja-BUmO mahA-SUnya-ati-SUnya-AKyAyAm
   maheśasyāhamidamityabhedena pūrṇāhantāmayo yaścamatkāro	maheSasya-aham-idam-iti-aBedena pUrNAhanta-AmayaH yaH-camatkAraH-
   jñānaprādhānyātkriyābhāgasyāhantāviśrānteḥ seyaṃ sadāśivadaśā / atra	jQAna-prADAnyAt-kriyA-BAgasya-AhantA-viSrAnteH sA-iyam sadASiva-daSA / atra
   mantramaheśvarāḥ pramātārastiṣṭhanti /	mantra-maheSvarAH pramAtAraH-tizWanti /
   tathātraivāhamidamityabhedenāhantedantayoḥ samadhṛtatulāpuṭanyāyena yaḥ	taTA-atra-eva-aham-idam-iti-aBedena-Ahantet-antayoH sama-DRta-tulA-puwa-nyAyena yaH
   svātmacamatkāraḥ saiṣā tasyeśvarāvasthā / atrāpi mantreśvarāḥ pramātāraḥ /	sva-Atma-camatkAraH sA-ezA tasya-ISvara-avasTA / atra-api mantreSvarAH pramAtAraH /
   atrāpīdantāprādhānyenāhantāguṇīkāreṇa yo	atra-apIdanta-aprADAnyena-ahantA-guNIkAreNa yaH-
   'hamahamidamidamityevaṃrūpaścamatkāraḥ sadyojātabālasyeva śiro	aham-aham-idam-idam-iti-evaMrUpaH-camatkAraH sadyojAta-bAlasya-iva SiraH-
   'ṅgulīnirdeśya etadeva bodhasāratvādbhagavataḥ śuddhavidyātattvam / atra	aFgulI-nirdeSyaH etat-eva boDasAra-tvAt-BagavataH SudDa-vidyA-tattvam / atra
   vidyeśvaraiḥ saha saptakoṭyastu mantrāṇāṃ	vidyeSvarEH saha sapta-kowyaH-tu mantrANAm
   vācakatayānugrahasvabhāvātpaśūnuddhartuṃ	vAcaka-tayA-anugraha-svaBAvAt-paSUn-udDartum
   vācyānmantramaheśvaramantreśvarānpratyavatiṣṭhante / atra vidyātattve	vAcyAn-mantra-maheSvara-mantreSvarAn-pratyavatizWante / atra vidyA-tattve
   vidyeśvarapramātṝṇāṃ bodharūpatvāviśeṣe 'pi yā bhedaprathā sā	vidyeSvara-pramAtLNAm boDa-rUpa-tva-aviSeze api yA Beda-praTA sA
   māyāśaktikṛtaivetyāgameṣu gīyate	mAyA-Sakti-kRtA-eva-iti-Agamezu gIyate
   māyopari mahāmāyā ... /	mAyA-upari mahAmAyA ... /
   iti / yena tatrasthā mantrā mahāmāyānupraveśādaṇava ityucyante /	iti / yena tatrasTAH mantrAH mahAmAyA-anupraveSAt-aNavaH iti-ucyante /
   māyātattvopari śuddhavidyādhaśca vijñānākalāḥ pramātāra āṇavamalabhājanam	mAyA-tattva-upari SudDa-vidyADaH-ca vijQAnAkalAH pramAtAraH ANava-mala-BAjanam
   / evamekamevedaṃ śivasvarūpaṃ turyātītamapi turyarūpatayā	/ evam-ekam-eva-idam Siva-svarUpam turyAtItam-api turya-rUpa-tayA
   tattvapañcakatayā gīyate / tasmādeka evaiṣa svatantraḥ kartā prakāśate	tattva-paQcaka-tayA gIyate / tasmAt-ekaH eva-eza svatantraH kartA prakASate
   yasyāhamidamiti sadāśiveśvarabhūmau yaḥ prakāśa etadeva śuddhavedanarūpaṃ	yasya-aham-idam-iti sadASiva-ISvara-BUmO yaH prakASaH etat-eva SudDa-vedana-rUpam
   karaṇaṃ vakṣyamāṇo māyātattvādidharāntastattvasargaśca kāryamityeva	karaNam vakzyamANaH mAyA-tattva-Adi-Dara-antaH-tattva-sargaH-ca kAryam-iti-eva
   kartṛkaraṇakriyārūpa eka eva svātmamaheśvarākhyaḥ paramapramātā vijṛmbhate	kartR-karaNa-kriyA-rUpaH ekaH eva sva-Atma-maheSvara-AKyaH parama-pramAtA vijRmBate
   māyātattvasvarūpamāha	mAyA-tattva-svarUpam-Aha
   paramaṃ yatsvātantryaṃ durghaṭasaṃpādanaṃ maheśasya /	paramam yat-svAtantryam durGawa-saMpAdanam maheSasya /
   devī māyāśaktiḥ svātmāvaraṇaṃ śivasyaitat // 15 //	devI mAyA-SaktiH sva-Atma-AvaraNam Sivasya-etat // 15 //
   paramam ananyāpekṣam yat parameśituḥ svātantryam viśvanirmātṛtvaṃ saiveyam	paramam ananya-apekzam yat parameSituH svAtantryam viSva-nirmAtR-tvam sA-eva-iyam
   māyākhyā śaktiḥ tasya śaktimataḥ / mīyate paricchidyate dharāntaḥ	mAyA-AKyA SaktiH tasya SaktimataH / mIyate paricCidyate DarA-antaH
   pramātṛprameyaprapañco yayā sā māyā viśvamohakatayā vā māyā / eṣā devasya	pramAtR-prameya-prapaQcaH yayA sA mAyA viSva-mohaka-tayA vA mAyA / ezA devasya
   krīḍāśīlasya saṃbandhinīti kṛtvā devī na punarbrahmavādināmiva vyatiriktā	krIxA-SIlasya saMbanDinI-iti kRtvA devI na punar-brahma-vAdinAm-iva vyatiriktA
   kācinmāyopapadyata iti / kīdṛśaṃ tatsvātantryam durghaṭasaṃpādanam iti /	kAcid-mAyA-upapadyate iti / kIdRSam tat-svAtantryam durGawa-saMpAdanam iti /
   duḥkhena ghaṭayituṃ śakyamiti durghaṭasya kāryasya pramātṛprameyarūpasya	duHKena Gawayitum Sakyam-iti durGawasya kAryasya pramAtR-prameya-rUpasya
   saṃpādanam prāptiprāpakam / eṣaiva māyā svecchayā paśubhāvamāpannasya	saMpAdanam prApti-prApakam / ezA-eva mAyA sva-icCayA paSu-BAvam-Apannasya
   śivasya svātmāvaraṇam svarūpagopanākhyamāṇavādimalatritayam // 15 //	Sivasya sva-Atma-AvaraNam sva-rUpa-gopana-AKyamANa-vAdi-mala-tritayam // 15 //
   vakṣyamāṇe ca prādhānike sukhādirūpe bhinne bhogye yadbhoktṛrūpaṃ	vakzyamANe ca prADAnike suKa-Adi-rUpe Binne Bogye yat-BoktR-rUpam
   puṃstattvaṃ tatsvarūpamāha	puMstattvam tat-svarUpam-Aha
   māyāparigrahavaśādbodho malinaḥ pumānpaśurbhavati /	mAyA-parigraha-vaSAt-boDaH malinaH pumAn-paSuH-Bavati /
   kālakalāniyativaśādrāgāvidyāvaśena saṃbaddhaḥ // 16 //	kAla-kalA-niyati-vaSAt-rAga-avidyA-vaSena saMbadDaH // 16 //
   māyā svīkārapāratantryātsarvajñatvasarvakartṛtvamayo 'pi bodhaḥ	mAyA svIkAra-pAratantryAt-sarvajQa-tva-sarva-kartR-tva-mayaH api boDaH
   sarvajñatvādiguṇāpahastanenākhyātirūpamāṇavaṃ malamāpanno yena	sarvajQa-tva-Adi-guNa-apaha-stanena-AKyAti-rUpam-ANavam malam-ApannaH yena
   ghaṭākāśavatpūrṇasvarūpāccidākāśādavacchedya parimitīkṛtaḥ saṃstadeva	Gawa-AkASa-vat-pUrNa-svarUpAt-cit-AkASAt-avacCedya parimitIkRtaH san=-tadA-iva
   puṃstattvamucyate / ato māyāyāḥ pālyaḥ pāśyaśceti paśuḥ	puMstattvam-ucyate / atas mAyAyAH pAlyaH pASyaH-ca-iti paSuH
   āṇavamāyīyakārmamalasvabhāvānāṃ pāśānāṃ bhājanam / anyacca kālakalā iti	ANava-mAyIya-kArma-mala-svaBAvAnAm pASAnAm BAjanam / anyat-ca kAla-kalAH iti
   vakṣyamāṇasvarūpaiḥ kālādibhiḥ otaprotatayā samyak baddhaḥ dṛbdha ityevaṃ	vakzyamANa-svarUpEH kAla-AdiBiH ota-prota-tayA samyak badDaH dRbDaH iti-evam
   tattvaṣaṭkaveṣṭitaṃ puṃstattvam // 16 //	tattva-zawka-vezwitam puMstattvam // 16 //
   kālādīnāṃ tattvānāṃ caitadveṣṭanakrameṇa svarūpamāha	kAla-AdInAm tattvAnAm ca-etat-vezwana-krameNa svarUpam-Aha
   adhunaiva kiñcidevedameva sarvātmanaiva jānāmi /	aDunA-eva kiQcid-eva-idam-eva sarva-AtmanA-eva jAnAmi /
   māyāsahitaṃ kañcukaṣaṭkamaṇorantaraṅgamidamuktam // 17 //	mAyA-sahitam kaQcuka-zaz-ka-m-aNoH-antaraFgam-idam-uktam // 17 //
   itthaṃ svatantro 'pi bodhaḥ svamāyayā yathāṇutvaṃ prāptastathaiva tadīye	itTam svatantraH api boDaH sva-mAyayA yaTA-aNu-tvam prAptaH-taTA-eva tadIye
   jñānakriyāśaktī saṃkucite asya paśurūpasya vidyākale ityucyete / yathā	jQAna-kriyA-SaktI saMkucite asya paSu-rUpasya vidyA-kale iti-ucyete / yaTA
   rājñāpahṛtasarvasvasyānukampayā jīvanārthaṃ kiñciddhanaṃ stokaṃ dīyate	rAjQA-apahRta-sarva-svasya-anukampayA jIvana-arTam kiQcid-Danam stokam dIyate
   tathaivāṇutvamāpannasya bodhasyāpahṛtasarvajñatvādeḥ	taTA-eva-aNu-tvam-Apannasya boDasya-apahRta-sarvajQa-tva-AdeH
   kiñcitkartṛtāparamārthaṃ jñatvamupodbalyata iti jñatvasyaiva	kiQcitkartR-tA-parama-arTam jQa-tvam-upodbalyate iti jQa-tvasya-eva
   prādhānyātkālādīnāṃ jānātinānvayo darśitaḥ / idaṃ kañcukaṣaṭkam uktarūpayā	prADAnyAt-kAla-AdInAm jAnAtinA-anvayaH darSitaH / idam kaQcuka-zawkam ukta-rUpayA
   māyayā yuktam aṇoḥ āṇavamalāpahastitasarvajñatvādeḥ puṃsaḥ	mAyayA yuktam aNoH ANava-mala-apahastita-sarvajQa-tva-AdeH puMsaH
   svarūpācchādakaṃ svarṇasya kālikeva antaraṅgam nijaṃ kathitam /	svarUpa-AcCAdakam svarNasya kAlikA-iva antaraFgam nijam kaTitam /
   kiṃrūpamityāha adhunā ityādi / adhunaiva jānāmi iti so	kiMrUpam-iti-Aha aDunA ityAdi / aDunA-eva jAnAmi iti saH-
   'ṇurvartamānatayedaṃ prāṅmayā jñātaṃ jānāmi jñāsyāmītyevamapi kṛtaṃ karomi	aNuH-vartamAna-tayA-idam prAk-mayA jQAtam jAnAmi jQAsyAmi-iti-evam-api kRtam karomi
   kariṣye veti jñānakriyāsvarūpeṇa bhāvānapi tathā kalayannavacchinatti	karizye vA-iti jQAna-kriyA-svarUpeNa BAvAn-api taTA kalayan=-avacCinatti
   cetyeṣo 'sya kālaḥ / tathā kiñcideva ityavacchinnameva karoti sarvaṃ	ca-iti-ezaH asya kAlaH / taTA kiQcid-evaH iti-avacCinnam-eva karoti sarvam
   kartuṃ nālaṃ ghaṭamātrakaraṇāya prabhavati na paṭādāvityetadasyāṇoḥ	kartum na-alam Gawa-mAtra-karaNAya praBavati na pawa-AdO=-iti-etat-asya-aNoH
   kalātattvam / idameva iti niyatātkāranānniyataṃ kāryaṃ yadarthayate yathā	kalA-tattvam / idam-eva iti niyatAt-kAranAt-niyatam kAryam yat-arTayate yaTA
   vahnereva dhūmo 'śvamedhādikarmaṇa eva svargādiphalaṃ na sarvasmādityevaṃ	vahneH-eva DUmaH aSvameDa-Adi-karmaNaH eva svarga-Adi-Palam na sarvasmAt-iti-evam
   niyamena svasaṃkalpakṛtakarmaprabandhasamutthapuṇyāpuṇyairātmā niyamyate	niyamena sva-saMkalpa-kRta-karma-prabanDa-samutTa-puNyA-puNyEH-AtmA niyamyate
   yena tadasya niyatitattvam / tathā sarvātmanā iti yeyamapūrṇammanyatā	yena tat-asya niyati-tattvam / taTA sarva-AtmanA iti yA-iyam-apUrNam-manyatA
   sarvaṃ mamedamupayujyate bhūyāsaṃ mā kadācinna bhūvamityetatpaśo	sarvam mama-idam-upayujyate BUyAsam mA kadAcid-na BUvam-iti-etat-paSo
   rāgatattvam / buddhidharmo yo rāgaḥ sa ekatra kutrāpi kāntālakṣaṇe 'rthe	rAga-tattvam / budDi-DarmaH yaH rAgaH saH ekatra kutra-api kAntA-lakzaNe arTe
   'nyadapohyātra me rāga ityabhiṣvaṅgamātraṃ na sarvākāṅkṣāmayasya	anyat-apohya-atra me rAgaH iti-aBizvaFga-mAtram na sarva-AkAFkzA-mayasya
   rāgatattvasya samānaḥ / tathā jānāmi iti kiñcideva purovarti ghaṭādikaṃ na	rAga-tattvasya samAnaH / taTA jAnAmi iti kiQcid-eva purovarti Gawa-Adikam na
   punardūravyavahitaṃ vastviti vidyātattvam / śuddhavidyāpekṣayā	punar-dUra-vyavahitam vastu-iti vidyA-tattvam / SudDa-vidyA-apekzayA
   kārikāyāmavidyeti kathitaṃ na punarvedanābhāvāt / māyāsahitam	kArikAyAm-avidyA-iti kaTitam na punar-vedanA-BAvAt / mAyA-sahitam
   bhedaprathāyuktametatkañcukaṣaṭkaṃ paśoriti // 17 //	Beda-praTA-yuktam-etat-kaQcuka-zawkam paSoH-iti // 17 //
   kathametasya kañcukaṣaṭkasyāṇuṃ pratyantaraṅgatvamityāha	kaTam-etasya kaQcuka-zawkasya-aNum pratyantaraFga-tvam-iti-Aha
   kambukamiva taṇḍulakaṇaviniviṣṭaṃ bhinnamapyabhidā /	kambukam-iva taNxula-kaNa-vinivizwam Binnam-api-aBidA /
   bhajate tattu viśuddhiṃ śivamārgaunmukhyayogena // 18 //	Bajate tat-tu viSudDim Siva-mArga-OnmuKya-yogena // 18 //
   vāstavena vṛttena bhinnamapi kambukam yathā abhidā taṇḍulakaṇaviniviṣṭam	vAstavena vRttena Binnam-api kambukam yaTA aBidA taNxula-kaNa-vinivizwam
   ityabhedena taṇḍulāntaścotaṃ bhāsate nipuṇairapi yatnataḥ prakṣipyamāṇaṃ	iti-aBedena taNxulAntar-ca-utam BAsate nipuNEH-api yatnatas prakzipyamANam
   taṇḍulasyāntaraṅgatvānna pṛthagavatiṣṭhate	taNxulasya-antaraFga-tvAt-na pRTak-avatizWate
   tathaitanmāyādikañcukamaṇostaṇḍulasthānīyasyāntaraṅgatvātkambukasthānīyaṃ	taTA-etat-mAyA-Adi-kaQcuka-maNoH-taNxula-sTAnIyasya-antaraFga-tvAt-kambuka-sTAnIyam
   vyatiriktamapyavyatiriktatayā pūrṇasaṃvitsvarūpamācchādya sthitamiti śeṣaḥ	vyatiriktam-api-avyatirikta-tayA pUrNa-saMvid-svarUpam-AcCAdya sTitam-iti SezaH
   / evamapi durnivāraṃ kathaṃ tadvilīyata ityāha bhajate ityādi / tuḥ viśeṣe	/ evam-api durnivAram kaTam tat-vilIyate iti-Aha Bajate ityAdi / tuH viSeze
   nānyo 'tropāyaḥ / śivasya svātmamaheśvarasya yo 'sau mārgaḥ	na-anyaH atra-upAyaH / Sivasya sva-Atma-maheSvarasya yaH asO mArgaH
   paramādvayacidānandaikaghano 'smi mamaivedaṃ viśvaṃ	parama-advaya-cit-Ananda-eka-GanaH asmi mama-eva-idam viSvam
   svaśaktivijṛmbhaṇamātramiti yā svātmasvarūpavibhūtipratyavamarśarūpā	sva-Sakti-vijRmBaNa-mAtram-iti yA sva-Atma-svarUpa-viBUti-pratyavamarSa-rUpA
   saraṇiḥ tadaunmukhyam dārḍhyena tannibhālanaparatvaṃ sa eva yogaḥ	saraNiH tat-OnmuKyam dArXyena tad-niBAlana-para-tvam saH eva yogaH
   pūrṇarūpatayāṇoḥ svātmani svasvarūpatvena saṃbandhastena tat uktasvarūpaṃ	pUrNa-rUpa-tayA-aNoH sva-Atmani sva-svarUpa-tvena saMbanDaH-tena tat ukta-svarUpam
   kañcukaṃ viśeṣeṇa śuddhiṃ bhajate svayameva niḥśeṣeṇa vilayaṃ sevate /	kaQcukam viSezeNa SudDim Bajate svayam-eva niHSezeNa vilayam sevate /
   etaduktaṃ syādyadā parameśvaraśaktipātaviśuddhahṛdayaḥ paśurbhavati	etat-uktam syAt-yadA parameSvara-SaktipAta-viSudDa-hRdayaH paSuH-Bavati
   tadāhameva maheśvara iti svātmajñānāvirbhāvātsvayameva paśutvāpādakaṃ	tadA-aham-eva maheSvaraH iti sva-Atma-jQAna-AvirBAvAt-svayam-eva paSu-tva-ApAdakam
   kañcukāvaraṇaṃ vilīyate na punaratra svātmajñānaṃ vihāya māyīyaṃ	kaQcuka-AvaraNam vilIyate na punar-atra sva-Atma-jQAnam vihAya mAyIyam
   kiñcinniyatiśaktisamutthaṃ karma pragalbhata iti // 18 //	kiQcid-niyati-Sakti-samutTam karma pragalBate iti // 18 //
   evaṃvidhasyāṇorbhoktuśca bhogyena bhāvyamiti prādhānikaṃ tattvasargamāha	evaMviDasya-aNoH-BoktuH-ca Bogyena BAvyam-iti prADAnikam tattva-sargam-Aha
   sukhaduḥkhamohamātraṃ niścayasaṃkalpanābhimānācca /	suKa-duHKa-moha-mAtram niScaya-saMkalpanA-aBimAnAt-ca /
   prakṛtirathāntaḥkaraṇaṃ buddhimano 'haṅkṛti kramaśaḥ // 19 //	prakRti-raTa-antaHkaraNam budDi-manaH ahaFkRti kramaSas // 19 //
   sattvarajastamasāṃ yat sukhaduḥkhamohātmakam sāmānyaṃ rūpamaṅgāṅgibhāvo	sattva-rajaH-tamasAm yat suKa-duHKa-moha-Atmakam sAmAnyam rUpam-aFga-aFgi-BAvaH-
   yatra nopalabhyate sā mūlakāraṇam prakṛtiḥ / prakṛteranantaraṃ	yatra na-upalaByate sA mUla-kAraNam prakRtiH / prakRteH-anantaram
   kāryarūpamantaḥkaraṇamāha niścaya ityādi / niścayaḥ idametādṛgiti	kArya-rUpam-antaHkaraNam-Aha niScayaH ityAdi / niScayaH idam-etAt-RS-iti
   saṃkalpanam mananam abhimānaḥ mamateti krameṇa buddhirmano 'haṅkāraḥ	saMkalpanam mananam aBimAnaH mamatA-iti krameNa budDiH-manaH ahaFkAraH
   ityevaṃrūpaṃ tritayam antaḥkaraṇam aṅgāṅgibhāvena guṇānāṃ kāryaṃ	iti-evaMrUpam tritayam antaHkaraNam aFga-aFgi-BAvena guNAnAm kAryam
   bhūtendriyādyapekṣayā ca kāraṇamiti // 19 //	BUta-indriya-Adi-apekzayA ca kAraNam-iti // 19 //
   bāhyakaraṇamāha	bAhya-karaNam-Aha
   śrotraṃ tvagakṣi rasanā ghrāṇaṃ buddhīndriyāṇi śabdādau /	Srotram tvagakzi rasanA GrANam budDIndriyANi Sabda-AdO /
   vākpāṇipādapāyūpasthaṃ karmendriyāṇi punaḥ // 20 //	vAc-pANi-pAda-pAyu-upasTam karmendriyANi punar // 20 //
   vakṣyamāṇe śabdādau viṣaye jñānapradhānāni śrotrādīni pañcendriyāṇi	vakzyamANe Sabda-AdO vizaye jQAna-praDAnAni Srotra-AdIni paQca-indriyANi
   kriyāpradhānāni cendriyāṇi pañca vāgādīni /	kriyA-praDAnAni ca-indriyANi paQca vAc-AdIni /
   vacanādānaviharaṇavisargānandātmakāḥ karmendriyāṇāṃ viṣayāḥ / ityubhayathā	vacana-AdAna-viharaNa-visarga-Ananda-AtmakAH karmendriyANAm vizayAH / iti-uBayaTA
   ca śṛṇomi kathayāmītyahaṅkārānugamādahaṅkārakāryāṇi // 20 //	ca SRNomi kaTayAmi-iti-ahaFkAra-anugamAt-ahaFkAra-kAryANi // 20 //
   eṣāṃ śabdādiviṣayasvarūpaṃ kathayati	ezAm Sabda-Adi-vizaya-svarUpam kaTayati
   eṣāṃ grāhyo viṣayaḥ sūkṣmaḥ pravibhāgavarjito yaḥ syāt /	ezAm grAhyaH vizayaH sUkzmaH praviBAga-varjitaH yaH syAt /
   tanmātrapañcakaṃ tacchabdaḥ sparśo maho raso gandhaḥ // 21 //	tanmAtra-paQcakam tat-SabdaH sparSaH mahaH rasaH ganDaH // 21 //
   jñeyakāryatayā svīkāryaḥ ya eṣām indriyāṇām viṣayaḥ gocaraḥ syāt / sa	jQeya-kArya-tayA svIkAryaH yaH ezAm indriyANAm vizayaH gocaraH syAt / sa
   kīdṛśaḥ pravibhāgavarjitaḥ viśeṣeṇa bahiṣkṛtaḥ sāmānyātmā sūkṣmaḥ yo 'rtho	kIdRSaH praviBAga-varjitaH viSezeNa bahizkRtaH sAmAnya-AtmA sUkzmaH yaH arTaH-
   bhavettadeva śabdādi sāmānyarūpam tanmātram śabdasāmānyaṃ	Bavet-tat-eva Sabda-Adi sAmAnya-rUpam tanmAtram Sabda-sAmAnyam
   śabdatanmātramiti / evamanyāni / viṣayaviṣayiṇoḥ	Sabda-tanmAtram-iti / evam-anyAni / vizaya-vizayiNoH
   parasparāpekṣitvādindriyavadidamapi tanmātrapañcakam āhaṅkārikameveti //	paraspara-apekzi-tvAt-indriya-vat-idam-api tanmAtra-paQcakam AhaFkArikam-eva-iti //
   viṣayāṇāṃ parasparasāṃkaryeṇa pṛthivyādīni kāryamityāha	vizayANAm paraspara-sAMkaryeNa pRTivI-AdIni kAryam-iti-Aha
   etatsaṃsargavaśātsthūlo viṣayastu bhūtapañcakatām /	etat-saMsarga-vaSAt-sTUlaH vizayaH-tu BUtapaQcaka-tAm /
   abhyeti nabhaḥ pavanastejaḥ salilaṃ ca pṛthvī ca // 22 //	aByeti naBaH pavanaH-tejaH salilam ca pRTvI ca // 22 //
   eteṣāṃ saṃsargavaśāt parasparasaṃgharṣasāmarthyādyo viśeṣaḥ sthūlo viṣayaḥ	etezAm saMsarga-vaSAt paraspara-saMGarza-sAmarTya-AdyaH viSezaH sTUlaH vizayaH
   sa eva bhūtarūpatāṃ yāti / tathā hi śabdatanmātrācchabdaviśeṣo nabho	saH eva BUta-rUpa-tAm yAti / taTA hi Sabda-tanmAtrAt-Sabda-viSezaH naBaH-
   jāyate śabdasparśābhyāṃ pavano rūpasaṃyuktābhyāmetābhyāṃ tejaścaibhyo	jAyate Sabda-sparSAByAm pavanaH rUpa-saMyuktAByAm-etAByAm tejaH-ca-eByaH-
   rasayuktebhyaścāpo gandhasaṃyuktebhyaśca pṛthvīti pañca mahābhūtāni kāryaṃ	rasa-yukteByaH-ca-apaH ganDa-saMyukteByaH-ca pRTvI-iti paQca mahABUtAni kAryam
   kāraṇānuguṇam iti kṛtvaikottaraguṇānīti / evameṣā prakṛtiḥ kāryakāraṇātmā	kAraNa-anuguNam iti kRtvA-eka-uttara-guNAni-iti / evam-ezA prakRtiH kArya-kAraNa-AtmA
   puruṣasya parameśvarasyecchayā bhogyatayā pravṛtteti	puruzasya parameSvarasya-icCayA Bogya-tayA pravRttA-iti
   ṣaṭtriṃśattattvātmakaṃ jagadvibhajya pratitattvaṃ nirūpitam // 22 //	zawtriMSat-tattva-Atmakam jagat-viBajya pratitattvam nirUpitam // 22 //
   māyākañcukavatprakṛteḥ kañcukatāṃ puruṣaṃ pratyāha	mAyA-kaQcuka-vat-prakRteH kaQcuka-tAm puruzam pratyAha
   tuṣa iva taṇḍulakaṇikāmāvṛṇute prakṛtipūrvakaḥ sargaḥ /	tuzaH iva taNxula-kaNikAm-AvRNute prakRti-pUrvakaH sargaH /
   pṛthvīparyanto 'yaṃ caitanyaṃ dehabhāvena // 23 //	pRTvI-paryantaH ayam cEtanyam deha-BAvena // 23 //
   ayamapi prādhānikaḥ sargaḥ dharāparyantaḥ taṇḍulakaṇam yathā tuṣaḥ	ayam-api prADAnikaH sargaH DarA-paryantaH taNxula-kaNam yaTA tuzaH
   dhānyacarma āvṛṇute samācchādayati tathaiva māyākañcukena	DAnya-carmaH AvRNute samAcCAdayati taTA-eva mAyA-kaQcukena
   kambukasthānīyena samāvṛtam caitanyam punarapi tuṣasthānīyena dehabhāvena	kambuka-sTAnIyena samAvRtam cEtanyam punar-api tuza-sTAnIyena deha-BAvena
   etatsamāvṛṇute tatpratiprākāratayā sthagayati / atreme pramātāraḥ	etat-samAvRNute tad-pratiprAkAra-tayA sTagayati / atra-ime pramAtAraH
   kalābhirindriyamātrābhirviśeṣāntābhirdehasvabhāvāḥ sakalā ityucyante	kalABiH-indriya-mAtrABiH-viSeza-antABiH-deha-svaBAvAH sakalAH iti-ucyante
   viśeṣavarjitā videhāḥ pralayākalā iti ca / evaṃ	viSeza-varjitAH videhAH pralayAkalAH iti ca / evam
   śivādisakalāntapramātṛsaptakasanāthaṃ rudrakṣetrajñādhiṣṭhitaṃ jagaditi //	Siva-Adi-sakala-anta-pramAtR-saptaka-sanATam rudra-kzetrajQa-aDizWitam jagat-iti //
   kañcukatritayasya parasūkṣmasthūlarūpatāmāha	kaQcuka-tritayasya para-sUkzma-sTUla-rUpa-tAm-Aha
   paramāvaraṇaṃ mala iha sūkṣmaṃ māyādikañcukaṃ sthūlam /	parama-AvaraNam malaH iha sUkzmam mAyA-Adi-kaQcukam sTUlam /
   bāhyaṃ vigraharūpaṃ kośatrayaveṣṭito hyātmā // 24 //	bAhyam vigraha-rUpam koSa-traya-vezwitaH hi-AtmA // 24 //
   caitanyasya svasvarūpāpahastanasatattvākhyātirevāṇavaḥ malaḥ āntaraḥ	cEtanyasya sva-svarUpa-apaha-stanasa-tattva-AKyAtiH-eva-aNavaH malaH AntaraH
   svarṇasya kālikeva param antaraṅgam āvaraṇam chādanaṃ tādātmyena	svarNasya kAlikA-iva param antaraFgam AvaraNam CAdanam tAdAtmyena
   sthitatvāt / māyādi vidyāntaṃ kañcukaṣaṭkam sūkṣmam ātmana āvaraṇaṃ	sTita-tvAt / mAyA-Adi vidyA-antam kaQcuka-zawkam sUkzmam AtmanaH AvaraNam
   taṇḍulasya kambukamivāvaraṇaṃ pṛṣṭhapātitvenāste yena bhedamayī	taNxulasya kambukam-iva-AvaraNam pRzWapAti-tvena-Aste yena Beda-mayI
   jñatvakartṛtvādiprathā prathata ityeṣa māyīyo malaḥ / etadapekṣayā bāhyam	jQa-tva-kartR-tva-Adi-praTA praTate iti-eza mAyIyaH malaH / etad-apekzayA bAhyam
   tuṣasthānīyaṃ prādhānikaṃ śarīrasattālakṣaṇamāvaraṇam sthūlam	tuza-sTAnIyam prADAnikam SarIra-sattA-lakzaNam-AvaraNam sTUlam
   tvaṅmāṃsādirūpatvādeṣa tṛtīyaḥ kārmo malo yena pramātā	tvac-mAMsa-Adi-rUpa-tvAt-eza tRtIyaH kArmaH malaH yena pramAtA
   śubhāśubhakarmasaṃcayabhājanaṃ bhavati / evamanena parasūkṣmasthūlarūpeṇa	SuBa-aSuBa-karma-saMcaya-BAjanam Bavati / evam-anena para-sUkzma-sTUla-rUpeNa
   kośatrayena veṣṭitaḥ vikasvaro 'pi ghaṭākāśavatsaṃkucitīkṛtaḥ ātmā	koSa-trayena vezwitaH vikasvaraH api Gawa-AkASa-vat-saMkucitIkRtaH AtmA
   ityaṇuriti paśurityucyate // 24 //	iti-aNuH-iti paSuH-iti-ucyate // 24 //
   etatsaṃbandhādupahata iva bhavatītyāha	etad-saMbanDAt-upahataH iva Bavati-iti-Aha
   ajñānatimirayogādekamapi svaṃ svabhāvamātmānam /	ajQAna-timira-yogAt-ekam-api svam svaBAvam-AtmAnam /
   grāhyagrāhakanānāvaicitryeṇāvabudhyeta // 25 //	grAhya-grAhaka-nAnA-vEcitryeNa-avabuDyeta // 25 //
   eṣa kośatrayasaṃbaddha ātmātmākhyātyandhakārasaṃbandhāt ekamapi	eza koSa-traya-saMbadDaH Atma-Atma-AKyAti-anDakAra-saMbanDAt ekam-api
   advayasvabhāvamapi svam nijaṃ nānyasmādupanatam ātmasvabhāvam	advaya-svaBAvam-api svam nijam na-anyasmAt-upanatam Atma-svaBAvam
   caitanyamātmasattālakṣaṇaṃ svarūpaṃ	cEtanyam-Atma-sattA-lakzaNam svarUpam
   pramātṛpramāṇaprameyanānāracanāprapañcena jānātyabhedaviparītena	pramAtR-pramANa-prameya-nAnA-racanA-prapaQcena jAnAti-aBeda-viparItena
