   BhP_05.01.001/0 rājovāca	BhP_05.01.001/0 rAjA-uvAca
   na kiñcit	na kiQcid-
   BhP_05.05.025/2 yeṣāṃ kim u syād itareṇa teṣām akiñcanānāṃ mayi	Bhu-_05.05.025/2 yezAm kim u syAt itareNa tezAm akiQcanAnAm mayi
   bhakti-bhājām	Bakti--BAjAm
   BhP_05.05.026/1 sarvāṇi mad-dhiṣṇyatayā bhavadbhiś carāṇi bhūtāni sutā	Bhu-_05.05.026/1 sarvANi mad--DizNyatayA BavadBiH carANi BUtAni sutA
   dhruvāṇi	DruvANi
   BhP_05.05.026/2 sambhāvitavyāni pade pade vo vivikta-dṛgbhis tad u	Bhu-_05.05.026/2 samBAvitavyAni pade pade vaH vivikta-dRgBiH tat u
   hārhaṇaṃ me	ha-arhaNam me
   BhP_05.05.027/1 mano-vaco-dṛk-karaṇehitasya sākṣāt-kṛtaṃ me paribarhaṇaṃ	Bhu-_05.05.027/1 mano-vacaH--dRk-karaNa-Ihitasya sAkzAt-kRtam me paribarhaNam
   hi	hi
   BhP_05.05.027/2 vinā pumān yena mahā-vimohāt kṛtānta-pāśān na vimoktum	Bhu-_05.05.027/2 vinA pumAn yena mahA--vimohAt kRtAnta--pASAt na vimoktum
   īśet	ISet-
   BhP_05.05.028/0 śrī-śuka uvāca	BhP_05.05.028/0 SrI-SukaH uvAca
   BhP_05.05.028/1 evam anuśāsyātmajān svayam anuśiṣṭān api lokānuśāsanārthaṃ	Bhu-_05.05.028/1 evam anuSAsya-AtmajAn svayam anuSizwAn api loka-anuSAsana-arTam
   mahānubhāvaḥ parama-suhṛd bhagavān ṛṣabhāpadeśa upaśama-śīlānām	mahA-anuBAvaH parama--suhRd BagavAn RzaBa-apadeSaH upaSama--SIlAnAm
   uparata-karmaṇāṃ mahā-munīnāṃ bhakti-jñāna-vairāgya-lakṣaṇaṃ	uparata-karmaNAm mahA-a-munInAm Bakti--jQAna--vErAgya--lakzaNam
   pāramahaṃsya-dharmam upaśikṣamāṇaḥ sva-tanaya-śata-jyeṣṭhaṃ	pAramahaMsi-a--Darmam upaSikzamANaH sva--tanaya--Sata--jyezWam
   parama-bhāgavataṃ bhagavaj-jana-parāyaṇaṃ bharataṃ	parama--BAgavatam Bagavaj--jana--parAyaNam Baratam
   dharaṇi-pālanāyābhiṣicya svayaṃ bhavana evorvarita-śarīra-mātra-parigraha	DaraNi--pAlanAya-aBizicya svayam BavanaH eva-uH-varita--SarIra--mAtra--parigraha
   unmatta iva gagana-paridhānaḥ prakīrṇa-keśa ātmany āropitāhavanīyo	unmattaH iva gagana--pariDAnaH prakIrNa-keSaH Atmani Aropita-AhavanIyaH-
   brahmāvartāt pravavrāja	brahmAvartAt pravavrAja
   BhP_05.05.029/1 jaḍāndha-mūka-badhira-piśāconmādakavad-avadhūta-veṣo	Bhu-_05.05.029/1 jaxa-anDa-mU-ka-baDira-pi-SAca-unmAdaka-vat--avaDUta--vezaH-
   'bhibhāṣyamāṇo 'pi janānāṃ gṛhīta-mauna-vratas tūṣṇīṃ babhūva	aBiBAzyamANaH api janAnAm gRhIta--mOna-vrataH tUzNIm baBUva
   BhP_05.05.030/1 tatra tatra	Bhu-_05.05.030/1 tatra tatra
   pura-grāmākara-kheṭa-vāṭa-kharvaṭa-śibira-vraja-ghoṣa-sārtha-giri-vanāśramādiṣv	pura-grAma-Akara--Kewa-vAwa--Karva-wa--Sibira--vraja--Goza--sArTa--giri-vana-ASrama-Adizu-
   anupatham avanicarāpasadaiḥ paribhūyamāno makṣikābhir iva vana-gajas	anupaTam avanicara-apasadEH pariBUyamAnaH makzikABiH iva vana--gaja-s
   tarjana-tāḍanāvamehana-ṣṭhīvana-grāva-śakṛd-rajaḥ-prakṣepa-pūti-vāta-duruktais	tarjana--tAxana-avamehana--zWIvana--grAva--SakRt--rajaH--prakzepa--pUti--vAta--duruktEH-
   tad avigaṇayann evāsat-saṃsthāna etasmin dehopalakṣaṇe sad-apadeśa	tat avigaNayan eva-asat--saMsTAnaH etasmin deha-upalakzaNe sat--apadeSa
   ubhayānubhava-svarūpeṇa sva-mahimāvasthānenāsamāropitāhaṃ-mamābhimānatvād	uBaya-anuBava--svarUpeNa sva--mahima-avasTAnena-asamAropitA-ahaM-mama-aBimAna-tvAt-
   avikhaṇḍita-manāḥ pṛthivīm eka-caraḥ paribabhrāma	aviKaNxita-manAH pRTivIm eka-caraH paribaBrAma
   BhP_05.05.031/1	Bhu-_05.05.031/1
   ati-sukumāra-kara-caraṇoraḥ-sthala-vipula-bāhv-aṃsa-gala-vadanādy-avayava-vinyāsaḥ	ati--su-kumAra-kara--caraNa-uraH--sTala--vipula--bAhu--aMsa-gala--vadana-Adi--a-vayava--vinyAsaH
   prakṛti-sundara-svabhāva-hāsa-sumukho	prakRti-sundara--svaBAva--hAsa--su-muKaH-
   nava-nalina-dalāyamāna-śiśira-tārāruṇāyata-nayana-ruciraḥ	nava--nalina--dalAyamAna--SiSira-tAra-aruNa-Ayata-nayana-ruciraH
   sadṛśa-subhaga-kapola-karṇa-kaṇṭha-nāso vigūḍha-smita-vadana-mahotsavena	sadRSa--suBaga--kapola--karNa-kaNWa-nAsaH vigUXa--smita--vadana--mahA-utsavena
   pura-vanitānāṃ manasi kusuma-śarāsanam upadadhānaḥ	pura--vanitAnAm manasi kusuma--SarAsanam upadaDAnaH
   parāg-avalambamāna-kuṭila-jaṭila-kapiśa-keśa-bhūri-bhāro	parAg-avalambamAna--kuwila--jawila-ka-piSa--keSa--BUri-BAraH-
   'vadhūta-malina-nija-śarīreṇa graha-gṛhīta ivādṛśyata	avaDUta--malina-nija--SarIreNa graha-gRhItaH iva-adRSyata
   BhP_05.05.032/1 yarhi vāva sa bhagavān lokam imaṃ yogasyāddhā pratīpam	Bhu-_05.05.032/1 yarhi vAva sa BagavAn lokam imam yogasya-adDA pratIpam
   ivācakṣāṇas tat-pratikriyā-karma bībhatsitam iti vratam ājagaram-āsthitaḥ	iva-AcakzANaH tat--pratikriyA-a-karma bIBatsitam iti vratam Ajagaram--a-AsTitaH
   śayāna evāśnāti pibati khādaty avamehati hadati sma ceṣṭamāna uccarita	SayAnaH eva-aSnAti pibati KAdati avamehati hadati sma cezwamAnaH uccarita
   ādigdhoddeśaḥ	AdigDa-uddeSaH
   BhP_05.05.033/1 tasya ha yaḥ purīṣa-surabhi-saugandhya-vāyus taṃ deśaṃ	Bhu-_05.05.033/1 tasya ha yaH purIza--suraBi--sOganDya--vAyuH tam deSam
   daśa-yojanaṃ samantāt surabhiṃ cakāra	daSa--yojanam samantAt suraBim cakAra
   BhP_05.05.034/1 evaṃ go-mṛga-kāka-caryayā vrajaṃs tiṣṭhann āsīnaḥ śayānaḥ	Bhu-_05.05.034/1 evam go-mRga--kAka--caryayA vrajan tizWan AsInaH SayAnaH
   kāka-mṛga-go-caritaḥ pibati khādaty avamehati sma	kAka--mRga-go-caritaH pibati KAdati avamehati sma
   BhP_05.05.035/1 iti nānā-yoga-caryācaraṇo bhagavān kaivalya-patir ṛṣabho	BhP_05.05.035/1 iti nAnA--yoga-caryA-caraNaH BagavAn kEvalya-patiH RzaBaH-
   'virata-parama-mahānandānubhava ātmani sarveṣāṃ bhūtānām ātma-bhūte	avirata-parama--mahA-Ananda-anuBavaH Atmani sarvezAm BUtAnAm Atma-BUte
   bhagavati vāsudeva ātmano 'vyavadhānānanta-rodara-bhāvena	Bagavati vAsudevaH AtmanaH avyavaDAna-ananta-ra-udara--BAvena
   siddha-samastārtha-paripūrṇo yogaiśvaryāṇi	sidDa--samasta-arTa--paripUrNaH yoga-ESvaryANi
   vaihāyasa-mano-javāntardhāna-parakāya-praveśa-dūra-grahaṇādīni	vEhAyasa--mano--java-antarDAna--parakAya--praveSa--dUra-grahaNa-AdIni
   yadṛcchayopagatāni nāñjasā nṛpa hṛdayenābhyanandat	yadRcCayA-upagatAni na-aQjasA nRpa hRdayena-aByanandat-
   BhP_05.06.001/0 rājovāca	BhP_05.06.001/0 rAjA-uvAca
   BhP_05.06.001/1 na nūnaṃ bhagava ātmārāmāṇāṃ	Bhu-_05.06.001/1 na nUnam BagavaH Atma-ArAmANAm
   yoga-samīrita-jñānāvabharjita-karma-bījānām aiśvaryāṇi punaḥ kleśadāni	yoga--samIrita--jQAna-avaBarjita--karma--bIjAnAm ESvaryANi punar kleSa-dAni
   bhavitum arhanti yadṛc-chayopagatāni	Bavitum arhanti yadRc--Caya-upagatAni
   BhP_05.06.002/0 ṛṣir uvāca	BhP_05.06.002/0 RziH uvAca
   BhP_05.06.002/1 satyam uktaṃ kintv iha vā eke na manaso 'ddhā viśrambham	Bhu-_05.06.002/1 satyam uktam kintu iha vE eke na manasaH adDAH viSramBam
   anavasthānasya śaṭha-kirāta iva saṅgacchante	anavasTAnasya SaWa-kirAtaH iva saFgacCante
   BhP_05.06.003/0 tathā coktam	Bhu-_05.06.003/0 taTA ca-uktam
   BhP_05.06.003/1 na kuryāt karhicit sakhyaṃ manasi hy anavasthite	Bhu-_05.06.003/1 na kuryAt karhicit saKyam manasi hi anavasTite
   BhP_05.06.003/2 yad-viśrambhāc cirāc cīrṇaṃ caskanda tapa aiśvaram	Bhu-_05.06.003/2 yat--viSramBAt cirAt cIrNam caskanda tapaH ESvaram
   BhP_05.06.004/1 nityaṃ dadāti kāmasya cchidraṃ tam anu ye 'rayaḥ	Bhu-_05.06.004/1 nityam dadAti kAmasya cCidram tam anu ye arayaH
   BhP_05.06.004/2 yoginaḥ kṛta-maitrasya patyur jāyeva puṃścalī	BhP_05.06.004/2 yoginaH kRta--mEtrasya patyuH jAyA-iva puMScalI
   BhP_05.06.005/1 kāmo manyur mado lobhaḥ śoka-moha-bhayādayaḥ	Bhu-_05.06.005/1 kAmaH manyuH madaH loBaH Soka-moha--Baya-AdayaH
   BhP_05.06.005/2 karma-bandhaś ca yan-mūlaḥ svīkuryāt ko nu tad budhaḥ	BhP_05.06.005/2 karma-banDaH ca yan-mUlaH svIkuryAt kaH nu tat buDaH
   BhP_05.06.006/1 athaivam akhila-loka-pāla-lalāmo 'pi vilakṣaṇair jaḍavad	Bhu-_05.06.006/1 aTa-evam aKila-loka-pAla--lalAmaH api vilakzaNEH jaxa-vat-
   avadhūta-veṣa-bhāṣā-caritair avilakṣita-bhagavat-prabhāvo yogināṃ	avaDUta--veza--BAzA--caritEH avilakzita-Bagavat--praBAvaH yoginAm
   sāmparāya-vidhim anuśikṣayan sva-kalevaraṃ jihāsur ātmany ātmānam	sAmparAya--viDim anuSikzayan sva-kalevaram jihAsuH Atmani AtmAnam
   asaṃvyavahitam anarthāntara-bhāvenānvīkṣamāṇa uparatānuvṛttir upararāma	asaMvyavahitam anarTa-antara--BAvena-anvIkzamANaH uparata-anuvRttiH upararAma
   BhP_05.06.007/1 tasya ha vā evaṃ mukta-liṅgasya bhagavata ṛṣabhasya	Bhu-_05.06.007/1 tasya ha vE evam mukta--liFgasya BagavataH RzaBasya
   yogamāyā-vāsanayā deha imāṃ jagatīm abhimānābhāsena saṅkramamāṇaḥ	yoga-mAyA--vAsanayA dehaH imAm jagatIm aBimAna-ABAsena saFkramamANaH
   koṅka-veṅka-kuṭakān dakṣiṇa-karṇāṭakān deśān yadṛcchayopagataḥ	koFka-veFka-kuwakAn dakziNa-karNAwakAn deSAn yadRcCayA-upagataH
   kuṭakācalopavana āsya kṛtāśma-kavala unmāda iva mukta-mūrdhajo 'saṃvīta	kuwaka-acala-upavanaH Asya kRta-aSma--kavalaH unmAdaH iva mukta-mUrDajaH asaMvIta
   eva vicacāra	eva vicacAra
   BhP_05.06.008/1 atha samīra-vega-vidhūta-veṇu-vikarṣaṇa-jātogra-dāvānalas	Bhu-_05.06.008/1 aTa samIra--vega--viDUta-veNu--vikarzaNa--jAta-ugra-dAva-analas
   tad vanam ālelihānaḥ saha tena dadāha	tat vanam AlelihAnaH saha tena dadAha
   BhP_05.06.009/1 yasya kilānucaritam upākarṇya koṅka-veṅka-kuṭakānāṃ	Bhu-_05.06.009/1 yasya kila-anucaritam upAkarNya koFka-veFka-kuwakAnAm
   rājārhan-nāmopaśikṣya kalāv adharma utkṛṣyamāṇe bhavitavyena vimohitaḥ	rAjA-arhan-nAma-upaSikzya kalO aDarmaH utkRzyamANe Bavitavyena vimohitaH
   sva-dharma-patham akuto-bhayam apahāya kupatha-pākhaṇḍam asamañjasaṃ	sva-Darma--paTam akuto-Bayam apahAya kupaTa--pAKaNxam asamaQjasam
   nija-manīṣayā mandaḥ sampravartayiṣyate	nija-manIzayA mandaH sampravartayizyate
   BhP_05.06.010/1 yena ha vāva kalau manujāpasadā deva-māyā-mohitāḥ	Bhu-_05.06.010/1 yena ha vAva kalO manuja-apasadAH deva-mAyA--mohitAH
   sva-vidhi-niyoga-śauca-cāritra-vihīnā deva-helanāny apavratāni	sva--viDi--niyoga--SOca--cAritra--vihInAH deva--helanAni apavratAni
   nija-nijecchayā gṛhṇānā asnānānācamanāśauca-keśolluñcanādīni	nija--nija-icCayA gRhNAnAH asnAnAn-Acamana-ASOca-keSa-ulluQcana-AdIni
   kalinādharma-bahulenopahata-dhiyo	kalinA-aDarma--bahulena-upahata-DiyaH-
   brahma-brāhmaṇa-yajña-puruṣa-loka-vidūṣakāḥ prāyeṇa bhaviṣyanti	brahma--brAhmaNa-yajQa--puruza--loka--vidUzakAH prAyeNa Bavizyanti
   BhP_05.06.011/1 te ca hy arvāktanayā	Bhu-_05.06.011/1 te ca hi arvAktanayA
   nija-loka-yātrayāndha-paramparayāśvastās tamasy andhe svayam eva	nija--loka-yAtrayA-anDa--paramparayA-ASvastAH tamasi anDe svayam eva
   prapatiṣyanti	prapatizyanti
   BhP_05.06.012/1 ayam avatāro rajasopapluta-kaivalyopaśikṣaṇārthaḥ	Bhu-_05.06.012/1 ayam avatAraH rajasA-upapluta--kEvalya-upaSikzaNa-arTaH
   BhP_05.06.013/0 tasyānuguṇān ślokān gāyanti----	Bhu-_05.06.013/0 tasya-anuguNAn SlokAn gAyanti----
   BhP_05.06.013/1 aho bhuvaḥ sapta-samudravatyā dvīpeṣu varṣeṣv adhipuṇyam	Bhu-_05.06.013/1 aho BuvaH sapta--samudravatyAH dvIpezu varzezu aDi-puNyam
   etat	etat-
   BhP_05.06.013/2 gāyanti yatratya-janā murāreḥ karmāṇi bhadrāṇy	Bhu-_05.06.013/2 gAyanti yatratya-janAH murAreH karmANi BadrANi-
   avatāravanti	avatAravanti
   BhP_05.06.014/1 aho nu vaṃśo yaśasāvadātaḥ praiyavrato yatra pumān purāṇaḥ	Bhu-_05.06.014/1 aho nu vaMSaH yaSasA-avadAtaH prEyavrataH yatra pumAn purANaH
   BhP_05.06.014/2 kṛtāvatāraḥ puruṣaḥ sa ādyaś cacāra dharmaṃ yad	Bhu-_05.06.014/2 kRta-avatAraH puruzaH saH AdyaH cacAra Darmam yat-
   akarma-hetum	akarma--hetum
   BhP_05.06.015/1 ko nv asya kāṣṭhām aparo 'nugacchen mano-rathenāpy	Bhu-_05.06.015/1 kaH nu asya kAzWAm aparaH anugacCet mano--raTena-api-
   abhavasya yogī	aBavasya yogI
   BhP_05.06.015/2 yo yoga-māyāḥ spṛhayaty udastā hy asattayā yena	Bhu-_05.06.015/2 yaH yoga-mAyAH spRhayati udastAH hi asat-tayA yena
   kṛta-prayatnāḥ	kRta--prayatnAH
   BhP_05.06.016/1 iti ha sma sakala-veda-loka-deva-brāhmaṇa-gavāṃ	Bhu-_05.06.016/1 iti ha sma sakala--veda--loka--deva--brAhmaNa--gavAn
   parama-guror bhagavata ṛṣabhākhyasya viśuddhācaritam īritaṃ puṃsāṃ	parama-guroH BagavataH RzaBa-AKyasya viSudDa-Acaritam Iritam puMsAm
   samasta-duścaritābhiharaṇaṃ parama-mahā-maṅgalāyanam idam	samasta--duScarita-aBiharaNam parama--mahA-maFgala-ayanam idam
   anuśraddhayopacitayānuśṛṇoty āśrāvayati vāvahito bhagavati tasmin vāsudeva	anuSradDayA-upacitayA-anuSRNoti ASrAvayati vA-avahitaH Bagavati tasmin vAsudeva
   ekāntato bhaktir anayor api samanuvartate	ekAntataH BaktiH anayoH api samanuvartate
   BhP_05.06.017/1 yasyām eva kavaya ātmānam avirataṃ	Bhu-_05.06.017/1 yasyAm eva kavayaH AtmAnam aviratam
   vividha-vṛjina-saṃsāra-paritāpopatapyamānam anusavanaṃ snāpayantas tayaiva	viviDa--vRjina--saMsAra--paritApa-upatapyamAnam anusavanam snApayantaH tayA-eva
   parayā nirvṛtyā hy apavargam ātyantikaṃ parama-puruṣārtham api svayam	parayA nirvRtyA hi apavargam Atyantikam parama--puruza-arTam api svayam
   āsāditaṃ no evādriyante bhagavadīyatvenaiva parisamāpta-sarvārthāḥ	AsAditam naH eva-Adriyante BagavadIya-tvena-eva parisamApta--sarva-arTAH
   BhP_05.06.018/1 rājan patir gurur alaṃ bhavatāṃ yadūnāṃ	Bhu-_05.06.018/1 rAjan patiH guruH alam BavatAm yadUnAm
   BhP_05.06.018/2 daivaṃ priyaḥ kula-patiḥ kva ca kiṅkaro vaḥ	Bhu-_05.06.018/2 dEvam priyaH kula-patiH kva ca kiFkaraH vaH
   BhP_05.06.018/3 astv evam aṅga bhagavān bhajatāṃ mukundo	Bhu-_05.06.018/3 astu evam aFga BagavAn BajatAm mukundaH-
   BhP_05.06.018/4 muktiṃ dadāti karhicit sma na bhakti-yogam	Bhu-_05.06.018/4 muktim dadAti karhicit sma na Bakti--yogam
   BhP_05.06.019/1 nityānubhūta-nija-lābha-nivṛtta-tṛṣṇaḥ	Bhu-_05.06.019/1 nitya-anuBUta--nija--lABa--nivRtta--tRzNaH
   BhP_05.06.019/2 śreyasy atad-racanayā cira-supta-buddheḥ	Bhu-_05.06.019/2 Sreyasi atad-racanayA cira-supta-budDeH
   BhP_05.06.019/3 lokasya yaḥ karuṇayābhayam ātma-lokam	Bhu-_05.06.019/3 lokasya yaH karuNayA-aBayam Atma-lokam
   BhP_05.06.019/4 ākhyān namo bhagavate ṛṣabhāya tasmai	BhP_05.06.019/4 AKyAn namaH Bagavate RzaBAya tasmE
   BhP_05.07.001/0 śrī-śuka uvāca	BhP_05.07.001/0 SrI-SukaH uvAca
   BhP_05.07.001/1 bharatas tu mahā-bhāgavato yadā	Bhu-_05.07.001/1 BarataH tu mahA--BAgavataH yadA
   bhagavatāvani-tala-paripālanāya sañcintitas tad-anuśāsana-paraḥ pañcajanīṃ	BagavatOvani-tala--paripAlanAya saQcintitaH tad--anuSAsana--paraH paQcajanIm
   viśvarūpa-duhitaram upayeme	viSvarUpa--duhitaram upayeme
   BhP_05.07.002/1 tasyām u ha vā ātmajān kārtsnyenānurūpān ātmanaḥ pañca	Bhu-_05.07.002/1 tasyAm u ha vE AtmajAn kArtsnyena-anurUpAn AtmanaH paQca
   janayām āsa bhūtādir iva bhūta-sūkṣmāṇi sumatiṃ rāṣṭrabhṛtaṃ sudarśanam	janayAm Asa BUtAdiH iva BUta--sUkzmANi sumatim rAzwraBRtam sudarSanam
   āvaraṇaṃ dhūmraketum iti	AvaraNam DUmraketum iti
   BhP_05.07.003/1 ajanābhaṃ nāmaitad varṣaṃ bhāratam iti yata ārabhya	Bhu-_05.07.003/1 ajana-ABam nAma-etat varzam BAratam iti yatas AraBya
   vyapadiśanti	vyapadiSanti
   BhP_05.07.004/1 sa bahuvin mahī-patiḥ pitṛ-pitāmahavad uru-vatsalatayā sve	Bhu-_05.07.004/1 sa bahu-vid mahI--patiH pitR-pitAmaha-vat uru--vatsala-tayA sve
   sve karmaṇi vartamānāḥ prajāḥ sva-dharmam anuvartamānaḥ paryapālayat	sve karmaNi vartamAnAH prajAH sva--Darmam anuvartamAnaH paryapAlayat-
   BhP_05.07.005/1 īje ca bhagavantaṃ yajña-kratu-rūpaṃ kratubhir uccāvacaiḥ	Bhu-_05.07.005/1 Ije ca Bagavantam yajQa-kratu--rUpam kratuBiH uccAvacEH
   śraddhayāhṛtāgnihotra-darśa-pūrṇamāsa-cāturmāsya-paśu-somānāṃ	SradDayA-AhRta-agnihotra--darSa--pUrNamAsa--cAturmAsi-a-paSu--somAnAm
   prakṛti-vikṛtibhir anusavanaṃ cāturhotra-vidhinā	prakRti-vikRtiBiH anusavanam cAturhotra-viDinA
   BhP_05.07.006/1 sampracaratsu nānā-yāgeṣu viracitāṅga-kriyeṣv apūrvaṃ yat	Bhu-_05.07.006/1 sampracaratsu nAnA--yAgezu viracita-aFga-kriyezu apUrvam yat-
   tat kriyā-phalaṃ dharmākhyaṃ pare brahmaṇi yajña-puruṣe	tat kriyA--Palam Darma-AKyam pare brahmaNi yajQa-puruze
   sarva-devatā-liṅgānāṃ mantrāṇām artha-niyāma-katayā sākṣāt-kartari	sarva--devatA--liFgAnAm mantrANAm arTa-niyAma-katayA sAkzAt-kartari
   para-devatāyāṃ bhagavati vāsudeva eva bhāvayamāna	para-devatAyAm Bagavati vAsudevaH eva BAvayamAna
   ātma-naipuṇya-mṛdita-kaṣāyo haviḥṣv adhvaryubhir gṛhyamāṇeṣu sa yajamāno	Atma--nEpuNya--mRdita-kazAyaH haviHzu aDvaryuBiH gRhyamANezu sa yajamAnaH-
   yajña-bhājo devāṃs tān puruṣāvayaveṣv abhyadhyāyat	yajQa--BAjaH devAn tAn puruza-avayavezu aByaDyAyat-
   BhP_05.07.007/1 evaṃ karma-viśuddhyā	Bhu-_05.07.007/1 evam karma--viSudDyA
   viśuddha-sattvasyāntar-hṛdayākāśa-śarīre brahmaṇi bhagavati vāsudeve	viSudDa--sattvasya-antar-hRdaya-AkASa--SarIre brahmaNi Bagavati vAsudeve
   mahā-puruṣa-rūpopalakṣaṇe śrīvatsa-kaustubha-vana-mālāri-dara-gadādibhir	mahA--puruza--rUpa-upalakzaNe SrIvatsa--kOstuBa--vana--mAlA-ari-dara--gada-AdiBiH-
   upalakṣite nija-puruṣa-hṛl-likhitenātmani puruṣa-rūpeṇa virocamāna	upalakzite nija--puruza--hRl-liKitena-Atmani puruza--rUpeNa virocamAna
   uccaistarāṃ bhaktir anudinam edhamāna-rayājāyata	uccEstarAm BaktiH anudinam eDamAna--raya-ajAyata
   BhP_05.07.008/1 evaṃ varṣāyuta-sahasra-paryantāvasita-karma-nirvāṇāvasaro	Bhu-_05.07.008/1 evam varza-ayuta--sahasra--paryanta-avasita-karma--nirvANO=-asaraH-
   'dhibhujyamānaṃ sva-tanayebhyo rikthaṃ pitṛ-paitāmahaṃ yathā-dāyaṃ	aDiBujyamAnam sva--tanayeByaH rikTam pitR-pEtAmaham yaTA-dAyam
   vibhajya svayaṃ sakala-sampan-niketāt sva-niketāt pulahāśramaṃ pravavrāja	viBajya svayam sakala--sampan-niketAt sva-niketAt pulaha-ASramam pravavrAja
   BhP_05.07.009/1 yatra ha vāva bhagavān harir adyāpi tatratyānāṃ	Bhu-_05.07.009/1 yatra ha vAva BagavAn hariH adya-api tatratyAnAm
   nija-janānāṃ vātsalyena sannidhāpyata icchā-rūpeṇa	nija-janAnAm vAtsalyena san=-iDApyatas icCA--rUpeNa
   BhP_05.07.010/1 yatrāśrama-padāny ubhayato nābhibhir dṛṣac-cakraiś	Bhu-_05.07.010/1 yatra-ASrama--padAni uBayatas nABiBiH dRzac-cakrEH-
   cakra-nadī nāma sarit-pravarā sarvataḥ pavitrī-karoti	cakra-nadI nAma sarit--pravarA sarvatas pavitrI--karoti
   BhP_05.07.011/1 tasmin vāva kila sa ekalaḥ pulahāśramopavane	Bhu-_05.07.011/1 tasmin vAva kila saH ekalaH pulaha-ASrama-upavane
   vividha-kusuma-kisalaya-tulasikāmbubhiḥ kanda-mūla-phalopahāraiś ca	viviDa--kusuma--kisalaya---tulasikA-ambuBiH kanda--mUla-Pala-upahArEH ca
   samīhamāno bhagavata ārādhanaṃ vivikta uparata-viṣayābhilāṣa	samIhamAnaH BagavataH ArADanam vivikte uparata--vizaya-aBilAza
   upabhṛtopaśamaḥ parāṃ nirvṛtim avāpa	upaBRta-upaSamaH parAm nirvRtim avApa
   BhP_05.07.012/1 tayettham avirata-puruṣa-paricaryayā bhagavati	Bhu-_05.07.012/1 tayA-itTam avirata-puruza--paricaryayA Bagavati
   pravardhamānā-nurāga-bhara-druta-hṛdaya-śaithilyaḥ praharṣa-vegenātmany	pravarDamAnA--nurAga--Bara-druta--hRdaya--SETilyaH praharza--vegena-Atmani-
   udbhidyamāna-roma-pulaka-kulaka	udBidyamAna--roma--pulaka-kulaka
   autkaṇṭhya-pravṛtta-praṇaya-bāṣpa-niruddhāvaloka-nayana evaṃ	OtkaNWya--pravRtta--praNaya--bAzpa--nirudDa-avaloka-nayane evam
   nija-ramaṇāruṇa-caraṇāravindānudhyāna-paricita-bhakti-yogena	nija---ramaNa-aruNa--caraNa-aravinda-anuDyAna--paricita-Bakti-yogena
   paripluta-paramāhlāda-gambhīra-hṛdaya-hradāvagāḍha-dhiṣaṇas tām api	paripluta-parama-AhlAda--gamBIra--hRdaya-hrada-avagAXa---DizaNaH tAm api
   kriyamāṇāṃ bhagavat-saparyāṃ na sasmāra	kriyamANAm Bagavat--saparyAm na sasmAra
   BhP_05.07.013/1 itthaṃ dhṛta-bhagavad-vrata	Bhu-_05.07.013/1 itTam DRta-Bagavat--vrata
   aiṇeyājina-vāsasānusavanābhiṣekārdra-kapiśa-kuṭila-jaṭā-kalāpena ca	ENeya-ajina--vAsasA-anusavana-aBizeka-Ardra-ka-piSa--kuwila--jawA--kalApena ca
   virocamānaḥ sūryarcā bhagavantaṃ hiraṇmayaṃ puruṣam ujjihāne sūrya-maṇḍale	virocamAnaH sUryaRcAH Bagavantam hiraNmayam puruzam ujjihAne sUrya--maNxale
   'bhyupatiṣṭhann etad u hovāca	aByupatizWan etat u ha-uvAca
   BhP_05.07.014/1 paro-rajaḥ savitur jāta-vedo devasya bhargo manasedaṃ	Bhu-_05.07.014/1 paro-rajaH savituH jAta-vedaH devasya BargaH manasA-idam
   jajāna	jajAna
   BhP_05.07.014/2 suretasādaḥ punar āviśya caṣṭe haṃsaṃ gṛdhrāṇaṃ	BhP_05.07.014/2 suretasAdaH punar AviSya cazwe haMsam gRDrANam
   nṛṣad-riṅgirām imaḥ	nRzad-riFgirAm imaH
   BhP_05.08.001/0 śrī-śuka uvāca	BhP_05.08.001/0 SrI-SukaH uvAca
   BhP_05.08.001/1 ekadā tu mahā-nadyāṃ kṛtābhiṣeka-naiyamikāvaśyako	Bhu-_05.08.001/1 ekadA tu mahA--nadyAm kRta-aBizeka--nEyamikA-vaSya-kaH-
   brahmākṣaram abhigṛṇāno muhūrta-trayam udakānta upaviveśa	brahma-akzaram aBigRNAnaH muhUrta--trayam udaka-ante upaviveSa
   BhP_05.08.002/1 tatra tadā rājan hariṇī pipāsayā jalāśayābhyāśam	Bhu-_05.08.002/1 tatra tadA rAjan hariNI pipAsayA jalASaya-aByASam
   ekaivopajagāma	ekA-eva-upajagAma
   BhP_05.08.003/1 tayā pepīyamāna udake tāvad evāvidūreṇa nadato mṛga-pater	Bhu-_05.08.003/1 tayA pepIyamAnaH udake tAvat eva-avidUreNa nadataH mRga-pateH-
   unnādo loka-bhayaṅkara udapatat	unnAdaH loka-BayaFkaraH udapatat-
   BhP_05.08.004/1 tam upaśrutya sā mṛga-vadhūḥ prakṛti-viklavā	Bhu-_05.08.004/1 tam upaSrutya sA mRga-vaDUH prakRti-viklavA
   cakita-nirīkṣaṇā sutarām api hari-bhayābhiniveśa-vyagra-hṛdayā	cakita-nirIkzaNA sutarAm api hari-Baya-aBiniveSa--vyagra--hRdayA
   pāriplava-dṛṣṭir agata-tṛṣā bhayāt sahasaivoccakrāma	pAriplava--dRzwiH agata-tRzA BayAt sahasA-eva-uccakrAma
