   ṣaṣṭha ucchvāsaḥ	zazWaH ucCvAsaH
   tadasadṛśamidamāryasya /	tat-asadRSam-idam-Aryasya /
   yadyapi ca vibhuranabhimānaḥ /	yadi-api ca viBuH-anaBimAnaH /
   dvijātiraneṣaṇaḥ, muniraroṣaṇaḥ, kapiracapalaḥ /	dvijAtiH-anezaNaH, muniH-arozaNaH, kapiracapalaH /
   kaviramatsaraḥ, vaṇigataskaraḥ priyajānirakuhanaḥ, sādhuradaridraḥ,	kaviH-amatsaraH, vaNi-j-ataskaraH priya-jAniH-akuhanaH, sADuH-adaridraH,
   draviṇavānakhalaḥ, kīnāśo 'nakṣigataḥ, mṛgayurahiṃsraḥ, pārāśarī	draviNavAn-aKalaH, kInASaH anakzi-gataH, mRgayuH-ahiMsraH, pArASarI
   brāhnaṇyaḥ, sevakaḥ sukhī, kitavaḥ kṛtajñaḥ, parivrāḍabubhukṣuḥ, nṛśaṃsaḥ	brAhnaNyaH, sevakaH suKI, kitavaH kRtajQaH, parivrAxa-buBukzuH, nRSaMsaH
   priyavāk, amātyaḥ satyavādīḥ, rājasūnuradurvinītaśca jagati durlabhaḥ,	priya-vAk, amAtyaH satya-vAdIH, rAja-sUnuH-adurvinItaH-ca jagati durlaBaH,
   tathāpi mamārya evācāryaḥ /	taTA-api mama-AryaH eva-AcAryaH /
   ko hi nāma tadvidhe nipatite rājagandhakuñjare janayitari cedṛśe	kaH hi nAma tadviDe nipatite rAja-ganDa-kuQjare janayitari ca-IdRSe
   viphalīkṛtaviśālaśilāstambhorubhuje bhūbhuji bhrātari tyaktarājye jyāyasi	viPalIkRta-viSAla-SilA-stamBa-Uru-Buje BUBuji BrAtari tyakta-rAjye jyAyasi
   navavayasi tapovanaṃ gacchati sakalalokalocanajalapātāpavitraṃ mṛdgolakaṃ	nava-vayasi tapaH-vanam gacCati sakala-loka-locana-jala-pAta-apavitram mRd-golakam
   vasudhābhidhānaṃ	vasuDA-aBiDAnam
   dhanamadakhelanikhilakhalamukhavikāralakṣaṇākhyāyamānanīcācaraṇāṃ	Dana-mada-Kela-niKila-Kala-muKa-vikAra-lakzaNa-AKyAyamAna-nIca-AcaraNAm
   śrosaṃjñikāṃ subhaṭakuṭumbakarmakumbhadāsīṃ caṇḍālo 'pi kāmayeta /	SrosaMjQikAm su-Bawa-kuwumba-karma-kumBa-dAsIm caNxAlaH api kAmayeta /
   kathamiva saṃbhāvitamatyantamanucitamidamāryeṇa /	kaTam-iva saMBAvitam-atyantam-anucitam-idam-AryeNa /
   kimupalakṣitamanavadātamidaṃ mayi /	kim-upalakzitam-anavadAtam-idam mayi /
   kiṃ vāsya cetasaścyutaḥ saumitrirvismṛtā vā vṛkodaraprabhṛtayaḥ /	kim vA-asya cetasaH-cyutaH sOmitriH-vismRtAH vA vRkodara-praBRtayaH /
   anapekṣitabhaktajanā svārthaikaniṣpādananiṣṭhurā nāsīdiyamāryasyedṛśī	anapekzita-Bakta-janA sva-arTa-eka-nizpAdana-nizWurA na-AsIt-iyam-Aryasya-IdRSI
   prabhaviṣṇutā /	praBavizNu-tA /
   api cārye tapovanaṃ gate jijīvaṣuḥ ko manasāpi mahīṃ dhyāyet /	api ca-Arye tapaH-vanam gate jijIvazuH kaH manasA-api mahIm DyAyet /
   kuliśaśikharakharanakharapracayapracaṇḍacapeṭāpāṭitamattamātaṅgottamāḍgamadacchaṭācchuritacārukesarabhārabhāsvaramukhe	kuliSa-SiKara-Kara-naKara-pracaya-pracaNxa-capewA-pAwita-matta-mAtaFga-utta-mAxga-mada=-CawA-AcCurita-cAru-kesara-BAra-BAsvara-muKe
   kesariṇi vanavihārāya vinirgate nivāsa giriguhāṃ kaḥ pāti pṛṣṭhataḥ /	kesariNi vana-vihArAya vinirgate nivAsa giri-guhAm kaH pAti pRzWatas /
   pratāpasahāyā hi sattvavantaḥ /	pratApa-sahAyAH hi sattvavantaH /
   kaścapalāṃ rājalakṣmīṃ pratyanurodho 'yamāryasya yadiyamapi na	kaH-capalAm rAja-lakzmIm pratyanuroDaH ayam-Aryasya yat-iyam-api na
   cīvarāntaritakucā kuśakusumasamitpalāśapūlikāṃ vahantī tatraiva tapovane	cIvara-antarita-kucA kuSa-kusuma-samiD-palASa-pUlikAm vahantI tatra-eva tapaH-vane
   vanamṛgīva nīyate jarājālinī /	vanamRgI-iva nIyate jarA-jAlinI /
   kiṃvā mamānena vṛthā bahudhā bikalpitena tūṣṇīmevāryamanugamiṣyāmi /	kiMvA mama-anena vRTA bahuDA bikalpitena tUzNIm-eva-Aryam-anugamizyAmi /
   guruvacanātikramakṛtaṃ ca kilviṣametattapovane tapa evāpāsyati' /	guru-vacana-atikrama-kRtam ca kilvizam-etat-tapaH-vane tapaH eva-apAsyati-a /
   ityavadhārya manasā prathamataraṃ	iti-avaDArya manasA praTamataram
   gatastapovanamadhomukhastūṣṇīmavātiṣṭhata /	gataH-tapaH-vanam-aDomuKaH-tUzNIm-avAtizWata /
   atrāntare pūrvādiṣṭenaiva rudatā vastrakarmāntikena samupasthāpiteṣu	atra-antare pUrva-Adizwena-eva rudatA vastrakarmAntikena samupasTApitezu
   valkaleṣu, nirdayakaratalatāḍanabhiyeva vkāpi gate hṛdaye, raṭati	valkala-izu, nirdaya-kara-tala-tAxana-BiyA-iva vkApi gate hRdaye, rawati
   rājastraiṇe, tāramabrahnaṇyamūrdhvadoṣṇi virudati viprajane,	rAjastrENe, tAram-abrahnaNyam-UrDva-dozNi virudati vipra-jane,
   pādapraṇatipare phūtkurvati pauravṛnde, vidrāti vidrutacetasi cirantane	pAda-praNati-pare PUtkurvati pOra-vRnde, vidrAti vidruta-cetasi cirantane
   parijane, parijanāvalambite gate varṣīyasi, vepamānavapuṣi,	parijane, parijana-avalambite gate varzIyasi, vepamAna-vapuzi,
   paryākulavāsasi, śokagadgadavacasi, vigalitanayanapayasi,	paryAkula-vAsasi, Soka-gadgada-vacasi, vigalita-nayana-payasi,
   nivāraṇodyatamanasi, viśati bandhuvarge, nirāśeṣu	nivAraNa-udyata-manasi, viSati banDu-varge, nirASezu
   nakhalikhitamaṇikuṭṭimeṣvavāṅmukhena niḥśvasatsu sāmanteṣu, sabālavṛddhāsu	naKa-liKita-maNi-kuwwimezu-avAFmuKena niHSvasatsu sAmanta-izu, sa-bAla-vRdDAsu
   tapovanāya prasthitāsu sarvāsu prajāsu sahasaiva praviśya śokaviklavaḥ	tapaH-vanAya prasTitAsu sarvAsu prajAsu sahasA-eva praviSya Soka-viklavaH
   prakṣaritanayanasalilo rājyaśriyaḥ paricārakaḥ saṃvādako nāma prajñātatamo	prakzarita-nayana-salilaH rAjya-SriyaH paricArakaH saMvAdakaH nAma prajQAtatamaH-
   vimuktākrandaḥ sadasyātmānamapātayat /	vimukta-AkrandaH sadasyAtmAnam-apAtayat /
   atha saṃbhrānto bhrātrā saha svayaṃ devo rājyavardhanastaṃ	aTa saMBrAntaH BrAtrA saha svayam devaH rAjya-varDanaH-tam
   paryapṛcchat-"bhadra! bhaṇa bhaṇa	paryapRcCat-"Badra! BaNa BaNa
   kimasmadvyasanavyavasāyavardhanabaddhadhṛtiḥ, avanipatimaraṇamuditamatiḥ,	kim-asmad-vyasana-vyavasAya-varDana-badDa-DRtiH, avanipati-maraNa-mudita-matiH,
   adhṛtikaramaparamadhikataramito duḥkhātiśayaṃ samupanayati vidhiḥ' iti /	aDRti-karam-aparam-aDikataramitaH duHKa-atiSayam samupanayati viDiH-a iti /
   sa kathaṃ kathamapyakathayat--"deva! piśācānāmiva nīcātmanāṃ caritāni	sa kaTam kaTam-api-akaTayat--"deva! piSAcAnAm-iva nIca-AtmanAm caritAni
   chidraprahārīṇi prāyaśo bhavanti /	Cidra-prahArINi prAyaSas Bavanti /
   yato yasminnahanyavaniṃpatiruparata ityabhūdvārtā tasminneva devo	yatas yasmin=-ahani-avaniMpatiH-uparate iti-aBUt-vArtA tasmin=-eva devaH-
   grahavarmā durātmanā mālavarājena jīvalokamātmānaḥ sukṛtena saha tyājitaḥ	grahavarmA durAtmanA mAlava-rAjena jIva-lokam-AtmAnaH sukRtena saha tyAjitaH
   bhartṛdārikāpi rājyaśrīḥ kālāyasanigaḍayugalacumbitacaraṇā caurāṅganeva	BartR-dArikA-api rAjya-SrIH kAlAyasa-nigaxa-yugala-cumbita-caraNA cOra-aFganA-iva
   saṃyatā kānyakubje kārāyāṃ nikṣiptā /	saMyatA kAnyakubje kArAyAm nikziptAH /
   kiṃvadantī ca yathā kilānāyakaṃ sādhanaṃ matvā jighṛkṣuḥ sudurmatiretāmapi	kiMvadantI ca yaTA kila-AnAyakam sADanam matvA jiGRkzuH su-durmatiH-etAm-api
   bhuvamājigamiṣati /	Buvam-Ajigamizati /
   iti viñjñāpite prabhuḥ prabhavatīti /	iti viQjQApite praBuH praBavati-iti /
   tataśca tādṛśamanupekṣaṇīyamasaṃbhāvitamākasmikamupariṃ	tatas-ca tAdRSam-anupekzaNIyam-asaMBAvitam-Akasmikam-upariM
   vyatikaramākarṇyāśrutapūrvatvātparibhavasya, parapariṃbhavāsahiṣṇutayā ca	vyatikaram-AkarNya-aSruta-pUrva-tvAt-pariBavasya, para-pariMBava-asahizNu-tayA ca
   svabhāvasya, darpabahulatayā ca navayauvanasya, vīrakṣetrasaṃbhavatvācca	svaBAvasya, darpa-bahula-tayA ca nava-yOvanasya, vIra-kzetra-saMBava-tvAt-ca
   janmanaḥ, kṛpābhūmibhūtāyāśca svasuḥ snehātsa tādṛśo 'pi baddhamūlo	janmanaH, kRpA-BUmi-BUtAyAH-ca svasuH snehAt-sa tAdRSaH api badDa-mUlaH-
   'pyatyantagururekapada evāsya nanāsya nanāśa śokāvegaḥ /	api-atyanta-guruH-eka-padaH eva-asya nana-asya nanASa Soka-AvegaH /
   viveśa ca sahasā kesarīva giriguhāgṛhaṃ gabhīrahṛdayaṃ bhayaṅkaraḥ	viveSa ca sahasA kesarI-iva giri-guhA-gRham gaBIra-hRdayam BayaFkaraH
   kopāvegaḥ /	kopa-AvegaH /
   keśiniṣūdanaśaṅkākulakāliyabhaṅgurabhrūbhaṅgataraṅgiṇī śyāmāyamānā	keSinizUdana-SaFkA-Akula-kAliya-BaFgura-BrU-BaFga-taraFgiNI SyAmAyamAnA
   yamasvaseva prathīyasī lalāṭapaṭṭe bhīṣaṇā bhrukuṭirudabhidyata /	yama-svasA-iva praTIyasI lalAwa-pawwe BIzaNA BrukuwiH-udaBidyate /
   darpātparāmṛśannakhakiraṇasalilanirjharaiḥ	darpAt-parAmRSat-naKa-kiraNa-salila-nirJarEH
   samarabhārasaṃbhāvanābhiṣekamiva cakāra diṅnāgakumbhakūṭavikaṭasya	samara-BAra-saMBAvanA-aBizekam-iva cakAra diFnAga-kumBa-kUwa-vikawasya
   bāhuśikharakośasya vāmaḥ pāṇipallavaḥ /	bAhu-SiKara-koSasya vAmaH pANipallavaH /
   saṃgalatsvedasalilapūritodaro nirmūlaṃ mālavonmūlanāya gṛhītakeśa iva	saMgalat-sveda-salila-pUrita-udaraH nirmUlam mAlava-unmUlanAya gRhIta-keSaH iva
   durmadaśrīkacagrahotkaṇṭhayeva ca kampamānaḥ punarapi samutsasarpa	durmada-SrI-kaca-graha-utkaNWayA-iva ca kampamAnaH punar-api samutsasarpa
   bhīṣaṇaṃ kṛpāṇaṃ pāṇiraparaḥ /	BIzaNam kRpANam pANiH-aparaH /
   śastragrahaṇamuditarājalakṣmīkriyamāṇadiṣṭavṛddhividhutasindūradhūliri va	Sastra-grahaNa-mudita-rAja-lakzmI-kriyamANa-dizwa-vRdDi-viDuta-sindUra-DUliri va
   kapilaḥ kapolayoradṛsyata roṣarāgaḥ /	kapilaH kapolayoH-adRsyata roza-rAgaH /
   samāsannasakalamahīpālacūḍāmaṇicakrākramaṇajātāhaṅkāra iva ca samāruroha	samAsanna-sakala-mahIpAla-cUxAmaNi-cakra-AkramaNa-jAta-ahaFkAraH iva ca samAruroha
   vāmamūrudaṇḍamuttānitaścaraṇo dakṣiṇaḥ /	vAma-mUru-daNxam-uttAnitaH-caraNaH dakziNaH /
   niṣṭhurāṅguṣṭakaṣaṇaniṣṭhyūtadhūtadhūmalekho nirvīrorvīkaraṇāya	nizWura-aFguzwa-kazaNa-nizWyUta-DUta-DUma-leKaH nirvIra-urvIkaraNAya
   vimuktaśikha iva lilekha maṇikuṭṭimamitaraḥ pādapajhaḥ /	vimukta-SiKaH iva lileKa maNi-kuwwimam-itaraH pAda-pa-JaH /
   darpasphuṭitasarasavraṇocchalitarudhiracchaṭāvasekaiḥ śokaviṣaprasuptaṃ	darpa-sPuwita-sarasa-vraNa-ucCalita-ruDira=-CawA-vasekEH Soka-viza-prasuptam
   prabodhayanniva parākramamanujamavādīt--"āyuṣman! idaṃ rājakulam, amī	praboDayan=-iva parAkrama-manujam-avAdIt---"Ayuzman! idam rAja-kulam, amI
   bāndhavāḥ, parijano 'yam, iyaṃ bhūmiḥ, bhūpatibhujaparighapālitāścaitāḥ	bAnDavAH, parijanaH ayam, iyam BUmiH, BUpati-Buja-pariGa-pAlitAH-ca-etAH
   prajāḥ, gato 'hamadyaiva mālavarājakulapralayāya /	prajAH, gataH aham-adya-eva mAlava-rAja-kula-pralayAya /
   idameva tāvadvalkalagrahaṇamidameva tapaḥ śokāpagamopāyaścāyameva	idam-eva tAvat-valkala-grahaNam-idam-eva tapaH Soka-apagama-upAyaH-ca-ayam-eva
   yadatyantāvinītārinigrahaḥ /	yat-atyantA-vinIta-ari-nigrahaH /
   so 'yaṃ kuraṅgakaiḥ kacagrahaḥ kesariṇaḥ, bhekaiḥ karapātaḥ kāla sarpasya,	saH ayam kuraFgakEH kaca-grahaH kesariNaH, BekEH kara-pAtaH kAla sarpasya,
   vatsakairbandigraho vyāghrasya, alagardairgalagraho garuḍasya,	vatsakEH-bandi-grahaH vyAGrasya, alagardEH-gala-grahaH garuxasya,
   dārubhirdāhādeśo dahanasya, timiraistiraskāro raveḥ, yo mālavaiḥ	dAruBiH-dAha-AdeSaH dahanasya, timirEH-tiraskAraH raveH, yaH mAlavEH
   paribhavaḥ puṣyabhūtivaṃśasya /	pariBavaH puzya-BUti-vaMSasya /
   antaritastāpo me mahīyasā manyunā /	antaritaH-tApaH me mahIyasA manyunA /
   tiṣṭhantu sarva eva rājānaḥ kariṇaśca tvayaiva sārdham /	tizWantu sarve eva rAjAnaH kariNaH-ca tvayA-eva sArDam /
   ayameko bhaṇḍirayutamātreṇa turaṅgamāṇāmanuyātumām' /	ayam-ekaH BaNxiH-ayuta-mAtreNa turaFgamANAm-anuyAtumAm-a /
   ityabhidhāya cānantarameva prayāṇapaṭahamādideśa /	iti-aBiDAya ca-anantaram-eva prayANa-pawaham-AdideSaH /
   taṃ ca tathā samādiśantamākarṇya	tam ca taTA samAdiSantam-AkarNya
   jāmijāmātṛvṛttāntavijñānaprakopādhānadūyamāne manasi nirvartanādeśena	jAmijA-mAtR-vRttAnta-vijQAna-prakopa-ADAna-dUyamAne manasi nirvartana-AdeSena
   dūraprarūḍhapraṇayapīḍa iva provāca devo harṣaḥ--"kimiva hi doṣaṃ	dUra-prarUXa-praNaya-pIxe iva provAca devaH harzaH--"kim-iva hi dozam
   paśyatyāryo mamānugamanena? yadi bāla iti nitarāṃ tarhi na parityājyo 'smi	paSyati-AryaH mama-anugamanena? yadi bAlaH iti nitarAm tarhi na parityAjyaH asmi
   rakṣaṇīya iti bhavadbhujapañjaro rakṣāsthānam, aśakta iti vka parīkṣito	rakzaNIyaH iti Bavat-Buja-paQjaraH rakzA-sTAnam, aSaktaH iti vka parIkzitaH-
   'smi, saṃvardhanīya iti viyogastanūkaroti, akleśasaha iti strīpakṣe	asmi, saMvarDanIyaH iti viyogaH-tanUka-roti, akleSa-sahaH iti strI-pakze
   nikṣipto 'smi, sukhamanubhavatviti tvayaiva saha tatprayāti, mahānadhvanaḥ	nikziptaH asmi, suKam-anuBavatu-iti tvayA-eva saha tad-prayAti, mahAn-aDvanaH
   kleśa iti virahāgniviṣahyataraḥ, kalatraṃ rakṣatviti śrīste nistriṃśe	kleSaH iti viraha-agni-vizahyataraH, kalatram rakzatu-iti SrIH-te nistriMSe
   'dhivasati, pṛṣṭhataḥ śūnyamiti tiṣṭhatyeva pratāpaḥ,	aDivasati, pRzWatas SUnyam-iti tizWati-eva pratApaH,
   rājakamanadhiṣṭhitamiti tatsubaddhamāryaguṇaiḥ, na bāhyaḥ sahāyo mahata	rAjakam-anaDizWitam-iti tad-su-badDam-Arya-guNEH, na bAhyaH sahAyaH mahata
   iti vyatiriktameva māṃ gaṇayati, pralaghuparikaraḥ prayāmīti pādarajasi ko	iti vyatiriktam-eva mAm gaNayati, pralaGu-parikaraH prayAmi-iti pAda-rajasi kaH-
   'tibhāraḥ, dvayorgamanamasāṃpratamiti māmanugṛhāṇa gamanājñayā, kātaro	ati-BAraH, dvayoH-gamanam-asAMpratam-iti mAm-anugRhANa gamana-AjQayA, kAtaraH-
   bhrātṛsneha iti sadṛśo doṣaḥ /	BrAtR-snehaH iti sadRSaH dozaH /
   kā ceyamātmaṃbharitā bhujasya te yadekākī	kA ca-iyam-AtmaMBaritA Bujasya te yat-ekAkI
   kṣīrodaphenapaṭalapāṇḍuramamṛtamiva yaśaḥ pipāsati /	kzIra-uda-Pena-pawala-pANxuram-amRtam-iva yaSaH pipAsati /
   avañcitapūrvo 'smi prasādeṣu /	avaQcita-pUrvaH asmi prasAdezu /
   tatprasīdatvāryo nayatu māmapi' --	tad-prasIdatvAryaH nayatu mAm-api-a --
   ityabhidhāya kṣititalavinihitamauliḥ pādayorapatat /	iti-aBiDAya kziti-tala-vi-nihita-mOliH pAdayoH-apatat /
   tamutthāpya punaragrajo jagāda--	tam-utTApya punar-agrajaH jagAda--
   "tāta! kimevamatimahārambhaparigrahaṇena garimāṇamāropyate	"tAta! kim-evam-ati-mahA-AramBa-parigrahaNena garimANam-Aropyate
   balādatilaghīyānapyahitaḥ /	balAt-atilaGIyAn-api-ahitaH /
   hariṇārthamatihrepaṇaḥ siṃhasaṃbhāraḥ /	hariNa-arTa-mati-hrepaNaH siMha-saMBAraH /
   tṛṇānāmupari kati kavacayantyāśuśukṣaṇayaḥ /	tRNAnAm-upari kati kavacayanti-ASu-SukzaNayaH /
   api ca tavāṣṭādaśadvīpāṣṭamaṅgalakamālinī medinyastyeva vikramasya viṣayaḥ	api ca tava-azwAdaSa-dvIpa-azwa-maFgalaka-mAlinI medini-asti-eva vikramasya vizayaH
   nahi kulaśailanivahavāhino vāyavaḥ saṃnahyantyatitarale tūlarāśau /	na-hi kula-SEla-nivaha-vAhinaH vAyavaH saMnahyanti-ati-tarale tUla-rASO /
   na sumeruvaprapraṇayapragalbhā vā divkariṇaḥ pariṇamantyaṇīyasi valmīke /	na sumeruvapra-praNaya-pragalBAH vA divkariNaH pariNamanti-aNIyasi valmIke /
   grahīṣyasi sakalapṛthvīpatipralayotpātamahādhūmaketuṃ māndhāteva	grahIzyasi sakala-pRTvIpati-pralaya-utpAta-mahA-DUmaketum mAnDAtA-iva
   cārucāmīkarapahkapatralatālaṅkārāṅkakāyaṃ kārmukaṃ kakubhāṃ vijaye /	cAru-cAmIkara-pahka-patra-latA-alaFkAra-aFka-kAyam kArmukam kakuBAm vijaye /
   mama tu durnivārāyāmasyāṃ vipakṣakṣapaṇakṣudhi kṣubhitāyāṃ	mama tu durnivArAyAmasyAm vipakza-kzapaNa-kzuDi kzuBitAyAm
   kṣamyatāmayamekākinaḥ kopakavala ekaḥ /	kzamyatAm-ayam-ekAkinaH kopa-kavale ekaH /
   tiṣṭhatu bhavān' /	tizWatu BavAn-a /
   ityabhidhāya ca tasminneva vāsare nirjagāmābhyamitram /	iti-aBiDAya ca tasmin=-eva vAsare nirjagAma-aByamitram /
   atha tathāgate bhrātari, uparate ca pitari, proṣitajīvite ca jāmātari,	aTa taTAgate BrAtari, uparate ca pitari, prozita-jIvite ca jAmAtari,
   mṛtāyāṃ ca mātari, saṃyatāyāṃ ca svasari, svayūthabhraṣṭa iva vanyaḥ karī	mRtAyAm ca mAtari, saMyatAyAm ca svasari, sva-yUTa-BrazwaH iva vanyaH karI
   devo harṣaḥ kathaṃ kathamapyekākī kālaṃ tamanaiṣīt /	devaH harzaH kaTam kaTam-api-ekAkI kAlam tam-anEzIt /
   atikrānteṣu bahuṣu vāsareṣu kadācittayaiva bhrātṛgamanaduḥkhāsikayā	atikrAntezu bahuzu vAsarezu kadAcid-tayA-eva BrAtR-gamana-duHKa-AsikayA
   dattaprajāgarasibhāgaśeṣāyāṃ triyāmāyāṃ yāmikena sīyamānāmimāmāryāṃ	datta-prajAgara-si-BAga-SezAyAm triyAmAyAm yAmikena sIyamAnAm-imAm-AryAm
   śuśrāva--	SuSrAva--
   dvīpopagītaguṇamapi samupārjitaratnarāśisāramapi /	dvIpa-upagIta-guNam-api samupArjita-ratna-rASi-sAram-api /
   potaṃ pavana iva vidhiḥ puruṣamakāṇḍe nipātayati // 6.3 //	potam pavanaH iva viDiH puruzam-akANxe nipAtayati // 6.3 //
   tāṃ ca śrutvā sutarāmanityatābhāvanayā dūyamānahṛdayaḥ	tAm ca SrutvA sutarAm-anitya-tA-BAvanayA dUyamAna-hRdayaH
   prakṣīṇabhūyiṣṭhāyāṃ kṣapāyāṃ kṣaṇamiva nidrāmalabhata /	prakzINa-BUyizWAyAm kzapAyAm kzaNam-iva nidrAm-alaBata /
   svapne cābraṃlihaṃ lohastambhaṃ bhajyamānamapaśyat /	svapne ca-abraMliham loha-stamBam BajyamAnam-apaSyat /
   utkampamānahṛdayaśca punaḥ pratyabudhyata /	utkampamAna-hRdayaH-ca punar pratyabuDyata /
   acintayacca--	acintayat-ca--
   "kiṃ nu khalu māmevamamī satatamanubadhnanti duḥsvapnāḥ /	"kim nu Kalu mAm-evam-amI satatam-anubaDnanti duHsvapnAH /
   sphurati ca divāniśamakalyāṇākhyānavicakṣaṇamadakṣiṇamakṣi /	sPurati ca divAniSama-kalyANa-AKyAna-vicakzaNam-adakziNam-akzi /
   sudāruṇāscākṣudrakṣitipakṣayamācakṣāṇāḥ kṣaṇamapi na śāmyanti punarutpātāḥ	su-dAruNAscA-kzudra-kzitipa-kzayam-AcakzANAH kzaNam-api na SAmyanti punar-utpAtAH
   pratyahaṃ rāhuravikalakāyabandha iva kabandhavati bradhnabimbe ghaṭamāno	pratyaham rAhuH-avikala-kAya-banDaH iva kabanDavati braDna-bimbe GawamAnaH-
   vibhāvyate /	viBAvyate /
   tapaḥkaraṇakālakavalitāniva dhūsaritasamagragrahānudgiranti dhūmodgārān	tapaH-karaNa-kAla-kavalitAn-iva DU-sarita-samagra-grahAn-udgiranti DUma-udgArAn
   saptarṣayaḥ /	saptarzayaH /
   dine dine dāruṇā diśāṃ dāhā dṛśyante /	dine dine dAruNAH diSAm dAhAH dRSyante /
   digdāhabhasmakaṇanikara iva nipatati nabhastalāttārāgaṇaḥ /	digdAha-Basma-kaNa-nikaraH iva nipatati naBaH-talAt-tArA-gaNaH /
   tārāpātaśuceva niṣprabhaḥ śasī /	tArA-pAta-SucA-iva nizpraBaH SasI /
   niśi niśi itastataḥ prajvalitābhirulkābhirugraṃ grahayuddhamiva viyati	niSi niSi itas-tatas prajvalitABiH-ulkABiH-ugram graha-yudDam-iva viyati
   vilokayanti vilolatārakāḥ kakubhaḥ /	vilokayanti vilola-tArakAH kakuBaH /
   rājyasaṃcārasūcakaḥ saṃcārayatīva kṣmāṃ vkāpi	rAjya-saMcAra-sUcakaH saMcArayati-iva kzmAm vkApi
   vahadbahalarajaḥpaṭalakalilaśarkarāśakalasūtkārī mārutaḥ /	vahat-bahala-rajaH-pawala-kalila-SarkarA-Sakalasu-utkArI mArutaH /
   na kuśalamiva paśyāmi lagnasya /	na kuSalam-iva paSyAmi lagnasya /
   asminnasmadvaṃśe kariṇa iva karīraṃ komalamapi kalayataḥ kṛtāntasya kaḥ	asmin=-asmad-vaMSe kariNaH iva karIram komalam-api kalayataH kRtAntasya kaH
   paripanthī? sarvathā svasti bhavatvāryāya' /	paripanTI? sarvaTA svasti Bavatu-AryAya-a /
   iti cintayitvā ca antarbhinnaṃ bhrātṛsnehakātaraṃ dravadiva hṛdayaṃ kathaṃ	iti cintayitvA ca antar-Binnam BrAtR-sneha-kAtaram dravat-iva hRdayam kaTam
   kathamapi saṃstabhyotthāya yathākriyamāṇaṃ kriyākalāpamakarot /	kaTam-api saMstaBya-utTAya yaTAkriyamANam kriyA-kalApam-akarot /
   āsthānagataśca sahasaiva praviśantam, anupraviśatā viṣaṇṇavadanena	AsTAna-gataH-ca sahasA-eva praviSantam, anupraviSatA vizaNNa-vadanena
   lokenānugamyamānam, asahyaduḥkhoṣṇaniḥśvāsadhūmaraktatantuneva malinena	lokena-anugamyamAnam, asahya-duHKa-uzNa-niHSvAsa-DUma-rakta-tantunA-iva malinena
   paṭena prāvṛtavapuṣam, jīvitadhāraṇalajjayevāvanatamukham, nāsāvaṃśasyāgre	pawena prAvRta-vapuzam, jIvita-DAraNa-lajjayA-iva-avanata-muKam, nAsA-=-aMSasya-agre
   grathitadṛṣṭim, duḥkhadūraprarūḍharomṇā mūkenāpi mukhena	graTita-dRzwim, duHKa-dUra-prarUXa-romNA mUkena-api muKena
   svāmivyasanamavicchinnairaśrubindubhirvijñāpayantaṃ kuntalaṃ nāma	svAmi-vyasanam-avicCinnEH-aSru-binduBiH-vijQApayantam kuntalam nAma
   bṛhadaśvavāram, rājyavardhanasya prasādabhūmimabhijñātatamaṃ dadarśa /	bRhadaSva-vAram, rAjya-varDanasya prasAda-BUmim-aBijQAtatamam dadarSa /
   dṛṣṭvā ca jātāśaṅkaścakṣuṣi salilena, mukhaśaśini śvasitena, hṛdaye	dRzwvA ca jAta-ASaFkaH-cakzuzi salilena, muKa-SaSini Svasitena, hRdaye
   hutāśanena utsaṅge bhuvā, dāruṇāpriyaśravaṇasamaye samamiva	hutASanena utsaFge BuvA, dAruNa-apriya-SravaNa-samaye samam-iva
   sarveṣvaṅgaṣvagṛhyata lokapālaiḥ /	sarvezu-aFgazu-agRhyata lokapAlEH /
   tasmācca helānirjitamālavānīkamapi gauḍādhipena mithyopacāropacitaviśvāsaṃ	tasmAt-ca helA-nirjita-m-Alava-anIkam-api gOxa-aDipena miTyA-upacAra-upacita-viSvAsam
   muktaśastramekākinaṃ viśrabdhaṃ svabhavana eva bhrātaraṃ	mukta-Sastram-ekAkinam viSrabDam sva-BavanaH eva BrAtaram
   vyāpāditamaśrauṣīt /	vyApAditam-aSrOzIt /
   śrutvā ca mahātejasvī pracaṇḍakopapāvakaprasaraparicīyamānaśokāvegaḥ	SrutvA ca mahA-tejasvI pracaNxa-kopa-pAvaka-prasara-paricIyamAna-Soka-AvegaH
   sahasaiva prajajvāla /	sahasA-eva prajajvAla /
   tataścāmarṣavidhutaśiraḥśīryamāṇaśikhāmaṇiśakalāṅgākitāṅgamiva	tatas-ca-amarza-viDuta-SiraH-SIryamANa-SiKA-maNi-Sakala-aFgAkita-aFgam-iva
   roṣāgnimudvamannanavaratasphuritena pibanniva sarvatejasvināmāyūṃṣi	roza-agnim-udvamannana-varata-sPuritena piban=-iva sarva-tejasvinAm-AyUMzi
   roṣanirbhugnena daśanacchadeva, lohitāyamānalocanālokavikṣepairdigdāhāniva	roza-nirBugnena daSanacCat-eva, lohitAyamAna-locana-Aloka-vikzepEH-digdAhAn-iva
   darśayan, roṣānalenāpyasahyasahajaśauryyoṣmadahanadahyamāneneva	darSayan, roza-analena-api-asahya-sahaja-SOryya-Uzma-dahana-dahyamAnena-iva
   vitanyamānasvedasalilaśīkarāsāradurdinaḥ,	vitanyamAna-sveda-salila-SIkara-AsAra-durdinaH,
