   pāṇḍitavaraśrīvāmanaviracitāni	pANxita-vara-SrI-vAmana-viracitAni
   prativastuprabhṛtirupamāprapañcaḥ // VKal_4,3.1 //	prativastu-praBRtiH-upamA-prapaQcaH // VKat-_4,3.1 //
   upameyasyoktau samānavastunyāsaḥ prativastu // VKal_4,3.2 //	upameyasya-uktO samAna-vastu-nyAsaH prativastu // VKat-_4,3.2 //
   anuktau samāsoktiḥ // VKal_4,3.3 //	anuktO samAsoktiH // VKat-_4,3.3 //
   kiñciduktāvaprastutapraśaṃsā // VKal_4,3.4 //	kiQcid-uktO=-aprastuta-praSaMsA // VKat-_4,3.4 //
   samena vastunānyāpalāpo 'pahnutiḥ // VKal_4,3.5 //	samena vastunAni-ApalApaH apahnutiH // VKat-_4,3.5 //
   upamānenopameyasya guṇasāmyāttattvāropo rūpakam // VKal_4,3.6 //	upamAnena-upameyasya guNa-sAmyAt-tattva-AropaH rUpakam // VKat-_4,3.6 //
   sa dharmeṣu tantraprayoge śleṣaḥ // VKal_4,3.7 //	sa Darmezu tantra-prayoge SlezaH // VKat-_4,3.7 //
   sādṛśyāllakṣaṇā vakroktiḥ // VKal_4,3.8 //	sAdRSyAt-lakzaNA vakroktiH // VKat-_4,3.8 //
   atadrūpasyānyathādhyavasānamatiśayārthamutprekṣā // VKal_4,3.9 //	atad-rUpasya-anyaTA-aDyavasAnam-atiSaya-arTam-utprekzA // VKat-_4,3.9 //
   saṃbhāvyadharmatadutkarṣakalpanātiśayoktiḥ // VKal_4,3.10 //	saMBAvya-Darma-tad-utkarza-kalpanA-atiSaya-uktiH // VKat-_4,3.10 //
   upamānopameyasaṃśayaḥ saṃdehaḥ // VKal_4,3.11 //	upamAna-upameya-saMSayaH saMdehaH // VKat-_4,3.11 //
   viruddhābhāsatvaṃ virodhaḥ // VKal_4,3.12 //	virudDa-ABAsa-tvam viroDaH // VKat-_4,3.12 //
   kriyāpratiṣedhe prasiddhatatphalavyaktirvibhāvanā // VKal_4,3.13 //	kriyA-pratizeDe prasidDa-tad-Pala-vyaktiH-viBAvanA // VKat-_4,3.13 //
   ekasyopameyatvopamānatve 'nanvayaḥ // VKal_4,3.14 //	ekasya-upameya-tva-upamAna-tve ananvayaH // VKat-_4,3.14 //
   krameṇopameyopamā // VKal_4,3.15 //	krameNa-upameyA-upamA // VKat-_4,3.15 //
   samavisadṛśābhyāṃ parivartanaṃ parivṛttiḥ // VKal_4,3.16 //	sama-visadRSAByAm parivartanam parivRttiH // VKat-_4,3.16 //
   upameyopamānānāṃ kramasaṃbandhaḥ kramaḥ // VKal_4,3.17 //	upameya-upamAnAnAm krama-saMbanDaH kramaH // VKat-_4,3.17 //
   upamānopameyavākyeṣvekā kriyā dīpakam // VKal_4,3.18 //	upamAna-upameya-vAkyezu-ekA kriyA dIpakam // VKat-_4,3.18 //
   tantrividham / ādimadhyāntavākyavṛttibhedāt // VKal_4,3.19 //*	tantriviDam / Adi-maDya-anta-vAkya-vRtti-BedAt // VKat-_4,3.19 //*
   kriyayaiva svatadarthānvayakhyāpanaṃ nidarśanam // VKal_4,3.20 //	kriyayA-eva sva-tad-arTa-anvaya-KyApanam nidarSanam // VKat-_4,3.20 //
   uktisiddhyai vastuno 'rthāntarasyaiva nyasanamarthāntaranyāsaḥ //	ukti-sidDyE vastunaH arTa-antarasya-eva nyasanam-arTa-antara-nyAsaH //
   VKal_4,3.21 //	VKat-_4,3.21 //
   upameyasya guṇātirekatvaṃ vyatirekaḥ // VKal_4,3.22 //	upameyasya guNa-atireka-tvam vyatirekaH // VKat-_4,3.22 //
   ekaguṇahānikalpanāyāṃ sāmyadārḍhyaṃ viśeṣoktiḥ // VKal_4,3.23 //	eka-guNa-hAni-kalpanAyAm sAmya-dArXyam viSeza-uktiH // VKat-_4,3.23 //
   saṃbhāvyaviśiṣṭakarmākaraṇānnindāstotrārthā vyājastutiḥ // VKal_4,3.24 //	saMBAvya-viSizwa-karma-akaraNAt-nindA-stotra-arTA vyAja-stutiH // VKat-_4,3.24 //
   vyājasya satyasārūpyaṃ vyājoktiḥ // VKal_4,3.25 //	vyAjasya satya-sArUpyam vyAja-uktiH // VKat-_4,3.25 //
   viśiṣṭena sāmyārthamekakālakriyāyogastulyayogitā // VKal_4,3.26 //	viSizwena sAmya-arTam-eka-kAla-kriyA-yogaH-tulya-yogitA // VKat-_4,3.26 //
   upamānākṣepaścākṣepaḥ // VKal_4,3.27 //	upamAna-AkzepaH-cAkzepaH // VKat-_4,3.27 //
   vastudvayakriyayostulyakālayorekapadābhidhānaṃ sahoktiḥ // VKal_4,3.28 //	vastu-dvaya-kriyayoH-tulya-kAlayoH-eka-pada-aBiDAnam sahoktiH // VKat-_4,3.28 //
   yatsādṛśyaṃ tatsaṃpattiḥ samāhitam // VKal_4,3.29 //	yat-sAdRSyam tad-saMpattiH samAhitam // VKat-_4,3.29 //
   alaṅkārasyālaṅkārayonitvaṃ saṃsṛṣṭiḥ // VKal_4,3.30 //	alaFkArasya-alaFkAra-yoni-tvam saMsRzwiH // VKat-_4,3.30 //
   tadbhedāvupamārūpakotprekṣāvayavau // VKal_4,3.31 //	tad-BedO=-upamA-rUpaka-utprekzA-avayavO // VKat-_4,3.31 //
   upamājanyaṃ rūpakamupamārūpakam // VKal_4,3.32 //	upamA-janyam rUpakam-upamArUpakam // VKat-_4,3.32 //
   utprekṣāheturutprekṣāvayavaḥ // VKal_4,3.33 //	utprekzA-hetuH-utprekzA-avayavaH // VKat-_4,3.33 //
   samāotaṃ cedamālaṅkārikaṃ caturthamadhikaraṇam /	samAotam ca-idam-AlaFkArikam caturTam-aDikaraNam /
   prāyogikaṃ nāma pañcamamadhikaraṇam /	prAyogikam nAma paQcamam-aDikaraNam /
   prathamo 'dhyāyaḥ /	praTamaH aDyAyaH /
   naikaṃ padaṃ dviḥ prayojyaṃ prāyeṇa // VKal_5,1.1 //	na-ekam padam dvis prayojyam prAyeNa // VKat-_5,1.1 //
   nityā saṃhitaikapadavatpādeṣvardhāntavarjam // VKal_5,1.2 //	nityA saMhita-eka-pada-vat-pAdezu-arDa-anta-varjam // VKat-_5,1.2 //
   na pādāntalaghorgurutvaṃ ca sarvatra // VKal_5,1.3 //	na pAda-antala-GoH-guru-tvam ca sarvatra // VKat-_5,1.3 //
   na gādye samāptaprāyaṃ vṛttam, anyatrodgatādibhyaḥ saṃvādāt // VKal_5,1.4	na gAdye samApta-prAyam vRttam, anyatra-udgata-AdiByaH saMvAdAt // VKat-_5,1.4
   na pādādau khalvādayaḥ // VKal_5,1.5 //	na pAda-AdO Kalu-a-AdayaH // VKat-_5,1.5 //
   nārdhe kiñcitsamāptaṃ vākyam // VKal_5,1.6 //	na-arDe kiQcid-samAptam vAkyam // VKat-_5,1.6 //
   na karmadhārayo bahuvrīhipratipattikaraḥ // VKal_5,1.7 //	na karmaDArayaH bahu-vrIhi-pratipatti-karaH // VKat-_5,1.7 //
   tena viparyayo vyākhyātaḥ // VKal_5,1.8 //	tena viparyayaH vyAKyAtaH // VKat-_5,1.8 //
   saṃbhāvyaniṣedhanivartane dvau pratiṣedhau // VKal_5,1.9 //	saMBAvya-nizeDa-nivartane dvO pratizeDO // VKat-_5,1.9 //
   viśeṣaṇamātraprayogo viśeṣyapratipattau // VKal_5,1.10 //	viSezaNa-mAtra-prayogaH viSezya-pratipattO // VKat-_5,1.10 //
   sarvanāmnānusaṃdhirvṛtticchannasya // VKal_5,1.11 //	sarva-nAmnA-anusaMDiH-vRtti=-Cannasya // VKat-_5,1.11 //
   saṃbandhasaṃbandhe 'pi ṣaṣṭhī kvacit // VKal_5,1.12 //	saMbanDa-saMbanDe api zazWI kvacid // VKat-_5,1.12 //
   atiprayuktaṃ deśabhāṣāpadam // VKal_5,1.13 //	ati-prayuktam deSa-BAzA-padam // VKat-_5,1.13 //
   liṅgādhyāhārau // VKal_5,1.14 //	liFga-aDyAhArO // VKat-_5,1.14 //
   lakṣaṇāśabdāśca // VKal_5,1.15 //	lakzaNA-SabdAH-ca // VKat-_5,1.15 //
   na tadbāhulyamekatra // VKal_5,1.16 //	na tat-bAhulyam-ekatra // VKat-_5,1.16 //
   stanādīnāṃ dvitvāviṣṭā jātiḥ prāyeṇa // VKal_5,1.17 //	stana-AdInAm dvi-tva-AvizwA jAtiH prAyeNa // VKat-_5,1.17 //
   dvitīyo 'dhyāyaḥ /	dvitIyaH aDyAyaH /
   rudrāvityekaśeṣo 'nveṣyaḥ // VKal_5,2.1 //	rudrO=-iti-eka-SezaH anvezyaH // VKat-_5,2.1 //
   miliklabikṣapiprabhṛtīnāṃ dhātutvam, dhātuguṇasyāsamāpteḥ // VKal_5,2.2	milikla-bikza-pipraBRtInAm DAtu-tvam, DAtu-guNasya-asamApteH // VKat-_5,2.2
   valerātmanepadamanityam, jñāpakāt // VKal_5,2.3 //*	valeH-Atmanepadam-anityam, jQApakAt // VKat-_5,2.3 //*
   kṣīyata iti karmakartari // VKal_5,2.4 //	kzIyate iti karma-kartari // VKat-_5,2.4 //
   khidyata iti ca // VKal_5,2.5 //	Kidyate iti ca // VKat-_5,2.5 //
   mārgerātmaepadamalakṣma // VKal_5,2.6 //	mArgeH-a-Atmaepadam-alakzmaH // VKat-_5,2.6 //
   lolamānādayaścānaśi // VKal_5,2.7 //	lolamAna-AdayaH-ca-anaSi // VKat-_5,2.7 //
   labhergatyarthatvāṇṇicyaṇau kartuḥ karmatvākarmatve // VKal_5,2.8 //	laBeH-gati-arTa-tva-aNNi-cyaNO kartuH karma-tva-akarma-tve // VKat-_5,2.8 //
   te-me-śabdau nipāteṣu // VKal_5,2.9 //*	te-me--SabdO nipAtezu // VKat-_5,2.9 //*
   tiraskṛta iti paribhūte, antardhyupacārāt // VKal_5,2.10 //*	tiraskRtaH iti pariBUte, antarDi-upacArAt // VKat-_5,2.10 //*
   naikaśabdaḥ, supsupeti samāsāt // VKal_5,2.11 //*	na-eka-SabdaH, supsupa-iti samAsAt // VKat-_5,2.11 //*
   madhupipāsuprabhṛtīnāṃ samāso gamigāmyādiṣu pāṭhāt // VKal_5,2.12 //	maDu-pipAsu-praBRtInAm samAsaH gami-gAmi-Adizu pAWAt // VKat-_5,2.12 //
   trivalīśabdaḥ siddhaḥ saṃjñā cet // VKal_5,2.13 //	tri-valI-SabdaH sidDaH saMjQA ced // VKat-_5,2.13 //
   bimbādhara iti vṛttau madhyamapadalopinyām // VKal_5,2.14 //	bimba-aDaraH iti vRttO maDyama-padalopinyAm // VKat-_5,2.14 //
   āmūlalolādiṣu vṛttirvispaṣṭapaṭuvat // VKal_5,2.15 //	AmUla-lola-Adizu vRttiH-vispazwa-pawu-vat // VKat-_5,2.15 //
   na dhānyaṣaṣṭhādiṣu ṣaṣṭhīsamāsapratiṣedhaḥ, pūraṇena taddhitāntatvāt //	na DAnya-zazWa-Adizu zazWI-samAsa-pratizeDaH, pUraNena tad-hita-anta-tvAt //
   VKal_5,2.16 //*	VKat-_5,2.16 //*
   patrapītimādiṣu guṇavacanena // VKal_5,2.17 //	patra-pItim-Adizu guNavacanena // VKat-_5,2.17 //
   avarjyo bahuvrīhirvyadhikaraṇo janmādyuttarapadaḥ // VKal_5,2.18 //	avarjyaH bahuvrIhiH-vyaDikaraNaH janma-Adi-uttara-padaH // VKat-_5,2.18 //
   hastāgrāgrahastādayo guṇaguṇinorbhedābhedāt // VKal_5,2.19 //	hasta-agra-agra-hasta-AdayaH guNa-guNinoH-Beda-aBedAt // VKat-_5,2.19 //
   pūrvanipāte 'pabhraṃśo rakṣyaḥ // VKal_5,2.20 //	pUrva-nipAte apaBraMSaH rakzyaH // VKat-_5,2.20 //
   nipātenāpyabhihite karmaṇi na karmavibhaktiḥ, parigaṇanasya prāyikatvāt //	nipAtena-api-aBihite karmaNi na karma-viBaktiH, parigaNanasya prAyika-tvAt //
   VKal_5,2.21 //*	VKat-_5,2.21 //*
   śakyamiti rūpaṃ karmābhidhāyāṃ liṅgavacanasyāpi sāmānyopakramāt //	Sakyam-iti rUpam karma-aBiDAyAm liFga-vacanasya-api sAmAnya-upakramAt //
   VKal_5,2.22 //	VKat-_5,2.22 //
   hānivadādhikyamapyaṅgānāṃ vikāraḥ // VKal_5,2.23 //	hAni-vat-ADikyam-api-aFgAnAm vikAraH // VKat-_5,2.23 //
   na kṛmikīṭānāmiti, ekavadbhāvaprasaṅgāt // VKal_5,2.24 //*	na kRmi-kIwAnAm-iti, eka-vat-BAva-prasaFgAt // VKat-_5,2.24 //*
   na kharoṣṭrau, uṣṭrakharamiti pāṭhāt // VKal_5,2.25 //*	na Kara-uzwrO, uzwra-Karam-iti pAWAt // VKat-_5,2.25 //*
   āsetyasateḥ // VKal_5,2.26 //	Asa-iti-asateH // VKat-_5,2.26 //
   yudhyediti yudhaḥ kyaci // VKal_5,2.27 //	yuDyet-iti yuDaH kyaci // VKat-_5,2.27 //
   viralāyamānādiṣu kyaṅ nirūpyaḥ // VKal_5,2.28 //	viralAyamAna-Adizu kyak nirUpyaH // VKat-_5,2.28 //
   ahetau hanterṇic, curādipāṭhāt // VKal_5,2.29 //*	ahetO hanterNic, curAdi-pAWAt // VKat-_5,2.29 //*
   anucarīti careṣṭittvāt // VKal_5,2.30 //	anucarI-iti carezwit-tvAt // VKat-_5,2.30 //
   kesarālamityalateraṇi // VKal_5,2.31 //	kesara-alam-iti-alatA-iraNi // VKat-_5,2.31 //
   patralamiti lāteḥ ke // VKal_5,2.32 //	patralam-iti lAteH ke // VKat-_5,2.32 //
   mahīdhrādayo mūlavibhujādidarśanāt // VKal_5,2.33 //	mahIDra-AdayaH mUla-viBuja-Adi-darSanAt // VKat-_5,2.33 //
   brahmādiṣu hanterniyamādarihādyasiddhiḥ // VKal_5,2.34 //	brahma-Adizu hanteH-niyamAt-ari-ha-Adya-sidDiH // VKat-_5,2.34 //
   brahmavidādayaḥ kṛdantavṛttyā // VKal_5,2.35 //	brahma-vid-A-AdayaH kRdanta-vRttyA // VKat-_5,2.35 //
   tairmahīdharādayo vyākhyātāḥ // VKal_5,2.36 //	tEH-mahIDara-AdayaH vyAKyAtAH // VKat-_5,2.36 //
   bhidurādayaḥ karmakartari kartari ca // VKal_5,2.37 //	Bidura-AdayaH karma-kartari kartari ca // VKat-_5,2.37 //
   guṇavistarādayaścintyāḥ // VKal_5,2.38 //	guNa-vistara-AdayaH-cintyAH // VKat-_5,2.38 //
   avatarāpacāyaśabdayordīrghahrasvatvavyatyāso bālānām // VKal_5,2.39 //	avatara-apacAya-SabdayoH-dIrGa-hrasva-tva-vyatyAsaH bAlAnAm // VKat-_5,2.39 //
   śobheti nipātanāt // VKal_5,2.40 //	SoBA-iti nipAtanAt // VKat-_5,2.40 //
   avidhau guroḥ striyāṃ bahulaṃ vivakṣā // VKal_5,2.41 //	aviDO guroH striyAm bahulam vivakzA // VKat-_5,2.41 //
   vyavasitādiṣu ktaḥ kartari, cakārāt // VKal_5,2.42 //*	vyavasita-Adizu ktaH kartari, cakArAt // VKat-_5,2.42 //*
   āheti bhūte 'nyaṇalantabhramād bruvo laṭi // VKal_5,2.43 //	Aha-iti BUte anyaNa-lanta-BramAt bruvaH lawi // VKat-_5,2.43 //
   śabalādibhyaḥ striyāṃ ṭāpo 'prāptiḥ // VKal_5,2.44 //	Sabala-AdiByaH striyAm wApaH aprAptiH // VKat-_5,2.44 //
   prāṇini nīleti cintyam // VKal_5,2.45 //	prANini nIla-iti cintyam // VKat-_5,2.45 //
   manuṣyajātervivakṣāvivakṣe // VKal_5,2.46 //	manuzya-jAteH-vivakzA-vivakze // VKat-_5,2.46 //
   ūkārāntādapyūṅ, pravṛtteḥ // VKal_5,2.47 //*	UkAra-antAt-api-UF, pravRtteH // VKat-_5,2.47 //*
   kārtikīya iti ṭhañ durdharaḥ // VKal_5,2.48 //	kArtikIyaH iti Wan durDaraH // VKat-_5,2.48 //
   śārvaramiti ca // VKal_5,2.49 //	SArvaram-iti ca // VKat-_5,2.49 //
   śāśvatamiti prayukteḥ // VKal_5,2.50 //	SASvatam-iti prayukteH // VKat-_5,2.50 //
   rājavaṃśyādayaḥ sādhvarthe ye bhavanti // VKal_5,2.51 //	rAja-vaMSya-AdayaH sADu-arTe ye Bavanti // VKat-_5,2.51 //
   dāravaśabdo duṣprayuktaḥ // VKal_5,2.52 //	dArava-SabdaH duzprayuktaH // VKat-_5,2.52 //
   mugdhimādiṣvivamanij mṛgyaḥ // VKal_5,2.53 //	mugDim-Adizu-ivamanij mRgyaH // VKat-_5,2.53 //
   aupamyādayaścāturvarṇyavat // VKal_5,2.54 //	Opamya-AdayaH-cAturvarNya-vat // VKat-_5,2.54 //
   ṣyañaḥ ṣitkaraṇādīkāro bahulam // VKal_5,2.55 //	zyaQaH zid-karaNa-AdIkAraH bahulam // VKat-_5,2.55 //
   dhanvīti vrīhyādiṣu pāṭhāt // VKal_5,2.56 //	DanvI-iti vrIhi-Adizu pAWAt // VKat-_5,2.56 //
   caturasraśobhīti ṇinau // VKal_5,2.57 //	catur-asra-SoBI-iti NinO // VKat-_5,2.57 //
   kañcukīyā iti kyaci // VKal_5,2.58 //	kaQcukIyAH iti kyaci // VKat-_5,2.58 //
   bauddhapratiyogyapekṣāyāmapyātiśāyanikāḥ // VKal_5,2.59 //	bOdDa-pratiyogi-apekzAyAm-api-AtiSAyanikAH // VKat-_5,2.59 //
   kauśilādaya ilaci varṇalopāt // VKal_5,2.60 //	kOSila-AdayaH ilaci varNa-lopAt // VKat-_5,2.60 //
   mauktikamiti vinayādipāṭhāt // VKal_5,2.61 //	mOktikam-iti vinaya-Adi-pAWAt // VKat-_5,2.61 //
   prātibhādayaḥ prajñādiṣu // VKal_5,2.62 //	prAtiBa-AdayaH prajQA-Adizu // VKat-_5,2.62 //
   na sarajasamityanavyayībhāve // VKal_5,2.63 //	na sa-rajasamiti-anavyayIBAve // VKat-_5,2.63 //
   dhṛtadhanuṣītyasaṃjñāyām // VKal_5,2.64 //	DRta-Danuzi-iti-asaMjQAyAm // VKat-_5,2.64 //
   durgandhipada iddurlabhaḥ // VKal_5,2.65 //	durganDi-padaH id-durlaBaH // VKat-_5,2.65 //
   sudatyādayaḥ pratividheyāḥ // VKal_5,2.66 //	sudati-AdayaH prativiDeyAH // VKat-_5,2.66 //
   kṣatadṛḍhorsa iti na kap, tadantavidhipratiṣedhāt // VKal_5,2.67 //*	kzata-dRXa-ursaH iti na kap, tad-anta-viDi-pratizeDAt // VKat-_5,2.67 //*
   avaihīti vṛddhiravadyā // VKal_5,2.68 //	avEhi-iti vRdDiH-avadyA // VKat-_5,2.68 //
   apāṅganetreti lugalabhyaḥ // VKal_5,2.69 //	apAFga-netra-iti lugalaByaH // VKat-_5,2.69 //
   neṣṭhāḥ śliṣṭapriyādayaḥ, puṃvadbhāvapratiṣedhāt // VKal_5,2.70 //*	nezWAH Slizwa-priya-AdayaH, puMvat-BAva-pratizeDAt // VKat-_5,2.70 //*
   dṛḍhabhaktiriti sarvatreti // VKal_5,2.71 //	dRXa-BaktiH-iti sarvatra-iti // VKat-_5,2.71 //
   jambulatādayo hrasvavidheḥ // VKal_5,2.72 //	jambu-la-tA-AdayaH hrasva-viDeH // VKat-_5,2.72 //
   tilakādayo 'jirādiṣu // VKal_5,2.73 //	tilaka-AdayaH ajira-Adizu // VKat-_5,2.73 //
   niśamya-niśamayyaśabdau prakṛtibhedāt // VKal_5,2.74 //	niSamya--niSa-mayya-SabdO prakRti-BedAt // VKat-_5,2.74 //
   saṃyamyaniyamyaśabdau, aṇijantatvāt // VKal_5,2.75 //*	saMyamya-niyamya-SabdO, aNijanta-tvAt // VKat-_5,2.75 //*
   prapīyeti pīṅaḥ // VKal_5,2.76 //	prapIya-iti pIFaH // VKat-_5,2.76 //
   dūrayatīti bahulagrahaṇāt // VKal_5,2.77 //	dUrayati-iti bahula-grahaNAt // VKat-_5,2.77 //
   gacchatīprabhṛtiṣvaniṣedhyo num // VKal_5,2.78 //	gacCatI-praBRtizu-anizeDyaH num // VKat-_5,2.78 //
   mitreṇa goptreti puṃvadbhāvāt // VKal_5,2.79 //	mitreNa goptrA-iti puMvat-BAvAt // VKat-_5,2.79 //
   vetsyasīti padabhaṅgāt // VKal_5,2.80 //	vetsyasi-iti pada-BaFgAt // VKat-_5,2.80 //
   kāmayānaśabdaḥ siddho 'nādiścet // VKal_5,2.81 //	kAmayAna-SabdaH sidDaH anAdiH-ced // VKat-_5,2.81 //
   sauhṛd-daurhṛdaśabdāvaṇi hṛdbhāvāt // VKal_5,2.82 //	sOhRd-dOrhRda-Sabda-avaNi hRd-BAvAt // VKat-_5,2.82 //
   virama iti nipātanāt // VKal_5,2.83 //	viramaH iti nipAtanAt // VKat-_5,2.83 //
   uparyādiṣu sāmīpye dvirukteṣu dvitīyā // VKal_5,2.84 //	upari-Adizu sAmIpye dvis-uktezu dvitIyA // VKat-_5,2.84 //
   mandaṃ mandamityaprakārārthatve // VKal_5,2.85 //	mandam mandam-iti-aprakAra-arTa-tve // VKat-_5,2.85 //
   na nidrādrugiti, bhaṣbhāvaprāpteḥ // VKal_5,2.86 //*	na nidrA-drugiti, BazBO=-aprApteH // VKat-_5,2.86 //*
   niṣpanda iti patvaṃ cintyam // VKal_5,2.87 //	nizpandaH iti patvam cintyam // VKat-_5,2.87 //
   nāṅgulisaṅga iti mūrdhanyavidheḥ // VKal_5,2.88 //	na-aFguli-saFgaH iti mUrDanyaviDeH // VKat-_5,2.88 //
   tenāvantisenādayaḥ pratyuktāḥ // VKal_5,2.89 //	tena-avanti-sena-AdayaH pratyuktAH // VKat-_5,2.89 //
   nendravāhane ṇatvam; āhitatvasyāvivakṣitatvāt // VKal_5,2.90 //*	na-indravAhane Na-tvam; Ahita-tvasya-avivakzita-tvAt // VKat-_5,2.90 //*
   samāptaṃ cedaṃ prāyogikaṃ pañcamadhikaraṇam /	samAptam ca-idam prAyogikam paQcam-aDikaraNam /
   samāpto 'yaṃ granthaḥ //	samAptaH ayam granTaH //
