   kṛṣṇāmṛtamahārṇavaḥ	kRzNAmRta-mahA-arNavaH
   yat phalaṃ labhyate pumbhir viṣṇor naivedya bhakṣaṇāt. // MKm_93 //	yat Palam laByate pumBiH vizNoH nEvedya BakzaNa-at. // MKm_93 //
   trirātraphaladā nadyo yāḥ kāścid asamudragāḥ	tri-rAtra-Pala-dAH nadyaH yAH kAScid asamudra-gAH
   samudragās tu pakṣasya māsasya saritāṃ patiḥ. // MKm_94 //	samudra-gAH tu pakzasya mAsasya saritAm patiH. // MKm_94 //
   ṣaṇmāsaphaladā godā vatsarasya tu jāhnavī	zaz-mAsa-Pala-dA godA vatsarasya tu jAhnavI
   viṣṇupādodakasyaite kalāṃ nārhanti ṣoḍasīm. // MKm_95 //	vizNu-pAda-udakasya-ete kalAm na-arhanti zoxasIm. // MKm_95 //
   gaṇgāprayāgagayapuṣkaranaimiśāni saṃsevitāni bahuśaḥ kurujāṅgalāni	gaNgA-prayAga-gaya-puzkara-nEmiSAni saMsevitAni bahuSas kurujAFgalAni
   kālena tīrthasalilāni punanti pāpaṃ pādodakaṃ bhagavataḥ prapunāti sadyaḥ.	kAlena tIrTa-salilAni punanti pApam pAda-udakam BagavataH prapunAti sadyas-.
   // MKm_96 //	// MKm_96 //
   yāni kāni ca tīrthāni brahmāṇḍāntargatāni vai	yAni kAni ca tIrTAni brahmANxa-antargatAni vE
   viṣṇupādodakasyaite kalāṃ nārhanti ṣoḍaśīm. // MKm_97 //	vizNu-pAda-udakasya-ete kalAm na-arhanti zoxaSIm. // MKm_97 //
   snānaṃ pādodakaṃ viṣṇoḥ piban śirasi dhārayan	snAnam pAda-udakam vizNoH piban Sirasi DArayan
   sarva pāpavinirmukto vaiṣṇavīṃ siddhim āpnuyāt. // MKm_98 //	sarve pApa-vinirmuktaH vEzNavIm sidDim ApnuyAt. // MKm_98 //
   yathā pādodakaṃ puṇyaṃ nirmālyaṃ cānulepanam	yaTA pAda-udakam puNyam nirmAlyam ca-anulepanam
   naivedyaṃ dhūpaśeṣaṃ ca ārārttiś ca tathā hareḥ. // MKm_99 //	nEvedyam DUpa-Sezam ca ArArttiH ca taTA hareH. // MKm_99 //
   tulasyās tu rajojuṣṭaṃ naivedyasya ca bhakṣaṇam	tulasyAH tu rajaH-juzwam nEvedyasya ca BakzaNam
   nirmālyaṃ śirasā dhāryaṃ mahāpātakanāśanam. // MKm_100 //	nirmAlyam SirasA DAryam mahApAtaka-nASanam. // MKm_100 //
   bhaktyā vā yadi vā 'bhaktyā cakrāṅkitaśilām prati	BaktyA vA yadi vA aBaktyA cakra-aFkita-SilAm prati
   darśanaṃ sparśanaṃ vā 'pi sarvapāpapraṇāśanam. // MKm_101 //	darSanam sparSanam vA api sarva-pApa-praNASanam. // MKm_101 //
   sāḷagrāmodbhavo devo devo dvāravatībhavaḥ	sA?agrAma-udBavaH devaH devaH dvAravatI-BavaH
   ubhayoḥ snānatoyena brahmahatyāṃ vyapohati. // MKm_102 //	uBayoH snAna-toyena brahma-hatyAm vyapohati. // MKm_102 //
   mlecchadeśe 'śucau vā 'pi cakrāṅko yatra tiṣṭhati	mlecCa-deSe aSucO vA api cakra-aFkaH yatra tizWati
   yojanāni tathā trīṇi mama kṣetraṃ vasundhare. // MKm_103 //	yojanAni taTA trINi mama kzetram vasunDare. // MKm_103 //
   śālagrāmodbhavo devo śailaṃ cakrāṅkamaṇḍitam	SAlagrAma-udBavaH devaH SElam cakra-aFka-maNxitam
   yatrāpi nīyate tatra vāraṇasyā śatādhikam. // MKm_104 //	yatra-api nIyate tatra vAraNasyA Sata-aDikam. // MKm_104 //
   sāḷagrāmodbhavo devo devo dvāravatībhavaḥ	sA?agrAma-udBavaH devaH devaH dvAravatI-BavaH
   ubhayoḥ saṃgamo yatra tatra muktir na saṃśayaḥ. // MKm_105 //	uBayoH saMgamaH yatra tatra muktiH na saMSayaH. // MKm_105 //
   hariṇā muktidānīha muktisthānāni sarvaśaḥ	hariNA mukti-dAni-iha mukti-sTAnAni sarvaSas-
   sa yasya sarvabhāveṣu tasya taiḥ kiṃ prayojanam. // MKm_106 //	sa yasya sarva-BAvezu tasya tEH kim prayojanam. // MKm_106 //
   harir yāti harir yāti dasyuvyājena yo vadet	hariH yAti hariH yAti dasyu-vyAjena yaH vadet-
   so 'pi sadgatim āpnoti gatiṃ sukṛtino yathā. // MKm_107 //	saH api sat-gatim Apnoti gatim sukRtinaH yaTA. // MKm_107 //
   vāsudevaṃ parityajya yo 'nyaṃ devam upāsate	vAsudevam parityajya yaH anyam devam upAsate
   tyaktvā 'mṛtaṃ sa mūḍhātmā bhuṅkte hālāhalaṃ viṣam. // MKm_108 //	tyaktvA amRtam sa mUXa-AtmA BuFkte hAlAhalam vizam. // MKm_108 //
   tyaktvāmṛtaṃ yathā kaścid anyapānaṃ piben naraḥ	tyaktvA-amRtam yaTA kaScid anya-pAnam pibet naraH
   tathā hariṃ parityajya cānyaṃ devam upāsate. // MKm_109 //	taTA harim parityajya ca-anyam devam upAsate. // MKm_109 //
   svadharmaṃ tu parityajya paradharmaṃ yathā caret	svaDarmam tu parityajya para-Darmam yaTA caret-
   tathā hariṃ parityajya cānyaṃ devam upāsate. // MKm_110 //	taTA harim parityajya ca-anyam devam upAsate. // MKm_110 //
   gāṃ ca tyaktvā vimūḍhātmā gardabhīṃ vandate yathā	gAm ca tyaktvA vimUXa-AtmA gardaBIm vandate yaTA
   tathā hariṃ parityajya cānyaṃ devam upāsate. // MKm_111 //	taTA harim parityajya ca-anyam devam upAsate. // MKm_111 //
   vāsudevaṃ parityajya yo 'nyaṃ devam upāsate	vAsudevam parityajya yaH anyam devam upAsate
   tṛṣito jāhnavītīre kūpaṃ khanati durmatiḥ. // MKm_112 //	tRzitaH jAhnavI-tIre kUpam Kanati durmatiH. // MKm_112 //
   yathā gaṅgodakaṃ tyaktvā pibet kūpodakaṃ naraḥ	yaTA gaFgA-udakam tyaktvA pibet kUpa-udakam naraH
   tathā hariṃ parityajya yo 'nyaṃ devam upāsate. // MKm_113 //	taTA harim parityajya yaH anyam devam upAsate. // MKm_113 //
   svamātaraṃ parityajya śvapākīṃ vandate tathā	sva-mAtaram parityajya SvapAkIm vandate taTA
   tathā hariṃ parityajya yo 'nyaṃ devam upāsate. // MKm_114 //	taTA harim parityajya yaH anyam devam upAsate. // MKm_114 //
   yāvat svastham idaṃ piṇḍaṃ nirujaṃ karaṇānvitam	yAvat svasTam idam piNxam nirujam karaNa-anvitam
   tāvat kuruṣvā 'tmahitaṃ paścāt tāpena tapyase. // MKm_115 //	tAvat kuruzvAH atma-hitam paScAt tApena tapyase. // MKm_115 //
   yāvat svāsthyaṃ śarīreṣu karaṇeṣu ca pāṭavam	yAvat svAsTyam SarIrezu karaNezu ca pAwavam
   tāvad arcaya govindam āyuśyaṃ sārthakaṃ kuru. // MKm_116 //	tAvat arcaya govindam AyuSyam sArTakam kuru. // MKm_116 //
   smaryatāṃ tu hṛṣīkeśo hṛṣīkeṣu dṛḍheṣu ca	smaryatAm tu hRzIkeSaH hRzIkezu dRXezu ca
   adṛḍheṣu hṛṣīkeṣu hṛṣīkeśaṃ smaranti ke. // MKm_117 //	adRXezu hRzIkezu hRzIkeSam smaranti ke. // MKm_117 //
   yāvac cintayate jantur viṣayān viṣasannibhān	yAvat cintayate jantuH vizayAn viza-sanniBAn
   tāvac cet smarate viṣṇuṃ ko na mucyeta bandhanāt. // MKm_118 //	tAvat ced smarate vizNum kaH na mucyeta banDanAt. // MKm_118 //
   yāvat pralapate jantur viṣayān viṣasannibhān	yAvat pralapate jantuH vizayAn viza-sanniBAn
   tāvac cet smarate viṣṇuṃ ko na mucyeta bandhanāt. // MKm_119 //	tAvat ced smarate vizNum kaH na mucyeta banDanAt. // MKm_119 //
   Sūta uvāca:	SUtaH uvAca:
   jñātvā viprās tithiṃ samyag daivajñaiḥ samudīritām	jQAtvA viprAH tiTim samyak dEvajQEH samudIritAm
   kartavya upavāsaś ca anyathā narakaṃ vrajet. // MKm_120 //	kartavyaH upavAsaH ca anyaTA narakam vrajet. // MKm_120 //
   kṣaye vā 'py athavā vṛddhau samprāpte vā dinakṣaye	kzaye vA api aTavA vRdDO samprApte vA dinakzaye
   upoṣyā dvādaśī puṇyā pūrvaviddhāṃ parityajet. // MKm_121 //	upozyA dvAdaSI puNyA pUrva-vidDAm parityajet. // MKm_121 //
   pūrvaviddhāṃ prakurvāṇo naro dharmān nikṛntati	pUrva-vidDAm prakurvANaH naraH DarmAt nikRntati
   saṃtates tu vināśāya sampado haraṇāya ca. // MKm_122 //	saMtateH tu vinASAya sampadaH haraNAya ca. // MKm_122 //
   kalāvedhe tu viprendrā daśamyaikādaśīṃ tyajet	kalA-veDe tu vipra-indrAH daSamyA-ekAdaSIm tyajet-
   surāyā bindunā spṛṣṭaṃ gaṅgāmbha iva santyajet. // MKm_123 //	surAyAH bindunA spRzwam gaFgA-amBaH iva santyajet. // MKm_123 //
   śvadṛtau pañcagavyaṃ ca daśamyā dūṣitāṃ tyajet	Sva-dRtO paQcagavyam ca daSamyA dUzitAm tyajet-
   ekādaśīṃ dvijaśreṣṭhāḥ pakṣayor ubhayor api. // MKm_124 //	ekAdaSIm dvijaSrezWAH pakzayoH uBayoH api. // MKm_124 //
   tasmād viprā na viddhā hi kartavyaikādasī kvacit	tasmAt viprAH na vidDA hi kartavyA-ekAdasI kvacid-
   viddhā hanti purāpuṇyaṃ śrāddhaṃ ca vṛṣalīpatiḥ. // MKm_125 //	vidDAH hanti purA-puNyam SrAdDam ca vRzalI-patiH. // MKm_125 //
   japtaṃ dattaṃ hutaṃ snātaṃ tathā pūjā kṛtā hareḥ	japtam dattam hutam snAtam taTA pUjA kRtA hareH
   tat sarvaṃ vilayaṃ yāti tamaḥ sūryodaye yathā. // MKm_126 //	tat sarvam vilayam yAti tamaH sUrya-udaye yaTA. // MKm_126 //
   ekādaśyāṃ yadā brahman dinakṣayatithir bhavet	ekAdaSyAm yadA brahman dina-kzaya-tiTiH Bavet-
   upoṣyā dvādaśī tatra trayodaśyāṃ tu pāraṇam. // MKm_127 //	upozyA dvAdaSI tatra trayodaSyAm tu pAraNam. // MKm_127 //
   pratipatprabhṛtayaḥ sarvā udayād udayād raveḥ	pratipad-praBRtayaH sarvAH udayAt udayAt raveH
   sampūrṇā iti vijñeyā harivāsaravarjitāḥ. // MKm_128 //	sampUrNAH iti vijQeyAH hari-vAsara-varjitAH. // MKm_128 //
   aruṇodayakāle tu daśamī yadi dṛśyate	aruNa-udaya-kAle tu daSamI yadi dRSyate
   pāpamūlaṃ tadā jñeyam ekādaśyupavāsanam. // MKm_129 //	pApa-mUlam tadA jQeyam ekAdaSI-upavAsanam. // MKm_129 //
   aruṇodayakāle tu daśamī yadi dṛśyate	aruNa-udaya-kAle tu daSamI yadi dRSyate
   na tatraikādaśī kāryā dharmakāmārthanāśinī. // MKm_130 //	na tatra-ekAdaSI kAryA Darma-kAma-arTa-nASinI. // MKm_130 //
   catastro ghaṭikāḥ prātar aruṇodaya ucyate	catastraH GawikAH prAtar aruNa-udayaH ucyate
   yatīnāṃ snānakālo 'yaṃ gaṅgāmbhaḥsadṛśaḥ smṛtaḥ. // MKm_131 //	yatInAm snAna-kAlaH ayam gaFgA-amBaH-sadRSaH smRtaH. // MKm_131 //
   udayāt prāg yadā viprā muhūrtadvayasaṃyutā	udayAt prAk yadA viprAH muhUrta-dvaya-saMyutA
   sampūrṇaikādaśī nāma tatraivopavased vratī. // MKm_132 //	sampUrNA-ekAdaSI nAma tatra-eva-upavaset vratI. // MKm_132 //
   udayāt prāk trighaṭikā vyāpiny ekādaśī yadā	udayAt prAk tri-GawikA vyApinI ekAdaSI yadA
   sandigdhaikādaśī nāma varjyā dharmārthanāśinī. // MKm_133 //	sandigDA-ekAdaSI nAma varjyAH Darma-arTa-nASinI. // MKm_133 //
   putrapautravivṛddhyarthaṃ dvādaśyām upavāsayet	putra-pOtra-vivRdDi-arTam dvAdaSyAm upavAsayet-
   tatra kratuśataṃ puṇyaṃ trayodaśyāṃ tu pāraṇaṃ. // MKm_134 //	tatra kratu-Satam puNyam trayodaSyAm tu pAraNaM. // MKm_134 //
   udayāt prāg dvighaṭikāvyāpinyekādaśī yadā	udayAt prAk dvi-GawikA-vyApinI-ekAdaSI yadA
   saṅkīrṇaikādaśī nāma varjyā dharmārthakāṅkṣibhiḥ. // MKm_135 //	saFkIrNA-ekAdaSI nAma varjyAH Darma-arTa-kAFkziBiH. // MKm_135 //
   putrarājyavivṛddhyarthaṃ dvādaśyām upavāsanam	putra-rAjya-vivRdDi-arTam dvAdaSyAm upavAsanam
   tatra kratuśataṃ puṇyaṃ trayodaśyāṃ tu pāraṇam. // MKm_136 //	tatra kratu-Satam puNyam trayodaSyAm tu pAraNam. // MKm_136 //
   daśamīśeṣasaṃyuktā gāndhāryā samupoṣitā	daSamI-Seza-saMyuktA gAnDAryA samupozitA
   tasyāḥ putraśataṃ naṣṭaṃ tasmāt tāṃ parivarjayet. // MKm_137 //	tasyAH putra-Satam nazwam tasmAt tAm parivarjayet. // MKm_137 //
   bahvāgamavirodheṣu brāhmaṇeṣu vivādiṣu	bahu-Agama-viroDezu brAhmaNezu vivAdizu
   upoṣyā dvādaśī puṇyā trayodaśyāṃ tu pāraṅam. // MKm_138 //	upozyA dvAdaSI puNyA trayodaSyAm tu pAraFam. // MKm_138 //
   ekādaśyāṃ tu viddhāyāṃ samprāpte śravaṇe tathā	ekAdaSyAm tu vidDAyAm samprApte SravaNe taTA
   upoṣyā dvādaśī puṇyā pakṣayor ubhayor api. // MKm_139 //	upozyA dvAdaSI puNyA pakzayoH uBayoH api. // MKm_139 //
   uparāgasahasrāṇi vyatīpātāyutāni ca	uparAga-sahasrANi vyatIpAta-ayutAni ca
   amālakṣaṃ tu dvādaśyāḥ kalāṃ nārhanti ṣoḍaśīm. // MKm_140 //	amAlakzam tu dvAdaSyAH kalAm na-arhanti zoxaSIm. // MKm_140 //
   śuddhāpi dvādaśī grāhyā parato dvādaśī yadi	SudDA-api dvAdaSI grAhyA paratas dvAdaSI yadi
   viṣaṃ tu daśamī jñeyā 'mṛtaṃ caikādaśī tithiḥ.	vizam tu daSamI jQeyA amRtam ca-ekAdaSI tiTiH.
   viṣapradhānā varjyā sā 'mṛtā grāhyā pradhānataḥ. // MKm_141 //	viza-praDAnA varjyA sA amRtA grAhyA praDAnataH. // MKm_141 //
   dvādaśyāṃ bhojanaṃ caiva viddhāyāṃ haryupoṣaṇam	dvAdaSyAm Bojanam ca-eva vidDAyAm hari-upozaNam
   yaḥ kuryān mandabuddhitvān nirayaṃ so 'dhigacchati. // MKm_142 //	yaH kuryAt manda-budDi-tvAt nirayam saH aDigacCati. // MKm_142 //
   yāni kāni ca vākyāni viddhopāsyāparāṇi tu	yAni kAni ca vAkyAni vidDa-upAsya-aparANi tu
   dhanadārcāparāṇi syur vaiṣṇavī na daśāyutā. // MKm_143 //	Danada-arcA-parANi syuH vEzNavI na daSa-ayutA. // MKm_143 //
   athavā mohanārthāya mohinyā bhagavān hariḥ	aTavA mohana-arTAya mohinyA BagavAn hariH
   arthitaḥ kārayām āsa vyāsarūpī janārdanaḥ. // MKm_144 //	arTitaH kArayAm Asa vyAsa-rUpI janArdanaH. // MKm_144 //
   dhanadārcāvivṛddhyarthaṃ mahāvittalayasya ca	Danada-arcA-vivRdDi-arTam mahA-vitta-layasya ca
   asurāṇāṃ mohanārthaṃ pāṣaṇḍānāṃ vivṛddhaye	asurANAm mohana-arTam pAzaNxAnAm vivRdDaye
   ātmasvarūpāvijñaptyai svarūpāprāptaye tathā. // MKm_145 //	Atma-svarUpa-avijQaptyE svarUpa-aprAptaye taTA. // MKm_145 //
   evaṃ viddhāṃ parityajya dvādaśyām upavāsane	evam vidDAm parityajya dvAdaSyAm upavAsane
   koṭijanmārjitaṃ pāpam ekayaiva vinaśyati	kowi-janma-arjitam pApam ekayA-eva vinaSyati
   tataḥ koṭiguṇaṃ vā 'pi niṣiddhasyetarair janaiḥ. // MKm_146 //	tatas kowi-guNam vA api nizidDasya-itarEH janEH. // MKm_146 //
   yad anādikṛtaṃ pāpaṃ tad ūrdhvaṃ yat kariṣyati	yat anAdi-kRtam pApam tat UrDvam yat karizyati
   tat sarvaṃ vilayaṃ yāti pareṣām upavāsanāt	tat sarvam vilayam yAti parezAm upavAsanAt-
   na ca tasmāt priyatamaḥ keśavasya mamāpi vā. // MKm_147 //	na ca tasmAt priyatamaH keSavasya mama-api vA. // MKm_147 //
   ekādaśyā hy avedhe tu dvādaśīṃ na parityajet	ekAdaSyAH hi aveDe tu dvAdaSIm na parityajet-
   pāraṇe maraṇe caiva tithis tātkālikī smṛtā. // MKm_148 //	pAraNe maraNe ca-eva tiTiH tAtkAlikI smRtA. // MKm_148 //
   brahmacārī gṛhastho vā vānaprastho yatis tathā	brahmacArI gRhasTaH vA vAnaprasTaH yatiH taTA
   brāhmaṇaḥ kṣatriyo vaiśyaḥ śūdro bhartṛmatī tathā. // MKm_149 //	brAhmaNaH kzatriyaH vESyaH SUdraH BartRmatI taTA. // MKm_149 //
   abhartṛkā tathā 'nye vā sūtavaidehikādayaḥ	aBartRkA taTA anye vA sUta-vEdehika-AdayaH
   ekādaśyāṃ na bhuñjīta pakṣayor ubhayor api. // MKm_150 //	ekAdaSyAm na BuQjIta pakzayoH uBayoH api. // MKm_150 //
   ekādaśyāṃ tu yo bhuṅkte mohenā 'vṛtacetanaḥ	ekAdaSyAm tu yaH BuFkte mohenA avRta-cetanaH
   śuklāyām atha kṛṣṇāyāṃ nirayaṃ yāti sa dhruvam. // MKm_151 //	SuklAyAm aTa kRzNAyAm nirayam yAti sa Druvam. // MKm_151 //
   vivecayati yo mohāc chuklā kṛṣṇeti pāpakṛt	vivecayati yaH mohAt SuklA kRzNa-iti pApa-kRt-
   ekādaśīṃ sa vai yāti nirayaṃ nātra saṃśayaḥ. // MKm_152 //	ekAdaSIm sa vE yAti nirayam na-atra saMSayaH. // MKm_152 //
   yathā gaur naiva hantavyā śuklā kṛṣṇeti bhāmini	yaTA gOH na-eva hantavyA SuklA kRzNa-iti BAmini
   ekadāśyāṃ na bhuñjīta pakṣayor ubhayor api. // MKm_153 //	eka-dA-ASyAm na BuQjIta pakzayoH uBayoH api. // MKm_153 //
   yāni kāni ca vākyāni kṛṣṇaikādaśivarjane	yAni kAni ca vAkyAni kRzNa-ekAdaSi-varjane
   bharaṇyādiniṣedhe 'pi tāni kāmyaphalārthinām. // MKm_154 //	BaraNI-Adi-nizeDe api tAni kAmya-Pala-arTi-nAm. // MKm_154 //
   kāmino 'pi hi nityārthaṃ kuryur evopavāsanam	kAminaH api hi nitya-arTam kuryuH eva-upavAsanam
   prīṇanārthaṃ harer nityaṃ na tu kāmavyapekṣayā. // MKm_155 //	prINana-arTam hareH nityam na tu kAma-vyapekzayA. // MKm_155 //
   tasmāc chuklām atho kṛṣṇāṃ bharaṇyādiyutām api	tasmAt SuklAm aTo kRzNAm BaraNI-Adi-yutAm api
   pratyavāyaniṣedhārtham upavāsīta nityaśaḥ	pratyavAya-nizeDa-arTam upavAsIta nityaSas-
   prīṇanārthaṃ hareś vāpi viṣṇulokasya cā 'ptaye. // MKm_156 //	prINana-arTam hareH vA-api vizNu-lokasya cA aptaye. // MKm_156 //
   kalā vā ghaṭikā vā 'pi apare dvādaśī yadi	kalA vA GawikA vA api apare dvAdaSI yadi
   dvādaśadvādaśīr hanti pūrvedyuḥ pāraṇe kṛte. // MKm_157 //	dvAdaSa-dvAdaSIH hanti pUrvedyus pAraNe kRte. // MKm_157 //
   atiriktā dvādaśī cet sa tāṃ nopoṣayed yadi	atiriktA dvAdaSI ced sa tAm na-upozayet yadi
   dvādaśadvādaśīr hanti dvādaśī cātilaṅghitā. // MKm_158 //	dvAdaSa-dvAdaSIH hanti dvAdaSI ca-ati-laFGitA. // MKm_158 //
   dvādaśyām atiriktāyāṃ yo bhuṅkte pūrvavāsare	dvAdaSyAm atiriktAyAm yaH BuFkte pUrva-vAsare
   dvādaśadvādaśīr hanti dvādaśīṃ na parityajet. // MKm_159 //	dvAdaSa-dvAdaSIH hanti dvAdaSIm na parityajet. // MKm_159 //
   dvādaśīṃ śravaṇopetāṃ yo nopoṣyāt sumandadhīḥ	dvAdaSIm SravaNa-upetAm yaH na-upozyAt sumanda-DIH
   pañcasaṃvatsarakṛtaṃ puṇyaṃ tasya vinaśyati. // MKm_160 //	paQca-saMvatsara-kRtam puNyam tasya vinaSyati. // MKm_160 //
   ekādaśīm upoṣyātha dvādaśīm apy upoṣayet	ekAdaSIm upozya-aTa dvAdaSIm api upozayet-
   na tatra vidhilopaḥ syād ubhayor devatā hariḥ. // MKm_161 //	na tatra viDi-lopaH syAt uBayoH devatA hariH. // MKm_161 //
   pārayitvodakenāpi bhuñjāno naiva duṣyati	pArayitvA-udakena-api BuQjAnaH na-eva duzyati
   aśitānaśitā yasmād āpo vidvadbhir īritāḥ	aSita-anaSitAH yasmAt ApaH vidvadBiH IritAH
   ambhasā kevalenātha kariṣye vratapāraṇam. // MKm_162 //	amBasA kevalena-aTa karizye vrata-pAraNam. // MKm_162 //
   na kāśī na gayā gaṅgā na reva na ca gautamī	na kASI na gayA gaFgA na reva na ca gOtamI
   na cāpi kauravaṃ kṣetraṃ samā bhūpa harer dināt. // MKm_163 //	na ca-api kOravam kzetram samAH BUpa hareH dinAt. // MKm_163 //
   aśvamedhasahasrāṇi vājapeyāyutāni ca	aSvameDa-sahasrANi vAjapeya-AyutAni ca
   ekādaśyupavāsasya kalāṃ nārhanti ṣoḍaśīm. // MKm_164 //	ekAdaSI-upavAsasya kalAm na-arhanti zoxaSIm. // MKm_164 //
   ekādaśīsamutthena vahninā pātakendhanam	ekAdaSI-samutTena vahninA pAtaka-inDanam
   bhasmībhavati rājendra api janmaśatodbhavam. // MKm_165 //	BasmIBavati rAja-indra api janma-Sata-udBavam. // MKm_165 //
   nedṛśaṃ pāvanaṃ kiñcin narāṇāṃ bhuvi vidyate	na-IdRSam pAvanam kiQcid narANAm Buvi vidyate
   yādṛśaṃ padmanābhasya dinaṃ pātakahānidam. // MKm_166 //	yAdRSam padmanABasya dinam pAtaka-hAni-dam. // MKm_166 //
   tāvat pāpāni dehe 'smiṃs tiṣṭhanti manujādhipa	tAvat pApAni dehe asmin tizWanti manuja-aDipa
   yāvan nopoṣayej jantuḥ padmanābhadinaṃ śivam. // MKm_167 //	yAvat na-upozayet jantuH padmanABa-dinam Sivam. // MKm_167 //
   ekādaśendriyaiḥ pāpaṃ yat kṛtaṃ bhavati prabho	ekAdaSa-indriyEH pApam yat kRtam Bavati praBo
   ekādaśyupavāsena tat sarvaṃ vilayaṃ nayet. // MKm_168 //	ekAdaSI-upavAsena tat sarvam vilayam nayet. // MKm_168 //
   ekādaśīsamaṃ kiñcit pāpatrāṇaṃ na vidyate	ekAdaSI-samam kiQcid pApa-trANam na vidyate
   vyājenāpi kṛtā rājan na darśayati bhāskarim. // MKm_169 //	vyAjena-api kRtA rAjan na darSayati BAskarim. // MKm_169 //
   Śrī Vedavyāsa uvāca:	ŚrI VedavyAsaH uvAca:
   sa brahmahā sa goghnaś ca stenaḥ sa gurutalpagaḥ	sa brahma-hA sa go-GnaH ca stenaH sa guru-talpa-gaH
   ekādaśyāṃ tu bhuñjānaḥ pakṣayor ubhayor api. // MKm_170 //	ekAdaSyAm tu BuQjAnaH pakzayoH uBayoH api. // MKm_170 //
   varaṃ svamātṛgamanaṃ varaṃ gomāṃsabhakṣaṇam	varam sva-mAtR-gamanam varam go-mAMsa-BakzaNam
   varaṃ hatyā surāpānam ekādaśyāṃ tu bhojanāt. // MKm_171 //	varam hatyA surA-pAnam ekAdaSyAm tu Bojana-at. // MKm_171 //
   ekādaśīdine puṇye bhuñjate ye narādhamāḥ	ekAdaSI-dine puNye BuQjate ye nara-aDamAH
   avalokya mukhaṃ teṣām ādityam avalokayet. // MKm_172 //	avalokya muKam tezAm Adityam avalokayet. // MKm_172 //
   pṛthivyāṃ yāni pāpāni brahmahatyādikāni ca	pRTivyAm yAni pApAni brahmahatyA-AdikAni ca
   annam āśritya tiṣṭhanti samprāpte harivāsare. // MKm_173 //	annam ASritya tizWanti samprApte hari-vAsare. // MKm_173 //
   Rugmāṅgadaḥ:	Rugma-aFgadaH:
   aṣṭavarṣādhiko yas tu aśītir na hi pūryate	azwa-varza-aDikaH yaH tu aSItiH na hi pUryate
   yo bhuṅkte mānavaḥ pāpo viṣṇor ahani cāgate. // MKm_174 //	yaH BuFkte mAnavaH pApaH vizNoH ahani ca-Agate. // MKm_174 //
   pitā vā yadi vā putro bhāryā vā 'pi suhṛjjanaḥ	pitA vA yadi vA putraH BAryA vA api suhRd-janaH
   padmanābhadine bhuṅkte nigrāhyo dasyuvad bhavet. // MKm_175 //	padmanABa-dine BuFkte nigrAhyaH dasyu-vat Bavet. // MKm_175 //
   Dharmavibhūṣaṇaḥ:	Dharma-viBUzaNaH:
   prātar haridine lokās tiṣṭhadhvaṃ caikabhojanāḥ	prAtar hari-dine lokAH tizWaDvam ca-eka-BojanAH
   akṣāralavaṇāḥ sarve haviṣyān niṣeviṇaḥ. // MKm_176 //	akzAra-lavaNAH sarve havizyAt nizeviNaH. // MKm_176 //
   avanītapaśayanāḥ priyāsaṃgavivarjitāḥ	avanI-tapa-SayanAH priyA-saMga-vivarjitAH
   smaradhvaṃ devadeveśaṃ purāṇapuruṣottamam. // MKm_177 //	smaraDvam devadeveSam purANapuruzottamam. // MKm_177 //
   sakṛd bhojanasaṃyuktā hy upavāse bhaviṣyatha	sakRt Bojana-saMyuktAH hi upavAse BavizyaTa
   akṛtaśrāddhanicayā jalapiṇḍodakakriyāḥ. // MKm_178 //	akRta-SrAdDa-nicayAH jala-piNxa-udaka-kriyAH. // MKm_178 //
   Brahmā:	BrahmA:
   upoṣya dvādaśīṃ puṇyāṃ sarvapāpakṣayapradām	upozya dvAdaSIm puNyAm sarva-pApa-kzaya-pradAm
   na paśyati yamaṃ vā 'pi narakān na ca yātanām. // MKm_179 //	na paSyati yamam vA api narakAt na ca yAta-nAm. // MKm_179 //
   raṭantīha purāṇāni bhūyo bhūyo varānane	rawanti-iha purANAni BUyas BUyas varAnane
   na bhoktavyaṃ na bhoktavyaṃ samprāpte harivāsare. // MKm_180 //	na Boktavyam na Boktavyam samprApte hari-vAsare. // MKm_180 //
   dvādaśī na pramoktavyā yāvad āyuḥ pravartate	dvAdaSI na pramoktavyAH yAvat AyuH pravartate
   arcanīyo hṛṣīkeśo viśuddhenāntarātmanā. // MKm_181 //	arcanIyaH hRzIkeSaH viSudDena-antarAtmanA. // MKm_181 //
   bhaktyā grāhyo hṛṣīkeśo na dhanair dharaṇīsurāḥ	BaktyA grAhyaH hRzIkeSaH na DanEH DaraNI-surAH
   bhaktyā sampūjito viṣṇuḥ phalaṃ datte samīhitam. // MKm_182 //	BaktyA sampUjitaH vizNuH Palam datte samIhitam. // MKm_182 //
   jalenāpi jagannāthaḥ pūjitaḥ kleśanāśanaḥ	jalena-api jagannATaH pUjitaH kleSa-nASanaH
   paritoṣaṃ prayāty āśu tṛṣārtās tu yathā jalaiḥ. // MKm_183 //	paritozam prayAti ASu tRzA-ArtAH tu yaTA jalEH. // MKm_183 //
   āsīnasya śayānasya tiṣṭhato vrajato 'pi vā	AsInasya SayAnasya tizWataH vrajataH api vA
   ramasva puṇḍarīkākṣa hṛdaye mama sarvadā. // MKm_184 //	ramasva puNxarIkAkza hRdaye mama sarva-dA. // MKm_184 //
   sarvagaś caiva sarvātmā sarvāvasthāsu cācyuta	sarvagaH ca-eva sarva-AtmA sarva-avasTAsu ca-acyuta
