   Bhk_1	Bhj-_1
   śāntamaitat."	SAntam-Etat."
   Bhk_3.56-1 iti nigaditavantaṃ rāghavas taṃ jagādaŌ "vraja bharata !	Bhc-_3.56-1 iti nigaditavantam rAGavaH tam jagAdaŌ "vraja BarataH !
   gṛhītvā pāduke tvaṃ madīye,	gRhItvA pAduke tvam madIye,
   Bhk_3.56-2 cyuta-nikhila-viśaṅkaḥ pūjyamāno janaughaiḥ	Bhc-_3.56-2 cyuta--niKila--viSaFkaH pUjyamAnaH jana-oGEH
   sakala-bhuvana-rājyaṃ kārayā 'sman-matena"	sakala--Buvana-rAjyam kArayA asman-matena"
   Bhk_4	Bhj-_4
   Bhk_4.1-1 nivṛtte bharate dhī-mānatre rāmas tapo-vanam	Bhc-_4.1-1 nivRtte Barate DI--mAnatre rAmaH tapo--vanam
   Bhk_4.1-2 prapede, pūjitas tasmin daṇḍakāraṇyamīyivān.	Bhc-_4.1-2 prapede, pUjitaH tasmin daNxaka-araNyam-IyivAn.
   Bhk_4.2-1 aṭāṭyamāno 'raṇyānīṃ sa-sītaḥ saha-lakṣmaṇaḥ	Bhc-_4.2-1 awAwyamAnaH araNyAnIm sa-sItaH saha--lakzmaNaH
   Bhk_4.2-2 balād bubhukṣuṇotkṣipya jahre bhīmena rakṣasā.	Bhc-_4.2-2 balAt buBukzuNA-utkzipya jahre BImena rakzasA.
   Bhk_4.3-1 avāk-śirasamut-pādaṃ kṛtāntenā 'pi dur-damam	Bhc-_4.3-1 avAk--Sirasamut-pAdam kRtAntenA api dur-damam
   Bhk_4.3-2 bhaṅktvā bhujau virādhā''khyaṃ taṃ tau bhuvi nicakhnatuḥ.	Bhc-_4.3-2 BaFktvA BujO virADA-aaKyam tam tO Buvi nicaKnatuH.
   Bhk_4.4-1 āṃhiṣātāṃ raghu-vyāghrau śarabhaṅgā''śramaṃ tataḥ	Bhc-_4.4-1 AMhizAtAm raGu--vyAGrO SaraBaFgA-aaSramam tatas-
   Bhk_4.4-2 adhyāsitaṃ śriyā brāhmyā śaraṇyaṃ śaraṇaiṣiṇām.	Bhc-_4.4-2 aDyAsitam SriyA brAhmyA SaraNyam SaraNa-eziNAm.
   Bhk_4.5-1 puro rāmasya juhavāñcakāra jvalane vapuḥ	Bhk-_4.5-1 puras rAmasya juhavAQcakAra jvalane vapuH
   Bhk_4.5-2 śarabhaṅgaḥ pradiśyā''rāt sutīkṣṇa-muniḥ-ketanam	Bhc-_4.5-2 SaraBaFgaH pradiSyA-aarAt su-tIkzNa--muniH-ketanam
   Bhk_4.6-1 "yūyaṃ samaiṣyathetyasmiŌ nnāsiṣmahi vayaṃ vane,	Bhk-_4.6-1 "yUyam samEzyaTa-iti-asmiŌ nna-asizmahi vayam vane,
   Bhk_4.6-2 dṛṣṭāḥ stha, svasti vo, yāmaḥ sva-puṇya-vijitāṃ gatim"	Bhk-_4.6-2 dRzwAH sTa, svasti vo, yAmaH sva--puNya--vijitAm gatim"
   Bhk_4.7-1 tasmin kṛśānu-sād-bhūte sutīkṣṇa-muni-sannidhau	Bhc-_4.7-1 tasmin kRSa-anu--sAd--BUte su-tIkzNa--muni--sanniDO
   Bhk_4.7-2 uvāsa parṇa-śālāyāṃ bhramannaniśamā''śramān,	Bhk-_4.7-2 uvAsa parNa--SAlAyAm Braman=-aniSamA-aaSramAn,
   Bhk_4.8-1 vaneṣu vāsateyeṣu nivasan parṇa-saṃstaraḥ	Bhc-_4.8-1 vanezu vAsateyezu nivasan parNa--saMstaraH
   Bhk_4.8-2 śayyotthāyaṃ mṛgān vidhyannātitheyo vicakrame	Bhk-_4.8-2 SayyA-utTAyam mRgAn viDyanna-AtiTeyaH vicakrame
   Bhk_4.9-1 ṛg-yajuṣamadhīyānān sāmānyāṃśca samarcayan	Bhk-_4.9-1 Rg-ya-juzam-aDIyAnAn sAmAnyAn=-ca samarcayan
   Bhk_4.9-2 bubhuje deva-sāt-kṛtvā śūlyamukhyaṃ ca hema-vān.	Bhc-_4.9-2 buBuje deva-sAt--kRtvA SUlya-muKyam ca hema-vAn.
   Bhk_4.10-1 vasānas tantraka-nibhe sarvāṅgīṇe taru-tvacau	Bhc-_4.10-1 vasAnaH tantra-ka-niBe sarva-aFgINe taru-tvacO
   Bhk_4.10-2 kāṇḍīraḥ khāḍgakaḥ śārṅgī rakṣan viprāṃstanutra-vān	Bhc-_4.10-2 kANxIraH KAxgakaH SArFgI rakzan viprAn=-tanutra-vAn
   Bhk_4.11-1 hitvā''śitaṅgavīnāni phalair yeṣvāśitambhavam,	Bhc-_4.11-1 hitvA-aaSitaFga-vInAni PalEH yezu-ASitamBavam,
   Bhk_4.11-2 teṣvasau dandaśūkā'rir vaneśvānabhra nir-bhayaḥ.	Bhc-_4.11-2 tezu-asO dandaSUkA-ariH vaneSvAn-aBra nir-BayaH.
   Bhk_4.12-1 vrātīna-vyāla-dīprā'straḥ sutvanaḥ paripūjayan	Bhc-_4.12-1 vrAtIna-vyAla-dIprA-astraH sutvanaH paripUjayan
   Bhk_4.12-2 parṣadvalān mahā-brahmairāṭa naikaṭikā''śramān.	Bhc-_4.12-2 parzadvalAt mahA--brahmEH-Awa nEkawikA-aaSramAn.
   Bhk_4.13-1 paredyavyadya pūrvedyuranyedyuś cā'pi cintayan	Bhj-_4.13-1 paredya-vyadya pUrvedyus-anyedyus cA-api cintayan
   Bhk_4.13-2 vṛddhi-kṣayau munīndrāṇāṃ priyaṃ-bhāvuka-tāmagāt.	Bhc-_4.13-2 vRdDi-kzayO muni-indrANAm priyaM-BAvuka-tAm-agAt.
   Bhk_4.14-1 ā-tiṣṭhad-gu japan sandhyā prakrāntāmāyatīgavam	Bhc-_4.14-1 A-tizWa-d-gu japan sanDyA prakrAntAm-AyatI-gavam
   Bhk_4.14-2 prātastarāṃ patatribhyaḥ prabuddhaḥ praṇaman ravim.	Bhk-_4.14-2 prAtastarAm patatriByaH prabudDaH praNaman ravim.
   Bhk_4.15-1 dadṛśe parṇa-śālāyāṃ rākṣasyā 'bhīkayā 'tha saḥ,	Bhc-_4.15-1 dadRSe parNa--SAlAyAm rAkzasyAH aBIkayA aTa saH,
   Bhk_4.15-2 bhāryoḍhaṃ tamavajñāya tasthe saumitraye'sakau.	Bhc-_4.15-2 BAryA-UXam tam-avajQAya tasTe sOmitraye-asakO.
   Bhk_4.16-1 dadhānā vali-bhaṃ madhyaṃ karṇa-jāha-vilocanā	Bhc-_4.16-1 daDAnA vali-Bam maDyam karNa-jAha--vilocanA
   Bhk_4.16-2 vāka-tvacenā'ti-sarveṇa candra-lekheva pakṣatau	Bhc-_4.16-2 vAka-tvacenA-ati-sarveNa candra-leKA-iva pakzatO
   Bhk_4.17-1 su-pād dvi-rad-nāsorūr mṛdu-pāṇi-talā'ṅguliḥ	Bhk-_4.17-1 su-pAt dvi--rad-nAsA-UrUH mRdu-pANi--talA-aFguliH
   Bhk_4.17-2 prathimānaṃ dadhānena jaghanena ghanena sā	Bhc-_4.17-2 praTimAnam daDAnena jaGanena Ganena sA
   Bhk_4.18-1 un-nasaṃ dadhatī vaktraṃ śuddha-dal-lola-kuṇḍalam	Bhc-_4.18-1 un-nasam daDatI vaktram SudDa-dal--lola--kuNxalam
   Bhk_4.18-2 kurvāṇā paśyataḥ śaṃyūn sragviṇī su-hasā''nanā	Bhk-_4.18-2 kurvANA paSyataH SaMyUn sragviNI su-hasA-aananA
   Bhk_4.19-1 prāpya cañcūryamāṇā patīyantī raghūttamam	Bhc-_4.19-1 prApya caQcUryamANA patIyantI raGUttamam
   Bhk_4.19-2 anukā prārthayāñcakre priyā-kartuṃ priyaṃ-vadā.	Bhc-_4.19-2 anukA prArTayAQcakre priyA-kartum priyaM-vadA.
   Bhk_4.20-1 "saumitre ! māmupāyaṃsthāḥ kamrāmicchur vaśaṃ-vadām	Bhk-_4.20-1 "sOmitre ! mAm-upAyaMsTAH kamrAm-icCuH vaSaM-vadAm
   Bhk_4.20-2 tvad-bhogīnāṃ saha-carīma-śaṅkaḥ puruṣā''yuṣam."	Bhc-_4.20-2 tvad--BogInAm saha-carIma--SaFkaH puruzA-aayuzam."
   Bhk_4.21-1 tāmuvāca sa-"gauṣṭhīne vane strī-puṃsa-bhīṣaṇe	Bhk-_4.21-1 tAm-uvAca sa--"gOzWIne vane strI-puMsa--BIzaNe
   Bhk_4.21-2 a-sūryaṃ-paśya-rūpā tvaṃ kima-bhīrurarāryase.	Bhc-_4.21-2 a-sUryaM-paSya--rUpA tvam kim-a-BIruH-arAryase.
   Bhk_4.22-1 mānuṣānabhilaṣyantī rociṣṇur divya-dharmiṇī	Bhc-_4.22-1 mAnuzAn-aBilazyantI rocizNuH divya-DarmiNI
   Bhk_4.22-2 tvamapsarāyamāṇeha sva-tantrā kathamañcasi.	Bhc-_4.22-2 tvam-apsarAyamANA-iha sva-tantrA kaTam-aQcasi.
   Bhk_4.23-1 ugraṃ-paśyā''kulo 'raṇye śālīna-tva-vivarjitā	Bhk-_4.23-1 ugraM-paSyA-aakulaH araNye SAlIna-tva--vivarjitA
   Bhk_4.23-2 kāmuka-prārthanā-paṭvī pativatnī kathaṃ na vā.	Bhc-_4.23-2 kAmuka--prArTanA--pawvI pativatnI kaTam na vA.
   Bhk_4.24-1 rāghavaṃ parṇa-śālāyāmicchā 'nurahasaṃ patim,	Bhc-_4.24-1 rAGavam parNa--SAlAyAm-icCA anurahasam patim,
   Bhk_4.24-2 yaḥ svāmī mama kāntā-vānaupakarṇika-locanaḥ	Bhc-_4.24-2 yaH svAmI mama kAntA-a-vAnOpakarNika---locanaH
   Bhk_4.25-1 vapuś cāndanikaṃ yasya, kārṇaveṣṭakikaṃ mukham,	Bhc-_4.25-1 vapuH ca-Andanikam yasya, kArNavezwakikam muKam,
   Bhk_4.25-2 saṃgrāme sarva-karmīṇau pāṇī yasyaupajānukau.	Bhk-_4.25-2 saMgrAme sarva-karmINO pANI yasya-OpajAnukO.
   Bhk_4.26-1 baddho dur-bala-rakṣā'rthamasir yenopanīvikaḥ,	Bhc-_4.26-1 badDaH dur-bala--rakzA-arTam-asiH yena-upanIvikaH,
   Bhk_4.26-2 yaś cāpamāśmana-prakhyaṃ seṣuṃ dhatte'nya-dur-vaham.	Bhc-_4.26-2 yaH ca-apamASmana--praKyam sa-izum Datte-anya-dur-vaham.
   Bhk_4.27-1 jetā yajña-druhāṃ saṃkhye dharma-santāna-sūr vane	Bhc-_4.27-1 jetA yajQa--druhAm saMKye Darma--santAna--sUH vane
   Bhk_4.27-2 prāpya dāra-gavānāṃ yaḥ munīnāma-bhayaṃ sadā"	Bhc-_4.27-2 prApya dAra-gavAnAm yaH munInAm-a-Bayam sadA"
   Bhk_4.28-1 tato vāvṛtyamānā 'sau rāma-śālāṃ nyavikṣata,	Bhk-_4.28-1 tatas vA-AvRtyamAnA asO rAma-SAlAm nyavikzata,
   Bhk_4.28-2 "māmupāyaṃsta rāme"ti vadantī sā''daraṃ vacaḥ	Bhk-_4.28-2 "mAm-upAyaMsta rAma-i"ti vadantI sA-aadaram vacaH
   Bhk_4.29-1 "a-strīko 'sāvahaṃ strī-mān, sa puṣyati-tarāṃ tava	Bhc-_4.29-1 "a-strIkaH asO=-aham strI-mAn, sa puzyati-tarAm tava
   Bhk_4.29-2 patir"ityabravīd rāmasŌ"tameva vraja, mā mucaḥ."	Bhc-_4.29-2 patiH-"iti-abravIt rAma-sŌ"tam-eva vraja, mA mucaH."
   Bhk_4.30-1 lakṣmaṇaṃ 'sā vṛṣasyantī mahokṣaṃ gaurivā 'gamat	Bhc-_4.30-1 lakzmaNam asA vRzasyantI mahA-ukzam gOH-ivA agamat-
   Bhk_4.30-2 manmathā''yudha-sampāta-vyathyamāna-matiḥ punaḥ.	Bhc-_4.30-2 manmaTA-aayuDa--sampAta--vyaTyamAna-matiH punar-.
   Bhk_4.31-1 tasyāḥ sāsadyamānāyā lolūyā-vān raghūttamaḥ	Bhc-_4.31-1 tasyAH sa-AsadyamAnAyAH lolUya-a-vAn raGUttamaH
   Bhk_4.31-2 asiṃ kaukṣeyamudyamya cakārā'pa-nasaṃ mukham.	Bhk-_4.31-2 asim kOkzeyam-udyamya cakArA-apa-nasam muKam.
   Bhk_4.32-1 "ahaṃ śūrpa-ṇakhā nāmnā nūnaṃ nā 'jñāyiṣi tvayā,	Bhc-_4.32-1 "aham SUrpa-NaKAH nAmnA nUnam nA ajQAyizi tvayA,
   Bhk_4.32-2 daṇḍo 'yaṃ kṣetriyo yena mayyapātī"ti sā 'bravīt.	Bhc-_4.32-2 daNxaH ayam kzetriyaH yena mayi-apAtI"ti sA abravIt-.
   Bhk_4.33-1 paryaśāpsīd divi-ṣṭhā 'sau saṃdarśya bhaya-daṃ vapuḥ	Bhc-_4.33-1 paryaSApsIt divi-zWA asO saMdarSya Baya--dam vapuH
   Bhk_4.33-2 apisphavac ca bandhūnāṃ ninaṅkṣur vikramaṃ muhuḥ	Bhc-_4.33-2 api-sPavat ca banDUnAm ninaFkzuH vikramam muhur-
   Bhk_4.34-1 khara-dūṣaṇayor bhrātroḥ paryadeviṣṭa sā puraḥ,	Bhk-_4.34-1 Kara-dUzaNayoH BrAtroH paryadevizwa sA puras-,
   Bhk_4.34-2 vijigrāhayiṣū rāmaṃ daṇḍakāraṇya-vāsinoḥ	Bhc-_4.34-2 vijigrAhayizuH rAmam daNxaka-araNya--vAsinoH
   Bhk_4.35-1 "kṛte saubhāgineyasya bharatasya vivāsitau	Bhc-_4.35-1 "kRte sOBAgineyasya Baratasya vivAsitO
   Bhk_4.35-2 pitrā daurbhāgineyau yau, paśyataṃ ceṣṭitaṃ tayoḥ.	Bhc-_4.35-2 pitrA dOrBAgineyO yO, paSyatam cezwitam tayoH.
   Bhk_4.36-1 mama rāvaṇa-nāthāyā bhaginyā yuvayoḥ punaḥ	Bhc-_4.36-1 mama rAvaNa-nATAyAH BaginyAH yuvayoH punar-
   Bhk_4.36-2 ayaṃ tāpasakād dhvaṃsaḥ, kṣamadhvaṃ, yadi vaḥ kṣamam.	Bhk-_4.36-2 ayam tApasakAt DvaMsaH, kzamaDvaM, yadi vaH kzamam.
   Bhk_4.37-1 a-saṃskṛtrima-saṃvyānāvanuptrima-phalāśinau	Bhc-_4.37-1 a-saMskRtrima--saMvyAnO=-anuptri-ma--Pala-ASinO
   Bhk_4.37-2 a-bhṛtrima-parīvārau paryabhūtāṃ tathāpi mām."	Bhc-_4.37-2 a-BRtrima--parIvArO paryaBUtAm taTA-api mAm."
   Bhk_4.38-1 "śvaḥśreyasamavāptāsi" bhrātṛbhyāṃ pratyabhāṇi sāŌ	Bhc-_4.38-1 "SvaH-Sreya-samavAptA-asi" BrAtRByAm pratyaBANi sAŌ
   Bhk_4.38-2 prāṇivas tava mānā'rthaṃ, vrajā''śvasihi, mā rudaḥ.	Bhc-_4.38-2 prANivaH tava mAnA-arTaM, vrajA-aaSva-sihi, mA rudaH.
   Bhk_4.39-1 jakṣimo 'naparādhe'pi narān naktaṃ-divaṃ vayam,	Bhc-_4.39-1 jakzimaH anaparADe-api narAn naktaM-divam vayam,
   Bhk_4.39-2 kutas-tyaṃ bhīru ! yat tebhyo druhyadbhyo 'pi kṣamāmahe."	Bhk-_4.39-2 kutas-tyam BIru ! yat teByaH druhyadByaH api kzamAmahe."
   Bhk_4.40-1 tau caturdaśa-sāhasrabalau niryayatus tataḥ	Bhc-_4.40-1 tO caturdaSa--sAhasra-balO niryayatuH tatas-
   Bhk_4.40-2 pāraśvadhika-dhānuṣka-śāktika-prāsikā'nvitau.	Bhc-_4.40-2 pAraSvaDi-ka-DA-anuzka--SAktika--prAsikA-anvitO.
   Bhk_4.41-1 atha sampatato bhīmān viśikhai rāma-lakṣmaṇau	Bhc-_4.41-1 aTa sampatataH BImAn viSiKEH rAma--lakzmaNO
   Bhk_4.41-2 bahu-mūrdhno dvi-mūrdhāṃśca tri-mūrdhāś cā 'hatāṃ mṛdhe.	Bhk-_4.41-2 bahu-mUrDnaH dvi-mUrDAn=-ca tri-mUrDAH cA ahatAm mRDe.
   Bhk_4.42-1 tair vṛkṇa-rugṇa-sambhugna-kṣuṇṇa-bhinna-vipanna-kaiḥ.	Bhc-_4.42-1 tEH vRkNa-rugNa-samBugna-kzuNNa--Binna--vipanna-kEH.
   Bhk_4.42-2 nimagnodvigna-saṃhrīṇaiḥ papre dīnaiś ca medinī.	Bhc-_4.42-2 nimagna-udvigna--saMhrINEH papre dInEH ca medinI.
   Bhk_4.43-1 ke-cid vepathumāseduranye davathumuttamam,	Bhc-_4.43-1 ke-cid vepaTu-m-AseduH-anye davaTum-uttamam,
   Bhk_4.43-2 sa-raktaṃ vamathuṃ kecid, bhrājathuṃ na ca ke-cana.	Bhk-_4.43-2 sa-raktam vamaTum kecid-, BrAjaTum na ca ke-cana.
   Bhk_4.44-1 mṛgayumiva mṛgo 'tha dakṣiṇermā, diśamiva dāha-vatīṃ	Bhc-_4.44-1 mRgayum-iva mRgaH aTa dakziNeH-mA, diSam-iva dAha-vatIm
   marāvudanyan,	marO=-udanyan,
   Bhk_4.44-2 raghu-tanayamupāyayau tri-mūrdho, viśabhṛdivogra-mukhaṃ	Bhc-_4.44-2 raGu-tanayam-upAyayO tri-mUrDo, viSaBRt-iva-ugra-muKam
   patatri-rājam,	patatri-rAjam,
   Bhk_4.45-1 śita-viśikha-nikṛttakṛtsna-vaktraḥ kṣiti-bhṛdiva	Bhc-_4.45-1 Sita--viSiKa--nikRtta-kRtsna-vaktraH kziti-BRt-iva
   kṣiti-kampa-kīrṇa-śṛṅgaḥ	kziti-kampa-kIrNa-SRFgaH
   Bhk_4.45-2 bhayamupanidadhe sa rākṣasānām	Bhc-_4.45-2 Bayam-upanidaDe sa rAkzasAnAm
   a-khila-kula-kṣaya-pūrva-liṅga-tulyaḥ.	a-Kila--kula--kzaya--pUrva--liFga--tulyaH.
   Bhk_5	Bhj-_5
   Bhk_5.1-1 nirākariṣṇū vartiṣṇū vardhiṣṇū parato raṇam	Bhc-_5.1-1 nirAkarizNU vartizNU varDizNU paratas raNam
   Bhk_5.1-2 utpatiṣṇū sahiṣṇū ca ceratuḥ khara-dūṣaṇau.	Bhc-_5.1-2 utpatizNU sahizNU ca ceratuH Kara-dUzaNO.
   Bhk_5.2-1 tau khaḍga-musala-prāsa-cakra-bāṇa-gadā-karau	Bhc-_5.2-1 tO Kaxga--musala--prAsa--cakra--bANa--gadA-karO
   Bhk_5.2-2 akārṣṭāmāyudha-cchāyaṃ rajaḥ-santamase raṇe.	Bhc-_5.2-2 akArzwAm-AyuDa--=-CAyam rajaH-santamase raNe.
   Bhk_5.3-1 atha tīkṣṇā''yasair bānairadhi-marma raghūttamau	Bhc-_5.3-1 aTa tIkzNA-aayasEH bAnEH-aDi-marma raGu-uttamO
   Bhk_5.3-2 vyādhaṃ vyādhama-mūḍhau tau yama-sāc-cakratur dviṣau.	Bhc-_5.3-2 vyADam vyADa-ma-mUXO tO yama-sAc-cakratuH dvizO.
   Bhk_5.4-1 hata-bandhur jagāmā 'sau tataḥ śūrpa-ṇakhā vanāt	Bhc-_5.4-1 hata-banDuH jagAmAH asO tatas SUrpa-NaKAH vanAt-
   Bhk_5.4-2 pāre-samudraṃ laṅkāyāṃ vasantaṃ rāvaṇāṃ patim.	Bhc-_5.4-2 pAre--samudram laFkAyAm vasantam rAvaNAm patim.
   Bhk_5.5-1 saṃprāpya rākṣasa-sabhaṃ cakranda krodha-vihvalā,	Bhk-_5.5-1 saMprApya rAkzasa--saBam cakranda kroDa--vihvalA,
   Bhk_5.5-2 nāma-grāmamarodīt sā bhrātarau rāvaṇā'ntike.	Bhc-_5.5-2 nAma--grAmam-arodIt sA BrAtarO rAvaNA-antike.
   Bhk_5.6-1 "daṇḍakānadhyavāttāṃ yau vīra ! rakṣaḥ-prakāṇḍakau,	Bhc-_5.6-1 "daNxaka-anaDyavAttAm yO vIra ! rakzaH-prakANxakO,
   Bhk_5.6-2 nṛbhyāṃ saṃkhye'kṛśātāṃ tau sa-bhṛtyau bhūmi-vardhnau.	Bhc-_5.6-2 nRByAm saMKye-akRSAtAm tO sa-BRtyO BUmi-varDnO.
   Bhk_5.7-1 vigrahas tava śakreṇa bṛhaspati-purodhasā	Bhc-_5.7-1 vigrahaH tava SakreNa bRhaspati--puroDasA
   Bhk_5.7-2 sārdhaṃ kumāra-senānyā, śūnyaś cā'sīti ko nayaḥ	Bhc-_5.7-2 sArDam kumAra--senA-anyA, SUnyaH cA-asi-iti kaH nayaH
   Bhk_5.8-1 yadyahaṃ nātha ! nā 'yāsyaṃ vi-nāsā hata-bāndhavā,	Bhc-_5.8-1 yadi-aham nATa ! nA ayAsyam vi-nAsA hata-bAnDavA,
   Bhk_5.8-2 nā 'jñāsyas tvamidaṃ sarvaṃ pramādyaṃś cāra-dur-balaḥ.	Bhc-_5.8-2 nA ajQAsyaH tvam-idam sarvam pramAdyan cAra-dur-balaH.
   Bhk_5.9-1 kariṣyamāṇaṃ vijñeyaṃ kāryaṃ, kiṃ nu kṛtaṃ paraiḥ,	Bhk-_5.9-1 karizyamANam vijQeyam kAryan, kim nu kRtam parEH,
   Bhk_5.9-2 apakāre kṛte 'pyajño vijigīṣur na vā bhavān.	Bhc-_5.9-2 apakAre kRte api-ajQaH vijigIzuH na vA BavAn.
   Bhk_5.10-1 vṛtas tvaṃ pātre-samitaiḥ khaṭvā''rūḍhaḥ pramāda-vān	Bhc-_5.10-1 vRtaH tvam pAtre--samitEH KawvA-aarUXaH pramAda-vAn
   Bhk_5.10-2 pāna-śauṇḍaḥ śriyaṃ netā nā 'tyantīna-tvamunmanāḥ	Bhc-_5.10-2 pAna--SONxaH Sriyam netA nA atyantIna--tvam-unmanAH
   Bhk_5.11-1 adhvareṣvagnicitvatsu somasutvata āśramān	Bhc-_5.11-1 aDvarezu-agni-citvatsu somasu-tvataH ASramAn
   Bhk_5.11-2 attuṃ mahendriyaṃ bhāgameti duścyavano 'dhunā,	Bhc-_5.11-2 attum mahA-indriyam BAgam-eti duScyavanaH aDunA,
   Bhk_5.12-1 āmikṣīyaṃ dadhi-kṣīraṃ puroḍāśyaṃ tathauṣadham	Bhk-_5.12-1 AmikzIyam daDi-kzIram puroxASyam taTA-OzaDam
   Bhk_5.12-2 havir haiyaṅgavīnaṃ ca nā'pyupaghnanti rākṣasāḥ	Bhk-_5.12-2 haviH hEyaFgavInam ca nA-api-upaGnanti rAkzasAH
   Bhk_5.13-1 yuva-jānir dhanuś-pāṇir bhūmi-ṣṭhaḥ kha-vicāriṇaḥ	Bhc-_5.13-1 yuva-jAniH Danu-S-pANiH BUmi-zWaH Ka-vicAriNaH
   Bhk_5.13-2 rāmo yajña-druho hanti kāla-kalpa-śilīmukhaḥ	Bhc-_5.13-2 rAmaH yajQa-druhaH hanti kAla-kalpa--SilImuKaH
   Bhk_5.14-1 māṃsānyoṣṭhā'valopyāni sādhanīyāni devatāḥ	Bhc-_5.14-1 mAMsAn-i-ozWA-avalopyAni sADanIyAni devatAH
   Bhk_5.14-2 aśnanti, rāmād rakṣāṃsi bibhyaśruvate diśaḥ	Bhc-_5.14-2 aSnanti, rAmAt rakzAMsi biByaSruvate diSaH
   Bhk_5.15-1 kuru buddhiṃ kuśā'griyāmanukāmīna-tāṃ tyaja,	Bhc-_5.15-1 kuru budDim kuSA-agriyAm-anukAmIna-tAm tyaja,
   Bhk_5.15-2 lakṣmīṃ paramparīṇāṃ tvaṃ putra-pautrīṇa-tāṃ naya.	Bhc-_5.15-2 lakzmIm paramparINAm tvam putra--pOtrINa-tAm naya.
   Bhk_5.16-1 sahāya-vanta udyuktā bahavo nipuṇāś ca yām	Bhk-_5.16-1 sahAya-vantaH udyuktAH bahavaH nipuNAH ca yAm
   Bhk_5.16-2 śriyamāśāsate, lolāṃ tāṃ haste-kṛtya mā śvasīḥ	Bhc-_5.16-2 Sriyam-ASAsate, lolAm tAm haste-kRtya mA SvasIH
   Bhk_5.17-1 lakṣmīḥ puṃ-yogamāśaṃsuḥ kulaṭeva kutūhalāt	Bhc-_5.17-1 lakzmIH puM-yogam-ASaMsuH kulawA-iva kutUhalAt-
   Bhk_5.17-2 antike 'pi sthitā patyuś chalenā'nyaṃ nirīkṣate.	Bhj-_5.17-2 antike api sTitA patyuH CalenA-anyam nirIkzate.
   Bhk_5.18-1 yoṣid-vṛndārikā tasya dayitā haṃsa-gāminī	Bhc-_5.18-1 yozid-vRndArikA tasya dayitA haMsa-gAminI
   Bhk_5.18-2 dūrvā-kāṇḍamiva śyāmā nyagrodha-parimaṇḍalā.	Bhc-_5.18-2 dUrvA--kANxam-iva SyAmA nyagroDa--parimaNxalA.
   Bhk_5.19-1 nā''syaṃ paśyati yas tasyā, niṃste danta-cchadaṃ na vā,	Bhc-_5.19-1 nA-aasyam paSyati yaH tasyA, niMste danta-cCadam na vA,
   Bhk_5.19-2 saṃśṛṇoti na coktāni, mithyā''sau nihitendriyaḥ.	Bhk-_5.19-2 saMSRNoti na ca-uktAni, miTyA-aasO nihita-indriyaH.
   Bhk_5.20-1 sāro 'sāvindriyā'rthānāṃ, yasyā 'sau tasya nandathuḥ,	Bhk-_5.20-1 sAraH asO=-indriyA-arTAnAn, yasyAH asO tasya nandaTuH,
   Bhk_5.20-2 talpe kāntā'ntaraiḥ sārdhaṃ manye 'haṃ dhiṅ nimajjathum.	Bhc-_5.20-2 talpe kAntA-antarEH sArDam manye aham Dik nimajjaTum.
   Bhk_5.21-1 na taṃ paśyāmi, yasyā 'sau bhaven nodejayā mateḥ	Bhc-_5.21-1 na tam paSyAmi, yasyAH asO Bavet na-udejayA mateH
   Bhk_5.21-2 trailokyenā'pi vindas tvaṃ tāṃ krītvā sukṛtī bhava.	Bhc-_5.21-2 trElokyenA-api vindaH tvam tAm krItvA sukRtI Bava.
   Bhk_5.22-1 naivendrāṇī, na rudrāṇī, na mānavī na rohiṇī,	Bhj-_5.22-1 na-eva-indrANI, na rudrANI, na mAnavI na rohiNI,
   Bhk_5.22-2 varuṇānī na, nā 'gnāyī tasyāḥ sīmantinī samā."	Bhc-_5.22-2 varuNAnI na, nA agnAyI tasyAH sImantinI samA."
   Bhk_5.23-1 pratyūce rākṣasendras tāmŌ "āśvasihi, bibheṣi kim,	Bhc-_5.23-1 pratyUce rAkzasa-indraH tAmŌ "a-aSvasihi, biBezi kim,
   Bhk_5.23-2 tyaja naktañcari ! kṣobhaṃ, vācāṭe ! rāvaṇo hyaham.	Bhc-_5.23-2 tyaja naktaQcari ! kzoBaM, vAcAwe ! rAvaNaH hi-aham.
   Bhk_5.24-1 māmupāsta didṛkṣā-vān yāṣṭīka-vyāhato hariḥ	Bhc-_5.24-1 mAm-upAsta didRkzA-vAn yAzwIka-vyAhataH hariH
   Bhk_5.24-2 ājñā-lābhonmukho dūrāt kākṣeṇā 'nādarekṣitaḥ	Bhc-_5.24-2 AjQA-a-lABa-unmuKaH dUrAt kAkzeNA anAdara-IkzitaH
   Bhk_5.25-1 virugṇo-dagra-ghārā'gnaḥ kuliśo mama vakṣasi	Bhc-_5.25-1 virugNa-u-dagra--GArA-agnaH kuliSaH mama vakzasi
   Bhk_5.25-2 a-bhinnaṃ śata-dhā ''tmānaṃ manyate balinaṃ balī.	Bhc-_5.25-2 a-Binnam Sata-DA aatmAnam manyate balinam balI.
   Bhk_5.26-1 kṛtvā laṅkādrumā''lānamahamairāvataṃ gajam	Bhc-_5.26-1 kRtvA laFkA-drumA-aalAnam-aham-ErAvatam gajam
   Bhk_5.26-2 bandhane 'nupayogi-tvān nataṃ tṛṇa-vadatyajam.	Bhc-_5.26-2 banDane anupayogi-tvAt natam tRNa--vat-ati-ajam.
