   Bhikṣuṇā avalokitasiṃhena samudbhāvitaḥ	BhikzuNA avalokita siMhena samudBAvitaH
   kalpānteṣvabhisantaptaḥ śasyate saritāṃ patiḥ /	kalpa antezu aBisantaptaH Sasyate saritAm patiH /
   na dṛṣṭistṛpyate rūpaiḥ kalpakoṭiśatairapi // Dhs_7.26 //	na dRzwiH tRpyate rUpEH kalpa kowi SatEH api // DhH _7.26 //
   syāt samudrasya caryāptiḥ salilairvaśagādibhiḥ /	syAt samudrasya caryA AptiH salilEH vaSagAdiBiH /
   na tu dṛṣṭiḥ samudrasya rūpārthaistṛptirasti hi // Dhs_7.27 //	na tu dRzwiH samudrasya rUpa arTEH tRptiH asti hi // DhH _7.27 //
   avitṛptasya kāmebhyaḥ kiṃ sukhaṃ parikalpyate /	avitRptasya kAmeByaH kim suKam parikalpyate /
   tṛptiryāsti vitṛṣṇasya gataśokasya dehinaḥ // Dhs_7.28 //	tRptiH yA asti vitRzNasya gata Sokasya dehinaH // DhH _7.28 //
   mādyante bahumohāndhā na ca buddhayanti bāliśāḥ /	mAdyante bahu moha anDAH na ca budDayanti bAliSAH /
   mandena kṣaṇikā yadvat malayendhanapādapāḥ // Dhs_7.29 //	mandena kzaNikAH yadvat malaya inDana pAdapAH // DhH _7.29 //
   kāmā asārāḥ vañcakāśca bhavanti	kAmAH asArAH vaQcakAH ca Bavanti
   svapnapramoṣadharmāṇo gandharvanagaropamāḥ /	svapna pramoza DarmANaH ganDarvanagara upamAH /
   riktāstucchā asārāśca kāmāḥ paramavañcakāḥ // Dhs_7.30 //	riktAH tucCAH asArAH ca kAmAH parama vaQcakAH // DhH _7.30 //
   (kā) mā mohena (ca) samāḥ kiṃ pākasadṛśopamāḥ /	(kA) mA mohena (ca) samAH kim pAka sadRSa upamAH /
   kāmā lokahitakarā vahnivat parikīrtitāḥ // Dhs_7.31 //	kAmAH loka hita karAH vahni vat parikIrtitAH // DhH _7.31 //
   kāmasyādīnavaṃ jñātvā yena tatphalamohitāḥ /	kAmasya AdInavam jQAtvA yena tad Pala mohitAH /
   tena taddarśakāḥ prītā gatakāṃkṣasya (dehinaḥ) // Dhs_7.32 //	tena tad darSakAH prItAH gata kAMkzasya (dehinaH) // DhH _7.32 //
   (a)nyathā cintyamānānāṃ yathā prāptā punastathā /	(a)nyaTA cintyamAnAnAm yaTA prAptA punar taTA /
   sarvataḥ pāpakartāraḥ kāmā loke viṣopamāḥ // Dhs_7.33 //	sarvatas pApa kartAraH kAmAH loke viza upamAH // DhH _7.33 //
   kāmairatṛptamanasaste te devāścyutāḥ punaḥ /	kAmEH atRpta manasaH te te devAH cyutAH punar /
   patanti narake mūḍhāḥ kāmena parivañcitāḥ // Dhs_7.34 //	patanti narake mUXAH kAmena parivaQcitAH // DhH _7.34 //
   nārīṃ nindayati	nArIm nindayati
   nadītaraṅgacapalā vidyullekhasamāśca te /	nadI taraFga capalAH vidyut leKa samAH ca te /
   mīnāvartabalā nāryaḥ kāmalokaviṣāspadāḥ // Dhs_7.35 //	mIna Avarta balAH nAryaH kAma loka viza AspadAH // DhH _7.35 //
   vicintitā vivardhante varddhitā vahnisannibhāḥ /	vicintitAH vivarDante vardDitAH vahni sanniBAH /
   ādau cānte tathā kāmāstasmāt kāmān vivarjayet // Dhs_7.36 //	AdO ca ante taTA kAmAH tasmAt kAmAn vivarjayet // DhH _7.36 //
   kāmasevanaphalam	kAma sevana Palam
   yathā yathā hi sevyante vivardhante tathā tathā /	yaTA yaTA hi sevyante vivarDante taTA taTA /
   vahnijvālāsamāsṛṣṭāḥ kāmāḥ kaṭuvipākinaḥ // Dhs_7.37 //	vahni jvAlA samAsRzwAH kAmAH kawu vipAkinaH // DhH _7.37 //
   kāmavarjanaphalam āha	kAma varjana Palam Aha
   evaṃ doṣaṃ sadā jñātvā dhīraḥ kāmān vivarjayet /	evam dozam sadA jQAtvA DIraH kAmAn vivarjayet /
   parivartitakāmasya sukhaṃ bhavati naiṣṭhikam // Dhs_7.38 //	parivartita kAmasya suKam Bavati nEzWikam // DhH _7.38 //
   kāmāgniḥ devānnapi pātayati	kAma agniH devAn napi pAtayati
   asaṅkhyāni sahasrāṇi devānāṃ niyutāni ca /	asaFKyAni sahasrANi devAnAm niyutAni ca /
   patanti kāmadahanaṃ narakaṃ vahnibhairavam // Dhs_7.39 //	patanti kAma dahanam narakam vahni BEravam // DhH _7.39 //
   yathāgniviṣaśastrāṇi varjayanti sukhārthinaḥ /	yaTA agni viza SastrANi varjayanti suKa arTinaH /
   tathā kāmāḥ sadā varjyā hetavo narakasya te // Dhs_7.40 //	taTA kAmAH sadA varjyAH hetavaH narakasya te // DhH _7.40 //
   na dṛṣṭo na śrutaḥ kaścid yaḥ kāmavaśagaḥ pumān /	na dRzwaH na SrutaH kaScid yaH kAma vaSagaH pumAn /
   na kāmairvipralabdhaḥ syānna ca duḥkhena pīḍitaḥ // Dhs_7.41 //	na kAmEH vipralabDaH syAt na ca duHKena pIxitaH // DhH _7.41 //
   tasmādalamalaṃ kāmairmā caiteṣu manaḥ kṛthāḥ /	tasmAt alamalam kAmEH mA ca etezu manaH kRTAH /
   sarve sarvāsvavasthāsu kāmā vahniviṣopamāḥ // Dhs_7.42 //	sarve sarvAsu avasTAsu kAmAH vahni viza upamAH // DhH _7.42 //
   anādirmati saṃsāre śatravaścittasambhavāḥ /	anAdiH mati saMsAre SatravaH citta samBavAH /
   ahantvāttu bhavet prītirna sā kāmaiḥ kathañcana // Dhs_7.43 //	ahantvAt tu Bavet prItiH na sA kAmEH kaTaQcana // DhH _7.43 //
   sakalmaṣā kaṭuphalā duḥkhāt kāmodbhavā ratiḥ /	sa kalmazA kawuPalA duHKAt kAma udBavA ratiH /
   yā tu kāmavinirmuktā sā ratiḥ pari(bhāṣitā) // Dhs_7.44 //	yA tu kAma vinirmuktA sA ratiH pari(BAzitA) // DhH _7.44 //
   yoginaḥ paramā gatiḥ	yoginaH paramA gatiH
   tāṃ samāśritya gacchanti yoginaḥ paramāṃ gatim /	tAm samASritya gacCanti yoginaH paramAm gatim /
   na tu kāmakṛtā prītirnayate padamacyutam // Dhs_7.45 //	na tu kAma kRtA prItiH nayate padam acyutam // DhH _7.45 //
   kāmajaratiṃ nindati	kAma jaratim nindati
   āpātamadhurā ramyā vipāke jvalanopamā /	ApAta maDurA ramyA vipAke jvalana upamA /
   ratirbhavati kāmāgnijanyā narakagāminī // Dhs_7.46 //	ratiH Bavati kAma agni janyA naraka gAminI // DhH _7.46 //
   āpātaramyā madhurā madhye ramyā ca sarvadā /	ApAta ramyA maDurA maDye ramyA ca sarvadA /
   śāntamante ca vimalaṃ nayate padamacyutam // Dhs_7.47 //	SAntam ante ca vimalam nayate padam acyutam // DhH _7.47 //
   ādyantamadhyakalyāṇī nityaṃ māteva śobhanā /	Adi anta maDya kalyANI nityam mAtA iva SoBanA /
   tāṃ vyudasya kathaṃ bālā rakṣante (kāmajāṃ ratim) // Dhs_7.48 //	tAm vyudasya kaTam bAlAH rakzante (kAma jAm ratim) // DhH _7.48 //
   kāmakṛtā ratiḥ nirataṃ tapati	kAma kRtA ratiH niratam tapati
   madhyādinidhane duḥkhā nityaṃ doṣādibhirvṛtā /	maDya Adi niDane duHKAH nityam doza AdiBiH vRtAH /
   kathaṃ sā sevyate bālairyā na dṛṣṭā sukhāvahā // Dhs_7.49 //	kaTam sA sevyate bAlEH yA na dRzwA suKa AvahAH // DhH _7.49 //
   viṣamañjarivad ramyā sparśe jvalanasambhavā /	viza man jari vat ramyA sparSe jvalana samBavAH /
   tathā kāmakṛtā prītiḥ pariṇāme viṣopamā // Dhs_7.50 //	taTA kAma kRtA prItiH pariNAme viza upamAH // DhH _7.50 //
   hūyamāno yathā vahnirjvalanena praśāmyati /	hUyamAnaH yaTA vahniH jvalanena praSAmyati /
   dāhena ca prarohaḥ syāt tadvat kāmakṛtā ratiḥ // Dhs_7.51 //	dAhena ca prarohaH syAt tadvat kAma kRtA ratiH // DhH _7.51 //
   pataṅgaḥ paśyati hyagni dāhadoṣaṃ na paśyati /	pataFgaH paSyati hi agni dAha dozam na paSyati /
   tathā kāmakṛtāṃ prītiṃ paśyantyakṛtabuddhayaḥ // Dhs_7.52 //	taTA kAma kRtAm prItim paSyanti akRtabudDayaH // DhH _7.52 //
   yastu rāgakṛto dāhaḥ pacyate kāmināṃ sadā /	yaH tu rAga kRtaH dAhaH pacyate kAminAm sadA /
   pataṅgasadṛśaṃ dāhaṃ sarvathā nai(va) paśyati // Dhs_7.53 //	pataFga sadRSam dAham sarvaTA nE(va) paSyati // DhH _7.53 //
   kāmapramādāt patanaṃ dhruvameva	kAma pramAdAt patanam Druvam eva
   tasmāt kāma(viṣaṃ) tyaktvā nityaṃ jīvatha he surāḥ /	tasmAt kAma (vizaM) tyaktvA nityam jIvaTa he surAH /
   bhavantu mā vṛthā janmapramādena prapātanam // Dhs_7.54 //	Bavantu mA vRTA janma pramAdena prapAtanam // DhH _7.54 //
   saṃkṣīṇaśubhakarmāṇo nityaṃ kāmairvimohitāḥ /	saMkzINa SuBa karmANaH nityam kAmEH vimohitAH /
   taṃ hitvā narakaṃ yānti kāmamohena vañcitāḥ // Dhs_7.55 //	tam hitvA narakam yAnti kAma mohena vaQcitAH // DhH _7.55 //
   kāmamohitaḥ viṣavṛkṣamayaṃ puṣpaṃ pibati	kAma mohitaH viza vRkza mayam puzpam pibati
   viṣavṛkṣamayaṃ puṣpaṃ pīyate bhramarairyathā /	viza vRkza mayam puzpam pIyate BramarEH yaTA /
   tathā viṣātmakamidaṃ sukhaṃ bhuṅkte hi mohitaḥ // Dhs_7.56 //	taTA viza Atmakam idam suKam BuFkte hi mohitaH // DhH _7.56 //
   jīveyuḥ pāmarāḥ kecit viṣaṃ pītvāpi durbhagāḥ /	jIveyuH pAmarAH kecid vizam pItvA api durBagAH /
   na kāmaviṣapītasya jīvitaṃ durlabhaṃ bhavet // Dhs_7.57 //	na kAma viza pItasya jIvitam durlaBam Bavet // DhH _7.57 //
   yathā hi narake vahnirjvalayatya vicāriṇam /	yaTA hi narake vahniH jvalayatya vicAriNam /
   tathā kāmamayo vahnirdahatīha divaukasaḥ // Dhs_7.58 //	taTA kAma mayaH vahniH dahati iha divOkasaH // DhH _7.58 //
   kāmāgniḥ hiṃsaka eva	kAma agniH hiMsakaH eva
   śrutipāśamayo vahniḥ pretāneṣa dahatyati /	Sruti pASa mayaH vahniH pretAn eza dahati ati /
   dahane hiṃsako vahnirnṛṇāṃ paryeṣaṇātmakaḥ // Dhs_7.59 //	dahane hiMsakaH vahniH nRNAm paryezaNa AtmakaH // DhH _7.59 //
   evamagnisamaṃ tāvat parihārya samantataḥ /	evam agni samam tAvat parihArya samantataH /
   sarvalokamaśeṣeṇa dahyate kāmamohitaḥ // Dhs_7.60 //	sarva lokam aSezeNa dahyate kAma mohitaH // DhH _7.60 //
   viṣayāsaktaṃ manaḥ vyasane pātayati	vizaya Asaktam manaH vyasane pAtayati
   viṣayeṣu sadācittaṃ dhāvantaṃ cañcalaṃ mahat /	vizayezu sadA acittam DAvantam caQcalam mahat /
   na tyājyaṃ vyasane mūḍha yad paśyasi bhaviṣyati // Dhs_7.61 //	na tyAjyam vyasane mUXa yat paSyasi Bavizyati // DhH _7.61 //
   kāmeṣu rakṣa te cittaṃ vyasanenāvabudhyate /	kAmezu rakza te cittam vyasanena avabuDyate /
   vyasanaughe samutpanne tat paścāt paritapyate // Dhs_7.62 //	vyasana oGe samutpanne tat paScAt paritapyate // DhH _7.62 //
   kāmamohitāḥ mahadbhayamapi na paśyanti	kAma mohitAH mahat Bayam api na paSyanti
   vṛthā kāmamadairmattā devāḥ prakṛtidurbalāḥ /	vRTA kAma madEH mattAH devAH prakRti durbalAH /
   bhramanti bhramitāḥ kāmairna paśyanti mahad bhayam // Dhs_7.63 //	Bramanti BramitAH kAmEH na paSyanti mahat Bayam // DhH _7.63 //
   viśvasanti hi ye devāḥ kāmeṣvahitakāriṣu /	viSvasanti hi ye devAH kAmezu ahita kArizu /
   vyatirekeṣu te paścāt pratibudhyantyamedhasaḥ // Dhs_7.64 //	vyatirekezu te paScAt pratibuDyanti ameDasaH // DhH _7.64 //
   kāmāḥ paramavañcakā bhavanti	kAmAH parama vaQcakAH Bavanti
   na ca paśyanti (vi)budhāścittena parivañcitāḥ /	na ca paSyanti (vi)buDAH cittena parivaQcitAH /
   kṣaṇikā madhurā jātāḥ kāmāḥ paramavañcakāḥ // Dhs_7.65 //	kzaNikAH maDurAH jAtAH kAmAH parama vaQcakAH // DhH _7.65 //
   kāma prati na viśvaset	kAma prati na viSvaset 
   śataśaśca sahastraiśca koṭiśaḥ padmaśastathā /	SataSas ca sa hastrEH ca kowiSas padmaSas taTA /
   labdhā naṣṭā punaḥ kāmā na teṣāṃ viścaset pumān // Dhs_7.66 //	labDA nazwA punar kAmAH na tezAm viScaset pumAn // DhH _7.66 //
   kāmairmohitaḥ pataṅgasamo narakāgninā dahyate	kAmEH mohitaH pataFga samaH naraka agninA dahyate
   viṣayād bandhanaṃ tīvraṃ sarve narakahetavaḥ /	vizayAt banDanam tIvram sarve naraka hetavaH /
   tasmādatyantatastyaktvā śreyase kriyatāṃ manaḥ // Dhs_7.67 //	tasmAt atyantataH tyaktvA Sreyase kriyatAm manaH // DhH _7.67 //
   rāgeṇa rañjitāḥ pūrvaṃ dveṣeṇa ca tiraskṛtāḥ /	rAgeNa raQjitAH pUrvam dvezeNa ca tiraskRtAH /
   mohena mohitāścaiva te 'śrutākṛtakāriṇaḥ // Dhs_7.68 //	mohena mohitAH ca eva te aSrutA kRta kAriNaH // DhH _7.68 //
   kāmārthaireṣyate bālaḥ punaḥ kāmairvimohitaḥ /	kAma arTEH ezyate bAlaH punar kAmEH vimohitaH /
   sa pataṅgasamo mūḍhaḥ dahyate narakāgninā // Dhs_7.69 //	sa pataFga samaH mUXaH dahyate naraka agninA // DhH _7.69 //
   kāmavaśagāḥ suralokādapi patanti	kAma vaSagAH sura lokAt api patanti
   avaśyambhāvi patanaṃ suralokāt samantataḥ /	avaSyamBAvi patanam sura lokAt samantataH /
   na jñātvā kāmavaśago syādiha kathañcana // Dhs_7.70 //	na jQAtvA kAma vaSago syAt iha kaTaQcana // DhH _7.70 //
   kāmena vañcitāḥ sattvāḥ kāmena ca vimohitāḥ /	kAmena vaQcitAH sattvAH kAmena ca vimohitAH /
   kāmapāśāpakṛṣṭāste patanti narake sadā // Dhs_7.71 //	kAma pASa apakRzwAH te patanti narake sadA // DhH _7.71 //
   kāmaṃ tyaktva svahite manaḥ karttavyam	kAmam tyaktva sva hite manaH karttavyam
   tadetad vyasanaṃ sattvāḥ svahite kriyatāṃ manaḥ /	tat etat vyasanam sattvAH sva hite kriyatAm manaH /
   manasāpi svadāntena nānutapyanti dehinaḥ // Dhs_7.72 //	manasA api sva dAntena na anutapyanti dehinaH // DhH _7.72 //
   manoviṣeṇa ye daṣṭāḥ kāmavegena sarvadā /	manaH vizeNa ye dazwAH kAma vegena sarvadA /
   te mūḍhā mṛtyuvaśagāḥ kāmānalahatā narāḥ // Dhs_7.73 //	te mUXAH mRtyu vaSa gAH kAma anala hatAH narAH // DhH _7.73 //
   na tṛptirasti kāmānāṃ tṛṣṇayā hitakāriṇām /	na tRptiH asti kAmAnAm tRzNayA hita kAriNAm /
   tṛṣṇāpi tṛptijanikā mano naiva hi tṛpyati // Dhs_7.74 //	tRzNA api tRpti janikA manaH na eva hi tRpyati // DhH _7.74 //
   jñānadīpenaijendriyāṇāṃ viṣayebhyastṛptirjāyate	jQAna dIpena eja indriyANAm vizayeByaH tRptiH jAyate
   na jātu viṣayaistṛptirindriyāṇāṃ bhaviṣyati /	na jAtu vizayEH tRptiH indriyANAm Bavizyati /
   yadi na jñānadīpena kṣapayiṣyanti (te narāḥ) // Dhs_7.75 //	yadi na jQAna dIpena kzapayizyanti (te narAH) // DhH _7.75 //
   nārīsevanena nāśaḥ suniścitaḥ	nArI sevanena nASaH su niScitaH
   yoṣitaḥ sevyamānā hi vitarkaśatamālikāḥ /	yozitaH sevyamAnAH hi vitarka SatamAlikAH /
   pravardhati yathā vahnirvāyunā samudīritaḥ // Dhs_7.76 //	pravarDati yaTA vahniH vAyunA samudIritaH // DhH _7.76 //
   kāmāgnidīptāḥ kadāpi śāntiṃ nāpnuvanti	kAma agni dIptAH kadApi SAntim na Apnuvanti
   taṃ matvā vegarabhasā nityaṃ kāmo 'gnidīpitaḥ /	tam matvA vega raBasA nityam kAmaH agni dIpitaH /
   kāmān hāpayati jñānī buddhatattvavicintakaḥ // Dhs_7.77 //	kAmAn hApayati jQAnI budDa tattva vicintakaH // DhH _7.77 //
   ye nityaṃ bhrāntamanaso nityaṃ viṣayatatparāḥ /	ye nityam BrAnta manasaH nityam vizaya tatparAH /
   ramante vibudhāḥ sarve tat sarvaṃ mohaceṣṭitam // Dhs_7.78 //	ramante vibuDAH sarve tat sarvam moha cezwitam // DhH _7.78 //
   sevyamāno hi vibudhairviṣayāgnirvivardhate /	sevyamAnaH hi vibuDEH vizaya agniH vivarDate /
   pāśenānena saṃyukto vahnirvāyusamīritaḥ // Dhs_7.79 //	pASena anena saMyuktaH vahniH vAyu samIritaH // DhH _7.79 //
   rāgavivaśā amarā api patanti	rAga vivaSAH amarAH api patanti
   amarāḥ rāgavivaśā nityaṃ viṣayatatparāḥ /	amarAH rAga vivaSAH nityam vizaya tatparAH /
   devalokāt patantyete moharāgeṇa vañcitāḥ // Dhs_7.80 //	deva lokAt patanti ete moha rAgeNa vaQcitAH // DhH _7.80 //
   ramante viṣayairete tatra tallīnamānasāḥ /	ramante vizayEH ete tatra tad lIna mAnasAH /
   na ca vindanti yad duḥkhaṃ viprayogo bhaviṣyati // Dhs_7.81 //	na ca vindanti yat duHKam viprayogaH Bavizyati // DhH _7.81 //
   viyogajaṃ duḥkhaṃ kaṣṭapradameva	viyoga jam duHKam kazwa pradam eva
   yadetat sukhamevādau divyaṃ pañcaguṇānvitam /	yat etat suKam eva AdO divyam paQca guNa anvitam /
   viyogajasya duḥkhasya kalāṃ nārhatiṣoḍaśīm // Dhs_7.82 //	viyoga jasya duHKasya kalAm na arhati zoxaSIm // DhH _7.82 //
   kāmānāṃ tadvighāto hi janenaivopayujyate /	kAmAnAm tad viGAtaH hi janena eva upayujyate /
   satṛṣṇasya tathā tṛptiḥ kāmebhyo naiva jāyate // Dhs_7.83 //	sa tRzNasya taTA tRptiH kAmeByaH na eva jAyate // DhH _7.83 //
   kāmānusevinaḥ duḥkhaṃ kadāpi śāntiṃ nādhigacchati	kAma anusevinaH duHKam kadApi SAntim na aDigacCati
   anapekṣitacittasya nityaṃ kāmānusevinaḥ /	anapekzita cittasya nityam kAma anusevinaH /
   dīrgharātrānuśayikaṃ duḥkhaṃ naiva praśāmyate // Dhs_7.84 //	dIrGarAtra anuSayikam duHKam na eva praSAmyate // DhH _7.84 //
   tvaritaṃ rakṣyate mūḍho vyasanenaiva budhyate /	tvaritam rakzyate mUXaH vyasanena eva buDyate /
   paścāttu vyasane prāpte jānīte yasya tat phalam // Dhs_7.85 //	paScAt tu vyasane prApte jAnIte yasya tat Palam // DhH _7.85 //
   āsvādabhadrakā hyete kāmāḥ paramadāruṇāḥ /	AsvAda BadrakAH hi ete kAmAH parama dAruNAH /
   dūtakān narakasyaitān carantyahitakāriṇaḥ // Dhs_7.86 //	dUtakAn narakasya etAn caranti ahita kAriNaH // DhH _7.86 //
   viṣayāgnidagdhāḥ narakaṃ yānti	vizaya agni dagDAH narakam yAnti
   yasteṣāṃ viśvaset martyo jñānacakṣurvigarhitaḥ /	yaH tezAm viSvaset martyaH jQAna cakzuH vigarhitaH /
   viṣayāgnirabhratulyaḥ sa yāti narakaṃ naraḥ // Dhs_7.87 //	vizaya agniH aBra tulyaH sa yAti narakam naraH // DhH _7.87 //
   alpāsvādālpahṛdayā nityaṃ puruṣavañcakāḥ /	alpa AsvAda alpa hRdayAH nityam puruza vaQcakAH /
   gandharvanagaraprakhyāḥ kāmā āsvādabhadrakāḥ // Dhs_7.88 //	ganDarvanagara praKyAH kAmAH AsvAda BadrakAH // DhH _7.88 //
   viṣayamohitāḥ devā api durgati yānti	vizaya mohitAH devAH api durgati yAnti
   (yathā) dīpaprabhā(bhasma) sañchanneva punaḥ punaḥ /	(yaTA) dIpa praBA( Basma) saQCannA iva punar punar /
   na ca bindatyamanaso devā viṣayamohitāḥ // Dhs_7.89 //	na ca bindati amanasaH devAH vizaya mohitAH // DhH _7.89 //
   viṣayeṇātirabhasā nityaṃ kāmavaśānugāḥ /	vizayeNa atiraBasA nityam kAma vaSa anugAH /
   na vidanti mahad duḥkhaṃ yadavaśyaṃ bhaviṣyati // Dhs_7.90 //	na vidanti mahat duHKam yat avaSyam Bavizyati // DhH _7.90 //
   ramaṇīyāni kāmāni yasyaivaṃ jāyate matiḥ /	ramaNIyAni kAmAni yasya evam jAyate matiH /
   sa paścād vyasane prāpte mūḍho 'sau vipralapyate // Dhs_7.91 //	sa paScAt vyasane prApte mUXaH asO vipralapyate // DhH _7.91 //
   na kāmena madāndhasya viṣayairmohitasya ca /	na kAmena mada anDasya vizayEH mohitasya ca /
   naityikaṃ bhavati śarmma yatsukhānāmanuttamam // Dhs_7.92 //	nEtyikam Bavati Sarmma yat suKAnAm anuttamam // DhH _7.92 //
   ādhyātmikasukhāpekṣayā kāmasukhaṃ hīnatamam	ADyAtmika suKa apekzayA kAma suKam hInatamam
   yacca kāmasukhaṃ loke yacca tṛṣṇodbhavaṃ sukham /	yat ca kAma suKam loke yat ca tRzNA udBavam suKam /
   ekasyādhyātmikasyedaṃ kalāṃ nārhatiṣoḍaśīm // Dhs_7.93 //	ekasya ADyAtmikasya idam kalAm na arhati zoxaSIm // DhH _7.93 //
   kāmī kadāpi sukhaṃ nāśnute	kAmI kadApi suKam na aSnute
   na sukhī vartate tāvadya yasya kāmo hṛdi sthitaḥ /	na suKI vartate tO= adya yasya kAmaH hRdi sTitaH /
   sa sarvaduḥkhabhāgārho narakānupadhāvati // Dhs_7.94 //	sa sarva duHKa BAga arhaH naraka an upaDAvati // DhH _7.94 //
   na tṛptirvidyate kāmairapi (bhogaḥ) śataṃ nṛṇām /	na tRptiH vidyate kAmEH api (BogaH) Satam nRNAm /
   yatra saukhyaṃ na tatrāsti tṛptirviṣayasevinām // Dhs_7.95 //	yatra sOKyam na tatra asti tRptiH vizaya sevinAm // DhH _7.95 //
   sevyamānāḥ sadā kāmā vardhante ca muhurmuhuḥ /	sevyamAnAH sadA kAmAH varDante ca muhur muhur /
   te vardhitā viṣasamā bhavanti vinipātinaḥ // Dhs_7.96 //	te varDitAH viza samAH Bavanti vinipAtinaH // DhH _7.96 //
   vipattikuśalā ghorā nityaṃ patanahetavaḥ /	vipatti kuSalAH GorAH nityam patana hetavaH /
   na ca teṣāṃ parityāgaṃ kurvanti viṣayotsavāḥ // Dhs_7.97 //	na ca tezAm parityAgam kurvanti vizaya utsavAH // DhH _7.97 //
   yasya dṛṣṭisamudrasya rūpaistṛptirna vidyate /	yasya dRzwi samudrasya rUpEH tRptiH na vidyate /
   tathā śarmamanojñaiśca rasatṛptirna vidyate // Dhs_7.98 //	taTA Sarma manojQEH ca rasatRptiH na vidyate // DhH _7.98 //
   gandhairapi sadā ghrāṇaṃ na tṛptimadhigacchati /	ganDEH api sadA GrANam na tRptim aDigacCati /
   sparśāḥ sammukhasaṃsparśāḥ sevyante naiva tṛpyate // Dhs_7.99 //	sparSAH sammuKa saMsparSAH sevyante na eva tRpyate // DhH _7.99 //
   śabdaiḥ kāntaiḥ sumadhuraiḥ śrotrameti na tarpaṇam /	SabdEH kAntEH su maDurEH Srotram eti na tarpaNam /
   mano 'pi tṛptiviśvastaṃ vardhamānaṃ na tṛpyati // Dhs_7.100 //	manaH api tRpti viSvastam varDamAnam na tRpyati // DhH _7.100 //
   indriyāṇi kāmabhūmiṣu pātayanti	indriyANi kAma BUmizu pAtayanti
   ṣaḍendriyāṇi capalānyādhṛtāni ratau punaḥ /	zaxa indriyANi capalAni ADRtAni ratO punar /
   bhramanti muṣitā nityaṃ kāmabhūmiṣvanekaśaḥ // Dhs_7.101 //	Bramanti muzitAH nityam kAma BUmizu anekaSas // DhH _7.101 //
   na tṛptirasti devānāṃ gajānāṃ vai tṛṇairyathā /	na tRptiH asti devAnAm gajAnAm vE tRNEH yaTA /
   analasya svabhāvo 'yaṃ tasya tṛptirna vidyate // Dhs_7.102 //	analasya svaBAvaH ayam tasya tRptiH na vidyate // DhH _7.102 //
   ṣaḍete vahnayastīvrā vitarkānilamūrchitāḥ /	zaw ete vahnayaH tIvrAH vitarka anila mUrCitAH /
   bhramanti muṣitā nityaṃ kāmabhūmiṣvanekaśaḥ // Dhs_7.103 //	Bramanti muzitAH nityam kAma BUmizu anekaSas // DhH _7.103 //
   indriyadagdhā narakaṃ yānti	indriya dagDAH narakam yAnti
   tairayaṃ dahyate loko na ca vindatyabuddhimān /	tEH ayam dahyate lokaH na ca vindati abudDimAn /
   āsvādabhadrakā hayete narakasya ca hetavaḥ // Dhs_7.104 //	AsvAda BadrakAH hayete narakasya ca hetavaH // DhH _7.104 //
   kāmamohitaḥ sukhavañcito bhavati	kAma mohitaH suKa vaQcitaH Bavati
   kāmā viṣayalobhāste lelihānā yathoragāḥ /	kAmAH vizaya loBAH te lelihAnAH yaTA uragAH /
   vilocanavaro hayeṣa na ca kāmairvimohitaḥ // Dhs_7.105 //	vilocana varaH hayeza na ca kAmEH vimohitaH // DhH _7.105 //
   kāmavaśīnaraḥ netrahīnā mūḍhataraḥ	kAma vaSI naraH netra hInAH mUXataraH
   sukhānusāriṇaḥ kāmo narakānupadhāvati /	suKa anusAriNaH kAmaH narakAn upaDAvati /
   na netrahīno narake pātyate satkriyānvitaḥ // Dhs_7.106 //	na netra hInaH narake pAtyate satkriyA anvitaH // DhH _7.106 //
   tasmād varaṃ vicakṣuḥ syānna tu kāmavaśo naraḥ /	tasmAt varam vicakzuH syAt na tu kAma vaSaH naraH /
   aśakyavañcitā mūḍhāḥ kāmairahitakāribhiḥ // Dhs_7.107 //	aSakya vaQcitAH mUXAH kAmEH ahita kAriBiH // DhH _7.107 //
   kāmacāriṇāṃ jñānādikaṃ durlabham	kAma cAriNAm jQAna Adikam durlaBam
   anirvidyanti kāmebhyo mohitāḥ svena cetasā /	anirvidyanti kAmeByaH mohitAH svena cetasA /
   na jñānaṃ nāpi vijñānaṃ vidyate kāmacāriṇām // Dhs_7.108 //	na jQAnam na api vijQAnam vidyate kAma cAriNAm // DhH _7.108 //
   kāmaḥ mṛtyubhavanaṃ nayati	kAmaH mRtyu Bavanam nayati
   yad duḥkhakāmajaṃ hatvā punaḥ kāmavaśānugāḥ /	yat duHKa kAma jam hatvA punar kAma vaSa anugAH /
   mitrarūpā ca ye kāmāḥ kimpākaphalasannibhāḥ /	mitra rUpA ca ye kAmAH kimpAka Pala sanniBAH /
   nayanti mṛtyubhavanaṃ durgatīśca punaḥ punaḥ // Dhs_7.109 //	nayanti mRtyu Bavanam durgatIH ca punar punar // DhH _7.109 //
   anivarttya yathā toyamāpagānāmanekaśaḥ /	anivarttya yaTA toyam ApagAnAm anekaSas /
   tathā saukhyagataṃ nṛṇāṃ sarvathā na vivartate // Dhs_7.110 //	taTA sOKya gatam nRNAm sarvaTA na vivartate // DhH _7.110 //
   vanopavanabhogeṣu sukhaprāpteṣvanekaśaḥ /	vana upavana Bogezu suKa prAptezu anekaSas /
   yo na tṛpyati kāmeṣu sa naro 'dhamagāmikaḥ // Dhs_7.111 //	yaH na tRpyati kAmezu sa naraH aDamagAmikaH // DhH _7.111 //
