   Pramāṇavārtikam	PramANa-vArtikam
   pratyakṣaṃ pūrvamapi tat tathāpi na virāgavān /	pratyakzam pUrvam-api tat taTA-api na virAgavAn /
   yadyapyekatra doṣeṇa tatkṣaṇaṃ calitā matiḥ // Pramāṇav_1.241 //	yadi-api-ekatra dozeNa tad-kzaNam calitA matiH // PramANa=-_1.241 //
   virakto naiva tatrāpi kāmīva vanitāntare /	viraktaH na-eva tatra-api kAmI-iva vanitA-antare /
   tyājyopādeyabhede hi saktiryaivaikabhāvinī // Pramāṇav_1.242 //	tyAjya-upAdeya-Bede hi saktiH-yA-eva-eka-BAvinI // PramANa=-_1.242 //
   sā bījaṃ sarvasaktīnāṃ paryāyeṇa samudbhave /	sA bIjam sarva-saktInAm paryAyeNa samudBave /
   nirdoṣaviṣayaḥ sneho nirdoṣaḥ sādhanāni ca // Pramāṇav_1.243 //	nirdoza-vizayaH snehaH nirdozaH sADanAni ca // PramANa=-_1.243 //
   etāvadeva ca jagat kvedānīṃ sa virajyate /	etAvat-eva ca jagat kva-idAnIm sa virajyate /
   sadoṣatāpi cet tasya tatrātmanyapi sā samā // Pramāṇav_1.244 //	sa-doza-tA-api ced tasya tatra-Atmani-api sA samAH // PramANa=-_1.244 //
   tatrāviraktastaddoṣe kvedānīṃ sa virajyate /	tatra-aviraktaH-tad-doze kva-idAnIm sa virajyate /
   guṇadarśanasambhūtaṃ snehaṃ bādhitadoṣadṛk // Pramāṇav_1.245 //	guNa-darSana-samBUtam sneham bADita-doza-dRS // PramANa=-_1.245 //
   sa cendriyādau na tvevaṃ bālāderapi sambhavāt /	sa ca-indriya-AdO na tu-evam bAla-AdeH-api samBavAt /
   doṣavatyapi sadbhāvāt abhāvād guṇavatyapi // Pramāṇav_1.246 //	dozavatI-api sadBAvAt aBAvAt guNavatI-api // PramANa=-_1.246 //
   anyatrātmīyatāyāṃ vāpyatītādau vihānitaḥ /	anyatra-AtmIyatAyAm vA-api-atIta-AdO vihAnitaH /
   tata eva ca nātmīyabuddherapi guṇekṣaṇam // Pramāṇav_1.247 //	tatas eva ca na-AtmIya-budDeH-api guNa-IkzaNam // PramANa=-_1.247 //
   kāraṇam hīyate sāpi tasmānnāguṇadarśanāt /	kAraNam hIyate sA-api tasmAt-na-aguNa-darSanAt /
   api cāsadguṇāropaḥ snehāt tatra hi dṛśyate // Pramāṇav_1.248 //	api ca-asat-guNa-AropaH snehAt tatra hi dRSyate // PramANa=-_1.248 //
   tasmāt tatkāraṇābādhī bidhistaṃ bādhate katham /	tasmAt tad-kAraNA-bADI biDiH-tam bADate kaTam /
   parāparaprārthanāto vināśotpādabuddhitaḥ // Pramāṇav_1.249 //	parApara-prArTanAtaH vinASa-utpAda-budDitaH // PramANa=-_1.249 //
   indriyādau pṛthagbhūtamātmānaṃ vetyayaṃ janaḥ /	indriya-AdO pRTak-BUtam-AtmAnam vA-iti-ayam janaH /
   tasmānnaikatvadṛṣṭyāpi snehaḥ snihyan sa ātmani // Pramāṇav_1.250 //	tasmAt-na-eka-tva-dRzwyA-api snehaH snihyan saH Atmani // PramANa=-_1.250 //
   upalambhāntaraṅ geṣu prakṛtyaivānurajyate /	upalamBa-antaraF gezu prakRtyA-eva-anurajyate /
   pratyutpannāt tu yo duḥkhānnirvedo dveṣa īdṛśaḥ // Pramāṇav_1.251 //	pratyutpannAt tu yaH duHKAt-nirvedaH dvezaH IdRSaH // PramANa=-_1.251 //
   na vairāgyam tadāpyasya sneho 'vasthāntareṣaṇāt /	na vErAgyam tadA-api-asya snehaH avasTA-antarezaNAt /
   dveṣasya duḥkhayonitvāt sa tāvanmātrasaṃsthitiḥ // Pramāṇav_1.252 //	dvezasya duHKa-yoni-tvAt sa tAvat-mAtra-saMsTitiH // PramANa=-_1.252 //
   tasmin nivṛtte prakṛtiṃ svāmeva bhajate punaḥ /	tasmin nivRtte prakRtim svAm-eva Bajate punar /
   audāsīnyaṃ tu sarvatra tyāgopādānahānitaḥ // Pramāṇav_1.253 //	OdAsInyam tu sarvatra tyAga-upAdAna-hAnitaH // PramANa=-_1.253 //
   vāsīcandanakalpānāṃ vairāgyaṃ nāma kathyate /	vAsI-candana-kalpAnAm vErAgyam nAma kaTyate /
   saṃskāraduḥkhatāṃ matvā kathitā duḥkhabhāvanā // Pramāṇav_1.254 //	saMskAra-duHKa-tAm matvA kaTitAH duHKa-BAvanA // PramANa=-_1.254 //
   sā ca naḥ pratyayotpattiḥ sā nairātmyadṛgāśrayaḥ /	sA ca naH pratyaya-utpattiH sA nErAtmya-dRS-ASrayaH /
   muktistu śūnyatādṛṣṭestadarthāḥ śeṣabhāvanāḥ // Pramāṇav_1.255 //	muktiH-tu SUnyatA-dRzweH-tad-arTAH Seza-BAvanAH // PramANa=-_1.255 //
   anityāt prāha tenaiva duḥkhaṃ duḥkhānnirātmatām /	anityAt prAha tena-eva duHKam duHKAt-nirAtma-tAm /
   aviraktaśca tṛṣṇāvān sarvārambhasamāśritaḥ // Pramāṇav_1.256 //	aviraktaH-ca tRzNAvAn sarva-AramBa-samASritaH // PramANa=-_1.256 //
   so 'muktaḥ kleśakarmabhyāṃ saṃsārī nāma tādṛśaḥ /	saH amuktaH kleSa-karmaByAm saMsArI nAma tAdRSaH /
   ātmīyameva yo necched bhoktāpyasya na vidyate // Pramāṇav_1.257 //	AtmIyam-eva yaH na-icCet BoktA-api-asya na vidyate // PramANa=-_1.257 //
   ātmāpi na tadā tasya kriyābhogau hi lakṣaṇam /	AtmA-api na tadA tasya kriyA-BogO hi lakzaNam /
   tasmādanādisantānatulyajātīyabījikām // Pramāṇav_1.258 //	tasmAt-anAdi-santAna-tulya-jAtIya-bIjikAm // PramANa=-_1.258 //
   utkhātamūlāṃ kuruta sattvadṛṣṭiṃ mumukṣavaḥ /	utKAta-mUlAm kuruta sattva-dRzwim mumukzavaH /
   āgamasya tathābhāvanibandhanamapaśyatām // Pramāṇav_1.259 //	Agamasya taTA-aBAva-nibanDanam-apaSyatAm // PramANa=-_1.259 //
   muktimāgamamātreṇa vadanna paritoṣakṛt /	muktim-Agama-mAtreNa vadan-na paritoza-kRt /
   nālaṃ vījādisaṃsiddho vidhiḥ puṃsāmajanmane // Pramāṇav_1.260 //	na-alam vIja-Adi-saMsidDaH viDiH puMsAm-ajat-mane // PramANa=-_1.260 //
   tailābhyaṅgāgnidāhāderapi muktiprasaṅgataḥ /	tEla-aByaFga-agni-dAha-AdeH-api mukti-prasaFgataH /
   prāg gurorlāghavāt paścānna pāpaharaṇaṃ kṛtam // Pramāṇav_1.261 //	prAk guroH-lAGavAt paScAt-na pApa-haraNam kRtam // PramANa=-_1.261 //
   mā bhūd gauravamevāsya na pāpaṃ gurvamūrttitaḥ /	mA BUt gOravam-eva-asya na pApam guru-amUrttitaH /
   mithyājñānatadudbhūtatarṣasañcetanāvaśāt // Pramāṇav_1.262 //	miTyAjQAna-tad-udBUta-tarza-saQcetana-avaSAt // PramANa=-_1.262 //
   hīnasthānagatirjanma tatastacchinna jāyate /	hIna-sTAna-gatiH-janma tatas-tacCinna jAyate /
   tayoreva hi sāmarthya jātau tanmātrabhāvataḥ // Pramāṇav_1.263 //	tayoH-eva hi sAmarTya jAtO tanmAtra-BAvataH // PramANa=-_1.263 //
   te cetane svayaṃ karmetyakhaṇḍaṃ janmakāraṇaṃ /	te cetane svayam karma-iti-aKaNxam janma-kAraNam /
   gatipratītyoḥ karaṇānyāśrayāstānyadṛṣṭataḥ // Pramāṇav_1.264 //	gati-pratItyoH karaNAni-ASrayAH-tAni-adRzwataH // PramANa=-_1.264 //
   adṛṣṭanāśādagatiḥ tatsaṃskāro na cetanā /	adRzwa-nASA-Ada-gatiH tad-saMskAraH na cetanA /
   sāmarthya karaṇotpatterbhāvābhāvānuvṛttitaḥ // Pramāṇav_1.265 //	sAmarTya karaNa-utpatteH-BAva-aBAva-anuvRttitaH // PramANa=-_1.265 //
   dṛṣṭaṃ buddherna cānyasya santi tāni nayanti kim /	dRzwam budDeH-na ca-anyasya santi tAni nayanti kim /
   dhāraṇapreraṇakṣobhanirodhāścetanāvaśāḥ // Pramāṇav_1.266 //	DAraNa-preraNa-kzoBa-niroDAH-cetanA-vaSAH // PramANa=-_1.266 //
   na syusteṣāmasāmarthye tasya dīkṣādyanantaram /	na syuH-tezAm-asAmarTye tasya dIkzA-Adi-anantaram /
   atha buddhestadābhāvānna syuḥ sandhīyate malaiḥ // Pramāṇav_1.267 //	aTa budDeH-tadA-aBAvAt-na syuH sanDIyate malEH // PramANa=-_1.267 //
   buddhasteṣāmasāmarthye jīvato 'pi syurakṣamāḥ /	budDaH-tezAm-asAmarTye jIvataH api syuH-akzamAH /
   nirhrāsātiśayāt puṣṭau pratipakṣasvapakṣayoḥ // Pramāṇav_1.268 //	nirhrAsa-atiSayAt puzwO pratipakza-sva-pakzayoH // PramANa=-_1.268 //
   doṣāḥ svabījasantānā dīkṣite 'pyanivāritāḥ /	dozAH sva-bIja-santAnAH dIkzite api-anivAritAH /
   nityasya nirapekṣatvāt kramotpattirvirudhyate // Pramāṇav_1.269 //	nityasya nirapekza-tvAt krama-utpattiH-viruDyate // PramANa=-_1.269 //
   kriyāyāmakriyāyāñca kriyayoḥ sadṛśātmanaḥ /	kriyA-AyAm-akriyA-yAQca kriyayoH sadRSa-AtmanaH /
   aikyañca hetuphalayorvyatirekastatastayoḥ // Pramāṇav_1.270 //	EkyaQca hetu-PalayoH-vyatirekaH-tatas-tayoH // PramANa=-_1.270 //
   kṛrtṛ bhoktṛtvahāniḥ syāt sāmarthya ca na sidhyati /	kRrtR BoktR-tva-hAniH syAt sAmarTya ca na siDyati /
   anyasmaraṇabhogādiprasaṅgāśca na bādhakāḥ // Pramāṇav_1.271 //	anya-smaraNa-Boga-Adi-prasaFgAH-ca na bADakAH // PramANa=-_1.271 //
   asmṛteḥ kasyacit tena hyanubhūteḥ smṛtodbhavaḥ /	asmRteH kasyacid tena hi-anuBUteH smRta-udBavaH /
   sthiraṃ sukhaṃ mamāhaṃ cetyādisatyacatuṣṭaye // Pramāṇav_1.272 //	sTiram suKam mama-aham ca-iti-Adi-satya-catuzwaye // PramANa=-_1.272 //
   abhūtān ṣoḍaśākārān āropya paritṛṣyati /	aBUtAn zoxaSa-AkArAn Aropya paritRzyati /
   tatraiva tadviruddhārthatattvākārānurodhinī // Pramāṇav_1.273 //	tatra-eva tad-virudDa-arTa-tattva-AkAra-anuroDinI // PramANav_1.273 //
   hanti sānucarāṃ tṛṣṇāṃ samyagdṛṣṭiḥ subhāvitā /	hanti sa-anucarAm tRzNAm samyak-dRzwiH su-BAvitAH /
   trihetornodbhavaḥ karmadehayoḥ sthitayorapi // Pramāṇav_1.274 //	trihetoH-na-udBavaH karma-dehayoH sTitayoH-api // PramANa=-_1.274 //
   ekābhāvād vinā bījaṃ nāṃkurasyeva sambhavaḥ /	eka-aBAvAt vinA bIjam na-aMkurasya-iva samBavaH /
   asambhavād vipakṣasya na hāniḥ karmadehayo // Pramāṇav_1.275 //	asamBavAt vipakzasya na hAniH karma-dehayaH // PramANa=-_1.275 //
   aśakyatvācca tṛṣṇāyāṃ sthitāyāṃ punarudbhavāt /	aSakya-tvAt-ca tRzNAyAm sTitAyAm punar-udBavAt /
   dvayakṣayārtha yatne ca vyarthaḥ karmakṣaye śramaḥ // Pramāṇav_1.276 //	dvaya-kzaya-arTa yatne ca vyarTaH karma-kzaye SramaH // PramANa=-_1.276 //
   phalavaicitryadṛṣṭeśca śaktibhedo 'numīyate /	Pala-vEcitrya-dRzweH-ca Sakti-BedaH anumIyate /
   karmaṇāṃ tāpasaṃkleśāt naikarūpāt tataḥ kṣayaḥ // Pramāṇav_1.277 //	karmaNAm tApa-saMkleSAt na-eka-rUpAt tatas kzayaH // PramANa=-_1.277 //
   phalaṃ kathañcit tajjanyamalpaṃ syānna vijātimat /	Palam kaTaQcid tat-janyam-alpam syAt-na vijAtimat /
   athāpi tapasaḥ śaktyā śaktisaṅkarasaṃkṣayaiḥ // Pramāṇav_1.278 //	aTa-api tapasaH SaktyA Sakti-saFkara-saMkzayEH // PramANav_1.278 //
   kleśāt kutaściddhīyetāśeṣamakleśaleśataḥ /	kleSAt kutaScid-DIyeta-aSezam-akleSa-leSataH /
   yadīṣṭamaparaṃ kleśāt tat tapaḥ kleśa eva cet // Pramāṇav_1.279 //	yadi-izwam-aparam kleSAt tat tapaH kleSaH eva ced // PramANa=-_1.279 //
   tat karmaphalamityasmānna śakteḥ saṅkarādikam /	tat karma-Palam-iti-asmAt-na SakteH saFkara-Adikam /
   utpatsudoṣanirghātād ye 'pi doṣavirodhinaḥ // Pramāṇav_1.280 //	utpatsu-doza-nirGAtAt ye api doza-viroDinaH // PramANa=-_1.280 //
   tajje karmaṇi śaktāḥ syuḥ kṛtihāniḥ kathaṃ bhavet /	tad-je karmaNi SaktAH syuH kRti-hAniH kaTam Bavet /
   doṣā na karmaṇo duṣṭaḥ karoti na viparyayāt // Pramāṇav_1.281 //	dozAH na karmaNaH duzwaH karoti na viparyayAt // PramANa=-_1.281 //
   mithyāvikalpena vinā nābhilāṣaḥ sukhādapi /	miTyA-vikalpena vinA na-aBilAzaH suKAt-api /
   tāyat tatvasthirāśeṣaviśeṣajñābasādhanam // Pramāṇav_1.282 //	tAyat tatu-asTira-aSeza-viSeza-jQa-Aba-sADanam // PramANa=-_1.282 //
   bodhārthatvād gameḥ bāhyaśaikṣāśaikṣādhikastataḥ /	boDa-arTa-tvAt gameH bAhya-SEkzA-SEkza-aDikaH-tatas /
   parārthajñānaghaṭanaṃ tasmāt tacchāsanaṃ tataḥ // Pramāṇav_1.283 //	para-arTa-jQAna-Gawanam tasmAt tad-SAsanam tatas // PramANa=-_1.283 //
   dayāparārthatantratvam siddhārthasyāvirāmataḥ /	dayA-para-arTa-tantra-tvam sidDArTasya-avirAmataH /
   dayayā śreya ācaṣṭe jñānāt satyaṃ sasādhanam // Pramāṇav_1.284 //	dayayA SreyaH Acazwe jQAnAt satyam sa-sADanam // PramANa=-_1.284 //
   taccabhiyogavān vaktuṃ yatastasmāt pramāṇatā /	tat-caBiyogavAn vaktum yatas-tasmAt pramANa-tA /
   upadeśatathābhāvastutistadupadeśataḥ // Pramāṇav_1.285 //	upadeSa-taTA-aBAva-stutiH-tad-upadeSataH // PramANa=-_1.285 //
   pramāṇatattvasiddh yartham anumāne 'pyavāraṇāt /	pramANa-tattva-sidD yarTam anumAne api-avAraNAt /
   prayogadarśanād vāsya yat kiñcidudayātmakam // Pramāṇav_1.286 //	prayoga-darSanAt vA-asya yat kiQcid-udaya-Atmakam // PramANa=-_1.286 //
   nirodhadharmakaṃ sarva tad ityādāvanekadhā /	niroDa-Darmakam sarva tat iti-AdO=-anekaDA /
   anumānāśrayo liṅgamavinābhāvalakṣaṇam /	anumAna-ASrayaH liFgam-avinABAva-lakzaNam /
   vyāptipradarśanāddhetoḥ sādhyenoktañca tat sphuṭam // Pramāṇav_1.287 //	vyApti-pradarSanAt-hetoH sADyena-uktaQca tat sPuwam // PramANa=-_1.287 //
   dvitīyaḥ paricchedaḥ	dvitIyaH paricCedaH
   pratyakṣam	pratyakzam
   mānaṃ dvividhaṃ viṣayadvai vidhyāt śaktyaśaktitaḥ /	mAnam dviviDam vizayat-vE viDyAt Sakti-aSaktitaH /
   athaṃkriyāyām keśādirnārtho 'narthādhimokṣataḥ // Pramāṇav_2.1 //	aTaMkriyAyAm keSa-AdiH-na-arTaH anarTa-aDimokzataH // PramANa=-_2.1 //
   sadṛśāsadṛśatvācca viṣayāviṣayatvataḥ /	sadRSA-sadRSa-tvAt-ca vizaya-avizaya-tvataH /
   śabdasyānyanimittānāṃ bhāve dhīsadasattvataḥ // Pramāṇav_2.2 //	Sabdasya-anya-nimittAnAm BAve DIsat-asattvataH // PramANa=-_2.2 //
   arthakriyāsamartha yat tadatra paramārthasat /	arTa-kriyA-samarTa yat tat-atra parama-arTa-sat /
   anyat saṃvṛtaisat proktam te svasāmānyalakṣaṇe // Pramāṇav_2.3 //	anyat saMvRtA-esat proktam te sva-sAmAnya-lakzaNe // PramANa=-_2.3 //
   aśaktaṃ sarvamiti ced bījāderaṅkurādiṣu /	aSaktam sarvam-iti ced bIja-AdeH-aFkura-Adizu /
   dṛṣṭā śaktiḥ matā sā cet saṃvṛtyā astu yathā tathā // Pramāṇav_2.4 //	dRzwA SaktiH matA sA ced saMvRtyA astu yaTA taTA // PramANa=-_2.4 //
   sāsti sarvatra ced buddhernānvayavyatirekayoḥ /	sA-asti sarvatra ced budDeH-na-anvayavyatirekayoH /
   sāmānyalakṣaṇe 'dṛṣṭeḥ cakṣūrūpādibuddhivat // Pramāṇav_2.5 //	sAmAnya-lakzaNe adRzweH cakzu-Uru-upAdi-budDi-vat // PramANa=-_2.5 //
   etena samayābhogādyantaraṅgānurodhataḥ /	etena samaya-ABoga-Adi-antaraFga-anuroDataH /
   ghaṭotkṣepaṇasamānyasaṃkhyādiṣu dhiyo gatāḥ // Pramāṇav_2.6 //	Gawa-utkzepaNa-samAnya-saMKyA-Adizu DiyaH gatAH // PramANa=-_2.6 //
   keśādayo na sāmānyamanarthābhiniveśataḥ /	keSa-AdayaH na sAmAnyam-anarTa-aBiniveSataH /
   jñeyatvena grahād doṣo nabhāveṣu prasajyate // Pramāṇav_2.7 //	jQeya-tvena grahAt dozaH na-BAvezu prasajyate // PramANa=-_2.7 //
   teṣāmapi tathābhāve 'pratiṣedhāt sfuṭābhatā /	tezAm-api taTA-aBAve apratizeDAt sfuwABatA /
   jñānarūpatayārthatvāt keśādīti matiḥ punaḥ // Pramāṇav_2.8 //	jQAna-rUpa-tayA-arTa-tvAt keSa-Adi-iti matiH punar // PramANa=-_2.8 //
   sāmānyaviṣayā keśapratibhāsamanarthakam /	sAmAnya-vizayA keSa-pratiBAsam-anarTakam /
   jñānarūpatayārthatve sāmānye cet prasajyate // Pramāṇav_2.9 //	jQAna-rUpa-tayA-arTa-tve sAmAnye ced prasajyate // PramANa=-_2.9 //
   tatheṣṭatvādadoṣaḥ artharūpatvena samānatā /	taTA-izwa-tvAt-adozaH arTa-rUpa-tvena samAna-tA /
   sarvatra samarūpatvāt tadvyāvṛttisamāśrayāt // Pramāṇav_2.10 //	sarvatra sama-rUpa-tvAt tad-vyAvRtti-samASrayAt // PramANa=-_2.10 //
   na tad vastvabhidyeyatvāt sāphalyādakṣasaṃhateḥ /	na tat vastu-aBidyeya-tvAt sAPalyAt-akza-saMhateH /
   nāmādivacane vastṛśrotṛvācyānubandhini // Pramāṇav_2.11 //	nAma-Adi-vacane vastR-SrotR-vAcya-anubanDini // PramANa=-_2.11 //
   asambandhini nāmādāvarthe syāsapravarttanam /	asambanDini nAma-AdO=-arTe syAsa-pravarttanam /
   sārūpyād bhrāntito vṛttirarthecet syānna sarvadā // Pramāṇav_2.12 //	sArUpyAt BrAntitaH vRttiH-arTeced syAt-na sarvadA // PramANa=-_2.12 //
   deśabhrāntiśca na jñāne tulyamutpattito dhiyaḥ /	deSa-BrAntiH-ca na jQAne tulyam-utpattitaH DiyaH /
   tathāvidhāyā anyatra tatrānupasamād dhiyaḥ // Pramāṇav_2.13 //	taTAviDAyAH anyatra tatra-anupasamAt DiyaH // PramANa=-_2.13 //
   bāhyārthapratibhāsāyā upāye vāpramāṇatā /	bAhya-arTa-pratiBAsAyAH upAye vA-apramANa-tA /
   vijñānavyatiriktasya vyatirekāprasiddhitaḥ // Pramāṇav_2.14 //	vijQAna-vyatiriktasya vyatireka-aprasidDitaH // PramANa=-_2.14 //
   sarvajñānārthavatvāccet svapnādāvanyathekṣaṇāt /	sarva-jQAna-arTava-tvAt-ced svapna-AdO=-anyaTA-IkzaNAt /
   ayuktam na ca saṃskārānnīlādipratibhāsataḥ // Pramāṇav_2.15 //	ayuktam na ca saMskArAn-nIla-Adi-pratiBAsataH // PramANa=-_2.15 //
   nīlādyapratighātānna jñānaṃ tad yogyadeśakaiḥ /	nIla-Adi-apratiGAtAt-na jQAnam tat yogya-deSakEH /
   ajñātasya svayaṃ jñānāt nāmādyetena varṇitam // Pramāṇav_2.16 //	ajQAtasya svayam jQAnAt nAma-Adi-etena varNitam // PramANa=-_2.16 //
   saiveṣṭārthavatī kena cakṣurādimatiḥ smṛtā /	sA-eva-izwA-arTavatI kena cakzuH-Adi-matiH smRtA /
   arthasāmarthyadṛṣteścedanyat prāptamanarthakam // Pramāṇav_2.17 //	arTa-sAmarTya-dRzteH-ced-anyat prAptam-anarTakam // PramANa=-_2.17 //
   pravṛttiḥ syādasambandhe 'pyarthasambandhavad yadi /	pravRttiH syAt-asambanDe api-arTa-sambanDa-vat yadi /
   atītānāgataṃ vācyaṃ na syādarthena tatkṣayāt // Pramāṇav_2.18 //	atIta-anAgatam vAcyam na syAt-arTena tad-kzayAt // PramANa=-_2.18 //
   sāmānyagrahaṇācchabdādaprasaṅgo mato yadi /	sAmAnya-grahaNAt-SabdAt-aprasaFgaH mataH yadi /
   tanna kevalasāmānyāgrahaṇād grahaṇe 'pi vā // Pramāṇav_2.19 //	tat-na kevala-sAmAnya-agrahaNAt grahaNe api vA // PramANa=-_2.19 //
   atatsamānatāvyaktī tena nityopalambhanam /	atad-samAna-tA-vyaktI tena nitya-upalamBanam /
   nityatvācca yadi vyaktirvyakteḥ pratyakṣatāṃ prati // Pramāṇav_2.20 //	nitya-tvAt-ca yadi vyaktiH-vyakteH pratyakzatAm prati // PramANa=-_2.20 //
   ātmani jñānajanane yacchaktaṃ śaktameva tat /	Atmani jQAna-janane yat-Saktam Saktam-eva tat /
   athāśaktaṃ kadāciccedaśaktaṃ sarvadaiva tat // Pramāṇav_2.21 //	aTa-aSaktam kadAcid-ced-aSaktam sarvadA-eva tat // PramANa=-_2.21 //
   tasya śaktiraśaktirvā yā svabhāvena saṃsthitā /	tasya SaktiH-aSaktiH-vA yA svaBAvena saMsTitA /
   nityatvādapi kiṃ tasya kastāṃ kṣapayituṃ kṣamaḥ // Pramāṇav_2.22 //	nitya-tvAt-api kim tasya kaH-tAm kzapayitum kzamaH // PramANa=-_2.22 //
   tacca sāmānyavijñānamanurundhan vibhāvyate /	tat-ca sAmAnya-vijQAnam-anurunDan viBAvyate /
   nīlādyākāraleśo yaḥ sa tasmin kena nirmitaḥ // Pramāṇav_2.23 //	nIla-Adi-AkAra-leSaH yaH sa tasmin kena nirmitaH // PramANa=-_2.23 //
   pratyakṣapratyayārthatvānnākṣāṇāṃ vyarthateti cet /	pratyakza-pratyaya-arTa-tvAt-na-akzANAm vyarTatA-iti ced /
   saivaikarūpācchabdāderbhinnābhāsā matiḥ kutaḥ // Pramāṇav_2.24 //	sA-eva-eka-rUpAt-Sabda-AdeH-Binna-ABAsA matiH kutas // PramANa=-_2.24 //
   na jātirjātimadvyaktirūpaṃ yenāparāśrayam /	na jAtiH-jAtimat-vyakti-rUpam yena-apara-ASrayam /
   siddham pṛthak cet kāryatvaṃ hyapekṣetyabhidhīyate // Pramāṇav_2.25 //	sidDam pRTak ced kArya-tvam hi-apekzA-iti-aBiDIyate // PramANa=-_2.25 //
   niṣpatteraparādhīnamapi kārya svahetutaḥ /	nizpatteH-apara-aDInam-api kArya sva-hetutaH /
   sambadhyate kalpanayā kimakārya kathañcana // Pramāṇav_2.26 //	sambaDyate kalpanayA kim-akArya kaTaQcanaH // PramANa=-_2.26 //
   anyatve tadasambaddhaṃ siddhāto niḥsvabhāvatā /	anya-tve tad-asambadDam sidDAtaH niHsvaBAva-tA /
   jātiprasaṅgo 'bhāvasya na apekṣābhāvatastayoḥ // Pramāṇav_2.27 //	jAti-prasaFgaH aBAvasya na apekzA-BAvataH-tayoH // PramANa=-_2.27 //
   tasmādarūpā rūpāṇāṃ nāśrayeṇopakalpitā /	tasmAt-arUpAH rUpANAm na-ASrayeNa-upakalpitA /
   tadviśeṣāvagāhārthairjātiḥ śabdaiḥ prakāśyate // Pramāṇav_2.28 //	tad-viSeza-avagAha-arTEH-jAtiH SabdEH prakASyate // PramANa=-_2.28 //
   tasyāṃ rūpāvabhāso yastattvenārthasya vā grahaḥ /	tasyAm rUpa-avaBAsaH yaH-tattvena-arTasya vA grahaH /
   bhrāntiḥ sānādikālīnadarśanābhyāsanirmitā // Pramāṇav_2.29 //	BrAntiH sAnAdika-AlIna-darSana-aByAsa-nirmitA // PramANa=-_2.29 //
   arthānāṃ yacca sāmānyamanyavyāvṛttilakṣaṇam /	arTAnAm yat-ca sAmAnya-manya-vyAvRtti-lakzaNam /
   yanniṣṭhāsta ime śabdā na rūpaṃ tasya kiñcana // Pramāṇav_2.30 //	yat-nizWAH-te ime SabdAH na rUpam tasya kiQcana // PramANa=-_2.30 //
   sāmānyabuddhau sāmānyenārūpāyāmavīkṣaṇāt /	sAmAnya-budDO sAmAnyena-arUpAyAm-avIkzaNAt /
   arthabhrāntirapīṣyeta sāmānyaṃ sāpi abhiplavāt // Pramāṇav_2.31 //	arTa-BrAntiH-apIzyeta sAmAnyam sA-api aBiplavAt // PramANa=-_2.31 //
   artharūpatayā tattvenābhāvācca na rūpiṇī /	arTa-rUpa-tayA tattvena-aBAvAt-ca na rUpiNI /
   niḥsvabhāvatayāvācyaṃ kutaścid vacanānmatam // Pramāṇav_2.32 //	niHsvaBAva-tayA-avAcyam kutaScid vacanAt-matam // PramANa=-_2.32 //
   yadi vastuni vastūnāmavācyatvaṃ kathañcana /	yadi vastuni vastUnAm-avAcya-tvam kaTaQcana /
   naiva vācyamupādānabhedād bhedopacārataḥ // Pramāṇav_2.33 //	na-eva vAcyam-upAdAna-BedAt Beda-upacArataH // PramANa=-_2.33 //
   atītānāgate 'pyarthe sāmānyavinivandhanāḥ /	atIta-anAgate api-arTe sAmAnya-vinivanDanAH /
   śrutayo niviśante sadasaddharmaḥ kathaṃ bhavet // Pramāṇav_2.34 //	SrutayaH niviSante sat-asat-DarmaH kaTam Bavet // PramANa=-_2.34 //
   upacārāt tadiṣṭaṃ ced varttamānaghaṭasya kā /	upacArAt tat-izwam ced varttamAna-Gawasya kA /
   pratyāsattirabhāvena yā paṭādau na vidyate // Pramāṇav_2.35 //	pratyAsattiH-aBAvena yA pawa-AdO na vidyate // PramANa=-_2.35 //
   buddheraskhalitā vṛttirmukhyāropitayoḥ sadā /	budDeH-asKalitA vRttiH-muKya-AropitayoH sadA /
   siṃhe māṇavake tadvad ghoṣaṇāpyasti laukikī // Pramāṇav_2.36 //	siMhe mANavake tadvat GozaNA-api-asti lOkikI // PramANa=-_2.36 //
   yatra rūḍhyāsadartho 'pi janaiḥ śabdo niveśitaḥ /	yatra rUXyA-sadarTaH api janEH SabdaH niveSitaH /
   sa mukhyastatra tatsāmyādū gauṇo 'nyatra skhaladgatiḥ // Pramāṇav_2.37 //	sa muKyaH-tatra tad-sAmya-adU gONaH anyatra sKalat-gatiH // PramANav_2.37 //
   yathā bhāve 'pyabhāvākhyāṃ yathākalpanameva vā /	yaTA BAve api-aBAva-AKyAm yaTAkalpanam-eva vA /
   kuryādaśakte śakte vā pradhānādiśrutiṃ janaḥ // Pramāṇav_2.38 //	kuryAt-aSakte Sakte vA praDAna-Adi-Srutim janaH // PramANa=-_2.38 //
   śabdobhyo yādṛśī buddhirnaṣṭe 'naṣṭe 'pi dṛśyate /	SabdoByaH yAdRSI budDiH-nazwe anazwe api dRSyate /
   tādṛśyeva sadarthānāṃ naitacchrotrādicetasām // Pramāṇav_2.39 //	tAdRSi-eva sat-arTAnAm na-etat-Srotra-Adi-cetasAm // PramANa=-_2.39 //
   sāmānyamātragrahaṇāt sāmānyaṃ cetasorddhayoḥ /	sAmAnya-mAtra-grahaNAt sAmAnyam cetasA-UrdDayoH /
